tandus.siuisum	tandus . si uisum
ministeruester.ubiplaneministeriumsubiectionisdominusindicit.	minister uester . ubi plane ministerium subiectionis dominus indicit .
sedambitionemdampnationispenitusinterdicit.etquod	sed ambitionem dampnationis penitus interdicit . et quod
uerboprecipit:exemploroborat	uerbo precipit : exemplo roborat
.Egoinquitinmediouestrumsum.	. Ego inquit in medio uestrum sum .
tanquamquiministrat.	tanquam qui ministrat .
Quiautemmundihuiusuenanturgloriam.infauoris	Qui autem mundi huius uenantur gloriam . in fauoris
popularisaurasectandadelectantur.insplendoreuestium.in	popularis aura sectanda delectantur . in splendore uestium . in
ciborumglorianturuoluptate.amantprimos	ciborum gloriantur uoluptate . amant primos
recubitusincenis.etprimas	recubitus in cenis . et primas
cathedrasinsynagogis.salutationesin	cathedras in synagogis . salutationes in
foro.etuocariabhominibusrabicumtamen	foro . et uocari ab hominibus rabi cum tamen
dominusineuangeliodicat.neuocemini	dominus in euangelio dicat . neuocemini
magistri.quiamagisteruesterunusestchristus.hee	magistri . quia magister uester unus est christus . hee
suntportemortis	sunt porte mortis
quasenummauimus.porteinferi.perquasfiliihuius	quas enummauimus . porte inferi . per quas filii huius
seculigradientes.ruuntinprecipicium.quibus	seculi gradientes . ruunt in precipicium . quibus
portesalutisopponuntur.perquasnecesseest	porte salutis opponuntur . per quas necesse est
utintroeat.qui	ut introeat . qui
inoffensopedetenderecontendit	in offenso pede tendere contendit
addeum.	ad deum .
Etestprimaportasalutis	Et est prima porta salutis
.deuotacordis	. deuota cordis
compunctio.secunda:ueraethumilis	compunctio . secunda : uera et humilis
orisconfessio.tercia:condigna	oris confessio . tercia : condigna
operissatisfactio.De	operis satisfactio . De
hiisportispsalmistaait.Introiteportaseius	hiis portis psalmista ait . Introite portas eius
inconfessione.atriaeiusinhymnisconfiteminiilli.	in confessione . atria eius in hymnis confitemini illi .
heesuntporteparadisi.dequibushiisdiebus	hee sunt porte paradisi . de quibus hiis diebus
canimus.paradisiportasaperuitnobisieiuniitempus	canimus . paradisi portas aperuit nobis ieiunii tempus
.hasportaspetrusintroierat.dumpostinmanitatem	. has portas petrus introierat . dum post inmanitatem
culpe.misericorditerrespectusest	culpe . misericorditer respectus est
adomino.et	a domino . et
egressusforas.fleuit	egressus foras . fleuit
amare.Inegressu	amare . In egressu
enimnotaturconfessio.infletuamaro:cordisconpunctio	enim notatur confessio . in fletu amaro : cordis conpunctio
.quodautemin	. quod autem in
eosecutasitcondignasatisfactiooperis:	eo secuta sit condigna satisfactio operis :
exeonimirumcolligitur.quodposttamgrauis	ex eo nimirum colligitur . quod post tam grauis
lapsusprecipicium:adtanterediiteminentiam	lapsus precipicium : ad tante rediit eminentiam
sanctitatis.pulsemusdilectissimifratresad	sanctitatis . pulsemus dilectissimi fratres ad
portasistas.etaperienturnobis.aperta	portas istas . et aperientur nobis . aperta
estnobissiuolumusuiapenitentie.quia	est nobis si uolumus uia penitentie . quia
sicutaitbeatus	sicut ait beatus
beatusiohanesapostolus.si	beatus iohanes apostolus . si
confiteamurpeccatanostra.fidelisetiustusestdominius	confiteamur peccata nostra . fidelis et iustus est dominius
.utremittat	. ut remittat
nobispecctanostra.etemundetnos	nobis peccta nostra . et emundet nos
abomniiniquitate.Itaquefratresdirigamusoperanostra	ab omni iniquitate . Itaque fratres dirigamus opera nostra
adexemplar.quodnobisinmontemonstratumest.	ad exemplar . quod nobis in monte monstratum est .
utuidelicetunusquisquenostramfremat	ut uidelicet unusquisque nostram fremat
spiritu.turbetseipsum.lacrimetur.	spiritu . turbet se ipsum . lacrimetur .
etclamet.	et clamet .
frematinquamin	fremat in quam in
sefremat	se fremat
etcontrase.Inse	et contra se . In se
quidem:per	quidem : per
interioremcordisamaritudinem.contrase.per	interiorem cordis amaritudinem . contra se . per
exterioremcorporisafflictionem.utdicerepossitcumpsalmista.	exteriorem corporis afflictionem . ut dicere possit cum psalmista .
afflictussumethumiliatussumnimis.	afflictus sum et humiliatus sum nimis .
rugiebamagemitucordismei	rugiebam a gemitu cordis mei
.turbetetiamseipsumperdolorem.lacrimetur	. turbet etiam se ipsum per dolorem . lacrimetur
perpietatem	per pietatem
.clametperorationem.Exaudistiinquituocedeprecationis	. clamet per orationem . Exaudisti inquit uoce deprecationis
mee.dumclamaremadte	mee . dum clamarem ad te
.clamet.autem.	. clamet . autem .
etdicatanime	et dicat anime
sue.lazareueniforas.lazarusinterpretaturadiutus	sue . lazare ueni foras . lazarus interpretatur adiutus
.perlazarumigiturquelibetfidelisanimaconuenientur	. per lazarum igitur quelibet fidelis anima conuenientur
accipitur.quepotissimumillius	accipitur . que potissimum illius
indigetadiutoris:quide	indiget adiutoris : qui de
seipsodicit	se ipso dicit
sinemenichilpotestisfacere.Etdequopsalmista	sine me nichil potestis facere . Et de quo psalmista
ait.adiutor	ait . adiutor
inoportunitatibusintribulatione.sperentintequinouerunt	in oportunitatibus in tribulatione . sperent in te qui nouerunt
te.Quamfidelisquamnecessariussit	te . Quam fidelis quam necessarius sit
adiutoriste.manifestedeclarat	adiutor iste . manifeste declarat
ecclesia.queper	ecclesia . que per
singulashorasdeuotisipsumprecibusinuocans.deusinquitin	singulas horas deuotis ipsum precibus inuocans . deus inquit in
adiutoriummeumintende.domine	adiutorium meum intende . domine
adadiuuandammefestina.hecigiturfidelis	ad adiuuandam me festina . hec igitur fidelis
anima.que	anima . que
perlazarumsignificataest.uocante	per lazarum significata est . uocante
domino.forasuenit.duma.	domino . foras uenit . dum a .
mortepeccatiresuscitata.inluce	morte peccati resuscitata . in luce
bonorumoperumambulat.etcooperantegratia	bonorum operum ambulat . et cooperante gratia
deuirtuteinuirtutemproficit.Queetiam	de uirtute in uirtutem proficit . Que etiam
adtantamregiseternifamiliaritatemdignanter	ad tantam regis eterni familiaritatem dignanter
admittitur.utinconuiuioeius	admittitur . ut in conuiuio eius
plenodeliciisomnibus.	pleno deliciis omnibus .
recumberedignareperiatur.	recumbere digna reperiatur .
sicenimscriptumestiniohaniseuangelio.ante	sic enim scriptum est in iohanis euangelio . ante
quinquediespasche.uenit	quinque dies pasche . uenit
iehsubethaniam.ubilazarusfueratmortuus	iehsu bethaniam . ubi lazarus fuerat mortuus
.fecerunt	. fecerunt
autemeicenamibi	autem ei cenam ibi
.lazarusuerounuseratexdiscumbentibuscumeo	. lazarus uero unus erat ex discumbentibus cum eo
.hanccenamfratreseternamsacietatemdiuineuisionisaccipimus	. hanc cenam fratres eternam sacietatem diuine uisionis accipimus
.dequacenainapocalipsiscriptumest	. de qua cena in apocalipsi scriptum est
.Beatiqui	. Beati qui
adcenamnuptiarum	ad cenam nuptiarum
agniuocatisunt.sponsusetiamincanticis:	agni uocati sunt . sponsus etiam in canticis :
hiusceneconuiuasalloquens:	hius cene conuiuas alloquens :
etadepulandumgratulanterinuitans:aitcomediteamici	et ad epulandum gratulanter inuitans : ait comedite amici
.etbibite.	. et bibite .
etinebriaminikarissimi.Inquibusuerbisnotandumest	et inebriamini karissimi . In quibus uerbis notandum est
.quiaquicomeduntamici	. quia qui comedunt amici
.quiuerobibuntetinebriabuntur:	. qui uero bibunt et inebriabuntur :
perhibenturessekarissimi.sanctienim	perhibentur esse karissimi . sancti enim
inpresentiuita	in presenti uita
comedunt.dumsupernecontemplationis	comedunt . dum superne contemplationis
dulcedinempregustantes:suauiuirtutum	dulcedinem pregustantes : suaui uirtutum
delectationesereficiunt.In	delectatione se reficiunt . In
eternaautembeatitudinebibuntetinebriantur.	eterna autem beatitudine bibunt et inebriantur .
dumtranslatiin	dum translati in
gloriam:perfectadiuinecognitionisplenitudine.etinterni	gloriam : perfecta diuine cognitionis plenitudine . et interni
amorisiocunditateperfruuntur.Dehiisinpsalmoscriptum	amoris iocunditate perfruuntur . De hiis in psalmo scriptum
est.Inebriabuntur	est . Inebriabuntur
abubertatedomustue.ettorrenteuoluptatistuepotabiseos	abubertate domus tue . et torrente uoluptatis tue potabis eos
.huiustorrentisuoluptate.nos	. huius torrentis uoluptate . nos
ineternoconuiuio.non	in eterno conuiuio . non
solumpotare.sedetinebriaredignetur	solum potare . sed et inebriare dignetur
sponsusecclesiedominusnosteriehsu	sponsus ecclesie dominus noster iehsu
christus.utabsortamorte	christus . ut absorta morte
inuictoriam.ineoqui	in uictoriam . in eo qui
uitanostra	uita nostra
est.sinefinefeliciteruiueremereamur	est . sine fine feliciter uiuere mereamur
.prestanteeodemdominonostroiehsuchristo.cuius	. prestante eodem domino nostro iehsu christo . cuius
regnumetimperiumpermanetin	regnum et imperium permanet in
seculaseculorum	secula seculorum
.amensermoinquadragesimaQuichristisunt:	. amen sermo in quadragesima Qui christi sunt :
carnemsuamcrucifixerunt	carnem suam crucifixerunt
cumuitiiset	cum uitiis et
concupiscentiis.simultiplicesuitepresentismiserias.	concupiscentiis . si multiplices uite presentis miserias .
quibusmiserhomoculpisexigentibusincessanteraffligitur.diligentiusattendamus	quibus miser homo culpis exigentibus incessanter affligitur . diligentius attendamus
.incolatusnostriprolongationem.cumpsalmistanonimmeritodeflere	. incolatus nostri prolongationem . cum psalmista non immerito deflere
possumus.licetenimteste	possumus . licet enim teste
prophetabreuessicutdieshominis.inhoc	propheta breues sicut dies hominis . in hoc
tameneorumlongitudononinconuenienter	tamen eorum longitudo non inconuenienter
attendatur.eoquod	attendatur . eo quod
multisrepleanturmiseriis.siquidem	multis repleantur miseriis . siquidem
culpamsecumtrahit.uniuscuisqueconceptio	culpam secum trahit . unius cuisque conceptio
.penam:	. penam :
natiuitas.uita:labores	natiuitas . uita : labores
eterumpnasfinisuero:doloresetmiserias.	et erumpnas finis uero : dolores et miserias .
Estenimsicut	Est enim sicut
luceclariusconstat.culpabilishumaneconditionisingressus.	luce clarius constat . culpabilis humane conditionis ingressus .
penalishumane	penalis humane
conuersationisprogressus.miserabilisuerohumaneresolutionis	conuersationis progressus . miserabilis uero humane resolutionis
egressus.hancmortalisuite	egressus . hanc mortalis uite
miseriam.beatusiobinteriorimentisoculo	miseriam . beatus iob interiori mentis oculo
subtiliusintuens:plangitdicens	subtilius intuens : plangit dicens
.Quarenon	. Quare non
inuuluamortuus	in uulua mortuus
sum.egressusexuterononstatimperii:cur	sum . egressus ex utero non statim perii : cur
exceptusgenibus:curlactatusuberibus	exceptus genibus : cur lactatus uberibus
:pereatdiesinquanatus	: pereat dies in qua natus
sum.etnoxin	sum . et nox in
quadictumest.conceptus	qua dictum est . conceptus
esthomo.hincetsalomonait.cuncti	est homo . hinc et salomon ait . cuncti
dieshominislaboribuseterumpnisplenisunt.	dies hominis laboribus et erumpnis pleni sunt .
necpernoctemmenterequiescit.	nec per noctem mente requiescit .
Etinecclesiasticoscriptumest	Et in ecclesiastico scriptum est
.occupatiomagnacreataestomnibushominibus.	. occupatio magna creata est omnibus hominibus .
etiugumgrauesuperfiliosadam.adie	et iugum graue super filios adam . a die
exitusdeuentrematriseorum.	exitus de uentre matris eorum .
usqueindiemsepulturein	usque in diem sepulture in
matremomniumIn	matrem omnium In
tribusautemstatushumanimiseriaprecipueuidetur	tribus autem status humani miseria precipue uidetur
consisitere.uidelicet.ignorantia.concupiscentia.	consisitere . uidelicet . ignorantia . concupiscentia .
etinpotentia.Ignorantiainquamboni.concupiscentiamali	et inpotentia . Ignorantia inquam boni . concupiscentia mali
.etimpotentiapeccatoresistendi.	. et impotentia peccato resistendi .
suntpleriquequisecularibusaffectidesideriis.non	sunt plerique qui secularibus affecti desideriis . non
solumbonaqueintelligunt.	solum bona que intelligunt .
ineffectuprosequidedignantur.uerum	in effectu pro se qui dedignantur . uerum
etiamsupinaquadametuelut	etiam supina quadam et uelut
affectatamentisignorantia.penitusexcecati:nolunt	affectata mentis ignorantia . penitus excecati : nolunt
intelligereutbene	intelligere ut bene
operentur.Dequibus	operentur . De quibus
inpsalmoscriptumest.nescieruntnequeintellexerunt	in psalmo scriptum est . ne scierunt neque intellexerunt
.intenebrisambulant	. in tenebris ambulant
.Etalibi.obscurentur	. Et alibi . obscurentur
oculieorumne	oculi eorum ne
uideant.etdorsumeorum	uideant . et dorsum eorum
semperincurua	semper in curua
.Iustumquippeest	. Iustum quippe est
utquorummentes.que	ut quorum mentes . que
peroculosrectesignificatesunt:ignorantietenebrisobscurantur.	per oculos recte significate sunt : ignorantie tenebris obscurantur .
eorumdorsumadportandapeccatorumonera:	eorum dorsum adportanda peccatorum onera :
perconsensuminiquitatisincuruetur.	per consensum iniquitatis incuruetur .
porroconcupiscentiamali.statushumanimiseriam	porro concupiscentia mali . status humani miseriam
miserabiliteraccumulat.patetenim	miserabiliter accumulat . patet enim
.quiapronisuntadmalum	. quia proni sunt ad malum
sensushominis.procliuisestin	sensus hominis . procliuis est in
uitiumcorruptamentisaffectio	uitium corrupta mentis affectio
.queextirpatauitemundicia.miseram	. que extirpata uite mundicia . miseram
animamcarnalibusillecebrisilla	animam carnalibus illecebris illa
querandocoinquinat	querando coinquinat
.etquamcelo	. et quam celo
redderedebueratperinnocentiametuitepuritatem.incessantergehenne	reddere debuerat per innocentiam et uite puritatem . incessanter gehenne
preparat:permultimodamuitiorum	preparat : per multimodam uitiorum
corruptionem.	corruptionem .
Inpotentiaueroresistendipeccato	In potentia uero resistendi peccato
adplenammiserieconsummationem:peccatis	ad plenam miserie consummationem : peccatis
exigentibusinflicta	ex igentibus inflicta
esthomini.roborespiritalisgratiedestituto.	est homini . robore spiritalis gratie destituto .
Quidenimmiserabiliusquam	Quid enim miserabilius quam
sicuulnerari.utultranonsitsanitas	sic uulnerari . ut ultra non sit sanitas
.sicincidereinlaqueum.utliberationemlocusiam	. sic incidere in laqueum . ut liberationem locus iam
nonpateat.sicprecipiciumincurrere:utadicere	non pateat . sic precipicium incurrere : ut adicere
nonpossitpersemiserhomodeinceps	non possit per se miser homo deinceps
.utresurgat:Ethoc	. ut resurgat : Et hoc
quidemmanifestum	quidem manifestum
estiustodeiiudiciofieri.utquemad	est iusto dei iudicio fieri . ut quem ad
modumtestaturapostolus.	modum testatur apostolus .
quifacitpeccatum	qui facit peccatum
:seruussitpeccati.necapeccatosecontinere	: seruus sit peccati . nec a peccato se continere
propriauirtuteualeatetiamcumuoluerit:qui	propria uirtute ualeat etiam cum uoluerit : qui
uiciiscarnalibusinherendo	uiciis carnalibus in herendo
:donumcontinentiegratisoblatum:uelut	: donum continentie gratis oblatum : uel ut
ingratusabiecit.uerumquodhumanefragilitatisoptinerenonualet	ingratus abiecit . uerum quod humane fragilitatis optinere non ualet
inpotentia	in potentia
.salubriterprouiderecurauit.sinequa	. salubriter prouidere curauit . sine qua
uirtusomnisinfirmaest:	uirtus omnis infirma est :
adiutrixgratia.tripliciigiturmiserie.	adiutrix gratia . triplici igitur miserie .
triplexmisericordieremedium.mediatrix	triplex misericordie remedium . mediatrix
istacelestisopposuit.uidelicet.ignorantieboni.	ista celestis opposuit . uidelicet . ignorantie boni .
intellectumueritatis	intellectum ueritatis
.concupiscentiemali	. concupiscentie mali
:amoremuirtutis	: amorem uirtutis
.inpotentieuero	. in potentie uero
peccatoresistendi:uirtutemdiuineprotectionis.	peccato resistendi : uirtutem diuine protectionis .
necessariumenim	necessarium enim
fuitutlumenueritatis	fuit ut lumen ueritatis
:ignorantietenebras	: ignorantie tenebras
effugaret.	effugaret .
affectusuirtutis:impetuscarnalisconcupiscentie	affectus uirtutis : impetus carnalis concupiscentie
reprimeret.in	reprimeret . in
potentiamueroresistendipeccato	potentiam uero resistendi peccato
:potentiadiuine	: potentia diuine
protectionisroboraret.	protectionis roboraret .
hocestquodaspiritusanctoqui.	hoc est quod a spiritu sancto qui .
cordafideliumsuadocetillustratione:et	corda fidelium sua docet illustratione : et
inomnemueritateminducit:inorationepetimus	in omnem ueritatem inducit : in oratione petimus
.dicentes	. dicentes
.accendelumensensibusin	. accende lumen sensibus in
fundeamoremcordibus.infirmanostri	funde amorem cordibus . infirma nostri
corporis:uirtutefirmansperpetui.recogita	corporis : uirtute firmans perpetui . recogita
igiturmiserhomoinamaritudine	igitur miser homo in amaritudine
cordis:incolatustuimiseriam.et	cordis : incolatus tui miseriam . et
quiamiserenditempusaduenit:diuinamdeuotus	quia miserendi tempus aduenit : diuinam deuotus
inploramiseram.	inplora miseram .
carnemtuamcrebramaceratione	carnem tuam crebra maceratione
castigans:spiritumsubice.etneconcupiscentieeius	castigans : spiritum subice . et ne concupiscentie eius
intedominentur.pre	in te dominentur . pre
timoredistrictiiudicii.clauis	timore districti iudicii . clauis
eampenitentieconfige.Ipsaestenimqueaduerus	eam penitentie confige . Ipsa est enim que aduerus
spiritumconcupiscit.ipsarationinonobtemperans.	spiritum concupiscit . ipsa rationi non obtemperans .
sedsensualitati	sed sensualitati
consentiens.incessanterillicitasuggerit.castigainquam	consentiens . incessanter illicita suggerit . castiga inquam
carnemtuam.etconcupiscentiaseiusintemortifica.	carnem tuam . et concupiscentias eius in te mortifica .
Quienimchristisunt:carnemsuam	Qui enim christi sunt : carnem suam
crucifixeruntcumuitiis	crucifixerunt cum uitiis
etconcupiscentiis.triplicemsicutlegitur	et concupiscentiis . triplicem sicut legitur
ineuangelio:crucemlegimus.uidelicet.crucemchristi	in euangelio : crucem legimus . uidelicet . crucem christi
.crucemlatronispenitentis.etcrucemlatronis	. crucem latronis penitentis . et crucem latronis
insultantis.	insultantis .
certecruxchristi	certe crux christi
.cruxinnocentis	. crux innocentis
est.cruxlatronispenitentis.uoluntariaest	est . crux latronis penitentis . uoluntaria est
afflictiopeccatoris	afflictio peccatoris
.inmanitatemscelerumuehementi	. in manitatem scelerum uehementi
spirituscontritione	spiritus contritione
deflentis.cruxlatronisinsultantis:penaperhennisestscelerati	deflentis . crux latronis insultantis : pena perhennis est scelerati
.inpeccandi	. in peccandi
desideriofinaliterperseuerantis	desiderio finaliter perseuerantis
.suntnonnulli	. sunt non nulli
quiuitiapenitusdetestantes.summamsectandis	qui uitia penitus detestantes . summam sectandis
uirtutibusimpenduntoperam.uisibilia	uirtutibus impendunt operam . uisibilia
despiciunt.inuisibilibustotamentisdeuotioneiugiter	despiciunt . inuisibilibus tota mentis deuotione iugiter
intendunt.nullamordacisconscientiememoria	intendunt . nulla mordacis conscientie memoria
compunguntur.ettamentantaafflictionepenitentie	compunguntur . et tamen tanta afflictione penitentie
seatterunt	se atterunt
.acsipeccatisangustentur.Etutexpressius	. ac si peccatis angustentur . Et ut ex pressius
loquarquodsencio.frequentiusaccidit.etfamiliaribusinter	loquar quod sencio . frequentius accidit . et familiaribus inter
nosexemplissepiusexperimur.uthii	nos exemplis sepius experimur . ut hii
quiperfectiorisin	qui perfectioris in
nocentieprerogatiua.inexorabilescorporumsuorumpersecutoreseffecti	nocentie prerogatiua . in exorabiles corporum suorum persecutores effecti
:subarcioriseuiteregularisausteritatecoartent	: sub arciori se uite regularis austeritate coartent
.uidereseosuigiliis.ieiuniis.et	. uideres eos uigiliis . ieiuniis . et
orationibus.tamtaspiritusalacritateperseueranter	orationibus . tamta spiritus alacritate perseueranter
insistere.utterminospossibilitatemquenaturetranscendere	insistere . ut terminos possibilitatemque nature transcendere
iudeantur.illatisdelectaricontumeliis.temporalibusangustiis	iudeantur . illatis delectari contumeliis . temporalibus angustiis
dilatari.nonenimignorantquiaartaest	dilatari . non enim ignorant quia arta est
uiaqueducitaduitam.etqui	uia que ducit ad uitam . et qui
perfectouestigiocrucifixumuoluerintimitari	perfecto uestigio crucifixum uoluerint imitari
:necesseesteosspretamundihuiusgloria.	: necesse est eos spreta mundi huius gloria .
cumuitiisetconcupiscentiiscrucifigi.talesreuera	cum uitiis et concupiscentiis crucifigi . tales reuera
crucemchristi.cruceminnocentiebaiulant	crucem christi . crucem innocentie baiulant
.quietomni	. qui et omni
modaconscientiepuritate	moda conscientie puritate
interiusdelectantur.ettamenadaugmentumpremii.	interius delectantur . et tamen ad augmentum premii .
exterius:armispenitemtietotoferuorespiritusaccinguntur.huic	exterius : armis penitemtie toto feruore spiritus accinguntur . huic
cruciquaminnocentisessediximus.iohanesprecursor	cruci quam innocentis esse diximus . iohanes precursor
dominicusinseparabiliteraffixus	dominicus in separabiliter affixus
fuerat.qui	fuerat . qui
licetproptereminentiamsanctitatis.angelico	licet propter eminentiam sanctitatis . angelico
promissusessetoraculo.conceptusmiraculo.sanctificatusin	promissus esset oraculo . conceptus miraculo . sanctificatus in
utero:tamenutpeccatoribus	utero : tamen ut peccatoribus
formampenitentieprescriberet.corpusinnocentissimumuirtutesingularisabstinentie	formam penitentie prescriberet . corpus innocentissimum uirtute singularis abstinentie
.sicattenuauit.quasiscelerum	. sic attenuauit . quasi scelerum
multorumconscius.reummortiseterneseiudicaret.qui	multorum conscius . reum mortis eterne se iudicaret . qui
preceterissanctisuiteperhennis	pre ceteris sanctis uite perhennis
premiodignus	premio dignus
exstitit.	exstitit .
sicetsanctimartirescorporasuapropterdeumuariissuppliciis	sic et sancti martires corpora sua propter deum uariis suppliciis
exponentes.adexemplumredemptorissui.quenon	exponentes . ad exemplum redemptoris sui . que non
rapuerantexsoluerunt.etperinnocentiamperuenientes	rapuerant ex soluerunt . et per innocentiam peruenientes
adpalmam	ad palmam
martyrii.acceperuntcoronamuite.quam	martyrii . acceperunt coronam uite . quam
repromisitdeusdiligentibusse	repromisit deus diligentibus se
.constatautemcruxistaex	. constat autem crux ista ex
duobuslignis.	duobus lignis .
aptesibiinuicemcompositis.quesunthumilitas.et	apte sibi inuicem compositis . que sunt humilitas . et
patientia.necesseest	patientia . necesse est
enim.utquidonocelestis	enim . ut qui dono celestis
gratieinnocentemseauicusintelligit.et	gratie innocentem se auicus intelligit . et
tamenadaugmentum	tamen ad augmentum
premii.corpussuumpenitentie	premii . corpus suum penitentie
legibusastringit:humilitatemseruetincordeetpatientiamteneat	legibus astringit : humilitatem seruet in corde et patientiam teneat
inopere.neforteperlaudem	in opere . ne forte perlaudem
bonorumoperumque	bonorum operum que
forislucent.adinanemrapiaturgloriam.	foris lucent . ad inanem rapiatur gloriam .
uelsiin	uel si in
afflictione.penitentiepatientiamnonseruauerit:	afflictione . penitentie patientiam non seruauerit :
fructumpenitentie	fructum penitentie
nonconsequens.sentiatproremuneratione	non consequens . sentiat pro remuneratione
uindictam.porrocrucempenitentisbaiulant.qui	uindictam . porro crucem penitentis baiulant . qui
peccatapreteritalacrimisredimentes.annossuosin	peccata preterita lacrimis redimentes . annos suos in
amaritudineanimesuerecogitant.etmembraqueinstinctudiabolice	amaritudine anime sue recogitant . et membra que instinctu diabolice
suggestionisexhibuerantseruireimmundicie	suggestionis exhibuerant seruire immundicie
etiniquitati	et iniquitati
.adiniquitatem.necoperantegratiadiuine	. ad iniquitatem . nec operante gratia diuine
inspirationis:exhibentseruireiusticieinsanctificationem.horum	inspirationis : exhibent seruire iusticie in sanctificationem . horum
penitentienonsolumhomines.sed	penitentie non solum homines . sed
etangeli	et angeli
congratulantur.gaudentenimangelide	congratulantur . gaudent enim angeli de
penitentiaetconuersionepeccatorum.sicut.	penitentia et conuersione peccatorum . sicut .
scriptumest.gaudiumestangelisdei	scriptum est . gaudium est angelis dei
superuno	super uno
peccatorepenitentiamagente.undeetsignis	peccatore penitentiam agente . unde et signis
exterioribuspenitentie.plurimumdelectantur.	exterioribus penitentie . plurimum delectantur .
utpoteusucilicii.	ut pote usu cilicii .
profundissuspiriis.deuotisorationibus.	profundis suspiriis . deuotis orationibus .
crebragenuumflexione.etceterisbonorumoperumexerciciis	crebra genuum flexione . et ceteris bonorum operum exerciciis
.quibuspeccatrix	. quibus peccatrix
anima:creatorisuoaquoper	anima : creatori suo a quo per
iniquitatemrecesserat	iniquitatem recesserat
coniungitur.etipsiuslargienteclementia.quiomneshomines	coniungitur . et ipsius largiente clementia . qui omnes homines
uultsaluosfieri:supernorumciuium	uult saluos fieri : supernorum ciuium
cetibussociatur	cetibus sociatur
.Queautemmaiorgaudiorumpotestessemateria.	. Que autem maior gaudiorum potest esse materia .
quamcum	quam cum
redemptorbenignissimuspeccatoremleciferouitiorumsoporedepressum.	redemptor benignissimus peccatorem lecifero uitiorum sopore depressum .
manupaternesollicitudinisexcintandoconcutit.utaduertatpeccatorumsuorum	manu paterne sollicitudinis excintando concutit . ut aduertat peccatorum suorum
uulnera.utdolorem	uulnera . ut dolorem
uulnerumsuorumsentiat.quempriuspreduritiacordis	uulnerum suorum sentiat . quem prius pre duritia cordis
nonattendebat.terrendo	non attendebat . terrendo
deniquededucitad	denique deducit ad
portasinferi.preoculisstatuenssupplicia	portas inferi . preoculis statuens supplicia
.impiisetpecctoribuspreparata.sed	. impiis et pecctoribus preparata . sed
neterroriste.reumbaratrodesperationisabsorbeat:pius	ne terror iste . reum baratro desperationis absorbeat : pius
consolatormedelamuulneribusadibens	consolator medelam uulneribus adibens
.speremissionisetindulgentie.	. spe remissionis et indulgentie .
corpenitentisexhilarandoconfortatur:Etnotandumquod	cor penitentis exhilarando confortatur : Et notandum quod
cruxpenitentisintribusprecipueconsistit.uidelicet.	crux penitentis in tribus precipue consistit . uidelicet .
incarniscastigatione.incordis	in carnis castigatione . in cordis
compunctione.etiniuriarumremissione.carniscastigatio	compunctione . et iniuriarum remissione . carnis castigatio
admodumpenitentinecessariaest.oportet	ad modum penitenti necessaria est . oportet
enimutuerepenitenstantoalicitisstudeatabstinere.quanto	enim ut uere penitens tanto alicitis studeat abstinere . quanto
seillicitameminitcommisisse.necpardebetesse	se illicita meminit commisisse . nec par debet esse
fructuspenitentieilliuis.quiabannispueritie	fructus penitentie illiuis . qui ab annis pueritie
seruauitinnocentiam	seruauit innocentiam
.etillius	. et illius
quisolutopudiciciefreno:permultauitioruminquinamentamaculauit	qui soluto pudicicie freno : per multa uitiorum inquinamenta maculauit
uitam.grataautemerit	uitam . grata autem erit
deocorporiscastigatio.siocculta.si	deo corporis castigatio . si occulta . si
discreta.sideniqueprelatiiudicio	discreta . si denique prelati iudicio
fueritapprobata.occulta	fuerit approbata . occulta
:utnesciatsinistrapropterdeum.se	: ut nesciat sinistra propter deum . se
corporaliteraffligentis.quidfaciatdexteraeius.utbonum	corporaliter affligentis . quid faciat dextera eius . ut bonum
opuseiussitinabscondito	opus eius sit inabscondito
.etpatercelestisquiuidetinabscondito	. et pater celestis qui uidet inabscondito
reddetei.sitetiam	reddet ei . sit etiam
discretacarniscastigatio.utpenitenssicuoluptatem	discreta carnis castigatio . ut penitens sic uoluptatem
carnisreprimat.uttamennecessitatem	carnis reprimat . ut tamen necessitatem
corporeefragilitatisattendat.nesiforteualidenimis	corporee fragilitatis attendat . ne si forte ualide nimis
hostissubicitur:	hostis subicitur :
ciuisnecessariusoccidatur.fortitudocorporisdomino	ciuis necessarius occidatur . fortitudo corporis domino
custodiendaest.iuxtapsalmistamqui	custodienda est . iuxta psalmistam qui
dicit.fortitudinemmeamadtecustodiam.	dicit . fortitudinem meam ad te custodiam .
utetabstinentiaillicitumcarnisrefrenetappetitum.et	ut et abstinentia illici tum carnis refrenet appetitum . et
discretiocorpusincolume	discre tio corpus incolume
seruetad	seruet ad
creatorisobsequium.neque	creatoris obsequium . neque
enimsicutscriptumest.in	enim sicut scriptum est . in
abstinendoueledendoconsistitiusticia.sed	abstinendo uel edendo consistit iusticia . sed
inequanimitatetolerandiinopiam.	in equanimitate tolerandi inopiam .
etintemperantia	et intemperantia
.nonsecorrumpendi	. non se corrumpendi
perhabimdantiam.uidimusplerosqueindiscretisieiuniis.	per habimdantiam . uidimus plerosque indiscretis ieiuniis .
supersticiosauigiliarumanticipatione	supersticiosa uigiliarum anticipatione
.sicdebilitasseuirescorporis:uttotouitesue	. sic debilitasse uires corporis : ut toto uite sue
tempore.nonsinefratrumscandalo.	tempore . non sine fratrum scandalo .
nonsineconscientiedetrimento.	non sine conscientie detrimento .
propterinfirmitatisnecessitatem	propter infirmitatis necessitatem
