cilz quisceuent delalecture	---|--|------|-|-|------|
iamaisterrenetrouuer ez	-----|----|-|-------⌫-|
oulen nedoubteaucune	-|--|-|-----|-----|
ralons nousen	-----|---|-|
siferons bien	-|-----|---|
at ant le slie uresreto urnerent	|-⌫--|--⌫|---⌫---|----⌫-------|
en leurco ntrees e nralerent	-|---|--⌫----||-⌫|-------|
decese doiue ntpourp enser	-|-|-|-----⌫-|-----⌫----|
c ilquis eueulentremuer	-⌫-|--|-⌫|------|-----|
etleur an cienlieu guerpir	-|---|--⌫---|---|------|
queleur en	--|---|-|
peu t ap resu eni r	---⌫|--⌫--|-⌫---⌫|
iamais rene n e trouueront	-----|---|-⌫|---------|
nentelle terr eneuendront	|-|----|----⌫|-|-------|
quetouzysoients anzpaour	--|---||-----|-⌫--|----|
ou s a nztrauailous anz	-|-⌫-⌫-|------|-|-⌫--|
dunlio ncon tequassembla	|-|---⌫|---⌫-|-|-------|
t outesle s	-⌫----|--⌫|
bestes et m a nda	-----|-|-⌫-⌫--|
q uialoientsu rquatre	-⌫-|------|--⌫|-----|
et li a iglesapourchaciez	-|-|-⌫----||----------|
touzle soysiauxqui ellesont	---|--⌫|------|--|----|--|
etquiuolentenlair	-|--|-----|-||--|
batailledeuoient ten ir	-------|-------|---⌫-|
quant ensemble	----|-------|
du rentuenir	--⌫---|----|
e t lacha u ue	-⌫|-|---⌫-⌫-|
sourizlesuit	-----|--|--|
c uerapenséet	-⌫--||-----|-|
quemoul t redoubtoitce laffaire	--|----⌫|---------|--⌫|------|
nes ce t auxquelxsedeust	-|-⌫--⌫|--|----|-|----|
ouc eulxu eultestr equiuaint ront	-|-⌫---|-⌫---|----⌫|--|-----⌫---|
lagreignourforce auront	-|--------|----|-----|
suru nhau ltfustsenestmonte e	--|-⌫|---⌫-|---||-|--|-----⌫|
pouresgarde r celle as semblee	---|-------⌫|----|--⌫------|
celifuuis son escient	-|-|-|--|--|------|
qu e lilion	--⌫|-|---|
etquil est	-|-|-|--|
degreigno u riustice	-|-------⌫-⌫|------|
oulesbestessaprop ice	-|--|-----|------⌫--|
et laigle fuamontu o lez	-||----|-|----|-⌫-⌫--|
