mout fu irie z	---|-|----⌫|
merueill eq ueleauoitoie.	--------⌫|-⌫|--|----|--||
ci llois i fusi	--⌫||-|-⌫|-|-|
espoantezquilnepotrespondreet d	--------|-|-|-|--|--------|-||
sena la.sisepens a enso n cuer	|-|-⌫-||-|-|----⌫|-|--⌫|---|
etdistquesit os tcomliiuges	-|---|--|-|-⌫--⌫|--|-|----|
queillo cirroit.ete i nsis en	--|-||-⌫------||-|-⌫-⌫--||-|
alapensanthor s dela uileet	--|------|---⌫|-|-|---|-|
une riu ier eet	--|---⌫---⌫|-|
d i stqu em iauz li	-⌫-⌫-|--⌫|-⌫---|-|
uientqueil setue	----|--|-|-|--|
queliiug eslefeistmorir de	--|-|---⌫-|-|----|----|-|
uilainnemort et dedespiteuoi antle	-------|---|-|-|------|---⌫--|-|
et einsi lemenade ables cui oeures	-|----|-|---|--⌫----|--|-----|
ilauoit fait esqueillef ist	-|----|----⌫-|--|-|-|-⌫--|
iauesiseno i a	---|-|-|--⌫-⌫|
. i c eu irent	|-⌫-⌫|-⌫----|
cilquifurentenuoiéauecla	--|--|-----|------|---|-|
porce desfant	--|-|------|
cis tconte sq ue	---⌫|-----⌫|-⌫-|
homiriezn e f ui e lesgenz	--|----|-⌫|-⌫--⌫|--|---|
que deablesre pa irep lustost e t	--|------|--⌫--⌫--|-⌫--|---|-⌫|
tie nt compaignieasg enzseules	---⌫-|---------|-|-⌫--|-----|
asautres.einsissen	-|-----||-----||-|
re uinrent	--⌫------|
cilquic estemerueille	--|--|-⌫---|--------|
orentueu ecarautierzior queil	----|---⌫|--|-|----|--|--|-|
furent las	-----|-||
estoi tilnoiez .	-----⌫|-|----||
etq ua nt liiuges loi s ile	-|-⌫--⌫-|-|----||-|-⌫|-|
agrant merue illee t uin ta melli n	|----|-----⌫---|-⌫|---⌫||-----⌫|
etqua ntmellinsloi	-|---⌫-|------||-|
si lidist or p uezsauoir	-|-|---|-|-⌫--|-----|
queietedis u o iretie te pri	--|-|-|--|-⌫-⌫-|-|-|-|--|
qu ensicomiete disque	-|---|--|-|-|--|--|
t ulediesblai ses.et	-⌫|-|---|----⌫--||-|
cilbla ises	--|---⌫---|
es toitleprodom equ i	--⌫---|-|------⌫|--⌫|
confes soi tsame re	------⌫---⌫|-|--⌫-|
etliiugeli	-|-|---|-|
merueilleein si com ele	--------|---⌫-|--|--|
estoitauenue	-----|-----|
de celho me .	-|--|--⌫-||
ein si s e n	---⌫-||-⌫|
alamellinsentre	--|------|----|
same re etblais es. etlii uge	-|--⌫-|-|-----⌫-||-|-|-⌫--|
s e n alerentd aut repartla	|-⌫|------||---⌫-|---|-|
uostrent. cilbla isesestoit	-------||--|---⌫---|-----|
bonsclersetm olt sotilzet	---|----|-|-⌫--|-----|-|
prestres. quant i l oimellin	-------||----|-⌫|-|-----|
einsissoutilmentpallerquisip etit	-----|---------|-----|--|-|-⌫---|
aaig eauo it	----⌫|---⌫-|
car ilnauoit	--|-||----|
mie aceleoreplu s	--||---|--|---⌫|
demi-sis en	---||-||-|
merueilloit	----------|
mol tdont sigranz s ens po oit	---⌫|---|-|----|-⌫--|--⌫--|
mistenmoltgrant	---|-|---|----|
po inedou sauoiret essaiamellinen	--⌫--||-|-----|-|-----|-----|-|
mai ntesm anierestota saguise	---⌫---|-⌫------|--||-|----|
tan tq uemellinsli	---⌫--⌫-|------|-|
dist blaise nem	---|-----|-||
essaiemiecartantcomtuplus	-----|--|--|---|--|-|---|
messaieras ettu pluste	|--------|-|-|---|-|
merueillera s . maisfai ceque ie	-----------⌫||---|--|-|--|-|
te prierai	-|------|
etcro i gr ant partie dece	-|---⌫|--⌫--|-----|-|-|
etie tap randr ai	-|-||--⌫-----⌫-|
legiere menta auoirlam or	-------⌫---||----||--⌫-|
ihes u crist	----⌫|----|
etioiepardu rable.	-|---|-----⌫----||
etblaises respont iele t ai	-|------|------|-|-||-|
o idire eti e	-⌫|---|-|-⌫|
cro i bien	---⌫|---|
que t usoies conceuz	--|-⌫|----|------|
ded eablessi	-|-⌫-----|-|
tedoutque t u	-|---|--|-⌫|
nemenging ne s. et	-||------⌫--⌫||-|
ilest costumede	-|--|------|-|
tozmauu a is cuers que il	--|----⌫-⌫-|----|--|-|
tozlorafaire setnotent	--|--|------⌫|-|-----|
plu ssou entmal que b ien.ansi com tum	---⌫|---⌫--|--|--|-⌫--||---|--|-||
oisd ireque i	--|-⌫--|--||
estoie conceuz	-----|------|
de deableautr esism	-|-----|----⌫---||
oi studireque	--⌫|-|---|--|
no stresiresm	--⌫---|----||
auoitdoné	----|----|
senet me m oired esauoirles chosesqui	--|-|--⌫-⌫---|-⌫|-----|--|-----|--|
sontaaue nir. etpor	---||---⌫--||-|--|
fussessaiges	-----|-----|
deussestu p rouerqueiedeuoie	------|-|-⌫----|--|-|-----|
bie n sauoir	---⌫|-----|
a uquel iemedeu oieten ir.et	-⌫|---|-|-|---⌫--|---⌫-||-|
bien saichestuque quan t nostre	---|------|-|--|----⌫|-----|
sire suol tqueieseussese s	----⌫|---⌫|--|-|-----|--⌫|
chosesquedeables	-----|--|------|
mais ie naipasperdu lor eng ing	---|-||-|--|----|--|---⌫--|
lo r a rtainztien gdels c e	--⌫|-⌫-|---|----⌫||--|-⌫|
qu etenirendoimais	--⌫|----|-|--|---|
tiengmiepor	----|--|--|
lorpron eil qua nt	--|--|-⌫|-|---⌫-|
c oncurenten ma	-⌫-------|-|-|
pasqu e saige	--|--⌫|----|
mi st rent	--⌫--⌫---|
t e l ua isselquilne	-⌫-⌫|--⌫----|-|-|-|
d euoitpaslor	-⌫----|--|--|
estreetla bone uiemamerelor	----|-|-|---|--|-|---|--|
nuis tmolt . m aiss	----⌫|---||-⌫--||
ilm eussie ntmiset	-||------⌫-|--|-|
conceu enmaiole	-----|-||----|
iefusselorsique ia	-|----|--|-|--|-|
pooirdeconois trecuidiex	----|-|------⌫--|--|---|
que l efu de	-|-⌫-⌫|-|-|
molt mal uaiseui ee t	---|---⌫----|--⌫|-⌫|
liu inttot	-|-⌫--|--|
le tor me nt	-|---⌫--⌫-|
quema mereot	--|-|---|-|
de sonpe r e	-|--|--⌫-⌫|
au tresdamai gesque	--⌫---|-----⌫--|--|
tuasoi conter.m aiscroiceque	-|-|-|-----||-⌫--|---|-|--|
iet e dirai de lafoie tde la	-|-⌫|----|-|-|--|-⌫|-|-|
c reance et iet e diraitelchose	-⌫-----|-|-|-⌫|----|--|----|
n ush omfo rsd i euet	-⌫-|-⌫-|--⌫-|-⌫-⌫-|-|
et maintes	-|------|
celiure orront	-|----|-----|
e ns erontmeilloret s e	-⌫|-⌫----|------|-|-⌫|
garderon tplus d e pechier si	--------⌫|---|-⌫|------|-|
a umon ese tm et rastoureen bien.	-⌫----⌫-|-⌫|-⌫--⌫--||---|-|---||
etblaise srespont	-|------⌫|------|
i e feraiuolentiersleliu re	-⌫|----|---------|-|---⌫-|
i eteconiur	-⌫|-|-----|
doupereetdou	--|---|-|--|
filetdous aintesperiteinsis	--|-|--|-⌫---|------|-----|
ueraiement comies aietcroi	---------|--|-|-⌫-|-|---|
qu ece syypartiessontunemeisme	--⌫|--⌫|-|------|---|--|-----|
chose endieu	----|-|---|
etdelaboneeur ee	-|-|-|-------⌫-|
fil dieu porta apereet	--|---|----||---|-|
etde to z sainzaposto les	-|-|--⌫|----|------⌫--|
etdetozanges e tdetozacanges	-|-|--|----|-⌫|-|--|------|
toz sains et d e toutes	--|----|-|-⌫|-----|
saint e setdetouzlesprel az	-----⌫-⌫|-|-|---|--|----⌫-|
sainte eglise	-----|-----|
etdetoz bonshome s	-|-|--|---|----⌫|
et detotesbonnesfemes etdetoutes	-|-|----|-----|----|-|-|-----|
le s creaturesquidieuseruent	--⌫|--------|--|---|------|
etaimentpriiequet uneme	-|-----|--|-|--|-⌫|-|-|
puissesengingni e rnedece uoir	------|--------⌫-⌫|-|----⌫---|
nefairechosequiaupla isir n ostre	-|----|----|--|-|---⌫---|-⌫----|
seingnor ne soit.et	-------|-|---||-|
responttoutesicelescreature s	------|-----|-----|--------⌫|
d on ttuas	-⌫--⌫|-|-|
parlémenu isent	-----|-|--⌫----|
u ers dieu seieia tefais	-⌫--|---|-|-|-|-|---|
fairequico ntrela u olenteihes u	----|--|--⌫---|-|-⌫-----|----⌫|
crist monsauu eorsoit.etblaises	----|--|----⌫--|---||-|------|
respon tor medirasdonc	------⌫|-|-|----|---|
ce que tu uo ur rascar	-|--|-|--⌫--⌫--|--|
desorceque tuco mendera s de	--|-|-|--|-|--⌫-------⌫|-|
etmellinslid istor	-|------|-|-⌫--|-|
qu ier encre	--⌫--|----|
e tparchemi n ades car i ete	-⌫|--------⌫|---|--|-⌫|-|
mainte s choses quetun ecu ideroies	------⌫|-----|--|-|-⌫|--⌫-------|
que nus h ompoistdire .	--|--|-⌫-|----|---||
e insisqui st blai s es ce quemestiers	-⌫----|---⌫-|----⌫-⌫-|-|--|-------|
lifuetqua ntilot tot	-|-|-|---⌫-|-|-|--|
quiset ass amblésili comen caa	---|-|---⌫-----|-|-|-----⌫-||
aconterl esamors deihesucrist	------|-⌫-|----|-|----|----|
de iosephtot einsi	-|-----|--|----|
a uoie nt esté e td eluietdeso n	-⌫----⌫-|----|-⌫|-⌫|--|-|-|--⌫|
lingnaig e	--------⌫|
celesgen zq ui	----|---⌫|-⌫-|
leuaisseld ou	-|------|-⌫-|
gra al auoientet touteloeu re	---⌫-|------|-|----||---⌫-|
esté etdalein	----|-||----|
etd esacompaign i e	-|-⌫|-|--------⌫-⌫|
part i z de chiesson	----⌫-⌫|-|----|--|
pere e t coment	---|-⌫|-----|
estoitalez	-----|---|
e tcomentioseph	-⌫|-----|-----|
sedessaiside son	-|-------|-|--|
uaisseletcoment ilf ina	------|-|-----|-|-⌫--|
et c omentdeables apres	-|-⌫----|------|----|
chosesfurenttoutesauenue s	-----|-----|-----|------⌫|
p rinrentconseil decequ i l	-⌫------|------|-|-|-|-⌫|
auoientperdulorpooirquil	------|----|--|----|-|-|
au oir seur le sh omesetcome ntli	--⌫--|---|--⌫|-⌫---|-|----⌫-|-|
p rophetelorauoient malfait	-⌫------|--|------|--|---|
ceauo ientporpale ́et acordé	-|---⌫---|-------⌫|-|------|
en semblecomentilferoient	--⌫-----|-----|-|-------|
sisacorderent ensembleet	-||---------|-------|-|
distrentqu ilme	-------|-|-|-|
fero ientettu	----⌫---|-|-|
bien o iet sez	---|-⌫|-|--|
pa rmamerelapoine	--⌫|-|---|-|----|
quiliontmise	-|-||--|---|
engi ng et p orlafoliedontil son t	----⌫-|-|-⌫-|-|----|---|-|---⌫|
pleinmontperd u	----||--|----⌫|
tozau tre s biens.einsi	--|--⌫---⌫|----||----|
mellins cest e oeure	------|----⌫|----|
etlafist fa ire a	-|-|---|--⌫--||
blaise s.mol ts e	------⌫||---⌫|-⌫|
merueill a b laisesparp lusors	--------⌫|-⌫-----|--|-⌫-----|
foizdesmerueillesquemel li ns li	---|--|---------|--|---⌫--⌫-|-|
di soitettoutesu oiesces	--⌫---|-|-----|-⌫---|--|
m eruei lleslisembloientaestre	-⌫-----⌫---|-|---------||----|
b onn eset	-⌫---⌫-|-|
m ol tuolentiers .e ndem entre squil	-⌫--⌫|---------||-⌫----⌫-----⌫--|-|
en tendoitaces tec hosefair e	--⌫------||---⌫-|-⌫---|----⌫|
q uemellinsdist abl aises	-⌫-|------|---||--⌫----|
iltecouenra	-|-|------|
de cestechose	-|----|----|
quetu faiz grant	--|-|---|----|
p oineaso ufriret	-⌫---||--⌫----|-|
ieensoff e rai gre ingnor.	-|-|----⌫-⌫--|---⌫-----||
et ci lde ma n deco mente tildist	-|--⌫|--⌫--⌫-⌫-|--⌫---|-⌫|-|---|
i eseraienu oie zque rre d euers	-⌫|----|---⌫---⌫|---⌫--|-⌫----|
occida ntetquimeu enrontquerre	------⌫-|-|--|-|-⌫-----|-----|
aur ontlorseingnor que	---⌫--|--|-------|--|
i l liporteront	-⌫|-|--------|
queil mocirront .	--|-||-------||
mais q uant	---|-⌫---|
ilmeuerrontet	-|-|------|-|
ilm orront	-||-----|
n enauront	|-|-----|
ia talant.	-|-----||
et l orsquantie menirai	-|-⌫--|----|-||-|---|
e ttut eniras enceles parties	-⌫|-||-|---|-|----|------|
genzsont qu i le	---|---|--⌫|-|
dougraalontet	--|----|--|-|
tozi orz maisser a	--|-⌫--|---|---⌫|
l iureretrait	-⌫---|------|
etuolen t iersoiz	-|-----⌫-⌫---|--|
entozleus.maisilne serapasen	-|--|---||---|-|-|---|--|-|
auct orit eporceque	----⌫----⌫|--|-|--|
p a snenepuezestredes a post ole s	-⌫-⌫|-|-|---|----|--|-⌫----⌫---⌫|
carliapostolenemistrent	--|-|-------|-|-------|
rien s enescritdeno stre s eingnorqu	----⌫|-|-----|-|--⌫---|-⌫------|-|
ne ussent ueuet	|-⌫-----|--|-|
ettu nimez rienque	-|-|||--|---|--|
a iesue uneoisecenon que ie	-⌫--|--⌫|-|-|-|-|--|--|-|
e t ansicomiesuioscurs	-⌫|---|--|-|--|-----|
e tseraiuerscelscui	-⌫|----|---|---|--|
ie neme uoudrai esc larcir ans i s	-|-|-|------|---⌫-----|---⌫-⌫|
liures cele z etpoi	-----|----⌫|-|--|
que nus e nf acebont e . et tul	--|--|-⌫|-⌫--|----⌫||-|-||
enpo rteras quantie m	----⌫-----|----|-||
auec celui quimeuendra querresi	---|----|--|-|-----|-----|-|
iosephetlebron	-----|-|-|---|
ou letuen q uanttuauras ta	-|-|---|-⌫---|-|----|-|
poineesch iuee ettusera st ie ls	----|----⌫---|-|-|----⌫|-⌫--⌫-|
quet udoiesestre	--|-⌫|----|----|
enl or compo ignie .	-|-⌫-|-----⌫----||
lorssi assem b leraston l iure	---|-|-----⌫-⌫----|--|-⌫---|
aulor s i serabonec h ose	-|--|-⌫|---|---|-⌫-⌫--|
demapoineetdela toue	-|-|----|-|-|-|---|
aurontmerci s	-----|----||
proi erontnost r eseing norporno s.	----⌫----|----⌫-⌫|-----⌫--|--|--⌫||
lid uiliureser on tassamblésen	-|-⌫-|----|---⌫--⌫|--------||-|
iaur a zzbiau et	|---⌫|-|---|-|
serontun emeismechosefors	-----|--⌫|-----|----|---|
tan tqueiene	---⌫---|-|-|
direneretrairene	---|-|-------|-|
les priueespar oles d eiosephet	--|------|---⌫---|-⌫|-----|-|
deihesucrist.ei ns idistm es	-|----|----||--⌫--⌫|---|-⌫-|
roberz de borron	-----|-|-----|
co nter etraitqueil seredouble	--⌫--|-⌫-----|--|-|-|-------|
e t einsi ledita	-⌫|----|-|---|
m elli n s q ue il n epot	-⌫----⌫-⌫|-⌫-|-|-⌫|--|
sau oir leconte	---⌫--|-|----|
dou graal.	--|----||
enc elcontemple	-|-⌫-|--------|
pa rlée t don tie	--⌫---|-⌫|---⌫|-|
parole encoreesto it nouelement	-----|-----|----⌫-|---------|
uenue c re stient ezenengleterre	----|-⌫--⌫------⌫-|-|---------|
auoite ncoregaires rois	----|-⌫----|-----|---|
crestienseuz	--------|--|
. de sroisquii	|--⌫|---|--||
e sté nemetientriens aretraire	-⌫---|-|-|----|----||-------|
fors tan tcomaces t conte	---|---⌫|--||---⌫|----|
amonte.u nroioten englete rre	-----||-⌫|--|-|-|-------⌫--|
quiauoitnoncostanz.icist	--|----|--|------||----|
costan zreigna grantpiece	------⌫|-----|----|----|
auoityyf ilz	----|-|-⌫--|
quia u oit nonmoineset li	--|-⌫-⌫--|--|-----|-|-|
auoitn o np and ra gon	----|-⌫-⌫|-⌫---⌫--⌫--|
etlitiers auoitnon uit iers.	-|-|----|----|--|---⌫---||
ici stcostans auoit	---⌫-|------|----|
zzhome ensaterrequiot	-|---|-|-|----|--|-|
ue rtigiers.icistuert igierssi	--⌫-------||----|----⌫-----|-|
estoit m oltsaiges	-----|-⌫--|-----|
dou siecle et	--|-----|-|
moltengingneus e t bons cheualiers	---|---------|-⌫|---|---------|
autensqui lor se st oit.e t	-|---|--|---⌫|-⌫--⌫--||-⌫|
fuuiauset al a deuie	-|----|-|--⌫|-|--|
amort etqu antilfumorz	|---|-|--⌫--|-|-|---|
de me nderentlesgenzdecui il	--⌫--⌫------|--|---|-|--|-|
seingnor.et	-------||-|
le p l uss	-|-⌫-⌫-||
acordeq ueil feis sent	-----|-⌫-|-|----⌫---|
fi llo rseingnor dou	--⌫|--⌫|-------|--|
moin eetil	----⌫|-|-|
estoitionesm ais ilne	-----|----|-⌫--|-|-|
pasd roi z qu ilfeissentroi	--|-⌫---⌫|-|-|-------|--|
autr ee tlelaississie nt	----⌫|-⌫|-|----------⌫-|
eti l estoi tl	-|-⌫|-----⌫||
ai n sne . uertigiers	--⌫-⌫--||---------|
meismessiacord amolt	------|||-----⌫|---|
e t tanten parlerentqu e ro ien	-⌫|---|-|--------|--⌫|--⌫|-|
fire nt.etq uantli moinesfu	----⌫-||-|-⌫---|-|-----|-|
g uerr e e tuertigier fu se neschal.et	-⌫----⌫|-⌫|--------|-|--⌫------||-|
lisaineque gerreoient	-|----|--|---------|
lemoine etcelsq ui dela loi	-|----|-|---|-⌫-|-|-|--|
rom ees toien tuinrent par	---⌫|--⌫-----⌫|------|--|
pluso rsfo izpor	-----⌫-|--⌫-|--|
combattreascre s tiens .	--------|-|---⌫-⌫----||
e t ue rti giers	-⌫|--⌫---⌫----|
qui estoit	--|-----|
seneschaldelaterre et en	--------|-|-|----|-|-|
d outoutaso n plai si r u it	-⌫-|---||--⌫|----⌫--⌫|-⌫-|
qu iestoitroisetses si ressi ne	--⌫|-----|---|-|--|--⌫--|-|-|
sauoitgairesetsi	-----|-----|-|-|
nestoit p assi p reuz nesi	|-----|-⌫-|-|-⌫---|-|-|
saiges commestiers li	-----|--|-------|-|
e tuertig i ersa u oitde l auoir	-⌫|------⌫-⌫--|-⌫-⌫--|-||----|
laterremoltt raita so ile	-|----|---|-⌫---||--⌫|-|
cuerd es genzet quan t ilsot	---|-⌫-|---|-|----⌫|-|--|
letenoientpor preu et	-|-------|--|---|-|
sisenorgu eil list et	-||-|----⌫---⌫---|-|
dist porcequeilue oit bien	---|--|-|--|-|--⌫--|---|
quilniauoi t	-|-|||----⌫|
nu sque ceque	--⌫|--|-|--|
f ai soitpoistfaire sidist	-⌫--⌫---|----|----|-|---|
quilne s entremetroitplus	-|-|-||-----------|---|
afaireler oisi	-----|-|-⌫-|-|
s entr aistarrieres .	|-|--⌫---|-------||
etquant l isaineoirentquei l	-|----|-⌫|----|-----|--|-⌫|
auoitla issiélabailliesi	----|--⌫-----|-|------|-|
sassamblerent etuinre nta	|-----------|-|-----⌫-||
granzozs usles cre stie ns	----|-|-⌫-|--|---⌫----⌫-|
.e tlirois	|-⌫|-|---|
uintauertigier	---||--------|
si li dist	-|-|---|
amisaidiezla	---|-----|-|
ter re a desfendre	---⌫-||--------|
car ieettuit cilq ui isont	--|-|-|---|--|-⌫-||---|
uos treuolonte.	---⌫--|------||
etuertigiersrespont sire or i	-|---------|------|---|-||
a illentliaut reque	-⌫-----|-|---⌫-|--|
ieni puismiealer car ilia	-|||---|--|---|--|-|||
uo stre reig n e	--⌫---|----⌫-⌫|
qu i meh een tporuos tre	--⌫|-|-⌫---⌫|--|---⌫--|
u eili equeilaillent	-⌫--|-⌫|--|-|------|
ba taillecariene menentremetrai	--⌫-----|--|-|-||-|----------|
q uant liro i loi	-⌫---|-|--⌫||-|
e tcilquiestoientauecluiqu	-⌫|--|--|-------|---|--|-|
ilni porroientplus prendre	-|||--------|---|------|
s isen alerente t atornerent a	-⌫||-|------|-⌫|---------||
alercombatre assaines.etlisa ine	---|-------|-|-----||-|-|--⌫--|
se combati rent	-|-------⌫---|
u einq uirent et desconfirent	-⌫----⌫-----|-|-----------|
et qua nt i lf urentuei ncuet	-|---⌫-|-⌫|-⌫----|---⌫--|-|
d esconf itsis	-⌫------⌫-|-||
en reuinr ent e t	-|------⌫--|-⌫|
auoient per duetqu iln	------|---⌫-|-|-|-||
eusse ntpas ce steperte	-----⌫-|--|--⌫--|----|
fait eseuertigiersieuteste ́.	----⌫|-|---------||--|----⌫||
einsireme s t . lienfe s	----|----⌫-⌫||-|----⌫|
miesibienles g enzretenirn eauoir	--|-|---|--|-⌫--|------|-⌫|----|
commestier sl i fust	--|-------⌫|-⌫|---|
silecuill irentlipl usor	-|-|-----⌫----|-|--⌫---|
haine .einsi remestune	----||----|-----|--|
g rantpiece	-⌫---|----|
ta ntqu ecil fus i tenuza mauuais	--⌫----⌫|--|-|-⌫|----||------|
quildistrent	-|-|-------|
s offerroientplus. lorsu inrenta	-⌫----------|---||---|-⌫-----||
uertigier s ili	--------|-⌫|-|
distrentsire	-------|---|
noss omes sanzroietsanzseing nor	--|-⌫---|---|--|-|---|-----⌫--|
neuautriens.	-|---|----||
pordieu soiezrois etno s	--|---|----|---|-|--⌫|
gouernezet	-------|-|
mai nt enezcar	---⌫--⌫---|--|
iln estnushom	-||--|--|--|
encesteterre	-|----|----|
sibien le puisseestre	-|---|-|-----|----|
doiecomm euos.e tilrespon t	---|----⌫|--||-⌫|-|------⌫|
ienoupuisestrenene	-||-|---|----|-|-|
do itan tcommes	--⌫|---⌫|--|--|
c ildientuendroit	-⌫-|----|-------|
morz.seilf ustmorz et	---||-|-|-⌫--|---|-|
uos etliautreuoulo ieiz qu eie	--|-|-|----|-----⌫---|--⌫|-|
fus se rois iouseroi e	---⌫-|---||-|-----⌫|
uolentie rs .	--------⌫-||
ma istantco mil ui ue n	--⌫-|---|--⌫|-|--⌫-||
ie estrenen e do i	-|----|-|-⌫|--⌫|
oirentla parole uertigiersi	-----|-|-----|--------|-|
p enserentce	-⌫-------|-|
quilu o strent sis	-|-|-⌫-⌫-----|-||
ent ornere ntd i quiet	-|-⌫------⌫-||-⌫--|-|
pr i st rent	--⌫-⌫--⌫---|
c ongiea lui.	-⌫----||--||
quantilsenfurent	----|-||-|-----|
si man derent	-|---⌫-----|
l oramisetq uantilsenfurent	-⌫-|---|-|-⌫---|-||-|-----|
uenu enlor paissi	---|-|--|---|-|
man derentl ora m is	---⌫-----|-⌫-|-⌫-⌫-|
furentuenusipallerent	-----|---|-|--------|
ensemble et cil l e	-------|-|--|-⌫|
contentcomentilauo ient	------|-----|-|---⌫---|
parléa uertigier	-----||--------|
et le respons que	-|-|------|--|
lor fist .etquantci ll	--|---||-|----|--⌫||
sidistrentcees t	-|-------|-|--⌫|
lemiau dreque	-|----⌫--|--|
no s locions	--⌫||-----|
lorsserauertigiers r ois etil	---|---|---------|-⌫--|-|-|
s aurabienqu eille sera	-⌫---|---|--⌫|-|-|---|
no sdes queli roisseraparno s	--⌫|---⌫--|-|---|---|--|--⌫|
m orz si fera maistoziorsq uanque	-⌫--|-|---|---|--|---|-⌫-----|
nosuoudrons eteinsi	--|-------|-|----|
estre seing nor de lu i .	----|-----⌫--|-|--⌫||
lo rs ato rnerentliqu eld	--⌫-|---⌫------|-|--⌫-||
ocirr o ie n teteinsi	-----⌫-⌫--⌫-⌫|-|----|
enesl i rent yy et	-|---⌫-⌫---|-|-|
uinrentla oulir ois e st oit	------|-|-|-|-⌫--|-⌫--⌫--|
silicorur ents us	-|-|-----⌫--|-⌫-|
acoutia useta	|------⌫-|-||
es p eessiloci strent.	--⌫-⌫--|-||---⌫-----||
fu tostfaitcarilestoitione s	-|---|---|--|-|-----|----⌫|
quantillore nt	----|-||---⌫-|
net roueren tonques	-|-⌫-------⌫|-----|
granm ant enpa rlasteteinsi	-----⌫--|-|--⌫----|-|----|
reuinrentauertigier si	--------||--------|-|
distre nto rser astu roiscar	------⌫-|-⌫|---⌫-|-|---|--|
auonsmort l e roimoi ne	----|---|-⌫|--|---⌫-|
uertigiersoi quill	---------|-|-|-||
mortsi fistse mblantqu	---|-|---|--⌫-----|-|
il en fus t	-|-|---⌫|
moltir iez et	---|--⌫--|-|
dist uosauez	---|--|---|
malfait de	--|---|-|
uostreseing norocirreet ie	-----|-----⌫--|-----|-|-|
uoslo que uos	--|-|--|--|
uose nfuioizpor lesp rodeshomesde	--|-⌫------|--|--|-⌫----|----|-|
ocirron t e tieneuos	-------⌫|-⌫|-|-|--|
garanzet molt	-----|-|---|
dont uosiestes c auenu z .einsi s	---|--|-----|-⌫|----⌫||----||
en alere ntetfu morzle	-|-----⌫-|-|-|---|-|
roi moine . apresauintque	--|----||----|----|--|
d ouroiaumesassamblerent	-⌫-|------||-----------|
etquant ilfu re nt a ssa mblé si	-|----|-|--⌫--⌫-|-⌫---⌫----|-|
parlerentdou roi.etuertigi ers	--------|--|--||-|-------⌫--|
si c omieuos aiditauoitle	-|-⌫-|-|--|-|--|----|-|
p lu s d e cue rs	-⌫--⌫|-⌫|---⌫-|
des genzde la	--|---|-|-|
sacor d e r enttuit	|----⌫-⌫-⌫-⌫--|---|
plenie rementqueil fus trois.	------⌫-----|--|-|---⌫|---||
einsisontac ord é queue rtigie rs	----|---|--⌫---⌫-|--|--⌫------⌫-|
serarois. siiot	---|---||-||-|
a cestconseil	|---|------|
deuzprodome squigardoientles yy	---|-------⌫|--|--------|--|-|
enf anzq uiestoie ntrem es	---⌫--|-⌫-|------⌫-|---⌫-|
pandr agonetuit i erquiestoi ent	-----⌫---|-|---⌫-⌫-|--|-----⌫--|
fi lcostansetfrere	--⌫|------|-|----|
moine.etquant l iprodo meoirentet	----||-|----|-⌫|-----⌫-|-----|-|
s orentqueuertigier s era	-⌫----|--|--------|-⌫--|
fubi enauisqueil	-|--⌫-|---|--|-|
auoitfaitle roi	----|---|-|--|
ocirre siprist rentconsoill i dui	-----|-|-----⌫---|------|-⌫|--|
prodo me qui lesenfanzgardoient	-----⌫-|--|--|-----|--------|
etdistrent desqu e uerti giers	-|-------|-----⌫|-----⌫----|
a f aitn ostr ese ingnoroccirre	|-⌫--|-⌫----⌫|--⌫-----|------|
s itost comil sera rois	-⌫|---|--|-|---|---|
fe r acesyyenfan zoccir reque nos	--⌫-⌫|--|-|-----⌫|-----⌫-|--|--|
ga rdo nset nos	--⌫---⌫-|-|--|
amamesmoltle	-----|---|-|
perecar ilnosf istm ainzgranz	---|--|-|--|-⌫--|-⌫---|----|
biensetpar lui au ons	----|-|--|--|--⌫--|
nos enco res	--|----⌫--|
auonsnosceque nosauons	----|--|-|--|--|----|
molts eroions mauuaissenos	---|-⌫------|------|-|--|
cesquenosga rdo mlaissiens	--|--|--|--⌫---⌫|--------|
einsi sperdr e etbienpo ons	-----⌫|-----⌫|-|---|--⌫--|
quil les uoudra ocirrepor	-|-|--|-----|-----|--|
ilsetbienque le r oiaume	-|--|---|--|-|-⌫-----|
oc irroit ainz quil f ussen ten	--⌫-----|----⌫-|-|-⌫-----⌫|-|
dedemander.l o rsdientlidui	-|-------||-⌫-⌫-|----|-|--|
prod omeets aco rdent	----⌫--|-||---⌫----|
ens e mbl eque il	---⌫-⌫---⌫|--|-|
senfu iron t	|----⌫----⌫|
menr ontles yyenfa nz	----⌫--|--|-|----⌫-|
estrangeterre u e rs oriantet	-------|----|-⌫-⌫-|-----|-|
delaestoi ent ue nulor	-|-|-----⌫--|--⌫-|--|
acess orsete in si les garderoient	-----⌫--|-|-⌫--⌫-|--|----------|
q ue uertigie rsneles	-⌫-|--------⌫-|-|--|
ocir reetquant il	----⌫-|-|----|-|
seroien tgr a n t	-------⌫|--⌫-⌫-⌫|
sip or roient encor bien	-|-⌫--⌫-----|----|---|
ra uoirlo reritaigesilestoient	--⌫---|--⌫|-------||-|-------|
prod ome.e insi por rons	----⌫--||-⌫---|---⌫---|
au pe re ce quil nosfist	-|--⌫-|-|-|-|--|---|
enfanzsauuer demo rt.etei nsi	-----|-----|-|--⌫-||-|--⌫--|
com ilprodomelont deuisiéet	--|-|------||--|-------|-|
