orescotezpor	-|------|--|
edesletresapri st	|--|-----|----⌫-|
quead ouseans_biens es pars	--||-⌫---|--||---|-⌫-|---|
li ree entendre	--⌫-||-------|
deluid ient petit	-|--|-⌫---|----|
quemolt iab elenfant	--|---|||-⌫-|-----|
on ques maisfilsapec heor	--⌫---|---|---||---⌫---|
nenasquide si grantualor	-|-----|-|-|----|----|
trestuitdientquemarfu	-------|----|--|--|-|
sissenzesauertu	--|---||-|----|
quantil nest eit d	----|-||---⌫--||
u npaissire	-⌫|---|---|
a gouernerungr ant	|-------|-|--⌫--|
hu mais orr e ́sdel damisel	--⌫---|---⌫-⌫-|--|------|
qui tantesteiteprous	--|---|-----||----|
come nt il li f udeuantmis	----⌫-|-|-|-⌫|-----|--|
quiilie rttrouése chaitis	--|-|--⌫-|------||------|
lipecheresquipoures fu	-|-------|--|-----|-|
quile smarsaueit	--|--⌫|---|----|
ang o issé	---⌫-⌫----|
en ior enaut re	-|--|-|---⌫-|
lideistouiltr oua	-|----|-|-|--⌫--|
le s marsda rge ntqui lconta	--⌫|---||-⌫---⌫-|-|-⌫|----|
c omentgregoir esfu troués	-⌫----|-------⌫-|-|------|
nequilnier tpas	-|-|-||---⌫|--|
d elpaisnés	-⌫-|---|---|
car ilau intsi c um	--|-|--⌫--|-|-⌫-|
quan t gregoires de	----⌫|--------|-|
queunmatinalaiorner	--|-|----|--|-----|
parunefes te depo rter	--|--|---⌫-|----⌫---|
entr eslesfis al	----⌫-|--|--|-|
grego irepar gr ant ualor	-----⌫--|--|--⌫--|----|
qu e r entalé esban eier	-|-⌫-⌫--|---|-----⌫---|
desorlameren un	----|-|--|-|-|
asb a rres prenen t a iuier	-|-⌫-⌫---|------⌫||----|
ed unepilo te	||--|----⌫-|
lif isal pec heorla prist	-|-⌫-|-|---⌫---|-|----|
ede uant tosungrantcor sfist	|--⌫---|--|-|----|---⌫|---|
porte r lencuida	-----⌫||-|----|
d euant touz	-⌫----|---|
estoit isn elseprouz	-----|---⌫--||----|
mais gr egoires lidamisel s	---|--⌫------|-|-------⌫|
esteitencoreplus	-----|-----|---|
parlescheuiauslat ostsa is i	--|--|-------|||-⌫--|--⌫--⌫|
puisal aterrel	---||-⌫|----||
cil fuirésesi pl ora	--|-|----||-|--⌫--|
tou dreitason	--|----||--|
la mere uit sonfilplor er	-|---|--|--|--|----⌫-|
eo id ire econter	|-⌫|-⌫--||-----|
liotgregoiresfait	-|-|--------|---|
moltf uireecrieebra it	---|-⌫|---|---||---⌫-|
ef istsicome fole	|-⌫--|-|---|---|
quin eset ga rd ersa p arol e	--|-⌫|--|--⌫--⌫-|-|-⌫----⌫|
l e nfant come nssea blestenier	|-⌫----|----⌫---||---------|
eaha ut euoisaucher	||--⌫--⌫|---||----|
uns auotreseuns	--|------||--|
queademandé	--||-------|
unspo ures uns las unsm endis	--|--⌫---|--|--|--|-⌫----|
en cestpais	-|---|---|
biensa i qu	---|--⌫|-|
enl amer troués	-|-⌫|--|------|
dont li est cest	---|-|--|---|
o r gueilsuen u	-⌫-⌫-----|---⌫|
gregoir esfuenmila rue	-------⌫-|-|---|-|--|
lad ameentendue	-|-⌫--|-------|
apele chai tift roue ́	----|----⌫--|-⌫----⌫|
porp o iqu ilnesen	--|-⌫-⌫|-|-|-||-|
estdesu é	--|----⌫-|
o nquesali	-⌫----||-|
m otne sona	-⌫-|-|---|
ma isenl enclostresen entra	--⌫-|-||--------||-|----|
e sonabechaial pie	|--|--|---|-|--|
qu illiademandécongie	-|-|-||-------|-----|
fille uldistl abes c e qu e monte	-----⌫-|---||---|-⌫|--⌫|----|
si redi s t ilmoltaigranthonte	--⌫-|--⌫-⌫|-|---|-|----|----|
re proc hém es t edeuan tmis	--⌫----⌫--||--⌫||-----⌫|--|
quei esui troués	--|-⌫|--|------|
nenuilparent	-|---|-----|
abes molt dolent	---|---|-----|
plein sfu demaltalent	-----⌫|-|-|--------|
icele f e isne uostplu sdire	----|-⌫-⌫-|-|---|---⌫|---|
gregoires fu formen tirés	--------|-|------⌫|----|
souent dem andel econges	-----|---⌫---|-⌫|-----|
les bienzfaisreme nb r e	--|----|---|----⌫--⌫-⌫|
qu e l i abesliauei t	--⌫|-⌫|---|-|----⌫|
moltlemerciee	---|-|-----||
delcuerso spire	--|---|--⌫----|
edesiausplore	|--|---|----|
sirefai til	---|---⌫|-|
pora mor de	--|-⌫--|-|
don ésme c on g ede bong re	---⌫--|-|-⌫--⌫-⌫|-|--|-⌫-|
enautrepais uueil aler	-|----|---|----|---|
ou gepuissemahontecel er	-|-|-----|-|----|---⌫-|
o ulonnesachequi gesui	-⌫|--|-|----|--|-|--|
quarg rantdue l ai egrant	---|-⌫---|---⌫|-||----|
que lonma pel e ensui t roué	--|--||-⌫---⌫|-|--|-⌫----|
e ge nesaidontgefu	|-|-|--|---|-|-|
s i uodr e i e nfin	-⌫|----⌫-⌫|-⌫---|
m iausmorir	-⌫---|----|
qu e itie l reprochesofri r	--⌫|----⌫|-------|-----⌫|
f illeuldist l	-⌫-----|---||
a besb eaus amis	-⌫--|-⌫---|---|
di tes qui uosa d euantmis	--⌫--|--|--||-⌫----|--|
c ilrespondi	-⌫-|-------|
sirela femeal	---|-|---|-|
quifreresac eluiesteit	--|-----||-⌫---|-----|
quimis oncles	--|--|-----|
estre deu ei t	----|---⌫--⌫|
maisge uei or esai	---|-|--|-||--|
qu esisp aren snes ui deri en	--⌫|--|-⌫----⌫|-|-⌫-|-|--⌫-|
amisdist la besate ndés	---|---||-⌫--|---⌫----|
tantqueles aiearaisonés	------|--|--|---------|
enal apar g rant iror	-|--⌫|--|-⌫---|---|
uersla maisona lp ech eor	---|-|-----|-⌫|-⌫---⌫--|
lepecheora apelé	-|------||-----|
l es marsd arge nt	-⌫-|---||----⌫-|
libai l l apriueement	-|---⌫-⌫-⌫|---------|
quant gardel emist del enfant	----|----|-⌫|---|-||-----|
equil li mist enco uenant	|-|-|-|---|-|--⌫-----|
queanuil ome	--||---|--|
don tlargente	---⌫||-----||
l enfe sue nist	|----⌫|--⌫---|
e porcequi l	|------|-⌫|
n aueitcelé	|----|----|
l esecrei quaueitcomandé	-⌫|-----|-|----|-------|
mais porluiesteit re prou é	---|--|--|-----|--⌫----⌫-|
ice quedustestrecelé	--|--|---|----|----|
rendistlitrestotson argent	------|-|------|--|-----|
quaril nena uraia neient	---|-||-|-⌫--|-|-----|
auoscelu ienfindolent	|--|----⌫|-|--|-----|
hast iu e me nt	----⌫--⌫-⌫--⌫-|
mercidistilbeau s	----|---|-|----⌫|
sire c hiers	---|-⌫----|
c ea faitmafol e	-⌫||---|-|---⌫|
qui ie en c onceil	--|-|-|-⌫-----|
ca rgra nt	--⌫|---⌫-|
foliem atrai	----|||---|
pardone le	------|-|
nos ceste fei s	--|----|---⌫|
d euencuitu cr eis	-⌫-|-|--|-|--⌫--|
puiss inos	---|-⌫|--|
f a iarde ir ou pendre	-⌫-⌫|----⌫-|-|-----|
sed ece nos	-|-⌫|-|--|
pues m ais reprendre	---|-⌫--|--------|
l ibonsabes lurpard ona	-⌫|---|---|--|----⌫--|
tot issi cumil lipria	--|---|--|-|-|---|
porl a parolerecho ser	--|-⌫|-----|-----⌫--|
nelen os a plusiustiser	-||-|--⌫|---|-------|
ariere enlacloist reala	-----|-|-|------⌫-|--|
deua nt seigreg oir e apel a	----⌫-|--|----⌫---⌫|----⌫|
puiss ilidistorai éspais	---|-⌫|-|---|-|--⌫--|---|
cariaparler nenorre ́smais	--|-|-----||-|----⌫-|---|
de lareprochedellignaie	-|-|-------|--|------|
donttrob lés_iertuostrecoraie	---|----⌫---||---|-----|-----|
carsiu osai espoent é	--|-|-⌫-|-|-------⌫-|
le pecheoreeffreé	-|------||------|
quemiaus uodreitestrehonis	--|----|------|----|----|
queanul uileust	--||---⌫-||---|
edesorma enueir promis	|----|||-|---|-----|
q ue anuil omequ e	-⌫-||---|--|--⌫|
pariuenep arrienqu e ilf ace	--|--|-|-⌫-|---|--⌫|-|-⌫--|
iert mais seuennuleplac e	---|---|--|-|---|----⌫|
dicest mostier	|----|------|
ferai i eatozotreier	----|-⌫||--|------|
sedestelai tuiure	-|--|-|---⌫|----|
que ilferont abedetei	--|-|-----|--|-|--|
gregoire r espo nt al	-------|-⌫----⌫-|||
n el di tesm a i sporamo r de	-⌫||--⌫--|-⌫-⌫-⌫|--|---⌫|-|
en nul e ndreit	-|--|-⌫-----|
abes porsequ ebelmeseit	---|--|-|--⌫|--|-|---|
tep ripordeulegrant	-|-⌫-|--|--|-|----|
saidi erme uu esnetantne quant	|----⌫-|-|--⌫-|-|---|-|----|
quemedongesquem	--|-|-----|--||
ai tmestier	--⌫|------|
tant queies eie ch eualier	----⌫--|-|-⌫--|--⌫------|
c a rtoutaen	-⌫-⌫|---||-|
cheualerie	---------|
e m onc uer tornéemauie	|-⌫-|-⌫--|-----||-|--|
am isdist il gramantses	--⌫-|---|-|------|--|
e desle tresdo ctrinés	|--|--⌫---|--⌫-------|
si telouieenuerite	-|-|--|-|-|-----|
quetuguer pisses c es tpe nse	--|-|----⌫-----|-⌫--⌫|--⌫--|
moi nessei es	---⌫--|---⌫-|
aces tm ostier	|---⌫|-⌫-----|
sinetecha ut	-|-|-|---⌫-|
neprend reor c heualer ie	-|-----⌫-|-|-⌫-------⌫-|
quemol testmauu a iselor	--|---⌫|--|----⌫-⌫--|--|
cil lirespontu os	--|-|------|-⌫-|
maiscistpensesest lo ing	---|---|-----|--|--⌫--|
quarplusmeplaistcheual erie	---|---|-|-----|------⌫---|
queclo istreneque	--|---⌫----|-|--|
nemestor uenu	-||--|-|---|
puislaissern ient	---|------|-⌫---|
liabesrespontielotroi	-|---|------|-||----|
maisu e irementce	---|-⌫-⌫------|-|
don er liafaitgarnimenz	---⌫-|-||---|--------|
eneporquant moltfudolen z	|---------|---|-|-----⌫|
q uantgreg oires fucheua liers	-⌫---|----⌫----|-|-----⌫----|
sonb o n p a reinenmerc ia	--|-⌫-⌫|-⌫-⌫---|-|----⌫-|
l i demanda	-⌫|------|
pl oreli abes en soncu er	--⌫--|-|---|-|--|--⌫-|
quarilneuosist anuilfue r	---|-|-|-----||---|---⌫|
qu e c i l pa rtist d elui ensi	--⌫|-⌫-⌫|--⌫----|-⌫|--|---|
porcequetant	-------|---|
la ueitnorri	|-⌫---|----|
q uencor rem ansist	-⌫|----|---⌫-----|
au eir eterr elipramist	--⌫--||----⌫|-|------|
ensembleocemariage	-------||-|------|
equerre li	|-----|-|
d egrantpar age	-⌫|----|---⌫--|
gregoir eatan t	-------⌫|----⌫|
l eresp ont	-⌫|----⌫--|
porcelseignorquifist	--|--|------|--|---|
i oi e naurai	-⌫--⌫||----|
de ci atant	--⌫-||---|
deq uellignagefumis p ere	-|-⌫--|------|-|--|-⌫--|
equelfemefu mam ere	|---|---|-|-|-⌫--|
q u antliabe scelmot e ntent	-⌫-⌫--|-|---⌫|--|--|-⌫----|
si lia porte	-|-|-⌫----|
isnele ment	------⌫---|
lestab les quiilot gardees	--|---⌫--|--|-|-|------|
berss uelfure nt trouees	-----⌫--|----⌫-|------|
ill itendi es ili dist	-|-⌫|----||-⌫|-|---|
gardastenz esile isist	------|--||-|--⌫----|
cila faitce	--||---|-|
qu il roua	-|-|---|
les letreslis tq uei ltroua	--|-----|---⌫|-⌫-|-⌫|----|
lors asonp arei n regardé	---||--|-⌫----⌫|-------|
emotemotliaco nté	|--||--|-||--⌫---|
s irei etrois ici escrit	-⌫--|-⌫|----|--|-----|
seces tue irs quela	-||--⌫|--⌫--|--|-|
letr e dit	----⌫|--|
dunenfantenci faitechose	|-|-----|---|----|----|
mer ue ille est comom	---⌫--⌫---|--|--|-|
fairel ose	----||--|
cartrestotfuenp ech ené s	--|------|-|-|-⌫---⌫|---⌫|
engen drés	-----⌫----|
carunssuenzonclesle n gendra	--|--|----|-----||-⌫-⌫-----|
esatanteceluiporta	|-|----|----|----|
moltpar fufisaricheconte	---|--|-|--||----|----|
maispo rlebla smedelahonte	---|--⌫|-|---⌫--|-|-|----|
nel os a passal assemere	-||--⌫|--|-|-⌫---|---|
eu desonchier frere	-|-|--|----|----|
fairenorirne aleuer	----|----|-|-----|
ne e lp ais laisse reste r	-|-⌫|-⌫--|------⌫|----⌫|
maisquant nés f u sil fistporter	---|----|---|-⌫|-||---|-----|
e n zelriuage de lamer	-⌫-⌫|-|-----|-|-|--|
en cloreenuntonel	--⌫----|-|-|----|
epuis met re e nun batel	|---|---⌫-|-⌫|-|----|
du npailef uenuol opés	|-⌫|----|-⌫|-----⌫----|
orearge ntiot asses	-||----⌫-||-|----|
een pein dre es ondesdemer	|--⌫----⌫--|-|----|-|--|
e puisenauen ture al e r	|---|-|----⌫---|--⌫-⌫|
mai scene saiiedire	---⌫|-|-|--|-|---|
deque lpais fu i cillas	-|---⌫|---|-|-⌫--|--|
n e qu eapre s	-⌫|--⌫|----⌫|
ne queue ie desil uec tint	-|--|--⌫-|--|--⌫--|---|
d euca r memostrés	-⌫-|--⌫|-|-------|
dequicefuceuossaués	-|--|-|-|-|--|-----|
quilfuquedeuint ouuerti	-|-|-|--|-----|-|----|
seil fumors ouilgari	-|-|-|---|-|-|---|
liab esrespontpar	-|--⌫-|------|--|
meis mes belfilleul	----⌫--|--|------|
el ebliausque	|-⌫|-----|--|
decelm eisme	-|--|-⌫----|
qe nsembleo tei	|-⌫------||--|
aiiemo ltbi engarde ́	-|-|--⌫-|--⌫-|-----⌫|
euosgreg oiremolt	|--|----⌫---|---|
etrespencis eangoisso s	|---------||--------⌫|
edist de u pere que	|---|--⌫|---|--|
liabesd ist ie	-|---|-⌫--|-|
te d i rai	-|-⌫-⌫--|
s etu maintien s cheualerie	-⌫|-|--------⌫|---------|
larme se raen finp erie	|---|--⌫-|-|--|-⌫---|
mais re main c i encestmostier	---|--⌫---|-⌫|-|---|------|
e siserdeudetonme s tier	|-|--|--|-|--|--⌫-⌫---|
gregoiredistreposnaurai	-------|---|----||----|
de ciatantquei e	--⌫-||---|--|-⌫|
d equellign aieiefunés	-⌫|---|----⌫--|-|-|---|
epor queifuicigetés	|--|---|-|--|-----|
quant li abes otsa uolunt e	----|-|---|-|-|------⌫|
porrienneseratrestor né	--|---|-|---|-------⌫--|
lorquilga r d eitli	|-|-|-|--⌫-⌫-⌫--|-|
e deuantlipresentéla	|-----|-|--------|||
puis si liuaitlanefl oier	---|-|-|---|-|--|-⌫---|
encui i l passera lamer	-|--|-⌫|------|-|--|
en depart a	-|-----||
cilentreen	--|----|-|
uaitsi g la nt	---|--⌫-⌫--⌫-|
encicumfortunelemeine	---|--|------|-|----|
qui orletient enso n	--|-|-|----|-|--⌫|
passela m er agran t	----|-|-⌫-||----⌫|
naie esigle	---||----|
uerlespors	--|--|---|
outre lamerenun	----|-|--|-|-|
el ibonsuenz	|-⌫|---|---|
encel eencontree totdroit	-|---⌫|--------|--|----|
samer edam eestoit	-|---⌫|---⌫|-----|
quifistmetre es ondes de	--|---|----|-|----|-|
porlagranth onte	--|-|----|-⌫---|
q ui desonfrereoteu	-⌫-|-|--|----|-|-|
portest droit u enu	---|--|----|-⌫--|
moltest d iables	---|--|-⌫-----|
a bandoné	-⌫-------|
quantelpaisl ot amene ́	----|-|---||-|-----⌫|
que depecheplus lecharia	--|-|----|---|-|-----|
ilrech iet derechef	-|----⌫--|-|-----|
por fairelacolpe	--|----|-|----|
plus grief	---|----|
quantgregoireist dela barche	----|-------|--|-|-|-----|
echeualotbone f ortet arie	|-----|-|--||-⌫---|-⌫---|
icilfutantebelse	---|-|---||---||
sis tbiensis garnimenz	---⌫|---|--|--------|
quel iboriois dela	--|-⌫|------|-|-|
rega rdoientp ors a biaute	----⌫------|-⌫-|-⌫|-----|
euns borioisle	|--|------|-|
he rb eria	--⌫--⌫---|
querichement	--|--------|
gregoireotostemoltu a illant	-------|-|---|---|-⌫-⌫-----|
quefist uolentierss ontalant	--|---|---------|-⌫-|-----|
i liertdebelcon tenem en t	-⌫|---|-|--|---⌫-----⌫--⌫|
edegrantferted e ta lent	|-|----|----|-⌫|--⌫---|
quel o st esnosa de mand er	--||-⌫--⌫-||--|--⌫----⌫-|
q ui ilesteitneta n tpaler	-⌫-|-|-----|-|--⌫-⌫|----|
quesolementlidema nda st	--|-------|-|----⌫---⌫-|
dontiluenist	---|-|-----|
neou alas t	-|-|----⌫|
grego irealostedema nde ́	-----⌫--|||---|----⌫---⌫|
encel pais segue rre a	-|--|---|-|---⌫--||
quinu il sodeier	--|--⌫-|------|
lio stesre spondi edist	-|-⌫---|--⌫-----||---|
deguerreauons sou ent	-|-----|----|---⌫--|
que estrenepo onsen pai s	--|----|-|--⌫--|-|---⌫|
dontnosa pour ete tra is	---|--||----⌫--|---⌫-|
esi honise sid esfais	|-|----||-|-⌫-----|
remesen cest uiro n	----|-|---|----⌫|
neb euf ne uac hene maiso n	-|-⌫--|-|---⌫-|-|-----⌫|
neborcn euil e ne c i te	-|---|-⌫|---⌫|-|-⌫-⌫-|
forsso lceste nostre	---|--⌫|----|-----|
qui ne_parfo rceestre pri se	--|-||--|--⌫--|----|---⌫-|
nepa r assaut	-|--⌫|-----|
e streconquise	-⌫---|-------|
lo rs respo nt greg oire	--⌫-|-----⌫-|----⌫---|
cistuostre cuensquache f nen	---|-----|----|-||---⌫||-|
li ostes dist	-|----|---|
sib ien que nuil se ignor iai t	-|-⌫--|--|---|--⌫----||--⌫|
forssolune pucelle	---|--|--|------|
quimolt estauenansebelle	--|---|--|------||----|
frere n ese ror	----|-⌫|--⌫--|
onques ne uost	-----|-|---|
prendreseigno r	------|------⌫|
uns molt riches d ux	--|---|-----|-⌫-|
saueirseprendrelauosist	-----|-|------|-|-----|
eporcequeelenel	|-------|--|-||
si n o sg ueree moltsouent	-|-⌫-⌫|-⌫----|---|-----|
ese m adameuosueet	|-|-⌫|---|--|---|
molt u olentie rsuos retendre it	---|-⌫-------⌫-|--|--------⌫-|
lorsrespontgregoires liber	---|------|--------|-|--|
c omentporraio lipa rler	-⌫----|-----||-|--⌫---|
illi adit ienpens e rai	-|-||--||-|----⌫-⌫--|
alior quantlau errai	-|--|----|-|-⌫----|
uos monstreraia la c o ntess e	--|---------||-|-⌫-⌫-----⌫|
quant nosuoudronsoir	----|--|-------|--|
quantgregoires son ost eentent	----|--------|--|---⌫|-----|
mercia l emo lt docement	-----|-⌫|--⌫-|-------|
promentbon luer	------|--|---|
sedes lidonea gaaigner	-|--|-|---||-------|
tots onhernei slia	--|-⌫-|------⌫|-||
e en samaleenfermé	|-|-|---|-------|
les tables puisre tint	--|-----|---|--⌫---|
lacl efquigarde son conr ei	-|--⌫-|--|----|--|----⌫-|
parmatinetquantdescedone	--|------|----|--|-|---|
quelaclochedelmostiersone	--|-|-----|--|------|---|
gr igoi relot bieneentent	--⌫----⌫-||-|---||-----|
sisap araileisnelement	-||--⌫-----|---------|
esono stefist	|--|-⌫--|---|
sus leu er	--|---⌫-|
qua roseile uoloit	---⌫||--|-|-----|
en fai pas tro pprier	-|--|--|---⌫|----|
quarme stieradegaaigner	---|--⌫----||-|-------|
quantgr egoiresentreen	----|--⌫------|----|-|
u la contesseot	|-|-------|-|
cruce fizsareste	-----⌫--||-----|
p ui ssi drecaamon tsa tes te	-⌫--⌫|-|----|----⌫|-|---⌫-|
enclinalip arfondem ent	------|-|-⌫--------⌫--|
puislesa luadocement	---|-|--⌫--|-------|
c omecil quies teit senez	-⌫--|--|--|--⌫---|----|
edele tresbien	|-|--⌫---|---|
d octrinez	-⌫-------|
tuitesgardeientsongen tcors	---|----------|--|---⌫|---|
ecil dedenze	|--|-----||
en sorquetotsalasse mere	--⌫--------|-|----|---|
qui l aueiteu	--||----|-|
desonfr ere	-|--|--⌫--|
eleb liaut quil	|-|-⌫----|-|-|
bienale pail econeu	---||-|----⌫|----|
sinefus tporsolementtant	-|-|---⌫|--|-------|---|
queplusor pail esonsemblant	--|-----|----⌫|--|-------|
l amere ueit	-⌫|---|---|
iluecsonfil	----|--|--|
siet pasquecesiet il	---|--|--|-|---|-|
g regoiresouent laregarde	-⌫------|-----|-|------|
mais n ese donenule garde	---|-⌫|-|---|---|----|
neta nt nequant	-|--⌫-|-|----|
nese mescrei t	-|-|-------⌫|
dame samere seit	---|-|---|---|
an ceisquelunsl	--⌫------||--||
autreconoisse	----|-------|
lur auendramoltg rantangoisse	--|------|---|-⌫---|-------|
puisquelamessefufenie	------|-|----|-|----|
sibons o stes	-|---|-⌫---|
p asneseo blie	-⌫-|-|-|-⌫---|
lesenesc hale nape la	-|------⌫--|-⌫|---⌫-|
cheualie rlimonstra	--------⌫|-|------|
quantot alsenechalp arlé	----|-|-|-------|-⌫----|
ensembleose i len a	-------||--⌫||-||
a la contesse	|-|-------|
e le t i nt	|-|-⌫-⌫-|
bonessodeeslipromis t	----|-----|-|------⌫|
sil remanete	|-|------||
quo luiremandraunestage	-||--|-------|-|-----|
elefu lee e nsoncora ge	--|-|--|-⌫|--|----⌫-|
p eti tseconoissentandu i	-⌫---⌫|-|---------|----⌫|
nelaconoisne elelui	-|-|-----|-|--|--|
o re st re mes li sodee rs	-⌫|-⌫-|--⌫--|-|-----⌫-|
entre les autresche ua lier s	----|--|-----|---⌫--⌫----⌫|
parla citeuont lesnoueles	--|-|---|---|--|------|
a s cheualie rse as puc eles	-⌫|--------⌫-||-|---⌫---|
queunss odeerses tu enuz	--|--|-⌫-----|--⌫|-⌫---|
onquesplus biausnefuueuz	-----|---|----|-|-|---|
se cont oienten lacite	-|----⌫----|-|-|---|
undamoiselde s a biaute	-|-------|-|-⌫|-----|
u ont maintenant	-⌫--|---------|
porluiue eir petit egra nt	--|--|--⌫--|----||---⌫-|
ne demora gue iresap re s	-|-----|---⌫---|--⌫--⌫|
que recomancatotades	--|--------|--|---|
la guerrea cea ulzdel ac ite	-|-----||---⌫--|-|-⌫|-⌫--|
quilongementlu ra duré	--|--------|--⌫||----|
uniorqu eliduxrepai ra	-|--|--⌫|-|--|-----⌫-|
molto t g rantgentsiaseia	---|-⌫|-⌫---|---|-|----|
lacitee tendisestente s	-|---||----|--|-----⌫|
entorles murs	----|--|---|
belese gente s	----||-----⌫|
li cheu aliers quidedenz	-|----⌫-----|--|-----|
senscrie sens	---|--||---|
l esportes fir ent f erme r tost	-⌫-|-----|---⌫--|-⌫----⌫|---|
molt redotoentla gr antost	---|--------|-|--⌫--|--|
quantarmé	----|----|
furentpa rleisir	-----|--⌫|-----|
un e port e	--⌫|----⌫|
fir e ntourir	---⌫-⌫-|----|
lureschelesont aiostee s	--|-------|--|-------⌫|
e lur batailes	|--|-------|
bi en fer mees	--⌫-|---⌫---|
deos tsecop leront	-|--⌫|-|---⌫-----|
ia m aisporelne	--⌫-⌫--|--|-|-|
tre stui tc ommune mentsenzfaile	---⌫----⌫|-⌫------⌫---|---|----|
che uauch entuerzlosta bataile	---⌫-----⌫--|---||--||------|
grigoirees telf r ont deu ant	-------|--⌫|-|-⌫-⌫--|---⌫--|
destrier abon ebien corant	-------||--||---|-----|
dauantles autress	-----|--|-----||
porios ter	--|---⌫--|
a s aut r esesperone	-⌫|---⌫-⌫-|-------|
sishaumesfuc ler s	--|-----|-|-⌫---⌫|
e lui sans	|---⌫---|
estreitlace zaforzp end anz	------|----⌫||---|-⌫---⌫--|
haubert ot bon e lanceforte	------|-|--||----|----|
elicheual molt	|-|-----|---|
espeeot bonebien trenchant	----|-|---|---|--------|
ent otelost	-|-⌫--||--|
nots iuailant	|-|-⌫|------|
ec hauc es de fer	|-⌫----⌫-|-|--|
fermementl esbot ons	--------|-⌫-|---⌫--|
moltrese m bleb iencheuali er	---|----⌫-⌫--|-⌫--|-------⌫-|
desrens senisttrestot	--|---||-|--|------|
uers c eaus de los t	---|-⌫---|-||--⌫|
fistunepo int e	---|--|--⌫---⌫|
premierse nuolt	-------|-⌫|---|
aue rla ioin te	---⌫|-|----⌫-|
d on cs mont alacheu alerie	-⌫--⌫-|----⌫|-|----⌫-----|
oresont armé	--|---|----|
l au t ressontiosté	|--⌫-⌫--|---|-----|
g regoiresfiertleprem erai n	-⌫-------|----|-|----⌫----⌫|
del cheuallabatiel plain	--|-----||----|-|----|
neliu alutescuz	-|-|-⌫---|----|
n eb roine	-⌫|-⌫----|
qua rde lamortn i ot essoine	---⌫|-|-|---|||-|------|
idoncs asemblen tlurconr eiz	-----|--------⌫|--|----⌫--|
ebiene str eiz	|---|-⌫---⌫--|
uaitgregoiresles s uens t enir	---|--------|--|-⌫---|-⌫---|
neleslaitguaires depa rtir	-|--|---|------|----⌫---|
esper onant uientalg ra uier	-----⌫----|----|-|-⌫--⌫---|
assezenafaittrebu che r	----|-||---|-----⌫---⌫|
ceaulz qu ilconsut afait uer ser	-----|-|-|-----||---|---⌫--|
nontp uistalant	|--|-⌫--|-----|
deremo nter	-|----⌫---|
la suegenzm olt bie n lefai t	-|--|---|-⌫--|---⌫|-|---⌫|
di stquenulznes esm ait	--⌫-|--|---|-||---⌫--|
m ol tparontde	-⌫--⌫|--|--|-|
luibo nco nfort	--|--⌫|--⌫----|
niaqueluise desco rt	|||--|--|-|-----⌫-|
lidux quilostota garder	-|--|--||--|-||-----|
fait moltsagen td esco nforter	---|---|-|---⌫|-⌫----⌫------|
quimolt les greueit	--|---|--|------|
quar neg un dessuenznespargnent	---|---⌫-|--|----||---------|
ne ilnepoen tcontrelui	-|-|-|----⌫|-----|--|
auerdefense nerefui	---|------|-|----|
un p oiles arieres traire	-|-⌫-|--|------|-----|
quantueitque	----|---|--|
plus ne porrafaire	---|-|----|----|
t ostle s faitaseir elie r	-⌫--|--⌫|---||--|-⌫----⌫|
porsabataile r epar e iler	--|-|------|-⌫----⌫-⌫---|
estreitemen tlesmeineguie	-----------⌫|--|----|---|
bienrestablisa conpaign ie	---|-------|-|--------⌫-|
maiseschaper	---|-------|
quet uit nes eientdecopez	--|-⌫--|-|-⌫----|------|
qu antgregoirealducue u	--⌫--|-------|||--|--⌫|
quens i c heuauche	-|---⌫|-⌫-------|
aceauzde lostade man d é	|----|-||--||--⌫---⌫-⌫-|
quarmol tleueit b ien	---|---⌫|-|---|-⌫--|
quicee s teit	--|-|-⌫-⌫---|
quic esteit	--||-----|
limais tre de	-|----⌫--|-|
quant gregoire sl aentendu	----|--------⌫|||------|
lezeioia n tformenten fu	--||----⌫-⌫|------|-|-|
son cheualbroche cel e par t	--|-----|-----|---⌫|---⌫|
traitseuerslui	----|-|---|--|
quilaiti ostéens emb le olui	-|-|--|-⌫----|---⌫---⌫-||--|
en trecrient a mbedu i	--⌫--------|-⌫-----⌫|
s empre s seruntascoupspartir	-⌫-----⌫|-----|-|----|-----|
porp ensentseidebien fe rir	----⌫-----|--|-|---|--⌫--|
li du csenpassebel em ent	-|--⌫||------|---⌫--⌫--|
lesrensi ss icorteisement	--|---|-⌫--⌫|-----------|
de sesperr ons po intlecheual	--⌫|------⌫--|--⌫--|-|-----|
tornaa grant	----||----|
el chastelporte so nescu	-|------|----|--⌫|---|
sa la nceel feu tretendu	-|--⌫--|-|---⌫--|----|
sescr ie dancheualier	|----⌫-|--|--------|
pernez lescu uos e st	-----||---|--|-⌫-|
epensezor del b iend esfe ndre	|-----|-|--|-⌫--|-⌫----⌫---|
porfol ueni stesh ui e nprendr e	--|--|----⌫---|-⌫-|-⌫-------⌫|
contreme en champdebatai le	-----|-|-|----|-|-----⌫-|
miau lzu osu enistestresanz fai le	----⌫-|-⌫-|-⌫----|----|---|---⌫-|
encham bre so la uostredame	-|----⌫---⌫||-|-----|---|
al aparsome	|-⌫|------|
de meidepar ti rez	-|--|-----⌫--⌫--|
iec uitqueuosrepentirez	-|-⌫--|--|--|---------|
quauez laiséle n oblier	-|---|-----|-|-⌫-----|
