f ormchdouai01 20Sacent	-⌫--|---------⌫-|-----|
dour acha tquelifrerepre sant erent	--|-⌫----⌫|--|-|----|---⌫----⌫----|
au-tansque lourpresantemanz	-||---|--|---|-----------|
pot ualoir	--|-----|
etdutseluncle s uset lescon s tu mes	-|--|-----|--⌫|-|-|--|---⌫-⌫--⌫--|
leu oùl ad imesietet selun cl esuset	--|--|-⌫|-⌫--|---|-|-----⌫|-⌫-|-|-|
lesconstume sdeplus o rs au tres leusde	--|--------⌫|-|----⌫-⌫-|--⌫---|---|-|
laueschi é deLoing r esuuele nt	|-------⌫-|-|-----⌫-⌫-|-----⌫-|
auoirli frere toz lesfrutaigesdoudime	----|-|----|--|--|--------|--|---|
presantemantdourachatançai	-----------|--|-----|-|---|
sedroizlesgarde.	-|----||------||
Et setotdeussi ent	-|----|------⌫--|
querirlifrer e qui	-----|-|----⌫|--|
deistr espondent lifrere quilon t atand usauflour	----|-⌫--------|-|----|-|-|--⌫|-----⌫|---|---|
droi tcomm eeffo rciéla	----⌫|----⌫|----⌫----|-|
mercidouchapitre i u squeore tadésp ar	----|--|-------|-⌫-⌫---|-|-⌫|----|-⌫-|
plusors foizontpriiéetfaitpr iier audeien	------|---|--|-----|-|---|--⌫---|-|----|
chapi tre quelour	-----⌫--|--|---|
demelorrandessient et	---|--|----------|-|
que debonairetén e m ercin	--|-----------|-⌫|-⌫---||
ion t t rouédemandent	|--⌫|-⌫----|--------|
lifrere cel demeet les	-|----|--|---|-|--|
isuesd ontlidei en setlichapitres	----|-⌫--|-|---⌫--⌫|-|-|--------|
loro nt fait tortd oisloup resa ntemantan-	--|-⌫-|---|---|-⌫--|--|-⌫----⌫------|-||
les ue sq ue deL ai ngres .	|--⌫--⌫--⌫-|-|-⌫--⌫----||
Àlaresponse	-|-|-------|
queli deienset l i cha pi tres	--|-|-----|-|-⌫|---⌫--⌫---|
dient contrelesf reres ce est	----|-----|--|-⌫----|-|--|
à -sauoirque li deiensetlic hapitres	-||-----|--|-|-----|-|-|-⌫-------|
proueruntqu elid itfrereestoientan	--------|--⌫|-|-⌫-|----|-------|-|
auoer ie a u-tansque li offre	-----⌫-|-⌫||---|--|-|----|
futfaiterespond e nt lifr ere quei lti enent ce por	--|----|-------⌫-⌫-|-|--⌫--|--|-⌫|--⌫----|-|--|
prou équari l	----⌫-|---|-⌫|
dien tbienqu ilestoientanauoerieet	----⌫|---|-|-|-------|-|------|-|
dientque adont	----|--|----|
ilnauoientpasl	-||------|--||
aaige que il-en -	----|--|-||-||
de uss ientis si r.	--⌫---⌫---|--⌫--⌫||
À - ceque lideiens	-||-|--|-|-----|
etlichapitresdientqu e	-|-|--------|----|--⌫|
lifrerenepo oientfaireoffrequilour deust ualoir	-|----|-|--⌫----|----|----|--|---|----|-----|
sanlour auoerre spondentlifrere queil	--|---|----|--⌫-------|-|----|--|-|
nec uident	-|-⌫-----|
pas q uecelour doiegre uerq ue	--|-⌫-|-|---|---|---⌫--|-⌫-|
l orauo iersn	-⌫-|---⌫---||
if us ansinc fu quelidizauoie rs	|-⌫||-----|-|--|-|--|-----⌫-|
fu qu ar ilnecui dentpasque c e	-|--⌫-|-|-|---⌫---|--|--|-⌫|
soitconstume quecilqu isunt anauoeriene	---|-------|--|--|--⌫|---|-|------|-|
puissentraa nbrelour- her itaig e	-------|---⌫---|---||---⌫-----⌫|
san zlourauoeretse i lestoit	---⌫|---|----|-|-|-⌫|-----|
constumese se uoudroientli	-------|-|-|---------|-|
frere es cuserp orcequelourauoexestoita ntel	----|--⌫----|-⌫-|-|--|---|----|-----|-⌫|--|
n eloupoo i entauoiràcestbesoin g	-⌫|--|---⌫-⌫--|----|-|---|------⌫|
nean aut recommecelui	-|-|---⌫-|----|----|
qui esto itouseru iseNostreSoingnour	--|----⌫-|-|----⌫--|-----|--------|
pou o ientestrecerte in desa-uen u e	---⌫-⌫---|----|-----⌫-|-|-||---⌫-⌫|
etcil an cuigarde il	-|--|-|--|----|-|
r e medrent cesuntlour amil ou rfir entpresante rlo ur	-⌫-⌫------|-|---|---|--|-⌫--⌫|---⌫--|--------⌫|--⌫-|
deni ers dou rachat	----⌫--|--|-----|
seniuuele nt	-|||-----⌫-|
panrenuldomaigese	----|--|------|-|
droiz ne lesgar de .	----|-||-----⌫-||
Et sortotesceschoses	-|--|----|--|-----|
deuant-ditesnosOthesd e iens	-----||----|--|----|-⌫-⌫---|
et lichapitresdeLa ingres d	-|-|--------|-|--⌫-----||
une partetnos Guillaumes et Es tienesdautrenos	--|---|-|--|---------|-|--⌫-----||----|--|
outr oiunsàiugie retoïrdro it à	----⌫----|-|-----⌫|-|---|---⌫-|-|
faire etàtenir parl auesquede	----|-|-|----|--||------|-|
Lo i ngresseluncl esusetlesc on st umesdelaueschie ́	--⌫-⌫----|-----|-⌫-|-|-|--|-⌫--⌫--⌫---|-||--------⌫|
de Loingres sanz	-|-------|---|
riensai osterneos ter	----|--⌫----|-|--⌫--|
desraisuns deuantd ites d une partned	--|------|-----|-⌫---||--|---|-||
Et prome tuns nos Othesdeiensetli	-|-----⌫---|--|----|-----|-|-|
chapitresd eLoing ressorpoinne	--------|-⌫|-----⌫--|--|-----|
deçantmarsdes	-|----|---|--|
quexnos somes et uolonsestr etenua ̀Guill aume et	---|--|----|-|-----|----⌫|---|-⌫|-----⌫---|-|
àEsti eneou	-|----⌫--|-|
à-lou r co mma ndemantetnosGuillaumesetEs tiene	-||---⌫|--⌫---⌫------|-|--|---------|-|--⌫----|
frereprometons ansincsorpoinned e	----|--------|-----|--|-----|-⌫|
centmarsdesquex	---|---|--|---|
nos someset uolon s estretenuanla	--|----|-|-----⌫|----|---|-|-|
meinauch apitre	---|-|--⌫-----|
ouàl our com man dema ntetdesquexnosauons	-|-|-⌫--|---⌫---⌫----⌫-|-|--|---|--|----|
mis ploiges	--|------|
et metommesIe hanso ingnourde Trichas te l nostrefrerede	-|-------|--⌫--|--⌫------|-|-------⌫--⌫|-----|----|-|
tenir etde garder	----|-|-|-----|
lou droi t monsoingnourlauesq ue .	--|----⌫|--|--------||-----⌫-||
Et nosou troiunsetof frons nos	-|--|--⌫------|-|--⌫----|--|
deiens etchapitre s deu ant-dit a ̀ prouer ceque	-----|-|--------⌫|---⌫--||--|-⌫|-----|-|--|
mestiers nosse ra descho sesdeuant-dites an	-------|--|--⌫-|--|---⌫--|-----||----|-|
nozrai sunset nosansincGuillaumes etE stien esnos	--|---⌫---|-|--|-----|---------|-|-⌫-----⌫-|--|
otroiuns etoffrunsà pr ouerceque	-------|-|------|-|--⌫---|-|--|
mesti ersnosserades c hosesdeuant	-----⌫--|--|---|--|-⌫----|-----|
anno z raisunsselunclesus et le sco nstumes	-|--⌫|------|-----|--|-|-|--⌫|--⌫------|
aueschie ́ deLoi ngres	--------⌫|-|---⌫----|
Et uolo nsnosdeiens et c hapitresdeL oingres	-|----⌫-|--|-----|-|-⌫-------|-|-⌫------|
du ne par t etno s Guillaumeset	|-⌫-|---⌫|-|--⌫|---------|-|
Estienesdautrequ e se mes si re lauesquesdeuant	-------||----|--⌫|-|--|--⌫-||-------|-----|
-dizsortotesceschose s	|--|--|----|--|-----⌫|
deu ant - dites	---⌫--||----|
nauo it so ndroitdi t e t iugiéetdefeni	|---⌫-|--⌫|----|--⌫|-⌫|-----|-|-----|
dedanzPas ques quedoisanquian auant an	-----|---⌫---|--|---|----|-|----|-|
c ho ses iln	-⌫--⌫--|-||
aitpooirse ne stparlacor t etle	--|----|-||-⌫-|--||----⌫|-|-|
consantemantd es p arties.	-----------|-⌫-|-⌫-----||
queceschosessoient ferm esetestaub le s	--|--|-----|-----|----⌫-|-|------⌫--⌫|
nos deien setlichapitres de Loingres	--|-----⌫|-|-|--------|-|-------|
auonsmisno stresae l	----|--|--⌫---|---⌫|
an ceschoses etnosGuillaumesetEstienes fre reauons	-|--|-----|-|--|---------|-|-------|---⌫-|----|
p re ié etrequisIehan nostrefr ere soingno ur deTrichas telà	-⌫--⌫--|-|-----|----|-----|--⌫--|-------⌫-|-|-------⌫--|-|
son saelances ch o se s .	--|---|-|--|--⌫-⌫--⌫||
C efufa itanlan	-⌫|-|--⌫-|-||-|
de-lIncarnatiunNo s tre[ S]oingno ur mil.C C.	-|||----------|--⌫-⌫--|-⌫--------⌫-|--|--⌫-|
cinquanteetsato u	--------|-|--|-⌫|
moisdedecenbre.	---|-|-------||
ChHM177Enno ndou Pere e tdo u Filet	------|-|--⌫|--|---|-⌫|--⌫|--|-|
dou Sai nt Esperitamen.	--|---⌫-|------|---||
Ie Iehanssiresde Iainuileet	-|-----|----|-|-------|-|
sene sc hauzde Cha mpaig neet ieAalis	----⌫--⌫---|-|---⌫-----⌫-|-|-|----|
d amede Iainuile faisonssauo ir	-⌫--|-|-------|------|----⌫-|
à- touzkecum descor defust entre l	-||---|-|--|------⌫-|---|----||
abbey etlou co nuentd e S aint Ou rbain dune	----|-|--|--⌫----|-⌫|-⌫---|--⌫----||--|
part etnous	---|-|---|
d autresusplusoursentrepres ures que	|----|--|-------|---------⌫---|--|
n ous re quereiensenuerau se til enuer nous	-⌫--|--⌫--------|----|--⌫|-⌫|-|----|---|
à-la-parfin parlouconseil debounes	-||-||-----|--|--|------|-|-----|
genz fuac ordeyentrenousen -teil	---|-|--⌫----|----|---|-||---|
maniere quen ousoitroiereiensetconsentireien s et	------|--|-⌫--|------------|-|-------------⌫|-|
a sseurames que nousgarder e ienset tenreiensfermema ntà	-⌫--------|--|---|------⌫-⌫---|-|--------|-------⌫-|-|
- touzioursmais c e quemessires	|---|----|---|-⌫|--|--|----|
G uerriscuireizdeS aintDisieret messiresThieris	-⌫-----|------|-|-⌫---|-----|-|--|----|------|
Damelecheu aliersarbitreesleuet nonmeypourlune	-----|----⌫-----|------|----|-|-----|---||--|
partieetpourl a utrediroientet	-----|-|---||-⌫---|-------|-|
ordeneroi ents ustouz lesdescorsqueno uz aueiensou	---------⌫--|-⌫-|---|--|------|--|--⌫-|------|-|
p oueiensauoirçaen -ar riers	-⌫------|----|--|-||--⌫----|
iusquau iourqueces lettres fur ent	----|-|---|--|--|------|---⌫--|
faite sliunenuerles autre s	-----⌫|-|-|----|--|-----⌫|
arbi tredesus ditennondeDeuetpar	----⌫--|----|--|-|--|-|--|-|--|
lecons eil debo unesg en sontordeneyen-te il	-|----⌫--|-|--⌫---|-⌫--⌫|--|------|-||--⌫-|
maniere NousGuerris	------|---|------|
cureis deSaintDesier	-----|-|----|-----|
et Thier is Da mel echeualiersfaisonss auoirà- t ouzq ue	-|-----⌫-|--⌫---⌫|---------|------|-⌫----|-||-⌫--|-⌫-|
cumd escordefustentre	--|-⌫------|---|----|
l abbei et louconuentde S ai ntOurbaind une	|----|-|--|------|-|-⌫--⌫-|------||--|
partetIehanse ignourdeIainui leetse neschaudeChampaigne	---|-|----|--⌫-----|-|------⌫-|-|--⌫------|-|---------|
sus plu isours entrepre suir esquelune partie requeroit enuerl	--|---⌫-----|--------⌫----⌫-|--||--|-----|--------|----||
- la- p ar finparlou co n seilde	|-||-⌫--⌫--|--|--|--⌫-⌫---|-|
bounesgen sfu ordeneientre lesduespa rti es	-----|---⌫|-|------|----|--|---|--⌫---⌫-|
en-teilmeni ereque	-||---|----⌫--|--|
lesdeusparties s	--|---|------||
oitroiere ntetse cons entirent ei n siqu i	---------⌫-|-|-|----⌫-------|--⌫-⌫-|-||
fu asseurei d elunepartie etdelautr e	-|-------|-⌫||--|-----|-|-||----⌫|
tenro iente tgarde r oientferme mant	-----⌫---|-⌫|-----⌫-⌫----|-----⌫---|
à-t o uz iours mais ceq ue	-||-⌫-⌫-|----|---|-|-⌫-|
n ousdu ia rbitr eesleuparlou	-⌫--|--⌫|-⌫-----⌫|----|--|--|
conse nteme ntde	-----⌫-----⌫-|-|
partie s dirienset ordenerienssustouzles	------⌫|------|-|----------|--|---|--|
des corsque	---⌫---|--|
lesdeuant dite spartiesa uoient luneenuerl autre	--|-----|----⌫|------|-⌫-----||--|----||----|
oupouoient auoir	-|-------|----|
ça enarrier iusquauiour	--|-|-----|----|-|---|
presentesle ttres furentfaites.	--------|--⌫----|-----|-----||
Et nouse n nonde D eudouc onseil de bounes	-|---|-⌫|--|-|-⌫-|--|-⌫-----|-|-----|
ge ns au ons	--⌫-|--⌫--|
ordeneietord enonsentei lmeni ereque messires	------|-|---⌫----|-|---⌫|----⌫--|--|--|----|
d eIainuileotroie	-⌫|-------|-----|
con fermeetappru eue e tde	---⌫----|-|-----⌫--|-⌫|-|
cefaitses lettr es que	-|---|--|-----⌫-|--|
lisires de Iainui le nesu i	-|----|-|------⌫-|-|--⌫|
oirnepuentnene-doientre clamernepar	--|-|----|-|-||-----|--⌫-----|-|--|
-droitn e parcoustumenul	|----|-⌫|--|-------|--|
charroi enuer	------|----|
ligliseneen-la	|-----|-|-||-|
-terreneenzhoumes	|----|-|--|-----|
SaintOu rbainne li siresdeIa inuile nesui	----|--⌫----|-|-|----|-|--⌫-----|-|--|
hoirnepuent ne	---|-|----|-|
ne doientpanr e honm e ne	-|-----|----⌫|----⌫|-|
-terre Saint Ourbainseparlab bei	|----|----|------|-|--||--⌫--|
nonsep ris nestoità - presentfou rfait	--|-|-⌫--||-----|-||------|---⌫----|
Etencorest	-|----|--|
ordeney que lisiresdeIain u ilen e suihoir	------|--|-|----|-|----⌫-⌫--|-⌫|--|---|
sergentnep ue ntnene- doientpa nre	------|-|-⌫--⌫-|-|-||-----|--⌫--|
enlaterre S aint Ourbainne	-|-|----|-⌫---|------|-|
enli gl ise	-||-⌫--⌫--|
neenhoumes de la	-|-|-----|-|-|
-terreS aintOurbainneen -l our	|----|-⌫---|------|-|-||-⌫--|
choses tailles nerueu esne demandes ne exact ions n e	-----|------|-|----⌫-|-|-------|-|-----⌫---|-⌫|
parforcene	--|----|-|
par-dro itnepar	--||---⌫-|-|--|
c oustume.	-⌫------||
-s auoirque lab bes de -Saint Ourbain	|-⌫----|--||--⌫--|-||----|------|
doitàpreu o s tdeIainuile	---|-|----⌫-⌫-⌫|-|-------|
pou rlou seignour de	---⌫|--|-------|-|
Iai nuileà-chascune	---⌫----|-||-------|
desdeus foir essaintOur baincincsouzet	--|---|----⌫-|----|---⌫---|---|---|-|
deP arfonde	-|-⌫------|
Fontainn e le	--------⌫|-|
iourdeNoeildouzede ni ersetd eMaisie resdo uze	---|-|----|----|--⌫--⌫--|-|-⌫|------⌫--|--⌫--|
denierscei ou r meis mes	------|-|-⌫--⌫|----⌫--|
ch ienneliue neourlou se ig n ourde Iainuileneà	--⌫--|-|-|--⌫----|--|--⌫--⌫-⌫--|-|-------|-|-|
hoirsquiont	----|--|--|
unefoye lanen aucun esuile sou	--|---||-|-|-----⌫-|----⌫|-|
lidis abbes	-|--|----|
etli conuens	-|-|------|
ont pa rtlihonmeS aintOurbainnendoien t pai er	--|--⌫-|-|----|-⌫---|------||-|-----⌫|---⌫-|
m aisquecequaausenafferra	-⌫--|--|-|-||--|-|------|
se loncce q u i lsonten	--⌫---|-|-⌫|-⌫|---|-|
uileetloudoientle uerraignable ment liueneou ret	---|-|--|-----|--⌫--|---------⌫---|-|------⌫|-|
sensoutrageetseil f asoientpointdou trageli	---|------|-|-|-|-⌫------|----||--⌫----|-|
siresd eIainuile lou	----|-⌫|-------|--|
paieroit ne	-------|-|
nont point dedisn eieen-	|--|----|-|----⌫--|-||
la-uilele nde main.	-||---||-⌫---⌫---||
Aprésestordenei queli	-----|--|------|--|-|
honmedela-te rreS aintOurbai n	----|-|-||--⌫--|-⌫---|------⌫|
ne doientaler nepar- droitnep ar	-|-----|---|-|--||----|-|-⌫-|
coustum e fairelouho u rdementà Iain uilen e ne	-------⌫|----|--|--⌫-⌫------|-|----⌫---|-⌫|-|
lesen d oit	--|-|-⌫--|
onconstraind re ne nepuetneli	-|----------⌫-|-|-|---|-|-|
sire sd eIainuil enesui hoirne	----⌫|-⌫|-------⌫|-|--|---|-|
pu en tn e ne doie ntr eten ir	--⌫--⌫|-⌫|-|----⌫-|-⌫----⌫-|
nus de s honm es del iglise	--|--⌫|----⌫-|-||-----|
SaintOurbaine tsine- puent ne	----|------|-⌫|-|-||----|-|
nedoient panrenule	-|-----|----|---|
ch osede liglisene de la -	--⌫--|-||-----|-|-|-||
terrene des houmesS aint Ourbainse	----|-|--|-----|-⌫---|------|-|
parl auolante yde	--|-⌫|-------⌫|-|
lab beideSaintOurbainno n.	|--⌫--|-|----|------|--⌫||
Apr és lih oum ede	---⌫--|-|-⌫---⌫|-|
SaintOurbainquisont	----|------|--|---|
e nla-gardelouseignourde	-⌫|-||----|--|-------|-|
I ainuile nedoientpoi nt de paiageen -	-⌫------|-|-----|---⌫-|-|-----|-||
la -terre l ou	-||----|-⌫-|
seign ou rdeuantd it.	-----⌫--⌫|-----|-⌫-||
Et l abbes et	-||----|-|
lic onuensdeSai n tOurba indo ientet puent panre	-|-⌫-----|-|---⌫-⌫|-----⌫-|--⌫---|-|----|----|
pourl ate ulerie de	---|-⌫|--⌫-----|-|
So nbrurefairemarrenier	--⌫---|------|--------|
e tmaintenir	-⌫|--------|
cequ e mesti erseraen	-|--⌫|-----⌫-|---|-|
-gr a ntbo i sde Maast onde lala -	|--⌫-⌫-|--⌫-⌫|-|-----⌫-|-|-|-||
uoie Nu isantfors que ou - deff ois	---|--⌫----|---|--|-||----⌫--|
deLa-Nueue uile et ou	-|-||-----⌫---|-|-|
- deffo isda rrierslou chastel	|-----⌫-|--⌫-----|--|------|
deffoi sde la- Nueu e uile	------⌫|-|-||----⌫|---|
desus disduredèsla-	----|--|---|---|-||
uoiequiu at de slou ua ldela	---|--|-⌫-|--⌫|--|--⌫|-|-|
-Rochei usquàla	|----|-⌫---|-|-|
Nueueuile et dèsla- uoie	--------|-|---|-||---|
qui uadeLa	--|-|-|-|
Nueue -u ile iu sq u à la-uo ieSaugnai re laquez	----||-⌫--|--⌫--⌫|-|-||--⌫-|-------⌫-|-----|
uoieS a ugnaireua	---|-⌫-⌫------|-|
des l esBarb ar an sius qu à	--|-⌫-|----⌫--⌫--⌫|---⌫-|-|
Chermes l a-Grantetd ui r e	------|-⌫||----|-|-⌫--⌫-⌫|
lidisdeffoisdèslou	-|--|------|---|--|
ualde laRoche	--|-|-|----|
parla-uoiequ iuaàBracheiiusqu	--|-||---|--⌫|-|-|------|----|
à lauoieSaug naire e tdedanscesuoies	-|-|---|----⌫----|-⌫|-----|--|----|
estlideffoi sde	--|-|------⌫|-|
la-N ueueuile .	-||-⌫-------||
Etlideffoisd erri erslouc hastelduire	-|-|------|-⌫----⌫--|--|-⌫-----|----|
dedarrierslouchasteldeIainuile	-|-------|--|------|-|-------|
ensic omil se- po urs eutentre louuau	---|-⌫-|-|-||--⌫---⌫--|----|--|--|
louuau deWa ssey iusqu à l ouuau	--|--|-|--⌫---|----|-|-⌫-|--|
Iof froieten trecestro isualeiesetlou	---⌫---|-|--⌫--|--|---⌫-|------|-|--|
chas telestl i	----⌫--|--|-⌫|
deffoisda rrier s lo uchast el.	------|--⌫-----⌫|--⌫|-----⌫-||
Etdoie ntetpu eentpanrelouuentei setles	-|----⌫-|-|--⌫---|----|--|------⌫|-|--|
remaso n sen	------⌫-⌫|-|
c emeesm esboispour afouerla	-⌫|-----⌫-|---|---|-----|-|
teulerie deua nt dite etlouboisbateistoutà -	-------|----⌫-|---|-|--|---|-----|---|-||
taillela ̀ oùcil d ela	-----|--⌫|--|--|-⌫|-|
uilede Saint Ourbain	---|-|----|------|
y sou aire .	-⌫---⌫---||
Apré sseli abbesde SaintOurbain	-----⌫|-|-|----|-|----|------|
etlico nuensprangnentlesdesmes	-|-|--⌫----|--------|--|-----|
ese ssars qui	-|-⌫----|--|
serontfaiten Maastonli siresde	-----|---|-|------|-|----|-|
Ia i nuile nesuihoirnelour	--⌫-⌫----|-|--|---|-|---|
enpu ent a lerà -	-|--⌫--|-⌫--|-||
lencontrenen edoie nt .	|-------|-|-⌫|----⌫-||
Etu olon sancor	-|-⌫----⌫|----|
et orden ons que lidisabb eset liconuensde	-|-----⌫--|--|-|--|---⌫-|-|-|------|-|
S aintOurb aina ientpourlouco rs delabbeyep our	-⌫---|----⌫--|-⌫---|---|--|--⌫-|-||-----|-⌫--|
lese deficeset	--|-⌫------|-|
pourtou t e sleso fficines	---|---⌫-⌫-⌫|--|-⌫-------|
quiso nt etserontou cl osdel a	--|--⌫-|-|-----|-|--⌫-|-|-⌫|
-dite abbeyeet	|---|-----|-|
p ourles fourset	-⌫--|--|----|-|
p our lespres sours de lauilepour	-⌫--|--|----⌫----|-|-|---|---|
lesmol i ns etp our	--|---⌫-⌫-|-|-⌫--|
lese sclu ses de Watrigneuile pour	--|-⌫----⌫--|-|-----------|---|
lais emant des	|---⌫----|--|
molinset desuentau sdesdismolinset	-----|-|--|------⌫|--|--|-----|-|
pour louponttant con	---|--|---|---|--|
limolinetliue ntaulpou r-praigne nt	-|----|-|-|--⌫----|---⌫||-------⌫-|
etpourlac h a peleet pourses	-|---|-|-⌫-⌫-⌫---|-|---|--|
edeficese tpou rloupont quiestsus Marne daue nt	-------|-⌫|---⌫|--|---|--|--|--|----|----⌫-|
lachapel epourlamaisonde Bleecourtpou r la	-|------⌫|---|-|-----|-|--------|---⌫|-|
ma isondeNonmecortpourl abergerieasonc	--⌫---|-|--------|---|-⌫|-------|----|
la -uiled e SaintOurbainetpour	-||---|-⌫|----|------|-|---|
toutesloura aisan c esdeto uz l ouredefi ces	-----|---|-⌫-----⌫-⌫-|-|--⌫-|-⌫--|-----⌫--|
queilon touporroie n tauoirenl	--|-|--⌫|-|-------⌫-⌫|----|-||
abeye eten	----|-|-|
uiledeSaint O urbain	---|-|----|-⌫-----|
etendauentdis	-|-|-----|--|
leus aientlouryso uaires partou te Maastonfors	---|----|---|---⌫-----|--|---⌫-|------|---|
def fois de	---⌫---|-|
La Nueueuileet en-deff oisdarrier slouchastelq ui	-|--------|-|-||----⌫--|-------⌫|--|------|-⌫-|
sont des us deuisei	---|---⌫-|------|
a ncoret ordenonsque	-⌫---|-|-------|--|
lihoum ede lauileSaint Ourbainaientlo ur	-|----⌫|-|-|---|----|------|----|--⌫-|
usage sà-tou te z louraaisancesou bois	-----⌫|-||---⌫--⌫|---|--------|-|---|
batteisdeMa astonpar	------|-|--⌫----|--|
d euersSonbruiu squa ̀	-⌫----|-----|--⌫--|-⌫|
lauo ie Nuis antet	-|--⌫-|----⌫--|-|
lifourde lauile SaintOurba inqui sontfors	-|---|-|-|---|----|-----⌫-|--|---|---|
doucl osdel abb e yenepuent	--|--⌫-|-||---⌫-⌫-|-|----|
userp our affouerfors	---|-⌫--|------|---|
que enboi sbatteislaoù lihonme	--|-|---⌫|------|-|--|-|----|
delaui leusent.	-|-|--⌫-|----||
Etestà-sauoir	-|--|-||-----|
quelisergentlouseignourde Ia inuileet	--|-|------|--|-------|-|--⌫-----|-|
lif ore sti erpuent pan r eet gagierles	-|-⌫---⌫---⌫-|----|---⌫-⌫|-|-----|--|
g ensd eligliseSaintOurbain siles	-⌫--|-⌫||-----|----|------|||--|
trueuen t esdeu sdeffoisdeu an tdis et	-------⌫|-|---⌫|------|---⌫--⌫|--|-|
en -seroientcreua suset a-	-||-------|---|-⌫|-|-|||
coustumesdoupaïs et	--------|--|----|-|
seaucu ns de	-|----⌫-|-|
se rgenziur eisu oloitdirecontrelesgensdel	--⌫----|---⌫--|-⌫----|---|-----|--|---|-||
iglise SaintOurb a inqueil	-----|----|----⌫-⌫-|--|-|
eussentmenei	------|----|
oufaitmener buchenemarrien	-|---|----|----|-|------|
douboisdeMaastonenautre	--|---|-|------|-|----|
l euq ueenl eusqu- i y -ont	-⌫-|-⌫-|-|-⌫--|-|||||--|
loury souairesan sicom	---|-⌫-------|--⌫-|--|
ilestde u ant d itiln	-|--|--⌫-⌫--|-⌫-|-||
ense roi tmie creu	-|--⌫---⌫|--|---|
seil nauoit tesmoignage auec	-|-||----|----------|---|
luiquileus tueu	--|--||---⌫|--|
desch a rgi er .	-----⌫-⌫---⌫-||
Ancorestà-sau oirq ue ligl isede	----|--|-||---⌫--|-⌫-||---⌫--|-|
Saint Ourbainneles	----|------|-|--|
a p artenancesnedoientpa nreenla-fores tdeMaaston	-⌫-⌫---------|-|-----|--⌫--|-|-||-----⌫|-|------|
c hai nene deperiernede	-⌫---⌫-|-|-|-----|-|-|
p oumier pourardoirse	-⌫-----|---|-----|-|
remasonnes ontet s eil	------|-|-⌫--|-|-⌫|-|
uuelentfoupourairdoir il	------|--|---|------|-|
conu ient quei llouprangnen tt outà-taill eet	----⌫---|--|-⌫|--|--------⌫|-⌫--|-||-----⌫|-|
graille e insicom i luient s enesont	------|-⌫---|--|-⌫|----|-⌫|-|---|
lirema so ndesmarrien sque me stierlourauer ontet	-|----⌫--⌫|--|-------⌫|--|--⌫----|---|----⌫--|-|
p our fairetou te slour au t res	-⌫--|----|---⌫--⌫|---|--⌫-⌫--|
usines et aa isances esleusdeua nt -dis	-----|-|--⌫------|-|---|----⌫-||--|
i l puen tpanretoutesmeni eres de bo is	-⌫|----⌫|----|-----|----⌫---|-|--⌫-|
enMaast on	-|-----⌫-|
etrema sonsausifor squeesdeus	-|----⌫---|---|---⌫|--|-|---|
deffoisdesusdis.	------|----|--||
Etuolonse ncoreto rdenon s	-|-----|-⌫---|-|-⌫------⌫|
q ue l i priol eisde Sain t Ameaitsony souair ee n	-⌫-|-⌫|-----⌫--|-|----⌫|--|--|--|-⌫------⌫|-⌫|
-t outeMa astonfo rsq ueesdeusdeff ois deua nt	|-⌫---|--⌫----|--⌫-|-⌫-|-|---|----⌫--|----⌫-|
dis pour ces mol i ns de S ain tAme	--|---|--|---⌫-⌫-|-|-⌫---⌫|--|
p ourcesfolons	-⌫--|--|-----|
esclusesetpour l es ponsquii - so ntet	-------|-|---|-⌫-|---|--|||--⌫-|-|
ouWautde MoutiersusSautquiest mon	-|---|-|------|--|---|--|--|--|
seigno u rde	------⌫-⌫|-|
Iainuile a usipo ur	-------|-⌫--|--⌫-|
lesmolins pou rle sfolonspour les esclusesetpour	--|-----|---⌫|--⌫|-----|---|--|-------|-|---|
Et selicor sde	-|-|-|---⌫|-|
l abaye Saint Ourbain u so i ent auplus	|----|----|------|-⌫--⌫-⌫--|-|---|
pres dause n	---||--|-⌫|
unepartiedouboisou illaissassentà- user	--|-----|--|---|-|-|----------|-||---|
partoutneperderoie ntil miepour ce	--|---|-|---------⌫-|-|--|---|-|
lo ur ysouairesdeuant	--⌫-|--------|-----|
Et se on -pregn o ita ̀-	-|-|-||-----⌫-⌫-|-⌫||
tort lescharretesde labbaye	---|--|--------|-||-----|
SaintOurbai n	----|------⌫|
ou boi sde MaastonlisiresdeIain uileseroittenus	-|---⌫|-|------|-|----|-|----⌫---|-----|----|
lourdesdama gi er.	---|-------⌫--⌫-||
Etor denonsencor	-|--⌫-----|----|
queles ch artres	--|--|--⌫-----|
d eSai ntO urbaindemorent	-⌫|---⌫-|-⌫-----|-------|
enauteilpo oircomelese stoienta u iourquenous	-|-----|--⌫--|--|---|-⌫------|-⌫|---|--|---|
preimeslamisesorno usforsl es	------|-|---|--|--⌫-|---|-⌫-|
ar t icles quisontnonmei	--⌫-⌫----|--|---|-----|
en- cestelettre.	-||----|-----||
Et tou tecest e orde nanc e	-|---⌫-|----⌫|----⌫----⌫|
daue ntdi telisiresdeIa in uile conferme	----⌫-|--⌫-|-|----|-|--⌫--⌫---|-------|
lett reet la pro metpar sonsa irementà	----⌫-|-|-|---⌫--|--|--|--⌫------|-|
et e nob li ge	-|-⌫|--⌫--⌫-|
lu ietsesh oi rssesbien s etles biensde	--⌫|-|--|-⌫--⌫-|--|----⌫|-|--|----|-|
