q uiparoleauroipescheor	-⌫-|-----|-|--|-------|
m olteslo ng ié	-⌫--|----⌫--⌫--|
lechastelquant il otlescl oches	-|------|----|-|-|--|--⌫----|
soner partoteslesparroches	----|--|----|--|--------|
cartrebuches fenis estoit	--|--------|----|-----|
qui sespeerefaiteauoit	--||----|------|----|
quibo n e ertet	--|--⌫-⌫|--|-|
tra ncha nsetdure	---⌫----⌫-|-|---|
t oute io r	-⌫---|--⌫|
ta ntconli i ors dure	--⌫-|--|-|-⌫--|---|
oirremesire pe rcheuaus	----|-|---|--⌫-------|
p a rp lainsetparm onset	-⌫-⌫|-⌫----|-|--|-⌫--|-|
ceuintuneue spree	-|---|--|--⌫----|
q uilc hoisi stenmiunepree	-⌫|-|-⌫-----⌫-|---|--|---|
u narbreou	-⌫|----|-|
a uoi tdeus	-⌫---⌫|---|
q uimolt erent plais anset	-⌫-|---|----|-----⌫--|-|
maismolt fur entengransdes t reces	---|---|---⌫--|-|----|---⌫-⌫----|
quechascunefu	--|-------|-|
parles treches	--|--|------|
pendue s alarbre ramé	------⌫|||----|----|
deuscheualiersq ui sontarmé	---|---------|-⌫-|---|----|
uitpercheuausquise com baten t	--|---------|--|-|---⌫-----⌫|
sid urementquils entrabatent	-|-⌫------|-|-||----------|
a terremen u etsouent	|----|---⌫|-|-----|
e tsef i er ent	-⌫|-|-⌫-⌫--⌫--|
plust ost queuent	---|-⌫--|--|---|
desbransmolusp ar milechief	--|----|----|-⌫--⌫-|-|----|
moltsoff r entand o igrantmeschief	---|----⌫-⌫--|---⌫-⌫|----|-------|
carne repo sentp as nee ure	--|-|----⌫---|-⌫-|-|-⌫--|
ai n scortliun s a lautreseure	--⌫-⌫|---|-|--⌫|||----|----|
si fortet desigrant	-|---|-|-|-|----|
quei l font par pieche sch air	--|-⌫|---|--|------⌫|--⌫--|
e t l eselmes	-⌫|-⌫-|----|
maisnu s nenpuetestr e	---|--⌫||-|---|----⌫|
ainsse combaten tente l	---|-|--------⌫|-|--⌫|
li unsalautre q ue de	-|--|||----|-⌫-|-|
nemortn e pa ine	-|---|-⌫|--⌫--|
ne mehaing	-|------|
etsae s t é loiau scompaing	-|||-⌫-⌫-⌫-|-----⌫|-------|
lau tremolta me ́	|--⌫--|---|-⌫--⌫|
etor se sont si	-|-|-|---|-|
que en m ainsliuslisanzlor	--|-|-⌫---|---|-|---|--|
q uantpercheuaus uoitlorassaut	-⌫---|---------|---|--|-----|
erranme ntbroc he celepart	-------⌫-|----⌫-|---|---|
e n talentaquel esdepart	-⌫|-----||--|-⌫-|-----|
m a ist antsontcillas et ata int	-⌫-⌫-|-⌫--|---|--|--|-|---⌫--|
poi quenesontestain t	--|--|-|---|------⌫|
a t erresontand o i uersé	|-⌫---|---|---⌫-⌫|-----|
toutsouinet tout enue rs é	---|----|-|---|----⌫--⌫-|
nia cel uipasmezne fu st	|||---⌫-|-----|-|--⌫-|
a usichoi gisent c on doifust	-⌫--|---|-----|-⌫-|--|---|
chascunss amble	-------|-⌫----|
es treissusde u ie	--⌫--|----|-|-⌫-|
percheuausqu iau oit enuie	---------|--⌫|--⌫--|----|
et de loiret	-|-||--|-|
de lora u enture leuoir	-|--|-⌫-⌫-----|-|---|
ala rbreuin tplus	||-⌫---|---⌫|---|
lesdeuspuce lesdespe ndi	--|---|----⌫--|-----⌫--|
celespleurentetfon tg rantdoel	----|-------|-|---⌫|-⌫---|---|
quiuolsiss ent	--|-------⌫--|
morirlorw el	----|--|-⌫-|
etp er cheuausles	-|-⌫--⌫------|--|
moltbelement lo rdemanda	---|-------|--⌫|------|
lor auenture etlor	--|-------|-|--|
lunerespont dec hiefenchie f	|--|------|-|-⌫---|-|----⌫|
uous e nd iraisire leuoir	---|-⌫|-⌫---|---|-|---|
puisque uousleuolez sauoir	------|---|-|----|-----|
siresor lemontdolerous	---|--|-|---|-------|
aunpi ler maleur ous	|-|--⌫--|------⌫--|
qu emerlinsparenchan te me nt	--⌫|------|--|------⌫--⌫--⌫-|
fist iadi s ancienement	---|----⌫|----------|
etsilasist des orcelmont	-|-||----|---⌫-|--|---|
cildieus qui est orale	--|----|--|---⌫--|-|
co nfonde ce luiq uilimist	--⌫-----|--⌫--|-⌫-|||---|
deg rantmalisses entremist	-|-⌫---|------||--------|
quinzecrois tresto utentor a	-----|----|------⌫-|----||
unanemiies to ra	-|----||--⌫--⌫-|
qu i l aenmuré ladeden s	-|-⌫||------|-|-----⌫|
quant nus demande	----|--|------|
quist laiens	--|-|-----|
iatantnerts ag esnesenez	-|---||--|-⌫--⌫-|-|----|
qu etan tostnes oitforse nez	--⌫|---⌫---|-|-⌫--|-----⌫--|
n estde lmont li	|--|--⌫|---|-|
plus hardis	---|-----|
etpardroisfais etpardroi s	-|--|----|---|-|--|----⌫|
cild oi cheual ier ialerent	--|-⌫-|------⌫--||------|
celpile rapelerent	--|----⌫|--------|
etd emand erentquist laiens	-|-⌫-----⌫----|--|-|-----|
maintenantiss irentdelsens	---------|---⌫----|--|---|
ettot lormemoire p erdirent	-|--|--|------|-⌫-------|
arbrenous pendirent	----|---|--------|
trech ess iconueistes	-----⌫-|-⌫|--|------|
quantuous ora insno usdespendistes	----|---|---⌫--|--⌫-|-----------|
se samiemes p ardrue rie	|-⌫|------|-⌫-|----⌫--|
etses ontmortpard eruerie	-|-|-⌫--|---|--|-⌫------|
et si estoie ntbon ami	-|-|------⌫-|--|--|
na pa senco rmoiset demi	||--⌫|----⌫|---|-|---|
ochissesont	----|-|---|
et depechié	-|--------|
par a nemietpa rpechie	--|-⌫---|-|--⌫|-----|
dist perc heuausma dolceamie	---|----⌫-----|-|----|---|
orme ditesne uo us poist mie	-|-|----|-|--⌫-|----|--|
l or n onset sine	-⌫-|-⌫--|-|-|-|
cara ncoi squeuoiezlanuit	--|-⌫----⌫|--|----|-|---|
serach ascunsbien en	---|--⌫-----|---|-|
on q uespuispar nul	--⌫-⌫--|---|--|--|
parsiquec hasc u nsne soitmors	--|-|--|-⌫----⌫-⌫-|-|---|---|
ce st sireli	|-⌫-|---|-|
preussaigremors	----|---------|
etliautresest agreua ins	-|-|-----|--|------⌫--|
darmes faintisneuains	|----|------|-|----|
moltsesolo ien tentramer	---|-|----⌫---⌫|-------|
quantpercheuausles otnomer	----|---------|--|-|----|
erranment metpieforsd	--------|--|--|---||
d escend us e st san zdestrii er	-⌫------⌫-|-⌫-|---⌫|-------⌫-|
prent queplusniatent	----|--|---|||----|
sor lechiefagreuainles tent	--|-|----|-------||--⌫---|
etillorsen s o n se ns reuin t	-|-|---|-|-⌫-⌫|--⌫-|-----⌫|
asaigremor mai ntenantu int	|--------|---⌫------|-⌫--|
puisliaesten du	---|-||-----⌫-|
tote rranmentdesor s on chief	--|-⌫-------|----|-⌫-|----|
desa de ruerieestgaris	-|-|--⌫-----|--|----|
molt d urementfuesmaris	---|-⌫------|-|------|
quant sesentnau ré etbl echié	----|-|---|---⌫--|-|--⌫-----|
amontlechiefdrechie ́	----|-|----|-------⌫|
del autre partuit a greuain	-||----|---|--|-⌫------|
quidesplai esot	--|--|----⌫-|-|
le cueruain	-|---|---|
por le sanc quil	--|-|---|-|-|
auo itperdu	---⌫-|----|
andui furent	----|-----|
totes per du	--|--⌫---⌫-|
ne seue ntpor	-|----⌫-|--|
coinecom ent	--|-|---⌫--|
fu rent na uré si	--⌫---|--⌫---|-|
derie nne l or est s ouenu	-|---⌫|-|-⌫-|--|-⌫----|
qu i onques lorfu st auenu	--⌫|-----|--|--⌫-|----|
puisque du pilerdep artirent	------|-|----|---⌫-------|
lorsensandoi	--|---|----|
p er dirent	-⌫--⌫-----|
etdeuin drentfol etd erué	-|-----⌫----|--|-|-⌫----|
ambedoisont enpi ez leué	------|---|-|--⌫-|----|
quant leué	----|----|
sont enlor es tan t	---|-|--|--⌫---⌫|
ainc nes emerueillerenttant	---|-|-⌫|------------|---|
queilfirent d epercheual	--|-|-----|-⌫|--------|
quide sc e ndu s fu	--|--⌫--⌫-⌫---⌫|-|
siquidoientquileust f ait	-|--------|-|-|---|-⌫--|
uersalslo utrageet	---|--||-⌫-----|-|
le mesfait	-|------|
dontilestoient	---|-|-------|
chascunstintlebran t e nbeuré	-------|---|-|----⌫|-⌫------|
des ance t d e sozet deseure	-|-⌫--|-⌫|-⌫-⌫--|-|------|
percheual fu iss entco ru	--------|--⌫---⌫--|--⌫-|
maintenan t as es peesn ues	---------⌫|-|--⌫---|-⌫--|
quantlespuceles son tue n ues	----|--|------|---⌫|--⌫-⌫--|
cria nt aiointe smai nsm erchi	----⌫-||------⌫|---⌫-|-⌫----|
p arcestuassalque ueez chi	-⌫-|---|-----|--|---|--|
estes uousgaride	----|---|---|-|
tropariezmaluaiscor age	---|----|------|---⌫--|
semallifaisiez	-|--|-|------|
ne contraire	-|--------|
distpercheuaus or puisretraire	---|---------|-|---|-------|
qu ei lresamblent	--⌫|-⌫|---------|
q uicortsus	-⌫-|---|--|
as oncopa ignon	|-⌫-|----⌫----|
q uanti l l ares cou sduferain	-⌫---|-⌫|||---⌫---⌫|-|-----|
toutausipaieaudaerrie n	---|---|---|-|-------⌫|
limaluaisho malcrestien	-|------|--⌫|-|-------|
quiliafaith onoret	--|-||---|-⌫---|-|
quantsaigremorsuitles	----|---------|--|--|
cri ermerc hiq ui	---⌫-|----⌫-|-⌫-|
tantsontbel es	---|---|---⌫-|
etpercheualq ui lorrecorde	-|--------|-⌫-|--|------|
leprouer b etres	-|------⌫-⌫|---|
biensacorde	---||-----|
q uaucun ebonte	-⌫|-----⌫|----|
lo r a fait	--⌫||---|
les puceles lorontret rait	--|------|--|--|---⌫---|
la ueritedechiefe n	-|-----|-|----|-⌫|
et lora nu iet	-|--|-⌫--⌫|-|
lormeschief	--|-------|
sicondeuantuous	-|--|-----|---|
b aronlo ntescouté	-⌫---||-⌫-|-------|
chascunsaiec tésus s espee	-------||---⌫--|--||----|
aienoillonsenmi lapree	|---------|---|-|---|
se s ontdeuantpercheualmis	-|-⌫--|-----|--------|--|
me rch icrien tconbonsamis	--⌫---⌫|-----⌫|--|---|---|
etpercheuaus a mont le s dreche	-|---------|-⌫---|--⌫|-----|
qu idolans estde	--⌫|-----|--|-|
lor tristre c h e	--|-------⌫-⌫-⌫|
piti e enaa nsdeu slesbaise	----⌫|-||-⌫-----⌫|--|----|
les p uceless ont molta aise	--|-⌫-----|-⌫--|---||---|
quant u oientgarislor a mis	----|-⌫----|----|--|-⌫--|
de ladolorouanemis	-|-|----|-|-----|
lesauoi tmisetenbatu	--|----⌫|--|-|-----|
p ar coi sestoient combatu	-⌫-|--||-------|------|
et saigremors et agr euains	-|---------|-|---⌫-----|
demande ntqu il ne porent	-------⌫-|-|-|-|-----|
s ire p or	-⌫--|-⌫-|
dieuqui estes	---|--|----|
come aueznondites l e nous	---|---|--|----|-⌫|---|
di stpe r che uausne	--⌫-|--⌫-⌫---⌫---|-|
l quierce ler	|----|--⌫--|
onmesueltapel er	-|-|----|----⌫-|
p ercheual l egaloisporuoir	-⌫-------|-⌫|-----|--|---|
or uous e naicontéleuoir	-|---|-⌫|-|-----|-|---|
etl espu celesmontconté	-|-⌫-|--⌫----||--|-----|
deuostre n onlauerite	-|-----|-⌫-|-|-----|
bi en mecognoi ssiez	--⌫-|-|------⌫----|
e tie uous	-⌫|-|---|
n ouscouiententre n ous	-⌫--|------|----|-⌫--|
querrehuimai shostel tans enest	-----|------⌫|-----|---|-|--|
appa reilli é somesetprest	----⌫------⌫-|----|-|----|
defaireuostreu olen t e	-|----|-----|-⌫----⌫-⌫|
lo rssont totensamble monté	--⌫-|---|--|-------|-----|
e t lespucelesensement	-⌫|--|------|-------|
sio nter rétant lon g uem ent	-|-⌫-|--⌫--|---|---⌫-⌫---⌫--|
ensamble cun manoirtrou eren t	-------||-|-----|----⌫----⌫|
du nu auasor lostel	|-⌫|-⌫-----||----|
pa r c harite etli preudom	--⌫|-⌫-----|-|-|------|
lorotroiaetlo r fistdon	--|-----|-|--⌫|---|--|
detoutce quiestoit	-|---|-|--|-----|
ilsont t ottr oi	-|---|-⌫-|--⌫-|
entrédedens	-----|-----|
a ter redescendu	|---⌫-|-------|
etlipreudomaentendu	-|-|------||------|
ouiln auoitqueensaigni er	-|-||----|--|--------⌫-|
faiso itaprisi er	-----⌫-||-----⌫-|
asdeusdam oisel es	-|---|---⌫-----⌫-|
lipreudom fistlor cheuaus prendre	-|------|---|--|------|------|
as serians	-|------|
quis ont en la	--|-⌫--|-|-|
lafemeauuauasor acort	-|---|-|------|----|
aspucelessi	-|------|-|
dolcement ael esparole	--------||--⌫-|-----|
silespr ent ans deusp a rlesmains	-|--|--⌫--|---⌫---|-⌫-⌫|--|----|
et sa igremorsetagrauains	-|--⌫-------|-|--------|
porche quil esto ient ble chié	--|--|-|-|----⌫---|---⌫----|
d esarmé etcouchié	-⌫------|-|-------|
etlespucelesdesarmerent	-|--|------|----------|
per cheualetpuis lacesme r ent	---⌫-----|-|---||------⌫-⌫--|
dunere ubed ontli	|--|--⌫--|-⌫--|-|
lipres e ntaet li	-|----⌫-⌫--|-|-|
q uan tacesm ez	-⌫---⌫|-----⌫-|
fupercheuaus	-|---------|
dela merdusquenraisceuau s	-|-|--|----|-|---------⌫|
netroua stonplusbelde lui	-|-----⌫-|-|---|--|-|--|
mais moltlitornea grant anui	---|---|-|----||----|---|
desd eu s baronsqu i	--|-⌫--⌫|-----|--⌫|
naure ́ fu r ent	-----⌫|--⌫-⌫--|
et lis eriantqu iser uir durent	-|-|-⌫-----|--⌫|---⌫--|-----|
metentlest ab le s les lefu	-----|--|-⌫--⌫--⌫|--|-|-|
souper saprestezfu	------⌫|-------|-|
si lauer entpuis so nt assi s	-|-----⌫--|---|--⌫-|----⌫|
ne saidecincmesou de sis	-|--|-|---|--|-|-|--|
fure ntseruiet bel et	----⌫-|----|-|--|-|
engransescueles	-|----|-------|
deuiandes so ntbien peu	-|------|--⌫-|---|--|
etsont dema intbon uinbe u	-||--|-|--⌫--|--|--|--⌫|
syropetpieumen t	----|-|-------⌫|
apressoupermol t bele ment	----|-----|---⌫|----⌫---|
li sires decele	-|----|-|---|
amispercheua laraison	|--|--------⌫||-----|
sonnon lidema ndeete nquis t	--|--|-|----⌫--|-|-⌫-----⌫|
etpercheuaus sonn onli dist	-|---------|--|-⌫-|-|---|
et p uis lidemande lesie n	-|-⌫--|-|------|-|---⌫|
s irefaitilorsachiezbien	-⌫--|---|-|-|------|---|
gaudinsaublances c u	------|-|----|--⌫-⌫|
m ainti oraqueieaiuescu	-⌫---|-⌫-||--|-|-|----|
mai ssachiezque ntoute	---⌫|------|-|-⌫|----|
sedie usme	-|---⌫-|-|
doi nstsancteetuie	---⌫--|-----|-|--|
noi maishostece pui s	|-|---|----|-|---⌫|
q ueietant u ols issehonorer	-⌫-|-|---|-⌫---⌫---|------|
u os tre merchidistperc h eua us	-⌫--⌫--|-----|---|----⌫-⌫---⌫-|
definelorc onsa us	-----|--|-⌫----⌫-|
siontfaitlesta b les oster	-|--|---|--|--⌫-⌫--|----|
et a preslo rli s	-|-⌫---|--⌫|--⌫|
ets ifire nt asdeus	-|-⌫|----⌫-|-|---|
meng i erpu isabreuez	----⌫-⌫-|--⌫-|------|
lesontunpoideb oiurechie r	--|--|-|--|-|-⌫----|----⌫|
percheuauses t alez couchie r	---------|--⌫|---|-------⌫|
quimai ntenan tes ten dormis	--|---⌫------⌫|--⌫|--⌫-----|
et celesdeu ant loramis	-|----|---⌫--|--|---|
secou chentcargarder les uelent	-|---⌫----|--|-----|--|-----|
quarde lo r plaiesmo lt sedoelent	---|-|--⌫|-----|--⌫-|-|------|
si d ormirent	-|-⌫-------|
etreposerent	-|---------|
en dorman tce len uitpass erent	-|------⌫|--⌫-|-⌫--|----⌫----|
quan tper c heuau s choisi le ior	----⌫|---⌫-⌫-----⌫|-----|-|--|
n otcured efai reseior	|-|---|-⌫|---⌫-|----|
s es a rm eserr antdemanda	-⌫-|-⌫--⌫-|---⌫--|------|
i llesco manda	-⌫|--|--⌫----|
aporteile st armez	-----|-|-⌫-|----|
m oltfuasa rmes	-⌫--|-|-|-⌫---|
appa reil liez fusescheu aus	----⌫----⌫---|-|--|----⌫--|
s ire pe rch euaus	-⌫--|--⌫---⌫----|
se nes t uen u saag rauain	|-⌫|--⌫|---⌫-⌫||--⌫-----|
quifrere ertmonseigno rgauain	--|----|--|--|------⌫|-----|
etasaigremor	-||--------|
cong iea p rismolt dolcement	----⌫-||-⌫--|---|--------|
asdeusb ar onse taspuceles	-|---|-⌫--⌫--|-⌫|-|------|
qu imolt er entgentesetbeles	--⌫|---|--⌫--|-----|-|----|
qu ifupre u do m	--⌫|-|---⌫-⌫--⌫|
ai l proié	|-⌫|-----|
enguer edon	-|----⌫---|
quedesdeus cheu al ie rspensast	--|--|---|----⌫--⌫--⌫-|------|
quasonpooirlesrespas sast	-||--|----|--|------⌫---|
et ilresp ont q uil lorferoit	-|-|----⌫--|-⌫|-|--|-----|
to utq uan ques faire lo rporroit	--⌫-|-⌫---⌫---|----|--⌫|------|
donordebien	|---|-|---|
et deres pas	-|-|---⌫--|
etpercheuausenes l epas	-|---------|----⌫-⌫---|
est m onteza dieu l es comande	--|-⌫----||---|-⌫-|------|
et liho stesli	-|-|--⌫---|-|
redemand e	--------⌫|
s eil uel t q ueil l ec onuoit	-⌫|-|---⌫|-⌫-|-|-⌫|-⌫-----|
percheuausdist que	---------|---|--|
ac elefo is deconuoi	|-⌫--|--⌫-|-|-----|
atantenua g rant	|---|-|-|-⌫---|
cheualcha n tungastes entier	---------⌫-⌫|-|----|-⌫-----|
io rentier	--⌫|-----|
la semaine	-|------|
m a inte auentureestolte	-⌫-⌫---|-------|------|
a c eles emaineenco ntree	|-⌫--|-⌫-----|----⌫----|
ettrespa ssémainte contree	-|------⌫---|-----|------|
etmain t t respas	-|----⌫|-⌫-----|
l aitet fel on	-⌫--|-|---⌫-|
enlaf or estdecarlion	-|-|-⌫--⌫--|-|------|
enestentreztantcheualcha	-|--|-----|---|--------|
e s rertantsauancha	-⌫-⌫--|---||------|
queilfupr es d eure de none	--|-|-|--⌫-||---|-|---|
lauois oid u n	-|---|-||-⌫|
cor quisone	--|--|---|
etchiensquif on tmolt	-|-----|--|-⌫--⌫|---|
gran t abai	----⌫|---|
perche uauspointlecheual bai	------⌫---|----|-|-----|--|
celepar oulecor oi	---|--|-|-|--|-|
molt duremen tsenesioi	---|-------⌫||-|----|
delcorque iloiauoit	--|--|--|-|-|----|
tant a er r éque	---||--⌫-⌫-|--|
ce luiu oit	--⌫--|-⌫--|
cor pa r troi s	--|--⌫|----⌫|
uer sluiuintsil araisona	---⌫|--|---|-||-------|
ilac ui estu	-||-⌫-|-|-|
sirefaitcilal	---|---|--|-|
uientapresche ual chant	----|----|---⌫---⌫----|
etsibaroniluont	-|-|----|-|---|
cer c hant	---⌫-⌫---|
le b la nccherfa unoircheualier	-|-⌫--⌫-|----|-⌫|---|--------|
etsii amainte moilli er	-|-|||-----|------⌫-|
aueclaroinemadame	---|-|----|-|---|
mais ieuous disor	---|-|---|-|--|
lamoie ame	-|---|--|
qu il nepuetestreparatain s	-|-|-|---|----|--|-----⌫|
roisestmornesetta ins	---|--|-----|-|--⌫--|
carlaro ine	--|-|--⌫--|
sisestdechachie rentremis	-||--|-|-------⌫|-------|
coiquil parloit iuint lirois	--|-|-|------||---|-|---|
odluifuliroisdesyrois	-|--|-|-|---|--|----|
ets iful ir ois	-|-⌫|-|-⌫|-⌫--|
etcildedinasclama das	-|--|-|----|-----⌫--|
sifuli rois deduuelin e	-|-|-|---|-|-------⌫|
da m elaroine	--⌫-⌫|-|----|
uituenir mainte damoisele	--|----|-----|--------|
percheuaus etmaintepucele	---------|-|-----|-----|
molt liplotbien	---|-|---|---|
etlecom paignie	-|-|---⌫------|
etqua nt li roisuitper cheu a l	-|---⌫-|-|---|--|---⌫----⌫-⌫|
q uisista rmezsor le	-⌫-|---|-⌫---|--|-|
ne lcon oistpas carles	-||---⌫---|--|--|--|
auoi tet despechiez et rous	----⌫|-|---------|-|---|
si quil n elepotenterchi er	-|-|-|-⌫|-|--|--------⌫-|
c e nefait	-⌫|-|---|
merueillier	----------|
quant percheu au suit	----|-------⌫--⌫|--|
uers lui decheualchie r nefine	---|--|-|----------⌫|-|---|
puisadit com e	---||--|---⌫|
bienapr is	---|---⌫-|
cheualiersdegr ant pris	---------|-|--⌫--|---|
afoibie npuist uenirma	|--|---⌫|----|----|-|
detoutesautresestla iame	-|-----|-----|--|-|---|
de b iaut e	-|-⌫----⌫|
de cortoisie et debonte	-|--------|-|-|----|
lar oinelidist b iaus	-|-⌫---|-|---|-⌫---|
quanques uoscuers	-------|--|----|
aimeetdesirre	---|-|------|
uous enu oitdieusparson plaisir	---|---⌫--|----|--|--|------|
maisiecouoit moltet desi r	---|-|-----|---|-|----⌫|
que iesacheleuostre n on	--|-|----|-|-----|-⌫-|
nequiuou s	-|--|---⌫|
e stesnequinon	-⌫---|-|--|--|
maisasarmesne uou sconnois	---|-|----|-|---⌫|------|
dam ep er cheuausli	---⌫|-⌫--⌫------|-|
suiparmon droit nonapelez	--|--|--|----|--|-----|
iam es nons neuous	-|-⌫-|---|-|---|
etquantl aroin ele nten t	-|----|-⌫|----⌫||-⌫----⌫|
anzdeus sesbr as uersluiestent	------|--|--⌫-|---|--|-----|
si li amolttostalcolmis	-|-||---|---|-|--|--|
puis li a dit bi ausdolsamis	---|-||--|--⌫--|---|---|
uo ussoiez li	--⌫-|----|-|
t resbientrouez	-⌫--|---|-----|
comeuassaus b ieneprouez	---|------|-⌫--|------|
d ehauteproece etdebe le	-⌫|----|-----|-|-|--⌫-|
il niot dame nepucele	-|||-|---|-|-----|
q uine lesaluthautement	-⌫-|-|-|----|--------|
etli roisartus	-|-|---|----|
sene stuenusapercheual	|-|-⌫-|----||--------|
ettrestoutliautre a	-|-------|-|----||
etquantliro is rec onutla	-|----|-|--⌫-|---⌫---|||
moltfuliezsouent	---|-|---|-----|
l ibaronenfontio i egrant	-⌫|----|-|---|--⌫-⌫|----|
quide lui ueoi rsontengrant	--|-|--|----⌫|---|------|
carlirois li faisoi t retraire	--|-|---|-|------⌫|-------|
le maletl econtraire	-|--|-|-⌫|--------|
qu il auoit enl a questee u	-|-|----|-|-⌫|-----|-⌫|
del graalquil	--|----|-|-|
c hiesleroi pes cheo rdeus	-⌫---|-|--|---⌫----⌫|---|
mais bi en lifumi sen	---|--⌫-|-|-|--⌫|-|
liraconters cui onen s ert	-|--------|--|-|-|-⌫--|
etbien li fuditenapert	-|---|-|-|--|-|----|
nertpasdign esdels a uoir	|--|--|----⌫-|--|-⌫-⌫---|
dessecre z dugraalleuoir	--|-----⌫|-|----|-|---|
nedelalan ce	-|-|-|---⌫-|
por co i saine	--|--⌫|----|
ne puet sauoirporn ulepaine	-|---|-----|--|-⌫--|----|
nepo rqua n tmoltend emanda	----⌫----⌫-⌫|---|-|-⌫-----|
maisunee spee	---|--|-⌫---|
qui b risieeestendeus	--|-⌫-----|--|-|---|
mais ne f upas siraf aiti ez	---|-|-⌫|--|-|---⌫----⌫-|
cune osque neust enl espee	|--|----||---|-||----|
de uant c equele	--⌫---|-⌫|-|--|
er trasa ldee	--⌫|----⌫---|
nesauranus riendu	-|----|--|---|-|
kie usq u i l o tdit apercheual	---⌫-|-⌫-⌫||-⌫|--||--------|
mal u aisement forg iersau ez	---⌫-⌫-------|----⌫--|---⌫-|
siretel q u es t e	---|--|-⌫-⌫--⌫-⌫|
emp risauez	---⌫--|---|
ouuousiequitlairezl e pel	-|---|-|---|-----|-⌫|--|
uous en auez rouge	---|-|---|----|
en c esteste	-|-⌫--|---|
ets ia uez peu	-|-⌫|-⌫--|--|
con qu esté	---⌫--⌫----|
uousquer ezlabeeet le muse	---|----⌫-|-|--|-|-|---|
uousresamble zceluiqui	---|--------⌫|----|--|
tres totleior	----⌫--|-|--|
al a carole	|-⌫|-----|
por chequ e la gensenparol e	--|--|--⌫|-|---|-|-----⌫|
toutausiauez uousale ́	---|---|---|---|---⌫|
po rcheque	--⌫|--|--|
on en a parle ́	-|-||-----⌫|
querezchequenne p uet sauoir	-----|--|-|-|-|-⌫--|-----|
uous ne faites	---|-|-----|
mies auoir	--|-⌫----|
cuidiezuousmiusualoi rqu en us	------|---|---|-----⌫|--⌫|-⌫-|
anchoisserez uiezetchenus	------|----|---|-|-----|
queuous ensachiezc e	--|---|-|------|-⌫|
semoicreez uousserez	-|--|----|---|----|
auec madam ecestyue r	---|-|---⌫|---|---⌫|
li centuifd eabledenfer	-|---|--|-⌫----||----|
f aituo er neemprendre	-⌫--|--⌫-|-|--------|
conn epuet ueo ir neapre ndre	|-|-⌫|---|---⌫-|-|----⌫---|
quantliroi so t	----|-|---⌫|-⌫|
ens oncuerenotdoel	-|-⌫-|---|-|-|---|
por chequil	--|--|-|-|
otsiramprosn é	-|-|--------⌫-|
le ch e ualierqu aplus	-|--⌫-⌫-----|-||---|
detoz ch iausquierentelmo nt	-|--|--⌫---|--|----|-|--⌫-|
toutma inten ant akerespont	---|--⌫-----⌫--||-|------|
mesirekecedistli	-|---|-|-|---|-|
uofolelangueetuosdesrois	-|---|-----|-|--|------|
u ous aparma intes fo isgreué	-⌫--||--|--⌫----|--⌫-|-----|
uouseussiez le	---|------|-|
cuer creué	---|-----|
seuou s nefuis siez	-|---⌫|-|----⌫---|
de sfarsis	--⌫------|
siredistpercheuau srassis	---|---|---------⌫|-----|
l i estsesbras qui	-⌫|--|--|---|--|
fubr isiez	-|--⌫----|
separ mesd ire estmesprisiez	-|--|----⌫--|--|---------|
il doitestre forment	-|---|----|------|
maismalua isementful ouez	---|-----⌫------|-|-⌫---|
qua nt ilot lacanol efraite	---⌫-|-|-|-|-----⌫|-----|
quantke us	----|--⌫-|
o iceleretraite	-⌫|---|-------|
honteus s is	------|-⌫||
percheualenbracha	--------|-------|
comece luiqu ilot	---|--⌫--|-|-|-|
mol t chier	---⌫|----|
etsilaisseester le ch achier	-|-|-----|----|-|--⌫-----|
acarlionsontretorné	|------|---|-------|
li keu auoientatorné	-|--|------|------|
lemengierquitozestoit pres	-|------|--|--|-----|---|
cha rset oisiausetpoissons fres	---⌫-|-|------|-|-------|---|
ensaileco nt e	-|--|-|--⌫--⌫|
ma intro ietmai ntducet	--⌫--|--⌫|-|---⌫-|--|-|
maintconte	----|----|
mai ntrich ebaron	---⌫-|----⌫|----|
etmain tedamederen on	-|----⌫-|---|-|---⌫-|
quiaueclaroinef u	--|---|-|----|-⌫|
une roubedu chierboffu	--|----|-|----|----|
quies toit	--|--⌫---|
forreedermine	-----||-----|
trametmadamelar oine	-----|-|---|-|-⌫---|
a perc heualqueille	|----⌫----|--|-|-|
etilsifistpar molt	-|-|-|---|--|---|
grantfes te	----|---⌫-|
cari l es toitiadesarmez	--|-⌫|--⌫---|-|-------|
ettantostquil f ua cesmez	-|------|-|-|-⌫|-⌫-----|
liroi sle sa isi par	-|---⌫|-|--⌫--|--|
lauéonts asieent	----|--||------|
etlaro ine etsespuc eles	-|-|--⌫--|-|--|---⌫---|
lesdamesetles damoiseles	--|----|-|--|---------|
etlicheualierense ment	-|-|--------|----⌫---|
s asistrenttout	|--------|---|
mell eem ent	----⌫---⌫--|
chascunsafu bl eu nmantel c ort	-------|---⌫--⌫|-⌫|-----|-⌫--|
onsot fai re acort	-|--|---⌫-||---|
siregauains sestut	---|------||----|
de uantl edo issinisemu t	--⌫---|-⌫|--⌫-|-|-|-|--⌫|
a uecfulancelosdulac	-⌫--|-|-------|-|--|
yuainseter ecl i	-----|-|--⌫-|-⌫|
et biendus quea ui n tdesmeill ors	-|---|---⌫--||--⌫-⌫|--|-----⌫--|
