Acesteestoiredi reme	|----|------|--⌫-|-|
Puisq u ilse r ontdedanz	---|-⌫|-|--⌫-⌫--|-----|
Ne uerroiz	-|------|
gietetelclarte	----|--|-----|
T ropsomesnos	-⌫--|----|--|
pl ei ndegrant ri chet e	--⌫--⌫|-|----|--⌫----⌫|
Prince etbar o ndemolthaut parent e	-----|-|---⌫-⌫|-|---|---|------⌫|
Se despandon s.m.mar s darg e nt	-|---------⌫|--|---⌫||---⌫-⌫-|
Nenosen so ituaill a nt.i. oefpele	-|--|-|--⌫-|-----⌫-⌫-|--|--|---|
M esca lennorAymeril e	-⌫-||||----|-----|-⌫|
nos aco mm ende	--||--⌫--⌫---|
Dientlic on te Moltauezbien parle	----|-|-⌫--⌫-|---|---|---|----|
Ains iferonscomlauez	----⌫|-----|--||---|
ildit se son ttuitacorde	-|--|-|---⌫|---|-----|
Lorb an refontcrier p ar	--|-⌫-|-----|----|-⌫-|
Quihe n a sachi erserontache te	--|--⌫-⌫-⌫||---⌫-|-----|----⌫-|
L i borioisl	-⌫|------||
oient niontplusdemore	----|||--|---|-----|
Desozlor chapes en o ntta nt	----|--|-----|-|-⌫-|--⌫-|
ont.i.gr an tmontentasse	--|--|--⌫--⌫|---|------|
Si chierlor ue nden t c omilloruinta	-|----|--|--⌫----⌫|-⌫-|-|--|---||
Abonarge nt	|--|----⌫-|
etafinor pese	-||--|-|---|
Sigrantauoirloren furent	-|----|----|--|-|-----|
Etciluilain rameinent a plante	-|--|-----|--------||-----|
M u lsetso miers	-⌫-⌫-|-|--⌫----|
quisont d e noiztrouse	--|---|-⌫|---|-----|
Q ui lontuenduestotalo r uo lente	-⌫|-⌫|--|------|--||--⌫|--⌫----|
E tliFr anc oisonttotelf eugite	-⌫|-|--⌫---⌫--|--|--|-|-⌫-|---|
De sbonshenasquilont	--⌫|---|----|-|-|--|
fretetcasse	---|-|----|
Etde noizia uges ont	-|-|---|--⌫---|--|
le feualume	-|--|----|
Laflanbei fiert quigi ete	-|-----||----|--|--⌫--|
g rant clart e	-⌫---|-----⌫|
Deciaslate ssont li bran d on u ole	-|-|-|----⌫|---|-|----⌫-⌫-|-⌫--|
Parpouq u iln	--|--|-⌫|-||
ont tot arset enb rase	--|--|--|-|---⌫---|
Lonbarten sontformentespo ente	------|-|---|------|----⌫---|
Distlunalautr e	---||-|||----⌫|
Malnos esten contre	--|--|--|--⌫-----|
Ce sonticiuif deabl e et	-|---|--|--|-----⌫|-|
Tuitlidomageen	---|-|-----|-|
s oi e ntreto rne	-⌫--⌫-⌫-|----⌫--|
SusBon ifac elefol br i conprou e	--|---⌫----⌫|-|--|--⌫-⌫--|----⌫|
Quilesmist enPauie	--|--|---|-|----|
uintiorzseiornentlibaronet l i	---|---|--------|-|----|-|-⌫|
Sirichementcom enp uetde u iser	-|--------|--|-|-⌫--|--⌫-⌫---|
Font chas cun ior lesmengie rs	---|----⌫--|--|--|------⌫-|
Lesuenoisonsetle sors	--|--------|-|--⌫|--|
Etq ant lesont fetcuire eta torner	-|-⌫--|--|--|--|----|-|-⌫-----|
Nende n gnen tilsepet itnongouster	|-|--⌫-⌫----⌫|-|-|---⌫-|--|------|
Aincois fo nt totdepar tiret	------|--⌫-|--|-----⌫--|-|
Ia ne feront	-|-|-----|
lormengierd eueer	--|------|-⌫----|
qui ue ille neuenir ne aler	--|--⌫---|-|----|-|---|
pu etassezpor ter	--⌫-|----|---⌫--|
L onbartl e uoient	-⌫-----|-⌫|-----|
qui estoi enta uer	--|-----⌫--|-⌫--|
despansnepuentendurer	------|-|----|------|
.I.mesa giersleuet au roi conter	--|----⌫----|-|--|-|--|-----|
Ennon Deusiremolt fetes	-|--|--|---|---|----|
Q antcesm esa gesfet es	-⌫--|--|-⌫---⌫--|---⌫-|
ci seiorner	-|-------|
Ainztelor gueil	---|--|--⌫----|
neui mesdemener	-|-|--|------|
conten aprinceneaper	----|||-----|-||--|
En telchiertefont la uiletorner	-|--|------|---|-|---|-----|
Quetrespasantn	--|---------||
i puentostele r	|----|------⌫|
Nei ln i true u entu iende	-|-⌫|||----⌫-⌫--|-⌫----|
Gentis roissirefetes lesentorner	-----|---|---|----|--|-|-----|
antan tnoten	-----⌫||-|-|
Pa rfoifet ilormedoitmo lt	--⌫|--|--|-|-|-|---|--⌫-|
Ie les ferai par	-|--|----|--|
deuantmo imender	-----|--⌫|-----|
Sir efetilian	---⌫|--|-|-||
enestuet parler	-|-----|-----|
Ai nzuerriezlaqui nza i nepase r	--⌫-|------|-|---⌫---⌫-⌫-|----⌫|
Qanuostre ostelen dengnast. i.en trer	|-|-----|----|-|-------|-⌫-|--⌫---|
Porcequetrop lesfeistes	--|-|--|---|--|------|
Qant lorfeisteslabuch edeueer	---|--|------|-|----⌫|-----|
Ceresenblafolage	-|-------|-----|
Di st Boniface	--⌫-|-------|
ParDeulefilMa rie	--|--|-|--|--⌫--|
Toutuoirementfu	---|--------|-|
ce mo lt grantfolie	-|--⌫-|----|----|
Qant dela b uche	---|-|-|-⌫---|
fis feretelbanie	--|---|--|----|
Ca rlibar on sont	--⌫|-|---⌫-|---|
degran tseignorie	-|----⌫|--------|
Riensquefa cons nepri seun e	----|--|--⌫---|-|---⌫-|--⌫|
Mol t t o s tpo rroi t	---⌫|-⌫-⌫-⌫|--⌫----⌫|
torneraesto utie	-----||----⌫---|
ai nsidemoren t	--⌫--|-------⌫|
que pluss oit lauil eenchierie	--|---|-⌫--|-|---⌫|--------|
Giraia eus	|---||--|
si nedemorraimie	-|-|-------|--|
Lorsuaitmonter	---|---|-----|
elmulet d eSul i e	-|----|-⌫|---⌫-⌫|
Etmoineoluide sage ntgrantp artie	-|----||--|-|-|--⌫-|----|-⌫----|
.X XX. L onb arzoten saco np angnie	--⌫--|-⌫---⌫--|-|-|-|--⌫--⌫-----|
Mesainzquilissede lasale uo ltie	--|---|-|-|---|-|-|---|--⌫---|
Rois Bo nifaceles ensengne	---|--⌫-----|--|-------|
etchast ie	-|-----⌫-|
E ttozensenblem oltgentementlor	-⌫|--|-------|-⌫--|--------|--|
Seignorfet ilpor	------|--|-|--|
Deule fil Marie	--|-|--|----|
Qantuerr oizlacele	---|----⌫--|-|---|
grantbar onnie	----|---⌫----|
Gardezuosbienque	-----|--|---|--|
nedio izfolie	-|---⌫-|----|
Car Francoi ssontunege n tmolt hardie	--|-------⌫|---|--|--⌫-⌫|---|-----|
Etsisontplaindeg rantc heualerie	-|-|---|----|-|-⌫---|-⌫--------|
Quilor diroitorgu eiln eestout ie	--|--|-----|----⌫--|-⌫|------⌫-|
Tostlef androient de l branciusquen	---|-|-⌫--------|--⌫|----|----|-|
Ianelleroientpor	-|--|-------|--|
tozceus delauie	--|---|-||---|
auoientnostregen ten uaie	------|-----|---⌫|--⌫---|
auroi enta cent t olu	-----⌫--||---|-⌫--|
Quepoissionsd eu s	--|--------||--⌫|
prendre auoirbaillie	------|----|------|
Si re fontil decen e	--⌫-|---|-|-|-|-⌫|
I as e Deu plest	-⌫|-⌫|--|----|
ne l ordir onsfolie	-|-⌫-|---⌫--|----|
Dex nosenga rtquitotaen ba illie	--|--|-|--⌫-|--|--||-|--⌫----|
Que a nos neseprengnent	--||--|-|-|--------|
R ichement sontetchaucieetuestu	-⌫-------|---|-|------|-|----|
RoisBo nifacesiami	---|--⌫-----|-|--|
mont entni	----⌫--|||
Iusqasostieu s au sbaronss ont	---|-|------⌫|--⌫|-----|-⌫--|
Etqantli con telesontaperceu	-|---|-|---⌫-|--|--|------|
Co n t rele roisontmain tenantissu	--⌫-⌫-⌫-|-|--|---|----⌫-----|---|
Liroislo rdi tmolt gentem ent	-|---|--⌫|--⌫|---|------⌫--|
DeDam edeu l e uerairo i Iesu	-|---⌫---|-⌫|----|--⌫|---|
Q uitozior zes tettoteseures fu	-⌫-|--|---⌫|--⌫|-|----|----|-|
Soi ezgardefranccheual ie r	---⌫-|----|----|------⌫--⌫|
Bi enuegniezsire c il	--⌫-|------|---|-⌫-|
liontrespondu	-|--|-------|
S iauezuosu ersnos gr ant t orteu	-⌫|---|--|-⌫--|--|--⌫--|-⌫--|-|
Quibuchea uendrenosauez	--|----||-----|--|---|
Sil nenos fu st aut rebienaue nu	|-|-|--|--⌫-|---⌫-|---|---⌫-|
No stremen gie r eussio nsmengiec ru	--⌫---|---⌫---⌫|------⌫-|-----|-⌫-|
Seignordis t ilnens oie zir ascu	------|---⌫|-||-|-⌫---⌫|--⌫---|
Ne lfispor	--⌫|--|--|
malfoi qued oia Ie su	--|--|--|-⌫-||--⌫-|
Mesbi e n uodroiedesor	--|--⌫-⌫|------|--|-|
Sil u osplesoitporqu estes	|-|-⌫-|------|--|-|----|
E tpor quel	-⌫|--|---|
cho seuos est esesmeu	---⌫-|--|---⌫-|----|
F orsde uost recontree	-⌫--|-|----⌫-|------|
Hugue sp arla	-----⌫|-⌫---|
liche ualiersgentis	-|---⌫------|-----|
DeBargelone	-|--------|
qui moltfu bien	--|---|-|---|
B iaus s irerois cedistlicuensdepr is	-⌫---|-⌫--|---|-|---|-|----|-|--⌫-|
S i m eist	-⌫||---|
N ossomestuitducetconte et	-⌫-|----|---|--|-|----|-|
Niacelu iqui	|||----⌫|--|
richep ais	----|-⌫--|
enuoieli preuz	-----|-|----|
cuen sAymeri s	----⌫|------⌫|
Limieud re princesquielm ond es oit uis	-|-----⌫-|------|--|-|-⌫---⌫|-⌫--|--|
Fiz fuHernautquitant fu seigno ris	--|-|------|--|---|-|------⌫--|
Natelbaronde	||--|----|-|
SaintDe nis	----|--⌫--|
licuensquici nosa	-|----|--|-|--||
Fors seuleme ntCharlo no	---|-------⌫-|------⌫||
l efi eruis	-⌫|--⌫-|--|
Contre celuimiene l aatis	-----|----|--|-||----|
Mesapreslui a desortoz lepris	--|----|--||----|--|-|---|
Li cuensqui tient Nerboneetlepais	-|----|--|----|------|-|-|---|
Ce don tnotcure	-|---⌫||-|---|
nema rchi s	-|--⌫----⌫|
Tantredoutoientpaienset Arrabis	---|----------|-----|-|------|
Icilfranscuens queg e	---|----|----|--|-⌫|
ci u osdeuis	-|-⌫-|----|
Parnos uosmend ebiauss i reroi sgentis	--|--|--|----⌫|----|-⌫-⌫-|---⌫|-----|
Queli dongniezuostresuerau	--|-|-------|-----|---|-|
Cest Hermen iartau gentc o rs seignoris	|--|------⌫---|-|---|-⌫-⌫-|--------|
Selic ue ns l	-|-|-⌫--⌫-||
leu ospleu is	-|-⌫-|----⌫-|
Onq uesmesdame	---⌫--|--|---|
ne mont aentelpris	-|----⌫|-|--|---|
E t si auroizreco ur e	-⌫|-|-----|----⌫--⌫|
tant damis	---||---|
Nedouteroiznulhome qu isoit uis	-|--------|--|---|--⌫|---|--|
fete s de cesoi eztoz fis	----⌫|-|-|---⌫-|--|--|
At oz iorzm es	|-⌫-|---|-⌫-|
serauostre ennem is	---|-----|-----⌫-|
Aym er isde Ne rbone	---⌫--⌫-|-|--⌫----|
Hugues parla lipreuzetli cortois	-----|----|-|----|-|-|------|
P renez conseilf etilbiaus	-⌫----|------|-⌫-|-|----|
Ceque uos d i	-|--|--|-⌫|
mie parg abois	--|--|-⌫----|
Se nosdonezuostresuer demen ois	-|--|----|-----|---|-----⌫--|
Dedan z Nerbo neel	-----⌫|-----⌫-|-|
pal aism agin ois	---⌫--|-⌫----⌫--|
Sera contesseentrecicaunmois	---|-------|------|||-|---|
fetespar Deuqui fistl e s	----|--|--|--|---|-⌫-⌫|
hontesetennois	-----|-|-----|
T ant amenr on scheual i e rs ethernois	-⌫--|-----⌫--⌫|------⌫-⌫-⌫-|-|------|
Caincois.i. an l aur onsso r uostrepois	|------|--|-||---⌫--|--⌫|-----|---|
Mestelconseil pre nez	--|--|------|---⌫--|
b iaussire rois	-⌫---|---|---|
Quenos dongn i ezla puceleas	--|--|-----⌫-⌫-|-|-----|-|
crinsblois	----|----|
Richedoaire	----|-----|
liferonstota chois	-|-----|--||----|
Seunommero nsorendro itd emenois	--|-------⌫-|-------⌫-|-⌫------|
Dames erad e	---|-⌫--|-⌫|
to tleBiaulandois	--⌫|-|----------|
DeBis c ar reletdetotNerbono is	-|---⌫-⌫--⌫--|-|-|--|-------⌫-|
Etde Marsone decienuienno is	-|-|------|-|-|-|------⌫-|
QantLonbart loentsi sont	---|------||---|-|---|
Distlun al autre Par	---||-|||----|--|
Deuq u ifistles lois	--|-⌫-⌫|---|--|---|
Sifierdoair e nef ist	-|---|-----⌫|-|-⌫--|
nec uens ne roi s	-|-⌫---|-|---⌫|
auoirla dame	----|-|---|
D istBonifaceSe ignor	-⌫--|-------|--⌫----|
ormentendez	-||-------|
Dunepar ti euossai gemolt bons	|--|---⌫--⌫|--|--|-|---|---|
Qantparam ormasuerme	---|--|--⌫-|-|---|-|
AAymeri qui tantestredoutez	|-----|--|---|--|-------|
aut re partme	---⌫-|---|-|
s e nble g ranzfi ertez	-⌫-⌫---|-⌫---|--⌫----|
Qant uospar forceauoirla uo driez	---|--|--|----|----|-|--⌫----|
Mes une c hosesachiezqu est	--|--|-⌫---|------|-|--|
M olt estliho m f ox	-⌫--|--|-|--⌫|-⌫-|
et musarzpr ouez	-|-----|--⌫---|
Qui fameprantoutreses uolentez	--|---|----|----|--|-------|
nestdesa fameamez	|--|-|-|---|---|
Nen serabie nseruiz	|-|---|---⌫|-----|
neannore z	-|------⌫|
d e ce ne quier	-⌫|-|-|----|
e streblasmez	-⌫---|------|
Alapucele irai se	|-|-----|---|-|
ostroieicequeditauez	------|--|--|--|---|
Don rai lauosuolent iers	---⌫--|-|--|------⌫---|
DientLo nbartDexen	----|--⌫----|--|-|
so itaorez	--⌫-|----|
Biaussire roi s ordontsiuos	----|---|---⌫|-|---|-|--|
D ontn oezuos com dientg ranzfiertez	-⌫--||--|--|--|----|-⌫---|------|
Tan tnosmenacenttoz	---⌫|--|-------|--|
nosonteffre ez	--|--|-----⌫-|
Ne sontpashom e eincois sontuis m aufez	-|---|--|---⌫|------|---|--|-⌫----|
Alezbiaus sireporDeusi lor	---|----|---|--|--|-|--|
Et cest pai smolttostendeliurez	-|---|---⌫|---|---|-|-------|
enrepantir e z	-|--------⌫-⌫|
paroles senestliroistor nez	------||-|--|-|---|---⌫--|
Iu sqaupalesne sestpas	--⌫-|-|----|-||--|--|
Tro uasasuerquimoltotdebiautez	---⌫-|-|---|--|---|-|-|------|
Desesp ucelesauoi toluiassez	-|--|-⌫-----|----⌫||--|----|
Li roissifu	-|---|-|-|
sagesetenparlez	----|-|-------|
Andeus sesbraz	-----|--|---|
li aauco l gitez	-||-|--⌫|----|
Pui slen apele	---⌫||-|----|
parmol tgranz amistez	--|---⌫|----|------|
Mabele suer uers moien	-|---|---|---|--|-|
Mariee estesseiluosuient	-----|----|-|-|--|----|
Auplushautprinceq ui	-|---|---|-----|-⌫-|
s oi t de merenez	-⌫--⌫|-|---|--|
Quiuosenuoie querre	--|--|-----|-----|
Enune chanbrequiestoitp eintea	-|--|------|--|-----|-⌫----||
Sesistlirois	-|---|-|---|
en sonpales	-|--|----|
Leslui sasueral a	--|--|-|---||-⌫|
fresch e colo r	------⌫|----⌫|
I lli aditbelementpar	-⌫|-||--|-------|--|
Mabele sue rancui auroiz	-|---|---⌫|----|-----|
ueil.i. contepongneor	---|--|----|-------|
N a plusuail lant	||---|----⌫---|
In demaior	--⌫-|----|
LX .perde later reFranco r	--⌫|--|-|-|---⌫-|------⌫|
uosuienentquer ret uit sont duc etcontor	--|------|----⌫-|-⌫--|---|--|-|-----|
Encesteu ileont ia fettel seior	-|----|-⌫--|--|-|--|--|----|
Quiac oute uc.m ars puisc artio r	--||-⌫---|--|-⌫--|---|-⌫--|--⌫|
Hermeniartl ots i lidist	---------||-|-⌫|-|---|
Frerefetele nel	----|--|--|--|
te ne z afolor	--⌫--⌫||----|
Fo iq ue doiDeuleue ra i	--⌫|-⌫-|--|--|-|--⌫--⌫|
auraiiane m arineseignor	----|-|-|-⌫--|-|------|
Se .i.n en	-|--||-|
aiqui estde g rantualor	-|--|--|-|-⌫---|----|
C estAymer isl e nobl epongneo r	|--|-----⌫-|-⌫|----⌫|-------⌫|
Qu i tient Nerbo neetl epaisdentor	--⌫|----|-----⌫-|-|-⌫|---||----|
Que refuserent	--|---------|
etli menor	-|-|----|
Tantredotoientlagent Sarrazinor	---|---------|-|---|---------|
tien tp arforceetpar	----⌫|-⌫-|----|-|--|
Etdesfant sic ontre	-|------|-|-⌫----|
gent p aiennor	---|-⌫------|
Q ainznenp erdidemipie	|---||-|-⌫---|---|--|
neplain dor	-|----|--|
Etporice qan le tientau	-|--|--||-|-|----|-|
Aigeuerslu isitorneem	-|-|---|--⌫|-|-----||
nauraimarinul	|----|---|--|
Car decelui mepuetuenirennor	--|-|----|-|---|----|----|
A nt a n mequistHerchenbausdeMonflor	-⌫--⌫-⌫|-|----|----------|-|------|
uie u ze stliroissi tretmes a	---⌫-⌫|-⌫-|-|---|-|---|--||
Mes ne lpre iss eparDeulec riator	--|--⌫|---⌫---⌫|--|--|-|-⌫-----|
Po rlet res orC harlonlenpe re or	--⌫|-|-⌫---⌫-|-⌫-----||----⌫--⌫-|
anpoistbienuenirdesenn or	-|----|---|----|------⌫-|
Que ia n e ussealuipe s	--|-||-⌫---||--|--⌫|
Sen uenistt ost hontage	|-|-----|-⌫--|------|
Frer ece ditl apuceleescheuie	----⌫|-|--|-⌫|-----|-------|
Po ram orDe u quit otaenbaillie	--⌫|--⌫-|--⌫|--|-⌫-||-|------|
N aiezuos ia de grantau oirenu ie	|---|--|-|-|----|--⌫--|---⌫-|
T ropau ezuosauoiretme nentie	-⌫--|--⌫-|--|----|-|--⌫-----|
Oruose nnui elamoie	-|--|-⌫----⌫|-|---|
conp angnie	----⌫-----|
moitantsuige	--|---|--|-|
plusmarri e	---|-----⌫|
Nem en queisse apie cemou oi r	-||-|------||---⌫-|---⌫--⌫|
Antanmeuint querrededanzPauie	----|-|---|-----|-----|----|
Apol iceamolt grantbaronnie	----⌫--||---|----|-------|
CeestroisOtes	-|--|---|---|
quia tantaseign orie	--||---||-----⌫---|
E tSauari sala bar be	-⌫|------⌫||-|---⌫-|
LiAlema nzquicuidoitgrant	-|-----⌫-|--|------|----|
Ca rmieuzuo sisseestreuiu e	--⌫|----|--⌫----|----|---⌫|
Quet exuiellarz eustma drue rie	--|-⌫-|-------|---|-|----⌫--|
ueniceen baillie	-----|-|------|
Plusadu nanmereq uiert	---|||-⌫|-|-|---⌫----|
moltetprie	---|-|---|
Sime requiertrois Andreus	-|-|-------|---|------|
deHongri e	-|------⌫|
Richeshom es t	-----|--|--⌫|
cenedesdigemie	-|-|----|-|--|
.X cite za dedanzsa seig nor ie	-|----⌫||-----|-|----⌫---⌫-|
Mesilnaurai aa m o i	--|-||---|-⌫||-⌫-⌫|
Ca r i lest uieuz sa	--⌫|-⌫|--|----|||
labarbef lorie	-|----|-⌫----|
E t si est	-⌫|-|--|
ro x et la	--⌫|-|-|
charablesmie	---||------|
Par cele foiquedoisa inte	--|---|--|--|--|--⌫---|
Nelepre ndroieporaperdrela uie	-|-|---⌫-----|--||-----|-|--|
M ieuz uodro ieestre enzen.i. feu bro ie	-⌫---|-----⌫-|----|--|-|--|--|---⌫-|
Que iaieusse lezsap a nce	--|-|-----|--|-|-⌫-⌫--|
Si meistDexquitot	-||---|--|--|--|
aen bailli e	|-|------⌫|
Ie nauraiia	-||----|-|
DistHermeniar tau	---|---------⌫|-|
gentcorsseignori	---|---|-------|
Biaussirefre r ep ar foile u o s a fi	----|---|---⌫-⌫|-⌫-|--|-|-⌫-⌫|-⌫-|
Queia nau raien mauiemar i	--|-||--⌫--|-|-|--|---⌫|
Segen en ai lepreuconte Aymeri	-|-|-⌫-|-|-|---|----|-----|
LefilHernaut aucoraie hardi	-|--|------|-|-----|----|
Q ueCharlemaine deNerbonesessi	-⌫-|----------|-|------|----|
Qanttuitliaut re enf urentesb ahi	---|---|-|---⌫-|-|-⌫----|---⌫--|
Ettuitenfu ren tdelpren dreau	-|---|-|--⌫---⌫|--|----⌫--|-|
Q an t lid anziausengrela rec oilli	-⌫--⌫|-|-⌫------|-|--|-|---⌫----|
Biauss irefreretot	----|-⌫--|----|--|
monpanseuos di	--|----|--|-|
Si m eistDexqui	-||---|--|--|
Ienedesirnul homeforsquel i	-|-|----|--|---|---|--|-⌫|
Dis tBo nifaceI esuCrist	---⌫|--⌫-----|-⌫--|----|
Ieneu os ue ildonerforsAy meri	-|-|-⌫-|--⌫-|----|---|--⌫---|
LX.persaenu oiezici	--|---||---⌫---|--|
Quisonthaut	--|---|---|
homeco rai eusethardi	---|--⌫---⌫--|-|----|
DedanzPauie sont	-----|----|---|
pass e acart di	----⌫||---|-|
Distlapu c ele Deuenaoretpri	---|-|--⌫-⌫--|--|-|--|-|--|
Orpuisbiendire debo neeurenasqui	-|---|---|---|-|--⌫-|---|-----|
Puis quec est uoirsquei aurai Ayme ri	---|--||--|----|--||----|----⌫-|
Les eignor d eNerb one	-|-⌫-----|-⌫|----⌫--|
seror roisBonifaceentant	----|---|-------|-----|
prendraAymerib o nement	------|-----|-⌫-⌫-----|
Moltene stliezentr elui	---|-|-⌫-|---|----⌫|--|
Etli Lonbart en	-|-|------|-|
sontt ui t	---|-⌫--⌫|
moltioiant	---|-----|
CardesFran coisauoie ntpoorgr ant	--|--|----⌫---|-----⌫-|---|--⌫--|
ne ussen tenuers ausm autal ant	|-⌫-----⌫|-----|--|-⌫-----⌫--|
Cil quiainzpot se nest t ornezcorant	--|--|---|--||-⌫|--|-⌫----|-----|
Iusqas Francoisenuienent	---|-|-------|-|------|
maintenan t	---------⌫|
Quituitensenbleestoientatandant	--|---|-------|-------|-------|
Querespondroit	--|----------|
lap uceleauenan t	-|-⌫----|------⌫|
Et li Lonb a rt	-|-|----⌫-⌫-|
uienen taeuserrant	------⌫||--|-----|
Quidelconterestoi entde sirran t	--|--|-----|-----⌫--|--⌫------⌫|
Etcildemendenta	-|--|--------||
sont deuan t	---|-----⌫|
Queuosre spontlapuc eleauenant	--|--|--⌫----|-|---⌫--|------|
Menro ns lanos aNerbone la grant	-----⌫-|-|--||------|-|----|
AAymer i le ha rd iconbatan t	|-----⌫|-|--⌫--⌫|--------⌫|
Etcilre sponent	-|--|--⌫------|
Oilmol t bonement	--|---⌫|-------|
Se nefus siezq ue iiii.	-|-|---⌫---|-⌫-|----|
s eule m ent	-⌫----⌫-⌫--|
ele uolen tiers lieeme nt	--|-----⌫----|------⌫-|
Aus eignor	-|-⌫-----|
deNerbo ne	-|-----⌫-|
Qantl aparoleont li conte	---|-⌫|-----|--|-|----|
e scou tee	-⌫----⌫--|
Quebienostro i e	--|---|-----⌫-⌫|
lap u celesenee	-|-⌫-⌫---|----|
C Aymeris l	|------||
aita la chi eremenbree	--||-|---⌫--|------|
Sau oirpo ez qu emoltbien lora gre e	---⌫--|--⌫-|--⌫|---|---|--|-⌫---⌫|
Et Boni facesanzplusde	-|----⌫---|---|---|-|
Lesmoine oluien	--|----||--|-|
l a salepauee	-⌫|---|----|
Ilecauoi tmolt d ege nt asenblee	---|----⌫|---|-⌫|--⌫-|-------|
Carla noue le lor estoit	--|-|----⌫-|--|-----|
Qu eHer meni artdeuoitestre e spo usee	--⌫|---⌫----⌫--|-----|----|-⌫---⌫---|
Atantesuoslap uceleen noree	----|-|--|-|-⌫----|--⌫----|
Dunechanb re	|--|-----⌫-|
ist richementa cesm ee	--|--------|-⌫----⌫-|
uest ue fud une	----⌫-|-||--|
porpreroee	-----|---|
un fild org alonnee	-|--||-|-⌫------|
Leseuzot uersla facecoloree	--|--|-|---|-|---|------|
DetelbiautelotDexenlum inee	-|--|-----||-|--|-----⌫---|
Quepuisnefusibeledam e nee	--|---|-|-|-|---|---⌫|--|
Tuitlibaronl ont fo rment	---|-|----||--|--⌫----|
Dist lunalautrecoi em enta	---||-|||----|---⌫--⌫--||
Seces t eauoitA ymeri s espousee	-|---⌫-⌫|----|-⌫-----⌫|-------|
Bien porroit	---|------|
direcestue r itez prouee	---||--|--⌫-⌫---|-----|
Nauroi t sibel eiusqalamerb etee	|-----⌫|-|---⌫|---||-|--|-⌫---|
Roisdusn ecuens tant aitgrantr enom mee	---|--|-⌫|----|---|--|----|-⌫----⌫--|
Et l apu ce lequi	-|-⌫|--⌫--⌫-|--|
bienfu do utrinee	---|-|--⌫------|
Estencontr eust otm aintenantalee	--|------|--|-⌫-|-⌫--------|---|
Si less al ue commesagee tsenee	-|--|-⌫--⌫-|----|---|-⌫|----|
Ci l Da medexquimainteame	--⌫|--⌫----|--|-----|--|
f ist ciel et terreetmersalee	-⌫--|---|-|----|-|--|----|
Gartt ozces c ont esetdointboneencon tree	---|-⌫-|--|-⌫---⌫-|-|----|---|-----⌫---|
M ol tparacibele	-⌫--⌫|--||-|---|
gen tasen bl ee	---⌫|----⌫--⌫-|
M ai nterobe	-⌫--⌫--|---|
ontenta illiee etoure e	--|----⌫-----|-|----⌫|
Deuerdegrisetd ermine	-|--|-|---|-||-----|
Mes neconnoisde tantsuies gar ee	--|-|------|-|---|--|--⌫---⌫-|
ConteAymeri a la chieremenbree	----|-----||-|-----|------|
N erboneacuiie	-⌫-----||--|-|
sui d onee	--|-⌫---|
Caruiengne auants anznule dem oree	--|------|----|-⌫--|---|---⌫---|
Si me recoiue	-|-|------|
pleste ta gree	----|-⌫|-⌫---|
D a medistHuguesmeru eill eau ez contee	-⌫-⌫-|---|-----|----⌫----⌫|--⌫-|-----|
doi Deuquifistcie l et ro usee	--|--|--|---|---⌫|-|--⌫---|
Qantce quedites	---|-|--|----|
s e rachose aueree	-⌫-⌫-|----|-----|
Quecil de qui d euez	--|--|-|--|-⌫---|
estre espousee	----|-------|
uandrapo ruoseniceste	-----|--⌫|--|-|-----|
Bienperceuroizalach ie remenbree	---|---------||-|--⌫--⌫-|------|
Auf ier tregartalabrace carree	-|-⌫---⌫|-----||-|----|-----|
Qu eciert licuensac uis eroizdon ee	--⌫||---|-|----||-⌫-|-⌫----|---⌫-|
t eleasenblee	-⌫--|-------|
Toteenplirac elesa le	---|------|-⌫--|--⌫-|
Et la citez	-|-|----|
tantcommeest	---|----|--|
gr an z etlee	--⌫--⌫|-|--|
Enesseraentozleuseff r eee	-|-----|-|--|---|---⌫-⌫--|
Seignorce di t	------|-|--⌫|
lapucelesenee	-|-----|----|
L oezs o it D exetsa	-⌫--|-⌫-⌫-|-⌫-|-|-|
me reaoree	--⌫-|----|
Desi hautm ariage	-|-|---|-⌫-----|
Qantl ibaronont lap aro l eoie	---|-⌫|----|--|-|-⌫---⌫-⌫|--|
Queilontsila bes ongnefornie	--|-|--|-|-|---⌫----|-----|
Quelapucelemoltbon ementotrie	--|-|-----|---|---⌫----|----|
QA y meris l ait a la chiere hardi e	|-⌫-⌫----||--||-|-----|-----⌫|
Liuns alautreleco nseilleenl	-|--|||----|-|--⌫------|-||
Totcoiemen t quel en nelentant	--|-------⌫|--||-|-||-----|
Parles s ain z Deu bien estlueur eaconplie	--|--|-⌫---⌫|--|---|--||----⌫|-------|
Moltpares t	---|--|--⌫|
be le H ermeniart	--⌫-|-⌫--------|
Car pleustDeulefil	--|-----|--|-|--|
sainte Mari e	-----|----⌫|
QueAymer is leust ensa ba illie	--|-----⌫-||---|-|-|--⌫----|
DedanzNer bone lafort	-----|---⌫---|-|---|
citegarnie	---|-----|
Et sileustes pousee et	-|-||---|--⌫-----|-|
Acele loiqueDexae s t ablie	|---|--|--|--||-⌫-⌫-⌫----|
Et couc hiefussenten	-|----⌫--|------|-|
B ien p orroit dire sine	-⌫--|-⌫-----|---|-|-|
mentiroitmie	--------|--|
Nau roitsi	|--⌫---|-|
beleiusqasporz de Hongrie	---|---|-|---|-|------|
