pou rce que	---⌫|-|--|
le uous di iequenushomsn e	-|---|-|-|--|--|---|-⌫|
doitest reoise us	---|---⌫-|----⌫-|
pou rt antqu eilait riens	---⌫|-⌫--|--⌫|-|--|----|
afai rese cisuo usariens	|---⌫-|-|--|--⌫-||----|
mes fait il estbiendroisque c isu ousenface	---⌫---|-|--|---|----|--|-⌫-|-⌫--|-|---|
amendeet sec e nonquerez queu ous	-----|-|-|-⌫|--|-----|--|-⌫--|
ai deraide	--⌫----|-|
quante dypus	----|-⌫----|
le ntentadontfumoult	|-⌫----|----|-|----|
liez illi a	---|-|-||
demandé com ment il p orra dupr emie resploiti era lez	-------|---⌫---|-|-⌫---|-|--⌫----⌫|--------⌫-|-⌫--|
dist ca ssidoru spr endez unmessageetli	---|--⌫-------⌫|--⌫----|-|------|-|-|
quiluousamende cequ eil	-|-|---|-----|-|--⌫|-|
uousamesfait	---||------|
ueult fairepren dezleetse	----|----|----⌫--|-|-|-|
alez s o rlu ietled eff iez sicomme l e u o stre	---|-⌫-⌫|--⌫|-|-|-⌫---⌫--|-|----|-⌫|-⌫-⌫---|
mortelainssi comme illeditain ssi fufait	-----|-----|----|-|-|--|---⌫--|-|---|
edypuspristyyche ua liersetlorcarchala besoingne	-----|----|-|---⌫--⌫----|-|--|-----|-|--------|
o ntfi né	-⌫-|--⌫--|
sisontuen u sen	-|---|---⌫-⌫|-|
lac ite de teberga dis	-|-⌫--|-|-------⌫--|
iluectrouua le sarrazinq uio tnonlapsusli	----|-----|-|-------|-⌫-|-⌫|--|-----|-|
d esc heual i ersli acontélemess ageen	-⌫-|-⌫-----⌫-⌫--|-||-----|-|----⌫--|-|
tellemaniere	----|------|
quil lifu chargié	-|-|-|-|-------|
cislapsu sres pondiq ueseil	--|-----⌫|---⌫----|-⌫-|-|-|
auoirriens mesfaita son seigneur	----|----|------||--|-------|
il n eust pas	-||---|--|
tan tatendu	---⌫|-----|
d e l amendefairene il	-⌫||-----|----|-|-|
iaautr echose	-|----⌫|----|
nemportera	|--------|
qua ntcheualier s entent	---⌫-|---------⌫|-----|
celuisil a	----|-|||
deffiédepa rson seigneurainssico mme dit li	------|-|--⌫|--|-------|-----|--⌫--|--|-|
estoitlap sus	-----|---⌫--|
respondi ie oi	-------|-|-|
bie nladeff ianceuatost h o rs	---⌫|-|----⌫----|-|---|-⌫-⌫-|
dematerre quarse i etepuis	-|-|----|---|-|-⌫|-|---|
trouuer enmat erre ne	------|-|-|-⌫---|-|
consuirnetoi neh ommedeton	------|-|--|-|-⌫---|-|--|
seigneurde ceiourenauant	-------|-|-|---|-|----|
ielesfe rai touzlesm embre strenchieret quantc is	-|--|--⌫--|---|--|-⌫-----⌫|--------|-|----|-⌫-|
ot fait sonmess ageilsemi staur eto ursi	-|---|--|----⌫--|-|-|--⌫-|-|-⌫---⌫-|-|
qu in e npooitplusf airequeuns	--⌫||-⌫|----|---|-⌫---|--|--|
seul s homsetn o npourquantes toit	----⌫|---|-|-⌫-⌫---------|--⌫---|
ilcheuali ers	-|-------⌫--|
esleuzilsestmis	-----|-||--|--|
auchemin si nefina	-|-----|-|-|---|
enla citedebethsaidailuec atr ouué edipu s	-|-|---|-|--------|----||--⌫----|-----⌫|
entour lui grantple n tedeba ro ns	-----|--|----|---⌫-⌫-|-|--⌫--⌫-|
sicomme cilqui	-|----|--|--|
bienatendoi ent	---|-------⌫--|
g uerre li ch euali e rs est descendusen	-⌫----|-|--⌫-----⌫-⌫-|--|--------|-|
co urt p u issi	--⌫--|-⌫-⌫-|-|
montezou p alaiset	-----|-|-⌫----|-|
a sa lué sonseign eur et liaditce	|--⌫---|--|-----⌫--|-|-||--|-|
trouué quantedipusentend i	------|----|-----|------⌫|
celuilorsa	----|---||
faitsap lainteasesbarons	---|-|-⌫-----||--|-----|
eti l onttuitfa it	-|-⌫|--|---|--⌫-|
mo ult bonsamb lantde	--⌫--|--|----⌫---|-|
luia i dieril amandépar tout	--|-⌫-⌫---|-||-----|--|---|
auplusefforc ie ment queilp otgentil	-|---|------⌫--⌫---|--|-|-⌫-|---|-|
ne demoura	-|------|
pasyyiour squa nt	--|-|----⌫|---⌫-|
ilot yymilsarr azins	-|-|-|--|----⌫----|
bienmonte z	---|-----⌫|
ch asc u ns quilyront par toutpourleurseigneu r	--⌫---⌫-⌫-|-|-|----|--|---|---|---|-------⌫|
aidiers on droitetson	-----|-⌫-|----|-|--|
honneur am aintenired yp us en u int	------||-⌫-------|--⌫--⌫-|-|-⌫--|
aca ssidor us	|--⌫------⌫-|
et lidistq ui lu o uloity ymi l	-|-|---|-⌫|-⌫|-⌫-⌫----|-⌫|--⌫|
haubersa condui rebien	------||------⌫-|---|
sefiast eneulzquartout	-|----|-|---|---|---|
erentseuretgentilz hommes	----|---|-|------|-----|
cassidorus n e	---------|-⌫|
f i stonq ues proie rain coisdi stque	-⌫-⌫-|---⌫--|-----⌫|---⌫---|--⌫-|--|
se il estoienttel	-|-|-------|--|
comme ildi soit	----|-|--⌫---|
q uemoult uoit bien li	-⌫-|----|---|---|-|
toutappare il liépo urmou uoiredyp usenest	---|------⌫--⌫---|--⌫-|---⌫---|----⌫-|-|--|
uenus enlaco urt	----|-|-|--⌫--|
e ttrouuesa	-⌫|-----|-|
femmeetsafille	----|-|-|----|
quim oul t e stoie nttaintesetpalezill e saesgarde es	--|-⌫---⌫|-⌫-----⌫-|------|-|----|-|-⌫-⌫||-------⌫-|
etfutouzesbahizco mmentdi stiluous	-|-|---|------|--⌫----|--⌫-|-|---|
elles neso rentque respo ndrecarellesn e	----|-|--⌫---|--|-----⌫---|--|----|-⌫|
uo loientpas	--⌫-----|--|
connoistreueriteain zsesontc ouu er tes	---------|-----|---⌫|-|---|-⌫---⌫--⌫--|
de ces ir e	-|-|-⌫--⌫|
commentuol ezuousqu	------|---⌫-|---|-|
il noussoitia uolezuous	-|---|---|-|----|---|
al ersus lapsu m cu id iez uous	--⌫-|--|-----⌫|--⌫--⌫--|---|
qu ilnous e nsoit	-|-|---|-⌫|---|
dame di stepidu sorne uou s anuie	---|--⌫-|-----⌫|-|-|---⌫|----|
uengiermoncousinsire dis tl ors lapucele	------|--|-----|---|---⌫|-⌫--|-|-----|
prique uous medi tesquiuous	--|--|---|-|--⌫--|--|---|
muet a cequeuous	---||-|--|---|
uole zmaintenant mouuoir	----⌫|---------|------|
fil l e distedipus	---⌫-⌫|---|-----|
lesensetlap r ouescequ eie	-|---|-|-|-⌫-⌫-----|--⌫|-|
sentencassydorus	---|-|---------|
quar autrem entsefust ilpartisdemoi	---|------⌫--|-|---|-|-----|-|--|
uraiement quei e en	--------|--|-⌫|-|
uendraid uto utaudesseurepar	------|-⌫|--⌫-|-|-------|--|
s aprouesceperedistla p ucelle faites	-⌫|-------|---|---|-|-⌫-----|-----|
a luip a r lerau main sli prieraiie	|--|-⌫-⌫-⌫--|-|----⌫|-|------|-|
etma mere aussi q ue	-|-|---|----|-⌫-|
d euostrebesoingneetielotroi dis t	-⌫|-----|--------|-|-||----|---⌫|
cilzquiriens	---|--|----|
n epensoitace queellespen s oient	-⌫|------||-|--|----|---⌫-⌫----|
il estu enusa cassydoruset lidistsire il	-|--|-⌫---||---------|-|-|---|---|-|
uous couuientu eniramadamequarelle ue ult a	---|-------|-⌫---||-|---|---|---|--⌫--||
parler auantque nousnous	-----|-------|---|---|
m etons horsdupaysca ssidorus	-⌫----|---|-|---|--⌫-------|
sen fustdepartismaisil neueut	|-|---|-------|---|-|-|---|
lessierq ueil	------|-⌫-|-|
n ialast il ensont montéenla	||----|-|-|---|-----|-|-|
tour amontet	---|----|-|
onttrouué	--|------|
ladamee tl a	-|---|-⌫|-⌫|
pucelleelless e so nt	------|----|-⌫|--⌫-|
dre cieesenc o ntre	---⌫----|---⌫-⌫---|
eulzet co mmencierentmoul t	---|-|--⌫----------|----⌫|
ten drem ent	---⌫----⌫--|
aplourer q uantcassidorus	|------|-⌫---|---------|
uitce si lidespl ait moult	--|-|-|-|-----⌫--|----|
c omme n tdit	-⌫----⌫-⌫|--|
ilquauezuousco ntenezuous	-|-|---|---|--⌫-----|---|
sagementadont	-------|----|
se sontrep rises a ploureretdis t rent	-|---|---⌫----||------|-|---⌫-⌫---|
nousauo nsmoultgrantfia ncee n u ous	---|---⌫-|----|----|---⌫--|-⌫|-⌫--|
nousuousprions	---|---|-----|
pourdieu queuouspensezd e	---|---|--|---|-----|-⌫|
mon seigneurquar moulta	--|-------|---|----||
grantfiance	----|-----|
en uousil r e spondiaceet	-|---|-|-⌫-⌫-----||-|-|
detoutcesuiie proie zpiec auolez uous	-|---|-|--|-|-----⌫|----⌫|----|---|
autrechose	----|----|
direadontse turentt outesquoieset	---|----|-|-----|-⌫----|-----|-|
autrea penseret	----||-----|-|
dirente ntre leu rs dens	-----|-⌫---|---⌫-|---|
uoi rementuoudr i onsnous bienel	---⌫-----|-----⌫-⌫--|---|---|-|
dire senous	---|-|---|
e n eu ssio nshacassidorusdis tla d amesib as	-⌫|--⌫----⌫-|-|---------|---⌫|-|-⌫--|-|-⌫-|
l entendicomme	|------|----|
c elleseroitbonne e uree	-⌫---|-----|-----⌫-⌫---|
quiuous po rroit	--|---|--⌫----|
teniren lieu	----|-|---|
ou elle peust	-|---|----|
asa uolenteetautretel	|-|------|-|-------|
di soits afilleetquantil	--⌫---|-⌫|----|-|----|-|
orre ntparle ́	----⌫-|-----⌫|
assezdeleursaffaires ilontpris congieet	----|-|----|-------|-|--|---|-----|-|
sensontretourné aceulzqui les	|-|---|--------||----|--|--|
ate ndoient maint enant	---⌫------|-----⌫----|
seson tmis	-|---⌫|--|
enleurchemi n eto n tcondu itleurge nt	-|---|-----⌫|-|-⌫-⌫|-----⌫-|---|--⌫-|
pa ruilles e tparpl ains il	--⌫|-----|-⌫|--|--⌫---|-|
onttant cheua uch ie ́ q u	--|---|-----⌫---⌫--⌫|-⌫|
i l o n tap ro chié thyberiad i setquan tlipays	-⌫|-⌫-⌫|--⌫--⌫----|---------⌫-⌫|-|----⌫|-|---|
uient sorlui il afaitsa citeappareillier	----|--|--|-||---|-|---|-----------|
etses ontaprest éd e deffe n dre	-|-|-⌫--|------⌫-|-⌫|-----⌫-⌫--|
edypusafaits esfo urrierscerchierlep aysety	-----||---|-⌫-|--⌫------|-------|-|-⌫--|-||
fa itmoult dedomageliossest fais hauber gier	--⌫-|----|-|-----|-|-||--|---|------⌫---|
mont é susl esche uaus	----⌫-|--|-⌫-|---⌫---|
de prisc assidorus condui tsagentmoult	-|---|-⌫--------|------⌫|-|---|----|
ordeneementila	----------|-||
fa i tse nseigne	--⌫-⌫||-⌫------|
d esplo ier	-⌫-----⌫--|
guisede son	----|-|--|
paysqui d ont	---|--|-⌫--|
ueistloret l azuresclaroi r	----||-|-||---|--------⌫|
contreles oleilbienpeust	-----|-|-⌫----|---|----|
ilnefusse nt	-|-|-----⌫-|
pas garconil	--|-----|-|
sont aproc hiez	---|-----⌫---|
d elacitelaps us	-⌫|-|---|----⌫-|
neuautpaslaissier queilnesoit horsissus	-|---|--|-------|--|-|-|---|---|----|
eulz ilauoitbienyy	---|-|----|---|-|
mil haubers sanzceulzapie	--|------|---|----||--|
quan t cassidoru s	----⌫|---------⌫|
les aueuz adont tintsagen t	--||---|----|---|-|---⌫|
etl eur aditb i ausseigneursciuoimesanemis	-|-⌫--||--|-⌫-⌫--|--------|-|--|--|-----|
no usauons droit etilont tort	--⌫-|----|----|-|-|--|---|
s i l eurco urons	-⌫|-⌫--|--⌫----|
su s qua r autre mentestcen ostremort ou nost re	--⌫|---⌫|-----⌫---|--|-|-⌫----|---|-|----⌫-|
sicommeuous	-|----|---|
poez ue oirap ertement	---|--⌫--|--⌫-------|
sifac e c ha scuns endro itsoicomme bonnege nt	-|---⌫|-⌫--⌫----|-----⌫-|--|----|----|--⌫-|
do iuen tfa ireaugran tb esoingquimain tenant nous	--⌫----⌫|--⌫--|-|----⌫|-⌫-----|--|----⌫-----|---|
ou a utrementno us sommes aperdre ho uneura	-|-⌫-------|--⌫-|-----||-----|--⌫----||
to uziourz mai s	--⌫-|----|---⌫|
san znulemer ci recouurerettantos t il	---⌫|---|---⌫-|--------|-|------⌫|-|
ontr espondu tou z	--|-⌫------|---⌫|
ensambl ed eboncuer etdebo nn euol ente c o mmeceulz	-------⌫|-⌫|--|---|-|-|--⌫--⌫|---⌫---|-⌫-⌫--|----|
quie s toiente ngr a nt deuengierl eurseigneu rentoute s	--|-⌫-⌫-----|-⌫---⌫-⌫-|-|------|-⌫--|-------⌫|-|-----⌫|
guises sir en	-----|---⌫||
endoutez ia	-|-----|-|
ciendroit di t lic ontesque	-|------|--⌫|-|-⌫----|--|
q uantedipus et sonost	-⌫---|-----|-|--|--|
uen usdeuanttyberiadi se tceul z	---⌫-|-----|---------⌫|-⌫|----⌫|
de la c ite furent	-|-|-⌫--|-----|
champscassydorusmi s tlance s or fautre	-----|---------|--⌫-⌫|----|-⌫-|-----|
sest affichiezeses triersdegrantf or ce	|--|--------|-|--⌫-----|-|----|-⌫--⌫-|
l e cheual des esperonsetachoisi	-⌫|-----|--|-------|-||-----|
l apsusetest	-⌫----|-|--|
as sambl ez aluiuausistounonlase	--⌫-----⌫-||--|------|-|--|-|-|
e ntrencontrédes lances quelapsu s	-⌫--|--------|--|-----|--|-----⌫|
couuint c heoir	------|-⌫----|
fis tcassidoru splusd	---⌫|---------⌫|---||
ar me squeonques	--⌫--⌫|--|-----|
achillesne fistdeuant troiessicheu alier dautre part	-------|-|---|-----|-----|-|----⌫----||----|---|
s iprouueren tsi bienque t rop	||---------⌫|-|---|--|-⌫--|
car laprouesce	--|-|-------|
cassydo ru sl eurdonna forceet h a r dementparqu oichascuns	-------⌫--⌫|-⌫--|----|----|-|-⌫-⌫-⌫-----|--|--⌫-|-------|
ot cuer del yo n edypus et lisien	-|---|-|-⌫--⌫|-----|-|-|---|
lefirent s ibien	-|-----|-⌫|---|
que grant meru e ill ees toit	--|----|----⌫-⌫---⌫|--⌫---|
porrent faire ceq ue	------|----|-|-⌫-|
ilfi rentcarlor aduers aire	-|--⌫---|--|--|------⌫---|
dautrep art estoient	|----|-⌫--|-------|
bon ch e ualierque cha scun otcuer	--|--⌫-⌫-----|--|---⌫---|-|---|
delyonetdisoient	-|---|-|-------|
entr e ulz q uil auoient d roitetquantca ssidor us	---|-⌫--|-⌫|-|------|-⌫---|-|----|--⌫------⌫-|
ceq u ilauo itsi fortencontré ilsest	-|-⌫|-|---⌫-|-|---|--------|-||--|
esuertueze t	--------|-⌫|
si homme lont suietonttantferudes	-|----||--|--|-|--|---|---|--|
espeesquepar	-----|--|--|
forceles ontre mb atusenlaciteilont	----|--|--|--⌫--⌫---|-|-|---|-|--|
leurre traiteeto ntpristerreet ontapertement	---|--⌫-----|-|-⌫-|---|----|-|--|---------|
tenduzp auei llonsett res	-----|-⌫----⌫----|-|-⌫--|
etontl auilleasse giede	-|--|-⌫|----|----⌫--|-|
toutespars	-----|---|
quant edipusuit etsotque	----|-----|--|-|--|--|
la proesceca ss ido rus	-|------|--⌫--⌫---⌫--|
auoit fai telauille ass egiersi	----|---⌫-|-|----|---⌫----|-|
laen amédedens	||--⌫---|-----|
ilen est ue nusaluiet lia geté	-|-|--|--⌫--||--|-|-||----|
lesbra za uc ol	--|---⌫|-⌫|-⌫-|
siredistil orsaiie to uturai eme ntqu	---|---|-|-|--|-|--⌫-|----⌫---⌫-|-|
ne uousannu ie mietant en partiecomme ilsouloi t	-|---|----⌫-|--|---|-|-----|----|-|------⌫|
di stcassid oruspour quoiledi t esuousditesle	--⌫-|------⌫---|---|---|-|--⌫-⌫-|---|----|-|
uole ntie rs distilie	----⌫----⌫-|---|-|-|
uoi rqueuou s	---⌫|--|---⌫|
amez cheua lerie etle d eduit qu iaugieuapart ien t	---|-----⌫----|-|-|-⌫----|--⌫|-|---|-----⌫---⌫|
sienaueztrouuécemesamble si redistil	-|-|---|------|-|-|-----|--⌫-|---|-|
dit esuoi r uoirementen	---⌫-|---⌫|--------|-|
ai iemoulttenues tire	-|-|----|---|--⌫---|
maisencorene nous departo nsnous pasce mest	---|-----|-|---|-------⌫-|---|--|-||--|
atant lontlaissiéester	----||--|-------|----|
ord ené leurgentmeis mes	---⌫---|---|---|----⌫--|
cass idor us distque il	----⌫----⌫-|---|--|-|
uouloi tgait ie r lanuitt out	------⌫|----⌫--⌫|-|---|-⌫--|
entelemanie reco mmeill ont dit	-|---|-----⌫-|--⌫--|-||--|--|
ill ontfait	-||--|---|
mais onque sla n u i t niot	---|-----⌫|-|-⌫-⌫-⌫|||-|
f erune lanciéliiour zuenoit	-⌫--|-|------|-|----⌫|-----|
eton tcildel	-|--⌫|--|-||
ost esgardécomme ntil porroient	--|-------|-----⌫-|-|--------|
ceulzdedenzgreuerm oult trouuerentla uille fortet	----|-----|-----|-⌫---|---------|-|----|---|-|
appareilliezde eulz	-----------|-|---|
deffendrequeu ousferoieielonc	--------|--|-⌫--|-----|-|---|
contebethysaydiensassaill ir en tparpl uiseursfoysmaisriens	----|------------|-------⌫--⌫--⌫|--|--⌫------|---|---|----|
ne l or ualut q uartropbi ense	-|-⌫-|----|-⌫--|---|--⌫-|-|
deffendoientcil	-----------|--|
dedenz fierement sicommecilquitrop	-----|--------|-|----|--|--|---|
sauoien tde guerre	-------⌫|-|-----|
qua ntedypusuit	---⌫-|-----|--|
queassa us n ipooit	--|----⌫-|||----|
riensualoir	----|-----|
il enestu enusa cassydorusetli adit	-|-|--|-⌫---||---------|-|-||--|
sir equepo rr o ns	---⌫|--|--⌫--⌫-⌫-|
nou s faire moult e st forslacit e	---⌫|----|----|-⌫-|---|-|---⌫|
n e ueulen t	-⌫|------⌫|
hors que conseilliez uous que	---|--|----------|---|--|
nou s facons cassydor usr espon dis i re	---⌫|-----|--------⌫-|-⌫-----⌫-|-⌫-⌫-|
ienisaiautre	-|||--|----|
conseilquenous	------|--|---|
fac ons dupisquenousporron squar	---⌫--|-|--|--|---|------⌫|---|
sonanemidoit ongr euer ent o utes	--|----|---|-|--⌫---|-|-⌫-⌫---|
les manieresque	--|-------|--|
on que son puetpa r foyto u tcefero ie	--⌫---⌫|-|---|--⌫|--|--⌫-⌫|-|----⌫-|
ieuolentiers	-|---------|
dist edipusm ais ie ne	---|-----|-⌫--|-|-|
puis moncu erres sasi er	---|--|--⌫-|---⌫----⌫-|
oruoussouffrezdistcassydorus	-|---|-------|---|---------|
encoreniauons	-----|||----|
passisanne iourainssi co m m eil	--|--|-|-|---|-----|--⌫-⌫-⌫|-|
par loienten tele	---⌫-----|-|---|
atantezuousunche ualierquies t	----|-|---|-|---⌫-----|--|--⌫|
citeet pource	---|-|---|-|
qu ilaloitenm essage a loi t	-|-|----|-|-⌫-----|-⌫---⌫|
l ost seurementquar ilpor toitensamain	|--|--------|---|-|---⌫---|-|-|---|
unr ai ndoliuier	-|-⌫--⌫||------|
licheualiers enestue nus	-|---------|-|--|--⌫--|
droitautref	----|-|---|
es t de sce ndus des on cheual e tuintdeuant lu i le	--⌫|--⌫---⌫---|-|-⌫-|-----|-⌫|---|-----|--⌫|-|
o liui er ensa	-⌫----⌫-|-|-|
main l irainssene fioit qu	---|-⌫|----|----⌫----|-|
ilestoitmessageset	-|-----|-------|-|
uenoitd i resonme ssageet puisluimet reenson	-----|-⌫-⌫-|--|--⌫----|-|---|--|---⌫-|-|--|
epidusdi st cilzlapsusm enuoiea toi e t ueult	-----|--⌫-|---|-----||-----||--|-⌫|----|
sa uoir q uele amende	--⌫---|-⌫---|-----|
tuueulz qu	-|----|-|
iltefaceetie s ui	-|-|---|-|-|-⌫-|
toilidiraic ar	--|-|----|-⌫-|
pour autre	---|----|
ch osenesui	--⌫--|-|--|
ieciuenusq uant edypus ot	-|-|----|-⌫---|-----|-|
ceenten duila trait son	-|-----⌫-|-||----|--|
cons eil d unep art	----⌫--||--|-⌫--|
etl eurademandéconseilselonc lemant	-|-⌫--||-------|------|-----|-|---|
que cilz liotmandé l i princeet	--|---|-|-|-----|-⌫|-----|-|
la chosegeteeseu rcass idor u set quan tcass idorus	-|----|----|---⌫|----⌫----⌫-⌫|-|----⌫|----⌫-----|
si lidis t	-|-|---⌫|
bi aus seigneursmoultsauez	--⌫--|--------|----|----|
commentlachose uaqu e	------|-|----|-|--⌫|
ienesaiqui	-|-|--|--|
pas dece stp ayslorsliontc onté	--|-|--⌫-|-⌫--|---|-|--|-⌫----|
enchief co mment l i affaires estoit	-|----|--⌫----|-⌫|-------|-----|
ale zquant	---⌫|----|
cas sydor usot	---⌫-----⌫-|-|
etententl aue ritesidist oi antt ousque	-|-----|-⌫|--⌫---|-|---|--⌫--|-⌫--|--|
se lapsusne met oitpardeuersedypuslientierem en t	-|-----|-|---⌫--|--|-----|-----|-|--------⌫--⌫|
est oi tpas	---⌫--⌫|--|
bienu engi ezda utrepar t	---|-⌫----⌫-||-⌫---|---⌫|
seil cen e	-|-|-|-⌫|
issisthors aiour	-----|---||---|
nom méetsicomba tistalu i	---⌫--|-|||-----⌫---||--⌫|
gentcontregent	---|-----|---|
cene uouloitfaireetiluaus ist	-|-|------|----|-|-|----⌫--|
la bataillec ors	-|-------|-⌫--|
a corsedypusl e	|---|-----|-⌫|
uouloi t faireetquique fustu ainqusuenist	------⌫|----|-|-----|---|-⌫-----|-----|
liaduersepartiecomme	-|------|-----|----|
mesfai seten	------⌫|-|-|
feist l a mende	----||-⌫----|
se lo nclemesfai t	--⌫--⌫-|-|------⌫|
et d ece fussentdonné	-|-⌫|-|------|-----|
bonsostag es i l	---|-----⌫-|-⌫|
e st uen usenlacit e et	-⌫-|---⌫-|-|-|---⌫|-|
acompté a lapsusce	|------||-----|-|
quil auoit	-|-|----|
q uantlapsus oten tendu	-⌫---|-----|-|--⌫----|
le mantedipum il	-|---|-----|-|
con seilm ais i lnetrouuaquile	---⌫---|-⌫--|-⌫|-|-----|--|-|
conseillastqueil se	----------|--|-|-|
meistpardeuers edypus caril nestpas	----|--|-----|-----|--|-||--|--|
encoresiprez pris	-----|-|---|---|
ap r es iln ont pasge nt	--⌫-⌫-|-||--|--|--⌫-|
a leuruolent epour fairela batai l le	|---|------⌫|---|----|-|-----⌫-⌫-|
contree u lz etda utre partlapsusnese sent	-----|-⌫-⌫-|-||-⌫---|---|-----|-|-|---|
passi seur	--|-|---|
que ilse ueill e	--|-|-|-----⌫|
co mbatr ec orsa corsa edypuse ncore	--⌫-----⌫|-⌫--||---||-----|-⌫----|
a uo itilplusgrantmeschiefd efai rela bat aillede	-⌫--⌫-|-|---|----|-------|-⌫|---⌫-|-|---⌫----|-|
yycheualiers	-|---------|
quarbienauoie nt oy	---|---|-----⌫-|-|
parl e rde cassi dorusdegres seque	----⌫-⌫|-|-----⌫----|-|----⌫-|--|
ilnesauoient ore h o m medele urp artiequi	-|-|-------|--|-⌫-⌫-⌫-|-|--⌫-|-⌫----|--|
armer quartr op est oit do utez o rremandaarrieres	----|---|--⌫-|---⌫--|--⌫---|-⌫|------|-------|
aedypu s queil	|-----⌫|--|-|
seustdefi que ilesto ientbie nassouui	----|-|-|--|-|----⌫---|---⌫|------|
delui m ettre audessous sanseulzfai re me sc hief	-|--|-⌫----|-|------|---|---|---⌫-|--⌫--⌫---|
teletquant	--|-|----|
edy pussotcelo rs a faitsonsaire ment queil	---⌫--|--|-|--⌫-||---|--|-----⌫---|--|-|
separtirasien auraso nse z et	-|------|-|-|---|--⌫|--⌫|-|
dist que nul	---|--|--|
nenprendra	|-|------|
faced estruireadonta fait sonarriereban ueni r	---|-⌫-------|----||---|--|---------|----⌫|
etamandéarrieresato uzce uz	-||-----|-------||--⌫-|--⌫-|
queilpotauoi rque	--|-|--|----⌫|--|
illeui en gnentsecourre acestbesoing	-|-|--⌫--⌫----|-------||---|------|
l es lettresfurent	-⌫-|------|-----|
fai teseta onpar	---⌫--|-||-|--|
messagiersenson tuenus	--------||-|---⌫|----|
liunsca et	-|--|-|-|
liautresla meismes ergaot	-|-----|-|------|---|-|
messa g edepars o nseigneur quei llasaluoitmoult	-----⌫-⌫|-|--|-⌫-⌫|-------|--|-⌫|-|------|----|
e thelcanasafille	-⌫|------|-|----|
e tl eur mandoitqueilnefaiso ientsetout bien	-⌫|-⌫--|------|--|-|-|-----⌫---|-|---|---|
qu ilaassi sl apsum p ardedenstyberia dene	-|-||----⌫|-⌫----|-⌫-|-----|-------⌫-|-|
que il na uoit	--|-||-⌫---|
pooirdeluidef fendreet fusttoutasapais	----|-|--|---⌫-----|-|---|---||-|---|
lui etsa fille	--|-|-|----|
ladesirroit au eoir	-|--------||-⌫---|
qu antl a d a meotoyelalet tre	--⌫--|-⌫|-⌫-⌫-|-|--|-|---⌫--|
sidemandaaumessagedecas sidorus	-|------|-|------|-|---⌫------|
dam edient	---⌫|----|
iltyberriennedoutentse lui	-|--------|-|------|-|--|
nonqu aronq uescheualiers ne	--|--⌫-|---⌫--|---------|-|
f isttan td armes par son	-⌫--|---⌫||----|--|--|
cors s e ulcomme ilfist aassegierla	---|-⌫-⌫-|----|-|---||-------|-|
cite ettuque	---|-|-|--|
foyquetume	--|--|-|-|
doi sdist elle	---⌫|---|---|
q ua r nou sdi	-⌫--⌫|---⌫|-|
comment ilassamblerent lorslia ilcontéc omment	------|-|-----------|---|-||-|-----|-⌫-----|
cassid orus assamblaalapsumet to utainssi	------⌫---|-------||-----|-|--⌫-|-----|
auoitentendude ceuzquiauo ient	----|------|-|---|--|---⌫---|
esté a labatai lle	----||-|-----⌫--|
qu ant eleso ntent endul a	--⌫--|---|-⌫-|---⌫---|-⌫|
cheualerie quil auoie ntfaite	---------|-|-|-----⌫-|----|
lorsestrenouuelezleursm aush ecertesdisthelcana	---|--|---------|----|-⌫--|-⌫|-----|---|------|
de bonne eur eestcish oms ne zq uar sil	-|----|---⌫|--|--|-⌫--|--⌫|-⌫--||-|
bi ausilestgracieusety ail	--⌫--|-|--|-------|-|||-|
pluso uilil	---|-⌫--|-|
est s a gesetp lusyail	--|-⌫-⌫--|-|-⌫--|||-|
s iaselonc	-⌫||-----|
ie e n tens	-|-⌫-⌫---|
il est cheualie rsadroitet lad e rre nie re	-|--|--------⌫-||----|-|-|-⌫-⌫---⌫---⌫-|
gra ce faite ncoremiexacroire	---⌫-|---|-⌫----|---||-----|
et apri sierquetoutes	-||---⌫---|--|-----|
autresq uaronq ues maishoms	-----|-⌫--|---⌫--|---|---|
ne fumiexfais	-|-|---|---|
de membres	-|------|
porestreforsetpuis sanzsico mm eil	--|----|---|-|----⌫---|-|--⌫--⌫|-|
auectou tc e	---|---⌫|-⌫|
ail bienauantagedestre	|-|---|-------||----|
c arsessamblansdeuroitmaterun aumacour	-⌫-|--|-------|------|----|-|-------|
acestmoto ntles yydame	|---|--|-⌫-|--|-|---|
f aitwidierla to urde	-⌫--|-----|-|--⌫-|-|
ceulz quilaestoient	----|--|-|-------|
qu antellesfur e nt seuleslorsa la	--⌫--|----|---⌫-⌫-|-----|---||-|
mer eparlé	---⌫|-----|
potte nirq uelle nait ditm oult	--|--⌫--|-⌫|---||--|--|-⌫---|
ore pri siéle che ualier	--|---⌫---|-|---⌫-----|
et sisaideuoir	-|-|--|-|---|
qui lliest	-|-⌫|-|--|
mou ltp oi	---⌫-|-⌫-|
deuousetquantlapucelle	-|---|-|----|-|------|
otenten dusamere	-|-----⌫-|-|---|
elero ugi demauta l ente t	--|--⌫--|-|-----⌫-⌫--|-⌫|
nese uauttairequelenait	-|-|---|----|-|--||--|
responduacesidistm ere se il	-------||-|-|---|-⌫--|-|-|
nac o nteamoi	|--⌫-⌫--||--|
doiiema ins	--|-|--⌫--|
acontera lui etpo urcen e demeu r e	------||--|-|--⌫-|-|-⌫|-----⌫-⌫|
