telzco ustumance danferuient	---|--⌫--------||----|----|
quanuizestoitelle	-|----|-----|---|
la chieur ep ansac estnoiant	-|------⌫|-⌫---||--|-----|
cilzuil ainsmefe rafaillir	---|---⌫---|-|--⌫-|------|
s icourtme t ie ntne puissai llir	-⌫|----|-|-⌫--⌫-|-|---|---⌫---|
messes t e nir s	--|--|-⌫-⌫---⌫|
i an iu aurra	-⌫|||-⌫----|
carparlecuerbe	--|--|-|---|-|
il fa urra	-|--⌫---|
lo rsforta recu lerse prist	--⌫-|---||----⌫--|-|----|
sesm estres g ardenesanprist	--|-⌫-----|-⌫---|-||-|----|
tantreculaqu estes chapee	---|-----|-|--|--⌫-----|
onquessibiennefu	-----|-|---|-|-|
an lauigne dedans sail ly	-|-|----|-----|----⌫-|
a nsin co t sesmes tresfailli	-⌫----⌫|-⌫|--|---⌫---|-----|
et lorsdist il de cesteu oie	-|---|---|-|-|----|-⌫--|
certes garden e m anprenoie	-----|----|-⌫||-|------|
genegarroieq uelaler	-|-|------|-⌫-||---|
e tel leiuie aurecu ler	-⌫|--⌫-|---|-|----⌫--|
plusf oxe st que berbiz	---|-⌫-|-⌫-|--|-----|
quideb ro uster	--|-|-⌫--⌫----|
uiaut tenirchieure	----|----|------|
ansincted igepour	-----|-|-⌫|-|---|
tantsoiessaige snescians	---|----|-----⌫|-|-----|
ne porbattre nepor	-|--|-----|-|--|
po rdireuoir nepour	--⌫|---|---|-|---|
porpaitreuestir pleni er	--|-----|-----|-----⌫-|
le broustnelferaso blier	-|-----|-||----|-⌫----|
cetu la u iauxtenirdaler	-|-|-|-⌫---|----||---|
elleiuira aureculer	---|----|-|------|
auantdecos tilsan	----|-|---⌫--||-|
uoirec e rtes ains uole roit	----|-⌫-⌫---|---|----⌫---|
se boutoi tanlaui gne	-|------⌫|-|-|--⌫--|
con fistbarbue quiquelatigne	--|---|-----|-----|-|----|
et bien po urr asestreou conroi	-|---|--⌫---⌫-|----|-|-----|
oufradeg ond e mistle roy	-|------⌫---⌫|---|-|--|
etanco r semi sn	-|----⌫|-|--⌫||
ettudeli amf ans seroies	-|-|-|-|---⌫--|------|
ae usseraremante hus	|-⌫-|---|-------⌫--|
lifaizdefamequiaihu	-|---|-|---|--|---|
est et c erade	--|-|-⌫--|-|
plusse urs ge n s	------⌫--|--⌫-⌫|
c ilz renonsn estnebiaxnegens	-⌫--|-----||--|-|---|-|---|
aueccetucerasi alous	---|-|-|----|-⌫----|
onque snech iens	-----⌫|-|--⌫---|
necha z ne lous	-|---⌫|-|---|
plus m auues	---|-⌫----|
morcelnemania	-----|-|----|
nepire oste	-|---|---|
nehesber ia	-|------⌫-|
ga rdebi enqu	--⌫--|--⌫-|-|
ellene tetaigne	---|-|-|-----|
iadi sot unroyan bret aigne	----⌫|-|-|--|-|----⌫----|
quiorestnonmeeamgleter e	--|-|--|-----|--------⌫|
siresestoi t de	----|-----⌫|-|
m outgr ant	-⌫--|--⌫--|
quimar chisoitdes coce angales	--|---⌫------||--⌫---|-|----|
riches menoirs otet	-----|------|-|-|
gr ans sales	--⌫--|----|
sicon getruis	-|--|-|----|
a nui elleesto ire	-⌫|--⌫---|----⌫--|
cilzri ches rois ot nomodoire	---|--⌫---|---|-|--|-----|
douroia rtus anfi ete noit	--|--|-⌫---|-|--⌫|--⌫---|
la t er re	-|-⌫--⌫-|
q ueilmain tenoit	-⌫-|-|----⌫-----|
uiaux fu et po	----|-|-|-|
do us iegl eaprist	--⌫|-⌫----⌫|-----|
carun eie unedam eprist	--|--⌫|--⌫--|---⌫|----|
ge ntilleot n on	--⌫-----|-|-⌫-|
degr antgent ne e	-|--⌫--|---|--⌫|
saigecortoiseetb ien	----|-------|-|-⌫--|
seurtout esaceltempsbelei ere	---|----⌫-||--|----|---|-⌫--|
gen te d e	---⌫-|-⌫|
corssimple manier e	---|-----|------⌫|
gracieusseet plesans estoit	---------|-|------|-----|
gran tant anteliroismetoit	----⌫|---⌫---|-|---|-----|
a liseruir	|-|-----|
de gr ans r iche ces	-|--⌫--|-⌫----⌫--|
souuerainesnobl ece s	----------|----⌫---⌫|
dorne ma ns honestes	|----⌫--⌫-|-------|
de court tenird es uir festes	-|----|----|-⌫|-⌫--|-----|
de deduireetdecharro ier	-|------|-|-|------⌫--|
de chacieret d e sbenoier	-|------|-||-⌫-------|
et debaisieretdam br acier	-|-|------|-||--⌫--⌫----|
ades s oulacie r	---|-⌫-------⌫|
antout l i fa soi tson delit	-|---|-⌫|--⌫---⌫|--|----|
dededuiz de cor sforsd oulit	-|-----|-|---⌫|---|-⌫-|--|
mesi que iouerne sauoit	----⌫--|----|-|-----|
qu ele puissanc e nan a uoit	--⌫|-|--------⌫||-|-⌫---|
dontil demouroit	---|-|--------|
a dongi er	|-----⌫-|
lezson palaisot	--|--|-----|-|
zz uergier	-|------|
p laindaubresetplaindeuerdeur	-⌫---||-----|-|----|-|------|
quigitoit monttresbonn eodeur	--|-----|---|---|----⌫|----|
uergier del autre part	------|-||----|---|
adr oiteuoieadroitesgart	|--⌫---|---||----|-----|
toutdroit auchiefdecel p ou rpris	---|----|-|----|-|--|-⌫--⌫----|
u nsnobles honsaiges depris	-⌫-|-----|--|-----|-|---|
au oit ileques son	--⌫--|------|--|
et ileque suostr emanoi r	-|------⌫|---|-⌫------⌫|
ieunesforsetlegiersetsaiges	-----|---|-|------|-|-----|
droitancelleufuses estai ges	----|-|--|--|-|--|-----⌫--|
plainsdetou te ioliueuie	-----|-|---⌫-|-----|--|
tant fi st gent ille fu s	---|--⌫-|----⌫---|-||
tant l anma laroyn eet anma	---||---|-|----⌫|-|---|
que t outsoncueranl i cema	--|-⌫--|--|---|-|-⌫|---|
bienlorpriuete feres orent	---|--|------|---|-⌫----|
etunacortantrausdeus ore nt	-|-|----|---|--|---|---⌫-|
queale urfene stressero ient	--||--⌫-|----⌫----|----⌫---|
cha scunmatinsantreuerroient	---⌫---|----||----|--------|
etdisoient quapr es celue ir	-|-------|-|---⌫-|--|--⌫-|
nulzmausnespo uoit su ir	---|---||-|--⌫---|--⌫-|
chascunmatin	------|----|
montoient ausestres	--------|--|-----|
de leurplusha u tis mes	-|---|---|--⌫-⌫---⌫--|
fenestre s	--------⌫|
etd ile quessantre ueoient	-||---⌫---||----|------|
e tleursambloitplus mal	-⌫|---|-------|---|--|
aue ccezzrosig noz	---⌫|-|-|-----⌫--|
quian celui	--|-|----|
uergier cha ntoit	------|---⌫----|
pour contena ncesdel oir	---|-------⌫---|-||--|
s al oient aus fenestres ceir	|--⌫----|--|--------|---|
disoient loise l	-------||----⌫|
escoutoient	----------|
m esleurscuers an samble metoient	-⌫-|----|----|--⌫-----|-------|
loisselsecouurirent	|-----|-|---------|
etpa rce sou ua nts a ntr euirent	-|--⌫|-|---⌫--⌫-||-⌫---⌫------|
iquiauoientleurcuuregon	---|------|---|-------|
dourosignotet de	--|-------|-|-|
tant que pa r natu re couuint	---|--|--⌫|----⌫-|------|
que li uiauxroisial ous	--|-|----|---|---⌫--|
san zfaire samblantn atain e	---⌫|----|-------||-----⌫|
saper sutbienqu e l a ro yne	|----⌫--|---|--⌫|-⌫|--⌫--|
c hascun matin aloi t ceoir	-⌫-----|----|----⌫|----|
aus fenestrespourh orsueoir	--|--------|---|-⌫--|----|
elleregardoit	---|--------|
et an pa rtieacoitandoit	-|-|--⌫---||--|------|
un iour li distdamequaue z	-|---|-|---|---|-|---⌫|
qui chascuniour si	--|------|---|-|
que dormirnepou ez au lit	--|-----|-|---⌫-|-|--|
auezuo stredesir	---|--⌫---|----|
po u rcoi uousleuez ged emant	--⌫-⌫|--|---|----|-|-⌫----|
l a roynemon ts aigemant	-⌫|----|---⌫|-⌫-------|
distmunseigneur neuousannuit	---|--|-------|-|---|-----|
nepuis p asbien dormirdenuit	-|---|-⌫-|---|-----|-|---|
et sinaigeriens	-|-||-|-|----|
dontm edo ille	---|-⌫|--⌫---|
forsdou rosigno t	---|--|-------⌫|
quimes uoille	--||--⌫-----|
lero signozleuermefait	-|--⌫-----|----|-|---|
saichiezniaautre meffait	-------||||----|------|
quel meschiefp o urroieau oir	---|-------|-⌫-⌫-----|--⌫--|
iatoutsol az	-|---|---⌫-|
e ttoutauoir	-⌫|---|----|
toutdeduizauequesmoim aint	---|-----|------|--|-⌫---|
sant e qui trest out	----⌫|--|-----⌫--|
lag rantroyne de bretaigne	-|-⌫---|----|-|--------|
ne cuitia telzsolazl	-|---|-|---|----||
conbienqueelle	---------|---|
eit plusdauoi r	--|---||----⌫|
u ousm amésetg e	-⌫--||----|-|-⌫|
fereledoiet	---|-|--|-|
uousde uez	---|--⌫--|
uououloir sai	-|------|--|
lemie ns au ez	-|---⌫|-⌫--⌫-|
t ouzmesde si rsm asuuisie z	-⌫--|--|--⌫--⌫-||--------⌫|
seterre perdreandeuss iez	-|----|-----|-|-----⌫--|
genepourroiemia xestreasise	-|-|-------|---⌫|----|----|
an parad isannul le	-|-----⌫-|-|---⌫-|
soiezaiss eet as e ur	----|----⌫|-|--⌫-⌫-|
carnoussonmes	--|---|-----|
etpancez de uou ssolacier	-|-----|-|---⌫|-------|
moiacolere t	--|-----|-⌫|
tan tconli poinset	---⌫|--|-|----|-|
litempsdur e	-|----|---⌫|
quantmor t cerons nanaronscure	----|---⌫|-----||-|----|---|
lir oysla royneantant	-|-⌫--|-|----|-----|
bienoitetuoit ou	---|--|-|---|-|
sescuerstant	--|----|---|
messa mblantmontrernelanuost	--|--⌫-----|------|-||-|---|
cuuertemant asesdiz sost	----------||--|--|---|
dame puisqueloiseluous nu it	---|------||----|---|--⌫-|
laitdormir de nui t	---|-----|-|---⌫|
co urrouzaide u ostre meschief	--⌫-----|-|-|-⌫----|-------|
gentandraiauenir	|-|------||----|
de loiselgeuous uancheray	-||----|-|---|--------|
tantquege laray	------|-||---|
lo rsa touz s es s ergensconmande	--⌫-||---|-⌫-|-⌫-----|-------|
q uechascunsaurosignot	-⌫-|-------|-|-------|
g luzou fileou telsou hait	-⌫--|-|---|-|--|---⌫---|
quech ascuns aso npou oirlait	--|--⌫-----||--⌫|---⌫--||--|
qu etouz les	--⌫|---|--|
m ains an seiardin	-⌫---|-|-|-----|
d emenerte lhustin	-⌫-----|--⌫|-----|
t uitetch ascunsiant andirent	-⌫--|-|--⌫-----||---⌫-------|
souti uent e t tandirent	-----⌫---|-⌫|--------|
sonttrestuit	---|-------|
ant and us	---⌫---⌫-|
quilf uprins etau	-|-|-⌫|----|-|-|
d ist liroysd ameor aur oiz	-⌫--|-|---|-⌫--|-|---⌫--|
ce que par coidormi rd euroiz	-|--|--|--|-----⌫|-⌫-----|
gelaiiamesneuo uscu ira	-||-|----|-|--⌫-|--⌫--|
neadormirne uous	-||-----|-|---|
sireet porl	---|-|--||
s iluousplestui f d onnezlemoy	|-|---|----|--⌫|-⌫----|-|--|
decuerbongreuousansa urai	-|---|--|--|---|-|--⌫---|
etplusanmeruous andeu ray	-|---|----|---|-|---⌫--|
lorslirois	---|-|---|
leprantetletue	-|----|-|-|--|
et tout mort deuantli lerue	-|---|---|-----|-|-|--|
laroyn e uoi t la despise	-|----⌫|---⌫|-|------|
d e cuerfortap lo rercestp rise	-⌫|---|---||-⌫--⌫--||--|-⌫---|
et dist sire pe tit manm ez	-|---|---|--⌫--||---⌫-|
combienquam ie	--------|--⌫-|
quantsepetitoise lmauez	----|-|----|----⌫||---|
refuse ́et tu élauez	------⌫|-|--⌫-||---|
l orsl aroy ne s anestpartie	-⌫--|-⌫|---⌫-||-|--|-----|
quifu moinsquede uantsamie	--|-|----|--|--⌫---||---|
etplu s l e	-|---⌫|-⌫|
cheualier anm a	--------|---⌫|
et plussoncueranlic ema	-|---|--|---|-|-|-⌫--|
aluipallaanrecelee	|--|----|-|------|
o ur oy sonseigne urc estcl amee	-⌫|-⌫-|--|------⌫-||--|--⌫---|
caror uoitel lefermem ant	--|-|---|--⌫-|------⌫--|
q uilladespise	-⌫|-|-|------|
cil znelapasan ob li mis	---⌫|-|||--|-|--⌫-|--|
partout amandé sesa m is	------||-----|--|-⌫-⌫-|
gue rrelifistetanuaie	---⌫--|-|---|-|-----|
te lleoulir oispe rdi la uie	--⌫--|-|-|-⌫--|--⌫--|-|--|
miauxliuaussist	----|-|-------|
qu ileus ttehu	-|-|---⌫|---|
quil n eustri endoufait sahu	-|-||---|--⌫-|--|---|---|
facequi anchietan cestquas	---|--|------|-|---|---|
d uneoye clineet d	|--|--|----|-||
ne pansoitpas queparmestrise	-|------|--|--|--|-------|
il doi eal er par autr eguisse	-|---⌫|--⌫-|--|----⌫|-----|
et s ilfaitquemestris e isoit	-||-|---|--|-------⌫||---|
poine etpoespl oit	----|-|-|----⌫--|
tro p est cilzfox	---⌫|--|---|--|
quise marie	--|-|----|
e nfamed eioliueui e	-⌫|---|-⌫|-----|--⌫|
ce dout o utnese	-|--|-⌫-⌫-|-|-|
uiaut soufri r	----|------⌫|
atoutehon teoffrir	|----|---⌫-|-----|
an touz perizdame	-|---|----||--|
do nt i l neseraia	--⌫-|-⌫|-|---|-|
etqu i leurscu ersbien conn eust	-|--⌫|----|--⌫--|---|----⌫---|
iaan te lz p eriz	-|-|--⌫-|-⌫---|
mes porce nesconnoist	--|--|-||-|-------|
q uaruntediautre te fais	-⌫--|-|-|-|----|-|---|
parbicla retle peuzsauoir	--|-----⌫--|-|---|-----|
quitres bientan	--|---|---||-|
diraleuo i r	---|-|--⌫-⌫|
biclarelf uu ns cheualiers	-------|-⌫|-⌫-|---------|
hardiz etco urageus etf iers	-----|-|--⌫------|-|-⌫---|
n o bl eceetde uert u	-⌫-⌫--⌫--|-|-|----⌫|
del ameson ler oyar tu	-|-⌫|----|-|-⌫-|--⌫-|
mesdecetropa blamer fist	--|-|-|---||-----|---|
q u il crutce quesa fame	-⌫|-|---|-|--|-|---|
tieu xan est an co re	----⌫|-|--|--⌫--⌫-|
amourscourutb ic larelsore	-----|-----|-⌫--⌫----|---|
soncuer a nunedamem ist	--|---|-⌫|--|---|-⌫--|
etsiformanta nmerle	-|-|------|-⌫---|-|
siformantsefia	-|------|-|--|
quealipa nr ese	--||-|--⌫--⌫|-|
mo ntcestan ho me foliemi se	--⌫-||--|-|--⌫-|----|--⌫-|
quantil pert sa	----|-|---|-|
bonnef ranchise	----|-⌫-------|
pour sauie	---|-|--|
an cequildeustref user	-|-|-|-|----|---⌫---|
b icl arella dameespoussa	-⌫---⌫---|-|---|-------|
etquanquelle distillosa	-|-----|---|---|-|---|
montlanma et mont la pri soit	---||---|-|---|-|---⌫---|
et ell uisiconel disoit	-|-|-⌫-|-|--|-|-----|
bicla relsi	-----⌫--|-|
cond i euplaiss i	--|-⌫-⌫-|------⌫|
ot unetaiche qui	-|--|-----|--|
etquenu lz	-|--|--⌫-|
forslui n eseust	---|--|-⌫|----|
se safolienefeust	-|-|----|-|----|
po a uientque honstelztaiche	-|-⌫----|--|---|---|-----|
quarchascun mois	---|------|---|
besteilest oit	------|---⌫--|
d eus iours	-⌫--|----|
trestozantiers	------|------|
demouroitbeste parlebois	--------|----|--|-|---|
auecautresbe st esonioit	---|-----|--⌫--⌫-|-----|
debes tecru emanio it	-|---⌫-|---⌫|-----⌫-|
etconmeloups grans	-|----|----|----|
fortc uire td emambres ossus	---|-⌫--|-⌫|-⌫|------|----|
nepo ur ce	-|--⌫-|-|
neperdo it s on	-|-----⌫-|-⌫-|
samemo ireneson	-|----⌫--|-|--|
c ont e tout ue ri te	-⌫---⌫|---|--⌫--⌫-|
etcertainco nme a u torite	-|------|--⌫--|-⌫-⌫-----|
ouliuredougrael	-|----|--|----|
la lorrasset utoutle	-||----|-|-⌫|---|-|
troisioursse	----|----|-|
fuouboisten us	-|-|---|---⌫-|
l ostelfu reue nus	|----|-|----⌫--|
quantbicl areld ou	----|----⌫---|-⌫-|
b ois reuint	-⌫--|-----|
delez luisetint	----|--|-|---|
quison cuer tout d onnéauoi t	--|--|---|---|-⌫----|----⌫|
aunch eualierqu elleanmoit	|-|--⌫------|-|---|-----|
apar faintisea prochié	|--|-------|-⌫-------|
etp arfaussamblant atouch ié	-|-⌫-|---|-------|------⌫--|
a ntreploreret	-⌫---|-----|-|
p iteus seme ntliprinta dire	-⌫-----⌫----⌫-|-|----||---|
sirequantdieux quitout	---|----|----|--|---|
lasamblerde nous otrea	|-------|-|---|----|
antrenou sde usfusiens	----|---⌫|--⌫-|------|
unscorsetzz cuer	--|---|-|-|---|
uns s a ncet uneuoulante	--|-⌫-⌫-|-|--|-------|
lunsfustansincan	|--|---|-----|-|
lautreanté	|----|----|
sanzcou uriret sanz	---|---⌫---|-|---|
ansincdeuons	-----|-----|
anduiouur er	----|----⌫-|
nestnou smeferrons	|--|---⌫|--------|
eta nco ntre di eumont	-|-⌫---⌫---|--⌫-|---|
a ndroi t demoi	-⌫-----⌫|-|--|
decuerd ecors sui suostr eamie	-|---|-⌫|---|---⌫|-----⌫|---|
sanzcouur ir f etneuoulante	---|-----⌫-|-⌫-|-|-------|
nonque sme scuersne futanté	|-----⌫|--⌫|----|-|-|-----|
deuous ce lerrienque ies a nte	-|---|--⌫--|---|--|-|-⌫-⌫--|
nec uidiez pasquegeuous mante	-|-⌫-----|--|--|-|---|----|
s un de mespancersuous	|-|-|--|------|---|
an celle hore	-|----|---|
dieu xnenousuostpasas sambler	----⌫|-|---|---|--|--⌫------|
pourlesp ancerslunlautrea mbler	---|--|-⌫-----||-||----|-⌫----|
ne po r estre c o iznecuuers	-|--⌫|----|-⌫-⌫-|-|-----|
mesporestr ealun	--|--|----⌫|||-|
c arsedemo iuousuous	-⌫-|-|-|--⌫|---|---|
audarri erle pisan aurez	-|-----⌫-|-|--|-|----|
quant fa meetmariz sont	----|--⌫-|-|----|---|
etl unslechastel alautre	-||--|-|------|||----|
et chascunsfaitsabourse	-|-------|---|-|-----|
ilnepeuenttenirbonneuoie	-|-|-----|----|----|---|
nebonne fin teni r ne peulent	-|----|--|----⌫|-|------|
etconmeduic onpaignon	-|----|--|-⌫--------|
ch ascuns feresatira nli re	--⌫-----|---|-|----⌫---⌫-|
lonc tempsnepeuentestresanz	---|----|-|-----|----|---|
conpaigni e tou tundoit	---------⌫|---⌫|-|---|
nedoitco uuerturenemestre	-|---|--⌫-------|-|-----|
car quant lan cel le	--|----|--|---⌫-|
ou meta part	-|--||---|
bonneconpaignie	----|---------|
lors nepartira	---|-|------|
queliuns par couurir ir a	--|-|--|--|------|--⌫|
ou pardesda i nouparmalice	-|--|-----⌫-⌫|-|--|-----|
co n paigniese part par teluic e	--⌫-⌫------|-|---|--|--|---⌫|
etdieux meimess	-|----|-----||
si tost c on c hascu ns	-|---|-⌫-|-⌫-----⌫-|
androitdemoigenimet	------|-|--|-|||--|
genaine s aiqueneuous die	-||-|-|-⌫-|--|-|---|--|
saue zetsiou urez	----⌫|-|-|--⌫---|
parcoi c onp aignied eceurez	--|--|-⌫---⌫-----|-⌫------|
q ueuos trecuermecelez t out	-⌫-|---⌫--|---|-|----|-⌫--|
dieuuousan	---|---|-|
herragemandout	----|-||-|---|
geconparr aiuostre	-|-------⌫-|-----|
nisuispointantaichié	||---|----|---------|
distbiclar elauez	---|------⌫-|---|
semantehusin onsa uez	-|------|-|-⌫-|--⌫--|
ceiairien meffa it	-||-|---|-----⌫-|
siledite s	-|-|----⌫|
tantrespondraiqueg ierequites	---|---------|--||---|-----|
par foidite lle et dite soit	--|--|--|-⌫--|-|---|---|
uousauez ne saiquel	---|---|-|--|---|
quel lepriuee uoie	----⌫-|-----|---|
quilestnus	-|-|--|--|
quil auous	--|-⌫|---|
f orsque isau squeuousuou lez	-⌫-----|----⌫|--|---|---⌫--|
et cestafai remec elez	-|---|----⌫-|-|-⌫---|
nesai sei al e zpourbien	-|--|-||--⌫-⌫|---|---|
m e s androitmoi	-⌫-⌫|------|--|
pourmall etien	---|--|-⌫|---|
etd es irai quele	-|-⌫--⌫-|-|--|-|
uostreamie	-----|---|
conmant pouez uousiacel er	------|----|---|-|---⌫-|
uostr e uenirne uost r e	-----⌫|----|-|----⌫-⌫|
a ut re amie	-⌫--⌫-|---|
q uerez de	-⌫----|-|
certe ssire	-----⌫|---|
sepoisemoi	-|----|--|
g enaiaucuersi grantannui	|-|-|-|---|-|----|----|
silest uoirc	|-|--|---||
onques uo us connu i	-----|--⌫-|-----⌫|
car bien suis	--|---|---|
deuou s depar tie	-|---⌫|-----⌫--|
q uantcon tremoife te sp artie	-⌫---|---⌫--|--|--⌫--⌫|-⌫----|
et alezu osc h eminscuuers	-|---|-⌫-|-⌫-⌫----|-----|
moidussentest re uuers	--|------|---⌫-|----|
certesdeso rn e quier p lusuiure	-----|----⌫|-⌫|----|-⌫--|----|
quantdam ourneme	----||--⌫--|-|-|
u o lez siure	-⌫-⌫--|----|
lors seprint	---|-|----|
ladame apl orer	-|---||--⌫---|
etsu sl i fort l a mort ore r	-|--⌫|-⌫|---|-⌫|---|---⌫|
etdisttropsuisputeeuree	-|---|---|---|---|----|
miau xmeuausistestr eacouree	----⌫|-|------|----⌫|------|
qua uoirprins m ariquime het	-|-⌫---|----|-⌫--|--|-|--|
quinul lea choisonni s e t	--|---⌫-|-⌫------|||-⌫-⌫|
biclarelfu montesba y	-------|-|---|----⌫|
q ua nt sa fame	-⌫--⌫-|-|---|
ansinquesoy	--------|-|
da medistiln e pancezm ie	--⌫-|---|-|-⌫|-----|-⌫-|
oieforsuous nulleamie	--|---|---|----|---|
miauxuoudroieestredetran chiez	----|-------|----|------⌫----|
e n fu sse ia a ntaichiez	-⌫|--⌫--|-|-⌫--------|
mesiaiun mien s ecret cou uine	--||-|-|---|-⌫----|---⌫---|
quenulsneset ne nedeuin e	--|---|-|--|-|-|-----⌫|
forsadieu ge	---||---|-|
ne l edir oie	-|-⌫|---⌫--|
queia mesiorh onneurnaroie	--|--⌫--|--|-⌫-----||----|
nannullecour tnie re prisiez	|-|----|----⌫||--⌫-|------|
se chas cunsanierea uisiez	-|----⌫---|-|---|-⌫-----|
despl aisirauoi rnan deuez	-----⌫----|----⌫||-|----|
cecell echosenesa uez	-|----⌫|----|-|--⌫--|
carcont reuo us anrie n nep e iche	--|----⌫-|--⌫-|-|---⌫|-|-⌫-⌫---|
necontr e au truiquege saiche	-|-----⌫|--⌫---|--|-|-----|
quantsesp aroles furen tdites	----|--|-⌫-----|-----⌫|----|
nefupasala	-|-|--||-|
d a mequites	-⌫-⌫-|-----|
quiformanta plorer se	--|------||-----|-|
co nmesesmo zdelui	--⌫--|--|--⌫|-|--|
siredistelleorua ut pis	---|---|---|-|--⌫-|--|
or me tenez	-|-|----|
uoustroppouruis	---|---|---|--|
po rsoteetporbo urderesse	--⌫|---|-|--|--⌫--------|
pour hayneusseetta n ceresse	---|--------|-|--⌫-⌫------|
mauuessefai llantplainned	-------|---⌫----|------||
quantuo s s ec rezn emosezdire	----|--⌫|-⌫--⌫--|-⌫||---|---|
te nonspo urdeceurez	--⌫---|--⌫-|-------|
lit etostelparuousaur ez	--|-|----|--|---|---⌫-|
e tparuous uousgouuerneroiz	-⌫|--|---|---|-----------|
etan autrui f iance au roiz	-|-|-----|-⌫----|--⌫---|
p uisquegene suidousauoir	-⌫-----|-|-|--|--|-----|
d igneau truiu ou s estetauoir	-⌫---|--⌫---|-⌫--⌫|----|----|
d e ceh ueseurtoutesfam mes	-⌫-⌫---⌫-|---|-----|---⌫--|
e tadifames	-⌫||------|
aiperdue tame	-|----|-⌫|--|
orme d emeu re tro p	-|-|-⌫----⌫-|---⌫|
quant bic larel	----|---⌫----|
uitce ste u ie	--|--⌫--|-⌫-|
et uoitqueil ne durra	-|---|--|-|-|----|
iluous lesarez	-|---|-|----|
mes partelcouuenant l a r ez	--|--|--|--------||-⌫-⌫-|
le mafierez	-||------|
quapersonne ne le d irez	-||-------|-|-|-⌫---|
sire dist elle	---|---|---|
orn ifailliez	-|||-------|
se ioudi lecolme tailliez	-||-|-|-|--|-|-------|
conma nt pan cezque gie le	-----⌫-|---⌫--|--|--|-|
uous estes mescuersetma	---|----|--|----|-|-|
m es peranceet matand ue	|--⌫------|-||-----⌫-|
de di euperdue	-|--⌫-|-----|
et dan fer	-||--⌫--|
p ortiereceroi e	-⌫------|-----⌫|
seuost re secre re ueloie	-|----⌫-|----|--⌫-----|
anuostresecre gistmanneur	-|-----|----|---||-----|
ce seu enttuitgra nt et	-|---⌫--|---|---⌫-|-|
uostre cecrez c est macheuance	-----|-----||--|-|-------|
c estce quim onneureet	|--|-|--||------|-|
uo st resecrez an	--⌫--⌫-|-----|-|
uie me tient	--|-|----|
c e stc equi touteme	|-⌫-|-⌫|--|----|-|
monlt cherro ie an maldegre	----|------⌫-|-|--|----|
cereueloi e uostresecre	-|-------⌫|-----|----|
montse r oie orfameadroit	---|--⌫-⌫--|-|---||----|
mesge non suispas	--|-|--|---|--|
ci androi t	-|------⌫|
ancestcasfamenesuism ie	-|---|--|---|-|---|-⌫-|
miauxa mero ie perd rela	----|-⌫----⌫-|----⌫-|-|
qu euos secrezuousdescouu risse	--⌫|--|-----|---|-------⌫----|
ne queiau ostre	-|--|-|-⌫----|
honte ouurisse	----|-------|
ancor naue z ga iresuehu	----||---⌫|--⌫---|---|
q uemesuesines oient sahu	-⌫-|--|------|----|---|
neuostrecourr ouxneuostreire	-|-----|-----⌫--|-|-----|--|
pourc eq uenelorai	---|-⌫|-⌫-|-|--|-|
mont aloer fais	---||---|---|
dece q uon ques ne fume tais	-|-|-⌫|--⌫---|-|-|-|---|
carmaintesafermentet iure nt	--|------|-------|-|----⌫-|
lesc h os esqueonquesne seu re nt	--|-⌫-⌫--⌫-|--|-----|-|---⌫--⌫-|
gene suispas de telna ture	-|-|---|--|-|--|--⌫---|
car de con trouuerge	--|-|---⌫------|-|
malauezuostre uieusee	--|---|-----|--|---|
quantchose ateremest cele e	----|----||---||--|----⌫|
lors biclarelliaouuert	---|-------|-||-----|
cequil auoit adescou uert	-|-|-|----|---|---⌫---|
dameditil i	---|--|-||
auoire tsanzpeeur	----|-⌫|---|----|
car chascun	--|------|
moisbeste deuien	---|----|-----|
oubois an la forest	-|---|-|-|-----|
se cr etmeuois tapir	--⌫--⌫-|-|---|----|
ettouterobe desuestir	-|----|---|--------|
etlorssuigede usiorsoutrois	-|---|--|-|--⌫-|---|-|----|
b estesauuaigepar le bo is	-⌫---|-------|--|-|--⌫-|
ettant congisuisge	-|---|--|||---|-|
c onmeautrebeste char crue	-⌫---|----|----|---|---|
con iai lae sté	--||-|-|-⌫---|
geme u elz	-|-|-⌫--|
etdiceluicecretleuelz	-||-----|-----|--|--|
me zquim a	--⌫|--|-⌫|
robemosteroit	---||-------|
trop grantdurt e ilme feroit	---|----|----⌫|-|-|-----|
car a tour i oursbesteceroie	--||----⌫-⌫---|----|-----|
iusqu atantque ge	----|----|--|-|
lara uro ie	-|--⌫---⌫-|
ouiusqueg edeuroiemor ir	-|-----|-⌫|------|---⌫-|
quen ulz nemanpourr oit garir	--|-⌫--|-||-|-----⌫--|----|
e tp ource memetg e anrepost	-⌫|-⌫--|-|-|--|-⌫|-|-----|
que nulzhonmarobene most	--|---|--|-|---|-||--|
oruousaigeditmun	-|---|-|-|--|--|
orleueilliezsi pa nreangre	-|-|-------|-|--⌫--|-|--|
qu enulzneconnoissemataiche	--⌫|---|-|--------|-|-----|
ne mun couuineianesaic he	-|--|------|-|-|----⌫-|
quantl a d amele escouta	----|-⌫|-⌫--|-|------|
moinsl ancremut	----||-|-----|
etpansaoraigeasu ui	-|----|-|-|-|---⌫-|
g ea ilonstanssuy	-⌫|-⌫|---|---|--|
et distgemetienapaiee	-|---|-|-|---|-----|
a mizsoiezgeuostreamie	-⌫--|----|-|-----|---|
