libonsroysartus de	-|---|---|----|-|
ca soncousinauoi tpromises	||--|-----|----⌫|-------|
necreusnie rt en	-|----||--⌫-|-|
seensei gnesurai es nenpo rte	-|-----⌫---|----⌫-||-|--⌫--|
duperr oniusques ale	-|----⌫-|------||-|
desonchastel l	-|--|------||
ambeduie ntré	------|-⌫----|
nomme nefemm e	|---|-|----⌫|
netrou uerent	-|----⌫-----|
es r uesparou	-|-⌫--|--|-|
etuinrentam beduideslai s	-|------|--⌫----||-----⌫|
iusqua le porte	----||-|----|
du pala is	-|----⌫-|
fusihautee tlee	-|-|----|-⌫|--|
etauoit siestr oit eentree	-|----|-|----⌫---⌫|-----|
queyycheualiers acheual	--|-|---------||-----|
sansenco mbrie retsansgrantmal	---|----⌫-----⌫|-|---|----|--|
niporroien tensa mbleentr er	||--------⌫|----⌫---|----⌫-|
nedoihommeentrenc on trer	-|--|----|-------⌫--⌫---|
quele es toitautresie stro ite	-|--|--⌫---|------|-⌫----⌫--|
c unearba laistrei lpu et	|--|----⌫------|-⌫|--⌫-|
lalerataintal uis fortfait	-|-|------|-|--|---|---|
sespee tenoitenagait	|----|-----|-|----|
ou l e porteazz tel tourment	-|-⌫|----||-|--|-------|
qu a nt eleesch apele u setdes tent	--⌫-⌫-|--|----⌫--|--⌫-⌫|-|---⌫---|
sitostque rienz adoiseauchief	-|---|--|----|-----|-|----|
ia ni touchera	-|||-------|
tan tso uef	---⌫|--⌫--|
ainsi duitr ebuchetestoient	----|--|--⌫------|-------|
sous la portequisoustenoient	---|-|----|--|-----------|
amontune po rte a co ulant	----|--|--⌫--||--⌫----|
defer esmolueet tren chant	-|--|------|-|----⌫----|
quantriensch elengienadesoit	----|----|--⌫-|-----|------|
le ported a m ontestendo it	-|----||-⌫-⌫--|-------⌫-|
ses toitpris ou detrenc hiést ous	|--⌫---|---|-|-------⌫----|-⌫--|
quilaporteataignoitdesous	--|-|----|--------|-----|
ettoute n tou r a droit compas	-|---|-⌫-⌫---⌫||----|-----|
e stoit siestroislitrespas	-⌫----|-|------|-|------|
comsechefustsentiersbatus	--|-|--|---|-------|----|
el dr oitchemins e stembatus	-|--⌫--|-----||-⌫-|------|
l i che ualie rsm outsagement	-⌫|---⌫-----⌫-|-⌫--|-------|
et me sire yuain folem en t	-|-|---|----|-----⌫--⌫|
hurtegrantaleu reap res	----|----|----⌫-|--⌫--|
si leui ntatai gnantsipres	-|-|--⌫-|----⌫----|-|---|
qu a laport e	-||-|----⌫|
derier e setint	------⌫|-|---|
et dechemoutbien	-|-|--|---|---|
quesifustauan te ste ndu	--|-|---|----⌫|-⌫---⌫--|
touteustesté pourfendu	---|---|----|--------|
sechest eauenture nefus t	-|-----⌫|-------|-|---⌫|
quesescheuaus	--|--|------|
marchalefust	-----|-|---|
quiteno itle	--|----⌫-|-|
portede fer	----|-|--|
a ussicomd iabl es d enfer	-⌫---|--|-⌫----⌫-||----|
destentle portecontr eual	------|-|----|-----⌫---|
sastain tl eseleet	|------⌫|-⌫|---|-|
derriereettrenchetoutparmi	-------|-|------|---|----|
maisnetouchaladieume r chi	---|-|-----|-|---|--⌫-⌫--|
m ons ei gneur yua inforsqueta n t	-⌫-|-⌫--⌫----|---⌫-|------|--⌫-⌫|
dos li uintraiant	--|-|---|-----|
sica mbedeuz	-||-⌫------|
le s espero ns	--⌫|------⌫-|
litrencha au resdes talons	-|------|-|--|--|-----|
t ous esmaie ́ s	-⌫--|------⌫-⌫|
q ui iertamort plaiés	-⌫-|---||---|------|
lieschapae n te lemaniere	-|------|-⌫|--⌫-|------|
unea utelporteauoit	--|-⌫---|----|----|
c omme chele	-⌫---|----|
deuant estoi t	-----|-----⌫|
l i cheua liersquis enfuioit	-⌫|-----⌫----|--||-|-----|
pa r chele portes enfui	--⌫|----|----||-|--|
et lepo rtea pres lui	-|-|--⌫--|-⌫---|--|
mesi reyua insprins	-|--⌫-|---⌫--|----|
mout angouss euset ent reprins	---|-------⌫--|-|---⌫------|
r emestdede ns laseleenclos	-⌫----|----⌫-|-|---|-----|
quitoutestoitchel eeaclos	--|---|-----|----⌫-||---|
dorésetpaintes lesmasieres	-----|-|------|--|-------|
de b o ineoeure etde couleu rs	-|-⌫-⌫--|----|-|-|------⌫-|
r ienssigran tnauoit	-⌫---|-|----⌫||----|
comde cheque	--|-|--|--|
ilnesau oit	-|-|---⌫--|
q uelpar tch il e nestoi talés	-⌫--|---⌫|--⌫-|-⌫|-----⌫|----|
dune cambret e	|--|-------⌫|
yl eucdel es	--⌫--|---⌫-|
ou uriruitzzhuissetes tro it	--⌫---|--|-|------|--⌫---⌫-|
couqu ilestoitenchelde stroi t	--|-|-|-----|-|---|--⌫-----⌫|
senissiun e damoisel e	|-|---|--⌫|--------⌫|
seule m outaue nan s etbele	----|-⌫--|---⌫---⌫|-|---|
uisa pres lui refr ema	--|-⌫---|--|----⌫--|
quantmonseigne ur yua ins	----|--|------⌫-|---⌫--|
sesmaia moutdepre mie rs	|-----|---|-|---⌫---⌫-|
cher tesfaitele che ual i ers	----⌫--|---|--|---⌫---⌫-⌫--|
iec rienquemals oi ésuen us	-|-⌫---|--|--|-⌫--⌫--|---⌫-|
seuous esteschaiensueus	-|---|----|------|---|
uousyserés	---||-----|
tousdepe chiés	---|----⌫-----|
quemesireesta m ort	--|-|---|--||-⌫--|
etbien saique	-|---|--|--|
a uésmort	-⌫---|---|
maine zzduel si fo rt	----|-|---|-|--⌫-|
enuironl icrient	------|-⌫|-----|
que p ar poide	--|-⌫-|--|-|
duel nesochient	---|-||------|
seuent ilbienchai ens	-----|-|---|----⌫--|
maisentreusestliduelzsi gra ns	---|---|--|--|-|----|-|---⌫-|
puentore entendre	----|--|-------|
sil uousue ulentochirre oupendre	|-|---|--⌫----|------|-|-----|
achenepueent il	|--|-|-----|-|
quantil uous	----|-|---|
uenront asal ir	------|----⌫-|
s iqu ildit	-⌫|-|-|--|
