u nemanieredege nt sont	-⌫-|------|-|--⌫-|---|
dema inten antenla chambreentre	-|--⌫-----⌫--|-|-|------|----|
aucheualie r traith orsdu uentr e	-|--------⌫|----|-⌫--|-|-----⌫|
dontsestoitocis	---||-----|---|
t antost alauoie	-⌫-----||-|---|
sanz pluste nir longueparo le	---|---|--⌫--|-----|----⌫-|
demaintenant ala	-|---------||-|
a sirend ue sap rom esse	|-|----⌫-|-|-⌫---⌫---|
queelchief	--|-|----|
liaembatue	-||------|
queilportoit	--|-|------|
sanzparlerquarmout fu ir iez	---|-----|---|---|-|--⌫--|
laduch oise chietasespiez	-|----⌫---|----||--|---|
uoian t touz ceusdelacontree	-----⌫|---|---|-|-|------|
lors fu lafeste mouttroublee	---|-|-|----|---|-------|
de scheualier squi	--⌫|---------⌫|--|
laest oie nt	-|---⌫---⌫-|
quegra ntioieme neeauoient	--|---⌫-|---|--⌫--|------|
et lidus t outaut resinttost	-|-|--|-⌫--|---⌫-----|---|
qu i o ir leuoust	--⌫|-⌫-|-|----|
dit toutl afeiree nmil acourt	--|---||-----|-⌫--|-⌫|----|
lorsni aceluiqui n enpleu rt	---||||----|--||-|----⌫-|
et no mmeeme ntquantiluoient	-|--⌫------⌫-|----|-|-----|
lesdeusamanz	--|---|----|
et laduc hoise	-|-|---⌫----|
dautrepart	|----|---|
etacourrouzdepart	-||-------|-----|
lacourteta meichiefuil ain	-|----|-||-------|---⌫--|
lidu senterrer l	-|--⌫|-------||
fist lesamanzen	---|--|----|-|
etl ad u choiseenau tre leu	-|-⌫|-⌫-⌫-----|-|--⌫--|--|
mesl auenture	--||-------|
co nquespuis	|-⌫----|---|
nus neleuitrire	--|-|-|--|---|
croisa doutremer	-----||-------|
ouil a lasanzret ourner	-|-|-⌫-|---|---⌫-----|
car il deui nt	--|-|----⌫-|
il ecte mpliers	--⌫-|--⌫------|
t outceus enconbriers	-⌫--|---|----------|
etci lmechiesp our	-|--⌫|------|-⌫--|
queaucheualiertant mesa uin t	--|-|--------|---|----⌫---⌫|
qui distceq uecel er deuoit	--|---|-|-⌫-|---⌫-|-----|
etque deffendu liauoit	-|--|-------|-|----|
samiequeilne	|---|--|-|-|
tant quant samorau oir uousist	---|----||---|--⌫--|------|
etpar cest esampledoitla n	-|--|---|------|---|--⌫|
sam orgarderparsigrant sen	|--⌫-|-----|--|-|----|--|
quanoittouz ioursenremanbra nce	-|-|--|---|----|-|--------⌫--|
queeledes couurirrie nnaua nce	--|--|---⌫------|---⌫||---⌫--|
etlicelerse ntouzpoinzuaut	-|-|-----|-⌫|---|----|---|
quisil e fet ne crientl	--|-|-⌫|--|-|-----||
des faus felonsenquereours	--|---|-----|----------|
qui enq uierentautrui amors	--|---⌫------|-----|----|
po ur nuirecautre	--⌫-|----||----|
p re uni ont	-⌫--⌫|||--|
nuisanceau leiaus	-------|-|-----|
trop courtoisement	---|------------|
du nseulpoite uinles reprent	|-⌫|---|-----⌫--|--|------|
