lapremi ere rebr iche	-|-----⌫--|----⌫---|
destranges terresetno us on t	|--------|-----|-|--⌫-|--⌫|
requishum blement quenous	-----|---⌫------|--|---|
leur doyo ns ensengnernostr e	---|----⌫-|--------|-----⌫|
rich escien ce delalkemieet	----⌫|-----⌫-|-||------|-|
mul tiplierleu r be santetalegresse masueret	---⌫------|---⌫|--⌫---|-|--------|-|---|-|
s om m esenbonneuolent edec e	-⌫--⌫-⌫-|-|----|------⌫|-|-⌫|
faire ma isqu iluous	----|--⌫-|-|-|---|
u iengneaplaisircombienquem a	-⌫-----||------|------|--|-⌫|
suer bonneauentu renesi	---|----|------⌫-|-|||
acor depaspla inement si	----⌫-|--|---⌫------|-|
s ommesuenuspour	-⌫----|----|---|
ou yruostr e	--⌫-|-----⌫|
c ommandem enturayestdi ta amo ureus e	-⌫--------⌫--|---|--|--⌫||---⌫-----⌫|
i ay delafau lce monnoye quiqueurtenleu r	|-|-|-|---⌫--|------|--|-----|-|---⌫|
pa iset deleurtresgranttraueileta u ssi	--⌫-|-|-|---|---|----|------|-|-⌫-⌫--|
de leur b onneuolente	-|---|-⌫---|------|
ien e mepu is ten irqueie	-|-⌫|-|--⌫-|---⌫-|--|-|
nelesrecommandeauost re	-|--|---------||----⌫-|
debonnaireteal e gresse lo rs dit m estr esam ees	-----------|--⌫-⌫-----|--⌫-|--|-⌫-|--⌫-|--⌫--|
tropgra nt tempsquetelzpeleri nsne uindrentanous	---|---⌫-|----|--|---|------⌫-|-|-------||---|
e specialpoures tre	-⌫------|---|--⌫--|
enf ourmés delarich e alkemiesime	---⌫------|-|-|----⌫|------|-|-|
sembl eroitch osedebonna irequemon mestierfus tr enouueléa u	-----⌫----|--⌫--|-------⌫--|--|--|------|---⌫|-⌫--------|-⌫|
mondeparuostrecommandeme nt etque	----|--|-----|----------⌫-|-|--|
cesgrac ieuxp elerinscy de	--|----⌫---|-⌫------|-|-|
uostremagnif icence ned oyent pas partirsans auoirgrace	-----|------⌫-----|-|-⌫----|--|-----|---|----|----|
lorsbonn eauentureaussi commeentrerompa ntle sp aroles des a	---|----⌫|-------|----|----|----------⌫-|--⌫|-⌫-----|-|-⌫|
alegresseditains i mesdamestressainctes et	--------|--|----⌫|--|----|---|-------|-|
tresiustes lar equeste decespelerins combienqu elle	---|-----|-|-⌫------|-|--|-------|------|-|---|
sembledetou tefois	-----|-|---⌫-----|
amonau i selle	|--|--⌫-⌫|---|
doit estr ebienuen t ill e eauantquellesoitottroyeed e	---|----⌫|---|---⌫-⌫---⌫-⌫|----|-|---|---|-------|-⌫|
uousoresta sauo ir	---|-|--||----⌫-|
l estatm erueil leuxet	|----|-⌫------⌫---|-|
abit decestroysro ynes etausside l eurs nom s	---|-|--|----|--⌫---|-|----|-|-⌫---|---⌫|
le s troys roynes	--⌫|----|-----|
s uersgermainesses eo ientassesp re s	-⌫---|--------|-|-⌫--⌫---|----|-⌫--⌫|
l unedel autr e	|--|-||----⌫|
sur yythronesde merueill euxouurage et encha scun	--|-|------|-|--------⌫--|------|-|-|---⌫---|
estoi entce rtainesfiguresesl eueesenfourme de	-----⌫--|--⌫------|------|---⌫----|-|-----|-|
bell es u i erg es	----⌫-|-⌫-⌫---⌫-|
q uifaisoientresplendir toutle	-⌫-|--------|---------|---|-|
t hroneetentourlesroynes	-⌫----|-|-----|--|-----|
auoit grantple nte	----|----|---⌫--|
debellesiosne sdamoisellesqu isem bloient	-|-----|-----⌫|----------|--⌫|---⌫------|
b ienes t reuenuesdepa radisetqua nt	-⌫--|--⌫-⌫-|-----|-|--⌫----|-|---⌫-|
ala maiesteroyaleles	|-|------|-----|--|
troysroynes	----|-----|
sembloient tr opbien	---------|--⌫-|---|
ex cepte ́qu el	--⌫-----⌫|--⌫||
une en clarte resplendi ssoit	--|-|-----|---------⌫----|
u npa ou plusquelesautr es	-⌫|--⌫-|---|--|--|----⌫-|
et sembl oit bienaisne e par s emblantuoirea la	-|-----⌫--|---|-----⌫|--|-⌫------|----||-|
co rp orelquinest pas encores bie n	--⌫--⌫---|--||--|--|------|---⌫|
purgielasec onde	-----|-|---⌫---|
estoituestue d	-----|-----||
u nrichesyglatondefi neco u l our tres blanc he	-⌫|----|-------|-|--⌫-|--⌫-⌫-⌫--|---|-----⌫-|
semé partou t demir oirs reluisansetauoitsurs a tes te	----|------⌫|-|---⌫---|--------|-|----|--|-⌫|---⌫-|
ric he couronnetoutepl ainesan snulz	---⌫-|-------|----|--⌫---|---⌫|---|
ou urag ede finoresm eré	--⌫----⌫|-|--|-|---⌫---|
et es toit	-|--⌫---|
sain tedunesainture d	----⌫-||--|-------||
or pl a ine sans nulouurage et	-|--⌫-⌫--|---|--|------|-|
ensa mainsenestretenoitunebalanceet	-|-|---|-------|-----|--|------|-|
enla des treun e	-|-|---⌫--|--⌫|
lancelapremiere royne qui	----|-|-------|----|--|
se moustroitco mmeaisneeet	-|--------|--⌫--|-----|-|
sembloitbientoutediui neestoituestued	-------|---|----|----⌫-|-----|-----||
unerichec ote	--|----|-⌫--|
meruei lleusementouureedebesteset	------⌫---------|-----|-|-----|-|
doyseaux etdun	|------|-||-|
m an ti ausebelinquitoutest o i entdefeumais quelfeu	-⌫--⌫--⌫-|------|--|---|---⌫-⌫-⌫--|-|--|---|---|--|
flamberesp l endissantet	-----|----⌫-⌫--------|-|
l e scuer sde doulceur	-⌫-⌫|----⌫|-|-------|
tres percant de	----⌫------|-|
c e ulxqui ler e gar doient etauo itce st e	-⌫-⌫--|--|-|-⌫-⌫---⌫-----|-|---⌫-|--⌫--⌫|
unecouronne ouuree meru eilleusem entenun dyademeau ss i	--|-------|-----|----⌫---------⌫--|-|-|------|--⌫--⌫|
resplendissant etde telle coulourcommeleuo i rreparfondu	-------------|-|-|----|------|----|-|--⌫-⌫--|-------|
netdedenslefo u rn iautoutboui llant et b rie fm ent son	--|-----|-|--⌫-⌫--⌫--|---|----⌫----|-|-⌫---⌫--⌫--|--|
tresgracie ux uiair eet	---|------⌫-|-----⌫|-|
toussesou r nem ensesyeux desregardan s	---|--|--⌫-⌫---⌫--|-|---|--|--------⌫|
ainsire splendisso ient commelesrays	----|--⌫----------⌫---|----|--|---|
dusol ailcommu naumen t	-|---⌫--|-----⌫------⌫|
f ontou moysdemayces te puis sa nt	-⌫--|-|---|-|--|---⌫-|----⌫--⌫-|
roynetenoiten samain	----|-----|-|-|---|
d est reune	-⌫---⌫-|--|
petitecroi stouteuermeille	-----|----⌫|----|--------|
t ellequeonque s onn e	-⌫---|--|-----⌫|-|-⌫|
uitla par eil le et	--|-|---⌫---⌫-|-|
enl autremai nportoitun petit	-||----|---⌫|------|-|----|
aignel etd	------⌫-||
orioingnantasapoictrineenreme nbrance d	-|--------||-|--------|-|----⌫------||
finelatierceroyn eestoituestusdunecote	---|-|-----|----⌫|-----|-----||--|---|
larg eetlon gue dune coulour sangu i neresplendissa nt	----⌫|-|---⌫--||--|------|-----⌫-⌫-|------------⌫-|
sembloitque fres chem en t elle	-------|--|----⌫----⌫--⌫|---|
fusttai nte ens ancetsiauoit	---|---⌫--|-|-⌫--|-|-|----|
sursa teste un ecou ron nede finor	--|-|----|--⌫|---⌫---⌫-|-|--|-|
enmanier edespi neset	-|------⌫||----⌫--|-|
portoit ensa	------|-|-|
m ain destreuneb ellereglequarree re mplie	-⌫--|-----|--|-⌫---|----|------|--⌫----|
mister e se ten	------⌫-⌫|-⌫|-|
lautr emainportoi t une pomme d or	|----⌫|---|------⌫|--|----||-|
dem ou stroita me nutoutl e	---⌫--⌫-----||--⌫-|---|-⌫|
mon delaseconderoynedescripte	---⌫-|-|------|----|--------|
auoitnomla riche preci euse	----|--|-|----|-----⌫---|
etlaroy n e pre miere qui	-|-|---⌫-⌫|---⌫----|--|
aisneeauoit n omdoulce	-----|----|-⌫-|-----|
amourb iena moureusemaislati erce	----|-⌫--|-⌫-------|---|-|--⌫---|
royneauoit nom la	----|----|--|-|
damesdeseuures	----|--|-----|
la zzrebriche	-|-|-------|
commentl une destr oys	------||--|--|--⌫--|
roy nescest assauoir lariche	---⌫--||--|-------|-|----|
precieu se printlaparoleet	-------⌫-|----|-|-----|-|
ensas entenc e semoustroit	-|-|-⌫------⌫|-|--------|
r i goreu seetc omment amo ureuse	-⌫-⌫-----⌫-|-|-⌫-----|---⌫-----|
etsesdeuxsuersc	-|--|---|----||
e stassauoiralegresseetbonne	-⌫-|-------|--------|-|----|
a uenturesou stindrentet	-⌫------|---⌫--------|-|
conforte rentlar equeste dardan td esiret	--------⌫---|-|-⌫------||-----⌫|-⌫---|-|
lez zchapitr e	-|-⌫|-------⌫|
orretournons a nostr e materequan t lesyydames orent	-|---------||-----⌫|-----|----⌫|--|-|----|----|
exposé la requeste d eardantdesir etde bonne	------|-|-------|-⌫|-----|----|-|-|----|
e s pe r ance la	-⌫-⌫--⌫-⌫---|-|
ro y ner iche pre cieuseprint	--⌫-⌫-|-⌫---|---⌫-----|----|
lapar ol eetditainsiil	-|---⌫--⌫|-|--|----|-|
pas se yyansuoiretroysfoisouquatre	---⌫-|-|--|----|----|---|-|-----|
q ueme sbelles	-⌫-|--⌫|-----|
dou lceam ourladamedeseuures	---⌫--|--⌫--|-|---|--|-----|
et moynous partismesde	-|--|---|--------|-|
monde etdela	----|-|-|-|
cres t ientepource	----⌫-⌫----|---|-|
quenosloiset nos de cres n	--|--|---|-|--|--⌫---||
es to ient pasbien	--⌫--⌫---|--|---|
ga rd ésetleslois denosanemis auoi ent	--⌫--⌫--|-|--|---|-|--|-----|----⌫--|
seignour ie e t	--------⌫-|-⌫|
pou r ret rayre	---⌫|---⌫----|
le mondeespecialeme ntlescrest i ens	-|----|-----------⌫-|--|-----⌫-⌫--|
auou stroys dames	|---⌫|----|----|
cyp resentes nous uouslaissames	-|-⌫-------|---|---|--------|
nostreforgeden ostr er ichealkemie ettout e fois enla	-----|----|-|-⌫----⌫|-⌫---|------|-|----⌫-⌫---|-|-|
u ostre monnoie	-⌫----|------|
par toutfurefusee et	---⌫---|-|------|-|
habandonneeen	----------|-|
la quelleon mul tiplioit le sbesanssiuo usen	-|-----|-|---⌫-------|--⌫|-----|-|--⌫-|-|
partistesains i	--------|----⌫|
commemalgreu ou s	----|-----|-⌫--⌫|
et uous retr aistespar	-|---|----⌫-----|--|
d euersn ousenc este	-⌫----|-⌫--|-|-⌫---|
richem ontaigne	----|-⌫-------|
a ussicommesans esper ance denonr etourner	-⌫---|----|---|-----⌫---|-|--|-⌫-------|
mondelequelmondenestpas digne	----|-|---|----||--|--|----|
d userdesi	|---|-|-|
bonnemonnoye etoresa	----|------|-|---||
presental aseulereq uested	------||-⌫|----|---⌫----||
de bonnees perancesansnulle	-|----|--⌫------|---|----|
b onneeuure q uil	-⌫---|----|-⌫|-|
sachent m oustrernousrequerésquelarichesemence de	------|-⌫------|---|--------|--|-|----|------|-|
uostrebelle forgeparaue nture soit semeeeschar don sceste	-----|----|----|--|---⌫----|---|----|-|----⌫---⌫|----|
req uestea mon auis commeditbonne	---⌫----||--|---|----|--|----|
auenturen e st pas	-------||-⌫-|--|
legie re a ottroye rmatreschiere damedit amo ureuse	-----⌫-||-------⌫|-|---|-----|---|--|---⌫-----|
auec toute reuerenceie respondray	---|----|--------|-|---------|
les pelerins quicysont	--|-------|--|-|---|
s e sonttra is pa rdeuersuous	-⌫|---|---⌫-|--⌫------|---|
non p asp oureulx	--|-⌫-|-⌫--|---|
seuleme n t maisp our yymille	-------⌫-⌫|---|-⌫--|-|----|
leurre li gion	---|--⌫--⌫---|
et n uit lamen te nt etplouren te nfaisant	-|-⌫--|-----⌫--⌫-|-|-------⌫|-⌫|------|
pite usestrag ediesc riantahaulte	----⌫---|----⌫----|-⌫----||-----|
uoixoquantreuen dront les	---||----|-----⌫----|--|
b elles damesaleg resseamoureusee t	-⌫----|----|----⌫----|--------|-⌫|
b onnea uenture	-⌫---|-⌫------|
souuer a ine mentla riche preci euseroynedetous biens	------⌫-⌫---⌫---|-|----|-----⌫---|----|-|---|----|
lesquel les nosanciss eursuiuoie ntenioy eet	--|----⌫--|--|------⌫---|------⌫-|-|---⌫|-|
enriche sseet	-|-----⌫--|-|
par leurbel le	--|---|---⌫-|
a lkemie d unbe san tfa isoient yymilleuoire ma	-⌫-----||-|--⌫---⌫|--⌫------|-|----|----|-|
dameceditalegress eilmesouuie ntqueen	---|-|--|--------⌫|-|-|------⌫-|--|-|
celluitemps	-----|----|
estoit en sigrant	-----|-|-|----|
estoitnouuellede	-----|-------|-|
f orter esse etqu iluo uloi tdenuit d ormirsoubz	-⌫-----⌫---|-|-|-|--⌫----⌫|-|---|-⌫----|----|
son fig hier	--|---⌫---|
fairele pooit riens nedoubtoi tetiusque s	----|-|----|----|-|-------⌫|-|------⌫|
a umatinn a uoit	-⌫|----||-⌫---|
soyes ueill i erilest	--|--⌫-----⌫-⌫-|-|--|
uraydit b onne	---|--|-⌫---|
auentureencellui temps lesri ches	-------|-|-----|----|--|--⌫---|
marchansq u i aucune fois	-------|-⌫-⌫|------⌫---|
biaussommiersporto ient	----|-------|-----⌫---|
yybe sans po ur l aisedeleurs corps	-|--⌫---|--⌫-||---|-|----|----|
laissoientle sbonnes uillesetaloientgesir enmyla forest	---------|--⌫|-----|-----|-|------|----|---|-|-----|
debie r eetne doubto ient larro ns ne	-|---⌫-⌫|-|-|------⌫---|-----⌫-|-|
pillarsquileuruenissent	------|--|---|--------|
derrierechascunestoit conte ntdu sien e t	-------|------|-----|-----⌫-|-|---|-⌫|
serga nsne	-----⌫-|-|
gaingnoient rien les uignes lorsiamais nefailloientneles	----------|---|--|-----|---|-----|-|---------|-|--|
b e stes poi ntna uortoientun	-⌫-⌫---|---⌫-||-⌫--------|-|
grainde fourmentmisenterr e	----|-|-------|--|-|----⌫|
aportoit centetlesgenslonguementuiuoientet quantnat ure	-------|---|-|--|---|---------|-------|-|----|---⌫--|
e s toitfaillieparu iellesse comme une	-⌫-⌫---|------|--|-⌫-------|----|--|
cha ndailleilz sen	---⌫------|--||-|
aloientquedira y ie	------|--|----⌫|-|
plusditbonneauentureon ne	---|--|----|-------|-|-|
ue ndoitpasalenchantlespreuost e sneles	--⌫----|--|||------|--|-------⌫-⌫|-|--|
seaulx des	-----|--|
euesq uesnestoientpas	-----⌫--||-------|--|
a renteslesamesaussinestoie nt pas	|-----|--|---|----||------⌫-|--|
bai ll eesaferme	---⌫--⌫--||----|
commeunegrangeq uelenaferme	----|--|-----|-⌫-|--|-----|
auiou rduy	-----⌫---|
toutes chosessont uena blesetendurc ies	-----|-----|---|----⌫---|-|------⌫--|
et de la uraie	-|-|-|----|
alk emietoute slesloys son t	---⌫---|-----⌫|--|---|---⌫|
p eriesilest uray	-⌫----|-|--|---|
ditlarichep reci e use	--|-|----|-⌫----⌫-⌫--|
qu e poons nousfai r ece	--⌫|----|---|---⌫-⌫|-|
q uiest fait	-⌫-|--|---|
nestp asafaireselemonde	|--|-⌫-||----|-|-|----|
as onseruice	|-⌫-|------|
nonpas au nostre nouseust	--|--|-|-----|---|---|
aueclui r e tenunou s	---|--|-⌫-⌫---|---⌫|
yfussiesmes	|---------|
uol entiers d emoureeset	---⌫------|-⌫-------|-|
iusques auiou rdu	------|-|---⌫|-|
iu gement maisilno us	--⌫-----|---|-|--⌫-|
ch asserentuill aine mentsinepoons	--⌫-------|----⌫----⌫---|-|-|----|
pasfairea pr esent	--|----||--⌫----|
tou t e leuruole ntecestassauoir deenseingnie rnostre	---⌫-⌫|---|----⌫--||--|-------|-|----------⌫|-----|
alke mie dontilontsigrantde ffaut elors	----⌫--|---|-|--|-|----|--⌫-----⌫|---|
alegresse e t	--------|-⌫|
a more useparlerentun	-⌫----⌫--|--------|-|
paoua part aarda nt	---||---||----⌫-|
desir eta sa	----|-||-|
tantostre tournerentpa rdeuant	------|--⌫---------|--⌫|-----|
bouchedeamoureused irent ainsi mes tres	-----|-|--------|-⌫----|----|--|---|
ue ner abl es d ame s	--⌫---⌫---⌫-|-⌫---⌫|
confiantdeuostregra nt	-------|-|-----|---⌫-|
magnifice nc ebonteet largesseparle	---------⌫--⌫|----|-|-------|--|-|
co nsei l du	--⌫----⌫|-|
ph illozofe theologie netgranta l kem ien leuielarsene	--⌫-------|---------⌫|-|----|-⌫-⌫---⌫--|-|---|-----|
ces peler inscy nesontpasuenuspardeuers	--|-----⌫--|-|-|---|--|----|--|-----|
uous t ant	---|-⌫--|
seulementp our ap rendrenostre alk emiemaissontue nus	--------|-⌫--|--⌫-----|-----|---⌫---|---|---|--⌫--|
uoushumblement supplierquiluo usplaisede	---|---------|-------|-|-|--⌫-|-----|-|
no usremander	--⌫-|-------|
au mon decar	-|---⌫-|--|
quelabelle	--|-|----|
or loge dumonde	--⌫---|-|----|
non pastantseu lement	--|--|---|---⌫-----|
destrempee mais	---------|---|
toutero uteetma lm enee	----|--⌫--|-|--⌫|-⌫---|
et quela dicte orlog e que	-|--|-|----|-----⌫|--|
lancelleded i eunatur eattrempa	|------|-|-⌫-⌫-|-----⌫|-------|
ne fiertplu slescoups par	-|----|---⌫|--|----|--|
l esquelxon deustu iure	-⌫-|----|-|----|-⌫---|
regleetque pl us	----|-|--|--⌫-|
estchascunp ense delu inul	--|------|-⌫---|-|--⌫|--|
pe ns edautruiles uicesso n tass isen ch aiere et	--⌫--⌫||-----|--|----|--⌫-⌫|---⌫-|-|--⌫----|-|
uertussontmi sesderriereet	-----|---|--⌫--|-------|-|
faitondeuertu uice e t	---|-|-|----|---|-⌫|
deuice uertu	-|---|----|
arb it reprent tousioursson	---⌫--⌫-|----|---|----|--|
contrai re	-------⌫-|
quiueult bienuiureil	--|----|---|----|-|
e t d uco ntraire il	-⌫|-⌫|--⌫------|-|
est loue ́s	--|----⌫-|
par toutregne orgueilau aric e	---⌫---|----|------|--⌫----⌫|
etlu xu re	-|--⌫--⌫-|
baratt richeriee t	----|-⌫-------|-⌫|
ordureet natendent quelauenue	-----|-||-------|--|-|----|
antecristquifain dra	--------|--|----⌫--|
es treihesucristsi	--⌫--|---------|-|
nousdient ces	---|----|--|
pelerins que	-------|--|
siln ou splaisoit	|-|-⌫--⌫|-------|
derech ief a u	-|----⌫--|-⌫|
mond eretourner	----⌫|--------|
nous feriesmes touscesmaul xrepa reret parnostres a i n cte	---|--------|---|--|----⌫|----⌫--|-|--|-----|-⌫-⌫-⌫-⌫--|
alkemieseroitrapais iél e s ouu erain maistre du	------|-----|------⌫--|-⌫|-⌫---⌫----|------|-|
besant cellui	-----|-----|
qu i donneui ebonn e auent urese commencalors u n	--⌫|----|--⌫|----⌫|-----⌫--|-|-------|---|-⌫|
a mol iereta	-⌫---⌫--|-||
l oppinionde se ssue rsneuostplus	|-------|-|--⌫|---⌫-|-|---|---|
con tralier	---⌫------|
maislarichepre ci eus eatout	---|-|----|---⌫--⌫---⌫|----|
sa bala n ceseteno it	-|----⌫-⌫-|-|----⌫-|
t ous i oursen sarigo uretdisoi t que b ienli	-⌫--|-⌫---|-|-|----⌫-|-|-----⌫|--|-⌫--|-|
plaisoit quele s	-------|--|--⌫|
pe lerin s fussentbien	--⌫-----⌫|------|---|
enseingn iés pourc e quil auoient	--------⌫---|---|-⌫|-|-|------|
tant t rauaill émai squ e	---|-⌫-------⌫-|---⌫|--⌫|
lestroyssuersdeussent aumonde	--|----|----|-------|-|----|
re tou rner ence ditelle ien	--⌫---⌫---|-|-|--|---|-||
yuoypasbien cl er et en	|--|--|---|--⌫-|-|-|
c emasentenceiedi pource qu ilest	-⌫|-|-------|-|-|---|-|-|-|--|
lestroyssuersrespondirenta	--|----|----|-----------||
leurcheuetaine	---|---------|
lariche preci euse	-|----|-----⌫---|
attendueetsupposeen ostreuraieobedie nce	-------|-|-------|-⌫----|----|------⌫--|
uostreuo lenteestla n ostr ene sa ns	-----|--⌫----|--|-|-⌫----⌫|-|--⌫-|
u o st recommand ement	-⌫-⌫--⌫-|-------⌫----|
bonnedisposicion iamaischose nefer ons	----|----------|-----|----|-|---⌫--|
maisde cesteno uuell e	---|-|----|--⌫-----⌫|
proposicionuousp lairoitil quenost retresh ounoureedame	----------|---|-⌫------|-|--|----⌫-|---|-⌫-------|---|
doulceamouruostre tre sameesue r	-----|----|-----|---⌫|---|---⌫|
aisneee ndesistson	-----|-⌫|-----|--|
o ppi nion quisansmot d ire	-⌫---⌫---|--|---|--|-⌫--|
iusquescya to u t ouy leetle	------|-||--⌫-⌫|--|-|-|-|
lariche precieuse respondiilmepl aistbiencar	-|----|--------|-------|-|-|--⌫---|---|--|
e stmienest sien	-⌫-|---|--|---|
