mesireno bles	-|---|--⌫---|
tu estoies sibes oing n eus	-|------|-|---⌫----⌫-⌫--|
etdepoisson sic onuoite us	-|-|------|-|-⌫-------⌫-|
t unencuidoies	-⌫||-|-------|
preu auoir	---|----|
bien ditli ui lainet	---|--|-|--⌫---|-|
qu equi t o t couoiteto ut p ert	--⌫|--|-⌫-⌫|------|--⌫-|-⌫--|
ce osiedireen	-|-|-|---|-|
t ieuscuideauoirtota	-⌫---|----|----|--||
sedesoiuree tpart	-|-------|-⌫|---|
moult esthonnizqui tout	----|--|-----|--|---|
gaaingpert et	-----|---|-|
s enplo ite	|-----⌫--|
de squ etules	--⌫---⌫|-|--|
po i ss onssentis	--⌫-⌫--⌫--|-----|
dimoipor qoitu t alentis	-|--|--|--|-||------|
queyyouyyenretenisses	--|-|-|-|-|---------|
mes poren gingnie ́te tenisses	--|--|--⌫-------⌫|-|-------|
se tu n enfussestotc hargi ez	-|-||-|-----|--|-⌫-----⌫-|
etpor i tantfusatargiez	-|--|-⌫---|--|-------|
q u antdeu e nirtalaisemondr e	-⌫-⌫--|-|-⌫-⌫--||---|-------⌫|
tuconmencaszzp oiag ron d re	-|--------|-|-⌫-||-⌫---⌫-⌫-|
quan tiefuianuiezdatendre	----⌫|-|--|-----||------|
s itelessai	-⌫|-|-----|
lespoissons	--|-------|
s emalt enui nt	-⌫|--||-|--⌫-|
menblasmes	|-|------|
onquesdes poiss onsne meni asmes	-----|--|-----⌫--|-|----⌫----|
r enartbientes esescus er	-⌫----|---|-|-⌫-|-----⌫-|
etgen tpar paroleamuse r	-|---⌫|--|-----|-----⌫|
n eporr oi e huiauoirretraiz	-⌫|----⌫--⌫|--|----|------|
lesmausquetu m as dis	--|---|--|-||-|--|
toutiorsmas tenupo rbricon	-------||-|---|--⌫|-----|
leio rquemenia sleb acon	-|--⌫|--|-----⌫|-|-⌫---|
quant talent	----|-----|
lorsm e seust ubiendecoiur e	---|-⌫|---|-⌫|---|-------⌫|
deisqueceneli er	---|--|------⌫-|
tauoi tonfetd	|----⌫|-|--||
ungrantcelier	-|----|-----|
en ta gardeestoi entliui n	-|-|----|-----⌫--|-|--⌫|
touttens ausoiretau	---|---|-|---|-|-|
lamemenasdan tfel	-|-|----|---⌫|--|
tu mas chanté de maintfausuers	-||-|------|-|----|---|---|
la me men a sc onmef ol	-|-|---⌫-⌫|-⌫---|-⌫-|
oibatulec ol	-|---|-|-⌫-|
re nar t or	--⌫---⌫|-|
decesuib ienen mon recort	-|-|--|-⌫--|-|--|-----|
que tant beusquetufusyur es	--|---|---|--|-|--|---⌫-|
siteuantasquetusanz liures	-|-|-----|--|-|---|-----|
chanter oie sbienzz c ondu it	-------⌫---⌫|---|-|-⌫----⌫-|
lorsc onmenc asa	---|-⌫------⌫-||
sigrantbrui t	-|----|----⌫|
que tuitc il de la uile uindrent	--|---|-⌫-|-|-|---|-------|
quia grant mer ueillesletindrent	--||----|---⌫------|-|-------|
quenp o i iese ie men	-|-|-⌫-⌫|-|-|-||-|
quantioiuenir si grant	----||-|----|-|----|
iemem is tantost a ugrant	-|-|-⌫-|------|-⌫|----|
qar demoriroi grant peor	--|-|----|-|----|---|
retenuzifui	------||--|
menuingaum i eus que poi	|-|---|-|-⌫-⌫--|--|--|
a uoir nosdurent ent repris	-⌫---|--|-----|---⌫-----|
qarilnosauoi entsoup ris	--|-|--|----⌫--|----⌫--|
s efus batuz	-⌫|--|----|
amoi qu entient	|--|-|-|----|
qui malchace	--|--|----|
mal li uient	--|-|----|
rena rtrenartmoultsesdeboule	----⌫-|-----|----|--|-|----|
tutez ietezdema inte	-||-|----|-|--⌫---|
r e nartf ait il deputepart	-⌫-⌫---|-⌫--|-|-|---|---|
ia me t enistuporm usart	-|-|-⌫---|-|--|-⌫----|
grantcoronne	----|------|
d euechaudeconmea p arsonne	|--|-----|----||-⌫------|
si grant siample e t	-|----|-|----|-⌫|
o itoute pelee	-⌫|----|----|
nemeremestpoil s orlesioes	-|-|-----|---|-⌫-|--|---|
tu ten alasfaisant tesmoes	-||-|---|------|--|---|
demoi d euoiesmo inef ere	-|--|-⌫-----|--⌫--|-⌫--|
cert esmoul tesde puteafere	----⌫-|----⌫|-|-|---|----|
partoi est	--|--|--|
ma chara foiblie	-|---|-⌫------|
c ruisi fisfolie	-⌫--|-|--|----|
zzt ronconmedonnasdanguille	-|-⌫-----|-|-----||-------|
queusco nquise par	-|--|--⌫-----|--|
taguil l e	-|----⌫-⌫|
pormoifereplus	--|--|---|---|
e n maint lieu	-⌫|----|---|
masfe t t re buchier	|-|--⌫|-⌫--⌫------|
ie demandaioules trouas	-|-------|-|--|-----|
por moideco iurec ontrou uas	--|--|----⌫---|-⌫------⌫--|
que ch arreti e rt anten porto ient	--|--⌫------⌫-⌫|-⌫--|-|-----⌫---|
a bienpet it	|---|---⌫-|
nelesgi toient	-|--|--⌫-----|
apoinauoi e trop	|--||----⌫|---|
il se nalo ientbienchargié	-||-⌫|---⌫---|---|-------|
d esanguillesi	-⌫-|--------||
a uoittant	-⌫---|---|
souentsaloientares tan t	-----||------|----⌫---⌫|
lic h eualtraieentapainne	-|-⌫-⌫---|-------||-----|
lachar retetant estoitplainne	-|----⌫---|---|-----|------|
iedem andai par	-|---⌫----|--|
quelsemblance	---|--------|
ienporroie	|-|------|
t umede is quanttetr ouerent	-⌫|-|--⌫-|----|-|--⌫------|
quen lorcharretete	-|-|--|-------|-|
etpro ieren tqassezmen iasses	-|---⌫-----⌫||----|---⌫-----|
etquele remana ntgardasse s	-|--|-|------⌫-|--------⌫|
tantmenalasamone stant	---||-|---|-----⌫----|
quei e menreu ingau	--|-⌫||-|---⌫--|-|
etiefis se mblant destremor s	-|-|--|--⌫-----||----|---⌫|
lafuiie batuz	-|--|-|----|
et de leuiersetd e	-|-|------|-|-⌫|
en cormendolentli crepo ns	--⌫--||-|-----|-|-----⌫-|
n estm erueillesseioianui	|--|-⌫--------|-||-|---|
quant detoi u engieznemesui	----|-|--|-⌫-----|-|-|--|
des p lusl o nsiorsdeste	--|-⌫--|-⌫-⌫-|---||---|
naroieie pas	|----|-|--|
lesmausl es	--|---|-⌫-|
anuizq uema s	----|-⌫-||-⌫|
mesore stta nt meuzli plez	--|-|-⌫-|--⌫-|---|-|---|
cortensonmesuenu	---|-|-----|---|
seadroiten sonmestenu	-||----|-|-----|---|
d etoi aureenc or uen iance	-⌫|--|---|---⌫-|---⌫----|
bienenaiendieumaf iance	---|-|-|-|---|-|-⌫----|
ie taimeneeloi aute	-||-|----|---⌫---|
ettu moig r antdesloi aut e	-|-|--|-⌫-⌫--|------⌫---⌫|
quantmestord rasque que nu sdie	----||------⌫--|--|--|--⌫|--|
petits aurasdere na r die	----|-⌫----|-|--⌫--⌫-⌫--|
renartrespontp arr econfort	-----|------|-⌫-|-⌫-------|
sireys e ngrin uo saue ztort	---|--⌫-⌫----|--⌫|---⌫|---|
uos menc use zn e sai de quoi	--||---⌫---⌫|-⌫|--|-|---|
cilau treba r onsonttuit	--|--⌫--|--⌫-⌫-|---|---|
distrenartpor	---|-----|--|
t eliaquiuostientpor so t	-⌫-|||--|--|----|--|--⌫|
uostreresonestde scouerte	-----|----|--|--⌫-------|
que menconge	--|-------|
auezdi teaperte	---|--⌫-|-----|
et ci l quitropment s	-|--⌫|--|---|---||
hairenarttropai soufert	--|-----|---|-|------|
tongr antanui	--|--⌫--|---|
et tondesroi	-|--|-----|
aic ongie duroi	-|-⌫----|-|--|
ia aurasla	-|----|-|
bataillealueil	-------|||---|
rena rtrespontrienstant ne	----⌫-|------|----|---|-|
porcomb atresongagetent	--|----⌫---|--|---|---|
ys en grinetliroisleprent	--⌫--⌫---|-|-|---|-|----|
ren artapresl esontendi	---⌫--|----|-⌫|--|----|
si quelirois bie n	--⌫--|-|---|---⌫|
bien dientli baron	---|----|-|----|
que labataille	--|-|-------|
iafie r t tout e	|----⌫-⌫|----⌫|
maruitl abataillearamie	--|--|-⌫|-------|-----|
liroisde man deses	-|---|--⌫---⌫-|--|
quimo ulte s t oitcortoi setsages	--|--⌫--|-⌫-⌫-⌫--|------⌫|-|----|
a nuld els	|--||--|
nesapardon nez	--||------⌫--|
ysengrin a les suensl iurez	-------||--|----|-⌫----|
brun lor sentrer	---||--⌫|-----|
ty bertlichaz et ch antecle r	--⌫---|-|---|-|--⌫-------⌫|
etlelieure	-|-|-----|
sire coart	---|----|
ce us otysengrinasapart	--⌫-|-|-------||-|---|
ren art enotdesm ieusse nez	---⌫--|-|-|--|-⌫---|--⌫--|
que ilotasapa rttor nez	--|-|-||-|--⌫-|---⌫--|
bruiant etbaucentle sengl er	------|-|------|-|-----⌫-|
quil otfaita	-|-|-|---||
soiass embler	--|---⌫-----|
e tesp inartlehericon	-⌫|---⌫----|-|------|
grimberts on co sinletesson	-------|-⌫-|--⌫--|-|-----|
cilfirentar enartsecors	--|-----||-⌫----|-----|
m oultenpesaabrunli ors	-⌫---|-|---||---|-|--|
labatai lleontaterminee	-|-----⌫--|--|--------|
io rs sanz demor ee	--⌫-|---|-----⌫-|
grimber t a creantamoultbien	-------⌫|-⌫------|----|---|
quil neleroitpornulerien	-|-|-|-----|--|---|---|
qui l nefacere nart combatre	-|-⌫|-|---|--⌫---|-------|
porlorgoil ysen grinabatre	--||-----|----⌫---|-----|
dit estezenpes	--|----|-|--|
a uozost i eus	|--|---⌫-⌫--|
alezhu ime s	---|--⌫---⌫|
libaronse son t departi	-|----|-|---⌫|------|
malement ontl echamp parti	-------|--|-⌫|----|----|
dentre rena rtetyse ngri n	|----|----⌫-|-|---⌫----⌫|
estoient maluoisin	-------|--|-----|
renartne st	-----||-⌫-|
pasde tel puissa nce	--|-|--|------⌫--|
conysengrin mes	--|-------|--|
auoit renart	----|-----|
en les cremie	-||--⌫-----|
ot batai lle aramie	-|-----⌫--|-----|
en gingneus est	--⌫-------|--|
mes n est p a s fors	--||--|-⌫-⌫|---|
seysengr inlifait esfo rs	-|------⌫-|-|---|----⌫-|
seset courir	-|--|-----|
etbientapirpor d es courir	-|---|----|--|-⌫--⌫-----|
soncompaingnon	--|----------|
deferec hosequ ili	-|---|-⌫---|--⌫|-|
estentremi sde	--|-------⌫|-|
quenus ne l enp or roitreprendre	--|--|-||-|-⌫--⌫---|--------|
moult sot renartd e ngins plusors	----|--|-----||-⌫----|------|
deluite d e	-|----|-⌫|
iam besde tors	---⌫--|-|---|
ainzquisengrinbaillierlepui sse	-----|-------|-------|-|---⌫--|
li brisera ou	-|------|-|
braz o u cuiss e	---|-⌫|-----⌫|
yse ng rinentent mou lta el	---⌫--⌫--|-----|---⌫-||-|
e npes setient ason ostel	-⌫|--|-|----||--|----|
qareldroitqueil ase fie	--|-|----|--|-||-|--|
etrenarten son cuerdes fie	-|-----|-|--|---|---⌫--|
se illepuetaspoinzbail lie r	-|-|-|---|-|----|----⌫---⌫|
forment lecuidetrauai llier	------|-|----|------⌫----|
tant desi rre qua poinsletie ngne	---|----⌫--|-||----|-|---⌫---|
ian e cuide qa	-|-⌫|----|||
tens iuien gne	---||----⌫--|
moultlidesp lestenson corage	----|-|----⌫---|-|--|-----|
quela batailletant	--|-|-------|---|
necuideueoirl e ure	-|----|----||-⌫--|
queellesoittantli demeure	--|---|---|---|-|------|
renarte st oiten moultgrantpainne	-----|-⌫--⌫--|-|----|----|-----|
darmesquerre enlasem ainn e	|----|-----|-|-|---⌫----⌫|
et ysengrintoutensement	-|-------|---|-------|
por chace armes durement	---⌫----|----|-------|
porc ha z estdelhaster	----⌫--⌫|--|--|-----|
ete npaine d e laprester	-|-⌫|----|-⌫||-------|
coteaquiseetarmeu re	---||----|-|-----⌫-|
esc u etboneafe utreure	---⌫|-|---|---⌫------|
chauceset iambieresbien fetes	------|-|--------|---|----|
quil a entorsesia mbestraites	-|-||----|--|--⌫---|------|
s onescu siest blanst restoz	-⌫-|---|-|--|----|-⌫-----|
laco teure meilledesouz	-|--⌫-|---⌫-----|-----|
basto n otdeneflier bienfet	-----⌫|-|-|------|---|--|
bien f ua rmezau iorduplet	---|-⌫|-⌫---|-|--|-|---|
rena rt quiam a intescharniz	----⌫-|--||-⌫-⌫--|--------|
nerefum iedesgarniz	-|---|-⌫-|--------|
assezauo itd e	----|---⌫-|-⌫|
b ons amis	-⌫--|---|
quide luis es on tentremis	--|-|--|-⌫|-⌫--⌫|-------|
escu bien fetasam aniere	---|---|--||-|-⌫-----|
etconma nde	-|-----⌫--|
quele nliquiere	--|--⌫|-|-----|
zzen ontquisquifutoziaunes	-|-|--|---|--|-|--|-----|
cotenotpas yyaunes	---||-|--|-|----|
moultestoitbone et aa i si e	----|-----|---|-|--⌫-⌫--⌫|
notchaucenefu gambaise	|-|-----|-|-|-------|
zz b aston otduneaubeespine	-|-⌫----|-||--|---|-----|
quimoultestoit boneenpleuine	--|----|-----|---|-|------|
mou ltb ienemp loiez	---⌫-|-⌫--|---⌫----|
decor roie sfu b ienliez	-|---⌫----⌫|-|-⌫--|---|
de c hiefe nautreb ie n entre t	-|-⌫---|-⌫|----|-⌫--⌫|-----⌫|
issiarme zal acor t uet	---|----⌫||-⌫|---⌫|--|
etys engrins	-|--⌫-----||
en estto rnez	-|--|--⌫---|
quimou ltestoitbien	--|---⌫-|-----|---|
est e su osala cort	---⌫-⌫|-⌫-||-|---|
etys engrindelautrepart	-|--⌫-----|-||----|---|
barons o nt t uit	----|-⌫-⌫-|-⌫--|
chascunadit ce q uelisem ble	------||--|-|-⌫-|-|---⌫--|
renar tne fupasespe rd u z	-----⌫|-|-|--|----⌫--⌫-⌫|
ha ut fureoingniez ettonduz	--⌫-|-|---------|-|-----|
etcole tbarbesefistrere	-|--|-⌫|----|-|---|---|
despit de son compere	-----|-|--|------|
yseng rinl	-----⌫--||
otengrantd espit	-|-|----|-⌫----|
et s aforce prisa petit	-|-⌫|----|----|----|
d ain g naoster cheuol	-⌫---⌫-⌫-|----|-----|
iafussent e nsemblesonuoil	-|------|-⌫------|--|---|
mes ainzqueilletiengne as	--|------|-|-|------|-|
seraplus mala d esque	---|---|----⌫-⌫-|--|
moultdes irre	----|---⌫---|
quapoinsleti engn e	-||----|-|--⌫----⌫|
h ermeline fu e n freor	-⌫-------|-|-⌫|----|
pordantrenartet enpeor	--|---|-----|-|-|---|
etperce haiee tmalebranche	-|-----⌫---|-⌫|----------|
moultparestoi tl a d a m ef ranche	----|--|-----⌫|-⌫|-⌫-⌫-⌫|-⌫-----|
etre nardiaustu it	-|--⌫-------|--⌫-|
liyyfre r e	-|-|---⌫-⌫|
fesoientgran t du elpo r	-------|----⌫|--⌫-|--⌫|
a uecl ormere en la tesniere	-⌫--|-⌫-|---|-|-|-------|
porrenartfon ta	--|-----|---⌫||
dieup ri ere	---|-⌫--⌫--|
chascun le proie	------|-|----|
garissee tsec ore	------|-⌫|---⌫--|
de s ona n e milescremisse	-|-⌫-|-⌫-⌫-⌫-||---------|
qu e nbataillenel e	-|-⌫|-------|-|-⌫|
aussisif il	----|-|-⌫-|
ensa meson	-|-|----|
fontchascunadieu oro ison	---|------||---|---⌫---|
por le perequi	--|-|---|--|
ta ntles ain me	--⌫-|--|---⌫-|
qua nt illes uoit bi ausfilz les	---⌫-|-|--|---|--⌫--|---|--|
hersentprie	------|---|
porsons ei g nor	--|--|-⌫--⌫-⌫--|
qu edieus li face	--⌫|----|-|---|
telhen no r	--|---⌫--⌫|
queia delabataillenisse	--|-|-|-|-------||---|
etqueren ar t uaintrele	-|--|---⌫--⌫|------|-|
q uemoultso uefli fistlacho se	-⌫-|----|--⌫--|-|---|-|---⌫-|
enl ates niereouer t	-|-⌫|---⌫----|-|--⌫|
nen issist	|-|-----|
complai nte	-------⌫--|
mes yse ngr inqui	--|---⌫---⌫-|--|
l otatainte	|-|------|
enfistcomplainte	-|---|---------|
dont li pois e	---|-|----⌫|
m oult aenlui bele	-⌫---||-|--|---|
b oriois e	-⌫------⌫|
tu i t sont	--⌫-⌫|---|
a cortetp o ureet	|---|-|-⌫-⌫--|-|
y seng ri nmetra enla briche	-⌫----⌫--⌫|----|-|-|-----|
puet e nlabatai lle	---|-⌫|-|-----⌫--|
niuaudrasonengi n maaill e	||-----|--|----⌫|------⌫|
quant lirois uoitsagent ue nue	----|-|---|---|-|---|--⌫--|
laou lab at aill e ertte nue	-|-|-|-⌫--⌫----⌫|--|--⌫--|
brichemer fi st	--------|--⌫-|
auantu enir	----|-⌫---|
poracor deret por	--|----⌫--|-|--|
le iugem ent de la	-|-----⌫--|-|-|
l e droitai lle	-⌫|----|--⌫--|
br icheme restuenuzaua nt	--⌫------⌫|--|----|---⌫-|
et distqui lfer aso n	-|---|-|-⌫|---⌫|--⌫|
asoi atret	|--|----|
yydes barons	-|--|-----|
des plus ha usrenons	--|---|--⌫-|-----|
lelie partifule p r emiers	-|---⌫---||-|-|-⌫-⌫-----|
q u imoultfu corag eusetfiers	-⌫-⌫|----|-|-----⌫--|-|----|
et baucent quiot	-|------|--|-|
le corsg ros	-|---|-⌫--|
etmesirebruiant li tors	-|-|---|------|-|---|
cilyysontauant	--|-|---|----|
qaraplussagessonttenu	--||---|----|---|---|
quifussent	--|------|
c el ior en laplace	-⌫-|--|-|-|----|
niace l ui	|||--⌫-⌫-|
qu ibienne lfa ce	--⌫|---|-||--⌫-|
zzgrantiuge ment	-|----|----⌫---|
etu n eca usesostenir	-|-⌫-⌫|--⌫--|-------|
tuit yyuontaz zconsei l	---|-|---||-⌫|------⌫|
distbr ich emermou l tme	---|--⌫---⌫---|---⌫-⌫|-|
serenartosast c e	-|-----|----|-⌫|
dontnos loome sacus er	---|--||----⌫|----⌫-|
arooneleta tyb e rt	|-----|-||---⌫-⌫-|
orsqui moultno ssert	--|--|----|--⌫|---|
desautresclamorsiatantes	--|-----|------|||-----|
que i en esaiadireqan tes	--|-⌫|-⌫|--||---|---⌫--|
plaintettiecelin	-----|-|-------|
toutapr i s sorlui	---||--⌫-⌫|--|--|
por t res tozabaillié songage	--|-⌫---⌫--||-------|--|---|
en aliurezostage	-||-----|-----|
queil h ui connoistre	--|-|-⌫-|---------|
seilui e nnentenmil aplace	-|-|--⌫-⌫----|---|-⌫|----|
seignorsquipeust abes sier	-------|--|----|----⌫---|
le ma lostereta pessie r	-|--⌫|----|-|-⌫------⌫|
bonsens c em estauis	--|---|-⌫||--|---|
aiiebie nditque	-|-|---⌫|--|--|
uo s estu is	--⌫|--|-⌫-|
bau centrespont bi e n auezdi t	---⌫---|------|--⌫-⌫|---|--⌫|
tu it l otroionsa nz contredit	--⌫-||------|--⌫-|--------|
tui t yy en sontu enu auroi	---⌫|-|-|---|-⌫--|-|--|
ets i liont dist en recoi	-|-⌫|-|--|---|-|----|
sireuostreb ar on loass ent	---|-----|-⌫--⌫-|-----⌫--|
cha mpionsacorda ssent	---⌫----||------⌫----|
sauuet onor ettaquerele	----||---|-|-|------|
mou ltte nisson lapesa be le	---⌫-|--⌫-----|-|--||--⌫-|
moul tplest au roi ce quil ontdit	----⌫|----|-|--|-|-|-|--|--|
iapa rlui nenserontde s dit	-|--⌫|--||-|-----|--⌫-⌫--|
seignorsfetiloren parlez	-------|--|-|-|-|-----|
ysengrinpremierapelez	-------|------|-----|
du toutla querelea	-|---|-|------||
am oinoien tnenapar tient	|-⌫-|-----⌫||-|----⌫----|
fors solementd u droitten i r	---|-------|-⌫|----|---⌫-⌫|
dusorplusuos	-|------|--|
laisc ouenir	---|-⌫-----|
m oine poises e ilsacordent	-⌫-|-|----|-⌫|-||-------|
ne uoilque	-|---|--|
por moise d e sc ord ent	--|--|-|-⌫-⌫--⌫---⌫--|
mie usuoill apesmieus que	---⌫-|---|-⌫|--|----|--|
deuerseusl apouezenquerre	-----|--|-⌫|----|-------|
qua ntbricheme r	---⌫-|--------⌫|
l aentendu	||------|
tornez se nes tcolestendu	-----||-⌫|--⌫|--|------|
aysen grin dist en loreill e	|----⌫---|---|-||------⌫|
que lirois	--|-|---|
for m ents eme rueille	---⌫-⌫--|-⌫|--⌫------|
quennepuetpesentre uos me t re	-|-|-|---|--|----|--|--⌫-⌫-|
done rne p or	----⌫|-|-⌫-|
pr ametr e	--⌫-----⌫|
fa i tesl ebienpre nezdr oiture	--⌫-⌫--|-⌫|---|---⌫--|--⌫-----|
q uerenartpor sa forfa iture	-⌫-|-----|--|-|-----⌫----|
de laclam orc a u ezdreci e	-|-|----⌫-||-⌫-⌫-|-----⌫|
q ue uofameaenf orcie	-⌫-|-|---||---⌫----|
dis tysengrinnenparl ezpas	---⌫|-------||-|----⌫-|--|
ieuoilbatailleignel epas	-|---|-------|-----⌫---|
certes ian	-----|-||
enfer eacorde	-|---⌫|-----|
q ueautre fo iznesi	-⌫-|----|--⌫-|-|||
son compere	--|------|
nefoutre iamessa conmere	-|-----|----|-|------|
ie uerraibienquiauradroit	-|-----|---|--|---|----|
br ichemerdistque iluoudroit	--⌫------|---|--|-|-------|
quela chosefust	--|-|----|---|
si dui teet si	-|---⌫-|-|-|
queandu if ussen tbon	--|----⌫|-⌫-----⌫|--|
cest la itquilsoient ane mi	|--|--⌫-|-|-|-----|---⌫-|
etquechas cunsond roiteust	-|--|----⌫--|--|-⌫---|---|
queamaltorne ́ne	--||--|-----⌫|-|
dis tys engr inia deusneplace	---⌫|--⌫----⌫-|-|---|-|----|
qu eiepesn acordance	--⌫|-|--||--------|
tantque ie	------|-|
uoie leplusfort	---|-|---|---|
etque saurequiauratort	-|--|----|--|---|---|
bien mep orratenir	---|-|-⌫---|----|
seielenlais	-|-||-|---|
a ler del i ure	-⌫--|---⌫-⌫--|
ditesl eroi etson barnage	----|-⌫|--|-|--|------|
q ue biensachent et	-⌫-|---|------|-|
fo let sage	--⌫|-|---|
quepor noien tla	--|--|-----⌫|-|
pe srequiert	--⌫|-------|
iacedist il	-|-|---|-|
auferen er t	-|---||--⌫|
cha scun dira ce qu iluodra	---⌫---|---|-|-|-|----|
elchampue rron	-|----|--⌫---|
quiuaintera	--|-------|
ditesler oique ad roittiengne	----|-|-⌫-|--||-⌫---|------|
labata ille	-|----⌫---|
conmentquilpr an gne	------|-|-|--⌫--⌫--|
q uantbrich emeroten	-⌫---|-----⌫---|-|-|
netr oue rauersysen grin	-|--⌫---⌫-|---|----⌫---|
auroi aditel anouele	-|--||---|-⌫|-----|
dequoisi relirenouele	-|---||-⌫-|-|-------|
si re fetilamoien tent	--⌫-|--|-||--|--⌫---|
ysengri nlabataille atent	-------⌫|-|-------|----|
il nacurede ferepes	-|||---|-|---|--|
etd istq u ilneferaiames	-|-⌫--|-⌫|-|-|---|----|
nuleaco rde seelchamp non	---|---⌫--|-|-|----|--|
que len let endro it abric on	--|--|-|-⌫-----⌫-||----⌫-|
orestli plezmoultenpiri ez	-|--|-|---|----|------⌫-|
queli roi ssisestcorouciez	--|-|---⌫|-||--|--------|
orgoilquisengrinadit	-----|-|-------||--|
quantdepes	----|-|--|
fer esescondit	---⌫||-------|
distbrichemerseuosuolez	---|--------|-|--|----|
dro it feresi con uossolez	---⌫-|---|-|--|--|----|
etsit enez l a d roite uoie	-|-|-⌫---|-⌫|-⌫----|---|
ceest lemieu s que	-|--|-|----⌫|--|
qles m e tez	|--|-⌫-⌫--|
penstchascundegarder son cors	----|------|-|-----|--|---|
qua ntil seronten m ila pla ce	---⌫-|-|-----|--⌫-⌫|-|---⌫-|
qu imieusporra feresiface	--⌫|----|----|---|-|---|
c edist liroi spar sa in tri chier	-⌫|---|-|---⌫|--|--⌫--⌫|--⌫----|
por uos le	--|--|-|
puisbienafichier	---|---|-------|
nenprand roiepastot l	|-|-----⌫---|--|--||
quel iplus richespuistauoir	--|-⌫|---|-----|----|----|
queiel abataillen	--|-|-⌫|-------||
nesaiqu irai eate ndant	-|--|-|----⌫|---⌫----|
el cha mples meton	-|---⌫-|--|----|
maintenant	---------|
qu antlap a roleonte nten d ue	--⌫--|-|-⌫-⌫---|--|-⌫----⌫-⌫-|
labatail leertsanza te ndue	-|------⌫-|--|---|-⌫--⌫---|
silesontmis	-|--|--|--|
liplus hardizde	-|---|-----|-|
pe or tremb le	--⌫-|-----⌫-|
lun tenoit lautre	|-|-----||----|
par lamain	--|-|---|
li ro isa pelezzchapelai n	-|--⌫-|-⌫---|-|--------⌫|
monseignor	--|------|
belinle mouton	----|-|-----|
quesages estpointnen	--|----|--|----||-|
cilaportelesaintuaire	--|-----|-|---------|
sorquoidurentserement faire	--|---|-----|-------|----|
fait crier sonban	---|----|--|--|
quiln i ait nul	-|-|||--|--|
detelboban	-|--|----|
quifac enoise	--|---⌫|----|
enpaisseti engne	-|---|-|--⌫----|
conmepreu donmesecontiengne	----|----⌫----|-|---------|
mou ltf uliroisdegran ti ustice	---⌫-|-⌫|-|---|-|----⌫|-⌫-----|
duserementfait l adeuise	-|-------|---|-⌫|-----|
d ant bricheme r etbrun li or s	-⌫--|--------⌫|-|---|-|--⌫|
qu elentenoitas	--⌫|--|-----|-|
yymeillors	-|-------|
d euiser ent le	-⌫------⌫--|-|
o ia nttrestoza pertement	-⌫--⌫-|------|-⌫--------|
seignorsfaiti l or entendez	-------|---|-⌫|-|-------|
re na rt iu rrapremie rement	--⌫--⌫-|--⌫--|------⌫-----|
etmetra ensonserement	-|----|-|--|-------|
qu a ysengrinnenatort fait	-||-------|--||---|---|
nea tyber tl echatmesfait	-||-----⌫|-⌫|---|------|
nati e celin n	||--⌫-⌫----||
a la m esenge	|-|-⌫-----|
naroo nelconmen t	||---⌫--|------⌫|
quilpr angne	-|-|--⌫----|
n eabruiantnacha ntecler	-⌫||------|||---⌫------|
esco uintiurer	----⌫---|----|
longuement fuaoroison	---------|-||------|
et fue ngrantaflicion	-|-|-⌫|----|-------|
renartfait e sle	-----|----⌫-⌫|-|
sairemen t	--------⌫|
cioiant nos ap er tement	-|----|--|--⌫--⌫-----|
renartsagenoille	-----||--------|
moultsa pareilleet sere br ace	----||-⌫-------|-|-|--⌫--⌫--|
sain sestent	----⌫|-----|
s i aiurépar saintgermai n	-⌫||----|--|----|------⌫|
etpa r l es sainsque illuecuoit	-|--⌫|-⌫-|----|--|-----|---|
quedecelplet n ul tort	--|-|--|---|-⌫-|---|
le ssainsbesaetpuisselieue	--⌫|----|---|-|---|-|----|
aysengrindur ement grieue	|-------|---⌫----|-----|
q u eilfetac roi re poruoir	-⌫-⌫|-|--|--⌫---⌫-|--|---|
la menconge sor lesauoir	-|-------|--|-|-----|
atantse rest a genouz m is	----|-|---||-----|-⌫-|
d istbrichemerbiau dozamis	-⌫--|--------|---|--|---|
u os iurezque	-⌫-|----|--|
re nart e stfaux	--⌫---|-⌫-|---|
duseremente tuos	-|-------|-⌫|--|
distysengrinielecreant	---|-------|-|-|-----|
l essainsbesesilieueatant	-⌫-|----|---|-|----|----|
puissest leuezet si	---||--|----|-|-|
enm ile champso roisonfai t	---⌫|-|----||-⌫-----|---⌫|
e tpriedieuqu itot	-⌫|---|---|--⌫|--|
q ue illi l est uengiersah on te	-⌫-|-|-|-⌫--|------|-|-⌫--⌫-|
derenartq ui	-|-----|-⌫-|
l iafait lait	-⌫||---|---|
qu eaupartirl	--⌫|-|-----||
anor enait	---|-|--|
terre si sedresce	----|-|-|-----|
s onbasto nati reeta f aite	-⌫-|-----⌫|---⌫-|-|-⌫-⌫---|
souentler etornoie	-----|-|-⌫-------|
ens esdoizlacorroiepl oi e	-|-⌫-|---|-|------|--⌫--⌫|
sonb astonpran tetsilemoille	--|-⌫----|----⌫|-|-|-|-----|
en plusors	-|------|
lieus sonba ston soille	----|--|--⌫---|-----|
tout ento ren c lin e a lagent	---|----⌫|--⌫-⌫---⌫||-|---|
moultsedemai nnesagement	----|-|-----⌫--|-------|
arenartdistque	|-----|---|--|
i l segart	-⌫|-|---|
