#META# TextURIDancusM	-----|------|------|
#META#DEAF http/ /ww w.dea f-pa ge. de/bib l/bib99d.php #DancusM	-----|---|-----⌫---⌫-----⌫----⌫---⌫------⌫------------⌫-------|
#META #FEW	-----⌫|--|
#META#ARLIMAhttp s//www.arlima.net/qt/roi_dancus_liure_du.htm l	-----|-----|----⌫--------------------------------------------⌫|
#META #Author	-----⌫|-----|
#M ETA#AuthorBorn	--⌫---|---------|
#META#AuthorBornAmb	-----|------------|
#META#AuthorDi ed	-----|--------⌫-|
#META# Author DiedAmb	-----|------⌫------|
#META#Au thorFl1	-----|--⌫------|
# META#AuthorFl2	-⌫----|--------|
#META#TextTitleLiureduroiDan cus	-----|--------|----|-|--|---⌫--|
#META#TextSubtitle	-----|-----------|
#META#Textuols	-----|-------|
#MET A #T extSubi	----⌫-⌫|-⌫------|
#META#TextDom	-----|------|
#ME TA#Tra nslationtrue	---⌫--|---⌫-------|---|
#ME TA#Co ll e ctionCab inetdeuénerie	---⌫--|--⌫--⌫-⌫----|---⌫---|-|-------|
#META# Col lectionNo6	-----|---⌫--------||
#META#T extDe scA RL	-----|-⌫-----⌫---⌫-|
#META#TextD e s cuers	-----|-----⌫-⌫-⌫----|
#META # TextDateARLXII Iesiècle	-----⌫|----------|---⌫-|------|
#META#Tex tDateAd i13	-----|---⌫-------⌫|-|
#META# TextD ateMin	-----|-----⌫-----|
#M ETA#TextDateMax	--⌫---|----------|
#M ETA# EdE ditor Marti n-Dairuault	--⌫---|---⌫----|-----⌫----------|
#MET A# EdPla ceParis	----⌫-|-----⌫-|----|
#META#E dPu bli she rLi brairiede s Bibliophiles	-----|-⌫---⌫---⌫---⌫|--⌫------|--⌫|-----------|
#META #Ed u ol	-----⌫|--⌫-⌫-|
#META#EdYear1883	-----|-----|---|
#META# EdPage s1 -29	-----|------⌫|-⌫--|
#ME TA#MsBaseP ar is BnFfr 12581	---⌫--|-----|-⌫--⌫-|--|-|----|
#META#MsNum 2	-----|----||
#ME TA#MsDateAR L	---⌫--|--------⌫|
#MET A# M sDat eAdi	----⌫-|-⌫----⌫---|
#META# Formp	-----|---||
#ME TA#Complet etrue	---⌫--|-------⌫|---|
#META#N oWo rds	-----|-⌫---⌫--|
#ME T A #NoLi nes	---⌫-⌫-⌫|----⌫--|
#META # Di alAuth	-----⌫|--⌫-----|
#META#DialScribe	-----|---------|
#MET A#ScanURLhtt ps//archiue .org/details/le liureduro idan00al be go og	----⌫-|------|---⌫-----------⌫---------------⌫---------⌫--------⌫--⌫--⌫-|
#META# ScanURIO the r	-----|--------⌫---⌫|
#META#ArkIDa rk /1396 0/t8w9 58d55	-----|----|-⌫--⌫-----⌫------⌫----|
#META#LccnID	-----|-----|
#ME TA#OclcID	---⌫--|-----|
#MET A#WebAuthorDauid IosephWrisley	----⌫-|--------|----|-----|------|
#META#ORCIDWebAuthororcid. org/0000-000 2-035 5-1487	-----|-------------|------⌫------------⌫-----⌫-----|
#META#WebRe uiewer	-----|-----⌫-----|
#MET A# ORCIDReuiewer	----⌫-|------------|
#META#MiscInfo	-----|-------|
#META#CCLice nseC CBY-NC-SA4.0	-----|------⌫--|-⌫|-------|--|
Inte rnati onal	----⌫-----⌫---|
IIIi orsenIIIiorset se	--|-⌫--|-|--|---|-|-|
tulesba ignes	-|--|--⌫----|
il sanor guillissent etsa nfuie nt. Nus	-||----⌫----------|-||-⌫-----⌫--|--|
maistre sne seittant denaturede faucons	-------⌫|-|---|---|-|-----|-|------|
que ilsache	--|-|----|
doùilsontetd ou ̀il issirent	|--|-|---|-||--⌫|-|-------|
ausiscomcil	----|--|--|
maist resGuillaum esquiplus	-----⌫--|--------⌫-|--|---|
en se tque	-|--⌫|--|
tui tau tre	---⌫|--⌫--|
Li fa uconsquipremiers appa r urent au	-|--⌫----|--|-------|----⌫-⌫----|-|
mondeilles	----|-|--|
quonnut. Iluindrenten Babiloine	-------|-|-------|-|--------|
enlamontainnedeGilboe.Den qui	-|-|--------|-|------|---⌫--|
uind ren tenE scla uo nieadPalunudum	----⌫---⌫|-|-⌫----⌫--⌫--|-|--------|
quiestinpe rtincncia Policastri.	--|--|-|--⌫--------|----------|
dePali nudiet lie spri uierde Bruc a	-|----⌫---|-|-|-⌫----⌫---|-|----⌫|
oi s tordE s clauoniei cistsonttuitlo	--⌫-⌫--||-⌫-⌫-------|-⌫---|---|---|-|
me ill ordoumonde. Lifauconblanc etr ouge	--⌫---⌫-|--|-----|-|-----|----|-|-⌫---|
eissirent des	--------|--|
noir setlifaucon sm aasles	----⌫|-|-|------⌫|-⌫-----|
des noi rsf umorse tlafemele demoraet	--|---⌫-|-⌫|---|-⌫|-|-----|-----|-|
amorunsoisiaus li	---|--|------|-|
a pparut q uies t oit	-⌫-----|-⌫-|--⌫-⌫--|
dizbucalins etla tint	--|-------|-|-|---|
Pageu01P025	----------|
issirentcilfauconquiontl e s penn e s	-------|--|-----|--|--|-⌫-⌫|----⌫-⌫|
blanche set son tausiscomme ano u ltre	-------⌫|-|---⌫|----|----|---⌫-⌫---|
etporcesonte i nsishardi	-|--|-|---|-⌫-⌫---|----|
bonse pa r auc unecolpene	--|-|--⌫|---⌫--|----|-|
uient.Liautre	-----|-|----|
f a uc onquisontrougeissirent	-⌫-⌫--⌫-|--|---|----|-------|
eins isdespremiersn oirsentel	----⌫-|--|-------|-⌫---|-|--|
que lanoi re perdi	--|-|---⌫-|----|
son mariet	--|---|-|
s acompaigna	|---------|
àl aba relloet	-|-⌫---⌫----|-|
ot co mpaignieà	-|--⌫-------|-|
luietensont n élirouge etcilson t	--|-|-|---|-⌫-|-|----|-|--|---⌫|
hardi m ais	----|-⌫--|
tropgran ttrauailsi	---|----⌫|------|-|
les contrainen	--|-------|-|
telme nieredon elitria	--|--⌫----|---⌫|-|---|
purga toria doucuirdege lineeniaueetle	-----⌫----|--|---|-|--⌫---|-|---|-|-|
met enoscuretlelaisseesteri usqueà	--|-|----|-|-|-----|----|-⌫----|-|
laubedouior	|---|--|--|
le chaufe aufeu et	-|-----|-|--|-|
u aoise lere t adésle	-⌫|----⌫--|-⌫|----|-|
tienpl usmai gre q ue	---|--⌫-|---⌫--|-⌫-|
lesautres fa uc on s.	--|-----|--⌫--⌫--⌫-|
Lefauconn oirtenr asentelmen iere	-|-----|-⌫--|----⌫-|-|--|---⌫---|
tropmaigrenetr o pgrasetle constrain	---|-----|-|--⌫-⌫|---|-|-|--------|
dep urgatoiresde	-|-⌫---------|-|
nelemetpas	-|-|--|--|
en iaues e il nest or gu ill e us	-|---|-⌫|-||--|--⌫--⌫---⌫-⌫-|
e t seilest	-⌫|-|-|--|
orgu eilleusmetlespurgatoiresenli aue	----⌫------|--|--|----------|-||-⌫--|
tamainquea utres faucons	-|---|--|-⌫----|------|
etg arde que il	-|-⌫---|--|-|
neuoie ang uile car	-|---|---⌫---|--|
Pageu0 1P026	------⌫----|
aprés neuo rro itp anre	-----|-|--⌫---⌫-|-⌫---|
oise letg arde	----⌫|-|-⌫---|
comt upuez que n ulechose nat ouc he	--|-⌫|---|--|-⌫--|----||--⌫---⌫-|
s espennes quant	-⌫-|-----|----|
tu le gietes as o isiauset	-|-|-----|-|-⌫-----|-|
g ardequetunema ig nes mauuaisement ta	-⌫---|--|-|-|--⌫--⌫--|-----------|-|
ma incar ilperdrait	--⌫-|--|-|-------|
la uolantéde panre	-|-------|-|----|
gitoiesmaliceest lameillo r	------|--|--|--|-|------⌫|
conoissanceà t ouzquisoit	----------|-|-⌫--|--|---|
Blancfaucon sont bonet	----|-----|---|--|-|
quantilsont	----|-|---|
por tepasoisel er	---⌫-|--|-----⌫-|
iuqueil seront mué etaprés la	----|-|-----|---|-|-----|-|
sontparfait.	---|-------|
Tui tmaistredient que fauc on s quiprant	---⌫|------|----|--|----⌫--⌫|--|----|
achirorempertlauo lonté depanre.Mais	--------|---|-|--⌫-----|-|-----|---|
m aistreGuillaumesfait iça u sfauçaires et	-⌫-----|---------|---|----⌫-⌫|---------|-|
m ançon gie rsentelmeni erequeseil	-⌫------⌫---⌫-|-|--|----⌫--|--|-|-|
achiroremsien	--------|-|-|
ma niucetant c ommeil	--⌫----|---|-⌫---|-|
uoudramais queilnemaniuce lesanc	-----|---|--|-|-|------|-|---|
chars queil maniue	----|--|-|-----|
lifaitpanreles	-|---|----|--|
g ruesnenanpe rt pasl a uolo nté	-⌫---|-||-|--⌫-|--|-⌫|----⌫---|
p orlesanctant	-⌫-|-|---|---|
seule mentet cee sproua	-----⌫---|-|-|-⌫-----|
maistresGuillaumesquip lusen sauoit	-------|---------|--|-⌫--|-|-----|
nusqu iuiu e.	--|--⌫|---⌫-|
Qua nttuuue s faireleslaniersfaucons	---⌫-|-|---⌫|----|--|------|------|
Page u01P027	----⌫------|
gruierssimet enuneuolt esouzte rr e	------|-|--|-|--|----⌫|---|--⌫--⌫|
fauconslaniersque il n e uoientcla rtémais	------|------|--|-|-⌫|-----|---⌫---|---|
quelorsq u illes esbatsor	--|-----⌫|-|--|----|--|
s amain par	-⌫|---|--|
nui t et deuant le ioruaois eleretqua n tl i	---⌫|-|-----|-|--|-|---⌫---|-|---⌫-⌫|-⌫|
iorsestnezanuoie -lesà	---|--|--|------⌫---|-|
une gruelongue .	--|---|------⌫|
Enic eluiuas enuainas	-|--⌫---|--|-|---|-|
oisiaus.Donelor	-------|---|--|
s e ulementla	-⌫-⌫------|-|
ceruelede l a geline etla	------|-|-⌫|-----|-|-|
enuinpur.Et fait	-|--|---|-|---|
doufeuencele fosse	--|--|-|---|----|
où ildemoure nte tquantel e serachaude	--|-|-------⌫-|-⌫|----|--⌫|---|-----|
sienost ele feuet les met iqui lueques	-|-|---⌫|-|--|-|--|--|----⌫------|
ei nsis san z doutes erontgruier	--⌫---|---⌫|----|-⌫----|-----|
de lamoitié	-|-|------|
deioing netiuque à l a moitié	-|-----⌫--|----|-|-⌫|------|
Et situ l es mu e s	-|-|-|-⌫-|--⌫-⌫|
ilsseront meilloraprés	--|-----|------|-----|
mueetquant	--|-|----|
lifroi zu enrasilesl a isse	-|----⌫|-⌫---|-|--|-⌫-⌫---|
ualentrienset ce estesproué.	-----|----|-|-|--|--------|
Quiconquesmaistresuu et oiselersine	---------|-------|--⌫-|------|-|-|
uo is e pas	--⌫--⌫|--|
m oultas o es se ce	-⌫---|-|-⌫-|-|-|
necessitécar ilsontpl usdoesque	---------|--|-|---|--⌫-||--|--|
ois iauset p orce	---⌫---|-|-⌫-|-|
uailas oes	-|-|-|--|
gietesasa utres	-----|-|-⌫----|
oisiaus t outeuoi eest bone	------|-⌫-------⌫|--|---|
chosedegiteras oescar	----|-|----|-|--|--|
eleslesf o ntha rdiz	---|--|-⌫-⌫-|--⌫---|
etsioisele po que t u it	-|-|-----|-|--|-⌫-⌫-|
grantoiselle	----|----|-|
lassentmoult.	------|-----|
Pageu01P028	----------|
Dautrenaturesontf aucon	|----|-----|---|-⌫----|
etsontapelé	-|---|-----|
esmerillonets ontpet it etbonetp arfet et	---------|-|-⌫--|---⌫-|-|--|-|-⌫----|-|
prannen t touzoisiaus quelconques .Li	-------⌫|---|------|-----------⌫|-|
espriu ier	------⌫--|
prannente tplusuolentque	-------|-⌫|---|-----|--|
autreoise l .	----|----⌫-⌫|
Limais tresquiuiauto iselericesfaucons	-|----⌫---|--|----|-⌫-----|---|------|
ilcouient que	-|------|--|
il lesfac e ois el er dedanz	-|--|---⌫|---⌫--⌫-|-----|
uIII iorscara prés sontcorrompuet ne	---|---|--|-⌫----|---|-------|-|-|
u alentriensma is tou teuoi elib ons mai st res	-⌫----|----|--⌫-|---⌫-----⌫|-|-⌫--|---⌫--⌫--|
l orpuetfa i repanregru espar tele	-⌫-|---|--⌫-⌫-|----|---⌫-|--|---|
d iéte e tpar	-⌫----|-⌫|--|
tele deuisioncomli a ut re faucon	---|-------|--|-|-⌫--⌫-|-----|
etse tulor u ues f ai re p anregrue sil	-|-|-|--|-⌫--|-⌫--⌫-|-⌫---|----⌫|-|
couientauoirxiiesmerillon s.	------|----|--|----------⌫-|
Etquant uosuerrezq ueuos t reoisel	-|----|--|-----|-⌫-|---⌫-⌫-|----|
serontpo uilleu sc e st	-----|--⌫------⌫||-⌫-|
àdirepl ainde	-|---|--⌫--|-|
pren ezdemieliure	----⌫-|----|----|
ou plu sselo nc	-|---⌫|----⌫-|
lioi sia u sestg rans de straphis areet la	-|--⌫---⌫-⌫|--|-⌫---|-|--------⌫--|-|-|
ba tezet metezenune paeleplainned	--⌫--|-|----|-|--|----|------||
etlafaitesboul iretqu ant eleserarefroidiée	-|-|-----|----⌫-|-|--⌫--|--|---|----------|
si lauezl oiselsimorr o nt li	-|----||----|-|----⌫-⌫-|-|
Quantuostreoisel brisentaucunsdelor	----|-----|----|------|-----|-|--|
onglesouarrachentparauentu r e	-----|-|--------|--|------⌫-⌫|
dat eset li liezdesusl e	---⌫-|-|-|---|----|-⌫|
mal à Ipode c enda l	--|-||-|-|-⌫----⌫|
Pageu 01P029	-----⌫-----|
entel meniere quilne puisse	-|--|------|-|-|-|-----|
siliad ouc ira lipiezetli	-|-|--⌫---⌫--|-|---|-|-|
ongleslireuenra	-----|-|------|
tost.Etquant tu uuestostf aire muerI	----|-|----|-|---|---|-⌫---|---||
faucon sipranIgrantserp ent	-----|-|---||----|----⌫--|
etle cu is	-|-|--⌫-|
paëleoù ilaitg rant	-----|--|-|--|-⌫---|
p lantédeiaue	-⌫-----|-|---|
etl ecuissibie nquetoutela	-|-⌫|---|-|---⌫|--|----|-|
charlichiée	---|-|-----|
desoset puissip rantdoufromant	--|-|-|---|-|-⌫---|--|------|
meillorquetu po rrasauoir e tlecui s	------|--|-|--⌫---|----|-⌫|-|---⌫|
liaueo ùliserpensseracuiz e t p ranII	|---|-⌫-|-|------|---|---|-⌫|-⌫--|-|
gel inesouIII	---⌫---|-|--|
bi en granzetlesm etez	--⌫-|----|-|--|-⌫---|
un eiaoleetlor do neza mangier	--⌫|----|-|--|--⌫--||------|
b lefetelesplumeronttou tes et	-⌫--|-|---|--------|---⌫--|-|
demorr ont	------⌫--|
toutesnuesporleueni n quiseraoublef	-----|---|--|-|----⌫|--|---|-|---|
qu elesaur ontmangié.P uispren ez	-|---|---⌫--|-------|-⌫--|----⌫-|
gel inesetendon nezamang ier	---⌫---|-|-|---⌫--||----⌫--|
àuozfaucons	-|--|------|
etil mueron t	-|-|------⌫|
tantost etgît e ronthors	------|-|----⌫-⌫---|---|
lor penneset re ua nront b oneset	--|-----|-|--⌫--⌫----|-⌫---|-|
§Ex plic it e tc.defalcon ibu s.	|--⌫----⌫-|-⌫--|-|------⌫---⌫-|
