enl enornostre	-||---|-----|
baptizez exm	-------||-|
s eetaumangi erquant	-⌫--|-|-----⌫-|----|
aigu olanzuinc au	----⌫----|---|-|
trefleroisi	---|-|--|-|
uitmol ttabbles	--|---⌫|------|
missese ma inzmengia nze nto r	-----||--⌫--|------⌫-|-⌫---⌫|
karle quarhoi aueit	----|---|-||----|
eu esques e	--⌫-----||
ab ezc he noinesseculerschenoines	--⌫-|-⌫--⌫-----|-------|--------|
reulie rs emoineseaig u o lanz	------⌫-||-----||---⌫-⌫-⌫---|
demand aaka rledech escunordre	------⌫||--⌫--|-|--⌫----|----|
queusgenz e stoente	----|---|-⌫-----||
cist de laisunt	---|-|--|---|
euesq ue denos tralo i	-----⌫-|-|---⌫--|--⌫|
cistnosesponent les	---|--|-------|--|
comandamenzdelaloi e absouue ntde	----------|-|-|--||-------⌫-|-|
nozpecheze si nosdonen t	--|-----||-|--|-----⌫|
labeneiconnostre s eignor e	-|-------|-----|-⌫-----||
lai s i suntmoin enoir e abe	--|-⌫|---|----⌫|---||--|
cosu ntsaintegen zcistne	-|--⌫-|-----|---⌫|---|-|
finent depro ier	-----|-|---⌫--|
seignorpa rnuite por	------|--⌫|---||--|
blanc dela	----|-|-|
chenoinereulerq uitenent l es	-------|-----|-⌫-|-----|-⌫-|
comandemenzde la aag ent	----------|-|-|-|-⌫--|
qu ifu iaausi egle	--⌫|-|-|-|--⌫---|
cil repreent	--|-------|
dambred epornos cist	-------⌫|--|--|---|
cha ntentl es ores	---⌫----|-⌫-|---|
nostra sei gnore	-----|---⌫---||
les messeselesmatines	--|-----||--|------|
apr es totso si uit	---⌫-|--|-|-|--|
aiguolanzyy	--------|-|
p ou res aunapartqui poureme nt	-⌫--⌫--||--|---|--|-------⌫-|
est oentuest u e s eoent	---⌫---|----⌫||-⌫----|
ase oenta terra s enz	---⌫---||----|-⌫--|
na pe esenz	--⌫-||---|
e pouremen t	|--------⌫|
me ngioentebeuoie n t	--⌫------||------⌫-⌫|
pet itlor d emandaaiguolanz	---⌫-|--|-⌫-----|--------|
queusg e n zcoestoient e xmli	----|-⌫-⌫-⌫|-|-------||-|-|
distcosuntlagentde	---|-|---|-|---|-|
co suntlimessage no stre	-|---|-|------|--⌫---|
xm cr istquepaissons	-|--⌫--|--|-------|
parcostume ches cun pars oi	--|------|----⌫--|--|-⌫-|
deu yyapostres	--|-|-------|
respo ndi a iguolanz cil qui	-----⌫--|-⌫-------|--|--|
seo ien t entortoi boneu re	---⌫---⌫|----|--|-----⌫-|
ato isunteassez	|--⌫|---||----|
meniu entebo iuent e ben	-----⌫--||--⌫----||--|
sunt u estu e si	---|-⌫---||-|
homes unt de l	---|-⌫--|--⌫|
to tcil de l a	--⌫|--|-|-⌫|
p or q ueimorenti ldefa im porquei	-⌫-|-⌫--|-----|-⌫|-|--⌫-|--|---|
suntilmaluaizement	---|-|-----------|
uestuep ar	----||-⌫-|
queiseientilsi no	---|-----|-|-|-|
leztoiepar que i	--|--||--|---⌫|
suntil menési	---|-|----|-|
mal ementciertsons eigno r qui silaidement	---⌫----|----|--|-⌫-----⌫|--|-|--------|
recetse smessagiesmoltgran thon te	----|--⌫|--------|---|----⌫|---⌫-|
fai t aso nseignorqui	---⌫||--⌫|------|--|
serg antsi laideme ntla	----⌫--|-|-------⌫-|-|
toaloizquetu	--|---|--|-|
estoitsimot rest u	-----|-|---⌫--|-⌫|
quela estfaus se	-|--|--|----⌫-|
lorstorna aiguolanzs isen	---|----|--------|-⌫||-|
asesgenzedistq ueiamais	|--|---||---|-⌫-|-----|
nese roitbap tizez lors conut	-|--⌫---|---⌫----|---|----|
k arlesque	-⌫----|--|
aiguol anzr efui z ot	------⌫--|-⌫----⌫-⌫-|
baptesmeporlespouresq uil	-------|--|--|-----|-⌫|-|
la i d em entdemenerlorsfitka rles	--⌫-⌫-⌫--⌫--|------|---|--|--⌫---|
querre t ozles	-----|-⌫-|--|
poures qui es teientenl	-----|--|--⌫-----|-||
robe sdoner at oz eassezamangi ere	----⌫|----||-⌫-||----||-----⌫-||
abeuree diluec	|----|||----|
encane mengia	-|-|-|-----|
onquespoure s a sa co rt nese	-----|-----⌫||-|--⌫-|-|-|
at abble ici deuentpr endra	|-⌫----|--|-----|--⌫----|
essampletuitcrestienmoltfo nta	-------|---|-------|---|--⌫-||
bla smertuit	---⌫---|---|
qui neseru ientben les pourese	--|-|----⌫---|--|--|-----||
qu ine lorfonth enor	--⌫|-|--|---|-⌫---|
icip erditxmaiguolantpar	--|-⌫----|-|--------|--|
pouresque lo m ne seruoit	-----|--|--⌫|-|------|
que seradeceluiau	--|---|-|----|-|
deliuizequile spoures	--|----|--|--⌫|-----|
amezn aura eseruiz coment	---||---||-----|-----|
il laioie nostr ese igno r	-|-|---|-----⌫|--⌫----⌫|
d epa rtezuo s	-⌫---⌫---|--⌫|
de mo ilifi lau	-|--⌫|-|--⌫|-|
deableal ez	-----|--⌫-|
enenf e reuf opardurabble	-|---⌫-⌫|-|-⌫|----------|
ogufaim euos ne	--|---||--|-|
m edonatesa	-⌫|------||
mangierc o	------|-⌫|
deur oientsauo ir tuit crestienqui	----⌫----|----⌫-|---|-------|--|
nostresei gnor creent eseuent	-----|---⌫---|-----||-----|
que lafe zneuautg airess	--|-|--⌫|-|---|-⌫----||
fontles oures q ui ai co	---|--|----|-⌫-||-⌫-|
a partenenteli apostresdist si	-⌫--------||-|-------|---|-|
corzest morzquantl	---|--|---|----||
armeenestforzautres iest	---|-|--|---|------⌫|--|
m ortelafoiz en seimeimesiil	-⌫---|-|---|-|--|----|-|-|
aouresautre si	|----|-----⌫-|
q ue nostrasir esnetrochemieen	-⌫-|-----|---⌫-|-|-----|--|-|
f oidelbaptesme	-⌫-|--|-------|
s inos n efaizonsles ouressi cum	-⌫|--|-⌫|------|--|----|-|--|
l ipa iens	-⌫|--⌫---|
qui refusabaptesme	--|-----|-------|
lesbones ouresalen demain	--|----|----|||--⌫-----|
sarmerenttuit	|-------|---|
d elunapa rt	-⌫||--|--⌫-|
dautrae uind rent	|----||----⌫---|
ensembleonchampparco nbatresi ot	-------|-|----|--|--⌫-----|-|-|
xmyymire homeseaiguola nz	-|-|---|----||-------⌫-|
yy m ire licrestien	-|-⌫--|-|-------|
tre sb a taill ieselisarrazin	---⌫|-⌫-⌫-----⌫--||-|-------|
lapr em eirauinconcha m p	-|--⌫--⌫---|---|-|---⌫-⌫|
eerraument	|--------|
si fu uencua	-|-|-----|
apre s reuinc	----⌫|-----|
esa nzcoqu e	|--⌫-|-|--⌫|
licres tian	-|----⌫---|
laussantadeseesisenfui	|------|-----|-||----|
quantli sarrazin	----|-|-------|
u irentueincre	-⌫----|------|
eissieles lorf uirsise	----||--|--|-⌫--|-|-|
tuit ense mb lee	---|----⌫--⌫-||
aiguol anzs	------⌫--||
est oit emmie us equantc o	---⌫--|---|-⌫-||----|-⌫|
nostre crestiensiles aceintren t	-----|-------|-|--|---------⌫|
detotesparzdelunapart	-|----|---|-||--|---|
arnauzdebeaulandeot sonos t del	-----|-|--------|-|--|--⌫|-||
autrepart estosotl es	----|---|----|-|-⌫-|
lautrapartarastain x	|----|---|--------⌫|
chi ualeriedelautrepart	---⌫------|-||----|---|
gaudabosdefrizeo t	-------|-|----|-⌫|
au trepart lienper eire s	--⌫--|---|-|-----⌫----⌫|
la ior ile stoient plus forta	--⌫|-|-|-⌫------|---|---||
de ro mpre elo rz xmde be aulande	--⌫--⌫---||--⌫-|-|-|--⌫------|
ot les soes genz si feri	-|--|---|---|-|---|
entraeus e	----|--||
siocisetua	-|---||--|
destraea senes tree	-----|||-----⌫--||
al a tantqu	--⌫|-----|
aaiguolant	|--------|
eiss icomaprozebons	----⌫|--||---||---|
chiualiers	---------|
sila ocis d	-|-|---||
sesenem ismainten antleua	--|----⌫-|-------⌫--|---|
uns criz moltgranz e	--|---|---|----||
nostra crestien seferirententra	-----|-------|-|-------|----|
less arrazinsdetotespars	--|-⌫-------|-|----|---|
lesocidrenttoz que n us n en	--|-------|--|--|-⌫-||-|
esc h apaforzliroisde	---⌫-⌫--|---|-|---|-|
e lamanco rslirei s	||------⌫-|-|---⌫|
senfu ire ntot molt poi	|----⌫---⌫-|-|---|--|
desarrazins	-|--------|
e nicelio rsi	-⌫|---|--⌫|-|
nostrec resti ensigrantplante	-----|-⌫-----⌫-|-|----|-----|
desancquecil	-|---|--|--|
qui esto ienta	--|----⌫---||
pie e ntroie ntensanc i usqu	--|-⌫------⌫-|-|---|-⌫---|
auscheuil i e stu itl isa rraz inqui	--|------⌫-⌫-⌫|--⌫-|-⌫|--⌫----⌫-|--|
f ur ent trouéenlacite	-⌫--⌫--|-----|-|-|---|
tuitfu rent ocis	---|--⌫---|---|
orpoez ueer	-|---|---|
que porcoque kar les se	--|--|-|--|---⌫--|-|
conbatetp o rlafei de l acres tiante	-------|-⌫-⌫|-|--|-|-⌫|----⌫-----|
o baigol antporcolocist	-⌫|-----⌫--|--|-||----|
ilepuethom	-||---|--|
bens auoir quemieuz	--|-⌫----|--|----|
uale t lanostraloiz	----⌫|-|-----|---|
quela lur neque	--|-|--|-|--|
nulanefait	---|-|---|
epor cosachianttuitc restian	|--|-|-------|---|-⌫------|
quesilneten oien t	--||-|-|---⌫----⌫|
lafe decuereilfissantlesour es	-|-|-|---||-|------|--|---⌫-|
lafoiapa rtenent	-|--|---⌫------|
ir ontsorles a ngresot	--⌫--|--|--|-⌫----|-|
no strese ignorxmcri st	--⌫---|--⌫----|-|---⌫-|
quiest n ost re che senosso me s	--|--|-⌫---⌫-|---⌫||--|--⌫--⌫|
soime mbre	--|--⌫---|
eli a pos tr es	|-|-⌫---⌫--⌫-|
dist qui plusen	---|--|---|-|
quarto tes choses sisunt	---|--⌫--|-----|-|---|
p oissa nz	-⌫-----⌫-|
aube n creentefermam en t	-|--⌫|-----||------⌫--⌫|
hi mo r tyy	-|--⌫-⌫|-|
mira sarrazinsey y	---|--------||-⌫|
m iracrestians	-⌫--|--------|
efitport er	|--|----⌫-|
le smartyrsx mcrista	--⌫|------|-⌫|----||
saint seurina	----|-----||
bordea u ons aintcementir e	------⌫|-|-⌫---|--------⌫|
efiteuesqueapanpelun e e	|--|------||--------⌫||
c henoinesefithiuna yglisede	-⌫-------||--|-|--|-----|-|
dam e aax ml orz	---⌫|-|-⌫|-⌫--|
aunax mtotesse s	---|-⌫|----|--⌫|
o z erenditgraices ade	-⌫||-----|------||-|
cest auictoireepuissen	----⌫|-------||---||-|
trus quaus porz dargeseiluec	----⌫-|--|---||----||----|
herberg ia	-------⌫-|
fort decut l i enemis	---|----|-⌫|-----|
nostres cresti ens	------|------⌫--|
parcoueitize	--|--------|
quareni celanuitsenblerent	---|-|-⌫---|---||--------|
uin d rentoncha mpo r la	---⌫-⌫---|-|---⌫-|-⌫|-|
ba tali eauoitestéeorli	--⌫----⌫|----|----||-|-|
mortgisoents i prist rent	---|------|-⌫|-----⌫---|
assez deloredelargente	----|-||-||-||-----||
autresrichezes ta nt	-----|-------|--⌫-|
cumiluogrentepuis	--|-|------||---|
m is trente lrepaireporu enir al	-⌫--⌫----|-⌫|------|--|-⌫---|||
mes li aumancors de cordis qui s	--|-|--------|-|-----|--||
estoit rebos entra	-----|----|----|
does montagn ies	---|-------⌫--|
sessar rezinslesuitueni r	--|---⌫-----|--|--|----⌫|
mistenlorenc ontr esi les	---|-|--|---⌫----⌫|-|--|
ocis t toz	----⌫|--|
eissique nusnen	----|--|--||-|
eschapasiest oient mil	------|-|---⌫----|--|
crestien cildonerentes s ample	-------|--|-------|--⌫-⌫----|
quis econbatent par	--|-⌫|--------|--|
l amo rxm crist quar	|---⌫|-|----|---|
sicumpuisqu il	-|--|-----|-|
ore ntuen cuzlor	---⌫-|---⌫--|--|
enemisrepairere ntausmo rz	-----|---------⌫-|--|--⌫-|
lac oueitizedelur auoir	-|-⌫-------|-|--|----|
e il furent ocis autresicil	|-|-----|---|------|--|
outgurpiles igle	--|----|-|-⌫---|
penite ncesni deuent	------⌫---|||-----|
iamaisreuenirq uil ne	-----|------|-⌫|-|-|
ocisparlurenemisco su ntli	---|--|--|-----|-|--⌫-|-|
diablesi cumacilqui	-----|-|--|---|--|
retornentauzestrang iesdespol i es	--------|--|-------⌫--|------⌫-⌫-|
il per dir ent	-|---⌫---⌫--|
la uiapr esenta	-|--|--⌫-----|
e morir entde	|-----⌫--|-|
laidemortautresi si	----|---|------|-|
lireligio home quilesiegle	-|------|---|--|-|-----|
ontgu rpiepuishi reuen entil	--|--⌫--||---|-|-----⌫--|-|
perdent la celest ia uuia	------|-|------⌫--⌫|--|
esi e nbrazcentlamortdu ra bble	|-|-⌫--------|-|---|--⌫--⌫---|
so tque cilmil	--⌫|--|--|--|
mortsi enfu m o ltdolenze	---|-|-|-|-⌫-⌫-|-----||
portera panpelunee	-----||--------||
a l ig lise	||--⌫---|
uniordistl omaka rleq ueamont	-|--|---|-⌫-||--⌫--|-⌫-|----|
ia rdri nauo itunprincequi	--⌫----⌫|---⌫-|-|-----|--|
nomfor re e uo le itseiot	--|---⌫-||--⌫--⌫-|--|-|
conbatre lorsala	-------|---|--|
so st amo nt iardrineforrezli	|-⌫-|---⌫-|------||-----|-|
manda que l	----|--||
en demainse	--⌫-----|-|
obluilorspreakarlesa nost ra	-|--|---|---|-----||----⌫-|
seignorqu illide most rast	------|-|-|-|--⌫----⌫---|
queu des agent	---|-|-⌫|---|
morrianten	-------|-|
batallie lendem ain s earmerent	-------||-----⌫--|-⌫|-------|
tuite sorceusqui	---||--|---|--|
morirsiaparutunacroiz	----|-|-----|--|----|
to tarogiacoma s a inx	--⌫-|----|---|-⌫-⌫--|
esp aulespardes us	---⌫----|--|---⌫-|
les auber c z	--|-----⌫-⌫|
quantuit icos i	----|--|--|-⌫|
lesen clousit	--|--⌫------|
en un mostiertozquari l ne	-|-|------|--|---|-⌫|-|
miequ ilmu rissant enl abatalli e	--|-|-|--⌫------|-|-⌫|-------⌫|
liiugiamenznostre	-|--------|-----|
seignorne trespasserninus	------|-|---------|-|--|
nendoitreprendre	|-|---|--------|
labatail le	-|------⌫-|
fufaita e forrezifu	-|----||-----||-|
ociseyy mired e	---||-|---|-⌫|
sarraz i nsque d enauarraq u ede	------⌫-⌫-|--|-⌫|------|-⌫-⌫|-|
sarraz inesmap uisuintxm	------⌫-----|-⌫--|---|-|
auoitenclos	----|-----|
mos tier si les	---⌫---|-|--|
sies to entyyde	-|--⌫--⌫--|-|-|
sa inte con p a g niede cezconbateors	--⌫---|---⌫-⌫-⌫-⌫--|-|--|---------|
p oezoirmerue l i es quar par cone	-⌫--|--|-----⌫-⌫-⌫-|---|--|-|-|
pe rdirenti lmiela corona	--⌫------|-⌫|--|-|-----|
quil d euo e ntauer qu arne	-|-|-⌫---⌫-⌫-|---|--⌫-|-|
morirentpa rglaiu ecomamarty r	-------|--⌫|-----⌫|---|-----⌫|
l orspristliempere ires le	-⌫--|----|-|------⌫---|-|
cha stelde	---⌫---|-|
mont i ard rin etot alater ra	---|-⌫---⌫--||---⌫|-|---⌫-|
d e nauarrae	-⌫|------||
fitpor ter les	--|---⌫--|--|
yyasaint seurin abordeau	-||----|-----||------|
orilgiesent	-|-|------|
n e demoraguair esque	-⌫|-----|-----⌫-|--|
uindrenta ka rlaqueanager	-------||--⌫--|--||----|
zziaian t q uiauoitnomfer r aguze	-|-----⌫|-⌫-|----|--|---⌫-⌫---||
estoitdeuliniageguolias	-----|--|------|------|
eestoituenuzde	|-----|----|-|
eenueia lo	|-----|-|
lil i am i r aus	-|-⌫|--⌫-⌫-⌫--|
de babiloineeau oit libalie	-|--------||--⌫--|-|----|
uinzmireturxpor	---|---|---|--|
ci lferraguz	--⌫|-------|
necr emoit	-|--⌫----|
lanceniespeenis aeta	----|-|----|-|-⌫---|
es i auoitlaforcede yy homes	|-⌫|----|-|----|-|-|----|
forzlibonsempereir es	---|-|---|--------⌫-|
arraument ala a nag erequant	--------|--||---⌫-||----|
oitquexmue neit	--|--|-|--⌫---|
tozsozsilid emanda batal ie	--|--|-|-|-⌫-----|-----⌫-|
contra uns onchiu alersxm li	-----|-|-⌫-|----⌫----|-|-|
oggie r l e	-----⌫|-⌫|
da n esma intenantque li	--⌫-⌫-|--⌫----------|-|
iaianz leuit tot soueniron	-----|-|--|--|-|----|-|
cham ps i ala a l uimolt	----⌫|-⌫|--||-⌫-|---|
belame nte	------⌫-||
silenb razcaotsonbraz destra	-||---⌫----|-|--|---|-----|
l enpo rtaason	|----⌫--||--|
cha steumolt	---⌫---|---|
leggierementueent	-----------|----|
toz autr esicu m	--|----⌫--|--⌫|
unab erbiz	--|-⌫----|
l outez ca	|-----⌫-|
deyycoteseauetleuisagiel onc	-|-|----||---|-|------|-⌫--|
unespa n e lesbra ze les iambes	-|----⌫||--|---⌫||--|-----|
auoit moltl ongiesetsi	----|---|-⌫-----|-|-|
detsi au oientdo esespaines apres	--|-|--⌫----|--⌫-|-------|----|
lie nuoiaxm arnaut de	-|-⌫----|-|-----|-|
beau landa eillenporta ma intenant	----⌫----||-||------|--⌫-------|
aso ncha st euen prisonapres	|--⌫|---⌫--⌫-|-|-----|----|
lienuoiaxmcos tan ti nle romain	-|-----|-|---⌫---⌫--⌫|-|-----|
eoille c on te cilles	|--|-|-⌫--⌫-|--|--|
prist amdosl unades trael	----|----||-||---⌫--|||
autra asenes tra	----||-----⌫--|
lesen portaapres	--|--⌫----|----|
en uoialireis troi squa uint	--⌫---|-|---|----⌫--||---|
pars dosedos	---|--||--|
e nport a etozles	-⌫-----⌫||--|--|
prisonquant c ouit ka rlesmolt	-----|----|-⌫|--|--⌫---|---|
merueliaetuitse	-------||---|-|
merueloientsi niosa	----------|-|||--|
e nuoie rpar c onbatrequantcou it	-⌫-----⌫|--|-⌫------|----|-|-⌫-|
rollanz sipre ial enpereorqu	------|-|---⌫-||-------|-|
lilaissasta lerm esmolta	-|-------|-⌫--|-⌫-|---||
eno tlecon gie	-|-⌫|-|---⌫--|
i ls armae	-⌫||---||
montasors onchiualsisen	----|--|-⌫-|-----|-||-|
uerzleia ia ntpor conbatreotluili	---|-|--⌫--⌫-|--|-------|-|--|-|
iaia nzleprist ot sa main	----⌫-|-|----|-|-|---|
destra e le mistdauant	-----||-|---|-----|
s eisorson	-⌫-|--|--|
chiuaueco menca loaporte r uers	-----||--⌫----|-|------⌫|---|
loch a stel quant rollanzui ticos i	-|--⌫-⌫---|----|------|--⌫|--|-⌫|
repr istcuer eproia n o stre	----⌫--|---||----|-⌫-⌫---|
seignorquil	------|-|-|
l iaidastsise	-⌫|-----|-|-|
t ornauers	-⌫---|---|
l eia iantelo	-⌫|--⌫---||-|
pris t par le	----⌫|--|-|
men ton esi	---⌫--||-|
arr eir asor lacr oped eso n	---⌫---⌫|--|-|--⌫--|-⌫|--⌫|
chiualsique	-----|-|--|
il c ha iren tamdui	-|-⌫--⌫----⌫|----|
ala t er ra dedesozl echiu al	|-|-⌫--⌫-|-|----|-⌫|----⌫-|
lorssereleuer ent amduidela	---|-|-------⌫--|----|-|-|
terra em ontachescunssor	----||-⌫---|-------|--|
sonchiual rollanztrait s espeee	--|-----|------|----||----||
cuidama intenant ocire	----|--⌫-------|----|
ene lifitnulmal	|-|-|--|--|--|
licosdescendis o r	-|--|-------|-⌫-⌫|
le colde lchiual	-|--|--⌫|-----|
e quantferraguzfu	|----|-------|-|
a piesitrait	|--|-|----|
comen caroll anta	-----⌫-|----⌫--||
menasse r molt	-------⌫|---|
duramenteroll anz	-------||----⌫--|
espeee feri leiaia nt	----||---|-|----⌫-|
s or lamainor ilten oit	-⌫-|-|---|-|-|---⌫--|
e oncmaunel ifitforzqu elesp e e	|--|--|-|-⌫|--|------⌫||---⌫-⌫|
lifit uoler	-|--|----|
qua ntferraguzfut	---⌫-|-------|--|
senzespeesi	---|----|-|
cl ou le poige c uida	--⌫-|-|---||-⌫---|
ferir rollante ferisonchiuau	----|------||---|--|-----|
fr ontsiquilletua	--⌫--|-|-|-|-|--|
lo rz fur entamdui	--⌫-|---⌫--|----|
conbatirentseiotpoinz	----------|--|-|----|
eotpi erres	|-|--⌫----|
tresquaue s pra	-----||--⌫-⌫--|
comencaa ue sprer	------||--⌫----|
ferr ag uzquis ttrieues a rollant	----⌫--⌫-|----⌫|------||------|
endema inesi	------⌫-||-|
establirententreustresqual	----------|---|--|-----|||
end emain e	---⌫----||
u e nissanta lab atailla	-⌫-⌫------||-|-⌫------|
se nzchi ua use se nzlancesese nz	--⌫-|---⌫--⌫-||--⌫-|-----||--⌫-|
quantco fuotrei édel	----|-|-|-----⌫-|-||
partedelau trachescuns sen	---||-||--⌫--|-------||-|
repai raasonost el	-----⌫-||--|---⌫-|
lendema inuin drent sicumil	|------⌫-|---⌫----|-|--|-|
orent deuiséto ta pie ou	----|------|--⌫||--|-|
bataillemesfe rragu zaporta	-------|--|--⌫-----⌫|-----|
e speequipoiliualu	-⌫---|--|--|-|---|
ero llanzaportaob sei	|--⌫----|-----|-|--|
grose loncdeceluise	---||---|-|----|-|
conba t i oblo iaianttot a iormes nul	-----⌫-⌫|-|-|-----|---⌫|--|--|--|
eferraguzse desfendidaupo ings	|-------|-|-------|--|--⌫---|
da us pier res	--⌫-|----⌫--|
reondesdont molt hiauoitelchamp	------|---|---|-|----|-|----|
erollanztotausi	|------|--|---|
mes bastonzniroches neli	--|------|-|-----|-|-|
porentm alfaireauiaiant	-----|-⌫-|----|-|-----|
an cei ssof fritottresqua	--⌫---⌫|---⌫--|--|-----||
otl i iaianzg rant	-|-⌫|-----|-⌫---|
preiaro llantqu	----|--⌫----|-|
illi donasttrieu es tr e squil	-|-|-----|-----⌫-|--⌫-⌫--|-|
rollanz lesli dona	------|--|-|---|
moltaliegressi	---|-------|-|
pristunapierre	----|--|-----|
silali mistsorle	-|-|-|---|--|-|
ch i epau iaiantporplus	--⌫-⌫-|-|-----|--|---|
leg giarem e ntdormir	---⌫------⌫-⌫-|-----|
nuscr est ians	--|--⌫---⌫---|
osa st a don q ue s ocire	---⌫-|-⌫---⌫-⌫--⌫|----|
nirolla nz	-|-----⌫-|
meismesq uarteusestoitla	------|-⌫--|---|-----|-|
c ostume adonque sque	-⌫-----|-------⌫|--|
si crestians	-|--------|
donasttrieuesou	-----|------|-|
pa ia no li	--⌫--⌫||-|
paians ou crestia n	-----|-|-------⌫|
l osa stme lfeireosi oucuns	|---⌫-|--⌫|----||-|-----|
esfr a nxistlapaiz ola	----⌫-⌫----|-|---||-|
trieue senzdeffiancetantostfu st	-----|---|--------|------|--⌫-|
ocisqu antferr aguz	---|--⌫--|----⌫---|
o t assez dor m i	-⌫|----|---⌫-⌫|
sis esueli aetroua	-||------⌫||----|
rollant qui	------|--|
seoitdeuantlui	----|-----|--|
rollanzdemandacumilestoit	------|------|--|-|-----|
sifor zquar necremoit lance	-|---⌫|---|-|------|----|
ne espeene baston nipierra	-|----|-|-----|-|-----|
respo n diliiaianz	-----⌫-⌫-|-|-----|
ien epuisestre	-|-⌫|---|----|
naffrez for zpar	------|---⌫|--|
le nombri lliiaia nzparlot	-|------⌫|-|----⌫-|-----|
le sar razino i sme s rol lanzl	-|---⌫------⌫-⌫|--⌫|---⌫---||
entendibien	------|---|
lor scomencali	---⌫|------|-|
ia ianzrollantaesgarder e	--⌫---|------||-------||
demandacome ntilauo it	------|----⌫-|-|---⌫-|
n omillidist i ai n omrollanz	-⌫-|-|-|---||-|-⌫-|------|
dequau lignea dis t	-|---|-----|---⌫|
liiaianzestu qui tantfort	-|-----|-|-|--|---|---|
te co nbazot	-|--⌫---|-|
parfoi dist rollanz iesoi	--|--|---|------|-|--|
francei sl orsdist	-------⌫|-⌫--|---|
ferrag uzdequauleisunt	------⌫-|-|---|--|---|
franceise ro llant	-------||--⌫----|
del acresti analoisomes la g ra i c e	-|-⌫|------⌫--|--|----|-|-⌫--⌫-⌫-⌫|
s ome sauzcomande menzxm	-⌫---⌫|--|-------⌫---|-|
e stxmcrisneli filz dede	-⌫-|-|---|-|-|---|-|-|
distaigu olanzrollanz	---|----⌫----|------|
res pondico	---⌫----|-|
estcilqu id ela	--|--|--⌫|-⌫|-|
uer gian asquiqui	---⌫--|-⌫----|--|
fu c ruci fiezl iangele aore nt de	-|-⌫----⌫---|-⌫|-----|----⌫-|-|
en zceusli iai anzdis t	--⌫|---|-|---⌫--|---⌫|
demostraenq uaumaneira trei	-------|-|-⌫--|------|---|
ero llanz dist eietomostrera i	|--⌫----|---||-|-|--------⌫|
seg untn aturasico m	---⌫--|-⌫----|-|--⌫|
larp ademe ntraquelasonasunt	|---⌫|----⌫-----|--|---|---|
trescho sesla mainelarcz	---|---⌫--|-|---|||---|
el a rpaeisi endesunttres	||-⌫--|---|-|-|---|---|
c hoses lipeires e li f ilz	-⌫----|-|-----||-|-⌫--|
eli sainzesperi ze eissicumenl	|-|----|------⌫||----|--|-||
treschoses	---|-----|
lescorceeloteste lo	|------||-|---||-|
n enparonestque una	-⌫-----||--|--|--|
al e manda	--⌫-⌫----|
eissitrespersonessu nten	----|---|-------|--⌫-|-|
estu nz des soleilsunt	--|-⌫-|--|-----|---|
trescho se s la	---|---⌫--⌫|-|
blan chio rsl achalors	----⌫----⌫-|-⌫|------|
elaresplendorse	|-|----------||
nen paroest unssoleilzen	---⌫---|--|--|------|-|
cho ses li moious eliraieli	---⌫--|-|-----||-|--||-|
enenpar oest	|------⌫|--|
en homne sunttres	-|----|---|---|
choses licuers limenbre	-----|-|----|-|-----|
nenparoestuns ho m	------|--|--|--⌫|
e issipuet l o mmostrer	-⌫---|---|-⌫-⌫|------|
que en d eesttrinite ze	--|-|-⌫|--|-------⌫||
ferragu zdis taledonc	-------⌫|---⌫|------|
ben ent en cquedeses t	--|---⌫--⌫|--|--|--⌫|
ienesaien quaumaneire	-|-|--|-|---|------|
engend rale file rol la nzli	------⌫-|-|--||---⌫--⌫-|-|
crestu qu e des fist ad am e li	---|-|--⌫|--|---|--⌫-||-|
iaianzdist	-----|---|
ro llanzdistsicu m	--⌫----|---|-|--⌫|
f uengendre z	-⌫|--------⌫|
homee ne npa ro eng end rafile	---||--⌫---⌫-|---⌫---⌫-|--||
oguitfilseg u nt	----|--|---⌫-⌫-|
sauolonteadoncliiaianzdistco	-|------|----|-|-----|---|-|
qu etu diz meplait	--⌫|-|--|-|----|
eenqua u ma n eirefut	|-|---⌫|--⌫-⌫---|--|
faizhomceu	---|--|--|
qu i des er a	--⌫|--|--⌫|
quicrealo ce l	--|---|-|--⌫|
neentetotes	----||----|
c hosesilfitson	-⌫----|-|--|--|
filnaitrehomede	--|-----|---|-|
la uirgi epar	-|-----⌫|--|
l iiaianzdistdecodopte ie n	-⌫|-----|---|-|-|-----⌫|-⌫|
qua u maneireilnasqu i	---⌫|------|-|-----⌫|
delauir giasenz	-|-|---⌫--|---|
omaerolla nzdist	--||-----⌫-|---|
de squiformaad ams enz sem enca	--⌫|--|----|--⌫-|-⌫--|---⌫---|
dautrahomeil fit	|----|---|-|--|
naitr aso n	-----⌫|--⌫|
fil de la uirgia san zsemen ca	--|-|-|-----|---⌫|-----⌫-|
d autrahom a	|----|---⌫|
des nasquet	--|------|
deson senzmaira	-|--|---|----|
eissinas quetdela	----|---⌫---|-|-|
mairasenzlo pa iraquartaus	----|---|-|--⌫--|---|---|
enfa ntemen zc oueneita de li	----⌫------⌫|-⌫------||-|-|
dist ie dopteien quaumaneirela	---|-|-----|-|---|------|-|
uirgia en fanta senzhoma	-----|--⌫----|---|---|
rollanz distcilqui f ait	------|---|--|--|-⌫--|
nait ralecozcon enlafeu a	----⌫-|-|-----|-|-|---⌫|
la glant emainzpeisons e	-|----||----|------||
mainzuostorse les abelies	----|------||--|------|
