formCicom mence li seconzliures.	---|-|---⌫----|-|-----|-----||
commandementaldefen deeurilne ferap aslabesoigne	-----------|-|-----⌫----|-|-|---|-⌫-|-|-------|
def en de eur ainzaura uer s lapuceleact ion	---⌫--⌫--⌫--|---|---|---⌫|-|-----|---⌫--|
desesbe so ignesfetes	-|--|--⌫--⌫----|----|
Cil meis mesempere eur	--|----⌫--|------⌫--|
Cilqui aestéfranchiznepuet	--|--||----|-------|-|---|
pa scontrele sfillessonpatronqui sont	--⌫|-----|--⌫|-----|--|-----|--|---|
orfelinesauoiractionp o rson	--------|----|-----|-⌫-⌫|--|
seruiseseil	------|-|-|
a fetesleurbesoignes .	|----|---|--------||
Cilm eismeempere eurdient	--|-⌫----|------⌫--|----|
Tu dizqueprocurer res t efudon nez	-|--|--|--------⌫--|-⌫|-|---⌫--|
el te stamen t t on p eree tilne pu et passembler	-|--⌫------⌫|-⌫-|-⌫--|-⌫|-|-|--⌫-|--|------|
que cefus t fetpa rdroit .	--|-|---⌫|--|--⌫|----||
Messeilsen tremist deschoses	--|-|-||--⌫------|--|-----|
sicommetu prop osestupuezauoir	-|----|-|----⌫---|-|---|----|
actioncontreluietcontre ses	-----|-----|--|-|-----|--|
oirsdetesbe soignesfetes.	---|-|--|--⌫------|----||
Liemperer es Antoines	-|-------⌫-|-------|
Secilquitesbesoignes	-|--|--|--|--------|
estab lioiren	-----⌫-|--|-|
deu sonces ia soitceq uetuaiescelhe ritage	---⌫|----|-|---|-|-⌫-|-|---|--|--⌫-----|
neporquanttu puezesautresdison cesauoir actioncontre	---------|-|---|-|-----|--|--⌫--|----|-----|-----|
lesautresoirs	--|-----|---|
setu l a uoies contre c elui qu ies t	-|-||-⌫----|-----|-⌫---|--⌫|--⌫|
Cilmeisme sem p erere s	--|------⌫|--⌫-⌫-----⌫|
Plede contrecels quiprocurero n ttesbesoi gnesparact ionde	----|-----|---|--|---------⌫-⌫|--|-----⌫---|--|---⌫--|-|
besoignesfetes.	--------|----||
Nec en ete	-|-⌫|-⌫|-|
setuasà tart	-|-|-|-|---|
c ommencie ́cest pl etporcequ e tuentendoi es	-⌫--------⌫|---|--⌫-|----|--⌫|-|--------⌫-|
à cheualerie.	-|---------||
Q uer ceste maniered	-⌫--|----|------||
a ctionne puetpas estre bo tee	-⌫----|-|---|--|----|--⌫--|
arriereparprescriptiondelo ncten s.	------|--|-----------|-|--⌫-|---⌫||
Cilm eismesempereresdi t	--|-⌫-----|--------|--⌫|
SeIulianspristdeni ers de	-|------|----|----⌫--|-|
ton deteurettu	--|-----|-|-|
otroia scele paietu	------⌫|---|---|-|
asencontre lui ac tionde	-|-------|--|--⌫---|-|
besoignesfetes.	--------|----||
Liempere res Alixandredit.	-|------⌫--|--------|--||
Seuos garisis tes autrui se rfma ladequi	-|--|-------⌫--|-----|--⌫-|--⌫---|--|
nestoitpas pe tit	|-----|--|--⌫--|
pro f itables à son	---⌫-⌫------|-|--|
se ig neuru osfeiste spr ofitablementsabesoi g ne etp oe zrecourer	--⌫--⌫---|-⌫-|------⌫|--⌫-----------|-|-----⌫-⌫-|-|-⌫--⌫|-------|
uosdes pens	--|---⌫---|
parau en antaction.	--|--⌫--⌫--|-----||
Cilmeismesempereresdi t.	--|------|--------|--⌫||
Turequiers	-|-------|
parmauuesere s on quelanorreturequetu me is	--|------|--⌫-⌫-|--|-|--------|--|-|--⌫-|
te s oit ren dueq ue rtule	-|-⌫--|---⌫--|-⌫--⌫|-|-|
fe i spa ram ordemere	--⌫-⌫|--⌫|--⌫-|-|---|
Messetuasenleurchoses	--|-|-|-|-|---|-----|
misaucunechose del	--|-----|----|--|
tue nloableme nt à	---⌫|--------⌫-|-|
l eur preu ett u	-⌫--|---|-|-⌫|
mostres quetunelefeis pas par	------|--|-|-|-|---|--|--|
amor de mere mespar	---|-|---|--|--|
pensee etparcoraged erauoi r le ice	-----|-|--|-----|-⌫|-----⌫|-|--|
puettuauoirparact iondebesoignesfet es .	---|-|----|--|---⌫--|-|--------|---⌫-||
Cil meismes empereres d it.	--|------|--------|-⌫-||
Se li filz paiaunedetepo r son pereil	-|-|---|---|--|---|--⌫|--|---|-|
nauers luinuleactionpor	||---|--|---|-----|--|
cele p aieco mentil fust ouseil estoite n	---|-⌫--|--⌫---|-|---|-|-|-|-----|-⌫|
lapoo ste ́ alpere quantilla paia ouil	-|---⌫---⌫|-|---|----|-|-|---|-|-|
estoitàsoietbaillalesd eniers	-----|-|--|-|-----|--|-⌫-----|
paruo lente ́de donnerli.	--|--⌫-----⌫|-|-----|-||
Se tesperesfu don ca ̀soi qu an tilprocuroi t	-|--|----|-|---⌫|-⌫|--|--⌫--⌫|-|--------⌫|
unebesoigne p orsonpe reetil paia	--|-------|-⌫-|--|--⌫-|-|-|---|
sadetesanz soncommandement tupuet contret es	-|---|---|--|-----------|-|---|-----|-⌫-|
onclesau oir	-----|--⌫--|
actiondebesoignesfetes.	-----|-|--------|----||
Cilmeism esempereres dit.	--|-----⌫-|--------|--||
Tu nedoizpasdemander al pere ta	-|-|---|--|-------|-|---|-|
famece quet uasdespend u p or ta	---|-|--|-⌫|-|-------⌫|-⌫-|-|
famemaladeainz	---|-----|---|
ledoizuolentiersp aie r	-|---|---------|-⌫---⌫|
meis por li	---|--|-|
aucunechoseà la mort parcorage derauoir	-----|----|-|-|---|--|-----|-|-----|
learriere tu e ne npledes	-|------|-|-⌫|-⌫------|
pardroitsonpereà qu i	--|----|--|---|-|--⌫|
ses doe res reuient.	--|---⌫--|------||
Cil meismes emp ereres dit.	--|------|---⌫-----|--||
S e tuasse uilemandement almari	-⌫|-|-|--⌫-|-|--------|-|---|
seulettu a sfetlesbesoi gn es	---|-|-|-⌫|--|--|-----⌫--⌫-|
fame lauc ti on des besoigne s fe tes apart ientà toi	---||---⌫--⌫-|--|--------⌫|--⌫--|-----⌫---|-|--|
eta ̀ la fame	-|-⌫|-|---|
contrelautre.	-----||----||
Ea ̀celuiq ui	|-⌫|----|-⌫-|
tefistleco mman deme ntaparti entlac tiondelmandeme ntcontre	-|---|-|--⌫----⌫----⌫-|------⌫--||--⌫---|--|-------⌫-|-----|
Esetu asparauenture misriens del	|-|-|-|--|-------|--|----|--|
pue za uoi r action	---⌫|-⌫---⌫|-----|
contre lui.	-----|--||
LiempereresGord iansdit.	-|--------|----⌫---|--||
Setuasnor rie stes	-|-|-|---⌫---⌫|--|
fillastrespar amo rde pe reet	---------|--|---⌫|-|--⌫-|-|
pore ls donne ́asm est resaucun sloierst une	--|-⌫-|-----⌫|-|-⌫---⌫--|-----⌫|-----|-⌫|-|
puezpa sdemanderarrie rece quetui as	---|--⌫|-------|-----⌫-|-|--|-||-|
Messe tu iasmis au cune choseporesp erance	--|-|-||-|--|--⌫---|----|--|---⌫-----|
deredeman derlatupuezde ceauoir	-|-------⌫--|-|-|---|-|-|----|
actio n contreels .	-----⌫|-----|--||
Liempe reeurGracians e tuolusia ns dient.	-|----⌫----|-------|-⌫|-------⌫-|----||
Se tu asfetlabesoigne	-|-|-|--|-|-------|
taser eu rett ua spor luipaiét reuzou	-|---⌫--⌫|-|-⌫|-⌫|--|--|----|-⌫---|-|
t u asf et par so nma ndem e ntoupar	-⌫|-|-⌫-|--|--⌫|--⌫----⌫-⌫-|-|--|
saproiere tu porras reco urerce	-|------|-|-----|----⌫---|-|
q ue tup a iasp orluioupar action de	-⌫-|-|-⌫-⌫--|-⌫-|--|-|--|-----|-|
besoig nesfetes oup ar acti ondemandemen t.	------⌫--|----|-|-⌫-|----⌫-|-|--------⌫||
Li empereeurDioclicianset Maximiansdient.	-|--------|----------|-|--------|----||
Lioiral procur ee urp ueent profitab lement	-|--|-|------⌫--⌫-|-⌫----|--------⌫-----|
estre e mp ledié paraction debesoignesfetesetdoiuen tr espondre	----|-⌫--⌫-----|--|-----|-|--------|----|-|------⌫|-⌫-------|
delatricher ieet	-|-|-------⌫-|-|
del imes fet àleuran ceiseur ne	-|-⌫|---⌫--|-|---|--⌫------|-|
ilnecouient pa squeil	-|-|------|--⌫|--|-|
aien tl off ice	----⌫||---⌫--|
delaministrac ion etpor ce il n	-||----------⌫--|-|--|-|-||
aient nu le poostéd est ran gierleschoses a ̀c e luiq ue	----|--⌫-|------||---⌫---⌫---|--|-----|-⌫|-⌫-⌫--|-⌫-|
leur anceiss eursprocura	---|-------⌫---|------|
Cilm ei smeempere eurdient .	--|-⌫--⌫--|------⌫--|----||
amonesteque les us uresd esdespen sesq uiont	-------|--|--|--⌫---|-⌫-|------⌫--|-⌫-|--|
e stéfetesp orautruibe soignes oient r en dues.	-⌫---|----|-⌫-|-----|--⌫-----|-⌫----|-⌫--⌫---||
usesd e cest droi t co ntr ecels	---|-⌫|---|----⌫|--⌫---⌫|---|
dequi besoigneferetufus	-|--|-------|---|-|--|
cont rain z par	----⌫----⌫|--|
besoi ngsicomme	-----⌫-|-|----|
tup ro pose s .	-|-⌫--⌫----⌫||
Cil meismeempereeurdient.	--|-----|--------|----||
Qua nt liunsdesoi rsuent lacho se	---⌫-|-|--|--|--⌫-|---|-|---⌫-|
qui estcommuneliautres oirsquico nfer mela	--|--|------|-|-----|---|--|--⌫----⌫-|-|
uentea droiteauct ionpor	----||-----|----⌫--|--|
sa partie de l p ris.	-|-----|--⌫|-⌫--||
Cilmeis mee mper ee urdient.	--|----⌫-|-⌫----⌫--⌫-|----||
]Iln est pas semblablesal	|-||--|--|---------|-|
def endeeurneàp ro cureeurquifet de	---⌫------|-|-|-⌫--⌫------|--|--|-|
autrui besoigne sanzcommandementquercille f ontpar	-----|-------|---|-----------|---|--|-|-⌫--|--|
necessitéetci llefetpar sa propr e	---------|-|--⌫|-|--|--|-|-----⌫|
Ece s offit ass ezse	|-|-⌫----|---⌫-|-|
aucunsestconseill iez	-----|--|--------⌫--|
en sesmenues choses	-|--|-----|-----|
par letraualde son	--|-|-----|-|--|
[1 ]Es olonccesus	||||-⌫----|-|--|
les choses quea ucuns	--|-----|--|-⌫----|
aaministreesdesongre ́ q uin	|----------|-|--|---⌫|-⌫-||
establiz nede fenderresne pr ocurerresle pu ez	-------|-|--⌫--------|-|--⌫--------|-|--⌫-|
t uempledierporce	-⌫|--------|----|
qu eiln es t	--⌫|-||--⌫|
pastenuzàr estorertantseul e mentla tr i cherie	--|----|-|-⌫------|---|----⌫-⌫---|-|--⌫-⌫-----|
etles gra nzmesfez mesles	-|--|---⌫-|-----|--|--|
legiers e tilser acon trainzde	------|-⌫|-|---⌫|---⌫-----|-|
rendretoious u r e ce queil	-----|--||--⌫-⌫-⌫|-|--|-|
] Mesdeschoses deta droiturequi tesont	|--|--|-----|-|-|-------|--|-|---|
contretenues quecil q uisont	-----|-----|--|--|-⌫-|---|
establ i tidefe ndeeurnetontpasporchacieesne	------⌫|-|----⌫-----|-||--|--|----------|-|
leur pu ez	---|--⌫-|
turiendem and erquerilnon tpas poesté	-|---|---⌫---⌫-|---|-||--⌫|--|------|
dedemandere niug ementporlexcep tion	-|-------|-⌫|---⌫----|--||-----⌫---|
qui esttotepr estecontre els.	--|--|---|--⌫---|-----|--||
doiz f e re tesdemande scontrecels quetu	---|-⌫-⌫-|--|-------⌫|-----|---|--|-|
diz quiti enent	--|-||--⌫----|
te schos es.	--⌫|----⌫-||
Cil m eismesem pereeur dient .	--|-⌫-----|--⌫------|----||
Setic os inontfranchileu rsersceque	-|-|-⌫--⌫-|--|------|---⌫|---|-|--|
tudizqueil au oient	-|--|--|-|--⌫----|
aministré nostre	---------|-----|
cho senepotempee chi erleurf ra nchises.	---⌫-|-|--|-----⌫---⌫-|---|-⌫--⌫------||
pa sdotequei l nepui sse nte streem ple diépuis le	--⌫|---|--|-⌫|-|---⌫---⌫-|-⌫---|--⌫---⌫---|---|-|
franchissementdecequifud euant	-------------|-|-|--|-|-⌫----|
f et seeissi nest que	-⌫-|-|----||--|--|
l aministra tiondelu n etdel	|---------⌫---|-||-⌫|-|-||
autre t ensnesoi t	----|-⌫--|-|---⌫|
pasiointeensemb lemesdepartie .	--|-----|------⌫-|--|-------||
Cilm ei smeempereeurdie nt.	--|-⌫--⌫--|--------|---⌫-||
Cil quifont a utru ibesoigne sanzesp i cial coue nantne	--|--|---|-⌫----⌫|-------|---|---⌫-⌫---|----⌫---|-|
so nt pastenu	--⌫-|--|---|
der estorerl e damagequiuient	-|-⌫------|-⌫|-----|--|----|
dauenture .	|-------||
Cil meismee mpereeurdient.	--|-----|-⌫-------|----||
Q uant lesbesoignessont fe teslactio n	-⌫---|--|--------|---|--⌫--||-----⌫|
nestpas enlachose	|--|--|-|-|----|
mesenl ap e rsone.	--|-|-⌫|-⌫-⌫----||
L iempereresIustiniens dit.	-⌫|--------|---------|--||
me stres oloientdot erse aucuns se nt r emetd a mini strerautrui	--⌫---|-⌫------|---⌫-|-|-----||-⌫--⌫-⌫---||-⌫----⌫----|-----|
chosecontrelauo lontéà celuiquiles	----|-----|-|--⌫-----|-|----|--|--|
chosessontetsussen es p i cial defensese il a	-----|---|-|--|--|--⌫-⌫-⌫---|------|-|-||
n u l actionencontre	-⌫-⌫|-----|-------|
les eigne urpor lesdespens es	-|-⌫-----⌫-|--|--|-------⌫-|
queilafet es e nte lmanie reporent r e metre	--|-||---⌫-|-⌫|--⌫|-----⌫-|--|---⌫-⌫-⌫----|
seschos es	--|----⌫-|
li un disoient	-|-|-------|
quetel ac tionestoitdroitee tprofitable liautre	--|--|--⌫---|-----|-----|-⌫|---------|-|----|
disoientquenon ert et dec elsest Iulia ns.	-------|--|--|--|-|-|-⌫--|--|-----⌫-||
E nosdeterminons ceetconf ermonsques eli	|--|----------|-|-|----⌫-----|--|-⌫|-|
si resleco ntreditetilli	--⌫--|-|--⌫------|-|-|-|
defent qu eilne	-----|--⌫|-|-|
sentremetedeses chosesil	|--------|-|--|-----|-|
ne p uet auoi rnulea uct i oncontre luisolon c	-|-⌫--|----⌫|---|-⌫---⌫-⌫-|-----|--|-----⌫|
lasenten ceIuliandedespe n s esque il ait fetespuis	-|------⌫-|-----|-|-----⌫-⌫-⌫-|--|-|--|----|---|
sire slifist	----⌫|-|---|
sauoir queil ne uolo i tque	-----|--|-|-|----⌫-⌫|--|
ilsen tr em ei st	-||--⌫--⌫--⌫--⌫-|
cho ses iasoitce queil ait bienfetes les	---⌫--|-|---|-|--|-|--|---|----|--|
qu e seroitceseli sire sd es cho sesregar doit	--⌫|-----|-|-|-|----⌫|-⌫-|---⌫--|-----⌫---|
auroitfe t pluseurs despenses	-----|--⌫|-------|--------|
po rson preuet l orslidefendi st	--⌫|--|---|-|-⌫--|-|-------⌫-|
par tricherie	--|--------|
q ue il ne	-⌫-|-|-|
sentreme ist	|-------⌫--|
de seschoses si queilfu s tporc equite sd es	-|--|-----|-|--|-|--⌫-⌫|----⌫|-----⌫|-⌫-|
de sp e ns esquec i lauro itfetes	--⌫--⌫-⌫--⌫-|--|-⌫-⌫|----⌫-|----|
deua nt la	----⌫-|-|
defen se Cene	-----⌫-|-|-|
soufferrionsnos	-----------|--|
ennule maniere mesnos ne	-|---|------|--|--|-|
uolons q uei lpu iss e a uoi raction	-----|-⌫-|-⌫|--⌫---⌫|-⌫---⌫|-----|
de des pensesqueilait	-|---⌫-----|--|-|--|
fetespor nul	----|--|--|
amendem ent desleiorque l adefense	-------⌫--|--|-|--|--|-⌫|------|
l iuint ouparl et r esou sanzle tre spa rtesmoig	-⌫|---|-|--|-⌫--⌫-⌫-|-|---|--⌫---⌫|--⌫|------|
dautrespersonesmesnos	|-----|-------|--|--|
lio troionsbienque ilai tdroite	-|-⌫------|---|--|-|--⌫|-----|
auctioncon treles	------|---⌫--|--|
seigneurspor ce lesqu eilfist	--------|--|--⌫--|--⌫|-|---|
deuantladefe nsese	-----|-|----⌫--|-|
elessont profitablem e nt	---|---|-----------⌫-⌫-|
Cisttytresestd es c hosesqu isontfetes	---|-----|--|-⌫-|-⌫----|--⌫|---|----|
par fo rce ouparpoor .	--|--⌫--|-|--|---||
Liempere re s	-|------⌫--⌫|
Alix andres dit.	----⌫-----|--||
Ilestresp ondupardr oi tqueles choses	-|--|----⌫---|--|--⌫--⌫|--|--|-----|
q u iontestétolu es par forc e ou parlar recin	-⌫-⌫|--|----|----⌫-|--|----⌫|-|--|---⌫----|
pue nt bienestredemandees arrierese l	---⌫-|---|----|--------|------|-||
onselt oùelessont	-|---|--|---|---|
Cilme ismesempereres dit .	--|--⌫----|--------|--||
Porcequetureconoisquetu ne	----|--|-|-------|--|-|-|
prameispastant seulemen t lesdeniersainzles	------|--|---|--------⌫|--|------|---|--|
paiasnosnepoonsuoierparquel	----|--|-|----|----|--|---|
resont u req u ierz autres icomeselon	----|-⌫|---⌫-⌫---|------⌫|---|-||-|
t eustfetforcequeceque	|---|--|----|--|-|--|
tua spaié	-|-⌫|----|
tesoitrendu.	-|---|----||
Queril nes emble pa s uerit équetu	---|-|-|-⌫----|--⌫|-----⌫-|--|-|
t ehastassesde paieret	-⌫|--------|-|----|-|
less as s es la querele del cyrogrep hequi t e	----⌫--⌫-⌫-|-|------|--|--------⌫-|--|-⌫|
futolu zcommeparforces e tun edizque	-|----⌫|----|--|----|-⌫|-|-⌫|--|--|
forcetefuf etedepaier.	----|-|-|-⌫--|-|----||
Li e mpe reres G ordians dit .	-|-⌫---⌫----|-⌫------|--||
Se tesaieuls fu contrainz	-|--|-----|-|--------|
parf orceouparpoordeu endr eson fo nz ia	--|-⌫---|-|--|---|-|-⌫----⌫|--|--⌫-|-|
soitc eque	---|-⌫|--|
cil qui lachatadeluila it uendu	--|--||-----|-|--||-⌫-|----|
àautreneporquant setu eso i rstoneieul	-|----|---------|-|-|-|-⌫-⌫-|--|----|
ilnosple stque ilte	-|--|---⌫-|--|-|-|
soitrendu q uanttuaur as rendu	---|----|-⌫---|-|---⌫-|----|
lepr is que ilfu uenduz.	-|--⌫-|--|-|-|-----||
Etuporrasdemandert ach oseseulo nclafo rm e	|-|-----|-------|-⌫|--⌫--|-----⌫-|-|--⌫--⌫|
de lpardurablees ta blisseme ntparde uantlegouerneeur de	--⌫|---------|--⌫--⌫--------⌫-|-----⌫---|-|---------|-|
lacont reese	-|----⌫--|-|
c il quitien t nest	-⌫-|--|----⌫||--|
garnizpa rlongu etenue .	-----|--⌫|-----⌫|----||
Ci l meismes	--⌫|------|
empereresdit	--------|--|
Se uosuendi stes parforc eou parpoorde mort	-|--|-----⌫---|--|----⌫|-|--|---|-|---|
oud e tormentde c orset	-|-⌫|------|-|-⌫--|-|
uos neconfermastes puisl aue nte	--|-|-----------|---|-⌫|--⌫--|
nene uosassen tistes	-|-|--|-----⌫-----|
enplediezdedenz lanseulonclaform edelpa rd u rableestabl issement	--------|-----||-|------|-|----⌫|--|--⌫--⌫-⌫----|------⌫-------|
selachosene	-|-|----|-|
uo sest rend ue p or lepris	--⌫|--|----⌫-|-⌫-|-|---|
uo streauer sai resser acondempnezen q uatredoubles .	--⌫---|----⌫---⌫--|---⌫|---------|-|-⌫----|------||
Eapré s l an uos	|-----⌫||-|--|
auezact ion de de mander le	---|---⌫--|-|--⌫-----|-|
uostre sanzp lus.	-----|---|-⌫--||
C ilme isme sempereresdit.	-⌫-|--⌫----⌫|--------|--||
apointdedifference dequilaforcef ustfete	|----|-|---------|-|--|-|----|-⌫--|---|
a ̀ton per eet a ̀ tononcleou de	-⌫|--|---⌫|-|-⌫|--|----|-|-|
lachate eurmeisme ou	|------⌫--|-----|-|
dautre p ar lesi eu achatee urque	|----|-⌫-|-|--⌫-|-------⌫-|--|
ilfussent contrai ntp arf orce ou pa rpoorde u endre	-|------|-------⌫-|-⌫-|-⌫---|-|--⌫|---|-|-⌫----|
leurpossession.	---|---------||
Querse il furentco ntraint p arforcede do nner	---|-|-|-----|--⌫------|-⌫-|----|-|--⌫---|
porpoule s cho sesquiualoie ntasseizil	--|--|--⌫|---⌫--|--|------⌫-|-----|-|
emp etrerontparlaforcedelaiurisdicionq ue	---⌫-------|--|-|----|-|-|----------|-⌫-|
c e qui aesté fet mauuesemen tsoit	-⌫|--||----|--|----------⌫|---|
ra mené elpremierestat .	--⌫----|-|------|----||
L iempereeurDioclicians etMaximiansd ien t	-⌫|--------|----------|-|--------|-⌫---⌫|
Ilnecouientque nuledigniténuiseàaucun.	-|-|------|--|---|-------|----|-|----||
E t p orce en ten ztuqueladignité que	-⌫|-⌫-|-|--⌫---⌫|-|--|-|-------|--|
tes au er sair esaporcequ eil es[	--|--⌫--⌫----⌫-||----|--⌫|-|-||
t]senateursnesoffist pastoteseule	||--------|-|------|--|---|----|
àcontredire la poor parquoitudiz	-|---------|-|---|--|---|-|--|
marc hie zfu	----⌫---⌫|-|
toietlui .	--|-|--||
Cil meismeempereeurdi e nt .	--|-----|--------|--⌫-⌫-||
Setu pu ezprouerpa rdeuantl e gouerneeur de	-|-|--⌫-|-----|--⌫------|-⌫|---------|-|
l acon treequelins trumenz de donou detransact ion	-⌫|---⌫---|--||---⌫------|-|--|-|-|--------⌫--|
d auc u na utre obligementtaitesté estors	|---⌫-⌫|-⌫---|---------||--|----|-----|
parordredemortoupa r	--|----|-|---|-|--⌫|
torm entde cors oupar	----⌫--|-|---|-|--|
cre moiesmanac escapitalsil nesofferrapasque ilsoit	---⌫----|-----⌫-|-------|-|-|-------|--|--|-|---|
tenab lessolon claformede l pardurable	-----⌫--|-----⌫|-|----|--⌫|---------|
establissem ent.	-----------⌫--||
Cilm eismeemper eeurdient.	--|-⌫----|-----⌫---|----||
Porce quetu proposesque tu uendistam eson et	----|--|-|-------|--|-|-----|-|-⌫---|-|
tonco rtil en es perance d er ecou rerun i nstrumentque	--|--⌫---|-|--⌫------|-⌫|-⌫----⌫--|-|-⌫--------|--|
t uauoies fetou	-⌫|-----|--|-|
parpoo r q uetunefus s esnomm ezàlatail le	--|---⌫|-⌫-|-|-|---⌫-⌫-|----⌫-|-|-|----⌫-|
ettuueul s q uecele uentesoitdepecieecommecele	-|-|----⌫|-⌫-|---|----|---|-------|----|---|
qui fu feteparcause depoor	--|-|---|--|----|-|---|
sa ches quetelmaniere depoorne uaultpa sà	--⌫---|--|--|------|-|---|-|----|--⌫|-|
depecierlemarc hié .	-------|-|----⌫---||
Cilmeismeemp ereeurdient.	--|-----|---⌫-----|----||
Il ne couien t pas qu e poorsoitprou eetant	-|-|------⌫|--|--⌫|---|---|----⌫-|---|
s eulementpar uan t ancenepar manace s	-⌫-------|--|---⌫-⌫---|-|--|------⌫|
mes parlacr ueltédelfet.	--|--|-|--⌫-----|--|--||
Cilmeism eempereeurdient.	--|-----⌫|--------|----||
Lidesierriersnest	-|----------||--|
p reuzdeceluiqui porp o ordacusem ent	-⌫---|-|----|--|--|-⌫-⌫-||------⌫--|
q ui est fez ou q uiest àfererequiertque	-⌫-|--|--|-|-⌫-|--|-|---|-------|--|
laue nteou lapramesse quiest fetesoitr ap elee	-|--⌫--|-|-|-------|--|--|---|---|-⌫--⌫---|
Ci l mei sme empereeur	--⌫|---⌫--|--------|
Seaucunscrientunautre	-|-----|-----|-|----|
quisoiten aucu ne baillie	--|---|-|----⌫-|------|
p orsa for ceetil	-⌫-|-|---⌫-|-|-|
libaille par t ytrede	-|-----|--|-⌫---|-|
ue nte sa chose que ilaenla	--⌫--|-|----|--|-||-|-|
contreeou el	------|-|-|
le u oùilabailliece quia	--⌫|--|-||------|-|--||
estéac hat ésoitr enduetli denier soient	----|--⌫---⌫-|---|-⌫---|-|-|-----|-----|
E cele meisme sp ainesoit	|---|------⌫|-⌫---|---|
gardeesea ucunquiusent	-----|-|-⌫---|--|----|
mauuesementd elnon damisaquier entp roie	----------|-⌫-|--||---|------⌫--|-⌫---|
L i empe reeurHono ir ese tTheodoses di ent	-⌫|----⌫----|----⌫--⌫-|-⌫|--------|--⌫--|
N os commando nsquel es uenteset	-⌫-|--------⌫-|--|-⌫-|-----|-|
li done tles t ransa ctionsquison testorses par	-|--|-⌫|--|-⌫-----⌫-----|--|---⌫|-------|--|
puissancesoient quassees .	--------|-----|-------||
Cisttyt rese stparole	---|---⌫--|-⌫-|-----|
detricherie.	-|--------||
LiempereeurSeueri ns	-|--------|------⌫-|
et Antoin esdient .	-|------⌫-|----||
Setespleges achatetes gagesdeton	-|--|-----|-----|--|----|-|--|
crea ncieretillipaieson cha telet	----⌫----|-|-|-|---|--|---⌫--|-|
lesusure sse	--|-----⌫|-|
il fetqu e gagei ltenrendra lasei gneur ie	-|--|--⌫|---|-⌫||-|-----|-|---⌫-----⌫-|
o le sfruizque ilen a	|--⌫|----|--|-|-||
receuzenboenef oiquetunepuisses auoir	-----|-|----|-⌫-|--|-|-|------|----|
co ntreluiauctionde t riche rieporlendr oitde	--⌫---|--|------|-|-⌫-----⌫--|--||----⌫--|-|
la foi q ueila romp ue.	-|--|-⌫-|-||----⌫-||
LiempereresG ordiansdit	-|--------|-⌫------|--|
Litensne t e p ue tpasnuirequi	-|---|-|-⌫|-⌫--⌫|--|----|--|
seult estreconte z enaction	----|----|-----⌫|-|-----|
de tricherieenquoi il te couintente ndre	-|--------|-|---|-|-|-----|----⌫---|
s icomme tuallegue s	-⌫|----|-|-------⌫|
as profizde	-|-----|-|
lachosecommune .	-|----|------||
com menceraà	---⌫------|-|
conterletens des lorsquetufu sdeliu rés	-----|-|---|--|---|--|-|--⌫|-----⌫---|
eteus poosté	-|--|------|
deporsuiuret action dedenz le	-|--------||-----|-----|-|
tens quiest estab liz	---|--|--|-----⌫--|
Liempereeur Diocl ic ia nset Ma ximians dient.	-|--------|-----⌫--⌫--⌫-|-|--⌫------|----||
Porceque t u prop osesq ueilot	----|--|-⌫|----⌫---|-⌫-|-|-|
couenan tentretoietcel uiqui pr ist	-------⌫|----|--|-|---⌫-|--|--⌫--|
taserue a ̀fam e queilte	-|----|-⌫|---⌫|--|-|-|
d o rroitp orlui	-⌫-⌫----|-⌫-|--|
serf tudoizsau oirquesetu	---|-|---|---⌫--|--|-|-|
lafranc hes isetlib aillasenceste manieretu	|------⌫---⌫-|-|-|-⌫-----|-|----|------|-|
naspas pooir	|-|--|----|
de rapelerlaf ranchise	-|------|-|-⌫-------|
ne te tien t cou enan ttu	-|-|----⌫|---⌫----⌫|-|
pu ezauoircontrelui actio ndetricherie.	--⌫-|----|-----|--|-----⌫|-|--------||
Mes se laseignoriede luite	--|-|-|--------|-|--|-|
remest tupo rr asrecourer	-----|-|--⌫--⌫-|-------|
etl iet ses enfanz p ardeuan tle	-|-⌫|-|--|-----|-⌫-------⌫|-|
preuostdelacontree.	------|-|-|------||
Cil meisme	--|-----|
e mpereeurd ient	-⌫-------|-⌫---|
]Setu aseu leritaget amere	|-|-|-|-||------|-⌫|---|
eluiua nt tonperee t	-|----⌫-|--|---|-⌫|
franchieparquoitus oies	-------|--|---|-|-⌫---|
entapoos tée t tes c hosesont esté am inistrees	-|-|----⌫--|-⌫|--|-⌫----|--|----|--⌫--------|
defendeeure t parto npe re	---------|-⌫|--|--⌫|--⌫-|
celuiqui te franchietpuis fe is	----|--|-|------|-|---|--⌫-|
tra nsactiono tonpereparboenefois eco uenanzfu	---⌫-------||--|---|--|----|--|-⌫|--⌫-----|-|
seulem ent tademande esto stee parexcept i on .	------⌫--|-|------|--|-⌫---|--|------⌫-⌫-||
Mes setutesmise	--|-|-||-|---|
elbai l ton perenule	-|---⌫|--|---|---|
a cti onne teremai ntcont rel ui.	-⌫---⌫-|-|-|-----⌫-|----⌫-|-⌫-||
]Messetu esg reuee	|--|-|-|-|-⌫----|
àde smesur equanttuaurasestésollempnelme n t	-|--⌫------⌫|----|-|----|----|------------⌫-⌫|
deliuree delbailtu por rasauoira ctionnon	-------|--|---|-|---⌫--|----|-⌫----|--|
pasdetricheriepor la	--|-|--------|--|-|
