siqueseuent	-|--|-----|
loramoret lor conpagnie	--|---|-|--|--------|
dunhome uue licico nter	|-|---|---⌫|--|--⌫---|
et paressemp l e	-|--|------⌫-⌫|
dem ostrer	---⌫-----|
de ces mainsconteet deces piez	-|--|----|----|-|-|--|---|
et d es onchief	-|-⌫|-⌫-|----|
quiertir iez	--|--|--⌫--|
uersonuentreque ilpor ta	--|--|-----|--|-|---⌫-|
porlou gaa ig	--|--|---⌫-|
queilgasta	--|-|----|
d ont il neuoloit t rauillier	-⌫--|-|-|-----|-⌫--------|
seli tollirent	-|-|--------|
loumaingier	--|-------|
mais qua ntli uentresge una	---|---⌫-|-|------|--⌫--|
es tiuementaff obl oia	--⌫-------|---⌫---⌫--|
etpiezetmainsqui l	-|---|-|----|-|-⌫|
sitrauillierqu	-|---------|-|
il ne p ooit	-|-|-⌫---|
la flobete sentirent	-|------|--------|
mai ngieretb oiureau uentreoffrirent	---⌫----|-|-⌫----|-|-----|--------|
maistrop lorentfait geuner	---|---||----|---|-----|
il ne potd erien us er	-|-|--|-⌫|---|--⌫-|
liuent resreu inaniant	-|----⌫--|---⌫-||----|
e tpiez etma instotensement	-⌫|---|-|--⌫--|--|-------|
paressemplepu et l enuooir	--|-------|--⌫-|-⌫-|----|
et chescun sho mloupuet	-|-------⌫|--⌫|--|---|
que nusne puet	--|--|-|---|
auoi r honor	----⌫|----|
quihonte faitasonsignor	--|----|---||--|-----|
nelisirestot ensement	-|-|----|--|-------|
u ueleh onore rsagent	-⌫---|-⌫-----⌫|-|---|
seliuns al	-|-|--|||
autre es t	----|--⌫|
anduien serontmal bailli	----|-|-----|---⌫-----|
d un singeditquideman da	|-|----|--|--|-----⌫-|
qua n t illencontra	---⌫-⌫|-||-------|
quedesa c owe	--|-|-|-⌫--|
sillipleustoul	|-|-|-----|-||
enprestast	-|-------|
auis lifuque troplot	---|-|-|--|---||-|
quet utcoéso ntli enfant	--|-⌫-|---|--⌫-|-|-----|
l icolpis demanda que doit	-⌫|-----|------|--|---|
quesacoelirequero it	--|-|--|-|-------⌫-|
ianeuosen sera de pis	-|-|--|-|---|-|--|
semen uolez unpoid oner	-||-|----|-|--|-⌫---|
queleuosnust	-|--|--|---|
atost aler	|---|---|
etdistlicol pis	-|---|-|---⌫--|
uos que chaut	--|--|----|
cesterequeste	----|-------|
poi uos ualt	--|--|---|
iade ma coe qui estg rans	-|-|-|--|--|--|-⌫---|
nehonirels	-|----|--|
lesuosenfans	--|--|-----|
quea utres	--|-⌫----|
re inesautresgens	--⌫---|-----|---|
iel ou uosd iapertemant	-|-⌫-|--|-⌫|---------|
mais que lefust deteleafa ire	---|-|-⌫-|---|-|---|---⌫--|
que iene la peussetraire	--|-|-|-|-----|-----|
c esteessemplepo rceuosdi	-⌫---|-------|--⌫|-|--|-|
de lauerhomeest au treci	-||---|---|--|--⌫----|
se il aplus	-|-||---|
quelun estuet	--|-||-----|
n e uuetsoffr ir	-⌫|---|-----⌫-|
neiln epuet	-|-|-⌫|---|
quea utre enait aisenehonor	--|-⌫---|-|--|---|-|----|
muexlaueltperdrechascon ior	---|-|---|-----|------|--|
enautre terreconu erser	-|----|----|----⌫----|
tot eslesbes tes	---⌫-|--|---⌫--|
a ss embla	-⌫--⌫----|
et quedaus face	-|--||--|---|
roichoisir	--|------|
qu e nia ns est	--⌫|---⌫-|--|
doureu en ir	--|---⌫--⌫-|
q uenel pr iast	-⌫-|-||--⌫---|
c unautre lyon	|-|----|---|
lorbaillast	--|-------|
re spontquenu lnena	--⌫----|--|--⌫||-||
n en norrinulqueil	|-|----|--|--|-|
del smeismes doiuentgarder	|--⌫|------|------|-----|
quim ex lespussentgouerner	--|-⌫-|--|------|-------|
lorsauoi en t lou lous choisi	---|----⌫--⌫|--|---|-----|
quiln iauoitnulsi hard i	-|-|||----|--|-|----⌫|
qui osa stpr endr e s eluinon	--|---⌫-|--⌫----⌫|-⌫|--|--|
t an tletenoien tafe ll on	-⌫--⌫|-|-------⌫||--⌫--⌫-|
plusorsauoitpromis	------|----|-----|
quillesameroitt o ztoz dis	-|-|--|------|-⌫-⌫|--|--|
aulyonuont se	-|---|---|-|
quelouloufau o ienteslit	--|--|---|--⌫-⌫---|----|
e tilr espontne doute zmie	-⌫|-|-⌫-----|-|-----⌫|--|
quecointe bes teauez	--|-----|---⌫-|---|
presteeti sneleenprenant	-----|-|-⌫----|--------|
etdec oragee td etalent	-|-|-⌫----|-⌫|-⌫|-----|
estoit si fransconil	-----|-|----|--|-|
ma i sdunechosesedoutoit	--⌫-⌫||--|----|-|------|
que nepreistaconsillier	--|-|-----||---------|
loscolpilquetantseit	-|------|--|---|---|
a n du i sontfellonetengres	-⌫-⌫--⌫|---|-----|-|-----|
sede lu uo lezauoir	-|-|-|--⌫--|----|
seli fa itessor s ainsiiurer	-|-|--⌫---|--|-⌫---|-----|
quilned oie beste ades er	-|-|-|-⌫--|----|----⌫-|
iamasa son uiuant	----||--|-----|
ne main iastde chartantne qu ant	-|----⌫---|-|---|---|-|--⌫--|
li lousa tuolentiers iuré	-|---|-⌫|---------|----|
plus atfaitqu en ontd emandei	---|-|---|--⌫||--|-⌫------|
maisconilf u essaure z	---|--|-|-⌫|-------⌫|
e tli ly ons en fual ez	-⌫|-|--⌫--|-|-|--⌫-|
siatalent de	-||-----|-|
char mai ngier	---|---⌫----|
parengin uolrap orchacier	--|----|----|-⌫--------|
queles b estesoltr o ierent	--|--|-⌫----|----⌫-⌫-----|
sauolente et iuge roient	-|------|-|----⌫-----|
lo rs a zzchaurelapellé	--⌫-||-|------|------|
s e liadite tc onmandé	-⌫|-||--|-⌫|-⌫-------|
que pera mo ruoi rli deist	--|--|-⌫--⌫|---⌫|-|----|
decell ain ne cele puist	-||---⌫---⌫-||--|----|
ce lere sp ontc	--⌫-|--⌫--⌫--||
q uapo innesoffrir	-⌫||--⌫---|------|
li leusenfumoltco u reciez	-|---|-|-|---|--⌫-⌫-----|
porcesb aron saenuoie z	--|--|-⌫----⌫||------⌫|
atozensembledemanda	|--|-------|------|
quel iugem ent cha sconfera	---|-----⌫--|---⌫---|---|
deceluqui dita	-|---|--|--||
honteledure	----|-----|
etdesen o r	-|-----⌫-⌫|
etci l dient quil	-|--⌫|----|-|-|
lilous ua lou chauruelsaisir	-|---|-|--|-------|-----|
ocisperlore sgart	---|--|--|-⌫----|
mainga tla gregnorp ar t	------⌫|-|------|-⌫--⌫|
por s afelo ignieco urir	--|-⌫|----⌫----|--⌫---|
ausaut res departir	--|---⌫--|-------|
unea utrebesteaapellee	--|-⌫---|----||------|
totau treci	--|--⌫----|
desalainneq uelisemb la	-||------|-⌫-|-|----⌫-|
qu e poruoir	--⌫|--|---|
dire mort s offrir	---|---|-⌫-----|
dist liq ue pus soefodor	---|-|-⌫-|--|---|---|
nesentio nque s anu l ior	-|----|-⌫----⌫||--⌫|--|
lilousaconcilemandé	-|---||------|-----|
acesbaro nsatdemandé	|--|----⌫-|-|-------|
quen do itfairepar iugement	-|-|--⌫-|----|--|-------|
quil ou triche	--|-⌫-|-----|
iliuge qu ele soito ssi se	-|---|-|--|---|-⌫---⌫-|
lorsali louslabesteprise	---||-|---|-|----|----|
ociseetdep artie	----|-|---⌫----|
etde uantau s t oute	-|--⌫---|--⌫|-⌫---|
gairesapres	-----|----|
qu eli lousui ntsi esga rda	--⌫|-|---|--⌫-|-|----⌫--|
uncingegraset bien	-|----|---|-|---|
delu iagr a nt	-|--⌫||--⌫-⌫-|
maingierlouuolt etdeuorer	-------|--|---|-|------|
lialad emander	-|--|-⌫------|
desalainec elepuoit	-||-----||--|----|
o u celesoef lisembloit	-⌫||--|---|-|-------|
lisingesesto itui ziez	-|-----|----⌫-|--⌫---|
uoloites treiugiez	-----|--⌫--|-----|
e ntre dous	-⌫---|---|
est ettant li	--|-|---|-|
ne sot lilous que ilfeist	-|--|-|---|--|-|----|
ensonlitmala de ssefeint	-|--|--|----⌫--⌫|-|----|
atotes le sbestesse pleint	|----|--⌫|-----|-|-----|
quilalerentreuisiter	--||------|--------|
qui l nepuetm ie	-|-⌫|-|---|-⌫-|
si lifirentmires	-|-|-----|----|
porsauoircilporroit	--|-----||-|------|
limirefurentesgaré	-|---|-----|------|
q ueil n ont	-⌫-|-||--|
ueunetrou é	--|-|----⌫-|
quema leustqueli neust	--|--⌫|---|--|-|----|
se maingier atalenteust	-|-------||-----|---|
ienaif aitil nu l	-||-|-⌫--|-|--⌫|
fors dechardecinge maingier	---|-|---|-|----|-------|
mai s iene	---⌫|-|-|
lou uueladeser	--|---|-----|
monserementconuientgarder	--|-------|-------|-----|
tele ra ison	---|--⌫---|
que lo troassent mi baron	--||-⌫--------|-|----|
dontli l oentco nmunement	---|-|-⌫---|--⌫--------|
ia ned oitgard erseremen t	-|-|-⌫--|----⌫-|-------⌫|
con tre s o ncuer asontalent	---⌫--|-⌫-⌫|---||--|-----|
nepuen ti l	-|----⌫|-⌫|
riengaren tir	---|-----⌫--|
o iquo n l ilo ia	-⌫|-|-⌫|-⌫|--⌫-|
lousingepristsi	--|----|----|-|
loum ainia	--|-⌫----|
porcemostralisinge sbien	--|-|-----|-|-----⌫|---|
quenned eus tpor nulerien	-|-|-|-⌫---⌫|--|---|---|
faires igno r	----|-⌫----⌫|
ne lui a trairean ulehonor	-|--|-⌫-----||-⌫--|----|
ianegarderaloaltei	-|-|------|------|
a strainge quaupriue	-⌫-------|-|-|----|
enci sedemain easa	---|-|------⌫||-|
confi stlileusdelsereme nt	--|--⌫-|-|---|--|------⌫-|
d un u en eo r u osco nteci	|-|-⌫--⌫--⌫|-⌫-|--⌫--|-|
quizz leus	--|-|---|
a uoit acoilli	-⌫---|------|
p armi un champcorru li	-⌫---|-|----|----|-|
u unbergierquier ttoz ceus	|-|------|--|--⌫|--|---|
parsafranchise li r equist	--|-|--------|-|-⌫-----|
qu illim onstra etsidei st	-|-|-|-⌫-----|-|-|---⌫-|
au uene ourq ui l ousuoit	-|----⌫--|-⌫-|-⌫-|----|
queaubois estoitalezdroit	--|-|---|-----|---|----|
de soz la faudeloumuca	--⌫--|-|----|--|---|
li uene resu enoi t cri ant	-|----⌫--|-⌫----⌫|---⌫--|
doures enautre sdemandant	|----|-|-----⌫|--------|
secilauoit	-|--|----|
louleusueu	--|---|--|
cilrespon tquil nel otsa u	--|------⌫|-|-|-||-|--⌫|
o sa mainlo uuaass ennat	|-|---|--⌫|-|---⌫----|
q u alor le doie	-⌫|---|-|---|
alerquera nt	---|-----⌫-|
dementresquil	--------|-|-|
liens ignoit	-|---⌫-----|
uerloulous	--|--|---|
toz iorsre gardoi t	--|---|--⌫------⌫|
nepo oi t cese uzesgarder	-|--⌫--⌫|--|-⌫-|-------|
e t neporquantfistlenaler	-⌫|---------|---||-|---|
conillou uit b ien esloigniét	--|-|--|--|-⌫--|----------|
ceditau louf	-|--|-|---|
quilot muc ié	-|-|-|---⌫--|
ne mesez tuore boin	-|-|--|-|--|---|
queietaiencideliuré	--|-||-|---|-------|
l il ous respondicoiement	-⌫|-⌫--|-------|-------|
tale ngu etemainsuo i ere me nt	-|--⌫---⌫|-|----|--⌫-⌫---⌫--⌫-|
i l boingr e	-⌫|---|--⌫|
mais unerien	---|--|---|
silaloita mauolente	|-|----||-|------|
tioilseroientiacreué	-|--|-------|-|-----|
talanguetemai nsmegarirent	-|-----|-|---⌫-|-|-------|
tieul p erpoi me descou ri re nt	-|--|-⌫-|--|-|------⌫--⌫--⌫-|
uns pa ons fuform entiriez	--|--⌫--|-|----⌫--|----|
aso imeismescorreci ez	|--⌫|------|-------⌫-|
porce quete luo is neauoit	--|-|--|--⌫|--⌫-|-|----|
co nalucedi t	--⌫||-|-|--⌫|
aladeu eseloumostra	|-|---⌫--|--|-----|
etla damelidem anda	-|-|---|-|---⌫---|
sei lauoitas sezbiaute	-|-⌫|----|--⌫--|-----|
donte llauoit	---|-⌫||----|
en luminé	--⌫------|
de pennesl	-|-----||
auoitf aitplusb e l	----|-⌫--|---|-⌫-⌫|
queneueoit	--|-|----|
nul autr e oisial	--|----⌫|-----|
lipoons ditq uil s e do toit	-|----|--|-⌫|-|-⌫|--⌫---|
deto z oisiaulsp lus uisestoit	-|--⌫|-------|-⌫--|--|-----|
por ce quilne sauoitc han ter	--|-|-|-|-|-----|-⌫---⌫--|
c elerespontlasse	-⌫--|------|----|
b ien tedoittabi a ut e	-⌫--|-|---|-|--⌫-⌫--⌫|
ne nilfa itil bi enl ou	--⌫--|--⌫-|-|--⌫-|-⌫-|
q uantlirolcenolezpetiz	-⌫---|-|---------|----|
atmel loruoiz ie su ihonis	-|---⌫--|---|-|--⌫|----|
une barbisotagn elei	--|-----|-|---⌫---|
etcesbergies li	-|--|------|-|
s on agne lessi l en po rta	-⌫-|----⌫--|-||-|--⌫--|
aune chieu reloubailla	|--|-----⌫-|--|-----|
quis on leitl auoit norri	--|-⌫-|---||----|----|
el b oi sle	-|-⌫--⌫|-|
mena a u ecli	---|-⌫-⌫-|-|
conellouuit	--|-|--|--|
creu etgrant	---|-|----|
puislapallase lidit	---||-----|-|-|--|
labarbiz t amere	-|-----|-⌫|---|
etau moutonqui esttesperes	-|-|-----|--|--|--|----|
a ssez ta inorri longuement	-⌫---||-⌫|----|---------|
etilrespondisagement	-|-|-------|-------|
auisque b ien	---|--|-⌫--|
doit estre	---|----|
mamer eq ue	-|---⌫|-⌫-|
mes oloitpestre	-|-⌫----|-----|
maisquec eleque	---|--|-⌫--|--|
delimedeseura	-|-|-|------|
enci auintqu	---|----|-|
enzzpestiz	-|-|-----|
otgrant conpagne	-|----|-------|
parm iloucham pos amoillier	----⌫|--|----⌫||-⌫|-------|
saloitzzbret	|----|-|---|
lesbe rbis sensgarde	--|--⌫---|---|----|
uneenocistsile nporta	--|-|----|-||-⌫|----|
chascuniorelcham pre uenoit	------|--|-|----⌫|--⌫-----|
une enportoitsil	--|-|------|-||
berbisse ncorrecieret	-----||-⌫|----------|
entrausdistrentet consillerent	---|--|-------|-|-----------|
seuoloi entdeffendre	-|-----⌫--|--------|
pa rdroit eirese la iront prendre	--⌫|-----⌫|--|-|--⌫----|------|
ne ianese destorneront	-|-|-|-|-----------|
ne pormorirrienne	-|--|----|---|-|
ta ntatendirent loub recon	--⌫-|---------|--|-⌫----|
remestf oruns motons	-----|-⌫-|--|-----|
quantsolsseuitenlachampagne	----|---|-|--|-|-|--------|
ne pot muerquil	-|--|---|-|-|
neseplagn e	-|-|-----⌫|
grantlesche scefait ilf eismes	----|------⌫--|---|-|-⌫-----|
et m olt maluaisconselpreismes	-|-⌫--|------|-----|-------|
quant g rant c onpagn ieestions	----|-⌫---|-⌫------⌫-|------|
que nos nenosdeffendions	--|--|-|--|----------|
ue r cel homequeagrantto rt	--⌫|--|---|--||----|--⌫-|
prisetmisamort	---|-|--||---|
p orcedit lenarep rouier	-⌫-|-|--|--||---⌫-----|
p lusor neseuen tdomag ier	-⌫----|-|-----⌫|-----⌫--|
ne contraitierl or enemis	-|----------|-⌫-|-----|
qui lnefa cea elslou pis	-|-⌫|-|--⌫-||--|--|--|
un senpereresnor riia	--⌫|--------|---⌫-|-|
uns sing eq ue formentama	--|----⌫|-⌫-|------|--|
e t lisinge s	-⌫|-|-----⌫|
bienenten do it	---|-----⌫--⌫-|
sequahomefeire	-|-||---|----|
quantlempereor uitseruir	----||-------|--|-----|
etcesfestesl iuittenir	-|--|-----|-⌫|--|----|
quetui t l outindrentas ignor	--|---⌫|-⌫-|-------||-⌫----|
enlaf orestsemis tzzior	-|-|-⌫----|-|---⌫|-|--|
tozl essin gesfistass embler	--|-⌫-|---⌫--|---|---⌫-----|
petiz e tgrans	----|-⌫|----|
quil pottrouer	-|-|--|-----|
fi stl eue ra roi	--⌫-|-⌫---⌫||--|
re tint auuec quessoi	--⌫---|-----⌫---|--|
lorsprist femmesi otenfans	---|----|----|-|-|-----|
ettintfes teshau te s e t gra ns	-|---|---⌫--|---⌫--⌫|-⌫|---⌫-|
duihomesonte lboisal é	--|---|---|-⌫|---|--⌫-|
m ais ilsestoientesgaré	-⌫--|-||-------|------|
laoulising econuersoe nt	-|-|-|----⌫|---------⌫-|
contr eloruol entealoient	-----⌫|--|---⌫---|------|
laouilierentassemblé	-|-|-|-----|--------|
nel firentmied e	-||-----|--|-⌫|
l iunsestoittrichieresfaz	-⌫|--|-----|---------|--|
liautresfu	-|-----|-|
fo r mentlo iaz	--⌫-⌫---|--⌫--|
quante nlorcortfurentent ré	----|-⌫|--|---|-----|---⌫--|
d essingessontbel apel lé	-⌫-|-----|---|--|----⌫--|
li loalsho mlesesgarda	-|----|--⌫|--|------|
lienper esdemand a	-|-----⌫-|------⌫|
quelor semb loi tdesa	--|--|----⌫---⌫|-|-|
celeestoit	|--|-----|
beleetensegnie	---|-|-------|
etli loalshomli respont	-|-|----|--|-|------|
auisli estq uecin gesont	---|-|--|-⌫-|---⌫-|---|
de mo iet demafemmedi	-|--⌫|-|-|-|----|-|
monfilque tuuoisci	--|--|--|-|---|-|
ensemblenele se leir	-|-----|-|-|--⌫---|
doitfa itilsembler	---|--⌫-|-|------|
cingeselecingesse	-----|--|-------|
laissehidou s e feloigne sse	-----|-----⌫-⌫|--------⌫--|
puizsauoird etes f iz	---|-----|-⌫|--|-⌫-|
sont cingeteaupitiz	---|--------|----|
au tre cheorsonco npagno n	-|---⌫----|--|--⌫------⌫|
e nademandélerais on	-⌫||-------|-|----⌫-|
qu eplusb elegent	--⌫|---|-⌫--|---|
neuitonquesas on talent	-|--|-----||-⌫-|-----|
apresa dit	----||--|
d elorsigno r	-⌫|--|-----⌫|
qu ilre sembloitemp ereor	-|-|--⌫-------|---⌫----|
et bienpuetestre roisces fiz	-|---|---|----|---|--|--|
s amere semblee mpereriz	-⌫|---|-----|-⌫-------|
do ntl ontentr aussih onorei	--⌫-||--|---|--|-|-⌫-----|
de to tes par s	-|--⌫--|---⌫|
lontencliné	|--|-------|
louloiaulhomeauoient	--|-----|---|------|
s il ontdesertéetma l mis	-⌫||--|-------|-|--⌫-⌫--|
po rsonuoirdit lifi renthonte	--⌫|--|---|--|-|--⌫---|----|
icestessempl edece	----|-------⌫|-|-|
nepue tpas o letrich eor	-|---⌫|--||-|-----⌫--|
liloiaushoma uoirhonor	-|-----|--|-⌫---|----|
en cor toulendoie iugier	-|---⌫|-||-|---|-----|
nepe r mensonge foriugier	-|--⌫|-------|--------|
dun asneditquiencontra	|-|---|--|--|-------|
fi erce l salua	--⌫-|-||----|
sau tfrere de x te saut	---⌫|----|--⌫|-|---|
lilion s ui t l asnesi baut	-|----⌫|--⌫||---|-|---|
si lires p ondihauteme nt	-|-|---⌫-⌫---|-------⌫-|
etdesqu antso mesnos	-|--|--⌫--|--⌫--|--|
ditli asnesmeruellesoi	--|-|----|--------|-|
molt prisiezau t resbestespoi	---|------|--⌫-⌫--|-----|--|
tucudesbien sens	-|----|---|---|
n ul lefaille	-⌫--⌫-|-----|
quenulle neteco ntreualle	--|----|-|-|--⌫--------|
or uienom oien	-|---||-⌫-|-|
som cemo n t	--|-|--⌫-⌫|
oulesbestesensemblesont	-|--|-----|-------|---|
etie teferaiiaueor	-|-|-|----|-|---|
etsepora aperceuoir	-|-|---|---------|
quelesaurontpaorde moi	-|---|-----|---|-|--|
aut recibie nc onme	---⌫---|---⌫|-⌫---|
lilyo nse stalezo lu	-|---⌫-|-⌫-|---||-|
etloumon t monterent	-|--|---⌫|--------|
desorlou mont	----|--|---|
enla ualle e	-|-|-----⌫|
otde bes te sgranta sse mblee	-|-|---⌫--⌫|----|-⌫---⌫----|
liasne spristar echaner	-|----⌫|----||-⌫------|
et si la idementa cr ier	-|-|--⌫------||--⌫--|
quelesbestes se de partiren t	--|--|-----|-|--⌫--------⌫|
quipao ronts i sen	--|---⌫|--|-⌫||-|
liasnesdit uoiztu ami	-|----|--|---|-|--|
cequeie tauoie promis	-|--|-||----|-----|
l i lyo ns li	-⌫|---⌫-|-|
arespo nd u	|-----⌫--⌫|
portauertu	--|-|----|
ne por fiert equet une l	-|--|-----⌫|--|-⌫|-||
maisp orlou crique tucria s	---|-⌫-|--|--|--|-|----⌫|
semble espoent auble	-----|-------⌫----|
que tuttetienent	--|--|-|------|
siest de l orgui llonfelon	-|--|-||-----⌫---|----|
quipar menaceetpar tencon	--|--|-----|-|--|-----|
es poente lafolege nt	--⌫-----|-|---|--⌫-|
etsic udentaescient	-|-|-⌫----||------|
q uenus l i	-⌫-|--|-⌫|
osecontra ster	--|------⌫---|
desquilloient	--|-|-||----|
enci parler	---|-----|
trauilliez	---------|
etde so ncorage anuiez	-|-|--⌫|-----|-----|
enun e c oefistsonlit	-|--⌫|-⌫-|---|--|--|
molt fumaladesa son	---|-|------||--|
l es b estesfistaso i uenir	-⌫-|-⌫----|---||--⌫|----|
queiluoloit cedi tchois ir	--|-|-----|-|--⌫|-----⌫-|
qu imiexporro it	--⌫|---|-----⌫-|
en boixch acier	-|---|--⌫----|
et sa uiandep orchacier	-|-|-----|-⌫--------|
un esaunes lesman dot	--⌫-||---|--|---⌫--|
se s ocioitetdesuoroit	-||-----|-|--------|
m u exu oloit encim aingier	-⌫-⌫-|-⌫----|---|-⌫------|
qu aprescorr en etra u ill ier	-|----|----⌫|-⌫|---⌫-⌫---⌫--|
fuoels alez	-||--|---|
forsdela coe e starr astez	---|-|-|--|-⌫-|---⌫----|
desno uellesuolo itoir	--|--⌫-----|----⌫-|--|
iluo lsistauant uenir	-|--⌫----|----|----|
lilyons cistsi l esg arda	-|----|---|-||---⌫---|
iriementli	-------|-|
porco i neuuezuenir auant	--|--⌫|-|---|----|----|
et li colpisli responttant	-|-|-----|-|------|---|
si re faitil n i osaler	--⌫-|---|-|||-|---|
quenullun enuoire to rner	--|----||-|--|--⌫--⌫---|
de sbest esquiainsientrer ent	--⌫|----⌫-|--|---||------⌫--|
etporuos ue orialerent	-|--|--|--⌫-||------|
de cortaroies t encement	-|---||--|--⌫|-------|
texien tr e legierement	--||--⌫--⌫|----------|
queles nouelesescout er	--|--|------|------⌫-|
ciuo sreconte dunlyon	-|--⌫|------||-|---|
cuns uilainsp rist a conpagnon	|--|------|-⌫---||--------|
ent re a lsconte rent	---⌫-|-⌫-|-----⌫---|
lor parage	--|-----|
s i parlerent	-⌫|--------|
delorlignage	-|--|------|
l ilyo nsdit	-⌫|---⌫-|--|
fizsuideroi	--|--|-|--|
sil iatdit oruienomoi	-|-⌫|-|--|-|---||--|
a unmursont an duiuenu	|-|--|---|--⌫--|---|
ill uec a lilyo nsueu	---⌫--||-|---⌫-|--|
s or les pieresunepinture	-⌫-|--|-----|--|------|
quizzu ilainsparauenture	-||-|-⌫-----|--|-------|
osa hacheocist zz	|-|----|----|-|
si apella son	-|-----|--|
cestese mbla nce ci	----|--⌫----⌫--|-|
h om ou lions itantm e di	-⌫-|-|----|----|-⌫|-|
cefistunshomdis tl i uilains	-|---|--|--|---⌫|-⌫|------|
oces engins	|--|-----|
etoces ma ins	-||--|--⌫--|
lors al il yons	---||-⌫|-⌫---|
puebleconneu	-----|-----|
hom seitentaillieret	--|---|---------|-|
portra ire	------⌫--|
q ue l ily ons	-⌫-|-⌫|--⌫--|
nesetpa s faire	-|--|--⌫|----|
orenirons en senbleca	-|-|----|--⌫-----|-|
li lio nsuasilo mena	-|---⌫-|-|-|-|---|
azzchastiallenpereor	|-|-------||-------|
enci auint aceluior	---|----||---|--|
auo it ili ugiéa	---⌫-|-|-⌫----||
unhome que li otmeffet	-|---|--|-|-|-----|
prou ezesto itdetraison	----⌫-|----⌫-|-|------|
selfistgetier ason	-||---|-----||--|
te nso testégardez	--⌫-|-⌫|----|-----|
dedenslacort	-----|-|---|
enchaen ez	-------⌫-|
etillo cist	-|-||-⌫---|
isnellepas	---------|
na gardaar mesn edras	|-⌫----|--⌫--|-⌫|---|
li lyon s atant sen	-|----⌫|----||-|
et liu il a inscuil f utart	-|-|-⌫--⌫-⌫--|-|-|-⌫|---|
quediluecsef u ssentto rnei	--||----|-|-⌫-⌫----|--⌫---|
en lagastine	-|-|------|
parmil e sland es	----|-⌫-⌫|----⌫-|
tr aspas serent	--⌫-----⌫-----|
unau tre lyon	-|--⌫--|---|
en c ontrerent	--⌫-⌫--------|
aceludist quil faitdesroi	|---|---|-|-|---|-----|
mainelo u uila in osoi	----|--⌫|----⌫-||--|
qui se tlafosseapparillier	--|--⌫|-|----|----------|
seporoittre sbuchier	-|-----|---⌫-------|
ausi confir entsuiparent	---|--|---⌫--|--|-----|
ia losirra isi l	-||------⌫||-⌫|
li co nsent	-|--⌫----|
lilyon s distqu	-|----⌫|---|-|
illesc har nist	-||---⌫---⌫---|
n esofferoit	-⌫|--------|
q uil l oceist	-⌫|-||-----|
pornulerienque fo i	--|---|---|--|--⌫|
li uilains l otce	-|------||-|-|
molt lipar sotcedi tboin	---|-|--|--|-|--⌫|---|
liademan dé	-||-----⌫--|
si lisembloitsel	-|-|-------|-||
abien fait	|---|---|
l iuilains	-⌫|------|
dit autre mentuet	--|-----⌫---|--|
ainsleuos dis faitlilyons	---|-|--|--|---|-|----|
quenosfussomesconp agnons	--|--|-------|----⌫-----|
qu antmem ostras	--⌫--|-|-⌫-----|
une peinture	--|-------|
sorune peire	--|--|----|
e tiet aipuisl autre	-⌫|-||-|---||----|
et descou ertlasesgard ee	-|------⌫--||-|------⌫-|
per cest e ssempleuuetapredre	--|---|-⌫------|---|------|
que n us ne deuroit iaen t endre	--|-⌫-|-|------|-|--⌫-⌫----|
quiestdem ens onge	--|--|-|-⌫---⌫---|
n a peinture	||-------|
ques emble songe	--|-⌫----|----|
cestadirequeb ienuoitl	|--||---|--|-⌫--|---||
quila u eri teen descueure	--|-|-⌫---⌫-|-|--------|
une pucecedit monta	--|---|-|--|----|
sorzzchamoelsicheu alcha	--|-|------|-|----⌫----|
deciaunea utr econtree	---||--|-⌫---⌫|------|
dontcestlapu c eporpensee	---||--|-|--⌫-⌫|--------|
s i am erc ié loucham oel	-⌫||-⌫---⌫--|--|----⌫--|
quisoef dedens so npo il	--|---|-----|--⌫|--⌫-|
qu iauec luoitporté	--⌫|---|-|--|-----|
iam ais p ar lui n	---⌫--|-⌫-|--||
i fustalee	|---|---|
parsontrauailleserur o it	--|--|------|-|-----⌫-⌫-|
moltuolentierscele pooit	---|---------||--|----|
li chamoisli a respondu	-|------|-||-------|
o nq uesc hargiezde lu nefu	-⌫--⌫--|-⌫------|-|-|-|-|
sotc ele fu stsor	--||--|--⌫-|--|
ele lifeistan nui	--|-|----|--⌫--|
enciuadela po ur e	---|-|-|-|--⌫--⌫|
ses rich esont apris nemet	|-|----⌫-|--|-----⌫----|
forment le scudent correcier	------|--⌫|-----|--------|
d omagefaire	-⌫----|----|
e t a nnuier	-⌫|-⌫-----|
gr ese londi tlamani ere	--⌫---⌫--|--⌫|-|----⌫--|
qui i usqua	--|-⌫---||
unefremiere	--|-------|
elte nsdiuer estoitalez	-|--⌫-||---|-----|---|
parauenturee st	--|-------|-⌫-|
e ns entrét	-⌫-|------|
uiandedemandaet quis t	-----|------|-|----⌫|
que iln enauoitpoi nt cedi st	--|-||-|----|---⌫-|-|--⌫-|
mais on nason r ecet	----⌫-|||--|-⌫---|
distli form isquas tu di ua	---|-|----⌫-|-|-|-|-|-|
con tud euoiesgaaign ier	--|-|-⌫-----|------⌫--|
etenawoisttoi porchacier	-|-|-----|--|---------|
iechantaifaitil a desdui t	-|------|---|-||------⌫|
asautresbestes ma isne	-|-----|-----|--⌫-|-|
qui me uuelle guere don er	--|-|-----|-----⌫---⌫-|
porcemestueten c ialer	--|-||-----|--⌫-⌫|---|
dist li sor is or chantea	---|-|---⌫-|-|-----||
p a rcelefo i qu e ie	-⌫-⌫|---|--⌫|--⌫|-|
