orentendez	-|-------|
sirefaitel le n esoiez	---|---|--⌫-|-⌫|----|
prennezbatail leuersluiuozleu a intre z	------|------⌫-|---|--|--|-|-⌫-⌫-----⌫|
qu il est felettr aitres	-|-|--|--|-|--⌫-----|
ac e llenu itlont aita n t la issié	|-⌫-⌫--|--⌫-||--||---⌫-⌫|--⌫-----|
iusqu au matinqueil fuesclairié	----|-|----|--|-|-|---------|
quehardr ez	--|-----⌫-|
estetuestus	--|-|-----|
etcha uc iez	-|---⌫--⌫--|
an palaisuientdelez	-|-----|----|----|
leroi sassiet	-|--||-----|
leconteamileencuse	-|----|----|-----|
distsiredroisempereres	---|---|----|--------|
i euozapors nouueles e ff raees	-⌫|--|----|-------|-⌫--⌫----|
li cuensamiles tafilleauergondee	-|----|-----|-|----||--------|
aireprin se	-|------⌫-|
rois fait lardo ir la poudre	---|---||----⌫-|-|-----|
en soituentee	-|---|-----|
par deumo rte an	--|--|--⌫--|-|
doitiestre	---|-----|
nostreempereresenten tle pariuré	-----|--------|-----⌫|-|-------|
hardredisti l	-----|---|-⌫|
moultgranttort ena uez	----|----|---|-|-⌫--|
port restoutlord e	--|-⌫------||-|-⌫|
la c restiente	-|-⌫--------|
i l uers moidesloiaute	-⌫|---|--|---------|
d istli traitres or	-⌫--|-|-------|-|
lesfait ez mander	--|----⌫-|-----|
lenranz rec reantet	|-|---|---⌫----|-|
r oissimefaitez touz	-⌫--|-|-|-----|---|
lesmembrescoper	--|------|----|
orful iroiscorroucie z	-|-|-⌫|---|---------⌫|
nestpasmerueille	|--|--|--------|
n enfait ablasme r	|-|---||------⌫|
nost r eemp erer esles	----⌫-⌫|---⌫----⌫-|--|
faittantostman der	---|------|---⌫--|
uinrent quenel osentueer	------|--|-||----|---|
u oitlesliroislechief	-⌫--|--|-|---|-|----|
prins t acliner	-----⌫||-----|
ilne lorfis t	-|-|--|---⌫|
nulsambl ant de	--|-----⌫--|-|
leco nte si len aap e lle ́	-|--⌫--|-||-||--⌫-⌫---⌫|
par deu d is t	--|--|-⌫--⌫|
iltr opu oziestezhastez	-|--⌫-|-⌫-|-----|-----|
ri ches soudeesde	--⌫---|------|-|
ma cortemportez	-|---|-------|
quantd e mafill e ieste zrep rins	----|-⌫|-|----⌫|-----⌫|---⌫---|
m aispar l	-⌫--|--||
apostrec on quiertenno ironpre	------||-|-----|-|--⌫---|--|
seuozdecest eneuoz	-|--|-|----⌫|-|--|
poez oste r	---|----⌫|
ie uozferai celle	-|--|----|----|
tes teco per	---⌫-|--⌫--|
di stlicuenssirem enac ie z su ia ss ez	--⌫-|-|----|---|-⌫----⌫--⌫|--⌫|-⌫--⌫-|
centdehaisait en uiaireet eln es	---|-----|--|-|-----|-|-|-⌫-|
quim e nencuses i l	--||-⌫|-----||-⌫|
neleweul tm o nstrer	-|-|----⌫|-⌫-⌫-----|
ententle senscuidadesuer	-----|-|---|----|-----|
pardeuamilesbi enie steza pansez	--|--|-----|--⌫-|--⌫---|-⌫-----|
iade uoirdirene	-|-|---|---|-|
serezprins	----|----|
drois emp e re res mon gaigeanrece uez	----|---⌫-⌫--⌫--|--|----|-|----⌫--|
partelcou ue ntqueuozd irem	--|--|---⌫--⌫-|--|--|-⌫--||
ranzrec reantetmaté	---|---⌫----|-|----|
faitezmoipendre et	-----|--|-----|-|
au uentencr oer	-|---|----⌫--|
m al aitquim enespa rgne	-⌫-|--|--||-|----⌫---|
l ifelhard r ezapresentés on	-⌫|--|----⌫-⌫-||--------|-⌫-|
dedens lesmai nsl empereorle	-----|--|---⌫-||-------|-|
etdistliroisou son t	-|---|-|---|-|---⌫|
don tli ostaige	---⌫|-|------|
aicel motplus	|---|--|---|
de seissante	-|--------|
ensaillent	-|-------|
couzi nou frer etui t	-----⌫|-|----⌫|---⌫|
furentdunp araige	-----||-|-⌫-----|
lefo n tnelo rtort ah ont aige	-|--⌫-⌫|-|--⌫|---||-⌫---⌫---|
li cuens am i les	-|----|--⌫-⌫--|
estutenmilasale	----|---|-|---|
bien fuuestus	---|-|-----|
dunchier bliautd e paile	|-|----|-----|-⌫|----|
et d is t lirois amileuoz quefa itez	-|-⌫--⌫|-|---|----|--|--|--⌫---|
uoldr e z i eh irouuozu ol dre z combat re	-----⌫-⌫|-⌫--⌫-|-|--|-⌫--⌫---⌫|------⌫-|
ligenti zcuensles	-|-----⌫|----|--|
cheua liers esgarde	-----⌫----|------|
lesborgoin gnons dont ili	--|-------⌫----|---|-||
ot grant masse	-|----|----|
seignor distilfranc	------|---|-|----|
cheuali e rmirable	-------⌫-⌫|------|
enuers leroime	-----|-|--|-|
rec reezmo n guaige	---⌫---|--⌫|-----|
mal soitdecelquilifeistostaige	--|---|-|--|--|-|----|------|
u oit les li cuensa	-⌫--|--|-|----||
poidire nenrai ge	--||--||-----⌫-|
charlemain neen apel le	----------⌫-|-|----⌫-|
dr ois empereres f aitezpais sim	--⌫--|--------|-⌫----|---|-||
os taiges mer ouuezuozli u rer	--⌫-----|-|-⌫----|--|--⌫-⌫--|
faitez uenir monaufferrant	-----|----|--|---------|
dest ri er	----⌫--⌫-|
toutes mesarmeset mo ntranchant espie	-----|--|----|-|--⌫|--------|----|
etmonescuetmonelmeda cier	-|--|---|-|--|---||-⌫---|
de la bataillene meuoil plu stargier	-|-|-------|-|-|---|---⌫|------|
ain zl aferai ore n dr oituolentiers	---⌫|-⌫|----|---⌫-⌫--⌫--|---------|
rois o roipl ait	---|-⌫|-|--⌫--|
qui ma l siet	--|--⌫|---|
s e stiiez	|-⌫-----|
oresarmezsoruo	---|----|--|-|
qui l n ameillor en fra ncene	-|-⌫|||------|-|---⌫--|-|
s ozc ie l	-⌫-|-⌫--⌫|
bienen iriezdeua ntmescheuali ers	---|-|----|----⌫-|--|-------⌫--|
nuldeulsneserii ez bailliez	--||---|-|-----⌫-|-------|
nedemahonte	-|-|-|----|
nes eroieuengiez	-|-⌫----|------|
se sp eemande uoltl ui	|-⌫--⌫-|----|---|-⌫-|
quantl aroine li conmenc eahuchier	----|-⌫|----|-|-------⌫||------|
siredi stel le malferi ez	---|--⌫-|--⌫-|--|----⌫-|
seil u oz p laistle fran ccontela issie z	-|-|-⌫-|-⌫----|-|----⌫|----|--⌫-----⌫|
mescorsmeismezleuol dra ostai gie r	--|---|------|-|---⌫--|-----⌫---⌫|
etbelyssansporcui l abataillei ert	-|--------|--|--|-⌫|-------|-⌫--|
bueue smesfizquimoult	-----⌫|--|--|--|----|
fa itaprisier	--⌫-||------|
etdistilroisoroi	-|---|-|---|-|-|
plaitqui bi ensiet	----|--|--⌫-|---|
pa r cel apostrecona	--⌫|--|------||-||
romerequiert	---|-------|
seil i estma lmis	-|-||--|--⌫---|
nemehaingniez	-|----------|
ie uozferai to uzlesmembrestranch ier	-|--|----|--⌫-|--|------|------⌫--|
licuensl entent	-|----||-----|
ioians enfu e tlie s	-----|-|-|-⌫|---⌫|
h edex distil uozsoiez	-⌫|--|---|-|--|----|
cariaiost aigesriche s	--||-|---⌫----|-----⌫|
