quipetitseime petit quiau t	--|----|----|----|-----⌫|
uost re preu	----⌫-|---|
etliuallezarespo ndu	-|-|-----||-----⌫--|
ianes to ientpasdescendu	-||--⌫--⌫---|--|-------|
cil q ueieui ore enlala nde	--|-⌫-|-|-|--|-|-|--⌫--|
etuosuolezqu e	-|--|----|--⌫|
iedescende	-|-------|
monchiefne de scendrai	--|----|-|--⌫-------|
ma is fa itestostsi m en	--⌫-|--⌫---|---|-||-|
haifaitlir o is dox	--|---|-|-⌫-⌫-|--|
ielouferai	-|--|----|
m outuolantie r s	-⌫--|--------⌫-⌫|
a uostre preueta m anor	|-----|---|-|||---|
maisfoiq ue	---|--|-⌫-|
fait liua llezbiax	---|-|--⌫---|---|
ne serai cheua liers	-|----|-----⌫----|
d es mo is	-⌫-|--⌫-|
secheualiers uermaus	-|---------|------|
donezmoile sarmesc el ui	----|--|--⌫|----|-⌫--⌫-|
queie ncontraideors lapor te	--||-⌫-------|----|-|---⌫-|
q ui uostrecope	-⌫-|-----|---|
lisenechaus	-|--------|
s estco rreci ez	|--|--⌫-----⌫-|
deceque otet fuiriez	-|-|--|-|-|-|----|
etditamisuos	-|--|---|--|
au ezdroit	--⌫-|----|
tolir ora ndroit	----|---⌫-----|
lesa rmesqueelessontuo stre s	--|-⌫---|--|---|---|--⌫----⌫|
nefeistesmie quemornes	-|------|--|--|-----|
qantuosporce	---|--|--|-|
keuxfaitliroispor	---|---|-|---|--|
tr op ditesuolant iersanui	--⌫-|----|------⌫---|---|
sene uoschautonques a	-|-|--|----|-----||
aprodome est ce trop	|------|--|-|---|
porceseli u allezes t	--|-|-|-|-⌫----|--⌫|
sesti l esp oir	|--|-⌫|---⌫--|
moutgentis	---|-----|
ou celiu ientuoird	-|-|-|-⌫---|---||
uila i nm estre	----⌫-⌫|-⌫----|
encorpuetpreuzetsaiges	----|---|----|-|-----|
ui leni eest	--⌫----⌫|--|
d atru iguaber	|----⌫|-----|
etd epro metre sanzdoner	-|-⌫|---⌫----|---|----|
prodomnese doit	-----|-|-|---|
antremetre	---------|
deriennuleaautrui	-|---|---||-----|
q uedon erne lipuiseetuoille	-⌫-|---⌫-|-|-|----|-|-----|
queloma ugre	--|-|--⌫---|
c elui nacoill e	-⌫---||------⌫|
quisanzprometreestsiamis	--|---|-------|--|-|---|
et desque illi apromi s	-|-----|-|-||-----⌫|
sibeealaprome se auoir	-|--||-|-----⌫-|----|
cesipoezsauoir	-|-|---|-----|
quease z uauroit	--|---⌫|------|
ilmiel zueer	-|----⌫|---|
qu afairebeer	-||----|---|
etquilouoir dire	-|--|-|---|---|
a nuodroit	-⌫|------|
luimeismes	--|------|
gabeetdecoit	---|-|-----|
e nsinli roisakeuparloit	-⌫---|-|---||--|------|
e t liu allezquis an aloit	-⌫|-|-⌫----|--||-|----|
a unepu c e leueue	|--|--⌫-⌫-⌫-|---|
bele et gente silasalue	---|-|----|-|-|----|
et c elelui	-|-⌫--|--|
et s ilir ist	-|-⌫|-|-⌫--|
et en rientitantlid ist	-|-|----|----|-|-⌫--|
uallezsetu u iz par a aige	-----|-|-|-⌫-|--|-⌫---|
iep ans etcuiten mon co raige	-|-⌫--|-|---|-|--|--⌫----|
queantrestot lom ondenau ra	--|-|------|-|-⌫---||--⌫-|
n iln iestnela n	|-|||--|-|--⌫|
nulcheualiermeillor	--|--------|------|
pa nsetcuitetcroi	--⌫-|-|---|-|---|
etlapucelenau oitris	-|-|-----||--⌫--|--|
ain zau oitpass éplusdedis	---⌫|--⌫--|----⌫-|---|-|--|
qu etuitloirent etke x saut	--⌫|---||-----|-|--⌫|---|
cui la parole	--|-|-----|
en uiamout	--⌫--|---|
sili done zz	-|-|---|-|
copsi estout	--|-|-----|
desa paumeenla	-|-|----|-|-|
facetandre	---|-----|
que il lafistaterr e	--|-|-|---||----⌫|
p uce leferueot	-⌫---⌫-|----|-|
retortrouaunsot	----|----|-|--|
lez un e chemine e	--|--⌫|-------⌫|
silo botaelfeu ar d ant	-|-|---|-|--|--⌫-⌫--|
par corroze tparire	--|-----|-⌫|--|--|
por cequelis o z soloit dir e	--|-|--|-|-⌫-⌫|-----|---⌫|
ce stepu cele	--⌫--|--⌫---|
iusq uetantq ue	----⌫-|-----⌫-|
celuiquidecheualerie	----|--|-|---------|
auratotela seignorie	---|---|-|--------|
ensincil cri eetcele pleure	----|--|---⌫|-|---|-----|
etliuallezplusnedeme u re	-|-|-----|---|-|----⌫-⌫-|
retornesan zconsoil	------|---⌫|------|
apres locheuali eruermoil	----|-|-------⌫-|------|
iuonezquilesdroizsantiers	-----|--|--|----|-------|
sau oittoz	---⌫--|--|
etm outuolantiers	-|-⌫--|---------|
apor toi tnoue lesa co r t	----⌫---⌫|----⌫--||--⌫-⌫|
atozyycompaignonsacort	|--|-|----------|----|
pa r unuergier	--⌫|-|------|
d elezla sale	-⌫---|-|---|
et parunepoterneauale	-|--|--|------|----|
tanq ue uint	----⌫-|---|
auchem intotdroit	-|----⌫-|--|----|
cheu a liers latandoit	----⌫-⌫----||-------|
cheualeri eet	---------⌫|-|
etli ual lezgrantale ure	-|-|---⌫--|----|---⌫--|
uint uers lu iporlesarmespa nr e	---|---|--⌫|--|--|----|--⌫--⌫|
etli cheual ierporatandr e	-|-|------⌫--|--|------⌫|
auoit lac op edor	----|-|-⌫--⌫||-|
perromaproi chiél ot	-----|-----⌫----||-|
siqueliuns	-|--|-|--|
lautreoir pot	|----|--|--|
silicriametezles ius	-|-|---|----|--|--|
lesarmesetlesme tez ius	--|----|-|--|--⌫--|--|
roisartu s	---|----⌫|
ual lezfait ilie tedemande	---⌫--|---|-|-|-|------|
se n usaosse ́cauenir	-|-⌫-||----⌫|-|----|
po rlo droit lo	--⌫|-|----|-|
roimaintenir	--|--------|
senusiu ient	-|--||-⌫---|
commant deia bleest	------|----⌫--|--|
danscheual ie rs queuosmefaites	---|------⌫--⌫-|--|--|-|-----|
qancornauez mesarmestrai tes	|----||---|--|----|----⌫--|
ost ezles tostiouoscomman t	---⌫-|--|---|-|--|------⌫|
uallezfai tilie te demant	-----|---⌫|-|-|-|-----|
seuosuientcide parle roi	-|--|----|-|-|--|-|--|
queconbatrese	--|-------|-|
uoillea moi	-----||--|
danscheualie rs	---|--------⌫-|
carost ez to st	--|---⌫-|--⌫-|
les ar mesque ie lesuos	--|--⌫--|--|-|--|--|
queplu sneuos ensosferroie	--|---⌫|-|--|-|---------|
bien sa ichi ez que	---|--⌫----⌫-|--|
ieuosferroie	-|--|------|
sepl us parl ermenfeissiez	-|--⌫-|----⌫-||-|-------|
lorsfulicheua l i ersiriez	---|-|-|-----⌫-⌫-⌫--|----|
lalancea en	-|----||-|
yypoinz le uee	-|----|--⌫--|
etsilendonegran tc olee	-|-||-|---|----⌫|-⌫---|
p arlesespaulesentr auers	-⌫-|--|-------|-|--⌫----|
parla oun estoit	--|-|-||-----|
fistenbronchieraual	---|----------|---|
iusquesor locoldoc heual	-----|--|-|--|-|-⌫----|
etliuallezsestcorreciez	-|-|-----||--|--------|
q antilsantiquif ubleciez	-⌫--|-|----|-||-⌫|------|
dela colee qu	-|-|----|-|
ilotpris e	-|-|----⌫|
mi el z qu i	--⌫--⌫|-||
p uetlauise	-⌫--||----|
e t lai se al erlo iauelot	-⌫|---⌫-|--⌫-|-|------|
cilquinentant n euoitne	--|--||-----|-⌫|---|-|
l ofierttresparmi	-⌫|----|---|----|
s iquilifetouhaterel	-⌫|-||-|--|-|------|
saig nier et la cerueleespant	----⌫---|-|-|------|-----|
l i cuers limant	-⌫|----|-|---|
siue rseetch i et toze standu z	-|--⌫--|-|--⌫-⌫-|--|-⌫------⌫|
et liuallezestdescenduz	-|-|-----|--|--------|
l alanc e a zzp art	-⌫|----⌫||-|-⌫--|
etl escudo	-||---|-|
collidepart	--|-|-----|
ma isi lnensetueni r	--⌫-|-⌫||-|--|----⌫|
do hiaumeq uil ot s or lo chie f	-|-----|-⌫|-|-|-⌫-|-|----⌫|
qu ilne setcomm antillopraigne	-|-|-|--|----⌫--|-|-|------|
etlespeequil	-||----|-|-|
lid esceigne	-|-⌫-------|
mainten a ntmes iln	-------⌫-⌫-|--|-||
o set fere	|--|---|
nedodesarmer a c h ieftraire	-|-|-------||-⌫-⌫--|-----|
lorsprantlofeurre	---|----|-|-----|
etsac hetire	-|---⌫-|---|
iu o nezcommenc aa rire	--⌫-⌫--|-------⌫||---|
qantlo ualletuoitentrepris	---|-|-----|---|--------|
estfaitila mis	--|---|-|-⌫--|
quefaite s uosiene s aicoi	--|-----⌫|--|-|-|-⌫-|--|
iec uidoiede	-|-⌫-----|-|
uostre roi	-----|--|
q uilmaustces	-⌫|-||---|--|
armes done es	----|----⌫-|
m aisa inzauroie a charbonees	-⌫--|-⌫--|-----||---------|
tre stotesb raoné ce mort	---⌫---|---⌫-----|-|---|
quenules desarmesen port	--|----|--|----|--⌫---|
orne uosesmaiez derien	-|-|--|------|-|---|
queielesde partiraibien	--|-|--|--⌫-------|---|
seuos uolez faitiuonez	-|--|----|---|-----|
faitesdon tost	-----|--|---|
faitliuallez	---|-|-----|
selm edonezs en znularest	-||-⌫|----|-⌫--⌫|--|----|
tantost yone zl odeuest	------|----⌫|-⌫|-----|
lartoil lodeschauce	|-----|-|--------|
n el ilaissehaubert nechauce	-⌫|-⌫|-----|------|-|-----|
nehiaume o chiefn	-|-----||----||
au t rearmeure	--⌫-⌫-|------|
maisli ua llezsauesteu r e	---|-|--⌫---|-|------⌫-⌫|
neu ost laisierne	-|-⌫--|------|-|
porrie nq ueyonezdeist	--|---⌫|-⌫-|----|----|
un e coteb ien aasiee	--⌫|---|-⌫--|-----|
dedrapde so i gambesiee	-|---|-|--⌫|--------|
qu edesusson aubert	--⌫|----|--|-----|
licheualiers q ua ntuisestoit	-|---------|-⌫--⌫-|--|-----|
noste rnel ipooitdes	|----⌫|-|-⌫|----|--|
lesr euelinsq u	--|-⌫------|-⌫|
il ot chauciez	-|-|-------|
a deai ble sceorg as	|----⌫---⌫|-|-|-⌫-|
i echanger oiemesbonsd ras	-⌫|-------⌫--|--|---|-⌫--|
q uemamere	-⌫-|-|---|
mefistlautrier	-|---||------|
drasacecheualie r	---||-|--------⌫|
magross echemise	-|-----⌫|------|
p orc este qui estmoleettanre	-⌫-|-⌫---|--|--|---|-|----|
uodrei ezo rqueielaisaise	------⌫-|-⌫|--|-|-------|
ma cote oue ue nepasse	-|---|-|-⌫-|-|----|
p orceti quinentanroitg ot e	-⌫-|---|--||-|------|-⌫--⌫|
mal daezaitsago rg etote	--|---|--|-|--⌫--⌫|---|
quichangeraneloig ne pr es	--|-------|-|---|-|--⌫-|
sesbons drasp or autrui mal ueis	--|---|---|-⌫-|-----|---⌫---|
mou t g rief chose est defol apanr e	---⌫|-⌫---|----|--|-|--|-----⌫|
ne uos tforsles	-|---⌫|---|--|
armes panr e	----|----⌫|
porpreiere qu e len lifac e	--|------|--⌫|--|-|---⌫|
iuonez le schauces li	-----|--⌫|------|-|
le se sper onsdesor lachauce	--⌫|-⌫----⌫--|----|-|-----|
desorles reuelinslic hau ce	----|--|-------|-|-⌫---⌫-|
le h aubert uest u	-|-⌫-----|----⌫|
tel que onquesmeildr es nef u	--|--|-----|------⌫-|-|-⌫|
le hiaumequimoutbien li	-|-----|--|---|---|-|
desorl acoifeliasiet	----|-⌫|----|-|----|
etde l es pee	-|-||--⌫--|
li ens a igne	-|---⌫-⌫---|
quelaitchiereet si lace igne	--||--|-----|-|-|-|--⌫---|
pui sl imet	---⌫|-⌫|--|
lopie al estr ier	-|--|||----⌫--|
ete stmontezsorledestrier	-|-⌫-|-----|--|-|-------|
ain zmesestrierau nauoit	---⌫|--|------|-||----|
nedesperonrienne	-||------|---|-|
forsdosillentdelareorte	---|-|------|-|-|-----|
yonez l esculi aporte	----||---|-|-----|
etlalancepuissili	-|-|----|---|-|-|
encois queionez	------⌫--|----|
uallezamiprenez	-----|--|-----|
mon chaceorsi len	--|------|-||-|
et p ortezsa	-|-⌫----|-|
cope loroi	---|-|--|
silos alu ezde pormoi	-|-|-⌫---⌫-|-|--|--|
et ta ntdi tesala pucele	-|--⌫-|--⌫--||-|-----|
feri s ozlameme le	---|-⌫-|-|----⌫-|
queseieuifainzqueie	--|-|-|--|------|-|
licuitiemestremoutbiennui re	-|---|-|-----|---|---|---⌫-|
quep oruangieesetanra	--|-⌫-|------|-|----|
etcil ditqu eilli	-|--|--|--⌫|-|-|
sacopee tso n m esaige	-|---|-⌫|--⌫|-⌫-----|
forniraalo i domesaige	------||--⌫||--|----|
atantdep art entetsen iront	----|---⌫---⌫--|-||-|----|
ouli baronsont	-|-|----|---|
antreyo nezparmilaporte	----|--⌫--|----|-|----|
qui auroisacoperaporte	--|-|--|-|---|------|
silidists ireorfaitesioi e	-|-|---|-⌫--|-|-----|---⌫|
que uostrecope	--|-----|---|
uosen uoi e	--|--⌫---⌫|
uostres cheu alie rsqui cifu	------|----⌫----⌫-|--|-|-|
che ualiersmediztu	---⌫------|-|--|-|
fait liroisquiensagrant ire	---|-|---|--|-|-|----|--|
estoitencoranondesire	-----|----||--|-|---|
fait ionez doualletdi	---|----|-|-----|-|
qu iorandro it p ar tide	--⌫|-------⌫-|-⌫--⌫-|-|
dizt udo nc do u alletgalo is	--|-⌫|--⌫-|-|-⌫----|----⌫-|
quimedemandafaitli rois	--|-|------|---|-|---|
les ar mesde sinopletainte s	--|--⌫--|-|------|------⌫|
aucheu alier q ui hontesmaintes	-|----⌫----|-⌫-|-----|------|
ma f aites selo nc sonp ooir	||-⌫----|----⌫-|--|-⌫---|
sire decelui	---|-|----|
et macope commant otil	-|-|---|------|-|-|
aimelotantet prisecil	---|-|---|-|----|--|
liadeson gre	-||-|--|--|
ancoisl i asichier u and ue	-----|-⌫||-|----|-⌫---⌫-|
liua llezqu eil l aocis	-|--⌫---|--⌫|-|||---|
etcommant f uil dexamis	-|------|-⌫|-|--|---|
si re nesa i mesq ueieui	--⌫-|-|--⌫|----⌫-|-|-|
que l i cheualierslo	--|-⌫|---------|-|
etliuallez ref eril ui	-|-|-----|---⌫--|-⌫-|
iaue lot parmi	----⌫--|----|
loro i lle	|---⌫-⌫--|
si quillifis ttote	-|-|-|-|---⌫|---|
uermoi ll e	------⌫--⌫|
lo sancetla	-|---|-|-|
ceruelees pa n dre	------|--⌫--⌫-⌫--|
etsiloui a	-|-|-|-||
ter re est andre	---⌫-|---⌫----|
lorsd itliroisausenechal	---|-⌫-|-|---|-|-------|
akeuxcommau ezfaithuimal	|---|--||--⌫-|---|--|--|
pa ruostre	--⌫|-----|
languelennieu se	-----||------⌫-|
domauezditemai nte oiseuse	--|---|---|---⌫--|------|
telche ualiertolu	--|---⌫-----|---|
quimoutmahu ic eiorualu	--|---|||--⌫|-⌫|--|---|
s irefa itionez auroi	-⌫--|--⌫-|----|-|--|
parm o n chiefilmandepar	--|-⌫-⌫|----|-|----|--|
alapuc elelaraine	|-|---⌫--|-|----|
queke x f eripar	--|--⌫|-⌫--|--|
etpardespit	-|--|-----|
qui l la r euenc heras	-|-⌫|-|-⌫-----⌫---||
tantqu euenir en	------⌫|----|-|
puise en leu	----|-|--|
lifoxquiseoitle z	-|--|--|----|--⌫|
otla parole	-|-|-----|
etuientdeui ent lor oitozliez	-|----|----⌫--|-|-⌫-|--|---|
t elioie quiltripe etsaut	-⌫-|---|-|-|----|-|---|
etditauroisedexme saut	-|--|-|--|-|--|-|---|
oraproch entnosauenture s	-|------⌫--|--|--------⌫|
def elena usesetded ur es	-|-⌫-----⌫---|-|-|-⌫--⌫-|
en uerro iz auenir souant	-|-----⌫-|-----|-----|
et si uosmetbien enc ou ant	-|-|--|--|---|-|-⌫--⌫--|
quekexpuetestretoz certa ins	--|--|---|----|--|-----⌫--|
quem ar uitlespiezetles	--|-⌫-|--|--|---|-|--|
etsalan gu efol eet uilaine	-|-|---⌫--⌫|---⌫|-|------|
qainzq u e pa st	|-----⌫-⌫|--⌫-|
cetekarentaine	---|---------|
auralicheualiersuanchié	---|-|---------|-------|
lo co pquil meferido pie	-|--⌫|-|-|-|---|-|--|
bienuendue	---|-----|
etcom pareeetchieruand ue	-|---⌫----|-|----|----⌫-|
que ildona	--|-|---|
queantr e locolet	--|----⌫|-|--|-|
lobra zdestre lib risera	-|---⌫|-----|-|-⌫-----|
undemi an louportera	-|---|-|--|------|
a u colp andu etbienlo	-⌫|--|-⌫---|-|---|-|
n ipuetfaillir forsqualamort	||---|------|-----||-|---|
cestepa role tant greua	----|--⌫---|---|----|
queparpoque iln e cr eua	--|--|-|--|-|-⌫|--⌫--|
demautalant	-|--------|
etdec orroz	-|-|-⌫----|
qanti ln elosau eiantto z	---|-⌫|-⌫||--|-⌫----|--⌫|
telc onreer q ue	--|-⌫-----|-⌫-|
porcequ elo roidesplaus t	--|-|--⌫|-|--|--------⌫|
laisa queilne	----|--|-|-|
et lirois di t a hi	-|-|---|--⌫|-⌫-|
mau ezhuicorre ci é	|--⌫-|--|-----⌫--⌫-|
qu eensaignié e tadrecié	--⌫|---------|-⌫|-------|
loual le tas armesaust	-|---⌫--⌫|-|----|---|
tantc un poaidiersesaust	----|-|-|-----|-|----|
e tdel e scuet	-⌫|-||-⌫--|-|
d elalan ce	-⌫|-|---⌫-|
bonscheualiersfust	---|---------|---|
sanzdotance	---|------|
maisi l nesetnepo	---|-⌫|-|--|-|-|
darmesnenule	|----|-|---|
aut rerie n	---⌫-|---⌫|
carneistrairene sauroit	--|---|-----|-|------|
lespee sebes oigauoit	|----|-|---⌫--|----|
arm ezsorsoncheual	---⌫-|--|--|-----|
encontroitloaucun	---------|-|----|
que porsoncheual guaaignier	--|--|--|-----|---------|
no dotero itameaignier	||------⌫-||--------|
totmortou meh aigniélaura	--|---|-|---⌫------||---|
iadeffandre n e se saur a	-|--------|-⌫|-|----⌫|
tantestnices et besti aux	---|--|----|-|-----⌫--|
sauratost faitses	|---|---|---|--|
ensinl iroisplainte tre grat e	----|-⌫|---|-----|-⌫|--⌫----⌫|
loualle tetf ait chieremate	-|-----⌫|-|-⌫--|-----|---|
maisilnipuet ri enconquester	---|-|||---|--⌫-|---------|
sanlaisse laparole	|-|-----|-|-----|
et liual lezsanznularest	-|-|---⌫--|---|--|----|
uaitcheua uchantparla f orest	---|-----⌫-----|--|-|-⌫----|
ta ntqueaterrep laineui nt	--⌫----||----|-⌫----|--⌫-|
r iui erequi t int	-⌫---⌫--|--|-⌫--|
deleplus dunea ub elestee	-|-|---||--|-⌫--⌫------|
se stoit l	|-⌫----||
aiue toterantree	---|---|------|
et ret rai te an son droitconduit	-|---⌫---⌫-|-|--|----|------|
grantriuere qui bruit	----|-----|--|----|
sa nua tote zzpraerie	|-⌫|-|---|-|------|
mai senl aiue	---⌫|-||---|
nen tra ilmie	|--⌫--|-|--|
uitmoutcorran tetr oide	--|---|------⌫|-|-⌫---|
etas sezplu scorrant queloire	-|--⌫--|---⌫|------|--|----|
s i senuato tselonclariue	-⌫||-|-|--⌫|-----|-|---|
lezzzgra nt r oichenai ue	--|-|---⌫-|-⌫----|---⌫-|
quid aut repartdeleueestoit	--||---⌫-|---|-||--|-----|
si quel eue	-|--||--|
aupielibatoit	-|--|-|-----|
soru n e roich e enzzpan dant	--|-⌫-⌫|-----⌫|-|-|---⌫---|
quiuers mer aloi t descendant	--|---|--|----⌫|---------|
otun chast el etbeletfor t	-|-|-----⌫-|-|--|-|---⌫|
si con l eiuealoit ou r egort	-|--||---|----|-|-⌫----|
tornaliuallez	----|-|-----|
e tuitlator	-⌫|--|-|--|
doc has telnestre	-|-⌫---⌫--|-----|
fuqueles nessoient	-|-|---|--------|
et queforsdo	-|--|---|-|
chaste lissoie nt	------⌫|------⌫-|
amilocha stelene stant	--|-|---⌫---|-|-⌫----|
o t uneto ret forte t	-⌫|--|--⌫|-|---|-⌫|
q uia la m erse	-⌫-||-|-⌫-|-|
etlamersau	-|-|---|-|
auyypartiesdomur	-|-|------|-|--|
donli carrelestoientdur	--|-|-----|-------|--|
auoityybasses torneles	----|-|-----|-------|
qui moutestoient forsetbele s	--|---|-------|---|-|----⌫|
lichas tiaus	-|----⌫----|
bie n seanz	---⌫|----|
etbiena aisiez pa rdedanz	-|---|-⌫-----|--⌫|-----|
deuantlochasteletreont	-----|-|--------|----|
ot sor le uedreciézz pont	-|--||-⌫-|------|-|---|
de pierr e d araineet	-|-----⌫||-----|-|
li ponzes toitet	-|---|--⌫---|-|
or s e t ha uz	--⌫|-⌫|--⌫-|
abatai lles trestot autor	|-----⌫---|------|----|
etdeuantz z pont torneiz	-|-----|-⌫|---|------|
quies toitfaiz	--|--⌫---|---|
et establiz	-|-------|
acequesadro itureporte	|-|--|-|---⌫----|----|
loior estp onze t	-|--|--|-⌫--|-⌫|
liuall et uerslo	-|----⌫-|---|-|
pontchemine	---|------|
uetuzdunerob ed er mine	----||--|---⌫||--⌫---|
prod omesbaiant	----⌫-|-------|
desor lopontet si a tan t	----|-|---|-|-|-⌫---⌫|
celui quiuerslopontuenoit	----|--|---|-|---|-----|
li p rodo m ens a	-|-⌫----⌫|-|-⌫|
main t enoit	---|-⌫----|
par contenancezz ba ton et	--|---------|-|--⌫---⌫-|
etap resluifuren tuall e t	-|--⌫--|--|-----⌫|----⌫-⌫|
desafubléuenu	---------|---|
cilquiuientot b ienretenu	--|--|----|-|-⌫--|-----|
cequ esame reli aprist	-|--⌫|-|--⌫-|-|-----|
queill o salua etdist	--|-|-⌫|----|-|---|
dex tebeneiebiausf rere	--|-|-----|----|-⌫---|
fait li prodom qui	---|-|-----|--|
nice e t sot	---|-⌫|--|
auparlerlo	-|-----|-|
c onut a so t	-⌫---||--⌫|
et a dit fre r ed on uie nstu	-||--|---⌫-⌫|-⌫-|---⌫-|-|
donde lacor tloroiartu	--|-|-|---⌫|-|--|---|
quif eische ualier ma fait	-||-⌫--|---⌫-----|||---|
qui b oneau ent ureai t	--|-⌫--|--⌫---⌫--|--⌫|
ch eualie rsedeubien med oint	--⌫------⌫|-|--|---|-|-⌫---|
c uitore quen ce point	-⌫--|--|-|-|-|----|
detelch oselis ou enist	-|--|--⌫--|-|-⌫--⌫----|
ie cuidoiedel litenist	-|------||-|-|-----|
au roiqu edecheualierfaire	-|--|--⌫|-|--------|----|
freredebona ire	----|------⌫--|
ces armesquilestebaill a	--|----|--|--|-|-----⌫|
l ir oisar tu s l es medona	-⌫|-⌫--|--⌫--⌫|-⌫-|-|---|
di mor comma nt	-||-|-----⌫-|
etci lliconte	-|--⌫|-|----|
uo s quiauez	--⌫|--|---|
o il oconte	-⌫|-⌫|----|
quiautr efoizlocon t eroit	--|----⌫|---|-|---⌫-⌫----|
ouoi sse seroit	----⌫--|-----|
q ue nus contes decenam ande	-⌫-|--|-----|-|-||--⌫---|
etliprodonmeredemand e	-|-|-----|-|--------⌫|
qu ilsetfair e d e son	-|-|--|----⌫|-⌫|--|
ie l corbienamont et aual	-||--|---|----|-|---|
totautresincom	--|-------|--|
ie co rr oie	-|--⌫--⌫--|
monchaceorquantielau o ie	--|------|----|-||--⌫-⌫-|
qa n la mai s o nmam ere pris	|-⌫|-|---⌫-⌫-⌫|-|-⌫--|---|
etde tesarmes	-|-|--|----|
biaux amis	----|---|
meredi tesqu ensauez	-|----⌫--|-|-|----|
saibienuestiretretr a ire	--|---|-----|-|----⌫-⌫--|
siconliua llezmenarma	-|--|-|--⌫---||-|---|
quiuoient moiendesarma	--|-----|--|-|------|
celuiqueieauoie mort	----|--|-|----|---|
e t silegie reman t	-⌫|-|-----⌫-----⌫|
q ueelesne megri e uentrien	-⌫-|---|-|-|---⌫-⌫---|---|
prodomcemesietbien	-----|-|-|---|---|
parl a rmede et mo utm e sie t	--||-⌫--|-|-|--⌫-|-⌫|---⌫|
ormeditesque neuos	-|-|----|--|-|--|
quesbe soi nz uos	---|--⌫---⌫-|--|
sireauenturemensai gna	---|-------||-----⌫--|
etmam erequeie alassa	-|-|-⌫--|--|-|-----|
ausprodome set	--|-------⌫|-|
mec onseilla se	-|-⌫--------⌫-|
etc reussequeme	-|-⌫-----|--|-|
quep reu i on tcil quilescroient	--|-⌫--||--⌫|--|--|--|------|
prodonrespon tbia xfr ere	-----|------⌫|---⌫|--⌫--|
beneoitesoituostre mere	-------|---|-----|---|
queeleu osansaignabi en	--|--|-⌫-|-------|--⌫-|
mais uolezuospl us dire rien	---|----|--|--⌫-|---|---|
oile tcoitantet	--|-⌫|--|---|-|
que uosmeesberg ie zhui mes	--|--|-|------⌫--⌫|--|--|
moutuolantiersfaitliprod om	---|---------|---|-|----⌫-|
maisqueuos motr oi ez	------|--||---⌫--⌫-|
dongrant bie nf aitiluos	--|----|---⌫|-⌫--|-|--|
et coif ait ilqueuoscr eoiz	-|--|-⌫--|-|--|--|--⌫---|
loconsoiluostremereet	-|------|-----|---|-|
par foi faitilieu osotroi	--|--|---|-|-|-⌫-|----|
donde sce ndez	--|--⌫---⌫---|
etildescent	-|-|------|
etzzuall ezsoncheualpran t	-|-|----⌫-|--|-----|----⌫|
desyy q uifurentuenu	--|-|-⌫-|-----|---|
et li autresloud e sarma	-|-|-----|--|-⌫-⌫----|
enlarobe so te	-|-|---|--⌫-|
esreuelinsetenlac ote	-|-------|-|-|-|-⌫--|
de cer mau faiteet maltailliee	-|--|---⌫----|-|----------|
que same re li otc hargiee	--|-|--⌫-|-|-|-⌫------|
e tli prod omse faitchaucier	-⌫|-|----⌫-|-|---|-------|
lesesperonstranchanzdacier	--|-------|--------||----|
que li uallezotaportez	--|-|-----|-|------|
siest sor lo	-|--|--|-|
che u almontez	---⌫-⌫-|-----|
par laguig epant	--|-|----⌫|---|
ason col e t	|--|--|-⌫|
la lancepr a nt	-|----|--⌫-⌫-|
et d itamisoraprenez	-|-⌫-|---|-|------|
darmes etgardeuosdonez	|----|-|----|--|----|
commantlend oit	------|--|-⌫--|
lance teni r	----|----⌫|
corre etporsa illir	----|-|--|--⌫----|
desplo ie lensa igne	------⌫-||----⌫---|
sil ap rant	-|-⌫|-⌫---|
et siliensaigne	-|-|-|-------|
comment en doit son escuprandre	------|-|---|--|---|------|
un p e t i t louaitauent	-|-⌫-⌫-⌫-⌫|-|---|----|
ta ntq uauco pdoch euallo	--⌫---⌫|-|--⌫|-|--⌫---|-|
etmetlalenceoufautr e	-|--|-|----|-|-----⌫|
quiyy marsualoit	--|-|---|-----|
que nus plusuo lantiersualoit	--|--|---|--⌫-------|-----|
ne degre ignoruer tu	-|-|---⌫----|---⌫-|
lipr odo m sotmou tde les cu	-|--⌫---⌫|--|---⌫|-||--⌫-|
etdo ch eualet	-|-|--⌫---|-|
d ela lance	-⌫|-|----|
carill otap ris des enfance	--|-||-|--⌫--|--|------|
s iplotmo utau	-⌫|---|--⌫-|-|
ual l etetsist	---⌫-⌫-|-|---|
t restotquantqueliprodo mfist	-⌫-----|-------|-|-----⌫|---|
qan til ot f aittotsoncenbel	---⌫|-|-|-⌫--|--|--|-----|
deuantlo ualletbienetbel	-----|-|-----|---|-|--|
q uebien a nest gardedonee	-⌫-|---|-⌫|--|----|----|
etui entalui	-|--⌫--||--|
lanceleuee	----|----|
au uall etetdem andeli	-|----⌫-|-|---⌫---|-|
amissau reiezuosa n sin	---|---⌫----|--|-⌫-⌫--|
la la nceetl	-|--⌫--|-||
escudemener	---|------|
etl ocheualpoindre etm en e r	-|-⌫|-----|------|-|-⌫--⌫-⌫|
et ci l lidittotadeliure	-|--⌫|-|--|--||------|
n eque rroit	-⌫|---⌫----|
iorplus u iure	--|---|-⌫---|
neter r ene	-|---⌫-⌫|-|
auoit naust	----||---|
maisqu en sinfai r el o saust	-----|--⌫--|---⌫-⌫|-⌫|----|
