COUS T UMES	----⌫-⌫---|
en cech apitremei sme.Silauient	-|-|--⌫-----|---⌫--|||-|-----|
quaucuns facesontestament	-|-----|---|--|--------|
et li execute ur	-|-|-------⌫-|
onttelessoinequil demeur epa r l eur essoi nea	--|--|------|-|-|------⌫|--⌫|-⌫--|-----⌫-||
estre mis a execu cionp our ce	----|--||-----⌫---|-⌫--|-|
paslitestamensestreanienti s ainçoise str es onsque si	--|-|--------|----|-------⌫|-------|-⌫-|-⌫--⌫--|--|-|
t ost commelaconnoissance e nuienta	-⌫--|----|-|-----------|-⌫|----||
Eglise ouauseigneur	-----|-|-|-------|
dela terreildoiuentfere	-|-|----|-|------|---|
metreletestament aexecu cionpar	----|-|--------||-----⌫---|--|
loial gent pourlepourf itdes	----|---|---|-|-----⌫-|--|
Toutsoit il ainsiquelicuensquitient	---|---|-|----|--|-|----|--|----|
enbaronie al acon noissancedestestamensquant	-|------||-⌫|---⌫--------|--|--------|----|
len uient a li	|-|----||-|
nepourquant ilnep uetdefen dr e se	----------|-|-|-⌫--|-----⌫--⌫|-|
debasest d etestamentqueliplesnesoit	----|--|-⌫|--------|--|-|---|-|---|
enlacourtdecre stienté mes quece	-|-|----|-|---⌫-------|--|--|-|
soitauantqueplessoi t	---|----|--|---|---⌫|
ent ame ́spa r de uantli.	---⌫---⌫-|--⌫|--⌫---|-||
E tse ples detesta ment est mi safinen	-⌫|-|---|-|-----⌫---|--|--⌫||--|-|
lacourtlaie necommentquil	-|----|---|-|------|-|-|
s oit m ainburni s nepourque lque g entque	-⌫--|-⌫--------⌫|-|---|---⌫|--|-⌫--|--|
cesoitilloital acourt decr estientéqu	-|---|-|---||-⌫|----|-|--⌫--------|-|
i ls achecommentil e na esploitié si	-⌫|-⌫---|------|-|-⌫||---------|-|
ques ili a q uamen d er	--||-|||-⌫|----⌫-⌫-|
p arlidoit estre	-⌫-|-|---|----|
amendé car aaus a partient	------|--||--|-⌫-------|
cequies tfet pour	-|--|--⌫|--|---|
l e s auueme nt des	-⌫|-⌫------⌫-|--|
ame s plus	---⌫|---|
quaa utrui.	-||-⌫----||
Icifin eli chapitres	--|---⌫|-|--------|
destestamens lique l	--|--------|-----⌫|
ualentetliquelnon.	-----|-|-----|--||
Icicommence	--|-------|
litrezismes	-|--------|
ch apitresdecest li ureliqueus par ole	--⌫------|-|---|--⌫--|------|---⌫--|
des douaires	--|-------|
qu e l e sf amesdoiue nt auoir	--⌫|-⌫-⌫|-⌫---|-----⌫-|----|
apre ̀slamor t deleu rmar ispar lareson	----⌫-|-|---⌫|-|---⌫|---⌫-|--|-|----|
deleur mari ages.	-|---|----⌫---||
Bonest queaprèsce	--|--|--|-----|-|
que nousauons par léouchapitrede uant cestui	--|---|----|---⌫--|-|-------|--⌫---|-----|
destest amensque	--|----⌫----|--|
nousencestchapitrequiensuitapre ̀sp arlonsd e sdouaires	---|-|---|-------|--|-----|----⌫-|-⌫-----|-⌫-⌫|-------|
pource quaprès ce	---|-|-|-----|-|
qu e cilqu i	--⌫|--|--⌫|
sontenm ariageonto rden é	---|-|-⌫-----|--|-⌫----⌫-|
leur tes tam e nt	---|---⌫---⌫-⌫-|
etleu rderrai neuolenté et	-|---⌫|------⌫-|-------|-|
ilssonttrespa ssé	--|---|------⌫---|
siecleil estmestiersque leur fa mes qui demeurent	-----|-|--|-------|--|---|--⌫--|--|--------|
esbahies e tdesconfortees soientgardeesqueforce neleur	-------|-⌫|------------|-----|------|--|----|-|---|
soitfeteence quelesontaquisparl a	---|---|-|-|-|---|--|----|--|-⌫|
mariageaprèsledecèsdele u rs	------|-----|-|-----|-|--⌫-⌫-|
marisetpour	----|-|---|
dir ons queusdouaireseles doiuent	---⌫--|----|-------|---|------|
auoiretcom me nte les	----|-|---⌫--⌫-|-⌫--|
lesdoiu ent tenirselon cnostre coustume.	--|----⌫--|----|-----⌫|-----|-------||
Par generalcoustume lafa m eenporteen	--|------|-------|-|--⌫-⌫|-|----|-|
douairele moit iédetout	------|-|----⌫--|-|---|
l eritageque	|------|--|
se sbaronsau oit	--⌫|-----|--⌫--|
de sondroit au i ourqu il	-|--|----|-|-⌫--|-|-|
lespousasiln e stainsique s esbarons	|------||-||-⌫-|----|--|-⌫-|-----|
aiteuautrefame de l aque leil ai tenfa nscar	--|-|----|---|-|-⌫----⌫-|-|--⌫|----⌫-|--|
ad onquesne n p ort e el e pour son do uai re	--⌫-----||-⌫|-⌫---⌫|--⌫|---|--|--⌫---⌫-|
qu e l equartdele ritage so n baron	--⌫|-⌫|----|-||-⌫-----|--⌫|----|
car lien fant	--|-|--⌫---|
dela p remiere	-|-|-⌫------|
fameenp ortentla	---|-|-⌫-----|-|
moi ti édont le urmerefu douee etse li	---⌫--⌫-|---|--⌫-|---|-|----|-|-|-|
ho nsaeu .	--⌫-||-||
I I.famesetenfans de c hascune	-⌫-|----|-|-----|-|-⌫------|
famelatierce	---|-|-----|
famene np orteque l	---||-⌫|-⌫---|--||
uitismeet ainsipou és entendredelaquarte	------|-|----|---⌫--|-------|-|-|-----|
famele s eiz isme.	---|-|-⌫---⌫---||
Mesc ombienque	--|-⌫-----|--|
libar o nsaiteude	-|---⌫-⌫-|--|-|-|
famess iln ena	----||-||-||
enfansl idouairesdecelequi	-----|-⌫|-------|-|---|--|
ap re ̀ suientn enes tpoint	--⌫--⌫-⌫|----||-|--⌫|----|
apet iciéscarleritages	----⌫-----|--||-------|
dubaron demeure enautel	-|----|------|-|----|
es tatcomme il estoitquant	--⌫--|----|-|-----|----|
i le s pousaceledequiilna	-⌫|-⌫-⌫----|---|-|--|-|||
n ulenfant.	-⌫-|-----||
Enpl etdedou airen a pointde	-|--⌫-|-|---⌫---|||----|-|
co ntremantnede i o ur deconseilmes	--⌫-------|-|-|-⌫-⌫-|-|------|--|
il iaio ur deueue	-|||--⌫-|-|---|
et pourceque	-|---|-|--|
lafamenesoit dama giepour le	-|---|-|---|----⌫--|---|-|
delailii ugessitostcommeelele requiert doit	----|-|-⌫---|-|---|----|--|-|-------|---|
prendreensamain	------|-|-|---|
tou t c equ ele demande	---⌫|-⌫|-|--|------|
par resondedouair e et	--|----|-|------⌫|-|
puisc onnoistre enp res encede	---|-⌫--------|-|-⌫---⌫---|-|
par tieseleia	---⌫--||--|||
douaire ou non.	------|-|--||
Seunshonspa r nostr e coustume	-|--|---|--⌫|-----⌫|-------|
a une fame delaqueleil ait	|--|---|-|------|-|--|
l amer e m ue rtlihonsne lera	-⌫|---⌫|-⌫--⌫-|-|---|-|---|
se s enf ans	--⌫|---⌫--|
sil li plestauendre	|-|-|----||-----|
soner itage t outso it cequelame reasenfans	--|--⌫----|-⌫--|--⌫-|-|--|-|--⌫-|-|-----|
fustdoueede	---|----|-|
la mo itié ca r	-|--⌫----|--⌫|
dou airesparnostrecoustume	---⌫----|--|-----|-------|
naher itemi eenfans enmaniere q u el ipere s	|----⌫--|--⌫|-----|-|------|-⌫-⌫|-⌫|----⌫|
nepuist fe res auolentédesoner itagep uisla	-|----|--⌫-|-⌫|-------|-|--|--⌫----|-⌫--|-|
mortdesafame. S il auientqu uns	---|-|-|---|||-|-----|-|--|
honsu endesoneritageauta n sd e	---|-⌫---|--|------|-|--⌫-⌫|-⌫|
la fame ne	-|---|-|
ueutrenoncier	---|--------|
asondouair elihonspu etgarantirlemarchié au	|--|------⌫|-|---|--⌫-|-------|-|-------|-|
uiuantdeli maugré sa	-----|-|-|------|-|
Et se l afa memuert	-|-|-⌫|--⌫-|----|
auantdelhomme	----|-||----|
illegarantist	-|-|--------|
atousiours etsel ihons	|---|----|-|-|-⌫|---|
muertauan tlafamee nporte	----|----⌫|-|---|-⌫|----|
son douaire mes sitostcom me ele uamorte	--|------|--|-|---|---⌫-|--|-|----|
reuaa celi qui	---||---|--|
l ach etatouts oitceque le	|---⌫--|---|-⌫--|-|-|-⌫-|
deceli q uil euendi.	-|---|-⌫-|-⌫|----||
ilbi enquelienfant	-|--⌫-|--|-|-----|
neson tpaseri téparlareso n	-|---⌫|--|---⌫--|--|-|----⌫|
dudouaireleurmeres	-|------|---|----|
selo ncnostre coust ume.	----⌫-|-----|-----⌫--||
E n coreui ieun iugement	-⌫-⌫---|-|-|-|-------|
pa rleq uelil aper tbienque lienfantne	--⌫|---⌫--|-|----⌫|---|--|-|-----|-|
s ontp aseritépar lareson d es	-⌫--|-⌫-|-----|--|-|----|-⌫-|
douairescaruns genti ushonssie ut.	-------|--|--|-----⌫-|---|-|-⌫-||
III.famesdela premiereet	---|----|-|-|-------|-|
d e lasecondeil eut	-⌫|-|------|-|--|
fillesetdel atier ceil eutf ius	-----|-|-|-⌫|----⌫-|-|--|-⌫--|
etfilles apr ès ligentius honsmour ut	-|-----|---⌫--|-|------|---|----⌫-|
les fillesde la p remie refamedemanderentlamoitié	--|-----|-|-|-⌫-----⌫-|---|----------|-|------|
deleritageparlaresonqu el eur me re en	-||------|--|-|----|--⌫|-⌫--|--⌫-|-|
fu d oue e lesfillesdela s econ de	-|-⌫---⌫|--|-----|-|-|-⌫----⌫-|
famede mander ent leq uart delerit agepourla	---|--⌫------⌫--|-|-⌫---|-||----⌫--|---|-|
reson dudou air eleur mereetli fi usmasles	----|-|---⌫---⌫|---|---|-|-|--⌫-|-----|
de latiercef amedemandalainsneecedetout	-|-|-----|-⌫--|------||--------|-|---|
lerit a geson perecest assauoir	|----⌫-⌫-|--|---||--|-------|
I I. pa rsd e s	-⌫-|--⌫-|-⌫-⌫|
f iéset le mestremanoiret lhomage	-⌫---|-|-|-----|-----|-||-----|
delautretierceparti ede ses sereurs	-||----|-----|-----⌫|-|--|------|
ce qu elesfussent	-|-|---|------|
a insneesdespremiersmariages .	-⌫------|--|-------|-------||
ces eco uchierentendr oit.	-|-⌫|--⌫--------|-|--⌫--||
Ilfuiugié	-|-|-----|
queloirs maslesd elafame	--||---|-----|-⌫|-|---|
derraineen porteroitlainsneececestassauoi rles .	-------|-|--------||--------||--|-------⌫|--||
II.pars desfiésetl e	--|---|--|----|-|-⌫|
chiefmanoiret	----|-----|-|
lhomag edesessereur sdela	|-----⌫|-|--|------⌫|-|-|
ti erce partie	--⌫---|-----|
Famequitient mesonenson	---|--|----|----|-|--|
douaire ladoit atenir de co uuerture	------|-|---|-----|-|--⌫-------|
closture soufisant.	-------|--------||
Sefame tientboi s	-|---|----|---⌫|
end ou aire elene lepuet couperdeuantqu	-|-⌫--⌫---|--|-|-|---|-----|-----|-|
uII.ansacomplis .	---|--|-------||
S efame tient u i gnesendouaireil	-⌫|---|----|-⌫-⌫---|-|------|-|
conui entquelelesmaintiegnee n	-----⌫--|-|--|--|---------|-⌫|
telmaniere qu eles n esoient essi llies .	--|------|-|---|-⌫|-----|----⌫----||
L afam e par nostre coustu m een	-⌫|---⌫|--|-----|------⌫-⌫|-|
portee nsondouairele chiefma noir	----|-⌫|--|------|-|----|--⌫---|
t outsoit cequece soit fortereceet tou t	-⌫--|---|-|--|-|---|--------|-|---⌫|
l enclos toutsoi tcequilso it	|-----|---|---⌫|-|-|-|--⌫-|
tenusdepluseurs seigneu r setcelcasd e	----|-|-------|-------⌫-⌫|-|--|--|-⌫|
la forterece ai ieueu	-|--------|-|-|--|
debatreetpuisap r ouue r pariugeme nt	------|-|---|--⌫-⌫----⌫|--|------⌫-|
Il est ouchois de lafamequan tse s	-|--|-|----|-|-|---|----⌫|--⌫|
baronsest morsde l essi ertouslesmuebles ettoute s	-----|--|---|-|-⌫----⌫-|---|--|------|-|-----⌫|
lesd ete sas oirsetden	--|-⌫---⌫|-|---|-||-|
porter sondouai req uite et d el iure	-----|--|-----⌫-|-⌫---|-|-⌫--⌫---|
Et silli p le st ele	-||-|-|-⌫--⌫-|--|
puet partir asmuebleset s eleipartele	---|-----|-|------|-||--||---|--|
esttenueas apartdes	--|----||-⌫|---|--|
detesetpuisquele	----|-|---|-|--|
apris lun de s	|---||-|--⌫|
choiselenepuetp asrecouureral autre	----|--|-|---|-⌫-|--------|||----|
ain sconuien tqueleensuefreson preuou	---⌫|-------⌫|-|--|-|-----|--|---|-|
sondam age.	--|---⌫--||
assauoirs e ele	-------|-⌫|--|
en ue ut porters a partd es mueblesse elefera	-|--⌫-|-----|-⌫|---|-⌫-|------|-|--|---|
seurtéa s o i r s	------|-⌫|-⌫-⌫-⌫|
depaiersapartdesdetes .	-|----|-|---|--|----||
Ilfuiugié	-|-|-----|
Creeil quiest	-----|--|--|
desm embre s	--|-⌫-----⌫|
dela conteé de	-|-|------|-|
C lermontquele	-⌫------|-|--|
nestoitpas ten ue	|-----|--|---⌫-|
a fereseurtécarlio ir s s e	|---|------|--|-|-⌫--⌫|-⌫|
p uetd efendreenu ers l es	-⌫--|-⌫------|---⌫--|-⌫-|
det eursqu	---⌫---|-|
il nestten usenuersa usque	-||--|---⌫-|-----|-⌫-|--|
desapartie.	-|-|-----||
Mes ile stb onne ch ose -silestdenon cié	--|-|-⌫-|-⌫---|--⌫--|||-|--|-----⌫---|
auiuge qu eleaitpeti t eritagepo ursa part	-|---|-|--|--|----⌫|------|--⌫-|-|---|
desdetespaieret	--|----|----|-|
quele usefole mentdesmuebles	-|--|--|----⌫---|--|------|
ou quelesenueut alerhorsdupaïs	-|-|--||-|---|---|---|-|----|
lisienss oita restésdusquesa tant	-|----|-⌫--|-⌫------|------||---|
q uele ait	-⌫|--|--|
fet bon ne seurt éauseigneu r	--|---⌫-|-----⌫-|-|-------⌫|
Mes seeleu eut ele ne seiusticer afors	--|-|--|-⌫--|--|-|-|--------⌫|---|
pa r la court decrestientéoutansdes a	--⌫|-|----|-|----------|-|---|-|-⌫|
Quantfame se remarie ellereu ient du touten la	----|---|-|------|---|---⌫---|-|---|-|-|
iuridicionde l acourt	---------|-|-⌫|----|
Oup ointquel a famem uertqui	-|-⌫---|--|-⌫|---|-⌫---|--|
tient endouaire li	----|-|------|-|
douaires uient as	-------|----|-|
pointq u ilestoutansdu tr espassement a	----|-⌫|-|--|-|---|-|--⌫----------||
lafametoutsoitc equ	-|---|---|---|-⌫|-|
aitboisaagiéacouper ouuignes	--|---|-----||-----|-|-----|
prestesauende ngierou blesou mars	------||-----⌫----|-|---|-|---|
presasoierou pre ́s afa uchier.	---||----|-|---⌫-||--⌫-----||
Mess iliarentesou deniersdeusdont	--||-|||-----|-|------|---|---|
li term e ssoitpassé sains qu	-|----⌫-⌫|---|------⌫|---|-|
elemuiret el es detess ont asoirs delafame	--|----|-⌫--⌫-|----|-⌫--|-|---|-|-|---|
ouasontestamentae mplir s e	-||--|--------|--⌫----|-⌫|
eleledeuise .	--|-|-----||
Lageneral cou stume de s douaires decequela	-|------|---⌫----|--⌫|-------|-|-|--|-|
fameen porte la	---|-|----|-|
moitiéd eceque li honsa au	------|-⌫|-|--|-|---||-|
lespou sesi c omme	|-----⌫-|-|-⌫---|
ditdessuss icommençaparlestabli ssement lebon	--|-----|-⌫|--------|--||-------⌫------|-|--|
Phelipper oi de	-------|-⌫-|-|
Fr anc eliq ueus regnoi t en lande	--⌫---⌫|---⌫---|------⌫|-||-|-|
establissementcommanda	-------------|-------|
ila tenirparto u tleroiaume	-||----|--|--⌫-⌫|-|------|
Franc eessieuteel acouroneetplusieursbaron ies t enues d uroia ume	-----⌫|--------|-⌫|------|-|--------|-----⌫--|-⌫----|-⌫|----⌫--|
lesqu elesne	-----⌫---|-|
separ tis sent pas	-|---⌫---⌫---|--|
amoitié pou rledou aire	|------|---⌫|-|---⌫---|
ne n en portentlesdamesen	-||-|------|--|----|-|
douairefo rsce	------|--⌫-|-|
qui leur e stenconuenancié enfesantlemariage	--|---|-⌫-|-------------|-|-----|-|------|
E tdeuantcestestablissementd u	-⌫|-----|---|-------------|-⌫|
Phelippenul efamen	-------|---⌫|---||
auoitdouaireforstelcommeil	----|------|---|--|----|-|
estoitconuenan ciéaumarier .	-----|--------⌫---|-|-----||
Et bienapertque lacoustume estoit telan ciennement	-|---|----|--|-|-------|-----|--|--⌫---------|
parunepar o leque liprestres fetdire a	--|--|---⌫-⌫-|--|-|-------|--|---||
lho mmequant iles pousecarilli	|--⌫--|----|-|--⌫----|--|-|-|
Du douairequi estdeuis és	-|------|--|--|-----⌫--|
entremesa mise t les tien ste	----|--|-⌫--|-⌫|--|----⌫|-|
eschietdeco sté aceli quiest mariés	------|-|--⌫---||---|--|--|------|
commed oncleoudan taindefrereou d e	----||----|-||--⌫---|-|----|-|-⌫|
sereuro u d eplus	-----|-⌫|-⌫|---|
loingtien d egre ́de lignageet	--------|-⌫----⌫|-|------|-|
lihons muertl a famen anul	-|---|----|-⌫|---|||--|
d ouaireentel maniere d escheoite mes se	-⌫-----|-|--|------||--------|--|-|
aucunetelescheoiteescheoit	-----|--|--------|-------|
alhommeauan tquil	||----|----⌫|-|-|
a it espouséil est ape rtech ose qu	-⌫-|-------|-|--|---⌫--|--⌫--|-|
e le enest	-⌫-|-|--|
doueeauss i	----|----⌫|
bienc o mme dupropre	---|-⌫-⌫--|-|-----|
eritag ea lh om me .	------⌫|||-⌫--⌫-||
Seaucunede scenduederitage	-|-----|--⌫------||------|
uientalh omme	----|||-⌫---|
ou tansqu ilafame commedesonper e	-|---|-|-||---|----|-|--|---⌫|
oudesa meredesonaioloudes	-|-|-|---|-|--|---|-|-||
aiol eou dep lusloing endescendant et l	----⌫|-|-|-⌫--|----|-|---------|-||
honsmuert puiscel e	---|----|---|---⌫|
descendueain s que	--------|---⌫|--|
la famela fame e nportela	-|---|-|---|-⌫|----|-|
moitié par lares ondedo ua irem e sse	------|--|-|---⌫-|-|--⌫--⌫--|-⌫-⌫|-|
ladescendueneuientde uantque	-|--------|-|----|--⌫---|--|
l honsest mors	|---|--|---|
t outsoitc equ eleenaitenfans	-⌫--|---|-⌫|-|--|-|--|-----|
ellenipuetde manderdouairecarli	---|||---|--⌫-----|------|--|-|
barons nen fuonq uestenans ainsui ent	-----||-|-|---⌫--|-----|---|--⌫--|
as oirsetsel ioirnesont	-|---|-|-|-⌫|--|-|---|
a ag iélagard e	-⌫--⌫--|-|----⌫|
deso irse tde s eritage s a partientala mereet	--|-⌫--|-⌫|--⌫|-------⌫|-⌫-------||-|---|-|
aussitenroitele	----|------|--|
la garde deto ut es lesautresescheo itesq ui uenro ient	-|----|-|--⌫--⌫-|--|-----|------⌫---|-⌫-|-----⌫---|
a sesen fa ns sousaag iés.	|--|--⌫--⌫-|-------⌫---||
auroit bien f a medouaire	-----|---|-⌫-⌫-|------|
de leritagedon ts esba ronsnau roitonqu ese st és	-||------|---⌫|-⌫-|--⌫---||--⌫---|----⌫-|-⌫--⌫--|
tenansneprenansce st as sau oirseunshonss e	-----|-|------||-⌫-|--⌫---⌫--|-|--|---|-⌫|
marieetil a	----|-|-||
merelaq ue le meretienter itag een doua ir ed e par	---|---⌫--⌫-|---|----|--⌫----⌫|-|----⌫--⌫|-⌫|--|
le p ereau mar iése	-|-⌫--|-|---⌫--|-|
cilmariés muer tetsamerea ussi	--|------|----⌫|-|-|---|-⌫---|
après qui tenoit e ndouaireen cedouaire lafame	-----|--|-----|-⌫|------|-|-|------|-|---|
du marié enporte	-|-----|-|----|
la moitie ́	-|------⌫|
dece que la mere tenoiten	-|-|--|-|---|-----|-|
doua ire car ilestoiti a	----⌫--|--|-|-----|-⌫|
descend us dupere	-------⌫-|-|---|
a umariéle	-⌫|-----|-|
maria gedurantsiquela mere niauoi t	-----⌫-|-----|-|--|-|---|||----⌫|
quesauieet pourcere uientil	--|-|--|-|---|-|--⌫----|-|
douaire aussicomme s eladamefust	------|----|----|-⌫|-|---|---|
morte auuiua ntdesonfil.	----|-|----⌫-|-|--|--||
Trois cas so nte s queusli	----|--|--⌫-|-⌫|----|-|
po rtentpasledouaireaus siuestu	--⌫----|--|-|------|---⌫-|----|
comme ille trueuen t .	----|-|-|-------⌫||
Lipremi ers	-|-----⌫--|
cas siest quan t fame	--|-|--|----⌫|---|
baillea mo itié a gaaignierles	-----||--⌫----||--------|--|
terre squele tientendouaire	-----⌫|-|--|----|-|------|
car encelc as s	--|-|--|-⌫-||
ele muer t ain ç oisque lib ienso ient	--|----⌫|---⌫--⌫--|--|-|-⌫--|--⌫---|
despoillie ́ligaaigneresen	----------⌫|-|---------|-|
portesamoitiés ilnest ains iqueli	----|-|------||-||--|----⌫|--|-|
oirs u ueille	---|-⌫-----|
r endrea u	-⌫----|-⌫|
g aaign eurl es cousresnablesqu	-⌫-----⌫--|-⌫-|---|--------|-|
c arlafam enepuet g aranti r marchiéqu eleface	-⌫-|-|---⌫|-|---|-⌫------⌫|-------|-|--|---|
desondou aire puisle	-|--|---⌫---|---|-|
tansde samor tne	---|-|-|---⌫|-|
il nest p as re so ns	-||--|-⌫-|--⌫--⌫-|
queligaaigne r espe rdec equil i	--|-|-------⌫-⌫-|--⌫--|-⌫|-|-||
a misparcause	|--|--|----|
debonne foi .	-|----|--||
Et nepourquantenaucunc as ipourro itbienligaaigner es	-|----------|-|----|-⌫-||------⌫-|---|-|--------⌫-|
foleme ntmetre sicomm e sillepr enoitaplu seur s	------⌫-|----|-|----⌫||-|-|--⌫----||---⌫----⌫|
anneesafemerouamarler ou auigne	-----||----|-||-----|-||----|
plant e rc a ren ce lc as li oir nesonttenu	-----⌫-⌫|-⌫-⌫|-|--⌫|-⌫-|-|--|-|---|---|
lemarc hié puis lamort	-|----⌫---|---|-|---|
f ame nea teus cousren dre	-⌫--|-||---|---|---⌫--|
Li seconsc assiest se fa mea	-|-----|-⌫-|-|--|-|--⌫-||
b aillié son douairea	-⌫------|--|------||
fermedegrainoudedeniers	----|-|----|-|-|------|
muert auantquelesdespueilles	----|----|--|--|----------|
soi entleuees encelca sne	---⌫--|-----|-|--|--⌫|-|
doiuentprendre lioirquece queliferm ier	------|------|-|--|--|-|--|-|----⌫--|
doiuentsilneuoit q ue la	------||-|-|---|-⌫-|-|
chosefust baillieamal resnablepriscaradonques	----|---|------||--|-------|---|--|-------|
puetprendre l oirstou tes lesde spueillespar	---|------||---|---⌫--|--|--⌫--------|--|
legaaign age p a ian t.-	-|------⌫--|-⌫-⌫---⌫|||
q uoilioir nen portentpas ce qui	-⌫--|-|--||-|------|--|-|--|
est seu rle douairesi est	--|---⌫|-|------|-|--|
lebois quantile stcoupé soules u ig nes	-|---|----|-|-⌫-|------⌫|-|--|-⌫--⌫--|
quant les grapessont coupeesou	----|--|-----|---|------|-|
lesblésou	--|----|-|
quantilson t soiéauantla mortd e	----|-|---⌫|----|----|-|---|-⌫|
laf ame carcesont	-|-⌫--|--|-|---|
mueble quisont	-----|--|---|
d esse uré de	-⌫----⌫---|-|
le rit age.	|-⌫---⌫--||
Mesaucunesfraudesenpo urroiton	--|------|------|-|--⌫-----|-|
ferela ou ilauroit	---|-|-|-|-----|
aa mende r si c o mmese l en ha s toit le bois	|-⌫-----⌫|-|-⌫-⌫--|-||-|--⌫-⌫---|-|---|
acouper ains quil eustaage	|-----|---|-|-|---|---|
u II.ansoules uignesuendengier	-⌫--|--|-|--|-----|---------|
e nueriu s oulesdespueil lessoiertrop uerset	-⌫|-----⌫|-|--|--------⌫--|----|---|---|-|
puismourust lafame ainsle	---|------|-|---|---|-|
te rmeque ceschosesdeussentes tr e	--⌫--|--|--|-----|-------|--⌫--⌫|
despoillies.	----------||
En c ecas pourroit lioirs les	-|-⌫|--|-------|-|---|--|
despu eillespren dre s eeles	-----⌫-----|----⌫--|-⌫|---|
es toientseurl eritage.	--⌫-----|---||------||
Etseroientli	-|-------|-|
oirdela f ame morte	--|-|-|-⌫--|----|
tenu arendre lesdamagesde	---||-----|--|------|-|
ceque cil bie nauroient est étrop tost de spoillié	-|--|--|---⌫|-------|---⌫-|---|---|--⌫--------|
ne is seli bien	--⌫-|-|-|---|
esto ient m is h orsdu	----⌫---|-⌫-|-⌫--|-|
douaireauant que la famem ourustcar	------|----|--|-|---|-⌫-----|--|
ceseroittorf è saprès etpource au roit	-|-----|----⌫--⌫|-----|-|---|-|--⌫---|
lioirsaction dedemander teus ma nieresdetor fès	-|---|-----|-|-------|---|--⌫-----|-|---⌫---|
asoirsdelaf ameou asexec uteurs	-|---|-|-|-⌫--|-|-|----⌫-----|
selea uoit	|--|-⌫---|
execut eursqui tanteussent des	------⌫---|--|---|------|--|
bien s a la famequi lpeussentteus	----⌫||-|---|-|-⌫|-------|---|
damagesrestorer	------|-------|
Encor eui ief ereun	-----⌫|-|-|-⌫--|-|
iugement pa rlequ el i l apertqueli oirne	-------|--⌫|----⌫-|-⌫|----|--|-|--|-|
eritépar la resonde sdouaires leur mereset	-----|--|-|----|--⌫|-------|---|----|-|
fu li iugemensteus q uunscheualierssi e ut.	-|-|-------|---|-⌫|--|---------|-|-⌫-||
II.fam es de	--|---⌫-|-|
l ap remiereileutun fildelasecondeil	-⌫|-⌫------|-|--|-|--|-|-|------|-|
eut un fi l etune fil le	--|-|--⌫|-|--|---⌫-|
Licheu aliersmou rut	-|----⌫-----|---⌫--|
e tsafame aussi lienf ant	-⌫|-|---|----|-|---⌫--|
pa rti rent sel oncla cous tumedupaï s puisauintqueli	--⌫---⌫---|---⌫--|-|----⌫---|-|----⌫|---|----|--|-|
fi usmaslesdela derra inefamem o urutsasuers	--⌫-|-----|-|-|-----⌫--|---|-⌫-⌫---|-|----|
uoutauoirse scheoit e par	---|----||-⌫-------⌫|--|
lareson decequ	-|----|-|-|-|
elee stoit sasu ersd e	--|-⌫----|-|--⌫--|-⌫|
peree t de mere et par	---|-⌫|-|---|-|--|
lareson dece	-|----|-|-|
que leurmereauoi testédoueede	--|---|---|----⌫|----|----|-|
ce q u ele et sesfrer e sauoient enpor té en	-|-⌫|--|-|--|----⌫-⌫|------|-|---⌫--|-|
p artie auq ueldouair eau o irilnauoit	-⌫----|---⌫--|------⌫|--⌫-⌫-|-||----|
plusd oirque	---||--|--|
li .Acerespondi l	-|||-|-------||
oirsmaslesd ela p remierefame et disoit qu a	---|-----|-⌫|-|-⌫------|---|-|-----|-||
lu iapartenoit ceste escheoitepar .	--⌫|---------|----|--------|--||
II. resons la p remie repourc e quesuersne	--|-----|-|-⌫-----⌫-|---|-⌫|--|----|-|
partissent pas a nu leescheoite decostélasecond ereson	---------|--||--⌫-|--------|-|-----|-|------⌫|----|
pourc equedouaires	---|-⌫|--|-------|
n ahe rit oitpasparlacoustumede	|---⌫---⌫--|--|--|-|-------|-|
laconteéetcommeler i t a gesu ientde par son	-|------|-|----||--⌫-⌫-⌫-⌫--|-⌫---|-|--|--|
perequifiusilestoitetoirsmasles il	---|--|---|-|-----|-|---|-----|-|
r equ ero it a	-⌫---⌫---⌫-||
auoir l escheoitede leritageet seur	----||--------|-||------|-|---|
cesemistrentendroit	-|-|-------|-|----|
Ilf uiugiéqueloirsma sl es enporteroit	-|-⌫|-----|--||---|--⌫--⌫-|-|--------|
laditeescheoite et	-|---|--------|-|
quelasuersni a uroi triens et	--|-|----|||-⌫----⌫|----|-|
parce aper tilque douaires n	--|-|----⌫|-|--|-------||
aheritepas	------|--|
selonclacoustu me dela	-----|-|------⌫-|-|-|
conte é .	-----⌫-||
Cequenous auon s di tparplus eurs resonsqu e	-|--|---|----⌫|--⌫|--|----⌫---|-----|--⌫|
doua ires naheritep aspar lacoustumede	----⌫---||------|-⌫-|--|-|-------|-|
Beauuoisinsnousl	----------|---||
entendons d e seritag e sq uisonttenuen fiefcarli	--------|-⌫-⌫|------⌫-⌫|-⌫-|---|---|-|---|--|-|
eri tagequ isonttenu enuilenage	---⌫---|--⌫|---|---|-|-------|
se partissen tseloncl esd ouair e s sicomm e sil	-|---------⌫|-----|-⌫-|-⌫-----⌫-⌫|-|----⌫||-|
aui entquunshonsait.	---⌫--|-|--|---|--||
