misireno ble sle leons	-|---|--⌫---⌫|-|----|
queliplus richezpuistauoir	--|-|---|-----|----|----|
queielabat aillenenai e	--|-|-|---⌫----||-|--⌫|
i amesn auraie nels	-⌫---||----|-⌫|--|
nesaiqa le ́splus	-|--||-⌫--⌫-|---|
el champles metés	-|----|--|-----|
iel co mant	-||--⌫---|
pa roleoutrecite e	--⌫---|--|------⌫|
dela batailleet re c on tee	-|-|-------|-|--⌫-⌫--⌫--|
p uislesontmiselchampensam ble	-⌫--|--|--|--|-|----|-----⌫--|
liplushard isde peortrenble	-|---|----⌫-|-|---|------|
luntenoit lautrep ar	|-|-----||----|-⌫-|
no blesapelezzcapele in	--⌫---|----|-|------⌫-|
mo nseig norbelinlemoton	--⌫|----⌫--|----|-|----|
cilaport a le se intuair e	--|-----⌫|-|--⌫-------⌫|
sorqoi fo nt les	--|--|--⌫-|--|
ser emenzfer e	---⌫----|---⌫|
liroisa fet	-|---||--|
n en iaitnul	|-||--|--|
de telboban	-|--|----|
quifacenoiseenpessetien g ne	-||---|----|-|--|-|----⌫-⌫-|
comeprodomese contiengne	---|------|-|---------|
moltestlir o is de	---|--|-|-⌫-⌫-|-|
gentius tice	---|---⌫---|
delserementf etladeui se	--|-------|-⌫-|-|----⌫-|
danzbrichemerset brunlior s	---|---------|-|---|-|--⌫|
qu e lenten oit	--⌫|--|---⌫--|
asyymeillors	-|-|-------|
seignorfet il ormente ndez	------|--|-|-||----⌫---|
seiedimal s imamen dez	-|-|-|--|-⌫||----⌫--|
rena rtiu rrapremerement	----⌫-|--⌫--|----------|
etferatot les eremen t	-|---|--|-|-⌫------⌫|
quey sengr in n	--|-⌫-----⌫-||
enna tort fet	--||---|--|
nea tieber tlech atforfet	-||------⌫|-|--⌫-|-----|
tiecelin nala mesenge	-------|||-|------|
naroonelcome ntquilprengne	||-----|----⌫---|-|------|
alezfe te s l e seremen t	---|--⌫--⌫|-⌫|-------⌫|
a yse ng rinenterement	|---⌫--⌫--|---------|
ren artsaie noilleen laplace	---⌫--||---⌫-----|-|-|----|
molt sa pareilleetse rebrache	---||-⌫-------|-|-|-------|
d esor le s sei ntestentsam ein	-⌫---|--⌫|---⌫-|-----|-|-⌫--|
ilaiurép arseinziermein	-||----|-⌫-|----|------|
e t parles	-⌫|--|--|
seinzque il oc	----|--|--⌫-|
qued e cestpletnul tort n	--|-⌫|---|---|--|---||
lesseinzbese p uissis en lieue	--|----|---|-⌫--|-||-|----|
a ysengrin	|-------|
dureme ntgreue	------⌫-|----|
cequ ilfe t acroire poruoir	-|-|-|--⌫|------|--|---|
lamencoign eparson sauoi r	-|--------⌫|--|--|-----⌫|
aienuzsest ater re	|----||--||---⌫-|
dist bricheme roreoie ́sami s	---|--------⌫|--|---⌫-|---⌫|
r enartestfaus	-⌫----|--|---|
del serementet	--|-------|-|
distyse ngrinielacreant	---|---⌫----|-||------|
les seinz besa	--|----|---|
t otmeintenant	-⌫-|---------|
s estred rechés	|--|---⌫------|
puissisenuet	---|-||-|--|
en mi lecamp	--⌫-|-|---|
s o reisonfet	|-⌫-----|--|
longe mentfistses	-----⌫---|---|--|
et fuen grantaflicions	-|-|-|----|--------|
etpriedeu que tot sormo nte	-|---|--|--|--|-----⌫--|
lidoins tuengier	-|-----⌫|------|
siqua upartirlonor	---|-⌫|-----||---|
de renartquili afetlet	-|-----|--|-||--|--|
baisalapuissedrec he	----|-|---|-|----⌫-|
son bas to nafete et	--|---⌫--⌫|----|-|
enplusorssensladetor noi e	-|------|---|-|-----⌫---⌫|
lac e lac oroie	---⌫|-|-⌫----|
sonescuprent et pu issemo ille	--|---|----|-|--⌫-|-|--⌫---|
enplusor ssenslebas ton	-|------⌫|---|-|---⌫--|
totentorenclineala	--|----|------||-|
mo lt se de d ui t	--⌫-|-|--⌫-⌫--⌫|
etbeletgent	-|--|-|---|
arenartdis t que il segar t	|-----|---⌫|--|-|-|---⌫|
quilne metele ioren	-|-|-|---|-|--|-|
quantrenartl otdel cuer	----|-----||-|--|---|
tot sestteusneueltmot dire	--||--|---|-|---|--|---|
renartsotletresdes	-----|--|-----|-||
moltotoi d enigromance	---|-|-|-⌫|---------|
entendupuis	------|---|
quotoblié lesmoz	-|-|-----|--|--|
s onbaston	-⌫-|-----|
pr entc on afaitiez	--⌫--|-⌫-|-------|
bien senblehom e q ues oi thaitiez	---|-----|---⌫|-⌫-|-⌫--⌫|------|
bienfuaprisdetel afere	---|-|----|-|--|----|
enplusorssensl aess aié	-|------|---|||---⌫---|
n apas senblant do me	||--|-------||-⌫-|
ensesd oizlacoroielace	-|--|-⌫--|-|-----|---|
d re cede la pl ace	-⌫--⌫-|-|-|--⌫--|
qua ntille	---⌫-|-|-|
tintsi f usours	---|-|-⌫|----|
c omecastelen clos	-⌫--|-----|--⌫---|
liesc rimirliestioiau s	-|---⌫----|-|--|-----⌫|
les enuiaus	--|------|
sune scus orsatestet ient	--|-⌫--|-⌫-|-|----|-⌫---|
se ysen gr inp res de luiuient	-|----⌫--⌫-|-⌫--|-|--|----|
telescrem ieli dora	--|------⌫-|-|---|
qui a gr ant	--||--⌫--|
honteliuendr a	----|-|-----⌫|
ys engrinestde grantair	--⌫-----|--|-|----|--|
molttostlestalezenua ir	---|---||--|---|----⌫-|
re nartfait ilmales b ailliz	--⌫---|---|-|--|-|-⌫-----|
toziorzmessoiefail liz	--|---|--|---|----⌫--|
sene meuenz demau eutance	-|-|-|---|-|-|-⌫------|
quemefeispar	--|-|---|--|
s orcuidance	-⌫---------|
quanttuamafeme ious	----|-||-|---|---|
eta forcele	-||----|-|
renart re spontsiremaldi tes	-----|--⌫----|---|--|--⌫--|
otroiésquei e soiequ ites	-------|--|-⌫|---|--⌫---|
fer euos feroiegranthomage	---⌫|--|-----|----|-----|
a cheualie rdeh aut para ge	|--------⌫|-|-⌫--|----⌫-|
puisirai poruosotre mer	---|---|--|--|---|--|
fetesquiteclamer	----|----|-----|
ren artfa it	---⌫--|--⌫-|
il netetrauailles	-|-|-|---------|
ienecroi que t u noientuailles	-|-|---|--|-⌫|-----|------|
q an ttu de	-⌫--⌫|-|-|
me smeinstorneras	--⌫|----|-------|
ia puisnemeranproneras	-|---|-|-|----------|
renartrespontc est deuinaille	-----|------||--|---------|
bienu erronala definaille	---|-⌫----||-|---------|
lequelquesoitpl us decou	-|---|--|---|--⌫-|----|
dis tysengrintropa iuescu	---⌫|-------|---|-⌫|----|
nemepuisueng i er	-|-|---|----⌫-⌫-|
cedistren artoruo idang ier	-|---|---⌫--|-|--⌫|----⌫--|
qu aleztoteiormanecant	-|---|---|--|-------|
mesasail lie z	--|-----⌫---⌫|
deme i ntenant	-|--⌫-⌫------|
acest m otyse ng rinacort	|---|-⌫-|---⌫--⌫--|----|
renar tn a talent qu ilsentort	-----⌫|||-----|-|-||-|---|
sonescutint d euant son front	--|---|---|-⌫----|--|----|
met pieauantcouerts on gront	--|--|----|-----|-⌫-|----|
molt le uetysengri n hasta nt	---|-|--|-------⌫|-----⌫-|
renartseuetbiendefenda nt	-----|-|--|---|-------⌫-|
ieteretreite entredels	---|-------|--------|
auquelqueso iteniertlidels	-|---|--|--⌫-|-|---|-|---|
ainzquilsenpartent d elasaut	-----|-||-|------|-⌫||----|
ren artlefiertquepasn e	---⌫--|-|----|--|--|-⌫|
tel cou p lesloreil lel i done	--|---⌫|--||-----⌫-|-⌫|---|
totelatesteliestone	---|-|----|-|-----|
a cela sautmalli	|--|-⌫---|--|-|
totchancelea	--|-------||
quant satest eauouseigni er	----|-|----⌫||--|------⌫-|
desameinseprista segnier	-|-|---|-|----||------|
deupriequi ne fautn e men t	--|---|--|-|---|-⌫|---⌫|
queil legartd	--|-|-|---||
par safemec edittrais	--|-|---|-⌫|--|----|
longementfu si	--------|-|-|
quei l nesotquelore	--|-⌫|-|--|---|--|
sert nuisouio rz	|--|---|-|--⌫-|
quelte nsestoit	---|--⌫-|-----|
por lecop q uil a r ecou	--|-|--|-⌫|-||-⌫---|
renartlabienaperceu	-----|||---|------|
senblan t qu il	-------⌫|-|-|
mesdaut re parttorna sachere	--||---⌫-|---|----|-|----|
ne le fer e	-|-|---⌫|
s il enpotleunees e	|-|-|--|--|-|--⌫|
encorlifera	----|-|---|
melssauoir	---|-----|
luia tra ire	--|-⌫---⌫--|
ensuslef era d e lui trere	----|-|-⌫--|-⌫|--|----|
ilairapa s	|----|--⌫|
au baston sese tesmoche r	-|-----|-|--⌫|-------⌫|
d a nt ys engrindelain zesgarde	-⌫-⌫-|--⌫-----|-|----⌫|------|
ren art liditporqoiil	---⌫--|-|--|--|--|-|
q a la ba t aille ne reui ent	||-|--⌫-⌫----|-|----⌫--|
bienset qu	---|--|-|
ysengrin sefuapense z	-------|-|-|------⌫|
estéesmaiez	----|------|
porpense ́s	--------⌫||
est quetr opd emore	--|--|--⌫-|-⌫----|
i lnelementli re co rt sore	-⌫--------|-|--⌫--⌫-|---|
metpie auantiete retrete	--|--|----|---|------|
mesrenartdor e ment se	--|-----|---⌫-⌫---|-|
ysengrinietepas nares te	-------|---|--||----⌫-|
desonbastonuole	-|--|-----|---|
met p iea uantsisentra t	--|-⌫-|-⌫---|-||-|---⌫|
renartquiset asezde frat	-----|--|--|---|-|---|
lidistitantdant ysengrin	-|---|----|---|-------|
deus q ui sor tozest uoirsdeuin	---|-⌫-|--|--|--|----|----|
setbienqueldroituersmoiaués	--|---|---|----|---|--|----|
de pamoisons fu reuenuz	-|--------|-|------|
b ienfuleior po r fo ltenuz	-⌫--|-|-|--|--⌫|--⌫|----|
sede l or m einsp ooit p art i r	-|-|-⌫-|-⌫---|-⌫---|-⌫---⌫-⌫|
iame s n iroit ho m eaatir	----⌫||----|--⌫-⌫|----|
totelacortoiss iezbruire	---|-|---|----⌫--|-----|
molt se h as tentpor l uixxx	---|-|-⌫--⌫---|--|-⌫-|--|
renartpor saui e tense r	-----|--|-|--⌫|-----⌫|
prieq uenle laist	---|-⌫|-|-|----|
c o nfesser	-⌫-⌫------|
qar are ie hi rlicouient	--||--⌫--⌫--⌫|-|------|
tozlespechesdontilse xx x	--|--|-----|---|-|-|--⌫|
ont fetuenirbeli n	--|--|----|----⌫|
olu iamei nechanteclin	|--⌫|----⌫-|---------|
renartsefetalu i	-----|-|--||--⌫|
liencariason	-|------|--|
solon cl es	-----⌫|-⌫-|
p echez qu	-⌫----|-|
ilauersdeume sfet	-||---|--|--⌫---|
siconil co nfe soitrenart	-|--|-|--⌫---⌫---|-----|
at ante suosfrerebernart	--⌫--|-⌫|--|----|------|
qui de grant montert r epairez	--|-|----|---|--|-⌫------|
t rouagrin bertq uifuiri ez	-⌫---|----⌫---|-⌫-|-|---⌫-|
enquis l ia	-----|-⌫||
etd em andé	-|-⌫--⌫----|
come lirois acomandé	---|-|---||-------|
queren artfustmolttot pe nduz	--|---⌫--|---|---|--|--⌫---|
por nul luin e fustdes f enduz	--|---⌫--|-⌫|---|---⌫-⌫----|
freresot laparol e	-----|-|-|-----⌫|
molt li po issese l enlafole	---|-|--⌫---|-|-⌫-||----|
grant se inteepleins	----|--⌫----|-----|
moltertcortoisniert	---|--|------||---|
pasuil eins	--|---⌫---|
en soncuer aaperceu	-|--|---||------|
por legr a ntd u elq u ila ou	--|-|--⌫-⌫-|-⌫-⌫-|-⌫|-||-|
quemein egrinbe rzliteisons	--|----⌫|------⌫-|-|------|
etespinarzlihericons	-|-------|-|-------|
lauuitnoblesbone ment	-||--|-----|----⌫---|
le saluamo lt doucement	-|----|--⌫-|--------|
liroissedreceen sonestan t	-|---|-|----|-|--|-----⌫|
nesetfrer equeil eint	-|--|----⌫|--|-|---|
iostelui lefet	----|--|-|--|
lifre resl equeltaproier	-|---⌫--|-⌫|----||-----|
queporde uli ot roitseli	--|--|--⌫|-|--⌫---|-|-|
q ueuifetsaufrenart	-⌫-|--|-|---|-----|
einsileracatal ifr ere	----|-|-----|-⌫|--⌫--|
segnorpor deuledeuez fere	-----|--|--|-|----|---|
nepot aler odeule	-|--|---||--|-|
quinepardoinst s onmaut alant	--|-|--------|-⌫-|----⌫----|
itelconseil te uoildoner	---|------|-|---|----|
que t ulessesrenart aler	--|-⌫|-----|-----|---|
moltdep roialen pereor	---|---⌫---||--⌫-----|
que r e nartlidoinstpar amor	--|-⌫-⌫---|-|-----|--|---|
porcefeti lsui ie uenuz	--|-|--|-⌫|--|-|----|
proieuosu oilne soitpenduz	----|--|-⌫--|-|---|-----|
ancois laissiésrenartaler	-----|--------|-----|---|
quedeusuospuistg ue r redoner	--|---|--|----|-⌫--⌫-⌫------|
nosa de useruir	--||--⌫|-----|
qui selaissa	--|-|-----|
porno smorir	--|--⌫|----|
por amordeule	--|---|--|-|
r enartde qois	-⌫----|-|--||
fer emoi n eord ener	---⌫|---⌫-⌫|---⌫---|
entotle mo ntn	-|--|-|--⌫-||
lefreredi stal enpere o r	-|----|--⌫-|||------⌫-⌫|
deusne u eltm ort d epeceor	---|-|-⌫--|-⌫--|-⌫|-----|
m ess oitc onfe s et segartbi en	-⌫-|-⌫--|-⌫----⌫|-|-|---|--⌫-|
dont serasau f le crest ien	---|---|---⌫|-|-----⌫--|
s ilestret ezdegue rpilage	|-|--|---⌫-|-|---⌫------|
il estaum eins	-|--|-|-⌫---|
elrepentage	-|--------|
noblese ntentquebie nadit	-----|-⌫----|--|---⌫||--|
nel uoudroitauoiresc ond it	-||-------|----|---⌫---⌫-|
d erienq ue il li demandast	-⌫|---|-⌫-|-|-|--------|
nequeaf ereli	-|--||-⌫--|-|
co man d a st	--⌫---⌫-⌫-⌫-|
re nart lirendi	--⌫---|-|----|
seinsnul autr e contenement	----|--|----⌫|----------|
r enartgité depriso n	-⌫----|----|-|-----⌫|
en a fetensameson	-||--|-|-|----|
poissonslidon ent poramordr e	-------|-|---⌫--|--|------⌫|
bienle dotrinent de lorord re	---|-|--------|-|--|---⌫-|
de dra sa fr e relontuestu	-|---⌫||--⌫-⌫-||--|----|
lefilaputeinletes tu	-|--||-----|-|---⌫-|
quinzeinefugaris	--------|-|----|
ci l qui tantaestémaris	--⌫|--|---||----|----|
toz f ugarizetrep assés	--|-⌫|----|-|---⌫-----|
m aueispas	-⌫----|--|
b ienretien t ceque en	-⌫--|------⌫|-|--|-|
n apassenblantq ueilsefeinne	||--|-------|-⌫-|-|-|-----|
les signesfetdelmoniage	--|-----|--|--|------|
moltletienen tlimoine asage	---|-|------⌫|-|----||---|
chererttenuzetmolt amez	---|--|----|-|---|---|
orestfrererena r t clamés	-|--|----|----⌫-⌫|------|
molt e strenartde	---|-⌫-|-----|-|
belseruic e	--|------⌫|
uolentiers ueta	---------|--||
sein teiglis e	----⌫-|-----⌫|
sou e ntlimen bredes i elines	---⌫-⌫-|-|---⌫--|--|-⌫-----|
dontilseltrong ie rles	---|-|---|----⌫--⌫|--|
apeinetie ntestacions	|----|---⌫-|--------|
carso uentatent acions	--|--⌫---||----⌫-----|
bi enliseent si ue steme nt	--⌫-|-|----|-|--⌫-----⌫-|
moltsededuitonestement	---|-|-----|---------|
sime tsententealordr e	-|--⌫||------|||----⌫|
queilniaqueentrepr endre	--|-||||--|-------⌫----|
un iorfulamesse	-|--|-|-|----|
renartdecu erlotesco tee	-----|-|--⌫-||-|----⌫--|
totdereni e rs	--|------⌫-⌫-|
i stdumostier	-⌫-|-|------|
ensamein tenoit zz sautier	-|-|---|-----|-|------|
yycapons bienseiornez	-|-----|---|-------|
lorauoitzzboriois	--|----|-|------|
quiau oitnontieba ut leriches	--|--⌫--|--|-----⌫-|-|-----|
nie rtpasu e rs elsaue rs nechices	|--⌫-|--|-⌫-⌫-|--|---⌫-|-|-----|
renartles a aper ceus	-----|--||----⌫---|
orserailb ie ndecouz	-|---|-|-⌫--⌫|-----|
seilnenfetsesgerno nsbruire	-|-||-|--|--|-----⌫-|-----|
belementsenq uidededuire	-------||-|-⌫---|------|
fait il nemapar tient	---|-|-||----⌫----|
ci l quidecharmangier se	--⌫|--|-|---|------|-|
nai pas f etueude mangierchar	|-|--|-⌫-|--|-|------|---|
moltl etendroi e engranteschar	---|-⌫|-------⌫|-|----|-----|
quicestueufere	--|---|--|---|
deuslese ltmolt me me sferoit	---|-|--⌫-|---|-|--⌫------|
nemepui s atenir	-|-|---⌫|-----|
seieenpuis enleu ueni r	-|-|-|---|-|--|----⌫|
iemo steroiequ e	-|--⌫------|--⌫|
ies oi f e re	-|-⌫-|-⌫-⌫-|
qu iqu endoiue	--⌫--|-|----|
p arle r ne	-⌫----⌫|-|
l e i o rtrespasseetlan uitui ent	-⌫|-⌫-⌫|--------|-|-|-⌫--|--⌫--|
renart quid es	-----|--|-⌫-|
chap onssoue n t	----⌫--|----⌫-⌫|
ne lespotmetre	-|--|--|----|
en o bliance	-|-⌫------|
totetrespa sse obedie nc e	---|------⌫--|------⌫--⌫|
cha ponss i lesde snoche	---⌫---|-⌫|--|--⌫-----|
lunenau cuer litoce	|-|-|-|---|-|---|
lesaut res	--|---⌫--|
que lendemein lesuendr aq uerre	--||-------|--|-----⌫|-⌫----|
c ouert les a b ien deterrier	-⌫----|--||-⌫--|-|------|
arere s e stuenuz	----||-⌫-|----|
nesotunmotde sonaguet	-|--|-|--|-|--|----|
nedellarecinquil	-|--|------|-|-|
si lichaipar auenture	-|-|---|--|-------|
mo ltretr et	--⌫-|----⌫-|
bi enasanature	--⌫-||-|-----|
lendemeinapreslesmatines	|-------|----|--|------|
ren art qui ta n teimeielines	---⌫--|--|--⌫-⌫|---|------|
dundes caponsseres t	|-|--|-----|-|---⌫|
puisestelcloist re retornés	---|--|-|------⌫-|--------|
l etiersm ani aqu e	-⌫|----|-⌫---⌫|--⌫|
nul n el sot	--|-⌫||--|
a uquartiluoc xxx	-⌫|----|----|--|
u nsf reres que bien l	-⌫-|-⌫----|--|---||
a pe rcoit	-⌫--⌫----|
q uerenart liross edecoit	-⌫-|-----|-|--|-⌫|-----|
qua ntrecon téfuaucouent	---⌫-|-----⌫--|-|-|-----|
renar t enoutbl amesouent	-----⌫|-|--|--⌫--|-----|
r enart lor	-⌫----|--|
e n uaitd ro itofrir	-⌫|---|-⌫--⌫-|----|
frerebernartnelpot	----|------|-||--|
iarauoitmangié z zcorbel	-|-----|------|-⌫|-----|
queila u oientenlorprael	--|-|-⌫-⌫----|-|--|----|
ta ntlarecin slorau oitfet	--⌫-|-------⌫|--|--⌫--|--|
quebienuoi tque ilsest	--|---|---⌫|--|-||--|
aren artonttol uzlesd ras	|---⌫--|--|---⌫-|--|-⌫--|
congie lidonenttotfu gras	-----|-|-----|--|-|---|
ne dem andoita utres l oreins	-|---⌫-----|-⌫----|-⌫-----|
ne mesquil fusthors	-|--|-|-|---|---|
delormei ns	-|--|---⌫-|
amerueillelies	|--------|--||
enfe s oit	-|--⌫-⌫--|
carli ordresl idesplaisoit	--|-|-----|-⌫|----------|
tornezs en	-----||-|
est tot le	--|--|-|
encor nuira aysengrin	----|----||-------|
limoign elontmisa lauoie	-|-----⌫||--|--||-|---|
to zsolzsenu etnulne l	--⌫|---||-|-⌫-|--|-||
moltma nachesesenemis	---|--⌫----|--|-----|
par qui ilfuen	--|--|-|-|-|
pein em is	----⌫|-⌫-|
iurecoronee	---|------|
queiasire niert pardonee	--|-||--||---|-------|
a yse ngrinz	|---⌫-----|
n e atiebert	-⌫||------|
p ar q uiilatant mausso fert	-⌫-|-⌫-|-||---|---|--⌫---|
roiausertenune haie	-----|--|-|--|---|
deloinzleuoit formentl	-|----|-|---|------||
si sescrieuois l ere ndu	-||-----|---|-⌫|--⌫--|
queauoirpendu	--|----|----|
a talan t de ranproner	|-----⌫|-|--------|
forments aqe ltatres tor ner	------||---⌫-||----⌫---⌫--|
tantquei luint en sa tesnere	------|-⌫|---|-|-|------|
troue esafemechere	-----⌫|-|---|----|
quantelel e uitgrant io i een	----|--|-⌫|--|----|--⌫-⌫|-|
ensoncuer s enesleeca	-|--|---||-|------|
carmoltauoitgrantdolou	--|---|----|----|--|-|
d ysengrin quilauoit	|-------|--||----|
f ontioiemoltgrant	-⌫--|---|---|----|
quant lorpereu oi entu iuan t	----|--|---|-⌫--⌫--|-⌫----⌫|
quent seinle uoientrep airier	----|---|-|-----|---⌫-----|
or nes porr oit nus	-|--|----⌫--|--|
moltfu bien acesmés	---|-|---|-------|
renart qui	-----|--|
fu res come prestre	-|--|---|------|
otmol tgrantta lan tde mangier	-|---⌫|----|--⌫---⌫|-|------|
l eu ecomen cheahucher	|--⌫|-----⌫--||-----|
etlenli atostaportee	-|--|-||---|------|
sesf i lz o ntlatableposee	--|-⌫-⌫-|-⌫-|-|----|----|
