misir e noblelilyons	-|---⌫|----|-|----|
poinsli uiengne	----|-|------|
iane cude queil letiengne	-|-|---|--|-|-|------|
aincoisqueil le tiengneausm ains	---------|-|-|------|--|-⌫---|
sera plusmaladesquesai ns	---|---|------|--|---⌫-|
ermeline fu en paour	-------|-|-|----|
pou r d an t	---⌫|-⌫--⌫|
re nartfuenfr eor	--⌫---|-|-|--⌫--|
etpercehaie etmal ebranche	-|--------|-|---⌫-------|
moltparestoit ladame franc he	---|--|-----|-|---|-----⌫-|
e ncroissestentensa tesniere	-⌫|----||-----|-|-|-------|
pour r enart fa it di gnepriere	---|-⌫----|--⌫-|--⌫--|-----|
etdamedieuprie	-|-------|---|
q ue ren art	-⌫-|---⌫--|
aideet secore	---|-|-----|
engingles cremisse	-----||--⌫-------|
qu en la bataillen eperisse	-|-|-|-------|-⌫|------|
sidui fi lpleurentenmeson	-|--|--⌫|-------|-|----|
c hascunsde uls f ais oitmarrison	-⌫------||-⌫--|-⌫---⌫--|-------|
pourleur pere	---|---|---|
quitant les	--|---|--|
quant il lesuoitbiausfi lz lesc laime	----|-|--|---|----|--⌫-|--|-⌫----|
her sen tpleure pourson seignor	---⌫---⌫|-----|---|--|------|
qued i eusli	--|-⌫-⌫--|-|
facetelhonor	---|--|----|
queiadela bat ail len	--|-|-|-|---⌫---⌫-||
etq u erenartu aintre	-|-⌫-⌫|-----|-⌫-----|
souefli fist lac ho se	----|-|---|-|-⌫--⌫-|
enla tes n iere ou	-|-|---⌫-⌫---|-|
iertenclose	---|------|
i a pa r luinesen fust	-⌫|--⌫|--|-||-|---|
complainte	---------|
maisyse ngrin q ui afaitmaint e	---|---⌫----|-⌫-||---|-----⌫|
lenfi stcomplaindre mol tli poise	|-|--⌫-|----------|---⌫|-|----|
moltaenlifaussebourgoise	---||-|-|-----|--------|
acc ourtet	-|-⌫---|-|
poureetriche	----|-|----|
ysengrinmetraa la	-------|----||-|
renartsilp ue ta	-----||-|-⌫--⌫||
lab ata i lle	-|-⌫---⌫-⌫--|
ni uaudrasesengin smaaill e	||-----|--|-----⌫|------⌫|
quantnoblesuitsa g entu enue	----|-----|--|-|-⌫--|-⌫---|
par quisabatail le esttenue	--|--|-|------⌫-|--|----|
bricheme rfai t auantuenir	--------⌫|---⌫|----|----|
pour recorder	---|-------|
leiugementetlabataille	-|-------|-|-|-------|
et priequeparle dr oit	-|---|--|--|-|--⌫--|
brichemerest uenuz a uant	--------|--|----|-⌫---|
et dist quilf era soncommant	-|---|-|-|-⌫--|--|------|
a soia traityy des	|--||----|-|--|
qui es toientmoltde gra ns nons	--|--⌫-----|---|-|---⌫-|---|
lelieparsestoit lipremiers	-|------|-----|-|-------|
quimolt esto it estouzetfiers	--|---|----⌫-|-----|-|----|
etba uc entqu i a	-|--⌫--⌫--|--⌫||
gentleco rps	---|-|--⌫--|
sirebruianslitors	---|------|-|---|
ciltroisis ont auant uen u s	--|---|-|-⌫--|----|---⌫-⌫|
po u rlespl ussages so nt tenus	--⌫-⌫|--|--⌫-|----|--⌫-|----|
quiceliourfussentenla	--|--|---|------|-|-|
nianulzde uls	|||---||-⌫--|
quimoltne nsache	--|---||-⌫|----|
pourzzgran tiugement tenir	---|-|----⌫|-------|----|
zzgr a ntfais	-|--⌫-⌫-|---|
c ilyyuont	-⌫-|-|---|
azzconseil	|-|------|
distbrichemer	---|--------|
iememerueil	-|-|------|
qu erenartosacep enser	--⌫|-----|--|-|-⌫----|
dontla u onsoi encuser	---||-⌫-⌫--|-|------|
a roeneletatybert	|-----|-||-----|
et a dantbrun q u i mo ltno u ssert	-||---|---|-⌫-⌫|--⌫-|--⌫-⌫|---|
maisautresclamoursi	---|-----|-------||
queie n esaiadire quantes	--|-|-⌫|--||---|------|
pint eseplain tet yseng rin	----⌫|-|-----⌫|-|-----⌫--|
pr istsursoitiesselin	--⌫--|--|--|--------|
p ourtouzceuls a b a illiés ongage	-⌫--|---|----||-⌫-⌫-----|-⌫-|---|
ys engrinetliuréhostage	--⌫-----|-|-----|------|
q u e ilcongnoi stre zz io urli f a ce	-⌫-⌫|-|-------⌫---|-|--⌫-|-|-⌫-⌫-|
seilletrueueenmilap lace	-|-|-|-----|---|-|-⌫---|
seign e urs quipeust	-----⌫-⌫--|--|----|
oster e taba issier	----|-⌫|---⌫-----|
ce fustbonsens cemes t auis	-|---|--|---|-||--⌫|---|
ai iebienditqu e	-|-|---|--|--⌫|
uousestuis	---|--|--|
ba uce ntrespontbien aue z dit	--⌫---⌫-|------|---|---⌫|--|
tu itlottr oie ntsanz contr ed it	--⌫-||----⌫---⌫-|---|-----⌫--⌫-|
tuit yysontuenu	---|-|---|---|
di enttout	--⌫--|---|
e nre quoi	-⌫|--⌫---|
si reuostre baronlo ass ent	--⌫-|-----|----|--⌫---⌫--|
quecilyy barons aco rd assen t	--|--|-|----||---⌫--⌫-----⌫|
sauue tonneurettaquerele	----||-----|-|-|------|
moltteinisso nslap aisabelle	---|--------⌫-|-|-⌫--||----|
m o ltp laist au	-⌫-⌫-|-⌫----|-|
roycequi lontdit	--|-|-|-⌫|--|--|
ia parluin eseront desdit	-|--|--|-⌫|-----|-----|
seigneursfai til oren parlez	--------|---⌫|-|-|-|-----|
et pr emierysengrin e nparle z	-|--⌫----|-------|-⌫|-----⌫|
de toutlaq ue rele a	-|---|-|-⌫--⌫---||
uous tient	---|----|
de rien ue rs	-|---|--⌫-|
moi nen a p partient	--||-|-⌫-⌫-------|
mieus uaut la	----|---|-|
p a isdi eusqu e la	-⌫-⌫-|--⌫--|--⌫|-|
poe z uer seulsconquerre	---⌫|---⌫|---|--------|
quantbrichemer	----|--------|
to u rnezsen est col	--⌫-⌫---||-|--|--|
a yse ngrindist en lo reille	|---⌫----|---|-||-⌫-----|
quel iro isforment	--|-⌫|--⌫-|------|
semerueil le	-|-------⌫-|
qu i lnepue tpais	-|-⌫|-|---⌫|---|
entr eeulzmettre	----⌫|---|-----|
nepourd onnerne	-|---|-⌫----|-|
pourp romettre	---|-⌫-------|
b ien pra ign edroi t ur e	-⌫--|---⌫---⌫|----⌫-⌫--⌫|
derenartpourla forf aiture	-|-----|---|-|----⌫-----|
dec equeil	-|-⌫|--|-|
seure limist	----|-|---|
queasa fammef orce	--||-|----|-⌫---|
dist ysengrinn	---|-------||
enparlez pas	-|-----|--|
iemep e ndroieisn ellep as	-|-|-⌫-⌫-----|---⌫-----⌫-|
quant ie alui prendra ia corde	----|-||--|-------⌫|-⌫----|
a utrefoissiaccorde	-⌫---|---|||------|
afaire honteasonco mpere	|----|----||--|--⌫----|
c omd egesira saco mmere	-⌫-|-⌫|----||-|--⌫----|
lenuerra bie n	--|----|---⌫|
seieaidroit	-|-|-|----|
brichemer dist que iluoudroit	--------|---|--|-|-------|
que lachos efustsimenee	--|-|----⌫|---|-|----|
sidu reetsiato urnee	-|--⌫-|-|-|---⌫----|
quen tre eulzyy fussentamis	-|--⌫--|---|-|------|---|
la i t estquantil sontan emis	--⌫-⌫|--|----|-|---|--⌫---|
s iquech ascun sondr oiteust	-⌫---|--⌫----|--|--⌫--|---|
quenma ltenunelifeust	-|-|--⌫|---|-|-|----|
distysen grin iad ieus neplace	---|----⌫---|-|-⌫---|-|----|
que pais neacor dance face	--|---|-|----⌫----|---|
d eciconuoiele	-⌫|-||-|---|-|
p lu sfort	-⌫--⌫|---|
et consache lequelato rt	-||-|----|-|---||--⌫-|
bienme pour r atenirp our yure	---|-|----⌫-⌫|----|-⌫--|---|
sains ile laisse aler	|----⌫|-|-----|---|
roietsonbarnage	--|-|--|------|
queces ac he nt et	--|-|-⌫--⌫--⌫-|-|
q ue po urnoientla paisrequie rt	-⌫-|--⌫-|-----|-|---|------⌫-|
iadesie nchamp faite niert	-|-|-|-⌫|----|----||---|
chascunsdir acequiluou dr a	-------|---⌫|-|-|-|---⌫--⌫|
ou c hamp uerrons l e	-|-⌫---|------|-⌫|
q ueluaintra	-⌫--|------|
dite s leroi	----⌫|-|--|
quedroit meti engne	--|----|-|--⌫----|
labataillecommentqu ilpraigne	-|-------|--------|-|------|
quantbrichemeroi la	----|--------|-|-|
n e t rouua	-⌫|-⌫----|
paisenysengrin	---|-|-------|
auroi a ditelanouuele	-|--||---|-|------|
parquoi son	--|---|--|
irere nouuele	--|--⌫------|
sireau matinet l atent	---|-|------||----|
yseng rinsabatailleatent	-----⌫--|-|-------|----|
quilna tale nt defairepa is	-|-|||----⌫-|-|----|--⌫-|
ho nni soitqui laf eramais	--⌫--|---|--|-|-⌫--|---|
acorde se ouchampnon	-----|-|-|----|--|
laen tendra	-|-|-----|
zz abricon	-||-----|
lip lais molt courr oucie z	-|-⌫---|---|-----⌫-----⌫|
quebric hemers estcourrouciez	--|----⌫-----|--|----------|
de lorgueilque	-||------|--|
ysengrinli	-------|-|
quantde paisfairelesco ndis t	----|-|---|----||----⌫----⌫|
dist brichemer s euous uoulez	---|--------|-⌫|---|-----|
droitfair esicom uoussoulez	----|----⌫|-|--|---|-----|
seuousten ez	-|---|---⌫-|
la droiteuoie	-|-----|---|
cee stlimieusque ieyuoie	-|-⌫-|-|----|--|-||---|
met tonslahor s	---⌫---|-|---⌫|
penstchasc un d egarderson corps	----|-----⌫-|-⌫|-----|--|----|
qu antil sero nt	--⌫--|-|----⌫-|
enmilaplace	---|-|----|
quimieusp ourrafaire siface	--|----|-⌫----|----|-|---|
c edi t l ir oisp arsa in tricher	-⌫|--⌫|-⌫|-⌫--|-⌫-|--⌫--⌫|-----|
p our ueriteuous ostesmoigne r	-⌫--|-----|---|-|---------⌫|
nen prendroie	|-|--------|
queliplusrichesp uist auoir	--|-|---|-----|-⌫---|----|
l abataille	-⌫|-------|
iamaisnepre ndraid euls monnoie	-----|-|---⌫----||---|------|
nes ialezplusaten dant	|-||---|---|----⌫---|
ou champlesmete z	-|----|--|----⌫|
maintenant	---------|
bataille otacoutree	-------|-|-------|
etsaparoleotracontee	-|-|-----|-|-------|
pui sles ontmis o u champens emble	---⌫|--|--|--|-⌫|----|---⌫----|
liplushardizdepaour	-|---|-----|-|----|
luntenoit lautrepar la	|-|-----||----|--|-|
noblesappellezzchapel ain	-----|------|-|------⌫--|
monseign eurbel inle mo uton	--|-----⌫--|---⌫-|-|--⌫---|
quisageses tpas n en	--|----|--⌫|--||-|
c ilzaportaun saintuaire	-⌫--|-----|-|---------|
surq u o i f aitleserementfaire	--|-⌫-⌫-⌫|-⌫--|-|-------|----|
liroisa faitcriersonban	-|---||---|----|--|--|
d etelbouban	-⌫|--|-----|
quifacenoiseempessetiengne	--|---|----|-|--|-|------|
preudon sse co ntiengne	-------⌫|-|--⌫-------|
m o lt estli roisde	-⌫-⌫-|--|-|---|-|
grantiou s tis e	----|---⌫-⌫---⌫|
duse re mentf a itlade uis e	-|--⌫--⌫---|-⌫-⌫-|-|--⌫---⌫|
dant bri chemere tbru nliours	---|---⌫-----|-⌫|---⌫|-|---|
qu e lentenoitasy ymeillour s	--⌫|--|-----|-|-⌫|--------⌫|
seigneursfaitilor	--------|---|-|-|
mesc outez	|---⌫----|
renartiurrap re mierement	-----|----|-⌫--⌫--------|
to utlesereme nt	--⌫-|-|------⌫-|
queayseng r in	--||-----⌫-⌫-|
na tortfait	||---|---|
neat ybertlechat	-||-⌫----|-|---|
tiesse lin nala mesenge	------⌫--|||-|------|
na roen e lcommentqu	||----⌫-⌫|--------|
alez faites	---|-----|
le sereme nt	-|------⌫-|
etysengrin en tieremen t	-|-------|--⌫--------⌫|
renarts apareilleenla	-----||--------|-|-|
si sageno ille et	-||-----⌫---|-|
s erebrace	-⌫|------|
d essus le ssainsestentsam ain	-⌫----|--⌫|----|-----|-|-⌫--|
ilaiu ré parsaint	-||--⌫--|--|----|
etparlessainsqueillecu oit	-|--|--|----|--|----|-⌫--|
que de cestpla itnu ltornauoit	--|-|---|---⌫-|--⌫|--||----|
b aisepuissi sel ieue	-⌫---|---|-|-|-⌫---|
etysengrind urement	-|-------|-⌫------|
c ist quif aitacroi repou ruoir	-⌫--|--|-⌫--|-----⌫-|---⌫|---|
l amen congepar sonsau oir	-⌫|---⌫----|--|--|---⌫--|
sest aterremis	|--||----|--|
abrunoiezamis	|---|---|---|
renarta iurécommef aus	-----||----|----|-⌫--|
ettraitreset	-|-------|-|
des loi aus	---⌫---⌫--|
du ser ementi e le creant	-|---⌫----|-⌫|-|-----|
lessa ins baisa tou tm ainte nant	--|--⌫--|----|---⌫|-⌫-----⌫---|
s estredrecie z pui ssi senua it	|--|--------⌫|---⌫|-||-|--⌫-|
e nmile c hamp soro ison fait	-⌫--|-|-⌫---||---⌫---|---|
long uementfu enoroiso ns	----⌫-----|-|-|------⌫-|
etfu eng ra nzasfliccions	-|-|-|-⌫--⌫-|----------|
e tpriedie u quitou tsurmonte	-⌫|---|---⌫|--|---⌫|-------|
queilli dointuengiersa	--|-|-|----|------|-|
siquauparti r l	---|-|-----⌫||
derenartquilia	-|-----|--|-||
baisa laterre	----|-|----|
si se d resce	-|-|-⌫----|
affaite etadresce	------|-|------|
e npluseurssen sleretournoie	-⌫|-------|---⌫|-|---------|
samainlanca en lacourr oie	-|---|----|-|-|-----⌫--|
sonescup rentp uissi semolle	--|---|-⌫---|-⌫--|-|-|----|
en pl useurs	-|--⌫-----|
sens sonbaston crolle	---|--|-----|-----|
toutentour encl i nealagent	---|-----|----⌫-⌫-||-|---|
moltse de duitet	---|-|--⌫---|-|
rena rtque	----⌫-|--|
i l segart	-⌫|-|---|
que ilnen met tel onneuragas t	--|-||-|---⌫-||-----||---⌫|
quant r enartl ot	----|-⌫----||-|
d e cuerso uspire	-⌫|---|--⌫-----|
estteusm ot ne	--|---|-⌫-|-|
ren ar tsotlerreen s en fance	---⌫--⌫|--|----|-||--⌫----|
moltot oi d e nigromance	---|-|-|-⌫|---------|
tantosta entenduaillour s	------||------|-------⌫|
quotoublié	-|-|------|
meillou rs	-------⌫-|
so n baston	--⌫|-----|
prent a a f aitier	----||-⌫-⌫-----|
b iensemb lequilseueulth aitier	-⌫--|----⌫-|-|-|-|----|-⌫-----|
gente me ntle	-----⌫--⌫-|-|
s cetasoitraire	-⌫--||--|-----|
bien fuapri s detela faire	---|-|----⌫|-|--|-⌫----|
enpluseursl ieus laessaié	-|-------|-⌫---|||------|
napassemblant	||--|-------|
dois lacou rro ie lace	---|-|---⌫---⌫-|---|
puisseredrescede laplace	---|-|-------|-|-|----|
letintsifuseurs	-|---|-|-|----|
commec hastelenclosdemurs	----|-⌫-----|-----|-|---|
liescremirli est ioians	-|-------|-|--|-----|
son escusu rsa te ste	--|---|--⌫|-|--⌫--|
se ysen grinpr esde	-|----⌫---|--⌫-|-|
t elescremi elidou rra	-⌫-|-------⌫|-|---⌫--|
qui a gran thonteli	--||----⌫|----|-|
ysengrin est de	-------|--|-|
moltt ostcourtrenartenuair	---|-⌫--|----|-----|-----|
renart fa it il	-----|--⌫-|-|
molteshonniz	---|-|-----|
touziours soieiemaishonniz	---|----|---|-|---|-----|
senemeueng de	-|-|-|---|-|
ma uiltance	-|-------|
feispar surcudance	---|--|---------|
quanttu am afammegeus	----|-||-⌫|----|---|
et a forcelap ourgeus	-||----|-|-⌫------|
renartrespontsi re	-----|------|--⌫-|
ott roiezqueiesoie quit te s	---⌫----|--|-|---|----⌫--⌫|
faire uou sfer ai	----|---⌫|---⌫-|
grantdam a ge	----|---⌫-⌫-|
a che ualiers deha ut par age	|---⌫------|-|--⌫-|---⌫--|
puisiraipour	---|---|---|
uous outremer	---|----|--|
uoulez quitt eclam er	-----|-----⌫|----⌫-|
renartfaiti ln etetrau ailles	-----|---|-⌫|-⌫|-|----⌫-----|
ienecroique tu noie ntuaille s	-|-|---|--|-|----⌫-|------⌫|
qu anttudemesmains tourneras	--⌫--|-|-|--|----|--------|
i apu isneme ramposnera s	-⌫|--⌫-|-|-|----------⌫|
renartresp ontcest	-----|----⌫--||--|
deuinaille	---------|
bienuer ro ns aladeffinai ll e	---|---⌫--⌫-||-|--------⌫--⌫|
liquieus seraplus	-|-----|---|---|
dist y sengrintropas ues cu	---|-⌫------|---|-|---⌫-|
ne m epu is ue ngier	-|-⌫|--⌫-|--⌫----|
ce ditren artoiie dangier	-|--|---⌫--|-|-|------|
touteiourm enacant	----|---|-⌫------|
maisassail liezde	---|------⌫---|-|
maintenant	---------|
acest motysengrin aco urt	|---|--|-------|---⌫--|
renar tn ata le ntquilentour t	-----⌫|||--⌫--⌫-|-|-|-|----⌫|
sonescumetdeuantsonfron t	--|---|--|-----|--|----⌫|
metpieauantsou uentsesgron t	--|--|----|---⌫---||------⌫|
moltleua itysen grinhastant	---|-|--⌫-|----⌫---|------|
uaitbien d effendant	---|---|-⌫--------|
geteretraiteet xxx	---|-------|-|--|
auquelquesoit	-|---|--|---|
eniert li d eul s	-|---|-|-⌫---⌫|
ainzquilseparte	-----|-|-|----|
del assaut	-||-----|
r enart fiert que	-⌫----|----|--|
mie ne fa ut	--|-|--⌫-|
tels cous lez loreille	---|---|--||------|
t oute latesteli	-⌫---|-|----|-|
ac el ass aut	|-⌫-|---⌫--|
mallienchi et	--|-|-----⌫-|
tret outchanceleapoi ne chiet	----⌫--|-------||--|-|----|
testeaue useignier	----||--⌫|-------|
desamain seprist	-|-|---|-|----|
qui ne faut nement	--|-|---|-|---|
d affoleme nt	|--------⌫-|
p oursa fam m e iertce	-⌫--|-|---⌫-⌫|---|-|
dist trais	---|----|
longuement fu siesbahiz	---------|-|-|------|
que i lnescetquieus iour s ilsoit	--|-⌫|-|---|-----|----⌫|-|---|
soitiours soitnuizqueltempsilsoit	---|----|---|---|---|----|-|---|
pourl ecoupquil	---|-⌫|---|-|-|
renartl abienaperceu	-----|||---|------|
nefist semblantqu il	-|---|-------|-|-|
nequeaperceule ust	-|--|------||-⌫--|
ma isdaut re pa r t	--⌫-||---⌫-|--⌫-⌫|
tournes a chier e	-----|-⌫|-----⌫|
encors e gart quilne	----|-⌫|---|-|-|-|
silen puet l ieu ou eseauoir	|-|-|---|-⌫--|-|--|----|
en corlifera	--⌫--|-|---|
a tal entdelu iatraire	|---⌫--|-|--⌫|------|
ensus leferadeluitraire	----|-|---|-|--|-----|
nel enlaira pasapproch i er	-||-|----|--|-------⌫-⌫-|
les e t es maier	-|-⌫-⌫|--⌫----|
dantysen grin de l oingesgar d e	---|----⌫---|-|-⌫---|-----⌫-⌫|
renartlidist pour quoi se tarde	-----|-|---|---|---|-|----|
qual abataillene reuient	-||-⌫|-------|-|------|
biens cetqu afairele	---|-⌫--|-||----|-|
couu ien t	----⌫---⌫|
y seng rin s estmoltapensé	-⌫----⌫--||--|---|------|
qu eesmaiez a trop	--⌫|------||---|
pour p ensesoique	----⌫-⌫---|--|--|
tr op demeure	--⌫-|------|
isnelementlicou rut seure	---------|-|---⌫--|----|
met pieauant g eteretrai te	--|--|----|-⌫--|------⌫-|
maisdurementrenarts egueite	---|-------|-----|-⌫|-----|
ysengringete pasnarreste	-------|---|--||------|
de so nbasto nuolela	-|--⌫|-----⌫|---|-|
metpiearrier e	--|--|------⌫|
si retrait	-|------|
re nartquisceta ssezde fa it	--⌫---|--|---|-⌫---|-|--⌫-|
itantdant yse ngrin	----|---|---⌫----|
dieus quisur	----|--|--|
touz est u rai deu in	---|--|-⌫--|---⌫-|
scetbienqu e l	---|---|--⌫-⌫|
d roituersm oiauez	-⌫---|---|-⌫-|---|
bastonuousf aut dont ne lsauez	-----|---|-⌫--|---|-||----|
car fa i sonspaisamon seignor	--|--⌫-⌫---|---||--|------|
ainzqueuo us	------|--⌫-|
aiez deshonnor	---|--------|
di styseng rin faitesmoitondre	--⌫-|-----⌫--|-----|--|-----|
sa sseznen a i pouruousconfondre	|-⌫---||-|-⌫|---|---|--------|
quan tasse z	----⌫|----⌫|
r amp osnez se furent	-⌫---⌫----|-|-----|
lichampion quiouchampfurent	-|-------|--|-|----|-----|
derrechief and u i s en reuien ent	---------|---⌫-⌫||-|------⌫--|
m oltcointementleurescus	-⌫--|---------|---|----|
yseng ringete et fait sonesme	-----⌫--|---|-|---|--|---|
queg et erwei llepa rmeesme	--|-⌫--⌫-|---⌫--|--⌫|-----|
deluiprendremoltsentremet	-|--|------|---||-------|
con t reles cuson bastonmet	---⌫-⌫-||--⌫-|--|-----|--|
champson ba ston lesse	----|--|--⌫---|----|
rena rtdeson baston r eslesse	----⌫-|-|--|-----|-⌫------|
telcoup li donneainzqu i l eti eng n e	--|---|-|----|-----||-⌫|--⌫---⌫-⌫|
iamais niert iour ne	-----||---|---|-|
l ensouuieng ne	|-|--------⌫-|
le bras senestreliafrait	-|---|-------|-||----|
oraysengrin moltmestrait	-||-------|---|-------|
anduiontleurescusrepri s	----|--|---|----|-----⌫|
fie rent ete s piz	---⌫---|-|-⌫|--|
en pluseu rslieuss e	-|------⌫-|----|-⌫|
uonttraitant	---|-------|
longueme nt furentene s tant	--------⌫-|-----|-|-⌫-⌫---|
neueistesge nstantcombatre	-|------|--⌫-|---|-------|
lund eul zneuoulo it lautre	|-||---⌫|-|-----⌫-||----|
i ane doito nde ceplai dier	-⌫|-|---|-⌫|-|-|----⌫---|
ysengrin nese	-------|-|-|
puetaidier	---|-----|
fors s eulementd esonbrasdestre	---|-⌫-------|-⌫|--|---|-----|
car perd uauoit lesenestre	--|----⌫|----|-|-------|
lundeulstournel	|-||---|-----||
a utre retourne	-⌫---|-------|
nulz d es uassaus pasne	---|-⌫-|------|--|-|
molttour nent ainzquen ulenchiee	---|----⌫---|------|-⌫-|-|----|
ysen grinsu ef fregrant hachie	----⌫---|--⌫--⌫--|----|-----|
maisdens azzpouplusagues	---|---||-|--|---|----|
que renartet mi eusesmoulues	--|-----|-|--⌫--|--------|
contrer e nartmol tseher ic e	-----|-⌫-⌫---|---⌫|-|---⌫--⌫|
bienlides ciresap elice	---|-|---⌫---|-|-⌫----|
renart lifaitzztourfran cois	-----|-|---|-|---|----⌫---|
maisysen gr in	---|----⌫--⌫-|
neldoutezzpois	-||----|-|---|
renartle straint pasne se fai nt	-----||-⌫------|--|-|-|---⌫-|
iambetlifaitdelu ilempa int	-----|-|---|-|--⌫||----⌫--|
ala te rrelegete	|-|--⌫--|-|---|
r ena rtli	-⌫---⌫-|-|
uintsusentrauers	---|--|-|------|
les densl i debriseenlabouche	--|---|-⌫|------|-|-|-----|
e nla chiere li	-⌫|-|-----|-|
cr a c hee tuouche	--⌫-⌫-⌫-|-⌫|-----|
esi e usli boute sonb a st o n	-|-⌫-⌫-|-|----|--|-⌫-⌫--⌫-⌫|
souuentli poi le	------|-|---⌫-|
son gr e non	--|--⌫-⌫--|
tra irelifait	---⌫--|-|---|
mo lt malefin	--⌫-|---|--|
dits ir eysengrin	--|-⌫--⌫|-------|
encuiquitortaura	----|--|---|---|
etqui mieusfairel e sau ra	-|--|----|----|-⌫|---⌫-|
deuostre fa mme m a ccus ez	-|-----|--⌫--||-⌫----⌫-|
ce rtestrop	--⌫---|---|
esdesmes ure z	-|------⌫---⌫|
quant uouscipo ur uostremoillier	----|---|-|--⌫-|-----|-------|
moi etuousfaitestraueill ier	--|-|---|-----|--------⌫--|
yse ngri nuoi tquillelaideng e	---⌫----⌫|---⌫|-|-|-|-------⌫|
mol testdolensqu il nese	---⌫|--|-----|-|-|-|-|
cepoiselinenp uet plus	-|----|-||-|-⌫--|---|
renar tli fait honteet co ntra ire	-----⌫|-|---|----|-|--⌫----⌫--|
entresesdens molts e de mente	----|--|---|---|-⌫|--⌫----|
etditfouse st quime t s entente	-|--|---|-⌫-|--|--⌫||------|
enf amme pour	-|-⌫---|---|
chose qui loie	----|-|-⌫|--|
quemalsapainey emploie	--|--|-|----||------|
ia l amoie ne creraimes	-|-⌫|---|-|-----|--|
parfammeestplus guerre quepais	--|----|--|---|-----|--|---|
pa r f amme	--⌫|-⌫---|
so nthonis mainthomme	--⌫-|----|----|----|
lesmausestf amesomme	--|---|--|-⌫--|----|
qui tropi metsentente	--|---||--||------|
yseng rin ai nsise deme nte	-----⌫--|--⌫--|-|----⌫--|
ainsisecomplaintb ellement	----|-|--------|-⌫-------|
r e nartlefiert menuem ent	-⌫-⌫---|-|----|------⌫--|
e t surle n ezetsur laface	-⌫|--|-|-⌫-|-|--|-|---|
ysengrinnescetque ilface	-------|-|---|--|-|---|
que bien uo it qu	--|---|--⌫-|-|
ac emotle bastones c hape	|-⌫|--|-|-----|--⌫-⌫---|
q ue re nart tenoite n samai n	-⌫-|--⌫---|-----|-⌫|-|---⌫|
cilz qui n otpaslec uertro p	---|--||-|--|-|-⌫--|---⌫|
seuoultleuer	-|----|----|
mai snepue t	---⌫|-|---⌫|
quil nauertuforsde	-|-|||----|---|-|
renartli faitdegrans a nuis	-----|-|---|-|----|-⌫---|
poudreliget e ouuis	-----|-|---⌫|-|--|
yse ngrintien tpourm o ltpoissant	---⌫----|----⌫|---|-⌫-⌫-|-------|
ausmainsli	--|----|-|
uaitlesi eus	---|--|-⌫--|
mais pa rsagra nt mesauenture	---|--⌫|-|---⌫-|----------|
son d oitenlabouchededens	--|-⌫--|-|-|-----|-----|
lichiet et cilz	-|----|-|---|
lepre ntausdens	-|---⌫-|--|---|
l ac hartrenchei us que s a	-⌫|-⌫--|------|-⌫--⌫---⌫||
sesmainslacederrier s o ndos	--|----|---|------|-⌫-⌫|--|
del estraindr e pasn es e faint	-||---------⌫|--|-⌫|-⌫|----|
car ent elguis el edestraint	--|-|-⌫-|----⌫|-⌫|--------|
o uweil le ounonlestuetdes c endre	-⌫|----⌫-|-|--||-----|---⌫-⌫----|
e ttost dedessuslu i	-⌫|---|-|-----|--⌫|
de sce n dre	--⌫---⌫-⌫--|
or estr enart enmaltrepeil	-|--|-⌫----|-|--|------|
silapaourne m	|-||----|-||
en meruei l	-|------⌫|
ys engri ndes genousl e se rre	--⌫-----⌫|--|-----|-⌫|--⌫--|
renartneuit ne	-----|-|--|-|
ciel neterre	---|-|----|
iuréauoitfaus	----|----|---|
serem e nt	-----⌫-⌫-|
illipar raprochaineme nt	-|-|---⌫-|-----------⌫-|
loii la menee	--|-⌫||----|
hui estuenuzasa iou rn ee	--|--|----||-|---⌫--⌫-|
merciquiertpourl essainsde r omme	----|-----|---|-⌫-|----|-|-⌫---|
mais neli u aut	---|-|-|-⌫--|
pa s unepomme	--⌫|--|----|
cary sengri nsifiert etmaaille	--|-⌫------⌫|-|----|-|------|
tantq uer enart gient	-----⌫-|-⌫----|----|
ysengrinle fier ten lachiere	-------|-|----⌫|-|-|-----|
net ientpas s urlui sa main chiere	-|-⌫---|--|-⌫-|--|-|---|-----|
ap ooirde deffe ndre	|-⌫---|-|-----⌫---|
to ut lico u ientsouffrir	--⌫-|-|--⌫-⌫---|-------|
etpr endre	-|--⌫----|
oren estys engrin l onnour	-|-|--|--⌫-----||-----|
estengrant	--|-|----|
d euenusest plusfroisqueglace	-⌫-----|--|---|----|--|----|
encoiz morrace distenplace	-----|----|-|---|-|----|
q uepourlui	-⌫-|---|--|
r ec reant secla int	-⌫--⌫----|-|---⌫--|
zz p laint	-|-⌫----|
semblant fait dommequisoitmor t	-------|---||---|--|---|---⌫|
caren luinapointmaisdef fort	--|-|--|||----|---||--⌫---|
ys engrinzz	--⌫-----|-|
peti tle sache	----⌫|-|----|
mortetmolt	---|-|---|
l e d essach e	-⌫|-⌫------⌫|
renartnemuet ne pie	-----|-|---|-|--|
b ienfaitsemblantq uiln est	-⌫--|---|-------|-⌫|-||--|
y sengrinladebatu	-⌫------|||-----|
lalaissiétoutpourmort	||-------|---|---|---|
libar onsontd e	-|---⌫-|---|-⌫|
courtsedepart i	----|-|------⌫|
onct ro iennorenttelioie	--|-⌫--⌫--||----|--|---|
qu ant recurente lainea troie	--⌫--|-------|-⌫----||----|
