lesse ignorsanciainsquiontbatailleor	--|--⌫-----|-------|--|--|---------|
au gloriouscors seinten cu i tantse fi o it	-|-------|---|----|-|--⌫|---|-|--⌫-⌫-|
autres a ueuglesestbien chosese ue	-----|-⌫------|--|---|----|--⌫-|
quesuslo c o r sseinzont	--|--|-|-⌫-⌫-⌫|----|--|
reco u reeueu e	----⌫-⌫--|---⌫|
qu i sein tibau t req u ierna	--⌫|---|-----⌫|---⌫-⌫--|||
paspoin eperdu e	--|----⌫|-----⌫|
erta ub esoindoup uissa nt r oi	--|-⌫|-⌫----|--|-⌫-----⌫-|-⌫-|
ausizz ydropiquesfuiquiamenez	---|-|---------|-|---|-----|
cuiliuentresde denzesto it	--|-|------|--⌫---|----⌫-|
toz boranflez	--|--------|
augloriouscorsseinzestgariz	-|-------|---|----|--|----|
sains senest	----||-|--|
et aleg r esensonp aistornez	-|----⌫-⌫-|-|--|-⌫--|-----|
d uiautredun tli	-⌫-|----|---⌫|-|
zzgenouscontrait auoit	-|-----|-------|----|
liautresqui de rien adie rn e se	-|-----|--|-|---|----⌫|-⌫|-|
dec elemaladiequitant nuitlora uoit	-|-⌫--|------|--|---|---|--|-⌫---|
garirentauseint	-------|-|----|
corsetsenalerentdroit	---|-||-|------|----|
cilqui lesbiensdeluitozrecon t er	--|--|--|----|-|--|--|-----⌫-⌫-|
en coi sque amiracles aparol esfaudront	--⌫---⌫---||-------||-----⌫-|-------|
comesaig e ameinssenpasser ont	---|----⌫||----||-|------⌫--|
queplus croitralorpo ine coplusientendront	--|---|------|--|--⌫--|-|---||---------|
p arceanosparolescou ientboin epose r	-⌫-|-||--|------|---⌫---|----⌫|----⌫|
quarn est honzquipeusseta nt	---||--|---|--|-----|--⌫-|
saigess oit n ombrer	-----|-⌫--|-⌫-----|
qu antauul gles qu anzfoiblesq uanz malades	--⌫--|----⌫---|--⌫--|------|-⌫---|------|
deus ifistla ueuela	---||---|-|---|-|
forceet laler	----|-||---|
parlamors ein	--||---|-⌫--|
t ibautquita ntfaita doter	-⌫----|--|--⌫-|---||----|
oui lso n cors	-|-⌫|--⌫|---|
laissapose r	-----|----⌫|
cristne f ine	----|-|-⌫--|
nenuitdourer	-|---||----|
a tantuuil faire findecestreconteme n t	-⌫---|---|----|--|-|---|---------⌫-⌫|
qui conterpuisseninombrer solement	--|-----|-----|-|------|-------|
q uantmal ade quantfo ib lequa nt auugl ea usement	-⌫---|---⌫--|----|--⌫--⌫-|---⌫-|-----⌫|-⌫------|
dem o ni aque et quan tfebricitant	---⌫-⌫--⌫---|-|----⌫|----------|
onttro uésus la fossede	--|---⌫--|--|-|----|-|
to zmauzsenement	--⌫|---|-------|
agaran tuo s	|-----⌫|--⌫|
entrailoufi saintemarie	-|---|--|-|-----|----|
qui dedanz lui habite	--|-----|--|-----|
q ueieaigrantpart ie	-⌫-|-|-|----|----⌫-|
laissi edesesmiraclesque dizneuos	------⌫|-|--|-------|--|--|-|--|
pet iz ra i nsdegrantsil ue aicie ndroit	---⌫-|--⌫-⌫-|-|----|---⌫-|-|-|-⌫-----|
senti bau zquemo ut loent	--|--⌫---⌫|--|--⌫-|----|
entozlu es li	-|--|--⌫-|-|
d ecu ifurent tuitb on et	-⌫|--⌫|-----|---|-⌫-|-|
lif ai tet lid ist	-|-⌫--⌫|-|-|-⌫--|
qui fude noble gen td ef ran ce	--|-|-|----|---⌫|-⌫|-⌫---⌫-|
ouil nasqui s t	-|-|------⌫-⌫|
estoile reluisanzrespl endit	------|--------|-----⌫----|
en tretozceaus	--⌫--|--|----|
quedesp ar	--|--|-⌫-|
lasoeb onte	-|--|-⌫---|
montetenses seinzcielscoste	-----|-|--|----|----|----|
samaie ste	-|----⌫--|
ento tl otensquihacai	-|--⌫|-⌫|---|--|-|--|
enar riersesté	-|--⌫----|----|
hissilotrouons nose n ladiuinite	----|-|------|--|-⌫|-|-------|
parla grace	--|-|----|
celui qui mainten	----|--|----|-|
lienciain p oeteac ost uméa uoient	-|------|-⌫---|--⌫---⌫---|-⌫-----|
que leslosdes mor telsdeuanttozreco nto ient	--|--|--|--|---⌫---|-----|--|----⌫---⌫---|
des tiranzetd es	--|-----|-|-⌫-|
roisesdisoient	---|-|-------|
les f aizet en	--|-⌫--|-|-|
escritlorsuit oires metoi ent	-----|---|---⌫----|-----⌫--|
aceausqui apr es auspar natureuindroient	|----|--|---⌫-|--|--|-----|---------|
parl ettr eparescri stmemoire enlaissoient	--|-⌫----⌫|--|-----⌫-|------|-|---------|
atelschosesescriure	|---|-----|-------|
lorententepe rdoient	--|------|--⌫------|
quar ausicome umb reslo rconte trespas soient	---|---|---|---⌫--|--⌫|----|-------⌫-----|
nosqui coueitonsestrede pa rd u r abl e uie	--|--|--------|----|-|--⌫--⌫-⌫-⌫---⌫|--|
hoi rsuspitagora mou n otforstru pherie	---⌫|--|--------⌫|-||-|---|---⌫-----|
etsus enpend eclem qui	-|--|------⌫----|--|
so ntor ames chie	--⌫-|-||---⌫---|
carouparfontdenfersontambedu i p lungi é	--|-|------||----|---|------⌫|-⌫-----⌫-|
deuons dele	-----|-|-|
sereynesdo	-------|-|
totlocham laissier	--|-|---|-------|
etcelsdo ro ssinol	-|---|-|--⌫-----|
quimeinzfaitfoloi e r	--|----|---|-----⌫-⌫|
et entotes menere snosdeuons enforcie r	-|-|----|------⌫|--|-----|--------⌫|
q uenos puissien	-⌫-|--|-------|
au reigneihesucristapruchier	-|-----|----|----|--------|
n iu i autpasapruchier	||-⌫-⌫--|--|--------|
nu nshonsq u i sef or suoie	--⌫-|---|-⌫-⌫|-|-⌫--⌫----|
quine uaitd r o itc heminfo rs est	--|-|---|-⌫-⌫-⌫-|-⌫----|--⌫-|--|
quar ans icomdes	---|---⌫|--|--|
ditestroitees tl auoie	--|-------|--⌫|-⌫|---|
queciluon tqu i d esirrentd e	--|--|---⌫|--⌫|-⌫-------|-⌫|
par adislaioie	---⌫---|-|---|
de tantc omparmeriteest	-|---|-⌫-|--|-----|--|
plu s clere liu ie	---⌫|----|-|-⌫-|
decestseint	-|---|----|
tantdoitelemi ausestreessaucie	---|---|--|--⌫--|----|-------|
do publei he sucristl o	-|----|-⌫--⌫-|----|-⌫|
quicea usqui bienr econ tentt oz	--|---⌫-|--|---|-⌫----⌫---|-⌫-|
io rsgoue rneetguie	--⌫-|----⌫--|-|---|
delamaiso nson	-|-|-----⌫|--|
perecoment	---|-----|
sedepart it	-|------⌫-|
ciz glorious	--|-------|
cors s einz nosauons de susdit	---|-⌫---|--|----|--⌫--|--|
qu ant bienqu ant purement tresto tson tensuisquit	--⌫--|---|--⌫--|-------|------⌫|--|---|------|
enzz leucuiligenzsalanique nommist	-|-|--|--|-|---|--------|--|---|
et coment deces tmo nd eenparadismo nti t	-|-----|-|---⌫|--⌫--⌫|-|------|--⌫---⌫|
liarmequantd ocor s	-|---|----|-⌫|---⌫|
enlafi nse	-|-|--⌫|-|
de mostier nostre damepierresa lbes	-|------|-----|---|------|-⌫---|
lilues oulimo stiers nostred amee stfundez	-|---|-|-|--⌫-----|-----|-⌫--|-⌫-|-----|
doquelcizprodonzpi erresestalbesapelez	-|---|--|------|--⌫----|--|----|-----|
esttotcertai nementuan gua d iceclamez	--|--|------⌫-----|---⌫---⌫-⌫--|-----|
is silod it lestoirece estlaueritez	--⌫-|-|-⌫-||------|-|--|-|------|
luesereposent	--|-|-------|
tui tenseiscertain	---⌫|-|---|------|
p recioscor sd o baronpr e miain	-⌫-----|---⌫|-⌫|----|--⌫-⌫----|
et caus tot ausementde	-|---|--|-------|-|
s en felici ain	-⌫-|------⌫--|
desquel scorsales	--|----⌫|---||--|
armesabrahamen son	----|------|-|--|
m outespiri telment sentibautenseign et	-⌫--|------⌫------|--|-----|-------⌫-|
c iz sires pie r res abbesquimout	-⌫-|----|---⌫-⌫--|----|--|---|
en de lamet	-|-||---|
moutm istbienla sem manceque ilen lui semmet	---|-⌫--|---|-|---⌫----|--|-|-|--|-----|
oi ez comentquefruit en centdoble s rendet	--⌫-|-----|--|----|-|---|-----⌫|-----|
depreciouse uiei ciz	-|--------|--|-⌫--|
abesesto it	---|----⌫-|
toz iorsetto te shoressen tiba u tuisi toit	--|---|-|--⌫--⌫|----|--|----⌫-⌫|----⌫---|
sides bi enstempores so uentlosecorroit	-|--|--⌫--|-------|--⌫---|-|--------|
esbiens espi rit ablesmout	-|----|----⌫---⌫----|---|
miauslo so stenoit	----|-|--⌫------|
bien putauiau	---|--|----|
dauid c hanter	----|-⌫-----|
liqueschanta	-|---|-----|
lo saumedosautier	-|----|-|------|
ouqu elzzte luoirs a	-|--⌫-|-|--⌫|----||
ihesuc ristmegouernee trenz	----|-⌫---|-|------|-⌫|---|
ne m efa udr a	-|-⌫|--⌫---⌫|
o ulue dec el	-⌫|--|-|-⌫-|
p asquero u	-⌫-----|-⌫|
ilmaloiera	-||------|
lipuble de ui ncencepar adess	-|----|-|--⌫-----|--|---||
at irerent	--⌫------|
a grant bruitetgrant	|----|----|-|----|
noisec elepart sa prucheren t	----|-⌫--|---||-⌫---------⌫|
sensra iso n par lo rforc elo seint	---|--⌫---⌫|--|--⌫|----⌫|-|----|
corsenporte rent	---|-|-----⌫---|
par def f enspa r ch alu ngeonquesrenne nl ais s erent	--|---⌫-⌫--|--⌫|--⌫---⌫--|-----|--||-⌫|-⌫---⌫-⌫----|
queldolorot l i merepara d esuos	---|----|-|-⌫|---|--|-⌫-⌫-|--|
liabeset li freresiplus autn	-|---|-|-|----|-|---|--||
ent endisse	---⌫------|
lotort que lonlor fit	-|---|--|--|--|--|
paradeses cr ississe	--|---|--⌫--⌫------|
motetm otpo i ntetpoint	--|-|-⌫-|--⌫-⌫-|-|----|
enimentisse	-||-------|
liabesq uenomméuos	-|---|-⌫-|-----|--|
aicienpresent	-|-|-|------|
etodeslicustoi deetli mereausement	-|---|-|------⌫-|-|-|---|-------|
monseignorsentib autettui t c il docouent	--|------|--|---⌫--|-|---⌫|-⌫-|-|-----|
blecie ́par telet	------⌫|--|--|-|
trenchié apresmen t	--------|--------⌫|
os seierentparforc ede	--⌫-------|--|----⌫|-|
puis santc oment	----⌫---|-⌫----|
do gl orios corssei nt eu ss ant	-|--⌫----|---|---⌫-|--⌫--⌫--|
q ua nt uirentqueamiderenne	-⌫--⌫-|-----|--|--|-|--|-|
lora derent	--|-⌫-----|
etquet uit	-|--|-⌫--|
limeilloraieloruehere nt	-|------|--|--|------⌫-|
no streseigno r d ecue rdo cement	--⌫---|------⌫|-⌫|---⌫|--⌫-----|
deprierent	---------|
queillesconsoillastetaluis	--|-|--|----------|-||--||
apuieren t	--------⌫|
dahorerdeprier de ueilli e rnece sserent	|-----|-|----|-|------⌫-⌫|-|--⌫------|
aupoure s lar gementaum o ignes	-|-----⌫|---⌫-----|-|-⌫-⌫----|
espen dere nt	-----⌫----⌫-|
lapuissan cede dede fin	-|-------⌫-|-|-|-|--|
cuerreg racerent	---|---⌫-------|
quelo rd on ast pooir	--|--⌫|-⌫--⌫--|----|
a icesacorderent	|--||---------|
derecourer locorsquechacunsdesirroit	-|-------|-|---|--|------|--------|
al moinsune	-|----|--|
partie sisesplaisir sest o it	-----|-|--|-------⌫|---⌫-⌫-|
li prom ise	-|----⌫--|
dedelescuersl o renforco i t	-|-|--|----|-⌫-⌫|-------⌫-⌫|
quid itq uiqu iertmonpere en mon no n	--|-⌫-|-⌫-|--⌫---|--|---|-|--|--⌫|
porce uiau stnostre sireq u itoz lesbiens	--|-|----⌫-|-----|---|-⌫-⌫|--|--|----|
quigardierresdese i ntibautestoit	--|---------|-|--⌫-⌫|-----|-----|
fu stenclos	--⌫-|-----|
acel eequan t nusno per c euoit	|---⌫-|----⌫|--|||---⌫-⌫----|
lunlomurdel	--|-|--|-||
igli se oulicors	----⌫-|-|-|---|
se i n z gisoi t	--⌫-⌫-⌫|-----⌫|
entreluie tlo cors	----|--|-⌫|-|---|
aut mursetlarge a uoit	--|---|-|----|-⌫---|
pensee a icoentend oit	-----||--|------⌫--|
c oie m enta	-⌫---⌫-⌫--||
cel eequetant fes soreroit	---⌫-|--|---|---⌫-------|
desozl opied oumu rque dedan zentreroit	----|-⌫|--|-⌫-|--⌫|--|-----⌫|--------|
etque deseintibau tgr antparti een	-|--|-|---|-----⌫|--⌫--|-----⌫|-|
s e ihesus celegracecalpooitli donoit	-⌫|-----|---|----||-|----|-|-----|
prouzestoitdo bienfai re granuolenteauoit	----|-----|-|---|---⌫-|---|------|----|
sedesliro isdegloirec onduirelo	-|--|-|--⌫-|-|-----|-⌫------|-|
deproieri he s uc ristior	-|-----|-⌫--⌫-⌫|-⌫---|--|
ni nu it neces soit	-|--⌫-|-|---⌫---|
aumones q ui mout aiden t	------|-⌫-|---|-----⌫|
ues deas g enz dono it	--|-|-|-⌫--|----⌫-|
agr an tdeuotion qu imo utuaut ie unoit	|--⌫--⌫|-------|--⌫|--⌫-|---|--⌫----|
yyuertustotso n corstorment oit	-|-----|--|--⌫|---|-------⌫--|
s ireligio us frere quiauiaul uies toient	-⌫|-------⌫-|----|--|----|-⌫-|--⌫-----|
detotelac itees	-|---|-|-⌫--|-|
iglisesa loient	------|-⌫-----|
nuspiesaplorsalarmesihesu	--|---||----||-----|----|
cr ist deprioient	--⌫--|---------|
queillorotroi assecequeildesirroient	--|-|--|-----⌫---|-|--|-|----------|
liperesglo rious	-|----|---⌫----|
totadeslesoit	--|---|--|--|
quarodes ligarderr es yyfois en dor m anzui t	---|---|-|-------⌫-|-|---|-|---⌫-⌫--|--⌫|
unepe rsonedehometot blan qui l	--|--⌫----|-|---|--|---|--||
enabit depr eu oirequitel c hose li	-|---|-|--⌫--⌫---|--|--|-⌫---|-|
odesresuei le toi	---|------⌫-|--|
ors usn en dormir	-|-⌫-||--⌫-----|
pensed efessor er p artens	----|-⌫|------⌫-|-⌫-|---|
aura sa ie	----⌫|-⌫-|
mout a bienno stre siretapriere oie	---||---|--⌫---|---|-|-----|--|
il uiaut q uedet ot soitt a pr ierecomplie	-|----|-⌫-|-|-⌫-|---|-⌫|--⌫---|------|
l idisttelcho sedon tf umoutesba is	-⌫|---|--|---⌫-|---⌫|-⌫|---|----⌫-|
ma s quia lu i pa rloitnesauo i tce	--⌫|--||--⌫|--⌫----|-|----⌫-⌫|-|
par celidi stli uoi z ode s oié stoz	--|-|-|--⌫-|-|---⌫|--|-⌫----⌫|--|
queiesuiangesd e	--|-|--|----|-⌫|
quim ai citramis	--|||-⌫-|-----|
porgardercestseintc ors	--|-----|---|----|-⌫--|
quitantest	--|---|--|
esc ri st e sten s ystoi r e issiceiedeuis	---⌫--⌫-|-⌫-|-||-----⌫-⌫|---|-|-|----|
pu et lunsauoirque ihe su cris t	--⌫-|--|-----|--|---⌫-|----⌫|
qua nts on	---⌫-|-⌫-|
seitime angede ce l	------|---|-|--⌫|
tram i sauoi t	----⌫-⌫|----⌫|
parlo sei nt corsgarderq uise ueili sestoit	--|-|---⌫-|---|-----|-⌫-|--⌫-----⌫|-----|
maso des en dotance enquorad espen soit	--|-⌫--|-|------|-----|--⌫-|---⌫---|
qu antlisiresdegloire	--⌫--|-|----|-|-----|
quionquesne	--|-----|-|
eniss igrant penseeencores	-|---⌫|----|-----|------|
derechiesonseintange glorious li tramit	-------|--|----|---|-------|-|-----|
quicequed it liau oit	--|-|--|-⌫-|-|--⌫--|
en quorades lidit	--⌫---|---|-|--|
par cestes uisionsa porp o defai lloit	--|-----|------||--|-⌫|-----⌫----|
pensee anmainteguiseli cuerli co ntreuoit	-----|-|-----|----|-|---|-|--⌫-------|
esperancecoraies celi	--------|------|-|-|
amone st oit	-----⌫--⌫--|
ma slin oisedou puple	--⌫|-|-⌫---|--|----|
etpe ors li	-|--⌫--|-|
proiantc hantantles sau mesdos autiers	------|-⌫------|--|---⌫--|-|-⌫-----||
derech ielas enblancedotress eint home	------⌫-|-|-⌫-------|-|---|-⌫---|---|
qui lidist itel	--|-|---|---|
cho seco mecia escrit	---⌫-|--⌫-|-||-----|
parlauo lentedequiiqu ilitramist	--|-|--⌫----|-|--|---⌫|-|------|
g arderresdesei nt corsenpenseee s grant	-⌫-------|-|---⌫-|---|-|-----|-⌫|----|
bienses quet udoisfair eque	---|--|--|-⌫|---|----⌫|--|
uastuatenda nt	--|-|------⌫-|
side fessorer p e nsestu aurasmaintenant	-|-|-------|-⌫-⌫---|-|----|---------|
que ocuer uasissi desirrant	--||---|--|---|--------|
orestu bie nce rtains parquoidemores	-|-|-|---⌫|--⌫-----|--|---|------|
p uislo pristpor lamainet	-⌫--|-|----|--|-|---|-|
distsesquefaras	---|--|--|----|
ciendroitnon ai llo rsodefossereras	-|------|--|--⌫---⌫-|--|---------|
tanque aubas deso zdopiedo	-----|-|--|----⌫|-|--|-|
muruind ras	--|----⌫--|
audr oitdemonsepulcre i qui metroueras	-|--⌫--|-|--|-------|-⌫--|-|-------|
icofu seinz tibau tqui p ar la	--|-|----|-----⌫|--|-⌫-|-|
mainl o prist	---|-⌫|----|
qui parlasi alui	--|----|-||--|
etquiicolidist	-|--|--|-|---|
odescorp ore lmentremuerlo sentit	---|----⌫---⌫----|-----|-|-----|
sis es ueillaata nt et	-||--⌫-----|---⌫-|-|
deseintibautuit	-|---|-----|--|
droitem ent lasenbl ancequi issiresplen dit	-------⌫--|-|-----⌫---|--|---|-------⌫--|
q ueil nest honzmortelsquilapoit	-⌫-|-||--|---|------|--|-|---|
odescont resafacequan tillouit	---|----⌫-|-|---|----⌫|-|-|--|
etc om med imi	-|-⌫--⌫-|-⌫--|
mors lo ng ueme nt	---|--⌫--⌫----⌫-|
n efupasgranz meruoille	-⌫|-|--|----|--------|
si odesmout dotet	-|---|---|----|
quantcilquiestoitm ors	----|--|--|-----|-⌫--|
issialui parl et	---||--|----⌫-|
atantprist	|---|----|
lo fesso r	-|-----⌫|
od esetxx x	--⌫-|-|--⌫|
et de totesaforce	-|-|---|-|----|
aual basdes cendet	---|--|---⌫-----|
aparsuir ce le ourequant fula s comandet	|------|--⌫-|---|----|-|--⌫|-------|
a yyde ses	|-|-|--|
seria nzqueosoiam enet	-----⌫-|--||--|--⌫---|
lizzotnoniohan l	-|-|-|--|----||
autremart i n clamet	----|----⌫-⌫|-----|
icistdu ifessorerentode s	----|--⌫|----------|---⌫|
sere poset	-|--⌫----|
cistduisol un	---|--|---⌫-|
lom ur lon guem ententande rent	-|-⌫-|---⌫----⌫--|-------⌫---|
aubasdopie	-|--|-|--|
desozdomur	----|-|--|
dr oit aual erent	--⌫--|----⌫----|
l espa c ede yy piesau alen	|----⌫-⌫|-|-|---|--⌫-|-|
bas chiuerent	--|--------|
puisnesorentquefaireao don s	---|-|-----|--|----||-⌫--||
enaleren t	-|------⌫|
odessensplusatend reueste rre senclinet	---|---|---|-----⌫-|--|--⌫--||-------|
cueret deboichedocementxxx	---|-|-|-----|-------|--|
ihesucriss enti bau tderechieli	----|---|-⌫-|--⌫---⌫|-------|-|
quanten sonlitdormo itquiades l am onestet	----|-|--|--|-----⌫-|--|---||--⌫------|
parsamoniti ono destant	--||-------⌫-|-⌫--|---|
que lotr a ue rsdomurpo r	--|-|--⌫-⌫--⌫-|-|--|--⌫|
deso zt r espasset	----⌫|-⌫-⌫-------|
li fu ndemenzdo	-|--⌫------|-|
mur espe sformentestoit	--|----⌫|------|-----|
yypies mesurést ot	-|---|-------|-⌫-|
droitement auoit	---------|----|
tant fir enta	---|---⌫--||
qui les guioi t	--|--|-----⌫|
q ua unep ileui nd rent ou apueetoch oit	-⌫||--|-⌫--|--⌫--⌫---|-|----|----⌫--|
lic olo medepie rre aquoi cilsapuoit	-|-⌫---⌫-|-|---⌫--||---|--||-----|
pres d ou cuerquilopupleetl a	---|-⌫-|---|--|-|----|-|-⌫|
gentconfesso it	---|--------⌫-|
ausou tai np a ue mentuenirmout	-|---⌫---⌫|-⌫-⌫--⌫---|----|---|
redo tere nt	----⌫----⌫-|
ouli cler c de moro ientqui	-|-|----⌫|--⌫----⌫---|--|
dedanzlo ucuererent	-----|--⌫|---|----|
porcremanced ece lou fessorerlaisse rent	--|-------|-⌫|-|--|-------|------⌫---|
et aodon lormeitre lo r	-||---|--|-----|--⌫|
dotan ce nonc ere nt	-----⌫-|----⌫---⌫-|
derechiezditli uoi z odese s	--------|--|-|---⌫|--|--⌫|
a senest repartie droi tementchiueras	|------⌫-|-----|----⌫-----|-------|
et apresal a destrei ss i	-|----||-⌫|-----|-⌫--⌫|
m etro uer a s	-⌫|---⌫---⌫-⌫|
ch iuesissi	--⌫---|---|
saiches i faudras	------||------|
o desdor m oit quant ce sentibautlinonc et	-⌫--|---⌫-⌫--|----|-|--|-----|-|----⌫-|
c hosemaitenentsus leuet	-⌫---|--------|--|----|
un euergedefe r p ort ant l ai	--⌫|----|-|--⌫|-⌫---⌫--|-⌫-|
s ap ruchet	|--⌫-----|
al end ro i t do s epulcreen terrelafichet	||---⌫--⌫-⌫|-|-⌫------|-|----|-|-----|
droit ementsus latu mbeli	-----⌫----|--|-|--⌫--|-|
uergedescendet	----|--------|
au sarcue lq uidesus locorsesto it hurtet	-|------⌫|-⌫-|----|-|---|----⌫-|-----|
n estoit mie c erteins	|-----|--|-⌫------|
encoraloitdo tant	----|----|--⌫---|
qu ec enefustlapi errequeilaloit q u erant	--⌫|-⌫|-|---|-|--⌫---|--|-|----|-⌫-⌫----|
porcelaissaiohanetmartin	--|-|-----|----|-|-----|
cetraire ach ietalent auientg rant	-|-----||--⌫-|-----|-----|-⌫---|
longuementa force fessorere nt	---------||----|---------⌫-|
ta ntfirentqu e lafossedesi rre e trouerent	--⌫-|-----|--⌫|-|----|----⌫---⌫|--------|
docorsseinzse intib au tet la	-|---|----|--⌫-|---⌫--⌫|-|-|
pierreperceren t	-----|--------⌫|
at ostbroichesde	--⌫--|-------|-|
fer lous arqueu tresperce r ent	--|--|-⌫-----|---------⌫-⌫--|
ile stintra umplice sa uons	-|-⌫----|--⌫----|-|--⌫---|
nosparuoi r	--|--|---⌫|
dela gracede	-|-|----|-|
de qui lo rdona pooir	-|--|--⌫|---|----|
telpertui ssenzpl us	--|------⌫|---|--⌫-|
fi rentdont firentgrantsauoir	--⌫---|---|-----|----|-----|
quelocors do	--|-|---|-|
seinthomepe us sant	----|---|--⌫--⌫---|
cilsiohanzet martinses t oientmo utp uissant	---|-----|-|------|--⌫-⌫----|--⌫-|-⌫------|
etcillordo na force	-|--|--|--⌫-|----|
qu i laloient querant	-|-⌫|------|------|
en yyiorsettroie sse mainesfir en ttant	-|-|---|-|-----⌫|--⌫-----|---⌫--⌫|---|
qu ece nthomeen zz ana	--⌫|--⌫-|---|-|-|-||
poinesfeissant	-----|-------|
aco quelab orerades	|-|--|---⌫---|---|
pasnepooient	--|-|------|
quan tnigun enliglisen	----⌫|----|-||-----||
auoit l or sfes s oroi ent	----|-⌫--⌫|---⌫-⌫----⌫--|
etqua ntgentiauo it adon	-|---⌫-|---||---⌫-|---|
sereposoient	-|---------|
qui lnef ussant	-|-⌫|-|-⌫-----|
seutotes hores	--|----|----|
i hesut otlorafaireap oi ntlorord enoit	-⌫---|-⌫-|--|-----||-⌫--⌫-|--|---⌫----|
cilquiparlocors trairesozterre	--|--|--|-|---|-----|--|----|
fessoroi t	--------⌫|
unec ordelieea sacorroiauoit	--|-⌫---|---||-|-----|----|
ensa m ai ncalqui	-|-|-⌫--⌫|--|--|
desus ti r oit	----|--⌫-⌫--|
laterrelaquelcilsquifessoroitbai lloit	-|----|-|---|---|--|--------|---⌫----|
quan tcilqui	----⌫|--|--|
delacordedesuslochieteno it	-|-|----|----|-|---|----⌫-|
p ard edanz ligliseauc unentrerueoit	-⌫-|-⌫----||-----|---⌫-|-----|----|
tantosttiro i t lacorde e tcil d oure rcessoit	------|----⌫-⌫|-|----|-⌫|--||----⌫|------|
etqu antil senal oitet	-|--⌫--|-||-|--⌫--|-|
cilrecomencoit	--|----------|
se ntibauzquienc ieliareceus e stoit	--⌫|-----|--|-|-⌫--|-|-----|-⌫----|
d ourer ou de re pos enseignes lordonoit	|----|-|-|--⌫--|--------|--|-----|
quanttens es toi t et	----|---|--⌫---⌫|-|
horeou rerl or	---|--⌫--|-⌫-|
c omman doit	-⌫-----⌫---|
etquant iln estoithorereposerles	-|----|-||-----|---|------|--|
no nparangel ia l solementuision	--⌫|--|-----⌫--⌫|-------|-----|
no npar esperi tel seulanmon ition	--⌫|--|------⌫--|---|-----⌫----|
uiaustmostrernostresires	-----|------|-----|----|
au di t odon	-|--⌫|---|
e i nz l ormostretausit ota	-⌫-⌫-|-⌫-|------|---|-⌫-||
labepierron	|--|------|
iciz ab es	---|--⌫-|
di zp ierres prodo n z quimeinz	--⌫|-⌫-----|-----⌫-⌫|--|----|
unen uiten l	--|-⌫--|-||
iglises ensauueor dormit	-----|-⌫-|------|-----|
fa itcur iousseresuei ll a etuit	--⌫-|---⌫---|-|------⌫--⌫|-|--|
un eblancheperso n e qu ilneconutqui	--⌫|------|-----⌫-⌫|-|-|-|----|--|
pi erresdit lipe rsone que ciuosainomm ee	--⌫----|--|-|--⌫----|--|-|--|-|----⌫-|
enq uel espens es	-|-⌫--|-----|-|
moio ut escuers bee	--|-⌫|-⌫-|----|--|
li chosepa rquoitues	-|----|--⌫|---|-|-|
ensigran t pansee	-|-|----⌫|-----|
si est quila boroit se ra pa rtenstrouee	-|--|--|--⌫-----|--⌫-|--⌫|---|-----|
amonesteodoncesoitsen zde moree	-------|---|-|---|---⌫|--⌫----|
quepensoitde	--|------|-|
parfaire lach osecommancee	-------|-|--⌫--|--------|
pi erresde cest echose remembr anzsesueillet	--⌫----|-|----⌫|----|-------⌫--||--------|
zzdes serian zsamerequ elunandr er	-|--|------⌫|-|---|--⌫|--|----⌫-|
siihesucri st asoiu enant trouet	-|----|---⌫-||--|-⌫----|-----|
parc eluitot lafa irea	--|-⌫---|--||---⌫--||
uincencemandet	-------|-----|
aodontotissicondesli r euelet	|---|--|---|--|--|-|-⌫-----|
endresfitsonmessaigemoutbienet tost a let	-----|--|--|-------|---|---|-|---|-⌫--|
otgrantar dece o des	-|----|--⌫---|-⌫--|
quant c e oit	----|-⌫|--|
quiraomplis estoittozd esein tesp erit	--|-------|-----|--|-⌫|----⌫|---⌫---|
lo glorio uscor	-|------⌫-|--|
seintd eue n ueenuai t	----|-⌫|--⌫-⌫-|-----⌫|
granttal ent enauoit et	----|---⌫--|-|----|-|
bi en s enblantenf it	--⌫-|-⌫------|-|-⌫-|
quefust fai zlioff icesd esmessesatendet	--|---|---⌫|-|---⌫---|-⌫-|-----|------|
encen setmerueillable sodorsiamportet	-----⌫|-|------------⌫|----||-------|
docorsseinz	-|---|----|
lise pulc resces	-|--⌫----⌫--|--|
odorssormontet	----|--------|
plusat endre cel epart	---|--⌫----|---⌫|---|
s apru chet	|----⌫---|
nusi enozi ointespaumesen plorsihesupriet	--|-⌫---|-⌫-----|-----|-|----|----|----|
et cequeu osm orrois ci d irecomencet	-|-|--|-⌫-||-----|-|-⌫--|-------|
s iteplai tqua toisierue pere	-⌫|-|----⌫|-||--|-----|---|
et enbaillie	-|-|------|
tongloriousc orsaie uois moi	--|-------|-⌫--|--|---|--|
a paroili e	-⌫-------⌫|
si cocomande m as ie	-|-|------|-⌫-|-|
nemefic mie	-|-|--|--|
einzuuilqueso itta uole ntescomplie	---|---|--|--⌫-|-|----⌫---|------|
aicest epar ol ecilod es	|-----⌫|---⌫--⌫|--|--⌫-|
locorsfor sdose pulcres enzplus diretiret	-|---|---⌫|-|--⌫-----|-⌫--|---|---|----|
la c harz quiremenoit de	-|-⌫---|--|-------|-|
sesmainsaraget	--|----|-----|
etlacharetl es ostrestot	-|-|---|-|-⌫-|-|------|
enu elopet	---⌫-----|
