d ireuous ueulc hi	-⌫--|---|---|-⌫-|
l ib r uis a	-⌫|-⌫-⌫---⌫|
fumi eliez	-|--⌫|---|
des o np ot	-|-⌫-⌫|-⌫-|
qui lifu bruisié	--|-|-|-------|
n o isefere	-⌫-⌫--|---|
desonpotdont	-|--|--|---|
forment lipoise	------|-|----|
le spieches aatr ait a s oy	--⌫|------||---⌫--||-⌫-|
asiuisdist esga rd ezmoy	-|---|---|----⌫--⌫-|--|
ue ́sichimonpot en	--⌫-|---|--|--|-|
quedepe chie ́ aués	--|----⌫----⌫|----|
ent ierest nen sainulmal	---⌫--|--||-|--|--|--|
me s toutmesfe tsoit par donnés	--⌫|---|-----⌫|---|---⌫------|
tretousen se mbleliiuis	------|--⌫--⌫---|-|---|
de celfetfurent	-|--|--|-----|
qu an tlep otuirenttout	--⌫--⌫|-|-⌫-|-----|---|
mou t se npristr en tamerueillie r	---⌫||-⌫|------⌫--⌫||----------⌫|
tuitl orpozplainsdel	---|-⌫-|--|-----|-||
e uepris trent	-⌫-|----⌫----|
et conbons	-|--|---|
amiss enreuindr ent	---||-|-------⌫--|
sicomal os telsen uenoient	-|--|||--⌫--||-|-------|
ensembl e et	-------⌫|-|
grant ioiefei s oie nt	----|---|---⌫-⌫---⌫-|
sole ilfutmout	----⌫-|--|---|
etlachalor uenoitdehaut	-|-|-----|-----|-|---|
xml esoleilregar doit	-|-⌫|-----|-----⌫---|
et sorleroy so npotpendo it	-|--|-|--|--⌫|--|-----⌫-|
cilquiestoie nt aueclui	--|--|------⌫-|---|--|
s i qui doient fere autresi	-⌫|---⌫-----|---|------|
mes chascundesiuis	--|------|--|---|
enu ainquequ an tsamainil mist	-|-⌫--|--|--⌫--⌫|-|---|-|---|
des pozqui erent	--|--|--|----|
d eueplain	|--|----|
n end emorapas	|-|-⌫----|--|
untout sain	-|---|---|
xmremest t out droit	-|-----|-⌫--|----|
toutissicon mi s liauo it	---|---|--|--⌫|||---⌫-|
bien setenoita sonplaisi r	---|-|-----||--|------⌫|
q u antuniuifleuittenir	-⌫-⌫--|-|---|-|--|----|
siacouruten lac ite	-|------|-|-|-⌫--|
direenttoutela u erite	---|--|----|-|-⌫----|
conmentxmp e nt	------|-|-⌫-⌫-|
au so leil	-|--⌫---|
sonpotto u tsainmoutm	--|--|--⌫-⌫|---|---||
e nm erueil	-⌫|-⌫-----|
et les nossonttousde peciez	-|--|--|---|---|--⌫-----|
dont n ousesmes m outc ourouciez	---|-⌫--|----|-⌫--|-⌫--------|
lesiuis cou ren tc elep art	--|---|---⌫---⌫|-⌫--|-⌫--|
qu il isoientmout	-|-||-----|---|
loresttart	--|--|---|
quant ilfurent ce le part droit	----|-|-----|--⌫-|---|----|
ou lepotxmpendoi t	-|-|--|-|------⌫|
for menten f urentesba his	---⌫---|-|-⌫----|----⌫--|
necreoientpa s lesiuis	-|-------|--⌫|--|---|
qui lores t oient u enu sdire	--|--|--⌫-⌫----|-⌫---⌫|---|
demerueille pr istrentarir e	-|--------|--⌫------||---⌫|
lors ontapertementueu	---|--|---------|--|
conmentlepot estoitpendu	------|-|--|-----|----|
chascundeusmoutsemerueilla	------||--|---|-|--------|
pot xmregarda	--|-|------|
qui pendoi t au	--|------⌫|-|
s oleiltoutplain	-⌫----|---|----|
deuebel etent ier	|--|--|-|---⌫--|
ilecquesplusnulne setint	-------|---|--|-|-|---|
son ostel s enu int	--|----||-|-⌫--|
t ou tceulesiuisr aconter ent	-⌫--⌫|--|--|---|-⌫-------⌫--|
at ou sceusqueil	|-⌫--⌫|---|--|-|
e nco ntrerent	-⌫---⌫-------|
ap rescest e bele aue n ture	--⌫--|----⌫|---|---⌫-⌫---|
quias iuisfu	--|-|---|-|
l esenf ans	-⌫-|---⌫--|
apres sasemblere nt	----||---------⌫-|
etaxm formentprierent	-||-|------|-------|
quetouslesposqueilportoient	--|---|--|--|--|-|--------|
sii l li plest tousentierssoient	-|-⌫|-|----|---|------|-----|
etd ieu tant ostsamainleua	-|-⌫--|----⌫--|-|---|---|
etbeneicon feitelor a	-|-------|----|--||
pozqu i sun tdepeciez	--|--⌫|---⌫|-------|
s iqu i ld euindrenttousentiers	-⌫--|-⌫|-⌫--------|---|------|
sonpo tentiere t	--|--⌫|-----|-⌫|
tretoutsain	------|---|
trouuachascun	-----|------|
e nlorm aison	-⌫|--|-⌫----|
sen reto rne rent	|-|----⌫---⌫---|
etalorparensraco n te rent	-||--|-----|----⌫-⌫--⌫---|
les merueillez quidieu outf eites	--|---------|--|---|--|-⌫----|
quiatous iorsseront	--||---|---|-----|
orescoute ́ sbonn ematire	-|-------⌫-⌫|----⌫|-----|
qu exm sil euousmire	--⌫|-|-|-⌫|---|---|
siuousdiroi deun	-|---|----|-|-|
quixmamapa rsemb l an t	--|-|--|--⌫|----⌫-⌫--⌫|
sou uentaloito lui iouer	---⌫---|----||--|----|
sonperelanpris t a blas mer	--|---||-|----⌫||----⌫--|
pource qu oi esuetaloit	---|-|-||-⌫----|----|
etcomp aingnieli porto it	-|----⌫------|-|-----⌫-|
pour ce le	---|-|-|
uouloit enfermer	------|-------|
li iuifson fix	-|---|--|--|
enfe rme ra	----⌫---⌫-|
pou rceque compaingnie t ient	---⌫|-|--|----------|-⌫---|
aiesuetquepas necrien t	|-----|--|--|-|-----⌫|
quantlifeliuifson	----|-|--|---|--|
aloi tchas cuniormanechan t	----⌫|----⌫--|--|--------⌫|
l enf ant t ou teiorenp lor oit	|---⌫--|-⌫--⌫-|--|-|-⌫---⌫--|
etmo ut laide chieree nfeisoit	-|--⌫-|----|-----|-⌫|------|
lipere quimout	-|---|--|---|
fu mau uez	-|---⌫--|
en s amaint i ntun grantbalai s	-|-⌫|---|-⌫-⌫-|-|----|-----⌫|
p ristlefelab atre	-⌫---|-|--||-⌫---|
tre tous les iorstroisfois	---⌫---|--|---|----|---|
et qua ntil lo uti ssif eru	-|---⌫-|-||-⌫-|-⌫--|-⌫--|
et sit resui lai nnementba tu	-|-|-⌫--|--⌫---⌫------|--⌫-|
f e liuifdit	-⌫-⌫|---|--|
quecestpour	--||--|---|
lenfantconme felon	|-----|----|----|
sansnisun eautre achaison	---|-----⌫|----|-------|
parloreillefortle tira	--||------|---|-|---|
et en saprison lemena	-|-|-|-----|-|---|
d ep ierrefo rte	-⌫|-⌫----|--⌫--|
ouilnau oit ne huis neporte	-|-||--⌫--|-|---|-|----|
fors unbelpet itetguichet	---|-|--|---⌫---|------|
paront on entroit	--|--|-|------|
a destroit	|-------|
s icondeables la tich oit	-⌫|--|------||-⌫----⌫--|
la clefouecsoi enpo rtoit	-|---|---|--|-|--⌫----|
lip eresa forme ntiu ré	-|-⌫---||-----⌫-|--⌫--|
qu etousiourzseroiten muré	--⌫|---|----|-----|--⌫----|
etquetant con me auroit a	-|--|---|---⌫-|-----||
neseuerroit iamesdeliure	-|-|------|----|------|
enferamenti r	-|---|-----⌫|
carche neuoudraconsentir	--|--|-|-----|--------|
pr i son remainst	--⌫-⌫--|-------|
q uidepl ourerpas	-⌫-|-|--⌫----|--|
nese faint	-|-|----|
enfe rmegardemise l	-|--⌫--|----|---||
xmquitou tche biensauoit	-|--|---⌫|--|---|-----|
enprisonl e ssier	-|-----|-⌫-⌫----|
ne u ouloit	-|-⌫-----|
lienf an t quis i tres fo rmentple ure	-|---⌫--⌫|--|-⌫|---|--⌫----|---⌫--|
ai nssenuint alui	--⌫-||-|---||--|
s ans demeure	-⌫--|------|
com painsfetilchau en uss ui	---⌫----|--|-|--|-⌫--⌫-|-⌫-|
porostertoidecestanui	--|----|--|-|---|---|
que tantpormoy	--|---|--|--|
assoustenu	-|-------|
l enfantrespondia xm	|-----|-------||-|
biaxd o usc om pains	---|-⌫-⌫-|-⌫--⌫----|
moutgrantmercis	---|----|-----|
ieuousuoib i enpar c est	-|---|--|-⌫-⌫-|--|-⌫--|
ale nfantdist d ieuerralmen t	||-⌫----|---|-⌫--|--------⌫|
pa rcestper tu iston doimetent	--⌫|---|---⌫--⌫-|--|--|-|---|
etdistlienfesie	-|---|-|----|-|
nenc este tournanulautre	|-|-⌫---|---|||--|----|
cest pertus si esttrop petit	---|-----|-|--|---|----|
ianen ist roi	-||-|---⌫--|
siconiecuit	-|--|-|---|
ma r tesm aiera s	--⌫||---⌫-----⌫|
quetout maintenant en istr as	--|---|---------|-|----⌫-|
se tu te ueusfi er	-|-|-|---|--⌫-|
pa rcestpertus me bailtondoi	--⌫|---|-----|-|---|--|--|
l enfan quienpris on	|----|--|-|----⌫-|
toutmaintenant s on petit d oit	---|---------|-⌫-|----|-⌫--|
ap armilepert u sbouté	|-⌫---|-|----⌫-⌫|-----|
x msila tiré	-⌫|-|||----|
au doit puisliaditsie umoi	-|---|---|-||--|---⌫|--|
c artro pes	-⌫-|---⌫|-|
fieblebienleuoi	-----|---|-|--|
etquant l enfant	-|----||-----|
de hors seuit	--⌫---|-|--|
sachiezque	------|--|
mout liembelis t	---|-|-------⌫|
li enfezxmplusamoit	-|----|-|---|----|
queonquesdeuant fetnauoit	--|-----|-----|--||----|
q uantli enfezfudeliur e z	-⌫---|-|----|-|------⌫-⌫|
l iperesa latour reuin t	-⌫|----||-|---|-----⌫|
ueo irplusnese	---⌫-|---|-|-|
f uli perez	-⌫|-|----|
quant ilneletr ouuale ens	----|-|-|-|--⌫---|--⌫--|
la porte afeite desf ermer	-|----||----|----⌫----|
conm e nceaapeler	----⌫-⌫--||-----|
haquin haqu inou esalés	-----|----⌫-|-|-|----|
p ourlegr antdieu	-⌫--|-|--⌫--|---|
carr esponnés	--|-⌫--------|
mes pornoient ill	--|--|-----|-||
carlienfezp asni	--|-|----|-⌫-|||
l ii uis futout erragiés	-⌫|-⌫--|-|---|--------|
a pai nneset intsourses	|---⌫--|-|-⌫--|---|--|
quantenlatournepot trouu er	----|-|-|---|-|--|-----⌫-|
uoutplu sdemore r	---|---⌫|------⌫|
moutfudolent eta bo smés	---|-|-----|-|-⌫--⌫----|
estlesex creués	--|--|-|------|
ta n testoitlic uu ert plai n	--⌫-⌫|-----|-|-⌫--⌫--|----⌫|
poursone nfantse uout oci r e	---|--|-⌫----|-|---|---⌫-⌫|
quilout p erduetadiré	-|-|--|-⌫---|-|-----|
e stdese spere ́	-⌫-|----⌫-----⌫|
nesout quedi re neq uefaire	-|---|--|--⌫-|-|-⌫-|----|
sescheuexconmencea detrair e	--|-----|-------||-------⌫|
etsi adit touta	-|-||--|---||
queies uet	--|---⌫--|
quetant am ot	--|---|--⌫-|
mishorsparenchanteme nt	--|---|--|----------⌫-|
aueugl e z e stli me screant	------⌫-⌫|-⌫-|-|--⌫------|
sitost con laparolle out dite	-|---|--|-|------|--|---|
desonfe trechutla merite	-|--|--⌫|-----|-|-----|
li mest r e dela ieuerie	-|----⌫-⌫|-|-|------|
a iose p huindrentparenuie	|----⌫-⌫|-------|--|----|
sansdemorance	---|--------|
tro p mal e	---⌫|---⌫|
p ourcel il oent	-⌫--|-|-⌫|-⌫---|
queilsoitalescole	--|-|---|||-----|
etqu eiesuetsoitliuré	-|--⌫|-----|---|-----|
amestreleui lesené	|-----|---|-|----|
cestundesme stresdela lo y	|--|-|--|--⌫----|-|-|--⌫|
tuitliloent	---|-|----|
enb onne foy	-|-⌫---|--|
io sephente ntbie nlaraison	--⌫---|----⌫-|---⌫|-|-----|
quil dientde l	-|-|----|-||
bien u oitquece estbie nafer e	---|-⌫--|--|-|--|---⌫||---⌫|
mes p arl erenueut a	--|-⌫---⌫-|-|---||
amaries enuint	|----||-|---|
etliaditquilco uuenoit	-|-||--|-|-|--⌫------|
ales colemeitre	||--⌫---|-----|
tan t queseus tconnoi streleit r e	---⌫-⌫--|----⌫|------⌫---|----⌫-⌫|
marie respont ma int enan t	----|------|--⌫---⌫----⌫|
oren fe ites uo str etalent	-|-|--⌫---|--⌫---⌫|-----|
lo rs a ioseph le nfantsaisi	--⌫-||-----||-⌫----|----|
f upas espoent i	-⌫|--|-------⌫|
la amene ́	||-----⌫|
l e ui lese né	-⌫-⌫-|-|--⌫--|
iosephuint amestreleuis	-----|---||-----|----|
quid aprendreou tpale le ui s	--||-------|--⌫|---|-|--⌫|
etsilialiuréxm	-|-|-||-----|-|
qui tant e s toit degrantuertu	--|---|-⌫-⌫---|-|----|----|
xm sasi et enla chaere	-||---⌫-|-|-|-----|
et ios eph	-|---⌫--|
senretorneariere	|-|------|-----|
al e scole les sa	||-⌫----|---⌫-|
n enfis to nquesnul s emblant	|-|---⌫|-⌫----|--|-⌫------|
sasiste nl	|----|-⌫||
mestre l eui aluiparolle	-----|-⌫--||--|------|
etl ifist un pro po sement	-|-⌫|---|-|---⌫--⌫-----|
xml escou toit	-||-----⌫---|
bon nemen t	---⌫-----⌫|
mes resp ondre neliu ouloit	--|----⌫----|-|-|-⌫-----|
quacele foizne	-||---|---|-|
liplai soit	-|----⌫---|
mestr eleuisansatargier	-----⌫|---|---|-------|
senprist formentaco uroucier	|-|----|------||--⌫-------|
dece qued ieulifist	-|-|--|-⌫--|-|---|
d erespondre le tenoitcourt	-⌫|--------|-|-----|----|
leuisape rchutau	----|---⌫----|-|
xm que ilestoitbi en sag e	-|--|-|-----|--⌫-|---⌫|
l uio ir uoul oit	-⌫-|-⌫-|----⌫--|
queluimei sme znesauo it	--|--|---⌫---⌫|-|----⌫-|
le mestreoiauoit	-|-----|-|----|
d u sensdontdieuert asse nsés	-⌫|---|---|---|--|----⌫----|
siauoitgra nt ta lentd	-|----|---⌫-|--⌫---||
chos equeilpeust entendre	----⌫|--|-|----|-------|
tantostl euasamai n leui	------|-⌫--|-|---⌫|---|
enloreille xmferi	-||------|-|---|
pourcequelesourtlifeisoit	---|-|--|-|----|-|------|
etrespond re ne le	-|-------⌫-|-|-|
xm forment secouroucha	-|------|-|--------|
de ceq ueleuiferu	-|-|-⌫-|---|---|
pui sdi stsi rechanusb arbés	---⌫|--⌫-|--⌫-|-----|-⌫-----|
tres bien me sconneumaués	---|---|--⌫------||----|
ors oiésbienaper cheu	-|-⌫----|---|----⌫---|
q ueceluiqueauésferu	-⌫-|----|--|----|---|
t estep l usdes ens	-⌫---|-⌫-⌫-|-|-⌫--|
qu e touslesme s t resde ce ens	--⌫|---|--|--⌫-⌫-⌫--|-|--⌫--|
uostre sensnepu et	-----|---|-|--⌫-|
anulplaire	|--|-----|
fo r sacrietanoisefere	--⌫-⌫||--|-||----|---|
et parenuiequauést an t	-|--|----|-|----|-⌫--⌫|
de moy quisui chiunenfan t	-|--|--|--|--|-|-----⌫|
m aués uousferu	|----|---|---|
parmes trie	--|---⌫---|
ne fei t esplus telefolie	-|---⌫-⌫-|---|---|----|
mes oposez bonnema tir e	--|-----|----|--⌫---⌫|
ou lenpuist bi en	-|--|----|--⌫-|
xm aparlerc onme nca	-||-----|-⌫----⌫--|
mest re leuientendéscha	----⌫-|---|--------|--|
orm eresponnéssesaués	-|-⌫|---------|-|-----|
alefestsinonmés	---|--|-|------|
quie s td es	--|-⌫-⌫|-⌫-|
le itrespr emerainne	--⌫----|--⌫--------|
secondainne	----------|
etgimell ati erce	-|----|-⌫|--⌫---|
e lefl aquartedeleslui	-⌫--|-⌫|-----|----|--|
etlemestresi lesgarda	-|-|-----|-||------|
toutelichan ia	----|-|----⌫-|
etmoutsouuentli	-|---|------|-|
cuerlimu e	---|-|--⌫|
pargrantc ouro ut dangoissesu e	--|----|-⌫----⌫-||-------|--⌫|
e t puis lidist	-⌫|---|-|---|
demaintenant	-|---------|
quitaapris desleitreztant	--|||----|--|------|---|
et li en feztantost li d ist	-|-|--⌫--|------|-|-⌫--|
ci lquimef i stsi l esmaprist	--⌫|--|-|-⌫-⌫-|-|-⌫-||-----|
estiesuisonen fant	--|-|--|--|--⌫---|
neuo usen alésmerueill a nt	-|--⌫-|-|----|--------⌫-⌫-|
xmencorel i adit	-|-----|-⌫||--|
leuisent e ndés	----|---⌫-⌫----|
seplu sdece sauoi ruoulés	-|---⌫|-|-|-----⌫|------|
ert par moidemo ustré s	--|--|--|----⌫------⌫|
etsiporré sasses aprendre	-|-|------⌫|----|-------|
si uo us iluou l ésb ienentendre	-|--⌫-|-|---⌫-⌫--|-⌫--|-------|
da le fde bethgimel	|-⌫--⌫|-|---|----|
uastde husde het h	---|-|--|-|---⌫|
sireleui ne lessiésmie	---|---|-|-------|--|
qui tantsauésdela clergie	--|---|-----|-|-|------|
que uous nediésmaintenant	--|---|-|----|---------|
deuantches iuisenprese nt	-----|---|---|-|-----⌫-|
quec h a scuneleitreuou sdi t	--|-⌫-⌫-⌫----|-----|---⌫|--⌫|
iuifdesconfit	---|--------|
esbahi funesoutquedire	-----|-|-|---|--|---|
etiesuetconmenc earire	-|-----|-------⌫||---|
i esusreconmencea parler	-⌫---|---------||-----|
des le i trezetadeuiser	--|--⌫-⌫---|-||------|
unese ulene nil	--|--⌫--||-⌫|-|
chascuniu ifbienl e scout a	------|--⌫-|---||-⌫-----⌫|
tousles mataendesputant	---|--|---|-|--------|
xmet lou r d ist maintenant	-|-|---⌫|-⌫--|---------|
faxdesloiaxfaus ypocristes	--|-------|---|---------|
nauésuou sp as uos	|----|---⌫|-⌫-|--|
loysescriptes	---|--------|
qui deparmoiuoussontdonnees	--|-|--|--|---|---|------|
et ch ascunio urabando nne es	-|--⌫----|--⌫-|------⌫---⌫-|
etsine nsauezri ensrespondre	-|-||-⌫|----|--⌫--|--------|
lenuousd e ur oit tretouscon fondre	--|---|-⌫-⌫--⌫--|------|---⌫-----|
qu e boen e steztou sa weuglés	--⌫|---|-⌫---|---⌫|-⌫-------|
quantuous treloyp asnesaués	----|----⌫--|--|-⌫-|-|-----|
uniuifaparléen	-|---||-----|-|
a ue ́so ide ces t ribaut	-⌫--⌫-|-⌫|-|---⌫|-----|
conmeiln ou sbl asmedenoslo y	----|-|-⌫--⌫|--⌫---|-|--|--⌫|
che noust o rneamout	--|---|-⌫-⌫--||---|
gran t enn oy	----⌫|---⌫-|
et uousla uéstretousoi	-|---||-⌫---|------|-|
uiu renede uoitonouschi	---⌫-|-|--⌫---||---|--|
a insledoit on c ru cefi er	-⌫--|-|---|-|-⌫--⌫----⌫-|
pendreouardoiroue scorchier	-----|-|-----|-|-⌫--------|
cari lconfon t t outesnos lo ys	--|-⌫|------⌫|-⌫----|--|--⌫-|
ieueu l q ueil	-|---⌫|-⌫-|-|
soitmisen c rois	---|--|-|-⌫---|
che fula premi e re rachi ne	--|-|-|-----⌫-⌫-|-----⌫-|
dont dieuoutdesi uis	---|---|--|--|-⌫--|
qu ant xms oi iugier	--⌫--|-||-|-----|
iln eseu o utpluscourouc ier	-|-⌫|-|-⌫-⌫-|---|-------⌫--|
ainss oufri	---|-⌫----|
touten p asc ience	---|-|-⌫---⌫----|
concil quiertdegrantscien ce	--|--|--|--|-|----|-----⌫-|
nedistnu lmot ace legent	-|---|--⌫|--||--⌫-|---|
toutcefistila escie nt	---|-|---|-||-----⌫-|
se uouloitp a sdesf endre	-|------|-⌫-⌫|----⌫----|
ainsuo uloitbienenlacroispendre	---|--⌫----|---|-|-|----|-----|
pournousraeimbreduf orfet	---|---|-------|-|-⌫----|
que lipremie r honme a uoit fet	--|-|------⌫|----|-⌫---|--|
ma intmal a desout	--⌫--|---⌫-⌫--|--|
qui po urxmsontesbahis	--|--⌫-|-|---|------|
du grantsens	-|----|---|
qu i enlui	--⌫|-|--|
et desmiracl ez qu	-|--|------⌫-|-|
ilfeisoi t	-|------⌫|
pourcetretuitalui	---|-|------||--|
querresanteetill auoient	-----|----|-|-||------|
quexmxm par	--|-|-|--|
s a douchour	-⌫|-------|
lesgaris soit	--|-----⌫---|
delo urdoulour	-|--⌫-|------|
xmle fixsaintem arie	-|-|--|-----|-⌫---|
quipo ur nousuin tdemortauie	--|--⌫-|---|---⌫|-|---||--|
lescontres f eis oit	--|------|-⌫---⌫--|
dr oit a ler	--⌫--|-⌫--|
lessour soirlesmusparle r	--|----⌫|--|--|--|-----⌫|
etles aueug lezalumoit	-|--|-----⌫--|------|
l esm estr ez	-⌫-|-⌫----⌫-|
tousesp oentoi t	---|---⌫------⌫|
pa rless ignes	--⌫|--|-⌫----|
queil rendi	--|-|----|
au cuns ueoit etentendi	--⌫---|----|-|------|
qu ilauoitpouoi r de	-|-|----|-----⌫|-|
deluiloe rn euoudrent taire	-|--|---⌫|-⌫|-------|----|
moutdoi tlenbien l o erxm	---|---⌫|--|---|-⌫-⌫-|-|
quanti lfet icele	----|-⌫|--|----|
tuit deuon cel sei gnor amer	---|----|--|---⌫---|---|
q uelencroitent erreet en	-⌫-|--|----|-|-⌫---|-|-|
un ior estoitxmalés	-|--|-----|-|----|
enlaci tede n azares	-|-|--⌫-|-|-⌫-----|
siconmeioseph le s	-|----|-----|--⌫|
parensass ez tr ouuoit	-----|---⌫-|--⌫-----|
ioseph ilfu	-----|-|-|
bi e nconneu	--⌫-⌫|-----|
et de tretous bien	-|-|------|---|
moutfiren tbele compaingnie	---|-----⌫|---|----------|
etaioseph e t a	-||-----|-⌫||
c arpiecau eunelau oient	-⌫-|----|-⌫-|-||--⌫----|
etpourc efe s te	-|---|-⌫|--⌫-⌫-|
li fa isoien t	-|--⌫------⌫|
xmquine uoutrie ns	-|--|-|---|---⌫-|
e rt aléiouer	-⌫-|---|----|
o les enf ansdelacite	|--|---⌫--|-|-|---|
enuns oliersonttuitmo n té	-|-|-⌫----|---|---|--⌫-⌫--|
quant ilfurentenl a maison	----|-|-----|-|-⌫|-----|
ienesaipar quele achai son	-|-|--|--|----|-----⌫--|
ensembletenchiere nt	-------|---------⌫-|
et l iunl autre	-|-⌫|-||----|
ma n ech ierent	--⌫-⌫---⌫-----|
tant alere n t fort estriuant	---|-----⌫-⌫|---|--------|
quaucunsensen t ichi erement	-|----||-|---⌫-⌫|---⌫------|
setint tout enpe s	-|---|---|-|--⌫|
etsi les r egardoitade s	-|-|--|-⌫-------|---⌫|
a lautre tenchoit	||----|-------|
et co n forme nt	-|--⌫|-----⌫-|
lemenachoi t	-|--------⌫|
s iconmeiltenchoienten semble	-⌫|----|-|---------|--⌫-----|
l unpristl a utre si	|-|----||-⌫---|-|
conmoise mble	--|--|--⌫---|
parco u ro utetparmaltalent	--|--⌫-⌫--⌫-|-|--|--|-----|
sile g etatoutmaintenant	-|-|-⌫--|---|---------|
degre qu il de uala	----|-|-|--⌫---|
siq ue toutle c ol li bruisa	---⌫-|---|-|-⌫-|-|-----|
sachiez ce fup ar un sabat h	------|-|-|-⌫-|-|-----⌫|
mortto ut plat	---|--⌫-|---|
un grant e stri	-|----|-⌫---|
don t ni o utparentniami	---⌫|||-⌫-|-----|-|--|
quiaparten istcel enfant	--|-------⌫--|--|-----|
quant ill euiren tmor tgisant	----|-|-⌫|-----⌫|---⌫|-----|
quinec r ientsans demoree	--|-|-⌫-⌫---|---|------|
touse nsemblea	---|-⌫------||
qu eiesuetsil	--⌫|-----|-||
auo it mort	---⌫-|---|
n enulforslui n	-⌫|--|---|--||
iauoit tort	|----|---|
touslesiu is de	---|--|--⌫-|-|
cuel l ir entenhe	----⌫-⌫--⌫--|-|-|
et dient qu ille c ompa rra	-|----|-|-|-|-⌫----⌫--|
oulacitetostuui de ra	-|-|---|---|---⌫--⌫-|
et sie nmerrason enfant	-|-|-⌫|----|--|-----|
qui courouciezl es auoittant	--|---------|-⌫-|----|---|
iose phsi a ditmarie	----⌫-|-||--|----|
que fero nsnousmadouceamie	--|----⌫-|---|-|----|---|
ueezconchascun nous menace	---|--|------|---|-----|
ne poonsestre	-|----|----|
e n nulepl ace	-⌫|---|--⌫--|
ounousnesoion sm anechié	-|---|-|-----⌫|-⌫-------|
aestredup ais	|----|-|-⌫--|
pouriesuet no streenfancon	---|-----|--⌫---|-------|
quilhee ntdemort sans raison	-|-|---⌫-|-|---|---|-----|
q ui tr etous di ent les iuis	-⌫-|--⌫----|--⌫--|--|---|
queila lor	--|-||--|
enfantocis	-----|---|
marieetioseph s enalere nt	----|-|-----||-|-----⌫-|
axmetlid emanderent	|-|-|-|-⌫---------|
quile iuiftuéauo it	--|-|---|---|---⌫-|
etxm silor	-|-|-|--|
r esponnoit	-⌫--------|
ma r ie ma tre sdouce	--⌫-⌫-|-|---⌫|----|
d ecelmurd re	-⌫|--|----⌫-|
n ecreiniename	-⌫|----|-||--|
icesa chiezbien belemere	--|--⌫----|---|---|---|
uouset iosephmont resdouspere	---|-|-----|--|-⌫--|---|---|
deparmoi nefuadese z	-|--|--|-|-|-----⌫|
dont suia cusés	---|--|-⌫-----|
e tdontuousblasmentce legent	-⌫|---|---|-------|--⌫-|---|
iche sachie zcertainement	---|------⌫|-----------|
etto ut maint e nantl euerr ois	-|--⌫-|-----⌫-⌫---|-⌫|----⌫--|
siqueplus b lasmeznenserois	----|---|-⌫-----||-|-----|
carde uantu ousliferoidire	--|--⌫---|-⌫--|-|----|---|
qui lafetm o rir a ma rtire	--|||--|-⌫-⌫--||--⌫----|
ioseph s edepart	-----|-⌫|-----|
qu auiuif soi tmoutliesttart	-|-|---|---⌫|---|-|--|---|
tantfistqueiliestuenu s	---|---|--|-||--|----⌫|
conme s ageetaperc heus	----|-⌫--|-|-----⌫---|
pui ssile sa cha parloreille	---⌫|-|-|--⌫--|--||------|
iuiftantosts esuei lle	---|------||-----⌫--|
quantl i iuif fu esueill ié	----|-⌫|---|-|-------⌫--|
xmsilalorsaresnié	-|-|||---|-------|
iosseio ssel auerite	----|--⌫--|-⌫|-----|
puisquetuesresuci té	------|-|-|------⌫--|
u eulque tudiesmainte nant	-⌫--|--|-|---|------⌫---|
iui sichideuant	---⌫|---|-----|
fustuonques	--|-|-----|
parmoibouté	--|--|-----|
na distiosseparlegran tde	-|---|----|--|-|----⌫|-|
messalemonmemanecha	--|------|-|------|
et il meism ez me bouta	-|-|-----⌫-|-|----|
onque s nulautrene le fist	-----⌫|--|----|-|-|---|
etcelui q uisusleuou smist	-|----|-⌫-|--|-|---⌫|---|
uoussauezbien qu	---|----|---|-|
i lapecie ́	-⌫||-----⌫|
conquesparuous ne fui touchié	|-----|--|---|-|--|-------|
iossequires uxitezfu	----|--|---⌫-----|-|
douc ementparlaaxm	----⌫----|----||-|
sirequidesi grantpouoir	---|--|-|-|----|-----|
estesquitretout lor uo uloir	----|--|------|--|--⌫----|
pouésa uousami sdonner	-----||---|---⌫|-----|
e tto uslesmorsres uscit e r	-⌫|--⌫-|--|---|---⌫-----⌫-⌫|
m es tlau ier e n due	|--⌫|-|-⌫-|-⌫-⌫-⌫--|
quesale mon m auoittolue	--|----⌫--||----|----|
a uousseu len doi sauoirgre	|---|---⌫|-|--|-----|--|
t r et ousles io rsqu eieuiure	-⌫-⌫--⌫--|--|--⌫-|--⌫|-|----|
lesparensaic elenfant	--|-----||--⌫-|-----|
gr antioiefontetgrantsemblant	--⌫--|---|---|-|----|-------|
xm xmfo rm entmerciere nt	-|-|--⌫--⌫--|--------⌫-|
marie etioseph	----|-|-----|
enh our erent	---⌫---⌫----|
quantresuscitezli iui s	----|---------|-|---⌫|
fud enazareths estpartis	-|-⌫|-------||--|-----|
iosephetmariee txm	-----|-|----|-⌫|-|
eniericop ensontuenus	-|------|-|---|----|
moutdegent on ttrouu ez	---|-|---|--⌫|-----⌫-|
q u ilorfurentp are nspriuez	-⌫-⌫|--|-----|-⌫---⌫-|-----|
xmbie ndesisansestoit	-|---⌫|-|--|--|-----|
quantuers cele partiealoit	----|---|---|-----|----|
grans uertusfistacele	----|-----|---||---|
d ontsamer e auoit mout	-⌫--|-|---⌫|----|---|
nos tredame outgran t soif uniour	---⌫--|---|--|----⌫|---|-|---|
pourc equegrantertlachal or	---|-⌫|--|----|--|-|----⌫-|
marie axmapelés	----||-|------|
biaxtresdousfixamoiuenés	---|---|---|--||--|-----|
