LicuensAmilesfumou ltpreusetsenéz.	-|----|-----|-|---⌫-|----|-|------|
sedoiuent.	-|-------|
DistLubias Sire euesq u esgentizTouzes tmalad e s	---|-----|---|-----⌫-⌫-|-----|---|--⌫|-----⌫-⌫|
delgiézme s maris.	-------|--⌫|-----|
Orenpanséz s ireeu esquesbenis Dou	-|-|------|-⌫--|--⌫-----|----|--|
desseu rere ntremoietAmi.Ieu o zd onrai	------⌫--|-⌫---|--|-|---|-|-⌫-⌫|-⌫----|
monmur le t	--|---⌫--⌫|
Et tren te	-|----⌫-|
liuresd ed enie rs	-----|-⌫|-⌫----⌫-|
parisis.-Dex dis t	-------|---|---⌫|
quionque snement isBiaus	--|-----⌫|-|----⌫-|----|
tres douz Dexmerueillespuis	---|---|--|---------|---|
oïrSe touz	---|-|---|
li mondes lepens astet	-|-----|-|----⌫--|-|
i ehi st Sel deüs s iéz	-⌫---⌫-|--|-----⌫-⌫---|
et couu r ir Conme	-|----⌫-⌫-|----|
ladamequi l auoit a	-|---|--||----||
maït Dexli	|---|--|-|
Roisde para disNeluoilparmoidestruire.	---|-|----⌫--|--|---|--|--|---------|
Lubiasfudefolcontenement Quanta l euesq ue	-----|-|-|--|----------|----|||-----⌫-|
pren tM oi eestlauille et	----⌫|-⌫--⌫|--|-|----|-|
apentCes t e	----|---⌫-⌫|
terreestamoncon mande me nt . N i a euesquene	----|--||--|---⌫-----⌫--⌫--⌫||||------|-|
Nushomnia parmais trien oient.	--|--||||--|----⌫---|-⌫-----|
Laissiézlacroce	--------|-|----|
que i elauozdeffenz.-Nonferai dammepar	--|-⌫|-|--|-------|---|----|----|--|
lemienenci ent.	-|---|----⌫---|
Sen uersAmiauéznulmautalent	|--⌫---|--|----|--|--------|
Gu erpizson lit nel	--⌫----|--|--|--|
pornoient.Nelitenézne f oin e sairement	--|------|-|-|-----|-|-⌫-|-⌫|--------|
a ue ́zmentie.Lubias	-⌫--⌫-|------|-----|
leue squemesleeE tclers et	|---⌫---|-----|-⌫|----|-|
uille l e se uent. Texnese nestencor	----|-⌫|--⌫----|--|-||-⌫|--|----|
gar d e don n e e	---⌫-⌫|---⌫-⌫-⌫|
Qui le sgardac om iluaitpar	--||-⌫-----|-⌫-|-|---|--|
lestree. Dist l unsa l	|------|---||--|||
autrecoi emen t	----|---⌫----⌫|
D emonseignororesg ardézcompere	-⌫|--|------|-|---⌫-----|------|
Grosal e nésselien fle	---||-⌫|---|-|-|--⌫--|
l a leure Etcoml a ores contremont	-⌫|----|-|--|||---|---------|
rebi ffee.D roit	----⌫----|-⌫---|
am adammequ emal es tmariee.Et	|-⌫|----|--⌫|--|--⌫|------|-|
Lubias si s estt a ntp o r ale e As ri cheshome s	-----|-||--|-⌫-⌫-|-⌫-⌫-⌫---⌫|-|--⌫---|----⌫|
so udee sEt asboriois piaulsdemartre	--⌫----⌫|-|-|------|-----|-|-----|
affumbleesIcell e	---------|-----⌫|
g e n ss estelmonstier entree Et t ui tensamblea	-⌫-⌫-⌫||--|-|-------|-----|-|-⌫--⌫|-------||
crierent Porquaue ́zuoz	-------|--|-|---⌫-|--|
nostredammeauilleeQua	-----|----|------|-||
unmezell auéz	-|----||----|
faitepriuee	----|-----|
-Dexdistleuesques quelle	---|---||-------|-----|
lauéztrouue e	|----|------⌫|
Autreseignoruoléz	----|------|-----|
quiuoza gree. Au	--|--|-⌫----|-|
matin netsoitm adamm eaprestee	-----⌫--|---|-⌫|----⌫|-------|
A troiseuesques soit lachose	|----|-------|---|-|----|
mandee Ciconuient i estrea	-----|-|-------|-⌫----||
la primesonnee.	-|----|------|
AuconteA mi	-|----|-⌫-|
rais on smonstreeEtl a	----⌫--⌫|-------|-|-⌫|
paroleen la sale pauee.Se	-----|-|-|---|-----|-|
Dex m aïtliGlori ozli Pe res Neluoilpa r	--||---|-|-----⌫-|-|--⌫--|--|---|--⌫|
moi d estru ire.	--|-⌫-----⌫---|
Aumatinnetquantclerepar utl aube Gra nsfula	-|-------|----|----|---⌫-||---|---⌫-|-|-|
d eseuesquestouzqu atre.	-⌫-|-------|---|--⌫----|
A u c onteAmi	-⌫|-⌫---|--|
mon terent enla sale.	---⌫-----|-|-|----|
uoientgent ementlenarraisnentGentizhom	-----|----⌫----||-|---------|-----|--|
sirecomuoziestezm aladeTr es touzlico r setli	---|--|--|-----|-⌫----|--⌫--⌫---|-|--⌫-⌫|-|-|
me mbre uoz	--⌫---|--|
ar dent.Dexconmandapor uoirquefuiss iézladres.	--⌫----|--|-------|--|---|--|-----⌫---|------|
uoz morrézque uo strearmesoitsalue-Dex dist	--|------|--|--⌫---|---|---|----|---|---|
gel preingen	--|-----|-|
b onnegrac e Mais carproie ́z Lubias la	-⌫---|----⌫|---|--|-----⌫-|-----|-|
ga illardePoram orDeule Pereesperita ble	--⌫------|--|--⌫-|--|-|---|--------⌫--|
Desonauoir	-|--|----|
unhospit alme	-|------⌫-|-|
faceForsdela uillea	---|---|-|-|----||
laported eBlaiu ies	-|----|-⌫|-----⌫--|
Ets imotr oitlerel iefde satable Que	-|-⌫||---⌫--|-|---⌫--|-|-|----|--|
ie ni mui re a	-|||---⌫-||
doloretagla iue.Moult feragrantaumosne.Li haut	----|-||---⌫---|----|---|----|-------|-|---|
dem ainneetliprince meill or	---⌫----|-|-|-----|-----⌫-|
Lubi aspro ienttuite nsamble	----⌫-|---⌫---|---|-⌫------|
iorQuelauitailleliotroit paramors.Elle	--|--|-|-------|-|-----|--|-----|---|
m a in t en antoiant	-⌫-⌫--⌫-⌫--⌫--|----|
toz. Dexlahonnis seliPer e s g lorio uz	---|--|-|------⌫-|-|---⌫-⌫|-⌫-----⌫-|
couuentlifai lli elletout.Dammeld ex	------|-|---⌫--|---|----|-------⌫-|
LicuensA mis fuaudoisapuiéz	-|----|-⌫--|-|-|---|------|
Enuironluimai ntbaron	------|--|---⌫-|----|
cheu alier.Se ig nordistil	----⌫-----|--⌫--⌫--|---|-|
fait ezpais simoiéz.En	----⌫-|---|-||-----|-|
ces teu i llequimoultfait	---⌫-|-⌫-⌫--|--|----|---|
aprisier Ieiu ing	|------|-||-⌫--|
certezbie na	-----|---⌫||
set ansentiers	--|--|------|
Tostm a cistmau sencombrép ar	---|||---|---⌫|--------|-⌫-|
Lir oimeïsmezquiFranceaab aillierM i	-|-⌫-|-------|--|-----|||-⌫------|||
otdonnéLubias	-|-----|-----|
m oill ier	-⌫----⌫--|
Cestem es chi nne au gent corsafaitie ́. Ellee stmoult	----|-⌫--⌫---⌫--|-|---|---|-------⌫-|---|-⌫-|----|
i oneuoldr asoienuoi si er. S ellemesprentporDeula	-⌫--|-----⌫|--|-----⌫--⌫--||---|-------|--|--|-|
chastoiéz. Unfi len ai celu ite néz	----------|-|--⌫|-|-|----⌫|--⌫---|
uozchierCeest	--|----|-|--|
Gir arsli damm ois iau sl egiers Par luitenrézuoz	---⌫--|-|----⌫---⌫---⌫|-⌫-----|--|--|------|--|
ter re setu os	---⌫--⌫|-|-⌫-|
fié s .Etsiliaser i ansn ech eualie rs	----⌫-⌫|-||-|||---⌫-⌫--|-⌫|--⌫------⌫-|
preuostne doien	------|-|----|
Qui enuers	--|-----|
moi aitfraite samistié	--|--|-----||-------|
sa ire m en tdescorpé parpechie ́Si	--⌫---⌫-⌫--⌫|--------|--|------⌫|-|
comonfaitsons eignor	--|-|---|--|-⌫-----|
droi t ur ierD eparIh e sulipar doinslepech ié	----⌫-⌫--⌫--|-⌫|--|--⌫-⌫-|-|---⌫----|-|----⌫--|
mi eus neuoz quier .A ceque dist	--⌫--|-|--|-----⌫||-|--|---|
liuail lans	-|----⌫---|
ch eualiers S	--⌫-------||
e stoit pasmee satres	-⌫----|-----|-|---|
fausse moilli ers.	-----|------⌫---|
Q uantser elieuesi conmence ahuch i erGentiz hom sire	-⌫---|-|-⌫-----|-|-------||----⌫-⌫-|-----|--|---|
tantdolansnozlaissiéz A cesparolesd ientl i cheua lier	---|-----|--|--------||--|------|-⌫---|-⌫|-----⌫---|
Hé uaillanscue nscomt u noz lais	--|-------|---⌫-|--|-⌫|--|---|
iriézEtcorr esouz	-----|-|----⌫----|
triste se tg ramoiézAtants en	------⌫|-⌫|-⌫-------||---||-|
p asmentplusor po r	-⌫-----|-----|--⌫|
amist ié.L u bias	-----⌫---|-⌫-⌫---|
p rinst unos tel	-⌫----|-|--⌫--|
q uifuuiézPar defors	-⌫-|-|----|--|-----|
Blaiuieslalefist redresc ierLec onteAmi	-------|-|-|---|-------⌫--|-|-⌫---|--|
ha rb erg ier. Processi oni	--⌫--⌫---⌫---|--------⌫-||
fa it grant liclerg ier sPuiss	--⌫-|----|-|-----⌫---⌫|---||
enretorn entenlacité arriers.	-|------⌫--|-|-|----|-------|
gra nt du eldemainnent	---⌫-|--⌫-|---------|
Or fuAmistouzseuls e nl abita cle Touzcorresouz	-|-|---|---|----|-⌫||-----⌫--|---|--------|
dolans e t malad esNu s	-----|-⌫|-----⌫-|--⌫|
hom quisoitporuoirneli	--|--|---|--|---|-|||
reg a rde.	---⌫-⌫---|
Girar ssesfiz sen donne	-----⌫|--|--||-|----|
souuent gardeN ot queset	------|----||-|--|--|
moult otpetit	----|-|----|
Etnonporquant	-|----------|
soti ltant	|-|-⌫|---|
decora ige Qu il pren tle	-|----⌫--|-|-|----⌫|-|
pa inquant il p uetsorlatable	--⌫-|----|-|-⌫--|--|-|----|
Por te son perelafo rsenl	---⌫-|--|---|-|--⌫-|-||
a b itacl e. uo it le sa meres ile	-⌫-⌫-----⌫-|--⌫-|-|-|---|-⌫|-|
choseet mena ceQu	----|-|----⌫-|-|
e ncontr e t erreeta po ins	-⌫------⌫|-⌫---|-||--⌫--|
paumesLebatrat antquei	-----|-|----|-⌫--|--||
parront lestraces.Fizamezelad elgi ete ta	------|--|------|--||----||-⌫----⌫-|-⌫||
I an iert uns iorsquepor	-⌫||---|--|---|--|--|
luineuozbate. I a neuerrézun	--|-|--|----|-⌫|-|------|-|
mo is apr e ́ z	--⌫-|---⌫-⌫-⌫|
laPasque Que sorle	-|-----|--|--|-|
col temetrai telpar rastr e	--|-|-----|--|---⌫-----⌫|
te tueilferatro pquelasche sPo rl	-|--|-|---|---⌫|--|------⌫|--⌫||
ammor deton	----|-|--|
pere.Lanf esG irars	----||---⌫-|-⌫----|
parmila salef uit Sor	----|-|---|-⌫--|--|
anmontaen piés sus Orm	-|----|-|----|--|-||
escoute ́ zliuielet	-------⌫-⌫|-|---|-|
Mo ultamamerele m ien pere souduit Queses	--⌫--||-|---|-|-⌫--|---|------|--|--|
m ala igesne fust	-⌫---⌫---|-|---|
awan seüzS e	---|----|-⌫|
Dexmaït s esalaingu e ne	--||---|-⌫|-|------⌫|-|
fus t.Fila	---⌫-|--||
putainf el tr aïtre pariur Qui consentis tezqu ell e	-----|-⌫-|--⌫-----|-----|--|---------⌫--|-|---⌫|
si batu.D eua ntluigardesi	-|----|-⌫---⌫-|--|----|-|
achoisiu n fustA son	|-----|-⌫|---||--|
pooi rleleuaamont s uzParmileschiésen a	----⌫|-|---|----|-⌫-|----|--|-----|-||
quatrefer uz.	-----|---⌫--|
Enfuie stornent	-|----⌫|------|
etlic henuDis t luns a	-|-|-⌫---|---⌫||--||
aperceüz.Dexle garisse l i Peresde	---------|--|-|------|-⌫|----|-|
Par luirauronzn osterres.L a nfes G irars	--|--|------|-⌫-|------||-⌫---|-⌫----|
aual el es de g réz	----⌫|-⌫-|--⌫-⌫---|
Enla cui sin eenestmoult tost alézUnpoon	-|-|---⌫---⌫|-|--|----|---|----|-|---|
t reuuerosti et	-⌫----|----|-|
empeuré .Ou uoit lequeu si len aapel lé	--------⌫|-|---|-|---|-||-||----⌫--|
Fiza put ai nfellec hierr esprouuézTost	--||---⌫--⌫|--|---⌫-----⌫-|-------|---|
mienp ere oublié.Iln emenia	---|-⌫--|-------|-|-⌫|----|
de sl undi	--⌫|-⌫---|
audi snerEt	-|--⌫---|-|
iu esdisest tro p liestdemoré. Aléz ito stcest	--⌫----|--|---⌫|-|--|-------|----||--⌫-|---|
por téz.Etcilr espontDefolie parléz	---⌫----|-|--|-⌫-----|-|----|------|
Queu o stre	--|-⌫-⌫---|
mere m aur oit se mprestué.Girars	---||---⌫--|--⌫----|----|-----|
lentent lesens	|-----|-|---|
desuer D euantluigar desi aun pel	-----|-⌫----|--|---⌫-|-||-|--|
trouuéFiert le	------|----|-|
gloutonla ouf uancl inézMerueil lozcopli	------|-|-|-⌫|----⌫----|-------⌫--|--|-|
atantos tdonné	|------⌫|-----|
Tout dro iteme nt e ntrefrontet	---|---⌫-----⌫-|-⌫---|----|-|
lené sQuelaceru ellefistel	-|---⌫|--|-|----⌫---|---|-|
foieruoler.Puisl ia dit Lechi erres	----|-----|---|-⌫||--|-----⌫----|
Sifait mestieruoz uoil iebienmonstrer.Lidui	-----|------|--|---|-|---|--------|-|--|
le uoi en t	-|---⌫--⌫|
sontespoan té .Gira r tapellentFransdammo isiax	---|------⌫---⌫|----⌫-⌫|-------|----|-----⌫----|
mem brézNoziiro nz seuoz	---⌫----|--||---⌫-|-|--|
lec onmandéz. Etdist	-|-⌫---------|-|---|
Girars Orauéz	-----|-|----|
bien parlé.Enlacuisine s	---|------|-|-|------||
en so nttuit	-|--⌫-|---|
troie ntré Delauitaillesont chargiéettrorsé.A	---|-⌫----|-|-|-------|---|-------|-|-------||
osp it aluont Am iresgarderLeue li	---⌫--⌫-|---|--⌫|--------||--|-|
donne ntetsilontf ait	-----⌫-|-|-||--|-⌫--|
laue rGirars	----⌫|-----|
lidammoisiaxm embréz. Mengie ́z	-|---------|-⌫-------|------⌫-|
biax pe re	---|--⌫-|
moul tuoz ai	----⌫|--|-|
demoréSeDe xma ïtquien	------|-|--⌫||-⌫--|--|-|
penézIene poiai nzue nir	-----|-|-|--|--⌫-|--⌫--|
neret or ner. Girars	-|---⌫--⌫---|-----|
conteli dam moisiaussenézConment sa merel a	----|-|---⌫-------|-----|------|-|---|||
mené.Li cuens l	-----|-|----||
ententsi conmencea plorer.	-----|-|-------||------|
Gir ar sli	---⌫--⌫|-|
baiseetla bo uche etle nés. Fizdist l i	----|-|-|--⌫---|-|-|----|--|---|-⌫|
cuensens us d e	----|---⌫-|-⌫|
Quecistmal aigesdonti e	--|---|---⌫----|---|-⌫|
suie ncombré z	--|-⌫--------⌫|
delmond eetdousie cl een	--|----⌫|-|--|---⌫--⌫|-|
uiltéz Nusnem	------|--|-||
encontrequide mere so i t	-------|--|-|---|--⌫-⌫|
nés Nesendestort	---|-||-|------|
osealener.Etdistlian fesDe folie	--|------|-|---|-|--⌫--|-|----|
par léz.La	---⌫----|-|
uostre charsnem iertiaenuil té	-----|----|-||---|-|-|---⌫--|
Ansoiz mestdouceet	-----||--|----|-|
moultbonneetsoézEtpar	----|----|-|----|-|--|
lap ostrecuiD exdonnabon	|--⌫----|--|-⌫-|----|--|
Se uozenuoin efui ̈r	-|--|-|--|-⌫|---⌫-|
G iraiouoz	|---||--|
seie menpuis	-|-||-|---|
to rner Plus loialhomedemoini	--⌫---|---|----|---|-|--|||
trouueréz.De la	----------|-|-|
uit ail led oupainquerrai	---⌫---⌫-|-⌫-|---|------|
uolentiersle feroie.	---------|-|------|
Fizgen irai ma isor ne sai	--||-|---|--⌫-|-|-|--|
quant c iert.u ozrema n réz	----||----|-⌫-|----⌫-⌫---|
sis erézcheu aliersSigarderéz uoz	-|-⌫----|----⌫-----|-|--------|--|
hono rsetuosfi éz.	----⌫-|-|--|--⌫---|
en G ira rs	-|-⌫---⌫-|
qu ant ses pereotm en gié.Lamaleme rele	--⌫--|--|---|-|-⌫--⌫----|-|---|--⌫-|-|
men ace etselfiert	---⌫--|-|--|----|
Enc ontreterr eet	---⌫----|----⌫|-|
aspo inzetaspiés.	-|--⌫--|-|-|-----|
apelledouz	-----|---|
barons cheu aliersPardr oiteforcele fait	-----|----⌫-----|--|--⌫---|----|-|---|
panre etliier	----|-|----|
Desozla tor l	----|-|--||
e n u n celier.O r	-⌫|-⌫|------|-⌫|
croistaucontee tpa inne	-----|-|----|-⌫|--⌫---|
ete ncombrierDefaimmori rq u	-|-⌫--------|-|---|----⌫|-⌫|
ne auraquemengierSeDammeldexnen panse.	-|---|--|------|-|--------||-|-----|
diemenche que ilfuesclairiéLubiassaet ues tu	--------|--|-|-|---------|-----|||-|---⌫-|
etchau cie ́.	-|----⌫---⌫-|
Elle en ape lledouz	---|-|---⌫--|---|
de sescheualiers Me sseetmatinnesua oïr	-|--|---------|--⌫--|-|-------|-|---|
au monstier	-|-------|
PardeforsB l aiui es aumonstierSaintMichi el.	--|-----|-⌫-⌫----⌫-|-|-------|----|-----⌫--|
Deuan tliuaituns iouglersdePoitiersQuili	-----⌫|-|---|--|-------|-|-------|--|-|
amm ors etdammisti é.	---⌫--|-||-------⌫--|
Sel lecreüstmoult	|-|-|------|----|
feïstaprisier.Li c uens malades	-----||-------|-|-⌫---|------|
lesaoïnoi sier Asonpooir s estues tus	--||--|---⌫---||--|----||--|---⌫--|
etchau ciéz	-|----⌫----|
E n mila uo ieal encontre lor	-⌫-⌫-|-|--⌫-|||-------|--|
puetestera	---|----||
sa ss ie t .	|-⌫--⌫--⌫-⌫|
Q uantilles uit	-⌫---|-|--|--|
e nuersluiapro chierAun	-⌫----|--|----⌫----||-|
basto n s est li cuensap uiéz Aso n pooi r	-----⌫||--|-|----|--⌫----||--⌫|----⌫|
conmensa a hu chier	-------||--⌫----|
Lubiasdammefai te zpais si	-----|----|---⌫--⌫|---|-|
QuantforsdeBlaiuies	----|---|-|-------|
m efeïstezgi etier Se Dex maït en	-⌫|-------|--⌫----|-|--||---|-|
couuentm auiiéz	------||------|
De lauitaill eauroieuolentiers.O rmuert de	-|-|-------⌫|-----|----------|-⌫|----|-|
faim uostrelas	---|-----|--|
prouuen diers Or a i	-------⌫----|-|-⌫|
disetezs eDex me puistaidier. Aurai	------|-⌫|--|-|----|------|----|
iedamme anquenuitdoureliefQu i	-|----|--------|--|-----|--⌫|
chietaterre desoz	----||----|----|
uospiés Iale me niu ent brachet etleuerie rM iex	--|----|-|-|--⌫---⌫--|------|-|-------⌫|-⌫--|
uen istque lemenuoïssiézQueuozfoliene	---⌫--|--|-||-----------|--|--|----|-|
malen feïssiéz.	--|-|----------|
L af au ss e	-⌫|-⌫--⌫--⌫|
loitm ainte nantrespondié	|--|-⌫-----⌫---|---------|
Sire malades	---|------|
t roppoe ́zan uier. T ostauézo resap rins a	-⌫--|---⌫-|--⌫----|-⌫--|----|-⌫--|--⌫---||
por cha cier.	---⌫---⌫----|
Qu antie uozfiz	--⌫--|-|--|--|
B lai uies gietierDisoientmoi seri ant	-⌫---⌫---|------|-------|--|----⌫--|
et cheual ier	-|------⌫--|
Que morriéz tostgaires neuiueri éz Oruoz	--|-------|---|-----|-|------⌫--|-|--|
uoisisainet sauf ethaitié .I a	--|-|---|-|---|-|-------⌫|-⌫|
Deu neplace.	--|-|-----|
quitout aa	--|---|||
iugier Que uouz soi e ́ z pa ssézunmois	-----|--|---|---⌫-⌫-⌫|--⌫----|-|---|
entierTro p en sui	-----|---⌫|-|--|
annuiie.Elle en apellec heuali ers	-------|---|-|-----|-⌫------⌫--|
etboriois Baron	-|------|----|
di stelleporDeuc onseilliézmoi. Icist malades	--⌫-|---|--|--|-⌫----------|---|----|------|
m ocirrase	|-----|-|
lui loist.	--|-----|
Il uoldroitor	-|-------|-|
qu e uoz doi Que	--⌫|--|--|--|
t ouzli m ons	-⌫--|-|-⌫--|
fus tmeziaus auec soi . Un sc he ualiersla	---⌫|------|---|---⌫|--⌫|-⌫--⌫------|-|
traist aun consoil	-----||-|------|
. Dexle ma udiequi	|--|-|--⌫---|--|
hautsietetlo ing	---|---|-|--⌫--|
uo itDamme	--⌫-|----|
distil entendézsa amoi.	---|-|--------|-||---|
iluoz plaist	-|--|-----|
bonco nsoilFaitezcrierleban que nus	--|--⌫----|-----|----|-|--|--|--|
neso it Ne	-|--⌫-|-|
nea utresche ualiers nebor io is	-|-⌫----|---⌫------|-|---⌫--⌫-|
Qui uoistAm i resgarder	--|----|--⌫|--------|
Nequilidoinstde quoi	-|--|-|-----|-|---|
il uiu eun s oir.	-|---⌫|-|-⌫---|
morraparlafoi qu e	----|--|-|--|--⌫|
uozdoi.E t	--|---|-⌫|
distlafausseCi a	---|-|-----|-||
mou lt bonconsoil. Elleen apelleBri ca udel d Orlen ois	---⌫-|--|-------|---|-|-----|---⌫--⌫---||-----⌫--|
u as i mecriemon banq ue nus nesoit	-⌫|-⌫|-|---|--|--|-⌫-|--|-|---|
Queilniait	--|-|||--|
cheuali er nebor iois Qui uoistA miresgarder mais	-------⌫-|-|---⌫---|--|----|-⌫-|--------|---|
Ne quilidoinstdequoi il uiue un soir.	-|--|-|-----|-|---|-|---|-|----|
Orimorra et	-||----|-|
faimetde soifLicu ens	---|-|-|---|-|--⌫--|
de franche orine. Ez B ricaudel	-|------|-----|-|-⌫-------|
pa rla uillecriant	--⌫|-|----|-----|
A sauo iscler e s escria fierement	|-|--⌫-|----⌫||-----|--------|
da mmeuozcri om ezunbanQueilni	--⌫--|--|---⌫--⌫-|-|--|--|-|||
ai tes cu ier	--⌫|--⌫--⌫--|
neseria nt Necheuali erhome	-|-----⌫-|-|-------⌫-|---|
nulneanfant QuiuoistAmi	--|-|-----|--|----|--|
resgar der maisawanN equi	------⌫--|---|---|-⌫|--|
lidoinst undenieruaillissant .	-|-----|-|-----|-----------⌫|
O ri mor raparle miene nciantSe	-⌫||---⌫-|--|-|---|-⌫-----|-|
Dammeldex ne npa nse.	--------||-⌫|--⌫---|
Enlo spitalfuseu sreméz Amis	-||-⌫-----|-|---⌫|-----|---|
Etnusni os ene	-|--|||--⌫|-|
uenirCarLubiasiau oit	----|--|-----||--⌫--|
Lamaledamm ecui Dex	-|---|----⌫|--|--|
puistmaleïr Ne ma isdui	----|------|-|--⌫-|--|
licuensot norrisEta chaté z adenierscem	-|----|-|-----|-|-⌫------⌫||------|-||
Lub i as enont leconsoil p rinsLub ias dammeparles	---⌫-⌫-|-|--|-|------|-⌫---|---⌫--|----|--|--|
queDex fistOr est	--|--|---|-|--|
pechiéz seDammeldexm ai ̈tCe l	-------|-|--------||--⌫-|--⌫|
gentilhome laissiéz	-----|---|--------|
defa im morir.Car nozdo nne ́ zcongiéde	-|--⌫-|-----|--|--|--⌫---⌫-⌫|------|-|
l ui ser u ir.Nozl enmenronsen estra ngespaïs La	-⌫-|---⌫-⌫--|--||-|------|-|-----⌫---|----|-|
querron z e t doupainet	-------⌫|-⌫|--|---|-|
douuinEtde	--|--|-|-|
la cha rporDeu quin e	-|---⌫|--|--|--|-⌫|
m enti. E tdis t	-⌫----|-⌫|---⌫|
lafau sse Et	-|---⌫--|-|
ie leu ozotri.Se uoz le	-|-|-⌫-|----|-|--|-|
faite za insiz	-----⌫|-⌫----|
comla uézditQue le	--||-⌫---|--|--|-|
gietézdou regne e t dou	------|--|----|-⌫|--|
païs Qu enelue ïs senealer	----|--⌫|--|--⌫---⌫-|-|---|
ne uen ir I euoz donroiemon	-|---⌫-|-⌫|--|------|--|
murletar rab iEt trente liures	-----|--⌫---⌫|-|-----|-----|
dedeniersparisis. Et	-|------|-------|-|
cillio nt fiancie ́ etpl eui. Elle	--|-|-⌫-|-------⌫|-|--⌫---|---|
lordonne les	--|----|--|
d enier ssans	-⌫-----⌫|---|
mentirEtsilordonnes onmurlet arra bi	-----|-|-|--|----|-⌫-|-----|----⌫-|
Etc ilenfont	-|-⌫-|-|---|
g ranti oie.GarinsetHaymmesfurentprouetnobi leAu	-⌫---|-⌫---|-----|-|------|-----|---|-|----⌫-|-|
main seli euentendroit ore	---|-|--⌫----|------|--|
deprimeSisont uenu	-|----|-|---|---|
os telerie.uoientAm i	--⌫-------|-----|--⌫|
moultbel ement	----|---⌫----|
lidientCar	-|----|--|
l euézhui maisbiaus tres	-⌫----|---⌫---|----|---|
doz sire.Iadis tm adamm equ i	--|----|-|---⌫|-⌫|----⌫|--⌫|
uost reamie	----⌫-|---|
ser oiz maisplu sen	---⌫--|---|---⌫|-|
cesteuille. N oz	----|-----|-⌫-|
uozmenronsdesc i iusqu	--|------|----⌫|----|
aSaintGileLauozqu errons	|----|---|-|--|--⌫-----|
po r Deumeïsme	--⌫|--|------|
Porcel Seigno rqui	--|--|------⌫|--|
uol entiers lefer om me z.	---⌫------|-|---⌫--⌫--⌫-|
G a rinsetHa ymmesfurent preuet	-⌫-⌫---|-|--⌫----|-----|---|-|
cortoisuestirle	------|-----|-|
f irentetchaucier	-⌫----|-|-------|
aesplo it.Pa rmi	|-----⌫--|--⌫--|
la uillele	-|----|-|
s auoirGr ant	-⌫----|--⌫--|
du el dema inne ntcheualier etbo riois Plus	--⌫-|----⌫----⌫-|--------|-|--⌫----|---|
dequara nte s enpasment demanois.Elpal ais monte	-|-----⌫--||-|------|--------|-|---⌫--|----|
cuens Amis	----|---|
licor toisIsnellemen t sesta puiéz	-|---⌫---|----------⌫||--|-⌫-----|
audoisLub ias	-|---|---⌫--|
d amme entend ézenuer s moi. Monfi l	-⌫---|------⌫--|-----⌫|---|--|--⌫|
Girartme m onstré z une	-----|-|-⌫-------⌫|--|
foisCaren mauieneleq uierp lus	---|--|-|-|--|-|-|-⌫---|-⌫--|
ueoir. Etdist la	-----|-|---|-|
fausse Moultauéz folconsoil. Q uant	-----|----|----|--|-------|-⌫---|
uozmeditez nu lle	--|-|----|--⌫--|
riens quimepoist	----|--|-|----|
Tropen su i	---|-|--⌫|
anu iie.Lu biasdamme	---⌫---|--⌫---|----|
porle ssainsquefist Dés MonfilGirart	--|--⌫|----|--|---|---|--|--|-----|
unef oisme	--|-⌫--|-|
monst rézCare n ma ui enel quierplusesgarder.Et	-----⌫---|--|-⌫|-|--⌫|--|----|---|--------|-|
la fausseMoult a uéz	-|-----|----|-⌫---|
fol pa nser.Par	--|--⌫----|--|
celapos trecuiDex	--|----⌫--|--|--|
donnabongré Senemef aitezm on	----|--|---|-|-|-|-⌫----|-⌫-|
pa laisd e liurer	--⌫---|-⌫-⌫-----|
uilainneme ntuozferaifors bo ute r .Li cuens	----------⌫-|--|----|---|--⌫---⌫-⌫|-|----|
lent ent si	|---⌫--|-|
conmenceaplorerHéDe xdist ilquelpart	-------||-----|--|--⌫|---|-|---|---|
porrai al e r	-----|--⌫-⌫|
Cel le me fautquime deüs tamer.	---⌫-|-|---|--|-|-----⌫|----|
Il sen aualeles m auber ins	-||-|----|--|-⌫-----⌫--|
degre ́z Et	-----⌫-|-|
si l l io nt le m u rletapresté. Licuens i	--⌫|-⌫|-⌫-|-|-⌫-⌫---|--------|-|----||
etci lli ont aidé. Toute sles	-|--⌫|||--|-----|-----⌫|--|
gensdeBla i uiesiso nt	---|-|---⌫-⌫---||--⌫-|
Ialieüs sentbel echosedonnéD	-|-|----⌫---|---⌫|----|-----||
or et d argenttou tle	-|-||-----|---⌫|-|
murlettrorséQuant Lubi asifi st	-----|------|----|----⌫-||--⌫-|
son ba ncrierLamale	--|--⌫|----|-|---|
dammecuiDex	----|--|--|
puistmaldo nner .Pa r milaporteissent	----|--|--⌫----⌫|--⌫-⌫-|-|----|-----|
Liserf lenmai nnentsilenon t apellé	-|---||-|---⌫----|-||-|--⌫|------|
Gentiz hom	-----|--|
sire q uel	---|-⌫--|
partporronstorne r -Baron dist	---|------|-----⌫|-----|---|
m enrézA monparri nquia nonYzore ́z .N e	-⌫-----||--|-----⌫|--||--|-----⌫--⌫|-⌫|
mefa udra t ant	-|--⌫---|-⌫--|
compu isse dure r. L iserf lentenden tg rant	--|--⌫---|----⌫-|-⌫|---||--------⌫|-⌫---|
ioi ee nont	---⌫|-⌫|--|
