cuers esu eille	----|---⌫----|
amorsperdre	----|-----|
seta damepartelm eruei lle	-|-|---|--|--|-⌫-----⌫--|
t e n h aistpas ne tenme rueille	|-⌫|-⌫---|--|-||-|--⌫------|
bie n doiuent e strearme s portees	---⌫|------|-⌫---|----⌫|------|
uersamorspar telpointfaussees	---|----|--|--|----|-------|
seprensoautr e esba tement	-|----||----⌫|----⌫-----|
faireledoizce leeme nt	----|-|---|--⌫-----⌫-|
comm en tq ue tuaie zpechié	----⌫--⌫|-⌫-|-|---⌫|------|
gloiredetonpechie	-----|-|--|-----|
ata dame riensnen s era	|-|---|----||-|-⌫--|
quantdecen	----|-|--|
nes auisera	-||------|
cuer nesedu etcescun	---|-|-|--⌫-|-----|
d e cenqu ilneu oit	-⌫|--|-|-|-|-⌫--|
la doizpasatrere	-|---|--|-----|
enlieuoutad a merepere	-|---|-|-|-⌫-⌫-|-----|
t oute f amene do itpasest re	-⌫---|-⌫--|-|--⌫-|--|---⌫-|
partoyasse m blee	--|--|----⌫-⌫---|
e naucun eguise	-⌫|-----⌫|----|
tantque ta	------|-|
dames e n auis e	---||-⌫|----⌫|
gardezpour mals n epourangoisses	-----|---|---|-⌫|---|--------|
mesfetnere quenoi sse s	-----|-|--⌫------⌫---⌫|
sede liee ssouspechonné	-|-|--|-⌫|------------|
nen soiezplus a ban donné	|-|----|---|-⌫---⌫-----|
pl ussoui et neplus decheuant	--⌫-|----⌫-|-|---|--------|
q uetu estoiespar deua nt	-⌫-|-|------|--|----⌫-|
forfet ac enpertuer s	-----||-⌫-|---|---⌫|
quene s eutsumelie	--|-|-⌫--||-----|
q uertelzs ignesso ntde mon strance	-⌫--|---|-⌫----|--⌫-|--⌫---⌫------|
son mesfet	--|-----|
qu erfin an ce	--⌫-|---⌫--⌫-|
p our tantne lidoizdeneer	-⌫--|---|-|-|---|-----|
amors n edeleer	----|-⌫|-----|
parledouzg ieu qui	--|-|---|-⌫--|--|
ta nt t agree	--⌫-||----|
sera tost lapaisaco rdee	---|---|-|---|---⌫---|
tu red oisfeind realafiee	-|---⌫--|-----⌫-||-|---|
queautreamieasespie e	--|----|---|-|-----⌫|
pour cenporr ont estr eauiu ees	---|--|----⌫--|----⌫|----⌫--|
par deua nthantees	--|----⌫-|------|
quantlesamanstropobe issent	----|--|----|---|---⌫-----|
lesfa me s	--|--⌫--⌫|
damersalentissen t	|---||----------⌫|
l orsso ntam orsenlan gore es	-⌫--|--⌫-|--⌫--|-----⌫----⌫-|
se dautrene son t guerr ees	-||----|-|---⌫|-----⌫--|
ch osede nuluiconuoi tie	--⌫--|-|----|------⌫--|
peti testreprisie	----⌫|----|-----|
etquantne nlacrient	-|----|--⌫|-|-----|
estre enblee	----|-----|
depluspre zs eutest regardee	-|---|---⌫|-⌫--|---⌫-|-----|
co urage croist	--⌫----|-----|
au suendeffendre	-|---|--------|
qu an tnen uoitqu a u tril e ueutprendre	--⌫--⌫|--|---|-|-⌫-⌫--|-⌫|---|------|
grief seroit d ac uidrea	----|-----||--⌫----||
autreenc enq u i	----|-|-⌫-|-⌫-⌫|
n eso uffiet mie	-⌫|--⌫-----|--|
doncseue isamorsperech ouse	---|-|--⌫-|----|------⌫---|
doiztami efere	---||---⌫|---|
amorsd oit	----|-⌫--|
estre qu il nec hiee	----|-|-|-|-⌫---|
par aigres agu illonsd rechi ee	--|-----|---⌫-----|-⌫-----⌫-|
eurou sest su stoutechose	-----⌫|--|--⌫|----|----|
cil pourqui samieestgelou se	--|---|--||---|--|-----⌫-|
lorssont amorsde	---|---|----|-|
prezte nues	---|--⌫---|
a finqu elznesoient	|--|-|--|-|-----|
tantque de toysedoute	---|--|-|--|-|----|
t adamee tde cen n aiesdoute	-⌫|---|-⌫|-|--||---|----|
parcestpoi nt s era reschaufee	--|---|---⌫-|-⌫--|---------|
sa cremetonnose pensee	-|-----------|-----|
f et plor eet souspire	-⌫-|----⌫|-|-------|
cheueulzr ontet d etire	-------|-⌫--|-|-⌫----|
crueulzyexteregarde	------|--|-|------|
n e do ute	-⌫|--⌫--|
lorsqu epour toyn arde	---|--⌫|---|--||---|
mesgar quel es paceso it b rieue	--|--|--||--⌫---|--⌫-|-⌫----|
qu itantcontraint	--⌫|---|--------|
ta dameet grieue	-|---|-|-----|
quer sachesparlonguedem ore	---|-----|--|-----|---⌫--|
te leroitpour unautr ee nl	-|-----|---|-|----⌫|-⌫||
qu ant iss i	--⌫--|---⌫|
conplaindre	----------|
acolerlad o iset e streindre	-----|-|-⌫-⌫-|-|-⌫--------|
etpuisbe isier	-|---|--⌫----|
sanz d eleer	---|-⌫----|
e t en tongueronasseer	-⌫|-|--|-----|-----|
apressesplo rsetses clam ors	----|--|---⌫-|-|--|----⌫--|
lirequi erlesioiesd am ors	-|-----⌫-|--|----||--⌫--|
humblementet endec heu ant	---------|-|-|---⌫---⌫--|
lorst ameramiex q ue deu a nt	---||----|---|-⌫-|---⌫-⌫-|
enses p lorsd ouzbesierslidonne	-|--|-⌫---|-⌫--|------|-|----|
c orsausoenaban d onnne	-⌫--|-|---|----⌫-⌫----|
pourcenseratost rape si e	---|--|---|---|----⌫--⌫|
ettoute sen i relessie	-|----|--|-⌫-|-----|
ille ques maintpaiset	----⌫---|----|---|-|
quitouzcontensfineetacorde	--|---|------|---|-|-----|
entel lieu proprees tgrace nee	-|--|---|-----|--⌫|----|--|
toutehaingeestquassee	----|-----|--|------|
com munemen tueers olon s	---⌫-------⌫|---|-⌫----⌫|
quapreslaguerredescoulons	-|----|-|-----|--|------|
s eulenti lbeisier doucement	-⌫-----|-⌫|------|--------|
e nfesantdouz murmurement	-⌫|-----|---|----------|
autressiaprezl esmellees	-------|----|-⌫-|------|
seulentamors estredoublees	------|----|----|-------|
n u l nepuetmiex quaprez tris tresce	-⌫-⌫|-|---|---|-|----|----⌫-----|
qu enoistre ioie	--⌫-------|---|
n el iesce	-⌫|-⌫----|
orfa ydonc	-|--⌫|---|
cestemedi cine	----|----⌫---|
setuueuzqu elaguerre	-|-|---|--⌫|-|-----|
amie en autremaniere	---|-|----|------|
nipu ez metremeillorr emiere	||--⌫-|----|------|-⌫-----|
itel medicineestcelestr e	---|-------|--|-------⌫|
c hascun la prent sanz	-⌫-----|-|----|---|
auoi r mestre	----⌫|-----|
uenus lordenaent elguise	----||-----|-|-⌫-|----|
touzen s ons erui se	---|-|-⌫-|-⌫----⌫-|
qu iabiau te sepre nge ga rde	--⌫||----⌫-|-|---⌫--|--⌫--|
quesad am esou u ent l esgarde	--|-|-⌫--⌫|---⌫-⌫--||------|
aucouchieraueueaperte	-|-------||---|-----|
doit sesp auleestre	---||---⌫---|----|
descouuerte	----------|
cilne doitpasestretesan t	--|-|---|--|----|-----⌫|
biaula ngage	---|--⌫----|
etp lesant	-|-⌫-----|
qui seitchanter	--|---|------|
c e nonilse doitte re	-⌫|--|-|-|---|--⌫-|
cilqui a uoi zempeeschiee	--|--||---⌫|----------|
se tese qu ilne lenm eschiee	-|---|-|-|-||-|-⌫------|
ce scund oita	--⌫---|-⌫--||
fere le ssier	---|--⌫----|
cen quisonpriz peutabeis sier	--|--|--|---|---|-----⌫---|
c ilqu iamera sage m ent	-⌫-|--⌫|----|----⌫-⌫--|
uaint rac en saches uraie ment	-----⌫-|-⌫-|-----|-----⌫---|
querp arces t art	---|-⌫-|---⌫|--|
porrailpre ndre	----|-|---⌫---|
cele aquisondesir	---||--|--|----|
seuttendre	---|-----|
messilseueffre montpour	--||-|-------|---|---|
ne sesbahisse mie	-||--------|--|
m ou ltde chos esl e s amans grieuent	-⌫--⌫-|-|----⌫-|-⌫-⌫|----|-------|
mespoi en est quilesre lieu ent	--|--|-|--|--|--|--⌫----⌫--|
enmu ndenapas tant puceles	-|--⌫--|||--|---|------|
neenfirmament tantd esteles	-|-|--------|---||------|
ne ta ntdepoissonsenlam er	-|--⌫-|-|-------|-|-|-⌫-|
comme il a do ulorsenamer	----|-||--⌫----|-|---|
alafoizdiranent amie	|-|---|---|--||---|
estrehor squeuerras	----|---⌫|--|-----|
lorscen que uerras ne doiz	---|--|--|-----|-|---|
mesc enquetuorrasretr er e	--|-⌫-|--|-|----|----⌫--⌫|
autrefoiz en la nuitpramise	----|---|-|-|---|------|
se ra l aporteaudeuant mise	--⌫-|-⌫|----|-|-----|---|
lorste c ouuendramon tsouffrir	---|-|-⌫-------|---⌫|-------|
ett o n co rsa martyr e o ffrir	-|-⌫-⌫|--⌫-||------⌫|-⌫----|
adoncnediralachan briere	----|-|---|-|----⌫-----|
quis e ra despitou seetfiere	--|-⌫-⌫-|--------⌫-|-|----|
pourquoy ua issiriueant	---|---|-|---|------|
e tdenuis la porte asseant	-⌫|-|---|-|----|------|
re spondrelidoizhumbl eme n t	--⌫------|-|---|-----⌫---⌫-⌫|
etlieblandi rs ou euement	-|--|------⌫|-⌫--⌫------|
ssus tonas	|--|--|-|
bele srose s	----⌫|----⌫|
i euoilquee nlinthier	-⌫|---|--|-⌫|-------|
les po se s	--|--⌫--⌫|
quantlipl era tu ente rras	----|-|--⌫--|-|----⌫---|
quantn onau dehor s teserr as	----|-⌫-|-|-----⌫|-|----⌫-|
qu argent il	--⌫-|----⌫-|
pourrienzquil auien ge	---|----|-|-|-----⌫-|
en nu yénese tie ng e	--⌫--⌫--|-|-|---⌫--⌫|
aled e chosenetienmie	|---⌫|----|-|---|--|
souffri rl estenchonsdetam ie	-------⌫|-⌫-|-------|-||--⌫-|
ouabesieralafie e	-||-----||-|---⌫|
son p iep ourmiexestre	--|-⌫-|-⌫--|---|----|
hau tes chos esuoil	---⌫--|----⌫-|---|
etcommande	-|-------|
il nestuertuquine soitg rande	-||--|----|--|-|---|-⌫----|
cilquiparart	--|--|--|--|
ueuta chief trere	---||----|----|
damorsa fo rtlabo r	|----||--⌫-|----⌫|
autresamis	-----|---|
enquicueretcourageamis	-|--|---|-|------||--|
en dures anzmetrelisoure	--⌫---|-⌫--|----|-|----|
sur to uz amansarasuit oire	--|--⌫-|----|---|---⌫---|
seaucuns enuont m urmurant	-|-----|-|---|-⌫-------|
quicenafferme nt en iuran t	--|--|-------⌫-|-|-----⌫|
di q uetunen c reis riensa	-|-⌫-|-||-|-⌫---|----||
suef f r etoiquantelguingnera	----⌫-⌫-⌫|--|----|-|--------|
etescriquantelle	-|----|----|---|
uaou e l lecommandera	-|-|-⌫-⌫-|---------|
uien alie quantle mande ra	---||--|----|-|-----⌫-|
lesmarisa lorespousees	--|----||--|--------|
lefontis si ma intesfiees	-|---|--⌫-|--⌫----|----|
doncdoiztuparm eill or re son	---|---|-|--|-⌫----⌫-|--⌫--|
autrimeson	----|----|
si g ne s en apert nefaymie	--⌫-⌫--⌫|-|----|-|--|--|
quanttu reg arderast amie	----|-|---⌫------||---|
d ucasiersemblantn edoitfere	-⌫|-----|-------|-⌫|---|---|
quilesforma g esenueut trere	--|--|-----⌫-⌫-|-|---|----|
be siers en apertnerequer	--⌫----|-|----|-|-----|
celernetequ er	----|-|-|--⌫-|
besier la doizen lieu	-----|-|---|-|---|
e s tra ng e	-⌫-⌫---⌫--⌫|
etsetupeus froter aulan ge	-|-|-|---|-----|-|---⌫-|
se labeses celeem ent	-|-|----|------⌫--|
samorencr eistragrandemen t	|---|-|--⌫-----|---------⌫|
chascun sesse gr esceléstienge	------|--|--⌫--⌫-|-----|-----|
quehonte et uerg o igne nenuie nge	--|----|-|----⌫-⌫---||-|---⌫--|
grant u ertunestpasnegrant cho se	----|-⌫---||--|--|-|----|---⌫-|
detenirsapenseeclose	-|----|-|-----|----|
etgr i euecul peest aucontrere	-|--⌫-⌫--|---⌫-|--|-|-------|
de direcenqui fetatere	-|---|--|--|--||---|
che scun auant sesse gres tese	---⌫---|----|--|--⌫---|---|
sada me fereeese	-|--⌫-|---|---|
famen ade riens	---|||-|----|
commedomme gran t uanteou r	----||---|----⌫|-------⌫|
de n uysest	-|-⌫--|--|
letempsco nuenable	-|----|--⌫-------|
asamourouset	-|-------|-|
delictable	---------|
lorspuetch escunsegreemen t	---|---|--⌫----|---------⌫|
lautretou t sontalent	|----|---⌫|--|-----|
ilnestnulecho se si	-||--|---|---⌫-|-|
comp arle ra samie	--|-⌫----⌫|||---|
pardouz parle r	--|---|-----⌫|
sontabr ase es	---|---⌫---⌫-|
lesamors e te nlu min ees	--|----|-⌫|-⌫---⌫---⌫--|
selentefet	-|--|-|--|
si gn een tas tant	--⌫--⌫|-|---⌫---|
s anzparlerneteuahastan t	-⌫--|-----|-|-|-|------⌫|
querla nu itquenoistre nes eit	---|-|--⌫-|---------|-|-⌫--|
fors au parler	---|-|-----|
qui q ue ce	--|-⌫-|-|
il auient biena la fie e	-|-----|---||-|---⌫|
queun echamberi ere au is ee	--|--⌫|--------⌫--|--⌫--⌫-|
e n laplace ordenee	-⌫|-|----|------|
ou se utladame estre	-|--⌫-|-|---|----|
etsiau ientbienlecontrere	-|-|--⌫---|---|-|-------|
damesseseu lent	----|-|---⌫---|
esliezlorbasseseteste ndre	-|---|--|-----|-|----⌫---|
po url esgeus sauorousa tten dr e	--⌫-|-⌫-|---|-------|-⌫----⌫--⌫|
et iss ideche uze n	-|---⌫|-----⌫-|-⌫|
lefeuree tson uallet qui iurent	-|----|-⌫|--|-----|--|-----|
oladamepourlachambriere	|-|---|---|-|---------|
dontlefeureout depuislepiere	---|-|----|--|-----|-|----|
lafauresselorsse tesoit	-|-------|---|-|-----|
aquilachosemontp lesoit	|--|-|----|---|-⌫-----|
e t lefeureniertpas sisage	-⌫|-|----||---|--|-|---|
quilen seust tr erelangage	-|-|-|----|--⌫--|------|
ornebesedo ncne aco le	-|-|---|--⌫-|-|---⌫-|
fam ede nuys s	---⌫|-|---||
pourle speril z etauentures	---|--⌫|-----⌫|-|--------|
qui enp uentuenir	--|-|-⌫---|----|
se ntadameauiceso urepreuches	|-⌫|-|---||----|-⌫|---------|
g ardequ e	-⌫---|--⌫|
li repre uche s	-|-----⌫----⌫|
couurirles t e couuient et	------|--|-⌫|-------|-|
pourt abesoignemiexenpeindre	---|-⌫|-------|---|--------|
perseusnedespisoi tm ie	------|-|--------⌫|-⌫-|
l a ledecoulo urdesamie	-⌫|---|-----⌫-|-||---|
nonf esoithetorla	--|-⌫----|----|-|
de s ach iereamieandromeche	-|-⌫|--⌫---|---|---------|
cen qui teuientadesplesanch e	--|--|-|----||-----------⌫|
tepl eirapa ra cou tumanche	-|--⌫---|--⌫|-⌫---⌫-------|
amorne garde ouil	---|-|----|-|-|
e spa rne poureneriche	-⌫---⌫--|----|-|----|
seelleestnoire comme carree	-|---|--|----|----|-----|
clerebrunesoit appelee	----|----|---|------|
sellebloiefaylacreable	|---|----|--|-|------|
quelestadyanesemb lable	-|-|--||----|----⌫----|
seelleale cuirplaindegress e	-|---||-|---|----|-|-----⌫|
cen semble	--|-----|
uen usla d eesse	---⌫-|-|-⌫----|
seel lemaigr e etma ltai lliee	-|--⌫-|-----⌫|-|--⌫----⌫----|
d ique lleg resleet ali gn ie e	-⌫|-|-⌫--|-⌫----|-|---⌫--⌫--⌫|
seelle estespesseet enflee	-|---|--|------|-|-----|
di que lleest pleine et to ute nee	-|-|-⌫--|--|-----|-|--⌫--|--|
pou racoler s el est	---⌫|-----||-|--|
auablee tfetiche	-----|-⌫|------|
soit di te	---|--⌫-|
sel le tor tecommecouleuure	|--⌫-|---⌫-|----|--------|
deli enullemellouren leuure	-|--⌫|----|------|-||----|
tou tcenqui uice sencline	---⌫|--|--|---||------|
soitcouuert parbonteuoisine	---|------|--|----|------|
seelleest uielleet esbran nee	-|---|--|-----|-|------⌫--|
tien la poursage etauis ee	---|-|---|---|-|----⌫-|
nerequierde sesan z leconte	-|------|-|--|--⌫|-|----|
querta be s oigneir oitahonte	---|-|--⌫-⌫----|--⌫--||----|
i l faitbonlesuielles amer	-⌫|---|--|--|------|---|
cen nos seutoui declamer	--|--|---|---⌫-|-----|
nepue tchaloir s	-|---⌫|------||
elsontchanues	-|---|------|
mesquelors flo rsaient per d ues	-----|---|---⌫-|----|---⌫-⌫--|
belaagesanz nulefable	--|---|---|---|----|
e staienne hommeprofettab le	-⌫-||----|----|---------⌫-|
pu et trereoretauoir	--⌫-|----|-|-|----|
et moutd a utr es profiezauoir	-|---||-⌫---⌫-|------|----|
lornetee rentetr e drec he	--|----|---|-|-⌫-⌫----⌫-|
les damagesdelor i enneste	--|------|-|--|-⌫------|
etsif ont ilbientantpar cur e	-|-|-⌫--|-|---|---|--|---⌫|
quelorfach e nepergeosc ure	--|--|----⌫|-|----|---⌫--|
e ulz sonttrop	-⌫--|---|---|
sagesdumestier	----|-|------|
dontlesieun es gensont mestier	---|--|----⌫-|---|--|------|
et el les le doiuentb i en	-|--⌫--|-|------|-⌫-⌫-|
querusages eutrendremestre	---|----|-⌫--|-----|-----|
lededuitdamorsseuf fren tfere	-|-----||----|----⌫----⌫|---|
enmilmanieres por miex plere	-|--|-------|--|---|----|
etsi eden tal af iee	-|-|----⌫||-⌫|-⌫--|
ametre louu rier a lauee	|----||---⌫---||-|--|
quantlauolent e est	----|-|------⌫|--|
cen e s tm i epaine perdue	-||-⌫-⌫|-⌫-⌫|----|-----|
bi e nla seuentaperch e uoir	--⌫-⌫|-|-----|------⌫-⌫---|
e tdeuot ementrece uoir	-⌫|-----⌫----|----⌫---|
resonset pa rsemblables	-----|-|--⌫|---------|
nous ueutfereouidecreab les	---|---|---|----|-----⌫--|
que miexuau t lesuiellesatrere	--|---|---⌫|--|------|-----|
quedesiennessamief ere	--|--|-----||---|-⌫--|
me s sauue	--⌫|----|
soitsareuerence	---|-|--------|
pasnemacordeasentence	--|-||-----||-------|
folq u iseahenne	--|-⌫-⌫|-|-----|
a u iell epour	|-⌫----⌫|---|
lessier le ienne	------|-|----|
y uoutentendre	|---|-------|
outsedeuientmest ierdeprendre	--|-|------|----⌫--|-|------|
mescelamo r qui bienl auise	--|--|---⌫|--|---||----|
nes tpasamor me s c onuoi ti se	|--⌫|--|---|--⌫|-⌫-----⌫--⌫-|
am orquiles fi nzamanslie	--⌫-|--|--|--⌫-|----|--|
uientbutab utsanzsymonie	----|--||-⌫-|---|------|
qui quertautrequ es onsem blable	--|----|----|--⌫|-⌫-|---⌫-----|
pou r argentn est pas resonable	---⌫|-----||--|--|--------|
ouideentendima lemen t	----|------|--⌫-----⌫|
ce nque nen ditcommunemen t	--⌫|--|--|--|----------⌫|
l ac he tantiennechoseprenge	|--⌫--⌫---|----|----|-----|
sedo utequilnemesprenge	-|--⌫--|-|-|-|--------|
l esgen nes	-⌫-|---⌫--|
uont enamen dant	---|-|----⌫---|
etlesuielles endescen dant	-|--|------|-|------⌫---|
cil est doncfol quipuet	--|--|---|--|--|---|
etprentaescien tlepier e	-|----||------⌫|-|----⌫|
desiennes uientioie etliech e	--|-----|----|---|-|-----⌫|
p riezetualo rethardieche	-⌫---|-|----⌫|-|--------|
l esuiellesme te nconte	-⌫-|------|--⌫|-⌫|----|
a dqu enoi strelegranthonte	||--⌫----⌫---|-|----|----|
l aienneple st a	-⌫|----|---⌫-||
etlauielle sefet	-|-|-----|-|--|
c il estdon c	-⌫-|--|---⌫|
folquimetsa	--|--|--|-|
enbiautequiuie nt parpain ture	-|-----|--|---⌫-|--|----⌫---|
quicun quesdes	--||--⌫---|--|
uielless acoste	------||-----|
ianetoucheron t amacos te	-|-|---------⌫||-|---⌫-|
enuoud racrere	-|----⌫-|----|
e tquino n uersell esse	-⌫|--|--⌫|---|---⌫-|-|
forcheetiennechedure	-----|-|-------|---|
metezalaborergr ant	----||------|--⌫--|
tostse rauen ueuiellesche	---|--⌫-|---⌫-|---------|
quileslaboransenpeesche	--|--|-------|--------|
orsoiezdonques notonniers	-|----|------|---------|
oudautremestierpa rch onni e rs	-||----|------|--⌫---⌫----⌫-⌫-|
clersoulabou reorsde	----|-|-----⌫----|-|
oumarc he an sougen tdegu erre	-|----⌫--⌫--⌫|-|---⌫|-|--⌫---|
oul esdamesuoil liezser uir	-|-⌫-|----|----⌫---|---⌫--|
grace bia udeser ui r	----|---⌫|-----⌫--⌫|
gran s profiez en	----⌫|------|-|
p uentueni r	-⌫---|----⌫|
aquibie nsi seitcontenir	|--|---⌫|||---|-------|
amorsfontlesuilainzgentis	----|---|--|------|-----|
et estreahenorenten tis	-|----||----|-----⌫--|
et les auaric io uslarges	-|--|------⌫--⌫-|-----|
et lescouars	-|--|-----|
ha r dizsanz ta rges	--⌫-⌫--|---|--⌫---|
amor sfont a prendrelefaiz	----⌫|---|-⌫------|-|---|
deto uzbiau sded uiz estrefaiz	-|--⌫-|----⌫|---⌫--|----|---|
etsifontlesdamessoumetre	-|-|---|--|----|-------|
etles amansenhautlie umetr e	-|--|----|-|---|---⌫|----⌫|
c ilestd oncfol quisaperech e	-⌫-|--|-⌫--|--|--||-------⌫|
damer en tempsdesa	|---|-|----|-|-|
querquantsaiennechefaillie	---|----|-|-------|------|
aen u istrouu eroit amie	|--⌫-⌫-|-----⌫----|---|
da mee rt otoi cou ch iee	--⌫-|-⌫-||--|---⌫--⌫--|
lorssoitsisagement	---|---|-|-------|
destre ne senes t re	-----|-|-----⌫-⌫-|
quipreste a touchier neuoille	--|-----||-------|-|-----|
tesdoizporrasen tel	--|---|-----|-|--|
lieutre re	---|---⌫-|
quemontlipleralorre pere	--|---|-|----|--|--⌫---|
pour les segreisd amors trouuer	---|--|------||----|------|
etplusdoucemen t	-|---|--------⌫|
es mo uue r	--⌫--⌫---⌫|
achilles l eff or s	-------||---⌫--⌫|
fai soient issi loreffor s	---⌫-----|---|--|-----⌫|
quantol or	----||-⌫-|
amiesgesoie nt	----|------⌫-|
gieu d amors	---||----|
lo r faisoient	--⌫|--------|
nehastemie ton	-|----|--|--|
m e satten t	-⌫-⌫|-----⌫|
quel esideliet	-|--⌫|||-----|
famesesioist	---||------|
grandement	---------|
qu ant nenlatouche	--⌫--|--|-|-----|
lo nguement	--⌫-------|
quant leslieuz sanzdesdire	----|--|----|---|------|
touc hie r desire	----⌫---⌫|-----|
touche l eset	-----|-⌫-|-|
naies uergoigne	|---|--------|
deb ienacomplirtabesoigne	-|-⌫--|-------|-|-------|
lorsuerra s sesyexlanguissan s	---|-----⌫|--|--|----------⌫|
etentrou blant resple ndissans	-|-|----⌫----|------⌫-------|
comsoleil quipartoutesclere	--|-----|--|--|---|------|
se utresplendi renl	--⌫-|---------⌫|-||
euec ler e	--|-⌫---⌫|
lorsuendront	---|-------|
douzco mplaignemens	---|--⌫-----------|
etgrac i ous murmuremens	-|----⌫-⌫--|----------|
p arolesau gieu conuenables	-⌫-----|-|---|----------|
et gemissem ensdelitta bles	-|--------⌫--|-------⌫---|
ensembl edoites tr e ac o mplie	-------⌫|---|--⌫--⌫|--⌫-⌫----|
etlat a mie	-|-||-⌫--|
lorsestplaindeli et	---|--|----|----⌫-|
ceme semb le	-|-|----⌫-|
quantlesyysontua incusensemble	----|--|-|---|--⌫----|-------|
setondeliet plustos t repere	-|--|-----|---|---⌫|-----|
damenepuetfere	---|-|---|---|
aten dredoizparcompaignie	----⌫--|---|--|---------|
quesemblable ment	--|---------⌫---|
cet eguisedoiz maintenir	---⌫|----|---|--------|
lesirl apuez tenir	----|-⌫|---|----|
et tu n asdout edesou ruienge	-|-||-|----⌫|-|---⌫------|
personedo nt blasme	------|--⌫-|-----|
uousuienge	---|-----|
mes q uantlademoree stdoutose	--|-⌫---|-|-----|-⌫-|------|
siloncdeduit conseiller nose	-|---|-----|---------||--|
t udoiz lorsesiol isgeron s	-⌫|---|---|-|---⌫-|-----⌫|
ferir cheualdeses pe r ons	----|-----|--|--⌫--⌫-⌫--|
l a f i nd ecesteouur eng ne	-⌫|-⌫-⌫|-⌫|----|----⌫---⌫-|
quiletrait ie d a mors ensengne	--|-|-----⌫-||-⌫---|-------|
parquoyles hommes sanz mespren d re	--|---|--|-----|---|-------⌫-⌫-|
puent a lo r damesentendre	----||--⌫|----|-------|
ore stilre sonque iee ncline	-|-⌫-|-|--⌫--|--|-|-⌫-----|
a donner as famesdoctri ne	|-----|-|----|------⌫-|
en quelmaniere elsse contiengen t	-|---|------|--|-|----------⌫|
s i queuersamor sne	-⌫|--|---|----⌫|-|
mesprengent	----------|
ierequerhumblem ent	-|-----|-------⌫--|
amadam e premierement	|-|---⌫|-----------|
tout esautrespuceles	----⌫-|-----|------|
adames etadamois eles	|----|-||------⌫---|
etaborio ises d eualue	-||-----⌫---|-⌫|----|
quenmoyrecommand antsal ue	-|-|--|---------⌫--|---⌫-|
se ilu eent	-|-|-⌫---|
queadrechier	--|--------|
quellesleu oillentadrechier	-|----|-|-⌫------|--------|
etes cusermenig nor ance	-|--⌫----|--|--⌫---⌫---|
querienay mi e	---|-||-|--⌫|
t el puissance	-⌫-|--------|
queie sachesitoutescrire	--|-|----|-|---|------|
aita s sezadire	--|-⌫-⌫--||---|
orentendezicinosdame s	-|-------|--|--|----⌫|
qu inosc orsauez etnosames	--⌫|--|-⌫--|---|-|--|---|
chescuneendroitsoiguar deprenge	-------|------|--|----⌫-|-----|
poueir leretienge	-----|-|-------|
quicestliure sauoirporra	--|---|----|-----|----|
iam essa nz	---⌫-|--⌫-|
amerne morra	---|-|----|
o r m etés donctoutes l oreil le	-⌫|-⌫----|---|-----||-----⌫-|
a sa uoircenqueie	|--⌫---|--|--|-|
conse il le	-----⌫--⌫-|
doiue nt par nature	-----⌫-|--|-----|
tou tesfa mesmetre lorcure	---⌫--|--⌫--|----|--|---|
quer famequi damer ne treite	---|---|--||---|-|-----|
ne puet auoirioieparfete	-|---|----|---|------|
desmariz nemeparlez	--|----|-|-|-----|
cen est nemes sochonne rie	-||--|-|--|--------⌫--|
lemari se ueut	-|---|-|---|
f erecreindre	-⌫--|-------|
ilas sezdu	-|--⌫--|-|
fame parm a r iageprise	---|--|-⌫-⌫-⌫---|----|
es t aus sicom me enpr is onmi se	--⌫|---⌫-|---⌫-|-|--⌫--⌫-|--⌫-|
q u eri l conuie ntquelsesoumete	-⌫-⌫-|-⌫|------⌫-|-|-|-|------|
atoutc en qu iaumari hete	|---|-⌫-|--⌫|-|---|---|
ciamal uoisin	-||--|-----|
qui f ra ncuouloirasa	--|-⌫--⌫-|------||-|
qu errien neuaut	--⌫-|---|-|---|
or ne auoir	-|-|----|
auersd efrancuouloir au oir	----|-⌫|----|------|--⌫--|
desama nsissine	--|---⌫-|---|-|
querlam itouziorssumelie	---||--⌫|---|---||-----|
dizsefforchede	--||-------|-|
quanque a s adameueu tplere	------||-⌫|---|---⌫|----|
le samiesson t honorees	--⌫|----|---⌫|-------|
et defincuer d ame sclam ees	-|-|--|---|-⌫---⌫|----⌫--|
icelles ont	------|--|
ioie etd edit	---|-|-⌫---|
lorgresa nzc ontredit	--|--|--⌫-|-⌫-------|
toutefame estdo nc mal ap ris e	----|---|--|--⌫-|--|--⌫---⌫|
quidamo rsseruirnes	--||---⌫-|-----|-||
quertantya	---|---|||
soulas etioie	-----|-|---|
cueruiuantqui l ecroie	---|-----|--|-⌫|----|
doncsidoittoutefa met rere	---|||---|----|--⌫-|-⌫---|
meill ourseru ise ne	-----⌫--|----⌫--|-|
pue t fere	---⌫|---|
quer amorparsaseignor ie	---|---|--|-|-------⌫-|
to utechoseuain te tmes trie	--⌫--|----|----⌫|-⌫|---⌫---|
tan t c o m uostre ienneche dure	---⌫|-⌫-⌫|-----|-------|---|
met ezenamer	---⌫-|-|---|
uostre cure	-----|---|
aiezen memor euiellesche	---|-|-----⌫|---------|
q uideiorenior uous mene che	-⌫-|-|--|-|--|---|----⌫--|
tantcomlaag eest conuen able	---|--||---⌫|--|------⌫---|
estle temps damer	--|-|----||---|
p rofetab le	-⌫-------⌫-|
quer letempspasse en lama niere	---|-|----|----|-|-|--⌫----|
