silzliuresquestcien	---|-----|-|--|-|-|
lantema nt	-------⌫-|
fitcil qui	--|--|--|
tardi uemefit ma nature	-----⌫-|-|--|-|-----|
tele laurai tant con iedure	---||----|---|--|-|---|
per t oinesui ie dongreuee	--|-⌫-|-|--|-|--|-----|
o rde moichemalheuree	-⌫--|-----|--------|
afoli e nest pais	|----⌫||--|---|
cohars quis epranta lardi	-----|--|-⌫|----|||---|
lifoiblesquilefortmenace	-|------|--|-|---|-----|
necoig no itle	-|----⌫--⌫-|-|
p oint dardie sce	-⌫---||-----⌫--|
ouc anc re ot fai t	-|-⌫---⌫-|-|---⌫|
s es tacion	|--⌫-----|
ora n treou	-|-⌫-⌫--|-|
po rl estoile dou ch ienemprandre	--⌫||------|--|--⌫--|--------|
en quifaitil sam ans ion	--⌫--|---|-|-|-⌫---⌫--|
l airamplede corrupcion	|--|----|-|---------|
later r eporchaloure ncendre	-|---⌫-⌫|--|------|-⌫------|
nepuetaprendre	-|---|-------|
tro pestgrantladisc rec ion	---⌫|--|----|-|----⌫---⌫--|
adonqueslesmoichesengendre	-------|--|------|-------|
etf ormepercorrupcio n	-|-⌫---|--|---------⌫|
propre mantgeneracions	------⌫---|----------|
se fait demesl eet defemale	-|---|-|----⌫|-|-|-----|
cesteperses perfec tions	----|--|--|------⌫----|
estrer enou ele	----|-⌫----⌫--|
gener alcionslargemant	-----⌫------|--------|
est apelee esautr e schoses	--|-----|-|----⌫-⌫|-----|
desquextiegnentli elemant	--|---|-------|-|------|
lessemanc esde danzlourclo ses	--|------⌫-|--⌫---|---|---⌫--|
ortienta perfaitemant b one	-|----||-----------|-⌫--|
etu er aigeneracion	-|-⌫--⌫-|---------|
ce l e qui	--⌫-⌫|--|
lo nondefil	-|--|-|--|
etsamblabl eco ndicion	-|--------⌫|--⌫------|
etsaiche squecorrupcions	-|------⌫|--|----------|
neest s anzaucunemati e re	-|--|-⌫--|-----|----⌫-⌫-|
laquelege neraci ons	-|----|--⌫------⌫--|
conuertite nautre m enier e	--------|-⌫|----|-⌫-----⌫|
qua ntquestperge neracions	---⌫---|--|--|--⌫--------|
toutacorrupcio nrep aire	---||---------⌫|---⌫---|
quant qu i acorrup cion	-----⌫--⌫||------⌫---|
generac ionssuetrefaire	-------⌫---|---|------|
luneoupo int d	|--|-|--⌫--||
unemeis me	--|----⌫-|
cequel autre deffaitrestore	-|--||----|------|------|
laloidenaturecommune	-|--|-|-----|------|
nesoffre s an zl	-|-----|-⌫--⌫||
autr esoitlune	----⌫|---||--|
quan tlunefau tlautr e	----⌫||--|---⌫||----⌫|
cestl o urnaturas ordenance	|--|-⌫-⌫-|------|--------|
nat ureunemocheotf orm ee	---⌫--|--|----|-|-⌫---⌫-|
en celui tensde	-|----|---|-|
porritur e	--------⌫|
o upalaisdoroil	-⌫|-----|-|--||
p orau o ir enqui	-⌫-|--⌫-⌫-|----|
sa pestu re	-|-----⌫-|
detropmaingierfu sttosta nflee	-|---|-------|--⌫-|---|-⌫----|
u aiporsoncorsde duire	-⌫-|--|--|---|--⌫----|
coi lli rfromant en unear ee	---⌫---⌫|------|-|--|--⌫-|
f remizperauenture	-⌫----|--|-------|
lamo iche grantnoisedem oinne	-|--⌫---|----|----|---⌫----|
perle cons ostmangié	----|--||--|------|
moutseuantedesa noblace	---|-|----|-|-|------|
dis t e leto z	---⌫|-⌫-|--⌫|
ioursploinn e	----|------⌫|
tufr umi z	-|--⌫---⌫|
uis ad ese npoin ne	--|--⌫-|-⌫|----⌫-|
meselesmedonent proesce	--|---|-|-----|------|
tueslenzet	-|-|---|-|
pl ainsde pares ce	--⌫---|-|-----⌫-|
d autrepa r tpouretey tatresce	|----|--⌫-⌫|-------||------|
d eda nz ta p e tite doier e	-⌫---⌫-|-|-⌫-⌫---|-----⌫|
d e sgranzpalaislarichesce	-⌫-⌫|----|-----|-|-------|
etdesg r anz p rinceslanoblesce	-|--|-⌫-⌫--|-⌫-----|-|-------|
meno rrit pernoblem enie re	-|--⌫---|--|----|-⌫----⌫-|
d auo inneetdefr omant	|---⌫---|-|-|--⌫----|
doint ierset te s	-----⌫---|-|--⌫|
tuamb lesc e nesai	-|---⌫--|-⌫|-|--|
perbarat etperg rantmalices	--|----|-|--|-⌫---|------|
i e croit uestou t	-⌫|---|-⌫|-|---⌫|
ploins de ui ces	-----|-|--⌫--|
porrizc onla ma uaisepome	-----|-⌫-|-|--⌫----|---|
desgenz dessaur ey	--|---|-------⌫-|
com paignie fui	---⌫------|--|
d epr ou dome	-⌫|--⌫--⌫---|
quarco nscien cetana urey	---|--⌫------⌫-|||--⌫---|
tafauseteyt ypocris i e	-|-------||-------⌫-⌫|
ter antt oute noire etmerrie	-|-⌫--|-⌫---|----|-|-----|
dex deta mauais tie se uange	--|-|-|------⌫--|-|----|
quil tefait iabo iure la f ang e	-|-|-|---|-|--⌫---|-|-⌫---⌫|
ilne me faitpointdecontraire	-|-|-|---|----|-|--------|
cometoiquinesezbien faire	---|--|--|-|--|---|----|
biensemo stre ma	---|-|--⌫---|-|
quartaubled eroima	---|-----|-⌫|--|||
ieboi o ufi nore s marey	-|--|-⌫|--⌫|-|-⌫-⌫----|
le bon uinet	-|--|--|-|
lebonclairey	-|--|------|
lo limonsucierdelaterre	-|----|-----|-|-|----|
t eco uientp ortonboiureque rre	-⌫|--⌫----|-⌫-|--|-----|---⌫--|
esduresperrier es	-|----|-------⌫-|
s iezes riche s chaieres	-⌫--|-|-----⌫|-------|
desgra nzrois ou	--|---⌫-|---|-|
iesui eschambr e s etes	-|--|-|------⌫-⌫|-|-|
roise st ensonp riue y	---|-⌫-|-|--|-⌫----⌫|
losoirqui le st	-|---|-|-⌫|-⌫-|
bi enabriuey	--⌫-|------|
salaroiinne riens	||-|------|----|
c onsoille	-⌫-------|
ie loursuist ouzi oursa loroille	-|---|---|-⌫--|-⌫---|||------|
iesai q ua nt quil fontet qu	-|--|-⌫--⌫--⌫-|-|---|-|-|
si l set ruffent ousilserie nt	|-⌫|-|-⌫------|-||-|-|---⌫-|
de plusmepuisieuan ter moche	-|---|-|---|-|---⌫--|----|
l aroiynnebaiseenla boi che	-⌫|------|----|-|-|---⌫--|
limoi c heensinclonc ten sfauele	-|---⌫-⌫-|-----|---|---⌫|-----|
lifremiz r eprant lanoue le	-|-----|-⌫-----|-|----⌫-|
p arolespoignan t c on urties	-⌫-----|-------⌫|-⌫-|-----|
ligie tem o ut	-|---⌫-|-⌫-⌫-|
en mac ause suisanz rio te	-|-|-⌫---|--|---|---⌫-|
engrantrepos	-|----|----|
s anznuledote	-⌫--|---|---|
dechoseiemepasse	-|----|-|-|----|
onquesde maingier	-----|-|-------|
t outeiour caietlaiuolates	-⌫---|---|--|-|--|------|
de repo usno ntpoint tesalat es	-|----⌫-||-⌫-|----|--|----⌫-|
enlacortneestqui	-|-|---|-|--|--|
tetiegne poramie	-|-----|--|---|
plusmefo ntmui	---|-|--⌫-|--|
gr ains deliesce	--⌫---|-|-----|
desgranzr ois lar ichesce	--|----|-⌫--|-|-⌫------|
moche demau aiseracine	----|-|---⌫---|-----|
tun euizmais quederapine	-|-⌫|--|---|--|-|-----|
enlarreci n en rober ie	-|-------⌫|-|-----⌫-|
est touz li deduitde ta uie	--|---|-|-----|-|-|--|
ie nesuideriens	-|-|--|-|----|
simple man tuis come hermites	------⌫---⌫|--|---|-------|
ies el onc ledroitdenature	-|-⌫--⌫--|-|----|-|-----|
m a p ourecheuanceprocure	-⌫|-⌫---|-------|------|
denaturecomande	-|-----|------|
quetoutebestesa	--|----|----|-|
porch acoitiea	-----⌫----|-||
mecheuisanzautruidomaige	-|----|---|-----|------|
d exdit a l ome	-⌫-|--|||--|
enl escripture	-||---------|
quedeson uiurene	--|-|--|----|-|
quarild oitchescun sapestur e	---|-|-⌫--|------|-|------⌫|
toutygaman t cure	---|------⌫|---|
lihons perdistce steche uance	-|---|------|--⌫--|---⌫----|
atensquil perdists	|---|-|-|------||
encorsil u oloitdeu amer	----||-|-⌫----|--|---|
li couenroit	-|--------|
pou cusume r	--|------⌫|
quardex d etoutlo p oruerroit	---|--|-⌫|---|-|-⌫--------|
ceque m eff aitlipe rdonroit	-|--|-⌫---⌫--|-|--⌫-------|
orn e lilaissentl i	-|-⌫|-|-------|-⌫|
desquexlimo nz estentoi c h iez	--|---|-|--⌫-|--|-----⌫-⌫-⌫--|
poure cors me trauaille	----|---|-|--------|
donques po rque rrema uit aille	------|--⌫|---⌫--|-|---⌫----|
dexm adoneylas api ence	--|||----|-|-⌫---⌫---|
per quoipuis aqu errecheua nce	--|---|---|---⌫---|-----⌫--|
iamass e enesteydefromant	|-----⌫|-|----|-|------|
r oiss ale m on enun sienliu re	-⌫--|-⌫---⌫-⌫-|-|-|---|---⌫-|
te distla m eni ere	-|---|-|-⌫---⌫--|
quit ensoi gne for me deuiure	--||-----⌫--|---⌫-|-|----|
uaidistilhonsplainsde	--|---|-|---|-----|-|
a fre mi saprantsapie nce	|---⌫-||-----|-----⌫--|
gu ie nun s ne l adresce	--⌫-|---⌫|-||------|
en moissonconquiertsa cheuance	-|------|--------|-|-------|
si qui l doutepou ladestre sce	-|-|-⌫|----|--|-|------⌫--|
iue r pour	---⌫|---|
sa p or ueance	-|-⌫--⌫-----|
quan t uient a utens	----⌫|----|-⌫|---|
quelacha lou r	--|-|---⌫---⌫|
esfro ma nz	-|---⌫--⌫-|
don e lo ur ual our	---⌫|--⌫-|---⌫--|
quilsontiaide	-|-|---|--|-|
tout mehurez	---|------|
etda nzlour es piz	-|--⌫-|---|--⌫--|
perle sblezuois	--|--⌫|---|---|
esbaloiant	---------|
caietlaitouzio urspor ueant	--|-|--|---|--⌫--|---⌫----|
liq uexespizest miezgrenez	-|-⌫--|----|--|---|-----|
i emonte s us	-⌫|----|-⌫-|
igne lemant	----⌫-----|
etfai s el oncmoniugemant	-|--|-⌫--⌫--|--|-------|
lomoillour graincho irde	-|-------|----|---⌫-|-|
l escorc e	|------⌫|
puisdesce n	---|-----⌫|
ettou te ma	-|---⌫-|-|
sormestpor porte ren ma i so n	------|--|-----⌫|-|--⌫-⌫--⌫|
ensincfais ieal a	-----|---|-||-⌫|
sebienlotruisaparoil lié	-|---|-|----|-------⌫---|
douprandr esuitouz c onsoillié	--|------⌫|--|---|-⌫---------|
at ensqu elonles fr omanz some	|-⌫--|--⌫|--|--|--⌫----|---|
ainz que ligrainssoientg ermey	----⌫--|-|-----|-----|-⌫----|
re cuiliedeblef moutgrant some	--⌫---|-|-|---|---|----|---|
selitens nestd ou froitarmez	-|-|---||--|-⌫-|----|----|
maistumoicheuis sanz mesure	---|-|-----|--|---|-----|
tuuiz conribautdetauerne	-|--|--|-----|-|------|
tunegardef oi	-|-|----|-⌫-|
ne dro it u re	-|---⌫--⌫-⌫-|
ne loisnedroizne te	-|---|-|----|-|-|
tant con ieme uis	---|--|-|-|--|
autrepartordemant	----|---|-------|
toutconc hies	---|----⌫---|
e ttoutord oies	-⌫|---|---⌫---|
e nquel que leuqu e tutoch o ies	-⌫|----⌫--|--|--⌫|-|----⌫-⌫--|
nat uretefitp uantbo che	---⌫--|-|--|-⌫---|--⌫--|
moch e toiform aporri ture	----⌫|--|----⌫|-----⌫---|
ordure c onc uittoiquitoch e	-----|-⌫---⌫--|--|--|----⌫|
toic hequito iconcui t or dure	----⌫-|--|--⌫|------⌫|--⌫---|
porritureformatoi m oche	--------|----|--|-⌫---|
b oi ch e puantfittoi nature	-⌫--⌫--⌫|----|--|--|-----|
iemeu is sanz	-|-|-⌫-|---|
fairedomaige	----|------|
tunuizchesc unpert onoutraige	-|---|-----⌫-|--|-⌫-|-------|
destinance sui examplaire	|--------|--|---------|
proudo mesdoit des plaire	------⌫--|---|---⌫-----|
t engo rseteztalech eri e	|----⌫-----|-|----⌫---⌫|
enm ai ng ierest toute ta	-|-⌫--⌫--⌫--|--|----|-|
deschoses uibienaq u ereus	--|-----|-|---|--⌫-⌫----|
maisq uedestolues	---|-⌫-|--|-----|
iemaingoi s porcequeieu iue	-|-------⌫|--|-|--|-|-⌫--|
tu uissoulpormai ngier	-|--|---|--|---⌫----|
nuns ne m ehet nefai t moleste	---|-|-⌫|--|-|---⌫|------|
tuesnonp ertout	-|-|--|-⌫-|---|
troblefeste	-----|----|
enper il demortq u iert on	-|---⌫-|-|---|-⌫-⌫--|-⌫-|
tu bo izlo bon u in	-|--⌫-|-|--|-⌫-|
quit enyure	--||-----|
enperilestta	-|----|--|-|
test e noi r e	----⌫|---⌫-⌫|
d esquachiersoua ntporto n boire	|---------|----⌫-|--|--⌫|----|
chescun s te fierche scunstechace	-------⌫|-|---|---⌫----|-|----|
l i fla ue as	-⌫|---⌫--⌫-|
toziourste	--|----|-|
siltatien tl a	|-||-----⌫|-⌫|
moitieenport e	-----|-|----⌫|
ou telaisset outepor	-|-|-----|-⌫---|--|
et setu puez en	-|-|-|---|-|
esteyuiure	----|----|
iuer ne tedeliure	---|-|-|------|
yue rsnulefoiznetesp arm e	---⌫-|---|---|-||---⌫---⌫|
ciltetostetlo corset lar me	--|-|---|-|-|---|-||--⌫-|
limochenaqui contredie	-|----|||-||--------|
re to rnesantout eesbai e	--⌫--⌫--||-|----⌫|-----⌫|
quiuu etoirbele parole	--|--⌫-|--|---|-----|
gardoit quil n ai t	------|-|-||--⌫|
lalangue fole	-|-----|---|
cardet elda r tcon	--|-|-⌫-|--⌫-⌫|--|
de taboche	-|-|----|
esc hapeuns aut res toncuertoche	---⌫---|--|---⌫--|--|---|----|
l a nguen aos	-⌫-⌫---|||-|
sele sesc uisse	|--||---⌫----|
quantele estdemauaiseguise	----|--|--|-|------|----|
paisfontn orriret co ncordance	---|---|-⌫----|-|--⌫--------|
languesperlanzperatamprance	------|------|--|---------|
a pe r temantetsenzescondre	-⌫--⌫-⌫-----|-|---|-------|
co uientuenir eniugemant	--⌫----|----|-|-------|
aloulauulpillerespondre	|--|-|-------|--------|
quilac uisema uai semant	--||--⌫---|--⌫---⌫-----|
li lousd elar r ecin	-|---|-⌫|---⌫-⌫---|
etditquebienlo uprouera	-|--|--|---|--⌫|------|
lautr erespont ensanou ele	|----⌫|------|-|-|---⌫--|
iaces e deuplait ne	-|-|-⌫|--|----|-|
car toute nate et t outebele	--|----|---|-|-⌫---|---|
dete lcrimeme mostr era	-|--⌫|----|-|-----⌫--|
lis ing esqu i	-|-⌫---⌫-|--⌫|
t ient cesteessise	-⌫---|----|-----|
conoit bien dou loulafointise	-----|---|--|--|-|-------|
lamau aisti ede soncor aige	-|---⌫-----⌫|-|--|---⌫---|
conoitau sambla ntd ouuisaige	-----|-|------⌫-|-⌫-|------|
lisi n ges persasapiance	-|--⌫-⌫--|--|-|-------|
suscepro noncesas entance	--|-|---⌫----|-|-⌫------|
ysegrins ditil	-------|--|-|
tuchalonges	-|--------|
ceque tonnestpartes manc onges	-|--|--||--|--|--|----⌫----|
iecon oismoutbientamalic e	-|---⌫--|---|---|-|-----⌫|
to uz iours	--⌫-|----|
usesdet on office	---|-|-⌫-|-----|
uu lpilletesdroi z tedeliure	--⌫-----|--|----⌫|-|------|
q uartusez plus loialmant u iure	-⌫--|-|--|---|--------|-⌫---|
nestcomparoisonde ta	|--|----------|-|-|
alou questploinsdefelonie	|--|-|--|-----|-|------|
a ifenice l plait	-⌫|---|--⌫|----|
chesc unss an uail aou lui	-----⌫--||-|--|-⌫|-|--|
decu er simple na ist	-|--⌫-|-----|--⌫--|
etdecuer doubl efa usetey	-|-|---|-----⌫|--⌫-----|
bienu oiralaperole	---|-⌫--||-|-----|
quant elepar t debone escole	----|--|---⌫|-|---|-----|
cilamandent grieflourpechiez	--|-------|----|---|------|
tensen son tentoichi ez	---|-|---⌫|--------⌫-|
c il ne setloiau l c uer	-⌫-|-|--|-----⌫|-⌫--|
quiest apris de deceuoir	--|--|----|-|-------|
la mostoil ec hace	-|-------⌫|-⌫---|
pertres per	--|---|--|
cheurons et per	-------|-|--|
liproud ons quien son lituoille	-|-----⌫--|--|-|--|--|-----|
lieuesus si prant	----|--|-|----|
l amostoile	-⌫|-------|
beaxs ired itel eormaspri se	---|-⌫--|-⌫-|--⌫|-||-|---⌫-|
fac oieton	---⌫--|--|
ta maisonestoitessigie	-|-----|-----|------|
deratesi el an aiuuidie	-|----|-⌫||-|-|-----|
or me doiz donreguierdo ner	-|-|---|--|---------⌫--|
non pais soulemant perdon er	--|---|--------|------⌫-|
per donsd oit	---⌫---|-⌫--|
estre demeffait	----|-|------|
tai essezdebienfait	|-|----|-|---|---|
t oute i our portoime trauaille	-⌫---|-⌫--|--|--|-|--------|
contr elesratesenbataille	-----⌫|--|----|-|-------|
ormefaidonquesores	-|-|--|------|---|
metraiencor	-----|----|
doutoutde lourmeuan gerai	--|---|-|---|-|---⌫----|
ettou ziourstamieserai	-|---⌫|----||---|----|
monprofitnen t endoies	--|-----||--⌫-⌫------|
en cequelesr atespr oig noies	-|-|--|--|-⌫---|--⌫---⌫----|
b on loier	-⌫-|----|
reguierdone	----------|
o nfaitdentencionbone	-⌫|---||--------|---|
ne do itd esseruir	-|--⌫-|-⌫-------|
cil qui neentent	--|--|-|-----|
por moi ne tespas mis e n	--|--|-||-|--|--|-⌫|
mais p ort eshenemisconquerr e	---|-⌫-|-⌫-|------|--------⌫|
portoi soulem ant lofacoies	--|--|------⌫--|-|------|
quarmoi neles	---|--|-|--|
ratesnamoies	----||-----|
etderiens nees	-|-|----|-|-|
monpainches cuniour chesc u ne ho re	--|---|----⌫--|---|-----⌫-⌫-|--⌫-|
porm oigreuersoloiesr ore	--|-⌫-|-----|------|-⌫--|
demonpainestucelegraisse	-|--|---|-|-|---|------|
que m esambléor lame	--||-|-----|-|-|-|
tuesmoutbienlamor t desse rte	-|-|---|---|-|---⌫|-----⌫--|
qua rtumesmama isondesert e	---⌫|-||-|-|--⌫---|------⌫|
s elon clentencioni u gier	-⌫----⌫||--------|-⌫-⌫---|
dois lofaitpesant ou	---|-|---|-----|-|
sortoutes choses en chesque hueure	--|-----|-----|-|------|-----|
uoi quelentenci onpuet	--|--||-------⌫-|---|
larainnequ iesttant	-|-----|--⌫|--|---|
contrelobueffutenuiouse	-----|-|---|--|-------|
f udan zsoitouteanflee	-⌫|---⌫|--|----|-----|
moutotmeniered espito use	---|-|------|-⌫------⌫--|
sesfizl id ist quar lesse ester	--|--|-⌫|-⌫--|---|----|----|
contr est e r	-----⌫---⌫-⌫|
nete pr andre	-|-|--⌫----|
abuefbele me re	|---|---|--⌫-|
iltocirrai	-||------|
demortamere	-|---|----|
larainne futpluscor rocie	-|-----|--|---|---⌫----|
p lusq uatrefoizaanflerpran t	-⌫--|-⌫|---|---||-----|----⌫|
sesfiz saigemantla	--|--|--------|-|
fo lcuerlareprant	--⌫|---|-|------|
mere faitilraisons	---|---|-|------|
ne pue z abuefgreuer	-|---⌫||---|-----|
ses cornes co ntretoise	|-|-----|--⌫---|--|-|
petitee stos t tepuet cre uer	-----|-⌫|---⌫|-|---|---⌫--|
c elelatiercefoizen ra i g e	-⌫--|-|-----|---|--⌫--⌫-⌫-⌫|
demaltalant	-|--|-----|
et deco rr ou z	-|-|--⌫--⌫--⌫|
tan tanfleporsongrantoutraig e	---⌫|----|--|--|----|-------⌫|
que liuantres liesttoz rouz	--|-|------|-|--|--|---|
foibles ne sedoitcomparer	------|-|-|---|-------|
au fortsenu uuetcomparer	-|---|-|||---|-------|
uer slogranttamproitlipeti t	---⌫|-|----|-------|-|----⌫|
de mal t alants on	-|--|-⌫----|-⌫-|
perl esboislilionsbaloie	--|-⌫-|---|-|----|-----|
quera ntq uelqueau enture	-----⌫-|-⌫-----|--⌫-----|
tandis qu ilpansoit desapr oie	------⌫-|-|------|-|-|--⌫--|
oupie lif istune pointur e	-|--|-|-⌫--|--|-------⌫|
uneespine mo ut san gremoie	--|-----|--⌫-||-|------|
despiez l iai	--|---|-⌫|-|
to st laleure	--⌫-||-----|
clochantsan uaip erm ila	-------||-|--|-⌫---⌫|-|
quar tr oplodestrointlaquessure	---|--⌫-|-|--------|-|-------|
ilfutchautau	-|--|----|-|
comance mant	-------⌫---|
dessouteemant	------------|
si queladolour	-|--|-|-----|
n e sen tit	-⌫|---⌫--|
tantquelipi ezlial entit	---|--|-|--⌫-|-|--⌫----|
adonc senti tlap lai e obscure	----|-----⌫|-|-⌫---⌫|------|
e ttointe debloiecolour	-⌫|-----|-|----|-----|
quarlifacoitl aporriture	---|-|-----|-⌫|--------|
quede danzeregrantdolour	--|--⌫---|--|----|-----|
fortuneq uibien setgreuer	------|-⌫-|---|--|-----|
etquantele uuet releuer	-|----|--|---|------|
otaparoilliemedicine	-|---------|-------|
pourtrairelespine	---|-----||-----|
ens onchemintrueuezzbergier	-|-⌫-|-----|-----|-|------|
quil uuil le chargier	-|-|----⌫-|-------|
desberbizunelan	--|-----|--||-|
uai t e ndr e	--|-⌫-⌫---⌫|
mai s lilions	---⌫|-|----|
nelau ost prandre	-|-|-⌫--|------|
son pielimostreetlidep rie	--|--|-|-----|-|-|---⌫--|
queli aidoit p e rcortoisie	--|-|-----|-⌫-⌫|--------|
uneaguille pris ta lapointe	--|------|----⌫||-|-----|
traitl espinede	----||-----|-|
sancentointe	---|-------|
desancpo rri et d	-|---|--⌫--|-||
autreor dure	----|--⌫---|
tantentraitfuerque bienlocure	---|-|----|---|--|---|-|---|
samblant li	-------|-|
mou tlipl ai se	---⌫|-|--⌫--⌫-|
li lions quarlamainli baise	-|----|---|-|---|-|----|
lamain totentort	-|---|--|-----|
a sabo iche	|-|--⌫---|
enbaisant doucemantlitoich e	-|------|--------|-|-----⌫|
li p astresdem oreen sonpart	-|-⌫-----|---⌫--|-|--|---|
etli lyo ns	-|-|---⌫-|
enson cuernotelasamblan ce	-|--|---|---|-|-------⌫-|
do u p as t our pergrantdeligence	--⌫|-⌫--⌫-⌫--|--|----|--------|
grace questb ienenracinee	----|-|--|-⌫--|--------|
nepuet estretostoblie e	-|---|----|---|-----⌫|
aprescelonctanslaiou a nte	----|-|---|---|-|---⌫-⌫--|
de rome en	-|---|-|
chaci ermit se ntente	-----⌫-|--||-⌫-----|
lolyon prir entpergrant gloire	-|---|----⌫--|--|----|-----|
si come conteli	-|---|----|-|
aromelié l	|---|---||
amenare nt	-------⌫-|
c aiuelo posarent	-⌫---|-|-------|
lai entre lionsdesaguise	--|----|----|-|-|----|
g ardo it lonporfairei ustise	-⌫----⌫-|--|--|----|-⌫-----|
l iro mai nse sl ions liuroient	-⌫|--⌫---⌫-|-⌫|-⌫---|--------|
mo utdecesque il c ondampnoie nt	--⌫-|-|--|--|-|-⌫----------⌫-|
pouiauoientdemorey	--||------|------|
quiln e fusse ntto st deuorey	-|-|-⌫|-----⌫-|--⌫-|------|
li pastresp ersonfait	-|------|-⌫-|--|---|
fustapres de	---|----|-|
celonguemant	-|---------|
laiou lilyons	--|-|-|----|
f ut misto znuzperiugemant	-⌫-|--|--⌫|--|--|-------|
si tostconuient au	-|---|--|----|-|
li lyons reconoit	-|----|-------|
silorecoillitdou cemant	-|-|--------|---⌫-----|
po rcequenunsmal	--⌫|-|--|---|--|
n apa soblieelagrace	||--⌫|-----|-|----|
fist tantbone mant	---|---|----⌫---|
a utreslyonsl embrace	-⌫----|----||------|
q uilne li f ac entnuisemant	-⌫|-|-|-|-⌫--⌫--|--------|
lilyonsperensoigneman t	-|----|--|-----------⌫|
que l our auoitdonénature	--|-⌫--|----|----|-----|
lola is sar entcortoisemant	-|--⌫--⌫---⌫--|-----------|
qu ene liont faite lai du re	--⌫|-|-|--|----|---⌫--⌫-|
landemainpordonerpa sture	|-------|--|----|--⌫----|
u ient esli onscil	-⌫---|-|--⌫--|--|
de cest enoue leau en tu re	-|----⌫|----⌫-|--⌫--⌫--⌫-|
mou tqu antleregar de	---⌫|--⌫--|-|-----⌫-|
esba iefustlacitey	----⌫-|---|-|----|
quan toien t cesteu erite y	----⌫|----⌫|----|-⌫-----⌫|
essamb lezsont	------⌫--|---|
detouterome	-|----|---|
lisenatouret liproudome	-|-------|-|-|-------|
lo pastourc omand entfuer traire	-|------|-⌫-----⌫--|---|-----|
porconoistredecel afaire	--|--------|-|--|-----|
lipa stres lachose recite	-|--⌫----|-|----|-----|
elefutmo utbienescoutee	--|--|--⌫-|---|-------|
lisenatou r lolaissentquite	-|-------⌫|-|-------|----|
ensinc f u sente nceacordee	-----|-⌫|-----⌫--|------|
lapar olees	-|---⌫--|-|
romai ns agr e e	-----⌫-|---⌫-⌫|
d i ent quelideugra nt merite	-⌫-⌫--|--|-|--|---⌫-|-----|
lo ur ont fait	--⌫-|--|---|
quantlourontm os tre e	----|---|--|-⌫--⌫---⌫|
auonsdessus	----|-----|
aulyon randents afranchise	-|---|------|-⌫|--------|
uaiens on bochaige	--|-|-⌫-|-------|
pors onbelseruise	--|-⌫-|--|------|
s enrepairee nson	|-|------|-⌫|--|
c ilexampl esn osdoneen tendre	-⌫-|------⌫-|-⌫-|---|--⌫-----|
q ue qui uuet gracer eceuoir	-⌫-|--|---|----|-⌫------|
en leu etenten s ledoit rend r e	-|--|-|-|---⌫|-|---|----⌫-⌫|
nonpaissonamideceuo ir	--|---|--|--|------⌫-|
li communsprouer beste mande	-|------|------⌫--|-|----|
bonteaut redema nde	----|---⌫-|----⌫--|
tandisq uelicheuaus mai niue	-------⌫-|-|------|---⌫---|
enu ne praerieherbue	-|-⌫-|------|-----|
li lyonsqu i	-|----|--⌫|
leitper natu re	|--|--|----⌫-|
et mesttote	-|---|---|
com antsepui ssemiezgarn ir	---⌫--|-|---⌫--|---|----⌫-|
de barat por	-|----|--|
lui eschurnir	--|--------|
bi enempl ir sapa nce	--⌫-|----⌫-|-|--⌫--|
enleudepidance	-|--|-|------|
uient pert ric herie	----|--|-⌫---⌫----|
lidit frere dex uos benie	-|--|----|--|--|----|
a mours macifaitauenir	-⌫----|||-|---|-----|
poruo scom p a ignietenir	--|--⌫|---⌫-⌫-⌫----|----|
fre reiailonctenpsdesirr ey	---⌫-||-|---|----|------⌫-|
poramourestre a uos serrey	--|----|----||--|-----|
uosso iez et	--|--⌫--|-|
maistre se tsires	-------⌫|-⌫|----|
i euoussera icompai nset mi res	-⌫|---|----⌫|------⌫-|-|--⌫--|
ie suisnobles phisicia ins	-|---|-----|--------⌫--|
etsuistresbonscy rorg iains	-|---|---|---|--⌫----⌫----|
ie sa i e t d e	-|--⌫|-⌫|-⌫|
pousetdo rines	---|-||-⌫----|
toutes med icines	-----|---⌫-----|
liche uausuoitla traison	-|---⌫---|---|-|------|
persen tfaitcontregarnison	--|---⌫|---|-------------|
siredist il uostre	---|---|-|-----|
decequeuosoi	-|-|--|--|-|
c onter ci	-⌫----|-|
uosmepresantez grant	--|-|--------|----|
ieferaiuostreuelont ey	-|----|-----|------⌫-|
uos tre uenuemoutgr antio ie	---⌫--|----|---|--⌫--|--⌫-|
mefaitquar m outladesirroie	-|---|---|-⌫--|-|--------|
naureyunees pine	-----|--|--⌫---|
gran tmestierai	----⌫|------|-|
demedicin e	-|-------⌫|
saibien quede	--|---|--|-|
saue zuostoutela	----⌫|--|----|-|
sunpo ud oign iez en moi entendre	|-|--⌫|-⌫----⌫--|-|--|-------|
ma santeymepoueztostrandre	-|-----|-|----|---|-----|
adoncuostr e	----|-----⌫|
plaisirfer ai	------|---⌫-|
uostr esersen t ouz leus	-----⌫|---|-|-⌫--|---|
li lyons ce qu ilquiertoutr oie	-|----|-|-|-|-----|----⌫--|
per telartcuidetrouerproie	--|--|--|----|-----|----|
fointe mantuerslopiese baisse	------⌫---|---|-|--|-|-----|
li ch euauslopiecorrel aisse	-|--⌫----|-|--|----|-⌫----|
enmilo fronc	---|-|----|
louai saeler	-|--|-----|
