mi sirenoble lilio ns	-|---|----|-|---⌫-|
que qui totc ouoite totpert	--|--|--|-⌫-----|--|---|
biendire enape rt	---|---|-|---⌫-|
auoirtotasa par t	----|--||-|---⌫|
qu idu totsedese ure et part	--⌫|-|--|-|----⌫--|-|---|
mo utest ho nizquitot couo it e	--⌫-|--|--⌫--|--|--|----⌫--⌫|
quisongaaing pert et semploite	--|--|-----|---|-||-------|
desquetu lesp oiss onssentis	-----|-|--|-⌫----⌫--|-----|
di moi por	-|--|--|
quoitu t ale ntis	---|-||---⌫---|
ou yy enretenisses	-|-|-|---------|
engi gnieztet enisse s	----⌫----|-|-⌫------⌫|
f us sestotcharg iez	-⌫--⌫--|--|-----⌫--|
mespor itant	--|--|----|
fusatargiez	--|-------|
quantdeuenirt alai s em ondre	----|-|----||---|-⌫--⌫----|
lors commenc aszzp oi ag rondre	---|-------⌫-|-|-⌫-||-⌫-----|
quan tiefuianuiezdatendre	----⌫|-|--|-----||------|
siteles sailesp oissonsprendre	-|-|---⌫--|--|-⌫------|------|
se malten uint	-|--||-|---|
por quo imenbla smes	--|---⌫||-|---⌫---|
onquesde s poisson sn emen iam es	-----|--⌫|-------⌫|-⌫|---⌫---⌫-|
re narz bie ntesez escuser	--⌫---|---⌫|-|--|------|
etgenzpa r	-|---|--⌫|
pa roleamu ser	--⌫---|---⌫--|
neporroiehuiauoirret raiz	-|------|--|----|---⌫---|
diz etf aiz	--|-|-⌫--|
toriorzmatenupor	------|||---|--|
le iorque meniasleb acon	-|--|--|-----|-|-⌫---|
qua nt ta l antauoie deboiure	---⌫-|--⌫-⌫--|----|-|-----|
lorsmeseus	---|-|---|
tubiendeco iure	-|---|----⌫---|
tu me deisque celerier	-|-|---|--|-------|
t auo ito nt fetd u n	|---⌫-|-⌫-|--||-⌫|
grant celier	----|-----|
gardees toient li	----|--⌫-----|-|
tot tens au	--|---|-|
soir e tauma tin	---|-⌫|-|--⌫--|
lamemen asdant fel cuiuer t	-|-|---⌫-|---|--|------⌫|
tumaschantédem eintfaus	-||-|------|-|-⌫---|---|
lamemenas tu commefol	-|-|----|-|----|--|
assez ioibatu lecol	----||-|---|-|--|
ce d istrenart orastuto rt	-|-⌫--|-----|-|-|-|--⌫-|
deces uibienenm on	-|-|-⌫-|---|-|-⌫-|
b e us quetu fus yures	-⌫-⌫-|--|-|--|----|
si te uantasquetu sanzli ures	-|-|-----|--|-|---|--⌫---|
chan teroies bien	----⌫------|---|
z zconduit	-⌫|------|
lors comm encas a sigr ant bruit	---|----⌫----||-|--⌫--|----|
que tuitc il	--|---|-⌫-|
delau ilei uindr ent	-|-|-⌫--||-----⌫--|
quiagr antmer ueille letind rent	--||--⌫--|---⌫-----|-|----⌫---|
q uen poi gesegemenfoi	-⌫|-|--|-|-|-||-|--|
quantioiuenirsi gra nthui	----||-|----|-|---⌫-|--|
ieme mistan tostaugrant	-|-|--|---⌫---|-|----|
quedemorir oi grant	--|-|----|-|----|
r etenuz i	-⌫-----||
fuia parpoi	--||--|--|
mesie menuingau mieus quepoi	--|-||-|---|-|----|--|--|
auoir nosd urententrepris	----|--|-⌫----|--------|
queilnosauoientsorpris	--|-|--|------|------|
bat u za moiqueti ent	---⌫-⌫||--|--|--⌫--|
qui mal chacemalliu ien t	--|--|----|--|-|-⌫---⌫|
renartr enart m out se zde	-----|-⌫----|-⌫--|--⌫|-|
tutiesgetez de meinte	-||--|----|-|-----|
renart fetildepute part	-----|--|-|-|---|---|
iametenist upor mus art	-|-|----|-⌫|--|---⌫--|
mefeisgrantcoron e	-|---|----|-----⌫|
d ia uec haudecomapersone	|--⌫-|-⌫----|--||------|
sigr antsiampleetsi	-|--⌫--|-|----|-|-|
l ate ste enoitoutepelee	-⌫|--⌫--|-|-|----|----|
nemerem estpoilsorlesioes	-|-|---⌫--|---|--|--|---|
tut enal as fesanttes	-||-|--⌫-|-----|--|
demoi deuoiesmoinefaire	-|--|------|----|----|
certe smouti esd ep ut	-----⌫|---|-⌫-|-⌫|-⌫-|
partoi estmachar afoibliee	--|--|--|-|---|--------|
a illor ste cruisifisfolie	-⌫-----⌫|-|---|-|--|----|
zztro ncon medonas dan guil le	-|---⌫---|-|----||--⌫----⌫-|
queuscon quisepartaguile	-|--|---⌫----|--|-|----|
pormoi f ereplusa lech ier	--|--|-⌫--|---|-⌫----⌫--|
enmein s leus masfettrebuchier	-|----⌫|---||-|--|---------|
iedemandaiou les trouas	-|-------|-|--|-----|
porm oi decoiure	--|-⌫-|-------|
cont rouas	----⌫----|
quech ar retiers	--|--⌫--⌫------|
tantenpor toient	---|-|---⌫-----|
quabienpet itne lesgetoient	-||---|---⌫-|-|--|-------|
apoin a uoient tro ptargié	|--||-⌫-----|---⌫|------|
ilse n alo ient	-||-⌫|---⌫---|
bi enchargié	--⌫-|-------|
desa nguillesi auoittant	--|-⌫-------||----|---|
souentsalo ient	-----||---⌫---|
arrestan t	--------⌫|
l ic he ual	-⌫|-⌫--⌫--|
qu itraientapoine	--⌫|------||----|
la charretequit r o p	-|-------|--|-⌫-⌫-⌫|
ert plai ne	--|----⌫-|
iedemandai parqu els enblanc e	-|-------|--|--⌫-|-⌫-------⌫|
i en porroie empl ir	|-|------|----⌫-|
deisquanttetrouerent	---|----|-|--------|
lorcharrete tegiteren t	--|-------|-|-------⌫|
etpr oierentqu assez meniasses	-|--⌫------|-|----|--------|
etqueleremenant gardasses	-|--|-|-------|--------|
enal asamonest ant	-|--⌫-|-------⌫--|
queie m en reuing	--|-||-|-----|
sen bl antdestremorz	---⌫--⌫--||----|---|
l afuige b atuz a ef forz	-⌫|--|-|-⌫---||--⌫---|
etdeleuiersetde bastons	-|-|------|-|-|------|
menduelttozlicrepons	|-|----|--|-|------|
nestmerue il lese iaianui	|--|-----⌫--⌫-|-||-|---|
quant de to iuengiez	----|-|--⌫|------|
enzzdes plus lons	-|-|--|---|---|
ior sdest e	---⌫||---⌫|
nauroiegepas raconté	|-----|-|--|-------|
les ma uxles	--|--⌫-|--|
ennuizqu em as fai z	-----|--⌫||-|---⌫|
mesorest tant	--|-|--|---|
me uzlipla iz	--⌫-|-|---⌫-|
qu alacort	-||-|---|
ensomesuenuz	-|----|----|
se adroitensomestenu z	-||----|-|----|----⌫|
de toiau raiencorueniance	-|--|--⌫--|----|-------|
bienenaien dieumafi ance	---|-|-|-|---|-|--⌫---|
ietai meneeloiau te	-||-|----|-----⌫-|
ettumoi grantdesloiaute	-|-|--|----|---------|
q uant mestor dras quequenus die	-⌫---||-----⌫---|-----|--|--|
petit saura sde	----|-----⌫|-|
re na r die	--⌫--⌫-⌫--|
renartrespontpar	-----|------|--|
sireysengrin uo s aueztort	---|-------|--⌫|---|---|
u os mencuseznesai de	-⌫-||------|-|--|-|
baron sonttuitqu oi	----|---|---|--⌫-|
dist renartpor	---|-----|--|
c eque diz trop	-⌫|--|--|---|
teliaquiuos tient por sot	--|||--|--|----|--|--|
uostre resonestdescouerte	-----|----|--|---------|
quemenconge a u ez diteaperte	--|-------|-⌫-⌫-|---|-----|
etcilquitropment samepert	-|--|--|---|---||--|---|
hai renartt rop aisouf ert	--|-----|-⌫--|-|----⌫--|
grantanui etto n desroi	----|---|-|--⌫|-----|
me ssegena i congie duroi	--⌫|-||-|-⌫|-----|-|--|
iaauras la bat ai llea l ueil	-|----|-|---⌫--⌫--|||---|
renartrespontri ens tantne uue il	-----|------|--⌫--|---|-|---⌫-|
porcombatr esongagetent	--|-------⌫|--|---|---|
ysengri netli rois leprent	-------⌫|-|-|---|-|----|
renartap re sle su entendi	-----|--⌫--⌫|-|--⌫-|----|
roisbien l en tendi	---|---||--⌫----|
biendi entli b aronsanz d oute	---|--⌫--|-|-⌫---|---|-⌫---|
quelaba tai llei afier t	--|-|--⌫---⌫--||-----⌫|
sornesetrenart de scremie	|-|-|--|-----||-⌫------|
bata illear ra mie	----⌫---|--⌫--⌫--|
li roi sd emandesesosta ges	-|---⌫|-⌫-----|--|----⌫--|
es toit cortoi set	--⌫---|------⌫|-|
anuld euls nesapardonez	|--||---||-||-------|
ysengr ina l es siensliurez	------⌫-||-⌫-|----|-----|
porluia fetbr u n lorsentre r	--|--||--|--⌫-⌫||--|-----⌫|
ty bert lic haz etchantecler	--⌫---|-|-⌫--|-|---------|
etlelieu r esire coart	-|-|----⌫-⌫|---|----|
ysengrinasa	-------||-|
renarteno td esmieus senez	-----|-|-⌫|-⌫-|----|----|
queil ot asapart tornez	--|-|-||-|---|-----|
bruiant et bauc entleseng ler	------|-|----⌫--|-|----⌫--|
qui l otfetosoi	-|-⌫|-|--||--|
assenble r	--------⌫|
etespinart le hericon	-|-------|-|------|
grin bertso ncousin	----⌫---|--⌫|-----|
cilfiren ta	--|-----⌫||
re nartsecors	--⌫---|-----|
m outen pesaa	-⌫--|-|---||
brun liors	---|-|--|
la bataill e ont ater minee	-|-------⌫|--|----⌫----|
io rzsanz dem oree	--⌫-|---|---⌫---|
grinbertacreantamout	-------|-------|---|
qui l nellairoi tpor	-|-⌫|-||------⌫|--|
qu il nef acerenartcombatre	-|-|-|-⌫--|-----|-------|
por l orgueilysen grinabatre	--||------|----⌫---|-----|
di testez empes	--⌫|----|-|--|
ostieus alezhuimes	------|---|-----|
libaronse sont	-|----|-|---|
depa r t i	----⌫-⌫-⌫|
mal ementontle	---⌫----|--|-|
champ parti	----|----|
d entreren art etysengrin	|----|---⌫--|-|-------|
q uemoutestoient mal	-⌫-|---|-------|--|
ertpasdetelp uissance	--|--|-|--|-⌫-------|
c omm eys engrinme ssa fia nce	-⌫---⌫|--⌫-----|--⌫|-|---⌫--|
auoitrenart enl escrem ie	----|-----|-||------⌫-|
porc eotla	--|-⌫|-|-|
bataill earr amie	-------⌫|---⌫---|
engi ngneusertmes	----⌫-----|--|--|
sey sengrin lifetefforz	-|-⌫------|-|--|-----|
delse se tcourir	-||-|--⌫|-----|
etbie n tapirp ordes cou rir	-|---⌫|----|-⌫-|---⌫---⌫--|
soncom paign onquan tilaa ise	--|---⌫-----⌫-|----⌫|-||-⌫--|
d eferechose quiliplaise	-⌫|---|----|--|-|-----|
tantsestentremisdel apre nd r e	---||--|-------|-||----⌫--⌫-⌫|
quenusnelenporroit reprendre	--|--|-||-|------|--------|
moutsotrenartdengins pluso rs	---|--|-----||-----|-----⌫-|
deluitedeiam bezdetors	-|----|-|---⌫--|-|---|
ainzqy sengri n ba illierle	----|-⌫------⌫|--⌫-----|-|
li briser aou bra z ou cuisse	-|------⌫|-|---⌫|-|-----|
y sengrinen tent	-⌫------|--⌫---|
empe ssetientasonostel	-|--⌫|-|----||--|----|
q u eeldroit	-⌫-⌫|-|----|
que ilasefie	--|-||-|--|
enso n cuer	-|--⌫|---|
a spoinzbaillie r	-⌫|----|-------⌫|
forme ntlequidetraueil lier	-----⌫-|-|----|-------⌫---|
tantdesirequ as	---|-----|-|-|
po in zl e t iegne	--⌫--⌫|-⌫|-⌫----|
qua ten s iuiegne	-||---⌫||-----|
moutl idesples tens on corage	---|-⌫|-------⌫|-|-⌫-|-----|
etianequideueo irleure	-|-|-|----|---⌫-||---|
queele soittan t	--|--|---|---⌫|
li demeure	-|------|
re nar te stoit enmoutgrantpaine	--⌫---⌫|-⌫----|-|---|----|----|
da rmesquerre	|-⌫---|-----|
enlas emaine	-|-|-⌫-----|
etysengrinto t ense ment	-|-------|--⌫|----⌫---|
por chacearmes du remen t	---⌫----|----|--⌫-----⌫|
porchaz est	------|--|
del haster	--|-----|
eten poinede laporter	-|-|----|-||------|
coteaquiseet	---||----|-|
escue t bone	---|-⌫|---|
afeut reure	-----⌫----|
chauces etiambieres bienfetes	------|-|--------|---|----|
queaent orses	--||---⌫-|--|
iambestrete s	-----|-----⌫|
s iestblan strestoz	-⌫|--|----⌫|------|
laco teuermeilled esouz	-|--⌫-|--------|-⌫----|
b astonotdene fflierbienfet	-⌫----|-|-|--⌫-----|---|--|
bienfuarmezauiordel plet	---|-|----|-|--|--|---|
renart quiam einzes ch arniz	-----|--||-⌫---|--⌫--⌫----|
nerefumiedesg a r n iz	-|---|--|----⌫-⌫-⌫-⌫-|
ass ez auo i t debonsa mis	---⌫-|---⌫-⌫|-|---|-⌫--|
quide lui seson tentremi s	--|-|--|-|---⌫|-------⌫|
escubien feta samaniere	---|---|--||-|------|
acomman de ́ que l enliq uiere	|------⌫--⌫|--|-⌫-|-|-⌫----|
zzenont quis qui	-|-|--|---|--|
futotiaun es	-|--|----⌫-|
ens acotenotpasyyaune s	-|-⌫|---||-|--|-|----⌫|
mout est oi tbone et aaisee	---|---⌫--⌫|---|-|-----|
notchauce nef us tgamboisee	|-|-----|-|-⌫--⌫|--------|
zz bastonot dune	-|-----|-||--|
aube espi n e	---|----⌫-⌫|
q u i moutestoitbonenp leuine	-⌫-⌫|---|-----|--|-|-⌫-----|
enlui fu moutbien emploiez	-|--|-|---|---|-------|
decorroiesfubienlie z	-|-------|-|---|---⌫|
dechiefen autre	-|----|-|----|
bienen tret	---|-|---|
ainsiarm e z alacortue t	----|---⌫-⌫||-|---|--⌫|
et ysengrin s enesttornez	-|-------||-|--|-----|
quimoutestoitbien atornez	--|---|-----|---|------|
e steu o sala cort	-⌫--|-⌫-⌫||-|---|
etysengrinde lau tre part	-|-------|-||--⌫--|---|
e t libaronsonttuitensenble	-⌫|-|----|---|---|-------|
cha s cunaditceque li	---⌫-⌫--||--|-|--|-|
renart nefu	-----|-|-|
pas esperduz	--|-------|
haut furoongniezet	---|-|--------|-|
etcol et barbe	-|--|-|----|
sefi strere	-|--⌫-|---|
porledespitde soncompere	--|-|-----|-|--|------|
yseng rin l ote n grant	-----⌫--||-|-⌫|----|
forceprisa	----|----|
de ignaoste rcheueil	--⌫---|----⌫|------|
iaf ussentass e nbléson uueil	-|-⌫-----|---⌫-⌫----|--|----|
mesainzqueilletiegne	--|------|-|-|-----|
ser aplusmaladesq ue	---⌫|---|------|-⌫-|
moutd es irrequ	---|-⌫--⌫---|-|
auspoinzle tiegne	--|----|-|-----|
ianequidequat en s i	-|-|----|-||-⌫--⌫||
herm elinefue nfreor	----⌫----|-|-⌫|----|
por dantrenartet empoor	--|---|-----|-|-|---|
etpe rcehaieetmal ebranche	-|--⌫------|-|---⌫-------|
estoitla dame	-----|-|---|
etrenardiau s	-|---------⌫|
tui tlit r oi fr ere	---⌫|-|-⌫-⌫-|--⌫--|
faisoientgra ntduelp orlormere	--------|---⌫-|---|-⌫-|--|---|
auec lormereenlatesniere	---|--|---|-|-|-------|
p o rrenart fonta	-⌫-⌫|-----|---||
di eu proi ere	--⌫-|----⌫--|
chascunleproi e e tao re	------|-|----⌫|-⌫|--⌫-|
queil legueris seetsecore	--|-|-|------⌫-|-|-----|
des onanemi lescremisse	-|-⌫-|----||---------|
q enla ba tailleneperisse	|-|-|--⌫-----|-|------|
ainsisi fi lenlormeson	----|-|--⌫|-|--|----|
fontchascu nadi euoroison	---|------⌫||--⌫-|------|
porlorperequi	--|--|---|--|
t antles a ime	-⌫--|--|-⌫--|
quantilles	----|-|--|
uoitbiaux fuizlesclaime	---|----|---|--|-----|
hersenzp rie porson se ignor	------|-⌫--|--|--|--⌫----|
quedieuslifacetel anor	--|----|-|---|--|---|
queiade l a bataillenisse	--|-|-|-⌫|-------||---|
e tquerenartuaintrelepuiss e	-⌫|--|-----|------|-|-----⌫|
quemoutso ef	--|---|--⌫-|
lifi st lachos e	-|--⌫-|-|----⌫|
en latesni ereouertencl ose	-|-|-----⌫--|-|--|----⌫--|
iaparluinenissistcompl ain te	-|--|--||-|-----|-----⌫---⌫-|
mes ysengrinquil	--|-------|--||
enfist co mplainte dont li poise	-|---|--⌫-------|---|-|----|
moutaenluibeleborioi se	---||-|--|---|------⌫-|
tuitsonta cortet	---|---||---|-|
poureet riche	----|-|----|
ysengrinmetraenlabriche	-------|----|-|-|-----|
r ena rt silpuet en	-⌫---⌫-||-|---|-|
la bata ille	-|----⌫---|
niua u dra	||--⌫-⌫--|
s on engin	-⌫-|----|
roisuitsagent menue	---|--|-|---|----|
laoulab at aille ertte nue	-|-|-|-⌫--⌫----|--|--⌫--|
briche merfistauantue nir	------⌫--|---|----|--⌫--|
poracor de retpor teni r	--|----⌫--⌫|-|--|----⌫|
lei ug ement de la b ataille	-|-⌫--⌫----|-|-|-⌫------|
et prieque	-|---|--|
parledroit	--|-|----|
b rich em erestuenuzauant	-⌫----⌫--⌫-|--|----|----|
etditqu il ferasonc ommant	-|--|-|-|---|--|-⌫-----|
atret yy des ba ron s	|---|-|--|--⌫---⌫|
quifurent desplusha uz re nons	--|-----|--|---|--⌫-|--⌫---|
l ilieparz ifulepremie r s	-⌫|------||-|-|------⌫-⌫|
quimouter t corageuset fi ers	--|---|--⌫|-------|-|--⌫--|
etbau cenz	-|---⌫---|
quiot legrosco rs	--|-|-|---|--⌫-|
etmisire bruiant	-|-|---|------|
cistyy sont auantuenu	---|-|---|----|---|
tou z l esp lussa gessonttenu	---⌫|-⌫-|-⌫--|--⌫--|---|---|
qu efussent	--⌫|------|
ce l ioren lap lace	--⌫|--|-|-|-⌫---|
ni aceluiquib ien	|||----|--|-⌫--|
zz grantiugem entmainte nir	-|----|-----⌫--|------⌫--|
etun ecausesouste nir	-|--⌫|----|------⌫--|
cistyy uont	---|-|---|
azzconseil	|-|------|
dist brichem ermout me merueil	---|-------⌫-|---|-|------|
sere n artosast c e pense r	-|--⌫-⌫--|----|-⌫|-----⌫|
dontno sl ooumesacuse r	---|--⌫||-----|-----⌫|
a r oonelettybert	|-⌫----|-|-----|
etabru nl oursqu imout nos	-||---⌫||---|--⌫|---|--|
desautresclamors	--|-----|------|
i atant es	||----⌫-|
que ienesaia dire	--|-|-|--||---|
pinte seplain t et tiecelin	----|-|-----⌫|-|-------|
toutaprisso rlu iysengrin	---||---|--⌫|--⌫|-------|
portresto z a baillié son gage	--|------⌫||-------|--|---|
etsie na liurez	-|-|-⌫||-----|
quei l hui connois tre	--|-⌫|--|-------⌫--|
seilu i ene ntenmila place	-|-|-⌫-⌫---⌫-|---|-|----|
seigno rs qu ipoist	------⌫-|--⌫|----|
lemal os tere t ab essier	-|--|--⌫--|-⌫|--⌫-----|
cefustbonsens cemesta uis	-|---|--|---|-||--|-⌫--|
ditque u osertu is	--|--|-⌫-|--|-⌫-|
b aucent respo ntbien	-⌫-----|-----⌫-|---|
tuitlotr oions sanz	---||---⌫----|---|
contr edi t	-----⌫---⌫|
tuity y e n sontuenuauroi	---|-⌫|-⌫|---|---|-|--|
et sili ont dite nreq oi	-|-|-|--|--|-⌫|---⌫-|
sireuostre	---|-----|
baronloassent	----|-------|
quecil c h ampio nsacord assent	--|--|-⌫-⌫-----⌫||-----⌫-----|
o nnor ett aquerele	-⌫---|-|-⌫|------|
m outtrouisson la pesabele	-⌫--|--------|-|--||---|
moutplestau	---|----|-|
roicequilont dit	--|-|-|-|--|--|
ia par luinen seront	-|--|--||-|-----|
seign ors fetil oremparlez	-----⌫--|--|-|-|-|-----|
ysengrinpre m ie rsapelez	-------|---⌫-⌫--⌫-|-----|
duto tlaq uerele	-|--⌫|-|-⌫-----|
aluiti ent	|--|--⌫--|
amoinient n en ap artie n t	|--|----||-|--⌫-----⌫-⌫|
fors se ulement du	---|--⌫------|-|
droit tenir	----|----|
delsorplus uoslaiscouenir	--|------|--|---|------|
moine poiseseils	--|-|----|-|-||
neuueil que por mois edesc orde n t	-|----|--|--|--|-⌫|----⌫----⌫-⌫|
m ieusuueillapes mieu sque la	-⌫---|----|-|--|----⌫|--|-|
d euerseullapoe z enquer re	-⌫----|--|-|---⌫|------⌫-|
quan tb rich em erl aentendu	----⌫|-⌫----⌫--⌫-|||------|
tornez s en estcolestendu	-----||-|--|--|------|
aysengrin disten l oreille	|-------|---|-||------|
quel i roisforment s emerueille	--|-⌫|---|------|-⌫|--------|
quennepuetpes	-|-|-|---|--|
entre uos metre	----|--|----|
ne pordonernepor pro m etre	-|--|----|-|--|---⌫-⌫---|
feteslebi e nprenez	----|-|--⌫-⌫|-----|
querenart porla forfeture	--|-----|--|-|--------|
delacla mor	-|-|---⌫--|
q uauezdreci e	-⌫|---|-----⌫|
deuofamequ aes for ci e	-|-|---|-||--⌫---⌫--⌫|
distysengrinne nparlez	---|-------||-⌫|-----|
ieuueilbatai l leisnelepas	-|----|-----⌫-⌫-|--------|
certesianen fer eacord e	-----|-||-|---⌫|-----⌫|
que autref oizne s	--|----|-⌫--|-||
a fer ehontea soncompere	|---⌫|----||--|------|
nefoutreiames	-|-----|----|
sa c ommere	-|-⌫-----|
ie uerrai bienq uiauradroit	-|-----|---|-⌫-|---|----|
bricheme r distqu eil u odroit	--------⌫|---|--⌫|-|-⌫-----|
quelachosefustsimenee	--|-|----|---|-|----|
siduit e etsiator nee	-|----⌫|-|-|----⌫--|
que anduif u ssentbonami	--|----|-⌫-⌫----|--|--|
etquec has cunso n droi teust	-|--|-⌫---⌫--|--⌫|----⌫|---|
torne ́nel ifust	-----⌫|-|-⌫|---|
disty sengrin	---|-⌫------|
ia dieus ne place	-|----|-|----|
que ie pes n acordanceenface	--|-|--||--------|-|---|
tantque ieuoi eleplus fort	------|-|---⌫|-|---|---|
et quesaur e	-|--|----⌫|
quia urator t	--|-⌫--|---⌫|
bienmeporrate nir poriure	---|-|----|--⌫--|--|---|
laisalerdeliure	---|---|------|
dite leets on barnage	---|-|-|-⌫-|------|
quebien sachentet folet	--|---|------|-|--|-|
quepor noi entla pesrequiert	--|--|---⌫--|-|--|-------|
iacedistaufere niert	-|-|---|-|---||---|
chasc undirace	-----⌫-|---|-|
quiluoudra	-|-|-----|
uer ronqui uai ntera	---⌫--|--|---⌫----|
roiqueadroittiegne	--|--||----|-----|
labataillecomment quil	-|-------|-------⌫-|-|
quantbrichemerotenla f in	----|--------|-|-|-|-⌫-|
n etrouerau ersysengrin	-⌫|------|-⌫--|-------|
aur oi a ditel anouele	-|-⌫-||---|-⌫|-----|
irelirenouele	--|-|-------|
siref eti lamoientent	---|-⌫-|-⌫||--|-----|
ysengr in la b ataille atent	------⌫-|-|-⌫------|----|
ilnacure de faire	-|||---|-|----|
et ditquil nenferaiamais	-|--|-|-||-|---|-----|
nule a c orde seelcham pnon	---|-⌫-⌫---|-|-|----⌫|--|
qu elen letendroitabricon	--⌫|--|-|-------||-----|
orest liplezmoutempiriez	-|--|-|---|---|-------|
quelirois sis estcor rouciez	--|-|---|-||--|---⌫------|
de lorgueilq	-||------||
yseng rinadit	-----⌫--||--|
quantde pesferes escondit	----|-|--|---||-------|
distbrichemerse uos	---|--------|-|--|
droitferesicomuoss oulez	----|---|-|--|--|-⌫----|
ets itenez ladroi teuo ie	-|-⌫|----|-|----⌫-|--⌫-|
li mielzqueieiuo ie	-|----|--|-||--⌫-|
qa mbedeus	|-⌫------|
lesmetez la	--|----|-|
penstchasc un degardersoncor s	----|-----⌫-|-|-----|--|---⌫|
quan til se r ontenmila place	----⌫|-|--⌫-⌫--|---|-|----|
qui mieus por raferesiface	--|----|---⌫-|---|-|---|
c editlirois p arsain t ric h ier	-⌫|--|-|---|-⌫-|----⌫|---⌫-⌫--|
por uoirleuos p uis	--|---|-|--|-⌫--|
af ic hier	--⌫--⌫---|
n en prendroie	|-|--------|
pastot lauoir	--|--||----|
quele plusri ch e puisse auoir	--|-|---|--⌫--⌫|-----|----|
queiel abataillene naie	--|-|-⌫|-------||-⌫|--|
nesaiqui roie	-|--|-|-⌫---|
elc hamplesmeton m aintenant	-|-⌫---|--|----|-⌫--------|
quantlaparoleont	----|-|-----|--|
lab atailleert san z at e ndue	-|-⌫------|--|---⌫|--⌫-⌫---|
sileso ntmisel	-|--|-⌫-|--|-|
champen senble	----|--⌫-----|
lipl ushard izde poortrenb le	-|--⌫-|----⌫-|-|---|-----⌫-|
luntenoitlautrepar la main	|-|-----||----|--|-|---|
ap elezzchapelain	--⌫--|-|--------|
mon seignorbelinlemouton	--|------|----|-|-----|
qui s agesest pas n eldou ton	--|-⌫---|--|--|-⌫||---⌫--|
cilaporte le s ain tuaire	--|-----|-|-⌫---⌫-----|
susquoidurentserementfa i re	--|---|-----|-------|--⌫-⌫-|
li rois a fetcriersonb an	-|---||--|----|--|-⌫-|
quilniaitnul	-|-|||--|--|
de tel b oban	-|--|-⌫---|
q uiface noise	-⌫-|---|----|
co mme preudomesec ontiegne	--⌫--|-------|-|-⌫-------|
moutfu liroisde	---|-|-|---|-|
g r a nt iustise	-⌫-⌫-⌫-|------|
duserementfetladeu ise	-|-------|--|-|---⌫--|
dantbrich emeret	---|-----⌫---|-|
brun li ours	---|-|---|
quelentenoitas	--|--|-----|-|
yyme illors	-|--⌫-----|
deuiser entle	-------⌫--|-|
oiant tr estozapertement	----|--⌫----|---------|
seignorsfet ilor entend ez	-------|--|-|-|------⌫-|
seie di malsi	-|-|-|--|-|
renart iurrapremierement	-----|----|-----------|
e tmetra en son	-⌫|----|-|--|
quaysen gri nnenato rtfet	-||----⌫---⌫|--||--⌫-|--|
n a dant tybertlechat	||---|-----|-|---|
na tiecelinnal ames enge	||-------|||-⌫|---⌫---|
naroonelcommen tqu	||-----|------⌫--|
n e abruiant n a	-⌫||------|||
chantecler	---------|
escouintiu rer	-------|--⌫--|
long uem entfua oro is on	----⌫---⌫--|-||---⌫--⌫-|
etfu engrant affliction	-|-|-|----|---------|
re nartfait e sle se r eme nt	--⌫---|----⌫-⌫|-|--⌫-⌫---⌫-|
cioiantnosapertement	-|----|--|---------|
r enartsage noille en	-⌫----||---⌫-----|-|
m out sapa reille etse rebrace	-⌫--||---⌫-----|-|-|------|
desus lessainze stentsam ain	----|--|----|-⌫----|-|-⌫--|
iuréparsa intgermain	----|--|--⌫--|------|
etquepar les	-|--|--|--|
sainz queillue c uoit	----|--|-----⌫|---|
que de ceplet nu l tort	--|-|-|---|--⌫|---|
l essainzbesaet puis se li e ue	-⌫-|----|---|-|---|-|--⌫-⌫-|
a ysen gri n	|----⌫---⌫|
durementgrieue	-------|-----|
q ue il fetacroireporuoir	-⌫-|-|--|------|--|---|
lamencongeporle	-|-------|--|-|
a ta nt ser estagenoulzmis	-⌫--⌫-|-|-⌫--||------|--|
d i st br ichemerb iaus doza mis	-⌫-⌫-|--⌫------|-⌫---|--|-⌫--|
uosiurre zque renartest	--|-----⌫|--|-----|--|
duserementetuosloiaux	-|-------|-|--|-----|
distysengr iniele	---|------⌫-|-|-|
lessainzbese silieu e atan t	--|----|---|-|----⌫|----⌫|
pu issestleuezet si	--⌫-||--|----|-|-|
enmilechamp soro isonfet	---|-|----||---⌫---|--|
et prie di euquitotsor m ont e	-|---|--⌫-|--|--|---⌫-⌫---⌫|
queillila it uengier	--|-|-|--⌫-|------|
derenar tquiliafetlait	-|-----⌫|--|-||--|---|
quea upartirl onoren ait	--|-⌫|-----||---|-|--|
ba iselaterr esis edrece	--⌫--|-|----⌫|-|-⌫|----|
sonb astonatireeta faite	--|-⌫----|----|-|-⌫----|
et mou t s ouentlere tornoie	-|---⌫|-⌫----|-|--⌫------|
ens esdoi zlaco r roie ploie	-|-⌫-|---⌫|-|--⌫-⌫---|----|
s onescuprentetp uis lemoille	-⌫-|---|----|-|-⌫--|-|-----|
enplusorsleussonbaston soille	-|------|---|--|-----|-----|
totentorencline	--|----|------|
a l agen t	|-⌫|---⌫|
mout sedemoinesa gement	---|-|------|--⌫-----|
arenartdi st	|-----|--⌫-|
queilse gart	--|-|-|---|
quen emete leior	--|-⌫|---|-|--|
quantrenar tducue r s oupire	----|-----⌫|-|---⌫|-⌫-----|
to tquoise ti ntn	--⌫|---|-|--⌫-||
osemot di re	--|--|--⌫-|
renart letr es en sen fance	-----|----⌫-|-||--⌫----|
siotoi denigromance	-|-|-|-|---------|
