di reledoit	--⌫-|-|---|
dentoura us lepaispra é	|-----|-⌫-|-|---|---⌫-|
ont et ded ens lefubo uté	--|-|---⌫--|-|-|--⌫---|
etlesbosabatus etars	-|--|--|-----|-|--|
toutcheafait fai re re nar s	---|--||---|---⌫-|--⌫---⌫|
pou rcheconlepuist	---⌫|--||-|-|----|
mainsgreuer	----|-----|
neq uenusni	-|-⌫-|--|||
truistquefourrer	-----|--|------|
de la entour li pa i zant	-|-|-----|-|--⌫-⌫---|
u iene ntau ro i noblo npoignant	-⌫----⌫-|-|--⌫|-----⌫|-------|
etplaignan tque	-|--------⌫|--|
renars leurtaut	-----|---|---|
leleurle u r maison que p isu aut	-|---|--⌫-⌫|-----|--|-⌫-|-⌫--|
le ur a arsesett outreu bé	--⌫-||----|-|-⌫--|---⌫--|
quant liroislot sasouspiré	----|-|---||-|||--------|
d egr ant air de main tena nt	-⌫|--⌫--|--|-|----⌫----⌫-|
con mandeasonnerlolifant	---⌫----||-----||------|
et adrechiersonestandart	-||-------|--|--------|
caostueut aler	||--|---|---|
seur re nart	---|--⌫---|
etmaupe tr uistoutessilier	-|-----⌫--⌫--|---|-------|
et ysengrin s	-|-------||
ilpu e tuengier	-|--⌫-⌫|------|
dontfistons onconmandemen t	---|---|-|-⌫-|-----------⌫|
lolifanssonnahautement	|------|----|--------|
chiexqu i aco urt	----|--⌫||--⌫--|
estoitesliex	-----|-----|
dont sarm ere nttoutquemiexmiex	---||---⌫---⌫-|---|--|---|---|
leurc ar in e tleur sonmie rsfont	---|-⌫--⌫-|-⌫|---|------⌫-|---|
deu antaler etapr esuont	---⌫--|---|-|---⌫-|---|
banieredespl oieauuent	------|-----⌫--|-|---|
uersmaupetru isc onmunement	---|--------⌫-|-⌫---------|
o tl i rois c onmandé	-⌫|-⌫|---|-⌫-------|
tantontle droitchemin	---|--|-|----|-----|
quep r es demau petruis	--|-⌫-⌫-|-|---⌫------|
trouu ée tpuisde	-----⌫-|-⌫|---|-|
leurgentont	---|---|--|
prispo ur lec hem bel premiers	---|--⌫-|-|-⌫---⌫--|-------|
dontfontleur	---|---|---|
son miersauanttr aire	---⌫----|----|--⌫---|
et leurcaroipuisuonte nt en dre	-|---|----|---|---|-⌫--⌫--⌫--|
astresetasaucubes tendre	-|---|-|-|------|-----|
le tente leroiont te ndue	-|----|-|--|--|--⌫---|
pre ebienherbue	---⌫|---|-----|
entourletente roi	-----|-|----|--|
tenden tmai n t richepaueillon	------⌫|---⌫-⌫|----|--------|
tout entour ausf is tlesfosses	---|-----|--|-⌫--⌫|--|-----|
faire liroisparfons	----|-|---|------|
et lescars en tour arenger	-|--|---|--⌫---|------|
onnespuistadamagier	-||-|----|--------|
se gentpuis fist enhaut	-|---|---|---|-|---|
sonnerun c or	-----|-|-⌫-|
cestcalassaut	|--||||-----|
uois entt out	----⌫--|-⌫--|
mainte conmunal	-----|-------|
i uon t a pie etache ual	|---⌫||--|-||---⌫--|
lanchenta s	-------|-⌫|
etchil leurlanche ntgrans quarriaus	-|---|---|------⌫-|----|--------|
darsoi le ca utetplonc	---|--⌫-|--⌫-|-|----|
e tgauelos etfuardant	-⌫|------|-|-|-----|
chil leu rregietent	---|---⌫|--------|
austr aient darsturcois	--|--⌫----||--|------|
amont etdel eurarbal estre s	----|-|-|-⌫--|-----⌫-----⌫|
cascrestiau s noseliplus	|-|--------⌫||--|-|---|
demourer rois nobles unpont	-------|---|-----|-|---|
afaitfaireoup ueentd e front	|---|----|-|-⌫----|-⌫|----|
a leryyc heualier	-⌫--|-|-⌫-------|
lirois lau oitt outfaitcuirier	-|---||--⌫--|-⌫--|---|------|
decuirbouliunetraitie	-|---|----|--|------|
o t bie n de	-⌫|---⌫|-|
l ong liro iss escr ie	-⌫--|-|--⌫-||----⌫-|
li pons soit misseur	-|---|---|--|---|
les fosses	--|-----|
et ilsifuch ascu nsmontés	-|-|-|-|--⌫----⌫-|------|
i estqu i miexmiexquia i nsains	|--|--⌫|---|---|--|-⌫-⌫-|---|
pieusp ele s heuiaus en	----|-⌫---⌫|------|-|
que le mur cuidenteffondrer	--|-|--|------|--------|
m ais nelepueen t ent amer	-⌫--|-|-|-----⌫|---⌫---|
tantestoit fo rs	---|-----|--⌫-|
dont f ontd rechier	---|-⌫--|-⌫------|
esquieles etsergans pui ier	--------|-|------|---⌫--|
c ontremonte t renarsle ursaut	-⌫--------|-⌫|-----|--⌫-|---|
ilet seg entquedesih aut	-|-|-|-⌫--|--|-|-|-⌫--|
conmeilsontl es fon t	----|-|---|-⌫-|---⌫|
queliplusfi erssetraitensus	--|-|---|--⌫--|-|----|----|
qu ant uoitli roisque che neuaut	--⌫--|---|-|---|--|--|-|---|
riens lors	----|---|
reconmandelassaut	---------||-----|
etconman deson mangonn el	-|------⌫-|--|-------⌫-|
metre d au tr e part lecas tel	----||--⌫--⌫|---|-|---⌫--|
et lefugr igois ageter	-|-|-|--⌫----||----|
p ou r pluscheus dedensag reuer	-⌫--⌫|---|----|-----|--⌫----|
le moutonconm a ndeco nfa che	-|-----|----⌫-⌫--||-⌫|--⌫--|
asmurshurteret con l	-|---|-----|-||-||
eng ien necriement niassau t	---⌫--|-|-------|-|-----⌫|
chil d edens a ausrien	---|-⌫----||--|---|
li rois auoit unbon castel	-|---|----|-|--|-----|
fait defust mout richeetmout	---|-|---|---|----|-|---|
fo rtseure t bienk euill ié	--⌫-|---|-⌫|---|-⌫-----⌫--|
ayyestages et	|-|------|-|
de cuirstane ́s	-|----|----⌫-|
m outestseurs	-⌫--|--|----|
chelui a faitmene rasmurs	-----||---|----⌫|-|---|
d emaupe truis	-⌫|-----⌫----|
arba le stri er s	----⌫--⌫----⌫--⌫|
otfaitmetreesmoienssolier s	-|---|----|-|-----|------⌫|
etenlestage	-|-||-----|
am on t plushaut	--⌫--⌫|---|---|
estoi tpi nchars frer e sprimaut	-----⌫|--⌫-----|----⌫-⌫|------|
coch isf uli	|---⌫-|-⌫|-|
fiex yseng rin	---|-----⌫--|
ot maintrichemeschin	-|----|----|------|
maintb ach ele r	----|-⌫---⌫---⌫|
maintcheualier	----|--------|
bien armé	---|----|
conpouraus aidie r	--|---|--|-----⌫|
enlesta ge aualdaerrai n	-||----⌫-|---|-------⌫|
ot s ergan s as prestrestou tplain	-|-⌫-----⌫|--⌫---|-------⌫|----|
aisilontpour l efu	----|--|---|-⌫|-|
es taindredontafai tlirois	--⌫------|---||---⌫|-|---|
lecastelau murcari er	-|-----|-|--|----⌫-|
e t de re c hiefreconmenchier	-⌫|--⌫--⌫-⌫---|------------|
l assautet	|-----|-|
mang on niausgeter	----⌫--⌫----|----|
as mur sastoursquariausuoler	-|---⌫|-|----|-------|----|
ueissiésplus	--------|---|
espe squepluie	----⌫|--|----|
liunsbr a it	-|--|--⌫-⌫-|
et li au tre s	-|-|--⌫---⌫|
chilass alentchil	---|---⌫----|---|
sedesfendent	-|---------|
rompenthiaumes c hestarges	------|------|-⌫--|-----|
braientliuif taisent limor t	------|-|--|------|-|---⌫|
chi lduberf roipar leur effort	---⌫|-|----⌫--|--|---|-----|
ont lemuren droit ausc onq uis	--|-|--|--⌫----|--|-⌫---⌫--|
renarsqu imo utsetde r ef u is	-----|--⌫|--⌫-|--|-|-⌫--⌫-⌫-|
di stasesgensor	--⌫-||--|---|-|
uousmuchiés	---|-------|
es garitespo ur uoi rsachiés	-|------|--⌫-|---⌫|-------|
quechi ld uberfr oi	--|---⌫|-⌫|-----⌫-|
monteron t	--------⌫|
seurlesmurs etquant	---|--|---|-|----|
quilnaranuluichiaual	-|-||--|----|--|---|
d es mursdeschend e ronta ual	-⌫-|---|--------⌫-⌫---|-⌫--|
auoir cu id eronttoutconquis	----|--⌫--⌫----|---|------|
maisnonaro nt	---|--|---⌫-|
sei onquespu is	-||-----|--⌫-|
renarsetsegent	-----|-|-|---|
sontm uc hié	---|-⌫--⌫---|
esga rites etacoisie ́	-|--⌫----|-|-------⌫|
si quenusn	-|--|--||
irui tnen emu it	|---⌫|-|-⌫|--⌫-|
c hil duberfroiquimi ex miex tu i t	-⌫--|-|------|--|--⌫-|---|--⌫-⌫|
par les murs	--|--|---|
desch endent aua l	-----⌫-----|---⌫|
mais chele urtou rn era amal	---|--|--⌫-|---⌫--⌫--||--|
carl igent renartaun	--|-⌫|---|-----||-|
sescrierenttra i	|---------|---⌫|
par le castel et	--|-|-----|-|
renar s sa ut	-----⌫|--⌫-|
quilescontraires	--|--|---------|
liureassa ut	----|----⌫-|
tel que dech ascun	--|--|-|--⌫----|
p ourostage	-⌫--|-----|
pristlec hie f etn ientautre	----|-|-⌫---⌫|-|-⌫---|----|
n e n uautauoirquantuitpi nchars	|-⌫|---|----|----|--|--⌫-----|
le meschiefd	-|-------||
nedem ourast anchoissen uint	-|---⌫-----|------||-|---|
fuia nt maism out lime sauint	----⌫-|---|-⌫--|-|--⌫-----|
ca rquanti l	--⌫|----|-⌫|
dutadeualer	--|-------|
et au b er froic uidamonter	-|-|-⌫--⌫---|-⌫---|-----|
partrophaster parse folie	--|---|-----|--|-|----|
caidumur si	--|-|--|-|
otle cuisseetbrac h etcan ole	-|-|-----|-|----⌫|-|---⌫--|
lisagesd istense	-|----|-⌫--|-|-|
entendem ensestteus	--------⌫--|--|---|
qu e ma uuaisehastenest	--⌫|--⌫-----|----||--|
par trophas ter	--|---|---⌫--|
l im escai	-⌫|-⌫----|
quan tensiiusdu murcai	----⌫|---|--|-|--|--|
p asme ́s iut pincharsag rant p aine	-⌫----⌫-|--|-------||-⌫---|-⌫---|
potparlernerau oirsalai ne	--|-----|-|---⌫--||----⌫-|
li roisco nman decon l	-|---|--⌫----⌫-||-||
eton sifistli rois detort	-|-|-|---|-|---|-----|
sespoinsetses caueusdeschire	--|----|-|--|-----|-------|
t an disqu ilmainetel m a rtire	-⌫--⌫----|-|----|--|-⌫-⌫----|
afaitrenarsqueliberfrois	|---|-----|--|-|-------|
etli pon s	-|-|---⌫|
sontdefugrigois	---|-|-|------|
ar set bru iau ma ngo nn el	--⌫|-|---⌫|-|--⌫---⌫--⌫-|
faitcheus du	---|----|-|
b erfroidu castel	-⌫-----|-|-----|
geter en losta	----|-||--||
grantplentes	----|------|
liroisles uoitdedu el pasmé s	-|---|--|---|-|--⌫-|------⌫|
sestyyf ois sonner leretrait	|--|-|-⌫--|-----|-|------|
s es tentes	-⌫-|-----|
ilet sesgens	-|-|--|---|
d ol ans etmas	-⌫--⌫--|-|--|
caril agetéambesa s	--|-||----|----|-⌫|
lem eneur pointure du	-|-⌫----|-------|-|
decu erreclaimedame de	-|--⌫-|-------|----⌫-|
quilliait gran t	-|-|-|--|----⌫|
du eilenlost	--⌫--|-||--|
ma inentcon mun al me ntettost	--⌫----|---⌫---⌫--⌫--⌫-|-|---|
se sontqu imiexmiexdesar mé	-|---|--⌫|---|---|-----⌫--|
car ilestoientmoutl assé	--|-|-------|---|-⌫----|
fist li rois escargaitier	---|-|---|-----------|
orgue ilquemout otchier	-----⌫-|--|---|-|----|
olui nob letetlionnel	|--|---⌫--|-|------|
et toutli cheualier nouuel	-|---|-|--------|-----|
escargait ent eto euschent	---------⌫--|-||--|----|
cheualier au treco iement	--------|--⌫--|--⌫-----|
setienentenlostniot	-|------|-||--|||-|
dest rum entned enul	|---⌫---⌫--|-|-⌫|--|
et renarsmaine grantbau dour	-|-----|----|----|---⌫---|
enmaupetr uissonnenttabour	-|-------⌫--|------|-----|
fleus testimbre et calem el	-----⌫--|-----|-|-----⌫-|
trompe sara ines o ucastel	------⌫|---⌫---|-⌫|-----|
ot c hierges yyalumé s	-|-⌫------|-|------⌫|
que nlostenreluistliclartes	-|-⌫||--|-|------|-|------|
agrantor gueillet int li	|----|--⌫----|-|-⌫--|-|
que renars	--|-----|
maine tes b ufois	----|--|-⌫----|
maispourse gentrec onfor te r	---|---|-|---|---⌫-----⌫--⌫|
fait a z z	---||-⌫|
c or liauecorn er	-⌫-||---|----⌫-|
auso upersisent	-|--⌫---|-----|
pour mengier	---|------|
apresmengierenuont	----|------|-|---|
forsquechil	------|---|
quiescargaitoient	--|-------------|
et l iautresereposoie nt	-|-⌫|----|-|--------⌫-|
endr oit eured emienuit	----⌫--|---|-⌫|------|
demaupe truisissisansbruit	-|-----⌫----|---|---|----|
renarset si fildeses	-----|-|-|--|-|--|
mena o l ui	---||-⌫-|
moutbie nar m ésseurleurdestriers	---|---⌫|--⌫-⌫--|---|---|--------|
sonneli fer set l iac hier s	----|-|---⌫|-|-⌫|--⌫----⌫|
o ugai tto utapl aind escueillie	-⌫|---⌫|--⌫-||--⌫--||---------|
renarsod sem aisnie	-----|-|-|-⌫-----|
telnoisefaita	--|----|---||
laproc h ier	|-----⌫-⌫--|
que cheus delo stfait	--|----|-||-⌫-|---|
esuill ier	------⌫--|
pourle n oise qu	---|-|-⌫---|-|
e scrienttouttra i trai	-⌫------|---|---⌫|---|
etlirois saut	-|-|---|---|
tou s esferés	---⌫|-------|
ch asc unsest	--⌫---⌫--|--|
quemiex mie x ar m és	--|---|---⌫|--⌫-⌫--|
capl e uon tc onm unal	----⌫|---⌫|-⌫---⌫---|
renars uoitoudem ourerm al	-----|---|-|---⌫----|-⌫-|
aun corso nne	|-|--|--⌫--|
oudemo ureruoit	-|----⌫---|---|
ensonretour pri sonen maine	-|--|-----|---⌫--|-|----|
or gue ilqui	--⌫---⌫-|--|
pasnimi s tgrantpaine	--|||--⌫-⌫|----|----|
aluideffe ndre de cuer lie	|--|-----⌫---|-|---|--|
u ait odrenart s anlant iri é	-⌫--|-|-----|-⌫-----|---⌫-|
enfait pour se	-|---|---|-|
gentnepourquant	---|----------|
otr enartuait acue r i oiant	-|-⌫----|---||---⌫|-⌫----|
e n fu it ot son	-⌫|--⌫-|-|--|
narrestasi uint enmai son	|------|-|---|-|---⌫--|
lessi ensyycenslaissiés	--|--⌫--|-|---|--------|
en i a our etour meschies	-|||-|-⌫----|-------|
auint r ousselsenfil meno ur	----|-⌫-----|--|--|----⌫-|
carsesdestriers	--|--|--------|
ens ouretour	--|-|-----|
f ondipr is	-⌫---|--⌫-|
fueto lui chent	-|-||--|----|
ta rdieus auro iprisons	--⌫-----|-|--⌫|------|
qui deioia nt cuerlesrechoit	--|-|----⌫-|---|--|------|
maisencorep o intnesau oit	---|-----|-⌫-⌫--|-|---⌫--|
dorgueilsonfille uer ite	|------|--|--|-|---⌫--|
etquant le	-|----|-|
laroineensement	-|----|-------|
tos tap resdis t ila	---⌫|--⌫--|---⌫|-||
etil sifontmais iaest oit	-|-|-|---|---|-|---⌫--|
enmaupetruisrenars	-|---------|-----|
faitrecl or e apresluile	---|----⌫--⌫|----|--|-|
d esen filroussellia porte	-⌫|--|--|------|-|-⌫----|
nouuele un s seriansquilestpris	------|--⌫|------|-|-|--|---|
oluiyyc heualiers	|--|-|-⌫--------|
qu antre nar slotded u elqu	--⌫--|--⌫---⌫||-|-|-⌫-⌫-|-|
pour n uleriens nedeist mot	---|-⌫--|----|-|----|--|
forstantquiladitasefa me	---|-----|-||--||-|--⌫-|
pr isestroussiausuosfiex dame eme	--⌫-|--|--------|--|---|---|--|
lad ame lotdeduelse p asme	-|-⌫--||-|-|---|-|-⌫---|
apoiq uele ne rend il	|--|-⌫|--|-|----⌫||
g ra ntdoeil mainen t	-⌫--⌫-|----|------⌫|
parl e ca ste l	--|-⌫|--⌫---⌫|
de chequeperduontrou ss el	-|--|--|----|--|---⌫--⌫-|
lenuit enune r iche sa le	-|---|-|--|-⌫---|--⌫-|
ontmisor gueilquiniertp aspale	--|--|--⌫----|--||---|-⌫-|---|
la nuisenua et l iiours	-|---|-|-|-|-⌫|----|
re na r saumatinaluiuint	--⌫--⌫-⌫|-|----||--|---|
de sespluspriués	-|--|---|------|
orgueilet detoutsonpoo i r	------|-|-|---|--|---⌫-⌫|
l onn eureetli dist	|---⌫---|-|-|---|
bienuen us	---|---⌫-|
soi és par yy foisorgieus mus	---⌫--|--|-|---|------|--|
anchoisleresalue	------|-|------|
renars aucolses braslirue	-----|-|--|--|---|-|--|
e torgi e usaussileracole	-⌫|----⌫-⌫-|----|-|-----|
defoi et deparole	-|--|-|-|-----|
s en trepleuuissent conpaign i e	|--⌫-------------|--------⌫-⌫|
a por t er m aistou tele uruie	|---⌫-⌫-|-⌫--|---⌫-|--⌫-|--|
plus honnerer orgueil	---|-------|------|
lidist ren arss ire	-|---|---⌫--|-⌫--|
queuoi é smonpala is	--|---⌫--⌫|--|----⌫-|
neset el monde nul si biel	-|--|-|----|--|-|---|
sif ort ne si assa s ié	-|-⌫--|-|-|----⌫-⌫--|
de cheot r enarsle cuerlie	-|--|-|-⌫----|-|---|--|
aorgu eil distre nars uenés	|----⌫--|---|--⌫---|-----|
enc orautre	---⌫-|----|
c oseuerrés	-⌫--|------|
unemaison le plusdiuerse	--|-----|-|---|------|
quisoitde chi desi	--|---|-|--|---|
renarso rgueilense mai son	-----|-⌫-----|-|-|---⌫--|
mai nequi e rt detraison	---⌫-|--|-⌫-|-|------|
etdenuieouuree	-||----|-----|
de hai n e	-|---⌫-⌫|
esto itlient ree	----⌫-|-|---⌫--|
etde blas meslipa uemen s	-|-|----⌫--|-|--⌫-----⌫|
detout es manieresde	-|----⌫-|-------|-|
au oitre narslaiens odlui	--⌫--|--⌫---|-----|-|--|
n elaroie p rononchie ́hui	-⌫||----|-⌫---------⌫|--|
le ioiequea orgueil	-|---|--||------|
con tr e luienc ourtiné ont	---⌫--⌫|--|---⌫-------|--|
de drasdo rlemaison	-|---||-⌫|-|-----|
encont re orgueilhorsdunecroute	------⌫-|------|---||--|-----|
uienentyy dame snoblement	------|-|----⌫|--------|
uest ues dormout richement	----⌫--||-|---|--------|
encontreorgueil uiennentcant ant	-------|------|-------|----⌫--|
deus e t yym ainamaintenan t	---|-⌫|-|-⌫--||---|-----⌫|
ostelestoientprinch es ses	----|-------|------⌫--⌫--|
d esyy dameslesplus maistresses	-⌫-|-|----|--|---|----------|
ie r e nty y su e rsire et enu ie	--⌫-⌫-⌫-|-⌫|--⌫-⌫-|--|-|---⌫-|
ce st do leur squ elessonten	|-⌫-|--⌫----⌫|-|---|---|-|
de uant les autrestoutapie	--⌫---|--|-----|---||--|
uont contreorgueil etbienu ignié	---|-----|------|-|-----⌫-----|
etagenousaouré	-||-----|-----|
al eur pooir	|-⌫--|----|
l o nthonner é	|-⌫-|------⌫-|
auar isc ee t ac c ideapr es	----⌫---⌫|-⌫|--⌫-⌫--|---⌫-|
ire et enuieasca ukainspr es	--|-|----|-|--⌫-----|--⌫-|
sie uentluxureetg loutr enie	---⌫---|-----|-|-⌫-----⌫---|
chascunedef in oruestie	-------|-|-⌫-|-|-----|
sie uentles autresmaint enant	---⌫---|--|-----|-----⌫----|
en tourdeuantsoleilleuant	--⌫---|-----|-----|-----|
e stoit quant orgiexuintlaiens	-⌫----|----|-----|---|-----|
c o n treorgueilsonnentestr u mens	-⌫-⌫-⌫--|------|------|----⌫-⌫---|
sar terions	---⌫------|
orgeschytoles liresson s	----|-------|-|------⌫|
ierentgra nsdes t rompesd a rgent	-----|---⌫-|--|-⌫-----||-⌫----|
co ntreorgue i lrechusfumout	--⌫---|-----⌫-⌫|-----|-|---|
dam esdel eurtresor	---⌫-|-|-⌫--|-----|
font toutespures defin or	---|-----|----|-|--|-|
dunecouronneorgueil p resant	|--|-------|------|-⌫-----|
ou otmaintrich e diamant	-|-|----|----⌫|------|
safirs esmera udesrubis	-----|------⌫---|----|
etcasmahieu sb run sblanset bis	-|---------⌫|-⌫---⌫|----|-|--|
o rgieus lerech o itliement	-⌫-----|-|----⌫-⌫-|------|
yyme rchis as damesen ren t	-|--⌫----|-|----|-|---⌫|
renars alecou ronneprise	-----||-|---⌫----|----|
etlesdamessi lont a ssise	-|--|----|-||--|-⌫----|
seurle chiefor gueilcouronné	---|-|----|--⌫----|--------|
l ont etse ur au sa roi leué	|--|-|--⌫-|--⌫||--|----|
pourche q uede	---|--|-⌫-|-|
tousuis seschies	---|---⌫--|----|
estenfucouronnés se schies	--|-|-|---------|--⌫|----|
luesqu e fait fu	------⌫|---|-|
sotpr oserp ine	--|--⌫-----⌫--|
lecour on nement	-|----⌫--⌫-----|
damourfin e	|----|---⌫|
amoitorgueilet orgieulli	----|------|-|------|-|
dinferauoecmaintan emi	|----|----|----|--⌫--|
or parsignerie	-|--|-------|
lienuoiapa rdruerie	-|-----|--⌫|------|
pourc hequeroiet em p ere res	---|-⌫-|--|--|-|--⌫-⌫---⌫--|
soi ta u mont etche	---⌫|-⌫|---|-|--|
queliperes	--|-|----|
fisten c roi ssonfil	---|-|-⌫---⌫|--|--|
faito rgi eus eninfer	---|-⌫---⌫--|-|----|
par leconseil	--|-|------|
fuli sep trest ramisdinf er	-|-|---⌫---|-⌫----||---⌫-|
que moutenm er chie	--|---|-|-⌫--⌫---|
proserp inese chiere amie	-------⌫--|-|-----|---|
dup resent moutgrantioiefont	-|-⌫-----|---|----|---|---|
chiletchelesku	---|-|-----|||
palaissont	-----|---|
telnoiseuont menant	--|----|---|-----|
con n ioistpoint di eut o nn a nt	|-|||---|----|--⌫-|-⌫-⌫--⌫-⌫-|
parm outdegente s t	--|-⌫--|-|---|-⌫-⌫|
couronnés	---------|
orgieus oumond e cour onnés	------|-|----⌫|----⌫-----|
nestqui dorgueilneuie gn eetnai sse	|--|--||------|-|---⌫--⌫|-|---⌫--|
ren arslesyy damesnelaisse	---⌫--|--|-|----|-|-----|
a ins leur d itnoroyc onpaignie	-⌫--|---|-⌫-|-|--|-⌫--------|
si ne l la issiés	-|-||--⌫------|
eles dientsi feronsnous	---|----|-|-----|---|
iamaisiourtantqueu ie	-----|---|------|-⌫-|
niertde nousfa it ede partie	|---|-|---|--⌫--⌫|--⌫-----|
et biensousterron sn o partie	-|---|----------⌫|-⌫|-----|
et rena rs dist e tieserai	-|----⌫-|---|-⌫|-|----|
tousioursoduous s iafferrai	---|----|-|---|||-------|
aussibien quelipiereenl or	----|---|--|-|----|-||-|
en u ntrosned	-|-⌫|-----||
or enuncor	-|-|-|--|
delpalaisontorgueilassis	--|-----|--|------|----|
leseptreensemain qui massi s	-|-----|-|-|---|--|-----⌫|
estdorle syy dames les	--||-|--⌫|-|----|--|
monde ontfai tmaintanui	----|--|---⌫|----|---|
ete ncor es enuontuanta nt	-|-⌫----⌫||-|---|-----⌫-|
et renarsleur ua prom eta nt	-|-----|---|-|----⌫---⌫-|
qu enbonnefoileuraidera	-|-|----|--|---|-----|
que chas cune	--|----⌫---|
agenousflec hislenme rchient	|-----|----⌫--||-|--⌫------|
etamons eigneu ro rgueildient	-||--|-⌫------⌫|-⌫-----|----|
s iretiesroi detout	-⌫--||--|--|-|---|
caroumond enen	--|-|----⌫||-|
oude m oiait taqu e	-|-|-⌫-|--|----⌫|
ouderenarttraisonplaqu e	-|-|-----|------|-----⌫|
p artoute stuet	-⌫-|---|-⌫----|
fauua in et	-----⌫-|-|
amisrenar ten	|--|-----⌫|-|
main teuille	----⌫-|----|
peuil a li	--|-||-|
u raiepaterne	-⌫---|------|
renars uessie	-----|-----|
pourla nterne	---|--⌫-----|
fai t aentendrea tou s les siens	---⌫||-------||---⌫|--|----|
achaintdeses li ens	|-----|-|--|--⌫--|
etnousaussi nenous faignons	-|---|----|-|---|-------|
mai st outlepis	---⌫|-⌫--|-|--|
quen ous poons	--|-⌫--|----|
fai sonsoumo nde licle rgies	---⌫---|-|--⌫--|-|---⌫----|
esttousd auarissecargiés	--|---||-------|-------|
fillecouuoitise	----|---------|
leurcue rsenfu	---|---⌫|--|-|
lico nteetliroi	-|--⌫--|-|-|--|
sontpresqu etout de notrelo i	---|---|--⌫|---|-|----|--⌫|
par lesgran s	--|--|----⌫|
auonslespetis	----|--|----|
ensi e s tlim ondes hon n is	---|-⌫-⌫|-|-⌫----|---⌫-⌫-|
tousestli mon s sienmondés	---|--|-|---⌫|-|--------|
n ensauons nulisoit m on d és	|-|-----|--||---|-⌫--⌫-⌫--|
sa uons peuparle m ont	--⌫---|--|--|-|-⌫--|
qui se desmonteet	--|-|-------|-|
quisesmont	--||-----|
sep uet hons	-|-⌫--|---|
siln est esmondésdu monde ains	|-||--|--------|-|----|---|
neiama i sn u sniert	-|----⌫-⌫|-⌫-⌫|||--|
s edeuousetdenousmo ndés	-⌫|-|---|-|-|---|--⌫----|
nest etdeno compaingrenart	|--|-|-|-|-------|-----|
se moutpo inon	-|---|--⌫|--|
p artoutauons	-⌫-|---|----|
p ooir sebien n ouscon cor do n s	-⌫---|-|---|-⌫--|---⌫---⌫--⌫-⌫|
u mont au onsyyan emies	|---|--⌫--|-|--⌫----|
parcuitou tes sonme s honnies	--|--|---⌫--|-----⌫|------|
ch ascunemou tnous desauanche	--⌫-----|---⌫|---|---------|
liuneaanon	-|--|||--|
r epentanche	-⌫---------|
l autreconfessi onsses uer	|----|--------⌫--|-|-⌫--|
chesyydescuers nousgietentpuer	---|-|--|----|---|------|---|
humelitesnoanem ie	--------|-|----⌫-|
che le ou mond e mou tnous guerrie	---⌫-|-|----⌫|---⌫|---|------|
sobrieteset astinenche	--------|-|---------|
contr eg loutreniegrant	-----⌫|-⌫--------|----|
fontsouuentet foiscontreaccide	---|------|-|---|-----|-----|
etlarg ueche	-|----⌫----|
co ntre auarisse	--⌫---|-------|
uirgi n ite setc aestes	-----⌫-⌫---⌫|-|-⌫-----|
fontluxuremoutde durtes	---|-----|---|-|-----|
a tempranchesensetraison	-⌫---------|---|-|-----|
fontmoutdetribulation	---|---|-|----------|
etenuie a concorde	-|----||-------|
sil lenc heetpais	---⌫----⌫-|-|---|
quidu n eacorde	--||-⌫-⌫|-----|
sontleur re f ontmoutgrant	---|---|--⌫-⌫--|---|----|
maisenuie nend onn e unail	---|----||-|-⌫---⌫|-|--|
niaussine fait seseur	-|----|-|---|-|---|
quiau mondeafa it maintoch ire	--|-|----||--⌫-|----|---⌫--|
said i ernousu olés etr enars	|---⌫-⌫-|---|-⌫----|-|-⌫----|
du monter t	-|---|--⌫|
che lui quienmorutencrois	---⌫--|--|-|----|-|----|
biaussireetsetu nousen crois	----|---|-|-|-|---|-|----|
nous neremanrons	---|-|--------|
pluslai ens	---|---⌫--|
ainsironsuisiter nosgens	---|----|------|--|---|
oumo nde ete s reli gi o ns	-|--⌫--|-|-⌫|----⌫--⌫-⌫-|
chedistorgieusoren	--|---|------|-|-|
silaissonsge rroierr enart	-|-------|--⌫-----|-⌫----|
o rgieusdemaupetruissepart	-⌫-----|-|---------|-|---|
otgrantb audou r et les yyda mes	-|----|-⌫-----⌫|-|--|-|--⌫--|
q ui eninfermeten tmoutdames	-⌫-|-|----|-----⌫|---||---|
renarsles c onuoie etor gieus	-----|--|-⌫-----|-|--⌫----|
lipriequ el un desesfie x	-|---|--⌫||-|-|--|---⌫|
lipreste po ur le ra membranche	-|-----|--⌫-|-|--⌫---------|
delui renarsprist mal e b ranche	-|--|-----|----|---⌫-⌫-⌫-----|
lainsneetsililiure	|-----|-|-|-|----|
qui sauoit	--|-----|
etsansliure	-|---|----|
le p ereetl iaprist	-|-⌫--|-|-⌫|-----|
enf ancheet pour	---⌫----|-|---|
c hele prist	-⌫-|-|----|
o rgieusolu i q uemout	-⌫-----||--⌫|-⌫-|---|
l o tchi er	|-⌫|---⌫-|
siqu il enfist son	-|-|-|-|---|--|
c ons illier	-⌫---⌫-----|
ouli euduper ee ts enesc al	-|--⌫-|-|---⌫|-⌫|-⌫-----⌫-|
des o n oste l etle ro ial	-|-⌫-⌫|----⌫|-|-|--⌫--|
g onfa nonli bailleaporter	-⌫----⌫--|-|-----||-----|
renartconmandea retourner	-----|-------||--------|
ma isquantse g uerrea ra finee	--⌫-|----|-|-⌫----|-⌫-|----|
