des criteau ons la	---⌫----|--⌫--|-|
r ienuiu en ipoetre maneir	-⌫--|---⌫|||---|--⌫-----|
to zs ontd ired eu feruz	--⌫|-⌫--||--|-⌫-|----|
soudee ment morz	------⌫---|---|
lihautlibas lifouslisa iue	-|---|-|--|-|---|-|--⌫--|
tantpar est communalliglaiue	---|--|--|-------|-|-----|
ela morttantparsoubitai ne	|-|---|---|--|--------⌫-|
q auis oncp o et sentirl a	|----⌫--|-⌫-⌫-|-----|-⌫|
negunsoe m ainz co	-----|--⌫|---|-|
chasqunsei	------|--|
mo ertainz q u illanguisse	--⌫--|----⌫-⌫|-|--------|
tantp ar est	---|-⌫-|--|
forte ladolor	----|-|----|
q a in zuientlamort q eli lan gor	|-⌫--⌫|----|-|---|-⌫|-|---⌫--|
trestozuei onsauantmorir	------|---⌫--|----|----|
pue ssent lorpecchez gehir	---⌫----|--|------|----|
lasubi teinepestilence	-|----⌫----|---------|
nul nelei stfaire	--|-|---⌫-|----|
peni t ence	----⌫-⌫---|
cartoz s e m oer entd esconfes	--|--|-⌫|-⌫---⌫--|-⌫-------|
pen s omdonqes	---⌫-⌫-|-----|
sein gno rs ad es	----⌫---⌫-|--⌫-|
p orlaueireamord e ihesu	-⌫-|-|----|---|-⌫|----|
epornostr e u eiresalu	|--|-----⌫|-⌫---|---|
q ue lpar r acilal	-⌫--⌫|---⌫-⌫|--|-|
deu ant lu i ugeomnipotent	---⌫--|-|-⌫--|---------|
n enatantdeleisir	|-||---|-|-----|
qil soipeusserepentir	|-|--|-----|-------|
comiugeradeusensaface	--|-----|---|-|-|---|
celuiaqui n is tantd espace	----||--|-⌫-|---||-----|
n eu oten cestsecledon er	-⌫|-⌫-|-|---|----|---⌫-|
qis peustses pecche zplorer	|-|----|--|------⌫|-----|
prengezgarde de uozueisins	------|----|-|--|------|
en uontpass oul alorfins	-|---|--|-⌫--||--|---|
p ardeusp ar treisp arci nc parsis	-⌫-|---|-⌫-|----|-⌫-|--⌫-|--|--|
ainzse nua it	---||-⌫|--⌫-|
trestotlipais	------|-|---|
enuironnosentrinement	------|--|----------|
atelfrui s eta ntn e ttement	|--|----⌫||--⌫-|-⌫-⌫------|
qomen efemmen i rem eint	|--|-⌫|----|||---⌫---|
lesioeuresod lesuielz	--|------|-|--|----|
nisa in ceisles fizqel esp eres	--|-⌫--⌫---|--|--|-|-⌫-|-⌫---|
elesfilles ainzqe les	|--|-----|-----|--|
la pestil lence perillouse	-|------⌫----|---------|
deo r rible hisd ouse	-|-⌫-⌫----|----⌫---|
l esmeisons	-⌫-|------|
son tu oid esguerpies	---⌫|-⌫---⌫-|-------|
quii af urenttan treplenies	--|-⌫|-⌫----|---⌫|--------|
ni slesrues	--⌫|--|---|
longes el e es	-----||-⌫-⌫-|
desertesso nte despoillees	-------|--⌫-||----------|
uneeautrepo etoempass er	--||----|--⌫-|--|----⌫-|
sanz ome e sanzfem me en c ontrer	---|--||---|---⌫-|--⌫-⌫-----|
tantsedesreiea	---|-|------||
cistmortaus gl aiuesqui	---|------|--⌫----|--|
come sdouzchierssei n gnors	-|--⌫|---|-----|---⌫-⌫----|
fuionsape nitence aplors	-----||--⌫------||----|
ueausnonta nt com n osest	----|--|--⌫-|--|-⌫-|--|
ploreronqorors non	-----|-------|--|
carueirementcilsouraten t	--|--------|--|--------⌫|
so u bitemort so usprent	--⌫-⌫---|---|--⌫------|
denozpe cch iez nosen s o uienge	-|--|--⌫---⌫--|--|-|-⌫-⌫-----|
negun besoingnenos detien ge	----|------|-|--|------⌫-|
qen efac ons confession	-|-⌫|---⌫--|---------|
oddignesati s fac tion	-|----|----⌫-⌫---⌫---|
tant qedel ermesseit laué	---|-|-|-⌫----|---|----|
quanq auonsfaiten contrede	----|----|---|--⌫-----|-|
f aimescomliprophe teenseingne	-⌫----|--|-|------⌫-|--------|
ensem bletoz	-----⌫--|--|
nulniremei ngne	--|||-----⌫---|
leuo nsa deunozq uersno s	----⌫-||--|--|-⌫---|--⌫|
tantc om nossumesuifs	---|-⌫-|--|----|---|
q odboneso reisons	|-|----|-⌫------|
bon esoeu resa d eu rendons	---⌫-|---⌫--||-⌫-|------|
carqueremeins	--|---||----|
ad euleuer	|-⌫-|----|
estodbone oeureluiproier	--|-|---|----|--|-----|
cilsonquerlieue	--|--|---|----|
ecilses meinsquib enlabore	|--|--|----|--|-⌫-|-----|
faimesdonch astiuepenance	-----|---|-⌫-----|------|
ca r ueirement	--⌫|--------|
bon eesperance	---⌫|--------|
contrelat imour	-----|-|-⌫----|
delpeccheour	--|--------|
p as ne cou e itenedesire	-⌫-|-|---⌫-⌫--|-|-----|
coe st ihesu cristnostresire	-|-⌫-|----|----|-----|---|
qui parsonpropheteeinsi crie	--|--|--|-------|----|---|
melzuoeilqelipecchere eit	---|----|-|-|-------|--|
ilseconuer ti sse	-|-|------⌫--⌫--|
amoi q ilme rge	|--||-|--⌫--|
ou qi lperisse	-||-⌫|------|
porcodeses perern e de it	--|-|-----⌫----|-⌫|--⌫-|
iatantmespris	-|---|------|
cario n a sdi t lisei ntprop hete	--|--⌫-⌫-⌫|--⌫|-|---⌫-|----⌫---|
lesu ielzpec c hezd e ne niuete	--|-⌫---|---⌫-⌫--|-⌫|--⌫-----|
terstrenttre isiorsde	--------|---⌫-|---|-|
p enitence	-⌫-------|
nisli lerresdel asentence	--|-|-----|-|-⌫|-------|
demort e n zenlacroi z	-|---|-⌫-⌫|-|-|----⌫|
al coste lu fiz	-|----|-|--|
por qenl a mor tertrepentis	--||-|-⌫|---⌫|--|-------|
raui f uie sqe nparad is	---|-⌫|--⌫-|-⌫|-----⌫-|
leuonsdonqessegu rement	-----|-----|----⌫-----|
no z quers a d eud euo te m en t	--⌫|----||-⌫-|-⌫---⌫--⌫-⌫--⌫|
ensementcomsi e uss ons	-------|--|-|-⌫---⌫--|
ia rece uquanqequerons	-|----⌫|-----|------|
car sinosleis sons nozpecchiez	--|-|--|----⌫---|--|-------|
sach iezlii uge erttostflec chiez	----⌫--|-|-⌫--|--|---|----⌫----|
iaplustost mercinequerras	-|---|---|----|-|------|
qetunelatruis s es chaut pas	-|-|-|-|-----⌫-⌫-|----|--|
quelqepecchiere qe tusoies	-----|--------|-|-|----|
forsqe souldeta ntte	-----|---|-|--⌫-|-|
qesoiesu eraisrepentant	-|----|-⌫----|--------|
n os don qes cou ardant	-⌫-|---⌫--|---⌫-----|
compo our o usdes esp erez	--|--⌫---⌫-⌫-|---⌫---⌫---|
troppars umesfous asotez	---|--|-⌫---|---|-----|
quant albe soingquinosuei on s	----|-|--⌫----|--|--|---⌫--⌫|
e ala pein eqesento ns	||-|----⌫|-|-----⌫-|
deuquisoule st nost rerefui	--|--|---|-⌫-|----⌫-|----|
neuenconsu eaus non parennui	-|------|-⌫---|--|--|----|
diquanta lp reier	-|----|-⌫|-⌫----|
nonqe deu pusson s en nuier	--|-|--|------⌫|--⌫----|
cars ouent	--|-⌫----|
co q ennuierselt	-||------|---|
aom medeu sen g rere qelt	|--⌫-|---⌫|-|-⌫-|--⌫---|
tant par est	---|--|--|
piusmisericors	---|---------|
luiseitestors	--|---|-----|
pa r preiereep aroreisons	--⌫|------||-⌫-|-------|
co qepas deseruinauons	-|-|--|------||----|
par prei erea paiéuel testre	--|----⌫--|-⌫----|---⌫|----|
porq anosn esepu esse irestre	---||--|-⌫|-|--⌫---|------|
auonsdeserui	----|------|
dontditlipsalmiste	---|--|-|--------|
de lapa rt deu al peccheor	-|-|--⌫-|--|-|-------|
requ e rmoi	----⌫-⌫|--|
qu ant aura stribulation	--⌫--|----⌫|----------|
dan goisse edetemptation	|--⌫-----||-|---------|
ostraidel mal quauras	-----|--|--|-|----|
etu me i magnefieras	|-|--⌫|----------|
partantsauo ns	--|---|----⌫-|
bensanz essoine	--|---|------|
deusa sei mei smeest	---||--|---⌫--|--|
t esmo ine	-⌫----⌫--|
q ilnos desireespar nier	|-|--|-----|-----⌫---|
desqil enseignelui	---|-|-------|--|
etpo rico micherdouz	-|--⌫|--|-|---|---|
igliseala demere	-----||-|-|---|
nostredame seintemari e	-----|---|-----|----⌫|
uendronsdemeinaletanie	-------|-----||------|
trestozensembl eunai ment	------|-------⌫|----⌫---|
enore isonsde uotement	-|---⌫----|--⌫-------|
tantostcomlaube ert	------|--||---|--|
negunso emd ice ste iornee	-----|-⌫-||---⌫--|-----|
par mon conseil n esed estienge	--|--|------|-⌫|-|-⌫-------|
liioeunes e	-|------||
li clerclilaili	-|----|-|--|-|
soie nt apre stez	----⌫-|----⌫---|
ri chespo uresgranz e	--⌫---|--⌫---|----||
nu lsnese ito sezne	--⌫-|-|--⌫-|-⌫--|-|
q ente ndeab eso in gneforaine	|----⌫--||-⌫---⌫--⌫--|------|
car laletanieseptaine	--|-|------|-------|
sicomi a lorrez d e stincter	-|--|-⌫||----|-⌫-⌫-------|
trestozs i dep lai stcel ebre r	------|-⌫|-|-⌫---⌫-|---⌫----⌫|
e nsem ble alior	-⌫----⌫--|-|--|
dem einuend rons	---⌫--|----⌫---|
enos mesf aiztoz a mend r ons	|--|----⌫--|--|-⌫----⌫-⌫--|
qesicom toz sumes m es pri s	-|-|--|--|----|-⌫--⌫---⌫|
totein s iseions	--|---⌫-⌫|-----|
tozensemb leasa mendes	--|------⌫-|-|-⌫-----|
ca rsachez donc uou dra re tra ire	--⌫|-----|---|---⌫--|--⌫---⌫--|
deusl a porpo seesent ence	---|-⌫|-----⌫--|----⌫---|
qu a nt uo irra	--⌫-⌫-|--⌫---|
nostrepenitence	-----|--------|
lic lerzenl a premi e r eli ste	-|-⌫---|-|-⌫|-----⌫-⌫-⌫|--⌫--|
ist rontu ersseint	---⌫---|-⌫--|----|
iohan baptiste	----|-------|
lilaiqu i maslessont	-|--|--⌫|-----|---|
delmo ustie rseint marcel istront	--|--⌫-----⌫|----|-----|------|
limoineel ireligious	-|----||-⌫|--------|
martirspretious	------|-------|
seintpo leseintiohan sen uiengent	----|--⌫||----|----||-|-------|
pues orden e ementse	---|-----⌫-⌫----|-|
les no neinsenprocession	--|--⌫----|-|---------|
u ers seintcosmee	-⌫--|----|----||
seint damion	----|-----|
da mesmariees	--⌫--|------|
deu ersseint este ureordenees	---⌫--|----|----⌫--|-------|
ueingen tsi ssiguentbenebel	-------⌫|-||------|--||--|
le sueduesdeuersseintui el	--⌫|-----|-----|----|--⌫-|
p ue sa lderrai nuengentauant	-⌫--⌫|-⌫|------⌫|------|----|
lapouregentel i enfant	-|----|---||-⌫|-----|
igli s e seintececile	----⌫-⌫|-----|-----|
nus nir emeinge en	--|||-⌫------|-|
quipussesorsespiezester	--|----|--|--|---|----|
niuiengesespecc hiezplorer	||-----|--|----⌫---|-----|
carsachezbien ueraiment	--|-----|---|--------|
tantuos p ra mec segurement	---|--|-⌫--⌫--|---------|
qedonqesuoudra	-|-----|-----|
nostre sire	-----|---|
sanz nuledo ute	---|---|--⌫--|
ate mpre r sai r e	---⌫----⌫|-|-⌫-⌫|
qu a ntuerai srepentanzserons	--⌫-⌫-|-----⌫|--------|-----|
ies qecadurali	---⌫-|-|---|-|
maispues q u ant tot fuassemble ́	---|---|-⌫-⌫--|--|-|--------⌫|
al liu eali orassigné	-|--||-|-⌫-|-------|
l ipoeple de	-⌫|-----|-|
diuers aage	-----|---|
ta ntparse desreiotarag e	--⌫-|--|-|-------||---⌫|
la deuantditepestil ence	-|-----|---|------⌫---|
parladeudreituralesentence	--|-|--|---------|-------|
qemorzaterresoudement	-|---||----|--------|
oranz trestoz deuotemen t	----|------|---------⌫|
cheir enten	-----⌫--|-|
unesoulehoure	--|----|----|
quatreui n z nombrezsa nzdem o ure	-----|--⌫-⌫|------|--⌫-|---⌫-⌫--|
q auisonc futap erceu	|------|--|--⌫----|
comsoude mentfurent	--|-----⌫---|-----|
maisueirementoncporitan t	---|--------|--|--|----⌫|
nesecessal i deu seruant	-|-|----|-⌫|--|------|
ainzlessomm on sta plusore r	---|--|----⌫--⌫-||---|---⌫|
carlamartire deplo rer	--|-|------|-|---⌫--|
er t codistt an t p lusacreue	--⌫|-|---|-⌫--⌫|-⌫--|-----|
quant entre	----|----|
tanz futauenue	---|--|-----|
aqueife roi epluslonc tour	|---|--⌫---⌫|---|---|---|
mais tantf ist qe des	---|---|-⌫--|-|--|
delamort alite ainz	-|-|----⌫----|---|
escouserentp arsamerite	-----|----|-⌫-|-|-----|
loezenseitli	---|-|---|-|
roisdegloir e	---|-|-----⌫|
q uiparsonse rfdeuot	-⌫-|--|--|--⌫-|----|
comuelt a s peccheorsso ccoure	--|---|-⌫|--------|--⌫-----|
maisonqororsne sotaloure	---|-------|-|--|||---|
coment futdeses lett res pris	-----|--|-|--|----⌫--|---|
car ueirement tot cerze fis	--|--------|--|---||--|
est reespereitqe lemper ie re	---⌫-|-------|-||-----⌫--⌫-|
eustoie sa proiere	---|--|-|------|
mais qu ants apercut alderrain	---|--⌫--||------|-|------|
qe li ainz	-|-|---|
dit prefectgermei n	--|------|------⌫|
sonmessagier otent erc é	--|--------|-|---⌫---⌫-|
eqe sisespeir futquassé	|-|--|-----|--|------|
erraume nt sanzplus	-------⌫-|---|---|
ain ceisqedelempereor	---⌫-----|-||-------|
uenistasromeinslirespons	-----|-|------|-|------|
priueeme ntentapisons	--------⌫-|-|-------|
fors delaui lesenbingnot	---|-|-|--⌫-||-|------|
comcil qu ienapertnosot	--|--|--⌫|-|----||---|
carli romeinquico cremoient	--|-|-----|--|-|--------|
t restotesl es portesfer moient	-⌫-------|-⌫-|-----|---⌫-----|
si mettoien tnis gardeas rues	-|--------⌫|--|----|-|---|
asentreeseaseissues	-|------||-|------|
parz por luigu eiter	---|--|--|--⌫----|
enpe u ste schaper	-|--⌫-⌫-|-⌫------|
d o mliserfde q uant icouit	-⌫-⌫|-|---|-|-⌫---|--|--|
e rraumentmuotsonabit	-⌫-------|---|--|---|
s i se p e rneitadesguiser	-⌫|-|-⌫-⌫----||--------|
qilpotporsei celer	|-|--|--|--|----|
pourechania	----|-----|
epu e sit elengintroua	|--⌫-⌫|--⌫-|----|----|
qe forslumistunspe issonier	-|---|-|---|--|--⌫-------|
pr eue ementenun panie r	--⌫---⌫----|-|-|-----⌫|
puesse re po nstastapi n ages	---|-|--⌫--⌫--|-|----⌫-⌫---|
desbruilzdeslandesde s boscages	--|-----|--|-----|--⌫|-------|
parm ilesdesertesgu astine s	----⌫|--|-------|--⌫------⌫|
quere itlesc r outes	-----⌫-|--|-⌫-⌫----|
souzterrin es	----------⌫-|
les chesnes	--|------|
eles fous cauez	|--|---|----|
elesautres	|--|-----|
l iusplusce lez	-⌫--|---|--⌫--|
ouporlesromeinssoi muscot	-|--|--|------|--|-----|
al mel zq il	-|---⌫||-|
onqessot ep ot	----|--||-⌫-|
comcil qui fuitgloireueine	--|--|--|---|-----|----|
maisporn oi ent	---|--|-⌫--⌫--|
imetteit pe ine	|------|--⌫--|
car enueinseifereit cuter	--|-|---|--|-----|----|
n ulsoemqui deuuelteshaucer	-⌫--|--|--|--|---|-------|
qua ntpluss umelie	---⌫-|---||-----|
tant pluseno ureeleue	---|---|---⌫--||---|
deunost resiresonseruant	--|----⌫-|---|--|------|
oiez porqueiliromein quant	---|--|---|-|-----|----|
sau o i en t qilsen	---⌫-⌫-⌫--⌫||-||-|
tot er raume ntlontporsegui	--|--⌫-----⌫-||--|-------|
nuteiorangoisso usement	--||--|--------⌫------|
quan talterziorso udeement	----⌫|-|---|--|--⌫-------|
uirent u n e coulompne	-----|-⌫-⌫|--------|
delcielala	--|---||-|
te rreateig nante	--⌫--|-----⌫----|
quidesus sonchie f soipend it	--|----|--|----⌫|--|----⌫-|
lipoeplecelep art tendit	-|-----|---|-⌫--|-----|
ou la clarte le samena	-|-|-----|--⌫|----|
e li serf d eu quisoicuta	|-|---|-⌫-|--|--|---|
nese potdonq es	-|-|--|----⌫-|
mae s defendre	---⌫|-------|
ca rerraumentl u fire ntpre ndre	--⌫|--------|-⌫|----⌫-|---⌫---|
silutrestrentala cite	-|-|--------||-|---|
trestote stre	------|-⌫---|
sauole nte	-|----⌫--|
lig lisede	|--⌫---|-|
sei nt piere	---⌫-|----|
elors iloecsi comdreiz i ere	|---|----|-|--|----|-⌫--|
lu fi ren tsac rer	-|--⌫---⌫|---⌫--|
apostoille	---------|
qui de tozpecchieznos	--|-|--|-------|--|
co nosdonstdeuparsa merci	-|--|----|--|--|-|----|
diezcou os e npr i	---|-|-⌫-|-⌫|--⌫|
seingnors einsicomuos	--------|----|--|--|
futliserf deeslit	--|-|---|-|----|
maiso nc plus	---|-⌫-|---|
quan terraume nt sestdemoustrez	----⌫|-------⌫-||--|---------|
carlorg u il	--||---⌫-⌫-|
desesa ncesors	-|--|-⌫------|
p ars ensparuer tuzepar mours	-⌫-|-⌫--|--|---⌫--||--|----|
odmeintea utre male cou stome	-|-----|-⌫---|---|---⌫----|
q ui deua nt lui selt	-⌫-|----⌫-|--|---|
estrearome	----||---|
tan tos tabat it eesquas sa	---⌫---⌫|----⌫-||------⌫-|
si qede prime srefu sa	-|-|-|-----⌫|----⌫-|
lu titrede iohan	-|----|-|----|
e uesqe dec ostentino b le	-⌫----|-|-⌫---------⌫-⌫-|
quidoncal fu er de sesance stres	--|---|-|--⌫-|-|--|----⌫----|
soin omotprincipaldes	--|-⌫---|--------|--|
es enif ist	||-||-⌫--|
p a r nomdescumunation	-⌫-⌫|--||-----------|
qenulsnefustmaestantha rdi	-|---|-|---|---|---|--⌫--|
qeso ifeist nomer	-|--⌫|----|----|
por digneten epor	--|------|-⌫|--|
nepornegune	-|--|-----|
autrenoble sce	----|-----⌫--|
maisqe tres t oz gen eraument	---|-|----⌫-⌫-|---⌫-------|
s oico ntensisse nt umblement	-⌫-|--⌫---------⌫-|--------|
en moursenoeures enabiz	-|----|-|-----|-|---|
emesmement enlo ure scriz	|--------|-|--⌫-|-⌫----|
ga r dassentenhumi lite	--⌫-⌫------|-|----⌫---|
l ourhautesceelourdignete	-⌫--|-------||---|------|
dompor co qecofu st tenu	--|--|-|-|-|--⌫-|---|
ei n sicomlotporueu	--⌫-⌫-|--||-|-----|
entrin ementsanz uiol e n ce	------⌫----|---|----⌫-⌫-⌫-|
errau mentapreslase nten ce	-----⌫---|----|-|--⌫----⌫-|
lu premieres sampledona	-|------|--⌫-----|---|
c arserfas	-⌫-|---|-|
s ersdeu soinoma	-⌫--|--|--|---|
puesent rest otesses epistres	---|-|-⌫----⌫---|--|-------|
totprem erainsaschefs	--|----⌫-----|-|----|
dest it res	--|-⌫--⌫--|
tantqepu es toz sissu cces s our	-----|--⌫-|--|--|--⌫----⌫-⌫--|
enco lufe soienthonour	-|-|-|--⌫-----|-----|
e enmolzautre s	|-|---|-----⌫|
sicomensimpl e s uestimenz	-|--|-|-----⌫-⌫|--------|
en umbleoneste co ntenan ce	-|----|-----|--⌫------⌫-|
e tan t uo sdibiensanzdou tance	|---⌫|--⌫|-|---|---|---⌫----|
ta nt par ert donqes sanz feintise	--⌫-|--|--|-----|---|-------|
ame zdeto t e seinteiglise	---⌫|-|--⌫-⌫|-----|-----|
qonqororsretientparcoustom e	|-------|------|--|-------⌫|
maismement lacitederome	---------|-|---|-|---|
seinem e n tto te sa doctrine	------⌫-⌫-⌫|--⌫-|-|-------|
tantsalueme nt etante ntrin e	---|-------⌫-||---|-⌫-----⌫|
co msi cofus t fe	--⌫|-|-|---⌫|-|
carsac he z	--|---⌫--⌫|
bentantparert	--|---|--|--|
de s quantfuten zeltronemis	--⌫|----|--|--⌫|-|----|--|
ealplus hautdeg reas is	|-|---|---|---⌫-|--⌫-|
d eseinte igliseu n iue rsale	-⌫|-----|-----|-⌫-⌫---⌫----|
enlabr etescheprinc i pale	-|-|--⌫------|-----⌫-⌫---|
co m eschaugueite	--⌫|-----------|
au ctorize ́	--⌫-------⌫|
t antde ue rtuz enluminé	-⌫--|-|--⌫---|--------|
moust rotqiln	-----⌫--||-||
ert pas nice	--|--|---|
nepe rrecou sen sonoffice	-|--⌫------⌫|-|--|-----|
cartantost	--|------|
prista sarmoner	----||-------|
atozladreitefeimoustrer	|--|-|-----|--|-------|
abatreles m ahom e ries	-----|--|-⌫----⌫-⌫---|
esquassertotesherisies	--------|----|-------|
toz lespoinz denostrecr eanc e	--|--|----|-|-----|--⌫----⌫|
par seine aper tedemoustrance	--|----|----⌫-|-----------|
e nsei ngnot atrestote	-⌫----⌫----||-------|
sis preechot hau tecl erment	-||-------|---⌫||--⌫-----|
comeua nge lienbed e l	--|---⌫---⌫---|---⌫-⌫|
qui lameistrieele	--|-|-------||-|
enporto tdetoz le spastors	-------⌫|-|--|--⌫|------|
q on c fussentainznapres	|--⌫|------|---||----|
a p ostresprinci paus	-⌫-⌫-----|------⌫---|
asquelsn ul	-|----|-⌫-|
se int nest p aregaus	--⌫--||--|-⌫------|
carsortrestoz	--|--|------|
lesseinz delmont	--|----|--|---|
meistrese princessanzpe rsont	-------||------|---|--⌫|---|
ci llesquels de umeis m e	--⌫|--|----|--⌫|----⌫-⌫|
en saper sone	-|-|---⌫---|
demei nisme	-----⌫----|
u eirsoemdelauir gemarie	-⌫---|--|-|-|---⌫-|----|
espirtaument en cesteuie	-----------|-|----|--|
saseinte doctrineenseingna	-|-----|-------|--------|
comceusl esquelssor	--|---|-⌫-|----|--|
lo rsquantotrapelee	--⌫-|----|-|------|
des apo s tr esfundee	--|---⌫-⌫--⌫-|-----|
tantostc om cilquientendit	------|-⌫-|--|--|-------|
icoqe li prophetedit	--|-|-|-------|--|
q esor lupoeple ereit	-⌫|--|-|-----|----|
e prin ci p alpastorclamez	|----⌫--⌫-⌫-|-----|-----|
p ortantqe u icese sracast	-⌫-|---|-|-⌫---|-⌫------|
epuesuertuzedifiast	|---|-----|-------|
tres tote s le smalesasises	----⌫----⌫|--⌫|----|-----|
quieroientia as egl ises	--|------|-|-|---⌫---|
partot lum ondenraci n ees	--|--|-|-⌫--|------⌫-⌫--|
co ustomesmalementleue es	--⌫------|-------|----⌫-|
con t relad oct rine anciene	---⌫-⌫-|-|-⌫---⌫---|------|
delafei apostoliene	-|-|--|----------|
esracerpriste esgrap ir	------|----||------⌫-|
ebone s encont re	|----⌫|------⌫-|
puesc omme ncot a red rescie r	---|-⌫----⌫---||---⌫------⌫|
quan tqen iglisee r eitmest i er	----⌫-|-|-----|-⌫-⌫--|----⌫-⌫-|
com dechanz edechanteors	--|-|----||-|--------|
deministresdeseruitors	-|--------|-|--------|
e nis deslaispriuez ser u anz	|--|--|---|-----|---⌫-⌫--|
quilapostoile erent siuanz	--||--------|----|-----|
dellouie r porlupallion	--|-----⌫|--|-|------|
deuesqal consecration	|------|-----------|
de sfertrescouerzdedaumai res	--⌫|------|-----|-|------⌫--|
deb esoingnes m endres emaires	-|-⌫--------|-⌫-----||-----|
comde nonreceue irles	--|-|--|------⌫-|--|
aclergalofficeaeslais	|------|-----||-----|
emein te autre	|----⌫-|----|
b onecou stome	-⌫--|---⌫----|
establita rome	-------||---|
trest oteslesiglises	-----⌫---|--|------|
quisontparmil umondasises	--|---|----|-⌫|---|-----|
parlu co mmu n assentement	--|-|--⌫---⌫|----------|
de toz c lersordene e gent	-|--|-⌫---|------⌫|---|
orde neeme nt red resca	----⌫-----⌫-|---⌫----|
e ladrescementcon ferma	||----------|---⌫----|
par priuileg e a uct ori zé	--|--------⌫|-⌫---⌫---⌫--|
dapostoiliaudignet e	|----------|------⌫|
siqon qors re tien t sadoctrine	-||--⌫---|--⌫----⌫|-|-------|
tr estot limondta n t parentri ne	--⌫----|-|---|--⌫-⌫|--------⌫-|
soulpoin ttrespassern	---|----⌫|---------||
cartant partientaseintechose	--|---|--|----||-----|----|
quanq e degregoireestuenu	-----⌫|-|-------|--|---|
coms idelci elfust	--|-⌫|--|--⌫-|---|
tant parertp i de eaumosn iers	---|--|--|-⌫-⌫-||------⌫---|
gregoire li de amischiers	-------|-|-|---|-----|
f rancsdeb oneires	-⌫----|---⌫------|
larges despendant hospit au s	-----|---------|------⌫--⌫|
qesanzcha itisesanzprisons	-|---|---⌫---||---|------|
detan tdi uers esregions	-|---⌫|--⌫----⌫-|------|
em eimementderomanie	|-⌫-------|-|------|
as quelz ilsostene itlauie	-|----|-|-------⌫-|-|--|
tozlesi orsouqil onqesfust	--|--|-⌫--|-||-|----|---|
acoustomeementpeu st	-------------|---⌫-|
asatabledem e inement	|-|----|---⌫-⌫------|
quant q oemt rouast d estr ange	-----⌫|--|-⌫-----||----⌫---|
tantqunior entre	----|-|--|----|
autre splusors	-----⌫|------|
u ns oem semblan t	-⌫-|--|-------⌫|
debone smors	-|----⌫|---|
uintpiepoudrousco mp elerin	---|--|-------|--⌫|-⌫-----|
aquig re g oireerttan tenclin	|--|-⌫--⌫-⌫---|--|---⌫|-----|
qe porlu plus ne por	-|--|-|---|-|--|
neu ot sofrir	-|-⌫-|-----|
qapiez nameins	||---|||----|
luiser ui st po r	--|---⌫--⌫-|--⌫|
negun e pe in e	-----⌫|--⌫--⌫|
au t re om meqesoncors	--⌫-⌫-|--⌫-|-|--|---|
car umble mentpargrantfranchise	--|-----⌫---|--|----|--------|
tantsem eteiten	---|-|-⌫----|-|
s onseruise	-⌫-|------|
qenisia les bacins	-|--|-|--|-----|
doml aeuedoner luiuoleit	--||---|----|--|-----|
doucementases	--------||--|
meins lauer	----|----|
li p elerinsqu i ilser uit	-|-⌫------|--⌫|-|---⌫--|
tantsoude mentsenuanoit	---|-----⌫---||-------|
parentreeustoze mmilap la ce	--|----|--|--|-⌫--|-|-⌫--⌫-|
qonc niparu tsentenetrac e	|--|||----⌫|----|-|----⌫|
del uiquel si co	-|-⌫-|---|-|-|
fustfantome	---|------|
n oncp uesnepotestr e	|--|-⌫--|-|--|----⌫|
en negunsenaperceu	-|----|--|------|
que lepart senfust de uenu	---⌫-|---||-|---|--⌫---|
s enfut gregoirea	|-|--|-------||
esbahizdice le auentu re	------||---⌫-|------⌫-|
quant apresmeis mela nut	----|----|----⌫-|-|--|
e n auis onluiapp arut	-⌫|----⌫-|--|---⌫---|
lif izdenostresauueor	-|-⌫-|-|-----|------|
quili diseitpar	--|-|-----|--|
grantdoucor	----|-----|
gregoirefists	-------|---||
ilm isch ie rsdruz	-|-⌫-|--⌫--⌫-|---|
so ue ntasmesmem brespeuz	--⌫--⌫-|-|--|---⌫---|---|
ma is ierre ceu sue ireme nt	--⌫-|--|--⌫---⌫|--⌫-----⌫-|
meimei smes	--|---⌫---|
d emeinement	-⌫---------|
un autretensauint regi ers	-|----|---|----|----⌫--|
qelis ersdeu	-|-|-⌫--|--|
quitan t ertpleindecharite	--|---⌫|--|----|-|------|
sonaumosner	--|-------|
otcom ma ndé	-|---⌫--⌫---|
segoncostomeq	----|------||
peleri n sou q lestrouast	------⌫-⌫|-||--|------|
douzze par	-----|--|
nombrea sonmang ier	-----||--|----⌫--|
ecilquie n	|--|--|-⌫|
ert cost omier	--|----⌫----|
sanz de mourert o terraument	---|--⌫-----|-⌫-⌫|--------|
acomplitson commandement	-------|--|-----------|
mai s q uantf ur entatableasis	---⌫|-⌫---|-⌫--⌫--||----|---|
gregoire lide chiers am is	-------|-|-|-----|--⌫-|
ue rs les pelerinsregarda	--⌫-|--|-------|------|
segoncos tome	----|---⌫---|
esisnombr a	|-||-----⌫|
send ut ben	|-|-⌫-|--|
p ro efaue irgranth o nte	-⌫--⌫-|---⌫-|----|-⌫-⌫--|
l iaumosnerdesonaconte	-⌫|-------|-|--|-----|
c ar presdel d ou zismeennombrant	-⌫-|---|--|-⌫--⌫----|-|-------|
lutreszismeitrouasoian t	-|--------||----|-----⌫|
dons esba hit estrange ment	--||----⌫--|--------⌫---|
eporcolo rstoterraument	|--|-|--⌫-|--|--------|
l aumosner	|-------|
