SOIGNORSor escoutezque Désuoss oit	-------|-|-------|--|---|--|-⌫--|
Q uant Flo ouan sl antantsigrantioienotmais	-⌫---|---⌫----⌫||-----|-|----|---||-|---|
Tozlicorsli re uint desm ausqu	--|-|---|-|--⌫---|--|-⌫--|-|
ilauoittraiz	-|----|----|
d it Richiers ilm ancouient auler	-⌫-|-------|-||-|------|----|
Sepaiensmespa rc ̧oiuent biennos	-|-----||----⌫--⌫------|---|--|
poront griuer.	-----|-----||
S aichi ̈ezsimeu oientici	-⌫-----⌫--|||-|-⌫----|--|
à uosparler	-|--|-----|
Nospordri e n s	--|------⌫-⌫-⌫|
lates tesansp oin tdedemorer	-|---⌫-|---|-⌫---⌫|-|------|
-A ulezbi ausdouzamisgar deznemobliez	|-⌫---|--⌫--|---|---|---⌫--|-||-----|
Auplustot quepor oizuïande	-|---|--|--|---⌫--|------|
Me scorsmou	--⌫|---|--|
s esfloibie de	|--------|-|
çouquaigéuné .	---|-|-|------||
-Sire cedit	|---|-|--|
Rich iersaparm ainan	----⌫---|-----⌫--|-|
garde m auld elagantqu etan thé.	--|-|-⌫--|-⌫|-|---|--⌫|---⌫|--||
Atant delu separtn	----|-|-|-|---||
iai plusdemoré.	|-|---|------||
RICHIERS itde	-------|-|-|
lachartreles	-|------|--|
degrez monta isus.	-----|-----⌫|--||
Deuantluiseregarde	-----|--|-|------|
nefutpa s es parduz	-|--|--⌫|--⌫-----|
escrindef erqui auchartrenierfut	-----|-|-⌫-|--|-|----------|--|
Asonpiélou	|--|---|--|
pe çoielion sde grantuertuz	--⌫----|-|--⌫|-|----|-----|
Et depain etdec haritro ua	-|-|---|-|-|-⌫--||---⌫-|
Sons eignou rendonaiquile mestieren	--|-⌫------⌫|-|----|--|-|------|-|
i lgr a ntioie se ildou	-⌫|--⌫-⌫-|---|-|-|--|
ui n éu t.	--⌫|---⌫||
Pluisrefermailac har trequine fut p erc éu z	----|-------|-|-⌫---⌫--|-||-|--|-⌫---⌫---⌫|
Se spanzdes o nsamitaitr est ot	--⌫|---|-|-⌫-⌫|----|-|--⌫---⌫-|
Puisanui nt ou palais l a i o ù	---|-|--⌫-|-|-----|-⌫-⌫|-⌫-|
l amirausfut	|------|--|
Ia lifer ai	-|-|---⌫-|
acro irequeo nl ai b ienbatu	----⌫--|--|-⌫||-|-⌫--|---|
O ùquiluitlamirauz	-⌫-|-|-|--||------|
espiez li est	-|---|-|--|
ch éu z .	--⌫---⌫||
Lamiraus li	|------|-|
demandeCom uos estauenuz	------|--|--|--|-----|
ditRichiersmorzsuis	--|-------|---|---|
etconfunduz.	-|--------||
Amiraus esc outezMaon mez uosaiu t	------|---⌫----|----⌫--|--|---⌫|
CarleFrançoisauiés à	--|-|--------|-----|-|
. I .cuuert randu	|||-----|----|
Otot luisansaoitpormicelarcuoltui	|--|--||-|----|----|--|--|-----|
ielidisquisaroi ti aibatu z	-|-|--|-||-----⌫|-⌫-|----⌫|
Etilmetrestournerent	-|-|-|-------------|
àtinésetà fu z.	-|-----|-|-|--⌫||
fut Tauer ganz	--|-----⌫---|
morzfu seet confu nduz	---|--⌫-|-|-----⌫---|
LamerciMahonmet	-|----|-------|
an estauenuz.	-|--|-----||
Lechar trenier aimortet	-|----⌫------|-|---|-|
leFranc retenu	-|----|-----|
E nzo ufons de lacha r trelai	-⌫-|-⌫|---|-|-|---⌫-⌫--||-|
trabuchi élaiius.	--------⌫-|--|--||
Ie l éuse tuéquande uos	-||----|---|---|-|--|
m espar çuz	|-----⌫---|
Plus maulneliféisseiusqueàuosfut	---|---|-|-|------|-----|-|--|--|
Quantlamiraus l antanttoz	----||------||-----|--|
an futesp arduz	-|--|---⌫----|
Mao nenhoera etlasueuert uz	---⌫|-|----|-|-|--|----⌫-|
Loumatinpar son laube iert li Françoispanduz	--|----|--|--||---|---|-|--------|-----|
Séezuo sci cousinsmesamis et mes druz .	----|--⌫|-|------|--|---|-|--|---||
-SIR EceditRichiersi ci e s t nezde	|---⌫|-|--|-------|-⌫-|-⌫-⌫|--|-|
Quantuosces tuauez liauantureest gra nde.	----|--|---⌫-|---|-|-------|--|---⌫--||
Ilf ut fizEs corf anà. I	-|-⌫-|--|--⌫----⌫-|-|||
. ducdeBretai g n e	|--|-|------⌫-⌫-⌫|
Sesperespout	--|----|---|
m ander.XXm.homes	-⌫----||--||----|
asla nce s .	-|--⌫---⌫||
uosnelocirezmieseuospl ait esparma ce	--|-||-----|--|-|--|--⌫--|-------⌫-|
Ainzlanmanro isan Francepar	---||-------⌫-|-|-----|--|
Ouecuosanmanroiz.Cm.homesa s l an ces	---|--|--------||-||----|-⌫|-⌫--⌫--|
Puis ironsàParis	---|----|-|----|
sannuledemorance	--|---|--------|
Lai pandroizle Françoisplus n	--|-------|-|--------|---||
- Cosins ditl	|-----|--||
amirausmoutas bonecréance .	------|---|-|---|-------||
Au premierchiefdeuantco nquauronsnosBretene	-|------|----|-----|--⌫--------|--|------|
Lesriu aiges de mer decianAulemen e.	--|---⌫----|-|--|-|-|-|-------⌫||
Cosinsditl	-----|--||
amiraus puisu osdonrai ge France	------|---|-⌫-|-----|-|-----|
Maugaléema fileàl abale	--------|-|---|-|-⌫|---|
sanblan ce	-------⌫-|
SeMahonmoz	-|-------|
consantporfierepoisance	------|--|----|-------|
uos an f erez uos noces	--|-|-⌫---|--|----|
àLoonà lacha nbre	-|---|-|-|---⌫---|
ditRichierscesteauantureest grande	--|-------|----|-------|--|-----|
lces t dontpandra	----⌫|---|-----|
iesiuos plaite s parmace.	-|-|--|----|-⌫-⌫------||
Puisdita ntresesdanzquepa ien s	---|--|-⌫---|--|---|--|--⌫---⌫|
n elantandent	-⌫||--------|
huiDex l iroisomnipo ta ntes	--|--|-⌫|---|------⌫--⌫---|
Co m t u iaseras roisnul iordedouceF rance	--⌫|-⌫|-|----|---|--|--|-|----|-⌫----|
TafileMau ga lieà la	-|---|---⌫--⌫--|-|-|
doucesan blance	----|---⌫-----|
Tel mon te uos ferai	--|---⌫-|--|----|
porlemiene sciantre	--|-|---|-⌫-------|
Donuo s more ztre stutàmespéequitai le.	--|--⌫|----⌫|---⌫---|-||-----|--|---⌫-||
Aice leparole e stantrezanlach anbre	|---⌫-|-----|-⌫-|-----|-|-|--⌫----|
Par leràMaugalie quitoteiorle	---⌫--|-|-------|--|---|--|-|
E stes uos.	-⌫---|--||
XII .p e rsdela ter rede Fra nce	--||-⌫-⌫-|-|-|---⌫-|-|---⌫--|
Lesescharpeses coussorlesmuloz	--|--------|-|---|--|--|----|
quian blent	--|--⌫----|
Paiens les	-----|--|
oren tprisaupiédune mon taigne .	----⌫|---|-|---||--|---⌫-----||
Premiersparlai Pinelet GanourdO riand e	-------|-----|----|-|-----||-⌫-----⌫|
Amirausde Per sietaioierecommance	------|-|---⌫--|-|---|---------|
Maom etTa uerganandoiz grantmercirandre	---|-|--⌫-----|-|---|----|----|-----|
Quite motanp risonlebarnaigede France.	--|-|--|-|-⌫----|-|-------|-|-----||
Nosanauonst ex . XII	--|-|----|-⌫-||--|
porlemienesciantr e	--|-|---|--------⌫|
Liperespuetmander .XXm .hom esaslances	-|----|---|-----||--||---⌫-|-|-----|
Quantlam i rausl antansian ot i oieg rande	----||--⌫-⌫---||----|-|-|-|-⌫--|-⌫----|
AïM aonmotsireco ma uezgra n tpo i sance	--|-⌫-----|---|--⌫|-⌫--|---⌫-⌫|--⌫-⌫----|
do ne zuospluxqu e	--⌫--⌫|--|---|--⌫|
ieneuos d emande	-|-|--|-⌫-----|
AHI Mahonmotsirecomuoz estespoisan z	--|-------|---|--|--|----|------⌫|
Iai me donezuos	--|-|----|--|
pluxque ie neuos	---|--|-|-|--|
Metezm oicesFranc ̧ois	----|-⌫-|--|-----⌫---|
chartreléanz	------|-----|
Demain saron t p anduzian an	-----|-----⌫|-⌫----|-||-|
aurontgarant.	-----|-----||
A fu zetà	|--⌫|-|-|
tiné slesanmoinen t bat ant	-----⌫|--|--------⌫|---⌫--|
E nzofonz dela	-⌫-||---|-|-|
chartrelesont	------|--|--|
ge tezléanz	--⌫--|-----|
Qua ntFloo u ans lesuitm out s	---⌫-|----⌫-⌫--|--|--|-⌫--||
anuaimeruoilanz	-|--|---------|
Il l or aideman délicheualier	-|-⌫-|-|-----⌫--|-|--------|
Qui estesu os	--|----|-⌫-|
sei gno ur quequerezuoscéanz	---⌫---⌫-|--|-----|--|-----|
uosmesanblez Franço is auparlerloroman.	--|-|------|-------⌫-|-|-----|-|----||
-uoire pormafoisire queuos	|----|--|-|--|---|--|--|
ma ntiriens	--⌫-------|
Cilaian nomAntau me	--|-|-|--|-----⌫-|
etli qu ensIoceran z	-|-|--⌫--|-------⌫|
Ang eliersdeBor dale l ouardiconbatant	---⌫-----|-|---⌫---|-⌫-|---|--------|
Et Anmarride Chartresets on frereMoran	-|------|-|-------|-|-⌫-|----|----|
EscorfandeB r eta ign eetRic hartle	-------|-|-⌫-⌫---⌫---⌫|-|---⌫---|-|
EtForquerezdeTroiesBaudu ins li	-|--------|-|-----|-----⌫--|-|
Etli duxd eBorgoign equi est riches mena z	-|-|--|-⌫|--------⌫|--|--|-----|----⌫|
qu ensde Sa int Gile où grant honourapant	--⌫--|-|--⌫--|---|--|----|-----|----|
Etiesuislidozemes	-|-|---|-|------|
qui ain onGuineman	--|-|-⌫-|-------|
Quitient ChatelLando nErupu iset leManz	--|----|-----|-----⌫|-----⌫-|-|-|---|
Dusqu eo u ̀uaul	-----⌫|-⌫-⌫|---|
Guion faitonloumiencomma nt .	----|---|-|--|---|-----⌫-||
- SEI GNOURdit Fl oouanspor	|---⌫----|--|--⌫-----|--|
L iquésestGuinemanz quitientChatel	-⌫-----|--|--------|--|----|-----|
Ilaicéanz	-|-|-----|
.fre re qui neestg ai relo in t .	|---⌫-|--|-|--|-⌫--⌫-|--⌫--⌫||
lontant andu	|--|---⌫---|
lin obilesb a rons	-|-⌫-----|-⌫-⌫---|
Siliont dem and é c ommanti laian	-|-|--|---⌫---⌫-|-⌫-----|-⌫|-|-|
Seignourdi t Flo oua nsneuosanmantirons	-------|--⌫|---⌫---⌫-|-|--|-|--------|
Iesuisfiz Cloouisleroi de Monloüm	-|---|--|------|-|--|-|-------|
Qu ime c haç aideFranceporun emesprison	--⌫|-|-⌫----⌫-|-|-----|--|--⌫|--------|
Q ueiefis ue rs monmaitreSenechauldeD	-⌫-|-|--|--⌫-|--|-----|--------|-||
Cuiiecopai labarbeenz	--|-|----|-|----|--|
a près lou	-⌫----|--|
Por t a nsnepousremaindre à	--|-⌫-⌫-|-|---|--------|-|
R oinsneàLoon	-⌫---|-|-|---|
A inzfuschaciezde	-⌫--|--|------|-|
Francetozsoussanconpainon	-----|--|---|--|--------|
Forsdunfra ncescuier	---||-|---⌫-|------|
quiRichieraian nom	--|------|-|-|--|
ducIoce ramquenosiciuaons	--|----⌫--|--|--|--|----|
Guinem antlou nob ileb aron	------⌫--|--|---⌫--|-⌫---|
EtFran ço isliesc rientS irebaisieznousd o n	-|----⌫---⌫-|-|---⌫----|-⌫--|------|---|-⌫-⌫|
i lcéanz home	-⌫|-----|---|
sirenesoit uostrehons.	---|-|---|-----|---||
Enlachartrese bais entetgr a ntioie se font	-|-|------|-|----⌫--|-|--⌫-⌫-|---|-|---|
O Rdemoinentgr an tioieenlach artreléanz .	-⌫|--------|--⌫--⌫|---|-|-|--⌫----|-----||
Flooua ns le s apaleli	------⌫-|--⌫|----|-|
prouz etliu ailanz	----|-|-|-⌫-----|
Seignourorm a nta ndez ce l our dit	-------|-||-⌫---⌫---|-|-⌫--|--|
Rich iersestlàamontouec	----⌫---|--|--|----|---|
lesme scréanz	--|--⌫-------|
L amiraus l aime plu x	|------||---|---⌫|
que nulhome	--|--|---|
Etliaifait acroire que	-|-|-|---|------|--|
i l estsesparanz	-⌫|--|--|-----|
de morai gairesqueneue necéanz .	--⌫----|-----|--|-|--⌫-|-----||
Richiersest en lachanbrela	-------|--|-|-|------|-|
filel amiran	---||-----|
Oùiliou ee seschasà.I	--|-|---⌫|-⌫|-----|-|||
.roi dOci dam	|--||---⌫--|
Estesuos.I .mesaige parmila	----|--||||------|----|-|
cha nbreerr a nt .	---⌫---|---⌫-⌫-||
uitlapu cell e	--|-|--⌫----⌫|
se lidit enrian t	-|-|--|-|----⌫|
P a rMahondamoisale io ieuos croit mo ult	-⌫-⌫|----|--------|--⌫-|--|----|--⌫--|
Mo u ltdeuezmercierMahonetTauergam	--⌫-⌫-|----|------|----|-|-------|
Qui uosmot	--|--|--|
an pr ison leba rnaige desFrans.	-|--⌫---|-|--⌫-----|--|----||
Tesperes an	--|----|-|
ai.XII p or	-||--|-⌫-|
l e mienescian t	-⌫|---|------⌫|
Liper es u aut.	-|---⌫-|-⌫--||
I.sentsilai	||---||-|-|
sesgar ne manz.	--|---⌫--⌫---||
Quantla ntandiRi c hiersgriés anfutetd o lan z	----||-⌫-----|--⌫-⌫----|-----|-|--|-|-⌫-⌫---⌫|
Illaisaile io eret s	-|-----|-|--⌫-|-||
. I. ban c	|||---⌫|
RICH IERSletleioer si s estaulezsoioir .	----⌫---|--|-|---|-||--|----|-----||
Mau gal iel a	---⌫---⌫-|-⌫|
balequi grantba utéauoit	---|--|----|--⌫---|----|
De io stelu ises sit labal e demenois	-|--⌫--|--⌫||--⌫--|-|---⌫|-------|
Ses branz l i mit a ucoulsilai	--|----|-⌫|--|-⌫|---|-||-|
baisié . III.foiz	------||--||---|
Cos insdi tlapucel lequé shome ssont	---⌫--|--⌫|-|-----⌫-|----⌫|----⌫|---|
Fran çois	----⌫----|
ditaiRic hi ersiapluspro uz nen	--|-|---⌫--⌫--|-|---|---⌫-||-|
C ontre.XXX.paiens s	-⌫----||--||-----||
a nconbatrient.III .	-⌫|----------||--||
- Cosins dit lapucelle por	|-----|--|-|------|--|
mafoibient a ncroi.	-|--|---||-⌫|---||
Mes pere s anai .XII	--|----⌫|-|-||--|
.qui furentprisarsoir	|--|-----|---|-----|
Encele chartresunt car lesaulonsu ooir.	-|---|------|---|--|--|-----|-⌫---||
dit Rich iers bien	--|----⌫---|---|
irecou urerez	|-----⌫-----|
Telmau laianmo nchi ef ne puis	--|---⌫|-|-|--⌫|---⌫-|-|---|
le ior uéoir.	-|--|-----||
Puisditantr ese sdan z	---|--|----⌫|--⌫|---⌫|
Iaipa rmoin ierez.	--|--⌫|--||----||
Atantle laitladame et u aiioe rpor	----|-|---|-|---|-|-⌫-|---⌫|--|
Aseschasuai ioeràPin ar.	-|-----|--|---|-|---⌫-||
I.fort roi .	||---|--||
Richi ersanfutmoultliez ce s aichi ez	-----⌫--|-|--|----|---|-|-⌫-----⌫-|
uospo r uoir	--|--⌫|---|
Por ta ntuoraia ulerpo rtansu ers	--|--⌫-|----|-⌫---|--⌫|---|-⌫--|
nosFran çois.	--|----⌫----||
RICHIERSlaiseioier	-------|----|----|
lapu cel eàPinar	-|--⌫---⌫|-|----|
uin tàlus de	---⌫|-||-|-|
l achanbresi sanuai d au tre	-⌫|------|-||-|--||--⌫--|
De ciq ueàla	-|-|-⌫-|-|-|
cha rt reonq uesnetre sfinais.	---⌫--⌫-|---⌫--|-|---⌫------||
Leschartren iers apale IocesetCaïfas	--|--------⌫---|----|----|-|------|
Que ́homes aid oncprismessiresl	---⌫|----|-|-⌫--|---|--|----||
-Sir edece sde	|---⌫|-|--⌫|-|
F ranc edes	-⌫----⌫|--|
m eilou rsqu iliai.	-⌫-----⌫-|-|-||-||
-Ourezmoicel lech a rt reiei antrera iai	|----|--|---⌫-|--⌫-⌫--⌫-|-||------|--|
Tel iporai conni trequi	--||----|-----⌫--|--|
chierl ouconpara i .	----|-⌫-|-------⌫||
Cilliourent lachart reet Richiersian trai	--|-|-----|-|-----⌫-|-|-------||--⌫---|
L aioùilu itl es constes uns	-⌫-|--|-|-⌫-|-⌫-|------|--|
le sbais a	--⌫|----⌫|
E tgra ntioie	-⌫|---⌫-|---|
etgrant doilont il deme nélai.	-|----|---|--|-|----⌫--|--||
Do ilontdela prisondonil nitrontiemai s	--⌫-|--|-|-|-----|--|-||-----|-----⌫|
Ioie o ntdeRichïer qui t rouezlesai lai	---|-⌫-|-|-------|--|-⌫----|--|-|--|
Fa nme sont	--⌫--|---|
mul tuoi dous eset plenes demaula rt	---⌫|---⌫----⌫-|-|-----|-|---|-⌫-|
Oe zdeMaugalie come lesepansai	--⌫|-|-------|--|-⌫-|-|-----|
Quant ell eneu oit Richierde ioie rse	----|---⌫|-|-⌫--|------|-|----⌫|-|
Bie n pansai an	---⌫|-----|-|
quenlachar tr ean aula i.	-|-|-|----⌫--⌫|-|----⌫||
Eleseraipor ta ns sepuetqueil	--|----|--|--⌫-|-|---|--|-|
El le otun e cr ote qui pors o zterre	--⌫-|-|--⌫|--⌫--|--|--|-⌫-⌫|----|
Elleeslu meune lampe	---|----⌫-|--|----|
qu i anlanterne	--⌫|-|-------|
Pordesoz. I.car r elanlachart re	--|----||||---⌫-⌫-|-|-|-----⌫-|
Etu itRichier quiles	-|-⌫-|------|--|--|
autre sbaisai .	-----⌫|-----||
Quantceuitlapuc el le	----|-|--|-|---⌫--⌫-|
totz licor s	---|-|---⌫|
li tranbl ai	-|------⌫-|
Etd it entre ses	-|-⌫-|----|--|
danzqu e nunsn el	---|--⌫|---|-⌫||
A mirausdePersiequelt rai ̈sonciai	-⌫-----|-|-----|---|-⌫---⌫---|-|-|
Sec esne faitespandremau lemantu os	-|-⌫-|-|-----|-----|---⌫-----|-⌫-|
Por Mahonmot	--|-------|
m ond eu ieli c onteraiia i.	-⌫-|-⌫-|-|-|-⌫------|--⌫||
Auplu sto tquep oüt a nsa	-|---⌫|--⌫|--|-⌫---|-⌫|-|
chanb reen aula i	-----⌫-|-|----⌫|
ElemandeR ichie rqui	--|----|-⌫-----⌫|--|
ch art rees tai .	--⌫---⌫-|--⌫--||
QuantR ic hierslanta ndion quen idemorai	----|-⌫--⌫----||----⌫--|--⌫--|||------|
AsFransapris con gié	-|----||---|---⌫---|
Pluxtot que ilpora i forsd a nqui	---|--|--|-|----⌫|---||-⌫---|
lesmetrai.	--|-----||
Lorsmontele s	---|----|--⌫|
Ma ugalie a nua i	--⌫-----|-⌫|--⌫|
Enlachan b re sanan tre	-|-|----⌫-⌫-||-|--⌫--|
ou ̀ladam e	--⌫|-|---⌫|
Quan tla bale uoi tR ichi eren apelai	----⌫|-|---|---⌫|-⌫----⌫-|-|-----|
Aunepartle	|--|---|-|
traitquenuns	----|--|---|
nel escoutai.	-||-------||
Ai ditelecos i nsqui deces espans at	-|--|--|---⌫-⌫-|--|-|-||------⌫-|
uosfacïés a croiremo nperel ami raur	--|-------|-⌫-----|--⌫|---||---⌫---|
Que de Persi eestié s d ourené de Pers is	--|-|-----⌫|------⌫|-⌫-|----|-|----⌫-|
Ainçoi sestesde France descontesn aturaus	-------⌫|----|-|-----|--|-----|-⌫------|
Si au ez nonR ichi er ieuoscoinouispieçai	-|--⌫-|--|-⌫----⌫-|-|--|-------|------|
AuChatel Auena ntcertesoù	-|-----|-----⌫-|-----|--|
ie fusiai.	-|--|--||
Granthonou rme féi tesce	----|-----⌫|-|----⌫--|-|
cutoruos uaudrai.	--|-|--|------||
dameotcedit.I	---|-|-|--|||
.grant sopirieta i	|----|----|----⌫|
Eamirausde	|------|-|
Persequeltr aïsoni	----|---|--⌫-----||
QuantRichierslanta nditotlic ours	----|-------||----⌫--|--|-|-⌫---|
li tranblai	-|-------|
Illic haïesp iez	-|-|-⌫---|-|-⌫--|
etmercili criai	-|----|-|----|
Seu osuolezma damenos	-|-⌫-|----|-|---|--|
imor om sn esiai.	|---⌫--⌫--⌫-|--||
Quant le uoitla	----|-|---|-|
puc el ledepiti é larmoiai.	---⌫--⌫-|-|----⌫-|-------||
RICHIE Rditlapucellefranscheua li er s uailanz	------⌫|--|-|------|----|-----⌫--⌫--⌫|------|
panséneme celernéant	-----|-|-|----|-----|
Que ferezd es	--|----|-⌫-|
Franço isan l ac hartrei esanz	-------⌫-|-|-⌫|-⌫-----|-⌫----|
- Dam ecediR ichiers me r ciporDeu	|---⌫|-|-|-⌫------|--⌫-⌫-|--|--|
N iai poi ntde cele rquant uos	||-|---⌫-|-|----⌫|----|--|
ansaueztant.	-|----|---||
uée zlesoudoier	----⌫|-|-------|
an la c har tre gesant	-|-|-⌫---⌫--|-----|
Que uosuéitesia auChatelAu enant	--|--|------|-|-|-----|--⌫----|
I lestfi zCloouis lanpareresd es	-⌫|--|--⌫|------||--------|-⌫-|
Che u aleriequerre uen imes àFloram	---⌫-⌫-----|-----|---⌫---|-|-----|
Masil au oit.II.fi z cuuerset	--|-|--⌫--||-||--⌫|-----|-|
nosont uan duzàl ami raulPersis	--|--|---⌫--|-||---⌫---|-----|
Eti lla ifait geter	-|-⌫||-⌫|---|----|
ansa chartre pl uxgran t.	-|-|------|--⌫-|----⌫||
itraigina issiaur ailepoilblanc	----|----⌫-|-|---⌫-|-|---|----|
SeDamedexnan pansele per eomnipota ns	-|------||-|----|-|---⌫|--------⌫-|
Et pu is uos enaprès	-|--⌫-|--|-|-----|
qu i multe stesuailanz.	--⌫|---|-⌫---|------||
-RICHIERSditlapuc ellefrans cheualier	|-------|--|-|---⌫---|----|--------|
t onseigno urle ge au oie féauté	-⌫-|------⌫-|--⌫-|--⌫--|-------|
meuositpanre àmoilie reta ̀	-|----|----|-|------⌫|-|-⌫|
Porlasueamitiérelanquiraimondé	--|-|--|------|----------|--|--|
Iemais iord emauiene	-----|--|-⌫|-|--|-|
quierMaoma mer	----|---|-⌫--|
pene raide toncorsheno rer	----⌫--|-|--|---|----⌫--|
E t deluietd es autres à uostre	-⌫|-|--|-|-⌫-|-----|-|-----|
-DameceditRichiersplait auez	|---|-|--|-------|----|---|
ancontré .	--------||
Or aulonsàlachartresiau r oiz féauté	-|-----|-|-|------|-|--⌫-⌫--|-------|
Etd emoi etdes autre sà	-|-⌫|--|-|--|-----⌫|-|
uostr e uelonté.	-----⌫|-------||
Etl apucel leafai tsalamp ereslumer	-|-⌫|-----⌫-||---⌫|-|----⌫|-------|
Entre luietRichier sanso ntanduitornez.	----|--|-|------||-|--⌫-|----|-----||
.carrelont	|-----|--|
o stépor de ios te.	-⌫---|--|-|---⌫-||
Poroùellesol oite tueniretauler	--|--|---|---⌫--|-⌫|----|-|----|
Richiersentreanl acha rtrelapucelleremest	-------|----|-|-⌫|---⌫---|-|------|-----|
Laioùuit no s Françoissesaimoul t	--|--|--|--⌫|--------|--|-|----⌫|
ElasceditRichiers	---|-|--|-------|
comsumesangi nez	--|----|----⌫--|
Lafi le lamir aulnosai tozescoutez	-|--⌫-||----⌫--|--|-|--|-------|
Lemat i n po r s onl	-|---⌫-⌫|--⌫|-⌫-||
a u besaro ns tres tut pand uz.	-⌫-⌫-|----⌫-|----⌫--|----⌫-||
-Elasdit Floouansie lousau ois	|---|--|-------|-|--|---⌫--|
Iane u au rai deFrance mon	-|-|-⌫--⌫--|-|-----|--|
riche para nté.	----|----⌫---||
Quantl antandi	----||------|
Richi erss i	-----⌫--|-⌫|
l ai araisone ́	|-|--------⌫|
Seignours cedit Ri chiersor neuosdema ntez.	--------|-|--|--⌫-----|-|-|--|----⌫---||
Laf ilel amir amMaugalie auuiscler	-|-⌫--||----⌫-|-------|-|--|---|
Poramou rFloouan t r elanquira im ondé	--|----⌫|-------⌫|-⌫---------⌫|-⌫-|--|
Sise feraianfons batisier	-|-|----|-|---|-------|
Ie maisiorde	--⌫---|--|-|
sa ui enequie rtMaho namer.	-|--⌫|-|----⌫-|----⌫|---||
Etre sp ondentFrançoisBienfai tà	-|--⌫--⌫-----|--------|---|---⌫|-|
cre ́a nter.	---⌫--⌫---||
-Richiers dit Fl oouansfaitesla am ener .	|-------|--|--⌫-----|-----|-|--⌫---||
- S ireceditRichiersuol entiers	|-⌫--|-|--|-------|---⌫------|
Lecarrelaleue ́	-|-----||----⌫|
Il aiprisp orla	-|-|---|-⌫-|-|
main la bale auco rsmolé	---|-|---|-|--⌫-|----|
Anmi la cha rtrel	---|-|---⌫---||
aiàFloouantmené.	-|-|-------|----||
OùquiluitFloo uantformantl	--|-|-|--|----⌫---|------||
Doucemant l i	--------|-⌫|
anbrace lesflanset	------|--|----|-|
lescoustez	--|------|
Plusde .u II.foizlibaiseet	---|-||-⌫-||---|-|----|-|
le s auizetle	--⌫|---|-|-|
Dam ois ia uzfizde r oitropuoses tes	---⌫---⌫--⌫-|--|-|-⌫-|---|--|--⌫--|
Por lauostreamit iérelanquir aimond é	--|-|-----|----⌫--|---------⌫-|--|-⌫-|
Ie maisior	--⌫---|--|
demauiene quier	-|-|--|-|----|
Mahon am er	----|--⌫-|
Puis si me peneraideuo s	---|-|-|------|-|--⌫|
henourpor ter	-----|---⌫--|
De Richier	-|------|
etdesaut resdela	-|--|---⌫--|-|-|
chartre geter.	------|----||
-DameditFlooua n ssicom uosc ommand ez	|---|--|------⌫-⌫|-|--|--|-⌫------⌫-|
Or anprenez fianceàuostreu elonté .	-|-|-----|-----|-|-----|-⌫------||
Fra nçoisli ontt restutpleui et	---⌫-----|-|--|-⌫-----|----|-|
Floouans et R ichierscomel	-------|-|-⌫------|--|-|
aideuis é	-|-----⌫-|
Eteleausautre sicom	-|--|--|----|-|--|
ilo nt deuisié	-|-⌫-|-------|
Queiem aisn auron t maul	--|---⌫--||-----⌫|---|
do nle spuisega rd er.	--⌫|--⌫|----|--⌫--⌫-||
Ens achanbreloruai loumengier aprester	-|-⌫|------|--|--|--|------|-------|
De u e n oisonsauuaigee td ourset des angle z	-|-⌫-⌫-⌫----|-------|-⌫||---|-|-|-⌫-----⌫|
As ezorentàboire	--⌫-|----|-|----|
etpima nt et claré.	-|----⌫-|-|-----||
FR ANÇOISsontbien seruizla i dedanzanlachar tr e	--⌫------|---|---|-----|--⌫|-----|-|-|----⌫--⌫|
painetuin que	---|-|--|--|
Ric hier slo r	---⌫----⌫|--⌫|
ontmengiési	--|------|-|
Onquesne futtelfanmecedit li	-----|-|--|--|----|-|--|-|
unsàl autre .	--|-||----||
- Barons dit	|-----|--|
Flooua n z onquestelnacoitates	------⌫-⌫|-----|--||--------|
siuaillant	-|-------|
FRANÇ OIS sontbien serui anlac hartre perine	------⌫--|---|---|----|-|-|-⌫-----|-----|
ilo ntm eng ié siga bent et sirient.	-|-⌫-|-⌫---⌫--|-|--⌫---|-|-|----||
Maudaran zet Mau doir esne sass é urent	--------⌫|-|---⌫----⌫-|-||---⌫--⌫----|
Am irausd ePers ietafoinos es	--⌫----|-⌫|----⌫-|-|--|--|-|
Quiles Franço isdeuiés detrenchi eret ocire	--|--|-------⌫-|------|---------⌫-|-|----|
f ero izlagard equeD al uz fitd Orbrie	-⌫---⌫-|-|----⌫|--|-⌫--⌫-|--||-----|
Quil ot an saprison.XIIII .	-|-|-|-|-|-----||----||
anzuoir eou	--|----⌫|-|
.I. orgoilousFrançois deF rancel agarnie	|||--------|--------|-|-⌫----|-⌫|-----|
Puisliesch apa	---|-|----⌫--|
ild e s ac ha rtre	-|-⌫|-⌫|-⌫--⌫---|
P uisocit ilDaluzet .I .	-⌫--|---|-|----|-||||
suenfiz Dal ise.	---|--|---⌫--||
Ausiferontiltoise gardenane st	---|-----|-|--|-|----||-|-⌫-|
Ai cesteparole estesuos	|-⌫----|-----|----|--|
Lamira uslaba isa de l ez	|-----⌫-|-|--⌫--|--⌫-⌫-|
lulaes sise	-|||--⌫---|
Puisli aidemand é D	---|-|-|------⌫-||
onuenez bel le file	-|----|---⌫-|---|
Amau dros toncosin piecai queneuéimes.	----⌫---|--|----|---|-|--|-|------||
-Sir eilestm elaidese nsaabergerie	|---⌫|-|--|-⌫------|-⌫|-|--------|
