a nnaschayfasetsimyneetdadannietgamaliel	-⌫---|------|-|-----|-|------|-|-------|
la crois soreu xen	-|----|--|--⌫|-|
lorfront enlo rlangheset e nlormains.	--|----|-|--⌫|------|-|-⌫|--|----||
adontcommencier ent a parlerd o nésn o usdi sen t il e n ke	----|----------⌫--||-----|-⌫-⌫---|-⌫-⌫-|--⌫---⌫|-|-⌫-⌫-|
etparcheminsiescriron scekenos auonsoi	-|--------|-|--------⌫|-|-|--|----|-|
limaistrelordonerent etcils asisent s i escri sent	-|------|--|-------|-|--||------|-⌫|-----⌫---|
i hesu cristki f a it les morsreuiure	-⌫---|----|-|-⌫-⌫-|--|---|------|
l ai ss enous	-⌫--⌫--⌫|---|
direlesmeruelle ske	---|--|--------⌫|-|
tuf eis ata mo rtc ar	-|-⌫--||-|--⌫-|-⌫-|
len nosaconiurez departoi.	--|--||-------|-|--|--||
tu nousa uois	-|---|-⌫---|
co mmandéke nosa nuluideissienste s	--⌫------|-|--||----|--------|--⌫|
secrez kenosauonsu eus a ta mort et	-----|-|--|----|-⌫--||-|---|-|
maiscistmaistr enoson tconiurez d e partoike	---|---|------⌫|--|--⌫|-------|-⌫|--|--|-|
di onscek e nos ueimes.	--⌫--|-|-⌫|--|-----||
nouse stions misoupa rfo nt in ferau oe cnos	---|-⌫-----|--|-|--⌫---⌫-|--⌫--|--⌫--⌫|--|
anc issorssiauintuneeurekel i	---⌫-----|-|----|--|---|-|-⌫|
urais soleuscommen capetit	----|-----|------⌫-|----|
apetitaescl arciersor n ous.	|----||----⌫-----|--|-⌫--||
adam no streperesi regarda uers	---|--⌫---|---|-|------|---|
sesneueus lespatriarches etles p rophete ssi	--|-----|--|----------|-|--|-⌫-------⌫|-|
fumoltlieset distkeceestoit	-|---|---|-|---|-|-|-----|
so n creatorki auoit	--⌫|------|-|----|
promisla lumiere et kil lienu oiero itcelseign or	-----|-|------|-||-|-|---⌫-----⌫-|--|-----⌫-|
ki l auoitfourmé.	-||----|------||
sescriasilidistceest	|-----|-|-|---|-|--|
lifiuxdeuki ciu ient	-|---|--|-|-|-⌫---|
disbienquantieestoie uiuans	--|---|----|-|-----|-----|
s or terre.	-⌫-|----||
ieprophet izailipuep le ski seoitente nebres	-|-------⌫---|-|----⌫--⌫|-|----|-|--⌫-----|
uitl a gr ant lumi ere	--|-⌫|--⌫--|----⌫--|
etac a us ki	-||-⌫-⌫-|-|
esto ient es tenebre sdinferuin t	----⌫---|-|-------⌫||----|---⌫|
l agra ntlu mier eetestesp anduesor	-⌫|---⌫-|--⌫----⌫|-|--|---⌫----|--|
oreestuenuecele	--|--|----|---|
l umie redistysaies ceest celeki lauient	-⌫----⌫-|---|-----|-|--|---|-|-|----|
lauintcor an tsymeonsilordis t	-|---|---⌫--⌫|-----|-|--|---⌫|
soié stuitliet	-----⌫|---|---|
gl orefiiésnostreseignorlefildeu car ie	--⌫--------|-----|------|-|--|--|--|-|
aire ce ul enf ant en	-|--⌫--⌫||---⌫--|-|
mesmain ssile presentai	--|----⌫|-|-|--------|
e lt emple alaute l.	-⌫|-⌫----|||----⌫||
e t connucparl esain tesperit kecee stoit	-⌫|-----|--|-⌫|----⌫|------|-|-|-⌫----|
ils idisoreontmi o el ueu	-|-⌫|--|--|--|-|-⌫-|--|
monsauue orketu auoies	--|-----⌫-|-|-|-----|
apparell ié deuant ton pu eple.	--------⌫--|-----|--|--⌫---||
ce estlalumie re aureu element e t a	-|--|-|-----⌫-|-|---⌫------|-⌫||
lagloiredeto n puepleisrael.	-|-----|-|--⌫|-----|-----||
sirede xquantce oirentliaut res i	---|--⌫|----|-|-----|-|---⌫-|-⌫|
ore nt gr egnorioiekedeu ant	---⌫-|--⌫----|---|-|---⌫--|
acesparolesuint	|--|------|---|
unserm iteset	--|---⌫---|-|
liautre li de manderent ki	-|----|-|--⌫--------|-|
cil respo ndi ie	--|-----⌫--|-|
s u iiehans li prophetesdou hautseign eu r	-⌫-⌫|-----|-|--------|--|---|-----⌫--⌫|
ie suiuenu sdeuant	-|--|----⌫|-----|
lu iporappar ellierencon trelui bele suoiez	--⌫|--|-----⌫-----|-----⌫--|--|----⌫|----|
etn et es .	-|-⌫--⌫-||
quant iluendr oit keil	----|-|-----⌫--|-|-|
p ueplei sr a el telet si sagek eil leconeust	-⌫----|-⌫--⌫-⌫-|--|-|-|---|-⌫|-|-|------|
etillesauu ast	-|-|-|----⌫--|
etrachatastdetousses pec hies.	-|--------|-|---|--|---⌫---||
ieuing d eu a nt	-|---|-⌫--⌫-⌫-|
luiq uant ie le ui uen ir	--|-⌫---|-|-|-|---⌫-|
sime fist lisain sesper iskeie	-|-|---|-|----⌫|-----⌫-|-|-|
auoiededensm o idire ielemo ustraiau	----|-----|-⌫-⌫|---|-|-|--⌫-----|-|
d oisi disueez	-⌫-|-|--|---|
chi l aigni el deukipardo nelespechiesd oumonde	--||-----⌫-|--|-|-----⌫-|--|------|-⌫-|----|
ielebaptizaiou flun i ordain.	-|-|-------|-|---|-⌫-----||
esp e risdescendides or luiensa mblancede	---⌫-⌫--|-------|---⌫-|--|-|--⌫------|-|
ieoilauoiskid o uci el	-|-|-|---|-|-⌫-⌫|--⌫-|
descendiki dist	-------|-|---|
c eestmonfiz k eie	-⌫|--|--|--|-⌫|-|
tous mespla isirz encestui	---|--|---⌫----|-|-----|
oés lesparoleskil	---|--|------||-|
ie u en usausideuantluipor uousdirek	-|-⌫--⌫-|---|-----|--|--|---|---||
il uendra a	-|-----||
uous nouel emen t et i l kie stuendraen	---|-----⌫----⌫|-|-⌫|-|-⌫-|-----|-|
lumiereuouski	------|---|-|
ies t esentenebre s .	---⌫-⌫-|-|-------⌫||
oiadansnost repremiersperesi	-|----|----⌫-|-------|---|-|
se scria etapielasonfil	|-⌫----|-|-----|--|--|
distadans car nosconteore	---|----|--|--|----|--|
kem i chiell	-|-⌫-⌫----||
arch angeleste dist quan tietenu oiaiasportesd e	----⌫------|-|---|----⌫|-||---⌫---|-|-----|-⌫|
pa radispor priierno stre	--⌫----|--|-----|--⌫---|
sei gnor kiltedon astd el oile	---⌫---||-|-|---⌫--|-⌫||---|
delarbredemisericor depor	-||----|-|---------⌫-|--|
mon cor soindr eq uan tiefu i	--|---⌫|-----⌫|-⌫---⌫|-|--⌫|
- peredi stsec hiele uou s d irai.	|---|--⌫-|---⌫|-|-|---⌫|-⌫---||
ie i alaiuoirementa	-||---|--------||
no streseig norporpriierde	--⌫---|----⌫--|--|-----|-|
loileato ncors oind r e .	|---||--⌫|---|----⌫-⌫||
do ntuint sa int mich ie l amo isi me	--⌫-|---|--⌫--|----⌫--⌫||--⌫|-|-|
dist secht u	---|---|-⌫|
n epues auoirpointde	-⌫|---|----|----|-|
a tonper eoindred eci	|--|---⌫|-----|-⌫--|
audaerr ainior keyymi leyy ans seront	-|-----⌫--|--|-|-|--⌫-|-|--|-----|
dontuendralif iux	---|-----|-|-⌫--|
deusor terre	--|--|----|
porre sus citerle corsad anton pere etmo ltd	--|--⌫---⌫----|-|---|--⌫-|--|---|-|--⌫-||
autrescor s.	-----|---⌫||
iluendra etsiiertbaptiziéselflun i ordain	-|-----|-|-|---|---------|-|---|-⌫-----|
etquant il iert iss usdelflun	-|----|-|---|---⌫-|--|---|
d ontoindera	-⌫--|------|
ildel oiledemis eri c orde tou sceuxki en	-|-||---|-|---⌫---⌫-⌫---|---⌫|---|-|-|
lu i kerront.	--⌫|------||
do usaint esperitrengenerée t ierent rengeneré en	--⌫|----|------|---------|-⌫|-----|---------|-|
ui eparme nab le.	--⌫|-----⌫---⌫-||
d illuecap resuendra ilicien	|-----|--⌫--|-----|-|--|-|
infer unossommessien	----||--|-----|-|-|
m enra ton pere	-⌫---|--|---|
enparadisa	-|------||
larbrede miseric o rde.	|----|-|-------⌫-⌫--||
quant lipatriarce etliprophete oirentce	----|-|--------|-|-|-------|-----|-|
auo it d itsi furentlie et tuitli	---⌫-|-⌫-|-|-----|--|-|---|-|
autre saint	----|----|
a celeioieke li autresa intfai soien tsi uint	|---|---|-|-|----|--⌫--|---⌫-----⌫|-|---|
sat hanprinces etmestresetunsautr es mestres ki auoit	---⌫--|------|-|------|-|--|----⌫-|------|-|----|
nonenfers.	--|-----||
sathanenfe rsapareille toi derec euoiri hesumkidis tke	-----|----⌫-|--------|--|-|---⌫----|-⌫----|-|---⌫|-|
ile stfizdeuetsi e st homet crient	-|-⌫-|--|--|-|-|-⌫-|--|-|-----|
lamortquantildistm amedist	-|---|----|-|---||--|---|
tristede chiala	-----|--⌫--||-|
mainscontra ires ma fais.	----|------⌫---|||---||
ieauoiefa isclo scontrai sauul g les bocus mes i aux etles	-|----|--⌫-|---⌫|-------⌫|----⌫-⌫--|----|---⌫-⌫--|-|--|
deab lesmisd edens lescorsil	----⌫--|--|-⌫----|--|---|-|
garisa une s eulepa ro le	----||--|-⌫---|--⌫--⌫-|
etceux meismeskeiouauo i edeuers	-|---|------|-|--|---⌫-⌫|-----|
moitous mors ceuxmail to lus et	--|---|---|---|||-|--⌫--|-|
fais reuiure	---|------|
dontrespondi enfersa sathanki estcil	---|-------|-----||-----|-|--|--|
k itantpuetp ars apar ole	-⌫|---|---|-⌫-|-⌫|---⌫--|
kiteus uertus fa it	-|---|-----|--⌫-|
con tumasd i tethomest	--|-||-|-⌫-⌫|-|--|--|
etmortcrient	-|---|-----|
tui tlipuissant	---⌫|-|-------|
homedeterresonten ma	---|-|----|---|-|-|
poe steettulesamoi.	---⌫--|-|-|--||--||
as t u cestuisou gitamoi	-|-⌫|-----|---⌫--||--|
etk iestor cistkie st si pu i ssans	-|-⌫|--|-|---|-|-⌫-|-|--⌫-⌫----|
etsicontrairesetesthomet mort crien t	-|-|---------|-|--|--|-|---|-----⌫|
sil estsi pui ssansen	|-|--|-|---⌫----|-|
humaniteen	-------|-|
tediieporuoirkil est	-|-|-|--|---||-|--|
d extou spo issansen	-⌫-|---⌫---⌫-----|-|
cielnencontreluinepuet nusaler.	---||-------|--|-|---|--|---||
ets ildis tkil crientmortdont	-||-|---⌫||-|-----|---|---|
seueutilcele r .	-|---|-|----⌫||
ett uies malbaillistous lesiors de	-|-⌫|--|---------|---|--|---|-|
cedist sathan li princesinf ernaux a stu paor de	-|---|-----|-|------|---⌫-----|-⌫|-|---|-|
receu oirihes umkitanscontrairesa fai setmoiet	-----⌫--|----⌫-|-|---|---------||---⌫|-|--|-|
i e letentaiet muit o utl epuepl e des	-⌫|-|-----|-|--|-⌫-⌫-|-⌫|-----⌫|--|
iuissor lui par enuie et	---|--|--|--|----|-|
par felonie.	--|------||
ieaguisai lala ncedont	-|------|-|--⌫--|---|
onleelcoste	-|-|-|----|
iemellaiensamblefieletaisil	-|-----|-------|---|-|----|
po rluido neraboire	--⌫|--|--⌫--||----|
ieap parellaile	-|--⌫-------|-|
fustaf aire	---||-⌫---|
ie a ppa rellai	-|-⌫---⌫-----|
l e sc lous a	-⌫-⌫|-⌫---||
luicrucefiier.	--|---------||
ore est e nsi kilest mors et i e le	--|--|-⌫--||-|--|---|-|-⌫|-|
sou gitamoieta	---⌫--||--|-||
dontr espondie nferst umediso ies ke ceestoitcil	---|-⌫------|-⌫----|-⌫|-|----⌫--|-|-|-----|--|
kilesmorsresusc itoit .	-|--|---|------⌫----||
iade ceuskisontauoec	||-|---|-|---|----|
nouskee ntrementre skilu esquiren tresuscitoient	---|-|-⌫----------⌫-|-|-⌫--------⌫|------------|
ma is cenestoit	--⌫-|-||-----|
lorpoissanc e mais parcoukil	--|--------⌫|---|--|--||-|
prioie ntde u	------⌫-|--⌫|
etdeukitout p u etlesmetoloi t .	-|--|-|---|-⌫-⌫-|--|-|-----⌫||
cilihe sus	--|---⌫--|
puetki p ar saparol e res uscitelesmors	---|-|-⌫-|-|-----⌫|---⌫-----|--|---|
sansprii e r	---|----⌫-⌫|
iecuickece	-|---|-|-|
estcilk iresuscita	--|--|-⌫|--------|
laz arum ki	---⌫---|-|
ia tousmorsestoit et deuersmoi	-|---|---|-----|-|-----|--|
etiele rendiparsoncom mande ment.	-|-|-|----|--|--|---⌫-----⌫---||
dontdist sathans liprince s cou	---|---|------|-|------⌫|--|
estci lihesu	--|--⌫|----|
dontdistenfers	---|---|-----|
partes uertusetpar les	--|--|-----|-|--|--|
moi esk etu celui	---⌫-|-⌫|-|----|
ihesumne mamain escarq u antil	-----|-||-----⌫-|--|-⌫-⌫--|-|
mecommandake	-|-------|-|
iourendisselazarumnelepeuie mieretenir	--|-------|------|-|-|--|-|--|------|
ainssaillisus nela	---|-----|--|-|-|
te rre ki s or	--⌫--|-|-⌫-|
luiestoit n e lepot	--|-----|-⌫|-|--|
don quessaiie bienkecil ho mki cepot	---⌫---|--|-|---|-|--|--⌫|-|-|--|
faire estoitdex defort	----|-----|--|-|---|
empireno nhom	-----|--⌫|--|
p oissanssauuerezd ehum ainelignie.	-⌫------|-------|-⌫|---⌫---|-----||
setu lemamaines	-|-|-||------|
tous ceuskisonten char tre	---|---|-|---|-|----⌫--|
liiétpechiedeslierai lsile s	-----|-----|-------|-⌫|-|--⌫|
menraenuiep ar menableauoecdeu.	----|-|--|-⌫--⌫------|----|--||
endementresk e enferset s athansparloient	------------⌫|-----|-|-⌫-----|--------|
ensiensamble si	---|-------|-|
uint une uoisme ruell euseau s i comuns	---|--|---|--⌫-----⌫---|--⌫-⌫|--|--|
etcefu dauidkiparlamoltfierement seignor	-|-|-|----|-|----|---|--------|------|
princedist ilo stésuossi enterra	-----|---|-|-⌫----|--|-|------|
lir ois degloire.	-|-⌫--|-|-----||
deusfoisp arla si faitement.	---|---|-⌫---|-|--------||
qu antenfersl oisifait ementparleryyfoisaus i	--⌫--|-----||-|-|----⌫----|-----|-|---|---⌫|
c om il neseustke cefu stsi	-⌫-|-|-|----|-|-|--⌫-|-|
roisdegloir e	---|-|-----⌫|
respon di ceestunsfo rs	------⌫-|-|--|--|--⌫-|
sireskidouciela	----|-|--|---||
regardéalaterrepor oir les	-------||-|----|--|--|--|
plaintesdeceuski sont	-------|-|---|-|---|
liiétpa rpechietetkis o nt en	-----|--⌫|------|-|-|-⌫-⌫-|-|
pechie mort.	-----|---||
ettutr es puanstrescunchiiezourelespo rtessi	-|-|--⌫-|----|---|--------|---|--|--⌫---|-|
enterra lir ois d e g loir e.	------|-|-⌫--|-⌫|-⌫----⌫||
quant dauid	----|----|
ot ceditsi	-|-|--|-|
uintlirois degloi reen s em blanced ome	---|-|---|-|----⌫-|-|-⌫--⌫-----||--|
lis iresd emaieste siosta	-|-⌫---|-⌫|------|-|---|
les te nebr esetenlumina	--|--⌫----⌫-|-|-------|
ceuxki estoient en	---|-|-------|-|
tenebres eten	-------|-|-|
quant enfe rsetsathan se t	----|----⌫-|-|------⌫|-⌫|
liautreprince di nfer	-|----|-----||-⌫---|
uire ntlumiere si tra mblerent tu itdepaorsis	----⌫-|------|-|---⌫-------|--⌫-|-|---|-||
escrierent t uit aihesumsire	---------|-⌫--||-----|---|
tu n osas u enc us	-|-⌫-|-|-⌫---⌫-|
kiiestukisanspechi e e tsa ns	-|--|-|-|---|-----⌫|-⌫|--⌫-|
c orr upti onetparm aies tesas	-⌫---⌫----⌫-|-|--|-⌫----⌫--|-|
en despitnostreseignorie	-|-----|-----|--------|
kiie stuki	-|--⌫|-|-|
iessigransetsipetis sihumlesetsi	--|-|----|-|-|----|-|-----|-|-|
bi auxcheualiers	--⌫--|---------|
em pereressambleset	--⌫------|------|-|
pechie siiessifors batellieres de rois	-----|-|--|-|---|----------|-|---|
d egloireetmo rs fuset oreiesuis	-⌫|-----|-|--⌫-|--|-|--|--|--|
etocisf usenlacrois e t mis ousepucre	-|---|-⌫-|-|-|----|-⌫|--|-|------|
ore iestous ui sdes cendusa	--|--|---|--⌫|---⌫-----||
enta mo r t trambla la	-|-|--⌫-⌫|------|-|
li sola us	-|----⌫-|
perdi sa clarte	----|-|-----|
lesestoile s	--|-------⌫|
enfure ntoscures.	-|----⌫-|------||
oreiessifaiteme ntci	--|--|-|-------⌫-|-|
uenusa noussi quitement ke	----||---|-|--------|-|
tunecrienslamo rt etsidestorbesto ut es	-|-|-----|-|--⌫-|-|-|--------|--⌫--⌫-|
ki ies tu kid eslies ceux	-|--|-|-|-⌫-----|---|
kiliié so ntdesliiensde pech iet	-|----|--⌫-|--|-----|-|----⌫--|
fa is tou sdeliures etmaines enlancienefra nchise .	--⌫-|---⌫|-------|-|-----|-||------|---⌫-----||
ki si nose nluminesdesigr ant lum iere	-|-|--|-⌫-------|-|-|--⌫--|---⌫---|
do ntuienstu	--⌫-|----|-|
kiie stukisi fors iesetsiblans	-|--⌫|-|-|-|---|--|-|-|----|
cl er set sines	--⌫--⌫|-|-|--|
de tous pechiez	-|---|------|
tousli mondes aesté iusqu aore	---|-|-----||----|----||--|
s ougisamoi	-⌫----||--|
onquesmaisli mondesne	-----|---|-|-----|-|
nulsifortmort	--|-|---|---|
onques mai s telpr esentne	-----|---⌫|--|--⌫----|-|
onque smais hom ne mor ut ki neme	-----⌫|---|--|-|---⌫-|-|-|-|
rend isttreus.	----⌫--|----||
ki iestu ki sihardi ement	-|--|-|-|-|-----⌫----|
iesuenuske tune	--|----|-|-|-|
crien snultor ment	-----⌫|--|---⌫---|
ueustolirtous les nos.	---|----|---|--|--||
ie quic ke	-|---|-|
ci l ih es usdecui sathanme	--⌫|--⌫--⌫-|-|--|-----|-|
distk epar lamor tihe su per dro ie lap oeste	---|-⌫|--|-|---⌫|---⌫-|---⌫---⌫-|-|-⌫----|
a dontp ris tnostresireli	-⌫---|-⌫---⌫|-----|---|-|
gl oireemperere zdemaie stes	--⌫---|--------⌫|-|----⌫---|
la mortetsachaiu s a sespies.	-|---|-|----|--⌫||--|---||
bouta eninfersi tr ai stadan	----|-|----|-|--⌫--⌫-|---|
asa clarte .	|-|-----||
quant enf ers	----|---⌫--|
uitsathansi boutéarrie resilecomm encaa	--|-----|-|-----|-----⌫-|-|-|----⌫---||
distilsath anprince s depredic ationet	---|-|----⌫-|------⌫|-|------⌫----|-|
tubee lze buz porcoi	-|---⌫---⌫--|--|--|
uoloistucef aire	-----|-|-|-⌫---|
tu quidoi ez	-|------⌫-|
toutlemond eauoir deseu sstoi	---|-|----⌫|----|-----⌫-|--|
tuneseus ketufeiset	-|-|---|-|-|---|-|
ci stsireki ciestuenu sih esus liroisde	--⌫-|---|-|-|--|----⌫|--⌫---|-|---|-|
parsaclarteetpa rsalumiere	--|-|-----|-|--⌫|-|------|
enato uteschacies	-||--⌫---|------|
nos tenebres	--|-------|
tout esnos clartes aildepec h i e s	----⌫-|--|------||-|-----⌫-⌫-⌫-⌫|
tous noscaitis en ai l ieté s	---|--|-----|-||-⌫|-----⌫|
t ousl esliiés ail	-⌫--|-⌫-|-----||-|
ki estoient des ousnostreseignorien e no scriementmais.	-|-------|---⌫--|-----|--------|-⌫|--⌫|-------|---||
nostreseignori ee stabatue.	-----|--------⌫|-⌫-|-----||
orsont cilor ge llousenuersnous	-|---|--|--⌫--⌫----|-----|---|
kiennost re mer chis oloient	-|-|----⌫-|---⌫--|-⌫------|
sathanpr ince s de tousmaus ke uoloies tufaire	-----|--⌫----⌫|-|---|---|-|------|-|----|
tuitcilki estoie nt douper edesalu kitous	---|--|-|------⌫-|--|---⌫|-|---|-|---|
tans ontplo re ́	---|--|---⌫--⌫|
iusqu a o re il ont	----||-⌫-|-|--|
tou te slor larmestersezneplor ent mais	---⌫--⌫|--|-----|-----|-|----⌫--|---|
ains sonttu it lie .	---|---|--⌫-|--||
satha nsires desmer des et d es l on gaignesquanke	-----⌫|----|--|---⌫--|-|-⌫-|-⌫--⌫------|-----|
tuauoies aq uis	-|-----|--⌫--|
p arc elfruitdontadansman iala po meas	-⌫-|-⌫-|----|---|----|---⌫-|-|--⌫-|-|
tuoreper du.	-|--|---⌫-||
ettoutela leeceest perdue	-|----|-|----|--|-----|
desadont ke liroisd egl oiref upen dusen la	--|-----⌫-|-|---|-⌫|--⌫---|-⌫|---⌫--|-|-|
o resgarde en	-⌫|------|-|
toi meis mes	--|----⌫--|
com grant to rmenttus ou ferrastous	--|----|--⌫----|-|-⌫--⌫-----|---|
iors mais enmagardeeninfer	---|---|-|-|----|-|----|
sathanta m orta stuporchac ié .	-----|-|-⌫--|-⌫|-|-------⌫--||
par toi uintprimeso rguelsauant.	--|--|---|-----|-⌫-----|----||
primesdeus sest uauoir	-----|----⌫--|-⌫|----|
enqu is douplet de	----⌫-|--|---|-|
i hesu sa uoir	-⌫---|--⌫---|
monsilestoi t	--||-|-----⌫|
coupeunon.	----||--||
desketu netroua sen	----|-|-|-----⌫|-|
lui maluaistenuleporcoilosa s	--|--------|---|--|--||---⌫|
tu crucefiier	-|---------|
pa rtoies t il	--⌫|--|--⌫|-|
cau enuspor noustormenter etfairedolans.	-|-⌫---|--|---|--------|-|----|-----||
as destruiz.	-|-------||
endeme ntres quein fer sparlasi f aitemen t	------⌫-----⌫--|--⌫---⌫|----|-|-⌫-------⌫|
asathan don tdistliroisde gloire	|-----|---⌫|---|-|---|-|-----|
a e nferenfers	|-⌫---|-----|
tesprinces sathansiert	--|------|------|---|
poesteenleud adan et	-----|-|--||---|-|
d e se senfanskituits eni ron t .	-⌫|--⌫|-----|-|---||-|-⌫---⌫||
dontestendiihesussa main si dis t uenés	---|------|-----|-|---|-|---⌫|-----|
a moituitmisaintq ui	|--|---|-|----|-⌫-|
sambla nce.	------⌫--||
uouskifuste sdampnépa rlefruitet	---|-|-----⌫|------|--⌫|-|----|-|
parledeab leor	--|-|----⌫-|-|
poésu e oi rkelideablesest	----|-⌫-⌫--⌫|-|-|------|--|
dampnés par	-------|--|
deparmains leusfurent	-|--|----|---|-----|
asambl élisaintde uantihesu .	------⌫-|-|----|--⌫---|----||
ihe susl i r ois	---⌫--|-⌫|-⌫--|
de gl oire	-|--⌫---|
pristadanparla mai nsi li d is tadan	----|---|--|-|---⌫|-|-|-⌫--⌫|---|
paiss oita	---|-⌫--||
toietatous	--|-||---|
te se nfans.	--⌫|-⌫----||
adansli chei aspies s i	----|-|---|-|---|-⌫|
commenca aplorer etsic omme ncaacrie rsi	-------||-----|-|-|-⌫----⌫--||----⌫|-|
comuou soirporr ois	--|---⌫|--|----⌫--|
sireietessaucerai cartu	---|-||---------|--|-|
m asreceunetunesoufrism ie	|-|----|-|-|-|------|-⌫-|
kemianemis edelitaissentsormoi.	-|-|----|-⌫|-----------|--|--||
s iretuiesmesdex .	-⌫--|-|--|--|--||
iecriaiapres toi et tu mas	-|----|----|--|-|-||-|
siretuas m i sem ame fors	---|-|-|-⌫-⌫-||--|---|
s alué decelski sont elparf ont	-⌫----|-|---|-|---|-|----⌫--|
o uo ussaintc antésalsa uueor	|--⌫-|----|-⌫-----|-|--⌫----|
et recon noissiéskil e stsains	-|-----⌫--------||-|-⌫-|----|
a presadancheir ent	-⌫---|---|-----⌫--|
tuitliautresaintaspies ihesu.	---|-|----|----|-|---|----||
ettui tcommencier ent	-|---⌫|----------⌫--|
acriera un	|----||-|
cri ihesu n ostre creer est uies	--|----|-⌫----|-----⌫-|-⌫|--|
uenussic omt u deisdeuantparla	----|-|-⌫-|-⌫|---|-----|--|-|
les pro phetes.	--|---⌫-----||
ettuasaempliinfer cekelipro phete	-|-|-|-----|----|-|-|-|---⌫----|
dise ntde toi.	----⌫-|-|--||
asrach atés par ta	-|----⌫----|--|-|
tu ies descendus anou spar	-|--|--------||---⌫|--|
tamortet partamaiestesi	-|---|-|--|-|------|-|
com tu meis le detontriomphe	--|-|---|-|-|--|-------|
elcielcee st	-|---|-|-⌫-|
ettuasuencuel a mortpartontrio mphece	-|-|-|-----|-⌫|---|--|--|----⌫---|-|
estparlacroiz .	--|--|-|----||
autresimetle signed elacr oizsire	------|--|-|----|-⌫|-|--⌫--|---|
n ostresire	-⌫----|---|
estendi sa ma ins i dist etsorles autres	------|-|--⌫-|-⌫|---|-|--|--|-----|
kila esto ien t si	-|-|----⌫---⌫|-|
pris tadan p ar lamai n etleieta	----⌫|---|-⌫-|-|---⌫|-|-|---|
hor sdinfer .	---⌫||----||
ettuit li autresle siuirent	-|---|-|-----|-|-------|
et dontdistdauidseignordist dauidcantésan ost r e	-|---|---|----|------|---|----|------||-⌫---⌫-⌫|
se ignor nouuiele c hanco n	--⌫----|-------|-⌫-----⌫|
carila fai tmeruell es.	--|-||---⌫|-------⌫-||
nostresiresaf aitcon ois tresaiustice	-----|----||-⌫--|---⌫---⌫--|-|------|
tu it lisaintrespondirent	--⌫-|-|----|-----------|
cedisentlisaintce	-|-----|-|----|-|
estla gloireatoussains .	--|-|-----||---|----||
esc riaaba cuch .	---⌫--|---⌫---||
sired istil tu issis	---|-⌫--|-|-|----|
elsal udetonpuep leadel iur ertesesli s.	-|---⌫|-|--|----⌫-||---⌫---⌫-|--|----⌫||
ettuit lisai ntresp ondirentbeneoisestc ilk ici	-|---|-|---⌫-|----⌫-------|------|--|-⌫-|-⌫|-|
es t u enuselnon	--⌫|-⌫---|-|--|
de nostreseignor .	-|-----|------||
ce e stnostr esire	-|-⌫-|-----⌫|---|
dexkisalumiereen uoiesornous.	--|-|-|------|--⌫---|--|---||
etapress escria	-|----||-----|
micheas kiest sifaiscontu	------|-|--|-|---|--|-|
i ess ireki n osp echiesnospardones.	-⌫-|-⌫--|-|-⌫-|-⌫-----|--|-------||
ettuitli saint	-|---|-|----|
respon dire ntcistestnos tredexparmenablementetcist est	------⌫----⌫-|---|--|---⌫--|--|-------------|-|---|--|
roistousiors .	---|---|---||
si fa itementdisentliprophetecasc unsdesesloenges	-|--⌫------|-----|-|-------|----⌫--|-|--|------|
et lisaintrespondirentamen	-|-|----|-----------|---|
n ostre sire prist adan	-⌫----|---|----|---|
parlem ainsi	--|-|-⌫--|-|
lel iuraasaintmi chiellar changeleetto usles	-|-⌫---||----|--⌫----||--⌫-------|-|--⌫-|--|
sa inssiles	--⌫--|-|--|
mena enla s ain te glo ired epa radis	---|-|-|-⌫---⌫-|---⌫--|-⌫|--⌫----|
lauinre ntyy uielhomekinefurentmieen c or e	-|-----⌫-|-|---|---|-|-|-----|--|--⌫-⌫--⌫|
mort encontreelx.	---|-------|--||
etlisaintlordemanderent kiie stesuous ki	-|-|----|--|----------|-|--⌫---|---|-|
nef us tespas	-|-⌫--⌫--|--|
auoecnousen infer etuose stes i acorporelment	----|---|-|----|-|--|-⌫---|-⌫|-----------|
en charet an ouset	-|---|-||-⌫--|-|
e n lagl oire dep ar adis	-⌫|-|--⌫---|-|-⌫--⌫---|
doncres pondi un sdeu xsilor	---|---⌫----|--⌫||--⌫|-|--|
distiesuien ochki parle commandementde deu	---|-|--|--⌫--|-|--|-|-----------|-|--|
fuiciaportez	--|-|------|
etc ilkeuousueezcicest elyes	-|-⌫-|-|---|---|-||--|----|
ki ca susfu aportésel charroiardant	-|-|--|-|-------|-|------|-----|
nousne fumes onquesmortanco isseronschi	---|-|----|-----|---|----⌫-|-----|--|
gardé iusqua	-----|----||
lauenu eantecristpo r	-|----⌫|--------|--⌫|
faire encontr elui bat aill e.	----|-------⌫|--|---⌫----⌫||
ocirraenierusalem.	-----|-|--------||
aprestr ois iors et	----|--⌫--|---|-|
de minos reuiu eronssisero ns ap ortéca sus	--⌫-|--|-----⌫----|-|----⌫-|--⌫----|-|--|
si comi l parloients i	-|--|-⌫|--------|-⌫|
faitement siu i ntl aunschaitizki	--------|-|-⌫-⌫-|-⌫|--|------|-|
aportoitunecroissorses espaulles.	-------|--|----|--|--|--------||
disentlisaint.	-----|-|----||
de larro n .	-|-----⌫||
por coipor t estu cele	--|--|---⌫-⌫-|-|---|
croissortes espaulles	----|--|--|--------|
cilrespondiuo iremen tsui ie	--|-------|--⌫------⌫|--|-|
