Monsieurl arc euesquede	-------||---⌫------|-|
Toutceiour ne peurentpasserquesesgens	---|-|---|-|------|-----|--|--|---|
Lelendemain	-|--------|
àl aube d u iour passèrentl e s	-||---|-⌫|---|---------|-⌫-⌫|
Bretaigneet de	--------|-|-|
Berryet t o utleurostqui	----|-|-⌫-⌫-|---|--|--|
trouuèrent ceponttrè s be au etfait en	----------|-|---|----⌫|--⌫-|-|---|-|
grandediligenc e etpassèrentun g	-----|--------⌫|-|---------|--⌫|
peuoultree tselogèrentsur lehaul t	--|-----|-⌫|-|--------|--|-|----⌫|
p a reill eme ntDèsquelanuytf utu enue nouscommenceasmes	-⌫-⌫-----⌫---⌫-|---|--|-|---|-⌫-|-⌫---|---|------------|
àapperceuoirgrantnombredefeux bien	-|----------|----|-----|-|---|---|
loing d e nous auta nt	----|-⌫|---|----⌫-|
quelaueue pouo itporter	--|-|---|----⌫-|-----|
A u cunscuydoientqu e	-⌫-⌫---|--------|--⌫|
fu stle roy	--⌫-|-|--|
To ut e sfoisauant q uefustmynuyt	--⌫--⌫-⌫----|----|-⌫-|---|-----|
on futaduertyqu e cestoitleduc	-|--|------|--⌫||-----|-|--|
Calabreseulfilzduroy	------|---|---|-|--|
a uecluybi enneuf censhom mes	-⌫--|--|--⌫-|---|---|---⌫--|
darm es delad uch éetcontéde	|---⌫-|-|-|-⌫---⌫-|-|-----|-|
Bourgongnebienaccompaigné degen s de cheual	---------|---|-----------|-|---⌫|-|-----|
mais de g ens	---|-|-⌫--|
de piedpo u	-|---|--⌫|
Pourcepetitdegensqueauoit	---|-|----|-|---|--|----|
leditducieneueyiamaissibellecompaignie	----|--|-|-|--|-----|-|----|---------|
nequisembla ssentmy eulxhommes	-|--|------⌫----|--⌫---|-----|
exce rcitézoufaitde	----⌫------|-|---|-|
Ilpouoit bien	-|-----|---|
a uoirquelques sixuingtz	-⌫---|-------|--|-----|
hommesdarmes bardéz tous	-----||----|------|---|
Ital iensou autr es n ourrizensesguerres d	----⌫---|-|----⌫-|-⌫-----|-|--|------||
Entrel e squelz estoit	----|-⌫-⌫-----|-----|
Galio tl e	-----⌫|-⌫|
C ampobach eetautres leseigneu rde	-⌫--------⌫|-|-----|-|-------⌫|-|
Baudr i courtpourle pr esentgouuerneurde	-----⌫-⌫----|---|-|--⌫----|---------|-|
Bourgong neetestoient seshommmesdar mes	--------⌫-|-|-------|--|------||--⌫--|
fortadroi tzet pour direlauerité	---|-----⌫-|-|---|---|-|------|
presquelafle ur	------|-|---⌫-|
denostreostaumoins tantp ou rtan t	-|-----|--|-|----|---|-⌫--⌫|---⌫|
Ilauoitquatrecens crane quiniersqueluyau o it presté	-|----|-----|---|-----⌫-------|--|--|--⌫-⌫-|------|
le contep alla t in	-|----|-⌫----⌫-⌫-|
gensfor tbie n montéz quisembloientbiengensde guer re	---|---⌫|---⌫|------|--|---------|---|---|-|----⌫-|
etau oitcinq cens	-|--⌫--|---|---|
Suysses àpi ed	------|-|--⌫-|
quifurentlespremiers que on	--|-----|--|-------|--|-|
ueistenc e royaulme eto ntestéceulxqui	----|-|-⌫|-------|-|-⌫-|----|----|--|
ontdonnéle	--|-----|-|
bruytauxa ultresquisontuenuzdepui s	----|--|-⌫-----|--|---|----|-----⌫|
carilzse gouuern èrent trèsuaillamme ntentous	--|--|-|-------⌫-----|----|---------⌫-|-|---|
leslieuxoùilzs e tr ouuèrent	--|----|--|--|-⌫|--⌫--------|
Ce ste compaig nie	--⌫--|-------⌫--|
queieuousd i zsapprochalematinet passa	--|-|---|-⌫-⌫||-------|-|----|-|----|
ceiourpar d e ssusnost re	-|---|--|-⌫-⌫---|----⌫-|
pon tetaussi sepeultdire quetoute	---⌫|-|----|-|----|---|--|----|
lap uissanc e d uroya ulmede	-|-⌫-------⌫|-⌫|----⌫---|-|
Francesest o i t ue uep ass erpardessusc e p onts auf	-----||---⌫-⌫-⌫|--⌫-|-⌫---⌫-|--|-----|-⌫|-⌫--|-⌫--|
ceulxqui est o ient auecquesleroy	----|--|---⌫-⌫---|-------|-|--|
Etuousasseureque c es toi tunebellee t	-|---|------|--||--⌫---⌫|--|----|-⌫|
gran decompaign ye etgrantnom brede	----⌫-|--------⌫-|-|----|---⌫--|-|
gensdebien etbienempoint	---|-|---|-|---|------|
Etdeuroiton uouloirque	-|------|-|------|--|
lesamys etbie nu ueillansdu	--|---|-|---⌫--⌫-------|-|
royaulmele ussent ueuet	-------||-⌫-----|--|-|
quilzeneu ss ente ul	-|--|-|--⌫--⌫--|-⌫||
estimationt ell equ ilappart ientet semblablem entlesennemysc ar	---------|-⌫---⌫|-|-|------⌫---|-|----------⌫--|--|------|-⌫-|
estéiamaisheurequi lzn	----|-----|----|-|-⌫-||
eneusse ntpluscrain ctl eroy e tleditroyaul me	-|-----⌫-|---|-----⌫-|-⌫|--|-⌫|----|------⌫-|
Le chiefdes	-|----|--|
Bourguygnons estoit monsr de	-----------|-----|----|-|
Neufchastelmareschal de	----------|--------|-|
Bourgongne ioinctau ecluysonfrère	---------|-----|--⌫-|--|--|-----|
lesei g neur de	-|---⌫-⌫---|-|
Montagulema rquis de	------|-|--⌫----|-|
Rothelinetgrantnombredecheualiers e tescuyersdon tles	-------|-|----|-----|-|---------|-⌫|-------|---⌫|--|
aucuns auoyentestée n	-----|------|----|-⌫|
Bourbonnoyscommeiayd i taucom mencementde	----------|----||-|-⌫-⌫|-|---⌫--------|-|
Letoutensemblese stoit	-|---|-------||-⌫----|
ioinctpour uenirplusseurementauecq uesmondictse igneu r	-----|---|----|---|--------|-----⌫--|------|--⌫-----⌫|
Calabrec omm ei ay d i t lequel sembloit au ssi bien	------|-⌫---⌫||-|-⌫-⌫|-----|-------|--⌫--|---|
princeetgrant chefde	-----|-|----|---|-|
g uerre quenul	-⌫----|--|--|
autreque ieueiss e	----|--|-|-----⌫|
enlacompa ignie	-|-|-----⌫----|
E t seen gendragran da mi tiée ntreluy	-⌫|-|--⌫-----|----⌫|-⌫--⌫---|-⌫---|--|
et lecont ede	-|-|----⌫|-|
Charr ol oys 2	-----⌫--⌫--||
Commentle s	------|--⌫|
seign eursmeisrentle sièg e	-----⌫---|-------|-|-----⌫|
Parispourl e n t reprinse qu	----|---||-⌫-⌫-⌫-------|-|
ilz appel l oient le	--|-----⌫-⌫----|-|
Bien publicque	---|--------|
Quanttoutecest ec ompaig n iefutpasse ́equel	----|----|----⌫|-⌫------⌫-⌫-|--|-----⌫-|--||
o nestimo it àcentmil cheuaulx	-⌫|------⌫-|-|---|--|-------|
que bonquemauuaiscequeiecroy	--|--|--|------|-|--|-|---|
se deliberèrent les dictzseig neurs	-|------------|---⌫----|----⌫----|
departir pour	-|-----|---|
tir erdeuant	---⌫-|-----|
Pariset misdrenttoutesleursauantgardese nsemble	----|-|-------|-----|----|----------|-⌫------|
Bourguignons les conduyso it le	-----------|--|--------⌫-|-|
Polpourl esducs de	--|---|-⌫-|---|-|
Berry etde	----|-|-|
R yedepuiscontede	-⌫-|-----|----|-|
Commyngeset	--------|-|
lemareschalde	-|--------|-|
Lo he acc ommeil me	--⌫--⌫-|-⌫---|-|-|
sembleetainsi	-----|-|----|
seachemynèrent	-|------------|
T ousles pri n ces	-⌫--|--|---⌫-⌫--|
demourèrenta ̀la ba tai lle	-----------|-⌫|-|--⌫---⌫--|
Ledictconte	-----|----|
Charroloysetle	---------|-|-|
Calabre preno y ent	------|-----⌫-⌫--|
gr andpe i ned e	--⌫--|--⌫-⌫-|-⌫|
commandere tde faire tenir	--------|-⌫|-|----|----|
ordreà leurs	----|-|----|
bat aillesetcheuau choyentbienar mézet sembloi t	---⌫-----|-|------⌫------|---|--⌫---|-|-------⌫|
bienqu ilzeusse nt bon uouloir d efaireleurs	---|-|--|-----⌫-|--|------|-⌫|----|----|
Bretaignecheua uchoientsur pe tit es hacquenéesà leur aysea rmé z de	--------|-----⌫-------|--|--⌫---⌫-|----------|-|---|---|-⌫----⌫|-|
petitesbrigandinesfortle gièrespour	------|----------|---|--⌫------|---|
le pl us encores diso y entaucu nsquiln	-|--⌫-|------|----⌫-⌫--|----⌫-|-|-||
que petizclo u zd oréz pardessuslesatinpour	--|----|---⌫-⌫|-⌫----|--|-----|-|----|---|
m oinsleurp eser	-⌫---|---|-⌫---|
Toutesfoisie ne le	---------|-|-|-|
Ainsic h euauch èrenttoutescescompaigniesiusquesau	----|-⌫-⌫------⌫-----|-----|--|----------|------|-|
Ch arento np rès	--⌫------⌫|-⌫---|
de uxpetiteslieuesq ui	--⌫-|------|-----|-⌫-|
tost futgaigné	---|--|------|
sur qu elque	--|--⌫----|
peudefrancsa rchiersquily	--|-|-----|-⌫------|-|-||
auoit ded ansetpassa tout e	----|---⌫--|-|----|----⌫|
pardessusce pontetseall a	--|-----|-|---|-|-|---⌫|
loge rleco nte	----⌫|-|--⌫--|
C harroloysdepuis	-⌫--------|-----|
Charenton ius ques àsamaisonde	--------|---⌫---|-|-|-----|-|
Conflans pr ès de là	-------|--⌫--|-|--|
aulong delari uièr eet	-|---|-|-|--⌫-----⌫|-|
fer maunggrantpa ysdeson charroye tde	---⌫-|--|----|--⌫-|-|--|------|-⌫|-|
son artillerieetm isttout	--|---------|-|-⌫--|---|
so no s tded ans etauecquesl uy se	--⌫|-⌫-⌫|---⌫--|-|-------|-⌫-|-|
l og ealeducde	-⌫--⌫-|-|--|-|
Fossèzlo gèrent	------|--⌫------|
Be rrye tde	--⌫--|-⌫|-|
Bretai gneauecun g nombre	------⌫--|---|--⌫|-----|
deleursgens	-|----|---|
ledemourantenuoyèrentloger à	-|--------|----------|----|-|
Denys aussya ̀deux	----|----|-⌫|---|
Etlàf uttouteceste	-|--|-⌫-|----|----|
compaignieun ze	---------|--⌫-|
sepmaines etadui ndre ntdes choses que	--------|-|----⌫----⌫-|--|-----|--|
iediray cyaprès	-|----|-|-----|
L el en demain	-⌫|-⌫--⌫-----|
commencèrentl esesc ar mouchesiusques auxport esde	------------|-⌫-|---⌫--⌫------|------|--|----⌫-|-|
Parisoù estoientdedans mo nsr	----|--|-------|-----|--⌫--|
Nantouill etgrantmaistre quibieny ser uitco mme i	---------⌫-|----|------|--|---||---⌫--|--⌫--||
aydi taill eursetle mareschal	-|--⌫|----⌫---|-|-|--------|
Lepeupl ese ue i tespouenté et	-|-----⌫|-|--⌫-⌫|---------|-|
daucunsautre sestatz	|-----|-----⌫|-----|
e ussentuoulules	-⌫-----|----|--|
seigneu rsdedansi ugeansàle uraduis cest eentreprins e	-------⌫-|-----|-⌫-----|-|--⌫-|----|----⌫|----------⌫|
bon neetprofitablepour	---⌫-|-|---------|---|
le r oyaul me	-|-⌫-----⌫-|
Autresenyauoit d e leurss eigneurie s	-----|-||----|-⌫|----|-⌫---------⌫|
et se meslans deleursaffaires	-|-|------|-|----|-------|
esperan squepar leurs moyenspourroientparu enir	-------⌫|--|--|----|-----|---------|----⌫---|
à quel qu e s o ffic es ou estatzquisont	-|----⌫--⌫-⌫|-⌫----⌫-|-|-----|--|---|
plusdesiréz ences te	---|-------|-|---⌫-|
ci télàque en	--⌫--|--|--|-|
nulle autre du mon d e	----|----|-|---⌫-⌫|
Car ceulx qui les	--|----|--|--|
o ntle s fontualloir ce qu ilzpeuentet n on	-⌫-|--⌫|---|------|-|-|--|-----|-|-⌫-|
pas cequ ilzdoyuentetyaoffices	--|-|-|--|------|-|||------|
sansgaiges qu ise ue n denthuytcens	---|-----|--⌫|-|--⌫-⌫---|---|---|
escuzd autresoù ily	----||-----|--|-||
a gaigesbien	|-----|---|
p etiz q uiseuendentplu s qu e leursgaigesne	-⌫---|-⌫-|-|------|---⌫|--⌫|----|-----|-|
sauroientualoirenqu inz eans	--------|-----|-|--⌫---⌫|--|
Peus ouuent nu lnesedesappoi nte	--|-⌫-----|--⌫|-|-|--------⌫--|
etsoustient lacourdeparl eme ntcestarticleet	-|--------|-|---|-|----⌫---⌫-|---|------|-|
est rai s on	--|---⌫-⌫-|
mai saussiiltou che presque àtous	---⌫|----|-|---⌫--|------|-|---|
Entre lesconse i ller s se trouuent tous iou rslarg e mentdebons	----|--|-----⌫-⌫----⌫|-|-------|----⌫---⌫-|----⌫-⌫---|-|---|
etnotablespersonnages etaussi	-|-------|----------|-|----|
quelqu esbie nma lcondi cionnéz	------⌫-|---⌫|--⌫|-----⌫-------|
Ain siestilent ousestatz	---⌫-|--|-|-|-⌫--|-----|
Éuénementsd	-----------||
Angleterre	---------|
Ieparledecesoffic e setau ctori téz pource	-|----|-|--|-----⌫-⌫|-|--⌫-----⌫---|---|-|
quilzfontdesirer	-|--|---|------|
mutatio ns et n o n pointseu lementde no stret emps	-------⌫-|-|-⌫-⌫|----|---⌫-----|-|--⌫---|-⌫---|
M ais quantl es guerrescomm ancèrent	-⌫--|----|-⌫-|------|----⌫--------|
dèslete mpsdu	---|-|--⌫--|-|
u ièquiconti nuèrent iusquesàlapai x	-⌫--|--|-----⌫-------|------|-|-|---⌫|
Ar ras s e	--⌫--|-⌫|
meslè rentles	------⌫---|--|
Angloys ce pendan t parmyceroyau lmeetsiauan t	------|--⌫------⌫|----|-|-----⌫--|-|-|----⌫|
que entraictantladicte	--|-|--------|------|
Ar ras ou ̀est oie ntdelapartdu	--⌫--|--⌫|---⌫---⌫-|-|-|---|-|
roiquatr e ouci nq princesducz ou c ontescinqou	--|-----⌫|-|--⌫-|------|---|-|-⌫----|---|-|
sixprelatzetdixoudouze	--|------|-|--|-|----|
conseilliers de	-----------|-|
Parlement del a	--------|-|-⌫|
partd uduc	---|-⌫|--|
Philippesgra nspersonnage sà lauenantet	--------|---⌫-|----------⌫|-||------|-|
en beauco upplus grant	-|------⌫-|---|----|
nombrepour	-----|---|
lepape deux	-|---|---|
cardinaulxpou rmediat eurs etde	---------|---⌫|------⌫---|-|-|
gr ans pe rs o nnaig es	--⌫--|--⌫--⌫-⌫-----⌫-|
Angloysdura	------|---|
ce traicté parlespacedede u x	-|-------|--||-----|-|--⌫-⌫|
Etdesiroitfortleducd e	-|-------|---|-|--|-⌫|
Bourgongnes eac qu icterenue rsles	---------|-⌫|--⌫--⌫----|----⌫-|--|
An gloysauan tses eparer deu lxp ourle salliances	--⌫----|----⌫|-|-⌫-----||--⌫-|-⌫--|--⌫|--------|
et prom essesquilz auoye ntensembl e et	-|----⌫----|-|--|-----⌫-|-------⌫|-|
pou rcesraiso nsfu toffertauroyd	---⌫|--|-----⌫-|--⌫|-----|-|--||
Angleterre pour lu y et	---------|---|--⌫|-|
lessiens lesduchézde	--|----|--|------|-|
Normandieetde	--------|-|-|
Guy ennepourueuquil enfeistlho mmaig e au	---⌫---|------|-|-|-|----||--⌫-----⌫|-|
roycomm e a uoientf ait ses pred ecesseurset quil rendist	--|----⌫|-⌫-----|-⌫--|--|----⌫--------|-|-|-|------|
t enoita uroyaulme	-⌫----|-⌫|-------|
horslesdi ctz d uchéz	---|-----⌫--|-⌫-----|
cequ il zreffusèrentp our	-|-|--⌫|-----------|-⌫--|
ne uoul oirfaireledict	-|----⌫--|----|-----|
hommaigeet malleur en	-------|-|--|---|-|
print après	----|-----|
carhab andonnézfurent decestemaisonde	--|---⌫--------|-----|-|----|-----|-|
B our gongneetperdu le u rsint el li gencesdu royaulme se	-⌫---⌫-----|-|----|--⌫-⌫-|---⌫--⌫--⌫-----|-|-------|-|
prindrentàperdre et	--------|-|-----|-|
àdiminuer	-|-------|
Lors estoit	---|-----|
Francepo urles	-----|--⌫-|--|
A ngloysleducde	-⌫-----|-|--|-|
Bethfortf rère duro y	-------|-⌫----|-|--⌫|
H enr ycinquiesm e	-⌫---⌫|---------⌫|
mariéauecques lasoeur d udict duc	-----|-------|-|----|-⌫----|--|
Philip pes d e	------⌫--|-⌫|
Bourgon gne e t s ete noit à	-------⌫--|-⌫|-⌫|--⌫---|-|
Parisquipourlemoi ndre	----|--|---|-|---⌫---|
estatqu il eu st i amaisenc estof fic e ce	----|-|-|--⌫-|-⌫----|-|-⌫--|--⌫---⌫|-|
fu tuingtmilescuz	--⌫|----|--|----|
Ilz perdirent	--|--------|
Parisetpuispetitàpetitledemou ran tdu	----|-|---|----|-|----|-|-----⌫---⌫|-|
Retournézqu ilzf urent	---------|-|--|-⌫----|
Angleterre nulne uoulut	---------|--|-|-----|
dimi nu er sone stat	----⌫--⌫-|--|-⌫---|
Lesbie nsnes toi ent	--|---⌫-||--⌫---⌫--|
auroyaulmed	-|-------||
Angleterrepo ur s atisfairea ̀ tous	---------|--⌫-|-⌫--------|-⌫|---|
Gu erres em eut entreeulxpourleursauctoritézqui	--⌫---|-⌫|-⌫--|----|---|---|----|----------|--|
longuesannéesetfut mys le roy	------|------|-|--|--|-|--|
ui è quiau oit	--⌫-|--|--⌫--|
estécouronnéroyde	----|--------|--|-|
Franc eet d	-----⌫|-||
Angleterreà	---------|-|
P aris en p risonauch asteaude	-⌫---|-|-⌫----|-|--⌫-----|-|
Lond res et dec lair ét rais treet crim i neul x de	----⌫--|-|---⌫----⌫-|-⌫----⌫--|-|----⌫-⌫----⌫|-|
l èsemaiestéoùilause ́laplu spartde	-⌫---|-------|--|-||---⌫|-|---⌫----|-|
s auieeta ̀	-⌫|--|-|-⌫|
esté tué	----|---|
I ort père dur oi	-⌫--|----|-|-⌫-|
Edoua rt de rnier mort sein titularoyen peudeiours	-----⌫-|--⌫----|---|-|--⌫-----|--|-|--|-|----|
après fu tdesconfi t	-----|--⌫|--------⌫|
en bataille e t	-|-------|-⌫|
m orte ttou tm orteurent	-⌫--|-⌫|---⌫|-⌫--|-----|
les testes	--|-----|
tranchéesluyet leconte de	---------|--|-|-|----|-|
Waruic derni ermortquit anta	-----|-----⌫-|---|--|-⌫--||
eu decre di ten	-|-|---⌫--⌫|-|
Anglete rre	-------⌫--|
Celuylàenamenalec ontedela	----|--|-|----|-|-⌫---|-|-|
M arc hepuisappelle ́roy	-⌫---⌫-|---|-------⌫|--|
E douard parmer	-⌫-----|--|--|
Calés auec que s peudeg ensfuyantdela	-----|----⌫---⌫|--|-|-⌫--|-----|-|-|
bata i lle	----⌫-⌫--|
Ledict contede	-----|----|-|
Waru icsoust e n oitla mai son d	----⌫-|-----⌫-⌫-⌫--|-|---⌫--||
Ior tet leduc	---⌫|-|-|--|
Som bresset lamaison	---⌫------|-|-----|
Lancl a stre	-----⌫-⌫---|
Tanto ntdurécesguerresqu etousce ulx	---|-⌫-|----|--|------|--⌫|---|--⌫--|
del amaisonde	-|-⌫|-----|-|
Waruic etde	-----|-|-|
Sombresset e nont euleste stestranchéesoumors en	---------|-⌫|--|-|--|--⌫---|---------|-|---|-|
b ata il le	-⌫---⌫--⌫-|
Edouard fistmouri r sonfrèreduc	------|---|-----⌫|--|-----|--|
Claranceenunepippe demalu oisye pourc equ i l	-------|-|--|----|-|----⌫----|---|-⌫|-|-⌫|
seuo ul oitfaire roycom mel	-|--⌫--⌫--|----|--|---⌫-||
Edouardson frèr e secondducde	------|--|-----⌫|-----|--|-|
Clocest refistmourirlesdeux fi lzdudict	-------⌫-|---|-----|--|---|--⌫-|-----|
Edouard etd eclaira	------|-|-⌫------|
les fill esbastardesetsefis tc ouronnerroy	--|----⌫-|--------|-|-|---⌫|-⌫-------|--|
Inconti nentap rèspassaen	-------⌫---|--⌫---|----|-|
Anglete rre le conte de	-------⌫--|-|----|-|
R ichemontd epres entroyquilo ngu esanne ́esauoitesté pr isonnier	-⌫-------|-⌫|----⌫--|--|--|--⌫---⌫-|----⌫--|----|----|--⌫-------|
Br etai gnequi des confitettua	--⌫----⌫--|--|---⌫-----|-|--|
enbata il le	-|----⌫--⌫-|
cecruel roy	-|----|--|
Richardqui peuauantau oitfa ict mourir ses	------|--|--|----|--⌫--|--⌫--|-----|--|
dema sou u enanc esontmors encesdiuisionsd	-|-|---⌫-⌫-----⌫|---|---|-|--|--------||
Angleterre bien quatreu ingtz	---------|---|-----|-⌫----|
h ommesdelalignéeroyalled	-⌫----|-|-|------|------||
Angleterre dontunepartieiaycongneu	---------|---|--|-----||-|------|
de sautr esmae stécompt é	--⌫|----⌫-|||-⌫---|-----⌫-|
Angloy sdemouransauecquesmo nsrde	------⌫|--------|-------|--⌫--|-|
Bourgongnetand izqueieyesto ye	---------|----⌫-|--|-||----⌫-|
nestpas à	|--|--|-|
Parisne e n	----|-|-⌫|
Franc es eulementqueon s e ntreb atpourlesbienset	-----⌫|-⌫-------|--|-||-⌫-----⌫-|---|--|----|-|
honne urs de cem ond e	-----⌫--|-|-|-⌫---⌫|
E tdoyuentbi encraindreles	-⌫|------|--⌫-|-------|--|
p r incesouceulxqui règnen tauxgra nsseigneuri es	-⌫-⌫----|-|----|--|-------⌫|--|---⌫-|---------⌫-|
dela isser engend reru neparci alite ́enleurs	-|--⌫----|------⌫--|-⌫-|-----⌫-----⌫|-|----|
maisons car delàce feucourtpar la prou ince	------|--|-|--|-|--|----|--|-|----⌫---|
Mai sm on adu is ces t quil n ese	---⌫|-⌫-|---⌫-||--⌫|-|-|-⌫|-|
faic t p asq u epardispo sition diuinecarquant le s	----⌫|-⌫-|-⌫-⌫|--|-----⌫-----|-----|--|----|--⌫|
prin cesou	----⌫--|-|
royaulmes ontesté en grandprosperitéetri chesses	--------|--|----|-|----|----------|-|--⌫------|
mescognoissancedo nt	--------------|--⌫-|
pr ocèdet elle grace	--⌫-----|-⌫---|----|
Dieuleur dre sseungennemyouennemysdont	---|---|---⌫--|--|-----|-|------|---|
nulnesedoubter oitcommeuous	--|-|-|-------⌫--|----|---|
pouezueoi rparcesroy sn omme ́zen la	----|----⌫|--|--|---⌫|-⌫----⌫-|-|-|
Bible etparcequepuis peu	----|-|--|-|--|---|--|
d annéesenauezueuenceste	|------|-|---|--|-|----|
Ang leterreet encestemais onde	---⌫------|-|-|----|----⌫-|-|
Bourgongneet	---------|-|
autres li eux que uous a uez	-----|--⌫--|--|---|-⌫--|
ueuzetuoyez tous les iours	---|-|----|---|--|----|
L a guerredu	-⌫|-----|-|
P ublicautourde	-⌫----|-----|-|
Diuersio n danslestIay	--------⌫|---||--||-|
esté long	----|---|
es ttempsque ie	--⌫|----|--|-|
retourneaumyenDès que ces seigneursfurentarriuéz	-------|-|---|---|--|--|--------|-----|-------|
Pariscommancèrenttousà practiquer leans	----|------------|---|-|---------|----|
etàpro mec treofficesetbie nsetce qui	-|-|---⌫---⌫--|------|-|---⌫-|-|-|--|
pouoitseruir à	-----|-----|-|
leurmatiere	---|------|
A ub o utdet roi sioursfeirentgrant assembléeà l	-⌫|-⌫-⌫-|-|-⌫---⌫|----|------|----|---------|-||
ostel dela	----|-|-|
Paris et aprè s	----|-|-----⌫|
grandesetlongues	------|-|------|
parol l eset ouye sles requesteset	-----⌫-⌫-|-|----⌫|--|--------|-|
so mmations que	--⌫-------|--|
lessei gneurs leur	--|---⌫-----|---|
faiso ientenpublicqueetpourlegrandbiendu r o yaulme	-----⌫---|-|--------|-|---|-|----|---|-|-⌫-⌫-----|
com meil z disoyentfutconcludd	---⌫-|--⌫|-------|--|------||
e nuoyerdeuers eulx	-⌫-----|-----|---|
e te nt en dreàpacification	-⌫|-⌫--⌫--⌫--|-|-----------|
Il zuindrenten	--⌫|-------|-|
gran dnombrede gen sd e	----⌫|-----|-|---⌫|-⌫|
bienuers le sprince sdessusd ic t zau	---|---|--⌫|------⌫|-------⌫--⌫-⌫|-|
Moret porta laparolle m aistre	--|-|----|-|------|-⌫-----|
Guilla ume	------⌫--|
Chartierl ors euesque de	-------|-⌫--|------|-|
Parisren omm étrès gr ant	----|---⌫---⌫-|----|--⌫--|
Dela partdesse igneursparloit	-|-|---|--|--⌫------|------|
Berry frèreduroypresidoy tassis enchaireet	----|-----|-|--|--------⌫|----|-|-----|-|
tousl es autres s eigneursdebou t	---|-⌫-|-----|-⌫-------|-----⌫|
D e lun c ostéestoyen tl esdu cz	-⌫||-|-⌫----|-------⌫|-⌫-|--⌫-|
Bret a ign e etde	----⌫-⌫---⌫|-|-|
Calabreet de	------|-|-|
lau treled ictseign eurd e	|--⌫--|---⌫--|-----⌫--|-⌫|
Charroloysquies toit	---------|--|--⌫---|
armé det outes pièces saufl ateste etlesgardebras	----|-|-⌫----|------|---|-⌫|----|-|--|--------|
etunemant ell inefortriche	-|--|----⌫---⌫--|---|----|
surl acuyracecariluen oitde	--|-⌫|------|--|-|---⌫--|-|
Conf lanse tle	----⌫---|-⌫|-|
uin cennestenoitpour leroyet	---⌫-----|-----|---|-|--|-|
beaucoupde gens parq uoy luye stoitbesoi n gd	-------|-|---|--|-⌫--|--|-⌫----|-----⌫-⌫||
e stre uenuaccompaigné	-⌫---|---|-----------|
Le srequ estesetfinsdesseigneurs	--⌫|----⌫----|-|---|--|--------|
esto yentd entrerdedans	----⌫---||-----|-----|
Parispourauoirconuersationet amyt ié	----|---|----|-----------|-|----⌫--|
au ec eulx	--⌫-|---|
sur l efaict d ela	--|-⌫|----|-⌫|-|
reformation duroy a ulmelequel ilzdisoie nt	----------|-|---⌫-⌫---|-----|--|------⌫-|
est remal conduy ten donnantplusieurs grans	---⌫-|--|------⌫|-|------|--------|----|
chargesau r oy	------|-|-⌫-|
Lesre sp o nces e stoyentf ortdou lces toutesf ois prenant quelque	--|--⌫--⌫-⌫---|-⌫------|-⌫--|---⌫---|-------⌫--|------|------|
de layauantrespondre	--⌫--|----|--------|
Etdepu isnefut cont ent le	-|----⌫-|-|--|----⌫--|-|
roydudicteu esque	--|-----|--⌫----|
ceu lx qui estoientauecluy	---⌫-|--|-------|---|--|
Ain sis enr e to urnèren t demour ansen	---⌫-||-|-⌫-⌫--⌫--------⌫|------⌫--|-|
granspra ctiquescar chas c unparlaà eulx en	----|---⌫------|--|----⌫-⌫-|----|-|---|-|
pa rticul ier	--⌫------⌫--|
E tcroybienque en secretfut accorde ́ paraucuns	-⌫|---|---|--|-|-----|--|-------⌫|--|-----|
q uelesseigneu rsen le ursimpl ee s tat	-⌫-|--|-------⌫-|-|--⌫-|-----⌫|-⌫-⌫--|
yentr eroyentetleurs gens	|----⌫------|-|----|---|
pourroyent pas sero ul trese	---------|---⌫--|-⌫--⌫--|-|
bonl eursembloit	--|-⌫--|-------|
enpetitnombre	-|----|-----|
Ceste con uersation ne ustpoin tseu lement	----|---⌫--------||-⌫--|----⌫|---⌫-----|
estéui llegai g née maistoutel emprise carayséement	----|--⌫--|---⌫-⌫---|---|----||------|--|---------|
le peup le se	-|----⌫-|-|
fusttourné	---|------|
partpourplusieurs	---|---|--------|
raisonsetp arconseq u enttoutes cellesdu	------|-|-⌫-|------⌫-⌫--|-----|-----|-|
royaulmeàlexemplede	-------|-||------|-|
Dieudo nnasa igeconseil au royet	---|--⌫--|--⌫--|------|-|--|-|
ill executa bi en	-||------|--⌫-|
Aduerty d e toutes c escho se sauant	------|-⌫|-----|-⌫-|---⌫--⌫|----|
quec eulxquies toientuenu z	--|-⌫---|--|--⌫-----|----⌫|
uersces seigneurs eussent faictl e ur rapporti l	---|--|--------|------|----|-⌫-⌫-|------|-⌫|
la uilleenl	-|----|-||
estatquel on doituenirpour resconforte rpeuplec ar	----|--||-|---|----|---|-----------⌫|-----|-⌫-|
tr èsgrande	--⌫--|-----|
com paigni eet	---⌫------⌫|-|
dansl a uille	---|-⌫|----|
de uxmillehommes d armestous les	--⌫-|----|-----||----|---|--|
N or mand ie grant	-⌫--⌫----⌫-|----|
forcefranc sar chiers lesge nsdesamaison	----|-----⌫|--⌫-----|--|--⌫-|-|-|-----|
pensionna ireset autresgensd e bienquisetrouuentauec	---------⌫---|-|-----|---|-⌫|---|--|-|-------|---|
telroy ensemblabl esaff air e s	--|--|-|--------⌫-|---⌫---⌫-⌫|
Etainsi futces tepraticquero mpueettout	-|----|--|---⌫-|--------|--⌫---|-|---|
