enl ennordelatrinite	-||----|-|-|------|
d yziesm e ci nquantiesme.	-⌫------⌫|--⌫----------||
ettou tsepart etsise	-|---⌫|-|---|-|-|-|
fontcarce lz qu ile p rennent n	---|--|--⌫-|--⌫|-|-⌫------||
en f ontuerssainteygl iseleur deuoir	-|-⌫--|---|-----|---⌫--|---|-----|
lesreceuee urs o ntl auoir et	--|-------⌫--|-⌫-||----|-|
l eroya lenom de	-⌫|--||-|--|-|
mesquibieniu oudroitentendrele conseill eroy	--|--|---||-⌫------|-------|-|------|-⌫|--|
prentet partetleroya	----|-|---|-|-|--||
lamendre part	-|-----|---|
mes le royne deustplus estre e nfan t	--|-|--|-|----|---|----|-⌫----⌫|
assezpou istc on noistrequili	----|---⌫--|-⌫--⌫------|--|-|
donneo upainoupierre	----|-⌫|---|-|-----|
selero ysuousist bien enquerreiltrouu ast tostqu e	-|-|--⌫-|------|---|-------|-|-----⌫--|---|--⌫|
sis ergentsi ontle p lu s de	-|-⌫-----|-|--|-|-⌫--⌫|-|
sonargentquien fontles	--|-----|--|-|---|--|
r iches manoir s don tiene sai s	-⌫----|------⌫|---⌫|-|-|--||
i lseronth oirs carlen	-⌫|-----|-⌫---|--|--|
uoittrop pe tit auoirb onne	---|---|--⌫--|----|-⌫---|
fintre s oret auoirqui est aqu ismauuesement	--|---⌫-⌫-|-|----|--|--|---⌫-|----------|
aucommancementne	-|-----------|-|
ses toientpasentramansnelesfrancoisneles	|--⌫-----|--|--------|-|--|-------|-|--|
au noirlyonla fleu r	-|---|---|-|----⌫|
delispristlaterre	-|--|----|-|----|
d eca lelise t	-⌫--|-|--|-⌫|
deserita d etouzpoins	-------|-⌫|---|----|
ainsilo reschapades	----|--⌫|------|--|
etdroitleieusd i absoluli	-|----|-|-----⌫|-----|-|
quensdartoi sloratoludelorg e n t une	----||-----⌫|--||---|-|--|-⌫-⌫-⌫|--|
gr antpartieent orfurnescele nuitieouen	--⌫--|-----|---⌫-|-----|---|-----|-|-|
cheu auc hantse nc on trerent.	----⌫---⌫---||-⌫--⌫--⌫------||
ilnebesier en t	-|-|------⌫--⌫|
n acolerentnenefirent	|--------|-|-|-----|
chanconsne d ances mes des	-------|-|-⌫----|--|--|
espees etdes lancesauprumierse ntresalu erent quil	-----|-|--|-----|-|------||-⌫--------⌫----|-|-|
nesetind rentain z uers erent	-|-|----⌫---|---⌫|----⌫----|
au sestoileset aus c handeles	--⌫|-------|-|--|-⌫-------|
deleursheaum esles e s tancel esueoito n	-|----|-----⌫-|--|-⌫-⌫------⌫-|----|-⌫|
c lerementsaillir.	-⌫-------|------||
tui tf urent	---⌫|-⌫----|
presaassai lliret	---||-----⌫---|-|
au com b atre p r euzet prest	-|---⌫-⌫---|-⌫-⌫--|-|----|
r endr eachascun sonprest	-⌫----⌫||------|--|----|
car dechascune part estoientbone ge nt	--|-|-------|---|-------|---|--⌫-|
quise combatoient .	--|-|----------||
de n uitfu fetce lgra ntassau t	-|-⌫--|-|--|--⌫|---⌫-|-----⌫|
dontl u nrecule l autres au t .	---||-⌫|-----||----|-⌫--⌫||
u ersentet trebuchente t lifrancoismon tioie	-⌫-----|-|---------|-⌫|-|-------|---⌫----|
huchentetl autre par tie sesc rie saint	------|-||----|---⌫--||---⌫--|----|
iorgela cheualerie	----|-|---------|
ma i n tpoingmaintpie main t e	--⌫-⌫-⌫|----|----|--|----⌫-⌫|
ceruele maint cheuali er uersé desell e maintdestrierate rre	------|----|-------⌫-|-----|-|----⌫|----|-------||--⌫--|
g esirmaint c ourcier quenne po t	-⌫---|----|-⌫------|-|-|-|--⌫|
s a isiruoitonfuiantquin	-⌫-⌫---|---|-|-----|--||
auoit m estre	----|-⌫----|
c artouta destre eta se ne stre	-⌫-|---||-----|-||--⌫--⌫---|
toutestoitplaindemortuaire.	---|-----|----|-|--------||
laueissiezc rier etbraire tant ia uoi t	-|-------|-⌫---|-|-----|---||-⌫---⌫|
g rantc hap leiz	-⌫---|-⌫---⌫---|
for s furentfla menzenueizda utre	---⌫|-----|---⌫---|-----||-⌫---|
partieles flamanzetau eceulzlesalemanzontles	-----|--|------|-|--⌫-|---|--|------|--|--|
francois fort	-------|---|
contreste ́ .	---------⌫||
e torent p risetarrestép helippedartoispar	-⌫|----|-⌫--|-|-------|-⌫------||-----|--|
uigordontau ra uoirotgr antlabor	----|---|-|--⌫---|-|--⌫--|----|
et grantdouloretg ranthachie.	-|----|-----|-|-⌫---|-----||
maintep erso nn etrebuchiey fudeu igueur etde	-----|-⌫----⌫--⌫|--------||-|-|-⌫-----|-|-|
un baro n al e mantlotprisph elippe	-|----⌫|--⌫-⌫---||-|---|--⌫-----|
ce fu uoir	-|-|---|
sonpere imist forc eau rauoir et	--|---||---|----⌫|-|-----|-|
denouier s mon	-|------⌫|--|
s eingnor mil e.	-⌫------|---⌫||
lechambellant detanquar uillepar	-|----------|-|-------⌫----|--|
forced ar mes i	----||--⌫--||
fistt a ntque	---|-⌫-⌫-|--|
tantostlalemantqu i	------||------|--⌫|
toutp risle nc uidoitmen er .	---|-⌫--||-⌫|-⌫-----|---⌫-||
biense sauo ie ntasseu rerdelancesdespees	---|-|----⌫--⌫-|-----⌫--|-|-----||-----|
f eroie ntd etoutespars.	-⌫-----⌫-|-⌫|-----|---||
mesqu ant ce lalem ant fu	--|--⌫--|--⌫|----⌫--|-|
mo rtausflamans fu gra nt	--⌫-|--|------|-|---⌫-|
desconfor t eten furent f or tesmaiez qui le stoientformen t	---------⌫|-|-|-----|-⌫--⌫|------|-|-⌫|-⌫------|------⌫|
n o nquespuisnet indre nt centa inne qu	|-⌫----|---|-|-⌫-----⌫-|-----⌫---|-|
ilp e rdir ent lor	-|-⌫-⌫----⌫--|--|
cheuetainne .	----------||
parladefaute delorchieftorner entil	--|-|------|-|--|----|------⌫--|-|
tuita mes chiefdontlesfrancois	---||---⌫----|---|--|-------|
seresba ud irentetdetel	-|-----⌫--⌫----|-|-|--|
partl esrasai llirenten teleguise	---|-⌫-|-----⌫------|-|---|----|
cele n uitque	---|-⌫--|--|
acuiquilplaiseo uennuitil lescouuint	|--|-|-|-----|-⌫|-----|-|--|------|
arrierret raire.	-----|---⌫----||
sitornalorfet a contraire ca rcele	-|----|--|--||--------|--⌫|---|
nuital au esprelaperdila force	---|||--⌫----|-|----|-|----|
etq uant ilfouirsenc ui dierent	-|-⌫---|-|----||-|-⌫--⌫------|
francois arriere lestou rn erent.	-------|------|--|---⌫--⌫----||
lequensd artoisle	-|----||-----|-|
bonrobe rtsi	--|----⌫-|-|
lefistconques lor	-|---||-----|--|
hau bersneleu rs arm es	---⌫---|-|---⌫-|---⌫-|
nelo rualure nt	-|--⌫|------⌫-|
siconqu i s	-|-----⌫-⌫|
etdescon fiz fur en tetsifortune lorto rna quepeu	-|------⌫--|---⌫--⌫|-|-|------|--|--⌫--|--|--|
arriersen retor nadeuintmile	------|-|-----⌫-|-|---|---|
quisasem blerent.	--||----⌫------||
einsile diziesme paierentdestr i ers pa lefroiset	----|-|-------|-------|-----⌫-⌫--|--⌫------|-|
de hernoiset	-|------|-|
de gar nisonsil luec fran cois	-|---⌫-----|--⌫---|----⌫---|
largeme ntpriren t	-------⌫-|------⌫|
dont leursc o rslors	---|----|-⌫-⌫-|---|
uillesgarnirent.	-----|--------||
seignorsde	-------|-|
g uerre ainsiuaselun pre n t	-⌫----|----|-|-||-|---⌫-⌫|
f ortune susch ascunse mue	-⌫-----|--|--⌫----|-|--|
etquibienestneser e mueca rtel	-|--|---|--|-|-|-⌫-⌫--|--⌫|--|
cuidelautria uo ir quilpert	----||----|-⌫--⌫-|-|-|---|
son corsets o nauoir.	--|---|-|-⌫-⌫|----||
yyp ristrentflamensconse il	-|-⌫-------|------|-----⌫-|
entreuz deguerr o ierle roydesfra ns .	---|--|-|-----⌫-⌫--|-|--|--|---⌫-||
etleroy lorfus i soufranssicort oi s	-|-|--|--|-|-⌫|-------|-|----⌫--⌫|
etsideb oner eque	-|-|---⌫----⌫|--|
n el or uol t meffaireenpl ain	-⌫|-⌫-|---⌫|-------|-|--⌫--|
ne ench ampn e	-|-|--⌫--|-⌫|
mesl acourtoisie	--|-⌫|---------|
est perdue carli	--|-----|--|-|
flamencnenseuentgre.	------||-|-----|--||
montéfurent enhautdegre.	-----|-----|-|---|----||
ienesais e	-|-|--|-⌫|
ildescendront mesildi entquainzseuendront et	-|----------|--|-|--⌫--|-|---|-|-------|-|
que leurchar iertbien ue ndueainzquesoi t	--|---|---|---|---|--⌫---|------|---⌫|
mort eoure te nue	----⌫|-|--⌫--⌫--|
et dien t que pointn	-|----⌫|--|----||
asau drontl e	----⌫----|-⌫|
roymesils edeffendrontaue c lor ro y	--|--|-|-⌫|----------|---⌫|--|--⌫|
letesse ra nt	-|-----⌫--⌫-|
necheual n aurontne	-|-----||-----|-|
ferrantancoissecomb atrontapieet	------|-----|-|----⌫-----||--|-|
lorpaistend rontempie	--|---|----⌫---|-|--|
etenestat san z	-|-|----|---⌫|
auoirhontecarchascunsisetintpor	----|----|--|------|-|-|---|--|
pai erontseruage ainzdeff endrontlorheritage.	---⌫----|------|---|----⌫------|--|-------||
si nedoiuentestre	-|-|------|----|
haiss eil deffenden t	---|-⌫|-|---------⌫|
lorpaisa bone	--|---||---|
c aus e etreson nable .	-⌫---⌫|-|-----⌫----||
ie nesai se c est bi enouf ab le mes	-|-|--|-||--|--⌫-|-|-⌫--⌫-|--|
li royaus so n t	-|-----|--⌫-⌫|
du nacortquel esflamens en	|-⌫|----|--|-⌫-|------|-|
ontle tortetdi entqua	--|-|---|-|--⌫--|-||
lare autenef irent onques loiaute mes toriors po rch acié	-|--⌫---|-|-⌫----|-----|------|--|------|--⌫---⌫----|
nuisanc eausroyaus et au roy	-------⌫|--|-----|-|-|--|
de fra nceet	-|---⌫--|-|
ont donnéle leuretmis por	--|-----|-|---|-|--|--|
fortra ireau	------⌫--|-|
roy sesami s .	--|--|---⌫||
et bieni pa r ustdodo uart	-|---||--⌫-⌫--||---⌫---|
quiltrai strent	-|-|----⌫-----|
deuers l eur par t	-----|-⌫--|---⌫|
cuidi erent par un	-----⌫----|--|-|
m esleroy d es	-⌫-|-|--|-⌫-|
fr ansen fu	--⌫--|-|-|
sage qui au	---|--|-|
contelecontr edist	----|-|-----⌫----|
etlautr epartie	-||----⌫|-----|
r ed istqueles flamensenont	-⌫--⌫--|--|--|------|-|--|
led roi t.	-|-⌫---⌫||
ie nesai qui croire ore ndro it mais	-|-|--|--|-----|---⌫----⌫-|---|
fo lceluiqui cu ideetdr oit	--⌫|----|--|--⌫--|-|--⌫--|
abienme stierdaide.	|---|--⌫----||---||
flamens en	------|-|
ce l ansegarnirentdeg arnisonsc equ	--⌫|-|-|--------|-|-⌫-------|-⌫|-|
il pou irent	-|---⌫----|
esfortere cesson tr etraite sleurs ge nzet	-|-------⌫--|---⌫|-⌫-------⌫|----|--⌫-|-|
deb ataill esprestes	-|-⌫------⌫-|------|
et parlepais ont fet	-|--|-|---|--|--|
fosse slonguesetlarg es	-----⌫|------|-|----⌫-|
et gross esporfe relesgenztrebu chierde denz les	-|-----⌫-|--|--⌫-|--|---|-----⌫----|--⌫---|--|
fossesetuer ser et	-----|-|---⌫--|-|
siquesiege enleur pa is	-|--|----|-|---|--⌫-|
nipou i st estredu r oymis.	||---⌫-⌫-|----|-|-⌫-|--||
einsicesontilapresté	----|-|---|-|-------|
queplu s lor grantsoutiluetequ elorforc e lor a	--|---⌫|--|----|---------|--⌫|--|----⌫|--||
plainede fange	-----|-|----|
et depaluest	-|-|---|--|
en f l andrestoutela ter re.	-|-⌫-⌫-----|----|-|---⌫-||
n aimmentpasla francoislaguer recar	|------|--|-|-------|-|----⌫-|--|
francoi ssontto st dissipé si	-------⌫|---|--⌫-|-------|-|
ne combatent	-|--------|
asec pieca r trop sont	|--|--|--⌫|---|---|
norr iztendrement	----⌫-|---------|
enlostauoitmain tale mentq uituitesto ient	-||--|----|----⌫|---⌫---|-⌫-|---|----⌫---|
silesfe soitmolt bienpaierl e roy pierre s	-|--|--⌫---|---|---|----|-⌫|--|------⌫|
deleurs soudeesmes	-|----|------|--|
tropmalestoientpoieesl esgenz	---|--|-------|-----|-⌫-|---|
deuersleroyde xxx .	-----|-|--|-|--||
torna agran tnuisan ce carq uib ienp oie	----||----⌫|------⌫-|--|-⌫-|-⌫--|-⌫--|
bien acro it	---|----⌫-|
etdelegierpaslen	-|-|-----|--|--|
necroitce luiquiprametetnesot.	-|----|--⌫--|--|-----|-|-|--||
p orce le roymi ene	-⌫-|-|-|--|--⌫|-|
pot fe reson	--|--⌫-|--|
uouloir des flamens	------|--|------|
carsa gentsisontma lparlanse tc	--|-|---|-|---|--⌫|------|-⌫||
estauroytropgrantlaidure.	--|-|--|---|----|------||
senpoier me istbiensa	|-|----|--⌫--|---|-|
cureil nest	---|-||--|
forterec e q ui durast co n tresa noble ce	--------⌫|-⌫-|-----|--⌫-⌫--|-|-----⌫-|
a celefin te ndr equil gaain gnetout	|---|--|--⌫---⌫|-|-|-----⌫--|---|
s anzdespendre etsanzt rere	-⌫--|--------|-|---|-⌫---|
targem esplus	----|-⌫-|---|
des pentauerquelarge.	---⌫---|---|--|----||
porcelil o se	--|-|-|-⌫|-|
gain g nerueutqueil doint plusqueil	----⌫-⌫--|---|--|-|----|---|--|-|
neseut ca rquitout couuoitetoutpert	-|---|--⌫|--|---|-------|---|---|
boncontero bertala sus elzdeparle roy	--|----|--⌫---|--|--|--|-|--|-|--|
no ust ourna adesroypar orgueil etpar gr ant	--⌫-|-⌫----||-----|--|------|-|--|--⌫--|
sanzferird espi ene	---|----||----⌫|-|
delancesanz espeeetsanz	-|----|---|----|-|---|
faussartfrancemi sttostaunhasart	-------|-----|--⌫-|---||-|-----|
iedi france	-|-|-----|
monde lafl o rsi comme	----|-|--⌫-⌫|-|----|
estalarondemisti letlacheu a leriea	--||-|----|---|-⌫|-|-|----⌫-⌫----||
hont e eta	----⌫|-||
mortsanzfolie.	---|---|----||
sanzdout esemi rentlinoblehome en rou te por	---|----⌫|-|--⌫---|-|----|---|-|---⌫-|--|
aler flandres guerroieretauec elzmaintsoudoi e r	---|-------|--------|-|---|--|----|------⌫-⌫|
du r oyaumeetdedyuerspais	-|-⌫-----|-|-|-----|---|
qu is entornerent esbahisuersco urtra y.	--⌫||-|--------|------|---|--⌫-----⌫||
d u r eaumelaf lorui ntto uteappa reillieaflorborgo ingne	-⌫|-⌫----|-|-⌫--|--⌫-|--⌫--|----⌫------||---|-----⌫----|
cascoin gne champaingneanioupo itocelz de bretaingnedepycard iede	-------⌫--|----------|----|--⌫--|---|-|---------|-|------⌫-|-|
normendiet outelaflor labar o nniela	--------|-⌫---|-|---|-|---⌫-⌫---|-|
uindrenttuitapparaillié.	-------|---|-----------||
deuantfurent la ge ntapiearb alestiersquib ienle	-----|-----|-|--⌫-||--|---⌫--------|--|-⌫--|-|
eta get ersemirent	-||---⌫-|-|-----|
dedeuzparsangoiss euse me ntettant getere nturaiementque	-|---|---|-------⌫----⌫--⌫-|-|---|------⌫-|--------|--|
l essaeteslor	-⌫-|-----|--|
faillirent.	---------||
les a u tresgenzde piese	--|-⌫-⌫---|---|-|--|-|
tir entaua n tporla ssaut enueir.	---⌫--|---⌫-⌫|--||-⌫----|-----||
la p ouist o nmaintdartueir etm aintespieet	-|-⌫----|-⌫|----|---|---|-|-⌫---|----|-|
m ain t elance	-⌫---⌫-⌫|----|
la gentdepi e forme nt	-|---|-|--⌫|-----⌫-|
s a uan cesi se tie nn ent	|-⌫---⌫-|-|-|---⌫--⌫--|
serreem ent	-------⌫--|
flame nsassaillentdurement.	-----⌫-|---------|-------||
et lif lame nsfortsedeffendent etaumiexqu	-|-|-⌫----⌫-|---|-|---------|-|-|---|-|
il p ueent seuendent et lesrec ulentagrant	-|-⌫----|-|------|-|--|---⌫----||----|
chascun debienferirsesforce	------|-|---|----||------|
parforce e t pardurt e cesont en semble sihurté	--|----|-⌫|--|----⌫|-|---|--⌫-----|-|-----|
quelesfl amensconuint	--|--|--⌫----|------|
retra ire .	-----⌫--||
francoisq u ibienle	-------|-⌫-⌫|---|-|
uoldrentferepar u iue f orceles	-------|---|--|-⌫--|-⌫---|--|
percier entdeuan tet	-------⌫--|-----⌫|-|
d erri erelesfieren t-	-⌫----⌫--|--|------⌫||
chascunspensed	-------|----||
onn oraquerredesflamenso ntionchiéla	---⌫-|------|--|------|-⌫-|-------|-|
et silagentde	-|-|-|---|-|
piele fist	--|-|---|
qu a uques	-|-⌫----|
les mist r entadesc onfist.	--|----⌫-⌫--||----⌫-----||
et quantlagran tcheualerieuit afei bliela	-|----|-|----⌫|---------|--|----⌫---|-|
partiedes flam enssion tdistentr elz se ingnors	-----|--|----⌫--|-|--⌫|---|---|--|--⌫------|
re gardezauoselz	--⌫-----||--|--|
co mmen tnosgenz depiel efont.	--⌫----⌫|--|---|-|--|-⌫|---||
flame n s presde desconfisson t.	-----⌫-⌫|---|-|--------|---⌫||
seingnors gra nzetmenorsga rde zquenosaionslennor	--------|---⌫-|-|-----|--⌫---⌫|--|--|----||----|
etleprisdecestebatail le.	-|-|---|-|----|------⌫-||
fai sonsretra irelap ieta ille	---⌫---|-----⌫--|-|-⌫----⌫---|
tresbi enfetlordeuoir	---|--⌫-|--|--|-----|
or nouscouuient	-|---|-------|
l ennorrauoir.	|----|-----||
lequen sdar to is	-|----⌫||--⌫--⌫-|
ces m os ad istet	--|-⌫-||-⌫--|-|
pierrefloterespondi s ire	-----|----|-------|-⌫--|
encor nestil pas besoingquenousaill ons	----||--|-|--|------|--|---|----⌫--|
deci plusloing.	---|---|----||
lessons ausgenzdepieleurpri scar il	------|--|---|-|--|---|---⌫|--|-|
onttresbienentrep risetse die x	--|---|---|------⌫--|-|-|---⌫|
ples tbienparferont .	----⌫|---|--------||
semesti e res tmolttost	-|-----⌫-⌫|--⌫|---|---|
ser ont secou ru scar	---⌫--|-----⌫--⌫|--|
noussomme spresqu i nousibouteron sapresetles	---|-----⌫|---|--⌫|---||--------⌫|----|-|--|
siuons petitement	-----|---------|
siprendrontennou sharde mentetcuerd e	-|--------|-|---⌫|-----⌫---|-|---|-⌫|
bi e nfe reetcourage	--⌫-⌫|--⌫-|-|------|
ainsiparla	----|----|
ci lqui fusage	--⌫|--|-|---|
mesderiensne fu	--|-|----|-|-|
e scoute ́ca r li sagessontdeboutési	-⌫------⌫|--⌫|-|----|---|-------|-|
ip er tchas cunior.	|-⌫--⌫|----⌫--|--||
uintte lhonte a celiora usfrans	---|--⌫|----||--|--|-⌫-|----|
- nesaiparquel pe chiequ e	|-|--|--|---|--⌫---|--⌫|
toz iorsloriert	--|---|--|---|
reprouchié .	----------||
et quant pierrefloteot parléliqu ens	-|----|-----|----|-|-----|-|--⌫--|
d artoise stoutre alé s ise to rna	|-----|-⌫-|----|---|-⌫|-|--⌫--|
d elau tre part et	-⌫||--⌫--|---|-|
distpierrese diexme gartentre uous	---|-----|-|---|-|---|----|---|
gentdelanguedo	---|-|-----|||
toriorsdupo ildulo.	------|-|--⌫-|-|-||
quantpierrefloteloto uisinen	----|-----|----||-|-⌫-|-||-|
fupasmolt esiouisi	-|--|---|-----|-|
distcont e queditesuous	---|----⌫|--|----|---|
de traisonnariens en nous	-|------|||----|-|---|
ancoisseronstori ors	-----|-----|----⌫--|
loia xetauons	----⌫|-|----|
este ́ausroiax sans traisonet sanz re pr o u che	----⌫|--|----|---|------|-|---|--⌫--⌫-⌫-⌫--|
ier iensquicl oche .	-|-⌫---|--|--⌫---||
etauio rdhui l espro uuerezque ia tant	-|-|--⌫||--||-----⌫-----|--|-|---|
a uantneserezqueienesoie ausi	-⌫---|-|----|--|-|-|---|---|
auant et quen e soie auch ief	----|-|--|-⌫|---|-|--⌫--|
mese nla finchas cunuer raa qu i	--|-⌫|-|--|----⌫--|---⌫-||--⌫|
decestui m esch erra qua ntnousosto nsce	-|-----|-⌫----⌫---|---⌫-|---|----⌫-|-|
qu e diexdonne	--⌫|---|----|
lecuer leme	-|---|-|-|
distet mesonne.	---|-|-|----||
ori alons diex	-||----|---|
nouscond uie	---|----⌫--|
adoncliquensd	----|-|----||
a rtoisse sc r iereto rn ezgent	-⌫----||-⌫--⌫-⌫-|----⌫--⌫-|---|
rarri ere .	-----⌫--||
adoncue ist o ngrantpoudri eree t	----|--⌫--|-⌫|----|------⌫--|-⌫|
decheuax gr anth uieis	-|-----|--⌫--|-⌫----|
piefurentesbahisquant	--|-----|------|----|
arriers enleses cria	------|-|--|--⌫---|
ch ascunp ensequemali	--⌫----|-⌫---|--|--||
ae t quedune autrepart	|-⌫|--||--|----|---|
ue nuz fussent flaman z	--⌫--|------|------⌫|
quire ten uz eussen t	--|--⌫---⌫-|------⌫|
nosgenz etmisa	--|---|-|--||
si to rnerentadesconfo rtetc ommanci e rent	-|--⌫------||--------⌫-|-|-⌫-------⌫-⌫---|
ar user etlesflam ens arefuser et	|-⌫---|-|--|----⌫--||------|-|
aelzouuriretdesio indre .	|--|-----|-|-----⌫----||
adonc nes e uoudrent pasfoin dre les	----|-|-⌫|-------|--|----⌫--|--|
fl amenspor	--⌫----|--|
ra liereulz	--⌫---|---|
etcelz quifure nt orgueill exdesfrancois	-|---|--|----⌫-|--------⌫-|--|-------|
ac h eual se meu uentet nosgenz	|-⌫-⌫---|-|---⌫---|-|--|---|
apie queil	|--|--|-|
treuuenta terreuersente t trebuch e ntetmonioie	-------||----|------|-⌫|-------⌫-⌫-|-|------|
escrie ntet huchent.	------⌫-|-|------||
et fl amensisn el le pas cesonttorné d euer s unpas	-|--⌫----|---⌫--⌫--⌫--|-|---|-----|-⌫----⌫|-|--|
deuersle lizque ilsau oient.	-----|-|--|--|-|---⌫----||
adoncserengent quantiluoient	----|-|------|----|-|-----|
que cila cheualuien nent s eure .	--|--||-----|----⌫---|-⌫---||
ral ie z e nsembleen poi	---⌫--⌫|-⌫------|-|--|
d eur esetindrentt o uz sus u nsm are z	|---⌫|-|-------|-⌫-⌫-|--|-⌫-|-⌫---⌫|
etlesfrancois q ui	-|--|-------|-⌫-|
sonten grez d econquer repris	---|--⌫---|-⌫|-------⌫-|---|
ethonnorsasemblerent	-|-----||----------|
dontde sho n nor auint	---|--⌫---⌫-⌫--|----|
auroyaumeetgran tmeschie f caril nen	-|------|-|----⌫|-------⌫|--|-||-|
tor napi e n echief .	---⌫-|--⌫|-⌫|----||
lesflamanz	--|------|
quilepas connurent touz rengiez su s	--|-|--|--------|---|------|--⌫|
esture nt parleur maliceet pa r leurartchascuntenant	------⌫-|--|---|-----|-|--⌫|---|--|------|-----|
song oude ndart leuez contref rancoisles	--|-⌫----⌫----|----|-----|-⌫------|--|
sicomlen atentles sen glers le sfl amens	-|--|--|----|--|---⌫----|--⌫|--⌫----|
franc oisatend oient.	-----⌫--|-----⌫----||
ne passera elznepou aient caril	-|-----||--|-|---⌫----|--|-|
couuen oitreculercel za p i e	------⌫--|------|---⌫||-⌫-⌫|
etpa reulzpasser.	-|--⌫|---|-----||
sisehurtoientetuersoien t des che uaxa	-|-|--------|-|--------⌫|--|---⌫--||
te rre uersoient sinepouoie nt redrecier	--⌫--|--------|-|-|------⌫-|--------|
n euersles flame n sadrecier car entreuz	-⌫|---|--|-----⌫-⌫|-------|--|---|--|
sesturentco n traire c elza pie	|-------|--⌫-⌫-----|-⌫--||--|
ne po rent retr air e nec eulz acheual	-|--⌫---|----⌫---⌫|-|-⌫---||-----|
trespas ser.	-------⌫--||
siencou uintmolt	-|-|---⌫---|---|
trespasse ret	---------⌫|-|
morirdentreuzuoirem ent.	----||---|--|------⌫--||
au trenifulenc om brement	--⌫--|||-||---⌫--⌫------|
m esaus icomsengl iers set ir ent quant esfersaus	-⌫-|---⌫|--|-----⌫---|-|-⌫--⌫--|----|-|---|--|
fla manz se mirent	---⌫---|-|-----|
toutai nsi	---|--⌫--|
lacheualeri eui ntenmares	-|---------⌫|--⌫-|-|----|
parsafolie.	--|-|----||
ce fuuoirsetnesont	-|-|----|-|-|---|
pas iengles	--|------|
que lescheuax	--|--|-----|
iusquesascenglesseferire ntde d ens	------|-|------|-|------⌫-|--⌫-⌫--|
lafangeausi	-|----|---|
lepri u é	-|---⌫-⌫-|
com les trangeetlegrantcomme lepetit	--||--⌫-----|-|-|----|----|-|----|
delorbia ufet ainsi	-|--|---⌫|--|----|
etde tantco mmeil sesforcoient distre	-|-|---|--⌫--|-||----------||----|
ett ant plusrafondoient	-|-⌫--|---|----------|
e tquantla utreaid i ercuid oit	-⌫|----||-⌫---|---⌫-⌫-|----⌫--|
chascun delzarrie rrec heoit.	------||--|-----⌫|---⌫----||
si furentau	-|-----|-|
treb uchierpris	----⌫-----|---|
ou per dir enthonor etprisc equilqui doient conq uerir	-|---⌫---⌫--|----|-|---|-⌫|-|-|---⌫-----|----⌫----|
c aronques	-⌫-|-----|
b ien ni u itferircopdefrancois	-⌫--|||-⌫-|----|--|-|-------|
nede fl amenc .	-|-|--⌫----||
me sdedieuuint	--⌫|-|---|---|
cest u engemen tquilor mous tra-	---|-⌫-------⌫|--|--|----⌫--||
estlasomm equeuictoire ne	--|-|----⌫|--|-------|-|
u i entpasd omme mesdedieu	-⌫-⌫--|--||---|--|-|---|
cilqui estes	--|--|--|-|
ciexquimet afinlesorgueillex.	---|--|--||--|--|---------||
ainsiparlorpr esu mptio nfurentmi s	----|--|--|--⌫---⌫-----⌫|-----|--⌫|
ades tructionde ulzene l z	|---⌫-------||-⌫--|-|-⌫-⌫|
uenoientdeta ntplus lorforce perdoie ntnil	-------|-|--⌫-|---|--|----|-------⌫-||-|
n esepou oie nttournernauan t alerneretorner .	-⌫|-|---⌫---⌫-|------||----⌫|---|-|-------||
quantflamensontcereg a rdé il ne	----|------|--|-|---⌫-⌫---|-|-|
se sontderienstardé.	-|---|-|----|-----||
aum arezce son t aprouchieza leur s ba stons	-|-⌫---|-|---⌫|---------||----⌫|--⌫----|
o ntacro chiezles cheualiers qui la gesoient	-⌫-|----⌫----|--|---------|--|-|-------|
ettoutainsint	-|---|------|
comlestiroient	--|--|-------|
lesdemenoienta	--|---------||
o n quesnulne nuoldr enteslireneprendre	-⌫-⌫---|--||-⌫|-----⌫--|-----|-|------|
uif ainsles tuer ent t ou zcel zuisqueilacrochierent	--|---|--|----⌫--|-⌫--⌫|---⌫|--|--|-|-----------|
ancois diqueiamorsestoientquantdeffe nd r en e	-----|-|--|-|---|-------|----|-----⌫--⌫-⌫|-⌫|
sepouoient .	-|-------||
au mors-cestchose	-|---|||--|----|
uoire nonp asausuis	----|--|-⌫-|--|--|
fulauicto irecarelz	-|-|-----⌫--|--|--|
meism essed esconfiren tquantded enz les	-----⌫-|-|-⌫----------⌫|----|---⌫--|--|
marez cheirentu ndesuse t	----|-------|-⌫|----|-⌫|
autre desouz.	----|-----||
non pasun s eulmesauques touzsemirent	--|--|-|-⌫--|--|-----|---|-|-----|
honte li princeliducetlicont e au n	----|-|-----|-|--|-|-|----⌫||-⌫|
un hasart bi ense	-|-----|--⌫-|-|
mistr ent ou colla	-----⌫--|-|--|-|
hartquantil socirrentsanz batailletrestoutleb on	---|----|-||-------|---|-------|-------|-|-⌫-|
etla p ailled emoura	-|-|-⌫----|-⌫-----|
auroyaumede francegenznonsachanzet	-|------|-|-----|---|--|------|-|
genzdenfance etlegrain esmarezdedenz l	---||------|-|-|----|-|----|-----||
un suslautreenuer se t	-|--||----|-----⌫|-⌫|
a denzlu n l epie haut	-⌫---||-⌫|-⌫|--|---|
lautre la t este	|----|-|-⌫---|
franco isfula tempeste	------⌫-|-|-|-------|
atasa monciausassem bl ezaussi comlenassembleblez	|--||-------|-----⌫--⌫-|----|--|--|-------|---|
