kicest secletrop	-|---|----|---|
illafistmaintenant enunepiere	-|-|---|---------|-|--|----|
puiscoman dat	---|-----⌫--|
l uiscloreetdeforssael eir	|--|----|-|-----|----⌫--|
iorli fis t unp oide pai nieteir	--|-|---⌫|-|-⌫-|-|---⌫|-----|
parunefenestreleet	--|--|---------|-|
si fut lamaisenceletot	-|--|-|---------|--|
enuironferme ie	------|-----⌫-|
qu il n irem eist	-|-|||---⌫---|
pertuisnec hambretepr iueie	------|-|-⌫-------|--⌫----|
etca ntelec euitunpo u	-|--⌫-|--|-⌫|--|-|--⌫|
ca r nas t o it pasdi teilliti ereaconstumeie	--⌫||--⌫-⌫-⌫-|--||-⌫---|----⌫--|----------|
etdist al saniorsireciz liuses t	-|---|-|-----|---|--|---|--⌫|
mutfe rmeiz	--|--⌫----|
niestremeispertuis neangl ezon s	||--|-----|------|-|----⌫----⌫|
bienententdistlisiresce ke	---|-----|---|-|----|-|-|
u osdemandeiz	-⌫-|--------|
de me llornestesdign ene	-|--⌫---||----|----⌫|-|
m el lorn iaureiz	-⌫--⌫--|||-----|
uos ne stesmiedignedeme llorreciuoir	--||-⌫---|--|----|-|--⌫---|-------|
teill auez	---||---|
deseruitteil lo	-------|---|-|
deueizauoi r	-----|----⌫|
chierssiresdistladammecertesu osd i tesuo ir	-----|----|---|-|----|-----|-⌫-|-⌫-⌫--|--⌫-|
ormoid oinst	-|--|-⌫----|
delsoffri rihesusfo r c e etpooi r	--|------⌫|-----|--⌫-⌫-⌫|-|----⌫|
bienlosai beazduzsirebe azsirebi en lo	---|-|--|---|--|---|--⌫-|---|--⌫-|-|
l aidement ai	-⌫-------|-|
uescutla ide	-----|--⌫--|
m aison aura i	-⌫----|----⌫|
dig nesuide	---⌫-|--|-|
gesiren flairoretenthai	----|-|------|-|-|---|
maisporamur	---|--|---|
de deua gr eitloso fferrai	-|--||--⌫--|-|--⌫------|
t ot pren draia b on	-⌫-|----⌫---||-⌫-|
greitna imaisdemonc orscur e	----||-⌫|---|-|--|-⌫--|---⌫|
par la molle litir e	--|-|----|-----⌫|
prendrai laterredure	-------|-|----|---|
por clare itp rendraidelaiwepure	--|-----⌫-|-⌫------|-||---|---|
parlesditiers p aind orge etde cela	--|--|------|-⌫--||---|-|-|--||
maissireorm	---|---|-||
apren dezcommentie doi oreir	-----⌫--|------|-|--|----|
ildist uos n estes	-|---|--||----|
d ign epas dede uanome ir	-⌫---⌫|--|-|--⌫||----⌫-|
n edignen estesmieuozmainsalcielleueir	-⌫|----||----|--|--|----|-|---|-----|
n elesestoilesne de ueizrega rdeir	-⌫|--|-------|-|--⌫---|----⌫----|
adesuersorientuostrecor s	---|---|-----|-----|---⌫|
encl ig nie z	----⌫--⌫---⌫|
etparc esteorison nostresani o rpr oiez	-|--|-⌫---|-----|-----|----⌫-⌫|--⌫---|
et si ditessou e ntgar deizne	-|-|----|---⌫-⌫-|---⌫---|-|
sirequimoiformastes de	---|--|--|--------|-|
moimerci taiez	--|-----⌫|---|
dequantke li	-|------|-|
sain zhomla damm e	----⌫|--|-|----⌫|
com ma nda	---⌫--⌫--|
uolentirsai n crie nsn	--------|--⌫-⌫|---⌫-||
entrespassa	-|--------|
ence lpetitbuiron toztrois anzd emora	-|--⌫|----|-----|--|----|--|-⌫----|
kenesunefoietote nesoid reza	-|--|--|---|---|-|--|-⌫---|
totcomparat laenzde	--|-------|----|-|
q uantquefai t auoit	-⌫------|---⌫|----|
etcantlaterredureu n poi	-|---|-|----|---|-⌫|--|
lidespl aisoit	-|-----⌫-----|
etlamaluais	-|-|------|
odo rsde lae nz ligreuoit	---⌫-|-|---⌫-|-|------|
desgranzpain esde nferlorsli	--|----|----⌫-||-⌫---|---|-|
resouenoit	---------|
do ntd isoitenso ncue rg rief	--⌫-|-⌫----|-|--⌫|---⌫|-⌫---|
demoreircifait	-------|-|---|
mais piresestenferset muti	---|----|--|-----|-|--||
at plus l ait	-|---|-⌫--|
s edeusporce stepainedequa ntkeiai fo rfait	-⌫|---|--|--⌫--|----|-|---⌫---||-|--⌫----|
m oi uolo it pardonernen querroimelhor plait	-⌫-|----⌫-|-------||-|------|-----|----|
can tlideliz delsecl e	---⌫|-|----|--|----⌫|
lireue noitdeuan t	-|----⌫---|-----⌫|
sespalaisses	--|-----|--|
iardins usa l oitdelitant	------|||-⌫-⌫--|-------|
dont disoit	---|-----|
asoimimes totce ne	|--|----|--|-|-|
uatunguant	--|-|----|
mutsunt deparadis	--|---|-|------|
lidelit plusual lant	-|----|---|---⌫---|
ne ioienedelitnedoitnu zhomnomeir	-|---|-|----|-|---|--⌫|--|-----|
cekeninfer lo fa itmorir et	-||-|----|-|--⌫-|----|-|
tormente ir	--------⌫-|
nenere doitho mpas c etormentapeleir	-|-|--⌫---|--⌫|--|-⌫|------|------|
donto m p uetenlaioiedeparadisentrei r	---|-⌫|-⌫--|-|-|---|-|------|------⌫|
et p ar tant se	-|-⌫-|---|-|
iedis grantioie oi	-|--|----|---|-|
car ien perdietd euet to te	--||-|----|-|-⌫-|-|--⌫-|
ne ne reuul pasdirekeie or	-|-|----|--|---|-|-|-|
soffretorment	-----|------|
carapr es ce ste	--|---⌫-|--⌫--|
painel amercit deu	----|-⌫|-----|--|
nefut pa s	-|--|--⌫|
buneioi ecedontiedeuperdi	---|---⌫|-|---|-|--|----|
n enestpas	-⌫||--|--|
ce dontiaten tmerci	-|---||----⌫|----|
m ercibeazsir es	-⌫---|---|---⌫-|
deusbeaz sir es	---|---|---⌫-|
deus merci	---|----|
fai tesm oibiencombatre enuersmonane mi	---⌫--|-⌫-|---|-------|-----|--|---⌫-|
enuer luiauo ir f orce et ua lur	----|--|---⌫-|-⌫---|-|--⌫--|
qui l ne s oi	-|-⌫|-|-⌫-|
moigabei ralderr ainior	--|-----⌫|-|----⌫--|--|
a lui seront liur eitlipecheor	|--|-----|----⌫--|-|------|
keieacel iorpuisseestr esegur e	-|-||--|--|-----|----⌫|-----⌫|
dedenz son cuerla dam een si parleir soloit	-----|--|---|-|---⌫|--⌫-|------|-----|
nemiedelab o ichecarde unomeirn	-|--|-|-|-⌫-⌫---|--|--⌫|-----||
sapetite oris ononke sne ntroblioit	-|-----|----⌫-|----⌫||-⌫---------|
lapenseuetu ad e s ladisoit	-|-------||--⌫-⌫|-|-----|
kantensio t troi sanscomparei zsespe chiz	---|---|-⌫|----⌫|--|--------⌫|--|--⌫---|
etlesde li zdelsecle uencuz etiusticiez	-|--|--⌫--⌫|--|----|-----|-|--------|
lisai nzhom eno t	-|---⌫-|--|-|-⌫|
d ol et sile npris t	-⌫-|-|-||-⌫|----⌫|
carmut er etses	--|--|--⌫-|--|
cors peneiz et trauiliez	---|-----|-|--------|
multuolent iersleustde	---|------⌫---||---|-|
laenzdeli ure i e	----|----⌫---⌫-⌫|
mai snesauoi t s	---⌫|-|-----⌫||
ele eretuerdeu	--|---|--|--|
tote acorde ie	---|------⌫-|
biensauo itke	---|----⌫-|-|
ta nt plu snostres aniorag reie	--⌫-|---⌫|-----|-⌫----|--⌫---|
la gemmequ iplusest polieetesm ereie	-|----|--⌫|---|--|----|-|---⌫----|
b iensauoitkelol in dont hom	-⌫--|-----|-|-|-⌫-|---|--|
uult can silfaire	---|---⌫--|----|
couientmuttrau i lhierbatre trieleiret t raire	------|--|----⌫-⌫----|----|-------|-|-⌫----|
som uolt lo drapsiblancke	|-|---|-|---|-|----|-|
nule riennipaire	---|---|||----|
souent lo stu et laueir	-----|-|---⌫-|-----|
metrealai weetretra ire	----|||--⌫-|-|-----⌫--|
lor c umuultass eoir	|-||-|---|---⌫---|
en l acoronealr oi	-|-⌫|-----|-|-⌫-|
couientmut estrefinpuret debone	------|--|----|--|--|-|-|---|
ne tantne quantn e	-|---|-|----|-⌫|
doitau oir de th echeen soi	---|--⌫--|-|--⌫---|-|--|
estura is liroisdist	--|---⌫-|-|---|---|
ostezleensusdemoi	----|-|----|-|--|
cefaisoitlosainthomepenseiretrep e nseir	-|------|-|----|---|------|-|---⌫-⌫----|
l unefo izlauoloit de la	|--|--⌫-|-|-----|-|-|
pierreieteir	-----|-----|
l autre disoitanco rl i	|----|-----|----⌫|||
couient demo re ir	------|----⌫--⌫-|
c artr op tost	-⌫-|--⌫-|---|
de laplaiepuethoml emplastreoster	-|-|----|---|--||--------|----|
cekeprod ome font doi thombienen garder	-|-|----⌫--|---|---⌫|--|---|--⌫-----|
alurdizdoitho m	|--|--|---|--⌫|
mutbienpenser	--|---|-----|
carp orce leslait	--|-⌫-|-|--|---|
deusbien dire et	---|---|---|-|
bienou rer	---|--⌫--|
kepa rlur bon e xe mple nos puis sons	-|--⌫|--|--|-⌫--⌫---|--|----⌫---|
entr e d roitet mercit	----⌫|-⌫---|-|-----|
siatem preirse	-|----⌫----|-|
lip rodom p ar mer citquil	-|-⌫----|-⌫-|---⌫--|-|-|
nobl iel odr oit	|---⌫-|-⌫|--⌫--|
dro t simaintieniequ e	---⌫|-|---------|--⌫|
merciables soit	---------|---|
orsef acehumle etpiuor	-|-|-⌫--|----|-|--|-|
se face aspre e troit	-|---|----|-⌫|---|
liiuste ciers soi doit tenir endobleguise	-|-----⌫----|--|---|----|-|----|----|
at mer c it ne puet fai relo	-|---⌫-⌫-|-|---|---⌫-|-|
deuseruise	--|------|
mais biense do itgard e irke	---|---|-|--⌫-|----⌫-⌫-|-|
m erciztant nel b ri se	-⌫----|---|-||-⌫--⌫-|
keparmisericord el aistaleirlaiustis e	-|--|----------⌫|-⌫---|----|-|------⌫|
deno istesuosunkes	--|-⌫----|--|----|
d emoyses parleir	-⌫|-----|------|
mu tsot bien	--⌫|--|---|
chosesmaintenir et garde r	-----|--------|-|-----⌫|
cantlifilisrae lf urent pa s seitla	---|-|--|-----⌫|-⌫----|--⌫-⌫---|-|
u nuee lfisentdorse l	-⌫|---⌫|-----||-|-||
pri se nt aor e ir	---⌫--⌫-|---⌫-⌫-|
dec e futdeusformentet adroit	-|-⌫|--|---|------|-||----|
la leseustt ozm orset	-|--|---|-⌫-|-⌫--|-|
enenferplonchiez	-|----|--------|
de lapute gentfu isttotma inte nantuengiez	-|-|---|---|--⌫--|--|--⌫----⌫---|------|
si l nefuist	|-⌫|-|----|
moyses cuien	-----|--|-|
pris tgranz	----⌫|----|
beazs iresdeus	---|-⌫---|---|
faiti lnet ecorrecier mie	---|-⌫|-|-⌫|--------|--|
ne faim ieaton pole	-|--|-⌫-||--|---|
soloncsaf elonie	-----|-|-⌫-----|
se tu c ilesoci s egipte	-|-|-⌫|--|---⌫|-----|
en seralie	-|---|--|
uces tmall or pardonneutu met oz	|---⌫|--|-⌫-|-------||-|-|-⌫-|
poramurmoys endeu s soirapaisenta	--|---|----⌫-|---⌫|--|---------|
maisoro ie zmeruelles	---|-|-⌫--⌫|--------|
cilquitant deupria	--|--|---|--|---|
kiperdreparsonpopl ela uie	-|-----|--|--|----⌫|-|--|
maintm ilhier enun ioroci reencomanda	----|-⌫-----|-|-|--|---⌫-|-|------|
uosuen gie zfai t il azfi z leui	--|---⌫---⌫|---⌫|-|-|--⌫|---|
pe cheors aleizent o tparmi	--⌫-----|----|-|-⌫-⌫|----|
iesp ar gniezneparent ne ami	|---⌫--⌫----|-|-----|-|--|
kime rcitlesfera t	-|--⌫---|--|----⌫|
n en ait mercii	|-|--|-----|
quant uin t	----|---⌫|
ett roismilliers	-|-⌫---|-------|
orentdegen t	----|-|---⌫|
donc lor distm oysesbi enaueizui ou reit	---|--|---|-⌫----|--⌫-|----|-|--⌫---|
bienaueiz ui seruitnostre	---|----|-|-----|-----|
saniorengreit	-----|-|----|
tuitestesui dedeubenoit et	---|----|-|-|--|-----|-|
consecre it	--------⌫-|
auezu os entendutcummo yses	---|-⌫-|-------|--|--⌫---|
cumfutroiz can t ild iutloforfait	--|--|---|---⌫|-|-⌫--|-|------|
cumfutpiuscan t por eaz n efina tde	--|--|---|---⌫|--|--|-⌫|----⌫|-|
et parlur s aluement u olt sauie	-|--|--|-⌫-------|-⌫--|-|--|
ce k e sainzmo y sesd onc fist	-|-⌫|----|--⌫-⌫--|-⌫--|---|
corporelment	-----------|
totce do itho mo r fa ire spiritueeme nt	--|-|--⌫-|--⌫|-⌫|--⌫--|-----------⌫-|
ki l opople deusetqui	-|-⌫|----|---|-|--|
biengardei prent	---|----||----|
l especheors oci tg e	-⌫-|-------|---⌫|-⌫|
uosdiraicomm ent	--|----|----⌫--|
sunt lipres trelorparole estles peie	---|-|----⌫--|--|-----|--||--⌫---|
dontlamaluaise	---|-|-------|
uiedoit e str eadesblameie	--|---|-⌫---⌫|---|------|
bienest l ipechieres can tsauie	---|--|-⌫|--------|---⌫|-|--|
cantlam ale constume de luiest toteosteie	---|-|-⌫--|-------|-|--|--|---|-----|
t o tadesdoit li p restr es son poble	-⌫-⌫|---|---|-|-⌫-----⌫-|--|----|
cantp lusuo itlesmalua i s encontredeu drecir	---|-⌫--|--⌫-|--|-----⌫-⌫|-------|--|-----|
tan tdoitmiezdesa spei eetf er iret	---⌫|---|---|-|-|----⌫|-|-⌫--⌫-|-|
formentse doit pe neirporlemal abaissier	------|-|---|--⌫---|--|-|--|--------|
por sanio r ne soi	--|-----⌫|-|--|
pora miscoisier	--|-⌫--|------|
blameirdoi tlo larr onloro burl	------|---⌫|-|----⌫-|-|--⌫--||
lode litdelboriois l orguildelcheualier	-|--⌫--|--|------||-----|--|--------|
lafoliedesfemes	-|----|--|----|
d esdammeslo dongier	-⌫-|-----|-|------|
direlor doitcef ait es cedeuei zuo slaissier	---|--|---|-|-⌫---⌫-|-|-----⌫|--⌫|-------|
puislur doit pe nitan c esicumdroize stcarg ier	---|--|---|--⌫-----⌫-⌫|-|--|----|-⌫-|----⌫--|
kisiseitlo m aluaisocire	-|-|---|-|-⌫-----|----|
et iustecier	-|--------|
ki sifie rt kisitalhet	-|-|---⌫-|-|-|-----|
sachiezquedeuslat	------|--|---||-|
d esi faitebatalhel is aint hom eapris	-⌫|-|----|------|-⌫|-⌫---|---⌫|----|
b ieuroscelui quisi	-⌫-----|----|--|-|
se ratoc is	--⌫--|--⌫-|
carenc ontredeuu it encui	--|---⌫----|--|-⌫-|-|--|
limalzestuis	-|---|--|--|
toz iertmorzqui	--|---|---|--|
seratenmalesourespris	----|-|----|----|---|
deneuitmalement cuili	---|--|-------|--|-|
maza bel ist	--|-⌫---⌫--|
et ci ldenemuer tbie n	-|--⌫|---|----⌫|---⌫|
kilemalrelenquist	-|-|--|---------|
c estunegentizmorzcest cekesainz	|--|--|-----|---||--|-|-|----|
gene u ifpas fai tilen moi	-|-|-⌫-|--|---⌫|-|-|--|
uitihesu crist	--|----|----|
de nestbienmors alse cl equi mal	--⌫|--|---|---|-|--⌫--⌫|--|--|
uultuengierquipasnesoidefent	---|------|--|--|-|--|-----|
kitotsoffretpor	-|--|------|--|
deu qu ito tenbon gr et prent	--|--⌫|--⌫|-|--|--⌫-|----|
m uercumilmurtsage ment	-⌫--|--|-|---|----⌫---|
cidoitf aire morir	-|---|-⌫---|----|
etensi doitoci re	-|---|---|---⌫-|
cilqui lo saluement desp echeo rsde sirent	--|--|-|--------|--|-⌫-----⌫-|--⌫-----|
cuike placee t c uinon la	--|-|----|-⌫|-⌫-|--|-|
ueritei t do itd i re	-------⌫|--⌫-|-⌫-⌫-|
par nul uine soitaisetia	--|---⌫-|-|--|-----|-|
nesoit siha lzsir e	-|---|-|--⌫-|---⌫|
al for fai tamen deir soi t	-|---⌫---⌫|----⌫---|---⌫|
fors proz etu all anz	---|---|-|-⌫---⌫--|
m a isdel mal qu ifaiz	-⌫-⌫-|--|--|--⌫|---|
est soitensonc uerdol anz	--|---|-|--|-⌫--|---⌫--|
teilz talhealtruisaplaie qu	----|----|-----|-|----|-|
il li fait dolor granz	-|-|---|----|----|
m ais ses an erlipuetliezen estetioianz	-⌫--|-|-⌫--⌫-|-|---|---|-|--|-|-----|
al maladedoit homlamezine most reir	-|-----|---|--|-|-----|----⌫---|
nes abelne	-|||--|-|
liuientselidoithommostreir	-|----|-|-|---|--|-------|
asseiz uie ntmiezlenfertot	-----|---⌫-|---||----|--|
se nzso ngret saner	--⌫-|--⌫|---|----|
keporunp etitdaisemorir	-|--|-|-⌫---||---|----|
mai s qu iuolentiers	---⌫|--⌫|---------|
faitcekeli m iesuult	---|-|-|-|-⌫--|---|
asse izatplusgrant aiseet plu stostg arir	----⌫-|-|---|----|---|-|---⌫|---|-⌫---|
et se cilestbonshomquimecineirle	-|-|--|--|---|--|--|-------|-|
il estdolanz	-|--|-----|
del m aldontlienferss e	--|-⌫-|---|-|-----|-⌫|
ce ke oruosdirai	-|-|-|--|----|
nediraisenzdolor	-|----|---|----|
cant ietresbie nipensapa ine	---|-|---|---⌫||---||--⌫--|
ke nenpl or	-||-|--⌫-|
trop estdemaluai s miesparlosecleui cest	---|--|-|------⌫|---|--|-|----|-|---|
pl us estdenferstantontioie granior	--⌫-|--||-----|---|--|---|------|
plus aimet li malz mieslomalkelasante	---|----|-|---|---|-|--|-|-|----|
car a l a san teprentmut	--||-⌫|---⌫-|----|--|
mainsk al enferte	----||||------|
cantilseitun richehome m alement agreuét	---|-|---|-|----|---|-⌫------|-------|
ormeu atbienfait il	-|-|-⌫-|---|---|-|
un graslieure	-|---|-----|
ai t r ouét	-|-⌫-⌫----|
cek eie dipothomentendresimplement	-|-⌫|-|-|--|--|-------|---------|
maisteilzdist unechose	---|----|---|--|----|
altrei entent	----||-----|
kilocors seit	-|-|---|---|
sane irmies	----⌫-|---|
estuo irement	--|--⌫------|
etmies qu iles	-|---|--⌫|--|
anrmes agardeirentreprent	-----||------|---------|
soit danr me	---||---⌫-|
corskilomal seitosteir	---|-|-|--|---|-----|
bienli puethom par droitnom	---|-|---|--|--|----|--|
etki ius tisetientpuetlom	-|-|---⌫---|----|---||-|
ensin ome ir	---|-⌫---⌫-|
oilcarilestmies po rlomal e n mi edreir	--|--|-|--|---|--⌫|-|--|-⌫-⌫--⌫-----|
puscestrequ il	---|----|-|-|
u osg rieue tet	-⌫-|-⌫-----⌫|-|
de ceke sisouentdenostreuoie	-|-|-|-|-----|-|-----|---|
mais or ne uosan uitcar	---|-|-|--|--⌫--|--|
tos t ireu enrom es	---⌫||---⌫-----⌫-|
unpoiironsaua nt puissireturneromes	-|--|----|---⌫-|---|-|-----------|
orpar lo ns dontdecea z qui	-|---⌫--⌫-|---|-|---⌫|--|
tin entlaiustise	---⌫--|-|------|
neu ulkeuosquidiezke ielesbon smesprise	-|-⌫-|-|--|------|-|-|--|---⌫|-------|
m a islipluisor ontsi	-⌫-⌫-|-|------|--|-|
sorauarisc em ise	--|-------⌫|-⌫--|
lo rententequil f untmutpou deldeu	--⌫|------|-|-|-⌫--|--|--|--|--|
b ie n saikilnestiustiseki	-⌫--⌫|--||-||--|------|-|
depardeu nesoit	-|--|--|-|---|
soit roissoit cuenssoit dusmaisk e	---|---|---|----|---|--|---|-⌫|
bintenie dr oit	--|----|--⌫--|
si lsoipain etd elmal	|-⌫|--|----⌫-|-⌫-|--|
osteirpui sq u i l louoit	-----|---⌫--⌫|-⌫|-|---|
grant lowieren	----|-----|-|
a urat nulzmes cro irene ldoit	-⌫---|---|---⌫---⌫--|-||---|
ki laiustiseti nentkeplus	-|-|------|--⌫---|-|---|
suntgrantsanior	---|----|-----|
bi ensoie ntawo eitescheuinou	--⌫-|----⌫-|---⌫--|-------|-|
mais par dr oiturefaireke plus ontdela bor	---|--|--⌫-----|----|-|---|--|-|--⌫--|
tant auront deu antdeuplusde	---|-----|---⌫--|--|---|-|
ma issilsunt	--⌫-||-|---|
dau aris ce etde	|--⌫----⌫-|-|-|
mal appresseit	--|---------|
ceken ostre sire atp orgrantbienco mma ndeit	-|-|-⌫----|---|-|-⌫-|----|---|--⌫---⌫----|
pormalu aises	--|----⌫----|
constumes on ttotamal tur nét	--------|--⌫|--||--|---⌫---|
nenef u ntonkesg aires dontdeus	-|-|-⌫-⌫-|----|-⌫----|---|---|
lor sache greit	--|----|----|
esga rdeizteilz	----⌫----|----|
i at se cestbiens k eilfait	|-|-||--|----|-⌫|-|---|
unprod o mme quidelsien	-|----⌫-⌫--|--|--|---|
mandetlesescheuinsf ai tc ommandeirson	-----|--|--------|-⌫--⌫|-⌫--------|--|
fa itcelui a cuse ir quiniantnat forfait	--⌫-|----|-⌫----⌫-|--|----||-|------|
dont traitason conseilhardreitetuiu iien	---|----||--|------|-------|-|---⌫---|
cist hom estfait	---|--|--|---|
s ine nosdonnerien	-⌫|-|--|----|---|
cilliresponde nt sirenos enpenserons bien	--|-|--------⌫-|---|--|-|--------|---|
iasin esc hap eratkeno snaions	-|-||---⌫---⌫---|-|--⌫||----|
c antilsunt	-⌫--|-|---|
contre luig rant	-----|--|-⌫---|
piec ecombatut	----⌫|-------|
etcilatbien son droit cum	-|--|-|---|--|----|--|
prodom mai nt enut	-----|---⌫--⌫---|
aderrainsdist hardreiz a taint	|-------|---|-------|-⌫----|
laietuencut	|-|-|-----|
po r coi carilm istiuss enz	--⌫|--|--|-|-⌫--|--|-⌫--|
congietlofestuil	------|-|------|
silen doit nuldroitfaire	|-|-|---|--|----|----|
m eteiz laiugemen t	-⌫----|||-------⌫|
uolenti ersdistlimairesord i tes	-------⌫--|---|-|-----|-|-⌫-⌫--|
b aldem ent	-⌫-----⌫--|
do nt dist	--⌫-|---|
li escheuinsdroizest bienmi assent	-|--------|----|--|---|||-----|
fai tesdroitbe az	---⌫--|----|--⌫-|
amis orzaplege	---|-|-|----|
nepau r nuntded eunecur e	-|---⌫||--|-|-⌫-|-|---⌫|
qui tolent alagent parteil engien l elur	--|-----||-|---|--|---|-----|-⌫|--|
lo der rainiugement	-|---⌫---|-------|
gairesmelho r	-----|-----⌫|
quideiugerent ato rt nostre sangnior	--|---------||--⌫-|-----|-------|
ainc deusn elcommandat	---|---|-⌫||--------|
ai nc bonshomne lescrist	--⌫-|---|--|-||------|
sun shompar	|--⌫|--|--|
auentur e aun mot	-------⌫||-|--|
mepr es ist	----⌫--⌫--|
kes o norpar teilculpe etsonauoirperd ist	-||-⌫--|--|---|----|-|--|----|----⌫--|
teildroitt rouatd iable squiteilzplainza belist	---|----|-⌫----|-⌫-----⌫|--|----|-----|-⌫-----|
iene saiquilequidetie	-|-|--|--|-|-----|-|
ne s aikilocroit	-|-⌫-|-|-|----|
lpuis mescroire	|---|--------|
ke diablesni soi t	-|------|||---⌫|
a t eilplaitulihomnepuet	|-⌫--|----||-|--|-|---|
auo irs ondroit	---⌫-|-⌫-|----|
salke sde lsiennedonetk e rien	|----⌫|--⌫|---|-|----|-⌫|---|
facet desploit	----||------|
pieceatqu il e st escritmaisnuz n	----|-|-|-|-⌫-|-----|---|--||
iuultentendre	|---|-------|
qar cecum n e	--|-||-|-⌫|
uult fairen	---|----||
cu red aprendre	--⌫-||-------|
li iusteciersne	-|---------|-|
doitpardroitfairerien prendre	---|--|----|----|---|------|
et si latortl eprentq uidiezquil	-||-⌫||---|-⌫|----|-⌫-----|-|-|
distlescriturelura rdratlormaisons	---||--------|--|-⌫----|--|------|
uolentiersp rendentmazlo wierset	---------|-⌫------|--|--⌫----|-|
lesmaisons suntlic or su	--|------|---|-|-⌫--⌫||
enznosdemorons	--|--|-------|
litormenzdenferli fo usdontnou sparlons	-|------||----|-|--⌫-|---|---⌫|------|
liiugeorquip rendent	-|-----|--|-⌫------|
tropuole ntierslowier	---|----⌫-----|-----|
cildesirentten zo ns maleamurdesturbier	--|-------|---⌫--⌫-|---|---|---------|
quantuoientpiez colpeir uelzc reue i r chie s br isier	----|-----|---|------|---|-⌫----⌫-⌫|----⌫|--⌫----|
naiezc urefuntilci noscreissentdon ieir	|---|-⌫--|---|-|-|--|--------|---⌫---|
ci atdenost r eprout carnostre est l a	-|-|-|----⌫-⌫|----|--|-----|--|-⌫|
iasen znostre cong ietn	-|---⌫|-----|----⌫--||
eniertacorde	-|---|-----|
no srachatr ons noz	--⌫|-------⌫--|--|
gagesan zkepaisisoit	----|--⌫--|---||---|
quelpartkelichien	---|---|-|-|----|
cue rentnos cornerons	---⌫---|--|--------|
eilasquiensi	-|--|--|---|
gangni entkema le	------⌫--|-|--⌫-|
gaagneifunt	-----||---|
ki si fai z lowier sprende n t cummaz l o wierspr endront	-|-|---⌫|------⌫|------⌫-⌫|--|--|-⌫-⌫----|--⌫------|
lescri tur etesmonietcilqu i	|-----⌫---⌫|--------|--|--⌫|
posteit sunt	------|---|
lestormenzenenferposte izs oferont	--|------|-|----|-----⌫-|-⌫------|
mai sli laiqui pouse ue nt	---⌫|-|--|--|--|--⌫--⌫-|
etenliure neuoient	-|-|----|-|-----|
nestmie grantmerue lhequil a	|--|--|----|-----⌫--|-|-||
l afo izdeuoie	-⌫|--⌫-|-----|
silente ndoentletres uentendreipo o ient	|-|----⌫-----|-----||-------||--⌫-⌫---|
espoirdesmalzqu	-----|--|---|-|
ilfuntalkessatemperro ient	-|---|----||---------⌫---|
maisquie nliureuoient	---|--|-⌫|----|-----|
escri tureentendent	-----⌫---|--------|
kilescomanz	-|--|-----|
deu seuent etquilesnos aprendent	--|-----|-|--|--|--|--------|
etcezmimes mazfuntquilal agent	-|--|----|--|---|-|-||-⌫|---|
deceazdistsainz d auidken enfer	-|---|---|----|-⌫---||-|----|
uifdesc endet	--|----⌫----|
bien uatuis enenferqui l omalfa it	---|--|--|-|----|--|-⌫|--|--⌫-|
kilol ista	-|-|-⌫--||
sesuez quilo	--|--|--|-|
mais comment quillo	---|------|-|-|-|
sa chetk eizomqu ilonkessoit	--⌫---|-⌫--|-|-|-|----|---|
perduzes tsil loseit	-----|--⌫||-|-|---|
et silnesenrecroit	-||-|-||-|------|
kek el ia ltr e	---⌫|-⌫|-⌫---⌫|
f acen tenuers deu mut mefunt	-⌫----⌫|-----|--|--|-----|
ki la ius tisetinentetpo steeitenont	-|-|---⌫---|-----|-|--⌫-----|-|--|
so ie ntc lerc soient lais e	--⌫--⌫-|-⌫---|-----|--|-⌫|
l omalnedefunt	-⌫|--|-|-----|
carcumandeit	--|--------|
lorest e trais on	--|--|-⌫|----⌫-|
en red ront	-|---⌫---|
ensikeoranz dis	---|-|----|--|
denes tce gra nzdo lors	--|--⌫|-|---⌫-|--⌫---|
auarisceapresseiz	-------|--------|
l es pluis ors	-⌫-|-----⌫--|
kecedontilporo ient	-|-|---|-|----⌫---|
ioieauoir atozio rs	---|----||--|--⌫-|
ce l esfaite ne nferardoi rsenz	-|-⌫-|---|-⌫|-⌫---|-----⌫|---|
nul so rcurs	--|--⌫----|
maisqui laiustise aimet	---|--|-|------|----|
cilaurat grant lowier	--|----|----|-----|
quardedroit	---|-|----|
iugeor ont pou re	-----|--|---⌫-|
ge ntmestier	--⌫-|------|
pord roi tfaire a chascun soidoitbie ntra uill ier	--|-⌫---⌫|----||------|--|---|---⌫|---⌫----⌫--|
pa rdonsn epa rpromesses neselaiste mbrisie r	--⌫|---|-⌫|--⌫|--------|-|-|----|-⌫-------⌫|
poramurnelaistonkeslo	--|---|-|----|----|-|
droi tneparmanace	----⌫|-|--|-----|
etcel uiq ui liustiset	-|---⌫-|-⌫|-⌫|-------|
biensoi gartquil	---|--|---|-|-|
doiti l am eir li	---|-⌫|--⌫--|-|
delf orfaitsoit	--|-⌫-----|---|
do lanzmais	--⌫---|---|
la iust iseenf ace	-|----⌫--|-|-⌫--|
et soitcequ	-|---|-|-|
iltie gnietbiendroitelabalance	-|---⌫----|---|-----|-|------|
nequedentdoitauoi ren	--------|---|----⌫|-|
soncuerlap itance	--|---|-|-⌫-----|
etsec il estdon tteilz	-|-|-⌫-|--|---⌫|----|
quil lo po r teensoffran ce	-|-|-|--⌫-⌫-|-|-------⌫-|
