Qiuoetoyrchaunzondamur	-|---|--|-------||---|
Oweinlelealenf ant	----|-|---|---⌫--|
L ouruiaunde uaquera nt	-⌫--|------|-|-----⌫-|
Mestant louruintsurcherte ́	--|---|---|---|--|------⌫|
De pain uinede	-|---|--||-|
Q edonkene poienth o metrouer	-⌫|----|-|-----|-⌫-⌫-|-----|
Q erienlou r uoille doner	-⌫|---|---⌫|-----|----|
Einznepount	---|-|----|
plusentendre	---|-------|
Q ilcouien tlor	|-|------⌫|--|
asneue nd re	---|--⌫--⌫-|
Purcinksouz ediz	--|---|---||--|
Deceoacat erontlourui t aille.	-|--|----⌫----|---|--⌫-⌫-----|
Estrece olourfou ntf e re	----|--⌫|---|---⌫-|-⌫-⌫-|
Surdeus ro esunecy uere	--|---|--⌫-|--|--⌫---|
poutseimeism es enchacer.	---|--|-----⌫-|--------|
Amil lionfistdede inz c och e r	----⌫---|---|----⌫--|-⌫---⌫-⌫|
Apl u sqilpoutlieysa	|--⌫-⌫||-|---|-|---|
enlong li enmena.	-|---|-|------|
Parla terretantal erent	--|-|----|---|--⌫----|
Qefeymemesaisetr oue rent	-|---||------|--⌫---⌫---|
Desqueseusuindrentelpais	------|--|-------|-|---|
O u soi ornalecounte	-⌫|---⌫---|-|-----|
Qe noblec ourt illoeqtenoi t	-|----|-⌫---|-----|-----⌫|
E mo ult grantbenfesoit.	|--⌫--|----|--|------|
L apouregen ttotenuiroun	-⌫|----|---⌫|--|-------|
Alacom a processioun.	--|--||-----------|
Entreautreslesdeuzuount.	----|-----|--|---|-----|
Ne sciet qee usu eitqui ls oun t	-|----|-|-⌫-|-⌫--|-|-⌫|-⌫---⌫|
S ieusfuissent	-⌫|--|-------|
en la cort	-|-|---|
honurserreintreceuz.	----|-------|------|
Pr es delaportese	--⌫-|-|-|----|-|
El enfantqe	||-----|-|
bienfust apris	---|---|----|
Emoultamasonseign u r[f.74ua]	|----|--|--|-----⌫-⌫--------|
Ala demaundan ttutento ur	--|---------⌫|--|----⌫-|
Despoures l esestres el esman ere s	--|-----|-⌫-|-----||-⌫-|---⌫---⌫|
E le scustumes	|--⌫|-------|
delesterres.	-|--|------|
Lesgent ilshomes qealerentiua unt	--|----⌫--|----|-|------|---⌫--|
Eles p ouresregard ant	|--|-⌫----|------⌫--|
ueuountl enfantbeleparceu	--|---||-----|--||-----|
E sil fuitaukeues t u	||-|---|---|---⌫-⌫|
Gentilhome res emble reit.	-----|---|---⌫-----⌫----|
Un deeuxlyap peleyt	-|-|--|-|--⌫-----|
Demaundastsiluou t seruir.	---------||-|---⌫|------|
Eilgettaungra ntsuspir	|-|----|-|---⌫-|-----|
Cild itqilout un	--|-⌫-||-|--|-|
sei gn u r	---⌫--⌫-⌫|
ne lerreit purestre	-|------|--|----|
Qyc eofuitlidemaund eient	-|-⌫-|---|-|-------⌫----|
Me ss it ost comil ueu	--⌫|-⌫--⌫--|--|-|--|
Celiqilclamapurseignur	---||-|----|--|------|
Touz li tenoient	---|-|-------|
enfant a uo ientpité	-----|-⌫--⌫---|----|
AlcounteAmysou ntcounté.	-|-----|---|--⌫-|-------|
Cil sito stcomma ngea	--|----⌫-|--|--⌫---|
S onpremermeslienuoy a	-⌫-|-----|--|-|-----⌫|
Par so n mestrebotiler	--|--⌫|-----|------|
Qe ertco r teischeualer.	-|--|--⌫-⌫---|--------|
De chescunmes qe le mli po rta	-|------|--|-||-⌫|-|--⌫--|
Lamo yt é loren u oia.	-|--⌫--⌫-|--|--⌫-⌫---|
A mis u necoupeauoit	-⌫--|-⌫-|----|----|
ferementam oit	-------|--⌫--|
CarAmilliounqeta ntamoyt	--|--------|-|--⌫-|----|
C elecoupeli do nai t.	-⌫--|----|-|--⌫---⌫-|
A mi llioun mesmesauoit	-⌫--⌫-----|-----|----|
uoutu endrenedone r .	---|-⌫----|-|----⌫-⌫|
Mesl ehana ptantameyt	--|-⌫|----⌫|---|----|
Q entotsonan guisse	|-|--|--|--⌫-----|
guerpirneuoleit.	------|-|------|
Lesdeushanaps	--|---|-----|
tantresemb leient	---|------⌫-----|
en unemaynest oient	-|--|---|---⌫----|
Nesthome qeta ntdel	|--|---|-|--⌫-|-||
ouerai gneseust	------⌫--|----|
un delautrede uiserdeust.	-|-||----|--⌫----|-----|
Qeunkelesser le	-|---|-----|-|
Quantlecounte	----|-|-----|
adpresmange ́	-|---|-----⌫|
Sonbotiler adappelé	--|------|-|------|
Perne zmacou pe odt otleuin[f .74ub]	-----⌫|-|---⌫-|-|-⌫-|-|-----⌫-----|
Sil aporte zaceofrarin	-||------⌫||--|-----|
A upoures qetantes tm esaysé.	-⌫|-----|-|---|--⌫|-⌫-------|
Meslehanap	--|-|----|
soitbiengardé	---|---|-----|
Enson esquiell euinue rsez	-|--|------|-⌫|--|--⌫---|
Emacoup emereportez	|-|----⌫|-|-------|
Ec e lifi stlecomaun de ment	|-⌫-⌫-|--⌫-|-|------⌫--⌫---|
Euinteportalepresent.	|---||----|-|-------|
Lepo uresqe m eselfuite nuein	-|--⌫---|-|-⌫---|---|-⌫|---|
Pr is tsa cou pehorsde so nsain	--⌫--⌫|-|---⌫-|---|-|--⌫|---|
E lautrelauist sisesme rueilla.	||----|-|---|-||----⌫-------|
Lacoupe durement regarda	-|----|-------|------|
PensacilComentpoetestre	----|--|-----|---|----|
Cesdeushanaps fistunmestre	--|---|-----|---|-|-----|
Areretan tostserepeira	----|---⌫---|-|------|
Alco u ntede	-|--⌫-⌫--|-|
celha nap counta	--|--⌫--|-----|
Comentasoenresembleit.	-----||---|----------|
E le countemoult	|-|-----|----|
esmerueileit	-----------|
De Amillioun donq elisouent	-|--------|----⌫|-|-----|
faiti lu erraiment	---|-⌫|-⌫--------|
Demonfrerelad	-|--|----||-|
serraachaté	----|------|
O utre latablesautataun t	-⌫---|-|----|---|-----⌫|
Acelpoureuinterrant	|--|----|---|-----|
Formen t l	------⌫||
adf e rudu pé	-|-⌫-⌫-|-|--|
bow eest iluersé.	---⌫|--|-|------|
Lesch eu alers	--|--⌫--⌫----|
uind rent d eldeys	----⌫---|-⌫-|---|
Qel iestoient	-|-⌫|-------|
demol tprés	-|---⌫|----|
Enresoner li uo lei e nt	--------|-|--⌫---⌫-⌫-|
Me s pur poe r q eeusauoient	--⌫|--|---⌫|-⌫|--|------|
Nelipoe ient assuager	-|-|---⌫---|-------|
Q ilnel i ueltocie r.	|-|-|-⌫|---|----⌫-|
Qua ntb a tu	---⌫-|-⌫-⌫-|
Queses mains	--|--|----|
s unt allassé	-⌫--|-------|
Donqecommaundqe lenly lyast	----|-------|-||-|-|----|
Eensapri sonligettast.	|-|-|---⌫--|-|-------|
Ami llioun donqu emaunderei t	---⌫-----|-----⌫|---------⌫|
E lauerité deliquerreit	|-|------|-|-|-------|
Qeso nhanapoutperdu	-|--⌫|----|--|----|
E courente s tauenu.	|------|-⌫-⌫|-----|
Quan tAmy llioun liois tnomer	----⌫|---⌫-----|-|---⌫|----|
Dedol urpout	-|---⌫-|---|
sonquercreuer[f.75ra]	--|---|-------------|
Sire ditparlafoyqe uus deuez	---|--|--|-|--|-|--|----|
A Amilliounqe tant	|--------|-|---|
Ne mefacezenprisoner	-|-|----|---------|
tosttrenc her .	---|-----⌫---⌫|
Me scertesai	--⌫|-----|-|
ie otro puesqu i	--⌫|---⌫|-----⌫|
Tropbienaila mortdese rui.	---|---|-|-|---|----⌫---|
uoir distil uous lauer ez	---|---|-|---||----⌫-|
D euostredemau nde ian e faudrez	-⌫|-----|-----⌫--|-|-⌫|------|
Tantoste sp e i edemaunda	------|-⌫--⌫-⌫-⌫|-------|
distq illetu er a.	---||-|-|--⌫--⌫-|
Tos tl espeie	---⌫||-----|
Puisladen hautleué	---||-|-|---|----|
EAmil lioun lecoltendist.	|----⌫----|-|--|-------|
Maislenfant	---||-----|
auantsaillist	----|-------|
Uwei nqi ne	----⌫|-|-|
poe tsuf frir	---⌫|---⌫---|
Qeson s e ignurd eustmorir	-|--|-⌫-⌫----|-⌫---|----|
Enhautcria	-|---|---|
Mercymercy	----|----|
Puri ce l Deu	--|-⌫--⌫|--|
qe onqen em ent i	-|---|-⌫|-⌫---⌫|
E q i encr oizsuffri pa ssi oun	|-⌫|-|--⌫--|-----|--⌫---⌫--|
C estmi siressireAmillioun	|--|-|----|---|--------|
S ir equensremem brezAmys	-⌫--⌫|----|-----⌫---|---|
C our uouslisoleiezameriadis.	-⌫--|---|-|------|---|-----|
Grantbosoignelia dic ychacé.	----|-------|-|-⌫|--⌫|------|
Si l eocciez	-|-⌫|-----|
uousfete spec ch é.	---|----⌫|---⌫--⌫--|
Quantle c ou nteceo oist	----|-|-⌫--⌫--|--|---|
Tostestenduaterrechaist	---|------||----|-----|
Batesesmains	---|--|----|
ses cheueuzdetire	--|------|-----|
S auiehiets amortdesire	-⌫|--|---|-⌫|---|-----|
maudist qonq e	------||---⌫|
Quantpecché	----|------|
ladensiencombré	|-|---|--------|
Qeson fr ere des conusseit	-|--|--⌫--|---⌫--------|
Qe touz biens lifesoit.	-|---|----|-|------|
Tre stouzpluren t d epité.	---⌫----|------⌫|-⌫|-----|
Amis sesttot a drescé	---||--|--|-⌫------|
centfoi z li ad beise ́	---|---⌫|-|-|-----⌫|
com ert deta yleué.	--|--|-|--⌫|-----|
Entresesbrazlia d appo rté	----|--|---|-|-⌫|----⌫---|
Ensa chambreliadcouc hé.	-|-|------|-|-|----⌫---|
Bainerlifisteseigner	-----|-|---||------|
Conson co rpslifistgarder[f.75rb]	--|--|--⌫--|-|---|-------------|
Seruir lef is ttota ta lent	-----|-|-⌫--⌫|--||--⌫---|
De u iandeede	-|-⌫----||-|
boiureens ement.	-----|---⌫-----|
Elimemesali ue t	|-|----||-|--⌫|
C hescunioursisf oizousept	-⌫-----|---|--|-⌫--|-|---|
Tantcompoutl ad conf orté.	---|--|---||-|----⌫-----|
so ue ntaly	--⌫--⌫-||-|
Qeliamamoltdefinquer	-|-|--|---|-|--|---|
Commesi ele	----|-|--|
fustsasoer	---|-|---|
Plusnelipoet ferecompanie.	---|-|-|---|---|--------|
Treisa nzdemena tele	----|-⌫-|-----|---|
De ses eses assezauoyt	-|--|---|----|----|
Tantcomilmemes desi roi t.	---|--|-|----|----⌫---⌫-|
Quantpassalete mps	----|----|-|--⌫--|
Qeliquensunenoytdormi	-|-|----|--|---|----|
U neuoiz o y qelidisoit	-⌫-|---|-⌫|-|-|-----|
QeAmill ioun trop	-|-----⌫---|---|
biengarreit	---|------|
Silenfistmettrec ure	|-|-|---|-----|-⌫--|
Desde u sfizde	--|--⌫-⌫|--|-|
sa gendru re	-|------⌫-|
Si l esenfantzt uast	-|-⌫-|------|-⌫---|
E Am i lliounenl e saun k bainast	|--⌫-⌫-----|-|-⌫|----⌫|------|
Sis ai ndeuendre it	-|-⌫--⌫|--------⌫-|
c ompessoun.	-⌫-|-------|
Quant ueu a uo it lauisi oun	----|--|-⌫--⌫-||-----⌫--|
E de celsoungeresperi	|-|--|-----|------|
ADeuditilqeonq e ne me nti	|--|--|-|-|---⌫|-|--⌫--|
Doine qeuoirsoi t mons oung e.	----|-|---|---⌫|--|-⌫----⌫-|
Mesor e soituoiroum enso unge	--|--⌫|---|---|-|-⌫----⌫---|
Lamerueile	-|-------|
uoi zuoilprouer.	---⌫|---|------|
Pur me senfanzneu oilles ser.	--|--⌫|-----|-|-⌫--|---⌫---|
Moutauerafaitboneio rné	---|----|---|---|--⌫---|
S iparloursaunk poetestr e	-⌫|--|---|----|---|----⌫|
Uniour sestparmatynleué	-|---||--|--|----|----|
Ealmatine stilal é	|-|----|-⌫-|-|--⌫-|
Deurequistesonhautnoun	--|------||--|---|---|
Asonfrere doinegaris o un.	|--|----|----|-----⌫-⌫--|
Ladameu intqebonefust	-|---|-⌫--|-|---|---|
SouentDeupur	-----|--|--|
l i requist.	-⌫|-------|
cou ntes estr epa iré	---⌫--||--|-⌫---⌫---|
E nune cha mbreest entré	-⌫|--|---⌫---|--|-----|
Ou lesdeus enfanz do rmerent	-|--|---|-----|--⌫------|
E doucementeux en treacolerent.	|--------|--|--⌫------------|
[f.75u a ]	------⌫-⌫|
Lepere neust	-|---||---|
des es fiz	-|-⌫-|--|
A m be deusadle cheftren che ́	-⌫-⌫--⌫---|-|-|---|----⌫---⌫|
Ele sancdee ux adqui llé	|-|---|-|-⌫-|-|---⌫---|
EAmillioundedeinz adenuolupé.	|--------|------|-|---------|
Sitos t comle saunc	-----⌫|--|-|----|
Deson grantmalestilga rri	-|--|----|--|--|-|--⌫--|
Qeencorpsne enface	-|-|----|-|-|---|
De mal adi neappar eust tr ace.	-|---⌫--|-|-----⌫---|--⌫---|
EnAmisneoutq e regeir	-|---|-|--|-⌫|-----|
Une bonerobelifistuener	--|---|---|-|---|----|
Eam ousterpu i slim ena.	||-⌫-----|--⌫-⌫|-|-⌫---|
L adamesit ostco muew	-⌫|---|---⌫--|--⌫|--|
Presdei oie sepalma	---|-|-⌫--|-|----|
uint alseign ursili	---|-|-----⌫-|-|-|
Siceofuistsire Amillioun	-|--|----|---|--------|
C oment iloutsa	-⌫----|-|--|-|
D amecer tesieo uusdi rray	-⌫--|---⌫--|--|--|--⌫---|
Mesuousdesconfor teray.	--|---|---------⌫-----|
Sachezdamequep ursa	-----|---|--|-⌫-|-|
fiz a iestranglé.	--|-⌫|----------|
Lad amesesmeins	-|-⌫--|--|----|
aDeut endi	|--|-⌫---|
E mout gra cesli	|---|---⌫--|-|
Donqe comence pu rfer e	----|------|--⌫|---⌫|
IhesuCristle fizs ei nteMa r i e	----|----|-|--|-⌫--⌫--|--⌫-⌫-⌫|
Siliplestparsonpoer	-|-|----|--|--|---|
enfau nzdoner .	-----⌫-|-----⌫|
SiAmylliounperdu euss ez	-|--------|----|----⌫-|
Iaméstel au t re	-----|--|--⌫-⌫-|
enfaun zp lusn e npensoms	------⌫|-⌫--||-⌫-------|
SiDeuu elt bienlérecoueroms.	-|--|-⌫--|---|--|----------|
Ata nt laparoleountlessé	---⌫-|-|-----|---|-----|
Eleser uiceDe uountescoté.	|-|---⌫---|--⌫|---|-------|
Apréslame sse uintamesoun	-----|-|--⌫--|---||-----|
Ioiouseestelepur	------|--|--|--|
A myllioun.	-⌫--------|
Amysdonqe oueladameala	---|----|--|-|---|--|
ch ambreou lesenfa unzle ssa.	--⌫----|-|--|----⌫--|--⌫---|
Lese nfantzfur e ntestranglés	--|-⌫-----|---⌫-⌫-|----------|
E tot uifs lesounttr ouez	|--|---|--|---|--⌫---|
Enlorlit sentrebeyserent	-|--|--||-------------|
Delr a yd el solailse nioierent.[ f.75ub]	--|-⌫-⌫|-⌫-|-----||-⌫-----------⌫------|
Per eem erequantceo uire nt	---⌫||-⌫--|----|--|----⌫-|
gracesen rendirent.	-----|-|---------|
SireAm il lioun quant fust	---|--⌫--⌫----|----|---|
grant ma lnetté	----|--⌫|-----|
Sitostcom porra pris tco ngé	-----|--|----|----⌫|--⌫---|
est a lé .	--|-⌫---⌫|
dameau eitoy	---|--⌫--|-|
Qesonsei gnurestoitga rri	-|--|---⌫---|-----|--⌫--|
il reuint e lpai s	-|-----|-⌫|---⌫|
li lecounteAmis	-|-|-----|---|
Te l adel querdo lur	--⌫|-|-|---|--⌫--|
Qe unq ue femme	-|---⌫-|----|
ne outgrei gnur.	-|--|----⌫----|
Donqeseti nt enfynho nie	----|-|--⌫-|----|--⌫--|
Ne q u ide it pas q ilfuiten	-|-⌫-⌫---⌫-|--||-|---|-|
Pur ceo futtotappareil le ́	--|--|--|--|--------⌫--⌫|
Q enlemoisdeuste stree sposé.	|-|-|---|----|-⌫---|-⌫------|
Mesoreseclaimelas se ch eitiue	--|--|-|-----|---⌫-|--⌫-----|
M oultluypoiseqeeleest	-⌫---|--|----|-|--|--|
Nesaetelepasquoielepoet fer e	-|---|--|--|---|--|---|---⌫|
Nelasauera pl usaider .	-|-|-----|--⌫-|-----⌫|
Do nq ecomence aap urpenser	--⌫--⌫|-------⌫||-⌫-------|
Q entrenonay nes s emusc e reit	|----|-----⌫--|-⌫|----⌫-⌫---|
Sonse ignur i a mésneuerrait.	--|--⌫----|-⌫-⌫---|-|-------|
Mesne l iertpasdestiné	--|-|-⌫|--|--|-------|
Carun iour parmatyné	--|-|---|--|------|
Lesde us counte ssuntuenuz	--|--⌫-|------⌫|---|----|
portedescenduz	----|--------|
Qe nulfutaparceuant	-|--|--|---------|
De lo ur ue nuetantnequant.	-|--⌫-|--⌫--|---|-|-----|
Lameis neefustendormie	-|----⌫--|---|-------|
De louruenuene sauei ntmi e.	-|---|----|-|-----⌫-|--⌫-|
Qua ntl adameoi counter	---⌫-|-⌫|---|-|------|
En unec haumbres eala	-|--|-⌫------|-⌫|--|
Meuzueltestrependue	---|---|----|-----|
Qedeso nseign u r	-|-|--⌫|-----⌫-⌫|
estreue ue.	----|--⌫--|
SireAmi lli ounf ist	---|---⌫---⌫--|-⌫--|
c om lealbier	-⌫-|---|---|
Sagen tfi s ttot assembler	-|---⌫|--⌫-⌫|--|--------|
Chastel ei n se chiualers	-------⌫--⌫-⌫||--------|
Ser ianzua dlet	---⌫---|--⌫---|
eesqu ie rs.[f.76 r a]	|----⌫--⌫--------⌫-⌫-|
Touzde uantli uenerent	---|--⌫---|-|-------|
Mercic rierto uzpenser ent.	----|-⌫---|--⌫-|------⌫---|
Sonmaltalentlourpardona	--|--------|---|------|
tint eles ama.	---||--|---|
Donquefist safemmed emaunder	-----|---|-|----|-⌫-------|
Cardelise ueut uenger.	--|-|-|-|---|------|
quiseqelefut tr oué	----||--|--|--⌫---|
Mesdepour sefuistmuscé.	--|-|---|-|----|------|
Sitostcom uistsons eignur	-----|--|---|--|-⌫-----|
Elep aum adepour.	--|-⌫---⌫|-|----|
Leseignurlafistre leuer	-|------|-|---|--⌫----|
Bel lac om encea chastier	--|-|-⌫--⌫---||-------|
Dam edi til	---⌫|--⌫|-|
less ezester	----⌫-|----|
Ne de usse ztel doildemener	-|--⌫----⌫|--|---|------|
Purceoqesainsuy reuenu.	--|--|-|---|--|------|
Mo l tuusfust	--⌫-⌫|--|---|
ben a ue nu	--|-⌫--⌫-|
Si feusseztele comd eus sezest r e	-|------|---|--|-⌫---⌫--|---⌫-⌫|
Par Ihesule roycele stre.	--|----|-|--|----⌫----|
Tournémee rt agran tu il te ́	------|-|-⌫-||----⌫|-⌫--⌫--⌫|
Siieonesoiedeuo us	-|--|-|---|-|--⌫-|
Sifuimalade s edefet	-|--|------⌫||----|
ieo pasforfait	--|--|------|
Qe u iure de ussebien	-|-⌫---|--⌫---|---|
Damesouenezuous	---|------|---|
Co men t ama ng er m emenastes	--⌫---⌫||--⌫--⌫-|-⌫|-------|
E d el paismenchaceaste s	|-⌫-|---||-----------⌫|
Pui sfe iste siurermo n seriant	---⌫|--⌫----⌫|----|--⌫|------|
Qe ieo nedeus seenmonuiua nt	-|--|-|----⌫-|-|--|----⌫-|
Enceopaisreuener	-|--|---|------|
Ne pu r uiurene purmor ir.	-|--⌫|----|-|--|---⌫--|
Suuenezuous del bo rdel	------|---|--|--⌫---|
Kamoyli urastespurhoste l.	||--|--⌫------|--|-----⌫-|
Cel iauerez	---⌫|-----|
t antcomuus uiuerez	-⌫--|--|--|------|
Ennou ndedowere	-|---⌫|-|-----|
fere unture l	---|-|----⌫|
Petitfutmes moltbel	----|--|--|---|--|
S i fu t fo rtd ureme n t	-⌫|--⌫|--⌫-|-⌫-----⌫-⌫|
De lo inzl e u irenttote	-|--⌫--|-⌫|-⌫----|---|
Outre tot e lacite ́	----|---⌫|-|----⌫|
Lafu l a da medure men tlié .	-|-|-⌫|--⌫-|----⌫---⌫|----⌫|
Iame ́sdeilloec ne	----⌫-|-|-----|-|
Lademo rades qe almorir.[f.76rb]	-|----⌫-|---⌫-|-|-------------|
Aut re da m esensample	---⌫-|--⌫-⌫-|-------|
Comentlour seignurs lourga rderont .	-----|---|-------|---|--⌫-------⌫|
Une garcelaserueit	--|----|-|------|
Qeparunefenes tre l uyporteit	-|--|--|-----⌫--|-⌫-|------|
Chescuniour s aliu eré	------|---|-⌫|---⌫---|
Co ment le coun te outcoma undé.	--⌫---|-|----⌫-|--|----⌫-----|
Unanu esquieunio ur	-|-|-⌫----||-|--⌫-|
Adre inmo rustpurdolur.	|---⌫-|--⌫---|--|-----|
S ireA millioun futmolt	-⌫--|-⌫-------|--|---|
peine nad liueré.	----||-|-------|
Unkepui sfemme	---|---⌫|----|
Nu leyr outdesamullier.	--⌫|--|--|-|-|-------|
O wein lenfantbien feffa	-⌫---||-----|---|----|
saterrelihe rita	-|----|-|--⌫---|
Qe bi en aueitdeseruy.	-|--⌫-|----|-------|
u ie longtempsuesqui	-⌫-|--------|-----|
Enbienfa itz se pena.	-|------⌫--|-|----|
Apréssa mor taDeuala	-----|-|---⌫||--|--|
Amissonf rereensement.	---|--|-⌫---|--------|
Mo ultse amerent	--⌫--|-|------|
f ierement	-⌫-------|
Ebonefutla	|---|--|-|
comp a ignie.	----⌫-⌫-----|
L orcorps gi s entenLo mbardie	-⌫-|----|--⌫-⌫--|-|--⌫------|
EDeufait p ureu sgrantuertuz	|--|---|-⌫-|--⌫|----|-----|
Lesuo egl esu erparl er le smutz.	--|--⌫---⌫-|-⌫-|----⌫-|--⌫|----|
fini stlesermoun	----⌫-|-|------|
Desire A mised e	-|---|-⌫--||-⌫|
syreAmil lioun.	---|----⌫-----|
