CO N STANTIN OPLE	--⌫-⌫-------⌫---|
Flan d resa uconte	----⌫-⌫--|-⌫|----|
Loeisaumarchiseta	----|-|------|-||
to usles autreshausbar ons quils	--⌫-|--|-----|---|---⌫--|-|-||
enalaissentet queil	-|--------|-|--|-|
wida issentsetereetquebien	----⌫-----|-|---|-|--|---|
seussentilqui lesto itemper e resetques il	-------|-|-|-⌫|----⌫-|-----⌫-⌫--|-|--||-|
lesia t aingn oi tdedens	--||-⌫-⌫-----⌫--⌫|-----|
u iti our sq uil	-⌫-|-⌫---⌫|-⌫|-|
lesochirro i t to u s	--|-------⌫-⌫|--⌫-⌫|
Quant libaronoïrentchouque	----|-|----|------|---|--|
Morchoflesleurauoitmande ́sirespondi rent	---------|---|----|-----⌫|-|--------⌫---|
Quifi sentilc his	--|--⌫---|-|-⌫--|
quisenseig n euramordri pa rnuitentraïson	--|--|----⌫-⌫--||-----|--⌫|---|-|-------|
mande ́chou	-----⌫|---|
Se lim andere ntari erequeo rele	-|-|-⌫------⌫-|---⌫--|--|-⌫-|-|
de sfioient il etqu ilsegardastd	--⌫-------|-|-|-|-|-|------||
ausetquei lnenpartiroie ntdusieges	--|-|--|-⌫||-|---------⌫-|-|----||
aroientc helui ueng ié	------|-⌫----|----⌫--|
queilauoit mordri e t	--|-|----|-----|-⌫|
siraroientp risa utre fois	-|-------|-⌫--|-⌫---|---|
Coustantinobleetsiraroient toutple inemen tles conuene n ch es	-------------|-|-|-------|---|---⌫------⌫|--|-------⌫-⌫--⌫-|
Alexesle urauoiten conuent	-----|--⌫-|----|-|------|
M orchofle soïch ousi kemandaqueon wardastmo lt	-⌫--------⌫|--|--⌫-|-|------|--|-|------|--⌫-|
b i enlesmursetles toursetleshordast	-⌫-⌫-|--|---|-|--|----|-|--|------|
o nsiqueil	-⌫|-|--|-|
neussent g ardede s ass aus as	|------|-⌫---|--⌫|---⌫--|-|
Franchoise tilsi fise ntm olt b ien	--------|-⌫|-|-|----⌫-|-⌫--|-⌫--|
siquelim u retlestours f urent plu s	-|--|-|-⌫-⌫|-|--|----|-⌫----|---⌫|
fors etplusdesfensa uules q uedeuant	---|-|---|--------⌫----|-⌫-|-----|
I l auint apré s enc hutempore q ue	-⌫|----|-----⌫|-|-⌫-|------|-⌫-|
Morcho f l esli	------⌫-⌫-⌫-|-|
tr ai ̈tre sfuem pereresetquelosdes	--⌫--⌫----⌫|-|--⌫------|-|--||-|--|
Franchois estoit	--------|-----|
com io uu ous aipardeuantdit	--|--⌫|-⌫--|-|--|-----|--|
etquil ratornoientdu reme ntleurneset leur engi ens	-|-|-|----------|--⌫----⌫-|---|--|-|---|----⌫--|
pouras sali rque	---|--⌫----⌫|--|
Bla kis mandaashausb arons	---⌫--|----|-|---|-⌫----|
del ost ques e	-||--|--|-⌫|
uoloientcoroner aroi aes t re	-------|------||--||--⌫-⌫-|
siresde se terede	----|-|-|---|-|
Blakiequeiltenroitsetere et	-----|--|-|------|-|---|-|
se n r oiaumedausetqu il uenro it	--⌫|-⌫-----||--|-|-|-|-----⌫-|
enl euraiwe pour	-|-⌫--|---|---|
ai die r ap rendre	--⌫---⌫||-⌫-----|
Coustantinoblea	-------------||
tou t.c.m.hommes aarmes	---⌫|----|-----||----|
Blakieuneterequi estdud emainel	-----|--|---|--|--|-|-⌫-----||
empe reuretestoit ch us	----⌫---|-|-----|--⌫-|
Iehansun sserians l	-----|--⌫|------||
empereu r qu iwa rdo itun ehuirier ele mperee ur sique	-------⌫|--⌫|--⌫---⌫-|--⌫|-------⌫||-⌫------⌫-|-|--|
q uantli empereresmandoit soisantecheuau souch ent	-⌫---|-|--------|------|-------|------⌫|-|--⌫--|
Ieha ns lienuoioit etuen oitac o urtcasc unan	----⌫-|-|-------|-|---⌫--||-⌫-⌫--|----⌫-|-|
deuantchou quilfust parm alde	-----|---|-|-|---|--|-⌫-|-|
le courtet tant qu iliuint aun	-|----|-|---|-|-||---||-|
que unsescouille ́ suns	--|--|---------⌫-⌫|--|
desuissiers lempereurli fist	--|-------||-------|-|---|
unlait faitqu	-|---|---|-|
illefer idunescorg ies par mileuissag e	-|-|---⌫||---|----⌫--|--|-|-|------⌫|
don til eut moltgrant	---⌫|-|--|---|----|
Etpourchul a itfa itqueo nli	-|---|--|-⌫-⌫-|--⌫-|--|-⌫|-|
fists i sen parti	---|-⌫||-|----|
Blakispar mauta lentde le	-----|--|-----⌫---|-|-|
courtetse nralaen	----|-||-⌫|---|-|
Blakie une mo l tf orttere quitouteest	-----|--|--⌫-⌫|-⌫--|---|--|----|--|
enclosedun es	------||--⌫-|
m ontaingnes si que on n i	-⌫---------|-|--|-|||
puetentrerneissirfors	---|-----|-|----|---|
par undestroi t	--|-|-------⌫|
Iehansfuuenussicommenche aatrairele haushomes	-----|-|----|-|--------||------|-|---|----|
Blakiecommec hisquiestoi trikeshonsetquiauques	-----|----|-⌫--|--|-----⌫|----|---|-|--|-----|
pooi r iau oitsi leurc ommen chea prumetre et	----⌫||--⌫--|-|---|-⌫-----⌫--||-------|-|
adouneretasuns et a sautr eset	|-----|-|-|--|-|-⌫|----⌫-|-|
fist ta nt	---|--⌫-|
qu etout c hildu païsfurenttot sub iet	--⌫|---|-⌫--|-|----|-----|--|---⌫--|
tantqu eilfu	---|--⌫|-|-|
siresdau s	----||--⌫|
Quan tilfusire s d	----⌫|-|-|----⌫||
aussitraist ila s	--|-|-----|-|-⌫|
Comma ins sifaitil t antqueparunq ue	-----⌫--|-|---|-|-⌫--|--|--|-|-⌫-|
par elq u ilfuleura mi s	--|-|-⌫|-|-|---|-⌫--⌫|
etque ilfur enttotens aiweet	-|--|-|---⌫--|--|-||---|-|
queil fuansi comme	--|-|-|---|----|
toussiresdaus	---|----||--|
Commaine un e terequima rchis ta	-------|--⌫|---|--|--⌫-----⌫||
Blaki esiuousdiraiquelg entchil	-----⌫|-|---|----|---|-⌫--|---|
Commain sont	------|---|
Cheson t unegent	--|---⌫|--|---|
sau uage quin eerentnene	---⌫---|--|-⌫|----|-|-|
semmentne nont borde	------|-||--|----|
ains ont unes t ent esdefe utre	---|--|---|-⌫---⌫-|-|--⌫---|
unshabitacle sou i l s e muchentetse	--|---------⌫|-|-⌫|-⌫|------|-|-|
uiuentde lai tet deformage et	-----|-|---⌫|-|-|------|-|
esté tantdemouskesetde	----|---|-|------|-|-|
mouskeron squeil nosentissi rho rs	---------⌫|--|-||----|----⌫|--⌫-|
tentes wairep reu deuant en liuer	-----|----|-⌫--|-----|-||---|
Enyuersiis sent h ors dele ur tentes e tde	-|---|-|--⌫---|-⌫--|-|--⌫-|-----|-⌫|-|
leur païsquant il u oellent faire leurcheuauchie	---|----|----|-|-⌫------|----|---|---------|
Siu ousdironsque	-|-⌫--|-----|--|
Cascunsd ausa biendischeuaxou d o uze s i	------||--||---|--|-----|-|-⌫-⌫--|-⌫|
l esont s id uisqu ill essiuent partoutla	-⌫-|--|-⌫|-⌫--|-|-|-⌫-|-----|------|-|
ou il l esuoe llentmenersimontentpuis seurl	-|-|-⌫-|---⌫----|----|-|------|---|---||
un et p uisseur lautre	-|-|-⌫--|---||----|
Si acasc uns des cheuax	-||----⌫--|--|-----|
quantiloir rent	----|-|---⌫---|
un sak ele tp endu	-|---⌫---⌫|-⌫---|
aumusel la	-|----|-|
ous euiandees t si	-|-⌫|-----|--⌫|-|
meniuesicomme	-----|-|----|
ilsiut sen maistre	-|---|--|------|
nene cesse nt d esreretparnuit	-|-|-----⌫-||----|-|--|---|
e t par iour	-⌫|--|---|
Si uont sidureme ntqueil uontbienenune	-|---|-|------⌫-|--|-|---|---|-|--|
nuitet enuniorsis iourneesou set	---|-|-|-|--|--|-------|-|--|
ou uitdesrure	-|--||-----|
tant comm e ilu ontriens	---|----⌫|-|-⌫--|----|
n ecar keront neneprenderont deu antau repairier	-⌫|---⌫-----|-|-|---------|---⌫--|-|--------|
mais q ua nt il repairent dontsiacue llent proies	---|-⌫--⌫-|-|--------|---|-|----⌫----|-----|
siprennent hommessi prenentchouquilpueent	-|-------|-----|-|------|---|-|-|-----|
ataindre neianirontautr ementarmé	-------|-|-||----|----⌫----|----|
fors qu ilontunesu esteure sdep iaxd e	---|-|-|--|---|-⌫-------⌫|-|-⌫--|-⌫|
moutonetportent	-----|-|------|
arse tsai et es auecausne ne	--|-⌫|---⌫--⌫-|---|--|-|-|
croient aut rementforsenle prem i ere	------|---⌫-----|---|-|-|----⌫-⌫--|
bes t equil	---⌫-⌫|-|-|
encontrentle	---------|-|
chi squ ill encontres iicroittoute	---⌫|-|-||-------|-⌫||----|----|
iourquele best e che soit	---|----|----⌫|--|---|
Co m mainsauo it	--⌫-⌫----|---⌫-|
Blaki sens aiweetuenoit cascunan preerle	-----⌫|-||---|-|-----|-----|-|----|-|
terelemper eu r dusk a mees me	---||-----⌫--⌫|---||----⌫-|
Coustantino blene	-----------⌫--|-|
na u oitliemp ererestantdepooirqu il	|-⌫-⌫--|-|---⌫-----|---|-|----|-|-|
Quantlibarondelost	----|-|----|-||--|
seurentc h ou	------|-⌫-⌫-|
Blak isl eurmandoitsi	----⌫-|-⌫--|------|-|
di se ntquil sen	--⌫--⌫-|-|-||-|
consel leroi entet	------⌫-----⌫--|-|
s efurent consellié	-⌫|-----|---------|
sieurent maluaisc onsels irespo n direntque nedelui	-|-----|------|-⌫----|-⌫|-----⌫-⌫-----|--|-|-|--|
nede s a iwen auoientilcure	-|-||-⌫--||------|-|---|
maisbienseustilqueil le greueroientet	---|---|----|-|--|-|-|----------|-|
malliferoientsilpooient etilleur	--|-|-------||-|------|-|-|---|
uendi pui smo lt kier	----|---⌫|--⌫-|---|
m oltgra nddeusetmoltgr ansdamages	-⌫--|---⌫-|---|-|---|--⌫--|------|
Etquantile utf ali aaus sien uoia	-|----|-|-⌫-|-⌫--||--|-|--⌫---|
Rom epou rsecoroneet liapostoi le s	---⌫|---⌫|-|-----|-|-|-------⌫--⌫|
yenuoiau n	|-----|-⌫|
cardo unal p ourlu icoronersifucoronés aroi	-----⌫---|-⌫--|--⌫|------|-|-|-------||--|
Oruousdir onsd uneautr e	-|---|---⌫--||--|----⌫|
a u entur equilau int am onseigneur	-⌫-⌫-----⌫|-|-|--⌫--||-⌫-|-------|
fre r eleco ntede	---⌫-⌫|-|--⌫--|-|
Entrechesentrefait esq ueli	----|---|---------⌫-|-⌫-|-|
Fr ancho i sauoientassis	--⌫-----⌫-⌫|------|----|
Coustantinobleilauint qu emesires	-------------|-|----|--⌫|------|
Hen ri setil	---⌫--⌫|-|-|
etchild es ec ompain gnie n estoientmiemolt rike	-|---|-⌫|-⌫|-⌫------⌫---||-------|--|---|---|
ainsauoientbienmes tieretde u iandesetd	---|------|---|---⌫---|-|-|-⌫-----|-||
a utrescoses tantque o nendit a unechit éla	-⌫----|----|---|--|-⌫|-----⌫|--|----⌫-|-|
File e auoitanonadisliwesloin sde	----⌫|----||--||--|----|----⌫|-|
Ichelechitésest oit molt rikeetm oltplentiuesi	-----|------|---⌫--|---|---|-|-⌫--|-------|-|
nefistmaisel	-|---|---|-|
He nri siatorna	--⌫--|-|-----|
s on oirreet se n p artidel ost	-⌫-|----|-||-⌫|-⌫---|-||--|
ach eleepa rnui t	|--⌫---|--⌫|---⌫|
litre ntismede	-|---⌫-----|-|
c heual i ers etassésserians a ch eualauecluique	-⌫-----⌫-⌫--|-|-----|------||--⌫---|---|--|--|
wairesdege n sn ele	-----|-|--⌫-⌫|-⌫|-|
Quantiluinta le	----|-|---||-|
fistsenfaitsi i seiornau nioret	---|--|---|-||------|-⌫|--|-|
e ntremen t ie rsqueilial a	-⌫-------⌫-⌫--⌫-|--|-||--⌫|
e spiése tendit é s	-⌫-----|-⌫|-----⌫--⌫|
Mor chofle	---⌫-----|
M o rch oflesl es eutsifistmont erbie n du sq uesa.iiii.m.	-⌫-⌫---⌫----|-⌫|-⌫--|-|---|----⌫-|---⌫|--⌫--⌫--||-------|
hommes a armes	-----||----|
etf istpo rt e r l ansconne auecluiun	-|-⌫--|--⌫--⌫-⌫||-------|---|--|-|
Dam equeli	---⌫|--|-|
Griuapel oie ntensiqueli empere eurportentauec	---|----⌫---⌫-|---|--|-|------⌫--|------|---|
ausquantil uontenbatailleetsigra nt	--|----|-|---|-|-------|-|-|---⌫-|
fiancheont	------|--|
enchelansconne quei l croient bien	-|---|-------|--|-⌫|------|---|
que nusq uile	--|--|-⌫-|-|
por ten batalle ne puete stre desfiset	---⌫|-|------|-|---|-⌫---|-----|-|
pourchouque	---|---|--|
Morch oflesne	-----⌫----|-|
le po rtoitm ieadr oitcreons nousqu	-|--⌫----|-⌫-||--⌫--|-----|---|-|
ilf u desconfis	-|-⌫|--------|
Franchois auoientialeurga aing e nuoié a l	--------|------|-|---|--⌫---|-⌫-----|||
ostsiles wa ita	--|-|--|--⌫--|
Mo r cho flesaurepairi eret quandil	--⌫-⌫---⌫---|-|-------⌫-|-|----|-|
uint a uneliwepresde no s	---||--|---|---|-|--⌫|
genssimist se sgensen await etfist	---|-|---|--⌫|---|-|----|-|---|
sesembus k emens et	--|-----⌫-⌫----|-|
no sgensnenseurentmotsisenreueno ient	--⌫|---||-|------|--|-||-|------⌫---|
dureme ntneneseurentmo t dec helawait	------⌫-|-|-|------|--⌫|-|-⌫--|----|
Griu les uir entsises cri erentet n os	---|--|---⌫--|-||--⌫---⌫----|-|-⌫-|
Franchois seregard erent	--------|-|------⌫----|
Quant il lesuirren t si	----|-|--|------⌫|-|
eurentmoltgrantpe u r et	-----|---|----|--⌫-⌫|-|
m oltcomm en chier ent	-⌫--|----⌫--⌫-----⌫--|
Damedieu et	-------|-|
D ameetfurent siesmari quil ne se	-⌫--|-|-----|-|-----|-|-|-|-|
seurentconsellierettantqu i ldise ntentraus	------|---------|-|---|-|-⌫|----⌫-|---|--|
Par foi se nousfuion sno ussomme s	--|--|-|---|-----⌫|--⌫-|-----⌫|
tout mortmie xnous	---|---|---⌫|---|
uientmorir en	----|----|-|
de sfendant que en	--⌫-------|--|-|
Adont s isarester entto utcoietprisent entouruit	----|-⌫||-------⌫--|--⌫-|--|-|------|-----|--|
arbalestiers queil auoi ent s iles	-----------|--|-|----⌫--|-⌫|--|
misentd euant aus etl iemp er ere s	-----|-⌫----|--|-|-⌫|---⌫--⌫---⌫|
Morcho fl es li traï tres etli	------⌫--⌫-|-|-----⌫---|-|-|
Gri u l euruienent molt	---⌫|-⌫--|------|---|
tr es grant aleu re s isefieren tenaus	--⌫-|----|----⌫-|-⌫|-|------⌫|-|--|
moutrade ment	---|----⌫---|
mai sonquesnu ldes	---⌫|-----|--⌫|--|
Franchois lemerchi	--------|-|-----|
Dieunemisenta pié	---|-|-----||---|
Fra nc hoisuire ntque l i	---⌫--⌫---|----⌫-|--|-⌫|
Grieuleurcouroientsisusdetou tes	----|---|--------|-|--|-|---⌫--|
pars si lais sierentleslanchescaï r	---|-|----⌫------|--|------|----⌫|
iu ssitraientcoustiaus et	--⌫|-|------|--------|-|
mis ericor des quilauoientsisacueillent adesfen dre molt	---⌫------⌫--|-|-|------|-||---------||------⌫--|---|
u igeureusem ents ien ochie nt mout	-⌫----------⌫--|-⌫|-|-----⌫-|---|
Griuuirentqueli	---|-----|--|-|
Franchoislesde sconfiss oient sisisec ommenchentila	--------|--|--⌫--------⌫----|-|-|-|-⌫---------|-||
esmaier sitornenti len fuies	------|-|------|-⌫|-|----|
Franc hoislesacueillent sien oc hise nt	-----⌫---|--|---------|-|-|--⌫----⌫-|
molt etmolt en retinr ente tmout	---|-|---|-|------⌫--|-⌫|---|
ywaaingni erentetcachierentlem pere ur	|--------⌫----|-|---------||--⌫----⌫-|
Morchofle lar gement	--------|---⌫-----|
demieli we quil	----|--⌫-|-|-|
lecuidoient	-|--------|
tousdisprendre	---|--|------|
e tsile hastere ntetl ui etch i ausde	-⌫|-|-|-------⌫-|-|-⌫-|-|--⌫-⌫--|-|
se compa ing niequeil	-|-----⌫---⌫--|--|-|
lai erent caïr l a nsco nneet	---⌫----|----||-⌫----⌫--|-|
s en capelem perial	-⌫-|----|--⌫-----|
et lensengneetlanscon nequitou t e e s toit d	-||-------|-||------⌫-|--|---⌫-⌫|-⌫-⌫---||
oret t oute car kiede	-|-|-⌫---|---⌫--|-|
rikespierresprecieuses et estoits i	----|------|---------|-|-----|-⌫|
que onque s	--|-----⌫|
sibelene s i r ikenefu ue ue	-|---|-|-⌫|-⌫--|-|-|--⌫-|
Francho is le	-------⌫-|-|
ui rent si laisere nt	--⌫---|-|-------⌫-|
leurcache s i	---|----|-⌫|
fure nt moltliédur ementsi	----⌫-|---|---|---⌫----|-|
prisent lima g esi len aporterent	------||---⌫-⌫|-||-|---------|
amoltgrant goieet	|---|----|---|-|
moltgrantfes te	---|----|---⌫-|
Etend e me ntiers quil	-|---⌫-⌫--⌫-----|-|-|
seconbatoient uirrent nouu eles a	-|----------|------|----⌫---||
i l e stoienten contredes	-⌫|-⌫------|--⌫-----|--|
Grie usetquantchilde	----⌫-|-|----|---|-|
l ostoïrent les	|--|------|--|
nouuele ssi s armeren tet	-------⌫|-||-------⌫|-|
poinsentencontre seig neur	-------|-------|----⌫---|
Henripourluisecorr e	----|---|--|------⌫|
iluinr entlasisenestoien t	-|----⌫--|-|-||-|-------⌫|
Grieu fuietnos	----|--|-|--|
Francho is enameno ientleu rwaaing	-------⌫-|-|-----⌫---|---⌫|-----|
e tl ansconneenapor toientqui	-⌫||-------|-|----⌫-----|--|
si estoitbe leetrike comie	-|-----|--⌫-|-|---|--|-|
uousaiditetquantil u inrent	---|-|--|-|----|-|-⌫-----|
pre sde losts i alere nt	---⌫|-||--|-⌫|-----⌫-|
liuesquee t	-|-----|-⌫|
l icl ercquien lost	-⌫|--⌫--|--|-||--|
estoi enta pourcession encon tre aus et rechurent	-----⌫--||----------|-----⌫--|--|-|--------|
lansconneag ran tgoie etagrant feste et	|-------||-⌫---⌫|---|-||----|----|-|
auu esque de	-|-⌫----|-|
T roiessilemportaliuesques	-⌫----|-||------|-|------|
enlostauneeglise ouilrepairoi e ntet	-||--||--|-----|-|-|--------⌫-⌫-|-|
can te r entliuesque	---⌫--⌫-⌫--|-|-----|
etfise nt entm ol tgrant	-|----⌫-|--|-⌫--⌫|----|
festee ttres chu	----|-⌫|---|--|
iou rque lefu conquiseotrier enttoutlibaron que	---⌫|-|-⌫-|-|-------|------⌫--|---|-|----|--|
el eseroitdonnée a	--⌫|-----|------||
Chistiax etpuis i fue lepo rtee	-------|-|---||-|-⌫-|--⌫---|
Morchoflesuint ariereen	---------|---|-----|-|
C oustan tin oblesifist	-⌫------⌫---⌫---|-|---|
acroir equil	------⌫|-|-|
auoitdesbaretéetdesco nf itseig n eur	----|---------|-|-----⌫--⌫-|----⌫-⌫--|
Henri etse	----|-|-|
gentet demand oientaucu ndes	---|-|------⌫----|----⌫|--|
G riustot belement	-⌫---|--|-------|
lansco n ne etlenseingne	|-----⌫-⌫-|-||--------|
Etl iautr e disoient	-|-⌫|----⌫|-------|
queona u oittout mi sensauf	--|-|-⌫-⌫--|---|--⌫|-|---|
Tantalerentches nouue les	---|------|---|-----⌫--|
aual q ue li	---|-⌫-|-|
F ranchois seurentkensi faitementauoitfa it	-⌫-------|------||---|--------|----|--⌫-|
Morchofl esacroi requil	--------⌫-|-----⌫-|-|-|
F r anchois desconfisetli	-⌫-⌫------|--------|-|-|
Franchois ne	--------|-|
f isentmais	-⌫----|---|
elsif ont il armerunega li e	-|-|-⌫--|-|----|--|--⌫--⌫|
etfisent prendrelansconnee t	-|-----|------||-------|-⌫|
leuerb ienhau ten legalie etlen s eingne	----|-⌫--|---⌫|-|-|----|-||--⌫-⌫-----|
delempir eetf i sen t nagierch e leg alie	-||-----⌫|-|-⌫-⌫---⌫|-----|--⌫-⌫-|-⌫---|
ato utl an sconneet at outl	|--⌫-||--⌫-----|-||-⌫--||
enseingnedekiefenkief les murs	--------|-|---|-|---|--|---|
siquec hi lqui a	-|--|-⌫--⌫|--||
mursestoientetmolt	---|-------|-|---|
dege n t de	-|--⌫-⌫|-|
lech ité leuiren tet leconnurentbienquech	-|--⌫---|-|-----⌫|-|-|--------|---|--|-|
estoitl ensein gne et l	-----||------⌫--|-||
Quan t l i	----⌫|-⌫|
Griu u irentchousi uienenta	---|-⌫----|---|-|------||
Morc hof lesi lacu eillentmoutah ou ni r eta	----⌫---⌫-|-||---⌫------|---||-⌫--⌫--⌫|-||
blasme rdech ou quilauoi t lenseingn e	------⌫|-|--⌫-|-|-|----⌫||--------⌫|
dele mpireetlans conne	-||-⌫----|-||---⌫----|
leurauoitfaitacroirequ i la uoi t	---|----|---|------|-|-⌫|-⌫---⌫|
Fran cho isdescon fis	----⌫---⌫-|------⌫--|
M orchofles oïchousise rescoust	-⌫--------|--|---|-|-|-------|
le plusbele mentqui lpeut s i commenc haa	-|---|----⌫---|-|-⌫|---|-⌫|-------⌫-||
Orneuous esma iésmiec arieleur	-|-|---|----⌫---|--|-⌫-|-|---|
uendraimoltkier et m oltbienmeuen gerai d	------|---|---|-|-⌫--|---|-|---⌫----||
Aprésau intquetoutli	-----|--⌫--|--|---|-|
Franchoiset	--------|-|
ueniciensasanlerent	-------||---------|
pou r pr endre cons el entr	---⌫|--⌫----|----⌫-|---|
aus commenti louuer r oientetque	--|------|-⌫|-----⌫-⌫----|-|--|
il fero i ent	-|----⌫-⌫--|
e t d equ i il porroientf aireempereursil	-⌫|-⌫|--⌫|-|--------|-⌫---|-------||-|
au oientle chité prisetan t qu il esgarderent	--⌫----|-|-----|----|---⌫|-|-|----------|
e ntrausque	-⌫--|--|--|
onprendroitdis	-|--------|--|
F ran choisdesplusp r eu dommesde l o st	-⌫---⌫----|--|---|-⌫-⌫--⌫-----|-||-⌫-|
uenic ienen sementde sp lus preud o m mesqueoni s aroitet	-----⌫--|--⌫-----|--⌫|-⌫--|-----⌫-⌫-⌫--|--|-||-⌫----|-|
chouq ue chil uin tenati erroientseroitt enuetp ar	---|-⌫-|---|---⌫|-|---⌫-------|-----|-⌫--|-|-⌫-|
siqu eseliem p erereses toitde s	-|--⌫|-|-|--⌫-⌫-----|--⌫---|--⌫|
Franc hoisqueli patriarclesseroitdes	-----⌫---|--|-|----------|-----|--|
Eta tiraonquechisqui	-|-⌫---|-|--|---|--|
seroite mperere saro itle quartep artie del	-----|-⌫-------⌫|---⌫-|-|-----|-⌫----|-||
e mpireetlequartepar tdelaci téen s en	-⌫----|-|-|-----|---⌫|-|-|--⌫--|-|-⌫-|
demaineetl esautrestroispartiespartiroit onsi	------|-|-⌫-|-----|----|------|--------|-|-|
ueniciene naroient lemoitié etli	-------|-⌫|------|-|------|-|-|
pelerinlautreet	------||----|-|
touttenroit	---|------|
ondel empereur	-|-||-------|
euren t tou tch ouatiréapréssi fist	-----⌫|---⌫|--⌫-|-----|-----|-|---|
oniurerseursainsa	-|----|---|----||
touschiausdel	---|-----|-||
ost que leswaainsd	--|--|--|-----||
darg entetde nuefdrap	|---⌫--|-|-|---|---|
a leuaillan che de chincsolse tdeplus	|-|-------⌫--|-|----|---|-⌫|-|---|
aporteroi en ttoutal	---------⌫--⌫|---|||
ost adroite p artie	--||-----|-⌫----|
horseu xtiusetuiandeet queilaf emme	---|--⌫----|-|-----|-|--|-||-⌫---|
forchenef e ro ient ne nedes poullieroien tde	-----|-|-⌫-⌫--⌫---|-|-|---⌫------------⌫|-|
drapqueeleeust uestu c ar q ui en	---|--|--|---|----|-⌫-|-⌫-|-|
esteroitatain silseroit	-------|-----⌫|-|-----|
Etse leu rfiston	-|-|---⌫|---|-|
iure r seursainsque	----⌫|---|----|--|
ilmainnemete r oientseurmoineneseur clerc	-|---|-|----⌫-⌫----|---|----|-|---|----|
neseurprestresiln e stoiten	-|---|------||-||-⌫----|-|
desfens enequ ilne fr oisseroient egl ise	-------⌫|-|-|-|-|--⌫----------|---⌫--|
ne mou st ier	-|---⌫--⌫--|
Aprés quantto utchou fufaits i fu li	-----|----|--⌫-|---|-|---|-⌫|-|-|
Noeuxpasséssifu	----|------|-|-|
pres del entr eedu	---|-||----⌫-|-|
Quaresmeetli	-------|-|-|
uenicienet li	-------|-|-|
Franchoi sserap a r eilli erent etratorn eren t leur	--------⌫|-|---⌫-⌫-⌫-----⌫----|-|------⌫----⌫|---|
ness ifisent	--|-⌫|-----|
uenicien refaire lesponsdeleurnes e t li	-------|------|--|---|-|---|--|-⌫|-|
Franchois fisentfaireunsautres engiensqueon a peloit cas	--------|-----|----|--|-----|------|--|-|-⌫-----|--|
etcarchloiesettruis pourminer	-|---------|-|----|---|----|
a sm urset	-⌫|-⌫--|-|
prisent li	------|-|
uenicienmariend e	-------|-----|-⌫|
ma i so ns s encouurirentleurnes siqu	--⌫-⌫--⌫-||-|---------|---|--|-|-|
ilio un oient l emarienetapréspri sentsarment	-|--⌫--⌫----|-⌫|-----|-|-----|---⌫---|------|
sien co uurirentle marienquelesperr ieres ne	-|-|--⌫-------|-|-----|--|--|----⌫----|-|
peusse ntconfondrenedespichier leurnes	------⌫-|--------|-|---------|---|--|
Gri u renforch ie rentmol td u re mentleur	---⌫|--------⌫--⌫---|---⌫|-⌫-⌫--⌫---|---|
chitépardedensetfi sentmo lt biencouurir	-----|--|-----|-|--⌫---|--⌫-|---|------|
cuirspar deh ors lesbre teskes	----|--|---⌫--|--|---⌫-----|
quiestoientpard ese urlestours de pier re	--|-------|--|-⌫---⌫-|--|----|-|----⌫-|
bres tesqueouiln	----⌫-----|-|-||
eust setes tageso u sisouchincau	---|--|--⌫----|-⌫|--|-|----|-|
Apr e ́sauint p ar undeuenres entor	---⌫-⌫-|----|-⌫-|-|-------|----|
dis iours deuant	--|----|-----|
Pasquesflouriesque	------|-------|--|
li peler inetli	-|-----⌫-|-|-|
uenicieneurent le urnes etle ur	-------|-----|--⌫-|--|-|--⌫-|
eng ien s atornés et	---⌫---⌫|-------|-|
qu i lsa pareilloientda ssalir	-|-⌫||-⌫-----------||-⌫-----|
Si a reng ierentleurnesl une	-|-⌫----⌫-----|---|--||--|
encostelautre etli	-|----||----|-|-|
F ranchoisfisentc arkierl eu r engiensen	-⌫-------|-----|-⌫-----|-⌫--⌫|------|-|
b argesetenga liese t	-⌫----|-|-|--⌫---|-⌫|
semisenta le uoieaaleruersle chité	-|-----||-|---||---|---|-|-----|
etduroitbienli nau ies	-|-----|---|-|---⌫--|
unegr andesmeliwe defrontet	--|--⌫------|---|-|----|-|
estoie ntt out	------⌫-|-⌫--|
lipelerin et	-|------|-|
ue ni cienmoltbienarmé	--⌫--⌫---|---|---|----|
Sia uoitunmonchielded ens lechite ́e n chel	-|-⌫---|-|-------|---⌫--|-|-----⌫|-⌫|---|
endro itou ondeu o ita s s alir queon pooit	-----⌫-|-|-|---⌫-⌫-|-⌫-⌫-⌫---|--|-|----|
bien u eirde s nes par deseurles	---|-⌫--|--⌫|--|--|-----|--|
estoi tilhaus etenchel monchel estoit	-----⌫|-|---|-|-|---|------|-----|
Morchofles litraïtresliempereres et	---------|-|--------|-|--------|-|
de segentauec luisiiauoitfait	-|-|---|---|--|-||----|---|
tendre sesuermeill estendesetfaisoitse s buis ine sd	-----|--|--------⌫-|-----|-|------|--⌫|----⌫---⌫||
argent so nn er etsest imbres	-----|--⌫--⌫-|-|--|-⌫-----|
e tfa isoi tm olt gran t beubant siqu e	-⌫|--⌫----⌫|-⌫--|----⌫|------|-|--⌫|
l i pelerin le poo ientbienueiret	-⌫|------|-|---⌫---|---|---|-|
Morchoflesp ooit bie nueiresnesaspelerins	---------|-⌫---|---⌫|---|-|--|-|-------|
naui es dut ariue rs i	----⌫-|--|-----⌫|-⌫|
pris entboi nscaauulessitraisentleurn esauplus	----⌫--|---⌫-|-------|-|-------|---|-⌫-|-|---|
