#MET A#T e xt URI	----⌫-|-⌫-⌫--⌫--|
#M ETA #DEAFhtt p//ww w.d e a f-page.d e/bibl /b ib99m.php# Meraugis F	--⌫---⌫|---|---⌫-----⌫---⌫-⌫-⌫--------⌫------⌫--⌫----------⌫--------⌫|
#META#ARLIMAhttps// www.arl ima.net/qt/raoul_de_houd enc .h tmll#mer	-----|-----|-------⌫-------⌫------------------------⌫---⌫--⌫-------|
#META#Auth orRaoul	-----|----⌫-|----|
de Houdenc	-|------|
Deuien t Come ntDon cn	------⌫|----⌫-|---⌫||
o t el gote-	-⌫|-|---||
No n soïeetsa forcetote	--⌫||---|-|-|----|---|
paor quisi	---|--|-|
s essen s en	-⌫-|---⌫|-|
Se fiertesieuzporesgarder	-|----|-|---|--|-------|
Celuiquine	----|--|-|
sepue t gard er	-|---⌫|----⌫-|
Quelne soit dolen te	-|-|-|---|-----⌫-|
E insiseco mbate ntli du i	-⌫---|-|--⌫-----⌫-|-|--⌫|
Cheua lierqui sontpié a	-----⌫---|--|---|---||
tant fier s tu	---|----⌫|-|
Sem ainen t asespeesnues	-|-⌫-----⌫|-|-----|---|
Qu ilf ont	-|-|-⌫--|
desheaume suersles nues	--|------⌫|---|--|---|
uoler lefe uque li sola us	----|-|--⌫|--|-|----⌫-|
Endeui nt i ndes etuermaus.-	-|----⌫-|-⌫---|-|-------||
Porquo i- Quantli so lausass em b le	--|---⌫||----|-|--⌫---|---⌫--⌫-⌫-|
Aufeudesheaum e sdeloingsemble	-|--|--|-----⌫-⌫|-|----|-----|
Quel i heaume	--|-⌫|-----|
so ient es pri s	--⌫---|--⌫---⌫|
Defeu grizois. Bienlo n t	-|--|-------|---||-⌫-⌫|
Leferiruoirem ieuz quenus	-|----|----|-⌫---|--|--|
Iteus. XL.assau zouplus	----|-⌫--|-----⌫|-|---|
S entrassaillente t tan ts eson t	|-------------|-⌫|---⌫|-⌫|---⌫|
En trassailli en finqu	--⌫---------|-|--|-|
Escuneheaumeadespecier.	---|-|-----||---------|
Etq uantil son t telcheuali er	-|-⌫---|-|---⌫|--|-------⌫-|
Etil sontdesar mé andui	-|-|---|-----⌫--|----|
Que doitquecistn	--|---|--|---||
ocistcestui-	----|-----||
Quedoit Cepuet sauoi r.I.	--|---|-|---|-----⌫|--|
S ilferissent	|-|--------|
C omilfire ntau	-⌫-|-|----⌫-|-|
Etlor testesfussentd acier	-|--|-----|------||----|
Ni eüstlipl us	||----|-|--⌫-|
forzduree.	---|-----|
Mes ortornea cha scun lespee	--|-|----||---⌫---||----|
etuole des	-|---|--|
Carta ntse dieutcilquina mains	--|--⌫-|-|----|--|--|||----|
Quebiense p uetfe r ea itant.	--|---|-|-⌫--|--⌫-⌫||-----|
Tot enpesso n tenlorestant.	--|-|--|--⌫-⌫|-|--|------|
Einsi duracomieuosdi	----|---|--|-|--|-|
La bat ailleiusq uamidi.	-|---⌫----|----⌫||----|
Apre ́squant	----⌫-|----|
midisfu passez	----|-|-----|
Li cheual iersses t porpensez	-|------⌫---||--⌫|--------|
AMeraugisuient	|-------|----|
Meraugisqui	-------|--|
encontre saut	-------|---|
S e d e sfent mescil	-⌫|-⌫-⌫----|--|--|
le tientpres.	-|----|----|
uoiremieuz q uil ne fi sthui	----|----|-⌫|-|-|--⌫-|--|
Lassa utetgre ignorscous	|----⌫-|-|---⌫-----|---|
Meraugisqui desc ous es tone	-------|--|--|-⌫--|--⌫---|
Se sloigne et ditOr	|-⌫------|-|--|-|
ne s aigie ́	-|-⌫-|---⌫|
démesont chan gi é	--|-|---|----⌫--⌫-|
C ari e disoie et die ncore	-⌫-|-⌫|-----|-|-|-⌫----|
Quecistcheuali ers estoi t ore	--|---|-------⌫--|-----⌫|--|
Recreüz d armeset atainz	-------||----|-|-----|
Mestroplison t doreaorainz	--|---|-|---⌫||--||-----|
Si coupc hangiéou t r eement.	-|---|-⌫------|--⌫-⌫-⌫------|
Etlic heualierserraument	-|-|-⌫--------|--------|
Reuient etiointl	------|-|----||
escu au cote .	---|-|----⌫|
Meraugis quifo rme ntledo te	-------|--|--⌫---⌫-|-|--⌫-|
S e stesloignie zet sili d it	|-⌫-|---------⌫|-|-|-|-⌫-|
D imoi uassaus	-⌫|--|------|
seD eustai ̈t	-|-⌫--||--⌫-|
Tonnon.- ueustuque iel	--|---||---|-|--|--|
Oïl.-S eDeustebeneïe	----||-⌫|---|-|------|
Iel te dirai Gauua i nsainon.	--|-|----|-----⌫-⌫-|-|---|
Einsi mesuelentliBreton	----|-|------|-|-----|
Ape ler.Lors	---⌫---|---|
ditMeraugis	--|-------|
Coment Gauuainsli miens amis	-----|-------|-|----|---|
Estesuos ce-Oïlparfoi	----|--|-||---|--|--|
Gauuainssuiie.Reditesmoi	-------|--|--|------|--|
estesapelez.	----|------|
Merau gis suide	-----⌫--|--|-|
Portlesguez	----------|
uos t re amis	---⌫-⌫-|---|
q u i de uostreterr e	-⌫-⌫|-|-----|----⌫|
Muidela co rtet por	--|-|-|--⌫-|-|--|
uos quer re	--|----⌫-|
DesNoël meslaDeu m erc i	--|----|--|-|--|-⌫---⌫|
Mou tsu ilie zquan tie uos	---⌫|--⌫|---⌫|----⌫|-|--|
Tr oue ́que tozlimonzdisoit	--⌫---⌫|--|--|-|---|-----|
Que m essireGauuainsestoit	--|-⌫-|---|-------|-----|
Perd uz.Labelecom paignie	----⌫--|-|---|---⌫------|
rois a neuostreamie	---||-|-----|---|
Neuoscui dentiamesueo ir.	-|--|---⌫---|-|--|---⌫--|
Nonferontil	--|-----|-|
S achiezdeuoir	-⌫-----|-|---|
liro isne me uerr a	-|--⌫-|-|-|----⌫|
Auoibea ussiresif era	---|---⌫-|---|-|-⌫--|
net iengiem iease n.	-|-⌫---|-|-⌫-||--⌫-|
Iemerent prisalonnosen	-|-|---|---|---|--|-|
Passonoutre uezl anauie.	-----|----|--|-⌫|-----|
Me raugisiceni amie-	--⌫-----|--||||--||
Coment do nques-Par	-----|--⌫----||--|
forceestuet	----|-----|
Quecild enos .II.quiplus	--|--|-⌫|--|---|--|---|
autre.Il este insi	-----|-|--|-⌫---|
Quonques decestei slenissi	-|-----|-|----|-⌫--||---|
C heualiers nusia nen	-⌫--------|--|-||-|
Porquoi-P ar	--|---||-⌫-|
foitu neporras	--|-|-|-----|
Sit edirairesonpor	-|-⌫|----|----|--|
uo iztula ce le	--⌫-|-|-|--⌫-|
Asfene str e sd ece le t or	-|----⌫---⌫-⌫|-⌫|--⌫-|-⌫-|
dameci entor	---|-|----|
plusbeleque tendeuis.	---|---|--||-|-----|
Cele citéetcist païs	---|----|-|---|----|
E st tozsuensmesiadis	-⌫-|--|----|--|----|
Quuns cheualie rs	-|--|--------⌫-|
m outhardi zuin t	-⌫--|-----⌫|---⌫|
Alisil a requistd	|-|-|-⌫|------||
Einsi començ aendecors	----|-------⌫|-|-----|
Quel elamaetf usespose .	-|--⌫||--|-|-⌫||------⌫|
Puisaui nt quelefuialose	---|---⌫-|-|--|-|-----|
De lu iet tant	-|--⌫|-|---|
leueut am er	-|---|--⌫-|
Quencesteislepor luigarder	-|-|----|---|--|--|-----|
Fistferecest	---|---|---|
herbergement.	------------|
Il i en t ramoutlonguemen t	-||--⌫-⌫-|---|---------⌫|
Iseior n a auuec sami e	|-----⌫-⌫|----||---⌫|
E tquanti l	-⌫|----|-⌫|
uo util nepo tmie	--⌫-|-|-|--⌫|--|
Retornernonco fun oienz.-	-------|--|-|-|-⌫-----||
Po r quoi-Madamedelaienz	--⌫|---||-|---|-|-----|
sesgenzde la	--|---|-|-|
Qu enu sne fu st	--⌫|--⌫|-|--⌫-|
quiuen istça	--|---⌫--|--|
Porrie nssele nelcomanda st	--|---⌫-||--|--|-------⌫-|
Etplu squeia	-|---⌫|--|-|
mes nep assast	--|-|-⌫-----|
Nusc he ualiersparmi sa terr e	--|-⌫--⌫------|--|-|-|----⌫|
Qu ine uenistçapor	--⌫|-|-----|--|--|
Lepris contre sonc ham pï on.	-|---|-----|--|-⌫---⌫---⌫--|
Einsibienu ousiss entounon	----|---|-⌫------⌫--|-|--|
Ipasserentmaint cheua lier	|--------|----|-----⌫---|
Puisiooientascous tre nch ier	---|------|-|---|---⌫---⌫--|
parforcelesuaincoit	--|----|--|-------|
L ic heualiersquimou t	-⌫|-⌫--------|--|---⌫|
Fi ersethar diz et combatanz.	--⌫--|-|---⌫--|-|---------|
Cesteuie mena.uII.anz.	----|--|---|----|---|
Moutenocist tantque	---|-|----|---|--|
A uinte ins i comedetoi	-⌫---|-⌫---⌫|---|-|--|
Es tauenu que	--⌫|----|--|
ieui ngç a.	-|--⌫-|--⌫-|
ch eualierscomença	--⌫-------|-------|
La b ataillemout egrement	-|-⌫------|---|-------|
uers moi etie moutfierem ent	---|--|-|-|---|------⌫--|
Lereçuiaumieuz	-|-----|-|----|
l e s orpoi	-⌫|-⌫----|
Que ielocismestelanui	--|-||---|--|--|---|
Enaique maug ré m ienp orlui	-|-|--|----⌫--|-⌫--|-⌫-|--|
A itoz iorz cestcha stelgar de ́.	-⌫|--|---|---|---⌫---|---⌫--⌫-|
Einsiam a d ameesgard é	----||-⌫|-⌫--|------⌫-|
Queiiserai tan t queplus	--|||----|---⌫|--|---|
Mo cieetquant ie	|-⌫--|-|----|-|
seraimor z	----|---⌫|
S ir ef e r a	-⌫|-⌫--⌫-⌫-⌫|
sa garde ci.	-|----|--|
Set umeuai n so u	-|-⌫|-|---⌫-⌫|-⌫|
Comentq uil a ut cestli	-----|-⌫|-|-⌫-||--|-|
Toziorzremaintli uns	--|---|------|-|--|
Tantqueplusforz	---|--|---|---|
delui re u ient.	-|--|--⌫-⌫----|
Comba trea moiie n i	-----⌫--||--|-|||
Messetu enuien saudesus	--|-|-|-|----⌫|-|----|
maforcesoit do umain s	-|----|---|--⌫|----⌫|
Tuseras mestrec has telains	-|----|-----|-⌫---⌫------|
Decestet or totetauie.	-|----|-⌫-|---|-|---|
aiiepas gr antenuie	-|-|--|--⌫--|----|
Dit Merau gis	--|-----⌫--|
ianen serai	-||-|----|
Chastelain s non cariene	----------⌫|--|--|-|-|
Ch astelquitantfa ceahaï r.	--⌫----|--|---|--⌫-||----⌫-|
Me s quant nusn oseçauenir	--⌫|----|--||--|--|----|
Quiuosdoncdonca mangier	--|--|---|---||------|
C e nefetmiea ence rchi e r.	-⌫|-|--|--||----⌫----⌫-⌫-|
Assez est quetropen auon	----|--|--|---|-|---|
Detozlesmesque nos	-|--|--|--|--|--|
Direde bocheetdeuiser.-	---|-|----|-|-------||
C oment-Toziorzainzle disner	-⌫----||--|---|---|-|-----|
C hascunmatin istde	-⌫-----|----|--|-|
Ma dameet quanteleest çai us	-|---|-|----|--|--|----⌫-|
Lanefassene et ele uient.	-|--|-----|-|--|-----|
Etlorsdequan que no scouient	-|---|-|---|--|--⌫|------|
Demandeetditquenliapor t	------|-|--|-|-|-|----⌫|
Et sei alo ieuersle port	-|-||---⌫-|---|-|---|
Quan tcelenef	----⌫|---|--|
estarriuee	--|------|
iroi tuoilel e uee	----⌫|----|-⌫-⌫--|
auportnema tendroit.	-|---|-||-⌫--------|
Porquo i- Ma damecu i deroit	--|---⌫||-|---|--⌫-⌫-----|
Se iestoieenz	-||-----|--|
e tiepo o ie	-⌫|-|--⌫-⌫-|
Que ia mesça ner euendroie.	--|-|--|--|-|-⌫---------|
Einsimegarde etme	----|-|----|-|-|
ti entp res	--⌫--|-⌫--|
Q ueianulior ne loing nepres	-⌫-|-|--|--|-|----|-|---|
Nenpartirai	|-|-------|
t eldu eil	-⌫-|--⌫--|
Q uequan tiepen s ace monuuei l	-⌫-|----⌫|-|---⌫||-|--|----⌫|
Ieuou d ro i eque	-|---⌫-⌫--⌫-⌫|--|
F oud reoragequi moceï st.	-⌫---⌫-|----|--||-----⌫--|
Nai ie reson-O ïl.-Ieuoi	|-|-|----|--⌫---|--|--|
Quetuesciuenuzpormoi	--|-|-|-|----|--|--|
Et s icouie ntque	-|-⌫|-----⌫-|--|
Deu sque feraiTan themauie	---⌫|--|----|---⌫|-|-|--|
Etaimma mortseiep ooie	-|--|-|---|-|-|-⌫---|
loncorssauueriem	|-|---|-----|-||
D e mespee sanzp lusatendre.	-⌫||----|---|-⌫--|-------|
M es se lam ortmeuenoit	-⌫-|-|-|-⌫--|-|-----|
Orendroitiapo rcenistr oies	--------|-|--⌫|-||----⌫---|
Deci mest ozior zgarderoies	-|-|--|-⌫-|---⌫|---------|
Lis le sanz	|--⌫-|---|
ioieet sanzd epor t	---|-|---|-⌫----⌫|
Tott onuiuan tiusquala mor t.	--|-⌫-|-----⌫|----||-|---⌫-|
esmai qu eienesai	----|--⌫|-|-|--|
Quedire.-Ie	--|----|--|
uosend irai	--|-|-⌫---|
Meraugisuos	-------|--|
selon ccequ e	-----⌫|-|--⌫|
S euos uolez croire	-⌫|--|----|-----|
losieuos cui t geter	--|-|--|---⌫|----|
i sl eiani	-⌫--⌫|-|||
Iesifera i.-Quella ferez	-|-|----⌫-|----|-|----|
Ne saique plusuosendeïsse	-|--|--|---|--|-|------|
Mesnestconseilquenen feïs se	--||--|------|--||-|-----⌫-|
Unsolq uel en	-|--|-⌫-||-|
mosast nomer	|----|----|
sa il lir en la	--⌫--⌫--|-|-|
Se uoslesgardezpormonbien.	-|--||-------|--|--|----|
Decestcon seil ne loierien	-|---|---⌫---|-|-|-|---|
Nosleferontotautrement.	--|-|----|--|---------|
Deudite scoment.	--|----⌫|------|
Ius qu au ues prenos combatron	---⌫-|-|---⌫--|--|--------|
Enlafin nosentra batro n	-|-|--|--|-----⌫-----⌫|
Iostelam er en celual	----|-|-⌫-|-|--|--|
Q uebien leuer rontcilde la	-⌫-|---|-|---⌫---|--|-|-|
Et ladame qui	-|-|---|--|
est Ia su s.	--|--⌫--⌫-|
Ap résneme desf e nd r aiplu s	--⌫---|-|-|----⌫-⌫--⌫-⌫-|---⌫|
Lamegerrai et uosferrez	-|-|-----|-|--|-----|
So r moi etgrant	--⌫|--|-|----|
s emblantferez	-⌫------|----|
Domoioc irreoutre ement	-|--|--⌫---|-----⌫----|
E tpormieuzde ceuoirla	-⌫|--|----|--⌫-----|-|
Prend rezmonh eau meet	-----⌫--|--|-⌫---⌫-|-|
Demateste selgetere z	-|-|----|--|------⌫|
Enla meruoiant totlemont	-|-|--|-----|--|-|---|
it cuideront	-|--------|
Queuosmaiiezde	--|--||----|-|
uost ree spee	----⌫-|-⌫---|
Ocisetlateste coupee.	---|-|-|----|------|
Apr ésic e quantuos l aurez	---⌫--|--⌫|----|--||----|
E insifetlors uosenirez	-⌫---|--|---|--|-|---|
Encele tor. I e remaindr ai	-|---|---|-⌫|--------⌫-|
Pormort etitantiserai	--|---|-|----||----|
Quil seran uitet er raum ent	-|-|---|-⌫--|-|--⌫----⌫--|
Queie uerrailanuitement	--|-|-----||---------|
uossi penseron	--|-|-------|
De noz corstantqu	-|--|---|---|-|
aillorsseron.	------|-----|
Ditm es si reG auuain s	--|-⌫-|--⌫-|-⌫------⌫|
C estconseilloieet otroi	-⌫--|------|-|-|-|----|
Qu emoutmeplest.L ors s entr e uon t	--⌫|---|-|-----|-⌫--||----⌫-⌫---⌫|
Ensembleettotei ns ilefo nt	-------|-|--|--⌫--⌫|-|--⌫-|
au oien tdeuisé.	--⌫----⌫|-------|
Demaintep artsont auisé	-|-----|-⌫--|---|-----|
Etdïentque uaincuzestoi t	-|-----|--|------|-----⌫|
Meraugis. Quan t Lidoine uoit	--------|----⌫|------|---|
C elemeruei lleele	-⌫--|------⌫--|--|
fert maudist	---|------|
Laterrequi sonco rsso st ient	-|----|--|--|--⌫-|--⌫--⌫---|
Iasenoia st meson latient	-|-|----⌫-|--|-|-|----|
Par force.Que u osen di roie	--|-----|--|-⌫-|-|--⌫---|
Sigrantdueil fetque nen sauroie	-|----|----|--|--||-|------|
La di sme d i rencretrere.	-|--⌫--|-⌫-⌫-|-|-------|
Ieai ueümaintgran tdueil	-|-|---|----|----⌫|----|
a pas compa roison	|--|-----⌫-----|
Que nus dieus	--|--|----|
Enuerscest duei l queledemaine	-----|---|----⌫|-|--|------|
Tan tquaun sue nm anoirlamaine	---⌫|-||-|---⌫|-⌫----|-|----|
Un epuceleAm iceot non.	--⌫|-----|--⌫--|-|---|
No tpasd ilue c a sa	|-⌫|--||----⌫||-|
Plus de.iiii . lieuesnontant.	---|-|-----⌫|-----|--|----|
E insitoziorzreconfortant	-⌫---|--|---|-----------|
iusquasonhostel.	----||--|------|
La descend en tet si lottel	-|-------⌫--⌫|-|-||-|--|
Com l enlipot	--||-|-|--|
plusioiantfere.	---|-----|----|
Mesmout e mpirelor afer e	--|---|-⌫----|--|----⌫|
QueLidoineregret e et	--|------|------⌫|-|
Meraugisetquantu ien tal	-------|-|----|-⌫---⌫|||
Si sautetdespiece	-|---|-|-------|
EtcrieHarouMera ugis	-|---|----|----⌫---|
Plusde .c.foiztôtpres	---|-|--|---|---|---|
E tDeusqu antleuer raiie	-⌫|---|--⌫--|-|---⌫--|-|
i uoinulconfort.	|--|--|-------|
M eraugisfulessiezpormort	-⌫------|-|------|--|---|
Enmi l i slesi se	-|-||-⌫--|-|-|
A latorui ntetsi troua	|-|--|--⌫-|-|-|----|
La dame et samesniee oli.	-|---|-|-|------||--|
Unp etit estauantsailli	-|-⌫---|--|----|-----|
D euan t la table s arresta.	-⌫----⌫|-|----||-------|
Ladamequil ere g arda	-|---|--|-⌫|--⌫-⌫---|
Otpaorsisautdela	-|---|-|---|-|-|
Plusde.uii.foizporl ed ëa ble	---|-|----|---|--|-⌫|-⌫---⌫--|
Ses ei gneetcr ieD eume rci	-|-⌫--⌫--|-|--⌫-|-⌫-|--⌫--|
Quiestce la	--|--|-|-|
-Iequisuici	--|--|--|-|
uenuzueoirlacontenance.	----|----|-|----------|
morrez cest	-----||--|
sanzdotance	---|------|
Semotd itesLorslesa ssemb l e.	-|--|-⌫---|---|--|-⌫-----⌫-⌫-|
Enun ech ambre ce m e semble	-|--⌫|--⌫----|-|-⌫|-----|
Lesenfermad esozla clef.	--|------|-⌫---|-|----|
Lapa rolent mesc	-|--⌫-----|--||
Que Meraugi s l ordit et iure	--|-------⌫|-⌫-|--|-|---|
Seporc ri ̈er parauent ur e	-|--|-⌫--⌫--|--|-----⌫--⌫|
Mueu entl esb oches	----⌫--|-⌫-|-⌫----|
nole sdenz	-|--⌫|---|
Ilmetra ia	-|----|-|
Einsi son tcele senfer mées.	----|---⌫|----⌫|-----⌫-----|
Aprésasesarm eso stees	-----||--|---⌫-|-⌫----|
Lic heu aliers m es seliplo t	-|-⌫---⌫-----|-⌫-|-|-|---⌫|
Assezmaniaquassez enot.	----|----|-|----|-|--|
Moutplotamonseign or Gauuai n	---|---||--|-----⌫-|------⌫|
Couchierse uont etle nd emain	-------|-|---|-||-⌫--⌫----|
Seleuerentlicheuali er .	-|-------|-|-------⌫--⌫|
alerentp asaumostie r	------|-⌫-|-|------⌫|
Non qu en l i sle n	--|-|-||-⌫--||
eua uoîtpo i nt.	-|-⌫----|--⌫-⌫--|
Or escoutez sicor toispoint	-|-------|-|---⌫---|----|
Meraugis esga rdaetfis t-	-------|----⌫--|-|---⌫||
Etquefistil	-|--|---|-|
-P arfoiil prist	|-⌫-|--|-|----|
Trestotelar obe a	-------|-|-⌫--||
Etlorsdoutotcomunefame	-|---|--|--|--|--|---|
etlacee temp opine.	-|---|-⌫|---⌫-----|
Pl u sa cesmezquunepopine	--⌫-⌫|-⌫-----|-|--|-----|
Descent au al decel chastel	------|--⌫-|-|--|------|
S esp eedesozs o n mant el.	|---⌫-|----|-⌫-⌫|----⌫--|
QueuosdiroieAu haur e uint	--|--|-----|-|----⌫|---|
Einsi uestu zmoutli auin t	----|-----⌫|---|-|----⌫|
fol i o116d	---⌫-⌫----|
Cari lestoit bien fez	--|-⌫|-----|---|--|
Delautre partuiren t les genz	-||----|---|-----⌫|--|---|
Mera ugisqui	----⌫---|--|
parlisle aloit	--||---|----|
Etdes ama inlesassenoit	-|-|-⌫|--⌫-|--|-------|
Eins icomla damesie utf ere.	----⌫|--|-|---|---⌫-|-⌫---|
Ne segardentdecel	-|-|------|-|--|
cuidentquecesoit	------|--|-|---|
A la ne fuont semprestot	|-|--⌫|---|------|--|
uienentsig lantd e	------|---⌫---|-⌫|
lau trepar t.	|--⌫--|---⌫-|
Limariniers q uifusoi	-|--------|-⌫-|-|--|
isleetM eraugis	---|-|-⌫------|
Quio td euantso nc onsei lp ris	--|-⌫|-⌫----|--⌫|-⌫-----⌫|-⌫--|
Saut en lan efde pla ineslés.	---|-|-|-⌫-|-|---⌫-|------|
Sisemblequetotesleses	-|-----|--|----|--|-|
Delaneff r oissent e te stend ent	-|-|--|-⌫-⌫------|-⌫|-⌫-----⌫--|
Etc ilqui aumarchierente ndent	-|-⌫-|--|-|-------|----⌫----|
S aperçur e ntetsi trembl ere nt	|--------⌫-⌫-|-|-|------⌫---⌫-|
Depaordeluisi semblerent	-|---|-|--|-|---------|
Quil fussentprissi erent il.	-|-|------|---|-|----|--|
Deso zlemantel aporfi l	----⌫|-|-----||-----⌫|
TretM eraugislespee nue	---|-⌫------||----|--|
Etdituostre damees tuenue-	-|--|-----|---|--⌫|----||
Ou est-uezlacienma m ain	-|--|---|-|-|-|-|-⌫--|
P orlimos trer	-⌫-|-|---⌫---|
a bat sonfrain	-⌫--|--|----|
Et ditasmariniers P arma ame	-|--|-|--------|-⌫-|-|--|
Ceste espeecest	----|----||--|
uostredame	-----|---|
Dont uosaurezdampnatïon.	---|--|----|-----------|
Iamou rezsanz c o nfe ssi ̈on	-|---⌫--|---|-⌫-⌫---⌫---⌫--|
Sene fetesmauolo nté	-|-|----|-|----⌫---|
diparué rité	-|--|---⌫----|
S e uosle fetes uosaurez	-⌫|--|-|----|--|----|
Asseziame sne	----|-|--⌫|-|
R iens demanderqueneuo sdoigne.	-⌫---|-------|--|-|--⌫|------|
uo ientlabesoigne	--⌫---|-|-------|
Deriensnu lenelcontredï ent.-	-|----|--⌫-|--|---------⌫----|
Porquoi -Ilu uelentmieuz	--|---||-|-⌫-----|----|
Asse zuiureeta uoir adés	----⌫|----|-|-⌫---|----|
Que morirdarmesd esconfé s.	--|----||----|-⌫--------⌫-|
IldïentS ire nosferon	-|-----|-⌫--|--|----|
uostrebo n ianedesdiron	-----|--⌫|-|-|-------|
Riensquiuos	----|--|--|
plese.-Es ti leinsi-	-----||--⌫|-⌫|-----|
Oïl.-D onc mesloigniez	----||-⌫--||---------|
Simemen ezpar ça	-|-|---⌫-|--|--|
Ein si quenosaion l ator	---⌫-|--|--|---|-⌫|--|
Entre lanef e t laci té.	----|-|--|-⌫|-|--⌫---|
Ci l quiuuelentest reaqu it é	--⌫|--|------|---⌫-|---⌫--⌫-|
foli o11 7a	----⌫---⌫-|
m ortu er s lator	-⌫--|-⌫--⌫|-|--|
s enu ienent.	|-|-⌫------|
La sarreste nt e ttantse tienent	-||-------⌫-|-⌫|---|-|------|
QuemessireG a uuainsdescent	--|--|---|-⌫-⌫-----|------|
Ded enzlanef	---⌫--|-|--|
l orsfurentc ent.	-⌫--|-----|-⌫---|
Lor ar mesont ainz	--|--⌫--|--|---|
qu il sesmueuent	-|-||--------|
Dïentas mari nierssil trueuent	-----|-|----⌫----||-|-------|
Ter renullieul aent o rpr e s	---⌫-|--|---|-⌫|---⌫-⌫|--⌫-⌫|
Queia mar eniront ap re ́s	--|-|--|-|----|--⌫--⌫-|
Mes auplus preslesmetentfors.	--|-|---|---|--|-----|----|
Et ci lquise dotentdes cors	-|--⌫|--|-|-----|--|---|
T re mblentetdïentqu ilp rend ron t	-⌫--⌫-----|-|-----|-|-|-⌫----⌫---⌫|
Terre au plustost que ilporront.	----|-|---|---|--|-|-------|
ot p lusausigle ruindrent.	-|-⌫--|-|-----⌫|--------|
Ienedir aipasque deuindrent	-|-|---⌫-|--|--|---------|
Lesdamesno nca rie	--|----|--⌫|--⌫|-|
P o r quoi -	-⌫-⌫|---||
Par foiienifui	--|--|-|||--|
sireGauuains n i f u.	---|-------|||-⌫-|
Ei ns isiglen teto nt	--⌫--⌫|------⌫|-|-⌫-|
Sor lacoste	--|-|----|
enlabass emer	-|-|----⌫|--|
Quil neuoudrent	-|-|-|-------|
pas tres pass er	--|----⌫----⌫-|
La merainçoi sont	-|--|-------⌫|--|
ta ntqu ilontpassee	--⌫-|-|-|--|-----|
Lame r ettres tot le païs .	-|--⌫|-|----⌫--|-|-----⌫|
Mo ut onterré	--⌫-|--|----|
cemestauis	-||--|---|
Ettantquilontterre	-|---|-|-|--|----|
enco ntree.-	----⌫------|
Qu el t erre—	--⌫-|-⌫---||
Ce fula c ontree	-|-|-|-⌫-----|
D eHanditou.— Ouil a t enoit—	-⌫|--------||--|-⌫|-⌫----||
Licuen sGladoainsqui	-|----⌫|--------|--|
Si res etmoutot	--⌫--|-|---|-|
terr ea illo rs.	----⌫|-⌫----⌫--|
Li marin ier pris trentlor	-|-----⌫--|----⌫----|--|
Por arriu eraHandit ou	--|-----⌫-||------⌫-|
f olio117b	-⌫-------|
Mestrop sehasterent d unpou	--|---|-|--------||-|--|
Alarriuer . - uoirecoment -	||-------⌫||----|-----||
Ilentrerent sidure me nt	-|--------|-|----⌫--⌫-|
E lhaur e quela	-⌫|----⌫|--|-|
Sorune roche	--|--|----|
lorscroissi	---|------|
Etdes peçaen.I I.moitiez.	-|---⌫----|-|--⌫-|-------|
Que puetchaloir Sa ins e t heti ez	--|---|------|--⌫--|-⌫|----⌫-|
Issi chasc uns delanef fo rs.	---|-----⌫--|-|-|--|--⌫--|
Li cue nsGladoai ns	-|---⌫-|-------⌫-|
qui fulo rs	--|-|--⌫-|
AHanditou senauala	|-------||-|----|
Droita lamer.Quant	----||-|---|----|
iluint l a	-|---|-⌫|
Les ch e ualiersuitses conut . -	--|--⌫-⌫------|--|--|-----⌫||
Etlo rs que	-|--⌫-|--|
fist- Ilacorut	----|-|-----|
uerseusses salu eet acole.	---|--|--|----⌫|-|-----|
Com e prodom	---⌫|-----|
Lorabandone quan qu i la.	--|-------|---|-|-⌫|-|
Mo utlesconiotgrant i oieona.	--⌫-|--|-----|----|-⌫--|-|-|
Lo rs lesmenaensonrecet	--⌫-|--|---|-|--|----|
QuantMe raugiss	----|--⌫-----||
arresteetfet	------|-|--|
. I. dueil.	-⌫-|-----|
-Porquo i-	|--|---⌫||
Quest ce fetil	-|--|-|--|-|
o u estmauie -	-⌫|--|-|--||
Ouest Comentlaiiel essiee-	-|--|-----||-|-|-⌫-----||
Oï lp ar ta nt mestesloigniee.	---⌫|-⌫-|--⌫-||--|----------|
Pa rt antAi ie	--⌫|-⌫--|-|-|
ladoncperdue	-|---|-----|
Oïl.-Lor ssefiert et setue.	----||---⌫|-|----|-|-|---|
Sesam iefi stdueilpor l ui	-||--⌫-|--⌫-|----|--|-⌫-|
noienzenuersc estui.	-----|-----|-⌫-----|
N on Quendiroie Ce nauint.	-⌫-|-|-|-----|-||-----|
MessireGauua ins	--|---|-----⌫--|
qui le t int	--|-|-⌫--|
Ett uitli autrele confortent.	-|-⌫--|-|----|-|----------|
entraue r slenport ent	-|-----⌫-⌫||-|----⌫--|
paléslasus amont.	-----|----|-----|
L icuen s li p lu scortoisclou mont	-⌫|----⌫|-|-⌫--⌫|------|---|---|
Lesherb eriala nuit si b ien	--|----⌫---|-|---|-|-⌫--|
Doutot entot	--|--|-|--|
q uil nifautrien	-⌫|-|||---|---|
Que nus nepuist pensernedir e.	--|--|-|----|-----|-|---⌫-|
MesMer augisquifupl ai n sd	--|---⌫----|--|-|--⌫--⌫-⌫||
Quiq uenrie na p as bontens	--|-⌫|-|--|||-⌫-|--|---|
Einsic om s il	----|-⌫-||-|
