kiuoltoïrcha ncun debeausemblant	-|---|---|---⌫---|-|---|-------|
espeetre nc hant	----|---⌫--⌫---|
am untlechiefsurle h ealmeluisant	--⌫--|-|----|--|-|-⌫----|------|
multpar iertdursidesk	---|--|---|--|-|---|
asdenznelfe nt.	-|---|--|--⌫-||
kari oaig ran t dreit sinelaimdenïent	--|-⌫|-|-⌫---⌫|----|-|--|--|-|-----|
karilmoccistsamsoi nie	--|-||-----|------⌫--|
demuntbrant	-|--------|
sirepanpelum eaunt urneie ment	---|--------⌫||-|-⌫------⌫---|
ilfumis fr eres sia il equor dolan t	-|-|--|--⌫---|-|-⌫|-⌫|---|-----⌫|
murraide do elsim un fr eren euenc	-----|-|--⌫-|-|-⌫-|--⌫--|-⌫|---|
franceischeua centtutc eleemen t	-------|-----⌫---|--|-⌫-------⌫|
delezu nbois	----|-⌫|---|
qui adan un forestent	--|-||-⌫-|--------|
lanoiseente ndentsi	-|----|----⌫----|-|
arestuntaitant	-------||----|
liducr ollantl es	-|--|-⌫-----|-⌫-|
ueitpremierement	---|-----------|
sei ngnu rsf aitilore	---⌫----⌫-|-⌫--|-|--|
estaitg entement.	-----|-⌫-------||
ueez p aenssurlarochequipen t	---|-⌫---|--|-|----|--|---⌫|
nesu nt kequat re parmenescïent	-|--⌫-|-|----⌫-|--|--|-------|
bienipoüm iuste rse ürement	---||----|-----⌫|--⌫-------|
lam ercideu o mni potent.	-|-⌫---|--|-⌫---⌫-----||
e cilr espu nenttu t	|--|-⌫----⌫---|--⌫|
auos tretale nt	|---⌫--|----⌫-|
l es hanste smett e n t surle sfeutres deuant	-⌫-|------⌫|----⌫-⌫-⌫|--|--⌫|------|-----|
uerslespaiens seuontesperunant	---|--|-----|-|---|---------|
cla re lre guarde uersleuant	---⌫--⌫|--⌫-----|---|-----|
eueitlescuntesb rochiermutf iereme n t	|---|--|-----|-⌫------|--|-⌫------⌫-⌫|
sescompaingnunsapeleignelement	--|-----------|----|---------|
seingnu rs fait ilaiezg ra nt hard e m ent	-------⌫-|---|-|---|-⌫--⌫-|----⌫-⌫-⌫--|
t reis cheualersueide deçapu i nant.	-⌫---|--------|--|-|----|--⌫-⌫---||
ale zen cuntre sachezquiluont querran t	---⌫|--⌫-----|-----|-|-|---|-------⌫|
eilleissentcurre sanz nul retenement	|-|-------|----|---|--|---------|
plu sditne dema ndé nïent	---⌫|--|-|----⌫---|-----|
quil su ntdu nt uienentn equil uontquerr ant	---|--⌫-|--⌫-|------|-⌫|-|-|---|-----⌫--|
lancesfierentdurement.	-----|------|-------||
ascanard f iert s urle scuro llan t	-------|-⌫---|-⌫-||-⌫--|--⌫----⌫|
bucleled ep ieceefent	----|-|-⌫--⌫---||---|
fortest la bruinene depiecenïen t	---|--|-|-----|-|------|-----⌫|
frus sela lance en	----⌫-|-|----|-|
sunle ferdeuant .	--|-|--|-----||
li q uonslefiertt an tascemeem ent	-|-⌫---|-|----|-⌫--⌫|--------⌫--|
ke scun eha lbe r cneli	|-⌫--|-⌫|--⌫---⌫-⌫|-|-|
ualtnïent	---|-----|
t renchelecura illie lifent	-⌫-----|-|----⌫----|-|---|
mortlabatidelbondestri ercurant .	---||----|--|--|------⌫-|-----||
puis aditrol lant enrïant	---||--|---⌫---|-|-----|
f iza put ain troué	-⌫-||---⌫--|-----|
auezrolla nt	---|-----⌫-|
k aliez ore	|----|--|
siforme nt	-|-----⌫-|
manaçant.	--------||
cur sableiustea	---⌫----|----||
ogie r le curteis	----⌫|-|------|
ge ntcolplidonesursun escu	--⌫-|---|-|---|--|--|---|
ultrelen passel e ns eini e deciclei s	----||-|----||-⌫--⌫----⌫|-|------⌫|
d elhalbe rctrenche	-⌫-|-----⌫-|------|
ma illes tre nte	--⌫----|---⌫--|
lez lecosté lime t lefergal eis	--|-|-----|-|--⌫|-|--|---⌫--|
enpeint bienmes ne liualt unpeis.	------|---|--|-|-|---|-|---||
ogierlefiert en l	----|-|----|-||
escucle man eis	---|--|---⌫--|
parmiles armesli	--|-|--|----|-|
metle fergale is	--|-|--|----⌫-|
neliu altmiel ebon	-|-|-⌫--|--|-⌫|--|
halberc un	------|-|
elcor slimetle penun aor freis .	-|---⌫|-|--|-|----||--⌫----||
mortle tresturnedeldestrier espaneis	---|-|--------|--|-------|-------|
el repair er l iditdous mozcurte is	-|------⌫-|-⌫|--|---|--|-----⌫-|
putain çoestog ier ledaneis	-----|--|--|--⌫--|-|-----|
purtels col ps fei rem aimecha rle	--|---|---⌫-|---⌫-||---|---⌫--|
ol iueriuste alrei de niniue nt	--⌫---|----|-|--|-|------⌫-|
aba lsamiquia tgrant	|--⌫----|--|-⌫|----|
hardement.	--------||
surs un es cuu out u nlïun	--|-⌫-|--⌫-||--|-⌫|----|
mes oliuer lefiert sidrei tement	--|-----|-|----|-|----⌫-----|
ruele que parmil ef ent	----|--|--|-|-⌫|-⌫--|
lauielle bruinieniliualt nïent	-|-----|------|-|-|---|-----|
len seniemett ut dreitelcorsdeuant	|--⌫----|--|-⌫-|----|-|---|-----|
mortlabati deldest riersanglent	---||----|--|----⌫---|-------|
puis li adital m alfé t ecomant	---|-||--|-|-⌫----|-⌫|-----|
alturnk ilfe it	-|---||-|--⌫-|
siuint clarelp ui nant	-|---|-----|-⌫--⌫---|
cil enprend radelpaie nuengem ent	--|-|-----⌫-|--|----⌫|------⌫--|
s ioli u eraicest	-⌫|---⌫-⌫-||----|
colplatent	---||----|
meisl inié scharleli	---|-⌫|----⌫|-----|-|
trauers edeuant	-------⌫|-----|
clarellefiert	-----|-|----|
escudeuan t	---|-----⌫|
bru i nielif u	---⌫-⌫--|-|-⌫|
demor tgarant	-|---⌫|-----|
destrierlieue les piezauant	-------|----|--|---|----|
ledestrer rec ulesilu eitcunsiuant	-|------|---⌫--|--|-⌫--|--------|
kenun muntchi et	|-|-|---|---⌫-|
ledestrer rollant	-|------|------|
en h alt sescriesensein e naimant	-|-⌫--||-----||------⌫|------|
uersla ci tésenuolta lerf uian t	---|-|--⌫--||-|---|-⌫--|-⌫----⌫|
m eslidaneisliestal édeu a nt	-⌫-|-|-----|-|--|--⌫-|---⌫-⌫-|
g rantcolp	-⌫---|---|
l i d u n edel	-⌫|-⌫-⌫-⌫|-||
espeetren ch ant	----|----⌫--⌫--|
e nmi lepiz sur celhalbercluisant	-⌫|-|-|--|--|--|------|------|
la bonebrui nie	-|---|----⌫--|
nefalsenenestent.	-|----|-||-----||
delez unmuntla b at delauferant.	----|-|---||-⌫-⌫-|--|-------||
oliuer prentlebondes tr ier curant	-----|----|-|--|---⌫--⌫--|-----|
uie nt arollant parlefrein	---⌫-||------|--|-|----|
si r e faitilmun t ezigne leme nt	--⌫-⌫|---|-|---⌫-⌫-|----⌫----⌫-|
dep art og ier le uu s doinse p r esent	-|-⌫--|--⌫--|-|--⌫|----||-⌫-⌫----|
meildreestdeluostr eioq ui	------|--|--|-----⌫|-|-⌫-|
liquon ssalt	-|----⌫|---|
arçunneseprent	-----|-|-|----|
elipaenestlieué	|-|---|--|-----|
enestant .	-|-----||
tr eitat sesp eemellee la trenchant	--⌫--|-||---⌫-|-----|-|--------|
lesc u enbraceform ent sedefent.	|---⌫|------|----⌫--|-|-----||
rollantsakeduren dalleuaillant	------|---|-----⌫--|-|-------|
u eitdonerdemaintenant	-⌫--|----|-|---------|
meis lipaen iettelescudeuant	---|-|---|----||---|-----|
trenchequanke l	------|-----||
espee e npre nt	----|-⌫----⌫-|
fort sec umbatme sneli ualt	---|-|-⌫----|--⌫|-|-|---|
seingnursm aueie	--------|-⌫|---|
uus deman t	--|-----⌫|
pe rnezm ei	--⌫---|-⌫-|
uifeschecauezfaitgrant.	--|-----|---|---|----||
quelsestli s ires par m espee	----|--|-|-⌫---|--||----|
sespeerent liq uonsrollan tla	|----|---|-|-⌫---|------⌫|-|
pu is li amein ent	--⌫-|-|-----⌫--|
u nneir destr ier muuant	-⌫|---|-----⌫--|-----|
duntfu occis li rei	---|-|----|-|--|
deniniuent .	-|-------||
licompaingnunrepai rentdeius ter.	-|----------|-----⌫---|-|---⌫--||
clarelontpris	-----|--|---|
silq uident mener	--|-⌫-----|----|
acharlemai nel euol entpr esenter	|---------⌫-|-⌫|---⌫--|--⌫------|
meiseinz quil puissent uneliwe	---|---|-|-|-------|--|---|
daltrematirelurestuuerap arler	|----|-----|--|-------|-⌫----|
karsa razin	--|--⌫----|
r epaire ntdepr e er	-⌫------⌫-|-|--⌫-⌫-|
milecinccenztan tipot h uma i smer .	--||---|---|---⌫||--|-⌫-|-⌫-⌫---||
oie ntle s	---⌫-|--⌫|
cornslesbus ines suner	----|--|---⌫---|----|
ueientleshealmes menuest enceler	-----|--|------|---|---⌫------|
e lesense nies par a mun t uenteler.	|--|----⌫---|--|-⌫---⌫|-------||
rollantle sueitsi comencea si fler.	------|--⌫|---|-|------||--⌫---||
asesestriussaficheliber	|--|------||-----|-|--|
enu ersogi er pri stli q uonsa iurer	---⌫--|---⌫-|---⌫-|-|-⌫---||----|
parc elseingnu rqui deu sefaitc la mer	--|-⌫-|-------⌫|--|--|-|---|-⌫--⌫--|
sadurend alme	||------⌫-|-|
p eusse aeusmeller	-⌫----||--|-----|
tantmeuerrezocc ir e	---|-|-----|---⌫--⌫|
kelesnouelesirre i ent ultre mer .	-|--|------|----⌫-⌫--|----|--||
sei gn ursbarunsçolidit oli uer	---⌫--⌫--|-----|--|-|--|---⌫--|
asageshum meslaio ï recunter	|----|---⌫--||-|-⌫-|-------|
hu m nese pot detutsesmalsgarder	--⌫|-|-|--|-|--|--|---|-----|
neum nepottu ziurss enzi u steest er	-|-|-|--|--⌫|---|-⌫--|-⌫-⌫--|---⌫-|
equ a nthumqu idegrantleesc eencunt rer	|--⌫-⌫-|--|--⌫--|----|-----⌫|------⌫--|
id unce sti lplus presdeldestur ber.	--⌫--|-⌫-|-⌫|---|---|--|------⌫--||
ueirsditogierci	----|--|----|-|
auerame ster d esponter.	----|--⌫---||-------||
u ee zpaensnespoezeschiuer	-⌫--⌫|----|--|---|-------|
par mi lu rlancesnu sest uuerapas ser	--|-|--⌫|-----|--⌫|---⌫----|---⌫--|
ored eit c has cu n sa pruescemustrer.	--|-⌫--|-⌫---⌫--⌫|-|------|------||
puis kum e stprisne ldeithumafo ler	---||-|-⌫-|---|--⌫|---|--|---⌫--|
kar bienn elpoünsam e ner	--|---|-⌫-|-----|--⌫-⌫--|
bien lenuspotenc ui	---|-|--|--|---⌫-|
reguerdon er .	---------⌫-||
edistclar e l francquo r te fist	|---|----⌫-⌫|----|---⌫|-|---|
s irerollan tc ̧o dito gierle be r	-⌫--|------⌫|-⌫-|--|-⌫---|-|--⌫|
fortestesefiershardiz e redut ez	---|----||----|-----||-----⌫-|
bat aillebienenluminez	---⌫----|---|--------|
e oliue restcheualerpru uez	|-----⌫|--|-------|---⌫--|
e iomei ̈s me demaint	|-|---⌫--⌫-|-|----|
pasescha pez.	--|-----⌫--||
u eezpaens	-⌫--|----|
refusernespoez	------|--|---|
naltr esucurs dummenatendez.	|----⌫|-----||---||------||
nifier geil seitcuardpru u ez.	||----⌫-|-|---|----|---⌫-⌫-||
munioie es cri enteisl es uusaiustez	------|--⌫---⌫--|--|-⌫-|--|------|
ia iau er ades m orzed esnauere z.	-||--⌫--⌫|--|-⌫--||-⌫-|------⌫||
rollantferi unpaienberruier	------|---|-|----|-------|
quipl usestneir	--|--⌫-|--|---|
qu emure demurer	--⌫|---|-|----|
mortle tresturneenmi	---|-|--------|-|-|
l iu dunsent ier.	-⌫-||-|----⌫--||
eol iuerfiert balsande	|--⌫---|----|-----|-|
m untpellier	-⌫---------|
el ida naisiustealsaraz inmotier	|-⌫|--⌫---|----|-|-----⌫-|-----|
mortlesabatentc ilfurentl i primer.	---|--|------|-⌫-|-----|-⌫|-----||
treis ontocci sdes hanstes depummer	----|--|----⌫|--|------|-|-----|
puisontt reit lesespe esdascer.	---|--|-⌫---|--|----⌫-||----||
rollantles u ei todd urendal trenchier	------|--|-⌫--⌫|-|-⌫------|--------|
parun eu nlesfe itt rebuchier .	--|-||-⌫|--|--⌫-|-⌫--------||
oliuertrouent	-----|------|
lipaienmult fier	-|----|---|---|
ahalteclereifaittel	|---------||---|--|
bienipurreientqu atre chars encuntrer .	---||--------|--⌫---|----|--------||
libon sd anei s	-|---⌫|-⌫----⌫|
deb i en ferirnese uoltta rgier	-|-⌫-⌫-|----|-|-|---|--⌫----|
estreint curte ine sibroche	-------|-----⌫--|-|-----|
ledestrier	-|-------|
atrent e paens	|-----⌫|----|
a faitl esc hiefs u oler	|---|-⌫-|-⌫----|-⌫---|
a tantest uenucarme lde	|---|--|---|-----⌫|-|
un s arazinqui	-|-⌫-----|--|
tus les altr es guie	--|--|----⌫-|---|
bienestarmési setsur penne pi e.	---|--|----|-|--|--|-----⌫--⌫||
en sun languagea halte	-|--|-------||----|
uoize s crie	---|-⌫-⌫---|
kefaitesuus mahumetdeu	-|-----|--|------|--|
uus maldie	--|-----|
que dirrumnusal e mperurg a rsie	--|-----|--|-|-⌫-----|-⌫-⌫---|
kepartre ishummesest	-|--|---⌫-|-----|--|
sigran tgenth u nie	-|----⌫|---|-⌫-⌫--|
io toldraiaun destreisialauie	-|------||-|--|----|-|-|--|
puint ledestri erlalance abrandie	----|-|------⌫-|-|----||------|
efi er t ogie rsurla t argefluri e	|--⌫--⌫|----⌫|--|-|-⌫---|-----⌫|
des uz labuc le laf reintepercie	---⌫-|-|---⌫-|-|-⌫----||-----|
laboneb ruineneliualt unefie	-|---|-⌫----|-|-|---|--|--|
elcorslime tlens e inie	-|---|-|--⌫||---⌫-⌫---|
d orcanie.	|------||
nauerélabatki kepeistu rie.	------||---|-|-|----||--||
u eit lerollantkik e pe istukirie	-⌫--|-|------|-|-⌫|--⌫--||-|--|
uetsurle healmed eburie	--|--|-|-----|-⌫|----|
tutle purfent sanz nu l egaranti e	--|-|------|---|--⌫-⌫|-------⌫|
culuer t fetildeu	------⌫|--|-|--|
de lcie lt e ma ldie	--⌫|---⌫|-⌫|--⌫---|
de quel uassalmastolulacompaingnie	-|---|-----||-|---|-|----------|
par lechamp b roche	--|-|----|-⌫----|
l a lfagede n ubie	|-⌫----|-|-⌫---|
unsarazi n q u e dampnedeumal die	-|------⌫|-⌫-⌫|--------|---⌫--|
alabelealfamie	|-|---|------|
hui matin lipr omistdruerie	--|----|-|--⌫----|------|
promi st colpde cheu aleri e .	-----⌫-|---|-|----⌫-----⌫||
sideunenp ense	-|--||-|-⌫---|
lef izseintemarie	-|-⌫-|-----|----|
illurframultgrant estultie.	-|--|--|---|----|-------||
fie rtoliuersurlabruinesarzie	---⌫-|-----|--|-|-----|-----|
fortestlaubercquiliga rda lau ie	---|--||-----|--|-|--⌫--|-|-⌫-|
iu s l ab atimes i l	--⌫||--⌫--|--|-⌫|
n el nau eramie.	-⌫-|---⌫--|--||
l iquensr elieuesis altsurpennepie	-⌫|----|-⌫-----|-|-⌫--|--|-------|
lebon destr ier carmeldetabarie .	-|--|-----⌫--|-----|-|------||
ahalte uoizsunco mpaing nunescrie	|----|---|--|--⌫------⌫--|-----|
sirer ollantn euus esm aezmie.	---|-⌫-----|-⌫|--|---⌫--|--||
iouus enai lameie feipleuie	-|--|-|-|-|---|--|-----|
faldraitant cum a ue r ai lau ie	------|---|--|-⌫--⌫-⌫-|-|-⌫-|
orecomence	--|------|
den os fr ançeis e delapaieni e.	-|-⌫-|--⌫------||-|-|------⌫||
li bon deneishasted e rele uer	-|--|-----|----|-⌫|----⌫--|
g ra nte stla pr es senepot el baimonter .	-⌫--⌫-|-⌫-|-|--⌫--⌫-|-|--|-|--|-----||
lorscomence l	---|------||
espe ea reguarder	----⌫||--------|
oïcu rt ei netant uuspoi a mer	--|--⌫--⌫--⌫-|---|--|--|-⌫--|
en la cur tcharle uusfeisseza	-|-|---⌫|-----|--|------||
h uies tuuer amei	-⌫-|--⌫-----⌫|--|
euusdese uerer	|--|----⌫----|
m es einzquemu ir euusuoil	-⌫-|---|--|--⌫--⌫|--|---|
esprou er .	------⌫-||
sunhealm ec ler	--|-----⌫|-⌫--|
desk as denzlifaitle brant c uler .	---|-|---|-|---|-|----|-⌫---||
rol lan trecle imemes il nel	---⌫---⌫|-----⌫--|--|-|--|
otli b e r	-|-|-⌫-⌫|
karilatantendrei ts eiapenser	--|-||---|------⌫|-⌫-||-----|
qu il ne s et quelpa rtildeit aler	-|-|-|-⌫-|---|--⌫-|-|---|---|
ogerassa illentsarazin e escler	---|----⌫-----|------||-----|
ilse def entcum	-|-|---⌫--|--|
g entileber .	-⌫----||--||
li reisclarel le ueit multpener	-|---|-----|-|---|---|----|
e delespeeruiste scolp sdoner	|-||----|------⌫|----⌫|----|
en halt escr ie paienl aissezester	-|---|----⌫-|----|-⌫-----|----|
renttei ogiern e testuet pas dut er	---|--|----|-⌫||-----|--|---⌫-|
tutepozbiens urmei	-|-|--|---|-⌫-|--|
nauerasmal dun ttepeüsseaider.	|-----|--|---⌫|-|------|----||
distlalmoafl euusnelpoezten ser .	---||-------⌫|--|--|---|---⌫--||
ialiuerre ztu z les men br es	-|-|-----⌫|--⌫|--|---⌫--⌫-|
cl arell entent	--⌫---||-----|
uif quidefo rsener	--|----|--⌫-----|
trei t asespe e uncolpliueitdoner	----⌫|||----⌫|-|---|-|---|----|
ke nmile champli	|-⌫|-|-|----|-|
f etlechief uoler.	-⌫-|-|----|----||
ditleissez ogi erester	--|------|---⌫-|----|
destriersifaitle	-------|-|---|-|
d u c monter	-⌫-⌫|-----|
uit sarazinsafetdemander	--|-------||--|-------|
desameineeu	-|-|-----||
pl usse deit	--⌫-|-|---|
seingnursfetilorepe nsezdel errer.	--------|--|-|--|--⌫---|--|----||
dites m amiequefaceogierguar der.	----||---|--|---|----|----⌫--||
illur liuera sisa laissé aler.	-|--|-----|--||------|---||
souent lifu n tses plaies pasmer.	-----|-|--⌫-⌫|--|-----|-----||
alreialfamiealuiscler	-|--|------|-|--|---|
e n unuergierentra purdeporter	-⌫|-|------|----|--|-------|
ense mblodluiguaï te eb el am er.	----⌫--|-|--|-----⌫-||-⌫-|--⌫-||
ui rentpaie ns a	--⌫---|----⌫-||
laltrealum aeusparler	|----|---||--|-----|
delur corage saueredema n der .	-|--|-----|----||----⌫-⌫--||
distalfamiebarunsqu iluecestez	---|------|-----|-|----|----|
deuos nouel eskarnu s	-|--|-----⌫-|--|--⌫|
cilch eualer ufu ilencuntr ez	--|--⌫-----||-|-|-------⌫-|
prisen iuste	---|-|----|
uen e sturnauerez	|-|-⌫---|------|
pucelegentefait liuelzalmafez	-----|----|---|-|---|------|
pa rmahumetpurqu ei nus engabez	--⌫|------|-----⌫-|--|-|----|
iaauum nus les	-|---|--|--|
q u ors it antenflez	-⌫-⌫--|--⌫--|-----|
kenusnenpre ntde rire	-|--||-|---⌫-|-|---|
u o lentez .	-⌫-⌫-----||
k iaçofaitguarden el mecele z	-⌫||--|---|-----|-⌫-|-|----⌫|
edientcil cis t	|----|--|---⌫|
folbuin ar d pruuez	--|----⌫--⌫|-----|
ileduialtre ontsi	-||--|----|--|-|
les nozmene z	--|--|----⌫|
kace ntpa e nson tl es testes colpez.	||--⌫-|--⌫-⌫-|--⌫|-⌫-|-----|-----||
clareluusmande uostreamile senez	-----|--|----|-----|--|-|----|
pu r sueamur que cestuibienguarde z .	--⌫|--|---|--|-----|---|------⌫||
distlapuce leore uusreturne z	---|-|----⌫-|--|--|-------⌫|
pernez meilesal tressismi amenez .	-----|--|--|--⌫---|--|-|-----||
dientpaienseinz p asse rae stez.	----|-----|---|-⌫----⌫-|-⌫---||
puisditalcunt e	---|--|-|----⌫|
e n uenez .	-⌫|----||
iouusprom etquebono stel	-|--|----⌫-|--|--|-⌫---|
cumaue znunde	--|---⌫|--|-|
quelege ntestes nez	----|--⌫-|----|--|
ogierainunle	----|-|--|-|
dan e is alosez	---⌫-⌫-|-----|
en lacurt charle	-|-|---|-----|
en est mi parentez.	-|--|-|-------||
d istlapucele ore	-⌫--|-|-----|--|
uus conuisassez	--|-----|----|
ces treispuceles ont amenéogier	--|----|------|--|-----|----|
enu ne pla ce desu zun	-|-⌫-|---⌫-|----⌫|-|
primeremen t areinent le dest rer	----------⌫|-------|-|----⌫--|
pu is desarmentle	--⌫-|--------|-|
curteisch eua ler	------|--⌫---⌫--|
luneprentl e h almelaltrele	|--|----|-⌫|-⌫---||----|-|
bra ntdascer	---⌫-||----|
de ld os litreientlebonhalbe rc	--⌫|-⌫-|-|------|-|--|-----⌫-|
sesplaiesleu entsilmettent culch ier.	--|-----|---⌫--|--|------|-----⌫--||
duneherbeducelidon en ta	|--|----|---|-|---⌫--⌫||
m eïsmep lan ta	-⌫-----|-⌫---⌫-|
en su n uergier	-|--⌫|------|
tos t sei neat	---⌫-⌫---⌫-|-|
anuntelpot	|--|--|--|
hum preiser .	--|------||
cilsendormiqui	--||-|----|--|
a tg rant mester .	-⌫|-⌫---|-----||
quant ilse sueil le si	----|-||-⌫-----⌫-|-|
sesenttutlegier	-|---|--|-----|
seinque pumedepumer.	---|--|---|-|----||
orele issum	--|--⌫----|
icidelcurteisogier	--|--|------|----|
quiass ezatdequan kil atmestier	--|---⌫-|-|-|----⌫|-|-|------|
delduc rollant dirumedoliu er	--|--|------|----|||----⌫-|
cu mbatent a sespee s d ascer .	--⌫------|-⌫|-----⌫||----||
uncoreiade s paens unmill ier	-----|||--⌫|----|-|----⌫--|
meslesg ranz colpsenbracier	--|--|-⌫---|----|--------|
sil s enfuientnest	|-||-|-----||--|
pas amerueill er.	--||--------⌫-||
fuiantse n	-----||-⌫|
uonttutu nch eminplener	---|--|-⌫|--⌫---|-----|
paensless iwentpurlesteste s	----|--|-⌫----|--|--|-----⌫|
otinelfai t	-----|---⌫|
lescun tes deman d er	--|---⌫--|-----⌫-⌫-|
lorssaueit bie n quantnespoeit	---|-----|---⌫|----|--|----|
keuers atill e su ntalépur	-|---|-----⌫|--⌫-|---|--|
ig neleme nt sec urutaduber	--⌫------⌫-|-|-⌫---|-----|
eoue c luitels et	|---⌫|--|--|-⌫-|
cenzche ual ier	---|---⌫---⌫--|
trestutlipirepur reit	------|-|---|---⌫---|
unreimater.	-|--|----||
el destrier mun tesiueit a l reipar ler	-|-------|---⌫-|-|---|-⌫|--|---⌫--|
sirefa itesf rancei s uistement armer.	---|--⌫---|-⌫------⌫|--------|----||
seigemettre	----|-----|
ka ruostreniésmatpu rc uard pr oué	--⌫|-----|----||-|--⌫|-⌫---|--⌫---|
kuimatinestalépuri u ste r.	|-|----|--|---|--|-⌫-⌫---⌫||
si m alliuie nt	-|-⌫-|-|---⌫-|
deit blasmer	---|------|
tropse u oltfairesurtuzhummes loer	---|-|-⌫--|----|--|--|-----|---|
m eis parcelui	-⌫--|--|----|
quid eusefaitclamer	--|-⌫-|-|---|-----|
siio puis hui	-|-|---|--|
s arazin sencun tre r	-⌫------⌫|-----⌫---⌫|
b ienm iorrezm unio ië	-⌫--|||----|-⌫----⌫--|
edemespeesiruiste	|-||----|-|-----|
colp doner	---|----|
iaderollant n estuuerapa rler .	-|-|------||-------|--⌫---||
n ostreempererea	-⌫----|-------||
faituncornson er	---|-|---|---⌫-|
fran ceissadubent siuuntle p untpasser	----⌫---||------|-|---|-|-⌫--|-----|
alduc samsu nfis tlense ine po rter .	-|--|-----⌫|---⌫||----⌫--|--⌫---||
l aueïssieztant gunfan unsleuer	-⌫|--------|---|------⌫--|----|
tanzhanstesdreites	---|------|------|
tantpennunsuenteler	---|------|-------|
deu nefist humme k is peüstanumbrer	--|-|---|----|-⌫-|-----|-------|
f orm ent sa f iche nt cil legie r	-⌫---⌫--||-⌫-⌫----⌫-|--|-----⌫|
lesuns uersl es altres comencen tau anter	--|--|---|-⌫-|-----|--------⌫||-⌫----|
deruiste s colpssur	-|------⌫|----|--|
sarazinsdoner	-------|----|
del ost s enpartent cilsetcent	--|--||-|------|--|--|---|
b ac he ler	-⌫--⌫--⌫--|
keb e lesent	-|-⌫-⌫-----|
atuz asun manie r.	|--||--|-----⌫||
otin elbrochefluri	----⌫-|-----|----|
sundestri er	--|------⌫-|
deuan t lesaltres al treit	-----⌫|--|-----|-|----|
dun archer	|-|-----|
bien estarmé	---|--|----|
aleidech e ualer	|--|-|--⌫-⌫----|
sescunuissa nc esdun	--|--------⌫--⌫-||-|
p a ile c u rsier	-⌫-⌫--|-⌫-⌫----|
ne peisentmiequat re	-|------|--|----⌫-|
fuilzdunsalti er	----||-|-----⌫-|
nest mienez quispeu ̈stal egier	|--|--|--|---|---⌫--|--⌫----|
kar feun eflamme nespoetda mager	--|--|-⌫|-----|--|---|--⌫----|
e cilqui atle pesant d	|--|--|-|-|-----||
tantne speüssenauere r neb l e scier	---|--⌫|------|------⌫|-|-⌫-⌫-⌫----|
kene sen tet utsein	-|-|---⌫-|-⌫-|---|
laf illecharl ekimult fait a	-|-⌫---|-----⌫|-|---|---||
leslidonae lenseigni e	--|-|---|||--------⌫|
rollantencun treale issirdunuiuer	------|-----⌫--|-|-⌫----||-|----|
de saparol eleuoltcuntra lïer	-|-|-----⌫|-|---|------⌫----|
si r ef aitil	--⌫-⌫|-⌫--|-|
uenezuu s depesch ier	----|--⌫|-|-----⌫--|
q uidezuus sullespai e ns tuzmangier	-⌫----|--|--|--|---⌫-⌫-|--|------|
uu siaueru n	--⌫||-----⌫|
ass ezarungier.	---⌫-||------||
turnez ariere i auu spoez	-----|-----|-⌫|--⌫|---|
uen gier .	---⌫---||
morts untpaensm aruir entlench asc ier.	---|-⌫--|----|-⌫-|---⌫--||----⌫---⌫--||
guarde surdes tresiatueu e n cumbrier	-----|--|---⌫--|-|-|--|-⌫-⌫-------|
ki senueneit	-||-|-----|
cunsiwant oliuer	--------|-----|
ialiau eitsin auere ́	-|-|--⌫--|-|-⌫-----⌫|
sun de strier	--|--⌫-----|
k edesetparzi uitle sa ncra ie r	-⌫|-|--|---||--|-|--⌫-|--⌫--⌫|
mult lia ueitsucur sgrantmester.	---|-|-⌫---|-----⌫|----|-----||
ot inelbrochefl urisun des trer	--⌫---|-----|--⌫--|--|---⌫---|
brandit sa la nce ueit fe ri rencumbrier	------|-|--⌫--|---|--⌫--⌫|---------|
de suz labuclee n	--⌫--|-|----|-⌫|
faitlescupercer	---||---|-----|
neli ualtmie li clauelsundenier	-|-|---|--|-|------|-|-----|
lenseinie blancheli	|-------|------|-|
fetel corsb a nier	--|-|---|-⌫-⌫---|
tresturne en mi liudu n	--------|-|-|--||-⌫|
estult de l engre s alaferircla uer	-----|-|-⌫-----⌫|--|----|---⌫--|
halbern elpot de	-----|-⌫-|--|-|
m ort aide r	-⌫--|----⌫|
m ort l ab atidelez un	-⌫--||--⌫--|----|-|
genest er .	------⌫-||
muni oieescrien tferez icheualer	----⌫--|-------⌫|----||-------|
eil s i funt qui	|-|-⌫|---|--|
meuzs epota ider.	---|-⌫|--|-⌫---||
la o ut grant	-|-⌫-|----|
bruitasenseingnesbeisser	----|-|---------|------|
duncueïssezfier estur comencer	---|-------|---|----|-------|
t anzh anstes freindretanz	-⌫--|-⌫-----|-------|---|
escuz perc ïer	----|----⌫---|
etanzhalbersrumpreede s maeil er	|---|------|-----||--⌫-⌫-----⌫-|
esarazinsuerseretrebu chier	|-------|-----||-----⌫----|
suzcie l n athummekis	--|---⌫||-|----|--|
pe üst aconter.	--⌫---|------||
engelersen	-------|-|
ueitl esrencs cerchant	---|-⌫-|----|-------|
sah anste afr einteen sunpoin	-|-⌫----||--⌫----|-|--|---|
estsunbrant.	--|--|----||
ueitclariadosquitientnumi lli ant	---|--------|--|----|----⌫---⌫--|
k aiustéa reiner demel an t	||-----||-----|-|---⌫--⌫|
