liuila insdist	-|----⌫--|---|
oladame etga uuains	|-|---|-|--⌫-----|
quatrepecolestoient	-----|----|-------|
t ui tdefin argent soror é	-⌫--⌫|-|--|-----|-----⌫-|
susauoit un	--|----|-|
pai le roé	---⌫-|---|
qu itoz iert	--⌫|--|---|
apierresourez	|------|----|
et aut resrich ecesassez	-|---⌫--|----⌫---|----|
se d escrireles uosuoloi e	-|-⌫------|--|--|-----⌫|
tre stotm ontensisueroie	---⌫---|-⌫-|---||------|
mesdecenest uet	--|-|-||---⌫--|
leuedemandepor lauer	|--|------|--|----|
liuilai ns	-|-----⌫-|
mainte nan tlorbai lle	------⌫---⌫|--|---⌫--|
lesbacins doret la	--|-----||-|-|-|
lorap ortepor e ssui er	--|--⌫---|--|-⌫----⌫-|
at an t asient aumengier	--⌫--⌫|-----|-|------|
ladameet messi regauuain s	-|---|-|--|--⌫-|-------⌫|
linainsle ssert etli	-|----|--⌫|---|-|-|
ui la in s	--⌫--⌫--⌫|
quelaie nznaplusdemesnie	--|----⌫-|||---|-|-----|
mout p arestla dame haitie	---|-⌫-|--|-|---|-----|
etbelechierefa itson	-|---|-----|--⌫-|--|
trestotd elezlicoste	------|-⌫---|-|----|
seoirladamo isele	----|-|----⌫----|
et mengieraune escuele	-|------||--|------|
qui moutlo loee tmout	--|---|-|--|-⌫|---|
des mesnefazautredeuise	--|--|-|--|----|-----|
neplusore ne	-|---|--|-|
uose ncont	--|-⌫|---|
mes mainten ant quemengiéont	--|-------⌫--|--|------|--|
etlat ab le	-|-|-⌫--⌫-|
lorf u osté	--|-⌫|----|
l adamedemandee	-⌫|---|-------|
liuil ainsm aintena ntl ibaille	-|---⌫---|-⌫-------⌫-|-⌫|-----|
gauuainest t art	------|--|-⌫--|
quem o utquideauo ir	--|-⌫-⌫-|----|---⌫-|
lorsaladamed emandé	---||-|---|-⌫------|
lofra incquebienlodoi t	-|---⌫--|--|---|-|---⌫|
ele mon pooir	--|--|----|
et m o imetenuostreseruise	-|-⌫-⌫|--|-|-----|------|
quemo utauezgran tc h osee nprise	--|--⌫-|---|----⌫|-⌫-⌫--|-⌫-----|
pormaser orencesteuoie	--|-|---⌫-|-|----|---|
ie suisasueret el ee stmoie	-|--|-|---|-|--⌫|-⌫-|---|
s iuosendoi	-⌫|--|-|--|
moutanorer	---|-----|
uos p laisoitademorer	--|-⌫------||------|
caienzasaignoruosprendroie	-----||------|--|--------|
et totcest ch as tel	-|--|---|--⌫--⌫--|
uosre ndr oie	--|--⌫---⌫--|
donti eencoretren tehuit	---|||-----|----⌫-|---|
damefeti ln e u osanuit	---|--|-⌫|-⌫|-⌫-|----|
ta rtm est ce uos diparmafoi	--⌫-||--|-|--|-|--|-|--|
queiesoiea lacortlo	--|-|---||-|---|-|
queensi l a imis en couent	--|---||-⌫|--|-|-----|
mesdonezmoide liurement	--|----|--|--⌫--------|
lofraincqueiesuiuenuz querre	-|-----|--|-|--|----|-----|
tropaieste ́e ncesteterre	---|-|----⌫|-⌫|----|----|
orestensiplusnis erai	-|--|---|---|||-⌫---|
etneporquant bongreuos s ai	-|---------|--|--|--|-⌫-|
do bienque uosme pr esentez	-|---|--|--|-|--⌫------|
gauuainsfai tellofrai nc p renez	-------|---⌫|-|-|----⌫-|-⌫----|
uez lo u laaceclodarg ent	--|--⌫|-||-|--||---⌫--|
etilt otmain tenant lo u	-|-|-⌫-|----⌫-----|--⌫|
etmout tresgrantioieen	-|---|---|----|---|-|
etli uilai nslamule	-|-|-----⌫-|-|---|
gauuains met lo fraincetlasele	-------|--|-|-----|-|-|---|
c ongieprentala	-⌫----|----||-|
et ele conmandeau	-|--|-------|-|
mon saig nor	--|----⌫--|
totsanzenc onbrie r fors iss ir	--|---|---⌫------⌫|---|---⌫-|
et louchas telfei stt enir	-|--|----⌫--|---⌫-|-⌫---|
tot qoitantc out refustpass ez	--|--|----|---⌫-|---|----⌫-|
mes sirega uuainsestmontez	--|---|--⌫-----|--|-----|
quide la uoief u	--|-|-|---|-⌫|
liuilai nsconmande auchast el	-|-----⌫-|-------|-|-----⌫-|
q ui l fusttoz coiz etilsesta	-⌫|-⌫|---|--|---|-|-||---|
gau uai ns seur ementpassa	---⌫---⌫-|----⌫----|----|
et quantilaloupont	-|----|-||--|---|
u er s l ou c has telaregardé	-⌫--⌫|-⌫-|-⌫---⌫--||-------|
etsi al ors pa rm iles rues	-|-||-⌫--|--⌫--⌫|--|---|
si gra nzcon pa igni esueu es	-|---⌫-|---⌫--⌫----⌫-|---⌫-|
degentq uilaie nzquerolo ient	-|---|-⌫-|----⌫-|-------⌫---|
etsigranti oi e demenoient	-|-|----|-⌫--⌫|---------|
que sedieus le ustconmandé	--|-|----||-⌫--|--------|
pasplu sioé	--|---⌫|---|
laut resedeport e	|---⌫-|-|------⌫|
encorestoi tdesor la	----|-----⌫|----|-|
l iuilains	-⌫|------|
quilot forsmené	--||-|---|----|
etga uuains	-|--⌫-----|
li ademandé	-||-------|
quieuss ene fiance	-----|-⌫---⌫-----|
deden zu eunauoi t	-----⌫|-⌫-||----⌫|
a lentr er ne	||----⌫-|-|
petitnegrant	----|-|----|
ioi e sigr ant	---⌫|-|--⌫--|
quet rest uitdeioietencoient	--|-⌫----⌫--|-|---|--------|
sirefetilrepost estoient	---|--|-|-----|-------|
escrotes por le s	-|-----|--|--⌫|
desbe stescocises auez	--|--⌫---||-----|---|
quisigranteffroisdemenoi en t	--|-|----|------|-------⌫--⌫|
que quantpar	--|----|--|
auentureissoient	-------|-------|
les genzfors	--|---|---|
poraucuneouraingne	--|-----|--------|
ne remansist	-|--------|
qaquelquepainne	||------|-----|
ne les couenis t	-|--|-------⌫|
ses aloient toz	|-|------|--|
d epeci er	-⌫-----⌫-|
par lororgoil	--|--|-----|
etor die nt en lo rlan gage	-|-|---⌫-|-|--⌫|---⌫---|
dieus lesa par u os	----|--||--|-⌫-|
etdetozbi ensenluminez	-|-|--|--⌫--|--------|
lagentqu ientenebre e sto ient	-|---|--⌫|-|------|-⌫---⌫---|
decequ iluoient	-|-|-|-|-----|
puentgraingnorau oi r	----|--------|--⌫--⌫|
icesachiez tres biende uoir	--|------|---|---|-|---|
mout bienat alente	---|---|--⌫-----|
maintena nt se	--------⌫-|-|
quiuers leuelo moinne	--|---||--|-|-----|
olap lanchedefer es toit	|-|-⌫-----|-|--|--⌫---|
outrepasseseur emen t	----|----|----⌫----⌫|
tant al a apres	---|--⌫|----|
cheua uchant	-----⌫-----|
uenuze n la ualee	----|-⌫|-|----|
quideu e rmi neest aornee	--|-|-⌫-⌫---⌫-|--|-----|
outreestseurementpassez	----|--|--------|-----|
dedenzla fore stest entrez	-----|-|----⌫-|--|-----|
oles beste ssauuagesso nt	|--|-----⌫|-------|--⌫-|
mainte nantqaparc eul	------⌫---||-----⌫-||
contreliuon tsi louc onuoi e nt	-----|-|---⌫|-|--|-⌫-----⌫-⌫-|
lesdeusgenoza te r re p loient	--|---|----||--⌫-⌫-|-⌫-----|
luiap rochiersa essent	--|--⌫------||-⌫-----|
lespiez etle sianbeslibaisent	--|---|-|--⌫|-----|-|------|
la mu leau tresi	-|--⌫-|--⌫----|
gauuainsdel aforestissi	-------|-|-⌫|-----|---|
qui d elale rne	--|-⌫||---⌫|-|
en la prae rie	-|-|----⌫--|
quido c hastel	--|-|-⌫-----|
estoit uoisine	-----|------|
lirois artus etlaroine	-|---|----|-|-|----|
furentalée sbano ier	-----|---|-⌫-----⌫--|
et a uecques	-|-⌫------|
mai ntcheualier	---⌫-|--------|
quidel orconpaigni e sont	--|-|-⌫-|---------⌫|---|
delasale es	-|-|---|-|
lo ges am ont	--⌫--|--⌫--|
et gauua instotadesu eno it	-|-----⌫--|--|---|-⌫---⌫-|
l aroine primeslouoi t	-⌫|----|-----|-|---⌫|
si laascheual i ersmostré	-|||-|------⌫-⌫--|------|
al encontreli	||-------|-|
etcheualier etdamois eles	-|--------|-|------⌫---|
moutfulieedeces	---|-|---|-|--|
ladamoisele quant el o t	-|--------|----|-|-⌫|
siregauuains	---|-------|
celecuies tredoitli frains	---|--|--⌫--|---|-|-----|
uenuzestmes	----|--|--|
sire ga uuains	---|--⌫-----|
etlapucel eua e ncontre	-|-|-----⌫|-|-⌫------|
sirefaitele b o ne ncontre	---|---|--|-⌫-⌫|-⌫------|
u os doint dieuse tto tlo d edui t	-⌫-|----|----|-⌫|--⌫|-|-⌫----⌫|
quon puetauoiret i oret	-|-|---|----|-|-⌫-|-|
etuosaie zbone au enture	-|--|---⌫|---|--⌫-----|
faitcilquides centdela mure	---|--|--|---⌫---|-|-|---|
aterreparle strierdar gen t	|----|--||-⌫-----||--⌫---⌫|
ensesbrazlo pr ent	-|--|---|-|--⌫--|
sil ou baise plu s d e centf oiz	-|-⌫-|----|---⌫|-⌫|---|-⌫--|
sir efait eleil est bien droiz	---⌫|---|--|-|--|---|----|
quei emetetotade uise	--|-⌫|---|--||--⌫---|
l omie ncorsenuostreserui se	-⌫|---⌫|---|-|-----|-----⌫-|
que bien saiqueianeleusse	--|---|--|--|-|-||----|
homequ eie	---|--⌫|-|
d e denz lochastel enu oi er	-⌫-⌫---|-|------|---⌫--⌫-|
carmor tens ontmaintc heual ier	--|---⌫|-|-⌫--|----|-⌫-----⌫--|
quiles test es coupee sont	--|--|----⌫-|------⌫|--|
quidel auoir	--|-||----|
nu lpooir nont	--⌫|----||--|
l o r s liagauuainsreco ntees	-⌫-⌫-⌫|-||-------|----⌫----|
l esauentures	-⌫-|--------|
quot trou ees	-|-|----⌫--|
de lagrantualeeetdo	-|-|----|----|-|-|
etdela fontainne aespois	-|-|-|--------||-----|
etdel euequinoire estoit	-|-||--|--|----|-----|
et doch aste lqui t o rnoioit	-|-|--⌫----⌫|--|-⌫-⌫------|
etdes lionsqueilocist	-|--|----|--|-|----|
et do ch eualie rquilconqui st	-|-|--⌫------⌫|-|-|------⌫-|
et deluilain	-|--|-----|
locouenent	-|-------|
batailledosar pen t	-------|-|---⌫---⌫|
etdelna in quil os alua	-|--|--⌫-|--|-⌫|-⌫---|
etplusdiren e lidaigna	-|---|---|-⌫|-|-----|
etc omen tapresli re ui nt	-|-⌫----⌫|----|-|--⌫--⌫-|
etconmentme ng ierlo couin t	-|------|--⌫--⌫--|-|-----⌫|
enlach anbreala damoi s ele	-|-|--⌫----||-|-----⌫-⌫--|
quisuerestoit al a pucel e	--|---|-----||-⌫|-----⌫|
etc oment l if ra insfur enduz	-|-⌫----|-⌫|-⌫--⌫--|-|-⌫----|
etquan td o	-|----⌫|-⌫|
c hastelfuissuz	-⌫-----|-|----|
conment il iauoi tueue s	------|-||----⌫|----⌫|
le squerolespa rmiles rue s	--⌫|-------|--⌫--|--|---⌫|
et co nmentissuzsenestoit	-|--⌫----|----||-|-----|
sanzenconbrieret sanzdestroit	---|---------|-|---|-------|
quant gauuainsace	----|-------||-|
racont e ́	------⌫-⌫|
et la pucele a de mandé	-|-|-----||--⌫-----|
congie asbaronsdela cor t	-----|-|-----|-|-|---⌫|
laroineguenie ure icort	-|----|------⌫--||---|
etli roiset	-|-|---|-|
liche ualier	-|---⌫-----|
isont aléporliproier	|---|---|--|-|-----|
quauecaus laienz demor ast	-|---|--|-----|-----⌫--|
et des ch eualiers unamast	-|--|--⌫-------|-|----|
dela tablereonde	-|-|----|-----|
sireda medieus	---|--⌫------|
meco nfonde	-|--⌫-----|
fet el esei onquesosasse	--|--⌫|-||-----|-----|
s euo lentiersne	-⌫|--⌫-------|-|
demo rasse	----⌫----|
mes iene puispornulepainne	--|-|-|---|--|---|-----|
s amu lede mandeonli	-⌫|--⌫-|--⌫----|-|-|
sie stmont ee	-|-⌫-|----⌫-|
parlestrier	--||------|
etli roisla uet c onuoier	-|-|---|-|--|-⌫------|
me seledit que	--⌫|--|--|--|
nulco nd uit	--|--⌫--⌫--|
neuia ltauoir ne	-|---⌫-|----|-|
auquesta rt	-----|--⌫-|
co ngieprent	--⌫---|----|
etsisendepart	-|-||-|-----|
r em istenlanble ure	-⌫--⌫--|-||-----⌫--|
dela damoise le	-|-|-------⌫-|
quisen estt o te seulealee	--||-|--|-⌫-⌫-|----|---|
e stci l au en turefinee	-⌫-|-||--⌫--⌫---|----|
