quiweultoirsarm on	--|----|--|----⌫-|
pere le rendr oit	---|-|-----⌫--|
pastorsontlelyonueu	------|--|-|---|--|
qui o ch ienssontdeuantuenu	--||--⌫---|---|-----|---|
pargrantforc e e tpargrantue rtu	--|----|----⌫|-⌫|--|----|--⌫--|
liontlenffanttout saimtolu	-|--||------|---|---|---|
l e n f antquelelouemportout	|-⌫-⌫-⌫--|--|-|--|-|------|
regardadexsicom lui p lout	------|--|-|--|--|-⌫---|
kerhommes qui uncham paroient	--|-----|--|-|----⌫|------|
e tlorsemenche	-⌫|--|-------|
illocgeto ient	----|----⌫---|
leleuuoie ntquil tient	-|--|----⌫-|-|-|----|
sill isontuenu	--|-⌫|---|---|
ta ntl ontsui	--⌫-||--|--|
eten chauchié	-|--⌫--------|
leua l enfant	--|||-----|
tout sain et	---|---|-|
saufl ont deliuré	---||--|-------|
le non toeu zmené	|-⌫|--⌫||--⌫|----|
lespastorsetceus quilaroie nt	--|------|-|---|---|-----⌫-|
enunme esmes	-|-|--⌫----|
borcman oient	---|---⌫----|
lesenfansoeuze nmenerent	--|-----||--|-⌫|-------|
etle s norrirent et	-|--⌫|--------|-|
tantquele mendredes enfanz	------|-|-----|--|-----|
auoit daage bi enqu inze anz	----||---|--⌫-|--⌫---|--|
eustaceri ennensau oi t	------|--⌫-||-|---⌫--⌫|
sigrant dolo re s to it	-|----|----⌫|-⌫-⌫--⌫-|
en gr ei gnor	-|--⌫--⌫---|
que nesaip enser	--|-|--|-⌫----|
neq uen e u ospuisraco nter	-|-⌫-|-⌫|-⌫-|---|----⌫---|
tou tsoulparlecheminal ot	---⌫|---|--|-|-----|--⌫-|
s o uuen t ses	-⌫-⌫----⌫|--|
deuz f ixr egret ot	---|-⌫-|-⌫-----⌫-|
deld ue lquilasouuent	--|-⌫--⌫|-|-||------|
et commencheissiad ir e	-|--------|---||-⌫--⌫|
ha laset o u	-|--|-|-⌫|
e stlar iche sc e	-⌫-|-|-⌫----⌫--⌫|
ladig n i teetlap ro eesce	-|---⌫-⌫-⌫-|-|-|-⌫--⌫----|
au oirenmacontr ee	--⌫--|-|-|-----⌫-|
empoide tensest	-|--|-|---|--|
trespassee	---------|
sic onmearbre cha rgié defoille	-|-⌫---|----|---⌫----|-|-----|
quielte ns	--|-|--⌫-|
despoi lle	------⌫--|
ensement sui ie desp o illié	-------|--|-|----⌫-⌫-----|
detres to zbiens par monpechie	-|----⌫--⌫|----|--|--|-----|
las ie s uilestresenecal	--|-|-⌫--|----|------|
etpremierelpalaisr o ial	-|------|-|-----|-⌫-⌫--|
t ouzseruoientames	-⌫--|--------||--|
cheualiersbo rgoiset	---------|--⌫----|-|
ors ui enne strang e pais	-|-⌫-|--|-⌫------⌫|---|
essilliezpouresetm endis	--------|-----|-|-⌫----|
lasiesuilestre enmes	--|-|---|----|-|--|
auironnezde tanz	--------|-|---|
detant grande cheualer ie	-|---|-----|--------⌫-|
quiie r t toute sozmamestri e	--|--⌫-⌫|----|--|-|------⌫|
or esten autre point mué	-|--|-|----|----|---|
keriesuiorauir onné	--|-|--|-|----⌫----|
demont cruezb est es sauu ages	-|---|----|-⌫---⌫-|----⌫---|
q uihabitent encesboscages	-⌫-|-------|-|--|-------|
qui montt o leitm es	--||--|-⌫-⌫---|-⌫-|
deuz enfanz	---|-----|
etdeuo re z meseulz	-|----⌫--⌫|--|---|
ahifixten drescriatu res	--|--|---⌫---|------⌫--|
aspreadesmesure s	----||---------⌫|
ices t euostresepultu re	----⌫-⌫|-----|-------⌫-|
et susautre scruelet d u re	-|--|-----⌫|----|-|-⌫-⌫-|
keruosmembres sontdepechiez	--|--|------|---|--------|
ten dres osesquachiez	---⌫---|-|---------|
dexenla finnem eguerpir	--|-|-|--|-|-⌫|------|
mesdonn emei	--|----⌫|--|
c uerq uesoff rir	-⌫--|-⌫-|----⌫--|
p uis se la	-⌫---⌫-|-|
doloretla p ainne	----|-|-|-⌫----|
epartoutelasemain ne	|--|----|-|------⌫-|
dexic eslermes	--|--⌫-|-----|
n e des pire	-⌫|---⌫---|
qui demeseulzmon cueratire	--|-|--|---|--|---|----|
messecor moipa rtadouc hor	--|----|--|--⌫|-|----⌫--|
et donnefim	-|----|--|
uer sdieuienaimieoublié	---⌫|---|-||-|--|------|
ke medei stes quetenté	-|-|---⌫---|--|-----|
s eroietrest otau tre si	-⌫----|-----⌫-|--⌫---⌫-|
comme fu iobliuostre ami	----|-|--|-|-----|--|
uersdieu ielaibi ene sproué	---|---|-||-|--⌫-|-⌫------|
est uisplussuipené	--|--|---|--|----|
ker sei l perdi to utsonor	--|-|-⌫|----|--⌫-|--|-|
toutson argentetson tresor	---|--|-----|-|--|-----|
a utremanantie	-⌫---|-------|
keil auoitensab a i llie	-|-|----|-|-|-⌫-⌫-⌫---|
neporquanti lsepout couchi er	---------|-⌫|-|---|------⌫-|
desusunpetit	----|-|----|
d epaillier	-⌫|-------|
mesienaielne	--|-||-|-|-|
l esdrasqueia io moi	-⌫-|---|--||-⌫||--|
e tseilperdi se sserianz	-⌫|-|-|----|--⌫|------|
fillesetfixpe titet	-----|-|--|--⌫--|-|
seu eaxsafameo	---⌫--|-|---||
quille gardoi tetleseruoit	---|-|------⌫|-|-|------|
amisquiluisiterent	---|--||---------|
et ensonmalle	-|-|--|--|-|
conforterent	-----------|
mesie naiam i neparent	--|-||-|--⌫|-|-----|
femmenenfa nznea utrege nt	----||----⌫-|-|-⌫---|--⌫-|
quime soientconforto iors	--|-|-----|--------⌫---|
nequi malegent me s	-|--||------|--⌫|
demes parolesned ampner	-|--|------|-|-⌫-----|
estde t ropparler	--|-|-⌫--|-----|
biennendoutn oient	---||-|---|-⌫----|
keneparoi lpassain tement	-|-|-----⌫|--|----⌫-----|
kerla tristorqui	--|-|------|--|
quimoncuer troble etmon	--|--|---|-----|-|--|
raiso n tout edes uoie	-----⌫|----⌫|---⌫---|
me fait dire que ne deur oie	-|---|---|--|-|----⌫--|
dex g arde	--|-⌫---|
m et bon eamabouche	-⌫-|---⌫||-|-----|
grace moncuert ou che	----|--|---|-⌫--⌫--|
k e ilnesoitmesenclin n é	-⌫|-|-|---|--|------⌫-⌫-|
as par olesde uanite	-|---⌫---|-|-----|
desoremessoiezussier	--------|----|-----|
de mesparoles	-|--|------|
icen di s oit to utem	---|--⌫-⌫--|--⌫-|-|
en telmani erecomplaigna nt	-|--|----⌫--|----------⌫-|
enunborcd ont ostelle ́	-|-|---|-⌫--|-------⌫|
quid ida susestapelé	--|-⌫---⌫--|--|-----|
illuec seiorna iors plusors	-----|------|---|------|
et i uiu oitde ses lab ors	-||---⌫--|-|--|---⌫--|
emp re sashommesa requis	---⌫--⌫|-|-----||-----|
quielb orc	--|-|-⌫--|
ieren test a is	-----⌫|---⌫-⌫-|
tantquilfu g a rd eparquinzeanz	-----|-|-|-⌫-⌫--⌫|--|-----|--|
d elorcortis etdelors chanz	-⌫|--|-----|-|-|---|----|
del loierquil endese ruo it	--|----|-|-|-|----⌫---⌫-|
assez pourement en uiuo it	----|--------|-|----⌫-|
enl autreborcse sfix	-||----|---|--⌫|--|
hon me snorrissoien t	---⌫--⌫|-----------⌫|
quil lestollirentas farrains	---|--|--------|-|-------|
siconuo s dis	-|--|--⌫|--|
entiers etsain s	------|-|----⌫|
mesilnesauoi ent	--|-|-|-----⌫--|
fuss e ntsi presp aren t	----⌫-⌫-|-|---|-⌫----⌫|
neq uei lfu s sen td une mere	-|-⌫-|-⌫|--⌫-⌫---⌫||--|---|
ne quemgendréfusse ntd	-|-|--------|-----⌫-||
sa f amecenu os aiiadit	-|-⌫--|--|-⌫-|-|-|--|
li notonnierenla merprist	-|--------|-|-|--|----|
etlenmenae nsom pai s	-||-|---|-⌫|--|---⌫|
mes damledieuliue irs lipis	--|--------|-|--⌫--|-|--|
issibiende	---|---|-|
l ui lagarda	-⌫-|-|----|
com q uessonco rsne	|--⌫-⌫--|--|--⌫-|-|
kerilfu m or s et	--|-|-|-⌫--⌫|-|
enre mestsidieumerchiquite	-|--⌫---|-|---|-----|----|
kerele au o it adieu prié	--|--|--⌫-⌫-||---|----|
qu ille ngar dast	-|-||-⌫|---⌫---|
parsapitie	--|-|----|
en laterrefupar quinzeanz	-|-|----|-|--|-----|--|
onc neuit seignorne enfanz	--|-|--|------|-|-----|
neo mquespa rl er	-|-⌫----|--⌫--⌫-|
netantnequantne eulz	-|---|-|----|-|---|
puisa uint	---|-⌫---|
laco ntree	-|--⌫----|
outheosp ite enfumenee	-|------⌫--|-|-|----|
ke li c heualiercombatant	-|-|-⌫-------|--------|
etliarchier et li	-|-|------|-|-|
sas e mblere ntpor	|--⌫-⌫------⌫-|--|
les ronmains e tpor	--|-------|-⌫|--|
puisso nt en tréograntuigor	---|--⌫-|--⌫---||----|----|
enla terrelempere or	-|-|----||------⌫-|
prennentchasteaxborsetch itez	-------|-------|---|-|--⌫---|
et maintesaut resfermetez	-|------|---⌫--|-------|
assez gas ter entdel p ais	----|---⌫---⌫--|--|-⌫--|
et enm einnerent maintchaitis	-|-|-⌫--------|----|------|
lempererequantil le	|-------|----|-|-|
saueir poiez	-----|----|
pasnelipl ot	--|-|-|--⌫-|
k e il sontentréensat erre	-⌫|-|---|-----|-|-|-⌫---|
et qu enuers	-|-|-----|
li ont meuguerre	-|--|--|-----|
porlegrantbesoi gqueil	--|-|----|-----⌫|--|-|
deson senesch allimem bra	-|--|-------⌫-|-|---⌫--|
quil lis oulle itsesozmener	---|-|-⌫-----⌫-|--|-|----|
ter resibieng arder	---⌫-|-|---|-⌫----|
ken i entrastnequens nerois	-|||------|-|----|-|---|
qu ilq ueilf u s tdesussonpois	--⌫-|-⌫-|-|-⌫-⌫-⌫|----|--|---|
pu isasesbarons touzmandez	--⌫-||--|-----|---|-----|
ilfurentassemblez	-|-----|--------|
seignorsdist illibarbarim	-------|---|-|-|-------|
etlipoupleoutremarin	-|-|-----|---------|
ontparmerue illou se es tou tie	--|--|-----⌫-----⌫-|--⌫---⌫--|
cestenos treterre enuai e	----|---⌫--|----|-----⌫|
mesdune riens nosuait mont	--||--|----|--|---|---|
keper du estlesenesca l	-|---⌫-|--|-|-------⌫|
placidus quitantsagement	-------|--|---|-------|
nos che u a liers etnostregen t	--|---⌫-⌫-⌫----|-|-----|---⌫|
es granz b ataille s c o nduioit	-|----|-⌫-------⌫|-⌫-⌫------|
ka uisomquesnuleemperd oit	|-⌫--------|---|-|----⌫--|
porcenuoil atouz	--|--|---||---|
s ena uri ez oiparler	|-|-⌫---⌫-|-|-----|
o uil estne emqu elpais	-⌫|-|--|-|-|--⌫-|---|
mortousilestuis	---|-||-|--|--|
auoitch eualier	----|--⌫------|
qu iluoil le	-|-|----⌫-|
querr en ece rchier	-----⌫|-⌫|--⌫-----|
montl icrestroiee sontresor	---|-⌫|---------|--|-----|
demonargen tet	-|--|-----⌫|-|
etsonfi el i	-|--|--⌫|-⌫|
eslarg iroi e	------⌫----⌫|
et sa d ignet ehaucheroiee	-|-|-⌫-----⌫|----------|
enso ntleu ezempiez	-|--⌫-|---⌫-|-|---|
duiche uali erbienenraisniez	--|---⌫----⌫-|---|---------|
quiierentplacido	--|-----|------|
etlauoi ent	-||----⌫--|
lonctensserui	---|---|----|
enno tnona chatius	--|-⌫|--|-⌫------|
etli a utre s antiochus	-|-|-⌫----⌫|--------|
siref ontilnosi iron	---|-⌫--|-|--||---|
uos ple st querre pla cidu m	--|---⌫-|-----|---⌫----⌫|
sachiez selepoon trouuer	------|-|-|---|------|
presno sprendr ondelamen er	---|--⌫|------⌫-|-||----⌫-|
atant ontpriscil du i	----|--|---|--|--⌫|
et desrer sont apareillié	-||----|---|----------|
p uis cher chen t to ute lombardie	-⌫--|----⌫----⌫|--⌫--|--------|
p uille cala bree tpuishomgriee	-⌫----|----⌫--|-⌫|---|-------|
toutelate rreq uiapent	----|-|--⌫--|-⌫-|----|
aromm e e t	|----⌫|-⌫|
asontenement	|--|-------|
tanto ntcerchié borset chasiax	---|-⌫-|-------|---|-|------|
w illes chi tezrichesca s teax	-⌫----|---⌫--|-----|--⌫-⌫---|
ke lauindr entsi con d explot	-|-|-----⌫--|-|--|-⌫-|---|
ouseint eusta ceconuersoit	-|----|-----⌫-|---------|
kantsei nt e ustace aper chut	---|---⌫-|-⌫-----|----⌫---|
iletlesque nut	-|-|--|---⌫--|
aa la l er alorco ntenanche	-||-⌫-⌫-||--|--⌫--------|
ke ilconoissoitdes esfanche	-|-|---------|--|-------|
u int toutenmemoire	-⌫--|---|-|------|
ladigneteetla	-|------|-|-|
grantgloire	----|-----|
del p ris etde la	--|-⌫--|-|-|-|
re non mee	--⌫---⌫--|
q uilseut auoir	-⌫|-|---|----|
e nsaco ntree	-⌫|-|--⌫----|
montparenfu	---|--|-|-|
form entpené	----⌫--|----|
ensoncorageet tormenté	-|--|-----|-|--------|
etne porquan to gra ntfiance	-|--⌫-------⌫||---⌫-|-----|
reclainmedieu sanzdemora n che	--------|---|---|------⌫-⌫--|
et dituersdiexpartaue rtu	-|--|---|---|--|-|--⌫--|
tumas consentu	-||-|-------|
auoo ir ces deuz cheu aliers	|---⌫-|--|---|----⌫-----|
keiafurent mess oudoiers	-|-|-----|--|-⌫-------|
toutensement parta puissanc he	---|-------|--|-|--------⌫-|
aimissemes pe rance	-|----||--⌫--⌫----|
mo troieauooirainzmamort	|-⌫----||----|---|-|---|
t anceleque p e rdiauport	|-----|--|-⌫-⌫--|-|---|
kedemesfixne d out	-|-|--|--|-|-⌫--|
keilnaie ntp e r du la	-|-||---⌫-|-⌫-⌫-⌫-|-|
queruoiantmoi lesemporterent	---|-----|--|--|-|--------|
cr ueusbestes	--⌫---|-----|
quesdeuorerent	-|-|---------|
p uisqueil sontpar m ompechie	-⌫-----|-|---|--|-⌫-|-----|
decruesbestesd epec hié	-|----|-----|-⌫----⌫---|
seue ax siretant m econs ent	----⌫-|---|---|-⌫|----⌫--|
qu esuo ieau iordel iugemen t	-|-|--⌫-|-|--|--|-------⌫|
de mai ntenante schielz oi	-|---⌫------|-⌫|-----|-|
une uoiz qu imon t	--|---|--⌫|---⌫|
q uil d ist f re r ene	-⌫--|-⌫--|-⌫--⌫-⌫|-|
t esm aier	|---⌫---|
ka br ies te rmesdoizrepairier	||--⌫--|--⌫---|---|--------|
a tompremeraimestement	|--|--------|-------|
et conue rser	-|-----⌫---|
agra ntr iche ss ereuendras	|---⌫-|-⌫----⌫--⌫|--------|
tafame ettes fix tr ouue ras	-|---|-|--|--|--⌫----⌫--|
eten la resurrec tion	-|-|-|--------⌫---|
a urasmont gre ignorgue rre don	-⌫---|---|---⌫----|---⌫---⌫--|
etmon tgreignors choses uesras	-|---⌫|--------|-----|-----|
kantensem ble odieuregneras	---|-----⌫--||---|-------|
et letuen non	-|-|---|--|
sigrantsera	-|----|---|
ke to usiors mes sanfin	-|--⌫-|---|--|--|--|
eustace quantcenoi	------|----|--|-|
t el peorot	-⌫-|---|-|
q ue t outfremi	-⌫-|-⌫--|----|
grant peine hom me morta l	----|----|---⌫-|-----⌫|
puetoi ruoiz esperital	---|--⌫|---|--------|
licheualier toutma intenant	-|--------|---|--⌫-------|
windren tparle ce minenrant	-------⌫|--|-|--⌫--|-----|
kantseinteustace o ntencontr é	---|----|------|-⌫-|-------⌫-|
c ortoisseme ntl ont	-⌫----------⌫-||--|
etil montaff e tiement	-|-|---|---⌫-⌫------|
l orsalumaintenant	-⌫-|---|---------|
ditesnosfontilb eax	----|--|---|-|-⌫--|
sesaur iez sencestpais	-|----⌫--||-|---|---|
eustunh om mec onuersé	---|-|-⌫--⌫-|-⌫-------|
quile ustacefusta pelé	---|-⌫-----|---|-⌫----|
qui auoitfem meetdeuz enfanz	--|----|---⌫-|-|---|-----|
co ncornestoient	|-⌫---||-------|
gairegranz	----|----|
selenospo ieez ense ignier	-|-|--|--⌫---|----⌫-----|
nosuos dorron	--|--|-----|
montbonloier	---|--|----|
tuiz sa nz	---|--⌫-|
ter medenosdeniers	---⌫-|-|--|------|
uos dorronnosmontuolentier s	--|-----|--|---|---------⌫|
seignorsfaitilq ue liwolez	-------|---|-|-⌫-|-|----|
por quel acha isonle	--|---|----⌫---|-|
si r ef ont il quer n osl a mon	--⌫-⌫|-⌫--|-|---|-⌫-||-⌫--|
etuo lontierslewesrion	-|--⌫-------|-|------|
kerlonctens a qu elnelueismes	--|---|---||--⌫-|-||------|
neque delui parl ern oismes	-|--|-|--|----⌫-||-----|
s e ig norsfait i lnel	-⌫-⌫--⌫---|---|-⌫|-||
ker nesuip asdelonguemen t	--|-|--|-⌫-|-|---------⌫|
enicestet erreestais	-|-----|-⌫---|-----|
anch eisiuin sd autrepais	----⌫--||---⌫||----|---|
par gra nta mor	--|---⌫-|-⌫--|
keun p etitporla c halor	-|-|-⌫---|--|-|-⌫----|
uosuengiezum p oireposer	--|------|-|-⌫-|------|
kertr aue illiezestesdesrer	--|--⌫---⌫-----|----||----|
li on ttout c onsentu	-|--⌫|---|-⌫------|
asonoste l sont descend u	|--|----⌫|---|-------⌫|
eustace les cheuax pr ist	------|--|-----|--⌫--|
e td euse stabler	-⌫||--|-⌫------|
se ntremist	|-⌫-------|
puiss enestt ostel	---||-|--|-⌫--|-|
sillor a delu im aporté	--|--||--|-⌫-|------|
ontuolentiersbeu	--|---------|--|
quau o ientcaut	-|--⌫-⌫---|---|
il meism esleloruersoit	-|-----⌫-|-|--|------|
quermo ntuol entiersles seruoi t	---|--⌫-|---⌫------|--|------⌫|
puis uintalo ste	---|---|||-⌫--|
silliadit p ri ue em ent	--|-||--|-⌫--⌫--⌫--⌫--|
sire celerpas ne	---|----|--|-|
m iam isontcistcheualier	-⌫|--⌫|---|---|--------|
sil uoilquemefaciezcrean che	--|---|--|-|-----|-----⌫--|
et ielare ndrai sanzdoutanche	-|-|-|--⌫----|---|--------|
keries uoil fai reomoi	--||-|---|---⌫-||--|
sem puis enuos conseiltrouuer	|-|---|-|--|------|------|
l i oste s res pontf ranchement	-⌫|----⌫|---⌫---|-⌫---------|
sirefait il mo nt bonement	---|---|-|--⌫-|-------|
anospoie rsuossecoro n	|--|----⌫-|--|------⌫|
decenquaen ceste me son	-|--|-||-|----|--⌫--|
etseplusuos estoitmestier	-|-|---|--|-----|------|
ir onlafors porcachier	--⌫-|-|---|---------|
kantfuc orree ́le	---|-|-⌫-----⌫|-|
sillauerentlicheu alier	--|-------|-|----⌫----|
eustacem ontbell es sert	------|-⌫--|--|-⌫-|---|
kerdenfanche	--||-------|
biendui seniert	---|---⌫|-|---|
latablesontassis	-|----|---|----|
lesmes lorac il	--|--|--||-⌫-|
d euantm i s	-⌫----|-⌫-⌫|
e us t aceierten g ran t tris tor	-⌫--⌫-⌫--|---|-|-⌫---⌫|----⌫--|
touziors rafressistsadolor	---|---|---------|-|----|
k antlesc heualiersregardo ut	-⌫--|--|-⌫--------|-------⌫-|
toutes sespeinne sreco rdout	-----|--|------⌫|----⌫----|
adon tne sepo ut p lustenir	----⌫|-|-|--⌫-|-⌫--|----|
g rantsospi r	-⌫---|-----⌫|
d elamesonist	-⌫|-|----|--|
porp lorer	--|-⌫----|
kant ilnepot plusendu rer	---|-|-|--|---|----⌫--|
kant ot m ontlon guementploré	---|-|-⌫--|---⌫------|-----|
seseulzetsonuisalaué	--|---|-|--|--||----|
donttot empes sanzfai r e ch ier e	---|--|-|--|---|---⌫-⌫|--⌫---⌫|
asc heu a li ers reuie ntariere	-|-⌫---⌫-⌫--⌫--|-----⌫-|-----|
esgarderent ui s saume nt	----------|--⌫-⌫-----⌫-|
liche u alie rpre mierement	-|---⌫-⌫----⌫|---⌫--------|
sillor u int bien	--|--|-⌫--|---|
e nrem em branche	-⌫|---⌫--⌫------|
deluitout e	-|--|----⌫|
la connoissanche	-|------------|
alautreil m	||----|-||
kecesthonmesemb le	-|---|----|----⌫-|
etdetresto ute lafachon	-|-|------⌫--|-|-----|
auseneschal quenosquerron	-|--------|--|--|------|
lautrerespontuos	|----|------|--|
di tesuoir	--⌫--|---|
etsill epor ronbien sauoir	-|--|-⌫|---⌫--|---|-----|
au signedont ilm amembré	-|----|---|-|||------|
cieffu umpoinauré	---|-|-|--|-----|
pa rladef autedune mail le	--⌫|-|---⌫---||--|----⌫-|
ka ntoles persanzp rist bataill e	--⌫-||--|------|-⌫---|-------⌫|
plaieipoiontrouuer	----||----|------|
iap uisn en de uonrien s do ut er	-|-⌫--||-|--⌫--|----⌫|--⌫--⌫-|
don ts e sontde	---⌫|-⌫|---|-|
luiaprom ié	--|-----⌫--|
etonticelsigneente rchie ́	-|--|---|----|----⌫-----⌫|
ta ntq ueu r aiementle troue rent	--⌫---⌫-|-⌫-⌫------|-|-----⌫---|
dontorent io iesusleuerent	---|----|--⌫-|--|-------|
silcommenchentaaembra chier	-||----------|-|-----⌫----|
et montdouc emen tabais si er	-|---|----⌫----⌫||----⌫--⌫-|
kedeio iequedepitie	-|-|--⌫-|--|-|----|
desler mes	--|---⌫--|
dras moillié	---|-------|
si re font ilporamo rde	--⌫-|---|-|--|---⌫|-|
porquoiuos estez tantcelé	--|---|--|----|---|----|
b iensauonsquestes	-⌫--|-----|-|----|
qui s olloi testre mestre etdus	--|-⌫-----⌫|----|-----|-|--|
detouzlesrommainscheualiers	-|---|--|-------|---------|
e t n osfusme s uossoudoiers	-⌫|-⌫-|-----⌫|--|--------|
et quisolezdo nne rcheuaux	-|--|----|--⌫---⌫|------|
armez robesricesmanteax	----|----|----|------|
traue illie ́ so mmes	-----⌫-----⌫|--⌫---|
d euo sque rre	-⌫|--⌫|---⌫--|
c herchi é en auon	-⌫------⌫-|-|---|
mainteterre	-----|----|
etil lor respont	-|-|--|------|
emplo ran t	-|---⌫---⌫|
et dist seignorpordeule grant	-|---|------|--|--|-|----|
n esuipas cilque	-⌫|--|--|--|--|
u osquer ez	-⌫-|----⌫-|
merueille es tque nemecreez	--------|--⌫|--|-|-|----|
adontlisontch aait	----|-|---|--⌫---|
et plu sorsfoiz les ont baissiez	-|---⌫---|---|--|--|-------|
siref ont il por	---|-⌫--|-|--|
di eu merchi	--⌫-|-----|
iame s nenos mouurondechi	----⌫|-|--|------|-|--|
sin e nosditesuer ite	-|-⌫|--|----|---⌫--|
tropuose steezpornos chelé	---|--|-⌫----|--|--|-----|
ou sontuosfixet	-|---|--|--|-|
uost re fame	----⌫-|---|
qu isoloit estreno stredame	--⌫|-----|----|--⌫---|---|
ou sontetque	-|---|-|--|
sont deuenu	---|-----|
kantnes auon	---||-|---|
eu st acelesfa it leuer	--⌫--⌫--|--|--⌫-|----|
kantuoitquenes enpuet celer	---|---|--|-||-|---|----|
et ens ospir antlor respont	-|-|-⌫-----⌫--|--|------|
etl oraditseignors	-|-⌫-||--|-------|
aqu eilsont	|--⌫|-|---|
iapareulzn	-|--|---||
au rai mes confort	--⌫--|--|------|
pa rtensserontpasséq uinze anz	--⌫|---|-----|-----|-⌫----|--|
oif ameneesf anz	-|-⌫--|-|---⌫--|
encesteterrea i conuersé	-|----|----|-⌫|--------|
soupr isetpoure et e sga ré	-----⌫-|-|----|-|-⌫---⌫--|
kantlesch eualiersont	---|--|--⌫-------|--|
m aniereilsont peri	-⌫-----|-|---|---|
escuers en nont montgrantt endror	-|----|--⌫|--|---|----|-⌫-----|
dontrenou eletout	---|-----⌫--|---|
et plorenttuit communement	-|------|---|----------|
e teulz ettoutel autre gent	-⌫|---|-|----||----|---|
maiso nh abi toient	-----⌫|-⌫---⌫-----|
paroleses coutoient	------|--⌫--------|
a l a noise	|-⌫|----|
qu il demeno ient	-|-|------⌫---|
tui tli ueissimq u ipre smanoient	---⌫|-|------|-⌫-⌫|---⌫|-------|
isontue n upo ren ter chier	|---|--⌫-⌫|--⌫|--⌫---⌫----|
kedis soientlicheual ier	-|---⌫-----|-|------⌫--|
etillo ro nttoutrac onté	-|-|--⌫|-⌫-|---|---⌫----|
laric hesceetladignete	-|---⌫----|-|-|------|
ke soloitau oirse in teustace	-|-----|--⌫--|--⌫--⌫|------|
il iertde grantlignag e	-|---|-|----|------⌫|
neniuientnus	|-||----|--|
delap itie ainzqu il s entort	-|-|-⌫---|-----|-||-|---|
ha faitca scunq ueln e ls auo ie	-|---|--⌫---|-⌫--|-⌫||-⌫---⌫-|
ka nt le seruisere cheuoie	--⌫-|-|------|--⌫------|
si grantdignite	-|----|------|
hatan tparen suie ngign é	-|---⌫|--|-|--|-⌫-----⌫-|
mielz lideu sonobeir	----|-|---⌫--|----|
keilanoset meulz se ruir	-|-||--|-|----|--⌫---|
apresqu i lsenfu rent issu	------|-⌫||-|--⌫---|---|
c ilquildelborc	-⌫-|---|--|---|
f urent u enu	-⌫----|-⌫--|
li cheualierliontmonstre ́	-|--------|-|--|-------⌫|
ic enquelorf ucommandé	--⌫-|--|--|-⌫|--------|
sire font illi empere re	---|---|-|-|------⌫-|
e ttuitlibarondele mpere	-⌫|---|-|----|-||-⌫----|
uosmandentet die ntpar	--|------|-|---⌫-|--|
kede uosso ntmon tbesoignos	-|-|--|--⌫-|---⌫|--------|
p o r cenuosprien t paramor	-⌫-⌫|--|--|-----⌫|--|---|
quenefachiezchilonc	--|-|------|--|---|
ensembleo no suos enuenez	-------||--⌫|--|-|----|
etaubesoig	-|-|-----|
lessec orrez	--|---⌫----|
a montgran t p eine le lorgree	|---|----⌫|-⌫---|-|--|---|
ke i l aut me s	-|-⌫|--|--⌫|
ensacontree	-|-|------|
etneporqua nt tantlo n tproi e e	-|--------⌫-|---||-⌫-⌫|----⌫-⌫|
keillora tout	-|-|--||---|
tantost sesdras	------|--|---|
t ozli osteren t	-⌫-|-|-------⌫|
plusriches li do n nerent	---|-----|-|--⌫-⌫-----|
riensne li fau td	----|-|-|---⌫||
a ornement	-⌫-------|
q u ine soi tuestu richeme nt	-⌫||-|---⌫|----|-------⌫-|
puislio nt qu isum boncheual	---|-|-⌫-|--⌫-|-|--|-----|
he rn oisto u t parigal	--⌫--⌫--|--⌫-⌫|------|
kan t touts on hernois ore nt qu is	---⌫|---|-⌫-|------|---⌫-|--⌫-|
el chem in o	-|----⌫-||
luisesontmi s	--|-|---|--⌫|
tou z ceuzqu i	---⌫|---|--⌫|
uilleestoient	----|-------|
longuement plorantlesconuoient	---------|------|--|--------|
kantlore ntassezc onuoie e	---||---⌫-|----|-⌫------⌫|
touz u n etun	---|-⌫|-|-|
le sabessié	--⌫||------|
cas cumapriscongie	---⌫--||---|-----|
dontsontariererepairi é	---|---|-----|-------⌫-|
kantpa reuzfurentel	---|--⌫|--|-----|-|
tout lorconteius q u en lafin	---|--|----|---⌫-⌫|-|-|--|
comment ihesusliapar ut	------|-----|-|----⌫-|
et puis comme ntlecer fesmut	-|---|-----⌫-|-|---⌫|----|
conmentil furegene r é	------|-|-|------⌫-⌫-|
etcomme nt il fu	-|-----⌫-|-|-|
eustaceparso mpr oprenon	------|--|--⌫|--⌫---|--|
commenti ssi	------|-⌫--|
desamaison	-|-|-----|
commen tperdi safe mmeen mer	------⌫|----|-|--⌫--|-|--|
comme ntenuit sesfi xpo rter	-----⌫-|-|--|--|--⌫|--⌫---|
autr eau lou	----⌫|-|--|
commentchenfuet	------|---|-|-|
dechiefenchie f	-|----|-|----⌫|
lor aconte ́	--||-----⌫|
etil en nontassezplore ́	-|-|--⌫|--|----|-----⌫|
sepeinnent d auanchier	-|-------||--------|
lorsiorneese tdesploitier	---|------|-⌫||---------|
omque sa nchoisnorentseior	-----⌫|-⌫-----||----|----|
qu iluindrent	-|-|-------|
al emp ereor	||---⌫----|
en quinzeior sissontuenu	-|-----|---⌫||----|---|
sanzdestor bie rquaient eu	---|------⌫---⌫|-|----|-|
k antfuren t	-⌫--|-----⌫|
presun che ualier	---|-|---⌫-----|
