enla m arche de	-|-|-⌫----|-|
etsachiez qu euos n au ez	-|------|--⌫|--||--⌫-|
ga rde denu l home	--⌫--|-|--⌫|---|
quede soncorsne ildenulho m efors	--|-|--|---|-|-|-|--|--⌫-⌫|---|
de uosseul .	-|--|---||
et se uosneuos	-|-|--|-|--|
e nde ffendezdont senb lezuosbie nho me	-⌫|--⌫------|---|----⌫--|--|---⌫|--⌫-|
q uise santecor pablesdetraison .	-⌫-|-|----|---⌫-----|-|------||
ta ntlordist claudasq ue i lontenduidonezlor	--⌫-|--|---|------|-⌫-|-⌫|--|----|----|--|
ga ges a n samainet ilapele	--⌫--|-⌫|-|---|-|-|----|
apr eslosenesc halet li	---⌫-|-|------⌫--|-|-|
ditseneschax geuosaitenu	--|--------|-|--|-|---|
etcui diéiusquecia mo utleialet	-|---⌫---|-----|-||--⌫-|----|-|
r ois uostre siresuos	-⌫--|-----|----|--|
i tesmoignoit .	|----------||
uenezauan tet t enez	----|----⌫|-|-⌫---|
geuos reuestde l re iaume debenoycde srantes	-|--|-----|--⌫|--⌫----|-|-----|--⌫|-----|
et desissuese tdeqanqueil	-|--|-----|-⌫|-|-----|-|
ia pa rtientfors se ulleme nt	|-⌫--⌫-----|---|--⌫------⌫-|
de sforterescesdo nt	--⌫|----------|--⌫-|
geneluinereuesti ro ie.	-|----|-|-------⌫--⌫-||
et seuosdebanynuospoez desfandre	-|-|--|-|----|--|---|--------|
de ceste chose si	-|----|----|-|
mefer oizma	-|---⌫--|-|
faaut e et monhomageetse	-----⌫|-|--|-----|-|-|
ce u osataintquiluos metsus	-|-⌫-|-----|-|-|--|--|--|
gel i otroi e t d oing	-|-⌫|----|-⌫|-⌫---|
la terreet	-|----|-|
il endeueignemeshom	-|-|-------|--|--|
e nsinclaudas re uestilo seneschaldelreiaumedeben oycpor	-⌫---|------|--⌫----|-|--------|--|------|-|---⌫--|--|
cequ epariure r nese uo loitdelsai r eme ntque il	-|--⌫|-------⌫|-|-|--⌫---|--|---⌫-⌫---⌫-|--|-|
l iau oit f ait.	-⌫|--⌫--|-⌫--||
etbiensospecoitqueilne nseroit	-|---|--------|--|-||-⌫|-----|
gaire s t enanzcar tropsauoitbanyn degrantp r oesce	-----⌫|-⌫----|--|---|-----|----|-|----|-⌫-⌫----|
etdeleiaute	-|-|------|
queuosiroie gedeui s an t	--|--|----|-|----⌫-⌫--⌫|
labata illeenla prae rie	-|----⌫---|-|-|----⌫--|
debenoycentreloi reet arsie.	-|-----|----|---⌫-|-|----||
et illu ec	-|----⌫-|
c olp abanynslatest eausene sc hal.	-⌫---⌫|-----|-|----⌫|-|----⌫--⌫--||
etlors lioffricla uda slat erre	-|---|-|----|---⌫---⌫|-|-⌫---|
de beno yc	-|----⌫-|
en fie eta n heri ta g e.	-|--|-|-⌫|----⌫--⌫-⌫||
etbaninsli di stsi regeme	-|-----|-|--⌫-|--⌫-|-|-|
rem e sa uos parsi	---⌫-⌫||--|--|-|
q uegen i reman sisses etant no n	-⌫-|-|||-----⌫----|-⌫|---|--⌫|
uoldroieetmes ta la nzestt e x qal erm	-------|-|--|--⌫--⌫-|--|-⌫-⌫||--⌫-||
en uo il .	-|--⌫-||
siuos req uieruoiant tozuoz	-|--|---⌫---|-----|--|--|
bar ons a tantcongi ecardeumer cii	---⌫--|-⌫---|-----⌫|--|--|---⌫-||
ai acheué ceporqo i	-|------|-|--|--⌫|
auo sremes.	|--⌫|----||
etbiensachiezqueterren eprandroiegenule	-|---|------|--|----|-⌫|--------|-|---|
deuoscardexnefistonques	-|--|--|--|-|---|-----|
sirichete rre	-|----|--⌫--|
queg euoussissep asau oirse neuos	--|-⌫|--------|-⌫-|--⌫--|-|-|--|
empoissegre uer	-|-----|---⌫--|
cuersnelporroitautrement soffrir	----|-||------|--------|------|
at ant s emparti	--⌫--||-|----|
senfuclaudas mo ut	|-|-|------|--⌫-|
iriez cara nlui re t enirse ilpoistmeist	----|--|-⌫|--|--⌫-⌫---|-|-|----|----|
totela painecariln auoito nque sueu	---|-|----|--|-||----|-⌫----⌫|--|
un cheual ier si a	-|------⌫--|-||
soncuerdeproesce	--|---|-|------|
et deleiaute .	-|-|------||
endroitneparolepluslic ontesne	------|-|-----|---|-|-⌫----|-|
de banynnec la udasne	-|----|-|-⌫--⌫---|-|
desacompaigniea nc oisretorneauroi	-|-|---------|-⌫--⌫--|------|-|--|
ilsestteuz.	-||--|---||
l ir oisbansce dit	-⌫|-⌫--|---|-|--|
licontesapoielotertre por	-|-----|----|-|-----|--|
sonchastelueoirque tan tamoi tdegrant chierte .	--|------|----|--|---⌫|----⌫|-|----|------||
etli iorzc ommancaa es clarc irdurementetilesgar de	-|-|---|-⌫------||--⌫-----⌫-|-------|-|-|-----⌫-|
lesmursblanch eie re t	--|---|------⌫---⌫|-⌫|
hauteet lobaill eenuiron .	----|-|-|-----⌫|------||
otgaire sesgard éqant iluit elchaste lgrantfu m ee	-|-----⌫|------⌫-|---|-|--|-|------⌫|----|--⌫-⌫-|
etun poapres uitpartot	-|-|-|----|--|--|--|
lo ch astelflan b esaillir si	-|--⌫----|----⌫-⌫|------|-|
uoit an poduer e les richessal e suers era	---|-|-||---⌫|--|-----|---⌫-⌫|----⌫-||
t err eetfond releseglises	-⌫---⌫|-|----⌫-|--|------|
etlesmos tiers et lofeuuolerd eleu en	-|--|---⌫----|-|-|--|----|-⌫|--|-|
autreetlaf lambehideuseet e spoentable	----|-|-|-⌫----|------|-|-⌫---------|
quienuers lo	--|-----|-|
cielsela nce s i	---|-|--⌫--|-⌫|
en estli airsroge set anbrassez	-|--|-|---|----⌫|-|--------|
eta ntor en	-|-⌫---|-|
reluisttotela	------|---|-|
liroisb ansuo it	-|---|-⌫--|--⌫-|
sonchastelardoirquilamoitp lus	--|------|-----|-|-|----|-⌫--|
qu enu lc hastel quileust	--⌫|--⌫|-⌫-----|-|-|---|
seul chastelestoit sade	---|------|-----|-|-|
recourertot esate rr eetses	-------|---⌫|-|--⌫--⌫|-|--|
etq ant iluoit	-|-⌫--|-|---|
acep erdu o totesa fia nce	|-|-⌫---||---|-|---⌫--|
estoitrien snulenestel s iegle	-----|----⌫|---||--|-|-⌫----|
atendedenulerien caril	-----|-|---|---|--|-|
sesantuiauzetdebr isiez	-|---|----|-|----⌫----|
etsesfizesttelsqueilnelo puet	-|--|--|--|---|--|-|-|-|---|
secorreneaidieret	------|-|-----|-|
safame ertm outiu esne	-|---|--|-⌫--|--⌫---|
dameeta mou tgrant a isenorieet	---|-||---⌫|----|-⌫--|----|-|
dameuersdeuet uerslosieglec omecele	---|---|--|-|---|-|-----|-⌫--|---|
quies tdescendue	--|--⌫|--------|
delahaute ligniee	-|-|----|------|
pitiede cequ il c ouanra so n filis sir de	----|-|-|-|-|-⌫-----|--⌫|--|--⌫--|-|
fr a nceenpour e teetandoloret safameestre	--⌫-⌫--|-|----⌫-⌫-|-|-|----|-|-|---|----|
en autru idongie rque el	-|-----⌫|------⌫|--|-|
an auoer iesde maintes genzet lui	-|-----⌫--|-|------|---|-|--|
meismescouen draestrepoure etueill artet	------|-----⌫--|----|----|-|-----⌫--|-|
s ouffrai teuser sauielo	-⌫-------⌫-|---|-|--|-|
remanantquitant aesté	-------|--|---||----|
dot e zetric hes e tqui tanta am ee bele	---⌫-⌫|-|---⌫--|-⌫|--|---||--⌫-|---|
compaigniedegenz etioieus e maisniee en	---------|-|---|-|------⌫|-------|-|
saiouente.	-|------||
chosesrecorde li roiset	-----|------|-|---|-|
imetdeuantsesiauz et	|--|-----|--|---|-|
li toichea ucuerssi granz	-|-----|-⌫|----|-|----|
d olorsq ue	-⌫----|-⌫-|
l i sont est opeese t li cuersserre zel	-⌫|---|---⌫----|-⌫|-|----|-----⌫|-|
uantreets epasme	-----|-|-⌫|----|
sichietdeson pal efroiaterre sidurementque	-|----|-|--|---⌫----||----|-|-------|--|
par unpoqueli	--|-|-|--|-|
si lis aut	-|-|-⌫--|
parmi laboicheet	----|-|-----|-|
pa rmilo neslis ans uermauz	--⌫--|-|--|-|-⌫--|------|
etparmi les oroillesamedeus .	-|----|--|-------|------||
gr antpie ceageuli rois en	--⌫--|---⌫-||--|-|---|-|
telmani er eetqant il reuint	--|----⌫--⌫|-|---|-|-----|
de p asmoison s si	-|-⌫--------⌫|-|
parol e s ic o nil puetetr egardeuersloci e l	-----⌫|-⌫|-⌫-⌫|-|---|-|-⌫-----|---|-|--⌫-⌫|
siredexmercietgrac es	---|--|----|-|----⌫-|
biaxper es douz	---|---⌫-|---|
de cequi l	-|-|-|-⌫|
uos p l aistq u egefenisseen pouretecar uos uen istes	--|-⌫-⌫---|-⌫-⌫|-|------|-|------|--|--|---⌫----|
mort soffriren	---|------|-|
te rre comme poures	--⌫--|----|-----|
etbesoigneus .	-|---------||
sirepo r cequegenepuisau oirdemoree	---|--⌫|-|--|-|-|---|--⌫--|------|
e lsiegle sanzpechier uos encr igemercica r	-⌫|-----|---|------|--|-|--⌫|-|----|--⌫|
geuoibi en et s aiquege sui	-|--|--⌫-|-|-⌫-|--|-|--|
fi nuenuz.	--⌫|----||
etuos biax	-|--|---|
pe res quide uostre sancme	--⌫--|--|-|-----|---|-|
u eni st esrachater ne	-⌫---⌫--⌫-|-------|-|
perdezenmoilesperi tque	-----|-|--||------⌫|--|
uosimeistes.	--||------||
mais encestderrea inior oumaf in sest	---|-|---|------⌫-|--|-|-|-⌫--⌫|--|
apa reilli eemereceuezcomme celui	---⌫------⌫-|-|------|----|----|
quiuosregeislacharged emes	--|--|-----|-|-----|-⌫|--|
pechie z sigranz	------⌫|-|----|
etsi espoantables	-|-|-----------|
nenpuislasomedire	|-|---|-|---|---|
etselicors ame s fait ent erre	-|-|-|---||--⌫-⌫---|-|-⌫---|
on usnepuetes tre sanzpechie biax	|-⌫-|-|---|--⌫--|---|-----|---|
sireprenezen la	---|-----|-|-|
uo streuenianceente lmaniereque	--⌫---|-------|-|--⌫|------|--|
comentqu e la m esoi ttormen tee apre s locors	--------⌫||-⌫-⌫|---⌫|------⌫--|----⌫|-|---|
quel esoit	-|--⌫|---|
enaucun tens	-|----|---|
acompaig nieea cels	--------⌫---||---|
qui a uront an lapard ura b lecl artedeta	--|-⌫----|-|-|----⌫---⌫-⌫-|--⌫---|-|-|
i oieusema isonpa rt etcompaignie	-⌫-----|--⌫---|--⌫-|-|---------|
biaxperespiteuspreigne	---|----|-----|------|
uospi t iez defamehel enequiestdes cend uedel	--|--⌫-⌫--|-|---|---⌫--|--|--|---⌫----⌫-|--|
haut lignage queuosestabl itesel r egneauentureusa	---|------|--|--|------⌫---|-|-⌫---|---------||
essaucieruos trenonetlahautescede uostrefoi	--------|---⌫--|--|-|-|-------|-|-----|--|
etaauoi ruozgranzrepos taille squi	-||----⌫|--|----|-----⌫------⌫|--|
deuantlesestrangesp uepleslorauezuictoiredo nee .	-----|--|--------|-⌫-----|--|---|-------|--⌫--||
si reu o sl a	--⌫-|-⌫-⌫|-⌫|
d esconseilli eequi de celui hau t li gnage	-⌫-----------⌫-|--|-|----|---⌫|--⌫----|
est de scendueet tantaam eeuostre creance etuoz	--|--⌫------|-|---||--⌫-|-----|------|-|--|
commandemenzgard ez.	-----------|----⌫-||
etdemon chaitiffils ireuos	-|-|--|------|--|-⌫--|--|
remenbre qui	-------|--|
est siiuenesorfeninscar lip oure	--|-|-----|-------|--|-|-⌫---|
sont enuostremainpa r	---|-|-----|---|--⌫|
quoiuosmai nt enezles o rfenins	---|--|---⌫--⌫---|--|-⌫------|
rois ot di tes cesparoles	---|-|--⌫--|--|------|
i lesgardaue rslo	-⌫|------|--⌫-|-|
cie letbatis aco rpe	---⌫|-|---|-⌫|--⌫--|
etp lorasespe chiezdeua nt lesgartnost reseignorpuis	-|-⌫---|--|--⌫----|----⌫-||-----|----⌫-|------|---|
arachatroi spols	-----|----⌫|---|
derbe elnondelasaintetrinite	|---|-|--|-|-|-----|------|
usaen nondesain te	--|-|--|-|----⌫-|
etlorsli serrelicue rs	-|---|-|----|-|---⌫-|
si es tlidiaussi granzqu ila de	-|--⌫|-|----|-|----|-|-||-|
safameet desonfilqu il	-|---|-|-|--|--|-|-|
e npe rtlaparoletote	-⌫|--⌫-|-|-----|---|
oillitroblent el	--|-|-------|-|
chiefetil s	----|-|-||
durementque les uain esde l	-------|--|--|----⌫-|--⌫|
cuer li ro mpent	---|-|--⌫----|
etli cuersl i	-|-|----|-⌫|
estpartiz de da nz louentreet	--|-----|--⌫--⌫-|-|-----|-|
il iu t morta terres es	-|--⌫|---||----|-⌫-|
mainsestanduesencroiz	----|--------|-|----|
etlouis encont re lo	-|-|--|------⌫-|-|
cieletlochief	---|-|-|----|
adr oit ure t or néuers	|--⌫---⌫--|-⌫--⌫--|---|
sescheuaxfu effraezdel chaoirqu il	--|-----|-|------|--|-----|-|-|
afaitqantil torn aen fuietot	|---|---|-|----⌫|-|---|--|
contraua llotertreet as aut rescheuax enuint	--------⌫|-|-----|-|-|---⌫--|-----|-|---|
etqan tlarei nelouo itsi distau	-|---⌫|-|---⌫-|-|--⌫-|-|---|-|
ualletquiauocaus	-----|--|---|--|
es toit u enuzque il	--⌫---|-⌫---|--|-|
lop reigne	-|-⌫-----|
et il metlanfant a terre	-|-|--||-----||----|
pui scortpra n dre	---⌫|---|---⌫-⌫--|
locheu alpuisuientenhaute l	-|----⌫-|---|----|-|---|-⌫|
ter tre si trueuelo	---⌫--|-|-----|-|
roigisant si comuos auezoi.	--|-----|-|--|--|---|-||
il descent	-|------|
qan t iltrueue	---⌫|-|-----|
roisigieteuns i haut	--|-|----|-|-⌫|---|
criquela reine lo t moutclersien	--|--|-|----||-⌫|---|---|-|-|
est ta ntesbaieque l e lai se s on fil	--|--⌫-|-----|-|-⌫-⌫|---⌫-|-⌫-|--|
deu antles piezasche uax.	---⌫--|--|---|-|---⌫--||
puis s estescorciee	---||--|--------|
si cor t tot apie	-|---⌫|--||--|
totcontramontlotertre et	--|---------|-|-----|-|
trueue lou alle tgis antsor loroi	-----|-|-⌫----⌫|---⌫--|--|-|--|
teldue lqueplus ne	--|---⌫|--|---|-|
etqante luoitson seign ormortsi	-|---|-⌫|---|--|-----⌫-|---|-|
se p as me desus	-|-⌫--⌫-|----|
loco r s .	-|--⌫-⌫||
et qant elreuint	-|---|-|-----|
de pasmoisonssi	-|---------|-|
se demante et pl ai nt	-|------|-|--⌫--⌫-|
ses granz do lors	--|----|--⌫---|
don tele atrop.	---⌫|--||---||
sitire s es cheuoxquimoutestoientb l ondeet l o nc	-|---|-⌫-|-----|--|---|-------|-⌫-⌫---|-|-⌫-⌫-|
et bel etderon t sesdraset	-|--|-|-----⌫|--|---|-|
gi eteenu oieetes gratineson	--⌫--|-|-⌫--|-|--⌫------|--|
tendreuissique	-----|--|-|--|
coletot cont raual les ioesa	---|--|----⌫----|--|---||
filsi regre teses granzproe sces	--|-|-----⌫-|--|----|----⌫---|
son seignoretses	--|------|-|--|
gran z debonai retezet si	----⌫|-------⌫----|-|-|
ha utqueli tertre s	--⌫-|--|-|------⌫|
etli uausetli	-|-|---|-|-|
granzer tdei o ste	----|--⌫|---⌫-⌫--|
en re tent issent	-|--⌫----⌫-----|
tantacriéqueplusnepuetsies t	---||----|--|---|-|---|-|--⌫|
lasseet roe et	----|-|--|-|
lapa rol e	-|--⌫---⌫|
li fautporlou gr an tduel	-|---|--|--|--⌫--⌫|---|
cuersli est	----|-|--|
s epasmesouantetlonguementetau	-⌫|----|-----|-|---------|-|-|
re uenirdep asmoisons	--⌫----|-|-⌫--------|
s epla intetgram en te .	-⌫|---⌫--|-|----⌫--⌫-||
reg rateesles granzproescessonseignore tbienplorezet	---⌫-----|--|----|-------|--|------|-⌫|---|-----|-|
plainz sesgranz	-----|--|----|
domagessi ned essi rrenule rienselamor t	------|-|-|-⌫----⌫--|---|---|-|-|---⌫|
mout lablame	---|-|----|
quetantdemore.	--|---|-----||
etqantelealo ngu ement	-|---|--||--⌫---⌫----|
estéissisi li remenbre de son filneia mais	----|---|-|-|-------|-|--|--|-|--⌫---|
neue lt est r e conforteeparautre	-|--⌫-|---⌫-⌫|--------|--|----|
rienet po rlapeorque le	---|-|--⌫|-|---|-|-⌫-|
gra ntq uelic heual nel	---⌫-|-⌫-|-|-⌫----|-||
aientmortde uantcuiele	----|---|--⌫---|--|--|
l otlaissiési gi e teun	|-|-------|-|--⌫-⌫-|-|
critelcomele puet	--|--|--|--|---|
etlorssautsusaguisedef ame forsen ee	-|---|---|--||----|-|-⌫--|------⌫-|
s icortl aoue leot	-⌫|---|-⌫|-|-⌫-|-|
sonf i llaiss ié .	--|-⌫-⌫|-----⌫--||
maistantlad estra intla granz	---|---|-|-⌫-----⌫--|-|----|
p aors queele a quil ne	-⌫---|--|--||-|-|-|
quele chi et pasm ee ate rreainzqu	-|--|---⌫-|----⌫-||--⌫--|-----|
elesoituenuealaua lerdel tertreius.	--|---|----|||---⌫--|--|-----|--||
au reu enirdes	-|---⌫---|--|
pasmoi sons se plaintet	------⌫---|-|-----|-|
g ai mentemoutdurement.	-⌫--⌫----|---|-------||
pu is resautsusetau alel amontaigne grantco rsaual	--⌫-|-----|--|-|--⌫--|-⌫|--------|----|--⌫-|---|
s iest esch eueleeetdessiree.	-⌫|--|----⌫-----|-|-------||
et qa ntele aproch ed escheuaxquiestoientdesus	-|--⌫-|--|------⌫|-⌫-|-----|--|-------|----|
filhorsde lbrecueltotdes lié et	--|---|--⌫|------|--|---⌫---|-|
uoituneda moiselequilotenoittotnu en	---|--|--⌫------|--|-|-----|--|-|-|
son g ironetl e strain t etserremoutdoucement	--|-⌫---|-||-⌫------⌫|-|----|---|--------|
antresesmemeleset	----|--|------|-|
liba iseles iau z	-|--⌫--|--|---⌫|
etlaboiche menueme nt	-|-|-----|-------⌫-|
nauoitmietortcar	|----|--|---|--|
ceestoitl iplusbiax	-|-----|-⌫|---|---|
totlomonde.	--|-|----||
lamatinee fu froi deettantos t auoit	-|------|-|----⌫-|-|------⌫|----|
et lareine dist	-|-|----|---|
aladamoisele beledouceamie	|-|--------|---|----|---|
laiss iezlanfantc ar ass ez	-----⌫--||-----|-⌫-|---⌫-|
aurad esorese nauantmesaise etduel	---|-⌫-------⌫-----|------|-|---|
ca rensingr antorfentee sthuichauz com mec il	--⌫|----|--⌫--|------|-⌫-|--|----|---⌫-|-⌫-|
quiaperdue	--||-----|
toteioi ecarsesperesestor endroitmorzetsa	---|---⌫|--|--|----|--|--⌫------|---|-|-|
terreap er duequinefus t	----||-⌫--⌫--|--|-|---⌫|
miepeti t e	--|----⌫-⌫|
sede x la l iaustgar deesic om	-|--⌫|-|-⌫|---|---⌫--|-|-⌫-|
deustauoir.	----|----||
ac hosequela	|-⌫---|--|-|
dame diel adamoisele nerespont unmotetqant	---|--|-⌫|--------|-|------|-|--|-|---|
el e la uoit aproch ier etelesilieueatot	--⌫|-|---|------⌫--|-|--|-|----|---|
lanfantqu ele	|-----|-|--|
tenoitentr esesbraz etsi san	-----|----⌫|--|---|-|-||-|
uien t droit ementau laceti oi ntle s	----⌫|-----⌫----|-|--|-|-⌫--⌫-|--⌫|
pi e zsis aut anz	--⌫-⌫|-|-⌫--|--|
quant lare ine	----|-|--⌫--|
fildedanz lo la csisepasm e	--|-----|-|--⌫|-|-|----⌫|
et q antelees t	-|-⌫--|--|--⌫|
pasm oisons sine uoit nelanfantne	----⌫-----|-|-|---|-||-----|-|
ladamoi sel e.	-|-----⌫---⌫||
et lorscommance a	-|---|-------||
faire unduelsigrantq ue nusgraindres	----|-|---|-|----|-⌫-|--|--------|
nepoistest reetfust	-|----|---⌫-|-|---|
sail lided anz	----⌫-|---⌫--|
lolac sel iu alleznel aus t	-|--|-|-⌫|-⌫----|-||---⌫|
retenuequiloroia uo it laiss ié e n	------|--|-|--|-⌫--⌫-|-----⌫--|-⌫|
la montaignesil est o it uenue	-|--------|-||---⌫-⌫-|----|
reconforter por la grant	----------|--|-|----|
paor quilauoitque ele	---|-|-|----|--|--|
nesedesesperast .	-|-|----------||
de duel que	-|---|--|
lar ein e faitneuos	-|-⌫---⌫|---|-|--|
porroitnusdi re lasome .	------|--|--⌫-|-|---||
et endem entre squ ele segaimentoit si	-|-----⌫-----⌫--|--|-|---------|-|
ch osecuneabaessetr espasso it par illoc sotierz	--⌫--||--|------|--⌫-------⌫-|--|----|-|----|
denonai ns etauo cestoit	-|-----⌫-|-|---⌫|-----|
seschapel ains	--|------⌫---|
etunsranduzetduiescuier	-|--|-----|-|--|------|
de genzestoit.	-|---|-----||
eleo iloduelquela reine demen oit	--|-⌫|-|---|--|-|----|-----⌫--|
s i lan prist	-⌫||-|----|
moutgranz pitiezettornacele	---|----|-----|-|----|---|
partet dis talareine	---|-|---⌫||-|----|
quedex lidoint ioi e.	--|--|-|----|---⌫||
c ertesdamef aitla raineil	-⌫----|---|-⌫--|-|----|-|
me seroitmou tgranzmestier scargesuila	-|-----|---⌫|----|-------⌫|--|-|--|-|
plusde scon seil lieeriensdelmondecari ai	---|--⌫----⌫----⌫---|----|--|----|--||-|
perdu encestior	----|-|---|--|
d uitotehonor ettoteioie don ti	|-|---|----|-|---|---|---⌫||
aiasse ze uparmainte	-|----⌫|-⌫|--|-----|
dam e faitlabae ssequimoutlauit	---⌫|---||----⌫--|--|---|-|--|
degrant biaut e se	-|----|-----⌫|-|
lag rantiren efustqui ie stes uos	-|-⌫---|--|-⌫|---|--|--⌫---|--|
maist dexda mefaitele moi ne	|---|--|--⌫-|---|--|--|-|
puetga ireschalo i rorandroitq uigesoieforsdece	---|--⌫---|-----⌫-⌫|--------|-⌫-|-|---|---|-|-|
quegeuiftrop.	--|-|--|---||
lorslarega rdelichape lai ns	---|-|----⌫--|-|-----⌫---⌫-|
alabaessedame	||------|---|
ennondeuiamar	-|--|--|-|--|
mequ er rez mais sec en	-|--⌫--⌫--|---|-|-⌫||
es tma damelarei ne .	--⌫|-|---|-|---⌫-||
a baesseaplorermoutduremen tsilidistdame por	-⌫-----||-----|---|-------⌫|-|-|---|---|--|
deuitantn o s ditesseuos iestes	--|----|-⌫-⌫|----|-|--|-----|
madamelareine.	-|---|-|----||
m aistdex dameuoirement suis	|---|--|---|--------|---|
gela reineasgranz	-|-|----|-|----|
par cest nonquel e	--|---|--|-|--⌫|
estapel ez cist conte selcommancement l i	--|----⌫-|---|-----⌫|-|-----------|-⌫|
contesdelareineasgran zdolors .	-----|-|-|----|-|----⌫|-----||
labae ssedam epordeuquiqe ge	|----⌫--|---⌫|--|--|----|-|
soiefatesmoinonainc arge	---|----|--|-----|-⌫-|-|
nedesirtant nulerien.	-|----|---|---|---||
certesdame fai t labaess emo ut	-----|---|---⌫||------⌫|--⌫-|
uolentiersmaispor deu	---------|---|--|--|
dite suo stremesestance	----⌫|--⌫---|---------|
carmou tan	--|---⌫|-|
suia malai se .	--||-----⌫-||
reineliconte samesch eancede chief enchi ef de	----|-|----|-|-----⌫----|-|----|-|---⌫-|-|
saterre queeleaper due	-|----|--|--||---⌫--|
et deson seignor qui estmorz	-|-|--|------|--|--|---|
ensouslotertreetdesonfil	-|---|-|-----|-|-|--|--|
q en tel maniereem	|-|--|------|-|
porteu isdeiablesengui sede damoisel e.	----|-⌫-|-------|-|---⌫-|-|--------⌫||
lors li demandelabaesse com ment liroisauoites té	---|-|------||------|---⌫---|-|---|----|--⌫--|
e le n eli seta dire	-⌫-|-⌫|-|--||---|
dam efaiteleespoircestporlo du el	---⌫|---|--|-----||--|--|-|--⌫-|
qu ie stars.	--⌫|-⌫-|--||
c omment fa it	-⌫-----|--⌫-|
la reineestil donsars	-|----|--|-|---|--|
oild ameetge cuidoie que	--|-⌫--|-|-|------|--|
uoslo sa ussiezbien	--|-|--⌫-----|---|
m aistd exdistele	|---|-⌫-|---|--|
ne ls auoi e.	-||-⌫----⌫||
bien q ueautredolors ne	---|-⌫-|----|-----|-|
lialam ortdonee ne desoresenaua nt	-||-|-⌫--|----|-|------------⌫-|
quel pense quege	---|----|--|-|
aiegeneuoil plus aus iegledem orer	--|-|-|---|---|-|-⌫----|---⌫---|
mais pordeuma	---|--|--|-|
dameuelez moie t faitespr andre grantauoirqui	---|----|--|-⌫|-----|--⌫----|----|----|--|
cie stdoret deuaiss elementeet	-|-⌫-||-|-|-|-----⌫-------|-|
deioia us si anferezci	-|----⌫-|-|-|----|-|
fa ireu npetit mostier ou anchantera	--⌫--|-⌫|----|------|-|-|-------|
por lamed e monseignor	--||--|-⌫|--|------|
toz i or zm ais.	--|-⌫--⌫|-⌫--||
damefaitl a baessecertesuosnes auez mie	---|---||-⌫-----|-----|--|-|-⌫---|--|
c o mment ilestgrantchar geatenirordre	-⌫-⌫----|-|--|----|----⌫-||----|----|
t rau aildou cors	-⌫---⌫--|--|---|
isontettuitli	|---|-|---|-|
perild e s a mes .	----|-⌫-⌫|-⌫--||
mais uen ez	---|---⌫-|
orandr oit ennostre aba ieet se iez t o tedam e si	------⌫--|-|-----|---⌫-|-|--⌫--|-⌫-⌫-|---⌫|-|
com u osd euez estre	--|-⌫-|-⌫---|----|
carlience s sormon seignorlor oifo n di erentlo	--|-|----⌫-⌫--|--|------|-|-⌫-|--⌫-⌫--⌫----|-|
leuetestab lire nt.	--|-|-----⌫----⌫-||
dame p ordeufaitlareinege	---|-⌫-|--|---|-|----|-|
uos r equier p ordeuet	--|-⌫-----|-⌫-|--|-|
soruos treame que	--|---⌫--|--|--|
facoiznonaincarge nai	-----|-----|--|-||-|
plus curedel	---|---|--|
sie glene l isie glesn	---⌫--|-|-⌫|---⌫---||
am esti erdemoi .	|-⌫----⌫-|-|--||
et seuosdece me failliez gemen	-|-|--|-|-|-|-------|-||-|
ir aiparmices	--⌫-|----|--|
forelzcommechaitiue et esgare eet s iporrai	-----|----|-------|-|------⌫|-|-⌫|-----|
t ost perdrelo	-⌫--|-----|-|
corset lame.	---|-||--||
damefait l	---|---||
abaess epuisqu euo s	------⌫|------⌫|--⌫|
siacerteslauez	-||-----||---|
em prisor aorez	--⌫---|-|----|
d eu et graciez carmo utenauo ns gr antioie	-⌫-|-|------|--|--⌫-|-|---⌫-|--⌫--|---|
qantde xdesi	---|--⌫|-|-|
boenedameetdes i	----|---|-|-|-⌫|
ha uter eine nosdon e	--⌫--|-⌫---|--|---⌫|
lacompaignie.	-|---------||
illuec sanz pl u s atendre furenttranchiees beles	-----|---|--⌫-⌫|------|-----|---------|----|
treceslareine e tele auo it le	-----|-|----|-⌫|--|---⌫-|-|
pluschiefde	---|----|-|
totlomonde.	--|-|----||
a p res lif ure nt aportélidr ap si lauel e rent	-⌫-⌫--|-|-⌫---⌫-|------|-|--⌫-|-|-|---⌫-⌫---|
anlap lac e	-|-|-⌫---⌫|
et qantl iu allezlauit uelee qui	-|---|-⌫|-⌫----|-|--|----|--|
auequesliestoitsili distqel sieglen e	------|-|-----|-|-|---||-|-----|-⌫|
seroitil i amai spuisques a dame s	-----|-|-⌫----⌫|------|-⌫|---||
e nestoiti s suesideuintrand u zet	-⌫|-----|-⌫-⌫--|-|-----|----⌫-⌫|-|
lifuren tue stu lidrapain zq uede	-|-----⌫|--⌫--|-|---|---⌫--⌫-|-|
laplace se remuast .	-|----|-|------||
apresont pr islo cors loroisilo	----|--|--⌫-|-|---|-|--|-|-|
p o rt erentala baie	-⌫-⌫--⌫----|||-⌫---|
qui g air es	--|-⌫---⌫-|
nestoit loi gdiluecetsi font lo seruis e	|-----|---⌫||----|-|-|---|-|------⌫|
telcomenlodoit	--|--|-|-|---|
fairecors ad eroi	----|---||-⌫|--|
et fuhautementent e rrezeta nseuelizenlabai emeismes	-|-|--------|---⌫-⌫---|-|-⌫-------|-||----⌫|------|
ius quetantqu eel leu	---⌫--|---|--⌫|-|--|
