#META#TextUR IAlexisPQ	-----|------⌫|-------|
#M ETA#DEAFhttp//www.deaf-page.de /fr/bi bl/bib99a.php#AlexisP	--⌫---|---|----------------------⌫------⌫--------------------|
#META# FEW	-----|--|
#META#ARLIMAhttps/ /www.arli ma.net /no/114	-----|-----|------⌫---------⌫------⌫------|
# META#Au tho r	-⌫----|--⌫---⌫|
#META#Auth orB orn	-----|----⌫---⌫--|
#META#AuthorB ornAmb	-----|-------⌫-----|
# META# Au t horDied	-⌫----|--⌫-⌫------|
#META# AuthorDiedAm b	-----|------------⌫|
#META#Aut h orF l1	-----|---⌫-⌫---⌫-|
#META #A u thorFl2	-----⌫|-⌫-⌫------|
# M ETA#TextTitleLa uie	-⌫-⌫---|--------|-|--|
saintA lexi s	----|-⌫----⌫|
horsde lach am bre isue	---|-|-|--⌫--⌫--|---|
Et estsousle degr éde uantsonfiexuenue	-|--|---|-|----⌫-|--⌫---|--|---|----|
Etlapuceleausiquifumou t	-|-|-----|---|--|-|---⌫|
Quantl y sainshonslesuitto ut lesancli	----|-⌫|----|---|--|--|--⌫-|-|---|-|
lezosa les ai ntara isonne r	--|--|-|-⌫--⌫-|---⌫------⌫|
P o ur c equ eilnefustco n neüs	-⌫-⌫-|-⌫|--⌫|-|-|---|--⌫-⌫----|
auparle r.	-|-----⌫-|
Ladamepris t tantost	-|---|----⌫|------|
Etiladist Pucele formentmedoit	-|-||---|-----|------|-|---|
Dec epoure ho melaquisouscedegré	-|-⌫|----|--⌫-|-|--|---|-|-----|
Iecroybienquilm ehet onque z riens	-|---|---|-|-|-⌫|--|-----⌫|----|
Fe sson lises dra piauslauer pour	--⌫---|-|--|---⌫----|----|---|
Ih esuCri st	--⌫--|---⌫-|
il ne uiura m ezguereztropf ormentaflebist.	-|-|----|-⌫-|-----|---|-⌫-----|--------|
Pageu01P374	----------|
Lapucelelidistqui fuc ourtoiseetsa ge	-|-----|-|---|--|-|-⌫-------|-|--⌫-|
tre pasechiensceseragrantout rage	---⌫---|-----|-|---|----|---⌫---|
Sene sauonsenchoi sson nomet	-|-|-----|------⌫|--|--|-|
sonlignage.	--|-------|
Alons parlera	----|-----||
lisis aron soncourage.	-|-|-⌫---|--|-------|
La damelidis tFileparfoyiy uois	-|---|-|---⌫|---|--|--|||---|
Tousioursq uantler e g ardeme souuientd Alexis	--------|-⌫---|-|-⌫-⌫-⌫---|-|-------||-----|
l u isemble de la boucheet du	-⌫-⌫|-----|-|-|-----|-|-|
Duduelquay de mon	-|---|-|-|-|--|
fisie mouraiai nsmezdis.	--|-|-----|--⌫-|--|---|
No npourquantalons ypuisquestuost re	--⌫|--------|----||---|-|--|----⌫-|
Sous lesdegrezal érentploura n t m out t endrement.	---|--|-----|--⌫-----|------⌫-⌫|-⌫--|-⌫---------|
Alexis demande ́re ntson	-----|-------⌫---⌫-|--|
nom trés b onneme nt.	--|----|-⌫------⌫--|
Il leurdistCrestien	-|---|---|-------|
suisnommés	---|------|
urai ement.	----⌫-----|
Q uantilou td itcesmosmiex	-⌫---|-|--⌫|-⌫-|--|--|---|
qu ilpout s	-|-|---||
estdreciez	--|------|
etlapuceleembracha parlespiez	-|-|-----|-------|--|--|---|
Etdi stMerciuouspri	-|--⌫-|----|---|--|
p our les Dieuamitiez	-⌫--|--|---|------|
Carbien s ay qu epourmoyauez les	--|---|-⌫-|--⌫|---|--|---|--|
cuer s cou rciez.	----⌫|---⌫-----|
—Bons honsdientles dame spourcoy requier s mercis	|---|---|----|--|----⌫|------|-------⌫|-----|
Onque zio urde ta ui er ien nenou s meffeïs.	-----⌫|--⌫-|-|-|--⌫|-⌫--|-|---⌫|--------|
— Si ayfaitdist	|-|-|---|---|
nomméAlexis	-----|-----|
Quantuinge n cest	----|---|-⌫|---|
os telsicommeilm estau i s	--⌫--|-|----|-||--|--⌫-⌫|
Page u0 1P375	----⌫--⌫----|
ueni te z s o uscedegréuer smi	----⌫--⌫|-⌫-⌫-|-|-----|---⌫|-|
Quetoutezdeus pleurant neparti siez de ci.	--|-----|---|-------|-|-----⌫---|-|--|
Ie uousaicourouci ési u ous requier mer ci	-|---|-|--------⌫-|-|-⌫--|------|---⌫-|
Car ietrepaseraibrementi e l e	--|-|---------|------|-⌫|-⌫|
Quantlesdamesloïrent s ontd epitiép louré	----|--|----||------||--|-⌫|-----|-⌫-----|
Mo ut do u cemen tliontsonmef f aitpardon né	--⌫-|--⌫-⌫-----⌫|-|--|--|---⌫-⌫--|------⌫--|
Ploura ntsensont	------⌫-||-|---|
part i ezetile s t demouré.	----⌫-⌫-|-|-|-⌫-⌫|--------|
—Dis etse t	|--|-|--⌫|
ans entiersilauoitia	--|------|-|----|-|
aut ant estéen lacitédAl phis	---⌫--|----|-|-|----||--⌫---|
Conquezneb ut	|-----|-|-⌫-|
d e uinn ene iust	-⌫|--|-⌫|-|---|
enbonslis.	-|---|---|
Li sains h o nsqui	-|----|-⌫-⌫-|--|
s ent oits onc orsmoutafeblis.	-⌫---⌫--|-⌫-|-⌫--|---|-------|
Apelaso n seiiant et l idist	----|--⌫|------|-|-⌫|---|
Soie zcertainbiaufre ̀ reiemourra ile	----⌫|------|---|---⌫-⌫-|-|------⌫|-|
Iene taiqu e	-|-||-|--⌫|
Tonserui seterende	--|-----⌫-|-|----|
celui qui e st sansfin.	----|--|-⌫-|---|---|
MaispourDieuuam e	---|---|---|-|-⌫|
quere enqueetbonpar chemin.	----|----|-|--|---⌫------|
Qua n tleseriant	---⌫-⌫|-|------|
l oy sienout	|-|-|-|--|
grantpité	----|----|
Carmout bienleseruoite n	--|---|---|-|------|-⌫|
finelo iauté	---|--⌫-----|
Pageu01P376	----------|
Duel o utquant e ntend iqu ilseroitt respa sé.	---|-⌫-|----|-⌫-----⌫|-|-|-----|-⌫-----⌫---|
E nqueetbonpa rchemin lialors apo rté .	-⌫---|-|--|--⌫------|-||---|---⌫----⌫|
Adonc saint Ale xi sescrip tt oute sa	----|----|---⌫--⌫|------⌫|-⌫---|-|
Puisploiaenlaleitrede l anella	---|----|-|-|-----|-||---|-|
Do ntespousa labele quepour	--⌫-|------|-|---|--|---|
Dieuout guerpie.	---|--|-------|
Lebref m ist en s ama inpui sdi sta uois	-|---|-⌫--|-|-⌫|--⌫-|---⌫|--⌫-||---|
Quiluoul oi t receuo ir ledous	-|-|----⌫--⌫|------⌫-|-|---|
cors IhesuCrist.	---|----|-----|
Quantl o tpri s les deusmai ns	----||-⌫|---⌫|--|---|---⌫-|
enc roi ssus	-|-⌫---⌫|--|
sonpis mi st.	--|--|--⌫--|
Ado ncleroydezroysun	---⌫-|-|--|--|---|-|
angrel i t ranmist	----|-⌫|-⌫------|
Qu i distAmis tuase n paradiston	--⌫|---|---|-|-|-⌫|------|--|
Aprezuintuneuoisp a rmi Rommecriant	----|---|--|---|-⌫-⌫--|----|-----|
ge nsouirentlipetit etli gran t	--⌫-|------|-|----|-|-|----⌫|
Qui dist Q ue f aitezuo uspece eur nonsachant	--|---|-⌫-|-⌫----|--⌫-|----⌫--|--|------|
Quant uous n alezquer i rleIhes uCr istseriant	----|---||---|----⌫-⌫|-|----⌫|--⌫--|------|
Qui maintenant sera	--|---------|---|
decesiecle partis	-|-|-----|-----|
Susunenategistmoutes t poure s	--|--|---|---|---|--⌫|-----⌫|
Tous ceux de	---|---|-|
Romm efure n t ceiou rmoutesbahis	----⌫|----⌫-⌫|-|---⌫|---|------|
Lapostolle	|--------|
me ïmezreq uistaDieumercis.	--⌫----|---⌫---||---|------|
Pageu01P37 7	----------⌫|
SaintInochent estoitpapeenice lui tans	----|-------|-----|---|-|---⌫--|---|
S a u o itdeusroys	|-⌫-⌫-⌫-|---|---|
aRommequi moutfurent	|----|--|---|-----|
nomméAcai re	-----|----⌫-|
lau treH onorelifrans	|--⌫--|-⌫----|-|----|
Lesde usestoientfrére z s ifure ntmout	--|--⌫-|-------|------⌫|-⌫|----⌫-|---|
Detrouue rlesaintcors	-|------⌫|-|----|---|
dont lauo iso u tpar lé.	---|-|--⌫-|-⌫-⌫|---⌫---|
Toutlepeuple	---|-|-----|
en requist lasainteTrinité.	-|------|-|-----|--------|
Une uo i s leur a di st quil ne seroit	--|--⌫-⌫|---||--⌫-|-|-|-|-----|
Fors c hiezEuphemien s contedela	---|-⌫---|---------⌫|----|-|-|
Qu ant le saint apostole ouytc este resson	--⌫--|-|----|-------|---|-⌫---|-----|
Que Eup hemiensa u oitlecorsensamesson	--|---⌫------|-⌫-⌫--|-|---|-|-|-----|
Liettoutle clergiéiuindrent derando n	-|-|---|-|-------||-------|-|-----⌫|
Et les deusrois	-|--|---|---|
maint au trebaron.	----|--⌫--|-----|
Chacunpeu tbien sau oi rquilfut moult esbahiz	-----|---⌫|---|---⌫--⌫|-|-|--|----|------|
Qu antilui tt antde gensentrer	--⌫--|-|--⌫|-⌫--|-|---|-----|
ensonpourpris.	-|--|--------|
lui d em andérentdontil	--|-⌫--⌫--------|---|-|
fub ienmarris.	-|-⌫--|------|
Ilditquiln	-|--|-|-||
enscet rienne	-|---|---|-|
lu iu ault de uxesp is.	--⌫|-⌫---|--⌫-|---⌫--|
Q uant partoutsonmanoirontenq uiset	-⌫---|--|---|--|-----|--|---⌫--|-|
Ils distreu t quel eco nte	--|-------⌫|--|-⌫|--⌫--|
ser aamortliuré	---⌫||---|-----|
Pageu01P37 8	----------⌫|
Selesaintcorps	-|-|----|----|
n ens eigne ma isilleuraiuré	|---⌫----|--⌫-|-|---||----|
Quoncquesiou r ne	-|------|---⌫|-|
le ui t. Plourant se nestalé	-|--⌫-|-------||-⌫|--|---|
Samesniehucha dusaint corps leur en q uist	-|-----|----|-|----|----|---|--⌫-⌫---|
Mais iamaisn e cu i dass ent(ce saichez sansrespi t )	---|-----|-⌫|--⌫-⌫----⌫--|--|------|---|-----⌫-⌫|
Quecefus t lepoureh omme qu isous	--|-|---⌫|-|----|-⌫---|--⌫|---|
Aqui souuente foisauoient	|--|--------⌫---|------|
faitdespit.	---|------|
Lors fuE uphemi ensmoutfor me ntesbaïs	---|-|-⌫------⌫--|---|---⌫--⌫-|------|
Que deusroyssiestoi ente nsonpalaisuout is.	--|---|---|-|-----⌫--|-⌫|--|-----|----⌫--|
Mez la gentilpucelefu de uantAlexis	--|-|-----|-----|-|--⌫---|-----|
Q uiiezoit su r lanat emout litroubloit le	-⌫-|-----|--⌫|-|---⌫|---|-|--------|-|
Bons hons dist la puceleie croi queuous mou rez.	---|---|---|-|-----|-|---|--|---|---⌫---|
estuoirdistilsuerbe l eprochainemen tsaurez	--|---|---|-|---|--⌫-⌫|------------⌫|-----|
Dequel lignage suis neen	-|---|------|---|-|-|
Mezdune seul lechoze suisforme nteffraiez	--||--|----⌫-|----|---|-----⌫-|-------|
Carieuoi a	--|-|--||
mez piezlez	--|---|--|
anemisdenfer	-----||----|
Q uilame dem oyc u identauoi r autrespaser	-⌫-||--|-|-⌫-|-⌫-⌫----|----⌫|-|--------|
Mezieu oichasusdestrelessains	--|-|-⌫-|--|--|-----|--|----|
angr ez chanter.	----⌫-|-------|
PourDieut rezdoucesuerpensezd e bienouure r	---|---|-⌫--|----|---|-----|-⌫|---|-----⌫|
Sique parbo nnez e uurezc on quer ezp a ra dis.	-|--|--|--⌫---|-⌫----|-⌫--⌫----⌫-|-⌫-⌫--⌫---|
Ienaypas amoncorsfaitmoutde	-||-|--||--|---|---|---|-|
Pageu01P 379	--------⌫--|
doutie mou t dez	---|-|---⌫|--|
lazans anemi s.	--|--|-----⌫-|
Douces uer	----|-⌫--|
Dieu uou s	---|---⌫|
rende les biensquem auezquis.	----|--|----|--||---|----|
prie que f ac iezmoncors enseuelir	---|--|-⌫--⌫--|--|---|--------|
Mez plusprochains amis me uenront enfouir	--|---|--------|---|-|------|------|
Etunefr anched am e	-|--|--⌫----|-⌫--⌫|
pourDieug uerpir.	---|---|-⌫------|
Quantlapu cell eloutsidistsan salenti r	----|-|--⌫----⌫||--|-|---|---⌫|------⌫|
Sire de pr ezd ici	---|-|--⌫-||--|
sontdoncuostre parent	---|---|-----|-----|
Or plusne poutparler le	-|---|-|---|-----|-|
c orsquil am e	-⌫--|--||--⌫|
Les a ngrezlemporte ́rent deuantDieu	--|-⌫----||-------⌫----|-----|---|
Lessain spartouteRo mmesonnérenth aut eme nt	--|----⌫|--|----|--⌫--|---------|-⌫---⌫---⌫-|
S ansceconlez tirast chacun	-⌫--|-||-|--|-----|-----|
sonnoitpar	------|--|
Qu ant lagent il puceleo utle mirac leoui	--⌫--|-|----⌫-|-----|-⌫-|-|-----⌫-|--|
For mentserepentoit	---⌫---|-|--------|
quenel outmiexserui.	--|-||--|---|-----|
L esergent ui nt auconteet	-⌫|------|--⌫-|-|----|-|
il a dist ai nsi	-||---|--⌫--|
To utbaseten l ore ile	--⌫-|----|-||---⌫--|
Frans hons lebo n paumie r	----|---|-|--⌫|------⌫|
fetdi s et	--|--⌫|-|
se tanssoustonde grécouchier	--⌫|--|---|--|--⌫---|-------|
Tresp asaorendroitbiencroi queDieu lachier.	-----⌫--|--------|---|---|--|---|||-----|
Quantleconte	----|-|----|
sii u i ntsan star gie r.	-||-⌫-⌫-|---⌫|---⌫---⌫-|
Pa geu01P3 80	--⌫-------⌫-|
Lesaintcors regarda quiiaestoit	-|----|---|------|--|-|-----|
Iln ecui d astia me zquecefust	-|-⌫|---⌫-⌫--|--⌫--⌫|--|-|---|
s onchierfis.	-⌫-|----|---|
uit sesmai nscroisiezsussonpi s	--|--|---⌫-|-------|--|--|--⌫|
Enluneuitl a	-||--|--|-⌫|
laitre lorsfu tout	-----|---|-|---|
Moutbienlac uida prendremezne	---|---|-|-⌫---|------|--|-|
lapoutauoir.	-|---|-----|
grandd uelle conteetdirelecuernoir.	----|-⌫--|-|----|-||--|-|---|----|
Tantostsen uinta u	------||-|---|-⌫|
pa pesi lif istas auo ir	--⌫-|-|-|-⌫--||-⌫---⌫-|
Qunshonsesttres pasésous	|--|---|--|----⌫----|---|
sondegr épour	--|----⌫-|---|
Dixet septansentier sa	--|-|---|--|------⌫||
chiensdemouré	-----|-------|
Unbriefti e nt	-|----|--⌫-⌫-|
ensamainbienprendre	-|-|---|---|------|
laycuid é	|-|----⌫-|
ueultlais sier bi en	----|----⌫---|--⌫-|
prisen g ranthé	---|-|-⌫---|--|
Car troppo urementlayen sonmalregardé.	--|---|--⌫------||-|-|--|--|--------|
Iecr oi bienquecesoit les aint	-|--⌫-|---|--|-|---|-|-⌫---|
corsquequeron.	---|--|------|
Lapostoleo utgranti oie carmoutesto itpro d o n.	|-------|-⌫-|----|-⌫--|--|---|----⌫-|---⌫-⌫-⌫-|
Dessouslede gré	------|-|--⌫---|
uintetliautr e	---|-|-|----⌫|
Trestoussag enoul ié renten gran t	---|---||--⌫-----⌫---⌫---|-|----⌫|
deuoc io n	-----⌫--⌫|
Et depriérentDieudebon	-|----------|---|-|--|
c uerfermem e nt	-⌫--|------⌫-⌫-|
Pageu 01P381	-----⌫-----|
Quilsachentducorss aintleuieplainement	-|-|------|-|---|-⌫---|-|--|---------|
Etde quel lieuilestetqui sont	-|-|---|---|-|--|-|--|---|
si parent .	-|------⌫|
Lorsse le ualepapetr es toutpremi eremen t	---|-|--⌫-|-|---|--⌫--⌫---|-----⌫------⌫|
uers lamaindusaint	---|-|---|-|----|
cor ss abesseethumilie	---⌫||-----|-|------|
Ilaprise la lestrele	-||----|-|-----|-|
s aint lia lessie.	-⌫---|-||------|
De zp loierla cuidaet uo ut liresa uie	--⌫--⌫----|-|----|-|--⌫-|---|-|--|
MezledousIhesuCristnele	--|-|---|----|----|-|-|
c onsentimie	-⌫------|--|
Cardes mainsl apo st olela	--|--|----||---⌫--⌫--|-|
laitresenyssy.	-----||-|----|
Ousainalapucelepardeuant	-|---||-|-----|--|-----|
Q uitre nteet quatre ans	-⌫-|---⌫--|-|-----|--|
out atendusonma ry.	--|-----|--|--⌫--|
Tousceusq u ila	---|---|-⌫-⌫|-|
estoienten	-------|-|
furent esbahy.	-----|------|
Mez le dous IhesuCr ist lefistp our	--|-|---|----|--⌫--|-|---|-⌫--|
C ordred emariagefait f ormenta	|----|-⌫|------|---|-⌫-----||
Quant desu slespous éef i st lal est re	----|----⌫||------⌫--|-⌫-⌫-|-|-⌫---⌫-|
Sus pérene	--|----|-|
uo ut e nuoier.	--⌫-|-⌫------|
Personneestbienchetiue	-------|--|---|------|
quirontson	--|---|--|
Dezlors reni eDieuets emeten	--|---|----⌫|---|-|-⌫|--|-|
D ez anemisde nfer qui	-⌫-|-----||-⌫---|--|
plainsderage .	-----|-|----⌫|
L apos tol e	|----⌫---⌫|
pucelesag e	-----|---⌫|
Etlidist Belesuerbiencroi que soiezbonne	-|-|---|---|---|---|---|--|----|----|
Pageu01P382	----------|
QuantDi eupar	----|--⌫-|--|
deu ant touscestelestreuous	---⌫--|---|----|-----|---|
Fes tezla tantostlireaaucun epersonne.	---⌫--|-|------|---||-----⌫|--------|
Unsaigec ardin allapuceleares s on ne	-|----|-⌫-----⌫-|-|-----|----⌫-⌫--⌫-|
Doucementlid ist Sirecestre	--------|-|-⌫--|---|-----|
lestrelissiez	-----|------|
Lecar dinalrespont Centmercisen aiez	-|---⌫----|------|---|-----|-|---|
Quantlam a uezbalie.Auxgens	----|-||-⌫--|-----|--|---|
dist Co issoyez	---|--⌫-|----|
Ietruisencestrelaitre(bienueulque lesachiez)	-|----|-|-----|-----|----|---|--|-|-------|
Quecesai ntcorspour quinous	--|-|---⌫-|---|---|--|---|
somme sas emblez	-----⌫|--⌫-----|
FufisEuphemien Ale xisestn ommez.	-|--|--------|---⌫--|--|-⌫-----|
En cest ostel	-|---|----|
i lest trespasez	-⌫|--|--------|
Pourl amou rde	---||----⌫|-|
Dieua soufertmaintez	---||------|------|
EnAlphi s lacit e ́fubiend is	-|-----⌫|-|---⌫-⌫|-|---|-⌫-|
N uspourezetde schauscom me poure	-⌫-|-----|-|--⌫-----|---⌫-|----|
Au tan tademouréc emmepo urepena n s	--⌫---⌫||-------|-⌫---|--⌫--|----⌫-⌫|
So uslez degrez sonpére.Lorsfu le	--⌫-|--|-----|--|-----|---|-|-|
crisigran s	--|-|----⌫|
Ca painesoïton aRo m meDi eu	||-----|---|-||--⌫-⌫-|--⌫-|
Iecroy con noyonquez si	-|---||-||-|-----|-|
grantduel demener.	----|---|-------|
Pa geu01P 383	--⌫------⌫--|
Lor s d i stle cardinalEncoreueul parle r	---⌫|-⌫-⌫-|-|-------|-----|---|-----⌫|
lec i ezmoyma laitreparfiner .	---⌫-⌫-|--|-|-----|--------⌫|
cesain thommeunedam ee spousa	-|----⌫|----|--|---⌫|-⌫-----|
Mezonquezcharnelmentaso n co rpsn	--|-----|----------||--⌫|--⌫--||
Quant dep art i d e lieson anel li coupa	----|---⌫---⌫|-⌫|--|--|---|-|----|
u e ze n ci lamoitiéLapuce lec ria	-⌫-⌫|-⌫|-|-|------|-|----⌫-|-⌫--|
Quantcez moz	----|--|--|
enten diLassemaleür ée	-----⌫-|----|--|----⌫--|
Iay bienl autremoitié	|-|---||----|------|
trenteet quatre ans gard ée.	-----|-|-----|--|----⌫---|
Moutdolentel atai n t. Tel uertu	---|------||----⌫-⌫-|--|----|
laiournée	-|-------|
Fi stDieu que lunepiechees ta	--⌫-|---|--||--|-----|--⌫||
lautre s oudée	|----|-⌫-----|
Sibi enqu il ni	-|--⌫-|-|-|||
pa rut conq uezfus tdepar tis.	--⌫--||---⌫--|---⌫|-----⌫---|
Delapitiéplour érent tresto usgra ns etpetis.	-|-|-----|-----⌫-----|------⌫-|---⌫-|-|-----|
Mout gr ant	---|--⌫--|
dueldemena le pérepo urle	---|-----|-|----|--⌫-|-|
Sespoinsteurdoi t deraige	--|----|-------⌫|-|----|
etde ssiroitsonuis	-|--⌫------|--|--|
Puisd istF ilz	---|-⌫--|-⌫--|
Alexisgr ant duelm asdemo nstré.	-----|--⌫--|---||-|----⌫------|
Commentas siuilmentgeü sousmo ndeg ré	------|-|-|------|---|---|--⌫|---⌫--|
Helasdoulentpec heurpechiéma bientem pté	----|------|---⌫---|------|||---|---⌫---|
Q uantendisetsetans	-⌫---|-|--|-|--|--|
n aymonfils	|-|--|---|
Page u0 1P384	----⌫--⌫----|
Puisdist Fie xAlexiscestelestreestsauuage.	---|---|---⌫|-----|----|-----|--|-------|
Nesay outuaspr issi	-|--|-|-|-|--⌫-|-|
merueleus courage	--------|------|
Que desousmonde gr é es morta	--|-----|--|--⌫--⌫-|-|---||
te l hon tage .	--⌫|---⌫----⌫|
Ie t ecuid oief erete nirmon	-|-⌫|----⌫--|-⌫--|--⌫--|--|
heritag e.	-------⌫-|
Hée chier fis	---|----|--|
Alexislecuermefentp o urtoy	-----|-|---|-|---|-⌫-⌫-|--|
ate ndoi e au	---⌫----⌫|-|
iou rduyp a rma foy.	---⌫||-|-⌫-⌫|-|---|
Pasneteconn oissoie siestoiz prezd emoy	--|-|-|----⌫------|-|-----|---|-⌫|--|
Laméred aut repart	-|----||---⌫-|---|
outaucuergran t esmoy	--|-|---|----⌫|----|
Si trestot comme	-|------|----|
el le otla	--⌫-|-|-|
paroleent end ue	-----|---⌫---⌫-|
Comfemmeforsenéeestuersson filzuenue.	--|----|--------|--|---|--|---|-----|
uil men tleuitgesirsurlanateuelu e.	---⌫---⌫|-|--|----|--|-|---|----⌫-|
Qui nele u stsoustenuep asmée fust c heüe.	--|-||-⌫-⌫-|--------|-⌫-----|---|-⌫-----|
pasmeruelle sellemout	--|-------||---|---|
sedemen te.	-|-----⌫--|
ElledistAl exis detabeleiouuen te	---|---|--⌫---|-|-|---|------⌫-|
Quas ten uesi	-|-|---⌫-|-|
uiledonc iesui mout	---|---|-|--|---|
d o llente	-⌫-⌫-----|
E ts auoiessou s toy tant de si	-⌫||-----|---⌫|--|---|-|-|
be le re nte	--⌫-|--⌫--|
B iaus f i sc est	-⌫---|-⌫-⌫||--|
grantmerueil lequ e	----|-------⌫-|--⌫|
monlascuertantdure	--|--|---|---|---|
fentendeuspars oudan goisse oud	---|-|---|---|-||--⌫-----|-||
Pageu01P 385	--------⌫--|
Quant ie uoy	----|-|--|
mor t g esi r	---⌫|-⌫---⌫|
monfis atel ledure	--|--||--|-----|
Lap u celerefi stgrant	-|-⌫-⌫---|----⌫-|----|
deulad esme sure.	---||-⌫----⌫----|
Par la precedezgenssen	--|-|----|--|---||-|
courait la	------|-|
Forme n t tor doi t ses	-----⌫-⌫|---⌫---⌫|--|
poinset gratoitsa forcel e.	----|-|------|-|------⌫-|
Pardesuslecors saint	--|----|-|---|----|
fust cheüe la bele	---|-----|-|---|
Quantle sain tapostolle la retientet apel e.	----|-|----⌫|--------|-|------|-|----⌫-|
crioitcommefame desuée	-----|----|---|------|
Chi e r amis	---⌫-⌫|---|
Alexi scom dure	-----⌫|--|---|
M out uousay aten du eten bo nn e pens é e	-⌫--|---|-|----⌫-|-|-|--⌫--⌫|----⌫--⌫|
Ormauezuou s lessiedet ous biensesgarée.	-||---|---⌫|-----|-|-⌫--|----|--------|
Iesuisbiende	-|---|---|-|
tou sp oins	---⌫|-⌫---|
che üe enueuuete ́.	---⌫--|-|-------⌫-|
Iameznaray autrehommepour	----||---|----|----|---|
lauostreamite ́	-|-----|-----⌫|
S iquela sus	-⌫|--|-|--|
esci exenlasaintec lart é	-|--⌫-|-|-|-----|-⌫----⌫-|
Puissent auoirnos	-------|----|--|
amez uraie	---|----|
Moultauoien t dur c ueu r ceux qu i	----|------⌫|--|-⌫---⌫|---|--⌫|
laneploroi ent.	-|-|------⌫---|
Le Pape commandat antcomle	-|---|-------|-⌫--|--|-|
dueilmen oi ent.	----|---⌫--⌫---|
Conator nastlecorssi q u	|-|----⌫---|-|---|-|-⌫|
ill emporteraien t	-||------------⌫|
Mezlesr uesde	--|--|-⌫--|-|
Rometoute zplainez est oient .	---|-----⌫|------|---⌫-----⌫|
P ageu01P38 6	-⌫---------⌫|
L apostolle	|--------|
leur distSeign ieurs soiezcertains	---|---|-----⌫----|----|-------|
Sen eprenon couseilno us seroniaestains	-|-⌫|-----|------|--⌫-|----|-|------|
ruezsontplainezde franse t	---|---|------|-|----|-⌫|
Ieloquele tresor de	-|-|--|-|-----|-|
Rom esoi tatains	---⌫|---⌫|-----|
Etsoit gectéagen s. Sisedepartiront.	-|---|-----||---⌫-|-|-|-----------|
Etilontrespo ndu uolentiers le feront.	-|-|--|-----⌫--|---------|-|------|
Largentgi et ent ezruezlesgens	|-----|--⌫--⌫--|-|---|--|---|
semblantnenfont	-------||-|---|
A ueoirlecorssa int	|----|-|---|--⌫--|
si grand desirier ont	-|----|-------|--|
Qu ilneso n tpourl	-|-|-|--⌫-⌫|---||
argen t tantnequant remue ́.	-----⌫|---|-|----|-----⌫-|
Adoncful eco rssaint	----|-|-⌫|--⌫-|----|
desplus f or tsgensle ué	--|---|-⌫--⌫-|---|--⌫--|
A mout grant painesont parla prese	|---|----|----|---|--|-|----|
N youtroynaposto lle qui nefust enpres é.	||--|--||------⌫--|--|-|---|------⌫--|
Droitement à	---------|-|
legl iseuindrentsansdem ourée	|---⌫--|-------|---|---⌫-----|
Qui desai ntBonifacelemartirfutfondée.	--|-|---⌫-|-------|-|-----|--|-------|
Moutfut ce iourla mes sesolemnelmen tchantée .	---|--|-|---|-|---⌫-|-----------⌫|--------⌫|
Lapucele isouruintqu ant elle	-|-----||-------|--⌫--|---|
fuf ine ́e	-|-⌫---⌫-|
Aleurequo n	||---|-|-⌫|
u ouloitenterrer le saint cors	-⌫-----|-------|-|----|---|
La d amo iselesest agenoulie	-|-⌫---⌫----||--|--------|
Pageu01P3 87	---------⌫-|
Puisadisten	---||---|-|
p lourant uraiDieu mis ericors	-⌫------|---|---|---⌫------|
ueulliezquede chiens	-------|--|-|-----|
nisei auiuehors.	|--|-⌫|---|----|
EtdistM ondroits ei gneur tantcomm eil fu	-|---|-⌫-|----|-⌫--⌫----|---|----⌫|-|-|
Ne uout auoiram oy soulas nedruerie.	-|---|----||-⌫-|-----|-|-------|
Di eu pri caprez	--⌫-|--||----|
samor tai esaco mpaignie .	-|---⌫|--⌫|-|--⌫--------⌫|
LetrezdousIh esuCristots	-|---|---|--⌫--|----|-||
oraisonouïe	------|----|
Carl agentilp uceletantostseconfe ssa	--|-⌫|-----|-⌫----|------|-|-----⌫--|
E t unpe titaprez	-⌫|-|--⌫--|----|
lesa intcorsregard a	-|--⌫--|---|------⌫|
A u cuerout teldestresse	-⌫|---|--|--|--------|
quen leuretrespa sa .	-|-||---|------⌫--⌫|
Lo rsle gran tduela Ro me	--⌫-|-|----⌫|---||--⌫-|
parto ut reno u uel a.	-----⌫-|----⌫-⌫---⌫-|
Pourlapucele	---|-|-----|
youtmaintelermeplourée.	|--|-----|----|--------|
Auequez sonsegnieurfulabeleen terré e.	------|--|-------|-|-|---|--⌫------⌫-|
Bel ezuertusfis t Dieupour eus	---⌫-|-----|---⌫|---|---|--|
cele iour née	---|----⌫---|
sigriefmal adeen	-|----|---⌫--|-|
tou telaco ntre ́e	---⌫-|-|--⌫----⌫-|
uenistausaintcors par	-----|-|----|---|--|
bonne ente n cio n	----|----⌫-⌫---⌫|
Quilneu sttost etenl	-|-||--⌫-|---|-|-||
eu redesezmausga rison.	--⌫-|-|--|---|--⌫-----|
SaintAlexisso ufrygranttribulation	----|-----|--⌫---|----|----------|
Pourauoi rparadis en la	---|----⌫|------|-|-|
findeprion	--|------|
Pag eu01S388	---⌫-------|
au bon saintqui	-|--|----|--|
Que tesouurezfac honen	--|--|-----|---⌫--|-|
cestemortel uie	----|-----|--|
Quequant lames era	--|----||--|-⌫--|
de nos c orsdepartie	-|--|-⌫--|-------|
Auoi r p uissions dez	----⌫|-⌫-------|--|
