seulementde son eage etsil	--------|-|--|---|-|-||
alastueoi r tant fustpoures	----|----⌫|---|---|-----|
ciparole conmentsa insylaires	-|-----|------|--⌫--|------|
aloituisiter touss esfreres	----|------|---|-⌫-|-----|
es desers et passap armiuneuil e	-|-----|-|----|-⌫---|--|---⌫|
plainedesarrasin s et u inrent	-----|-|--------⌫|-|-⌫-----|
encontre saintylai r eetli	-------|----|----⌫-⌫|-|-|
priieren t k il feist	--------⌫||-|----|
une eglise	--|-----|
mesistzzprestredesesmoines	-----|-|------|-|--|-----|
qan tc unefois auint	---⌫||--|---|----|
quilal aou	-|-|--⌫|-|
d esert pourzz deses	-⌫----|---|-|-|--|
desiplesuisiter et d ontuintatout	-------|------|-|-⌫--|---|----|
gr antcompai gnieen une	--⌫--|------⌫---|-|--|
u ilekihesule	-⌫--|-|-----|
estoi tapelleeeti	-----⌫|------|-||
u intenzziourke cil	-⌫--|-|-|---|-|--|
delc astelfa i sso ien tgr antfesteel	--|-⌫----|--⌫-⌫---⌫---⌫|--⌫--|----|-|
te mple uenus	--⌫---|----|
diuessequilao uroient et	------|-|-|--⌫------|-|
cildel auileoi rent	--|-|-⌫|---|--⌫---|
et sorentquesainsylaireski	-|-----|--|----|------|-|
maintsarrasinauoit	----|-------|----|
deldiable tres passoitpar illuecil	--|-----|----⌫------|--|-----|-|
issirenttuit	-------|---|
e nsemblehors	-⌫------|---|
contrelui atoutlour	-----|--|----|---|
femesetlour enfantet	----|-|---|-----|-|
ta ntostconm i lleuirent	--⌫----|---|-⌫|-|-----|
baissierent lo ur	----------|--⌫-|
conmenci erentahauteuo isacri er	--------⌫----||----|--⌫-||---⌫-|
etadir eensiriiene	-||---⌫|-|-------|
langhe cou est	-----|--|--|
direbeneic onmout	---|------⌫-|---|
simp lement etmout benignem en t	----⌫-----|-|---|--------⌫--⌫|
silo urpristaproi erqu	-|--⌫-|----||----⌫-|-|
aouraissentno s tresig no r li	----------|--⌫-⌫--|---⌫--⌫|-|
sai nslour	---⌫-|---|
fistbeneicon et	---|-------|-|
la ouil lourdisoit	-|-|-|---|-----|
etd emonstroitce s	-|-⌫---------|--⌫|
par olesil	---⌫---|-|
re gardauersleciele mplourant	--⌫----|---|-|---|-⌫|-------|
etloroten couue ntquecil qui	-|--|-|-|-----⌫-|--|--|--|
nostresignou rcreoient	-----|------⌫|-------|
aeusmoutsouuent or poésuo usue i r	|--|---|------|-|----|--⌫-|--⌫-⌫|
meruillousegrassesde	----------|------|-|
n o stresigno u rqui	-⌫-⌫---|-----⌫-⌫|--|
e l sainthome	-⌫|----|---|
e stoientcar onquesne	-⌫------|--|-----|-|
lelaissiere nt issirdelcast el	-|---------⌫-|----|--|----⌫-|
otdeuis éla maniere du ne	-|-----⌫-|-|------||-⌫-|
eglisefair e etde	-----|----⌫|-|-|
sacompaignie q u iilloec	-|---------|-⌫-⌫|-----|
d emourentp ou rens ig nier	-⌫-------|-⌫--⌫|---⌫--⌫---|
entendre le loi nostre	-------|-|--|-----|
sonseruice fairequ anttout	--|------|----|--⌫--|---|
co ufufai tet	--⌫|-|---⌫|-|
li sains hom sem partidelaet	-|----|--||-|----|-|-|-|
al a la uoi equ ilauoit	--⌫|-|---⌫|-|-|----|
ent reprise	---⌫------|
e n un autre	-⌫|-|----|
tans apresauintque	---|----|----|--|
sai ns y lairesseremi stala	---⌫-|-⌫-----|-|----⌫-||-|
uoiepourale ruisiter lesabiessi	---|---|---⌫|------|--|----|-|
ie uousaideui sé quil	-|---|-|----⌫--|-|-|
sol oitfaireil deu isa mout	---⌫--|----|-|---⌫--|---|
ente ntieuementses fr eresen sam bleles	----⌫---------|--|--⌫---|--⌫---⌫--|--|
que uxil aueroitplus	---⌫-|-|------|---|
etlesqueuxi l	-|--|----|-⌫|
trespasseroit plustostpor	------------|---|---|--|
tor bequi sieu oient	---⌫-|--|----⌫----|
sa compaign ie	-|--------⌫-|
cip aroleconm ent	-|-⌫----|----⌫--|
priierentsain tylai re quil	--------|----⌫|----⌫-|-|-|
alastherber giera	----|------⌫---||
le maiso n	-|-----⌫|
de leur fre rekiestoit	-|---|---⌫-|-|-----|
tropesc a rs s	---|---⌫-⌫-||
ialerent et	|------|-|
de sesuois ineetiliauoitmis	-|--|----⌫--|-|-||----|--|
wardesporencacierlourfreres	-----|--|-------|---|-----|
parl e scar seteq ue n lu i	--||-⌫----⌫---|-⌫|-⌫|--⌫|
lifrerelidissentqui l	-|----|-|------|-|-⌫|
he rber gierauoeczzmoine	--⌫----⌫---|----|-|----|
quiestoit enlauoiecaril n	--|-----|-|-|---|--|-||
auoito n que s	----|-⌫-⌫---⌫|
estéen samaison	----|-|-|-----|
sicom ilqu idoient cilmoines	-|--|-|--⌫------|--|-----|
esto itmoutesch ars de	----⌫-|---|----⌫--|-|
g r antmaniere et pour cou p rioient	-⌫-⌫--|------|-|---|--|-⌫------|
lifreresaintylaire	-|----|----|-----|
kili alastet	|-||----|-|
atem prast de celma luaisuisse	----⌫----|-|--|--⌫----|----|
kienluiest oitetl isa ins hon s	-|-|--|---⌫--|-|-⌫|--⌫--|---⌫|
resp ondiasesfrer es	----⌫---||--|----⌫-|
ki ce lui pr ioientetlor d ist	-|-|--|--⌫-----|-|--|-⌫--|
pourqueuolésuous	---|--|-----|---|
fai recossequil	---⌫-|----|-|-|
neuouse stmie	-|---|-⌫-|--|
plai sansne conue nables	----⌫---|-|-----⌫-----|
et quiaufrereouuous	-|--|-|----|-|---|
me uole ́s	-|----⌫-|
fairea l ernuira	----|-⌫-⌫-|----|
lifre resd equicele parole	-|---⌫--|-⌫|--|---|-----|
estoi terten	-----⌫|--|-|
lacompaignie	-|---------|
q uantiloi ensi	-⌫---|-|-|---|
parlerlesai nt	-----|-|---⌫-|
home sienrougiet ot grant	---|-|------|-|-|----|
tou tes uoiesproiailtant	---⌫--|----|----|-|---|
parlaie desautres	--||--|--|-----|
que li s ainsh om	--|-|-⌫---|-⌫-|
emuis audissimei ou r	----|-|------|-⌫--⌫|
i ltoutensamb lelim oinee sc h a rsa	-⌫|---|------⌫-|-|-⌫---|-⌫--⌫-⌫-⌫-||
quima isons	--|--⌫----|
sainsylairesestoituenusa tout	----|------|-----|----|-⌫---|
sa compaignie auoitune	-|---------|----|--|
uigne autorsquilembuissast et	----|-----|-|-|---------|-|
mistses gardespor	---|--|-----|--|
ses freres	--|-----|
qu i lae sto ientuen ucar la uingne	--⌫|-|-⌫---⌫---|---⌫|--|-|-----|
estoi t tou te meure	-----⌫|---⌫-|----|
si conmeeltansdeuen d engesla	-|----|-|---|-|---⌫-⌫----|-|
iut lasai n t	--|-|---⌫-⌫|
atotesac ompaignieet se	|---|-|-⌫--------|-|-|
frer esu oloitalerpour pour	----⌫-|-⌫----|---|---|---|
desroisinsa	--|------||
leu ingneci lquil e	-|-⌫----|--⌫|--|-⌫|
uingn egar doient l o r	-----⌫|---⌫-----|-⌫-⌫|
desfendoientdecaill iauset	-----------|-|-----⌫---|-|
r ocesetdefondes	-⌫---|-|-|-----|
d ontil l es	-⌫--|-|-⌫-|
espaontoientlamatinees en	-----------|-|------||-|
alerent trestoutsanscou que	------|-------|---|--|--|
desroisins e uss entg ousténe	--|------|-⌫---⌫--|-⌫-----|-|
m angiésa insylaires	-⌫-----|--⌫--|------|
en sourist	-|------|
etfistsamblant q uedet outcoun	-|---|-------|-⌫-|-|-⌫--|--||
enseu st nie nt a pres	-|---⌫-|---⌫-|-⌫---|
herb e rgierentcele	----⌫-⌫-------|---|
n uitazzautre	-⌫--||-|----|
moinekiles	----|-|--|
recut moutliement	----|---|------|
sabbasestoit	-----|-----|
ape llésparno n de	---⌫----|--|--⌫|-|
le scarsnedo itauo ir	|-⌫----|-|--⌫-|---⌫-|
nuleloengec ar desca rsetesuient	---|-----|-⌫-||----⌫-----|----|
auari sse quedieus	-----⌫--|--|----|
hetplusque	--|---|--|
nesunuissesicon	----|----|-|--|
tuits euen turaieme nt	---|-⌫----⌫|-------⌫-|
uo eltrespasserbri ementcar	--⌫-|---------|---⌫----|--|
ne stor elius de	|-⌫-|--⌫|---|-|
cou descrire keli auern en	--|-------|-|-|---||-|
aie nt i r e	---⌫-|-⌫-⌫|
leu r anui eroitq u antl escaitiuet es	---⌫|----⌫----|-⌫-⌫--|-⌫-|--------⌫-|
oroi ent etles dolours	----⌫--|-|--|------|
at entsili e stoir esn enou s	--⌫--|-|-|-⌫-----⌫-|-⌫|---⌫|
diemence sestoitliioursque	--------⌫|-----|-|----|--|
s ain sylairesuinta lostelle	-⌫---⌫|------|---|||----|-|
kilar gementet ben ignementl e	-|---⌫-----|-|---⌫-------|-⌫|
herber ga pourcodistl i	------⌫-|---|-|---|-⌫|
moines as frere s quiu enue stoient	-----|-|-----⌫|--|-⌫--|-⌫------|
en laco mpaignie	-|-|--⌫-------|
a usaint homepor ce quilestoit	-⌫|----|---|--|-|-|-|-----|
diemencesqu	--------|-|
ilalaissent	-|--------|
enla u ingneki touteestoi t	-|-|-⌫----|-|----|-----⌫|
meure simangaissentet	----|-|----------|-|
r eposs aissentetpres is sentde	-⌫-----⌫------|-|----⌫--⌫---|-|
cesroisins quant sa ins ylaires	--|------|----|--⌫--|------|
p ar lersi	-⌫--⌫--|-|
est maleiskipr emiers	--|-----|-|--⌫-----|
quiert le refectiondelcorsquede	-----|-|--------|--|---|--|-|
m aisfa isso mes	-⌫--|--⌫----⌫--|
nosorisonssi disonme snos orison s	--|------|-|-------⌫|--|------⌫|
anos tre signor sico mnous d euons	|---⌫--|-----|-|--⌫|---|-⌫----|
a presi rés	-⌫---|-⌫---|
enlaui ngnetuitlif rere fi ssent	-|-|--⌫---|---|-|-⌫---|--⌫----|
lourconmandement et	---|-----------|-|
fissentlour	------|---|
o risons et lour	-⌫-----|-|---|
proieres etdissentloursaumes	-------|-|------|---|-----|
etqua ntilorentlorof fisse	-|---⌫-|-|----|--|--⌫----|
finésains ylairesb en eila	----|----|------|-⌫--⌫-|-|
et puisdistas sesfreresque	-|---|---|-|--|-----|--|
poroie n t b ienal ers eil	------⌫-⌫|-⌫--|--⌫-|-⌫|-|
uol oientetil sifissentet	---⌫----|-|-|-|------|-|
biensaciés q u	---|------|-⌫|
il estoient	-|-------|
bienadont ensambleyy mi lequ i	---|----|-------|-|--⌫-|--⌫|
to utfurentenla	--⌫-|-----|-|-|
desroisinsmang iere nt	--|------|----⌫----⌫-|
deuant cequ ile ntraissent	-----|-|-|-|-⌫---------|
uingne lepooitombienes me r	-----|-|----|-|---|--⌫--⌫|
liuinsquiestoi ta para ns	-|---|--|-----⌫|-⌫----⌫-|
me suresteuscommil l	--⌫----|---|---|-||
auoitadonten	----|----|-|
lac ontree	-|-⌫-----|
aprescesyy iors	----|--|-|---|
quelifre rei	--|-|---⌫-||
orent e ste ́fuli uingne	----|-⌫---⌫|-|-|-----|
ue n den gi esi en recueill i	--⌫-⌫---⌫--⌫|-|-|--------⌫|
mesures neonquesm aisnauo it ele	------|-|-----|-⌫--||---⌫-|--|
tan tportéa yyfois liautr e fre r e	---⌫|-----||-|---|-|----⌫|---⌫-⌫|
qui e scarsestoitue ndenga	--|-⌫----|-----|--⌫-----|
sauingnedont il	-|-----|---|-|
laissiésgousterlamainiedelsaint	--------|------|-|-----|--|----|
sieni o tma insassesqui i onk es	-|-||-⌫|--⌫--|----|-|||---⌫-|
qui leno t d euinttou saisiens	-|-⌫|-|-⌫|-⌫----|---⌫|------|
siconque s	-||-----⌫|
boireetcestecosse d istsains	----|-|----|----|-⌫--|----|
ylairesassesfrer esk	------|-|--|----⌫-||
deuantcouk ilfustauenuli	-----|--||-|---|----|-|
hom lesesc u menioi tmoltet	--|--|---⌫-⌫------⌫|---|-|
blamoit lesmoinesquilo rcoses	------|--|-----|--|--⌫|----|
gar doi entparc onuaitisseetki	---⌫---⌫--|--|-⌫---------|-|-|
mentoientlorde ligenseet lor	--------|--|--⌫------|-|--|
en despenset	-|------|-|
u este ures etenautrescosses uaines qui	-⌫----⌫---|-|-|-----|-----|-----|--|
tost sontpassees	---|---|------|
apres couauint cuns f reres	----|--|----||--|-⌫----|
a cata zzco urtiseldedeniers	-⌫---|-|--⌫------|-|------|
quila uoitienesai	-|-|-⌫---|-|-|--|
mani e reili	----⌫-⌫-|-||
est oient uenu	---⌫----|---|
ne par queloeurel isai nshoml en	-|--|---|----|-⌫|---⌫-|--||-|
auoitc ontre	----|-⌫----|
cuerneil ne	---|-|-|-|
uoloit mie que il	-----|--|--|-|
deuantlui uenist	-----|--|-----|
pourcequ ilauoit	---|-|-|-|----|
tel cossefa iteetsim anoit li	--|----|--⌫--|-|-|-⌫----|-|
freresasse spres	-----|----⌫|---|
iluenoitmo utsouuenta sfreres	-|-----|--⌫-|------|-⌫|-----|
saintylaireetparloit	----|-----|-|------|
aeus et ahesiciu mausi kip lus	|--|-||-------⌫|---|-|-⌫--|
fam illiersestoit	---⌫------|-----|
ciparoleconmentzz	-|-----|------|-|
auoitac hatézzcourtil	----|--⌫----|-|------|
deniersk ilauoitr ecutmaisse me nt	------||-|----|-⌫---|------⌫--⌫-|
s i enaporta des	-⌫|-|-----|--|
pr emieres	--⌫------|
semencesauoec sai n tylaireetses	-------|----|---⌫-⌫|-----|-|--|
f reressiprioient si	-⌫----|-|-------|-|
comnele pooi tsosfrir	|-|-|-|----⌫|------|
s ain s lesfistmetre deuantles	-⌫---⌫|--|---|----|-----|--|
etl e s ua kesetsi tost	-|-⌫-⌫|--⌫--|-|-|---|
sent ir entceser bessisen	----⌫--⌫--|--|--⌫--|-||-|
d elsaintho me kenus	-⌫-|----|--⌫-|-|--|
des autres	--|-----|
si parloi ta eus	-|------⌫||--|
pourcequ ille recordaissentau	---|-|-|-|-|------------|-|
sainth ome	----|-⌫--|
pluspreudomes pou rmenerensa	---|--------|---⌫|----|-|-|
compaignieetdont alatantqu	---------|-|---|--|-----|
qinti oura peluse c est	---|-⌫--||-----||--|
uneu ile de	--|-⌫--|-|
lap resauoit zzdeser tki	-|-⌫--|----|-|-----⌫|-|
lic ouiesestoitapelléss i	---⌫----|-----|-------|-⌫|
habitoient s aintho me enhermi tage	---------|-⌫---|--⌫-|-|-----⌫---|
ceusala lis ainsho m	---|--|-|-⌫---|--⌫|
etuisiteretpu i salaa	-|------|-|--⌫-⌫|--||
qu e omapeloitthobastan pour	--⌫|-|------|--------|---|
il uoloitueoirs aint	-|-----|----|-⌫---|
dr aco iseleuesqueetlecon fesq ui	--⌫---⌫--||------|-|-|---⌫--|-⌫-|
habitoitde la s ena la y y	-------|-|-||-|-⌫-|-⌫|
i ours enbab iloinepouruisite rs aint	-⌫---|-|---⌫-----|---|------⌫|-⌫---|
filoneleues que etleconfes de	-----||----⌫--|-|-|-----|-|
rala d roit	---|-⌫---|
azzcastelkiaf fridi cion	|-|-----|-|--⌫-----⌫---|
latr ouuail	-|--⌫---|-|
basyen ledia kenekisoloitles	-----|-|---⌫---|-|-----|--|
kam eu s linerpour porter	---⌫--⌫|----|---|-----|
enladesertinea ceusquialoi ent	-|-|--------||---|--|----⌫--|
a saint anstoinecil	|----|-------|--|
s enalaauoeceu s etalerent	|-|--|----|--⌫|-|------|
paryyi o urs	--|-|-⌫-⌫--|
ladeserti ne	-|-------⌫-|
quiluinrentalihaut e montai gneou	-|-|------||-|----⌫|------⌫--|-|
sainsanstoinessoloit	----|--------|-----|
habiterqu antilertenui ela	------|--⌫--|-|--|-|--⌫|-|
trouuerent yyf reresm oines	---------|-|-⌫----|-⌫----|
kifudesipl esaint anstoine liun s	-|-|------⌫|----|-------|-|--⌫|
auoitanonysacet	----||--|---|-|
a u treplusy anuscil ysacauoit	-⌫-⌫--|-----⌫---|--|---|----|
esté l a timi erss a int	----|-⌫-⌫----⌫--|-⌫-⌫--|
anstoinepourparlera	-------|---|-----||
ceusquialui	---|--||--|
ueno ien tde	----⌫---⌫|-|
diuerslangages qua nts ainsylair es	-----|-------|---⌫-|-⌫---|-----⌫-|
uintaul iu ousainsanst oines	---|-|-⌫-|-|----|----⌫----|
soloitha biteril le reg a rda	-----|--⌫----|-|-|---⌫-⌫--|
mou tcartropsanloitdelitable	---⌫|--|---|------|--------|
laroceestoithaute etbele	-|---|-----|----|-|---|
etau pietdeso ussourdoient	-|-|---|----⌫-|---------|
fontainesdouces etc leresets our	--------|-----|-|-⌫----|-|-⌫--|
le ruis deces	-|---|-|--|
f on taines au oi td	-⌫--⌫-----|--⌫--⌫||
u ne part etd	-⌫-|---|-||
au trespaumiersag rant	--⌫---|-------||-⌫---|
pl ente quigrant pourfitrendoient	--⌫---|--|----|------|--------|
etle liuembelisso ient	-|-|--|---------⌫---|
moutsain s ylaires	---|----⌫|------|
aloitde toutes	----|-|-----|
pars auoecles deciples s aint	---|----|--|-------|-⌫---|
anstoine quil auoit	-------|-|-|----|
trouu ésetsi disoient ci	-----⌫--|-|-|-------|-|
lisainshomenoris onset ci	-|----|--|-|----⌫--|-|-|
ouroi tiletciserepai sso it	-----⌫|-|-|-|-|-----⌫---⌫-|
e trep ossoitquanti le stoit	-⌫|---⌫-----|----|-⌫|-⌫----|
lassé s cesarbres plantail	------⌫|--|-----|-----|-|
ces erbesaussi asses	--|----|----|-|--|
ma inset cele	--⌫--|-|---|
pescune fistilpa r	------|---|-|--⌫|
granttrauail po ur arousersoncourtise l	----|------|--⌫-|------|--|--------⌫|
etce sarclo irot	-|-|------⌫-|-|
ilm outlongement	-|-⌫--|--------|
poursacleretce	---|-----|-|-|
h auw el pour hauwe rlaterr e	-⌫---⌫-|---|-----⌫|-|----⌫|
li sainshomsains ylaires se	-|----|--|----|------|-|
coucoit en	------|-|
lacelesaint	-|---|----|
anstoine et baissoitleliuoui l	-------|-|-------|-|--|-|-⌫|
auoit g euausi doucement	----|-⌫-|---|--------|
sa inshomigeustencore	--⌫--|--||----|-----|
lisainshomlau oi t	-|----|--||--⌫--⌫|
s i kier co n si l fustencoreen	-⌫|---|--⌫||-⌫|---|-----|-|
ui e l acel en auoit	--⌫|-⌫|---⌫||----|
p lus delo nc nede le	-⌫--|-|--⌫-|-|-|-|
setantno nc	-|---|--⌫||
unshomdormants	--|--|------||
estendre dont s	-------|---||
alerent a grantpaine en	------||----|----|-|
la trouerentilyy	-|--------|-|-|
celetes ou	------|-|
sains anstoi nesau oi th abité	----|------⌫--|--⌫--⌫|-⌫-----|
fu ir et eslongierlan uidesgens qui	--⌫-|-|--------||--⌫-|--|---|--|
uenoientagr ans tourbes	-------||--⌫--|------|
aluie tce syyceletes	|--|-⌫|--⌫|-|------|
e ntailliesen larocequant	-⌫--------|-|-|---|----|
i lo rentlaestési	-⌫|-⌫---|-|----|-|
repairierentelcourtilariere et	-----------|-|------|-----|-|
dont parla	---|----|
ysaca sai nt	---||---⌫-|
yla ire etsi dist	---⌫--|-|-|---|
ueés uosces	----|--|--|
paumiersetces	-------|-|--|
a rbres entreil	-⌫----|----|-|
auint cosseore a	----|----|--||
yyan squeunsfousde	-|--⌫|--|--|---|-|
bestes sauuagesuinrentcisi	-----|-------|------|-|-|
co nme nc i erentler bea	--⌫---⌫--⌫-⌫----||--⌫-||
m angi e re t	-⌫----⌫-⌫|-⌫|
sains anstoinesconmanda	----|--------|-------|
l unedes maistres best es	|--|--|-------|----⌫-|
aarest er etpuisqueli sains	|-----⌫-|-|------|-|----|
otcon mand é	-|---⌫----⌫-|
labesten e	-|----|-⌫|
s ossa mouoird ontle	|---|-----|-⌫--|-|
conmencaabatre	-------||----|
parmiles costes	----|--|-----|
po ur coim angiés uo us cou	--⌫-|--|-⌫------|--⌫-|--|
ke uou snesemastesmie	-|---⌫|-|-------|--|
plusnedistainsconm and ala	---|-|---|---|----⌫---⌫|-|
qu eletenistsauoie	-|--|-----|-|---|
ainsp uis celiourne	---|-⌫--|--|---|-|
furentl es	-----|-⌫-|
bestest anthardi es	-----|-⌫--|-----⌫-|
encoreuenissentelesboireala	-----|--------|---|----||-|
fontainequeele	-------|--|--|
del co urt il	--|--⌫---⌫-|
goustaissent	-----------|
quant li moin es	----|-|----⌫-|
otceste cosecontee	-|----|---|-----|
sainyla ires	---|---⌫---|
queil limonstrastletombesain t	--|-|-|--------|-|----|----⌫|
anstoineienesai sili	-------|-|-|--|-|-|
moustrerentn eensignier e ntpour	----------|-⌫|---------⌫-⌫-|---|
cou ke sainsa nstoines	--|-|----|-⌫-------|
desfendusic omie	-------|-|-⌫-|-|
aico nt é e nsa	-|--⌫--⌫-|-⌫|-|
u ie adont	-⌫-|----|
partisains ylairesdelaet	----|----|------|-|-|-|
rep aira ta ntqu ilu int	---⌫---|--⌫---|-|-⌫--|
au castel da ff roi dicionqui estoit	-|-----||-⌫--⌫---⌫-----|--|-----|
a len tre e deledesertine	||--⌫---⌫|-|-|--------|
ladepar ti il	-|-----⌫-|-|
toutesacompaignie	----|-|---------|
siqu il nedetient	-|-|-|-|------|
auoeclui kede usdese sfrere s	----|--|-|--⌫-|-|--⌫|-----⌫|
dontsena la demourer	---||-|-⌫-|-------|
elpl us prochainhabita cle qui	-|--⌫-|-------|------⌫--|--|
estoit pour meneruie	-----|---|----|--|
solitairedon tcon m enca aauoir	--------|---⌫|---⌫-⌫---||----|
l uigrantabstine ncedetoutes	-⌫-|----|-------⌫--|-|-----|
carne u x cosseset a	-----⌫-⌫|-----|-||
tenirsi grant	----|-|----|
silence con sil	------|--||-|
conmencasta	---------||
s eruirpremie reme nt	-⌫----|------⌫----⌫-|
nostres igno rcarilne quidoit	-----|-⌫----⌫|--|-|-|------|
charshu mainepeustestre	----|--⌫----|----|----|
assestrau illiepou rauoir uie	----|----⌫----|---⌫|----|--|
p armanable	-⌫--------|
conment sainsylaire s	------|----|------⌫|
sin auo it	-||---⌫-|
cele co ntreebi en	---|--⌫----|--⌫-|
auoitp assé yyans si	----|-⌫----|-|--|-|
tout eli gentmoroient defaim si	----⌫|-|---|-------|-|---|-|
prierenta saintylairek il	-------||----|-----||-|
fesistp louoiretil plut	-----|-⌫-----|-|-|---|
etliserpent et	-|-|------|-|
liue rmine	-|--⌫----|
conmen caa i ssirhors d etere	------⌫-||-⌫---|---|-⌫|---|
t e rmineadontauoityyans	-⌫-⌫----|----|----|-|--|
iln au o i tpleu encel e	-||--⌫-⌫-⌫|---|-|---⌫|
contreesi estoie ntlesterres si	------|-|------⌫-|--|-----|-|
s eces que herbeneautre	-⌫---|--|----|-|----|
chose qui deter re	----|--|-|---⌫-|
pe ustnaistre	--⌫--|------|
peustte nirsauerdureetles	----|--⌫--|-|------|-|--|
di soient que cele gr antseker ece	--⌫-----|--|---|--⌫--|-----⌫--|
estoit po urlemortsaint	-----|--⌫-|-|---|----|
a ns toineet queli ele ment	-⌫--⌫----|-|--|-|---⌫---|
plor oien tc e stque l es	----⌫----⌫||-⌫-|--|-⌫-|
deusde faloientp ourc ouqu	|--|--⌫-------|-⌫--|-⌫-|-|
estoittrespassésdec est sie cl e	-----|----------|-|-⌫--|---⌫--⌫|
dontu intlarenomee	---|-⌫--|-|------|
sain tylaires isesmourent	----⌫|-----|-⌫||--------|
homese tfemes	----|-⌫|----|
quiestoien t	--|-------⌫|
des c oulouréparfamine	---⌫-⌫-------|--|-----|
etdemandere nt q uila nostresignor	-|---------⌫-|-⌫|-||-----|-----|
proiastquepluieuenist	------|--|----|-----|
s ourlatere dontelefu tarousee	-⌫--|-|---|---|--|--⌫|------|
quantsainsylair es uit le	----|----|-----⌫-|--|-|
peul eenteldestrecesien fu	----⌫|-|--|-------|-|-|-|
d ola nsas encue rd ont	-⌫---⌫-||-⌫-|---⌫|-⌫--|
orisona nostresignour qui l	-----||-----|------|-|-⌫|
enuoias tpluie sourla terre qui	-------⌫|----|---|-|----|--|
soustenuauoit grant	-------|----|----|
sekerece t an tost	-------|-⌫--⌫---|
co nmencaapl o uu oir	--⌫-----||--⌫-⌫--⌫--|
p arla pro i ere	-⌫-|-|---⌫-⌫--|
delsainthome et si tost	--|----|---|-|-|---|
conmelater efu	----|-|---⌫|-|
ladouc ourde laigu e aro useesi grant	-|----⌫--|-||----⌫|---⌫---|-|----|
ple n tesdeserp ensetde	---⌫-⌫--|-|----⌫--|-|-|
besteskiueni nportoients	-----|-|----⌫|--------||
esbo ulirentforssi	----⌫------|---|-|
gransmeruelleet si	----|-------|-|-|
eus sent mort	---⌫---|---|
m oltde g entdelacontree	-⌫--|-|-⌫--|-|-|------|
par leuenins ilnef uissentalé	--|-|----||-|-|-⌫------|---|
asa intylairep our	|--⌫--|-----|-⌫--|
secoursetaie	------|-|--|
lisainshom lor be nei	-|----|--|--|--⌫--|
li ahaneuret	-|------|-|
l ipasteur quienuemi n ées toient	-⌫|------|--|------⌫-⌫-|--⌫-----|
enoi ngno ient	-|--⌫----⌫---|
l orp laies	-⌫-|-⌫----|
et t antost e stoient gari	-|-⌫-----|-⌫------|---|
oil ledont lico nme ncierent	---⌫-|---|-|--⌫---⌫-------|
c ilde lacontreeaten irens i gr ant	-⌫-|-|-|------||---⌫-|-|-⌫|--⌫--|
h on o r eten sigrant	-⌫--⌫-⌫|-|-|-|----|
r eue rence conse c e fust	-⌫---⌫----|--|-|-⌫|---|
fourmedomequidescendus	-----||--|--|--------|
fu s taterre	--⌫-⌫||----|
poreussauuerdeleu r	--|--|-----|-|---⌫|
au ersit es et	--⌫-----⌫-|-|
de lour g rans	-|---|-⌫---|
ilauoientet	-|------|-|
sousfroientq uant iluitk il	----------|-⌫---|-|--||-|
dep uliié sencel e ter e etcon li	---⌫------⌫|-|---⌫|---⌫|-||-|-|
u oloitplusfaired onour	-⌫----|---|----||----|
quil n e uausi stil	-|-|-⌫|-----⌫-|-|
sedepartide	-|------|-|
laet sena l a	-|-||-|-⌫-⌫|
alixandre po ur	--------|--⌫-|
cou kil senu olo it	--||-||-|-⌫---⌫-|
aleren l a grant desertine	---|-|-⌫|----|--------|
lanuitqu i lui ntenalixa ndrene	-|---|-|-⌫|--⌫-|-|-----⌫---|-|
uautilmie herbiegier	---|-|--|---------|
enlagrantuilequepuisq uilauoit	-|-|----|---|--|-----⌫|-|----|
labitdemoin e receu nau o i t	|---|-|----⌫|----||--⌫-⌫-⌫|
i lgeuen citeainss en ala	-⌫|--|-|---|---||-|--|
asfreresq ui pr esdalixandre	-|-----|-⌫-|--⌫-||--------|
demouroien tet	----------⌫|-|
reconnurentli	----------|-|
fre r e etmoutle	---⌫-⌫|-|---|-|
re cur ent	--⌫---⌫--|
a grantioiequ ant uintdeuantla	|----|---|--⌫--|---|-----|-|
io urne e si	--⌫----⌫|-|
doi de siple	--|--⌫----|
con mencieren taat ournerlasneau	---⌫---------⌫||--⌫-----||---|-|
sainth ome	----|-⌫--|
lour uoielimoi ne delabeieli	---|---|-|---⌫-|-||----|-|
cairent aspieset l iproierent	------|-|---|-|-⌫|--------|
pordiuquesen efe sistmiene	--|--|--|-|-⌫|--⌫---|--|-|
degue rpist mie car	-----⌫----|--|--|
mieusuaus i ssentmorir	----|----⌫-⌫----|----|
perdissent s acompag nie	---------|-⌫|------⌫--|
illor respondiqu	-|--|-------|-|
dalersa u oiepou rcou quil	|---|-|-⌫--|---⌫|--|-|-|
neussent pourlui moleste	|------|---|--|------|
seussentquilsaur oient	-------|-|-|----⌫----|
p arceusquiap reslui uenoient	-⌫-|---|--|--⌫--|--|-------|
porquelcoss eil	--|---|----⌫|-|
a léss auoie	-⌫---|-⌫|---|
ciparoleconme ntiu lius ces ar	-|-----|-----⌫-|--⌫---|---⌫-|
fis tquerr esai nt	---⌫|-----⌫|---⌫-|
ylairepour ocire si	-----|---|----|-|
lecacoient	-|-------|
c il degazelac ite	-⌫-|-|---|-|-⌫--|
quidierent auoirtrouuéa labie	---------|----|------|||---|
