enu nedespartie sdegrecequi	-|-⌫-|--|------⌫|-|----|--|
fi lles et	--⌫---|-|
toutesa gent uerstroie .	----|-|---|---|----||
d esesfizot non	-⌫|--|--|-|--|
h ector liseconsparislitiers	-⌫----|-|-----|----|-|----|
deiphebus l i qu arz	--------|-⌫|--⌫--|
h elenus quim ol testoitbo ns	-⌫-----|--|-⌫--⌫|-----|--⌫-|
deuins et sa ges	-----|-|--⌫--|
a rtde nigrom an ceetli quinz	-⌫-|-|------⌫--⌫-|-|-|----|
otnontroylus .	-|--|------||
des filles otnonquassandra qui mo lt	--|-----|-|--|---------|--|--⌫-|
e stoitsage	-⌫----|---|
e tcortoiseet	-⌫|-------|-|
mo lt sotdedeuiner	--⌫-|--|-|------|
filleotnon	----|-|--|
polixenaqui estoitlaplusb ele	-------|--|-----|-|---|-⌫--|
dameque len	---|--|--|
trouuerenn u le terre. et	------|-|-⌫-⌫-|----||-|
di tli escr iz	--⌫|-|----⌫-|
prianzotyyautres enfanzetnonmie	-----|-|-|-----|-----|-|--|--|
de saf am e espou see	-|-|-⌫--⌫|-----⌫--|
qui tuitest oienti abon	--|---|---⌫----|-⌫|--|
cheualierpreuzetha rdi	--------|----|-|--⌫--|
ett ui t filde gen til z	-|-⌫--⌫|--|-|---⌫---⌫|
grantli g nage .	----|--⌫-⌫---||
t antcheminerentet errerent	-⌫--|----------|-|-------|
pria nz et celsquiolui	----⌫-|-|---|--||--|
estoi ent q ue	-----⌫--|-⌫-|
iluindrent a	-|-------||
troi e.etqu antiluirent lagrant	----⌫||-|--⌫--|-|-----|-|----|
destructiond elaciteetd oupaiset	----------|-⌫|-|---|-|-⌫-|---|-|
ladoloreuseocision	-|--------|------|
grizois auoientf etdes	------|------|-⌫-|--|
troienssifurentt ant	------|-|-----|-⌫--|
corrociéetfors en é c omme	--------|-|----⌫--⌫-|-⌫---|
furentenlermes	-----|-|-----|
etenplors par yyiorzet	-|-|----|--|-|---|-|
gr a nzoblationsausdex por	--⌫-⌫-|--------|--|--|--|
lesames deleuramis etprierent	--|---|-|---|---|-|-------|
moltdeuostementque l idi eu	---|----------|--|-⌫|--⌫-|
leurdonassentencore puissanceet	---|--------|-----|--------|-|
au x uengier des	--⌫|------|--|
grizo i s. et a pre sceontcoroné	-----⌫-⌫||-|-⌫---⌫|-|--|------|
prianta estr eroyetseignor	-----||----⌫|--|-|------|
detoutelaterresico mme	-|----|-|----|-|--⌫--|
laomedonse spere s	-------|--⌫|----⌫|
auoi testé . etquant	----⌫|----||-|----|
or ent f aitroyil prinstcon seila	--⌫--|-⌫--|--|-|-----|---⌫---||
barons de sacitere f aireet	-----|-|-|---|--⌫-⌫---|-|
partoutou urie rs	--|---|--⌫----⌫-|
ca etla quancque i lenpotauoir	-|-|-|-------|-⌫|-|--|----|
espe rgnaorne argent	----⌫---|-|-|-----|
feussent paiéto uta	-------|----|--⌫-||
leuruolent e .siencommencalena	---|------⌫||-|---------|--||
lacitepremierementlesfondemenzen	-|---|-----------|--|--------|-|
parfontetforz	------|-|---|
et la rgesa pres	-|--⌫---|-⌫---|
lal ongeur	-|-⌫-----|
et la hautes ce	-|-|------⌫-|
etfur efaiteassez plus fort plus	-|-|-⌫-----|----|---|---|---|
longue pluslee	-----|---|--|
plushautee tplusbele douurage	---|----|-⌫|---|---||------|
quelenauoit onqueseste ́caril	-|--||----|-----|----⌫|--|-|
auoientl esm arbresdur setforz	------|-⌫-|-⌫-----|---⌫|-|---|
to utesco lorsa loruolente.si i	--⌫---|--⌫---||--|------||-||
firent tantde fortre sc estout	-----|---|-|------⌫--⌫-|---|
ent ourala	---⌫--||-|
roon dequi	----⌫-|-||
enl onc eten	-|-⌫--|-|-|
ley ygra nz	-|-⌫|---⌫-|
iorne es car	-----⌫-|--|
si commenost rouonsen	-|----|--|-⌫-----|-|
l izantil nest oit	-⌫----|-||---⌫--|
o uuraged entail leurede pier reque	-⌫-----||------⌫----|-|----⌫-|--|
f air eet porpenser quinefeust en l	-⌫---⌫|-|--------|--|-|----|-||
ueurede la	----|-|-|
cit eetque entoutle mondene	---⌫|-|--|-|---|-|----|-|
porroitpas auoircite	------|--|----|---|
quilar esemblastde	--|-|-⌫--------|-|
force d e biaute	----|-⌫|-----|
degrando r et derichec e.	-|------⌫|-|-|------⌫||
quan t e lefu par faite toutentou rsi	----⌫|-⌫-|-|---⌫----|---|-----⌫|-|
laf istsi b ienet si	-|-⌫--|-|-⌫--|-|-|
meson ne r com menus	-----⌫--⌫|---⌫-|--|
homs aumon de	---|-|---⌫-|
porroitmielzdeuiser	------|----|------|
ti exyy meso nsifistfaire	--⌫-|-|----⌫-||---|----|
autresqui e stoie nt	-----|--|-⌫-----⌫-|
parmilauille que iln iauoi t	----|-|----|--|-|||----⌫|
celedesyyq ui	---|--|-|-⌫-|
feustsidesf en sableq u ele n	----|-|----⌫--⌫----|-⌫|--||
eustgarde dungrantost.	---|----||-|----|--||
aprestout ce	----|---|-|
fi stfaireo umi leude	--⌫-|----|-⌫|--⌫--|-|
l ac i teyllion	-⌫|-⌫-⌫-|-----|
cestlemestre d o ngonlou ro ysi	|--|-|-----|-⌫-⌫---|--|--⌫|-|
belsig rant si	--|-|-⌫---|-|
et sifortq uec est oitfine	-|-|---|-⌫-||---⌫--|---|
mer ueillesaregarder	---⌫------||-------|
auoityy estages sig ranz	----|-|------|-|-⌫---|
biauxe t s i ri ches	----|-⌫|-⌫|--⌫---|
sembloitu ng rantpais. si	-------|-⌫|-⌫---|---||-|
estoient limurtout	-------|-|--|---|
finmarbredeplusorscoleurs	--|-----|-|------|------|
tozentai lliez et	--|-----⌫----|-|
es toientameru eilles espes et	--⌫-----||----⌫-----|----|-|
tanthaultcom me	---|----|---⌫-|
len pooitp lusregardera us	--|----|-⌫--|-------|-⌫-|
fai zacreniaux e tatorn eles	---⌫||-------|-⌫||----⌫---|
et a autresfortrescestant	-||-----|---------|---|
tantb ienquiln e s t	---|-⌫--|-|-||-⌫-⌫|
nul quimielzlespoist f airene	--|--|----|--|----|-⌫---|-|
deuiser. alautre part	------||||----|---|
doudoisoul iroysdeuoit	--|---|-|-⌫|---|-----|
mengierotfetun molt	------|-|--|-|---|
bel auteletmerueillose ment r ich e	--|----|-|-----------⌫---|-⌫---⌫|
et desus celau telfu	-|----|--|--⌫--|-|
mislymageaugrantdieu iupiterouli	--||----|-|----|---|------|-|-|
troye nplus	-----⌫|---|
et auoientlorfiance. geuos	-|------|--|-----||-|--|
bienquetrop auoit de	---|--|---|----|-|
beles ouura ges dymager iedor	----|-----⌫--||------⌫-||-|
argente tdazuret d	-----|-⌫||---|-||
d iuerse s coleurs e nce	-⌫------⌫|------|-⌫|-|
mestre palais	-----|-----|
poin teset	----⌫--|-|
en taillieesdontil	--⌫--------|---|-|
ne str i ens qui	|-⌫-|-⌫-⌫--|--|
tant poistplaire	---|----|-----|
aregar dercar ilreflambissoit	|-----⌫--|--|-|------------|
touz d e l arg ent etde	---|-⌫||---⌫--|-|-|
lorquii estoit.si seroit	|-|--||-----||-|-----|
tropgrantanui aulisant d e dire	---|----|---|-|-----|-⌫|---|
etd e raconterl aforcelabi autel a	-|-⌫|-------|-⌫|----|-|--⌫---|-⌫|
bonte et lar ichece	----|-|-|-⌫-----|
dey llio net delacitedetr oieeta	-|-⌫----⌫|-|-|-|---|-|--⌫--|-||
cels qui l orroient	---|--||-------|
deles c outer et enten d re mes	-||--⌫-⌫----|-|-----⌫-⌫-|--|
tesmoignebien liliures	--------|---|-|-----|
quenu sfo rsdieunelaporroi t	--|--⌫|--⌫-|---|-|-|------⌫|
pri sier deualeur	---⌫---|-|-----|
e tquele n	-⌫|-|--||
auroit gardedeto zl e s	-----|----|-|--⌫|-⌫-⌫|
assauzd oumondese	-----|-⌫-|----|-|
deuers lecielne uenoit.	-----|-|---|-|-----||
qua ntl ac ite de t roief uainsi	---⌫-|-⌫|-⌫--|-|-⌫---|-⌫|----|
refai tetotelag ent do upais	-----⌫-|---|-|-⌫--|--⌫|---|
iaplutetuin tpor	|----|-|---⌫|--|
demor er sif u	-----⌫-|-|-⌫|
asseztostpueploie e	----|---|--------⌫|
deriches genzpr eu z	-|-----|---|--⌫--⌫|
etuail lanzet	-|----⌫---|-|
tant en i uint quebiengr eu er	---|-||---|--|---|--⌫--⌫-|
seilsesm eussentatouzcels	-|-||---⌫------||---|---|
auoientlacitedetroi e	------|-|---|-|----⌫|
etle pais et qu i auo ientmor t	-|-|---|-|--⌫|---⌫---|---⌫|
oc islora n cessor s caril estoient	--⌫-|--|-⌫-⌫------⌫|--|-|-------|
belegentpreuzet hardiz et	---|---|----|-|-----|-|
uaillante t ga rnidor	-------|-⌫|--⌫--||-|
argentetdetout esautresbon es	-----|-|-|----⌫-|-----|---⌫-|
ric heces . et sicommedit	---⌫----||-|-|----|--|
dairesquiuole ntiers	-----|--|----⌫-----|
que e ntout	--|-⌫|---|
ne po is t lenpas	-|--⌫--⌫|--|--|
au tretantde bones	--⌫------|-|----|
chosestrouuer	-----|------|
co mmelen feistenlacite	--⌫--|--|----|-|-|---|
car q ua nc quelenpooit	--|-⌫--⌫--⌫--|--|----|
h omee tafamefeus t	-⌫--|-⌫||---|----⌫|
necessairedeu iu re e tae zier	---------|-|-⌫--⌫-|-⌫|--⌫---|
soidet outiauoit	--|-|-⌫--||----|
agr ant plente	|--⌫--|-----|
nenus nen au oit	-|--||-|--⌫--|
dizet e . lors commenciere nt	-----⌫||---|-----------⌫-|
festesetgeu z et	-----|-|---⌫|-|
trouuoient	---------|
tantestoi ent iolifdeior en	---|-----⌫--|----|-|--|-|
ior mai nzdiue r sgeuzpor	--|---⌫-|----⌫-⌫|---|--|
auxdeduireet esbatreetsi comme	--|------|-|------|-|-|----|
pluseurdient c ilde	------|----|-⌫-|-|
t roiedeleurioliuetetrouuere nt	-⌫---|-|---|-------|--------⌫-|
leieu deseschas des	-|--|--|-----|--|
t able s et desdez .quant l i roys	-⌫----⌫|-|--|--||----|-⌫|---|
prianzottoutcefait	-----|-|---|-|---|
faireque nosau onsdit etd euis é	----|--|--|--⌫--|--|-|-⌫----⌫-|
queriensne	--|----|-|
failloit m ese n sacite	-------|-⌫-|-⌫|-|---|
d esfensable	-⌫---------|
estoittant biengarniz de	-----|---|---|-----|-|
beleetbo necheual eri e	---|-|--⌫-|------⌫---⌫|
etquerich eces	-|--|----⌫---|
a u oit afoiz onsi	-⌫-⌫--||----⌫-|-|
fumoltliezet i oianz	-|---|---|-|-⌫----|
mes ne pooitoublier ceque	--|-|----|------|-|--|
g ri zoisliauoientforfe te t	-⌫--⌫---|-|------|-----⌫|-⌫|
souu en t p orpe nsoitcom m en til s en	----⌫--⌫|-⌫----⌫----|---⌫-⌫--⌫|-||-|
porr oituengier.	----⌫--|------||
si auintuniourquilfuensa	-|----|-|---|-|-|-|-|-|
chambremolt p ensis	------|---|-⌫----|
etdistaso imeismesens oncuer	-|---||--⌫|------|-|-⌫-|---|
oreesto it ilb i en tans	--|----⌫-|-|-⌫-⌫-|---|
derequerrese s	-|-------|--⌫|
a nem isetdeuengierla	-⌫---⌫-|-|-|------|-|
mor tsonpereet sa mere	---⌫|--|---|-|-|---|
etdese sautresamiset de amenderl	-|-|--⌫|-----|---|-|-|------||
outragequ eles grizois	------|--⌫|--|------|
liauoient fet d es aterreetdesa	-|------|--|-⌫|-⌫|----|-|-|-|
sereuretque	-----|-|--|
uoloit a tendrese sesco nsa uxnel i	-----|-⌫-----|-|--|--⌫---⌫-|-|-⌫|
looit. siassist	----||-|-----|
de pa rlement ases ba rons	-|--⌫------||--|--⌫---|
tozsesfilzeta	--|--|---|-||
cheu aliers par tou tesa	----⌫-----|--|---⌫-|-|
tuituenissentatroie	---|--------||----|
ason parleme nt	|--|-------⌫-|
e t tuit sifil i	-⌫|---|-|--||
u indrentme squeyy	-⌫------|--⌫---|-|
et sima ndahector q uimolt	-|-|--⌫--|-----|-⌫-|---|
estoitsages preuzhardiz	-----|----|----|-----|
et b iencomb atanzliq uiex	-|-⌫--|----⌫----|-|-⌫---|
estoitenpenoinequeil uenist	-----|-|------|--|-|-----|
a luia troie ason	|--||----||--|
parl eme ntetque	----⌫---⌫-|-|--|
l ip orchacasttou te	-⌫|-⌫--------|---⌫-|
l ay de que ilporroitauoi r	|--⌫-|--|-|------|----⌫|
fistsitostcomme	---|-|---|----|
ilpo tplusetsi	-|--⌫|---|-|-|
auoit ila ue cl ui	----|-|-⌫--⌫|-⌫-|
moltde ge nt.	---|-|--⌫-||
q uantil furent tuit uenuz	-⌫---|-|-----|---|----|
mandement eti l furent	--------|-|-⌫|-----|
asse mbléatro ie m oltiotgrant	----⌫----||---⌫-|-⌫--||-|----|
puepleetbele	-----|-|---|
cheualerie.	---------||
lo rsleurdist il seignoruos	--⌫-|---|---|-|------|--|
amez en bonefoyuossauez	---|-|---|--|--|----|
bienlegrant	---|-|----|
outrage que lesgrizois	------|--|--|------|
nosontfetde	--|--|--|-|
n ostrebonparenteetdenostre terre	-⌫----|--|------|-|-|-----|----|
qu ilontars eet de st ruitecar il	-|-|--|---⌫|-|--⌫--⌫----|--|-|
o ntmorz etocise t	-⌫-|---|-|---|-⌫|
sanzresonmon	---|----|--|
pere ma mereet toute	---|-|---|-|----|
labonebaronie quideua nt no s	-|---|------|--|----⌫-|--⌫|
gouuernoientla	-----------|-|
cit e de troieet le pa isd	---⌫|-|----|-|-|--⌫-||
au ecquestoutce il	--⌫-----|---|-|-|
esyonamasuer qui	-----|-|---|--|
tan t estoit bele	---⌫|-----|---|
enmen ee enseruagedon tilmefait	-----⌫-|-|------|---⌫|-|-|---|
moltmal eta	---|--|-||
tozest gr ant	--|--|--⌫--|
amendons ceste uilenie	-------|----|------|
etcest outr ag e.sil ormander aique	-|---|----⌫--⌫||-|-⌫-|------⌫-|--|
rende n tma sereur	-----⌫-⌫|-|-----|
lefont gepenre	-|---|-|----|
c onseila uos	-⌫-----||--|
e t amesfilzcommentnos	-⌫||--|---|------|--|
po rronsguerroieretuengier	--⌫----|--------|-|------|
cequeiln os ont forfet.etsi	-|--|-|-⌫-|--|-----||-|-|
filettuitli	--|-|---|-|
autre ba ron	----|--⌫--|
sacord er ent molt biena	|-----⌫--⌫--|---|---||
etdis trent sire	-|---⌫----|---|
uos a uezmolt	--|-⌫--|---|
bienditorfaites	---|--|-|-----|
e tienu oiez	-⌫||---⌫---|
tantostetselonccequ ildiront	------|-|-----|-|-|-|-----|
ferontnosouuerrons	-----|--|--------|
apres e t p enr onsc o nsei lcomment nos	----|-⌫|-⌫---⌫--|-⌫-⌫----⌫|------|--|
en cheuirons. lors	-|--------||---|
ape laliroysprianzen thenorun	---⌫-|-|---|-----|--⌫-----|-|
sienb aron sag eet bien e nparlé	---|-⌫---|---⌫|-|---|-⌫------|
et qu imoltsau oitdesloiset li	-|--⌫|---|---⌫--|--|---|-|-|
diste n thenorb iaxami s	---|-⌫-⌫-----|-⌫--|---⌫|
alezau roy pele uset au	---|-|--|----⌫-|-|-|
grizois et	------|-|
lo r dites de	--⌫|----|-|
merenuo ientesy ona	-|-----⌫---|---⌫--|
maseroretque	-|----|-|--|
m ont fait ethonteetd omage	|--|---|-|----|-|-⌫----|
a ins il ontmis en	-⌫---⌫||--|--|-|
en putage et ques ei lla	-|-----|-|--|-⌫|-⌫|-|
rend ent ge	----⌫--|-|
lor demanderiensplus n edela	--|------|----|---|-⌫|-|-|
mortmonpere	---|--|---|
m esa utres	-⌫-|-⌫----|
amisquilont	---|-|-|--|
m ortet ocis	-⌫--|-|---|
nedetoutlautredomage	-|-|---||----|-----|
ontfa it comme	--|--⌫-|----|
demater r e	-|-|---⌫-⌫|
et meesmementl a	-|---------|-⌫|
cit e d etr o ie	---⌫|-⌫|--⌫-⌫-|
etlab onegasterardoiretes silli er.	-|-|-⌫--|-----|-----|-|--⌫-----⌫-||
au oirmasuer etamenermolten	--⌫--|-|---|-|-----|---|-|
serai liez.lorsdis t	----|---||---|---⌫|
enthenorsiremoltuolen tiersire	-------|---|---|-----⌫----|--|
le m essage ne demorrapasquege	-|-⌫-----|-|------|--|--|-|
lamoine sei l	|-----|-|-⌫|
la meuuelent liurer. la	-|-|------|-----||-|
meismesprinst enthenor	------|-----|-------|
p lusorcompaignons et	-⌫----|----------|-|
delauoiret des	-||----|-|--|
bienstant commeilso t	----|---|----|-|--⌫|
que mestier	--|------|
li est oit porluiet	-|---⌫--|--|--|-|
o l uip ar	|-⌫-|-⌫-|
lec ommandementauroyprian t	-|-⌫----------|-|--|-----⌫|
po rtenirlui	--⌫|----|--|
compaignie et p orconduirel eparlaou	---------|-|-⌫-|-------|-⌫|--|-|-|
i l auoita aler	-⌫|----||---|
etentrerent enmerenun m olt	-|--------|-|--|-|-|-⌫--|
e tfortbatelauques	-⌫|---|----|-----|
grantet ilfes oitcleret	----|-|-|---⌫--|---|-|
et auoi entuent	-|----⌫--|---|
telcommeillorconuenoit .si	--|----|-|--|--------||-|
sigl er ent etnagierent	----⌫--⌫--|-|--------|
qued eiour qu e il	--|-⌫|---|--⌫|-|
uind re ntenlasemaine qu	----⌫--⌫-|-|-|------|-|
ilmurentdouportde	-|-----|--|---|-|
arriu er ent auportdemicenes	-----⌫--⌫--|-|---|-|------|
o uli r oyspeleus	-⌫|-|-⌫--|-----|
quant enthe nor fu arriuez au portd e	----|-----⌫--|-|------|-|---|-⌫|
m ic enesouliroysp eleu s	-⌫--⌫---|-|-|---|-⌫----⌫|
estoitildesc e ndiaterrede	-----|-|----⌫-⌫--||----|-|
etfisttan tqu ilp arlaa u roy	-|---|---⌫--|-|-⌫---|-⌫|--|
li distroyspeleu smes	-|---|---|-----⌫|--|
sires l i roysprianzuos ma ndeet	----|-⌫|---|-----|--|--⌫--|-|
aus au tresgrizois que	--|--⌫---|------|--|
auez fet grant ho ntegrant	---|--|----|--⌫--|----|
perte et grantdoma ge	----|-|----|----⌫-|
desonperele roy laomedonet	-|--|---|-|--|-------|-|
autresamisque	-----|---|--|
ainsi morz eto ciset detoute	----|---|-|-⌫--|-|-|----|
q ueuos a uezarse	-⌫-|--|-⌫--|---|
dest ruite e t essilliee et	----⌫----|-⌫|--------|-|
sanzres on .	---|---⌫-||
mais il neuosreq uie rtoren droit	---|-|-|--|---⌫---⌫-|----⌫----|
plus mais queuos lienuoiez	---|----⌫--|--|-|------|
esyonasasereur	-----|-|-----|
que uousen auez	--|---|-|---|
amenee etq u iainsiesttenue	-----|-|-⌫-⌫|----|--|----|
enhontageetenputage ce qui n	-|------|-|-|-----|-|--||
afiertmiequel endeustfaire	-----|--|--|-⌫-|----|----|
de sihau ltlignagecomeele	-|-|---⌫-|------|---|--|
estetsi nestp asuoz honors	--|-|-||--|-⌫-|--|-----|
et seuosnauiésplusm esprisuers	-|-|--||-----|---|-⌫-----|---|
luique dece si e st	--|--|-|-|-|-⌫-|
cetrop. si lienuoiez et	-|---||-|-|------|-|
sau rab ong reetparluin	---⌫-|-⌫-|-⌫-|-|--|--||
maisguerre	---|-----|
ta ncon nemellee.	--⌫---|-|-----||
quan tpelleusenten dicestmess age	----⌫|------|-----⌫-|---|----⌫--|
si fuc orrociezetiriez a	-|-|-⌫-------|-|----||
merueilleset dist uassala	---------|-|---|-----||
tientqueneuospand r e	----|--|-|--|----⌫-⌫|
ou a folerq ui tel	-|-⌫----|-⌫-|--|
uenuznoncier.sachiez	----|------||------|
q ue segetenoieceluiqui ca	-⌫-|-|-|-----|----|--|-|
aenuoiéiam ais	|------|---⌫--|
nenuoieroit	|---------|
messageam oine au tre	------||-⌫-|-|--⌫--|
car tantos t lefero ie	--|------⌫|-|----⌫-|
acheuaux destrair eou uifescorchier.	|------|--------⌫|-|--|---------||
ralezu os en	----|-⌫-|-|
que p ar moi n	--|-⌫-|--||
en au rezuos po int	-|--⌫--|--|--⌫--|
ditesu ostreroy	----|-⌫----|--|
que par lesdex que	--|--|--|--|--|
ge serf et	-|---|-|
ao r e queles	--⌫-⌫|--|--|
m essagesquiiamesdepa r	-⌫------|--|----|-|--⌫|
uenrontne sensauront	------|-||-|------|
rale rainzlesferede mal e	----⌫|---|--|---|-|---⌫|
morir .quant enth enor	----||----|----⌫---|
otainsioy parle rler oypelleu s si	-|----|-|-----⌫|-|-⌫-|------⌫|-|
sedep artid ilecet s	-|---⌫---||---|-||
et e ntra enzetcilqu i	-|-⌫---|--|-|--|--⌫|
estoientdedenzd reciere nt	-------|-----|-⌫-------⌫-|
erranmentet li u enz seferien z	--------|-|-|-⌫--|-|---|--⌫|
quigranzes to it e t	--|----|--⌫--⌫-|-⌫|
sigle rent	-----⌫---|
et nagi erent	-|----⌫----|
quancquilporent	------|-|-----|
car onquesnef urent	--|-----|-|-⌫----|
deuant qu il oren tle	------⌫-|-|----⌫|-|
portde micene	---|-|-----|
bi en esloign ié.sisig lerent	--⌫-|-------⌫--||-|---⌫-----|
et nagie renttanta	-|-----⌫---|---||
layde douuent	|---|--|---|
auoientbon etfort	------|--|-|---|
uindrent etarriuerentau	-------|-|---------|-|
p ortdesalemi neou	-⌫--|-|------⌫-|-|
estoitquitenoit esyona en	-----|--|-----|-----|-|
hon tag eeten	---⌫---⌫|-|-|
putage.lorsdist	-----||---|---|
ent henora ses co mpa ignons biax	---⌫----||--|--⌫---⌫-----|---|
seig norsappareill on s	----⌫---|---------⌫--⌫|
nous aumi elzet auplus	---|-|--⌫--|-|-|---|
nos porro n scomme	--|-----⌫-⌫|----|
messagie rsiironsensale mineque	--------⌫|-|----|-|----⌫---|--|
latrouuerronsnos	-|----------|--|
thelamon ic eluiquitie nt esy ona	-------|--⌫---|--|---⌫-|---⌫--|
enser uage etil	-|---⌫---|-|-|
sif irent.	-|-⌫----||
etquantilfuren tappare illi é au	-|----|-|-----⌫|------⌫----⌫-|-|
m ielzq uilporent	-⌫---|-⌫|-|-----|
messagiers iissi rentde lor	--------|-⌫|----⌫---|-|--|
alerent ensalemine	------|-|-------|
droitathe lamon laou	----||---⌫----|-|-|
ilesto it.	-|----⌫-||
lorsparlaa lui enth enor	---|----||--|----⌫---|
dist siremonmessag euos	---|---|--|------⌫|--|
uieingdi reetconter	-----|--⌫-|-|-----|
prianz uosmande q ueuosli	-----|--|----|-⌫-|--|-|
rende zesyonasas ereurque	-----⌫|-----|-|-⌫----|--|
m ain t iorauez tenue enhonta g e	-⌫---⌫|--|---|----|-|-----⌫-⌫|
estmoltgrant uilleni e	--|---|----|-------⌫|
c ommeafi lle deroyets i bele dame	-⌫---||--⌫--|-|--|-|-⌫|---|---|
comme e le	----|-⌫-|
dont uosmespre nezetauez	---|--|------⌫--|-|---|
mespris molt	------|---|
e nuersluiseli	-⌫----|--|-|-|
rendezsi feroiz	-----|-|-----|
bie n et ce	---⌫|-|-|
uosdeuroizetbongre	--|------|-|--|--|
ensaur a.quant	-|----⌫||----|
thelamon oy cea	-------|-|-||
poide maut alent ne f orsene	--|-|----⌫----|-|-⌫-----|
e tdistpargrant courr ouzuassal	-⌫|---|--|----|-----⌫--|-----|
uoiremen t latieng e	--------⌫|-|---|-⌫|
ettenrai ca rgela con quis par ma	-|-----|--⌫|-|-|---⌫---|--|-|
proesc e etsi	------⌫|-|-|
done eetestroiee	----⌫|-|-------|
desbaronspourma desert e. ale ze t	--|-----|---|-|------⌫||---⌫|-⌫|
uostr eroyq ue	-----⌫|--|-⌫-|
com geuiue ne li ne autres	--|-|---|-|-|-|-----|
auraetbien sachi ez	---|-|---|-----⌫-|
que uosnefeustesg ueressag es	--|--|-|------|-⌫----|---⌫-|
de ci uenirpour	-|-|----|---|
tel ch os e .	--|--⌫--⌫||
mais faites tost et	---|-----|---|-|
uos enralez	--|-|----|
quepar lesde xqueg e	--|--|--|--⌫|--|-⌫|
serf et aoreque li	---|-|---|--|-|
quiamess agemais	--||----⌫--|---|
m en uenrai	|-|----||
perdra uie	-----|--|
maisfait estost	---|----⌫-|---|
queplusn euosuoiequebo n	--|---|-⌫|--|---|--|--⌫|
marchieauezquantains iuo s	------|---|----|----⌫|--⌫|
en r alezn e	-|-⌫---|-⌫|
n i u en ezplusse	||-⌫--⌫-|---|-|
uosamez uozuies .	--|---|--|---||
lor ssen uindrent	---⌫||-|-------|
ent hen oretses	---⌫---⌫-|-|--|
compaign onsa u	--------⌫--|-⌫|
plust os t	---|-⌫--⌫|
porentaleu r	-----||---⌫|
entrerent enz etdrecierentle	--------|--|-|---------|-|
etl iuenz se f e ri de denz	-|-⌫|---|-|-⌫-⌫-|--⌫---|
sig lerent etnagi e rent	---⌫-----|-|----⌫-⌫---|
porentcarilnecuid ieren t	-----|--|-|-|----⌫-----⌫|
ueoirloreneleior	----||--|-|-|--|
poissentauo ir esl oignié	-------|---⌫-|---⌫------|
desa lemine.et tantont	-|--⌫-----||-|---|--|
et cheminépar	-|-------|--|
denuitquedeior qu	-|---|--|-|--|-|
s ontue nu etarri ue ́auport de	-⌫--|--⌫-|-|----⌫--⌫|-|---|-|
castole ou castoret po lus	------|-|-----|-|--⌫--|
estoi en tsi descendianthenor	-----⌫--⌫|-|-------|-------|
de lanef etala parle r aaux	-|-|--|-|--|-----⌫||--|
estoient.et	-------||-|
quantil les	----|-|--|
ot trouuezsilo rdis t	-|------|-|--⌫|---⌫|
toutsonmessage sicommeli r oys	---|--|------|-|----|-|-⌫--|
pri anzl i a uoi t dit	---⌫--|-⌫|-⌫---⌫|--|
etenchargi éet	-|--------⌫-|-|
auderrea n le ur	-|------⌫|--⌫-|
d ist seig nor liroys	-⌫--|----⌫--|-|---|
prianzuosmandeetcommande	-----|--|----|-|-------|
queuos lifaco iz	--|--|-|----⌫-|
r auoir sa ser euretdou	-⌫----|-|---⌫--|-|--|
me sfaitqueuos	--⌫----|--|--|
l iaue zfet soit	-⌫|---⌫|--|---|
uniourprisde	-|---|---|-|
lam end erseila	|--⌫---⌫-|-|-||
c onseildou	-⌫-----|--|
lo rsrespondirent	--⌫-|-----------|
c a s toret	-⌫-⌫-⌫--|-|
e tdistrent uass almolt	-⌫|-------|----⌫-|---|
auezfierement parle ́d equiq ue	---|--------|-----⌫|-⌫|----⌫-|
uos leteigniezmes	--|-|-------|--|
dites auo str er oy quesasue r n	----||--⌫---⌫|-⌫-|--|-|---⌫||
a ura ilpoint par	-⌫--|-|----|--|
etquenos n eliauonsriensforfet	-|--|--|-⌫|-|----|----|-----|
ain z auon s fet a	---⌫|----⌫|--||
bo ndroitce q uenos auons fet quar	--⌫|----|-|-⌫-|--|----|--|---|
tropauo itsesperes	---|---⌫-|--|----|
laomedoniadismesprisax	-------|----|------|-|
grizoisquant	------|----|
i lenchaca	-⌫|-|----|
iasonetherculeset	----|-|-------|-|
lor compaigni e	--|---------⌫|
uillaine mentdesaterre .	--------⌫---|-|-|----||
ralez uosentos t et	----|--|-|---⌫|-|
es pertem entque	--⌫------⌫--|--|
g ueres neu os	-⌫----|-|-⌫-|
q uant uosci uenistes	-⌫---|--|-|-------|
cara bienpoi	--||---|--|
queiames uo stre roy	--|----|--⌫---|--|
ne u os uoitmes	-|-⌫-|---|--|
fuiezde ci et	----|-|-|-|
li ditesdepar nos	-|----|-|--|--|
que petitprisonsetdoutons	--|----|------|-|------|
luiettou t	--|-|---⌫|
etquil nou sfa cetoutd oupis	-|-|-|---⌫|--⌫-|---|-⌫-|--|
que ilporr a.	--|-|----⌫||
etquantenthenor les	-|----|-------|--|
oyainsipar ler	-|----|---⌫--|
sisenparti sa nz	-||-|----|--⌫-|
bienuo lsistestre	---|--⌫----|----|
auec ses comp ai gnon s	---|--|----⌫--⌫----⌫|
n ecuida te lfoizfuiames	-⌫|----|--⌫|---|-|----|
entr e r.quantilf uauport	----⌫-⌫||----|-|-⌫|-|---|
sientraenlane f	-|----|-|-|--⌫|
