equanttelhomem	|----|--|---||
nesibele scornesnaueit	-|-|----⌫|-----||----|
ta nt entendi a	--⌫-|------||
e a sescornesesguarder	||--|-----|--------|
keuituenir multchienscurant	-|--|----|---|-----|-----|
maister kiuintcornant	------|-|---|------|
apre s luiuienen t	----⌫|--|------⌫|
si lquere ient	-||-----⌫---|
prendrele uoleient	------|-|-------|
metut esmai ez	-|--|-----⌫-|
par s es cornesse stat achi ez	--|-⌫-|-----||-⌫-|--⌫----⌫-|
enu nbuissun es tretenuz	-|-⌫|------|--⌫|------|
du nc suntli	--⌫-|---|-|
chiena lu i ue nuz	----||--⌫|--⌫--|
kant illesui tsi apresmer	---|-|--|--⌫|-|-------|
si comencaadesreier	-|------||-------|
ueirs estfai til ke lihom	----|--|---⌫|-|-|-|--|
eparessampleeparescr i t	|--|-------||--|----⌫-⌫|
liplusuruol entc o loer	-|-----|---⌫--|-⌫|---|
k ildeureient	|-|--------|
souent b las mer	-----|-⌫---⌫--|
eico blasmerk	|--|------||
il deu reient	-|---⌫-----|
formentl oer s ils aue i ent	------|-⌫--||-||---⌫-⌫--|
dunh omecu nte liescriz	|-|-⌫--|--⌫--|-|-----|
kiest eitenseueliz	-|---⌫--|--------|
saf emmeme inegrantdol ur	-|-⌫---|--⌫--|----|---⌫-|
desurla tumb enuite iur	----|-|----⌫|---||--|
presdilo c aue itu nlarrun	---||---⌫|---⌫-|-⌫|-----|
kiertpenduz par m esprisi u n	-|--|-----|--|-⌫-------⌫-⌫|
pa rlacuntreefudcr i é	--⌫|-|------|--|--⌫-⌫-|
larrunaure i t osté	-----|----⌫-⌫|----|
suniugem entmeis me aureit	--|-----⌫--|----⌫-|-----|
e r tateint penduser reit	-⌫-⌫|-----|----|---⌫---|
u nscheualiersle despendi	-⌫-|---------|-|-------|
sunparen tert silenfu i	--|-----⌫|--|-||----⌫|
dunc nesoltilconseil trouer	---|-|---|-|------|-----|
puissedeliurer	-----|-------|
kar seutertde meinte gent	--|---|--|-|-----|---|
killeteneit pursunpa ren t	|-|-|-----|--|--|--⌫---⌫|
a l cimete rie	-⌫|------⌫--|
uadtut d rei t	--|--|-⌫---⌫|
ulaprudef emmees teit	|-|----|-⌫---|--⌫---|
quipursuns eig nur ottantpluré	--|--|--|-⌫---⌫--|-|---|-----|
c ointementada liparlé	-⌫--------|-||-|-----|
dit likel ese	--|-||--⌫|-|
confo rtat	-----⌫---|
mult sereitlieselel	---|-----|--||--||
laprodefemmelesguarda	-|----|----||-------|
grantioie fistsi	----|---|---|-|
frats a uolunte	---|-⌫|------|
licheualiers liad c unté	-|---------|-|-|-⌫----|
li ertmesauenu	-|--|-------|
d eun larrun kil	-⌫|-|-----||-|
otdespendu	-|-------|
sele nel en	|--|-||-|
s etcon seildon er	-⌫-|---⌫---|---⌫-|
hors delpaisl estuet aler	---|--|---||-----|---|
la prodefemme respund i	-|----|----|-------⌫|
desfuiums mu n b arondisci	--------|--⌫|-⌫---||---|
p uissil pendum u	-⌫--|-||-----||
i ertiames	-⌫--|----|
deliurerdeit	-------|---|
lumpa rlemort	|-|--⌫|-|---|
leui fd untluma t ent	-|--⌫|-⌫--||-|-⌫-⌫--|
pariceste sig nif iance	--|-----|---⌫---⌫----|
po um entendrequ elecreance	--⌫-|-------|--⌫--|------|
deiuen tau erli morz	------⌫|--⌫-|-|---|
tantest limund false iol ifs	---|--|-|---|---||---⌫--|
dunhomeuoilici cunter	|-|---|---|--|-----|
essampleremembrer	-------|--------|
mainscunteedese s piez	----|----||-|--⌫|---|
edesunchief	|-|--|----|
quiie rtirrie z	--|--⌫-|-----⌫|
uentrekilporta	-----||-|----|
purleg uastkilgu asta	--|-|-⌫---||-|--⌫---|
du ntil neuolt	--⌫-|-|-|---|
nienttrauail lier	----|-------⌫---|
si li t ol irentlem anger	-|-|-⌫--⌫----|-|-⌫----|
mes quantliu entresieun a	--|----|-|-⌫-----|----⌫|
has ti uem en t a fe bla	---⌫--⌫---⌫--⌫|-⌫--⌫--|
emains epiezk ilne	|----||---||-|-|
sitraueil liercum	-|-------⌫---|--|
ilsoleient	-|-------|
kantlagrantfieble te	---|-|----|------⌫-|
mangier ebeiurealuentre offrire nt	------||-----|-|-----|-------⌫-|
mes trop lorentfaitie uner	--|---||----|---|--⌫---|
sikilnepoeit	-||-|-|----|
ni entg uster	--⌫--|-⌫----|
liuentresreuertanient	-|------|-----||----|
emains epeiz tute n sement	|----||---|--|-⌫-⌫-----|
cestessample	---|-------|
puet ho m u eer	---|--⌫|-⌫--|
ch as cunshomle deit	--⌫--⌫---|--|-|---|
n ulnepue t	-⌫-|-|---⌫|
au eirhonur	--⌫--|----|
kihunte faita	-|----|---||
sun seignur	--|------|
nelisirestutensemen t	-|-|----|--|-------⌫|
iluoillehunirsagen t	-|-----|----|-|---⌫|
ambu reen ierent mal bailliz	----⌫-|-|-----|---⌫------|
dun singeditkidemanda	|-|----|--|-|------|
a ungupi l k il en cuntra	|-|----⌫||-|--⌫-----|
de sa cueli pre st ast	-|-|--|-|---⌫--⌫--|
se luiplest u l	-|--|----|||
en do nast	-|--⌫---|
auisl ifu q u et rop lo tgrant	---|-⌫|-|-⌫-⌫|-⌫--||-⌫|----|
kar tutsuntcue ́	--|--|---|---⌫|
li gupi lzdem and e quedeit	-|----⌫-|---⌫---⌫|--|---|
kesecueli req uereit	-|-|--|-|---⌫-----|
distcomestauis	---|-||--|---|
ne uu s en i ert neint lepis	-|--⌫|-|-⌫--|----|-|--|
e nuolezun	-⌫|----|-|
hon ista tost aler	---⌫--||---|---|
distli gupilzne	---|-|-----|-|
u us chal t	-⌫-|----⌫|
ces te req uestepoi	---⌫-|---⌫----|--|
iademac ue ki	-|-|-|-⌫-|-|
ne hon urezlesuosenfanz	-|---⌫---|--|--|-----|
enautre re gnene entregent	-|----|--⌫--|-|----|---|
i ou usdibi enapertement	-⌫|-⌫-|-|--⌫-|---------|
mes k e le fustde	--||-⌫-|---|-|
nelapuisseauanttraire	-|-|-----|----|-----|
cestessamplepurco uusdi	---|-------|--|-|--|-|
delauer home estautr esi	-||---|---|--|----⌫--|
se iladplus q uel uin es tu et	-|-|-|---|-⌫-|-⌫-||--⌫--⌫-|
neuoltsuffrirk il neruet	-|---|------||-|-|---|
queautr een ait	--|----⌫|-|--|
mielz leuolt	----|-|---|
perdre chas cunior	-----|----⌫--|--|
dunleundit qui uoltaler	|-|---|--|--|---|---|
en autretereconuerser	-|----|---|--------|
tutesle sbes tes	----|--⌫|---⌫--|
tuts un eirelurmus tra	--|-⌫-|---|--|---⌫--|
kildussent rei choisir	|-|------|--|------|
karilne quidotmesuenir	--|-|-|-----|--|----|
niot be st eneli	||-|--⌫--⌫|-|-|
ke unautreleun lurdo nast	-|-|----|---|--|--⌫---|
illurrespunt kil n ela	-|--|------||-|-⌫|||
nenurrinul	-|----|--|
dels mesmesdeiuentguarder	|--|-----|------|------|
k imielzlesp uistg uuerner	-⌫|----|--|-⌫---|-⌫------|
dunc au eient	---|--⌫----|
leluchoi si	-|-|----⌫-|
karilni otn ul siha r d i	--|-|||-|-⌫-|-|--⌫-⌫-⌫|
keosa stpren dre siluinun	-|---⌫-|----⌫--|-|--|--|
te neientafelun	--⌫-----||----|
ea plusurs aueitpramis	||------|----|-----|
kemielz lesame reit tutdis	-|----|--|---⌫---|--|--|
ui ndrentsi lun t dit	--⌫-----|-||--⌫|--|
kil au eientlelue slit	|-|--⌫----|-|-|-⌫---|
respun tnen	------⌫||-|
dutent mie	-----|--|
kecointebes te un t	-|-----|---⌫-|--⌫|
pres teignel	----⌫||----|
eempernant	|--------|
s i de corageedetalant	-⌫|-|-----||-|-----|
esteitsifra n cscumi ldeueit	-----|-|---⌫-⌫-|--|-⌫|-----|
choses ecrem eit	----|-⌫|----⌫--|
kilne preistaconseil le r	|-|-|-----||-------⌫--⌫|
le g upilkimultsolttrec hie r	-|-⌫---|-|---|---|----⌫---⌫|
amduisunt feluneengres	----|---|----||-----|
sidelluuoleza uerpeis	-|--|-|----|-⌫--|---|
si faiteslursur	-|-----|--|--|
seinziure r	----|----⌫|
k ilnedeiuebeste adeser	|-|-|----|----|-----|
nek ei ameis asun ui ua nt	-|-⌫|-⌫----||--|--⌫--⌫-|
nemaniust chartant n e	-|------|---|---|-⌫|
aduolentersiuré	-|--------|----|
plusasezkil nunt dem an dé	---|---||-||--|---⌫--⌫--|
me squantilfudaseurez	--⌫|----|-|--|------|
elileussenfualez	|-|---||-|-|---|
granttalentot decharmanger	----|-----|-|-|---|-----|
par enginuold ra porc hasc e r	--|----|----⌫-|----⌫----⌫-⌫|
beste sotrier unt	-----⌫|------⌫--|
sa uolenteeiuge runt	-|------||----⌫---|
du nc ad un	--⌫-|-|-|
cheuerolapelé	-------|-----|
aconseillia ddemandé	|------|-|-⌫|-------|
kep a r amurueir lideist	-|-⌫-⌫|---|---|-|----|
desaalei nes el epuist	-|-|----⌫-||--⌫|----|
cil li respunt kesipueit	--|-|------|-|-|----|
ke apei ne suffrirla poeit	-||---⌫-|------|-|----|
sefist mult coru sciez	-|---|---|----⌫----|
purs eshomesad enue iez	--|-⌫-|----|-|----⌫--|
a tuze nsemble d eman da	|--|-⌫------|-⌫----⌫-|
queliugementcha scunfera	---|-------|---⌫---|---|
decelui ki d it desun s eignur	-|----|-|-⌫-|-|--|-⌫-----|
hunte eleidengeede sohonur	----||-------||--⌫------|
cill idi entkildeit	--|-⌫|--⌫--||-|---|
lilusua it le cheuero lsaisi r	-|--|--⌫-|-|-------⌫|-----⌫|
ocis pa rlu resgart	---|--⌫|--⌫|-----|
p uissi m an gat	-⌫--|-|-⌫--⌫--|
la meill or	-|-----⌫-|
pu rsafelo niecourir	--⌫|-|----⌫--|-----|
enfait as autresrepartir	-|---|-|-----|-------|
apres icelesaulee	----|----|-----|
bestead apelee	----|-|-----|
tu tautret elli demanda	--⌫|------⌫-|-|------|
al e ine ke lise mbla	--⌫-⌫--|-|-|--⌫---|
le dolenteuoltmiel z me ntir	-|------|---|----⌫|--⌫---|
kepu rueir dire	-|--⌫|---|---|
mort suff rir	---|----⌫--|
dit likeplus suef odur	--|-|-|---|---|---|
nesen ti unkesmasanuliur	-|---⌫-|----|--||--|--|
li lusadsu n conciliemand é	-|--|-|--⌫|-------|----⌫-|
a ses barons	|--|-----|
ad demandé	-|-------|
d ei t f air epariugement	-⌫--⌫|-⌫---⌫|--|-------|
decel u iki	-|---⌫-⌫|-|
luitrichee	--|-----||
iliugentkele sei tocise	-|-----||--|---⌫|----|
dun cadlilus labeste prise	---⌫|-|-|--|-|----|----|
silad oc isee	-||-|--⌫--||
edeuantel stut emangie	|-----|--⌫|---⌫|-----|
gueresapresnede mura	-----|----|-|--⌫---|
kelilusuits iesgarda	-|-|--|--|-⌫|------|
unsi nge crase	-|--⌫--|---||
de luiadgrant talen t eu	-|--|-|----|-----⌫|-|
m angerleuolt ede uore r	-⌫----|-|---||--⌫----⌫|
aladdemander	---|-------|
de s a aleine s eleert bienulanz	-|-⌫|-----||--|--|---|----|
es te itbienpuanz	--⌫--⌫-|---|----|
le singefudmultue ziez	-|----|--|---|--⌫---|
neuoleitestrei ugiez	-|-----|----|-⌫----|
entredo us erttantli	----|--⌫-|--|---|-|
nes ou tliluske i lfei st	-|-⌫--⌫|-|--|-|-⌫|---⌫-|
kar il ne poeittra ie re a	--|-|-|----|---⌫--⌫-||
ne liu olsistfa ir e tort	-|-|-⌫-----|--⌫--⌫|---|
en su nlit maladessefei n st	-|--⌫|--|------|-|---⌫-⌫-|
atuteslesbest es sepleinst	|----|--|----⌫-|-|------|
kil alo uentreuisiter	-||---⌫---|--------|
k iln el poeit mie trespas ser	|-|-⌫||----|--|-------⌫--|
cillifirentmiresueni r	--|-|-----|----|----⌫|
pu rsauei r silpur re it guar ir	--⌫|-----⌫||-|---⌫--⌫-|----⌫-|
limiresunttut	-|---|---|--|
nuntnie ntueu netroué	|--|---⌫-|--|-|-----|
kile ust mal ke lineust	|-|-⌫--|--|-|-|----|
simangersa suntalenteust	-|------||--|-----|---|
ia naifait il nuldesire r	-||-|---|-|--|------⌫|
fors charde	---|---|-|
m esi on euoilbeste	-⌫-|-⌫|-⌫|---|----|
m un seremen t mestuetagarder	-⌫-|-------⌫||-----||-----|
siion e usse	-|-||-⌫---|
teleraisun	---|-----|
kelotriass en t	-||-------⌫--⌫|
duncliloen tcomm unement	---|-|----⌫|----⌫------|
facese u remen t	---|--⌫-⌫-----⌫|
ga rderser ement	--⌫---|---⌫----|
cuntr esun quor	-----⌫|--|---|
asu nt alen t	|--⌫|-⌫----⌫|
cuntre sun	-----|--|
c orsdemal guarir	-⌫--|-|--|-----|
nepoeitnul g uarantir	-|----|--|-⌫-------|
k ehom l i	-⌫|--|-⌫|
lesingeoscist esi lmanga	-|----|-----||-||----|
puis orenttu z lur	---|----|--⌫|--|
iu geme n t	--⌫----⌫-⌫|
ne tint uersels	-|---|---|--|
nulsereme nt	--|------⌫-|
purcom ustreli sa gebien	--|-|-⌫----|-|--⌫-|---|
hom nedeustpur	--|-|----|--|
felun hom ef aires e ignur	----|---⌫|-⌫---|-⌫-⌫----|
neatrair e leanul ho nur	-|------⌫|-||--|--⌫--|
ianegard e ra leau te	-|-|----⌫-⌫-|----⌫-|
plusa lestrange kealpriue	---|||-------|-|-|----|
si sedemeine uerssa	-|-|------|---|-|
cumfistlilusd el	--|---|-|--|-⌫-|
s e r ement	-⌫-⌫-⌫----|
d unmirec unte ki seigna	|-|---|-⌫---|-|-----|
un rich e homekil g uarda	-|----⌫|---||-|-⌫----|
enune grant enfer mete	-|--|----|-----⌫---|
puisaueitle sanccomandé	---|----|-|---|-------|
fillekelegardast	----|-|-|------|
kenulerienniadesast	-|---|---|||------|
parlesa nc c onuis treit	--|-|--⌫-|-⌫-----⌫----|
quele en fermete sunpere aueit	----|--⌫------|--|---|----|
la meschine portad l esanc	-|-------|-----|-⌫|---|
en sachambredesuz unbanc	-|-|------|----|-|---|
mesmultl i	--|---|-⌫|
e stmes auen u	-⌫-|---⌫----⌫|
k etut le sanc	-⌫|--|-|---|
osadire ne	--|---|-|
nautreconseil n esouttrouer	|----|------|-⌫|---|-----|
m essei meisme fi s t s eigner	-⌫-|--|-----|--⌫-⌫|-⌫-----|
icelsanclai serefreider	---|---|---⌫-|--------|
t antkelimireslotueu	-⌫--|-|-|----||-|--|
parle sancad	--|-|---|-|
ke cilertpreinzk i lou t laissié	-|--|--|-----|-⌫||--⌫|-------|
lerichehome a d	-|----|---|-⌫|
si esm aié	-|---⌫---|
kil quidout bien au erenfan t	|-|------|---|--⌫-|-----⌫|
safillefistuenirauant	-|----|---|----|----|
tantpar destresc etantpar a mu r	---|--|--------⌫|---|--|-⌫--⌫|
lif ist conuist re la uerrur	-|-⌫--|-------⌫-|-|-----|
distkeleesp andi	---||--|---⌫---|
liautreertde lui	-|----|--|-|--|
autr es iu aitdes	----⌫--⌫|-⌫--|--|
tricheur s	--------⌫|
desl arruns ede s	--|-⌫-----||--⌫|
f eluniemeint	-⌫-----|----|
parelsmeismes sun t a teint	--|--|------|---⌫|-⌫----|
kantmeins sigarden tdestre p ris	---|----|||------⌫||----|-⌫--|
sisuntencumbrée	-|---|--------||
dun uilaincunt ekise	|-|-----|----⌫|-|-|
contreleso le ilsi sedormeit	-----|-|--⌫--⌫-|-|-|------|
a denzsert	|---||--|
mist utdescoue rt	--|-⌫-|-------⌫-|
pertuis estei touert	------|-----⌫|----|
unsscareboz	--|-------|
d edenzentra	-⌫----|----|
eliuilai ns sesueilla	|-|-----⌫-||-------|
grantmallifisttantk e	----|--|-|---|---|-⌫|
lestei ta lé cuntreed ire	|-----⌫|-⌫--|-----||-⌫--|
limires dist kilesteit	-|----|---||-|-----|
i l nefudeinz	-⌫|-|--|---|
k ar liui lain sbien lecre it	-⌫-|-|--⌫----⌫|---|-|---⌫-|
elif olspoples kilo it	|-|-⌫--|-----|-||-⌫-|
dient kecoestsignif iance	----|-|-|--|------⌫----|
sun teendutance	---⌫||-|------|
n i acelui ki bienne creie	|||----|-|---|-|----|
kegranz malsauen ir lurdeie	-|----|---|----⌫-|--|---|
ta ntestfolsli pople s muables	--⌫-|--|---|-|-----⌫|------|
k en ueines chos esnunestable s	|-|-----|----⌫-|----------⌫|
untcreanceelurespeir	--|------||--|-----|
gu aite ntpu r saue ir	--⌫----⌫-|--⌫|----⌫-|
parunt cistenf esdeue i t	--|--|---|---⌫-|----⌫-⌫|
li e s carbozparla fenestre	-|-⌫-⌫-----|--|-|-------|
s en estis suz	|-|--|--⌫--|
dunc fu rentiltuz	---|--⌫---|-|--|
parcestessam ple	--|---|-----⌫--|
senzfeintise	---|-------|
ke multua l t mielz sensecoin tise	-|---|--⌫-⌫|----|---||----⌫---|
eplus aideam ei ntesgenz	|---|---||-⌫--⌫---|---|
kesisaueirs u sesparenz	-|--|-----||--|-----|
dunui lainuoilc i	|-|--⌫---|---|-⌫|
femmeuitaler	----|--|---|
uer s lafore stsundruodli	---⌫|-|----⌫-|--|--|-|-|
apres coru tcilsenfui	----|----⌫|--||-|--|
dedenz le b ois m usciez	-----|-|-⌫--|-⌫-----|
ei lretu rne t utiriez	|-⌫|----⌫--|-⌫-|----|
safemm e laidieblama	-|----⌫|----||----|
eladameli deman da	|-|---|-|-----⌫-|
purkilparl at	--||-|----⌫-|
issiuer s l i	---|---⌫|-⌫|
esisbaruns	|--|-----|
li respundi	-|-------|
kilotueusunlech eur	|-|-|--|--|----⌫--|
ki lifisthunte e deshonur	-|-|---|----||-------|
aler od liue r slaforest	---|-|-|--⌫-⌫|-|-----|
sir efaitele siuusplaest	---⌫|---|--|-|--|-----|
puramurdeudites mei	--|---|--|----|--|
quidas tes uus humeueeir	------⌫--|--|---|----|
aler odmei nel meceler	---|-|--|-||-|----|
io lui fait ilelb oi s ent rer	-||-|---|-|-|-⌫--⌫|---⌫--|
la ssefaitelemortesui	--⌫--|---|--|----|--|
demai n murra i	-----⌫|-----⌫|
uencore hui	|-----|--|
a m aieleauint autresi	||----|----|------|
eam amerekario l ui	||-⌫|---|--|-||-|
unpoi d euant lur	-|--|-⌫----|--|
co fu seuap ertement	-|-|--|--⌫-------|
keu nsbachelers	-|-⌫-|--------|
les con due it	--|---⌫---⌫-|
la uod elsriennen a ueit	-||-|--|---||-|-⌫---|
o r saii obien	-⌫|--|-⌫|---|
pr ese stm afins	--⌫-|-⌫-|-⌫|---|
mandezsire	-----|---|
tuzmescus ins	--|--|---⌫--|
si d epartirumno stre aueir	-|-⌫--------|--⌫---|----|
n oselsi ecle	|-|-|--⌫---|
plusremaneir	---|-------|
lameie par tie	-|---|---⌫--|
me mettraienu ne	-|------|-|-⌫-|
liuilainslot	-|------||-|
mercili crie	----|-|---|
laisseze stre faitilamie	------|-⌫---|---|-|---|
n ed epartezdem ei i ssi	-⌫|-⌫------|-|-⌫-|-⌫--|
menc ungef uqu ank eio ui	----⌫---|-⌫|--⌫---⌫|-|-|
ele mese ster	--|--|-⌫---|
kar d emalmem	--|-⌫||---||
e stuetpenser	-⌫----|-----|
en su rketutpur lagra nthunte	--⌫--⌫-----|--|-|---⌫-|----|
duntuu s auez faitsigrant cunte	---|--⌫|---|---|-|----|----|
tuziorzm e	--|---|-⌫|
serreitrep rouee	------|---⌫----|
kemalement aura ierree	-|-------|----⌫|----|
si uusmeiurez serement	-|--|-|----|-------|
sikelue ientnostre	-|-||--⌫---|-----|
keneueistes h o meod	-|-|------|-⌫-⌫-|-|
puisafiez uostre	---|----|-----|
lme reprouerez	|-|---------|
uolentiersdame	---------|---|
illirespun t	-|-|------⌫|
au n musterensemblewnt	|-⌫|-----|-------|--|
kelerequi st	|--|-----⌫-|
eplus asez	|---|---|
kel ene luidist	|--⌫|-|--|---|
purco d itlumenreprouier	--|-|-⌫-||-|-|--------|
kefemmesseuentenginnier	-|-----|-----|--------|
lesuezieesnunue rables	--|------|-----⌫-----|
plus d unartkeli	---||-|--|-|-|
unsempere resnur riia	--|------⌫--|---⌫-|-|
u nssingek eforme ntama	-⌫-|----|-⌫|-----⌫-|--|
e lisenge sbienentende it	|-|-----⌫|---|-------⌫-|
as homes faire ueeit	-|----|----|----|
cumle mpereurui ts erui r	--||-⌫------|--⌫|-⌫----⌫|
esesf estesliui t t enir	|--|-⌫----|-|--⌫|-⌫---|
cum tuzleti n drentpurseign or	--|--|-|--⌫-⌫----|--|-----⌫-|
ala forestse	|-|-----|-|
mistu nior	---|-⌫|--|
tuzless i nges	--|--|-⌫-⌫---|
fist asem bl er	---|----⌫--⌫-|
petiz egranzkil pouttrouer	----||----||-|---|-----|
sur tuz sefi stleuer	--|--|-|--⌫-|----|
puisse r et int	---|-|-⌫--⌫--|
ensem bleodsei	-----⌫--|-|--|
des plusu r sfist ses	--|-----⌫-⌫|---|--|
cheua liers	-----⌫----|
edesasquanzs esbuteil liers	|--|------|-⌫-|------⌫----|
elesserganzdesamaisu n	|--|------|-|-|-----⌫|
es tabli ilch ascunparnun	--⌫----|-|--⌫----|--|--|
dunc prist femmesioutenfanz	---|----|----|-|--|-----|
e t i ntfestesrich es e g ran z	|-⌫-⌫-|-----|----⌫-||-⌫---⌫|
dui homeere ntel boisalé	--|---|---⌫-|-|---|---|
mesil esteient esguaré	--|-|-------|-------|
lauli singeco nuers erent	-||-|----|--⌫-----⌫----|
u ltre uolente ale r en t	-⌫---|------|---⌫-⌫--⌫|
la u ilere ntasemblé	-||-|---⌫-|-------|
nel firentmid e lur gre	-||-----|-|-⌫|--|--|
li unsesteitfo rm entleals	-|--|-----|--⌫--⌫--|----|
eliautretrichieree	|-|----|--------||
kanten lu r cu rtfurente ntré	---|-|--⌫|--⌫-|-----|-⌫----|
des singessuntbien ape lé	--|-----|---|---|---⌫--|
lilealshum les esgar da	-|----|--|--|-----⌫-|
liempere r elide manda	-|------⌫-⌫|-|--⌫----|
k elisemblotdesa	-⌫|-|------|-|-|
ertbeleeeseignie	--|---||-------|
lile alshom	-|--⌫--|--|
keau isliertke	-|--⌫-|-|--|-|
si n ge ssunt	--⌫-⌫--⌫|---|
de mei ede	-|--||-|
e demun fizke tu uei zc i	|-|--|--|-|-|---⌫|-⌫|
semblene mece ler	-----|-|-|--⌫--|
fa it ilsembler	--⌫-|-|------|
tu essinge e ele estsingesse	-|-|----||--|--|-------|
laide hidusefeluness e	----|----||--------⌫|
par teipoz sauei rdet unfiz	--|--|--|-----⌫|-|-⌫-|--|
kecoestuns	-|-|--|--|
sing et els petiz	----⌫--⌫--|----|
a ltricheu r suncompaignu n	-⌫|-------⌫|--|---------⌫|
tutemeismela r a i sun	---|-----|-|-⌫-⌫-⌫--|
demanderentmot a m ot	----------|--||-⌫-|
e i llur ditkelisemblot	|-⌫|--|--|-|-|------|
unkes neuit plusbelegent	----|-|--|---|---|---|
nemielzfussen ta	-|----|------⌫||
apres lur distdel u r sei gnur	----|--|---|-|-⌫-⌫|---⌫---|
kebi en semblotempereur	-|--⌫-|------|-------|
et bie n p out es trereis sisf iz	-|---⌫|-⌫--|--⌫--|---|--|-⌫-|
safemme semblee mpereriz	-|----|-----|-⌫-------|
du ncluntentr elssi honuré	--⌫-||--|---|--|-|------|
d e tutesparz	-⌫|----|---|
lunt enclin é	|--|------⌫-|
leleal home aueientpris	-|---|---|------|---|
silu ntdesci re ́e m almis	-||-⌫-|-----⌫--⌫||-⌫----|
p u rsunueirdit li fi ren t	-⌫-⌫|--|---|--|-|--⌫---⌫|
oez lesample decestcunte	--||------|-|---|----|
ne puetmieod	-|---|--|-|
letr icheur	-|--⌫-----|
lileals huem auer onur	-|----|---|---|---|
enc urtu ho muoilletricher	-|-⌫--||--⌫|-----|------|
e parmencun ge f o rsi uger	|--|------⌫-|-⌫-⌫---⌫---|
d unasne dit ki	|-|---|--|-|
unleunfie rsi lsal ua	-|---|---⌫|-||---⌫-|
deutesa ltfrere deutesa lt	--|-|--⌫-|----|--|-|--⌫-|
uitlasnesibalt	--||---|-|---|
silirespunt h astiuement	-|-|------|-⌫---------|
desq uantfumes nusparent	--|-⌫---|----|--|-----|
dis tliasnesmeruei llesoi	---⌫|-|----|------⌫---|-|
mu lt presez a utr esb estespoi	--⌫-|-----|-⌫---⌫-|-⌫----|--|
tuq uidesbie ne siestfaille	-|-⌫----|---⌫||-|--|-----|
ke nuls nete con treuaille	-|---|-|-|---⌫--------|
uien oreodmeience st munt	---|--|-|--|-|--⌫-|---|
u lesbestesasemblesunt	|--|-----|------|---|
e io tefraiia	|-|-|---|-|
esi pu rr asaparceueir	|-|--⌫--⌫-|---------|
kelesa urun tp our deme i	|---|-⌫----⌫|-⌫--|-|--⌫|
autresi gra nt cumdetei	------|---⌫-|--|-|--|
lileuns estaléod lui	-|----|--|---|-|--|
m untentambedu i	-⌫-----|------⌫|
desuz le munt	----|-|---|
enla ualee	-|-|----|
outdesbestesgrant	--|--|-----|----|
li as nespr i starechaner	-|--⌫--|--⌫-⌫-||-------|
e s ila dement acrier	|-⌫|--⌫-----||----|
q ueles beste ssed eparti rent	-⌫-|--|-----⌫|-|-⌫------⌫---|
liasnes distue is	-|----|---|--⌫-|
c oqueio te aue iepram is	-⌫|--|-|-|---⌫-|----⌫-|
li leunsliad respondu	-|----|-|-|-------|
conestmiepar tauertu	-||--|--|--|-|----|
nepa rfiert e	-|--⌫|-----⌫|
k ar tunelas	-⌫-|-|-||-|
mespurlecri	--|--|-|--|
ketu c rias	-|-|-⌫---|
qui ta nt lursem bleespoentable	--|--⌫-|--|---⌫--|----------|
ketu ttetienentadiab le	-|--⌫|-|------||----⌫-|
siestd elo rgoillus felun	-|--|-⌫-|-⌫-------|----|
ki parmanacee par tencun	-|--|-----||--|-----|
espoente lafolegent	-------|-|---|---|
equ idebie n	|--⌫--|---⌫|
asuns cient	|--|-⌫----|
kenulsn el	-|---|-⌫||
deiuecontr ester	----|-----⌫----|
deske il loent e n haltparler	----|-||---|-⌫|---|-----|
unsleuns fudm ulttrauaill iez	--|----|--|-⌫--|--------⌫--|
tutennui ez	--|-----⌫-|
enunegrauefis t sunlit	-|--|----|---⌫|--|--|
multfudmaladesa lsuendit	---|--|------|-⌫|---|--|
lesbestes fist asei uenir	--|-----|---||--|----|
kariluol eitcodistchoisir	--|-|---⌫--|-|---|------|
qui mielzpu rr eit en bois	--|----|--⌫--⌫--|-|---|
c hasc ier	-⌫----⌫--|
esa uia nde	|-|---⌫--|
purchascier	----------|
unese uneslesmandot	---||---|--|-----|
sisosci ete	-||----⌫-||
mielzle suoleitissimangier	----|--⌫|-----|---|------|
k eapres curre	-⌫|----|----|
etrau aillier	|----⌫------|
ligupilzfu od els alez	-|-----|-|-|--|---|
hors delagr a ue es tareste z	---|-|-|--⌫-⌫-|--⌫|------⌫|
d es no ueles uoleitoi r	-⌫-|--⌫----|-----|--⌫|
ainzkilu olsist	---||-|-⌫-----|
auantue nir	----|--⌫--|
dituen ezauant	--|---⌫-|----|
gu pil zlirespunttant	--⌫---⌫|-|------|---|
s irefaiti lniosaler	-⌫--|---|-⌫|||-|---|
karnenue in ule returner	--||-|--⌫|-⌫--|-------|
desbe st eski	--|--⌫--⌫-|-|
enzient rerent	--||---⌫-----|
epuruus ueeria lerent	|--|--|---||-⌫-----|
lac urtareiestens em e n t	-|-⌫--||--|--|---⌫--⌫-⌫-⌫|
t elsientre	-⌫--||----|
leg i ereme nt	---⌫-⌫-----⌫-|
mielzliuendreiten susester	----|-|-------|-|--|----|
purlesnouelesescul ter	--|--|------|-----⌫--|
ciuuscu n te d un	-|--|--⌫-⌫-||-|
kunsuilain sprist a compaig nun	|--|------⌫|----||-------⌫--|
entr els conterentlur para g e	---|--|--------|--|----⌫-⌫|
siparlerentd elurlignage	-|--------|-⌫|--|------|
