cilquiseuent	--|--|-----|
etqui lagri g no r force arunt	-|--|-|---⌫-⌫--⌫|----|----|
sur unhaut	--|-|---|
fustsen e stmontee	---||-|-⌫-|-----|
poresgard ercelle	--|------⌫-|----|
celifuu is s onessient	-|-|-|-⌫-|-⌫-|------|
qu elilio n sauoitplus gent	--⌫|-|---⌫-⌫|----|---|---|
etqu ilsuntde	-|-|-|---|-|
grignoriustice	------|------|
od les autres so rissestmise	-|--|-----|--⌫--||--|---|
liaigl esf u a mont	-|----⌫-|-⌫||---|
oisia s quilot ma nde z	-----⌫|-|-|-|--⌫---⌫|
tanteni otet tantiuindrent	---|-||-|-|---||-------|
queles bestespor fol set indr ent	--|--|-----|--|--|-|-⌫----⌫--|
quant lech auesorislesuoit	----|-|--⌫--|----|--|---|
moltlipessa qu eozeusnestoi t	---|-|----|--⌫|-|--||-----⌫|
doncs est de s bestesde partie	---||--|--⌫|-----|--⌫-----|
sespiesmuicha si fis t folie	--|---|-----|-|---⌫|----|
etquantlesel esentrouri	-|----|--|--⌫-|-------|
pardeuanttoz lesde scouri	--|-----|--|--|--⌫-----|
donc est sa fellonie o uerte	---|--|-|-------|-⌫----|
e tsatr aison	-⌫|-|--⌫----|
descou erte	------⌫---|
oisiaz etbestesla	-----|-|-----|-|
alurcr ierese	|--|--⌫---|-|
de la chaue	-|-|----|
soris se plaingnent	----|-|---------|
molt la h onissentet bla sten gent	---|-|-⌫-------|-|---⌫----⌫---|
mostreiliontsa fellonie	------|-|--|-|-------|
et cum ell eatsafoi	-|--|---⌫|-|-|--|
lurc rea torluratiurei	--|-⌫---⌫--|--|-|----|
queil enferaluruolentei	--|-|-|---|--|-------|
et q ue mo lt	-|-⌫-|--⌫-|
tos tl esuenge ra	---⌫|-⌫-|-----⌫-|
dontlamaudis t ets iiura	---|-|------⌫|-|-⌫|---|
qu e m aise nnullieu	--⌫|-⌫--|-⌫|--|---|
queoi sias nebeste l a	--|--⌫---|-|----|-⌫|
tot el achar l iatol lue	---⌫|-⌫|---|-⌫||---⌫--|
puislarouais sihonnir	---|-|---|--⌫-|-----|
sa plumeosterlidesc ourir	-|----|----|-|----⌫----|
a u tresiestdeltrai tor	-⌫-⌫----|--|--|----⌫--|
quem esoi re uer son signo r	--|-⌫----⌫-|--|--|-----⌫|
aquiildoit	|--|-|---|
honor porter	----|-----|
et loaulte ietfoigarder	-|-------⌫|-|--|-----|
sesessireatde luime stier	-|--|---|-|-|--|--⌫----|
az autress euuet aliier	-|-----|-⌫|---|-----|
a s onbe soing	|-⌫-|--⌫----|
li uuetfalhir	-|---|-----|
e t az aut resseuuetteni r	-⌫|-|---⌫--|-|---|----⌫|
seses sire suiente l	-|--|----⌫|----|-⌫|
nepuetlai sier	-|---|---⌫---|
son mauais u s	--|-----|-⌫|
doncseu o dra aluito rne r	---|-|-⌫-⌫--||--|--⌫---⌫|
de tote s parsuuet	-|----⌫|---|---|
partoten estaldoi mostrés	--|--|-|--|-|--|-------|
et auilezetuergondés	-|-----|-|---------|
sonn orenpertet sona uoir	|---⌫-|-|---|-|--|-⌫---|
etreprochie r enonts i oir	-|---------⌫|-|--|-⌫|--|
ato ziors eniertsi	|--⌫|---|-|---|-|
cumdonc f u lach au eso ris	--|---|-⌫|-|--⌫--⌫|--⌫--|
quinedoitma ispa r ioruoler	--|-|---|--⌫-|--⌫|--|----|
neilned oit encort	-|-|-|-⌫--|-|---|
issiauint c	---|----||
unscerf beuo it	--|---|----⌫-|
a uneeiwecarso ifauoit	|--|---|--|--⌫-|----|
gard adedensses cornes uit	----⌫|-----|--|-----|--|
asoimeismesatdoncdit	|--|------|-|---|--|
quebestene lc on treualoi t	--|----|-||-⌫--⌫--------⌫|
n esibelles cornesnauoit	-⌫|-|-----|-----||----|
t antent endiasoiloer	-⌫--|---⌫---||--|---|
etases corn eses gard er	-||--|----⌫-|--⌫----⌫-|
quiluituen i rmolt chienscorant	-|-|--|---⌫-⌫|---|-----|-----|
m aistres ueno it e r rant	-⌫------|----⌫-|-⌫-⌫---|
apreslui uienen ts elqueroient	----|--|------⌫|-⌫||--------|
porcho uqueprendre	--|---⌫|--|------|
le uol oient	-|---⌫----|
e lboisseme t tos enmai és	-⌫|---|-|--⌫|--|-----⌫--|
parsescorne s	--|--|-----⌫|
sestataichié s	|--|---------⌫|
en un buison est	-|-|-----|--|
doncsu ntlic h i e nalui uenus	---|--⌫-|-|-⌫-⌫-⌫-⌫||--|----|
quantil les uitsiaproimi er	----|-|--|--|-|-------⌫-|
sise comen ce aderainier	-|-|-----⌫-||--------|
uo irses tfi stil queuilainsdit	--⌫--|--⌫|--⌫-|-|--|------|--|
etpa r exemple	-|--⌫|------|
etparrespit	-|--|-----|
pluis oruuelent ichou	-----⌫-|------|----|
qu ildeu eroientp ard roitblasm er	-|-|---⌫------|-⌫-|-⌫---|-----⌫-|
etblasmentquel ouerdeuroient	-|-------|--|-⌫---|--------|
f ormentbien seillesauoient	-⌫-----|---|-|-|-|-------|
d u nho meconte	|-⌫|--⌫-|----|
quiestoi tm ors	--|-----⌫|-⌫--|
sa fem memainne	-|---⌫-|-----|
gra n tdolor	---⌫-⌫|----|
desusl atombesonsignor	----|-⌫|----|--|-----|
presdillu cauoit	---||----⌫|----|
quiert pen dusparmesprison	--|--|---⌫--|--|--------|
unscheualie rsledespendi	--|--------⌫-|-|-------|
s es par ens	-⌫-|---⌫--|
ertsilenfui	--|-||----|
par laco ntree f u	--|-|--⌫----|-⌫|
laronaroitem blei	----|----|--⌫---|
soniugement meismeaur oit	--|-------|-----|---⌫--|
sil fuist a tainspen duzseroi t	|-|----|-⌫----|---⌫--|-----⌫|
doncnesouti lcon se ltr ouer	---|-|---|-⌫|---⌫--⌫|--⌫---|
comentsoi poustdeliurer	-----|--|----|-------|
demoltdegent	-|---|-|---|
quilletenoit por	-|-|-|-----|--|
al cimete reuatotdroit	-|------⌫-|-|--|----|
l a ou laproude femmeestoit	-⌫|-|-|-----|----|-----|
quison baronottantplorei	--|--|----|-|---|-----|
co intement l aa rais onei	--⌫-------|||-⌫----⌫---|
quelles oiconforta st	-|---|-⌫-|--------⌫-|
mo ltseroitlies selle	--⌫-|-----|---||---|
la preudefemmeles garda	-|-----|----||--⌫----|
grantioieenot silotria	----|---|-|-|-||----|
quell eferasa	-|---⌫|---|-|
u olen tei	-⌫----⌫--|
li cheu aliersliacont ei	-|----⌫-----|-||----⌫-|
quemolt li ertmesauenu	--|---|-|--|-------|
dellaron quilot	--|----|-|-|-|
se nelenseitc onseldoner	-|-||-|---|-⌫----|----|
horsde lpaisl e ns tue t aler	---|--⌫|---||-⌫|-⌫---⌫|---|
lapreudefemme respondi	-|-----|----|-------|
desfuion smonbarondici	--------⌫|--|----||--|
puissel pendonsla oucilz fu	---|-||------|-|-|---|-|
iertiamais	---|-----|
del i urerd oitl	---⌫-⌫---|-⌫--||
ompar l emor t	-|--|-⌫|---⌫|
leuifdontlom	-|--|---||-|
atentconfort	----|------|
paricest esignefiance	--|-----⌫|----------|
poo m entend requelcreance	---⌫|------⌫-|---|------|
mortauoi resuis	---|----⌫|-|--|
siest limons	-|--|-|---|
faus et chaitis	---|-|------|
un leuetunchiense ncont rerent	-|--|-|-|----||-⌫-----⌫-----|
enmiunboisouil aler en t	---|-|---|-|-|----⌫--⌫|
li leus at lechienesgarde i	-|---|-|-|----|-------⌫|
l ui parlei	-⌫-|-----|
freresfa it	-----|--⌫-|
il molt estes bias	-|---|----|---|
etmoltparest luis anz tapias	-|---|--|--|----⌫--|-|---|
lichiens r espontchouest uert ez	-|-----|-⌫-----|---|--|----⌫-|
iemanguz bi en	-|-----|--⌫-|
ets u efgiztrestot le	-|-⌫-⌫-|--|------|-|
d euant l espiesde	-⌫----|-⌫-|---|-|
mons ign or	--|-⌫---⌫-|
etpuisleiorroing nelesos	-|---|-|--|-----⌫-|--|-|
donti em oi fai s et	---|-⌫|-⌫-|---⌫|-|
cras etgros	---|-|---|
e tuos li uoilhiezobeir	-⌫|--|-|-------|----|
ie faz asezarez	-|--|---|---|
plusuiandeque ne uodrez	---|-----|--|-|-----|
sife raiieli	-|--⌫--|-|-|
leusre s punt	---|--⌫-⌫---|
duncsacompaignentsis enuunt	---||-----------|-||-|---|
ainzqu a lauile	---|-||-|---|
fu i sse nt uen u	--⌫-⌫---⌫-|---⌫|
gardeleleusiaueu	----|-|--|-||--|
cumlichienspor tasoncolier	--|-|-----|---⌫-|--|-----|
etsa chaainnetr ainier	-|-|-------|--⌫-----|
frerefaiti l	----|---|-⌫|
merueilhe uoi	--------|--|
entou r ton colmaisne	-----⌫|--|--|---|-|
lichi en srespo ntcestmac haainne	-|---⌫--⌫|-----⌫-||--|-|-⌫------|
dont o mmelie la	---|-⌫|-|--|-|
carsouent ef oismo r deroe	--|------⌫|-⌫--|--⌫-⌫----|
etaz plui sors moltmefferoe	-|-|----⌫---|---|-------|
quemes sires uue t garantir	--|--|----|---⌫|-------|
porcemefait l iier tenir	--|-|-|---|-⌫---|----|
la nu it uois ento rsamaison	-|--⌫-|---|----⌫|-|-----|
iaproiment	|--------|
q u oi fai t	-⌫-⌫-|---⌫|
li leusestilissi	-|---|--|-|---|
p uisalerforsparli	-⌫--|---|---|--|-|
tu tenir asier emandrai	-||-|--⌫-|-|-⌫-------|
iachaainn e	-|-------⌫|
nechois irai	-|-----⌫---|
mie xuuelestreleusa	---⌫|---|----|---||
queenchaainnerichement uiure	--|-|-------|--------|----|
quant en co re puisestr ealchois	----|--⌫--⌫-|---|----⌫|-|----|
uas ala ui le etieal	--||-|--⌫-|-|-|-|
parlac h aainneestdepartie	--|-|-⌫-⌫-----|--|-------|
luramo retlurcompain gnie	--|---⌫|-|--|-------⌫---|
dunhomeuueliciconte r	|-|---|---|--|-----⌫|
et par exemp leramenbrer	-|--|-----⌫-|--------|
desesmainsc ontedeses pies	-|--|----|-⌫---|-|--|---|
et desoncie fqu	-|-|--|---⌫|-|
uersonuent requ e il por ta	--|--|----⌫-|--⌫|-|---⌫-|
porle ga ain gquei l	--|-|--⌫---⌫|--|-⌫|
uue lentmaistrauilier	---⌫---|---|--------|
t ol irentlemangier	-⌫--⌫----|-|------|
maisquantl i uentresieu na	---|----|-⌫|------|---⌫-|
hastiuementafi eblia	----------|---⌫----|
e tmainset	-⌫|----|-|
piesqu il ne	---|-|-|-|
sitrauilhier cum	-|---------|--|
il soloient	-|-------|
la fie ble te sentir ent	-|---⌫---⌫-|------⌫--|
man gieretb oir e aluentreoffrirent	---⌫---|-|-⌫---⌫|-|-----|--------|
ma istrople urentfaitieuner	--⌫-|---||-⌫----|---|-----|
siqueilne po utriensgoster	-|--|-|-|--⌫-|----|-----|
liuentresreuaanient	-|------|---||----|
etmainset piestot	-|----|-|---|--|
cestexemple	---|------|
ch a scun fr anshon ledoit sauoir	--⌫-⌫---|--⌫--|--|-|---|-----|
quenusnepuet auoir	--|--|-|---|----|
quihontefaita son	--|----|---||--|
nelisirestot ensement	-|-|----|--|-------|
por qu iluuele honnirsagent	--|-|-|----|-----|-|---|
uns alautreestdefalhis	--|||----|--|-------|
a mbedeus sunt	-⌫------|---|
doncmal bailhis	---|---⌫------|
dunsing ecunt	|-|----⌫|---|
quidemanda	--|------|
aungoupil quilenc on tra	|-|-----|-|-|---⌫--⌫--|
pr es tas t	--⌫--⌫---⌫|
sil lipleustoulen	|-|-|-----|-||-|
fuqui l l ottrop	-|-|-⌫||-|---|
e t se nskeuwesun tsie nfant	-⌫|--⌫-|----|---⌫|-|-⌫----|
ligoupilz enquiertquece	-|------|-------|--|-|
quesakeuweli	--|-|----|-|
r e querroit	-⌫-⌫-------|
li songesdist il n	-|-----|---|-||
neuoz eniert nientde	-|--|-|---|----|-|
semen u olezunpoi	-||-|-⌫---|-|--|
q u e lleuos	-⌫|-⌫--|--|
nuist al tostal er	----|-|---|--⌫-|
goupilzne uos	------|-|--|
cesterequeste poiuosuaut	----|-------|--|--|---|
iademak euwequiestgrans	-|-|-|-⌫---|--|--|----|
nalesue rezlesuosenfans	|------⌫--|--|--|-----|
enautrereg nenen	-|----|---⌫-||-|
autre gent	----|---|
se luosdibienapertement	-||--|-|---|---------|
mais q u elle	---|-⌫|---|
fuistde telafaire	----|-|--|-----|
pois setr aire	----⌫-|--⌫---|
c est ex empl e	-⌫--|--⌫----⌫|
porch ou uos	--|--⌫-|--|
delauerhome est	-||---|---|--|
se i lat plus	-|-⌫|-|---|
q uauoir nestue t	-⌫|----||-----⌫|
ne u uetsoffrircari lnepu et	-|-⌫--|------|--|-⌫|-|--⌫-|
quatr es enaitaisenonor	-|---⌫-|-|--|---||---|
miex l eu u et	---|-⌫|-⌫-⌫-|
perdrede iorenior	-----|-|--|-|--|
d unliondi st	|-|---|--⌫-|
quiuol taler	--|---⌫|---|
terree tco nuer ser	----|-⌫|--⌫----⌫--|
t otesles be s tesasembla	-⌫---|--|--⌫-⌫--|------|
e tson oirelu rdemost ra	-⌫|--|---|--⌫|------⌫-|
et qu il deussent roi ch ois ir	-|-|-|-------|--|--⌫---⌫-|
car necuidoit mais re ue nir	--|-|------|---|--⌫--⌫--|
nio t bestequi nepriast	||-⌫|----|--|-|-----|
cun autre lionlurbailhas t	|-|----|---|--|-------⌫|
illurrespontqu il	-|--|------|-|-|
ne nnouri nu lcariln	|-⌫|----|--⌫|--|-||
d iausm ei smes doiuent garder	|---|-⌫--⌫---|------|-----|
lespuissegouerner	--|-----|-------|
donc auoi entle luchoisi	---|----⌫--|-|-|-----|
car iln iot nul	--|-|||-|--|
quilosast prend reselinon	--||----|-----⌫-|-|-|--|
carilniotnulsifellon	--|-|||-|--|-|-----|
az pluisors p romis	-|-------|-⌫----|
lesameroit tosdi s	--|------|--|--⌫|
l iont dit	-⌫|--|--|
quil auoien tle lueslit	-|-|------⌫|-|-|----|
illur respont nedoutezmie	-|--|------|-|-----|--|
quec oint ebesten aieschoisie	--|-⌫----⌫|----||---|------|
preste t inelleetbiencorant	----|-⌫|-----|-|---|-----|
seencor ageet e ntalant	-|-|---⌫--|-|-⌫|-----|
estoitsi fra nscumildeuro it	-----|-|---⌫-|--|-|-----⌫-|
maisd uneriensmoltsecr emoi t	---||--|----|---|-|--⌫----⌫|
quilne presistac onsilhier	-|-|-|------||-⌫--------|
le goupilz	-|------|
qui mutsot trichie r	--|--|--|-------⌫|
amde ussunt fellon	----⌫-|---|-----|
sedelluuuele ntauoir pais	-|--|-|-----⌫-|----|---|
sili f eru ntsur sains	-|-|-⌫---⌫-|--|----|
que il nedoitbestead e ser	--|-|-|---|----|--⌫-⌫--|
nequ e i ama isa son	-|--⌫|-⌫---⌫-||--|
ne mangast charnetant neq uant	-|------|---|-|---|-|-⌫---|
l ileusat u olentiersiurei	-⌫|---|-|-⌫--------|----|
puisqueil l eur entdemandei	---|--|-||---⌫--|-------|
mais q uant il fu a s eur ez	---|-⌫---|-|-|-⌫-⌫---⌫-|
etlilionssenfualez	-|-|----||-|-|---|
grant tale n t outdecharmangier	----|----⌫-⌫|--|-|---|------|
parenginglauuet porchach ier	--|-----|-|---|--------⌫--|
quelesbestesot rierunt	--|--|-----|--⌫------|
sauolenteie tiu g erunt	-|-------|-⌫|--⌫-⌫----|
don catuncheuro lapellei	---⌫|-|-|------⌫|------|
e n conselliademandei	-⌫|-----|-||-------|
qu eu oir paramorli deist	--⌫|-⌫--|--|---|-|----|
d esa lainne	-⌫||-⌫-----|
selle puiist	|---|-----|
etcilz respuntque sipuoit	-|---|------|--|-|----|
quapai nnesoffrir le	-||---⌫--|------|-|
se fistmolt	-|---|---|
corochiés	---------|
por ses ho mes ate nuoiés	--|--|--⌫--|-|-⌫------|
a touzensemble de mand a	|---|-------|--⌫----⌫|
quel i ugement	---|-⌫------|
chascuns fera	-------|---|
decelquidistaso n signor	-|--|--|---||--⌫|-----|
hon te et laideceet	---⌫-|-|------|-|
cillidientqu	--|-|----|-|
ildoit morir	-|---|----|
lileusuale cheur olsaisir	-|---|-|-|-----⌫-|-----|
a oci sp arluresgart	|---⌫|-⌫-|--|-----|
mangiéen alamilhor par t	------|-||-|-----|---⌫|
por s afellonie courir	--|-⌫|-------|-----|
en faitazaut resdepa rtir	-|---|-|---⌫--|----⌫---|
apresic eles a olee	----|--⌫--|-⌫-⌫---|
uneautre besteaap ellee	--|----|----||--⌫----|
tou tautretellidemanda	---⌫|-------|-|------|
alain neque li	-----⌫-|--|-|
lado lenteuout	-|--⌫----|---|
miex mentir	---|-----|
que por u oi r di remortsoffrir	--|--|-⌫--⌫|--⌫-|---|------|
distliqueplussue fodor	---|-|--|---|---⌫|---|
nese ntionqu es	-|--⌫--|----⌫-|
li l eusatco nci le ase mblei	-|-⌫--|-|--⌫---⌫-|---⌫----|
a sesbar onsatd emandei	|--|---⌫--|-|-⌫------|
qu ildoitfa i repari ug e ment	-|-|---|--⌫-⌫-|--|-⌫--⌫-⌫---|
deceluiquilitr i che et ment	-|----|--|-|--⌫-⌫--|-|---|
toutiug ent	---|---⌫--|
q uelle soit	-⌫|---|---|
li leusatdonc la besteprise	-|---|-|---|-|----|----|
sil a o c ciseet	-|||-⌫-⌫---|-|
e tpardeuant eust osmangie	-⌫|--|-----|--|-⌫-|-----|
g airesapresne	-⌫----|----|-|
que lil eusuitet	--|-|-⌫--|--|-|
un s ingecras etbien peu	-|-⌫---|---|-|---|--|
atgrant ta lenteu	-|----|--⌫---|-|
m angierleuou t et	-⌫-----|-|---⌫|-|
unior lialad eman d er	-|--|-|--|-⌫----⌫-⌫-|
des alain nesell e	-||-----⌫-||---⌫|
ous ellee stoitsuefodant	-||---|-⌫----|---|----|
lisingesestoit moltuoisiez	-|-----|-----|---|------|
neuolo it pa sestreiugiés	-|----⌫-|--⌫|----|------|
iln es au oitit a nt li dist	-|-⌫|-⌫--⌫--|--⌫-⌫-|-|---|
lileusnesoutqu	-|---|-|---|-|
caril ne lpooi t tr a ire am o rt	--|-|-||----⌫|--⌫-⌫--||-⌫-⌫-|
s i lne liuosistfaire tort	|-⌫|-|-|-----|----|---|
ensonlit malad e	-|--|--|-----⌫|
s efain st	-⌫|----⌫-|
a toutesbestespuissepl ainst	|-----|-----|---|-|--⌫----|
quil aloientreuisiter	--||------|--------|
quilne poutm i esrepasser	-|-|-|---|-⌫-⌫-|-------|
ci l li firent	--⌫|-|-----|
miresu en ir	----|-⌫--⌫-|
por sauoirs il poroitgarir	--|-----||-|-----|----|
l i mire sunt tout	-⌫|---|---|---|
no nt rie nsueunerienstrouei	|-⌫-|---⌫-|--|-|----|-----|
k i leustmalquili neust	|-⌫|---|--|--|-|----|
semangi e ratalent eust	-|-----⌫-⌫||-----|---|
fist i lnul	---|-⌫|--|
for dec hardesingea mangier	--|-|-⌫--|-|----||------|
maisie neuue l besteadeser	---|-|-|---⌫|----|-----|
monsaireme ntmestu etg a rder	--|-------⌫-||----⌫-|-⌫-⌫---|
se ieneus se	-|-||---⌫-|
tel rai so n	--|---⌫--⌫|
q uelotriaiss entmibaron	-⌫-||--------⌫--|-|----|
don clilouent comunement	---⌫|-|-----|---------|
quille faceseur e ment	-|-|-|---|----⌫-⌫---|
cont re so n cue r etsontalent	----⌫-|--⌫|---⌫|-|--|-----|
ilga rdersaire men t	-|--⌫---|-----⌫---⌫|
contresonc orsdemal	-----|--|-⌫--|-|--|
ilnulu ig arantir	-|----⌫|-⌫------|
quantil oiqui lliloua	----|-|-|-|-⌫|-|---|
le singeocistet selmanga	-|----|----|-|-||----|
puis orenttuituniugement	---|----|---|-|-------|
netintu ereusnul	-|---|-⌫-|--|--|
saire ment	-----⌫---|
p orcemostre lisages bien	-⌫-|-|-----|-|----|---|
cumne de ustpornul l erien	|-|-|--⌫--|--|---⌫-⌫|---|
fell onho mefairesi gnor	----⌫-|--⌫-|----|--⌫---|
n e l uitraire anullehonor	-⌫|-⌫-|-----||----|----|
ia negarderalo uatei	-|-|------|--⌫----|
plusale straing equal priuei	---|||-⌫-------⌫|-|-|-----|
sise demainneuer	-|-|-------|--|
cum fistlileus	--|---|-|---|
d elsairement	-⌫-|--------|
d unuenneor nosc onteici	|-|------|--|-⌫---|--|
quiun leuauoit asailhi	--|-|--|----|------|
parmi unchampfuili	----|-|----|--|-|
ou unberg i ers giso it	-|-|----⌫-⌫--|----⌫-|
parsa franchis eli r equist	--|-|--------⌫|-|-⌫-----|
quillemuicha stetsi desist	-|-|-|------⌫-|-|-|-----|
aluenn eorque l	-|----⌫--|--||
pars iewoit	----⌫-----|
qualboise stoitaleztot	-|-|---|-⌫----|---|--|
lipastordistquesifera	-|-----|---|--|-|---|
desuz safaudelemu isca	----|-|----|-|--⌫---|
liuenneresuenoit	-|-------|-----|
enautr esdemand ant	-|----⌫-|------⌫--|
se cil auoit leleuueu	-|--|----|-|--|--|
et cilrespunt	-|--|------|
nesouto ufu	-|---|-⌫|-|
odsamainaloitensengnant	-|-|---|----|---------|
ledoitalerqu errant	-|---|---|--⌫-----|
endemettuesqu	----------|-|
i l l ensengnoit	-⌫||---------|
enuerlelutoutdroit	----|-|-|---|----|
nepotsesy ozainsremue r	-|--|--|-⌫-|---|-----⌫|
maisnonpar quant	---|------⌫----|
lenfis t aler	|-|---⌫|---|
quantille uit	----|-|-|--|
bienenlongier	---|--------|
sidista lleu	-|---|-⌫|--|
bienlotmuic hiét	---||-|----⌫----|
seztuorebon g rei	--|-|--|--|-⌫--|
taisibi end eliuré	|-|-|--⌫-|-⌫------|
l ileu srespondi co in tement	-⌫|---⌫|-------|--⌫--⌫-----|
et tes mainsuo i rem ent	-|--|----|--⌫-⌫---⌫--|
doige fait ilbongrei s auoir	--|-|---|-|--|---|-⌫----|
mai su nerien toidi po r	---⌫|-⌫-|---|--|-|--⌫|
tesyozseroientanduicreuei	--|--|-------|----|-----|
talanghe et tes mains megarirent	-|-----|-|--|----|-|-------|
por poi nemehonirent	--|--|-|-|-------|
un spoonfuforment irié s	--⌫|---|-|------|-----⌫|
meisme scorochiés	------⌫|---------|
dechouqueteileuoisnauoit	-|---|--|----|---||----|
sa personeau end ro it	-|------|--⌫---⌫--⌫-|
aladie wesselamostra	|-|---⌫----|-|-----|
etl adamel idemanda	-|-⌫|---|-⌫|------|
sil notassez enl abiatei	|-||-|----|-|-⌫|-----|
dunt ellel	---|---||
d espennesl	-⌫-|-----||
auoi tfait plusbel	----⌫|---|---|--|
quellenau oitnul a utreois el	-|---||--⌫--|--|-⌫---|---⌫-|
lipoons distqu ils e cremoit	-|----|---|-|-|-⌫|------|
detozoi siazplusuil	-|--|--⌫---|---|--|
porchouqui lnesoutbi e nchante r	--|---|-|-⌫|-|---|--⌫-⌫|------⌫|
ellerespontlais moi	---|------|---|--|
bientepuet	---|-|---|
tabiatesuff ire	-|----|----⌫--|
ne nilfai t	--⌫--|---⌫|
quantlirosi gno lespetis	----|-|----⌫---⌫--|----|
atmil horuoisiesui	-|---⌫--|---|-|--|
ildemolt pluis ors	-|-|---|-----⌫--|
c u mplu s ont p l u ssun t	-⌫-⌫|---⌫|--|-⌫-⌫-⌫|---⌫|
c o nuoitous	-⌫-⌫-------|
nepuentestreasasi ez	-|----|----|-----⌫-|
seto utneussentlur uolent ez	-|--⌫-||------|--|------⌫-|
une b er bi sout	--|-⌫--⌫--⌫|--|
a ingne l ei	-⌫-----⌫-⌫-|
bergiersl i otostei	-------|-⌫|-|----|
sonaingneletsil	--|--------|-||
aunechieurelabailha	|--|------|-|-----|
qu id e sonlaitla biennouri	--⌫|-⌫|--|---|||---|----|
a l bois len mainne ensembleod li	-⌫|---||-|-----|-------|-|-|
quantellele	----|---|-|
uoitcreu etgra nt	---|---|-|---⌫-|
apellaetdist lit ant	-----|-|---|-|-⌫--|
uastenalaberbis	--||-||-|-----|
etalmoutonqui estton	-|-|-----|--|--|--|
assezt ainouri longhement	----||-|----|---------|
etcizrespondi sage ment	-|--|-------|----⌫---|
mois est auisquemiex	---|--|---|--|---|
do itestre	--⌫-|----|
ma merecellequimesuetp aistre	-|---|----|--|-|---|-⌫-----|
assez que cellequimeport a	----|--|----|--|-|----⌫|
e tquideli	-⌫|--|-|-|
m edeseura	-⌫|------|
issia uintquenunpasti s	---|-⌫---|-|-|-|-----⌫|
outgrant com pain gnede berbis	--|----|---⌫----⌫--|-|-----|
a lo itesbaniier	-⌫--⌫-|--------|
ch amp odsamuilhier	--⌫--|-|-|-------|
lesberbi ssen sgara nttroua	--|-----⌫|---⌫|----⌫-|----|
uneen oc ci stsil	--|-|--⌫--⌫-|-||
chascun i orens el champue noit	------|-⌫-|--|-|----|--⌫---|
ses en porto it etocioit	-||-|-----⌫-|-|-----|
lesberb is molt	--|----⌫-|---|
secoro cherent	-|----⌫------|
entr eusdisre ntetc onsilherent	---|--|-----⌫-|-|-⌫----------|
seuuelentp asdefendre	-|------|-⌫-|-------|
pa rdroiteirese laisent prendre	--⌫|-----|--|-|------|------|
destornerunt	-----------|
ne por morirmotne	-|--|----|--|-|
t an t atendirentle brecon	-⌫--⌫|---------|-|-----|
quiln iremistforsun	-|-|||-----|---|-|
q uant il s e oi tseulenla	-⌫---|-|-⌫-⌫--⌫|---|-|-|
nepoutm uerquilne sepl aingne	-|---|-⌫--|-|-|-|-|--⌫-----|
grantlascece fistil feimes	----|------|---|-|-----|
ett ropmauuaisconsel creimes	-|-⌫--|------|-----|------|
quantgrantcon paingnieest ions	----|----|---⌫-------|---⌫---|
quenos ne no sdefe ndions	--|--|-|--⌫|----⌫-----|
uercesthome quia granttort	--|---|---|--||----|---|
n osattotpriset mis	-⌫-|-|--|---|-|--|
porcho udist lomel reprouier	--|---⌫|---||-|-|--------|
plu isorse laisentdamag i er	---⌫---|-|------|-----⌫-⌫-|
qui con t reste r lurannemis	--|---⌫-⌫-----⌫|--|------|
n ose n t quilne	|---⌫-⌫|-|-|-|
fa c entle pi s	--⌫-⌫--|-|--⌫|
unsemperrere snourri ia	--|---------⌫|-----|-|
u nsing e quilformen tama	-⌫|----⌫|-|-|------⌫|--|
etlisi ngesbie n	-|-|--⌫---|---⌫|
q uanqu ahome faireueoit	-⌫----||---|----|----|
e mpr e reressefis t se ruir	-⌫---⌫-⌫----|-|---⌫|--⌫---|
etsesfestesli uit	-|--|-----|-|--|
cu mto utle tindrenta sign or	--⌫|--⌫-|-|-------||----⌫-|
alafore s tsemistun ior	|-|----⌫-⌫|-|---|-|--|
tozlessingesfistassembler	--|--|-----|---|--------|
peti s et gransquilpout	----⌫|-|----|-|-|---|
sor tozsefit lesueraroi	--|--|-|--|-----||--|
puis siretinten semble odsoi	---|-|-----|--⌫-----|-|--|
depluisors	-|-------|
che u al iers	---⌫-⌫--⌫---|
etdesaquanssescons ilhie r	-|--|-----|--|----⌫-----⌫|
et lessergansdes amaison	-|--|------|-|-⌫|-----|
establi ilchascun parn on	------|-|------|--|-⌫-|
doncpristfemes iot enf ans	---|----|---|-⌫|-|---⌫--|
siti nt festes	-|--⌫-|-----|
ric hes et	---⌫--|-|
yyhomeserent alboisalei	-|----|----|-|---|---|
etsi estoientesgarei	-|-|-------|------|
laoulisinge c onuerserent	-|-|-|----|-⌫----------|
outreluruo lentei alerent	----|--|--⌫-----|------|
laou li singe	-|-|-|----|
suntasem blei	---|----⌫---|
firentmiedelu rgrei	-----|--|-|--⌫|---|
li unsestoitforme ntloaus	-|--|-----|-----⌫-|----|
et liautrestrich ieres etfaus	-|-|-----|-----⌫----|-|---|
quanten lurcor t s	----|-|--|---⌫||
dessinges sunt bien apellei	--|-----|---|---|------|
liloaushonslesesgarda	-|----|---|--|------|
l emper e reslideman d a	|-----⌫-⌫--|-|-----⌫-⌫|
que lisemblede sama inie	--|-|-----|-|-|--⌫---|
seelleestoitbienensengnie	-|---|-----|---|--------|
honsatrespondu	---|-|-------|
