sul felunad	--|----|-|
karfude boneafereet franc	--|-|-|---|----|-|----|
gentildequercumfu	-----|-|---|--|-|
meurs demurs mesioene da ge	----|-|---|--|----||-⌫-|
requit lerei sun heritage	-----|-|--|--|-------|
keil ligrantast duceme n t	-|-|-|-------|------⌫-⌫|
etl e mesterqueli	-|-⌫|-----|--|-|
mesrespunduli fu am is	--|-------|-|-|--⌫-|
puiskenmortelge r re fupris	---||-|-----|--⌫-⌫-|-|---|
mortliuerétifrere	---|------|-|----|
cuntrelerei	-----|-|--|
kenirrelandeere	|-|--------|--|
e tdel reg nefu forb ani	-⌫|--|---⌫-|-|----⌫--|
par q uelbaudurp arquel res un	--|-⌫--|-----|-⌫-|---|---⌫-|
dem andes tu	---⌫----|-|
si gr antnun	-|--⌫--|--|
liarceueske out	-|--------|--|
deceo contenzs enuent acurt	-|--|------||-|---||---|
le reiape lledeuotement	-|--|---⌫--|---------|
kari ll amatmut te nd remen t	--|-⌫||---|--|--⌫--⌫-----⌫|
puslidist beu	--|-|---|--|
deu s nuset laue li eley	---⌫|--|-|-|--⌫--⌫|--|
kenestpas dreitkef izcompere	-||--|--|----|-|-⌫-|------|
l ame sprisunl epe re	-⌫|--⌫------|-⌫|--⌫-|
chescuns a porté s adesert e	-------||-----|-⌫|------⌫|
dreit k elifrereeit pe rte	----|-⌫|-|----|--|--⌫--|
purlep echedautrui	--|-|-⌫---||-----|
sire reisuus pri	---|---|--|--|
keuusa uostregenti lhome	-|--||-----|-----⌫|---|
facé tla custume	-----⌫|-|------|
et ligrantétsoneri tag e	-|-|-------|--|---⌫---⌫|
et receiue zle senhumage	-|-------⌫|-|--|-----|
sanztrauers et sanzcuntre dit	---|------|-|---|------⌫--|
lireis liotreie	-|---|-|-----|
sauezu usprie r	----|-⌫-|----⌫|
delcuntre diren ad mester	--|------⌫---||-|-----|
or esayuostredesir	--⌫|--|-----|----|
uo stre pleisir	--⌫---|------|
etpriezdeu	-|----|--|
nauerezescundit bien lecre i	|-----|-------|---|-|---⌫|
r egneterrien	-⌫---|------|
c elestien	-⌫-------|
si fugillebe rtreceus	-|-|-------⌫-|-----|
etquenset marescha ustenus	-|----|-|--------⌫-|----|
cofi stliarce uesqueedmund	-|--⌫-|-|----⌫-----|-----|
kiatu zken anguisesunt	-||--⌫||-|------|---|
s aaie etcunsei ldune	-⌫|--|-|------⌫|---|
lereaumesalueet lacorune	-|-----|----|-|-|-----|
pei ne mettekeamur e t	---⌫-|----|-|---|-⌫|
maineestable	----|------|
e n tre le rei	-⌫-⌫--|-|--|
etleshauz ho mesdela terre	-|--|---|--⌫--|-|-|----|
isu rde neguere	|--⌫--|-|----|
apresle cu n te	----|-|--⌫-⌫-|
acorda il le	-----|-|-|
que nhubert	---⌫|-----|
dekant keacordfumellé	-|---|-|----|-|-----|
alrei dunt	-|--|---|
doelfu etpeche	---|-|-|----|
sifistilg ille bert bass et	-|---|-|-⌫----⌫---|----⌫-|
delrepeller gran tpein e	--|-------|----⌫|----⌫|
del regne l esnat ureus	--|----|-⌫-|---⌫----|
rei etses feus	--|-|--|---|
de luiseru ire nleute	-|--|----⌫-|-⌫|----|
e namuret enunite	-⌫|---|-|-|----|
e stienne de segraue ausi	-⌫------|-|------|---|
ke m utoutlere i	-|-⌫-|--|-|--⌫|
misted mund lesa i nt	---|--⌫---|-|--⌫-⌫-|
deuer lereienb o n estat	----|-|--|-|-⌫-⌫|----|
richardsy ward e t plus aset	------|--⌫---|-⌫|---|---|
kifurentalreimel lét	-|-----|-|--|---⌫---|
keuus f raide	-|--|-⌫--|-|
c euslung cunte	-⌫--|---|----|
duntnumbrene sa i ne cunte	---|-----|-|--⌫|-|----|
sen fazpurc e ocest argument	|-|--|--|-⌫-⌫|---|-------|
salubienapent	---|---|----|
a uuspecheur sc he itifs	|--|-------⌫|-⌫--⌫----|
deld ebleencumb rée t	--|-⌫---|------⌫--|-⌫|
kemellétaucreatur	-|------|-|------|
est e spar uostre errur	---⌫-⌫|--|-----|----|
essam plegranten d eu ezprendre	-----⌫--|----|-|-⌫--⌫-|------|
bien fet a	---|--||
crereet a entendre	----|-||-------|
recouer e r poezlamur	-------⌫-⌫|---||---|
par lui denostr e seignur	--|--|-|-----⌫|------|
kar pluspo ez	--|---|--⌫-|
ore feree t uout	--|---|-⌫|---|
k unke sensiecleferesout	|----⌫|-|-----|---|---|
etpl usli plest orcureprendre	-|--⌫-|-|----|-|---|------|
etasaludes	-||---|--|
al mes entendre	--⌫--|-------|
ke del estat fist	-|--|----|---|
iadelmun d	-|--|---⌫|
dunt honurstrespassablessun t	---|-----|------------|---⌫|
ceo t uzesper aunce	--|-⌫-|-----⌫----|
enluiespe rau n ce	-|--|----⌫---⌫-⌫-|
neuu sest estrange	-|--⌫|--|-------|
et k antka uus requere apent	-|-⌫--|||--|------|----|
otrei r m utboneme nt	-----⌫|-⌫-|------⌫-|
si uousl amezdequer ue r ai	-|---||---|-|---|--⌫-⌫-|
purueirbien direle	--|---|---|---|-|
de sesamo neskilsoutfere	-|--|---⌫--||-|---|---|
comest uis	-||--|--|
nioutenp aisbosoingnus	||--|-|-⌫--|---------|
nulsnupe z nefamilius	---|----⌫|-|-------|
ke neust de	-||---|-|
malalege ment	--|-----⌫---|
ul arc eueskeestout present	||---⌫-----|-----|------|
trouachauceure	----|--------|
nuz donauesteu re	--|---|------⌫-|
chascuniuroutcustum e	------|--|--|------⌫|
keimeinent chescun pou re home	-||------|------|---⌫-|---|
enfue m endifssipeuz	-|-||-⌫-----|-|---|
ket u tl eiurfusustenuz	-|-⌫-⌫|-⌫|--|-|-------|
sifame f ustsu e cert e	-|---|-⌫--|--⌫|----⌫|
kac unsfust	|--⌫--|---|
cheuen po uerte	---|-|--⌫----|
clercbu rgeis u p eisaunt	----|--⌫----||-⌫------|
kepres deluifuconuersan t	-|---|-|--|-|---------⌫|
kemaladee reude	-|-----|-⌫-||-|
etgen tizhomfust delinage	-|---⌫--|--|---|-|-----|
keuousitaua ntmur ir	-|-----|---⌫-|---⌫-|
kesapoure te	-|-|-----⌫-|
d e s cuue rir	-⌫-⌫-⌫----⌫--|
r egardasi	-⌫-----|-|
h onestemen t	-⌫---------⌫|
si priueement	-|---------|
dese s bien setdesun a rgent	-|--⌫|----⌫|-|-|--|-⌫----|
lingelange	----|----|
leinefurm en t	----|----⌫--⌫|
et k ecou ent home	-|-⌫|---⌫--|---|
tropme ser eitlung	---|-|---⌫--|---|
cumaturnasesamonere s	--|-----|--|-------⌫|
ke mutpa rfirent	-|--|--⌫|-----|
u olunt eres	-⌫-----⌫---|
tu z lescum an z a	--⌫|--|---⌫--⌫||
lurseignur	--|------|
s an zdangere tsan z tr istur	-⌫--⌫|-----|-⌫|---⌫|--⌫----|
k arueirsestdistsuuent	-⌫-|----|--|---|-----|
teusliseignuretteus a	---|-|------|-|--|-⌫|
kar te l couentke	--|--⌫|-----|-|
alseignuragree	-|------|----|
teuprelat teucun se il creit	--|-----|--|---⌫--⌫-|----|
teu c umilcoi sisetpurueit	--|-⌫-|-|---⌫--|-|------|
d egrantcunseil espiritable	-⌫|----|------|----------|
sienten ti f s isuccura ble	-|-----⌫--⌫|-⌫|-------⌫--|
ful iarceueske dunt	-|-⌫|--------|---|
citesto i r ees cr ifet	--|----⌫-⌫-⌫|--⌫--⌫-|-|
c umd ecun fes siuns	-⌫-|-⌫|---⌫---⌫----|
conforzet predicatiuns	------|-|-----------|
nel pout d eren rep rendre	--|---|-⌫|--|---⌫-----|
nemist endespeir pecheur	-|---|-|------|------|
ne org u i lliusengrantbaudur	-|---⌫-⌫-⌫----|-|----|-----|
e ngreschati eet manace	-⌫----|-----⌫|-|-----|
as humb les	-|----⌫--|
p rometgloire et	-⌫----|-----|-|
adeutre stuzparfezpar diz	|--|---⌫---|--|--|--|--|
udifsf u il t u ziurz e nuiz	----|-⌫|-|-⌫-⌫|---|-⌫---|
karbiensau oitkeudiuesce	--|---|---⌫--|-|-------|
etlecorsetlameblesce	-|-|---|-||--|-----|
o refu st enoreisun	-⌫-|--⌫-|-|------|
en e studie	-|-⌫-----|
uen lescun	|-|-----|
uen cun s eil de	|-|---⌫-⌫--|-|
k apendant fu asunmeste r	|-------|-||--|-----⌫|
mutda mpnapercedetens	--|--⌫---|----|-|---|
endeufu tre stutsenpur pens	-|--|-|---⌫---|--|---⌫---|
ne saien la	-|--|-|-|
curtc elestre	---|-⌫------|
sein zplus semblabl esestre	----⌫|---|--------⌫-|----|
aseintmartin	|----|-----|
kedeu reg ar da tuz iu rs	-|--|---⌫--⌫-|--|--⌫-|
parl apostlecum dist	--||------|--|---|
lh y mnedelikeestescrist	|-⌫-⌫--|-|-|-|--|------|
a pouresfulunmerciable	|-----|-||-|--------|
a poure sl au tr esuccurab le	|-----⌫||--⌫--⌫|--------⌫-|
l unprecha dela tr inite	|-|-----|-|-|--⌫----|
la utr e keune est deite	|-⌫---⌫|-|--|--|----|
greceen lorie nt	----|-||----⌫-|
edmundprecha e n loccide nt	-----|-----|-⌫||------⌫-|
a m deuzpa r lel elect iun	-⌫-⌫---|--⌫|--|-----⌫--|
arceuesquesoup alliun	----------|-|-⌫-----|
amdeuzencuntresathan fors	-----|-------|-----|---|
a mdeuzsimpl e pariunement	-⌫----|-----⌫|--|-------|
resusci terentplusursmors	-------⌫-----|------|---|
dorguillu se estudegent	|--------⌫-|-----|---|
l iunfuden g leterreflur	-⌫|-|-||--⌫-⌫------|---|
l i autre defrancemir ur	-⌫|----|-|-----|---⌫-|
a q ue ifrai de	|-⌫--⌫|---|-|
co lungcunte	-|---|----|
biensetche scuna qu eiil	---|--|---⌫---||--⌫-|-|
a mdeuz s eru irent unseig nur	-⌫----|-⌫---⌫----|-|----⌫--|
amdeuzluerpurlurlabur	-----|---|--|--|----|
e nla curt celestiene	-⌫|-|---|---------|
un tdegloriede ki es t pleine	--⌫|-|-----|-|-|--⌫|-----|
dela r cheueske	-||-⌫-⌫-------|
ed mund dire	--⌫---|---|
mestut kapent	|----||----|
k itrailapremere femme	-⌫|---|-|------|----|
grant descord etcontencseime	----|------|-|------|----|
entr eliet	----⌫|-|-|
leso ncouent	-|--⌫|-----|
akica nterbireapen t	|-|--⌫-------|----⌫|
decustumes etdefranchise	-|-------|-|-|--------|
d euiseesen sa inte laeglise	-⌫------|-|--⌫---|-|-----|
du ntni outpas eapert echose	--⌫-|||--|--||-----⌫|----|
ore i sun de close	---⌫-⌫--|--⌫----|
li que usutdreit u ereieme nt	-|---⌫-|-|----|-⌫-------⌫-|
liarceuesk e ulecouent	-|--------⌫||-|-----|
licou en tk i de de nzestoit	-|---⌫--⌫|-⌫|--⌫--⌫-|-----|
icreitauer me iurdreit	|----|---|--⌫--|----|
sen su rtdescordetplai	|-|--⌫-|------|-|---|
as uns etas autres en nuus	-|--|-|-|-----|--⌫---|
l arceue ske	|------⌫--|
kia uancét	-|-⌫------|
f upareusetmut	-⌫|--|--|-|--|
mut pesanceethuntage	--|------|-|------|
et ang uisee n son	-|---⌫---|-⌫|--|
mutredo ute repr uuer	--|----⌫--|----⌫---|
k e direpus e ntaduer ser	-⌫|---|---⌫-⌫-|-----⌫--|
creint k ilseitateltenu	-----||-|---||--|---|
kemaleit purlurbienrendu	-|--|--|--|--|---|----|
c laméseit crueus	-⌫----|---|-----|
ubliusetdesnatureus	-----|-|----------|
purcomeskeilperte en	--|-|--|-|-|----|-|
delurdemande mutotreit	-|--|------|--|-----|
fetet aset terme	--|-||--|----|
karomelurescrit conferme	||---|--|-----|-------|
en furme ke uousrecord	-|----|-|---|-----|
suntiaenunaco rd	---|-|-|-|---⌫-|
amissuntparaliance	---|---|--|------|
l i uns lautrehonure etau a nce	-⌫|--||----|-----|-|--⌫-⌫--|
dunt pur aemplir lasume	---|--|------|-|---|
liarceueskearome	-|--------||---|
o ulass ent de	-⌫||---⌫--|-|
tutleco uen t	--|-|--⌫---⌫|
kemutlotreien tbonement	-|--||-------⌫|-------|
lep rudomkefudegrant	-|-⌫----|-|-|-|----|
mut traua illiéen teu ueiage	--|-----⌫-----|-|--|-----|
imet dargent	|--||-----|
estre sestraualsettr esor	----|--|------|-|--⌫---|
mespou rementli furend u	--|---⌫-----|-|-|----⌫|
tutfu cum di raipe rdu	--|-|--|--⌫--|--⌫--|
leg is tres faus etl u iz	---⌫--⌫---|---|-|-⌫-⌫-|
ke prudume deit	-|------|---|
c reireenuiz	-⌫----|----|
lecuuentdespendre	-|-----|--------|
duntilpusentlur proie prendre	---|-|-----|--|----|------|
dunentcunseil acante rbire	-----|------||-----⌫----|
tutelafurme a cuntredire	---|-|----||---------|
duntfur entpaezauant	---|---⌫--|---|----|
e tq uassertu t lurcuue nant	-⌫|-⌫-----|--⌫|--|----⌫---|
ceuslurfaus legistre	---|--|---|-------|
kedeceuadtutlechapitre	-|----|-|--|-|-------|
edm undleueuzpapelarz	---⌫--|-|---|-------|
kanicesuus rentet	||----|--|---|-|
kesunpru fettantsulement	-|--|--|--|---|-------|
cun tre l edreitkeuousapent	---⌫--|-⌫|----|-|---|----|
at antensiwitke	|-⌫--|------|-|
enueittostet primerement	-----|---|-|----------|
d eusme imesgent a lacurt	|--|--⌫---|---||-|---|
d eromedunt	-⌫|---|---|
grantmalensurt	----|--|-----|
od legis tre sk i ueidie	-|-----⌫---⌫|-⌫|-----|
lettres u ntdeprocur aci e	------|-⌫-|-|------⌫---⌫|
ketutleco uent	-|--|-|--⌫---|
bienotr e ieit	---|---⌫-⌫---|
ka ntkepar	--⌫-|-|--|
eusifets ereit	--||--|-⌫----|
cistseiruunt ketermeun tbref	---|---|---|-|----|--⌫|---|
a talent troue ntuent	|-----|-----⌫-|---|
ariuent etnec es sentie s ke	------|-|-|-⌫--⌫---|--⌫-⌫-|
passéfus entler ceueske	-----|---⌫--||--⌫------|
l aueiecu neue tenent	-⌫|---|--⌫---|-----|
pa r q ueia rome	--⌫|-⌫--||---|
granzenzpape etenf reresmettent	----|--|---|-|-|-⌫----|------|
mutidunen t etplu s	--||-----⌫|-|---⌫|
pro mettent	---⌫------|
oretargen tiueusdene rs	-|-|-----⌫|----|----⌫-|
c ist tu tp e rnentuolenters	-⌫--|--⌫|-⌫-⌫----|--------|
l i arceuesqueest p uisue nuz	-⌫|---------|--|-⌫--|--⌫--|
plustostd eus kefumeu z	---|---||--|-|-|---⌫|
kal a curt	||-⌫|---|
mustres are sun	-----|-⌫|--⌫--|
etdesun cheminsenc hescun	-|-|--|-----||---⌫-----|
parcomu ncunseilafermé	--|----⌫|------||-----|
acan terbirepurparlé	|---⌫------|--------|
et ceuskeil	-|---|-|-|
licuntredient	-|----------|
e t dit liest	-⌫|--|-|--|
unckede comot noutsoné	----|-|-|--||--|----|
etkecoseitache suncerte	-|-|-|---|----⌫--|----|
l es c rits el é must rent a perte	|--⌫-⌫--|-⌫--⌫-|----⌫---|-⌫----|
nest mesterkee s cri ue ucun te	|--|-----|-|-⌫-⌫---⌫-||---⌫-|
cuml erceueskeenout	--||--------|-|--|
grant hunte	----|----|
karlurfauset e fucr eue	--|--|------⌫|-|--⌫--|
e t sauerite nent	-⌫|-|-----|---|
li legistreste nuz f eeus	-|--------|--⌫--|-⌫---|
etlercueskea	-||-------||
d e se l us	-⌫-⌫--⌫-⌫-|
arere set ret	----|-|-⌫--|
doula dunkesneoutplus	---|-⌫|----|-|--|---|
deautre s boso ignesp arler	-|-----⌫|----⌫----|-⌫----|
poet esp leiter	---|---⌫-----|
etceste pr imere	-|----|--⌫----|
bos oign e	---⌫----⌫|
des turbe autres etengloign e	---⌫----|-----|-|--------⌫|
p urque i l ierceu eske uint	-⌫-|---⌫|-⌫|-----⌫---|---|
kar meint adesleelletint	--|----||------|-|---|
sahunteli fupurcoma ire	-|----|-|-|--|-|--⌫--|
en engleterre pu s	-|---------|--⌫|
purc e spertescu ruc és	--|-⌫-⌫|-----|--⌫---⌫--|
nem imerueillie silestire z	-|-⌫|---------||-|--|---⌫|
quant s u ntr euenuzamesun	----|-⌫-⌫-|-⌫-----||----|
crestpluslipl aisetlacu ntencun	----|---|-|--⌫--|-|-|--⌫------|
l ecouentl er ceueskeblame	-⌫|-----||--⌫------|----|
etparlepais le de fam e	-|--|-|---|-|--⌫---⌫|
et c umeplentifsdeledenge	-|-⌫--|-------|-|------|
ci staldereintuzescume ng e	--⌫-|-|-----|--|------⌫--⌫|
kelepai set	-|-|---⌫|-|
lafranchise	-|--------|
tr ublentde lasueeglise	--⌫-----|-|-|--|-----|
puis la sente n cegenerale	---|-|-----⌫-⌫-|-------|
lad un eilpl usespecial e	-|-⌫--⌫|-|--⌫-|--------⌫|
liesclandretantmunte et	-|--------|---|----|-|
kennuiéest	|------|--|
lareaucurt	-|---|---|
mes p ar r e ineparlegat	--|-⌫-|-⌫-⌫|-|--|----|
n efuamen dél ur e stat	-⌫|-|----⌫--|-⌫-|-⌫---|
lil egatbiencum enca	-|-⌫---|---|---⌫---|
me stostacuuen tse nclina	--⌫|---||-----⌫||-⌫-----|
en tutlereaumen eno utmaire	-|--|-|-----|-⌫-|-⌫-|----|
lierce ueskeaduersair e	-|----⌫----|---------⌫|
kicumelum bardu rom ein	-|---|---⌫---||---⌫--|
auoita prendreuuert e mein	----||------|-----⌫|---|
ceuskila ssoute scumenia	---||-|-⌫----|-⌫-------|
ceuskele rceueskea	---|-||-⌫-------||
par dreiture escu men i é	--|-------|----⌫---⌫-⌫-|
teufucodi st sapoes te	--|-|-|--⌫-|-|----⌫-|
a u ple isirle	-⌫|---⌫---|-|
rei d eenglete rre	--|-⌫|-------⌫--|
mettepeineplus	----|----|---|
ked autrefere	-||----|---|
meinspleisiradeuk ea humme	----|------||--|-⌫||----|
n eprisgeuail liant une	-⌫|---|-|----⌫----|--|
reiski bien creitafer e	---|-|---|----||---⌫|
dreiturenepoetentrere	-------|-|---|-|----|
le leg at li	-|---⌫-|-|
fist entendre	---|-------|
a a uerprendr e	|-⌫--|------⌫|
li erceu eskeke greué	-|-----⌫---|-|-----|
sesen t enestaseztrublé	-|---⌫|-|--|---|------|
kantc oparceiuentlimeinur	---|-⌫|---------|-|-----|
ke nepreisentkesuntgre sei gnur	-|-|-------|-|---|--|---⌫---|
plai m oue nt de tute	---|-⌫---⌫-|-|---|
naffré estia dep lus urs dar z	------|--|-|-|-⌫---⌫--|---⌫|
des unss oefredamageetb la me	--|--|-⌫----|-----|-|-⌫--⌫-|
de tut parzdecret sa fame	-|--|---|-----|-|---|
sapu ruean ceeschars ete	-|--⌫-----⌫-|-------⌫--|
e tsaiustise cru elte	-⌫|-|------|---⌫---|
saseinteteypocrisie	-|-------|--------|
est tenueet enf o lie	--|----|-|-|-⌫-⌫--|
sahonestesim p li c ite	-|------|---⌫-⌫--⌫-⌫--|
esta p elle ́ nicete	--|-⌫-⌫----⌫|-----|
na tpasc odient que rhaut	|-⌫|--|-⌫|----|---⌫|---|
pouerete addel	-------|-|-||
escole apris	-----|----|
plusseiacordas escolers	---|--|----|-|-------|
etap restres	-||-⌫------|
k a chiualeres	||---------|
nedient forke unuentage	-|----|--|-|-|------|
de nurritu re de lin a ge	-|-------⌫-|-|---⌫-⌫-|
doiseus d echensdemenestreu s	|-----|-⌫|----|-|---------⌫|
nesetpluske unpast ureus	-|--|---|-|-|----⌫----|
denueiseuresadengain	|----------|-|-----|
priseaunecha stain	----||--|---⌫----|
t eus es tlimundkeore	-⌫--|--⌫|-|---|-|--|
n est plusprelatsilnestde curt	|--|---|-----||-||--|-|---|
silnest bar uns	|-||--|---⌫--|
que nsuhauteins	---⌫-||-------|
ett ut deueine gloirepleins	-|-⌫-|-|----|-----|-----|
li erceueskeenpensés est	-|--------|--------|--|
ne se tcunseilkeseitpluspr est	-|--⌫|------|-|---|---|--⌫--|
n epoutsanzdest ruc tiun	-⌫|---|---|----⌫---⌫---|
demore renlare giun	------⌫|-|-|--⌫---|
n esan zt rauail nesanz p e ril	-⌫|---⌫|-⌫-----|-|---|-⌫-⌫--|
partir etalerenexil	-----|-|---|-|---|
cu m ile stoitdecopensifs	--⌫|-|-⌫----|-|-|------|
endo rmis e st et li	----⌫---|-⌫-|-|-|
ke uneuoizde conf ort out	-|--|---|-|----⌫--|--|
kef ere li fut li descl o ut	-|-⌫--|-|--|-|-----⌫-⌫-|
enu ostremeind resaele s crit	-|-⌫----|-----⌫-|---|-⌫-⌫---|
p etizest mesmut gran tse ndist	-⌫---|--|--|--|----⌫|--⌫|---|
escritlaesten parchemin	-----|-|--|-|--------|
en fr ancei s eten latin	-|--⌫-----⌫|-|-|----|
primespuismamortteiapr engeed m un	-----|---|-|---|--|---⌫---|--⌫-⌫-|
etq uiduteret	-|-⌫-|----|-|
li sireme t enten te etc ure	-|---|--⌫|-----⌫-|-|-⌫--|
d unt apert enmil a figure	-⌫--|----|---|-⌫|-----|
lierceueskekiseueil lie	-|--------|-||-----⌫--|
decunse ilnu uel semmerueillie	-|-----⌫-|--⌫--||-----------|
apri s estpar	----⌫|--|--|
sai ntespirit	---⌫-|------|
sai n t thomasfu kecolid ist	---⌫-⌫|-----|-|-|-|-|-⌫--|
apri ses t et	----⌫|--⌫|-|
et de sonpurpo s	-|-|--|-----⌫|
nest dreitkenoblin	|--|----||-|---||
en sile n ce	-|----⌫-⌫-|
mette sigrauntpacience	----|-|-----|-------|
enplai enc un trelimeu	-|---|---⌫--⌫--|-|--|
k ant iugementes te it	-⌫--|-------|--⌫--⌫-|
cuntr eliunkene	-----⌫|-|---|-|
semblantmes deu	-------|--|--|
etdistpuskesent ence unt	-|---|--|-|----⌫---|--|
dunéicistkes age sunt	----|----|-|-⌫--|---|
nest d r eitkegeenseieirez	|--|-⌫-⌫--|-|-|-|---|---|
et mu tde co	-|--⌫|-|-|
eme rueil liez	---⌫-----⌫---|
kisun tapri sde iugement	-|---⌫|----⌫|-|-------|
e ndreitureuntmislur	-⌫|-------|--|--|--|
k ilse ie ntdeceu n e	|-|--⌫--⌫-|----|-⌫|
sageskesunt	----|-|---|
debone fey	-|---|--|
priedeuke chescune eglise	---|--|-|-------|-----|
seisieseitde safranchis e	-----|---|-|-|--------⌫|
d un cfulilegat	-⌫--⌫|-|-|----|
sireen cestere giun	---|-|----|--⌫---|
kid el reg ne	-|-⌫-|---⌫-|
fist son tale nt	---|--|----⌫-|
keoyprelaz et tute	-|-|-----|-|---|
delerceueskene	-||--------|-|
tint cun te	---|---⌫-|
auo it hunte	---⌫-|----|
etdists uefensoncurage	-|---|-⌫--|-|--|-----|
nedeipluss uffrirtel	-|--|---|-⌫-----|--|
keuautdreiture	-|---|-------|
pre laciediuin ite	---⌫----|-----⌫--|
religiunugrauntscienc e	-------||-----|------⌫|
u preuileg eu indu lg e n ce	|--------⌫||----⌫--⌫-⌫-⌫-|
mesfor uolente	--|--|------|
dreito reisunetexulé	----||-----|-|-----|
at elesn esay kefere	|-⌫---|-⌫|--|-|---|
adeuco mand ge	|--|--⌫---|-|
e ng leterre	-⌫--⌫------|
kenen estsiar omein snun	-|--|--|-||-⌫-----⌫|--|
m estuisforspreieet	|--|--|---|----|-|
li ureisun	--⌫------|
li e r ceue skeapoydegen t	-|-⌫-⌫----⌫--||--|-|---⌫|
lamerpassepriueement	-|--|----|---------|
apuntenil iplust aler	|------|-⌫|----|---|
tant cumdeuuout la	---|--|--|---|-|
ci lak enmeillurestat	-|-||-|------|----|
sei tengleterreetlile ga t	---⌫|---------|-|-|--⌫--⌫|
seitrepeiré a la curt	---|-------||-|---|
parquila greuan cesurt	--|--|-|------⌫-|---|
plusaddolke sac he	---|-|--|-|---⌫-|
meuzli plutmuri rk e uiure	---|-|---|----⌫|-⌫|----|
quant iceus ueit desquesmouer	----|----|---|------|----|
essa mpledeust debienoure r	----⌫---|----|-|---|----⌫|
parquesdust estre	--|---|---|----|
sei nte eglise	---⌫--|-----|
deuert uzetdebensaprise	-|----⌫-|-|-|---|-----|
u nt dusure etde	-⌫-||----|-|-|
e ntu cheetutl ur uie	-⌫---⌫---|--|-⌫-|--|
enorgui let	-|-----⌫|-|
enc uueit i se	-|-⌫-----⌫-⌫-|
e st tutel urentente	-⌫-|---|-⌫-|------|
ua en pes tapir	-|-|--|----|
etena fflictiun s gisir	-|-|-⌫---------⌫|----|
etdeuprier	-|--|----|
keil amend	-|-|----|
teumo rtel	--|--⌫---|
en chuchement	--⌫---------|
lorss enpartipriueement	---||-|----|---------|
passéiasauuement	-----|-|--------|
enpais se nue ntde	-|---||-⌫|--⌫-|-|
f r a nc e	-⌫-⌫-⌫--⌫|
ke tuzacoi ltettuzauance	-|--|----⌫-|-|--|-----|
franc hiseaddeantiq uite	-----⌫---|-|-|-----⌫---|
kenfranceach escunexulé	|-|-----||--⌫----|-----|
deit estreprotectiun	---|----|---------|
deceo retientfrance	-|--|------|-----|
p ar franchis eest etcurtei sie	-⌫-|--------⌫|--|-|------⌫--|
estr eref et garantie	----⌫|---⌫-|-------|
kees t tribulatiu n	-|--⌫|----------⌫|
u aqueran tconsolatiun	-⌫|------⌫|----------|
d efrancelareine blanche	-⌫|-----|-|----|------|
ke sei ntefu ets ageetf ranche	-|---⌫--|-|-|-⌫--|-|-⌫-----|
bienl ec oillit et lec onforte	---|-⌫|-⌫-----|-|-|-⌫------|
etreu erancegrantliporte	-|---⌫-----|----|-|----|
etli ofreagrant	-|-|---||----|
ri ch ehoneste	--⌫--⌫|------|
aisésuiu r	----|----⌫|
etses enf a n zdeua ntlime ine	-|--|---⌫-⌫-⌫|----⌫-|-|--⌫--|
cumel ekede feifu	--|--⌫|-|-|--|-|
kei l lur doint sabeneicun	-|-⌫|--|----|-|-------|
etpripurl esta t de franun ce	-|--|--||----⌫|-|------⌫-|
kedeuslessauue de mechance	-|---|--|----|-|-------|
cil ot reitbon ement	--|--⌫---|---⌫----|
dilocse part	|---|-|---|
karc ungeprent	--|-⌫---|----|
ap un teni se nu atutd rei t	|-⌫--⌫---||-⌫|-⌫|--|-⌫---⌫|
le c ouentmutbienlereceit	-|-⌫----|--|---|-|-----|
karala saleet	--||-|---|-|
chambrep reste	------|-⌫----|
grant aisee	----|----|
etmutho neste	-|--|--⌫----|
c loistreetde leglise	-⌫------|-|-||-----|
asetprocheinementasi se	---|------------|---⌫-|
pesen oreisun	--|-|------|
etena fflicti un	-|-|-⌫-------⌫-|
mein ecumeclois trersauie	----⌫|---|-----⌫---|-|--|
o reen l iueresestudie	-⌫-|-|-⌫-----|------|
et e stenconte mplatiun	-|-⌫-|-|-----⌫-------|
apensern adsid edeu	|-----||-|-|-⌫|--|
tantil iune ettantil ueillie	---|-|---|-|---|-|------|
tant ilureke	---|-|--|-|
merueillie	---------|
semblaa t ut lecouen t	-----||-⌫-|-|-----⌫|
umuzfurentde	|--|-----|-|
seinte gent	-----|---|
cumhummortel	--|--|-----|
p uttantsuffri r	-⌫-|---|------⌫|
sestre sgranzpeines	--|---⌫|----|-----|
sanz murir	---|----|
hemle uisiteetcha stie	--|-|-----|-|---⌫---|
amesuresaui e	------|-|--⌫|
sagra ntre ddurken	-|---⌫-|--⌫---|-||
es t suffrable	--⌫|--------|
e tka seiseitplus mesurable	-⌫|||--|---|---|--------|
si fist il me s	-|---|-|--⌫|
tutal urtale nt	--||-⌫-|----⌫-|
uniu ren lu rchapitreentra	-|--⌫|-|--⌫|-------|----|
uil alcouentprecha	|-|-|-----|-----|
demursifurent amen dé	-|---||-----|----⌫--|
etdel ec trureendoctri né	-|-|-⌫--⌫----|--------⌫--|
ne stnulsketendrur	|-⌫-|---|-|------|
nen e npre ng e	--|-⌫----⌫--⌫|
nesidurke ni aprenge	-|-|--|-|||------|
p usrequistfraternite	-⌫-|------|---------|
ke a eus seitaliauncé	-||--|---|--------|
puiscumelurfrere se	---|---|--|----|-|
