en un iorgedepresseizde	-|-|--|-|---------|-|
e tdesicelio rmeisme s	-⌫|--|---|--⌫|------⌫|
qu antgeuuel hne poisg epas dedeu	--⌫--|-|----⌫|-|---|-⌫|--|-|--|
geuolroie l oe ure	-|------||--⌫--|
decest peire au oc	-|---|----|--⌫-|
con ois treki	---⌫---⌫--|-|
e stdi zt eilesdo nes auoirpris .	-⌫-|--⌫|-⌫----|--⌫--|----|---||
pirres l oeure	-----||----|
estdel do n nient	--|--|--⌫|----|
l i dons del oeure.	-⌫|---|-||----||
secenonla grasceia	-|-|--|-|-----|-|
nestpasgra sce.	|--|--|---⌫--||
quar lidondeuancisse nt	---|-|--|----------⌫-|
t oteoeureiasoit ce ke	-⌫--|----|-|---|-|-|
desiwant oeur emeis me lidon a uoccrois sent.	-|-----|----⌫|----⌫-|-|--|-⌫--|-----⌫---||
nekedentket u nesoie s	-------|-|-⌫|-|----⌫|
boisiezdelaconissancede	------|-|-|---------|-|
sau ie lit resredo tables	-|-⌫-|-|-⌫--|----⌫-----|
hom al binsliues ke sdel a	--|--⌫---|-|---⌫--⌫|-|-⌫|
g lisereatineilconu tbien	-⌫---|------|-|----⌫|---|
cestuiet encorui uentliplui sor	-----|-|----|--⌫---|-|----⌫--|
k iconoistrel op o urent.	-⌫|--------|-⌫|-⌫-⌫----||
coi demandes plu sd	--|-------|---⌫||
o eurequantla nettei zdes a	-⌫---|----|-|------⌫|-|-⌫|
uie con corda talestuid e de sonpreech em ent	--|---⌫-----⌫|||------⌫|-|--|------⌫--⌫--|
ca rsigran zde s iers	--⌫|-|----⌫|--⌫-⌫---|
po r assembleir anrmesa deu auo itcelu iespris	--⌫|---------|-----||--|---⌫-|----⌫|-----|
ke i lens ifutdessoure	-|-⌫|---⌫|--|-------|
az abi es kei lc orut p a r	-|---⌫-|-|-⌫|-⌫---|-⌫-⌫|
glisesparchasteazpar	-----|--|-------|--|
uilese t parlesmai sonsd escascuns f eoz et	----|-⌫|--|--|---⌫---|-⌫-|------|-⌫--|-|
l escuers des	-⌫-|----|--|
ascutanzencit atal amordelcelestepais	-------|-----⌫-|||---|--|------|---|
etil as toit mul t	-|-|--⌫---|---⌫|
uilz enuestures etensi despitiezke sealcu nspa r	---|-|-------|-|---|--------|-|-|----⌫-|--⌫|
auenturene l co nustmie side lui	-------|-||--⌫---|--|-|-|--|
f us tsalueiz etresa lueir lo	-⌫--⌫|------|-|----⌫----|-|
despitast .	--------||
etquantesfoiesi laleueta al tresli u ssia uoit	-|------|----|-⌫|-----||--⌫---|--⌫-⌫|-|-⌫---|
ilaconstumeitaseoirs orc eliumentki p oist	-|----------||----|-⌫-|-⌫-|-----|-|-⌫---|
estretroueiz	----|------|
en laceleplusdes pitab lesde	-|-|---|---|---⌫-----⌫--|-|
tozlesiumenz.	--|--|-----||
elq u e iliumentil	-|-⌫-⌫-⌫-|-----|-|
usoit e ssim entduncheu estre por	----|-⌫----⌫--||-|----⌫----|--|
frain et dunespealz de moltonsporla sel e	----|-||---|----|-|------|--|-|---⌫|
pa r soimeism es porto itil	--⌫|--|-----⌫-|-----⌫-|-|
lessainzliur es	--|----|----⌫-|
e ldestre leize t	-⌫|-----|---|-⌫|
e ls enestre	-⌫|-⌫------|
m is en sacheazdecuir	-⌫-|-|------|-|---|
k eilunkes	-⌫|-|----|
uenistsi aour oi t il	-----|-|----⌫--⌫|-|
la fo ntaine des escr itures et	-|--⌫-----|--|----⌫-----|-|
siaro s eue tlespreizdes	-|---⌫-⌫---⌫|--|----|--|
lafame alt resi	-|---|---⌫---|
de l preechement	--⌫|----------|
de cestuiparuintalaco nissanc eborc	-|-----|------||-|--⌫-------⌫|---|
etalsi comest lalen guedeslosengeors embrachant	-|---|--|--|-|---⌫--|--|---------|---------|
ochisanzlo	-------|-|
cor aig edesonasc olteorenicel	---⌫---⌫|-|--|---⌫-----|-|---|
tens liclercdecestsegeapostolal enlosenianta	---|-|----|-|---|---|--------|-|--------||
lapo stoilesoiplainssentdisantk ie stcizhom	|---⌫-----|--|---------|-----|-⌫|-⌫-|--|--|
ui la ins ki asoi	--⌫--⌫--|-||--|
raui tlauctoriteitdepre echementet lofficede	----⌫||----------|-|---⌫-------|-||-----|-|
nostr esanior lapostoilea soimeisme saisirnient	-----⌫|-----||--------||--|-----|-----|----|
aprispresumet	----|-------|
gieres soitenuoi e z sic euospl a i stke za	-----|---|-----⌫-⌫|-|-⌫|--|--⌫-⌫-⌫-|-|-|
cel uipres entet parkeilc onoissetqueizsoitliuigo rs	---⌫-|----⌫----|--|-|-|-⌫-------|----|---|-|----⌫-|
ecclesiauz .	---------||
eta lsi comestconstume locup eit	-|-⌫--|--|--|-------||----⌫--|
corage enpl uis ors	-----|-|--⌫---⌫--|
choseske adulationsmultsupprent seele	-----|-|---------|---|-------|-|--|
nestdelu i zdel cuermu lt	|--|--|-⌫-⌫|--|---|--⌫-|
tostar iereboteie	---|--⌫---|-----|
clers enh ortanz	----|---⌫-----|
liapostoiles idon atconse ntementke i l deu roitestr e	-|---------||---⌫-|-----⌫------|-|-⌫|---⌫---|----⌫|
amene iza lborcde romme	-----⌫-|-⌫|---|-|----|
etco ni stroit qu eilefustl asue mesure .	-|--⌫--⌫-----|--⌫---|---|-⌫|--|-----||
nekedentil enuo i anziuliendunkes de fendeorki	-------|-|----⌫-⌫--|-----|-----|--⌫------|-|
enaprese nlaueschiet fu t	-|----|-⌫|-|-------|--⌫|
dessou rela	------⌫-|-|
glise sa bi nensececomandatkeill amenas t	----|--⌫--⌫----|-|-------|-|-||------⌫|
agrandhonor	|----|----|
e tk e l isers deu nientnesentistdetort	-⌫|-⌫|-⌫|---|--|----|-|------|-|---|
porcele conuention.	--|---|---------||
l i quei z iuli ensdece le	-⌫|----⌫|----⌫--|-|--⌫-|
chose to st uoilhanzobeira z des iers descle rs hastiuement	----|--⌫-|-------|----|-⌫|---⌫---|--|---⌫-|----------|
corutalmonstier	----|-|-------|
d equice etla	|-----|-|-|
t rouat lui defailhantles a nti quairese scrisanzsi	-⌫----|--|---------|--|-⌫---⌫------|-⌫-------|-|
deman datuliabes ast oit	-----⌫--||-|---|---⌫--|
dissentenic e steual ki	------|-|--⌫-⌫--|--|-|
g istde ssozlab ie soiet il fain	-⌫--|--⌫---||--⌫-|----|-|---|
e t iciliul ie n sauoitun seriant	-⌫|---|---⌫--⌫-⌫|----|-|------|
mol torgailhous eten fleitacui il	---⌫|---------|-|--⌫----||--|-|
meismes apoine s	------||-----⌫|
poutestr esires.	---|----⌫|----||
gieresilen uoiat cestu iparkeill	-----|-|--⌫----|-----⌫|--|-|-||
amenroitis nelementasoi .	-------|--⌫-------||--||
liserianzsen alatetpa r enfleitespire nhelement	-|------||-|---|-|--⌫|------|----|-⌫--------|
lo pr eitentrat.	-|--⌫--|-----||
etquantillesuit trest oz iloc	-|----|-|--|--|-----⌫-|---|
fai nso ian zsi	---⌫|--⌫---⌫|-|
demandatliqueiz	-------|-|----|
astoitequices .	-----|------||
et m a ne scantilotoitliqueiz	-|-⌫-⌫--⌫|---|-|-|--|-|----|
ce astoit siloregarda tencorlonzest isanz	-|-----|-|-|-------⌫|----|---|---⌫----|
etildeprisdegran decremor c omen z ata	-|-|-----|-|----⌫-|-----|-⌫----⌫-⌫-||
defalirpor locr emorets oi meisme	------|--|-|--⌫---|-|-⌫-|-----|
par crollantal ementapoinespooirporteir.	--|-------|--⌫----||-----|----|------||
liq ueizserianztrembl a nzparuinta l hommededeu	-|-⌫---|------|------⌫-⌫-|------|||----|-|--|
etense s braceslesgenozde celui	-|-|--⌫|-----|--|----|-|----|
humlementdebaisanz leses trainst se linunzat sons anior	--------|--------|--|--⌫------|-|-|-----|--|-⌫----|
auoircorutencontrelui.	----|----|-------|--||
a cu icomandatliserianzdedeu	|--⌫|-------|-|------|-|--|
q u antill	-⌫-⌫--|-||
otresalueitdisanz p rent	-|--------|-----|-⌫---|
uerdfainporte pa stureaziumenz	---|---|----|--⌫----|-|-----|
sor cui uo suenistes.	--|--|--⌫|-------||
elleuosietoisiur aiquant	------|-|--|----⌫-|----|
loeureempli ecarunpoii rema int.	|----|-----⌫|--|-|--||----⌫--||
maisici li uli e ns	---|---⌫|-⌫---⌫-⌫-|
lidefenderes kias toitenuoiezilsoi	-|---------|-|--⌫---|------|-|--|
merueilhieuetduremen t queizchoseceastoit ke	------------|-------⌫|----|----|-|-----|-|
sesserianzdemor e uetar epairierquant	--|------|-----⌫-⌫--||-⌫-------|----|
elleuosiluoitretornantson serianten sonc ol	------|-|---|--------|--|------|-|--|-⌫-|
fo indelpreitap ortant.	--⌫-|--|----|--⌫-----||
liqueiziul iensforment	-|----|---⌫---|------|
corroci ezcom en zatacrieirdisanz ke estce	-------⌫-|---⌫--⌫--||-----|-----|-|--|-|
ge toienuoiai poramene i rlomm enien tpor	-|--|------|--|-----⌫-⌫||---⌫|----⌫|--|
foin porteir .	---|------||
acuiresp onditli	|--|----⌫----|-|
serianzci l	------|--⌫|
cui tu deman des	--|-|-----⌫--|
ell e u osilsiutciapres.	---⌫-⌫-⌫-|-|---|-|----||
dunkesell euosli ho mdedeu	-----|---⌫---|-|--⌫|-|--|
chalciez du neschal c esfereies u enoitaportanzune	-------||-⌫--|----⌫-⌫-|------|-⌫----|-------|--|
f azfainerecesorsoncol	-⌫-|--------|--|--|--|
loqueilencor lonzestisant li	-|----|----|---|-------|-|
serianzen seniataso nsanior keceastoit	------|--⌫-----||--⌫|-----|-|-|-----|
i ci l cui ilqu eroit .	-⌫--⌫|--|-|--⌫----||
maisilmeismesiulie nsisnele ment	---|-|------|-----⌫-|------⌫---|
q uant i lot ueutl o deu	-⌫---|-⌫|-|---|-⌫|--|
seri antsilo despitatpo r	----⌫--|-|-|-------|--⌫|
sonhabit etsiporpense u etparenfleiepense	--|----|-|-|--------⌫-⌫-|--|------|----|
comentilapar leirlo	-----|-|----⌫---|-|
maismanesqua nt l isers de	---|----|---⌫-|-⌫|---|-|
deufutpressie nuait	--|--|---|-|-⌫----|
loco r age	-|--⌫-⌫--|
decelmei smeiulien n ient	-|--|---⌫--|-----|-⌫---|
so ffrabl espaorsensikeil trem bl atet	--⌫------⌫-|----|---|-|-|----⌫--⌫-|-|
ke s alengueapoine spot suffire	-|-⌫|-----||-----⌫|--|------|
a p arleir c elechoseporcuiiluenuz	|-⌫-----|-⌫--|----|--|--|-|----|
lique izcant sesespirsfut	-|---⌫-|---|--|-----|--|
humili ez manes corutaz genozdequicee t	------⌫-|----|----|-|----||-----|-⌫|
proiat ke lomporsoifesist	-----|-|--|--|--|-----|
oriso n setsienseniatke se s peresliapostolauz eueskes	-----⌫-⌫|-|-|-------|-|--⌫|----|-|---------|------|
louoloitueoir	-|-----|----|
d unkes comenzatli	-⌫----|-------|-|
honorablesequ icesg ran des gr asces ren d re al	---------|---⌫---|-⌫---⌫--|--⌫----|---⌫-⌫-|-|
t otpoissant deu	-⌫---------|--|
af fermanzkela sou rainegrasce	--⌫------|-|-|---⌫----|-----|
lauoituisiteitparmilo souraineueske.	|----|-------|----|-|------|-----||
e llep asapelat l e sfreressicomandat	-⌫----⌫-|-----|-⌫-⌫|-----|-|-------|
encelemeisme	-|---|-----|
hore ke l o mappareilhaistlesiume nz	---|-|-⌫-⌫|------------|--|----⌫-|
etsicom e nzatsonmes sagie r	-|-|---⌫-⌫---|--|---⌫-----⌫|
mult formentangoi ssierkeil manesdeuss ent	---|------|-----⌫----|-|-|----|-----⌫--|
acuidist iuli ens ce	|--|---|----⌫--|-|
n e puetestre	-⌫|---|----|
faitennul ema nier ecargel asseizde la	---|-|---⌫|--⌫----⌫|--|-|-⌫-----|-|-|
uoi ehuicestior non	---⌫|--|---|--|--|
puispas eissir dun kesresp onditicilfilz	---|--|-----|---⌫--|----⌫----|---|---|
tumoifaisdo lant carse	-|--|---|--⌫---|--|-|
nosn eisson shuicest ioriadem ain	--||------⌫|--|---|--|-|---⌫--|
nei sseronsnos mie .	|--⌫------|--|--||
gie res li	---⌫--|-|
serianzdede u destr ainzde ll assement	------|-|--⌫|-----⌫---|--⌫|-⌫-------|
desonmessagie rdemor at cele me isme	-|--|--------⌫|-----⌫-|---|--⌫---|
nuitensonmonstier .	---|-|--|-------||
etelleuose lsiwan t ior dessuz	-|------|-⌫|-----⌫|--|-----|
me isme lalbedelior uint unsse rianza	--⌫---||---|--|--|---|--|--⌫----||
iulienauoc	-----|---|
u ne epistele auncheualfo rmentlasseit	-⌫-|-------||-|-----|--⌫----|------|
decursenlaqu eileepis tele a	-|---|-|-|--⌫---|----⌫---||
comandeitke i llo	--------|-|-⌫|-|
serf dedeun osast	---|-|--||----|
p asatochier	-⌫-|-------|
umou oirdesonmonstie r.	|---⌫--|-|--|-------⌫||
cant icildemandatpor c oila sentence	---|---|-------|--|-⌫-|-|-------|
astoitcangieilconut	-----|-----|-|----|
k e ncel e meismenuit	|-⌫|---⌫|-----|---|
en cui ilfutenuoiezilokesmessagiers	-|--|-|--|------|-----|---------|
keliueskesformen t fu t espawent eiz	-|-|-----|------⌫|--⌫|--------⌫--|
paruisionporcoiil	--|-----|--|--|-|
presumat enu o ierp o r prese nt eira	-------|---⌫-⌫--|-⌫-⌫|-----⌫--⌫--||
so il omme	--⌫||---|
liqueiz i uli ensisnele ment	-|----|-⌫---⌫--|------⌫---|
soileuatsus	--|----|--|
s isoicoman datazorisonsdelho norablehommeet	-⌫|--|-----⌫--|-|------|--|--⌫------|----|-|
sidist nostre peresrouet keuos	-|---|-----|----|----|-|--|
nedoiuiezestrelasseiz.	-|------|----|------||
otoitliserianz	-|--|-|------|
de deuil futcontristeiz et s idis t n e	-|--|-|--|----------|-|-⌫|---⌫|-⌫|
ldis gedunkese lior	|--|-|-----|-⌫|--|
d ie r k ese nos	|--⌫|-⌫|-|--|
nalonsmanes	|----|----|
loiroitpas al eir	------|--|--⌫--|
dunkes porl exibitio n decariteitretint ilso nexecuto r	-----|--||--------⌫|-|-------|-----|-|--⌫|-------⌫|
keke soitenla celee t s i	---|---|-|-|---|-⌫|-⌫|
donat aluid es traint etreluitantl	----||--|-⌫--⌫-----|-|--------||
aisedesontrauail	---|-|--|------|
gieres co noispieresencomgrandegardededeu	-----|--⌫---|-----|-|--|-----|----|-|--|
cilsont kienceste	--|---|-|-|----|
uie soi meismes	--|--|------|
seue ntde spiti er	----⌫-|--⌫-----⌫-|
a uocqueiz citainsde uenz enhon orc ilsontcontei t	-⌫--|----|------|--⌫---|-|---⌫-|-⌫-|---|------⌫|
k inontpas de	-⌫||--|--|-|
hontepardefo rs	----|--|----⌫-|
estredespitie ́taz	----|--------⌫-|-|
quarciencontregisentil esoezdedeucil	---|-|-------|-----|-|-|--|-|--|--|
k iahierles siens	-⌫|----|--|----|
etahier lesoezdesproime s sont enfle itpa rlo	-|----|--|--|--|------⌫|---|-----⌫-|--⌫|-|
desierd e uai neg loir e.	-----|-⌫|---⌫-|-⌫----⌫||
de c eestkela ueriteiz	-|-⌫|--|-|-|-------|
distazalcanzuoseste skiiustifi ez uosmeismes deuant	---|-|-----|--|----⌫|-|-------⌫-|--|------|-----|
les hommesmaisdeus conoist uozcuers.	--|-----|---|---|------|--|----||
q uar ce keazho mmesesth alte	-⌫--|-|-|-|--⌫---|--|-⌫---|
chosecees tescommengiechosedeuant deu.	----|-|--⌫|----------|----|-----|--||
m oltmesmerueilhke dun teil	-⌫--||---------|-||-|---|
hommelosengepotsoprendr e	----|------|--|--------⌫|
sigranteueske.	-|----|-----||
porcoi toimerueilhes	--|--|--|---------|
tupier es k enos sumesdeceutkihomme sumes	-|----⌫-|-⌫|--|----|-----|-|----|----|
chaitcedunk esde ta pe n sekedauid	----|-|----⌫-|-|-|--⌫-⌫-|-|----|
ki soloitauoir lo	-|-----|----|-|
spir depro phetie	---|-|---⌫-----|
donatla sentence cont relo nie nt culpablefilhde	----|-|-------|----⌫-|-|---⌫-|-------|---|-|
ionathasquantiloi tles	-------|----|-|--⌫|--|
parolesdel	------|--|
ser iantkili	---⌫---|-|-|
laqueilechose	-|-----|----|
ne k edentpar tantkelefu t faitepardauid no s	--⌫-⌫----|--|---||--|--⌫|----|--|----|--⌫|
lacr eonsestreiustealsicom delrepun siugementde	-|--⌫---|----|----|---|--|--|-----⌫|-------|-|
etnekedent neueonspas comentcefustiuste cho se	-|-------|-|----|--|-----|-|---|----|---⌫-|
p arhu m ainer aison.	-⌫-|--⌫-⌫---|-⌫----||
gieres estcem er ueil he se nospar laboche	-----|--|-|-⌫--⌫----⌫-|-|--|--|-|----|
desmentanzsumes	--|------|----|
menei t alafieenaltrechose	-----⌫||-|--|-|----|----|
kinesumespasp rophe te	-|-|----|--|-⌫-----⌫-|
maismult est	---|---|--|
pen sedun alcuneueskedeg ua s tetlasp essece des cures	---⌫-||-|----|-----|---⌫--⌫-⌫--|-|--⌫-----|--|----|
etq uantlicorages	-|-⌫---|-|------|
e stdepar tizap l uis ors	-⌫-|-----⌫--||-⌫-⌫---⌫--|
chosessi est fai zmenresaca scunes	-----|-|--|---⌫|-----||--⌫-----|
e ttantestilplus	-⌫|---|--|-|---|
tostsopri sen	---|-----⌫|-|
une alcunechoseencombienen	--|-----|----|-|------|-|
pluisorsplusleiementest	-------|---|-------|--|
occupeiz .	-------||
cezchosessunt	--|-----|---|
mul t ur aiescuitudis	---⌫|--⌫---|--|-|--|
doipastaisir ce keie sai	--|--|-----|-|-|-|--|
deces t hommeracont a ntlo tresredotable	-|---⌫|----|------⌫-⌫-|-|---|--------|
ualencinien kiiadizf ut mes	----------|-|----|-⌫-|--|
quarildis tk e lico rs	---|-|---⌫|-⌫|-|--⌫-|
cantilfut enterrei z en	---|-|--|--------⌫|-|
loratoir e delbieneurous	|-------⌫|--|---------|
la urent lo m artr ekeunsuilains mistsorsonsepulcre	--⌫----|-|-⌫----⌫|-|--|------|---|--|--|-------|
unea rcheauocfru mentsin eutpascurede	--|-⌫---|---|---⌫---|-||--|--|---|-|
pense iret de red otei rcom	-----⌫-|-|-|---⌫----⌫|--|
gra nz etqueiz beirs	---⌫-|-|----|----|
gisoiti lokes.	-----|-⌫----||
dunkesu ns tu rbeilhons	-----|-⌫-|--⌫--------|
ciel sodainementmanan ztoteslesch oses ki	---|----------|-----⌫|----|--|--⌫---|-|
iloca stoientenlurstabilit eitportat	---|-⌫------|-|--|--------⌫--|-----|
forsl arch e kiastoi tmis edessourelos epulcr es i	---||----⌫|-|-----⌫|---⌫|-------|-|-⌫------⌫|-⌫|
lagettatmultl onz	-|-----|---|-⌫--|
conist roient ouertementdecom grandmeritefust icilcuicors	------⌫-----|---------|-|--|----|-----|---|---|--|---|
ilokesg is oit.	-----|-⌫--⌫--||
cez chosesalsimentcui g eio ing apressai ge	--|-----|-------|--|-⌫|--⌫--|----|--|-|
par loraconteme nt	--|-|---------⌫-|
delcideuantdit fortuneit l onorablebaro n	--|-|-----|--|--------||-------|----⌫|
kipa reageparoeure et	-|--⌫|---|--|----|-|
parsimpliciteitmult p l aist a	--|-----------|---|-⌫-⌫---||
quantlilumbar	----|-|-----|
entrerentencele me isme	--------|-|---|--⌫---|
contreiedeuale ire dunke sfuirent	-------|-|----⌫--|-----⌫|------|
deltresredot able baronequiceenloratoire	--|---|-----⌫---|----|-----|-||-------|
cideuantdita son s e pu l cre.	-|-----|--||--|-⌫-⌫--⌫-⌫--||
etquant lil umbarforsenantfurent entrei tenloratoire	-|----|-|-⌫----|--------|-----|------⌫|-||-------|
dunkesil c eazmeismesmoinesa trairepar	-----|-|-⌫--|------|-----||-----|--|
keillesdema ndero ient u par	-|-|--|----⌫-----⌫---||--|
to r men zu ociro ientdes e speies .	--⌫-⌫---⌫||-----⌫---|--|-⌫-----||
de s queizliuns gemite tmouzdegriefdolor	--⌫|----|-|--|----|-⌫|---|-|----|----|
criat eisainzequices	----|-|----|------|
plais ticea toike nossu mes trait et	-----⌫|--||--|-|--|--⌫--|----|-|
sinenosdefe nsmi e	-|-|--|----⌫-|--⌫|
al a uoizde l queil enhe lement	|-⌫|---|--⌫|----|----⌫-----|
liho rz espirs enuait le s for senanz	-|--⌫-|-----|-----|--⌫|---⌫-----|
li queilchea nten	-|----|----⌫-|-|
terresi longe mentfurenttrauilhiét d e satantke ceste	----|-|-----⌫---|-----|----------|-⌫-⌫|----|-|----|
chos econurent enc ortotcillumbarkideforsas toie nt	----⌫|-------|---⌫-|--|--|-----|-|-----|--⌫----⌫-|
par k eiln osassent desen auantlo	--|-⌫|-||-------|--|-|----|-|
e tensi l isainzh omquantil	-⌫|---|-⌫|----|-⌫-|----|-|
sesdiscipl es	--|-------⌫-|
de fe nd itauocazpluisorsfu ia n z ilocpres tat enapres	--⌫--⌫--⌫-|---|-|-------|--⌫--⌫-⌫|---|----⌫--|-|----|
ge aprispar loracontementd	-|----|--|-|----------||
u nmie nu eske	-⌫|---⌫|-⌫---|
c e ke ie raconteki ues kit	-⌫|-|-|------|-|---⌫--|
parpl uisorsa nsel borc	--|--⌫-----|-⌫-|-|---|
enha bit demoineetlamenatuienientmoienement	-|--⌫--|-|----|-|-|----|--|----|---------|
religiouse.	---------||
acuiportenttesmoinalsimentlialcantdesnostres	|--|------|------|-------|-|-----|--|------|
de pl usgr andeag e ki sontdece zmei smes contreies	-|--⌫-|--⌫--|---⌫|-|---|-|--⌫|---⌫---|--------|
quarde ioste celeciteitla glisedelbie neurousmartre	---|--⌫----|---|-----|-|----|--|---⌫------|-----|
steuenonest pose ie encuiunshom d	-------|--|----⌫-|-|--|--|--||
on orab leuie con stances par nomseruoittena nz	--⌫----⌫-|--|---⌫------|--|--|------|----⌫-|
l offic e demansionaire .	|-----⌫|-|----------||
lafamedecui sai nteitalaconissance	-|---|-|--|---⌫----||-|---------|
de sh ommeslonget l eitsoi	--⌫|-⌫----|---|-|-⌫--|--|
es tendi tcar cizhom del	--⌫-----⌫|--|--|--|--|
funzdes pitanz l esterrieneschoses	---|---⌫-----|-⌫-|--------|-----|
detotlefforceme nt	-|--||---------⌫-|
de sapens e	-|-|----⌫|
ard oit azsoules celestienes.	---⌫--|-|-----|----------||
m ai s enuni orq uan t encele meisme	-⌫--⌫|-|-|-⌫-|-⌫---⌫|-|---|-----|
gli sefalit oiles.	---⌫-|----|----||
et lideua ntd iz	-|-|----⌫-|-⌫-|
serianzdelsanior e n tote s manieresn	------|--|-----|-⌫|----⌫|-------||
auoitmie dont	----|--|---|
ilesprenderoit leslampesdunkesemplit	-|-----------|--|-----|-----|-----|
daig uetoteslesl ampes	|---⌫-|----|--|-⌫----|
delaglise et simistloioncenm eisol unc	-|-|----|-|-|---|-|---|---⌫-|---⌫--|
s aconstume.	-⌫|-------||
l esque ilesil esprist	-⌫-|---⌫---|-|------|
quanti la u oit aporteit	----|-⌫|-⌫-⌫--|-------|
liaiguearstensi eslampes als icom	-|----|---|---|-|-----|---⌫|--|
cefustoiles .	-|---|----||
gier espensepieres de cui meritefutc izhom ki	----⌫-|----|-----|-|--|-----|--|-⌫-|--|-|
destrainzpar be son gemuat lanature	--------|--|--⌫---⌫-|---|-|-----|
de lelement.	-||------||
mu l tmeru ilhouse choseestce	--⌫-⌫|----⌫------|----|--|-|
mais ie u aldroieconoistr e de queil e h umiliteiticiz	---|-|-⌫------|--------⌫|-|-----⌫|-⌫--------|---|
de uen z ahier so ikidesig randeex cel le ncefut	--⌫---⌫|----|--⌫|-|-|-|-⌫----|--⌫---⌫--⌫--|--|
entre le suertuzdemandestucouena bleme ntlocoragec arm ult	----|--⌫|-----|-------|-|------⌫-----⌫-|-|-----|-⌫-|-⌫--|
sou ent es t ke	---⌫--|--⌫|-|
delurtemptati on lapensela sse nt deuenzle s	-|--|--------⌫-|-|----|--⌫---⌫-|-----|--⌫|
merue ilheskisontfaites defors.	-----⌫----|-|---|-----|-----||
mais se tuosune	---|-|-|-|--|
chosedecesthonorable consta nce cui	----|-|---|--------|------⌫--|--|
i l fistsico ni stra smulttost de	-⌫|---|-|--⌫--⌫----⌫|---|---|-|
q ueilehumilitei t ilfut.	-⌫----|---------⌫|-|--||
apresceketu asdit teil	----|-|-|-|-|--|---|
mi racledelf ait	--⌫----|--|-⌫--|
dece lui orremain t	-|--⌫--|-|------⌫|
ketumoiauocedifie s dela	-|-|--|---|------⌫|-|-|
humi liteitde sapen se .	----⌫-----|-|-|---⌫-||
partantkemu ltfors cri ut l afamedela	--|---|-|--⌫-|---|---⌫-|-⌫|---|-|-|
sai nt e it decelui sia uoient	---⌫--⌫-⌫-|-|----|-|-⌫-----|
soitangoi ssousem entlipluisorded iuer ses contreies	---|-----⌫-------⌫--|-|------|-|-⌫----⌫--|--------|
del uiueoir .	-|-⌫-|----||
enunioruin tu ns	-|-|--|---⌫|-⌫-|
uilainsdunlontainliuporlui ueoir.	------||-|------|--|--|--|----||
horeauin tpar auentureke li	---|----⌫|--|-------|-|-|
s ainzhomestanzs orgraeaz d e	-⌫---|--|-----|-⌫-|-----|-⌫|
fust seruit azlampes .	---|-----|-|-----||
maisil as toitmultpetiz aianzdelie form e	---|-|--⌫---|---|----|----|----|----⌫|
et des p i tie.	-|---⌫-⌫-⌫--||
etqu anticil	-|--⌫--|---|
kiastoit uenuz porluiueo irdemand e uetliqu eizce	-|-----|----|--|--|---⌫-|------⌫-⌫--|-|--⌫--|-|
fust etangois sousement proieue tkeilde ust	---|-|------⌫--------|-------⌫|-|-|--⌫--|
estre mostreiz	----|-------|
ic ilkiloco niss oientmostre re nt	--⌫-|-|-|--⌫----⌫----|------⌫--⌫-|
a l ui liq ueiz	|-⌫-|-|-⌫---|
ce astoit.	-|-----||
maisalsic om	---|---|-⌫-|
li hommedefolepensemesurent	-|----|-|---|----|-------|
lomeritedelequalit eitd elcors quan t	-|-----|-|-|------⌫--|-⌫-|---|----⌫|
il l otueut pet it	-||-|---|---⌫-|
etdespitiét dunkes	-|---------|-----|
comenzatde l toten	-------|--⌫|--|-|
totnientcroirekecefustil .	--|----|-----|-|-|---|-||
quarenla uilainepenseentreceke	---|-|-|------|----|----|-|-|
i la u oitoit	-⌫|-⌫-⌫--|--|
u eoitalsi	-⌫---|---|
comu nebata il hefutfaiteetil	--|-⌫-|----⌫--⌫-|--|----|-|-|
aesmeuet lu ino npooirestr esicortpar ueue	-------|--⌫|--⌫|----|----⌫|-|---|--|---|
lo queil il	-|----|-|
auoit sigrantpar	----|-|----|--|
al q ueil uilainquan t d	-|-⌫---|-----|----⌫||
eaz pluiso rsfutconfermeitk eceasto it	--|------⌫-|--|---------|-⌫|-|----⌫-|
il mei smesd un keslodespitatet silodeg abatdisanz	-|---⌫---|-⌫--⌫--|-|-------|-|-|-|---⌫---|-----|
gelcreiestr eungrant	-||---|----⌫|-|----|
h ommemaisiciz	-⌫---|---|---|
at nulecho se.	-|---|---⌫-||
quantce otoitlihom	----|-|-|--|-|--|
dedeuco nst antinsenhelement	-|--|--⌫---⌫-----|---------|
lie zlaissat les lampe s c uiilrapareilhieuetsi corut	---⌫|------|--|-----⌫|-⌫-|-|-------------|-|----|
to stenb racierce lmeismeuilainsil oc omenzat	--⌫-|---⌫-----|--⌫|-----|-----|-|-⌫|-⌫------|
de multgrantamor astraindrede	-|---|----|---||--------|-|
sesbr azet baisiereta	--|--⌫-|-|------|-||
rendre grandesgrasce s ke	-----|------|------⌫|-|
i lteileschos e s	-⌫|-----|----⌫-⌫|
a uoitiugiét	-⌫---|------|
desoi disanztusouz es	-|--|-----|-|---|-|
kiles o ezeuiso u er zen moi.	-|--|-⌫-|---|-⌫-⌫--⌫|-|--||
delaqueile	-|-|-----|
chosedoitlompensei rdequei le h umiliteitil	----|---|--|------⌫|-|----⌫-|-⌫--------|-|
