Carleslireisnos tre	-----|-|---|---⌫--|
Oliue rquiltantpoeitamer	-----⌫|-|-|---|----|---|
Ten drur enoutcumencetapl urer	---⌫---|-|--|-------||--⌫---|
E nsunuisag efutmult	-⌫|--|-----⌫|--|---|
desculure z	---------⌫|
Sigrantdoel outque maisn epout ester	-|----|---|--|--|---|-⌫|---|----|
uoei lletonun atere	----⌫---||--||---|
c he t pasmet	-⌫--⌫|-----|
Dist larceuesque	---||---------|
Ta n tmar efustes	--⌫-⌫|---⌫|-----|
Liar c euesques quantuitpasme r	-|--⌫-⌫-------|----|--|-----⌫|
Duncouttel doel unk esmais	---|--|--|---|---⌫-|---|
nout sig rant	|--|-|-⌫---|
R encesualsadunew e	-⌫--------|-|-|--⌫|
Al eriuolt sindurrat a	--⌫-||---|--|-----||
Sunpet itpas	--|---⌫-|--|
sen turnetcancelant	|-|-----|--------|
Ilests if ieble quil nepoetenauan t	-|--|-⌫|-⌫----|-|-|-|---|-|----⌫|
N enadue rtutt rop ad perdutdel	|-|-|--⌫---|-⌫--|-|-----|--|
Einz que o m ala stunsularpentde camp	---|--|-⌫|---⌫-|-|--|-----|-|---|
Falt lilecoersiest cha eita uant	---|-|-|---|-|--|---⌫--|-⌫---|
mult angoi ss ant	---|-----⌫--⌫--|
Rollantreuientdepasmei suns	------|------|-|------⌫---|
Surpiezsedrecetmaisila dgrant	--|---|-|-----|---|-|-⌫|----|
Gu ardeta ual e	--⌫----|-⌫--||
siguardetamunt	-|------|----|
Sur l erbeuerte ult re	--||---|----|---⌫-|
sescumpaignuns	--|----------|
L aueit gesirl e	-⌫|---|----|-⌫|
no biliebarun	--⌫----|----|
Çoestla rceue s q ueque	--|--||-⌫-----⌫-⌫-⌫-|--|
Deusmist ensun	---|---|-|--|
Cleimet saculpe si	------|-|----|-|
reguardet amun t	--------|----⌫|
Cuntrele ciel amsdousses mains	-----|-|---|------|--|----|
S i prie t	-⌫|----⌫|
Deuque pa re ï s	--|--|--⌫--⌫--⌫|
Turpinlegue rreier	-----|-|---⌫-----|
Pargranzba tai lles epar multbels sermo ns	--|----|--⌫---⌫---||--|---|---|-----⌫-|
Cuntrepai ensfuttuzten s	-----|---⌫--|--|--|---⌫|
Deusliotreitseintebene ïçun	---|-|-----|-----|----⌫-----|
Rollantueit l	------|---||
arceuesq ue a	--------⌫-||
Defors su nc orsueitges ir la	-----|--⌫|-⌫--|---|---⌫-|-|
Desu zlefrunt libu illit la	----⌫|-|----|-|--⌫----|-|
De sursun pizen treles dousfurceles	--⌫--|--|--|--⌫--|--|---|-------|
Cruisiedesadse s blanchesm a inslesbe les	---------|-|--⌫|-------|-⌫-⌫--|--|--⌫--|
Formen tlepleignet a	------⌫|-|-------||
lal eidesatere Egentilzhomcheual erde	-|-⌫-|-|-|---||------|--|------⌫-|-|
H o itecumantal	-⌫-⌫|-|-----|-|
G loriu sc el este	-⌫-----⌫|-⌫--⌫---|
plusuol e nters leserueD ésles	---|---⌫-⌫----|-|----|-⌫--|--|
apostl esnefutho mtel pr ophet e	------⌫-|-|--|--⌫|--|--⌫-----⌫|
tenirepurhu mesa tra i r e	----||--|--⌫--|-⌫---⌫-⌫-⌫|
Iala uostreanmene n aitsufraite	-|-|-----|---|--⌫|--|-------|
Depareïsliseitla	-|------|-|---|-|
porteuuert eÇo sent	----|-----⌫|--|---|
Rollantquelamortliest	------|--|-|---|-|--|
Parlesore ill esfors seistla c eruel	--|--|---⌫---⌫-|---|||--|-|-⌫----|
Deuquesapelt Epois	--|---|----||---|
P ris tl olifan quereproce nen	-⌫---⌫||-----|--|------||-|
Durendalsespee enl altre	-------||----|-||----|
Dunar cba lestene	--|--⌫---⌫----|-|
poettraire un quarrel	---|-----|-|------|
Espaigne enuait	-------|-|---|
en un guaret	-|-|-----|
Mu n tet u n	--⌫-⌫--|-⌫|
te rtre desuzunarbresbel	--⌫---|----|-|-----|--|
Quatr eperrunsiaddemarbref aiz	-----⌫|------||-|-|-----|-⌫--|
Surl erbe uertesi estcaeit	--||---|----|-|--|----|
estpas metkar	--|---⌫--|--|
la mortliestp r és	-|---|-|--|-⌫-⌫--|
Halt suntlipu i emult	---|---|-|--⌫||---|
h altlesarbres	-⌫--|--|-----|
Qua t rep errunsi	---⌫-⌫-|-⌫-----||
Surl erbe uerteliquens	--||---|----|-|----|
Rollant sepasmet	------|-|-----|
Sarrazinstut e	--------|---⌫|
ueielesguardet	---||--------|
Sisefeinstmortsi gist	-|-|-----|---|-|---|
entr ele sal tres	----⌫|--⌫|--⌫---|
Delsanc lua t	--|---|---⌫|
suncorsesun uis age	--|---||--|---⌫--|
Met sei en pi ez	--|--|-|--⌫-|
Belsfuteforz	---|--||---|
e d e grantuasselage	|-⌫|----|--------|
Parsun orgoill cumen cetmortel rage	--|--|------|-----⌫--|-----|---|
Ro llantsaisitesun cors e sesarmes E d ist	--⌫----|-----||--|---||--|----||-⌫--|
uenc utestliniés	----⌫-|--|-|----|
Ice steespeeporterai en	---⌫--|----|-------|-|
Ence ltire resli	-|--⌫|----⌫--|-|
quens saper c ̧ut alque s	----||----⌫-⌫--|-----⌫|
Ço se n t	--|--⌫-⌫|
Rollant quesespee	------|--||----|
Uu r itlesoilzsil i ad	--⌫-⌫-|--|---|-|-⌫|-|
Menesc ïentretun ies mie desnoz	--|---⌫------|-||--|--|--|--|
Tientl olifanqueunkespe rdr eneuolt	----||-----|--|----|--⌫---⌫|-|---|
Silfiertenlelmekigemmet fut	--|----|-||---|-|-----|--|
Fruissetl acer elat es tee	-------||---||-|-⌫--⌫-||
Amsdouslesoilz delchef liadmis	------|--|---|--|---|-|-|--|
I u s asespiezsilad	-⌫-⌫||--|---|-||-|
trestur ne tmort	-------⌫--⌫|---|
A préslidit	-⌫----|-|--|
C uluertpaienc um fusunkessi os	-⌫-----|----|-⌫-|--|----|-|-|
Quemesaisisnea dreit	--|-|-----|-||----|
n ea tor t	-⌫||---⌫|
Ne lorrath ume n e	-||----|-⌫--|-⌫|
tentieng etpor fol	|-|-----⌫-|--|--|
Fenduz ene s tmisoli fans el gros	-----|-|-⌫-⌫|--|---⌫---|-|---|
Caiuz enest li cristalse lio rsÇosent	----|-|--|-|-------||-|-⌫-|--|---|
Rollant lau eüe ad perdue	------|-|-⌫---|-|-----|
Metseis urpiezquanq uilpoet	--|--|-⌫-|---|-----⌫|-|---|
sesuer tuet	|-----⌫---|
En s u nuisagesacul ur adperdue	-|-⌫-⌫|-----|-|---⌫-|-|-----|
Dedeuant luiadunepe rre	-------|--|-|--|--⌫--|
byse .X. colpsi fiertp ardoel e	---|--|----||----|-⌫-|---||
par rancune	--|------|
Cruis t li ac ers nefreint ne	-----⌫|-|--⌫--|-|-----|-|
nesesgruign etEdistliquens sein te	-||--------⌫-||---|-|----|----⌫-|
MarieaiüeE	----|----||
Durendalbon e	-------|---⌫|
simarefustes	-|---|-----|
Quantio m eiperd de uos	----|-|-⌫-|---|-|--|
nenaimaiscure	--|-|---|---|
Tantes bat aillesencampenai uencue sEta ntestere s	-----|---⌫-----|-|---|-|-|------⌫||--⌫---|----⌫|
largesescumba tues	-----|-------⌫---|
Carl es t ientkila barbe	----⌫-|-⌫---|-|-|----|
Neu osait hu mekipur	-|-⌫-|--|--⌫-|-|--|
a ltrefuiet	-⌫---|----|
Mult bonua ssaluos adlung	---|--|--⌫---|--|-|---|
ert tel en	--|--|-|
Fra ncelas olue	---⌫--||--⌫---|
Ro llantfer itel perrund esardonie	--⌫----|---⌫-|-|-----|-⌫|-------|
Cru ist liacers ne briset	---⌫--|-|----|-|-----|
nenesgrunie	-||-------|
Quantilçouitqu e nenpoutmie	----|-|--|--|--⌫||-|---|--|
fre i ndreA s eimeï smelacumen ceta pl eind reE	---⌫-⌫---||-⌫-|----⌫--|-|-----⌫--||--⌫----⌫-||
Durendalcumes	-------|--|-|
beleeclereebla nche	---||----||---⌫---|
Cunt r esoleillsi luiseseref lambe s	----⌫-⌫|------|-|-----||---⌫-----⌫|
Carlesesteit	-----|-----|
D eusdelcellim a ndat par	-⌫--|--|--|-|-⌫-⌫---|--|
s unang le	-⌫-|---⌫-|
Quil tedunasta uncunte	-|-|-|-----||-|----|
cataign ie	-------⌫-|
D u nc la meceinst	-⌫-⌫-|-|-|-----|
ligentilzre is limag nes	-|------|--⌫-|-|---⌫--|
encunquise	-|------||
Bretaig ne	-------⌫-|
S ile ncunquis e	-⌫||-⌫|------||
I o l encunqu is	-⌫||-|-----⌫-|
Normandielafranche	--------|-|------|
en cunq uis	-|----⌫--|
Equitaign e E	---------⌫||
Lumbardie etre stu te	--------||---⌫---⌫-|
Iolencunquis	-||-|------|
Bai ueretute	---⌫--||---|
F land resE	-⌫----⌫--||
Burguigneetrestut e	--------||-------⌫|
P uil lanie	-⌫---⌫----|
Costenti nnoble dunt ilout	--------⌫-----|---|-|--|
la f ïa nce E en	-|-⌫---⌫--||-|
Saisoniefait il	-------|---|-|
ç o quilde mandet	--⌫|-|-|--⌫-----|
Iol encunquis	-||-|------|
En gleter e queiltene i t s a	--⌫------⌫|--|-|----⌫-⌫|-⌫|
Cun quisl enaip aïsete res t antes	---⌫---||-|-|-⌫---||--⌫--|-⌫----|
Carles tient kiadlabarbe blanche	-----|----|-|-|-|----|------|
Pur cesteespeeai dulorepesance	--|----|----|-|----||------|
Mielzuoeillmurir quentrepaiensremaigne	----|-----|----|-|----|-----|-------|
Deusper renenla iserhunir	---|---⌫-||-|--⌫---|----|
Rolla nt fe rit en	-----⌫-|--⌫--|-|
une perrebise	--|----|---|
Pl usenabatque	--⌫-|-|---|--|
i oneuossai dire L esp e e cruist	-⌫|-|--|--|---||---⌫-⌫|-----|
nefr ui ssetneneb rise	-|--⌫--⌫---|-|-|-⌫---|
Cuntr ecielamun t	-----⌫|---|----⌫|
est resortie	--|-------|
Quantueitlique nsq uenela	----|---|-|---⌫-|-⌫-|-|-|
frei ndratm ie	----⌫----|-⌫-|
Multdul cementl apleinst	---|---⌫-----|-⌫|------|
a se imeïsmeE	|--⌫|------||
Durendal cumes bele	-------|--|-|---|
eseintis me	|-------⌫-|
or ietpunta s eziadreliques	--⌫--|---|-⌫-⌫-||-|-------|
Ladentseint	-|---|----|
Per re edel s anc	---⌫-||--|-⌫--|
Basil ieE des cheuelsmun	-----⌫-||--|------|--|
sei gnur seint	---⌫---|----|
Del ueste mentiadseinte	--|-----⌫---||-|-----|
estdreizque	--|----|--|
p aienstebailli sen t	-⌫----|-|------⌫---⌫|
Dechrestïensd euezest reseru ie	-|----------|-⌫---|---⌫-|----⌫-|
Neuosaithume	-|--|--|---|
k i fac et cuardie	-⌫|---⌫-|------|
Mul tlarge s ter es deuusauraicunquises	---⌫|-----⌫|---⌫-|-|--|----|--------|
Carl es t en tk ilab arbe	----⌫-|-⌫--⌫|-⌫|-|-⌫---|
ad flurie Eliemperereseneste	-|-----||-|--------|-|--||
berer iches	--||-⌫----|
Rollantquelamo r t l e tresprent	------|--|-|--⌫-⌫|-⌫|--------|
Deuer slat est esurle	-----⌫|-|-⌫---⌫|--|-|
q uerlides cent	-⌫--|-|---⌫---|
Desu z unpini	----⌫|-|--||
esta letcurant	--|-⌫--|-----|
Surle rbe uerte	--||-⌫--|----|
siestcu lchetadenz	||--|--⌫----|----|
Desuzluimetses peeel oli fan	----|--|--||--⌫--|||---⌫--|
Turnatsatesteue rslapaiene gen t	-----|-|----|--⌫-|-|-----|---⌫|
il uoeltueireme nt	-|----|-------⌫-|
Car l esdietetrestute s age nt	---⌫-⌫-|---||-------|-⌫|--⌫-|
Ligentilzque nsqu	-|------|---⌫-|-|
il f utmortcunquer ant	-|-⌫-|---|-------⌫--|
C lei m etsaculpee	-⌫---⌫-⌫-|-|----||
Purses pecchez	--|--|------|
pur off ri d loguant	---⌫---⌫--⌫|-|----|
AOI Çosent	--|--|---|
Rollant desunten sni ad	------|-|--|---⌫|||-|
Espaigne e st	-------|-⌫-|
e nu npuiagutA lunemainsi ad	-⌫|-⌫|--|---|||--|---|-|-|
sunpizbatud	--|--|----|
Deu smeie culpeue r s les tuesuer tuz	---⌫|---|----|--⌫-⌫|--|---|---⌫--|
Demespecchezdes	-|--|------|--|
granz edesmenuz	----||--|----|
aifaitdés lureque	-|---|---||--|--|
Tr esqua ces t	--⌫---||---⌫|
iurque cisu iconsoüt	--|--|-|--⌫|-------|
Sundestre gu ant en aduers	--|-----|--⌫--|-|-|---|
Deu tendut	--|-----|
Anglesdelciel idescenden ta	-----|--|---||---------⌫||
Rollantseiutdesuzunpin	------|-|--|----|-|--|
Espa igneen	----⌫---|-|
adturnetsu nuis	-|-----|--⌫|--|
Deplusurs chos esa remembrerliprist	-|------|----⌫-||--------|-|----|
De t a n teste rescuml i	-|-⌫-⌫-⌫--|--⌫--|--|-⌫|
berscunqu ist	---|-----⌫--|
France d eshumes de	-----|-⌫-|----|-|
Ca rlemagnesunseignorkil	--⌫-------|--|------|--|
Nepoetmue r nen	-|---|---⌫||-|
plurt e ne susp irt	----||-|----⌫--|
Mais luimeïsmen euolten ubli	---|--|------|-⌫|---|-|---|
Cleimetsaculpesi priet	------|-|----|-|----|
Patenekiunkesnemen tis	-----|-|----|-|---⌫--|
L azaronde mortresurrexis E	-⌫-----|-|---|---------||
Da nie l d esleonsgu are sis	--⌫---⌫|-⌫-|----|--⌫---⌫--|
G uarisde meilan medetuzperilz	-⌫----|-|--||--⌫-|-|--|-----|
Pur lespecchez	--|--|------|
q ueenmauiefis	-⌫-|-|-|--|--|
Sundestre gu a nta	--|-----|--⌫-⌫-||
Deuen purof frit	--|-|-----⌫---|
G abrieldes amainlad pris	-⌫-----|-|-⌫|---||-|---|
Desursu nbraz teneit	----|--⌫|---|-----|
lec hef enc lin	-|-⌫--|---⌫--|
Iu ntess es mainsestalet a safin	--⌫---|-⌫-|----|--|---||-|--|
Deu s tram istsunangle	---⌫|----⌫--|--|----|
CherubinE seint	-------||----|
Mic heldel	---⌫--|--|
E n sembl odel ssent	-⌫-⌫----|-|--⌫|---|
Gabr ie li	----⌫--⌫||
uintLanm edel cunteportentenpareïs	---||---⌫|--|----|------|-|------|
Deusen ad l	---|-|-||
anmees c e ls	---|-|-⌫-⌫-|
Liemperereen	-|-------|-|
Rencesualsparuient	---------|-------|
Ilnen iadneueie n esenter	-|--||-|-|---|-⌫|-----|
Neuoidetere	-|----|---|
nea lne n e	-|-⌫--|-⌫|
Queil niait o	--|-|||--||
Franceis op aien	-------||-⌫---|
Carle s escriet Uest esuos	-----⌫|------||---⌫-|--|
bels ni és U	---|--⌫--||
estlarceuesque e	--||---------||
Oli u erUest	---⌫-⌫-||--|
Ge rinse si scu mpainz	--⌫---||--⌫|--⌫-----|
Gerer sUest	-----⌫||--|
Ote selique ns	---⌫||-|---⌫-|
Beren gers	-----⌫---|
ioa ueietant chers	-|-⌫---|---|----|
Qu estdeu enuzli	-|--|---⌫---|-|
Guascu inz	------⌫--|
Sansun li d u xe	-----|-|-⌫-⌫||
An seïsl ibersUest	--⌫----|-⌫|---||--|
G e rar dde	-⌫-⌫---⌫|-|
Russillun li	--------|-|
XII. per q u eio aueie laiset	---|--|-⌫-⌫|-|----|-----|
D ec ̧oquic he ltquantnul	-⌫|-⌫-|--|-⌫--⌫-|----|--|
n enrespundiet	|-|---------|
Deus distlireis tant	---|---|-|---|---|
mepoi sesmaier	-|---⌫|------|
Queionefuial	--|-|-|--|||
esturcumencer	----|-------|
Tirets abar becumhomkiestiret	----|-⌫|---⌫-|--|--|-|--|---|
Plurentd e soilz	------|-⌫-⌫|---|
si ba ron cheualer	-|--⌫--|-------|
Encuntre t eres epa sment.	-------|-⌫--|-⌫|--⌫----||
XX.mi l lers	--|--⌫-⌫---|
Naimesliduxen admu lt	-----|-|--|-|-|--⌫-|
gra n tpite t	---⌫-⌫|----⌫|
Ilneni ad cheualer	-||-||-|-------|
Quede pitet	--|-|----|
mult du rementne	---|--⌫-----|-|
Plurentlur	------|--|
filzlurfr ereslu rneuolz	---|--|--⌫---|--⌫|-----|
Eluramiselurlige seign urs	|--|---||--|---|-----⌫--|
En cuntre teresep asmentli plusur	--⌫-----|---|-|-⌫-----|-|-----|
Naimesliduxdiç oad fai tque	-----|-|--||---⌫|-|---⌫|--|
Tuzpreme reins laddit l em p er eür	--|-----⌫----||-|--||--⌫-⌫--⌫---|
u eezauant d edou sliwesde nus	-⌫--|----|-⌫|---⌫|----|-|--|
uedeirpuëzlesgr anzcheminspuldrus	-----|----|--|--⌫--|------|------|
Q uaseziad	-⌫|---||-|
Car cheualchez	--|---------|
u engezc est edulorE	-⌫----|-⌫---⌫|----||
Carles ia suntilia	-----|-|---|-|-|
Cuns en tezm eiedreiture	----⌫--⌫--|-⌫-||-------|
Francedulcemuntt o lue	-----|----||--|-⌫-⌫--|
Lireiscum andet	-|---|---⌫----|
Reinselec u nte	----||-|-⌫-⌫--|
Guard ezle	-----⌫-|-|
cham p elesualse le s munz	----⌫||--|---||--⌫|---|
Lessez gesirlesmorztut	-----|----|--|---|--|
issic unilsu nt	---|-⌫-|-|--⌫-|
Q ueniade istne bestenelïon	-⌫-|||---⌫--|-|----|-|----|
Ne niadeist es quier nega r çun	-|||-----|--⌫----|-|--⌫-⌫---|
Io uusdefend que n	-|--|-----|--||
i adeistnulshom	|-----|---|--|
Deusuoeillequeen cest	---|------|--|-|---|
campreu en gumE c il	---|---⌫--⌫--||-⌫-|
respun dentdulc ementpar	------⌫---|----⌫----|--|
Dreizempererechersiresife rum	----|-------|---|---|-|--⌫--|
Milc heuale ri retien ent	--|-⌫------⌫||------⌫--|
Li emp ereres fa it sesgra isles sun er	-|---⌫-----|--⌫-|--|---⌫----|---⌫-|
Puiss i che ualchetod sagrant	---|-⌫|---⌫------|-|-|----|
Esp aigneun t lur les dosturnez	---⌫----|--⌫|--|--|--|-----|
Tenent lench alztuiten suntcumunel	-----||----⌫--|---|-|---|------|
Quantueitli reisl e u espresdecliner	----|---|-|---|-⌫|-⌫-----|-------|
Sur lerbeuerte	--||---|----|
descentlireis en	------|-|---|-|
Cul ch et s ei	---⌫--⌫-|-⌫-|
ate resipriet	|--⌫-|-|----|
Queli soleilzf acet pur	--|-|------|-⌫---|--|
luiarester	--|------|
Lanu i tta r g ereleiur d emurer	-|--⌫-⌫|--⌫-⌫-⌫-||-|--|-⌫-----|
Aisl i unangle kiodl u i	--|-⌫|-|----|-|-|-⌫-⌫|
soel tparle r	----⌫|-----⌫|
Isnelement s iliadc omandet	---------|-⌫|-|-|-⌫------|
Charle c heualche ca rteinefaltclar tet	-----|-⌫-------|--⌫|--|-|---|----⌫--|
France asperdut çoset	-----|-|-----|--|--|
uenger tepoezdelagentcriminelA	-----|-|---|-|-|---|-------||
icelmotlemperere estmuntet	---|--||-------|--|-----|
Karlemagnefi st	---------|--⌫-|
Deus uertuz mult g ranz	---|-----|---|-⌫---|
soleilz es tr em é sen estant	------|--⌫|-⌫--⌫--⌫|-|-----|
Paiensenfuien t ben les chalcent	----||-|-----⌫|--|--|-------|
Tenebrus l alesuunt	-------|-⌫|--|---|
Sar ragucelesenchalcentferantA	---⌫-----|--|---------|-----||
co lps plenersl es enuunto ci ̈ant	--⌫--|------|-⌫-|-|---|-⌫--⌫---|
Tol entlurueieseles	---⌫--|--|----||--|
cheminsplusgran z L e wede	------|---|----⌫||-⌫-|-|
Sebre e l l ur e stdedeuant	----|-⌫|-⌫-|-⌫-|-------|
Multestp arfundemerueilluseecurant	---|--|-⌫------|----------||-----|
Iln eniadbar ge nedrodmundne	-||-||-|---⌫-|-|-------|-|
Paiensrecleime ntun	-----|--------⌫-|-|
Terua gant	-----⌫---|
Puissaillentenzmaisilni u ntguar ant	---|-------|--|---|-|||-⌫-|----⌫--|
Liadube zensuntli plus	-|-----⌫|-|---|-|---|
Enue rsle sfu n z sen turnerentalqu anz	----⌫-|--⌫|--⌫-⌫||-|--------|----⌫--|
Li altre enuun tc untreu alfl ot a nt	-|----|-|---⌫|-⌫------⌫-|--⌫--⌫-⌫-|
Limiezguarizen untb oüditant	-|---|-----|-|--|-⌫---|----|
Tuzsu ntneiez par merueil l usaha n	--|--⌫-|----|--|-------⌫-⌫-|---⌫|
Fr anceisescr ient	--⌫-----|----⌫---|
Marefustes	---|-----|
Carles ueitqu et uitsunt mortpai en	-----|---|--⌫|-⌫--|---|---|---⌫-|
A lquanzo cis	-⌫-----|-⌫--|
e liplus ur neie t	|-|----⌫-|----⌫|
Multg ranteschec enuntsi	---|-⌫---|-----|-|--|-|
Ligentilz rei s	-|------|---⌫|
descendu t est a piet	--------⌫|--||---|
Culch et sei	-----⌫-|--|
a teresinad	|---|--|-|
D eugraciet	-⌫-|------|
Quantil se drecetlisolei lzestcu l chet	----|-|-|-----|-|-----⌫-|--|--⌫-⌫---|
Distlemperere	---||-------|
Tensestde lherberger	---|--|--⌫|--------|
Rencesuals estt artdelrepairer	---------|--|-⌫--|--|-------|
Nozcheuals sun t el aseennuiez	--|------|---⌫||-⌫-||------|
Tolezlu rl es seles léfreinsquil	----|--⌫|-⌫-|----|--|-----|-|-|
unte schefsEpar cez prez	--|-⌫|----||--|--|---|
leslaisezrefreider	--|-----|--------|
R espund ent	-⌫------⌫--|
Sire uosdit es bien	---|--|---⌫-|---|
Liemperere	-|-------|
adpr is esa	-|--⌫--⌫|-|
France isdescendenten late r ed eserteA lurcheuals	------⌫-|---------|-|-|--⌫-⌫|-⌫-----||--|------|
unttoleiteslesseles	--|-------|--|----|
Les fre in sa ore	--|---⌫--⌫||-||
me tent iuslestestes	--⌫---|--|--|-----|
Liur entlurprezasez	----⌫--|--|---|---|
fre sche herbe	---⌫---|----|
Dalt re cunrei dnelurp o eëntplusfaire	|---⌫-|------⌫|-|--|-⌫-⌫----|---|----|
Kimu lt est lasilsedortcunt re	-|--⌫-|--|--|-|-|---|----⌫-|
I celenoit nunt	-⌫---|---||--|
unkesesca lgua ite	----|----⌫----⌫--|
Liem perer e s estculcete nun	-|--⌫-----⌫||--|-----|-⌫|-|
esp iet m et as unchef	---⌫--|-⌫-||-⌫-|---|
nes euolt desarmer	-|-⌫|---|-------|
Siad uestut	-|-|-----|
sunblancosberc sasfret	--|----|-----|------|
Laciet sunelmekiesta orgemmet	-----|--|---|-|--||-|-----|
Ioiuseunchesnefutsaper	-----|-----|-|--|-|--|
Kicascuni ur	-|-----|-⌫-|
XX X.clartez	--⌫-|------|
Asez sauumd e lalanceparle r	---|----|-⌫|-|----|-----⌫|
Sire fut en la cruiz nasfret	---|--|-|-|----|------|
mure mercit	---|-----|
E n l or etpunt l ad fai te	-⌫||--⌫-|---||-|---⌫-|
P urce s tehon ur	-⌫-|--⌫-⌫-|---⌫-|
e purceste bontet	|--|----|-----|
Ioiu sele spe efutdunet	----⌫-||-⌫---⌫|--|----|
Barunsfrance is nel deiuentublier	-----|------⌫-|--|------|-----|
Enseigneenunt de	-------|-|--|-|
Munioie crier	------|----|
Purço nes poe t nule ge ntcuntres te r	--|--|--|---⌫|---|--⌫-|-------⌫--⌫|
Clereestla noite	----|--|-|---||
l aluneluisant	-⌫|---|------|
Carlessegis tm ais doeladde	-----|-|---⌫|-⌫--|---|-|-|
Oliu er lipeiset mul tforment	----⌫-|-|-----|---⌫|------|
XII .persed e lafranceisegen t	---⌫|---||-⌫|-|--------|---⌫|
Rences u alsad lai set	------⌫-⌫--|-|---⌫--|
morz s angl enz	---|-⌫----⌫--|
Ne poet mue ̈r n	-|---|---⌫-||
ne sdement Epriet	--⌫|-----||----|
Deuqu as anmes	--|-|-|----|
seit guarent	---|------|
reiskarlape ineestmult	---|--|-|--⌫--|--|---|
En dormizestne	--⌫-----|--|-|
pou tmai se nauant	---⌫|---⌫|-⌫|----|
Partu z les prez or	--|--⌫|--|---|-|
s edorment	-⌫|------|
Fra ncNiad cheual	---⌫-|||-|-----|
kipuissetesterenestant	-|------|----|-|-----|
Kiherbeuo eltillapr en ten	-|----|--⌫--|-|-|--⌫--⌫|-|
Multadapris ki bienconui st	---|-|----|-|---|-----⌫-|
Karlesse do rtcumhumetraueillet	-----|-|--⌫-|--|---|---------|
Gabrielliad	------|-|-|
Deus en ueietLempe reü rlic umandetagua rder	---|--⌫----||----⌫----⌫|-|-⌫------||---⌫---|
Lianglesest tute	-|-----|--|---|
Pa r a uisiumliadanuncietD une	--⌫|-⌫-----|-|-|-------||--|
bataillekiencun trelu i	-------|-|-----⌫--|--⌫|
Senefï ance len de mustra t	-------⌫---||-|--⌫------⌫|
mult g ref	---|-⌫--|
Carlesguardat amuntenuersl e ciel	-----|------|----|-----|-⌫|---|
ue itlestuneires el e suenzeles giel sE	--⌫-|--|-------||-⌫-⌫|---||--|----⌫||
lesorez lesme ru e illus tempez Efou se	--|---|--|--⌫--⌫-⌫----|-----||---⌫||
fla mb es ie stapareillez	---⌫--⌫-||-⌫-|---------|
Isnel ementsu rtute	-----⌫----|--⌫|---|
sagentchet	-|---|---|
Ar dentcezhanst esdefraisneedepumer	--⌫---|--|-----⌫-|-|------||-|----|
E cezescuzie sq u	|--|----|--⌫--⌫|
as bucles d or	-|-----||-|
Fruis sen tcez hanste sdeceztrenchanz	-----⌫---⌫|--|------⌫|-|--|--------|
Cruissentosbercsece zh elmes dacer	--------|------||--⌫|-⌫----||---|
dulor iueitsesc heualers	----||---|--|-⌫-------|
leuparz le s uoelent pu ismanger	------|--⌫|------|--⌫-|-----|
Serpenzeg ui uresdrag u n e auerser	------||-⌫--⌫---|----⌫-⌫||------|
Gri funsiad plusde	---⌫---||-|---|-|
trent emillersNen ia dcel a	-----⌫|------||-||-⌫|--||
Franceisnesagiet	-------|-||----|
Fra nceiscrient	---⌫----|-----|
Car le m agne aidez	---⌫--⌫-⌫---|----|
Li rei senade	-|---⌫|-|-||
Al er iuoltmais iladdesturber	--⌫-||---|---|-|-|--------|
Deuers ung ualtu nsgr anz	-----|-|-⌫---|-⌫-|--⌫--|
leonsliuient	----|-|----|
Mult pare rtpesmese orguillus efiers	---|--|-⌫-|-----||--------||----|
Suncors meïs me siasal t erequertEprenents ei	--|---|-----⌫--⌫||----⌫||------||------|-⌫-|
abr azambesdousp orloit er	|--⌫-|--------|-⌫-|----⌫-|
Maisçonesetliqu elsabat	---|--|-|--|----⌫--|---|
nequels chiet	-|----|----|
Liempereren e stmieesueill et	-|-------||-⌫-|--|-------⌫-|
Ap résicele liuie nunal tre	--⌫---|----|-|---⌫|-|--⌫--|
Endouschaein e s sit en e it un	-|---|------⌫-⌫|-|-⌫--⌫-⌫-|-|
Ardeneueeituenir.	-----|----|----||
Cascun par olet altresicume	-----|---⌫---|------|---|
Diseient li	-------|-|
Sireren dezle nus	---|---⌫--|-|--|
Ilnenestdr eizqueilseitmais od	-|--|--|--⌫--|--|-|---|---|-|
N ostre pare nt deuumestreasucurs	-⌫----|----⌫-|----|----||-----|
Desunpa leis uns ue ltresiacurt	-|--|--⌫---|--|--⌫----||----|
E ntrel esaltresasai l litle greignur	-⌫---|-⌫-|-----|----⌫-⌫--|-|-------|
Surlerbeuerteultresescumpaignuns	--||---|----|----|--|----------|
Lauitlireissi merueillu sestur	-|--|-|---|-|---------⌫|----|
Maisçones et	---|--|-|-⌫-|
liquelsueintnequelsnun	------|----|-|----|--|
mus tret al	---⌫---|-|
Carles sedorttres qu aldemain al	-----|-|---|----⌫-|-|-----|-|
cl eri u r	--⌫-|-⌫-⌫|
Marsilies e n	-------||-⌫|
Sarrag uce	------⌫--|
Suz un oliue e st descend u ten l	--|-|----|-⌫-|-------⌫-⌫|-||
umbre Sespeerent esunelmeesa	----||----|---||--|---||-|
Surlauerte herb e mult la idementse culcet	--|-|----|----⌫|---|--⌫------|-|-----|
main ad p erduetrestute	---|-|-⌫----|-------|
Delsancquenist	--|---|-|-|--|
