formCHCor012	---|-------|
autrepartie	----|-----|
//et leditPier r esRiueit par s e ys ex	||-|-|--|----⌫-⌫-|-----|--|-⌫-⌫|-⌫-|
sextier s de fromen tet	-------⌫|-|------⌫|-|
unchaponpo r rai s on de	-|-----|--⌫|---⌫-⌫-|-|
unepi ecedeterre assise entrelaRi ueitereetl	--|--⌫--|-|----|-----|----|-|--⌫------|-||
OmeauPei teuintenantàlauoye	----|---⌫----|-----|-|-|---|
parla quau	--|-|---|
uait de laRiueitere	---|-|-|--------|
au boysdoditG uiartdeunep artie et	-|---|-|--|-⌫----|-|--|-⌫----|-|
a u arbergement A ymer i Be riantdeaut rep artie e t auarbergeme nt	-⌫|----------|-⌫----⌫|--⌫----|-|---⌫-|-⌫----|-⌫|-|---------⌫-|
Hu gueitCoupedelaut r e	--⌫----|----|-||---⌫-⌫|
p artie //etle ditAymeriLucaspars e y	-⌫----|||-|-|--|-----|----|--|-⌫-⌫|
dou ssextiersdefro mentetu nchapon	---⌫|-------|-|---⌫---|-|-⌫|-----|
porraisonde douspi eces deterre	--|-----|-|---|--⌫---|-|----|
a ssises àlaFarreredosquausune piecee st tenant	-⌫-----|-|-|------|--|----|--|----|-⌫-|-----|
auarbergement Hugues	-|----------|-----|
Coup edeune	----⌫|-|--|
partieetau cha mp dit Rog ueits egnourdeChampabor	-----|-|-|---⌫-|--|---⌫---|-⌫-----|-|--------|
de au trepart ie / /etl	-|--⌫--|----⌫-|||-||
autrepiec eesttenant au ditchamp de unepart ie	----|----⌫|--|-----|-|--|----|-|--|----⌫-|
trei lledoditAymeri Lucas	----⌫--|-|--|-----|----|
autrepartie// et Io hennelaMemine	----|-----|||-|--⌫----|-|-----|
sextie rdefromentet unchaponporra ison	------⌫|-|------|-|-|-----|--|--⌫---|
d eune pi ecedeterr e assis e aus	-⌫|--|--⌫--|-|----⌫|-----⌫|--|
Brueres tenantàla u oy e parlaq uaul	------|-----|-|-|-⌫--⌫|--|-|-⌫--||
an uait de	-|---|-|
Peiteui na u	-------⌫|-⌫|
Gu iart deRochefortdeu nepartie e t àla	--⌫---|-|--------|-|-⌫-|-----|-⌫|-|-|
ter reRegna ut Soude iende	---⌫-|-----⌫-|-----⌫--|-|
lautrepartie / / et	|----|-----|||-|
le dit R egna utSoudei en	-|--|-⌫----⌫-|------⌫-|
parseyun sextier	--|--|-|------|
de fromentetun	-|------|-|-|
chaponporra isonde unepiece	-----|--|--⌫---|-|--|----|
deterreass ise	-|----|---⌫--|
ausBruer estena ntà laditeuoye parla	--|-----⌫-|----⌫-|-|-|---|---|--|-|
quaul anuaitdel	---||-|---|-||
O meauP eite uinauditboys do dit	-⌫---|-⌫----⌫--|-|--|---|-|--|
GuiartdeRoc he f ortde	-----|-|---⌫--⌫-⌫--|-|
une p artieet aucham pI ohe n nelaMemine	--|-⌫----|-|-|----⌫|-⌫---⌫-⌫-|-|-----|
delautrepartie //rendanzl esdizqua torze	-||----|-----|||------|-⌫-|--|---⌫----|
sextiers etdimédefromen tet	-------|-|----|-|------⌫|-|
leisdi z chapon s	---|--⌫|------⌫|
d esores enauantper p etu aume ntaudi t Aymeri d e Esc roal	-⌫-|---|-|----|---⌫-⌫---⌫----⌫-|-|--⌫|-----|-⌫|---⌫---|
et à seishairs et àseissu ccessorsdo s	-|-|---|----|-|-|---|--⌫-------|--⌫|
person esdesusnomee s oudelorh a irs	------⌫-|----|-----⌫|-|-|--|-⌫-⌫--|
ou de c eaus qui	-|-|-⌫---|--|
tendrontleis di tes terrespo rraison dos	-------|---|--⌫--|-----|--⌫|-----|--|
ditespers onesqui deyue nt	----|----⌫---|--|-----⌫-|
loditfromentet leisdizchapons de rente	-|--|------|-|---|--|------|-|----|
annaumentenla f esteSaint Mich au	--------|-|-|-⌫---|----|----⌫-|
enMirebe au	-|------⌫-|
ouenlacha tellenie de Mirebeau	-|-|-|---⌫-------|-|-------|
m aison do ditA ymer ide E scroalsiil	-⌫----|-|--|-⌫----⌫|-|-⌫-----|-|-|
au dit M irebeauouenladite	-|--|-⌫------|-|-|-|---|
chat ellenie //àaue ireta ̀aparceuoir	----⌫------|||-|---⌫-|-|-⌫|---------|
lesdi zquatorze sextie rsetdim é def romentetles	--|--⌫|-------|------⌫-|-|---⌫-|-|-⌫-----|-|--|
diz chaponsdes ores	--|------|--|---|
enauantpe rp etuaumentdo d it Ay meri	-|----|--⌫--⌫--------|-|-⌫-|--⌫---|
deEscroa l et d e seis hairsetde	-|------⌫|-|-⌫|---|----|-|-|
sei ssuccessors susles dites	---⌫|---------|--|--|----|
te rresdosqu aus	--⌫---|--|--⌫--|
leditfroment etles	-|--|------|-|--|
diz chapons	--|------|
derente sontdeüz	-|----|---|----|
annaumen ten	--------⌫|-|
lafesteSaintMicha u	-|----|----|-----⌫|
//Et fu tl epris	||-|--⌫|-⌫|---|
uençondoschose sdesusdite s dequara n te liu resde	------|--|-----⌫|----|----⌫|-|-----⌫-⌫-|---⌫--|-|
moneiecorrant // dosquaus lidituendeor	-----|------|||--|----|-|--|------|
setindrent plenerementporpaiéenla d ite cort	-|-------|----------|-------|-|-|-⌫--|---|
enpecu nenombreehe üee treiceü edod itAyme ride	-|----⌫-|------|--⌫--|-⌫|-------⌫|-|-⌫-|----⌫-|-|
//Etse porront ledit	||-|-|------|-|--|
A ym eride Esc roal et	-⌫--⌫--|-|---⌫---|-|
seisha irsets eis suc cessorsreuen g ie rsus	---|--⌫--|-|-⌫--|---⌫------|-----⌫-⌫--⌫|--|
leisdites terres	---|----|-----|
to te s fe yeesque les ditespersonesqui deyuent	--⌫--⌫|--⌫---|--|--|----|-------|--|------|
loditfrome ntet l es diz chaponsde rente ou	-|--|-----⌫-|-|-⌫-|--|------|-|----|-|
auqun esdeellesouleishai rs	-----⌫-|-|----|-|---|---⌫-|
deellesdefandro nt derendre lodit fromente tles	-|----|--------⌫-|-|-----|-|--|------|-⌫|--|
dizchaponsaudit Aymerid e	--|------|-|--|-----|-⌫|
Escroal ou àseishairspara u qune	------|-|-|---|----|--|-⌫-⌫---|
festeSaint Mich aua u lou	----|----|----⌫-|-⌫|--|
des usd it//leisquausdiz quatorzesextierset	---⌫-|-⌫-|||---|----|--|-------|-------|-|
fro mentetleisquaus diz chaponsder ente	---⌫---|-|---|----|--|------|-|-⌫---|
lidit Pi erres	-|--|--⌫----|
lAuenuP ierr esRiueit	|----|-⌫----⌫-|-----|
Aymeris Lucas Iohenne	------|----|------|
laMemine etRegna utS oudeienunt pramis e nladite	-|-----|-|-----⌫-|-⌫------|--|-----|-⌫|-|---|
/ s eigontc eu	|-⌫-----|-⌫-|
quech aqu ns	--|--⌫---⌫-|
de els endo yt	-|--|-|--⌫-|
rendreauditAymeride	-----|-|--|-----|-|
Es croal età	--⌫----|-|-|
seishairset àseiss uccessorsau loudes us	---|----|-|-|---|-⌫--------|-|--|---⌫-|
toz anz en	--|--|-|
lafesteSaint Michaudes	-|----|----|-----|--|
oresenauant perpetuaument	---|-|----|------------|
parlafeydel orc orsd onee	--|-|--|-|-⌫-|-⌫--|-⌫---|
enla dit eco rt etsuslobligac ion	-|-|---⌫|--⌫-|-|--||-------⌫--|
doste rre s	--|--⌫---⌫|
desusdi te s	----|--⌫--⌫|
d o comandement au s di z uendeors .	-⌫|----------|--⌫|--⌫|-------||
//Liquaudit ue n deo runtqueneuen	||-|---|--|--⌫-⌫---⌫|--|-----|-|
ladite cort ea usaueir	-|---|---|--⌫-|----|
faitlo dit comandement ausdiz	---|-|--|----------|--|--|
AuenuPi erres	----|--⌫----|
Riueit AymeriLucas Iohen neMemine etRegnautSo udeien	-----|-----|----|-----⌫-|-----|-|------|--⌫-----|
derendrelodi tfroment et le is	-|-----|-|--⌫|------|-|--⌫-|
dizchapons der e nteauditAymeri d e Escroal	--|------|-|-⌫-⌫--|-|--|-----|-⌫|------|
etàseishairsetàs eissuccessorssic um	-|-|---|----|-|-|-⌫--|---------|-|-⌫-|
desusestdeuisé .	----|--|------||
/ /Ettendrontle dit Aymeride	||-|-------|-|--|-----|-|
Escroaletseis hairs	------|-|---|----|
etseissuccessors desoresenauant	-|---|---------|--|---|-|----|
perpetuaumen tleisdite sterres	------------⌫|---|----⌫|-----|
/ / susleisquaus	||--|---|----|
led it fromente t les diz ch apons de	-|-⌫-|------|-⌫|--|--|--⌫----|-|
renteso nt assi s dosdiz	----|--⌫-|----⌫|--|--|
uendeor set de lorh air s et de lo r	-------⌫|-|-|--|-⌫---⌫|-|-|--⌫|
successorsàtreissolz deseruisesans a utredeyueir	---------|-|----|---|-|------|---|-⌫---|------|
sa nsaut r ecostumeetsan s autrereideuancerendanzà	--⌫-|---⌫-⌫|------|-|---⌫|----|---------|------|-|
Luc héannau ment e nlandemain delafestedeToz	---⌫--|-----⌫---|-⌫||-------|-|-|----|-|--|
//Ceitesditesotreance etue nçon	||-----|----|-------|-|--⌫----|
doscho sesd esus ditesuntprami slidituendeor	--|---⌫--|-⌫---|----|--|-----⌫|-|--|------|
enladi tecort par el s	-|-|--⌫-|---|--|--⌫|
etpa rlorhairs etparl o r	-|--⌫|--|----|-|--|-⌫-⌫|
s uccess ors/ /par lafey delorcors	-⌫------⌫--|||--|-|--|-|--|---|
dite co rtetsus	---|--⌫-|-|--|
l o bligacion de toz lorbi ensmoubl es et	|-⌫--------|-|--|--|--⌫--|-----⌫-|-|
nonm oublespre senzet à estreen quauquelou	----⌫-----|---⌫---|-|-|----|-|------|--|
que il soient tenir gardere nsegre	--|-|-----|----|-----|-⌫-----|
sans enfra indr e	---|-----⌫----⌫|
etsansuen ir	-|---|---⌫-|
encontreparelsou parautr es	-------|--|--|-|--|----⌫-|
enten squiestà uenir e t gari retdeiffendre	-|---⌫|--|--|-|----|-⌫|----⌫|-|---------|
lesdites terressu sl eis quau sl e dit	--|----|-----|--⌫|-⌫--|----⌫|-⌫|--|
from entetli dit chapo nde	----⌫--|-|-|--|-----⌫|-|
rent e sonta ssis //au	----⌫|---|-⌫---|||-|
di tAym er id eEscroalet àsei shairset à	--⌫|---⌫--⌫|-⌫|------|-|-|---⌫|----|-|-|
seissuccessorsp erpetuaument	---|---------|-⌫-----------|
det ozetcont retozaus	-|-⌫-|-|----⌫-|--|--|
diztreissolzdeseruise rend anzsicum desu sest	--|----|---|-|------|----⌫--|-|--|----⌫|--|
/ /Etuntrenunciélidi t uendeo r enicest	||-|--|--------|-|--⌫|------⌫|-|----|
lor fa itpar els et	--|--⌫-|--|--|-|
parlorhairsetparl orsuc cessors à	--|--|----|-|--|-⌫-|---⌫------|-|
tote aydeet à totbeneficed ed rei t	---|---|-|-|--|-------|-⌫|-⌫---⌫|
de cortdesai nteygliseetdecort	-|---|-|---⌫--|-----|-|-|---|
l ai e àtozstatuzdereyetde	-⌫--⌫|-|--|-----|-|--|-|-|
princ e faiz ouàfaireàtoz	-----⌫|---|-|-|----|-|--|
priuilegesdonezouàdoner à	---------|----|-|-|----|-|
tozusagesa ̀totes costumes/ /àe xcepcion	--|-----|-⌫|----|-------|||-|-⌫-------|
de lapecune	-|-|-----|
nonnom breenon balleenon sol ueà totesexcep cions	--|---⌫---|--|-----|--|---⌫-|-|----|-----⌫----|
etdecepci onsrai sonseta llegacionsqui de fait	-|-------⌫--|---⌫---|-|-⌫---------|--|-|---|
oudedr eit porreie nt	-|-|--⌫--|-------⌫-|
est reditesouobiceesco ntrel atenourde	---⌫-|----|-|------|--⌫---|-⌫|-----|-|
ceit esp re sentesle itres par queylipresensinstrumen t	----⌫-|-⌫--⌫-----|--⌫----|--|---|-|------|---------⌫|
porreitestredes tru it	------|----|---⌫---⌫-|
oumaum i s	-|----⌫-⌫|
enauqunemene re	-|-----|----⌫-|
entotou en part ie	-|--|-|-|----⌫-|
Ceufu tfaitetdone ́en	--|--⌫|---|-|----⌫|-|
Mirebea et seellé dos eaudelacor t	------|-|------|-|-⌫--|-|-|---⌫|
au ditsegn our deMir eb eaesta blienMirebea	-|--|----⌫--|-|---⌫--⌫-|----⌫--|-|------|
por lodit seg nour etiugiéà tenirparlo	--|-|--|---⌫---|-|-----|-|----|--|-|
iugementde laco rtau dit se gnourdeMirebeaà	-------|-|-|--⌫-|-|--|--⌫----|-|------|-|
la reiqueitedosdiz uendeors et	-|--------|--|--|-------|-|
dos dizPie rreslAuenuPierres Riue itAymeri	--|--|---⌫---||----|------|----⌫-|-----|
Lucas IohenneMemine e t RegnautSoude i en	----|------|-----|-⌫|------|-----⌫-⌫-|
presenzen la ditecort//en	------|-|-|---|---|||-|
i or demeicredi auant laNatiu itéNostreDa meuirge	-⌫-|-|-------|----|-|-----⌫---|-----|--⌫-|----|
landegra ce	|-|-|---⌫-|
mildousce nz	--|---|--⌫-|
quatreuinzet cinc.	---------|-|---||
c hPoit066//Sachent	-⌫-------|||------|
tuitquepresenzda uan t nous/	---|--|------|--⌫---⌫|---||
/ Gu illeamesde C olumberscheual iersreque nut queil	|--⌫-------|-|-⌫-------|------⌫---|-----⌫--|--|-|
por seiepor les see ns	--|--||--|--|---⌫-|
puremente absoluementà toz iorzmes /	-------||----------|-|--|---|--||
/auei tdonépardon fetentre	|----⌫|----|--|--|--|----|
l esuissanziamésreuoquer epornonde ce st	-⌫-|--|---|-----|-------||--|--|-|--⌫-|
donbaillaparlatenordeceteletr e/	--|-----|--|-|----|-|---|----⌫||
a bé eauconuentde	-⌫--||-|------|-|
LaFonteineleCo nteeàlorsuccesso rsàfere	-|-------|-|--⌫--||-|--|--------⌫-|-|---|
l oruole ntéà toz	-⌫-|----⌫---|-|--|
iorzporleseruig eq ue illiaueie ntfet	---|--|-|------⌫|-⌫-|-|-|-----⌫-|--|
en m e in tesbonesmen e res/ /leschose sdessouz	-|-⌫-⌫--⌫--|----|---⌫-⌫--|||--|-----⌫|------|
nomeesetot ledreitde	-----||--|-|----|-|
propri et e ́ede p oss es siondes	------⌫--⌫-⌫||-|-⌫---⌫--⌫---|--|
dites choses edeschosessu s	----|-----||--|-----|--⌫|
queie le ssuntdeu ̈e s	---|-⌫--⌫|---|---⌫--⌫|
quedeiuent/	--|------||
ssauei r/ /Aymeris	------⌫|||------|
Garners unemin edefro men te demé	------|--|---⌫|-|---⌫---⌫||----|
chapondere nde	-----|-|--⌫--|
susunepece deuare nne tenan tà la terre	--|--|---|-|----⌫--|-----⌫|-|-|----|
Perr esGuerchau t	----⌫-|--------⌫|
//e G uillea mes	|||-⌫------⌫--|
Gaidonsunprouenderdefromente	------|-|--------|-|------||
un pouzi nderen desusleherbergementfeu Est orditenant	-|-----⌫|-|---⌫-|--|-|-----------|--|---⌫---|-----|
au herbergement fe uAyraudMemine a/ /e lesheirs	-|-----------|--⌫|-----|------⌫||||--|----|
do di t feuAyraudunsester	-|--⌫|--|-----|-|-----|
d efromentàla mesure deColumberssuslorh erbergement	-⌫|------|-|-|-----|-|--------|--|--|-⌫----------|
later requis	-|---⌫-|--||
iteent //e	|----||||
Guilleamesdela	---------|-|-|
Boguere re unsesterdefromentausside	-------⌫-|-|-----|-|------|----|-|
un chapondob lies	-|-----||--⌫---|
sussaterreapele e laBruier e doPeirerdepres	--|-|----|-----⌫|-|------⌫|-|-----|-|---|
deLaBoguerere//	-|-|--------|||
eon cores cil Guill eamese siconfrer eun q u artaul	|--⌫----|--|-----⌫----||-|-------⌫|-|-⌫-⌫-----|
defrome nt	-|-----⌫-|
de rende à	-|----|-|
cel e mesure	---⌫|-----|
eunpouzindundener	|-|-----||-|----|
suslaterreq uifut feu	--|-|----|-⌫-|--|--|
Estordi tenantaus terresGuilleame uossart	------|-----|--|-----|--------|------|
eà laterre	|-|-|----|
Aymeri G irart//	-----|-⌫----|||
eEstenres Grelersunse sterde	|-------|------|-|--⌫---|-|
froment àcele	------|-|---|
m es ure e unchaponderendesus sa terre qui	-⌫--⌫--||-|-----|-|----|--|-|----|--|
fu Peit erst enantauherbergement	-|----⌫--|-⌫----|-|-----------|
Grelereoncoressusunquarterdeterre	-----||------|--|-|------|-|----|
tenantau dithe rb ergementGrelereà	-----|-|--|--⌫--⌫-------|-----||-|
la terreEstenre	-|----|------|
leRei // e N icholasRober zun	-|--||||-⌫------|-----⌫|-|
prouenderdefr omenteuncha po n	--------|-|--⌫----||-|---⌫--⌫|
e un e g elinederende//c	|--⌫|-⌫----|-|----||||
estàs sa ueir un quartaule	--|-|-⌫--⌫---|-|-------||
le chapo nsus u nepece de	-|-----⌫|--|-⌫-|---|-|
terreass ise	----|---⌫--|
àlaR och eagaytioute laterrePerresGaydon e	-|-|-⌫---⌫-----|----|-|----|-----|-----||
ioutelaterre Aymeriuassonea	----|-|----|-----|-------|
/ / elautrequ ar taul e lageline sus	||||----|--⌫--⌫---||-|-----|--|
douspecesd e terr eassis	---|----|-⌫|----⌫|----|
àPeissonet	-|--------|
luneiou te l a	|--|---⌫-|-⌫|
terreausTra oillonselautreioute laterre	----|--|---⌫------|||----|----|-|----|
a ̀laIosceisme	-⌫|-|--------|
laterreFoscheron/ / e les	-|----|--------||||--|
heirsPerres	----|-----|
Brienzunproue nder d efroment eun	-----|-|-----⌫---|-⌫|------||-|
po uzinderende	--⌫---|-|----|
sus lorterredes meesten anta ̀	--|--|----|--|---|---⌫--|-⌫|
laterreàla Au boi n ete eàlaterre	-|----|-|-|--⌫---⌫-⌫--||-|-|----|
auditcheualier/	-|--|--------||
laDro aude unemined efroment eunegelin e	-|---⌫---|--|---|-⌫|------||--|-----⌫|
derende sus	-|----|--|
saterredoCoudreytenantaus uignesB ea C oraue	-|----|-|------|-----|--|-----|-⌫-|-⌫---||
àlaterre GuilleameGaydonlegenuree	-|-|----|--------|-----|-|-----||
à la terre Aym e r i	-|-|----|---⌫-⌫-⌫|
Droaut //e Hugu es deColum ber s une mine d e	-----||||----⌫-|-|-----⌫---⌫|--|---|-⌫|
fromenteune geline sussat e rretenant	------||--|-----|--|-|-⌫-⌫--|-----|
àl aterreàlArnousee aus uigne sfeu	-|-⌫|----|-||------||--|-----⌫|--|
Perresdela Guer che /	-----|-|-|----⌫--||
/e ArsendlAugearde	||-----||-------|
unpro uen derdefromenteun	-|---⌫---⌫--|-|------||-|
p ouzin de r ende sussaterrede	-⌫----|-|-⌫---|--|-|----|-|
la Fonteine deBernardet	-|-------|-|--------|
tenantàla	-----|-|-|
terre Aymeri Touscharte	----|-----|--------||
a ̀ l aterre Guerchant//eEsten r esliReis	-⌫|-⌫|----|--------||||-----⌫-⌫-|-|---|
u np r ouenderd ef roment derendesussa terre de	-⌫|-⌫-⌫------|-⌫|-⌫-----|-|----|--|-|----|-|
l apraelequi fut Barnaut tenant àla terre Hugues	-⌫|-----|--|--|------|-----|-|-|----|-----|
deColu mbers eà	-|----⌫----||-|
lat erre Mart in	-|-⌫---|----⌫-|
Nich olasDo reas un	----⌫---|--⌫---|-|
pr ouen der defromenteunpouzind e rendesus sa	--⌫----⌫--|-|------||-|-----|-⌫|----|--|-|
terr e de l a Iarrietenantà la	----⌫|-|-⌫|-----|-----|-|-|
terreFo scheroneàlat er rePerres Gaydon/	----|--⌫-------|-|-|-⌫--⌫-|-----|-----||
/ePe rresGarne rs treisproue ndersd e froment	||--⌫---|-----⌫-|----|-----⌫----|-⌫|------|
eun pou zind e rende/ /ce s t	|-|---⌫--|-⌫|----||||-⌫-⌫|
àssaueirunprouend ere le pouzinsus	-|------|-|-------⌫-||-|-----|--|
saterreassiseausprez ausPirauz ioutela	-|----|-----|--|---|--|-----|----|-|
terreIoffreiMarcea eioute l a ter re Guilleame	----|------|-----||----|-⌫|---⌫-|--------|
Boze r elam ine	----⌫||-|-⌫--|
de fromen t// eonco resdem é	-|------⌫||||----⌫--|---⌫-|
ch aponderende sus sa	--⌫---|-|----|--|-|
Lisereassiseentre	-----|-----|----|
lesterresAnd ré	--|-----|---⌫--|
//E esttenuz lidiz doneressi	|||--|----|-|--|------|-|
com ilpromist	--|-|------|
pa rsafe idonee susl ob lige mentd eses	--⌫|-|--⌫|----|--||--⌫----⌫---|-⌫|--|
dizabb éeconuente au slorà	--|---⌫-||------||--⌫|--|-|
toz iorz mes le sdit eschoses	--|---|--|--⌫|---⌫-|-----|
doneesde toz	-----|-|--|
euerstozdel i urerdeffe ndreegar i rà sexdeners	|---|--|---⌫-⌫---|-----⌫---||---⌫-⌫|-|--|-----|
deu eirtan solement	---⌫--|--|-------|
/ / à re ndre	||-|--⌫---|
à chascun an àl afeste d e	-|------|-|-|-⌫|----|-⌫|
Sain ctMicheas anz fei sanzhomage sanzaye	----⌫-|-----|-⌫--|--|---|-----|---|--|
sanz seruig esanzautreo b e ïssan ce	---|------⌫|---|----|-⌫-⌫-⌫------⌫-|
autredeueir	----|-----|
// eque iliam ésencontreles d iteschoses	|||---⌫-|---⌫--|-------|--|-⌫---|-----|
ouencontre a ucunedeceles	-|-------|-⌫----|-|----|
resonne f era	----|-|-⌫--|
parseiouparaut res/	--|--|-|--|---⌫--||
/ renu n cia nzsus	|----⌫-⌫---⌫-|--|
cetesch oses	----|--⌫---|
à toteexcep cionà totdreit	-|---|-----⌫---|-|--|----|
à tot pr iuile ge àto testablimente	-|--|--⌫-----⌫-|-|--⌫|----------||
esp eciaumentà	---⌫--------|-|
e xce p cionde tricheri een	-⌫---⌫-⌫---|-|--------⌫|-|
detropgran ddone à toz cas por	-|---|----⌫|--||-|--|--|--|
queidons poutestre r euoquez e	---|---|---|----|-⌫------||
àtotesa utreschose s.	-|----|-⌫----|-----⌫||
ceteschosestenir	----|-----|----|
sanzfausser àtoz iorznouslauum	---|------|-|--|---|---||---|
condamp nédesongrépa r l e iugementde lacort	-------⌫--|-|--|---|--⌫|-⌫|-------|-|-|---|
leuicontedeChasteleraut //efe ïsmescete	-|------|-|-----------||||--⌫-----|---|
let resaelerausead e la	---⌫-|-----|-|--|-⌫|-|
ditecortentesmoig nd euerité.	---|---|-|-------⌫|-⌫|------||
/ / Ce f u	||-|-⌫|
d onélesema diau an t lamecaresmeenl	-⌫---|-|----⌫-|--⌫--⌫|-|--------|-||
an deNos treSeignor	-|-|---⌫--|------|
mildouscenz	--|---|---|
quatreuinzequatorze	---------||-------|
c hPoit301//Àto z ceausqui uerrontouo rront	-⌫-------|||-|--⌫|----|--|------|-|-⌫----|
ceitespresentes l eitres//Ragn os	-----|--------|-⌫-----|||----⌫-|
deCulantcheualiersegnord eMire be au sal u en	-|-----|--------|-----|-⌫|----⌫--⌫-|---⌫|-|
Nostr eSe gnor par du rable .	-----⌫|--⌫---|---⌫--⌫----||
//S achent tuitcilquisont	||-⌫-----|---|--|--|---|
e qui ser ont q ueennostr ecort	|--|---⌫--|-⌫-|-|-----⌫|---|
personaument e stabli Theb autde Bill é e	-----------|-⌫-----|----⌫--|-|----⌫-||
PierredeBilléualeizfreres //untrei quene uen	-----|-|-----|-----|-----|||--|---⌫-----⌫|-|
no strecortqueil untdepartientreeaust oz	--⌫---|---|--|-|--|------|----|---|-⌫-|
lorheritagesqui	--|--------|--|
s ont en lach atellenie deMirebea queiluntde	-⌫--|-|-|--⌫--------|-|------|--|-|--|-|
partperee depa rtm ere	---|---||-|--⌫-|-⌫--|
enceitemenere / /	-|----|-----|||
cestàsauerqueli	|--|-|----|--|-|
dizPi erresdebilléelisien au ron te	--|--⌫----|-|-----||-|---|--⌫---⌫||
te nd ront parraisonde p artieiaméstoz	--⌫--⌫---|--|-----|-|-⌫----|-----|--|
ior zdurable men t	---⌫|-------⌫---⌫|
//Polignée lesa part enanc e s e	||-------||--|-⌫----⌫-----⌫-⌫||
lo M oncea.	-|-⌫----||
e les apa rtena nces e	|--|---⌫-----⌫---||
Pozeos eles	-----||--|
apa rtenanceseCo rrabautelesapartenances	---⌫--------||--⌫------||--|-----------|
etot es lesterre sg aangna bles//si com e	|---⌫-|--|-----⌫|-⌫------⌫---|||-|---⌫|
lauoye de lamai s on Fo uquesde Cragonoù enmenne	-|---|-|-|---⌫-⌫-|--⌫----|-|-----|--|------|
uers lopeyrede	---|-|----|-|
Chaopesenuersue rin ese	------|-----|--⌫---⌫-||
enuer sPozeos/ /ensembleemento	-----⌫|-----|||------------||
une piecedeterre quisetien tau	--|----|-|----|--|-|----⌫|-|
préSymonRippe e lopréSymonRippee	---|----|----||-|---|----|----||
lo pre ́ Boy ssere e lopréaus Trotoinselo	-|---⌫|---⌫----||-|---|--|-------||-|
pré B aronea	---|-⌫-----|
si c ome lep r é àla damedoBo ys où	-|-⌫--|-|-⌫-⌫-|-|-|---|-|--⌫-|--|
enleuetesetientaupré Iodoin	-|----||-|----|-|---|-----|
de FontI of frey uale ite	-|---|-⌫--⌫---|----⌫-||
lopréde ChampPinço n //elesuignes	-|---|-|----|------⌫||||--|-----|
do puysdeuersMo rnaielesuignes	-|---|-----|--⌫---||--|-----|
d oclodeRignéeles	-⌫|--|-|-----||--|
uignes doCoulBeneet	-----|-|---|-----|
sicom eliuignausThomasRaymont ou ̀enmenn etenuersuerin es	-|---⌫|-|------|-----|------|--⌫|------⌫-|-----|-----⌫-|
//el es uignes de la F ordine	|||-⌫-|-----|-|-|-⌫-----|
m olin do uent qui est assis à	-⌫---|-|---|--|--|----|-|
la Roc hedeBillé/ /etreis mines	-|---⌫-|-|-----||||----|----|
defromente d us	-|------||-⌫-|
chapons derente quisont	------|-|----|--|---|
à C ragon lesquaus	-|-⌫----|--|----|
deyuen t liRauart//e	------⌫|-|-----||||
unsex tierdefrome nte	-|---⌫---|-|-----⌫-||
duschapons derentequela	--|------|-|----|--|-|
Poligné doi te uneminedefromente	-------|---⌫||--|---|-|------||
undene r dere nte quePierr eGorredo it /	-|----⌫|-|--⌫--|--|-----⌫|----|--⌫-||
/ eunprouend er de froment	||-|-------⌫-|-|------|
eunegellineque Robertdeu erza lla i	|--|------|--|-----|-|-⌫----⌫---⌫|
doi t / / eunprouender def ro ment e u n	---⌫||||-|--------|-|-⌫--⌫---||-⌫|
c haponderenteq ueNicho la slo	-⌫----|-|----|-⌫-|-----⌫--⌫|-|
Pet it doit / /eunemin edea uenn ee	---⌫-|---||||--|---⌫|-|-⌫----⌫||
d erenteq ueGuillameGarnerde	-⌫|----|-⌫-|-------|-----|-|
Poiz doit//e tote sleschose squi	---|---||||----⌫|--|-----⌫|--|
apartene ntaus lousdesus	--------⌫-|--|---|----|
d izpar qua ucumquenomqueelles	-⌫-|--|---⌫------|--|--|----|
so ien tappellleesencensen	--⌫---⌫|---------|-|---|-|
censes en moesonsenchapo nsengell i nes en rentes	-----|-|------|-|-----⌫-|-|----⌫-⌫--|-|-----|
e enau tre scho ses aparten anz a us	|-|--⌫---⌫|---⌫--|-------⌫--|-⌫-|
lo usdes usdiz /	--⌫-|---⌫-|--||
/et ot ela dreituree	||-⌫--⌫|-|-------||
t otela proprie té	-⌫--|-|-------⌫--|
etote la segnorie	|---|-|-------|
etotela possession qui estou puit estree n	|---|-|---------|--|--|-|---|----|-⌫|
tot esle s chosesdes usditesàauer	---⌫-|--⌫|-----|---⌫-|----|-|---|
totesles cho ses d es usdi tesàmes toziorz dura blement	----|--|---⌫--|-⌫--⌫-|--⌫--|-|--|--|---|----⌫------|
//au di t Pierrede	||-|--⌫|-----|-|
Bi lléeaussie nsp arra isond epartie	--⌫---||--|---⌫-|-⌫-|--⌫---|-⌫|-----|
sansc euque le dit	---|-⌫-|--|-|--|
T hebautne	-⌫-----|-|
p uissentmesriens	-⌫------|--|----|
demanderparrai son departie ou parauqune	-------|--|---⌫--|-|-----|-|--|-----|
autreraison si n	----|-----|-||
estoitpar rais on desuccess ion	-----|--|----⌫-|-|-------⌫--|
auenabl e.	-------⌫||
//Etotesl esautreschoses	|||----|-⌫-|-----|-----|
quisont en	--|---|-|
la ditechatellenie de	-|---|----------|-|
