#META#TextURIYuain	-----|------|----|
#META#DEA F	-----|---⌫|
#META#F EW	-----|-⌫-|
#META #ARLIMAhttp s//www.arlima.net/ad/chreti en_de_troyes.htm l# li o	-----⌫|-----|----⌫---------------------------⌫----------------⌫--⌫--⌫|
#MET A#AuthorChrétien deTr oye s	----⌫-|-----|--------|-|--⌫---⌫|
#M ETA # AuthorBorn	--⌫---⌫|---------|
#META#AuthorBornAmb	-----|------------|
#META#Auth orDied	-----|----⌫-----|
# META #AuthorDiedAmb	-⌫----⌫|------------|
#META #Aut horFl1	-----⌫|---⌫-----|
#M ETA# A utho rFl2	--⌫---|-⌫----⌫---|
# META# Te xtTitleYuain	-⌫----|--⌫------|----|
#ME TA#TextSubtitleLe Cheualier	---⌫--|-----------|-|--------|
#META# Textuol s	-----|-------⌫|
#META#TextS ubi romance	-----|-----⌫--|------|
#META#Tex tDo mlit	-----|---⌫---⌫|--|
# META#Translationfalse	-⌫----|----------|----|
#META#Collection	-----|---------|
#META#C oll ectionNo	-----|-⌫---⌫-------|
#META#TextDescARLu ersoctosyllabiquesàrimes	-----|----------|-⌫--|--------------|-|----|
#META#TextDesc uers8	-----|--------⌫---||
# META# TextDateARL 1178-1181	-⌫----|----------|--------|
#META # TextDateAdi	-----⌫|----------|
#META# Text D ateMin1178	-----|----⌫-⌫-----|---|
#ME TA#TextDateMax1181	---⌫--|----------|---|
# META# EdE dit or	-⌫----|---⌫---⌫-|
#M ETA# EdPl ace	--⌫---|----⌫--|
#META # EdPublisher	-----⌫|----------|
#META#Eduol	-----|----|
#META#EdYear	-----|-----|
#ME TA# EdPages	---⌫--|------|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
# META# MsN um	-⌫----|---⌫-|
#M ETA#MsDateARL	--⌫---|--------|
# META #MsDateAd i	-⌫----⌫|--------⌫|
#META # Form	-----⌫|---|
#META#Complete	-----|-------|
#M ETA#N oWord s	--⌫---|-⌫-----⌫|
#META#N oLin es	-----|-⌫----⌫-|
#META#Dial Auth	-----|----⌫---|
#META#Dial Scribe	-----|----⌫-----|
#META#Scan URL https //fr.wikisource.org/wiki/Yuain_ou_le_Cheualie r_a u_Lion	-----|----⌫--|-----⌫---------------------------------------------⌫---⌫-----|
#META#ScanURI Oth er	-----|-------⌫---⌫-|
# META# Ark ID	-⌫----|---⌫-|
#META#L cc nID	-----|-⌫--⌫--|
#META#Oclc ID	-----|----⌫-|
#META#WebAuthor	-----|--------|
#META#O RCIDWe bAutho r	-----|-⌫------⌫------⌫|
#META#WebReuiewer	-----|----------|
#META#ORC IDRe uiewer	-----|---⌫----⌫-----|
#META#Mis cInfo	-----|---⌫----|
unknownedi tion	------|---⌫---|
Et lis olaus deseur la	-|-|-⌫----|-----|-|
Etdechascunetdech ascune	-|-|------|-|-|--⌫-----|
cu ersquetuituaur roient	--⌫--|--|---|----⌫-----|
Po u rlap roeche	--⌫-⌫|-|-⌫-----|
quenli uo ie nt	-|-|-|--⌫--⌫-|
Que ileüst l adame	--|-|----|-⌫|---|
Sifustla tereensadeui se.	-|---|-|---|-|-|----⌫--|
ettoutesprisoient	-|-----|--------|
Cheluidont	-----|---|
u eritédisoient	-⌫-----|-------|
Car chixdelaa	--|---|-|-||
e n fuientque ains	-⌫|-----|--|---|
Maisilles c achemout d e pres	---|-|--|-⌫---|---|-⌫|---|
c on pagnonapr és	-⌫--⌫-----|---⌫--|
Quelesluisonttoutaseür	--|--|--|---|---||----|
C onsifussentenclos de	-⌫-|||------|-----|-|
Hautetespésde	---|-|-----|-|
pierre dure.	-----|----|
Lachassemoutlo nguementd ur e	-|-----|---|--⌫-------|-⌫--⌫|
Tant que ch ix	---|--|--⌫-|
quifu ient	--|--⌫---|
ataign ent	------⌫--|
Etc hilqui	-|-⌫--|--|
chassent lesmehaign ent	-------|--|-------⌫--|
Etleurscheuaxloresb oue lent.	-|----|-----|--|---⌫---⌫----|
Liuns par seur	-|--|--|---|
lesmursr oelent	--|---|-⌫-----|
Qui sentrafol entetochïent	--||--------⌫--|-|-------|
Laide ments	-----⌫---||
entr e con tralïe nt.	----⌫-⌫---⌫-------⌫--|
Et li cuenst ou tadéssenfu it	-|-|----|-⌫--⌫|----||-|--⌫-|
Maismesire Yuains	---|-----|-----|
l econduit	-⌫|------|
Quideluisi	--|-|--|-|
greuers efaint	-----|-⌫|----|
T an t lahac hé	-⌫--⌫|||---⌫--|
Au piéd une hautemontee	-|---||--|----|-----|
Et chee stmoutpresdel e ntre e	-|--|-⌫-|---|---|-||-⌫----⌫|
D unfort rechetqui	|-|---|-----|--|
e stoitsiens.	-⌫----|-----|
Etlafu re tenu li	-|-|-|--⌫---|-|
troplonguement plaidier	---|---------|-------|
L eprinstlahorsmesire Yuains	-⌫|-----|-|---|-----|-----|
Quede squeille	--|--⌫|--|-|-|
t int as m ain s	-⌫--|-|-⌫---⌫|
furents e ulpera	-----|-⌫-⌫-|--||
Il niotnientd e	-|||-|----|-⌫|
le schaper	|-⌫------|
gue nchirn e dudeffendre	---⌫----|-⌫|-|--------|
A ins lipleuiquil	-⌫--|-|----|-|-|
s iroitrendre	|----|-----|
de N or oiso n	-|-⌫--⌫----⌫|
Si se metroitensa prison	-|-|------|-|-|-----|
Siferoitpais a sa	-|-----|---||-|
enotla fo y prinze	-|-|-|--⌫|-----|
S ili fait	-⌫|-|---|
sonchiefdesarmer	--|----|-------|
Etl escude soncol o st er	-||---|-|--|--|-⌫--⌫-|
Etlesp ee li	-||---⌫-|-|
C hestehonnorli est auenue	-⌫----|-----|-|--|-----|
Quilenm aineleconte pris	-|-|-|-⌫---|-|----|---|
S il e rentasesanem is	-⌫|-⌫|---||--|----⌫-|
fontpas ioiepetite.	---|--|---|------|
Maisainsfu	---|---|-|
la nouuele	-|------|
Au chastel ainsquilyuenissen t	-|------|---|-|-||--------⌫|
En co ntreeuxtuit et toutes issent	--⌫--⌫---|--|---|-|-----|-----|
Etledame deuan t	-|-|---|-----⌫|
tousu ient.	---|-⌫----|
Mesir e Yu ains parlamaintient	-----⌫|--⌫---|--|-|---|----|
Sonpr isonni er si lipresente.	--|--⌫------⌫-|-|-|--------|
S auole ntéetsac reanche*	-⌫|----⌫---|-|-|-⌫-------|
Fistdontlicuensetson	---|---|-|----|-|--|
etpar s eremant	-|--|-⌫------|
Etparpleg eslenfistseüre	-|--|----⌫-||-|---|-----|
Plegeslidonna	-----|-|----|
etli liure*	-|-|-----|
Que t ousiours	--|-⌫-------|
mais pa islitenra	---|--⌫-|-|----|
Etsa perte l ires torr a	-|-|----|-⌫|---⌫----⌫|
Tantqueleen	---|-|--|-|
mouster raparp rueu es	-------⌫-|--|-⌫----⌫-|
Etreferas es m aisonsnueues	-|-----|-⌫-|-⌫-----|-----|
Q ueilauoitpar tere	-⌫-|-|----|--|---|
Qu ant chesch osesfurentassises	--⌫--|---|--⌫---|-----|------|
Ains iconaladamesist	----⌫|--||-|---|---|
MesireYuainscongiéli quist	-----|-----|------|-|----|
Eteleneli donnastm ie	-|--|-|-|------|-⌫-|
fenmeouaa mie	----|-||-⌫--|
pr end re etnoc hoier.	--⌫---⌫-|-|---⌫-----|
Mes ire Yuains n isconuoier	---⌫--|-----|-⌫-|-------|
uautillaissier .i.pas	---|-|-------|--|--|
Ai nss en part iisnell e pas	--⌫-||-|----⌫|----|-⌫|--|
Si se mi sta	-|-|--⌫-||
Conquesneliual utproiere	|-----|-|-|---⌫-|------|
E t laissamout ledame irie	-⌫|-----|---|-|---|---|
Que ilau oitmoutfaitelie.	--|-|--⌫--|---|----|---|
E t con plus lie lauoitfaite	-⌫|--|---|--||----|----|
Pluslipoiseetpluslidehaite	---|-|----|-|---|-|------|
Quantil ne ueutplusdemou rer	----|-|-|---|---|-----⌫--|
Or leuausistelehonerer	-|-|------|--|------|
feïst sili pleüst	-----|||-|------|
Seigneurdequ an ques elee üst	-------|-|--⌫--⌫---|--|-⌫---|
Ou ele li eüstdo n nee s	-|--|-|----|--⌫-⌫---⌫|
Poursonse ruichegrans s audees	---|--|--⌫-----|----|-⌫-----|
con illesua usist prendre.	--|-|--|--⌫----|-------|
Maisilneuaut onquesa tendre	---|-|-|---|-----|-⌫-----|
Parol e donme	-----⌫||---|
n edefenme	-⌫|-|----|
D esche ualiers etdeladame	-⌫-|---⌫------|-|-|-|---|
Sest pa rt isoutre	|--|--⌫--⌫-|----|
leurdespoi s	---|------⌫|
C arplus retenirne l o rlois*.	-⌫-|---|------|-|-⌫-⌫|-----|
M esi reYua ins	-⌫---⌫-|---⌫--|
pensis chemine	-----|------|
ilu intenune gaudine	-|-⌫--|-|--|------|
Etl oroÿenmil eg aut	-|-⌫-|--|---|-⌫|-⌫--|
U ncrimou tdole reus e thaut.	-⌫|--|---⌫|----⌫---|-⌫|----|
Si ses drechaleusuerslecr i	-||--⌫-----|---|---|-|--⌫|
Chelepa rtouill o toÿ	----|--⌫-|-|-||-⌫|--|
Etquantilparuintchelepart	-|----|-|------|----|---|
uit . i.lion e n.i.es sa rt	--|-⌫-|---|-⌫|--|--⌫--⌫-|
Et.i.serpent	-|--|------|
quile tenoit	--|-|-----|
Par le keu esi	--|-|---⌫|-|
Touteslesrai ns deflambe	-----|--|---⌫-|-|-----|
Nala miemou tregardant	|--|--|---⌫|--------|
M esireYuainsch elemerueil le	-⌫----|-----|--⌫--|-------⌫-|
meïsmesse conseille	-------|-|--------|
Auqueldesdeuz	-----|--|---|
Lordist c au	--|---||-|
lyonaidera	---|-----|
Quaenuiousetafelon	-||------|-||----|
Ne doit on faires e	-|---|-|----|-⌫|
E t li serpensestenuious	-⌫|-|------|--|------|
Silisau tparl ago ulefus	-|-|---⌫|--|-⌫|--⌫--|--|
Tantes tdefelonnie plain s.	---|--⌫|-|-------|-----⌫-|
Che s e p ense mesireYuai ns	--|-⌫|-⌫---|-----|----⌫-|
Qu ill och irrapremi erement	-|-||---⌫---|-----⌫------|
traitetuien tauant	----|-|----⌫|----|
E tmetlescudeuantsefaiche	-⌫|--||---|-----|-|-----|
Quelaflambemalne	--|-|-----|--|-|
Queilgetoit parmi	--|-|-----|----|
Quiplusestoit leed unole.	--|---|-----|--||-|---|
Che li* lions	---⌫--|----|
apré sl assaut	-----⌫||-----|
Dela batail lenelifaut	-|-|------⌫-|-|-|---|
M aisquoi quil en auiengne	-⌫--|---|-|-|-|-------|
Aidier liuaurrailadés	-----|-|-----|-|----|
Quepite ́slen semont etprie	--|----⌫-||-|-----|-|---|
Quil fai chesec oursetaÿ e	-|-|---⌫--|---⌫---|-|---⌫|
Ala bestegentiletfranche.	|-|----|-----|-|-------|
Alesp eefou rbie et blanche	||---⌫-|---⌫---|-|------|
f elonserpentr e querre	-⌫---|------|-⌫-⌫-----|
trencheiusques en	------|------|-|
Etles.ii.moitie zretronchonne	-|--|---|------⌫|-----------|
Fie rt etre fi ertet tant l	---⌫-|-|--⌫--⌫--|-|---||
Que toutlam en useet	--|---||--⌫--⌫--|-|
dep iec he.	---⌫---⌫--|
Maisd elekeueune	---|-⌫|-|---|--|
Licouuinttrenchier	-|------|--------|
Pourlatestea u	---|-|----|-⌫|
se rp en tfelon	--⌫--⌫--⌫|----|
Quieng oulee li	--|---⌫----|-|
Lentrenchaconqu es mainsnenpoit.	|-|------||----⌫-|----||-|----|
Qu antleleondeliuréeut	--⌫--|-|---|-------|--|
Cui daqualilicouu enist	---⌫-|-||-|-|----⌫----|
Combatreetquesus li ueni st	-------|-|--|--|-|----⌫-|
Mais i lnelepens aonques.	---|-⌫|-|-|----⌫|------|
Oyésquefistli leonsdonqu es	----|--|---|-|----|-----⌫-|
I l fistquefranse tdeboin aire	-⌫|---|--|----|-⌫|------⌫---|
Que illiconmencha af aire	--|-|-|--------||-⌫---|
Samblantquea lui ser endroit	-------|--||--|-|-⌫------|
piésioins liestend oit	----|----|-|------⌫--|
P uisseuauers	-⌫--|-|-|---|
terefichier	---|------|
Si s estuet seur	-||-----|---|
.ii. piésderrier	---|----|------|
Et pu is si se r agenoulloit	-|--⌫-|-|-|-⌫----------|
E t t oute	-⌫|-⌫---|
sefaiche m oulloit	-|-----|-⌫------|
De l ermesparhumilité.	-|-⌫----|--|---------|
MesireYuain sp a r	-----|-----⌫|-⌫-⌫|
Setquelileonsl	--|--|-|----||
en merchie	-|------|
Etq uedeuantlui sum i lie	-|-⌫-|-----|--||--⌫-⌫--|
Pourleserpent qu ilauoitm ort	---|-|------|-|-|----|-⌫--|
Et lui deliure delamor t	-|--|------|-|-|---⌫|
p laistmoutchesteau enture.	-⌫----|---|-----|--⌫------|
Pou rleueninetpo urlordure	---⌫|-|----|-|--⌫-||-----|
Duserpen t essue sespe e	-|------⌫|----||----⌫|
fuerrereboutee	-----|-------|
Pu iss erem et ila lauoie.	--⌫-|-⌫|---⌫-|-||-|----|
Etli leon sle sluicostoie	-|-|----⌫|--⌫|--|------|
Queianmaisnes	--|------|-||
enpartir a	-|------⌫|
Tou si ors maisauec li	---⌫--⌫--|---|---|-|
Qu e seruiretgarderleueu t.	--⌫|-----|-|-----|-|---⌫-|
lauoiesaqueut	-|---||-----|
Tant quil sentidesousleuent	---|-|-|----|-----|-|---|
Si conmei lsenalo itdeuan t	-|----|-⌫||-|---⌫-|-----⌫|
Bestes sauuagesen	-----|-------|-|
Siles emonst fai nset nature	-|-|-⌫-----|---⌫-|-|-----|
Daler emp roieet dec achi er	|---|-|-⌫---|-|-|-⌫----⌫-|
Poursa uit aille pourcachier	---|-|---⌫----|----------|
Che ueu t natureq uile fai che.	--|---⌫|-----|-⌫||-|---⌫---|
Unpeti t s estmis enla	-|----⌫||--|--|-|-|
a son s eign eur	|--|-⌫----⌫--|
amoust ré	|-----⌫--|
Quilasentiet encontr é	-|-||----|-|-------⌫-|
u ent etflair	-⌫--|-|----|
d e sauuagebeste.	-⌫|------|-----|
Lors le regard esi sarest e	---|-|------⌫|-||-----⌫|
Caril le ueu tseruira gré	--|-|-|---⌫|-----||---|
Que encontresa	--|-------|-|
Ne uaurroitalern ulepart.	-|-------|---|-⌫--|----|
Etchilaperchoit s onesgart	-|---|--------|-⌫-|-----|
Quil limou strequeila tent	-|-|-|---⌫---|--|-|-⌫---|
Bien lap rechoitet b ienlentent	---||--⌫------|-|-⌫--||-----|
Ques ilremaint ilremanrra	--||-|------|-|-------|
Lauenis onquilasentie .	-|-----⌫-|-|-||------⌫|
Lo rslese mo n t e t silescrie	--⌫-|-|--⌫--⌫-⌫|-⌫|-||-----|
Aussiconme .i. br achetfeï st	----|----|--|--⌫----|----⌫-|
Etlileonsma in tena ntmist	-|-|----|--⌫--⌫----⌫-|---|
Lenesauuent	-|--|-|---|
q uil ots e nti	-⌫|-|-|-⌫-⌫--|
Nen e liotderie ns menti	-|-⌫|-|-|-|---⌫-|----|
otpasunearchi ealee	-|--|--|-----⌫|---|
Qu a ntil uitenuneualee	--⌫-⌫-|-|--|-|--|----|
T outseulpastu rantunc heuroil.	-⌫--|---|-----⌫---|-|-⌫-------|
9 1a .34 40	-⌫--⌫---⌫-|
Chest ui aurai l aso n uoil	-----⌫-|---|-⌫||--⌫|---|
E tilsio t	-⌫|-|-|-⌫|
a u prem i e r saut	-⌫|----⌫-⌫-⌫|---|
Puissien boit le s ancto utcha ut.	---|-|-|---|-|-⌫--|--⌫-|---⌫--|
Quantochi s	----|----⌫|
l eut sile ge ta	|--|-|-|--⌫-|
Seursondossilenemporta	---|--|--|-||-|------|
Tantque deuantson seigneur	---|--|-----|--|-------|
Qui pu ise ngrant	--|--⌫-|-⌫|----|
chie r t életint	----⌫-⌫-⌫-|-|---|
Pourla grantamorqu enli ot.	---|-|----|---|-|-|-|--|
Iaf upresde nuitsi li plot	-|-⌫|---|-|---|-|-|---|
Que ileu c se herbege ro it	--|----⌫|-|-------⌫--⌫-|
Etducheur oile scorcheroit	-|-|-----⌫--|-⌫----------|
Tantco n me il	---|--⌫-⌫-|-|
enu aurroitmengier.	-|-⌫------|-------|
Lor sle conmencheaescorchier	---⌫|-|--------||---------|
lifentdeseu rlacoste	-|---|-----⌫|-|----|
Delelongne . i. la rdel	-|-|-----|-⌫-|--⌫---|
Ettrait lefud uncharb o nuis	-|----|-|-||-|-----⌫-⌫|--|
Sa delesec he buschepris	||-|-|---⌫-|-----|---|
Si ros ti tantquetousfuc uis	-|---⌫-|---|--|---|-|-⌫--|
Mais du me ngierfun us deduis	---|-|--⌫----|-|-⌫-|-----|
Que il niot n e painne	--|-|||-|-⌫|---|-|
N enape ne coutelneel .	-⌫|---|-|-----|-|--⌫|
Qua nt quilmenia deuant lu i u it	---⌫--⌫-|-|----|-----|--⌫|-⌫-|
Sen lion onquesnesen muit	--|---|-----|-||-|---|
tout adésregardé	---|----|-------|
Tantqu il ot pri stant	---|-|-|-|---⌫|---|
Ett an t meng iéqu ilnen pot	-|-⌫--⌫|----⌫--|-|-||-|--|
Ducheuroil tr estoutle sousplus	-|-------|--⌫-----|-|-------|
Mengalileonsiusquesados.	----|-|----|------|-|--|
Etil tintso nchiefarepos	-|-|---|--⌫|----||----|
Toutelanuitsor	----|-|---|--|
Atelrepo sconmeche	|--|----⌫|----|--|
9 1b.34 7 3	-⌫-----⌫-⌫|
Etli leonsottantdes ens	-|-|----|-|---|-|-⌫--|
uei l laetf uen espens	---⌫-⌫-|-|-⌫|-|-----|
Du c heual garderqu ipaissoit	-|-⌫----|-----|--⌫|-------|
L erbe qui	|---|--|
petit l e ncrassoit .	----||-⌫---------⌫|
Aumat insenreuont ensamble	-|---⌫-||-|-----|-------|
Eta ut eluiechemesamble	-|-⌫--⌫-|--|--|-|-----|
Menere nttoute	------⌫-|----|
le q uinz aine	-|-⌫----⌫---|
Tantcauenture ale	---||-------||-|
Deseur lepinles	-----|-|--|--|
poine se fors ena	--|-|-|----⌫--|
M esire Yuainsautref eïe	-⌫----|-----|----|-⌫---|
Q uant le fontaineotaprochie	-⌫---|-|-------|-|-------|
Etleperron et lechapele.	-|-|-----|-|-|-------|
Mil foisl aset do lent seclaime	--|---|-⌫-|-|--⌫---|-|-----|
E tchietpa smés	-⌫|----|--⌫----|
tantfudolans .	---|-|------⌫|
Ets espee quif u c oulans	-||----|--|-⌫|-⌫-----|
Chietdufuerresiliap ointe	----|-|-----|-|-|--⌫----|
duhauberc la	-|------|-|
Endroitl ecolpres	------|-⌫|--|---|
N iama illequ ilne desclo e	|||--⌫---|-|-|-|------⌫|
Etlespe e du col li tr enche	-||----⌫|-|--|-|--⌫----|
Le char de souslemaille bla nche	-|---|--⌫---|-|-----|---⌫---|
Tant quilenfist	---|-|-|-|---|
dusanccheoir.	-|---|------|
Lileonscuidamortueoir	-|----|----|---|----|
Senboinami etsonseigneur	--|---|--|-|--|-------|
Ainsderien s nuleduel	---|-|----⌫|---|---|
gregn eu r	-----⌫--⌫|
N oïstes conterne	|------|-----|-|
re tr ai re	--⌫--⌫--⌫-|
e nconmench a	-⌫|--------⌫|
deto rt et grateetcrie	----⌫-|-|----|-|---|
atalant queilsochie	|-----|--|-||----|
Delespee don test	-||----|---⌫|--|
Qui as o nboin sei gne urochi s.	--||-⌫-⌫|---|---⌫---⌫-|----⌫-|
Ases de ns lespeeli oste	|--|--⌫-||----|-|---|
Etsorun fust ie santsaco ste	-|--|-|---|--⌫---||---⌫--|
Etpuisderrier	-|---|------|
.i. fus tl apuie	--|---⌫||----|
Queleneg uenchisse	-|--|-|-⌫--------|
Quant il yhurterad upis.	----|-||------|-⌫|---|
Ia fust s esuolo ir s	-|---|-⌫-|----⌫--⌫|
Qua ntchil de pamisonsreuint	---⌫-|---|-|-------|-----|
Etli leons siseretint	-|-|----|-|-|-----|
Quia lam orttoutachesme ́ s	--||-|-⌫--|---|-------⌫-⌫|
Couroit conmeto us f or sen és	------|----|--⌫-|-⌫--⌫---⌫--|
pr entgarde	--⌫--|----|
Mesi reYuains en t el ma nier e	----⌫-|-----|-|-⌫-|--⌫----⌫|
De costele perr o n se pasme.	--⌫----|-|----⌫-⌫|-|-----|
Au reuenirmoutfort	-|------|---|---|
se bl asme	-|--⌫---|
Delanquetre spasséauoit	-||-|--|---⌫------|----|
Pour quoisa damelehaoit	---|---|-|---|-|----|
Et dit Que f aitquilnesetue	-|--|--|-⌫--|-|-|-|-|--|
Cheliquiioies	----|--|---||
ielas quinemo chis	-|--|--|-||-⌫---|
Conmentpuisiedemou rerchi	------|---|-|-----⌫--|--|
Et ueoir leschoses	-|----|--|-----|
Enmoncorspourquoiarrest el ame	-|--|---|---|---|------⌫||--|
Que fa itameensi dolens cor s	--|--⌫-|--|-|-|-----|---⌫|
S ele seniert issue	|--||-|---|----|
Neseroitpas	-|-----|--|
Etmoutblasme ret	-|---|------⌫|-|
moutdespire	---|------|
Medoitu oir	-|---|-⌫--|
moutetieli fas.	---|-|-|-|---|
la ioie etlesoulas	-|---|-|-|-----|
Par so nmeffaitetpar	--|--⌫|------|-|--|
s on to rt	-⌫-|--⌫-|
Moutsedoit	---|-|---|
bien haïrdemort.	---|----|-|----|
oc hi rresedoit	--⌫--⌫--|-|---|
Etdontpui s quenulzne	-|---|---⌫|--|---|-|
Pour quoime spren gquene me tu	---|---||-⌫-----⌫|--|-|-|-|
Dontna i iechestleon u eü	---||-⌫|-|----|---|-⌫--|
Qui p ourmoias ig rant duelf ait	--|-⌫--|--||-⌫|-⌫---|---|-⌫--|
ueutm espe een tr esait	---||----⌫|--⌫--⌫----|
Parm ile pis elcorsbo u t er	----⌫|-|--|-|---|--⌫-⌫-⌫-|
le mort refuser	-|---|------|
Quiaiioieaduel changi e	--|-|---||---|------⌫|
Demois est	-|--||--|
laioiees trangie.	-|---|--⌫-------|
Ma is orendroit n	--⌫-|--------||
endiraiplus	-|----|---|
Que che ne porroitd ire	--|--|-|------|-⌫--|
Saidemandeegrant o iseu se.	|-|-------|----|-⌫----⌫--|
Deio iefu la p lusi oi euse	-|--⌫-|-|-|-⌫--|-⌫--⌫---|
Chelequim iert	----|--||---|
as seüre e	--⌫------⌫|
Ma is moutmotpet ite duree.	--⌫-|---||-|---⌫--|-----|
chepert parsonme ffai t	--|---|--|--|--⌫----⌫|
Nestdroisque	|--|----|--|
boi neauentureait.	---⌫-|-------|---|
Q uoique ilainsisedemen te	-⌫-----|-|----|-|-----⌫-|
Unechaitiueune	--|-------|--|
Estoitenla	-----|-|-|
chap eleencl ose	----⌫--|----⌫--|
Etuitet oÿc hestechose	-|--|-|--|-⌫----|----|
m urqu iestoit creués.	-⌫-|--⌫|-----|-------|
Maintenantquil fure leués	---------|-|-|-|--⌫-----|
Depamisonssil apela	-|-------|-||----|
Dixfa it el e	--|--⌫-|--⌫|
Qu ies tq uisede men te si	--⌫|--⌫|-⌫-|-|--⌫---⌫-|-|
Etil lirespontEt uou squi	-|-|-|------|-|---⌫|--|
-Iesuifaitele unec hait iue	|-|--|---|--|--|-⌫----⌫--|
dolenterien s	------|----⌫|
Et ilres pont Tais foleriens	-|-|---⌫---|---|---|----|
T esdeuxest ioie tes mauxbiens	-⌫-|---|--|---|--|---|----|
Quiagrantioie tefaituiure.	--||----|---|-|---|-----|
P lus sedesuoiee t plus	-⌫--|-|------|-⌫|---|
Deuxquantilla qu a. i.autreho nme	---|----|-|||-||-⌫-|----|--⌫--|
Unzfeble shomportelason me	--|-----⌫|--|----|-|---⌫-|
Par usetparacous tuman che	--|-|-|--|-----⌫-----⌫--|
Q ueautresdegregnour poi ssanche	-⌫-|-----|-|-------|---⌫------|
N eporteroitpournule	-⌫|--------|---|---|
- Parfo ifaiteleies aibi en	|--|--⌫|---|--|-|-⌫-|--⌫-|
Quechestparole	--|-|--|-----|
to ut e uoire	--⌫--⌫|----|
Maispou rchene faitarme a croire	---|---⌫|--|-|---|---||-----|
Que uousaiés plus mal de	--|---|----|---|--|-|
Etpourchemienele	-|---|--|--|-|-|
Quil mestauis que	-|-||--|---|--|
partque uou suolés	---|--|---⌫|-----|
Etie suiore em pris onnee	-|-|--|--|--⌫----⌫----|
Si mestte lesais on	-||--|--⌫-|----⌫-|
serai chaiensprinse	----|------|-----|
Et liuree amorteliuise.	-|-----||-----|-----|
-H aDixfaitil	|-⌫|--|---|-|
cheualiers iaDix	---------|-|--|
Delame demoncor s	-||--|-|--|---⌫|
Seie laimie	-|-||-|--|
Etnepo urquan tieu o us d i rai	-|----⌫------⌫|-|-⌫-⌫-|-⌫-⌫--|
Leuoirqueia	-|---|--|-|
nen me nti ra i	|-|--⌫---⌫--⌫|
P ourquoiie suichiemp rison	-⌫--|---|-|--|--|-|-⌫----|
Onm a peledetray ̈son	-||-⌫---|-|----⌫---|
Seienetruisqu imen	-|-|-|----|--⌫||-|
Qued emainonnemardeou pende.	--|-⌫----|-|-||---|-|-----|
- O rprimesfaitilpuisi edire	|-⌫|-----|---|-|---|-⌫|---|
deulz et la moieire	----|-|-|---|--|
Aleuo st re	|-|--⌫--⌫-|
doleurpassee	-----|-----|
Questreporr ie ́s	-|----|----⌫--⌫-|
Parquiquesoitdechestperil.	--|--|--|---|-|----|-----|
Dontnep orroit ch e estreOïl	---|-|-⌫-----|--⌫|----|---|
M aisienesai	-⌫--|-|-|--|
encorpar cui	----|--|--|
m o nde que dui	-⌫-⌫--|--|--|
Quisenosast pourmoi de ffendre	--||-|----|---|--|--⌫------|
Bata i llea.i ii .cheualiersprendre.	----⌫-⌫--||--⌫--⌫|---------|-------|
- Conm entfaitilsontil donttroy	|----⌫--|---|-|---|-|---|---|
-Oi ̈lsire enlamoie f oi	|--⌫-|---|-|-|---|-⌫-|
T ro is ont	-⌫--⌫|-⌫--|
quitraïtre me claiment.	--|-------|-|--------|
- Etqui sont	|-|--|---|
c h ilquitant uousayment	-⌫-⌫-|--|---|---|-----|
D on tliunstanthardisseroit	-⌫--⌫|-|--|---|-----|-----|
Quatrois ar messeconbatroit	-||----|--⌫--|-|---------|
Pouruoussa uue retga randir	---|---|--⌫---⌫|-|--⌫-----|
diraisansmentir	----|---|-----|
Liunsestmesire	-|--|--|-----|
EtliautresmesireYuains	-|-|-----|-----|-----|
Pour cuid emainsera ia tort	---|--|-⌫----|----⌫||---|
Liureeamartire etam ort.	-----||------|-||-⌫---|
-Pourquifait ... *. Quauésuo usd i t	|---|--|---|---⌫-|-|----|--⌫-|-⌫-⌫|
- S ire fait eleseDixm aït	|-⌫--|---|--|-|--||---|
Pou r lefil	---⌫|-|--|
l e royUrien.	-⌫|--|-----|
-Or uousaientend uebien	|-|---|-|------⌫-|---|
Neuousn i morr e ́sia sans	-|---|||----⌫-⌫-|-|---|
Ieme ïsm es	-|--⌫----⌫-|
chil Yuai nssui	---|----⌫-|--|
Pour qui uou se stes	---|--|---⌫|-⌫---|
en effro i	-|-----⌫|
Etuousestes	-|---|----|
chele ie cro i	----|-|---⌫|
Qui enl asale	--|-|-⌫|---|
megard astes	-|----⌫----|
mesa uuast es	-|--⌫-----⌫-|
E ntreles deuz portes coulans	-⌫---|--|---|-----|------|
Lauiefuipensiset dolans	-||-|--|-----|-|-----|
Etangouss eus	-|-------⌫--|
etent repris	-|---⌫-----|
Morsy eüsseestéou	---||-----|----|-|
Senefustuo streboine aÿe.	-|-|---|--⌫---|----|----|
O r me dite sma	-⌫|-|----⌫|-|
doucheamie	-----|---|
Quisontc h ilq ui de traïs on	--|---|-⌫-⌫-|-⌫-|-|------⌫-|
uousa pelent	---|-⌫-----|
et enpris on	-|-|----⌫-|
u ous ontmis een che str eclus .	-⌫--|--|---⌫|-|---⌫-|-⌫-----⌫|
-Sire neuouschel era iplus	|---|-|---|----⌫---⌫|---|
Pu i squ iluous	--⌫-⌫|-|-|---|
plaistque ieuo us di e .	-----|--|-|--⌫-|--⌫-⌫|
uoirs estqueiene	----|--|--|-|-|
mefainsmie	-|----|--|
De uousaidieraboine	-|---|-----||----|
