pourlamitiede	---||-----|-|
et licinquante tretuitnu	-|-|--------|------|-|
les mainsliees	--|----|----|
lesonte nmilefeusachie z	--|--|-⌫--|-|--|------⌫|
cilcrioientah auteuoiz	--|-------||-⌫---|---|
ihesu reclaime etsa cr oi z	----|-------|-|-|--⌫--⌫|
illeucontle	-----|--|-|
tormentsou fert	------|---⌫---|
parcoiilontadieu	--|--|-|--||---|
lesacri ficede	-|-----⌫---|-|
ucielen est li gran ttresors	|---|-|--|-|----⌫|------|
lagrantricheice	-|----|-------|
lagrant ioie	-|----|---|
cheminladroiteuoie	-----|-|-----|---|
a damedieu	|-------|
qui lesrecutparsabonte	--|--|----|--|-|----|
etlesmist ensonpa rad is	-|--|---|-|--|--⌫---⌫-|
mortsoufriren tc em es tauis	---|---------⌫|-⌫||--⌫|---|
si com melaleitre	-|---⌫-|-|-----|
l eremenbre	-⌫|-------|
l etreziesmeiorde nouenbr e	-⌫|--------|--|-|-------⌫|
de ceau intunem eruelle	-|-|--⌫--|--|-⌫------|
nulle ne s aparelle	----|-||-------|
onquesneleu r mal mistlifeu s	-----|-|---⌫|---⌫---|-|---⌫|
n eleu rrobes	-⌫|---⌫|----|
neleur che ueus	-|---|---⌫---|
nonquesleur c ha rpl usnebroi	|-----|---|-⌫--⌫|--⌫-|-|---|
aussi commefuss entendormi	----|----|----⌫--|------|
se g is oient enmila	-|-⌫--⌫----|---|-|
ets iauoitchas cunslaf ace	-|-⌫|----|----⌫---|-|-⌫--|
aus si uerme llec omm erose	---⌫-|-----⌫--|-⌫---⌫|---|
meruel le delachose	------⌫-|-|-|----|
adamedieuseconuertirent	|-------|-|-----------|
pluseur ssarrazins quice ui ren t	-------⌫|--------|--|-|--⌫---⌫|
licretienont lescorspr is	-|------|--|--|---|--⌫-|
de nuiz quil ne	-|---|-|-|-|
fuss e nt malmis	----⌫-⌫-|-----|
etsiles ont enseueliz	-|-|--|--|--------|
oeu re erttoz leurdeliz	---⌫-|--|--|---|----|
l emperere uitla meschin e	|-------|--|-|-------⌫|
uers damedieupl usenterin e	---|-------|--⌫-|-------⌫|
qu e llen auoit deuant esté	-|-⌫--||----|-----|----|
feusqueuoi z	---|--|---⌫|
pasesp eonter	--|---⌫-----|
orlaueltderechieft ente r	-|-|---|--------|-⌫----⌫|
ou por laidir ou	-|--|-----|-|
po rmalmei tre	--⌫|------⌫--|
porsauoirsila	--|-----|-|-|
porr oitmei tre	----⌫--|---⌫--|
acequ e luolsistaor e r	|-|-|-⌫|------|---⌫-⌫|
p orhonorer	-⌫-|------|
uers luise	---|--|-|
torne silapelle	----|-||-----|
hai hai gentispucel le	--|--|-----|-----⌫-|
carpranconsoilla toi meimes	--|---|-------||--|-----|
oii e p itie detaiouente	-|-⌫|-⌫---|-|-|------|
t oziorsiaimisementen te	-⌫-|---||-|---||-----⌫-|
adeliurer tonc orsde peine	|-------|--|-⌫--|-|----|
i en t ispucellecarten	-⌫--⌫-⌫-|------|--||-|
croiennozdiexsels acref ie	---|-|--|---|-||-⌫-----⌫-|
ilest moultfoxquil	-|--|----|--|---|
setu fesce quet	-|-|--|-|--||
quant tuara ssacref ié	----|-|---⌫|------⌫--|
tretou t aussite tend ra ichi ere	------⌫|----|-|----⌫--⌫|---⌫--|
autelsembla n te tautelchiere	----|------⌫-⌫|-⌫|----|-----|
tefe re coma l are ine	-|--⌫-|--||-⌫|--⌫--|
totesera uerstoiencline	---|---|---|--|------|
magen t mate rremame sni ee	-|---⌫|-|--⌫--|-|--⌫---⌫-|
touteserapa r to i p artie	----|---|--⌫|--⌫|-⌫----|
lapucele a un risi et é	-|-----||-|--|-⌫--⌫-|
sirep ondilauerite	-|---⌫---|-|-----|
empereresles cee s te r	--------|--|-|-⌫-⌫--⌫|
p as amon es ter	-⌫-|----⌫--⌫--|
aferesi g rantfelonie	|---|-|-⌫---|------|
ihes ucristquiiesui amie	----⌫-----|--|-|--|---|
mapor uoir aespouseprise	||--|---||------|----|
cilqu imescuersai me et	--|--⌫|--|----|--⌫-|-|
c es t mes deli z ce estma ioie	|--⌫|--|----⌫|-|--|-|---|
nestriens nuledont ia ie ioie	|--|----|---|---||-⌫-|---|
fors s eulementde	---|-⌫-------|-|
por li aige de	--|-|-|-|-|
por ligartgemonpuce lage	--|-|---|-|--|----⌫---|
ienetecr ien gpornul	-|-|-|--⌫---⌫|--|--|
puiss es amoncor s fere	-----⌫-||--|---⌫|---|
tormentneme porroie nttrere	------|-|-|-------⌫-|----|
de d ieuseruirdedie uamer	-|-⌫--|-----|-|---⌫|---|
d e luiprieretreclamer	-⌫|--|----|-|-------|
li tira nt	-|----⌫-|
esttot forsenez	--|--|-------|
sesmenitresa a pelez	--|-------||-⌫----|
etc ommendéqan lade spoille	-|-⌫-------||-|-|--⌫------|
tou tenueuoilleoune	---⌫-|--|-----|-|-|
laba tedes g lentie rs	-|--⌫-||--⌫-⌫------⌫-|
etcillefont moultuo lentiers	-|--|-|---|----|--⌫-------|
tretou telit ra nchentlac ha rtendre	------⌫-|-|-⌫--⌫-----|-|-⌫--⌫|-----|
que lne fu pasdigneda tendre	-|-⌫|-|-|--|----||-⌫-----|
l epetitcop d une	-⌫|----|--||--|
uer gei t e	---⌫---⌫-⌫|
p uisa commandé qan	-⌫--||--------||-|
enunechartre sans clart e	-|--|------|---|-----⌫|
ouauoit souentgrant ner te	-|----|-----|----|---⌫-|
que il niaitnulelumiere	--|-|||--|---|------|
einss isoi tl eenzente niebre	-----⌫|---⌫|-⌫---|-|--⌫-----|
nenenisse dedouzeio rs	-||-|---|-|----|--⌫-|
i tiex i soit mes	-⌫---||---|--|
sesse iors	--|--⌫---|
li sergent ontlauirge prise	-|------|--|-|----|----|
enoscure pr isonl	-|-----|--⌫---||
illeucles sentlad ieuamie	-----|---⌫---|-|-⌫--|---|
ne l oblialor s	-||----|---⌫|
so n ang een la cha rtreenuoie	--⌫|---⌫|-|-|---⌫---|-----|
porcequ iluel t qu	--|-|-|-|---⌫|-|
elleleuoie	---|-|---|
ihe suenuoia desa	---⌫-|-----|-|-|
porluitenir	--|--|----|
ensonmemoir e	-|--|------⌫|
et l a clar tees perital	-|-⌫|----⌫-|--⌫------|
mistdieude de nzlachartre au al	---|---|--⌫--⌫-|-|------|--⌫-|
por langequilareconfor te	--||---|--|-|--------⌫-|
et sigrantclarteli apo rte	-|-|----|-----|-|---⌫--|
t outel achar t reenenlumine	-⌫---|-⌫|----⌫-⌫-|-|-------|
cil quigardoientla meschine	--|--|--------|-|-------|
onttuit sig rantpeoreu	--|---|-|-⌫---|---|-|
d elaclartequil ontueu	-⌫|-|-----|-|-|--|--|
qui lnepeuent	-|-⌫|-|-----|
unmo tsonner	-|--⌫|-----|
peuentq uelpart	-----|-⌫--|---|
atantpar auen ture	----|--|----⌫---|
que lemperesaler conuint	--||------|---|------|
horsdupais porun eafere	---|-|---|--|--⌫|----|
quiliest u taforce fere	--|-|---⌫-⌫||----|---|
entrec eschoses la roine	----|-⌫-|-----|-|----|
oi parlerdel ameschine	-|-----|-|-⌫|-------|
comme ntliroisl a uoit	-----⌫-|-|---||-⌫---|
com meelleiert	---⌫-|---|---|
s ageet afeiti e	-⌫--|-|------⌫|
q ue el le auoituaincuz	-⌫-|--⌫-|----|------|
commeli rois par sesmesages	----|-|---|--|--|------|
c ommel auoi tfetd esg lent i ers batre	-⌫---||----⌫|--||---⌫----⌫-⌫--|----|
etcommentilla	-|------|-|-|
fi stembatre	--⌫-|------|
enla chartrequiest oscu r e	-|-|------|--|--|----⌫-⌫|
etcomme lirois nauoitcu re	-|----|-|---||----|--⌫-|
quelle mengastnen e seust	-|---|------|-|-⌫|----|
qu elle parfainmort	-|---|--|---|---|
q uantelle otoi la	-⌫---|---|-|-|-|
crue l p aine	----⌫|-⌫---|
iasoitce que llefust pea ine	-|---|-|-|-⌫--|---|---⌫--|
moultesten goisseuse	----|--|--⌫--------|
deueoi rl atantcommeest ui ue	-|----⌫|-⌫|---|----|--|--⌫-|
mesmoults e dout een	--|----|-⌫|----⌫|-|
que lempererene	--||-------|-|
le sa ch e	-|--⌫--⌫|
quequ el aloitentelma niere	----|-|----|-|--|--⌫----|
parlasaleaua nt et	--|-|---|---⌫-|-|
repenss antencontr e	-------⌫--|-------⌫|
u nprinceli uinta lencontre	-⌫|-----|-|---|||-------|
qui p or phiresauoitano n	--|-⌫--⌫-----|----||--⌫|
quiesto it de	--|----⌫-|-|
moult grantrenon	----|----|----|
et bien sauoitsa nzn ul	-|---|-----|--⌫-|-⌫-|
q ua nli auoitdit	-⌫|-⌫|-|----|--|
l em perer izla a pel e ́	|--⌫-----⌫-|||-⌫---⌫-⌫|
orsoitfe tellebiencelé	-|---|--⌫|---|---|----|
biau samisce que t	----⌫|---|-|--||
enuoil di re	-|---|--⌫-|
alapucele que monsi re	|-|-----|--|--|--⌫-|
tient ensa cha rtre	----|-|-|---⌫---|
pa rleroie	--⌫------|
moultuo lentiersse ie p ooie	----|--⌫-------|-|-|-⌫---|
or uos enconu ient	-|--|-|----⌫---|
entre meitre	-----⌫-----|
ou p ar doner o upar prameitr e	-|-⌫-|----|-⌫|--|--------⌫|
quene uo sencusentles guete s	--|-|--⌫|-------|--|-----⌫|
siuosmamezissi	-|--||---|---|
le fei tes	-|---⌫--|
po rdieua misne uos	--⌫|---|-⌫--|-|--|
oezcequeie ui enn uit	--|-|--|-|-|---⌫--|
enmondormentmestoitauis	-|--|------||-----|---|
delauirg eq ue	-|-|----⌫|-⌫-|
quell ee rten unech ambre	-|---⌫|-⌫-|-|--|--⌫----|
deg rant cla rtepa rt o t esprise	-|-⌫---|---⌫--|--⌫|-⌫-⌫|------|
etentorluifurentassis	-|----|--|-----|----|
hom esblansne saisept	---⌫-|----|-|--|---|
soipa sbie ngarder	--|--⌫|---⌫|-----|
elm ape l aet	-||---⌫-⌫|-|
queialasse d elui pluspres	--||-----|-⌫|--|---|---|
uchiefaundesh omesblans	|----||-|--|-⌫---|----|
ma insmisespar deuant	--⌫--|----|--|-----|
u necoron e dor il prist	-⌫-|-----⌫||-|-|----|
uchieflacorone me mist	|----|-|-----|-|---|
apresmedistgentisr oine	----|-|---|-----|-⌫---|
nedoizauoir	-|---|----|
nu lehaine	--⌫-|----|
u ers lesegneur q uitelc or one	-⌫--|-|------|-⌫-|--|-⌫--⌫--|
par moitepresen teet	--|--|-|------⌫-|-|
cestihesuc ristnostre bonpe re	|--|------⌫---|-----|--|--⌫-|
d euant qui nus nest emperere	-⌫----|--|--||--|-------|
porc esteauisionbiau	--|-⌫---|------|---|
seuf remonceu rissigrantir e	----⌫-|--|---⌫|---|----|--⌫|
que ie ne puis durerparnuit	--|-|-|---|----|--|---|
commentcuid iexu osquim en nuit	------|----⌫--|-⌫-|--||--⌫---|
i ene puis boiurenemen gie r	-⌫|-|---|-----|-|---⌫---⌫|
ien esouferraiplu s dengie r	-|-⌫|--------|---⌫|------⌫|
ne cepenssedontie medeull	-|-|-----|---|-|-|----|
ladamoi selleueoir uuoill	-|-----⌫----|----|-----|
atant l i repondip or file	----|-⌫|------|-⌫--⌫---|
dameu oirsestq uen otresire	---|-⌫---|--|-⌫-|-⌫---|---|
est moultcruels aitel	--|----|-----||---|
p orcene sero it ilp a sgent	-⌫-|-|-|----⌫-|-|-⌫-⌫|---|
quenos fail lisse	--|--|----⌫----|
acest afere	|---|----|
commendez iesu ipre st	--------|-|--⌫|---⌫-|
treto tuot recomm endement	-----⌫|---⌫-|----⌫-------|
orn e uousfautquese ul ement	-|-⌫|---|---|--|--⌫--⌫----|
tant que uospeussiez	----⌫--|--|-------|
lec onso illde sguetes au oir	-|-⌫----⌫--|--⌫|-----|--⌫--|
a tents en estt orn ezau	-⌫---||-|--|-⌫---⌫-|-|
parpr ame sse les a	--|--⌫---⌫--|--||
ontacrea nté	--|-----⌫---|
queil ferontsau ol ente	--|-|-----|-|-⌫--⌫---|
quant i l furent elpremier so me	----|-⌫|-----|-|------|--⌫-|
laroineprantlepreudome	-|----|----|-|-------|
si sontalezenlaprison	-|---|---|-|-|-----|
sicommeele nauison	-|----|-|-⌫|-----|
l ar oinea	-⌫|-⌫---||
clarte ueue	-----|---|
de lapeor qu i lot eue	-|-|---|-|-⌫|-|--|
orent e nduiqu e il	----|-⌫---|--⌫|-|
chai r ent	----⌫-⌫--|
tantdurementsen esbahiren t	---|-------||-|---------⌫|
mes un ordre sestespandue	--|-|----||--|-------|
qu ilaclarte leur a rendue	--⌫|-|-----|---||-----|
et t ozasoagiezlesa	-|-⌫-|-------|--||
ma intenent quelesades a	--⌫-------|--|--|----⌫|
ue ez ihe sucris tquiuosapel e	--⌫-|---⌫------⌫|--|--|----⌫|
pordem o rerauocqueslui	--|---⌫-⌫--|-------|--|
ate ntse sontleuezendui	---⌫-|-|---|----|----|
s i ontlauirge regarde e	-⌫|--|-|----|-------⌫|
qui auoc luiestoi ent	--|---|--|-----⌫--|
plai esli afei toient	----⌫-|-|----⌫-----|
eto nguoientdun	-|-⌫-------||-|
onguem ent	------⌫--|
dou cement	---⌫-----|
estoitt orneea tel clarte	-----|-⌫----||--|-----|
auoitsi cle reesté	----|-|---⌫-|----|
etsi reuir en tlesueillarz	-|-|-----⌫--⌫|--|-------|
les luiseoirde	--|--|----|-|
t outesparz	-⌫----|---|
quiauoien t sicler les uis	--|------⌫|-|---|--|--|
quene peuent pa rnul de uis	--|-|-----|--⌫|--|--⌫--|
l eur clarteestre	-⌫--|-----|----|
quiln epeuentestreauise ́	-|-|-⌫|-----|----|-----⌫|
du princened elareine	-|-----|-|-⌫|-|----|
puisaassis e	---||-----⌫|
la meschine	-|-------|
u chiefalomeune co r one	|----|||--|--|--⌫-⌫--|
el chieflempererizladonn e	-|----||--------|-|----⌫|
etditseg neuruezc ila	-|--|---⌫---|--|-⌫|-|
lasa intismedecorsetd ame	-|--⌫------|-|---|-||--|
si depr io ns	-|----⌫--⌫-|
nostres egneur	-----|-⌫-----|
qautresigra ntparto ugregneur	|------|---⌫-|---|-⌫|-------|
aiezen sonregnecongie	---|-|--|----|--|--|
eti lmadoné le congie	-|-⌫|||----|-|-----|
etdece pri nce qui es tci	-|-|-|---⌫--|--|--⌫|-|
aur a no tres i remerc i	---⌫|--⌫--|-⌫-⌫-|----⌫|
que lidons l ien estd onnez	--|-|---|-⌫|-|--|-⌫----|
q apresmartir es ertcoro nez	|----|------⌫-|--|----⌫--|
apres liont	----|-|--|
liueilla rtdit	-|------⌫-|--|
kateline sanzcontredit	-------|---|--------|
adie uo ie	|---⌫|-⌫-|
leque lamortu	-|---⌫|---|-|
as s ichiere	-|-⌫|-----|
lui esciencha rtr ee	--|-|-|-----⌫---⌫-|
etentenebre s esen tr ee	-|-|-------⌫|-|--⌫--⌫-|
porl a c larteduc iel auoir	--|-⌫|-⌫----|-|-⌫--|----|
ortedisomesn os poruo ir	-|-|------|-⌫-|--|--⌫-|
quedi extaoctroi é le	--|--⌫-|||------⌫-|-|
arontuera i	----|----⌫|
p or q uitu	-⌫-|-⌫-|-|
degnerasproier	-------|-----|
ne sedoiuentpas	-|-|------|--|
cilqui portoisontuenuci	--|--|--|--|---|---|-|
quedex a ra deus telm erc i	--|--|-⌫-||--|--|-⌫---⌫|
qu aumonde	-|-|----|
u aincro ntl edea ble	-⌫------⌫-|-⌫|---⌫--|
etar on tuiep ardurable	-|--⌫--⌫|--|-⌫--------|
issiontparléliueillart	---|--|-----|-|-------|
la pucelede	-|-----|-|
l autre part	|----|---|
si con fo rteelad ame	-|---⌫--⌫---|-|-⌫--|
mie qeur de f ame	--|---|-|-⌫--|
mesbonet en terin etfors	--|--|-|--⌫----|-|---|
et diext enuoier ac onfort	-|---||-------⌫|-⌫-----|
iusqu au tie rzi orirasolui	----|-|---⌫-|-⌫-|---||--|
trauai ll ne peineneanui	------⌫-|-|----|-|---|
de leurang oissene	-|---|---⌫----|-|
ne do izdou terquel ente	-|--⌫-|---⌫--|--|-⌫-|-|
quelesengoissesde cemond e	--|--|--------|-|-|----⌫|
sont f inneantalareonde	---|-⌫-|----||-|-----|
apreslaioieetlaleesce	----|-|---|-|-|-----|
que cila rontpourleurdestre ice	--|--|-⌫---|---|---|------⌫--|
deleurma rti re	-|---|--⌫---⌫-|
leur poine	---|----|
gaagner ont dieu	-------⌫--|---|
et so nregne	-|--⌫|----|
atanta rep onduporfi re	----||---⌫---|-----⌫-|
etdit pucelel i t iens	-|--|-----|-⌫|-⌫---|
qu el g uerredonpeut	--⌫-|-⌫-------|---|
ac el s qui	|-⌫--⌫|--|
uoldroi ent despendre	-------⌫--|--------|
por s amorlatempo relu ie	--||---|-|-----⌫--|-⌫-|
o iraigrantenuie	-⌫-|-|----|----|
porfir ece	------⌫|-|
distkaterine	---|-------|
setuasb one	-|-|-|-⌫--|
etenterine	-|-------|
lau olentedel	-|-⌫-----|-||
esco ut er	----⌫--⌫-|
bi enmeporra soirconter	--⌫-|-|-----⌫|--|-----|
quecils i ecles nestc uns trepas	--|--|-⌫-⌫----||--||--|-----|
biensai etsi n en	---|--|-|-||-|
do uterpa s	--⌫---|--⌫|
etaussiuit	-|----|--|
lenance mon de	--|-|-|---⌫-|
unechartrepar fon de	--|------|---⌫---⌫-|
nas eteneibre s	||-⌫|--------⌫|
ianeiertdes ig ran t	-|-|---|-|-⌫|-⌫---⌫|
nus homnede sig rantsauoir	--|--|-|-|-|-⌫---|-----|
qu ilnemuireparestouoir	-|-|-|----|--|-------|
deleur e ngoissemale tpai ne	-----|-⌫------|--|-⌫|---⌫-|
couoitisebarat enuie	--------|----|----|
so ntlesdelizdeceste	--⌫-|--|----|-|----|
cepaiscla imeietotquite	-|---|---⌫--|-|--|----|
meslipaisoude xhabi t e	--|-|---|-|--⌫|----⌫-⌫|
n ez sanz nul o rdu re	-⌫-|---|--|-⌫---⌫-|
t ozio rsilu it	-⌫-|--⌫-|-|-⌫-|
queil peutfere son	--|-|---|---|--|
c e pais nest	-⌫|---||--|
pas her itage	--|---⌫----|
cil qui l emontuel lent des pire	--|--|-⌫|---|---⌫---|---⌫---|
lan enueil listnusnen enpire	-||------⌫---|--|-||-----|
lan est aintne charne couleur	-||---⌫---|-|---|-|------|
enfermetez ma lnedoleur	---------|--⌫|-|-----|
laestsansordurebi autez	-|--|---|-----|--⌫----|
sanztrecherieleautez	---|--------|------|
ioiesa nzireiorsa nznuit	---|--⌫-|--|--|--⌫-|---|
li en nuit	-|--⌫---|
ileucne cr i ent	----|-|--⌫-⌫--|
a uersi te	-⌫-----⌫-|
liestagiers de lacite	-|--------|-|-|---|
nendiremalqueiene	|-|---|--|--|-|-|
mesbi enassez queie il truis	--|--⌫-|----|--|-|-|----|
quiseroit sa nz fons e tsansriue	--|-----|--⌫-|---|-⌫|---|---|
neporr oie	-|----⌫--|
por riens q ueuiue	--|----|-⌫-|---|
ce quet u uerrasac on ter	-|--|-⌫|-----|--⌫--⌫--|
se p euzenlaci te monter	-|-⌫--|-|-|--⌫-|-----|
s etu gardesta lea ute	-⌫|-|-----|-|---⌫--|
iusqu alafinsanzfauset e	----||-|--|---|------⌫|
bieni iras c e	---||---|-⌫|
tepr a met	-|--⌫-⌫--|
mesdebienferetentremet	--|-|---|---||-------|
issipar ollel a meichin e	---|---⌫---|-⌫|-------⌫|
lech eualieretla	-|--⌫------|-|-|
sem par ti r e nttot maintenent	|-|---⌫--⌫-⌫-⌫-|--|---------|
gra ntioie uont	---⌫-|---|---|
endui fei sant	----|---⌫---|
des homes blan squ ilont ueu	--|----|----⌫|-|-|--|--|
etdesc onf orzquil ont eu	-|--|-⌫---⌫--|-|-|--|-|
d elaglori euse	-⌫|-|-----⌫---|
li cheu alieron t	-|----⌫----|--⌫|
fetquerele	--|------|
etdemandentparleu rdeduit	-|--------|--|---⌫|-----|
ouporf iretoutlanui t	-|----⌫--|---|-|---⌫|
lareineeste ́	-|----|----⌫|
porf irenapoi nt redou té	----⌫--|||---⌫-|-----⌫--|
ditsanzplusatendre	--|---|---|------|
segneursseuoliezentendre	-------|-|-----|-------|
ac equedir eo rend roit	|-⌫|--|---⌫|-⌫----⌫---|
sa c hiez qu e bienn osen uendroit	--⌫-⌫---|--⌫|---|-⌫-|-|-------|
nedemandez	-|-------|
m es fetesa mauolente	-⌫-|----||-|------|
et gaagniez la	-|-------|-|
uo treioie	--⌫--|---|
soitpardurablea uoclam oie	---|---------|-⌫--|-|-⌫--|
sac hiezque cilnest miesages	---⌫---|--|--||--|--|----|
hon eur acesymages	---⌫--||--|-----|
queauez seru i iusque s ci	--|---|----⌫|------⌫|-|
criez adamed ieumerci	----||-----⌫--|----|
quifisttretoutes	--|---|--------|
et despisiez itiex	-|--------|----|
peue n tconseillier	----⌫-⌫|----------|
nu snese peutplus aui llier	--⌫|-|-|---|---|---⌫----|
queseruir mainsuai llen tqueli	--|-----|----|---⌫----⌫|--|-|
ser ue zethonorezcelui	---⌫--⌫|-|------|----|
q uiestsire s detout lemonde	-⌫-|--|----⌫|-|---|-|----|
quitotpeut fereala	--|--|---|---||-|
deuxcente ni	---|---|-⌫||
auoi tparconte	----⌫|--|----|
d es cheualiersquiparleconte	-⌫-|---------|--|--|-|----|
ont les ymages en despit	--|--|-----|-|-----|
etsonttornezaihesucrit	-|---|-----||--------|
ladamoiselle endementiers	-|---------|-----------|
p a rquinzei ors	-⌫-⌫|-----|-⌫--|
tretouzen tiers	------|--⌫----|
enl oscurechartre	-||-----|------|
ne m eniane	-|-⌫---|-|
parhome qui enterreuiue	--|---|--|-|----|---|
etsiest elleencoreuiue	-|-|--|---|-----|---|
cardiex lacuiprote cions	--|---|-|--|-----⌫----|
repute n l a fossea u larrons	----|-⌫|-⌫|----|-⌫|------|
qu e danie llebonprofeite	--⌫|-----⌫|-|--|-------|
acestepeuee t	|----|---|-⌫|
p aruncoulonb la nccommec in e	-⌫-|-|-----|-⌫--⌫-|----|-⌫--⌫|
det elmes ageestell e digne	-|-⌫-|---⌫--|--|---⌫|----|
quan tacomplifurentliior	----⌫|------|-----|-|--|
demeure etduseior	------|-|-|----|
queledut en lachartre	-|--|--|-|-|------|
diex ih esuc ristl i debonaire	---|--⌫----⌫---|-⌫|--------|
quia sa gent nestmie es tra n ges	--||-|---||--|--|--⌫---⌫-⌫--|
o unecomp agniedanges	|--|----⌫----||----|
e std escenduzenlaprison	-⌫-|-⌫-------|-|-|-----|
por conforterlesie n pr ison	--|--------|-|---⌫|--⌫---|
p uisap arlé entel	-⌫--||-⌫----|-|--|
esga rdebe leamiechiere	----⌫--|--⌫-|---|-----|
conoisleperequit a	-----|-|---|--|||
conoisporcoi t ues d estroite	-----|--|--|-⌫|-|-⌫-------|
deua ntlesroisdeuentlescontes	----⌫-|--|---|-----|--|-----|
po rquituseufresle s granzhontes	--⌫|--|-|------|--⌫|----|-----|
lesgransdoleurs	--|----|------|
granspeines	----|-----|
debie nfe ret epeines	-|---⌫|--⌫-|-⌫|-----|
parfesce q uetu	-----|-|-⌫-|-|
asemp ri s	-|---⌫--⌫|
si temetre	-|-|----|
emparadi s	-|------⌫|
sachesie ne te leire mie	-----|-|-|-|----|--|
quemoultme ple sttagra ntbo nte	--|----|-|---⌫-|-|---⌫-|--⌫--|
enest elciel m onté	-|--|-|---|-⌫----|
l empererea presrepaire	|-------|-⌫---|------|
qu antilotparfetsonafere	--⌫--|-|-|-----|--|----|
enalixand reest retornez	-|-------⌫-|--|-------|
o il otlesplezaiornez	|-|-|--|---|------|
de s a terr e	-|-⌫|----⌫|
puiscom m endaquenli aut querre	---|---⌫-⌫---|-|-|-|--|-----|
la da moisele isnellement	-|--⌫------|----------|
porcequ aferelot couent	--|-|-||---||-|-----|
e tqua nt el fudeuantleroi	-⌫|---⌫-|-|-|-----|-|--|
qui auoitpar s o nd esr oi	--|----|--|-⌫-⌫|-⌫---⌫-|
quelnem e ni as tde quinzei o rs	-|-|-|-⌫-⌫--⌫--⌫|-|-----|-⌫-⌫-|
porceque lonsertli seior s	--|-|--|---|--|-|-----⌫|
grantso ufrance depain	----|--⌫------|-|---|
contrains istet la grantfain	---------⌫--|-|-|----|---|
reg ardeenmileu is	---⌫---|---|-|-⌫-|
plus esto itb ele a son	---|----⌫-|-⌫--||--|
quil nelauoi tdeua nt	-|-|-||----⌫|----⌫-|
lors cuidaquellefustpeue	---|----|-|---|---|---|
en repost si	-|-----|-|
lenpesamoult	|-|---|----|
quilparust m oul t	-|-|-----|-⌫---⌫|
tantost acomman de ́a	------||------⌫--⌫||
tozleschartr iers e tfere	--|--|------⌫---|-⌫|---|
s il nedientparquel	|-|-|----|--|---|
ladamoiselle auoitmangié	-|---------|----|------|
et quirep eu elauoit	-|--|---⌫--⌫||----|
ladamoisell equiceuoit	-|---------⌫|--|-|---|
neuoltpasqueporluirecoiuent	-|---|--|--|--|--|--------|
cilmalqu ireceuoir	--|--|--⌫|-------|
n el do iue nt	-⌫||--⌫---⌫-|
mielzueltquelen	----|---|--|--|
sachele uo ir	----|-|--⌫-|
qu el lelesue ist ma l	-|--⌫-|--|--⌫--|--⌫|
roifet la uirgeentent a	--|--|-|----|-----||
neso iespasen teld esroi	-|--⌫--|--|-|--|-⌫----|
quecisergent maient	--|-|------||----|
nequ eiaieui ande eue	-|--⌫||--|--⌫---|--|
d omequie n	|--|--|-⌫|
ce sieclesoit	-|-----|---|
diex li mi ens peresmepess oit	---|-|--⌫--|----|-|----⌫--|
qu ilne uelt pas	-|-|-|---|--|
cels oblier	---|-----|
quise ueulenten lui	--|-|------|-|--|
parsonbon greme	--|--|--|--|-|
conf ort oit	----⌫---⌫--|
quilauiand em aportoit	--|-|-----⌫||-------|
tantc on gefui	---|-⌫-|-|--|
enla prison	-|-|-----|
l i ti ranzqu is at raison	-⌫|--⌫---|--⌫|-⌫|-⌫-----|
ue l tcelerdede nz son	--⌫-⌫|----|----⌫-|--|
nelti egneaoutrag e	-||--⌫---||------⌫|
mesne liualtriensqu e	--|-|-|---|----|--⌫|
neblandisse mentnemenace	-|---------⌫---|-|-----|
certesfet ilbienpeussauoir	-----|--|-|---|---|-----|
i eteuossissemielz auoir	-⌫|-|-------|----|----|
queocirr e	--|-----⌫|
huipartorment	--|--|------|
mesormedipremierement	--|-|-|-|-----------|
puisq uesil auons ore empris	-----⌫-|-||----|--|-----|
quelcons oill as tu	---|----⌫---|-|-|
de toi pr is	-|--|--⌫-|
puisquetu fusmis eempriso n	------|-|--|---⌫|-|-----⌫|
responsanz	-----|---|
au ma inssipeulzlemeilleur	-|--⌫--|-|----|-|-------|
oufacestotsanzplusatendr e	-|----|--|---|---|------⌫|
sacrefices a nozymages	---------||--|-----|
quisontpo issa nzsai ntesetsages	--|---|--⌫----⌫-|---⌫---|-|----|
ie cuitf eretacharlatendr e	-|---|-⌫--|-|---|-|-----⌫|
pargrant to rment rompreetestendre	--|----|--⌫----|-----|-|-------|
rois fetelleieuoill	---|--|---|-|----|
bien uiure	---|----|
messeie partdecideliure	--|-|-|---|-|-|------|
pasuie ainz	--|--|---|
messemescor ses tpordieu	--|-|--|---⌫|--⌫|--|---|
etderompuparton	-|------|--|--|
iesaietcroiue raiem ent	-|--|-|---|--⌫-----⌫--|
que m amesemoncorsde uie	--||--|-|--|---|--⌫--|
pardur ableuie	------⌫---|--|
liroisaussic ommeg agnons	-|---|----|-⌫---|-⌫-----|
quirechigne ses	--|-------|--|
compangnons	----------|
reou l lee tsi	----⌫-⌫-|-⌫|-|
es traint lesdanz	--⌫-----|--|---|
sies tirie z e lcuerdedenz	-|--⌫|----⌫|-⌫|---|-----|
quil ne setquei ldoie	-|-|-|--|--|-⌫|---|
a sesse rgenzdit par grant	|--|--⌫----|--|--|----|
deliurezmoi decemaufe	-------|--|-|-|----|
