cil ki seiuen tdelettrure	--|-|------⌫|-|-------|
qua nt elco lli mistrent la hart	---⌫-|-|--⌫|-|-------|-|---|
cilcria de laut re	--|---|-||---⌫-|
la tercefe izal asorc ere	-|----|--⌫-||-⌫|----⌫--|
que lime mbrast en	--|-|--⌫-----|-|
queilemanere	-----|-----|
laseura su zlebuissun	|-----|--⌫|-|------|
eleres puntp arfaus sermun	--|---⌫---|-⌫-|---|-----|
puiscelhure	---|--|---|
teaibien aidé	-|-|---|----|
e mei ntenuecu nseillé	|---⌫----||--⌫-------|
mesorete ueisidemene r	--|--|-|--|-|------⌫|
quen etesaicunseilduner	--|-⌫|-|--|------|----|
pur penseteique itu feras	---⌫----|--|---⌫|-|----|
ia parmei cunseilnaueras	-|--|--|------||-----|
purce o chastiet ut e gent	--|--⌫|------|-⌫--⌫|---|
q uilne c reien tdeusl edefent	-⌫|-|-|-⌫-----⌫|---|-⌫|-----|
enauguren en	-|-----||-|
kart rahizes tkili a fie	--|-⌫----|--⌫|-|-|-⌫--|
l e co rsenestmisenei ssil	-⌫|--⌫-|-|--|--|-|--⌫---|
elalmeuetengrant peril	||---|--|-|----|----|
unsfeur esf ist unecui nee	--|----⌫-|-⌫--|--|---⌫--|
bientrencha nte ebienfor gee	---|-------⌫--||---|---⌫--|
mesne s en potde riena ider	--|-||-|--|-|---|-⌫---|
nodline sotcum enttrench er	|-|-|-|--|---⌫--|------⌫-|
deciqueelefust	------|--|---|
deaucun fuste aparaillee	-|----|---||---------|
alboisalapur de maunder	-|---|--|--|--⌫------|
a che scunfus t quilpot tr ouer	|---⌫---|---⌫|-|-|--|--⌫---|
alqueli lliloentent endre	-|---|-⌫|-|----|---⌫----|
delqueilil p uisseman ce prendr e	--|----|-|-⌫----|---⌫-|------⌫|
quant e nsembleeneu rent pa rlé	----|-⌫------|-|--⌫---|--⌫---|
communementliuntloé	----------|-|--|---|
quilpren gede laneireespi ne	-|-|----⌫-|-|-|----|----⌫-|
neislesc orc eela racine	---||---⌫---⌫||-|-----|
e st mutdure	-⌫-|--|---|
la peot bienenmancer	-|---|---|-------|
li feuresadl urcun seil c reu	-|-----|-|-⌫-|---⌫---|-⌫--|
karnelu ntmiedeceu	--|-||-⌫-|--|----|
delespinead lamancepr is	-||-----|-|-|----|--⌫-|
ad asacuineeasis	-||-|-----|---|
odm emes ice le	-|-⌫---|---⌫-|
a pu islespine detrenc h iee	|--⌫-||-----|-------⌫-⌫--|
m alguerd unli adren du	-⌫-|-----⌫-|-|-|---⌫-|
que delui ot	--|-|--|-|
sunmancee u	--|----|-⌫|
tutaut resiest desmauueis	--|---⌫---|--|--|------|
destres felun s ede sengres	--|---|-----⌫||--⌫|-----|
qua nt uns produmlesmet auant	---⌫-|--|-----|--|--|----|
su ntric heemanant	--⌫-|---⌫-||-----|
silsu rpuientmeuzde	|-|--⌫------|---|-|
tuziurslifrun thunte eennui	--|---|-|----⌫|----||----|
ace luifun tiltutlepis	|--⌫--|---⌫|-|--|-|--|
kialdesus lesadmis	-|-|----|--|-|--|
iad isauient	---⌫-|-----|
queunlu pra mi st	--|-|-|---⌫--⌫-|
quecharnemangereitceodist	--|---|-|--------|--|---|
lesqu ara nteiur s dequareme	--|--⌫---⌫--|---⌫|-|------|
aueitmis sune sme	----|--|--|-⌫--|
t rouau nmutun	-⌫---|-⌫|----|
craserefai tsanzlatuisun	---||-----⌫|---|-|-----|
a seimemes	|--|----|
qu ei e st ce o fetilque	--⌫-|-⌫-|--⌫|--|-|--|
ceo est unmutun	--|--|-|----|
mes taui s	|--⌫|---⌫|
si p urceo nunqueieo	-|-⌫-|--|--|--|--|
quenu lechar	--|--⌫-|---|
nemengereie	-|--------|
desuncostemereferee	-|--|----|-|------|
ore aifet i lditgrantfo lie	--|-|--|-⌫|--|----|--⌫--|
ieolueitutsulsanz	--||--|--|--|---|
cumpa in ie	-----⌫--⌫-|
ceom estauissiieone l	--||--|---|-|--|-||
teus uend rad	---|----⌫-||
aucunepar t	-----|---⌫|
qu e len m erra	--⌫||-|-⌫---|
ensem bleodsei	-----⌫--|-|--|
llarr anientpurmei	|----⌫|----|--|--|
ieo l pu isb ienpr endre	--||--⌫-|-⌫--|--⌫----|
purunmutun	--|-|----|
mangeraipur u nsaumun	-------|--|-⌫|-----|
me uz uautl i saumun amanger	--⌫-|---|-⌫|-----||-----|
esil pe ot l	|-||--⌫-||
um ue ndreplusche r	-|--⌫---|---|---⌫|
hummedema uueis quer	----|-|--⌫----|---|
il nepeot lesseranulfur	-|-|---|-----||--|--|
sunsurfetne saglutunerie	--|-----|-|-|---------|
iaencuntres alecherie	-|-------|-⌫|-------|
hummenefe mme le cheres se	----|-|--⌫--|--⌫------⌫-|
nega rderauounepramesse	-|--⌫----|--|-|-------|
une singess ealamustrant	--|-------⌫|--|-------|
atutesbestessunenf ant	|----|-----|--|---⌫--|
cillateneientpurf ole	--|-|-------|--|-⌫--|
e pars emblanteparparole	|--|-⌫------||--|-----|
tantquea un	---|--||-|
liunlealamust rer	---|-|--|----⌫--|
s ili comen ceade mander	-⌫|-|-----⌫-||--⌫-----|
sil fu mu t	|-|-|--⌫|
leide bes te n euit	----|---⌫-|-⌫|--|
porterliruueasa meisun	-----|-|---||-|-----|
esi recordecestere isun	|-|------|----|--⌫---|
c hesc ungupilpr ise	-⌫----⌫-|----|--⌫--|
s i se m e rueill equeeleestsue	-⌫|-|-⌫-⌫------⌫|--|--|--|--|
t risteedo len te	-⌫----||--⌫---⌫-|
unursencuntreen m ila sente	-|--|-------|--⌫-⌫|-|----|
liurse stutsilesgard a	-|--|-⌫---|-||------⌫|
p ar q uointise	-⌫-|-⌫-------|
l areisuna	|-------|
ueiieofetil i leoc lenfant	--|--|--|-|-⌫---||-----|
bestesparolent tant	-----|-------|---|
quetan tpares t	--|---⌫|--|--⌫|
beusegentilz	---||------|
eleceo e st mesfilz	--|--|-⌫-|--|---|
baile zleca tantqueio le bes	-----⌫|-|-|---|--|-|-|--|
kari eol uoiluee r p l uspres	--|-⌫-||---|---⌫|-⌫-⌫-|---|
ce lelebail e e il	--⌫-|-|----⌫||-|
siladmangéhastiuement	-||-|-----|----------|
purceone deuere it	--|--|-|------⌫-|
nulmus tre r	--|---⌫---⌫|
s apriu etenesunpenser	-⌫|----⌫--|-|--|-----|
detelchosepeothummeioir	-|--|----|---|----|---|
peotmie at uzpleisir	---|--||-⌫-|------|
pardescoueranceuient	--|-----------|----|
n es tp a s lisecles tutleal s	|--⌫|-⌫-⌫|-|-----|--|----⌫|
orecunterai dun dragun	--|-------||-|-----|
queunuilein	--|-|-----|
cump ain un	----⌫---⌫-|
ecilsuuent li premetteit	|--|-----|-|---------|
que l ea ument lui se rui reit	--|-⌫--⌫----|--|--⌫---⌫---|
lidrag unle uoutes prouer	-|----⌫-|-|---|--⌫-----|
cumils epoeit enluifier	--|-|-⌫|----|-|--|---|
unoeflicum anda agard er	-|--|-|---⌫---||----⌫-|
s idis tqu il uoleiterrer	-⌫|---⌫|-|-|-----|----|
de loef g ard e rmutli preia	-||--|-⌫---⌫-⌫|--|-|----|
e liuileins	|-|------|
pur quei licumandoteinsi	--|---|-|-------|----|
eli dragunsli respundi	|-|------|-|-------|
quededenzl	--|-----||
t re stutsaf or ce	-⌫--⌫---|-|-⌫--⌫-|
tostsereit mortsilf ust brusez	---|-----|---||-|-⌫--|-----|
quantl i dragunfu	----|-⌫|-----|-|
sisestli uileins purpensez	-||--|-|------|--------|
qu elof ner t pur	--⌫||-||--⌫|--|
pa rlofocirale	--⌫||-|----|-|
sunor au eratut ab andun	--|-|--⌫--|--||-⌫----|
quantlofes teitdepes c iez	----||-|--⌫---|-----⌫-⌫--|
elidragunfurepei rez	|-|-----|-|-----⌫--|
le scale uitgisira tere	|-⌫----|--|----||---|
sil icumenca enqu ere	-|-⌫|------|----⌫--|
purqueiot lofsi	--|---|-||-|-|
oreseitil bi e ns a	--|---|-|--⌫-⌫|-⌫|
bienaparceits atricherie	---|-------|-⌫|--------|
depar tiestlur cu mpaini e	-----⌫-|--|--|--⌫------⌫|
p urceo nus	-⌫-|--|--|
d iten cest sermun	-⌫-|-|---|-----|
que atricheur ne a felun	--||-------|-||----|
nedeitlumcomandersun or	-|---||-|-------|--|-|
n e sauie nes untresor	-⌫|-|--|-|-⌫-|-----|
encoue itusn ee n auer	-|----⌫---|-⌫|-⌫|---|
d unrec lusc unte	|-|---⌫--|-⌫---|
un uil ein queo dlui esteit	-|---⌫--|--|-⌫|--|-----|
quantli reclu sdedeuparla t	----|-|-----⌫|-|--|-----⌫|
e liuileins	|-|------|
lidemandat	-|-------|
purqueiada mmangale fru it	--|---|---⌫|----|-|---⌫-|
par queilepeopleaueitdestr uit	--|---|-|-----|----|-----⌫--|
equan t il	|----⌫|-|
purquei deuneli	--|---|--|-|-|
s uu enten pe sa	-⌫--⌫--|-|--⌫-|
au n efeizs epurp ensa	|-⌫-⌫|---|-⌫|----⌫---|
qu eleuilein apeis erei t	--⌫|-|-----|-----⌫----⌫|
il fesei t	-|-----⌫|
une grandegate	--|-----|---|
d eman d a	-⌫----⌫-⌫|
surunet able lade nta	--|--|-⌫---||---⌫--|
unesuriz otdesuzmise	--|----|-|----|---|
puisde fendiqueennuleg u i se	---|--⌫----|--|-|---|-⌫-⌫-⌫-|
aluilei nqu iln iad esast	-|-----⌫|-|-|||--⌫----|
nekedesuzne	-|-|----|-|
karilireita	--|-|----||
un mus ter	-|---⌫--|
aur eisunpurdeupreer	|--⌫----|--|--|----|
re clussenfualez	--⌫---||-|-|---|
sestliuil ein spu rpen s ez	|--|-|---⌫---⌫|--⌫----⌫-⌫-|
quegran tm erueill elis emb la	--|----⌫|-⌫-------⌫|-|-⌫---⌫-|
delagate qu ilgarda	-|-|---|-|-|----|
nesepotmie as t enir	-|-|--|--|--⌫-⌫---|
qu ilnelauoi lledescourir	-|-|-|-|---⌫--|--------|
iceoke desuzfu	---|-|----|-|
quan tlaosta	----⌫|-|---|
lasuri zkelui eschapa	-|----⌫|-|--|------|
mesquantsis	--|----|--|
siresrepeira	----|------|
mut s e ncurucad urement	--||-⌫|-----|-⌫------|
side mandaparmal	-|--⌫----|--|--|
pur queiotla gateost ee	--|---|-|-|---|---⌫-|
no t sadef ense p ruguardee	|-⌫|-|---⌫---|-⌫-|------|
leui l einlires punt ap res	-|--⌫-⌫--|-|---⌫---|--⌫--|
sire fetilieo	---|--|-|--|
nepo i m e s	-|--⌫|-⌫-⌫|
ul iqueors medeust partir	|-⌫|-----|-|----|-----|
u ieolalasse	|--||-----|
descoue rir	-------⌫--|
uestla surizdeu en ue	|--|-|----|---⌫--⌫-|
purq ueinel	--|-⌫--|-||
la fol ie uusf ustpardone e	-|---⌫-|--|-⌫--|-------⌫|
tostfetilmefu esc hap ee	---|--|-|-|-|---⌫---⌫-|
amifetilore	--|--|-|--|
neuoile zmesadam blamer	-|-----⌫|--|---|-----|
sile fr uitde larbremang a	-|-|--⌫--|-||----|----⌫|
que nostresi reli	--|-----|--⌫-|-|
lideab les licunseilla	-|----⌫--|-|--------|
eli pramis tsi grant honur	|-|------⌫|-|----|----|
que persereit a lcreatur	--|--|-----|-⌫|------|
pur ceo nede itnul encup er	--|--|-|--⌫-|--|-----⌫-|
autruifesanc eneblamer	-----|------⌫|-|-----|
nem ettre famesur	-|-⌫----|---|--|
chescun reprengeseimeme	------|-------|--|---|
telquidebl amerle fetd a utrui	--|----|--⌫---|-|--||-⌫----|
quemeuzdeuereit	--|---|-------|
repren drelui	------⌫--|--|
dunuilein cuntekientra	|-|-----|----|-|----|
enun mustere si	-|-|-----||-|
u nsuncheual aueitmut cher	-⌫|--|-----|----|--|---|
s i latachahorsdel mus ter	-⌫||-----|---|--|---⌫--|
adeurequistqu	|--|------|-|
illiaid ast	-|-|---⌫--|
equeunautretelche ual	|--|-|-------|---⌫--|
l idona st	-⌫|----⌫-|
fi s t ces teureisun	--⌫-⌫|---⌫-|------|
su n ch eual	--⌫|--⌫---|
em blentlila run	--⌫----|-|--⌫--|
fu delmust er ei ssuz	-|--|----⌫-|--⌫---|
siesteit sic heual	-|-----|-|-⌫----|
a rereuet hastiu ement	-⌫---|--|------⌫----|
si prie de udeuotement	-|---|--⌫|---------|
q ueaut rechos ene	-⌫-|---⌫-|----⌫|-|
nautrecheualmar li dure it	|----|-----|--|-|----⌫-|
a uerlesuen	-⌫--|-|---|
kar iln auera iames	--|-||----|----|
purceoned e it nulhum	--|--|-|-⌫-⌫-|--|--|
de plusauer	-|---|---|
quiln a mes ter	-|-|||---⌫--|
ceogartkedeu s	--|---|-|---⌫|
silisuffiseen	-|-|------|-|
u n uileinala almuster	-⌫|-----|--|-|-----|
suuentef eizpur	------|-⌫--|--|
adeure quistqu il	|--|--⌫----|-|-|
sa femmecun seillast	-|----|---⌫-------|
eses enfanz e	|--|-----||
cestepre ere aueitenus	----|---⌫--|----|-|-|
sou entledist	---⌫--|-|---|
odsih autc ri	-|-|-⌫--|-⌫-|
queunau treuileinlentendi	--|-|--⌫--|-----||------|
s ili respunthastiuement	-⌫|-|------|----------|
d e us temaudieomnipotent	-⌫-⌫-|-|-----|---------|
ta fem meetesenfanz petiz	-|---⌫-||--|-----|----|
enulsa utresne seitma udiz	|---|-⌫----|-|---|--⌫---|
p arceste essampleu ol tretreire	-⌫-|----|-------|-⌫--⌫|-------|
che scunde it t eleprierefeire	---⌫---|--⌫-|-⌫--|-----|----|
queala ge ntsei t pleisab le	--||-|--⌫-|---⌫|-------⌫-|
eadeuseitacceptable	||--|---|---------|
dunuileincunte kiaueit	|-|-----|----|-|----|
un e cau equilnu risse it	--⌫|---⌫|-|-|--⌫-----⌫-|
n urri q ue eleparla	-⌫---|-⌫-|--|----|
u eisin la l i tua	-⌫----|-|-⌫|--|
cils enclama	--||-|----|
alai u stise	|-|-⌫-⌫----|
sili cuntaenq ueile gui s e	-|-|----|-|-⌫----|---⌫-⌫|
icil oise lsule itparl er	---|----⌫|----⌫-|----⌫-|
les matine e se chanter	--|------⌫-⌫||------|
liiuges ditquil	-|----|--|-|-|
otmesf e t	-|----⌫-⌫|
ce l ui f istsumun dr e apleit	--⌫-⌫-|-⌫--|-----⌫--⌫||----|
dec ordew anpristunepel	-|-⌫-----⌫-|----|--|--|
mise suz su n mantel	---|--|--⌫|-----|
chesleisedehorspendre	---|----|-----|-----|
queliiugesd eu stente ndre	--|-|----|-⌫--⌫-|----⌫---|
quilli ap ortepur l uier	-|-|-|--⌫---|--|-⌫---|
q ue de sunplei tlideiueaider	-⌫-|-|--|----⌫|-|----|----|
lemantelsuuenten treouri	-|-----|-----|--⌫------|
ta nt que liiuges	--⌫-|--|-|----|
uileinfis t apeler	-----|---⌫|-----|
qu eert uenu a lui	--⌫|--|---||--|
delacauel idemanda	-|-|---|-⌫|------|
qu eiceoeste it	--⌫-|--|----⌫-|
queele ch anta	--|--|--⌫---|
e queile parole ele	|-----|-----|--|
cilrespundi qu il nesauei t	--|-------|-|-|-|-----⌫|
quant tu f et il	----|-|-⌫-|-|
rien ne saueies	---|-|------|
nesa parole nentendeies	-|-|-----||---------|
ne nien tn este itsachanc ons	-|----⌫||----⌫-|-|-----⌫--|
netunendei z auer	-|-||-|---⌫|---|
cilsenalasanz	--||-|--|---|
sadr eiture	-|--⌫-----|
luerd untcis tpristcure	---|-⌫--|---⌫|----|---|
pur ceone deitpr incenereis	--|--|-|---|--⌫---|-|---|
ses c uma ndemenz ne	--|-⌫---⌫------|-|
ac oueitus	|-⌫------|
mettree n bailie	-----|-⌫|-----|
dreitureenertp erie	-------|-|--|-⌫---|
dunuileinc unteke pristia	|-|-----|-⌫---|-|----|-|
unfoletquelungtensguei ta	-|----|--|---|---|----⌫-|
cilluido natre is uremenz	--|--|--⌫-|---⌫-|------|
pur quei nelmustr ast as ge nz	--|---|-||-----⌫--|-|--⌫-|
leuileinfuioiuse lez	-|-----|-|----||--|
qua ntsafemme est repeirez	---⌫-|-|----|--|-------|
lesd eusuremenzli dona	--|-⌫--|------|-|---|
un en retientpru nelgarda	-|-|------|--|-||----|
eissi furentbi enlungement	----|-----|--⌫-|--------|
nulurement	--|------|
desquea un iurqu	-----||-|--|-|
ilaue ie nt	-|---⌫--⌫-|
a un mangeruiles tei e nt	|-|-----||-|--⌫---⌫-⌫-|
de uneberbizlesch ine	-|--|-----||----⌫--|
duntl ameule a pareitfors	---|-⌫|----|-⌫-----|---|
enotgrantdesir er	-|-|----|-----⌫-|
uolenterslauou sistm anger	--------|-|---⌫---|-⌫----|
mesnepotaue ras	--|-|--|---⌫|-|
si aduréke	-|-|---|-|
liui leins	-|--⌫----|
eus t telbek mut	---⌫|--|--|--|
lu ngcu mli witecocs	--⌫-|--⌫|-|-------|
eissiauientcumeleura	----|-----|--|--|--|
eli uilei nssesm erueil a	|-|-----⌫-||---⌫------⌫|
uréque enu e iefust	---|--|-|-⌫-⌫-|---|
equesunuismem eeu st	|--|--|--|---⌫|--⌫-|
deu suremenzunt ia perduz	---⌫|------|--|-|-----|
que n ul n	--|-⌫-||
estsiauenuz	--|-|-----|
suuentef ezunt	------|-⌫-|--|
ki tropcreit	-|---|----|
aut riparole	---⌫-|-----|
quetutles de ceit e afole	--|--|--|--⌫---||----|
li fous quidedel	-|---|----|--|
q ueluoi ll eauerconsei llé	-⌫-||---⌫--⌫|---|------⌫---|
sic u m s eim es il i	-|-⌫-⌫|-⌫-|-⌫-|-||
karta ntneseitnetant n euaut	--|--⌫-|-|---|-|---|-⌫|---|
d u ngu pi lditq ueunenuit	|-⌫|--⌫--⌫|--|-⌫-|--|---|
esteitalé en sundeduit	-----|---|-|--|-----|
ma retrespassa	--⌫-|--------|
quantded enzlewe ga rda	----|---⌫--||--|--⌫--|
lu mbre dela	|-⌫---|-|-|
lunead ueu	---|-|--|
me sne sot	--⌫|-|--|
pasque iceofu	--|---⌫|--|-|
p ui sadp en sé en sunc urage	-⌫--⌫|-|-⌫--⌫--|-|--|-⌫----|
otueuun grant	-|--|-|----|
lew ecom en ce alap er	|--⌫|---⌫--⌫-||---⌫-|
tres bienquidaensunpenser	---|---|----|-|--|-----|
ewe de la mare ert mendre	--|-|-|---|--|-----|
quele furmage peustbien prendre	--|-|------|----|---|------|
t a ntadbe uquilc reua	-⌫-⌫-|-|--⌫|-|-|-⌫---|
ile oc chei	---⌫-|---|
puisne leua	---|-|---|
mei nthu mm eespeireu tre dreit	---⌫-|--⌫--⌫|------|-⌫--|----|
eutreceoq u il nedeue reit	|---|--|-⌫|-|-|----⌫---|
aauer tutesses uolentez	|---|----|--|-------|
du ntpui sestmorze afolez	--⌫-|---⌫|--|---||-----|
l ucunte k euit i adis	-⌫|----|-⌫|--|-⌫---|
uuncor belsesteitasis	|-|---⌫--||-----|---|
do sdeu neberbiz	--⌫|-|-⌫-|-----|
li lusparla odnoblesdiz	-|--|----|-|-----|--|
ie oueifetilgrant m e rue ille	--⌫|--|--|-|----|-⌫-⌫---⌫---|
lecorpsu rled osduneoweill e	-|---|--⌫|-|-⌫-||--|------⌫|
setla u sietditce o que	--|-||---|--|--⌫|--|
fetceoquefe ts anzcuntredit	--|--|--|--⌫|-⌫--|--------|
mal necrentd enuler ien	--|-|----|-⌫|---|-⌫--|
seisseieosaibien	-----|--|--|---|
quetutegentmehuer ei ent	--|---|---|-|----⌫--⌫--|
d e t utes	-⌫|-⌫---|
parz mescriereient	---||-----------|
que ieolauodre iemang er	--|--|-|-----⌫-|----⌫-|
ne melarreienta prismer	-|-|--------|-⌫------|
deltrich e ur	--|-----⌫-⌫-|
enesfreieste	-|-----|--||
sac un sciencelereprent	-|-⌫--⌫------|-|------|
quetu z cunui ssent sun	--|--⌫|-----⌫----|--|
f orme nt lipeisedelleal	-⌫----⌫-|-|----|--|---|
t ientsesfe z	-⌫---|--|--⌫|
cokre cunte kiestot	--|--⌫----|-|----|
su r unf emeresicha nto t	--⌫|-|-⌫---||-|---⌫---⌫|
parde lez li uientungupilz	--|--⌫--|-|----|-|-----|
apelap armuz beaus diz	----|-⌫-|--|----|--|
s i refe tilm ut teueibel	-⌫-⌫-|--⌫|-|-⌫-|-|--|--|
unc neui si	--|-|-|-|
gent oi sel	---|--⌫--|
clereuoiz assur tuterien	----|---|-|--|---|---|
forstunperequeiouibien	---|--|---|--|-|-|---|
unco iselmeuz nec ha nta	--|-⌫---|---|-|-⌫--⌫--|
fistmeuzkaril	---|---|--|-|
si pu isie oferedist licocs	-|--⌫-|--⌫|---|---|-|---|
lese lesb at le soilzad	--|-⌫--|-⌫-|--⌫|---|-|
chanter quidaplusclerement	------|----|---|--------|
ligupilsaut	-|----|---|
esil prent	|-||----|
uers lafores todlu i sen ua	---|-|-----⌫|-|--⌫||-|-|
parmiun ch ampu il passa	----|-|--⌫--||-|----|
curen taprest utl i	-----⌫|----|-⌫-|-⌫|
li chienslehuenttut entur	-|-----|-|----|--|----|
ueit legupil	---|-|----|
kilecoktient	-|-|--|----|
mar leguainasi	--|-|-----|-|
parensuient	--|--|----|
uafetl ic ocssilurescrie	-|--|-⌫|-⌫--|-|--|-----|
quesuituensne	--|--|----|-|
me larrasmie	-|-----|--|
ligu piluoltparl er enhaut	-|--⌫--|---|----⌫-|-|---|
elico csdes abu c h e	|-|--⌫-|-|-⌫|--⌫-⌫-⌫|
sur unh aut fusts estmuntez	--|-|-⌫--|---||--|-----|
quantli gupilzsest	----|-|-----||--|
r eguardez	-⌫-------|
mutparse t ient enfant illé	--|--|-|-⌫---|------⌫----|
queli cocsl	--|-|---||
ad si enginné	-|-|-------|
dema l talente ded reit	-|--⌫-⌫-----||-|-⌫---|
la buche cu mence amaudire	-|----|--⌫----||------|
kepar o le qua ntdeuere itta ire	-|---⌫-⌫-|---⌫-|------⌫-|--⌫--|
li co csresp untsideii eofai r e	-|--⌫-|----⌫--|-|--|-⌫-|---⌫-⌫|
maudir e loil kiu oltcl uiner	------⌫||--|-|-⌫--|--⌫----|
qu ant il d eitguarder e	--⌫--|-|-⌫--|------||
quema lne uienge	--|--⌫|-|-----|
a lurseignu r	|--|------⌫|
ce o f untlifoltutliplusur	--⌫|-⌫--|-|--|--|-|-----|
paro le n t quant	----⌫--⌫-⌫|----|
deiuenttaiser	------|-----|
teisentquantil deiuent parler	------|----|-|------|-----|
dun colu mb	|-|----⌫-|
cun te ke iadis	---⌫-|-|----|
sur u necroizs e ste it	--|-⌫-|----||-⌫---⌫-|
ungupiluient desuz siluit	-|----|----|----|-||--|
enha utp ar lasi li	-|--⌫-|-⌫--⌫-|-|-|
pur q uei seiez	--|-⌫--|----|
tufeti llasus	-|--|-⌫|-|--|
grantuentkar descentius	----|---|--|------|--|
odm eien cest abi	-|-⌫-|-|---|--|
ieon elos fere	--|-⌫||-|---|
ceorespundi	--|-------|
as po urde mei	-|--⌫-|-|--|
s itesai biendirepurquei	-⌫|-|--|---|---|--|---|
ainza unc unte	---||-|-⌫---|
ugran tpeople ot asemblé	|----⌫|-----|-|-------|
unbriefi uien tde part le rei	-|----||----⌫|-|---|-|--|
que admandé	--|-|-----|
par dreit efei	--|-----⌫|--|
quebesteaau trene	--|----||--⌫--|-|
na nul oiseli a de unepl ace	||--|----|-⌫|--⌫|-|--⌫--|
q ueentreeus neit messifeite gu ere	-⌫-|----|--||--|--|-|----|--⌫--|
pes ueutmettr ededenzsate re	--|---|-----⌫|-----|-|--⌫-|
ensemble purruntmes	-------|------|--|
oiseuse best e s e npes	-----||----⌫-⌫|-⌫|--|
du ncdesc e ndraifetl i culums	--⌫-|----⌫-⌫----|--|-⌫|-----|
me sieoueilalezces	--⌫|--|--|-|--|--|
deus che uale rsmuttos tale r	---|---⌫----⌫-|--|---⌫|---⌫|
sifun tdeus	-|---⌫|---|
chi enso d eusmene r	---⌫--|-⌫|--|----⌫|
gupilzsunt	-----|---|
il bie n pr es	-|---⌫|--⌫-|
i l cheu achent fetele ad es	-⌫|----⌫-----|--|--|--⌫-|
me uzest queen	--⌫-|--|--|-|
celeg raueuoise	---|-⌫---|----|
quepar euse ieestrifunoise	--|--|--|-⌫-|-----||----|
i lnu ntpastuz	-⌫||-⌫-|--|--|
ki uientdel rei io l uusafi	-|----|--|--|-||--|--|
nemestuuereitpas	-||---------|--|
situzle u ssent oi cunter	-|--||-⌫-⌫----|-|-----|
siuetdes feluns ueiz iez	-|--|--|-----|----⌫--|
sunt plusursenginnez	---|------|-------|
parp aroleparfaus sermun	--|-⌫----|--|---|-----|
cuml igu pil z fi stle	--|-⌫|--⌫---⌫|--⌫-|-|
liegles estdesoiseusreis	-|----|--|--|-----|---|
purceoquil e stpruz	--|--|-|-|-⌫-|---|
li ost urse st sissenescaus	-|---⌫--|-⌫-|--|--------|
quenesteitmie d eltutleiaus	--||-----|--|-⌫-|--|-----|
li egles sist parungr antchaut	-|----|---|--|-|--⌫--|----|
surlabranchedunc h eineen	--|-|------||-|-⌫-⌫---|-|
liostur sistpl usbasde	-|----|---|--⌫-|--|-|
gardaaua l siot ennui	----|---⌫|-|-|----|
des columsqu e d e suz uoletoe nt	--|-----|--⌫|-⌫-⌫--|-------⌫-|
iusa latereentreeus iuoen t	--||-|---|----|--|-----⌫|
uus uusiuezfet	--|--|---|--|
messilieg lesn ostr e r ei	--|-|-|--⌫--|-⌫----⌫|-⌫-|
sefustdiciunpoi remuez	-|---||--|-|--|-----|
es urun a ut refust uolez	|-⌫-|-|-⌫--⌫-|---|----|
ligiusi rei tenautreguise	-|---|-⌫---⌫|-|----|----|
ieo fer eiede	--|---⌫--|-|
uusiu stise	--|--⌫----|
pur ceonedeitprincesuoler	--|--|-|---|------|----|
seneschalde	--------|-|
gr antfierteauer	--⌫--|-----|---|
ne c oueitus	-|-⌫------|
n emente ur	-⌫|-----⌫-|
sinelueutferesunseignur	-|-||---|---|--|------|
uncheual ui t	-|-----|--⌫|
uherbecr u t	|----|--⌫-⌫|
de d enzun	--⌫-⌫--|-|
preme sn aparut	--|--⌫||-----|
lahaiedunt fu	-|---|---|-|
clos li prez	---|-|---|
al sai llir enzsestesteillez	-|---⌫---|--||--|--------|
pl usursbi enlesauez	--⌫----|--⌫-|-|----|
tantco ueitent luruole ntez	---|--⌫------|--|----⌫---|
neueient pas queile auenture	-|-----|--|-----|-------|
enuientapres	-|----|----|
pesante edure	------||---|
unr icheshu m ceo d itaueit	-|-⌫----|--⌫|--|-⌫-|----|
unc heualq ueuendre	-|-⌫----|-⌫-|-----|
es unb ustu ta unpris	|-⌫-|-⌫-|--⌫||-|---|
purui ntsouzceo distases	--|--⌫-|---|--|---||--|
che scundeusuoleitdu ner	---⌫---||--|-----|--⌫--|
sinu lles uousist	-|--⌫|--|------|
unsmarch anz les bargena	--|-----⌫--|--|------|
le c he u al d itquil	-|-⌫--⌫-⌫-|-⌫-|-|-|
meslib ucsnenu aleitnent	--|-|-⌫--||-|-⌫----|---|
li richeshum	-|-----|--|
par maltalent	--|--------|
dit queambe d eusachate re it	--|--|----⌫-⌫--|------⌫--⌫-|
ua mbes deus le s larreit	|-⌫----⌫---|--⌫|------|
ueer poe z	---|---⌫|
d eln unsauant	-⌫-|-⌫-|-----|
pris eautretant	----⌫|--------|
cumesunbontu toelement	---|--|--|--⌫|-------|
nepeotlesse rs un	-|---|-----⌫|-⌫-|
fol talent	--|-----|
c inus recuntecumuns	-⌫|--|------|--|--|
graueiuttut suls	----|--|--|---|
c ueaual lien tre	-⌫-|---|-|--⌫--|
unescarb ozdecialuentre	-|------⌫-|---|-|-----|
li lu ssaut	-|--⌫|---|
suss isesue illa	--|-⌫||----⌫---|
mutanguissusementcria	--|-------------|---|
tantseuultra etantsail li	---|-|-----||---|----⌫-|
q uel ies carbozs	-⌫-|-⌫|--⌫-----||
