o rfaitespaixpourDie	-⌫|-----|---|---|--|
macyen uoyépar bonneintencïon	||-|--⌫----|--|----|---------|
Comm echil z	----⌫|----⌫|
qu iestesprisp ar l	--⌫|--|-----|-⌫-||
inspiracïo n D A mou rsoutousbons	-----------⌫||-⌫---⌫-|-|---|---|
cuersont l eurpo ssessïon.L asi	----|--|-⌫--|--⌫---------|||-|
ena mourédeuostredoulcefachonQuil n	---⌫-----|-|-----|-----|-----|-|-||
af o rce cuercor pzne	|-⌫-⌫--|---|---⌫-|-|
pos sess ïo n Quil uousosastcompte rle grant	---⌫----⌫---⌫|-|-|---|----|------⌫|-|----|
affectï on La ouAmours	--------⌫-|-|-|-----|
d euouslaensubgiectïon.	-⌫|---|||-|------------|
Cartoutenti eremen t fait o bligacïonA	--|---|----⌫------⌫|---|-⌫---------||
uostreg ent cor pzseruir	-----|-⌫--|---⌫-|-----|
p ourac quer i rle don	-⌫--|--⌫----⌫-⌫|-|--|
Demercyparquiesten	-|----|--|--|--|-|
la uostrepr is on.Ete n	-|-----|--⌫--⌫--|-|-⌫|
de lui est representacïon.uo usdiz	-|--|--|---------------|--⌫-|--|
queloyaument	--|--------|
faitcestequestïon	---|----|--------|
Coumechilz qui estempris	----|----|--|--|-----|
amo ureulxbrando nDAm ourspar	---⌫-----|------⌫||--⌫---|--|
qu i ma in tcuers s ont	--⌫|--⌫--⌫|----|-⌫--|
ensub g iectïon.	-|---⌫-⌫--------|
Sy uous p rieet requier	-|---|-⌫--|-|------|
parsupplicacïonQue entendre uous ueu illiéza	--|------------|--|-------|---|---⌫------||
arai sonAc ell uipour qui faylameni straci ̈ on	|---⌫--||-⌫---⌫-|---|--|--|-|----⌫------⌫-⌫-|
Parla cause	--|-|----|
d Amoursq uien fait menc ïon	|-----|-⌫-|-|---|----⌫---|
Etque d esbiens de uousluidonnéz	-|--|-⌫-|----|-|---|--|------|
liuerision.Et quantGermaine otoÿceste	----------|-|----|-------|-|--|----|
coclusionDontre garde	--------|---|--⌫----|
Ga rine n deschan tlement onEt	--⌫--|-⌫|-------⌫|-|----⌫-|-|
luidistD amoiseaulx bienoch	--|---|-⌫---------|---|--|
uostre raisonM aisu ng s eulmo tuousdirayque i	-----|-----|-⌫--|-⌫-|-⌫--|--⌫|---|----|--||
aprisencanchon	----|-|------|
Queon doitl ommetenir	--|-|---||---|----|
a fol etabr icconQuitropaultruiauanc he	|--|-||--⌫----|--|---|------|-----⌫-|
et admenristson	-|--------|--|
nom.Et pourceuo u s dirays elon	---|-|---|-|--⌫-⌫|----|-⌫---|
cesteoccasion	----|-------|
Pa rle ́z po ur uostre besoigneQuant Garinsotparlerla	--⌫---⌫-|--⌫-|-----|-------|----|-----|-|-----|-|
GermaineBienu oitquelle nau oit	-------|---|-⌫--|-|---||--⌫--|
cueru ollenténe	---|-⌫-------|-|
e ntendrea	-⌫------||
A nthiamesa ra isontient au aine.A soymeism es	-⌫------|-|--⌫---|----||-⌫----||--|-----⌫-|
N enparl e ra ydelasepmaineCar	|-|----⌫-⌫--⌫|-|-|-------|--|
il nappartient point telcoute l	-||---------|----|--|-----⌫|
atell e gain e.D oulc e me n t	|----⌫|----⌫-|-⌫----⌫-⌫--⌫-⌫|
pristcongiéa	----|------||
labellecertaine.E tquant	-|----|--------|-⌫|----|
ce lle leuits yen futo utees trainePour	--⌫--|-|--|-⌫|-|-|--⌫--|--⌫-----|---|
c e que p arlén ot a l ui	-⌫|--|-⌫----||-||-⌫-|
mo ultsedema isne.E t Garin s en party	--⌫--|-|----⌫----|-⌫|----||-|----|
quideI hesu sesaigne Dela	--|-|-⌫---|-|-----|-|-|
chambreestyssusqui est belleetha utaine.	------|--|----|--|--|----|-|--⌫------|
Anthiaumee nae ncontré	--------|-⌫||-⌫-------|
quiat tendoitapaine.Qu antilpercheu t	--|--⌫------||-----|--⌫--|-|-------⌫|
Garrinfilzsa	-----|---|-|
prochaine uersluiacco urrutsy	--------|---|--|----⌫----|-|
d ista uoixhautaineG arri n	-⌫--||---|-------|-⌫----⌫|
uostreco ulle urestia chang ie	-----|--⌫----⌫-|--|-|-----⌫-|
engr aine Deuen ueestuer mei lle. -	-|--⌫---|-----⌫-|--|---⌫---⌫---||
Syre sedis t Ga r inalechieremembreeIeuieng	---|-|---⌫|--⌫-⌫-||-|-----|------|-|----|
dela pucellequi	-|-|------|--|
tant est hon nouree. uobesoingluiay	---|--|---⌫------|-|------|--|-|
moul tbienditte	----⌫|---|----|
et compteeEt	-|------|-|
luiaytrestoutd it uo	--|-|-------|-⌫-|-|
cuer etuo pensseeEt syaylapucellemoult	---|-|-|------|-|-|-|-|------|----|
tresbienauisee. Et me d istau	---|---|------|-|-|-⌫--|-|
partircest	-----||--|
uerit e ́prouueeQue ie	-----⌫-⌫|------|--|-|
uousenuoyasse en sachambrep areeEt l auousen	---|--------|-|-|------|-⌫---|-|-⌫|---|-|
seras entence	---|-⌫------|
declaree. Qu antAnthiaum e l oÿ se	--------|--⌫--|--------⌫||--|-|
ala ch ie re clineeNe fustmie	|-|--⌫--⌫-|-----|-|---|--|
aussyl yés	----|-⌫---|
d u neco ntree.Aice lle pa rolledonti	|-⌫-|--⌫-----||---⌫--|--⌫----|---||
deuisee Commenchaau pall as u ne	------|--------|-|----⌫-|-⌫-|
grandehue e CarNarc hilli us est oit	-----|---⌫|--|----⌫-----⌫-|---⌫--|
ladehors enmi	-|-----|-|-|
lapree.A usbaillesferu	-|----|-⌫-|------|---|
te llementdu nees pee	--⌫------||-⌫-|--⌫--|
p armilem oillonl	-⌫---|-|-⌫-----||
auoitpresquecoppee.Etd i soit cleremen t allenn ee	----|------|------|-|-⌫-⌫---|--------⌫|------⌫-|
Faulx Cristi ens	----|------⌫--|
fauls séfellonsgensd effaee Ditt esa	-----⌫--|------|---|-⌫-----|----⌫-||
se i gneu rsans nulledemoureeQuilm enu oye droi tcy	--⌫-⌫----⌫|---|----|-------|-|-||---⌫--|----⌫|-|
sa ns pl usf aire	--⌫-|--⌫-|-⌫---|
arrestee Qu attrefransCristi ̈e nschescunlat este arme eAffinse	-------|--⌫----|----|------⌫--⌫-|------|-|-⌫---|----⌫|----|-|
c hescun nai tlatestecoppee Qarriere m	-⌫-----||--⌫|-|----|-----||------||
enyra yen lamoye	-|---⌫|-|-|---|
contee.Etse matterlespuichamahache	------|-|-|-----|--|----||-|----|
haceree Queiaye l a	------|--||--|-⌫|
pucellequi est demoyamee.Q uantle	------|--|--|-|--|----|-⌫---|-|
royAi ̈mera lach ose	--|--⌫---||-|--⌫--|
Pourceque laci t éestoit	---|-|--|-|--⌫-⌫-|-----|
moul ta ppressé Auoient moultsesge ns la	----⌫|-⌫-------|------|----|--|--⌫-|-|
chosedesire e	----|------⌫|
Car on dist etc esturayNestsi	--|-|---|-||--|---||--|-|
tr enchant esp ee	--⌫------|---⌫-|
Comme ce st defamine. Leroy fumoult	----||-⌫-|-|------|-|--|-|----|
d ollant etaussyfusa gent.	-⌫-----|-|----|-|-|----|
Etdu f ierNa rchil usmenoie ntparleme ntQua	-|-|-⌫--|--⌫-----⌫-|------⌫-|-------⌫-|-||
quattre cheualliers	------|----------|
plainsdegrant hardementBattail lerequeroite tung	-----|-|----|--------|-------⌫-|--------|-⌫|--|
ca mpproprement.	--⌫-|----------|
A ta nt esuous Ga rinetAnthiamel egent.Quant	|--⌫-|-|---|--⌫--|-|-------|-⌫|----|----|
le royleschoisy se	-|--|--|-----|-|
leurdis tsaigeme ntSeigneursb arons distil cons eill iéz	---|---⌫|-------⌫-|--------|-⌫----|---|-|----⌫----⌫---|
brie fment Du	----⌫----|-|
fell ontN archi llusquelecorpzDieucrauentA	----⌫--|-⌫-----⌫---|--|-|----|---|------||
es tuenus demande ren presentA quattrecheuallie rs	--⌫|----|-------⌫|-|------||------|---------⌫-|
uistement. Et	---------|-|
semes che ualliers sont uaincusnulle ment	-|--|---⌫-------|---|------|-----⌫---|
donnrayma fi lleetluiaray enco nu ent .E ts	------|-|--⌫--|-|--|---|-|--⌫--⌫---⌫|-⌫||
iles t oituai ncusil	-|--⌫-⌫--|---⌫---|-|
fe rale sermentEtilpartiradecy a	--⌫-|-|------|-|-|------|-|-||
so n efforcement.Plus nefer ont	--⌫|-----------|---|-|---⌫--|
uersnousnoi zenull ement.Et qu antGarinl	---|---|---⌫-|----⌫-----|-|--⌫--|----||
oït grantuergoignele	---|----|--------|-|
prentQuild emandebat tailleainsiatantdegent.	----|-|-|-⌫-----|---⌫-----|----||---|-|----|
auisaetpuisdis tdou ceme nt Sir eroy	----|-|---|---⌫|---⌫----⌫-|---⌫|--|
deSezilleuou s	-|------|---⌫|
urayementQuemedeu éz ung don	--------|--|-|---⌫--|--|--|
sansnul reffuzement Sau lfuel on neur	---|--|----------|---⌫---||--⌫---|
de u ouset	-|-⌫--|-|
uog ouuernement.- Garrin cedistle r oyc est	-|-⌫-----------||-----|-|---|-|-⌫-||--|
certain e ment.Bienpouézdem and erauostrecommandementEt	-------⌫-⌫----|---|-----|---⌫---⌫-||-----|-----------|-|
reffuselecorpzDieumecrauentCardesseruylaue ́z	------|-|----|---|-|------|--|-------||---⌫-|
u ersmoysy	-⌫--|--|-|
loy aumentQueencoresl e uousottroy.-yres	---⌫-----|--|------|-⌫|---|------||---|
se dist Garin mon	-|---|----|--|
don deman deray Caruousle me	--|-----⌫----|--|---|-|-|
deue ́ze t iemenpa yeray.Et p our	----⌫-|-⌫|-||-|--⌫-----|-|-⌫--|
u ousdemandeung donquea u oir uor ay.	-⌫--|------|--|--|--|-⌫-⌫--|---⌫--|
Ce nes td orne d	-||--⌫||-|-||
carlauo lentén	--|-|--⌫-----||
ay Maisfair elecamp	-|---|----⌫|-|---|
a ug ay antsans	-⌫|-⌫--⌫--|---|
dellay.C orps	------|-⌫---|
acorp iemyesprouueray.	|---|-|||-----------|
Iay telle fiance enDieu q uifistle	|-|----|-----|-|---|-⌫-|---|-|
ra y Et ain s	--⌫|-|---⌫|
lesollay couchant ieleuous re nderay .Certes	-|-----|-------|-|-|---|--⌫------⌫|-----|
ou uifle uous pr esenteray.Ce stled on	-|--|-|---|--⌫---------||-⌫-|-|-⌫-|
q ue ie ueuilaut re	-⌫-|-|----|---⌫-|
demanderay.Seleme r effuze ́z a	----------|-|-|-|-⌫------⌫-||
pariuruoustenray.- Et Garrindist	-----|---|------||-|-----|---|
le roy enuiz l ottriray.Etge ntilfi lz ie	-|--|----||--------|-|--⌫---|--⌫-|-|
a umeilleursens	-⌫|-------|---|
queia y Ser equie rch	--||-⌫|-|-⌫-----⌫--|
un gautre d o n	--⌫|----|-⌫-⌫|
et iele ottryray.-Sire	-|-|-|--------||---|
distGarin par le san g deC ambraySeie	---|----|--|-|---⌫|-|-⌫-----|-|-|
n ay cedo n cyfaulx	|-|-|--⌫|-|----|
uouscla meray.Mais tenéz moyconue ntetf oyet	---|---⌫-----|---|-----|--|-----⌫-|-|-⌫-|-|
iem armeray.-	-||-------||
mafoyd istle roy e nuy z iele	-|--|-⌫--|-|--|-⌫---⌫|-|-|
teferay. Maise nl onneurdeDieu	-|-----|---|-⌫||-----|-|---|
et des ai nt	-|-|-⌫--⌫-|
Mariequeie re cl amerayLedonque	----|--|-|--⌫--⌫-----|-|--|--|
auéz re quiz	----|--⌫---|
pointneleuousre tou rneray.Alléz	----|-|-|---|--⌫---⌫------|-----|
uou s a ppresteret	---⌫|-⌫-------|-|
uo usarm eray.Quant Germaine le sceut adontcrya	--⌫-|---⌫----|----|-------|-|----|----|---|
Hahay A ÿ	----|-⌫-|
G a rinamistoncorpziolyetgayIaimmais	-⌫-⌫--|---|--|----|---|-|--|-------|
en mon uiuanten cambrene	-|--|-----|-|-----|-|
tenrayAinsy distlapucellee tGarrinsa ns	-----|----|---|-|------|-⌫|-----|--⌫-|
della yFistap prester	-----⌫|---|--⌫------|
lesarmes.Garinfuo u pallaisquinoblem en tregna. Anthiaume s	--|-----|----|-|-⌫|------|--|------⌫--⌫|-----|---------⌫|
Gerinmoultformen tluibla smaDe	----|----|------⌫|--|---⌫--|-|
ce quea u fel gayantsifai tement	-|--|-⌫|--|-----|-----⌫-----|
yra.Chescunlu idistAmispourDieu n	---|------|--⌫|---|---|---|---||
yalléz iaMais	|-----|-|---|
Garrinrespond y queiane s entenr a.	-----|-------⌫|--|-|-||-|----⌫-|
Le ro y lui uestla uberch	-|--⌫|--|---||-⌫-----|
lelme lui l anchaEt	|---|--|-⌫----|-|
GerinetAnthiame schesc un luibie naida.	----|-|--------⌫|-----⌫-|--|---⌫|----|
Bonnescauches de	-----|------|-|
fer le berGarr i n	--|-|--|----⌫-⌫|
cauchaChai nt l	-----|----⌫-||
etlecr oixenbaisa	-|-|--⌫--|-|----|
Et e spoi tet coutel	-|-⌫----⌫|-|-----|
m ien eoub lÿa.Ung bon	-⌫-|-⌫|---⌫----|--|--|
cheual courrantl e	-----|-------|-⌫|
bonroyluiliura Etfucouuert	--|--|--|----|-|-|------|
defer e t Garr in	-|--|-⌫|----⌫-|
mon t a.Tost et	---⌫-⌫-|---|-|
has t iuem entle ha iame	---⌫-⌫----⌫--|-|--⌫---|
lachaLeriche bl a son	----|-|----|--⌫-⌫--|
lelan cheappoigna.QuantGer maine leuoi tle	-|---⌫--|--------|----|---⌫----|-|---⌫|-|
s ancluimua. Elle	-⌫--|--|---|---|
dreschelemai ndoulcheme ment le sei gna.Le r oyet	------|-|---⌫|---------⌫---|-|---⌫---|-|-⌫-|-|
sesbaro nsmoult	--|----⌫-|----|
bie nle conuoya.An th iamefudeléze tGerin l	---⌫|-|-------|--⌫--⌫---|-|-----|-⌫|----||
adexstra. Ch escunas o n	--------|--⌫----||-⌫-⌫|
pouoirledui stetdoctrina. Seig n eurssed i stGarin	-----|-|---⌫-|-|--------|----⌫-⌫---|-|-⌫-⌫-|----|
sauézcomment	-----|------|
il ua. Ieuous s çay	-|--|-|---|-⌫---|
ce q uenendoubtéz	-|-⌫-||-|-------|
ia.Ihe susl e	--|---⌫--|-⌫|
uo usre ndequinous fi stetcr eaEt	--⌫-|--⌫--|--|---|--⌫-|-|--⌫-|-|
i ayfiancheenLu iquecy me	|-|------|-|--⌫|--|-|-|
ramenra.Etsil	-------|-||-|
me fa ult morir etDieuxdestiné la	-|--⌫--|----|-|----|-------|||
Nesuizcuns	-|---||--|
pour esho ms sicommemeo ublyra Ca r	----⌫-|--⌫-|-||---|-|-⌫-----|--⌫|
ielayoÿ dir eetreco rd er	-||-|--|---⌫|-|----⌫--⌫-|
piechaA te lsaintte loffrand e. Leroy	-----||--⌫|----|--⌫|-------⌫-|-|--|
sesbaronssafille et	--|-----|-|----|-|
gen tMont eren t	---⌫|----⌫----⌫|
a cresteaul xauironneement Pouruei ̈rdeGarin	|---------⌫|------------|---|---⌫-|-|----|
lenoble hardiement. Dela	-|----|----------|-|-|
cite ́ yssy arm é moultnob le ment. uersle s	----⌫|---|---⌫-|----|---⌫--⌫----|---|--⌫|
baillessenuaou legayant	------||-|-|-|-|-----|
Ate rrefuassizladormoit	|--⌫--|-|----|-|------|
fer memen tDe ssoubz	---⌫-----⌫|--⌫-----|
le s pinette surlerbequir e splent	|-⌫-⌫------|--||---|--|-⌫-⌫-----|
De lézune	--⌫---|--|
fontainequicouro it	-------|--|-----⌫-|
roide ment.Enlombr efu assi z et	-----⌫----|-||----⌫|-|----⌫|-|
garde ne se n	----|-||-⌫|
prentQueainsyonle uiengneueoi r ains yne	----|--|----|-|-|------|----⌫|----⌫|-|
aultrement.Deson	----------|-|--|
blason s efu targiésouffissanmen tEts i auo itungmu r	-----|-⌫|-|------|-------------⌫|-|-⌫|---⌫-|--|--⌫|
qui letrait	--|-|----|
lui def fent.Laestoita cestes	--|---⌫----|-|-----||-----|
si bienet tell eme nt Nagardede	-|---|-|----⌫---⌫-|||----|-|
quarreaul x contraire nullement.EtGarinscheuauchaquiaIhesus	---------⌫|--------|---------|-|-----|--------|--||-----|
a ttent.La l anche	-⌫-----|-|-⌫----|
portedroitteoul e pignonappent. S ezillioizle	----|------|-|-⌫|-----|------|-⌫--------|-|
regardentco mmentilua fie rment .Dieux dïentles barons	--------|--⌫----|-|-|---⌫-----⌫|----|-----|--|-----|
e nsem ble	-⌫----⌫--|
onn imentueizquel c heuallierco mmen t	---⌫----|---|---|-⌫--------|--⌫----⌫|
estentC omme n t porte l	-----|-⌫----⌫-⌫|----||
escu de uant lu igenti eulmen t-Parmafoydi st le	---|--⌫---|--⌫|-----⌫------⌫||--|-|--|--⌫-|-|
roy il est	--|-|--|
h ommeetgent. Moult d igne	-⌫---|-|----|----|-⌫---|
seroitdetenircas sement.Dame sainte	-----|-|----|---⌫------|---|-----|
Marie mereduS apïe ntSy	----|---|-|-⌫-----⌫-|-|
uray que uo chierfilueÿéz entourment	---|--|-|----|--|------|-|-------|
quIl recheut lamor t	-|-|------|-|---⌫|
pour rachettersagen t Seme	---|--------|-|---⌫|-|-|
s aulue ́zcestui	-⌫-----⌫-|-----|
carie lamel o yaulment.Iele doybien	--|-||--|-⌫-⌫--------|-|-|--|---|
amer sebon sangne me men t	---|-|--|---|-|-|---⌫|
Quant me saul uala	----|-|----⌫-|-|
uie.Ainssy	---|-----|
dis oi tleroyquiauxcristeaulx	---⌫--⌫|-|--|--|--|---------|
estoit.EtGerma inesase ur	------|-|-----⌫--|-|--⌫-|
deuoteme nten p ri oit.	--------⌫-|-|-⌫--⌫---|
Anthiaumeet Gerin	--------|-|----|
che scunaDi eudisoi t	---⌫---||--⌫-|-----⌫|
OrisonpourGarinqui bien	-----|---|----|--|---|
améz es toit	----|--⌫---|
la loyault é quiensoncorpzregnoit.ue nus est	-|-------⌫-|--|-|--|----|-------|--⌫--|--|
espined or moit Oulombresurlepierreléz	-----|-⌫--⌫---|-||----|--|-|-----|---|
lefonta inedroit.Or	-|-----⌫--|-----|-|
Gar inqueledia bleysoitLe	---⌫-|--|-|---⌫--||---|-|
gayantsesuei llaet	-----||-----⌫--|-|
Garinregardoit.Sy	----|---------|-|
tostquille	---|-|-|-|
ueoit se ul aleterreseclinoit	----|--⌫-||-|----|-|------|
Nese daigna	-|-|-----|
leuer pour cequ eseul	----|---|-|--⌫|---|
leuoit.Garins en fudollansque	-|----|-----|-|-|------|--|
sipeule p ri soitSe distqu ennuliour	-|--|-|-⌫--⌫---|-|---|-|-|--|---|
ia ai nsy nelecombatroit	-|--⌫--|-|-|---------|
Ca r anul uasse lai ge tournéne	--⌫||--|-----⌫---⌫-|------|-|
luis eroit. Lors a b baisse lelanche	--|-⌫-----|---|-⌫-⌫-----|-|-----|
le gaiant boutoit. Ors u sse di st Gar infel	-|-----|-------|-|-⌫-⌫|-|--⌫-|---⌫-|--|
glouto n malëoit -	------⌫|-------||
Commentdis tle gaiantmais tuboutte du	------|---⌫|-|-----|---|-|-----|-|
d oit- Nainil sedist	-⌫--||-----|-|---|
Gar i ns maisdeceferbi en	---⌫-⌫-|---|-|-|--|--⌫-|
roit Dontieuou s ochirayains	---|---|-|---⌫|------|---|
uespresoi t.-	-----|---⌫-||
Enffesdist	-----|---|
asfa i nnesoitI ete	-|--⌫-⌫|-|---|-⌫|-|
prypa r amou rmenguee tseboit	--|--⌫|----⌫|-----|-⌫|-|---|
Etpuisseten reuae nlachitétout	-|---|-||-|---|-⌫|-|-----|---|
droitCar l e mie ncorpz a tie niammaissassem bleroit	----|--|-⌫|---⌫|----||---⌫|------||-----⌫------|
auoitIIIIo u uI	----|---|-⌫|-|
c h yen droit .	-⌫-⌫|--⌫-----⌫|
ce di stGarrin iefe rr a y tel	-|--⌫-|-----|-|--⌫--⌫-⌫|--|
exp loitQues eul	---⌫---|--|-⌫--|
iet ochyraysoit atort ou a	-||------|---||---|-||
droit.- Parmafoy	-----||--|-|--|
di stle Turchloyerme co nuenroitLes p iés	--⌫-|-|----|----|-|--⌫-------|--|-⌫---|
e t le smainsets	-⌫|--⌫|----|-||
mesloyoitS earoiz tu ass éz a	--|-----|-⌫|----|-|---⌫--||
faire. - E nffen sdist legaya n t	-----||-⌫-----⌫|---|-|----⌫-⌫|
pointbleschie r	----|--------⌫|
Saiche ssetu	------⌫|-|-|
me faisencontre t oy	-|---|-------|-⌫-|
dresc hierIet eferray	-----⌫---|-|-⌫|-----|
l escostes brissïer.Ieneuoroye	-⌫-|-----|---------|-|-|-----|
dundoita ton	|-|---||--|
c orp zatouchier.-	-⌫---⌫|---------||
uagl outon	-|--⌫----|
sedistGarin	-|---|----|
Dieux uous	----|---|
doinstencombrier Pou r c h e	-----|---------|---⌫|-⌫-⌫|
que iete u euil cy endroit	--|-|-|-⌫---|-|------|
courrouchierIete diray	-----------|-|-|----|
qui iesuiz	--|-|---|
po urt o ypl us engaignier	--⌫-|-⌫-⌫|--⌫-|---------|
suizcilz quirescout	---|---|--|------|
m on seigneurmondroitturier Lebon	-⌫-|-------|--|----------|-|--|
Sezillequi tant faita prisier Qu	------|--|---|---||------|-|
aquat tre Sa rrazinstufiz	|----⌫--|--⌫------|-|--|
ottroyer.Tousquattreles uaincqu izd edens le	--------|---|------|--|-------⌫-|-⌫----|-|
ui uie rEt	--⌫---⌫|-|
roy sainsaulf et	--|---|----|-|
entier.D i st lefel	------|-⌫-⌫-|-|--|
gay a ntT enaurast on	---⌫-⌫-||-|----|-⌫-|
loyer. Ilt e uau lsis t	-----|-|-⌫|---⌫----⌫|
tropmieul xtesparollesl aiss ier.O n parlebien	---|-----⌫|--|-------|-⌫----⌫---|-⌫|----|---|
tantque onhonist	---|--|-|-----|
sonpl aidy erEttu arastantparléque tu	--|--⌫----⌫-|-|-|---|---|-----|--|-|
encombrie r.Adont	---------⌫-|----|
sus n yotq ue	--|||-|-⌫-|
courrouchie r. Ce sambl oit	-----------⌫-|-|-----⌫--|
auleuer ung diabled In fferBien	-|----|--|-----||--⌫---|---|
Xupi e ́sauoit	-|--⌫-⌫-|----|
etbie np re sdun	-|---⌫|-⌫--⌫||-|
quartie r. uersG ari n sen alla	-------⌫-|---|-⌫---⌫||-|---|
legentilesc uier.Se l uihost ale	-|-----|---⌫----|-|-⌫-|----⌫|-|
cuissedesoncourant destr ier	-----|-|--|------|-----⌫--|
Contremont le leua et leboutaarrier	---------|-|---|-|-|----|-----|
Sy quil fist	-|-|-|---|
leche ual et	-|---⌫--|-|
Garrin tresbuschierEtpuis	-----|-----------|-|---|
fonta in esallarecouchier.B ien lui cuidoi tau oirr ompu	-----⌫--⌫||---|----------|-⌫--|--|------⌫|--⌫--|-⌫---|
hanesp ier .QuantG er maineleuitbiencuida	------⌫---⌫|----|-⌫--⌫----|-|--|---|----|
e sragierEtleroy	-⌫------|-|-|--|
reclama le Peredroitturier.An th i ame et Gerin c om menche rent a	------|-|---|-----------|--⌫--⌫-⌫--|-|----|-⌫--⌫------⌫---||
Aÿ seigneursba ronsallonsGarri n aidierL e gaia ntle	--|--------|--⌫---|-----|-----⌫|-----|-⌫|----⌫-|-|
n ul recouurier. El lasquema lall alai oustecommenc hier	-⌫-|----------|--⌫--|--|--⌫|---⌫|-|-⌫----|-------⌫---|
Mortla o ultr ecuidanche. Or furent	---|||-⌫----⌫----------|-|-----|
pourGarrin courrouchié et	---|-----|-----------|-|
dollant. Las qu il lec onneuïst ledeuil	-------|--|-|-|-|-⌫--------|-|----|
y f u stplus gra ntDe	|-⌫-⌫-|---|---⌫-|-|
et d Anthiamequi estoye ntplaisa ntCarGarinest	-||-------|--|------⌫-|------⌫-|--|----|--|
l orfreresi	-⌫-|----|-|
ensceuent n eant .	-|------|-⌫----⌫|
Aussy nescet Garrinquilleur	----|-|---|-----|-|-|---|
soitattenant N e	---|-------|-⌫|
cuide seurn efrere auoirie uo us c reant.Ate rre	----|---|-⌫|----|----|-|--⌫-|-⌫-----||--⌫--|
l auoit abbattule	|----|------|-|
traïttregayantMais	--------|-----|---|
G arinsassézt ost seleuaenestan t.Pardes soubz	-⌫----|-----|-⌫--|-|---|-|-----⌫-|------⌫----|
l espinette cho isyson malueuillantQui	|--------|---⌫--|--|--|--------|--|
h ault ementluidistS e	-⌫----⌫----|--|---|-⌫|
tureuiens aua nt Toncor pzmahaigneray pa rmondieuTe rg uant	-|------|---⌫-|--|---⌫-|----------|--⌫|--|---|--⌫--⌫---|
mafoy distGarinain s te	-|--|---|----|---⌫|-|
ferray d ollant Le spee quiltenoit	-----|-⌫-----||-⌫---|-|-|-----|
ua contre montleua nt Au	-|------⌫---|----⌫-|-|
gayantsenua	-----||-|-|
tel h orrïon donnantQu el e	--|-⌫------|------|--⌫|-⌫|
sennes trebrachlui ua	------⌫--|----|--|-|
parmicoppant. Quant le	--|-|-------|----|-|
gayantleueyt	-----|-|---|
luig i sant Adontg iettaungcry	--|-⌫-⌫---|----|-⌫----|--|--|
sy oribleet gra nt	-|-----|-|---⌫-|
Q uetouttela	-⌫-|-----|-|
chitée nuaret entis sant. Quant	-----|-⌫|-|---⌫-----⌫----|----|
lesCristiens loÿrentilzenfurent	--|--------||------|--|-|-----|
ioyant.Lyung ala ul t r e dist uela	------|-|--|||-⌫--⌫-⌫-⌫|---|---|
ho mmeuail la nt I ammaisroy	--⌫--|----⌫--⌫-|-⌫-----|--|
Narc hilusn e n yra gabant.Etlega yantseua	----⌫----||-⌫|--|------|-|-|--⌫---|-|-|
uistem entdreschant.	------⌫--|---------|
G archondis t legai antqui te u a	-⌫-----|---⌫|-|---⌫--|--|-|-⌫|
conseil lantQuan t tume uasen sy	-------⌫---|----⌫|-|-|--|--⌫-|
esmehaignant Parlefoyqu eiedoyMahonl etout	-----------|--|-|--|--⌫|-|--|----|-⌫|---|
penderaycontreue n t bally ant.Lors giettauers Gar r inun g	-------|-----|--⌫-⌫|-----⌫---|---|-----|---|---⌫-⌫-|--⌫|
grantcouteltrenchant	----|-----|--------|
EtGarrinde stournalecop	-|-----|--⌫------|-|--|
enrenuoyantE t	-|--------|-⌫|
lecoutelpassapa rautelcon uant	-|-----|----|--⌫|----|---⌫---|
Que parddensung a rbre	--|-------|--|-⌫---|
en tr abien	--⌫--⌫|---|
ungpietgra nt.Ceueirentle sCr istiens aprés l	--|---|---⌫--|-|------|--⌫|--⌫------|-----||
e sto ursiuant.	-⌫---⌫-|------|
uale p ayenson espee sacqu ant All exandre otanon	-|-|-⌫---|--|----|-----⌫--|---⌫------|-||--|
Galla ntAuec Dur endallespeeauducRol lant.Oncqu es	-----⌫-|---|---⌫----||----|-|--|---⌫----|-----⌫-|
sibonneespee	-|----|----|
n euitonapparantCardemip iet	-⌫|--|-|-------|--|---|-⌫--|
etplus a uo it biende t ai llan t.Et	-|---|-⌫--⌫-|---|-|-⌫--⌫----⌫-|-|
Garrin leferydelesp ee en lanchantSy	-----|-|---|-||---⌫-|-|-------|-|
quillui en tammale	-|-|--|--⌫----|-|
h auberc h iaserant Etlena ura enc harque lesang	-⌫------⌫|-------|-|-|--⌫--|-|-⌫--|--|-|---|
e nuafillant.	-⌫|-|-------|
Diables distNarc h ilusquiuitoncques tel	------|---|----⌫-⌫---|--|--|------|--|
enffant.Pité sestquil	-------|-----⌫|--|-|-|
necroi tMahom neTerguantCar	-|----⌫|----|-|-------|--|
mou lta u assellaige. Le	---⌫-||-⌫----------|-|
dollant en luin	------|-|--||
ot quaÿrer.DAlle xandres espe eallaGarrin	-|-|------||----⌫-----||----⌫|---|-----|
frapper. Sur son hayaume	-------|--|--|------|
a montlall a si assenn erQue	-⌫---||---⌫|-|------⌫-|--|
lechiercleet	-|-------|-|
les fleu rse nf ist ius auall erEtdel	--|----⌫-|-⌫|-⌫--|--|-----⌫-|-|-||
aisc hieraussyle	----⌫---|----|-|
estinceller. Laes peetournamaisfist	-----------|-|--⌫--|-----|---|---|
crauenterEt qua rt ierafait	--------|-|---⌫--⌫--||---|
