ad mes mainsestuenuznouelement	-|--|----|--|----|---------|
alepe r delest atio ndelte nset	--|--⌫-⌫-||---⌫----⌫|--|--⌫-|-|
soite stin t edetote	---|-⌫----⌫-⌫|-|---|
memorie et ne soitr eman brédign e	------|-|-|---|-⌫----⌫---|----⌫|
en ce sts iecles	-|--⌫-|-⌫-----|
miazmefustnianzestre neine	---|-|---|----|----|--|-|
enianrez necreeiencestsiec l e	-------|-|----|-|---|----⌫-⌫|
lesparmin ablespoinestor m a nzcielet	--|------⌫----|-----|---⌫-⌫-⌫-|---|-|
terre ettotecr eature	----|-|---|--⌫-----|
et tui tli elem antplorezm oi	-|---⌫|-|----⌫--|-----|-⌫-|
uni uer segeinzeingim is	---⌫---⌫-|----|------⌫-|
so r mo iettanz	--⌫|--⌫|-|---|
cu mpoitpar	--⌫|---|--|
sente ment de	-----⌫---|-|
uieasp a ndoiz	--|---⌫-⌫----|
s ormolo plor pechié aicrument	-⌫-|-|-|---|------|-|------|
chauz soif ormantetgriment	----|--|-⌫-----|-|------|
et r epitabl emen tnuspechie znest	-|-⌫-------⌫----⌫|--|------⌫||--|
decuiordezneseie	-|--|----|-|---|
entachie z nulle	--------⌫|----|
enfartezdeu ice n	-------|-|-⌫--||
es d uni e	-|-⌫-|-⌫|
n aitrai t	|-|----⌫|
ent achem a nt nulesobitaine	---⌫-----⌫-⌫-|---|--------|
de s o rdezn	--⌫|-⌫---||
est quenecor rueen	--|--|-|---⌫--|-|
moichait ifdet oten tot	--|-----⌫-|-|-⌫-|-|--|
ecum iniezparto ztor manz	----⌫----|--|--⌫|---⌫---|
escrauantez niant noblamantai	----------|----|--------|-|
freque nte ilaluxured ordeideg rei	------⌫---⌫|-|-----||----|-|-⌫--|
ie en bienuiuoroiece	-|-|---|-------|-|
queie promas nekarde	--|||-----|-|----|
onquestoztansier ep araiapechie	-----|--|---|-|-⌫--⌫---||-----|
etrencommencé raiice lui	-|-----------|--|---⌫--|
eta primieresfa loniesaiostaades	-||--------|--⌫-----|-----|---|
pa ornec h an iaunques mes	--⌫-|-|-⌫-⌫--⌫-|-----|--|
ret ornaides mas	---⌫----|--|--|
faiz pluorsaientachié	---|-----|-|--------|
perdanzmoimaime s e tperu ert ié	------|--|-----⌫|-⌫|----⌫---⌫--|
fa lonie parmau uaises mo rs	--⌫----|--|---⌫-----|--⌫-|
mentesanmes suntper iespar	-----|----|---|---⌫--|--|
f alo nieetma i ntsunt	-⌫---⌫--|-|--⌫-⌫-|---|
perue rsfaitparenxamplede	-----⌫-|---|--|-------|-|
aca us adesmais	|--⌫--⌫|--|---|
sainzhommee t	----|----|-⌫|
lip o plesdessainz	-|-⌫-⌫---|--|----|
ore zpormoi adeu	---⌫|--|--||--|
sipar auentureaitpiete de moi	-|--|-------|--|----|-|--|
merecouue et	-|------|-|
destruemonpechie etos te	------|--|-----|-|--⌫-|
folonie et	------|-|
mepre stei	-|---⌫---|
mis ericord ecartropesti ri z sor	---⌫-------⌫|--|---|--|-⌫--⌫|--|
moi e t atempl isa	--|-⌫|-|----⌫|-|
farsoen nerieemmoi tote licongp anie	-------⌫----|-|--|---|-|-----⌫---|
de ssai nz deproi ez	--⌫|---⌫-|------⌫-|
pormoi lire	--|--||--|
des indignationat	-||----------|-|
espanduesormoipor	-------|--|--|--|
gr and acedem iniquit et kar les	--⌫---⌫--|-||-------⌫-|--|--|
ad ue r sitezsuntcrues	--⌫--⌫-⌫----|---|----|
et lespreuarications multipliesw aa	-|--|-------------|---------|-⌫||
moicariesuiconsu mm ez	--|--|-|--|-----⌫--⌫-|
etmanimedef aillie tormenteieen	-||----|---⌫-----|---------|-|
t ristortriule iem pl or	-⌫-----|------⌫|-|--⌫-|
atenuieen gemissemenzquirep itere	------|-|----------|--|---⌫----|
detoiotuanme	-|--||-|---|
et teconsentereit et	-|-|-----------|-|
plorspo rtoi granz	----|--⌫|--|----|
tes tormen z	--|------⌫|
asic ontaco ntricions et	--|-⌫-|-|--⌫--------|-|
siconlimers	-|--|-|---|
forse nn astado lors	-----⌫--⌫-|-|--⌫---|
asi c umlifluues	--|-⌫-|-|-----|
enflanzquetempestez	------|--|--------|
n esttrabuchie sor	|--|--------|--|
s untauenuesatoi	-⌫--|------||--|
totes les pe santumesdes	----|--|--⌫-------|--|
moleste e tle s	------|-⌫|--⌫|
trestr ob les	---|--⌫--⌫--|
tempestezunttonéso rtun chief	--------|--|----|--⌫|--|----|
etdetempestez os tuanmeou es	-|-|--------|-|-|---|-|-|
tuward edes homes	-|----⌫|--|----|
rachiteresetpastresdesanimes	---------|-|------|--|-----|
tudespe zet	-|-----⌫|-|
torn ei tafaconen s us demoip or	----⌫-|-|----|--⌫-⌫-|-|--|-⌫-|
es tuf azl onzos	-|-|-⌫-|-⌫--|-|
conforde manimeor repairemes	-----|-||----|-|------|--|
deusnemeobliere nfin	---|-|-|-----|-⌫|--|
neemlasieremparmignableetne	-|-|-----|-|----------|-|-|
degirpir a	-------||
perdreempoistes	-----|-|------|
desdiables	--|------|
iasoitce q ueta	-|---|-|-⌫-|-|
so itcorrec ietu	--⌫-|------⌫-|-|
es pisetdirepitanc es	-|--|-|-|--------⌫-|
nul nedegi rpis	--|-|----⌫---|
nul ne despesne d eiuges ne	--|-|-----|-|-⌫-----|-|
ref uses de m isericorde	---⌫---|-|-⌫---------|
maisde grei	---|-|---|
pi tanceatens les	--⌫----|----|--|
reparentcar	-------|--|
quantsalen o setdene iaslu xureset	----|-----⌫-⌫|-|----⌫|-|--⌫----|-|
dem oneipar cuuis es	---⌫---|--|-----⌫-|
suntuenuapardonpartabonteitu	---|---||-----|--|-|-----|-|
espardonée npard ons	-|-------|-⌫|----⌫--|
les pechiezamenzqui nel	--|------||---|--|-||
monstreaisitar epi tance emmoi	------|---|-|-⌫---⌫----|-|--|
a moisaitaiuueres	|--|---|-------|
tes pardonsne	--|------|-|
con silie ́a plu s or sie	---⌫-----⌫||---⌫-⌫--⌫|-|
n edef ent	-⌫|---⌫--|
pasm esfeloniesneneuengerai	--|-⌫-|-------|-|-|-------|
m espechiz ame d esplaistkeche	-⌫-|-----||-|-⌫-------|-|--|
merroretco nu ismescolpes	|----|-|--⌫--⌫-|--|-----|
dem o nstramasour espar	---⌫-⌫----|--|---⌫-|--|
uo i zdeconfessionie prei	--⌫-⌫|-|---------|-|---|
recois loplor d elrichesant	-----|-|---|-⌫-|--------|
lauoizdelpriantet delpechor	-|---|--|-----|-|--|-----|
huchantpec hi tai	------|---⌫--⌫|-|
aies mercidemoiesparnea mes	---|----|-|--|------||--|
maispa rdonea	---|--⌫----||
pechiezetame sfelon iessainem	------|-||--⌫|-----⌫--|----||
enni mecarie ai	----⌫-|--|-|-|
recor de l	-----⌫-||
iniquitet quilo	--------|--|-|
soferreainesli	--------|--|-|
iusticedel i ustenestseure	------|--|-⌫---||--|----|
atonexprouement	|--|----------|
karqui est si iustequ i l	--|--|--|-|----|-|-⌫|
osed ire sens quisi	--|-⌫--|---|--|-|
diepresumptionauoiriusticed e u ant	--|----------|----|------|-⌫-⌫-⌫--|
toicar nus	--|--|--|
deshom es n estsai nzpechieet	--|---⌫-||--|---⌫-|-----|-|
nus nenest	--||-|--|
echeuosentre lessainz n est	------|----|--|----||--|
nus senst ache	--|---|-⌫---|
quiseruirent deune furent	--|--------|--|-|-----|
estables etensan geles	-------|-|--|--⌫----|
e st ratr oueimauuestiz les	-⌫-|----⌫---|--------|--|
e stoilesneli ceil	-⌫------|-|-|---|
netenton esgardement asezplus	--|-|--|----------|---|---|
abhominablesetpo rriture	-----------|-|--⌫------|
fizd ommeet uersqui	--||---|-|---|--|
ai espusiez	-|-------|
l opechiecummelesrigorz	-⌫|-----|----|--|-----|
et buitlafeloniecumm el auequi	-|---|-|------|----⌫||--|--|
hab ite enmais on	---⌫--|-|----⌫-|
e t de morenpoidrier eet ai	-⌫|--⌫--|-|--------⌫|-|-|
t e rrienf undemant	-⌫-⌫----|-⌫-------|
remembre toi ques soit ma	-------|--|---|---|-|
sustanceetkeiesuis	-------|-|-|-|---|
detosette rresui	-|--|-|--⌫--|--|
etpoisireuur e	-|------|---⌫|
ta m ai nestentades t re	-|-⌫--⌫|----|-|---⌫-⌫-|
conse illeala mala de matire	-----⌫---||-|----⌫-|-----|
socoralacharn alflauoteimes	----||-|-----⌫-|-------|--|
plaiessoientauuer tes	-----|-----|-----⌫--|
atoime nfertez est	|--||-⌫------|--|
d euantt oitu	-⌫----|-⌫-|-|
uoescumiesui	---|--|-|--|
nau r ezetla nguis sanzdo ne	---⌫-⌫-|-|--⌫-----⌫---|--⌫-|
med icin e parq uoi	---⌫----⌫|--|-⌫--|
i esoiesaneze tcurezrapele lo	-⌫|---|----|-⌫|----|-----|-|
hainoisdes	------|--|
reformel ocorrompuparpechie	------|-⌫|-------|--|-----|
es t ingem m oila	--⌫-⌫--|-|-⌫-|-|
desormasnemetrepercen t	-------|-|-|---------⌫|
liardantdartdel	-|-----|---|--|
diableet nearde n t p l us e mm oika r	-----|-|-|----⌫-⌫|-⌫-⌫-|-⌫|-⌫-|--⌫|
tuse sq ueste mptacion s	-|--⌫|-⌫--|--⌫--------⌫|
ieportques fluuesettempe stezie	-|---|---|-----|-|-----⌫---|-|
s ofr eou iesus	-⌫---⌫|-|-|--|
c h a uzet d ec orurz ouiem alauros	-⌫-⌫-⌫-|-|-⌫--⌫----|-|-|-⌫------|
suiplungiez car	--|-------|--|
negligentai enco rruen	--------|-|----⌫--|-|
decheemant et	---------|-|
niant ua i sos	----|--⌫-⌫--|
su i chauz	--⌫|----|
enlaide fosse	-|----|----|
bran destormenzetchaitis	---|--|------|-|------|
suidesenduzem	--|-------|-|
parfundecedes maus	---------|--|---|
etquetu marme es t	------||---|--⌫|
cai tiue des infernau s	---⌫---|--|--------⌫|
deliurem aidel tresgrant	------|-⌫-|--|---|----|
enferneme cloeparfundec e n e ne	----|-|-|---|---------⌫|-⌫|-|
de net less ueetq uetu	--⌫--||---⌫-|---⌫---|
li ior z a redoter aper	-|---⌫||------|---|
dariensi orzu ientia	------|-⌫--|-⌫---|-|
et aproche	-|------|
deui en ulle	-|--⌫|-⌫---|
chosenesor estamo i	----|-|---⌫--||--⌫|
ma isquelito n blesetlisepulcres	--⌫----|-|--⌫-⌫---|-|-|--------|
esparneamoi ancesqu e	------||--|-------⌫|
i eennetaiemo ia nzq ue	-⌫|-|-----|--⌫|-⌫---⌫-|
cest e uie	----⌫|--|
etso ll e sliens	-|--⌫|-⌫-⌫|----|
d eme s anzqu e	-⌫|--⌫|-----⌫|
comuz sui etcomp onzalarmes	----|--|-|----⌫--||-----|
plo rsriquirtlarmesa moi	---⌫-|------|-----||--|
etm econs trent	-|-⌫|----⌫----|
ala rmesaplo rs	|--⌫---||---⌫-|
aiesp andu larmes	-|---⌫---|-----|
tonplainem a n	--|-------⌫-⌫|
remis en larmesde us	----|-|-----|--⌫-|
t otroitte s	|-----|--⌫|
disiers et par donet	------|-|---⌫--|-|
asparnantpardon etatoi	--------|------⌫-||--|
deuspe ndetensusd etoiette	---|--⌫---|----|-⌫|--|-|-|
r elaxet es pechieizasolue	-⌫----|-⌫-|-------|-----|
t achesde tes crimin es	-⌫----|-|--|------⌫-|
leuedetoteporreturede mal	---|-|---|--------|-|--|
e tt ed elirt	-⌫|-⌫|-⌫----|
detozaparantpechiz orf a i	-|--|------|-----|-|-⌫-⌫|
ensic umilcouiente tdignechose	---|-⌫-|-|------|-⌫|----|----|
e tdro itest proposeet	-⌫|---⌫-|--|------|-|
estau l isquetu nepechesdes	-----⌫-⌫-|--|-|-|-----|--|
orenauantesciuis	-|-|----|------|
recomm entier tes	------⌫-----|--|
colpese trequer retes	-----|-⌫|------⌫-|--|
mausne terapelera uice	---|-|-|------||---|
esch auznereco men tie rceque	-|--⌫--|-|----⌫---⌫---⌫|-|--|
tespechiéner equierres	|-|------|-|-⌫--------|
les tre spassezmas	--|---⌫------|--|
loparaisapr es t ondechaem entnet	-|-----|---⌫-|-⌫-|-------⌫--|-||
awasteraprestonplo rne	------|----|--|---⌫|-|
repariera pechi aprespeni tencenefare	-------||----|----|----⌫----|-|---|
loparasl esplor ez	-|----|-⌫-|----⌫-|
pech ieznerecommentierpar	----⌫--|-|-----------|--|
presum ption	------⌫----|
lacolpedum	-|----|--|
pardonue neest li	-----|--⌫-|--|-|
pe nitencelaqu e leli	--⌫------|-|--⌫-⌫-|-|
e nsu anzcol peordetli plaie	-⌫---⌫--|---⌫-|----|-|----|
refaiteestsane	------|--|---|
l i souan tploranzs es	-⌫|-----⌫|------|-⌫-|
pechiez desert tost	------|-----|---|
desmasnniantli	--|--||----|-|
pl or s il	--⌫-||-|
refuntlespechiezni	-----|--|------|-|
uait ni ant preir pardondesm a s	---|--⌫--|----|-----|--|-⌫-⌫|
rencomment ier les	----------⌫--|--|
par mainenconfessio net	---⌫---|-|---------⌫|-|
formantempenit enceco n formaeta	------|-|-----⌫---|--⌫-⌫-----|-|
boneuiequete sencom mentiea	---|--|--||-⌫|-----⌫-----||
tenir nedeuir pitlo p roposemant	----|-|-----⌫--|-|-⌫---------|
uiewarde l o ia	--|----|-⌫-⌫||
parm anablementdumcierparfaitet	----⌫---------|---|--|-------||
sale iec ali saluzest	|--|--||-|----|--|
promis seet	------⌫-|-|
l iloie rsdenezas	-⌫|----⌫-|----|-|
perseueran z	----------⌫|
n esp asbinaur o s q ui bien	|-|-⌫-|------⌫-⌫|-⌫-|---|
quiadesl ofait	--|---|-⌫|---|
carqui pers eue retiec ala fin	--|--|----⌫---⌫--|--||-|--|
il cil ert sas	--⌫--|--|--|
anmeki desoren	---|-|--|-|-|
nifa c esnian tsoefment	-|--⌫-⌫-|----⌫|-------|
nesensconse l nesdeme ntne	-|---|-----⌫|--|----⌫-|-|
soitrequis lim as ne	---|-----|-|-⌫-|-|
lipechizne ne reperei niquitez	-|-----|-|-|-----|-⌫-------|
nelamalicene renasse	-|-|-----|-|------|
falinieetl i	------|-|-⌫|
reprenet forces	-------|-----|
toi maimesquitu	--|-----|--|-|
soiesporcoi soiesn ez	----|--|--|----|-⌫-|
que lusenian rezporcoi	---⌫|-|-----⌫--|--|--|
so iesfaitzpar quel	--⌫--|----|--|---|
condition s oiesformis eta	--------|-⌫---|-----|-||
choses oies creetz en cest	----|-⌫---|-----|-|---|
sicleremanbretoide tacondicion	----|-------|--|-|-|--------|
soie s ce porcoitu	----⌫|-|--|--|-|
ett es cumlicrehere s	-|-⌫-|--|-|-------⌫|
estaubligardedetofai	-------|----|-|-|--|
etni antcor ru mpue	-|--⌫--|---⌫--⌫---|
m aigneen toi droiture	-⌫----|-|--|-------|
corrumpuef oiz deconfe ssionet nu lle	--------|-⌫--|-|-----⌫----|-|--⌫--|
fa use doctrinen et e sosdue	--⌫--|-------|-⌫|-⌫|-----|
nulleperuersereligions	----|-------|--------|
c orr umpe nullema uisti z nete	-⌫---⌫---|----|--⌫-----⌫|-|-|
det orn edelaco mpani ede foit ne	---⌫---⌫|-|-|--⌫-----⌫|-|---|-|
parlernulecho se	-----|---|---⌫-|
folem ent de	-----⌫--|-|
deunecuidir	--|-|-----|
nule chosemaiuais ene	---|----|-------⌫|-|
felon essedecrist	-----⌫---|-|----|
ne correcier	-|--------|
niantensadile ction	----|-|-|----⌫----|
peruerseme n tso i esiu ste	----------⌫-⌫|--⌫-⌫-|--⌫--|
etaies sancteconue rsation en	-|---|-----|-----⌫------|-|
dr oiture foit c elu i cui te	--⌫-----|---|-⌫---⌫|--|-|
apelespar foitnede n eier paroure	-----|--|---|-|--⌫-⌫---|--|---|
faiastinance	--|--------|
quilil oisdefent etescheuis	--|-|-⌫--|-----|-|-------|
contradient ne	----------|-|
fairen iantc ontrele	----|-⌫---|-⌫----|-|
coma ndeme ntdede	----⌫-----⌫-|-|-|
em biens enzaiuntedenul malnule	-|---|-⌫--|-----|-|--|--|---|
mauuaiseco nuersat i ons	-------|--⌫-------⌫-⌫--|
entache tesbone s morsli mal	------|--|----⌫|---|-|--|
faitnecorrumpent	---|-|---------|
les bonesuures	--|----|----|
l i mas meslez	-⌫|--|-----|
castep luorschoses	----|-⌫----|-----|
uns mauspermaintbi ensquienune	--|---|--|----|--⌫--|--|-|--|
c oiseetpechisa ch es	-⌫---|-|----|--⌫--⌫-|
qu il s ochest atozautr e suice spar	-|-|-⌫-----||--|----⌫-⌫|----⌫|--|
mei nte siu sti ces parunmal p uent	---⌫---⌫|--⌫---⌫--|--|-|--|-⌫---|
estr edestruitmen	----⌫|-------|--|
nenab assierton	--|--⌫-----|--|
corage encequili	-----|-|-|--|-|
d ilectizne	-⌫------|-|
do nerassent ema nt	--⌫--|------⌫---⌫-|
a lacharn al	|-|-----⌫-|
delectatio nne	----------⌫|-|
dene rtameenla postee	----⌫||--|-|-|-----|
dechar ne snetaipunse del	-|---|--⌫|-||------|--|
de chares quir	-|---|--⌫---|
co rage kachesioretes pro uetoncur	--⌫---|-----|--|-|--⌫---⌫-|--|--|
par pri eue e panse	--|---⌫---⌫|----|
esquirles repost ailesdetez	-----|--|------⌫----|-|--|
secrez garde tame	-----|----||--|
de mauuaise	-|-------|
panselaidec ogitationsne	----|----|-⌫---------|-|
tapansemundeta conscienc e	-|----|----|-|---------⌫|
de pech iet es co ragesuiet ex purgiz	-|----⌫-|-⌫-|--⌫---|----|--⌫-----|
de totespollucionsta	-|----|---------|-|
purenul es	---|---⌫-|
asicenten ilcelei	------|-|------|
uicessoitensusdetoi	----|---|----|-|--|
quenesniant	--||-|----|
remagnenten toncor a gee nl	--------|-|--|---⌫-⌫-|-⌫||
e ncoman cemant rest aala	-⌫------⌫-----|----⌫||-|
mauaisepen sesa che sto iaiugier	------|---⌫-|--⌫---⌫|--⌫||-----|
nesdespe nses de us	--|--|--⌫---|--⌫-|
iugelescon scian cesdeu s n	---|--|---⌫-----⌫--|---⌫||
esprouemiestansolemantlacha r	------|---|--|-------|-|---⌫|
maisneslespanser deus iugier es	---|--|--|-----|---|------⌫-|
iugelamenesdecogitations	---||--|--|-|----------|
quantlim auua isepense	----|-|-⌫----⌫--|----|
neasentir a	-|------||
etqu ant tamoneste	-|--⌫--||-------|
aucunedesleaus	-----|-------|
choseniteni rtoncorage	----|||----⌫|--|-----|
despislapremiresuges tionde	-----|-|------|-----⌫---|-|
pechienelalasierman air	-----|-|-|-----|---⌫--|
entoncorage debo tela	-|--|-----|----⌫-|-|
aleuientdespis	--|----|-----|
poisq uil tiert	-----⌫|-||---|
calche lo chiefdel	-----|-|----|--|
s erpentetl	-⌫-----|-||
emcommen cementde m auuai se	--------⌫-----|-|-⌫-----⌫-|
suges tionialokesamade lac olpe	-----⌫---|------|----|-|-⌫---|
on alenast en meimes	-|--|---|-|-----|
locomancema nt resta alacogitati o n	-|---------⌫-|----||-|--------⌫-⌫|
et tencesiuenq ueres	-|----|-|----⌫----|
esclo lo cifd ecogitat i o net les	----|-|--|-⌫|-------⌫-⌫-⌫|-|--|
a utresc hossesunt	-⌫----|-⌫----|---|
uen cuessitudespeslacogitatio n	---⌫---|-|-|-----|-|---------⌫|
en toncuir	-|--|---|
neperueremies	-|------|---|
situneco nsensa la	-|-|-|--⌫----||-|
tostresteres aluur e	---|-------|||---⌫|
liotroiznesumaitpasa so i	-|-----|-|-----|--||--⌫|
celui cu ilidiles t ion	----|--⌫|-|-----⌫-⌫--|
n era uis t	-⌫|--⌫---⌫|
li corsne puit	-|---|-|---|
estrec orrupuzsi	----|-⌫------|-|
l i cursne stprimiers	-⌫|---||-⌫-|-------|
corr umpuzquaml ame	----⌫----|---||--|
mantenantlacharaperi liea	--------|-|---|-----⌫--||
ca rlicor agesauancelachar en	--⌫|-|---⌫---|-----|-|---|-|
crimine et l i charsnepuit	------|-|-⌫|----|-|---|
f ai re nia nt si cenonque licora ges	-⌫--⌫-|---⌫-|-|-|--|--|-|----⌫--|
uui tsor ce esmunde	---⌫|--|-|------|
toncuirdecogitationkarsiu usne	--|---|-|---------|--|-|-⌫-|-|
p ues a tremantde	-⌫--|-⌫------|-|
totentotestre uencuzanime	--|-|--|----|-----|----|
oique ie parolascote	-|--|-|----|-----|
que ie diente n t quesemon	--|-|-|----⌫-⌫|--|----|
nesoiesu astez par	-|----|-⌫----|--|
nu leordet	--⌫-|----|
pa rnule luxure entac hi zsustraitoi	--⌫|---|-----|-----⌫--⌫|------|--|
d eto te corrupt io ndechar	-⌫|--⌫-|-------⌫--⌫|-|---|
luxu ren e sesfor st	----⌫-|-⌫||-----⌫-|
teuanq ueuard e	-|----⌫-|----⌫|
toncors denesoies o rde z par	--|---|-|-|----|-⌫---⌫|--|
fo rnication	--⌫--------|
nulecharnal entachem antnecuit	---|------|--------⌫--|-|---|
estre paorpe chietk estreordezpar	----|---|--⌫----||----|----|--|
fo r nication	--⌫-⌫-------|
de tozpechizest f ornic a tionsplus	-|--|-----|--|-⌫-----⌫-⌫----|---|
granzcarmiez est	----|--|---|--|
m orique faire fornication etk estre	-⌫--|--|----|----------|-||----|
entachizpar lux ure miezest	-------|--|---⌫--|---|--|
espan drelanmequ amperd re	-----⌫--||---|--⌫-|----⌫-|
i c ele par	-⌫-⌫--|--|
nulec ontina nc ef ait	---|-⌫------⌫--⌫|-⌫--|
deuprochien a	--|-------||
lanm e et ren tlo	|---⌫|-|---⌫|-|
hommeprochien a	----|-------||
mant etdeusli ch astez	---|-|---|-|--⌫----|
aiostelomme	-----||---|
tr ait e n ciletpromat lo	--⌫--|-⌫|--|-|-----|-|
raignedecei letdone	-----|-|---⌫|-|---|
liri tage d elcie l	|---⌫---|-⌫-|---⌫|
mais liluxure	---|-|-----|
plungetet enuoit	------|-|-----|
et moineapoines	-|----||-----|
d enfer mas	|----|--|
sensan core les	---|--⌫---|--|
mo lestesete s tochiez parles	--⌫-----|-|-⌫|------|--|--|
agulenema ntetbotez	---------⌫-|-|----|
par la suges ti ondechar si m emoire de	--|-|-----⌫--⌫-|-|---|-|-⌫-----|-|
fornicationtespr ent	----------||----⌫--|
ancoresetlich arzsiconba t atoi	------|-|-|--⌫--|-|-----⌫||--|
etluxuretesaie	-|-----||----|
ettes imont contre iate atoi la	-|-|-⌫----|------⌫---||--|-|
memoire demor t	------|-|---⌫|
et loior de tonexemantetaios te	-|-|--|-|--|------|-|----⌫-|
deuant t eouz	-----|-⌫|--|
propos eatoi lauen ir	------⌫||--||----⌫-|
iugeman tetlestormanz	-------⌫|-|--|------|
etleshorribl espoinesden fer	-|--|-------⌫-|-----||--⌫--|
niant def alantpar lar mes	----|---⌫----|--|---⌫--|
nostresegnor nui tetior	-----|-----|---⌫|-|--|
toresons soit sanz	|------|---|---|
censer etespause	-----|-|------|
t eso res ons	-⌫-|-⌫---⌫--|
s o i e ntasi d uesarmes	-⌫-⌫-⌫-⌫-|---⌫-⌫--|----|
etne d efaillent iaesta	-|-|-⌫--------|-|---|
espasema ntetadesenor esons	--------⌫-|-|---|-|--⌫----|
et gem isetplain tostans	-|---⌫-|-|----|--|---|
noiztaapraire	---|-||-----|
torisons ua ilesoi es	|------|--⌫--|---⌫-|
en oresonepanse as	-|-----||----|-|
n o turnausuailles	-⌫-⌫------|------|
tesouz clos a	--|--|---||
mesureprai elo	-----|----⌫|-|
liep ense etli c ontinues	-|--⌫---|-|-|-⌫-------|
oreso ns o stentetdebotent	-----⌫-|-⌫----|-|-------|
etsormo ntent	-|-----⌫----|
lesdar zdesdiabl esc	--|---⌫|--|-----⌫-||
e st l ipre miere	-⌫-|-⌫|---⌫----|
uert uzenco ntre	----⌫-|----⌫---|
les enu aisse m anz d es	--|---⌫-----⌫-⌫--|-⌫-|
te nt acionset	--⌫--⌫-----|-|
les essaimanz	--|--------|
desdeableslio rz e s p eriz est	--|------|-|-⌫-|-⌫-⌫-⌫---|--|
uencuzet de botez par frequente	-----|-|--⌫----|--|--------|
praireet cha u cemant	-----|-|---⌫-⌫-----|
d ore sonli	|---⌫--|-|
diabl es sunt	-----⌫-|---|
uen cutpar	---⌫--|--|
ores onet ale uaut e ncontretoz	----⌫-|-|--|---|-⌫------|--|
to uato ilo pain	--⌫||--⌫|-|---|
chastietoncors pararcha rsitei	------|--|---|--|-----⌫-----|
est udoi teieniunesetabstin ances	---⌫---|--|-|----|-|------⌫----|
porte paleuiareet	----|---|----|-|
s acc orsf ame llos et aies	-⌫-|-⌫--|-⌫---⌫---|-|---|
abstint oi et tedesa che	-----|-⌫-|-|-|----⌫--|
ue nkre tempt ations	--⌫---|-----⌫-----|
esest ruitp ari u nes	-|---⌫---|-⌫-|-⌫-⌫--|
luxur ecraistparuiu andeset li	-----⌫|-----|--|---⌫----|-|-|
solacedemangierla suscite	-----|-|------|-|------|
l itentaci on sde	-⌫|-------⌫--⌫|-|
charcrast par	---|----|--|
glot enie luxu retos	----⌫---|----⌫-|--|
t ens aio steiasolace	-⌫--|---⌫---||-----|
encontree st	-------|-⌫-|
rastroiteets or mo nteipar iugne	--------|-|-⌫--⌫--⌫---|--|----|
ostei l a soilacen	----|-⌫|------||
luxureplus dammecaruencue pa r	-----|---|----|--|-----|--⌫|
a stinancedec har l ias ti nance	-⌫-------|-|-⌫--|-⌫|--⌫--⌫----|
uoi nt l aforcedeluxureoci	---⌫-|-⌫|----|-|-----|--|
ets ormunte	-|-⌫------|
la luxureet	-|-----|-|
enueseurede	--------|-|
c harpars a ifpar	-⌫--|--|-⌫-⌫-|--|
etlipans e est agrauaia p armut	-|-|----⌫|--|-------|-⌫-|--|
uinueninsestmiez	--|-----|--|---|
uaill anz delcorageli lixureet	-----⌫--|--|-----|-|-----|-|
senurisemanse ste ns iea et	-|---------|-⌫-|-⌫--⌫--|-|
nuriaparuin	----|--|--|
car liboiure	--|-|-----|
estru mentd eluxure	-----⌫---|-⌫|-----|
lienbrasemant	-|----------|
del f ucraistaiostelo nurixeman t	--|-⌫|-----|-----|-|---------⌫|
l ifl amm eestplus acreue	-⌫|--⌫---⌫|--|---|-----|
a iosteela	-⌫-----|-|
ma tierem esmelioil	--⌫----|-⌫---|-|--|
sunt dart delux ureliu euhe	---|---|-|---⌫--|-|-⌫---|
estprimer ainscouis e defamesli	--|------⌫---|-----⌫|-|----|-|
panse estpris e	----|--|----⌫|
parlesou y	--|--|--⌫|
carlidatdamor	--|-|--||---|
su nt enueié	--⌫-|------|
paresgardema ntli	--|---------⌫-|-|
cuuises nurist	------|-----|
lixure li esgarzfait la panse	-----|-|-----|---|-|----|
deslealesprant l an me	------|------||--⌫-|
neuren tlocuir liueerssoit	------⌫|-|---|-|----|---|
sostraitraprese	-------|------|
tes ouizdenuese urenesfichierenl a	--|---||------⌫--||-|------|-|-⌫|
bea utedechar	---⌫--|-|---|
n esgarder	|-------|
nule encuuiriceleios telo	---|-|----|-----|--⌫-|-|
cuui seet lama tiere	----⌫-|-|-|--⌫----|
depechiesituu o is	-|-----|-|-|-⌫-⌫-|
estre seurs	----|----|
soies d eparti zde ton	----|-⌫------⌫|-|--|
cors et de to n uaircar	---|-|-|--⌫|---|--|
dep artizde	---⌫----|-|
to ncorsuas ensus	--⌫|---|--|----|
entencion depechiemasmis	--------|-|-----|--|--|
sarp ant nes er esmie	----⌫--|-|-⌫--⌫-|--|
san smaumiselongema ntestanzde uantlo	---⌫|------|-------⌫-|-----|--⌫---|-|
fufnes si tues	--|--|-|-|-|
serasramis	----|----|
ac un efaiene	--⌫--⌫|---|-|
long e ment prochie i r	----⌫-⌫---|-------⌫-⌫|
loperil li ompechetos par	-|----|-|-|----|--|--|
assiduiteetpriuetezl	--------|-|-------||
e nt acher asoua ntliocusun	-⌫--⌫-----⌫|----⌫-|-|-----|
pechieliasidui tezs ormonte	-----|-|------⌫--|-⌫------|
souentefai zicesles	------|---⌫|---|--|
