ainzkelamalege nt dep erse	-----|-|---|--⌫-|-|-⌫---|
trestuzic elske	------|--⌫--|-|
elecumforte	--|-------|
kioffreno speticiuns	-|----|--⌫|--------|
a sonfizenosureisuns	|--|--||--|-------|
pec hiezrequie rtpardun	---⌫---|------⌫-|-----|
enuersdeu eremis siun	-----|--||-----⌫---|
cheredameduc ereine	----|---|---⌫|----|
preezpurn us	----|--|-⌫-|
saintemesch i ne	-----|-----⌫-⌫-|
ueillu ma uu sfuium	------⌫||--⌫|----|
de que re ntie ruus	-|---⌫|-⌫----⌫|--|
keu usnenuslais se zestraire	-|-⌫-|-|--|----⌫--⌫|-------|
ne sauomnus q ue faire	-|----|--|-⌫-|----|
pr eezpur nus uostrefi z	--⌫--|--|--|-----|--⌫|
quilnusface uerss ei	-|-|--|---|---|-⌫-|
apr oci er	---⌫---⌫-|
trestu t li cresti en d elmund	------⌫|-|------⌫-|-⌫-|---|
en uusdame lur fianceunt	-|--|---|--|-----|--|
auusfuiumauus te nd um	|--|----||--|--⌫--⌫-|
adeu paruozal m es re ndum	|--|--|--|--⌫-⌫-|--⌫---|
e uu sdameeuos tre	|--⌫|---||---⌫--|
s aluumn us dequeorentier	-⌫----|-⌫-|-|----|-----|
eglorifi u m nuiteior	|-------⌫-⌫|---||--|
uostre fiz nostre c her seignur	-----|--|-----|-⌫--|------|
qu epurraipa rlerqu edirrai	--⌫|-----|--⌫---|--⌫|-----|
uquelloe nge offerai	|---|---⌫--|------|
a celui q uideuusn a squi	|----|-⌫-|-|--|-⌫-⌫---|
kisie stduz pa rsamerci	-|-|-⌫-|--|--⌫|-|----|
defalt puracu n ter	-----|--|---⌫-⌫--|
ses meruei ll es a demus trer	--|------⌫--⌫-||-----⌫---|
si cumdau iddi telsal ti er	-|--|---⌫-|--⌫|-|---⌫--⌫-|
pu r noz oueraignesbienpreisier	--⌫|--|---------|---|-------|
uoz ouer aine s	--|----⌫----⌫|
magnef ieesep reisees	------⌫---||-⌫------|
acestui estbiencouenable	|-----|--|---|--------|
le wangile	|-⌫------|
ladeuparable	-|--|------|
aportezstolee	------|----||
si lues tez	-||---⌫--|
e an elen sun	|--⌫-|-|--|
e chalce zlepar grant	|------⌫|-|--|----|
uee lsaluage	---⌫|------|
ociezle simangum	----|-|-|-----|
enm ani antde ioie esleescum	-|-⌫---⌫--|-|---|--------|
purceokenostrefrere	--|--|-|-----|----|
esteitmort epuis reu esqui	-----|---||---|---⌫----|
pe rduest eitore	--⌫--|---⌫--|--|
es ttroué	--⌫|-----|
damnedeu en	-------|-|
se itauré	--⌫-|----|
tantcu mlie u e sque	---|--⌫|-|-⌫-⌫-⌫---|
loenge iesucrist	-----|---|----|
terre theo fil us	----|----⌫---⌫-|
siqueunkesneleua sus	-|--|----|-|---|--|
e sten duestpi tus ement	-⌫----⌫-|--|--⌫---⌫----|
deu antleu esqueelecoue nt	---⌫--||--⌫----||-|----⌫-|
lieuesquene fait du ncplus	-|------|-|---|--⌫-|---|
fo rsco mandale leuers us	--⌫-|--⌫----|-|----|-⌫-|
ecomanda lie lfeu metre	|------|-|-⌫|--|----|
l a char trelesael	-⌫|----⌫--|-|---|
paruntilert es t rang ié	--|--|-|--|--⌫-⌫----⌫--|
d e la s oue rai ne	-⌫|-|-⌫---⌫---⌫-|
en lesgu ardde tutelagent	-||----⌫--|-|---|-|---|
icilsi fistignelement	---|-|---|---------|
eq ua n tlipoplesardeiruit	|-⌫--⌫-⌫|-|-----|-----|--|
celcyrograf ece lescrit	--|--------⌫|--⌫|-----|
tui tcomencerent a	---⌫|----------||
e deue samer elo er	|--||-|---⌫|--⌫-|
multlungementdeui	---|--------|--||
ekyrieleisonchanterent	|----------|---------|
lieuesquetaisirles fist	-|------|-----|--|---|
epuisapre s dist	|---|----⌫|---|
si come ncapuis lesecr ei	-|----⌫--|---|-|----⌫-|
m es separbone fei	-⌫--⌫-|--|---|--|
secre zertfinez	-----⌫|--|----|
est danztheofle auant alez	--|---|------|----|---|
receutled ulzcorsdeiesu	-----|-|-⌫--|---|-|---|
esun sanc purnuses p andu	|--|---|--|--|--⌫-⌫---|
saf a cecumsol e ill uiseit	-|-⌫-⌫-|--|---⌫-⌫-|-⌫-----|
a ueire quant receu lauei t	|----|----|----||----⌫|
ci lkiuire ntsa facun	--⌫|-|----⌫-|-|----|
l a cleretr a nsfigureisun	-⌫|----|--⌫-⌫-----------|
loerent deu parmultgranthait	------|--|--|---|----|---|
kisul par seim erueill es	-|--|--|--|-⌫-------⌫-|
al temple n ostre damealerent	-|-----|-⌫----|---|------|
e la dam e e	|-|---⌫||
sonfizloeren t	--|--|------⌫|
deliurerentdede ab le s	----------|-|--⌫--⌫--⌫|
t he ofleifud l ihonur abl es	-⌫--⌫---||--|-⌫|-----⌫---⌫-|
liho nuréttheofleestut	-|--⌫-----|------|----|
ell iuuladam eaparut	-|-⌫-||-|---⌫|-----|
lauiluit lau isiun	-||-|--||--⌫----|
declina seilisai ntbar un	------|--|-|---⌫-|---⌫-|
tre is iursi esteitabeissez	---⌫-|---||-----|-------|
ensementcumilf ust fichez	-------|--|-|-⌫--|-----|
ap res lestreis	--⌫--|--|----|
iurzueirement	---|--------|
saluailmult boneme nt	----|-|---|------⌫-|
tuzlesfreres	--|--|-----|
esi s beisa	|-||----|
quanqueilo utapouresdona	------|-|-⌫-||-----|---|
siquelmund ri e nneli remist	-|-|-|---|--⌫-⌫|-|-|-----|
comandasei a iesu crist	------|--||---|----|
easadu ceche re mere	||-|--⌫-|---⌫-|---|
luifudde mal	--|--|-|--|
aqui ilaueite scritfait	|--|-|----|-⌫----|---|
ki p reslaueitde deu sustrait	-|-⌫--||----|-|--|-------|
comand au eirement	------⌫|-⌫-------|
esamereensement	|-|---|-------|
l auil uitlaui siun	-⌫||-|--||---⌫---|
rendilalmecelsa intbarun	----||---|--|--⌫--|----|
o dbonefeibon ememor ie	-⌫|---|--|---⌫|-----⌫-|
rendilalme la sus	----||---|-|--|
elliu udu nc lal mer e ndi	-|--||--⌫-||--⌫-|-⌫-⌫--|
ertsiscors	--|--|---|
belenseueli	--|-------|
la gist uncore ela	-|---|-----||-|
d esqueledera inioru endr a	-⌫----|-|----⌫-|--|-⌫----⌫|
l a iertsunresusciteme nt	-⌫|---|--|-----------⌫-|
quan tdeuiugera	----⌫|--|-----|
a qui s eit gl o rie e	|--|-⌫--|--⌫-⌫--||
partuzsieclesfin ablemen t	--|--|------|---⌫-------⌫|
c ilnusseit refuies alu	-⌫-|--|---|----||-⌫--|
een c untre malfeescu	|--⌫-⌫----|----|---|
ch eredamed uce reine	--⌫--|---|-⌫--|----|
mere deusaintemes chine	---|--|-----|---⌫----|
saintemarieglor i u se	-----|----|----⌫-⌫-⌫-|
kie stes merefilleeespuse	-|-⌫---|---|----||-----|
aceluikitut es rien s fist	|----|-|---⌫-|----⌫|---|
iesuscrist	----|----|
requer ezlep urnus pech e urs	------⌫-|-|-⌫-|--|----⌫-⌫--|
presenteza lui no sc lamurs	--------||--|--⌫|-⌫-----|
no slermesenoz ureisons	--⌫|-----||--|-------|
nosieuneseno zafflictiuns	--|-----||--⌫|----------|
que ilaittel mercide	--|-|--|--|----|-|
qu eelciel puissum estr e	--⌫|-|---|------|----⌫|
eloer deuenmaieste	|---|--|-|------|
quiuiteregne	--|--||----|
ent r inite	-|-⌫-⌫----|
