nobles lilions	-----|-|----|
hersensprieporsons i gnor	------|---|--|--|-⌫-⌫---|
que dius li	--|---|-|
face te leonor	---|--⌫-|---|
que iadelabataille nis se	--|-|-|-|-------||--⌫-|
e tquerenars	-⌫|--|-----|
uaintre le	------|-|
qui mutsouef lifist la	--|--|----|-|---|-|
enlata isniere u ertenc losse	-|-|--⌫------||--|---⌫----|
ia porlinen	-|--|-||-|
issit con plainte	----|---⌫------|
maisy sengrins qui a faitmain te	---|-⌫-------|--||---|----⌫-|
enfist p lainte	-|---|-⌫-----|
muta enli r iceborioisse	--||-|-|-⌫--|--------|
tu itsunta corte tpoureetrice	--⌫-|---||---|-⌫|----|-|---|
yse ngr ins m etrae n sa briche	---⌫---⌫--|-⌫---|-⌫|-|-----|
re nartsilpuet enlabataille	--⌫---||-|---|-|-|-------|
sesengie nsn i uaud rapas	--|-----⌫-|||----⌫-|--|
quantli rois uitsa gentuenue	----|-|---|--|-|---|----|
laula bataillee rt tenue	-||-|-------|-⌫-|----|
bricemerfist	-------|---|
auantuenir	----|----|
porrecord eret ret enir	--|------⌫-|-|---⌫---|
le iugeme nt dela bataille	-|------⌫-|-|-|-------|
seli prieparled roit a ille	-|-|---|--|-|-⌫---|-⌫---|
bric hemers estuenus auant	----⌫-----|--|----|----|
etdist quilferasonconmant	-|---|-|-|---|--|------|
as oiatrai tyy	|-⌫-|-----⌫|-|
d esbarons	-⌫-|-----|
qu i fur entdes plu s halsrenons	--⌫|---⌫--|--|---⌫|---|-----|
l iluparsi	-⌫|-----||
fut os p rem i ers	-|-⌫-|-⌫---⌫-⌫--|
qui mutfucora golset	--|--|-|----⌫---|-|
sifubauc anscot le	-|-|----⌫--||-|-|
siresbruian slitor s	----|------⌫|-|---⌫|
cilyysuntauantuenu	--|-|---|----|---|
po rleplussage	--⌫|-|---|---|
n ia celconnepuistoir	|||--||-|-|----|--|
porlegran t i ugementtenir	--|-|----⌫|-⌫------|----|
cistyyuont a zz consel	---|-|---||-|-----|
di stbrice mers mu t esm e r uel	--⌫-|-----⌫---|--⌫|---⌫-⌫-⌫--|
serenars os astcexxx	-|-----|--⌫--|-|--|
do ntnoslo onsciencuser	--⌫-|--||-⌫--|-|------|
aroenel et a tibert	|-----|-||-----|
etabrunlorsquimutnos sert	-||---||--|--|--|--|---|
desautresclamors i a	--|-----|------|||
qu eiene uoss aidire quantes	--⌫|-|-|--|-⌫-|---|------|
pint eseplaintetties e lins	----⌫|-|-----|-|----⌫-⌫---|
sortos les	--|--|--|
au tresysengrins	--⌫---|--------|
por tosenaliuréost age	--|--|-||-----|---⌫--|
d oun ésongage	-⌫---⌫-|--|---|
queireconno istreli	--||-------⌫----|-|
seille tiente nm ilaplac e	-|-|-|----|-⌫--⌫|-|----⌫|
signorpoista paissie r	-----|----|-⌫-------⌫|
le mal oster et aba i ssi er	-|--|----|-|---⌫-⌫---⌫-|
bonesteroi tceme st	--|-------⌫|-||-⌫-|
queieuos deu i s	--|-|--|---⌫-⌫|
baucan s resp ont bien aués dit	------⌫|----⌫--|---|----|--|
tuitlo ttro ients ansc ont redit	---||-⌫----⌫---|-⌫--|-⌫---⌫----|
ensuntuenuauroi	-|---|---|-|--|
etseliont dit enr e coi	-|-|-|--|--|-|-⌫-⌫--|
sireuost re	---|----⌫-|
baronloaissent	----|--------|
quecilpreudou mesac ordais se nt	--|--|-------⌫-||--⌫------⌫--⌫-|
sauueuostre honn or t otauant	----|-----|----⌫-|-⌫-|----|
fui sse nt bie n uuellant	---⌫---⌫-|---⌫|-------|
mut plaistau	--|-----|-|
roicequ ilont dit	--|-|-|-|--|--|
iapormoin i aura desdi t	-|--|--|||---|-----⌫|
signorfait il	-----|---|-|
sienp a rlés	-|-|-⌫-⌫----|
ysengrin primesapiele ́s	-------|-----|------⌫-|
laqu errele a	-|--⌫-----||
nen apertient	|-|--------|
forssole mentdedroittenir	---|----⌫---|-|----|----|
d e lsorplus uo s laisconuenir	-⌫-⌫|------|--⌫|---|-------|
moi nen poisse	--||-|-----|
seils acor dent	-|-||----⌫---|
ne uuelque pormoised escorden t	-|---|--|--|--|-|-⌫--------⌫|
qu antbrichemers l a	--⌫--|---------|||
tor néssenestc ol es ten du	---⌫---||-|--|-⌫-|--⌫---⌫-|
aysengrindisten lorelle	|-------|---|-||-----|
queliro is	--|-|--⌫-|
forment sesmeruell e	------||---------⌫|
nepuetpaisentr els yy me tre	-|---|---|---|--|-|--⌫--|
nepordonnernepor proumetre	-|--|-----|-|--|--------|
facelebienpre nge	---|-|---|---⌫--|
de renartpor s a f or faiture	-|-----|--|-⌫|-⌫--⌫------|
etporc eque	-|--|-⌫|--|
seu re limist	---⌫-|-|---|
qu ea sa fe meforcefi st	--⌫||-|--⌫-|----|--⌫-|
d istys en grinsn enparlés pas	-⌫--|--⌫--⌫----||-|------|--|
ie leuosd i	-|-|--|-⌫|
e neslespa s	-⌫--------⌫|
iaalui ne feraiac orde	-||--|-|----|--⌫---|
neuuelq uautre foissi	-|---|-⌫|----|---|||
ne fairehonte asonc on per e	-|----|----||--|-⌫--⌫---⌫|
la uenganc e en	-|-------⌫|-|
serraam ere	----|--⌫--|
ieuerrais on me fe radro i t	-|-----||-|-|--⌫-|---⌫-⌫|
bricem ers dis tqueiluaudroit	------⌫--|---⌫|--|-|-------|
quelacosefust sim enee	--|-|---|---|-|-⌫---|
sideduit e e tsiatornee	-|------⌫|-⌫|-|------|
quen treelsyyfuissentbonami	-|--⌫--|--|-|-------|--|--|
lait es tqueilsun ta ne mi	---|--⌫|--|-|---⌫|-⌫--⌫-|
et que cascuns son droit eust	-|--|------|--|----|---|
quea mal torné nelor fus t	--||--|-----|-|--|---⌫|
d istyse n grinsiadiu ne pl ace	-⌫--|---⌫-⌫----|-|--|-|--⌫--|
q ue iepais ne acordeenfac e	-⌫-|-|---|-|-----|-|---⌫|
tantquei enuoi e lep lusfort	------||-|---⌫|-|-⌫--|---|
e t consacequiauratort	-⌫||-|---|--|---|---|
dite s leroie t sonbarnage	----⌫|-|--|-⌫|--|------|
que cesacent	--|-|-----|
etfo letsage	-|--⌫|-|---|
quep o rnoientl apaisrequ iert	--|-⌫-⌫|-----|-⌫|---|----⌫---|
ia pornoientfaiten	-|--|-----|----||
c hascunsdi race qu ilu audra	-⌫------|--⌫-|-|-|-|-⌫----|
elcanpq ui	-|---|-⌫-|
dit e s leroiquedroitme tiengne	---⌫-⌫|-|--|--|----|-|------|
ba ta ill e a uraconmentqu auiengne	--⌫--⌫---⌫|-⌫--|--------|-------|
quant br ic emersuiten	----|--⌫--⌫----|--|-|
ne pais aysengrin	-|---||-------|
auroiadite	-|--||---|
telnouell e	--|------⌫|
decois ire lire nouu elle	-|--||--|-|--⌫----⌫---|
sire faitilamoi	---|---|-||--|
ysengrinssa	--------|-|
ba taille atent	--⌫-----|----|
il nacuredefa irepais	-|||---|-|--⌫--|---|
honis s oit qui	----|-⌫--|--|
enferamais	-|---|---|
nul echo se	---⌫|---⌫-|
sele canp non	-|-|---|--|
on en tenraluna bricon	-|-|----||-||-----|
plaismutenpiriés	----|--|--------|
rois sestmutcoreciés	---||--|--|--------|
delor guel	-||--⌫---|
q u a sesgens adit	-⌫||--|---||--|
qu edepaisfaire sesco ndist	--⌫|-|---|----||----⌫----|
distbrichemerssiuo s uolés	---|---------|-|--⌫|-----|
droit faire	----|----|
si c onuossolés	-|-⌫-|--|-----|
auan tn aill etne cam pneuoie	----⌫||----⌫-|-|---⌫|-|---|
seuosladroite uoi e	-|--|-|-----|---⌫|
anbes yy lesme t és la fors	----|-|--|--⌫-⌫--|-|---|
si gard ebiencascunssoncor s	-|----⌫|---|------|--|---⌫|
quant ilserronte nmi laplace	----|-|------|-⌫--|-|----|
quimiusporra fairesiface	--|---|----|----|-|---|
etdist liroi sparsaint	-|---|-|---⌫|--|----|
bienp u i spar uert e	---|-⌫-⌫-⌫|--|----⌫|
n enprend roietotl auoir	|-|-----⌫---|--||----|
quel i doi	--|-⌫|--|
peusse ntauoir	------⌫-|----|
queie l a bataillen	--|-|-⌫|-------||
queiam ais	--|---⌫--|
n en auraimanaie	|-|----|-----|
ne sai con ala st at endant	-|--||-|---⌫-|--⌫-----|
el camplesmetlonmainte nant	-|---|--|--|--|------⌫---|
pa role o n trecetee	--⌫---|-⌫-⌫|------|
delabataille etraco ntee	-|-|-------|-|----⌫---|
silesontmis	-|--|--|--|
liplushardisde pa o r tranble	-|---|-----|-|--⌫-⌫|------|
lunsteno itl	|--|----⌫-||
autrep arle main	----|-⌫-|-|---|
apielezz capelain	-----|-|-------|
mon signor belin lemouton	--|-----|----|-|-----|
m utestsagespas nel diston	-⌫-|--|----|--|-||---|-|
cilaport ele saintua ire	--|-----⌫|-|-------⌫--|
sor coidurentsair ementfaire	--|--|-----|----⌫----|----|
l irois a fa itc ri e rson ban	-⌫|---||--⌫-|-⌫--⌫-⌫|--|--|
que nulniaitd esigrant	--|--|||--|-⌫|-|----|
quifac enoisse enpa is	-||---⌫|-----|-|--⌫-|
setiegnent	-|-------|
conme preud oum esema i ntiegnent	----|-----⌫---⌫|-|--⌫-⌫--------|
mutest liroisde g rant	--|--|-|---|-|-⌫---|
dou s airem entf a it	--|-⌫-----⌫--|-⌫-⌫-|
la deuisse	-|------|
dansbric em ersetbruns liors	---|----⌫--⌫--|-|----|-|--|
queontenoitaszz	--|-|-----|-|-|
deuisserent lexxx	----------|-|--|
oiant trestolsapertem ent	----|-------|-------⌫--|
sign or faitil or mentendés	----⌫-|---|-|-||--------|
se iedimalsi	-|-|-|--|-|
mam endés	|--⌫-----|
r en arsiura premierement	-⌫--⌫--|---|-----------|
etmetraa son	-|----||--|
saireme nt	-------⌫-|
quayse ngri nn enatort fait	-||---⌫----⌫||-||---|---|
nea tiber t	-||-----⌫|
l ecatmesfai t	-⌫|--|------⌫|
n atieselin ala	||------|||-|
n aroe nel conmentqu il pr en ge	||---⌫--|--------|-|--⌫--⌫-|
ren artfaiteslesairement	---⌫--|-----|-|--------|
ci deuan tnosap ertement	-|-----⌫|--|--⌫-------|
age n oilleenlapl ace	---⌫-⌫----|-|-|--⌫--|
mutsa faitemuts erebrache	--||-⌫----|--|-⌫|-------|
deso rlessainsestentsamain	----⌫|--|----|-----|-|---|
sia iuré par	-||----|--|
saintgermain	----|------|
et lesreliquesqu	-|--|-------|-|
quedecelplaitnul	--|-|--|----|--|
etle ssainsbaisse	-|--⌫|----|-----|
et puisselieue	-|---|-|----|
ay sengrindurem entgrieue	|-⌫------|-----⌫--|-----|
f aiten t endreporuoir	-⌫--|--⌫-⌫----|--|---|
la mencoigne	-|--------|
porles auoir	--|-|-⌫----|
atant sere sta genolsmis	----|-|--⌫-||-----|--|
distbricemers b iaus dols	---|--------|-⌫---|---|
uos iurés querenars	--|-----|--|-----|
dousairement	--|--------|
etuo s loiauls	-|--⌫|------|
distysengrins ielecrean c	---|--------|-|-|-----⌫|
sessainsbaisse	--|----|-----|
silieueata n t	-|----|---⌫-⌫|
parm il ecanpfistsorisson	----⌫|-⌫|---|---||------|
g rantaflicion	-⌫---|-------|
etpriediuqu i tot sormonte	-|---|--|--⌫|--|-------|
queilli doi stuengiersahonte	--|-|-|---⌫-|------|-|----|
de re nartquil iafait lai t	-|--⌫---|--|-⌫||---|---⌫|
queau partir hon nor enai t	--|-|-----|---⌫--|-|--⌫|
bais sela te rresised rec e	----⌫-|-|--⌫--|-|-|-⌫---⌫|
sonbasto n afai te etadre ce	--|-----⌫|----⌫-|-|----⌫-|
en pluissor ssensseretornoie	-|--------⌫|---|-|--------|
asondoitlace lacoroie	|--|---|---|-|-----|
puispr ent	---|--⌫--|
le baston sis emolle	-|-----|-|-⌫|----|
en pluissorssens lebaston	-|--------|---|-|-----|
toten to rencline alagent	--|--⌫--⌫|------||-|---|
et renart di st queil le	-|-----|--⌫-|--|-|-|
meteleior a gast	---|-|--||---|
quant re narslotdecuer souspire	----|--⌫---||-|-|---|-------|
sisestteusne	-||--|---|-|
potmotdi re	--|--|--⌫-|
re n a rssotletresen	--⌫-⌫-⌫-|--|-----|-|
s enf ance	|---⌫---|
apr isdenigreman ce	---⌫-|-|--------⌫-|
maisp uisentendit ant a illors	---|-⌫--|------|-⌫--|-⌫-----|
o ubl ia d esm osmillors	-⌫---⌫-|-⌫-|-⌫-|------|
fupa sesmai és	-|--⌫|-----⌫--|
sonb a tonprentco nafaitiés	--|-⌫-⌫--|----|--⌫|--------|
gentementle sot traire	--------|-|--|-----|
bienfuapri sdetel	---|-|----⌫|-|--|
enpluissors sens lae nsaié	-|--------|---|||-⌫-----|
n apassanblant doume	||--|-------||---|
e nse s doisla	-⌫|--⌫|---|-|
coroielace	-----|---|
lieuedela place	----|-|-|----|
son es cupr entetfus eurs	--|--⌫-|--⌫--|-|-|-⌫---|
conm e castia ls enc losdem urs	----⌫|------⌫-|---⌫--|-|-⌫--|
li esc re mirsli es t ioiaus	-|---⌫--⌫---|-|--⌫|-----|
queile n settos les encaus	--|-|-⌫|--|--|--|-----|
sonescusor sa te s te tient	--|---|--|-|--⌫-⌫-|----|
seys engrinspresd eluiuient	-|--⌫------|---|-⌫|--|----|
te le esc remielirendr a	--⌫-|---⌫----|-|-----⌫|
quia gran thonteli uendra	--||----⌫|----|-|-----|
ys engri nsest	--⌫-----⌫-|--|
degrant a i r	-|----|-⌫-⌫|
renar t estalésenuair	-----⌫|--|----|-----|
sonescumetd euan t sonfron t	--|---|--|-⌫----⌫|--|----⌫|
metpiea uant souu ent	--|--|-⌫---|----⌫--|
uaysengrinshastant	-|--------|------|
renars seuamutdesfend ant	-----|-|-|--|-------⌫--|
ain squeil	---⌫---|-|
partedelesto r	----|-||----⌫|
lefiertrenarspar grantu igo r	-|----|-----|--|----|-⌫---⌫|
telcolleslorelle lidonne	--|--|--||-----|-|----|
t ote lateste li estoune	-⌫--|-|----|-|------|
ac el asau tmutmal li cet	|-⌫-|----⌫|--|--|-|--|
si ca ncelepor poineciet	-|--⌫----|--|--|-|---|
quant sa testeau eusaingnier	----|-|----||-⌫-|--------|
desamainsepristasainnier	-|-|---|-|----||-------|
quinefau tnement	--|-|---⌫|-|---|
lega rtd afolement	-|--⌫-||--------|
po rsafemeest siesba ih i s	--⌫|-|---|--|-|----⌫--⌫-⌫|
e st ilc e	-⌫-|-|-⌫|
disttra is	---|---⌫-|
n e set quel siorsilestoit	-⌫|--|----⌫|---|-|-----|
soitiorunuisq uel tansfaissoit	---|--||---|-⌫--|---|-------|
porl ecopqu	--|-⌫|--|-|
ilotr ece u	-|-|-⌫---⌫|
ren a rsl otbiena perceu	---⌫-⌫-||-|---|-⌫-----|
nefaitsanblant	-|---|-------|
l e se ust	-⌫|--⌫--|
derie ns aperc eu st	-|---⌫||-----⌫--⌫-|
maisdautreparttornesachiere	---||----|---|----|-|-----|
enc orsega rtquilnelefier e	---⌫-|-|--⌫-|-|-|-|-|----⌫|
quena talentde	--|||-----|-|
luiatraire	--|------|
ensus deluilecou uient trair e	----|-|--|-|---⌫----|-----⌫|
nelilaissapasaprocier	-|||-----|--|-------|
aubastonl esetesmouc i er	-|-----|-⌫|--|------⌫-⌫-|
qua nty s engrinsdelonc lesg arde	---⌫-|-⌫-⌫------|-|---||---⌫---|
r enarsl idist por coiil tard e	-⌫----|-⌫|---|--|--|-|----⌫|
qualabatai lle	-||-|-----⌫--|
ne reu ient	-|---⌫---|
car areue nir li c ouuient	--||----⌫--|-|-⌫------|
ysengrinsserest por pensé s	--------|-|---|---⌫------⌫|
a estéreposs és	|----|------⌫--|
auisli estque trop demeure	---|-|--|--|---|------|
main tenantlirecourutseure	----⌫-----|-|-------|----|
metp i eauantgaite	--|-⌫-⌫|----|----|
e tregaite	-⌫|------|
ysengrin sduremen tse	--------⌫|-------⌫|-|
yseng rinsgetepasnareste	-----⌫---|---|--||-----|
deson basto n iet ezz arest e	-|--|-----⌫|---⌫|-|-----⌫|
met pie aterresi senpart	--|--||----|-||-|---|
r enarsqui sotmutdeparat	-⌫----|--|--|--|-|----|
liauoitd itsireyse ngrin	-|----|-⌫-|---|---⌫----|
diusquiest souuer ains deui n	---|--|--|------⌫---|----⌫|
setbien q ueldroit uers	--|---|-⌫--|----|---|
bastonsuosfaut sinelueés	------|--|---|-|-||----|
carfaisons pais a	--|------|---||
m onsignor	-⌫-|-----|
ains qui l uostortadesso nnor	----⌫-|-⌫|--|---||-----⌫---|
dist yseng rinsf aites	---|-----⌫---|-⌫----|
sase sn enai	|---⌫||-|-|
poruos con fundre	--|--|---⌫-----|
qu antasesrapronnésefurent	--⌫--|---|--------|-|-----|
l i doi baron elcamp	-⌫|--|----|-|---|
d ereciefandoisereuienen t	-⌫------|----|-|--------⌫|
lor esc usmu t	--|---⌫-|--⌫|
cointementtienent	---------|------|
ysengrinsiete etfaits onesme	--------|---|-|---|-⌫-|---|
queieter doie parxxx	--|----|---|--|--|
entreescu etbastonse	----|---|-|-----|-|
del ui pre ndre mut sentremet	-|-⌫-|---⌫---|--||-------|
enmile camp	---|-|---|
sone sculai sse	--|-⌫--|---⌫--|
etrenarsson b aston	-|-----|--|-⌫----|
telcoplidonne	--|--|-|----|
ains qu illetiegne	----⌫-|-|-|-----|
ia m aisniertio rs ne l ensouuieg n e	--⌫-⌫--||---|--⌫-|-||-|-------⌫-⌫|
le bracsenestre	-|---|-------|
ora yse ngrinsma uuaisplait	-||---⌫-----|--⌫----|----|
andoiontlesescusgue rp is	----|--|--|----|---⌫--⌫-|
sisaherdentpar milesp is	-||-------|---⌫-|--|-⌫-|
longementfurenten estant	--------|-----|-|-----|
mai ns liussouuentta stant	---⌫-|---|------|--⌫----|
ne ueistesge ntsiconbatre	-|------|--⌫-|-|-------|
liuns n epooitlautreabat re	-|--|-⌫|----||----|----⌫-|
ma is n u snese doitmeruil lier	--⌫-|-⌫-⌫|-|-|---|------⌫---|
quiysengrinsne se p u et aid ier	--|--------|-|-|-⌫-⌫-|---⌫--|
fo rs seul ement	--⌫-|----⌫----|
d e sonb racdes tre	-⌫|--|-⌫--|---⌫--|
carperduau oitlesenestre	--|----|--⌫--|-|-------|
liunstornelautrestrestorn e	-|--|----||-----|--------⌫|
l iun snel	-⌫|--⌫|-||
a utresneseiorn e	-⌫----|-|------⌫|
muttornent	--|------|
ainsque lu nsenchie	------||-⌫-|-|---|
ysengrin ss oufre	--------⌫|-⌫----|
grant haschie	----|------|
lesdensa zzpoi	--|---||-|--|
quere nars	--|--⌫---|
c ontrere nart mutsehirice	-⌫----|--⌫---|--|-|-----|
mutlideschire sap elich e	--|-|-------|-|-⌫-----⌫|
renars lifaitzz torfra ncoi s	-----|-|---|-|--|---⌫----⌫|
ysengrinsnel doutoi tancoi s	--------|-||------⌫|-----⌫|
re narslestraintpas	--⌫---||-------|--|
ne sefaint	-|-|----|
ianbetlifait des ousxxx	-----|-|---|---⌫--|--|
ala t erreiuttosenuers	|-|-⌫---|--|--|-----|
re narsiut sor	--⌫---|--|--|
luientrauers	--|-|------|
les d enslib rissa e nla bou che	--|-⌫--|-|-⌫----|-⌫|-|---⌫--|
lafaceli gratineetmoch e	-|---|-|------|-|----⌫|
en s ius libot elebaston	--⌫|--|-|---⌫|-|-----|
etpoille as o ngles leg renon	-|-----|-|-⌫----|-|-⌫----|
trairelifaitmut malef in	-----|-|---|--|---|-⌫-|
p uis liadi tdant ysengrin	-⌫--|-||--⌫|---|-------|
ancuisauronsqui droita ura	----|------|--|----|-⌫--|
miusfair elepor a	---|----⌫|-|---⌫|
de uostre femem	-|-----|---||
certesmu t estes	-----|--⌫|----|
quantuoschipor uostre moil lier	----|--|--|--|-----|----⌫---|
moietuos fai testrauillier	--|-|--|---⌫--|---------|
ysengrinsot	--------|-|
ledesdaingne	-|---------|
mutestdolansquil ne	--|--|-----|-|-|-|
renars l ifa i tdel totsonmius	-----|-⌫|--⌫-⌫|--|--|--|---|
de laporre	-|-|----|
l iiet e e s iols	-⌫|---⌫|-⌫|---|
renarsli faithonteet contraire	-----|-|---|----|-|--------|
renarslifaithonteet	-----|-|---|----|-|
ce poissel uin enp lus fair e	-|-----|-⌫-||-|-⌫--|----⌫|
ma i sentreses densse dem ente	--⌫-⌫|----|--|---|-|---⌫---|
etdistfolsest qui sed emente	-|---|---|--|--|-|-⌫-----|
poi sunt defemes qui	--|---|-|----|--|
uoirdi ent	---|--⌫--|
por femeest plus nois sequepais	--|---|--|---|----⌫-|--|---|
nequerrai mai s	-|------|---⌫|
feme f aithairpereet mere	---|-⌫--|---|---|-|---|
femefai t tuer	---|---⌫|---|
son con pere	--|---⌫---|
parfemesunt o cis milhonme	--|---|---|-⌫--|--|----|
det oslesmal sestfeme	-|-⌫-|--|---⌫|--|---|
fol sestquitropi	---⌫|--|--|---||
ysen grinsissise	----⌫----|---|-|
ensiseco nplaint malement	---|-|--⌫------|-------|
renarslef iertmenuement	-----|-|-⌫---|--------|
lesiols et sor	--|---|-|--|
encorli prieque	----|-|---|--|
paisf a ce	---|-⌫-⌫-|
bie nuoitquilestpr is a latrape	---⌫|---|-|-|--|--⌫-||-|----|
acestmot li	|---|--|-|
ba s t onsesc ape	--⌫-⌫-⌫--|---⌫--|
q uere nars	-⌫-|--⌫---|
te noit en sa ma in	--⌫---|-|-|--⌫-|
cilqui lec uerauoit	--|--|-|-⌫--|----|
seuoutleue r mais ne p uet estre	-|---|----⌫|---|-|-⌫--|----|
quil notuertu sfo rselbraicdestre	-|-||-|-----⌫|--⌫-|-|----|-----|
sou frirmal etanui	---⌫---|--|-|---|
soufrirlest uet cepoisselui	------||---⌫--|-|-----|--|
y sengr i n tientpor nonsacan t	-⌫-----⌫-⌫|----|--|--|-----⌫|
uait lesiolscerquant	---|--|---|-------|
maisparsagra ntmal eauenture	---|--|-|---⌫-|---⌫|-------|
li a uint tel smesa uenture	-|-⌫---|---⌫|----⌫------|
ses doisenla	--|---|-|-|
bouc ededens	----⌫|-----|
licet e t cille p r entas de ns	-|--|-⌫|--|-|-⌫-⌫--|-|--⌫-|
la car litre nce iusq ua l os	-|--|-|---⌫--|----⌫|||-|
sonbraic lilacesor	--|----|-|---|--|
dele straindrepasne	-||-⌫--------|--|-|
etentelguisse	-|-|--|-----|
led estrain t	-|-⌫-------⌫|
queuuelleu nonle	--|-----||--|-|
fait d escendre	---|-⌫-------|
etdeso uslui	-|----⌫-|--|
le faitestendre	-|---|-------|
or est r e narsen	-|--|-⌫-⌫---|-|
mal trepoiel	--|-------|
s il apaorne	|-||---|-|
men meru el	|-|----⌫-|
ysengrins d esgeno lslesere	--------|-⌫-|----⌫-|-|---|
rena rsne ui tnecielne	----⌫-|-|--⌫|-|---|-|
iuréauoit falssaireme nt	----|----|---|-------⌫-|
seli p ar ra pro chainnement	-|-|-⌫--⌫-|---⌫----------|
merchiquie r tporless ainsde	-----|----⌫-⌫|--|--|-⌫---|-|
liualutzzpou me	-|----|-|---⌫-|
car ysengr insle fiertetmaille	--|------⌫--|-|----|-|-----|
re narsc riefo rtet	--⌫---|-⌫--|--⌫-|-|
ys e ngri nslefiert en	--⌫-⌫----⌫-|-|----|-|
ne tientpas uerslui	-|----|--|---|--|
s a main chiere	-⌫|---|-----|
apooir dedesfendr e	|----|-|--------⌫|
to t li co uuientcoisir	--⌫|-|--⌫-----|-----|
mut estsesc ors engrandolor	--|--|--|-⌫--|-|---|----|
deu enu se stplusfrois que	---⌫---⌫|-⌫-|---|----|--|
miusueultmorir cediste n place	---|----|----|-|---|-⌫|----|
luirecreant	--|-------|
a ieté zzpl aint	|----|-|--⌫---|
sa nblantfaitdoume	--⌫-----|---||---|
qui soitmor t	--|---|---⌫|
enl uinauoit	-|-⌫-||----|
ysengr insz zpetitlelaisse	------⌫--|-⌫|----|-|-----|
mutledeci re	--|-|----⌫-|
etledesache	-|-|------|
renarsne mue tne	-----|-|---⌫|-|
piesnemains	---|-|----|
ilfaitsamblantqu ilnestpas sains	-|---|-------|-|-||--|--|----|
y sengrinsl abatutant fort	-⌫-------|||---|---|---|
quee lcamp lelaissepo r mo rt	--|-⌫|---|-|-----|--⌫|--⌫-|
libaronsuntde lui parti	-|----|---|-|--|----|
atantla corss endepar ti	----|-|---||-|-----⌫-|
ainctroiainn o r ent te l io ie	---|------||-⌫-⌫--|--⌫|--⌫-|
quantr ec ue renthel ainneatroie	----|-⌫--⌫--⌫---|---⌫----||----|
c onbruns liorset tiese lins	-⌫-|----|-|--|-|-----⌫---|
etcan t ecler ety sengrins	-|---⌫-⌫----|-|-⌫-------|
ti bers li c aset rohenials	--⌫---|-|-⌫-|-|--------|
etlidain sme si replatials	-|-|----⌫|-|--⌫-|-------|
font derenartnusne sueist	---|-|-----|--||-⌫|----|
derire tenirsepeui st	-|---|----|-|----⌫-|
lip arentrena rtontgra nthonte	-|-⌫----|----⌫-|--|---⌫-|----|
nobl esneuuet oirnul conte	----⌫-|-|---|--|--|----|
ainsconmandequelonle pende	---|-------|--|--|-|----|
t ibe rslic asl esiolsli	-⌫---⌫-|-|-⌫-|-⌫-|---|-|
etrohenia lsles mainslilie	-|-------⌫-|--|----|-|--|
bien ontrenarten lor baillie	---|--|-----|-|--|------|
depasmis ones t	-|------⌫-|--⌫|
leior p orf ol tenus	-|--|-⌫-|-⌫-|----|
se de sesm ainspooitpartir	-|-|--|-⌫---|----|-----|
iamais hou me ni roittrahir	-----|---⌫-||-⌫---|-----|
hastentdelu idetraire	------|-|--⌫|-------|
to te lacor toissiés braire	--⌫-|-|---⌫|-------|-----|
re nars por seui e t enser	--⌫---|--|-|--⌫|-⌫----|
priecon lelaistconfesser	---||-|-|----|--------|
cararegehir	--||------|
licouuient	-|-------|
se spechies	--⌫|------|
souu ien t	----⌫---⌫|
l o rslifisent	-⌫-⌫-|-|-----|
ue nir belin	--⌫--|----|
par lepriere soncosin	--|-|-----|--|----|
letaissonmon s i g norgrinbert	-|------|--|-⌫-⌫-⌫--|-------|
dedolorale	-|----||-|
cuerc ouuert	---|-⌫-----|
fista lui confes	---||--|-----|
renarslena carciélefes	-----||-||------|-|--|
selo ncles	----⌫-|--|
p echiesq u il	-⌫-----|-⌫|-|
d ecoi uer sde	-⌫|--|---⌫|-|
sesent mesfais	-|---|------|
confessoit renar t	---------|-----⌫|
uosfr ereberna rt	--|--⌫--|-----⌫-|
degrantmontestoitrepai rié	-|----|---|-----|-----⌫---|
troua gr inbertmutc orecié	----|--⌫-----|--|-⌫------|
de r enartli ademandé	-|-⌫----|-||-------|
q uelirois	-⌫-|-|---|
enaconma ndé	-||-----⌫---|
bialssirequilsoit afolés	----|---|-|-|---|------|
pornuluine	--|----|-|
soi trespités	---⌫|--------|
quan t li freres otqueild ist	----⌫|-|-----|-|--|-|-⌫--|
nel enpese	-||-|---|
mie peti t	--|----⌫|
quilestdegrant fra nc hi s se plai ns	-|-|--|-|----|---⌫--⌫--⌫-⌫-|----⌫-|
pasn estoit uilain s	--||-----|------⌫|
rena rsl abienaperceu	----⌫-|||---|------|
a ugrant dolquilen	-⌫|----|--|-|-|-|
quegrinber sli	--|-------⌫|-|
tai sso ns	---⌫---⌫-|
ete spin arslihyre cons	-|-⌫----⌫--|-|----⌫---|
lau uitnoble bonement	-||--|----|-------|
selsaluecor toiss ement	-||----|---⌫-----⌫----|
estleuésen estant	--|-----|-|-----|
il ainttant	-|---|---|
d eio stelui	-⌫---⌫--|--|
la asegié	||------|
freres bernarsli a prié	-----|------|-||----|
ensonlangage bounement	-|--|------|--------|
porrenartle	--|-----|-|
uait se rm ounant	---|--⌫--⌫-----|
en sonlangage uaut parler	-|--|------|---|-----|
et le roide bien enorter	-|-|--|-|---|------|
querenar tuauradeli urer	--|-----⌫|----|----⌫---|
s euersleroil e puet	-⌫|---|-|--|-⌫|---|
