quib en com encee	--|-⌫-|---⌫---||
m o rtresors	-⌫-⌫-|-----|
tantissir entbones odors	---|-----⌫--|----|----|
desaparolee desonnon	-|-|-----||-|--|--|
e tant en alaloingl e	|---|-|--|----|-⌫|
tantsespa ndisabone odor	---||----⌫--|-|---|---|
que toz l i monz en	--|--|-⌫|---|-|
f ume illor	-⌫|--⌫----|
lodor delresuscitemen t	|---|--|------------⌫|
odorasi tresdolce m ent	----|-|---|-----⌫-⌫--|
m onzes t eitgariz	-⌫--|--⌫-⌫--|----|
quid eu ant ceoesteitperiz	--|-⌫--⌫--|--|-----|----|
lodorde l incarnation	|---|-||----------|
de sam ortde	-|-|-⌫--|-|
sileresordementne fust	-|-|----------|-|---|
ianulmester nenos eus t	-|--|-----|-|--|---⌫|
totfue lresu scitement	--|-|-⌫|----⌫--------|
acomplinos tre sa lueme nt	------|---⌫--|--⌫-----⌫-|
don c dist nostreseignoriesu	---⌫|---|-----|------|---|
a ueitle mon deu eincu	-⌫---|-|---⌫-|-⌫----|
equegr ant ioi e e nfeis som	|--|--⌫--|---⌫|-⌫|----⌫--|
edistsi c ome nosl isom	|---|-|-⌫--|--|-⌫---|
belpere ieo a ibengardé	--|---|--|-⌫|--|-----|
ceoqu etu maueiesliu r é	--|--⌫|-||-----|---⌫-⌫-|
siqu onquesnulsuln enperdi	-|-|-----|--|--||-|----|
forsceluiqu ipar	---|----|--⌫|--|
drei t peri	----⌫|---|
cesmozdistilnedotezpas	--|--|---|-|-|----|--|
porlema leur eiud as	--|-|--⌫----⌫|---⌫-|
asesdescipless a parut	|--|--------||-⌫----|
ea thom asquilemescrut	||----⌫-|--|-|------|
mustralesleus	-----|--|---|
ceo ditl a lettre	--|--|-⌫|-----|
sondei mettre	--|--|-----|
oulesclousaue ientes té	-|--|----|---⌫---|--⌫--|
quant furentaiuste ́	----|-----|------⌫|
trestuitensemble l ia postre	-------|-------|-⌫|-⌫-----|
ieouois a monpere ea luostre	--|---||--|---||-⌫|-----|
e qu antal u i	|--⌫--||-⌫-⌫|
uenuserrai	---|-----|
le spe rit e	|-⌫---⌫---⌫|
uosenuerrai	--|-------|
quiuosen seignera trestot	--|--|--⌫-------|------|
que uo sd euezfair ede	--|--⌫|-⌫---|----⌫|-|
icestes pa roleslor	------|--⌫----|--|
benauerrac eo quilp ramist	--|-----|-⌫-|-|-|-⌫-----|
seignorspordeu le uerai rei	-------|--|--|-|----|--|
car p ensomepernom conrei	--|-⌫----||-----|-----|
coment nos een	-----|--||-|
quelma n ere	---|--⌫-⌫--|
siuro mlaueraie panthere	-----⌫|-|-----|-------|
uraiec roiz	----|-⌫---|
oi om saparole esau oiz	--⌫-|-|-----||-|-⌫--|
sabocheistuneodor	-|----|--|--|---|
nesent imeillor	-|----⌫|------|
plusso n tdolz	---|--⌫-⌫|---|
sescomandemenz	--|----------|
quaromates	-|-------|
n eo ignemenz	-⌫|-⌫-------|
si sescomandemenzfesom	-|--|----------|----|
ri cheenserral egueredon	--⌫--|-|----|-⌫|-------|
deu nosmerraensonpales	--|--|----|-|--|----|
en labeleci te depes	-|-|---|--⌫-|-|--|
en i erusa l emla celestre	-|-⌫-----⌫-⌫-|-|-------|
el haltmonto utant f et	-|---|---|-⌫|---|-⌫-|
ouia me snul neserra	-|--⌫--⌫|--|-|----|
don cporromdire	---⌫|-----|---|
odlepsal m iste	-|-|----⌫-⌫---|
citede de u gl oriosdiz	---|-|--⌫|--⌫----|--|
sontdetei conteze	---|-|--|-----||
is s i co mnos	--⌫-⌫|--⌫|--|
en telmanereleueom	-|--|-----|-|---|
ente lguiselauomueu	-|--⌫|----||---|--|
en l a c italreide uertu	-|-⌫|-⌫-|-|--|-|----|
seignors ente ndez	-------|----⌫---|
cest sermon	---|-----|
miele d r agon	--|-|-⌫-⌫---|
qui ne p oetladolcor	--|-|-⌫--|-|-----|
nela par oledeu	-|-|---⌫--|--|
c es tlemalua ishom eporueir	|--⌫|-|-----⌫-|---⌫|--|---|
poetmiere maneir	---|--|--⌫-----|
enplaceoulenespantlodor	-|----|-|--|-----||---|
dela parole al	-|-|-----|-|
enmu sterouen cim e tire	-|--⌫---|-|-|---⌫-⌫---|
ouil oie bo n	-|-|--|--⌫|
sermondir e	-----|---⌫|
nip oet areste r nea ten dre	||-⌫--|------⌫|-|-⌫---⌫--|
einzd it quilua aillor sentendre	---|-⌫-|-|-|-|------⌫|-------|
laboneodor es tfese some	-|---|---|--⌫|--||---|
aldragon e a lmalues	-|-----||-⌫|-----|
mes d reizestquenos	--|-⌫---|--|--|--|
de lafait ure del dragon	-|-|----⌫--|--|-----|
det otes lesbe stesrampanz	-|-⌫---|--|--⌫---|------|
estli dra gons	--|-|---⌫---|
totliplusgranz	--|-|---|----|
le dreitdrago n	-|----|-----⌫|
siesttroué	-|--|-----|
e n ethiopel eregne	-⌫|------|-⌫|----|
boche apetit e egra nt	----||-----⌫||---⌫-|
enl airreluistcom	-||--|------|--|
longuealac u eec reste grant	-----||-|-⌫-⌫||-⌫----|----|
grantennui	----|----|
feta lolifant	--|||------|
c arod sacueledebat	-⌫-|-|-|--|-|----|
par lesiambes siquil labat	--|--|-----|-|-|-||---|
ne po rte pasuenimde mo rt	-|--⌫--|--|----|-|--⌫-|
mesdurementestgrant efort	--|-------|--|----||---|
discipline	---------|
tot ceoq u iaensasaisine	--|--|-⌫|||-|-|------|
mi e g rantnuisemen t	--⌫|-⌫---|--------⌫|
fors odsacue	---|-|-|--|
uosuolomreconter	--|----|-------|
d unegrantmer ueil l e demer	|--|----|---⌫----⌫-⌫|-|--|
en mer sont	-|--|---|
lipeissondiuers	-|------|-----|
comenlate rres ont lesuers	--|-|-|--⌫--|-⌫--|--|---|
e lioisel am ontenl air	|-|----|--⌫--|-||--|
li u nso nt blanc li	-|-⌫|--⌫-|----|-|
a ltreuair	-⌫---|---|
li unneireli	-|-|---||-|
alsienmerieo lu ospleuis	---|-|--|--||-⌫-|-----|
sontlipeissond iu ersement	---|-|------|-⌫--⌫-------|
meslem nepo etmi eensement	--|--|-|--⌫-|--⌫|-------|
decelsl es	-|---|-⌫-|
naturessaueir	------|-----|
comlem poet	--|--|---|
desbestesporu eir	--|-----|--|-⌫--|
merquiestgrantepleine	--|--|--|----||-----|
estl estu rgon e la baleine	--||----⌫---||-|------|
eleturbote leporpeis	|-|-----||-|------|
eungrantquianongraspeis	|-|----|--||--|-------|
mustre iamerue ill os	-----|||-----⌫---⌫-|
tropculuertetrop perillos	---|------||---|-------|
cet usanonselonc latin	---⌫-||--|-----|----|
as ma ri nersest malueisin	-|--⌫--⌫---|--|--|-----|
altretele stcomesablon	-------|-⌫-|---|-----|
lacrestede	-|-----|-|
sondosensom	--|--|-|--|
qu an tilse leue enc ele mer	--⌫--⌫|-|-|---|-|-⌫--|--|
ci lquiparla soelent sigle r	--⌫|--|--|-|------|-----⌫|
quident benque	------|--|--|
uneisleseit	--|---|---|
mesespera nceles	--|------⌫--|--|
p orlagra ndor quiesten lui	-⌫-|-|---⌫---|--|--|-|--|
iloeques uenent	-------|-----|
porlatormente	--|-|-------|
quileschace	--|--|----|
estre quidentenb onep lace	----|------|-|-⌫--|-⌫---|
lorancresgettent	--|-----|------|
lormange rquisent lor	--|-----⌫|------|--|
eporlornefben atacher	|--|--|--|--|------|
fontgrantpelse lsablonfic h er	---|----|---|-⌫|-----|---⌫-⌫-|
quisembleter re	--|-----|---⌫-|
puis font lor feuieolu os	---|---|--|--|--||-⌫-|
quant lemust rela	----|-|----⌫-|-|
chalor sen t	-----|---⌫|
d el feu qu id e suslui	-⌫-|--|--⌫|-⌫-⌫--|--|
don cseplonge	---⌫|-|-----|
pargrant rador	--|----|----|
aual enlagr antparfondor	---|-|-|--⌫--|--------|
efet ods eila	|--|-|-⌫-|-|
nefplonger	--|------|
ge ntpe riller	--⌫-|--⌫-----|
tot a lt r esisontdeceuz	--|-⌫--⌫-⌫--|---|-----|
lesc haitisdolenzm escreuz	--|-⌫-----|-----|-⌫------|
qui eldiableontl o r fiance	--|-|-----|--|-⌫-⌫|-----|
e fontd elai edemorance	|---|-⌫---||--------|
es ou rai gnes quepeccheuoelt	-|--⌫---⌫---|--|-----|----|
dontla chaitiuealme	---|-|-------|---|
laouil meins sedonentgarde	-|-|-|----|-|-----|----|
uen tlileresquemalsfeus arde	---⌫|-|----|--|---|---|---|
quantbenlessenta	----|--|--|---||
odelssepl ongetotenue rs	-|--|-|--⌫---|--|----⌫-|
dreit e n enferel plusparfon t	----|-⌫|----|-|---|------⌫|
c ilsontpe riz quil aenz	-⌫-|---|--⌫--|--|-⌫|--|
ice stpeis son q uantfeim lepre nt	---⌫-|----⌫--|-⌫---|---|-|---⌫-|
beelagule durem ent	--|-|---|-----⌫--|
donc istd e sa bo cheune odor	---|--|-⌫|-|--⌫--|--|---|
qu imultestdebon e sauor	--⌫|---|--|-|---⌫|----|
ce lepartuen entderandon	--⌫-|---|---⌫--|-|-----|
meintena ntli petit peis son	--------⌫-|-|----|----⌫--|
siselancentamult gra ndefule	-|-|------||---|---⌫--|---|
tres tuit ens embleenmi sagule	----⌫---|---⌫----|---|-|---|
porl odorquib onelor se mble	--||---|--|-⌫--|--|--⌫---|
eci lclotsesi oes ense mble	|--⌫|---|--|-⌫--|----⌫---|
quant i l sen tb ensa	----|-⌫|---⌫|-⌫-|-|
gule plei ne	---|----⌫-|
toz lestransglottea une aleine	--|--|----------||--|-----|
pance qui estsile e	----|--|--|-|--⌫|
comeserr eitu neual ee	---|----⌫--|-⌫-|---⌫-|
li diable s fetense ment	-|------⌫|--|----⌫---|
s agulebeedurement	-⌫|---|--|-------|
uerslagentdepetit efei	---|-|---|-|-----⌫|--|
tant qu il lesaa tret asei	---|-|-|--||-⌫---||--|
carcilq uipetite	--|--|-⌫-|-----|
feblecreance sont	----|------|---|
sontmult legeraa crocher	---|---|----||-⌫------|
d eceluiquilessetascher	-⌫|----|--|--|--|-----|
illorfetunaaschement	-|--|--|-|---------|
quiprimesoe ltmultdolcement	--|-----|--⌫-|---|--------|
c ome s td alcuncharnel	-⌫-|-⌫-⌫||----|------|
de belefemmeau eir	-|---|----|--⌫--|
debenbe iuredebe n	-|--|--⌫---|-|--⌫|
oude ric he scecoueiter	-|-|---⌫--⌫--|-------|
quiprimes oeltm ultdo lce ment	--|-----|---|-⌫--|--⌫---⌫---|
mes puisdef ine amerement	--|---|---⌫--|--------|
quantdeceolesa	----|-|--|--||
tantquille ssentbena croche z	---|-|-|--⌫|---|--|-⌫------⌫|
b eela gule si stra nsglot	-⌫-|-|---|-||---⌫-----|
ia nertsaol tantparest	-||--|---|---|--|--|
ligrant p eissonse gardentb e n	-|----|-⌫-----|-|------|-⌫-⌫|
qu eilnel or	--⌫|-|-|-⌫-|
mesf etderen	----⌫-|-|--|
e sauezuos	|----|--|
qu i li grant sont	--⌫|-|----|---|
les bonsquibonecreanceon t	--|---|--|---|------|--⌫|
quiadessont ferm	--|---|---|---|
endeulepereesper itable	-|--|-|---|-----⌫-----|
encels quiluion ten	-|---|--|--|--⌫|-|
na ura iadiableuictoire	|-⌫--|-|-----|-------|
meslid olentl imescreant	--|-|-⌫----|-⌫|--------|
lafeideudota nt	-|--|--|----⌫-|
e sont encrean cepetiz	|---|-|-----⌫-|----|
cis tcorentapr eslesd eli z	---⌫|-----|---⌫-|--|-⌫---⌫|
di a blesqui sdeceit	--⌫-⌫---|--||-----|
beelagule sisreceit	--|-|---|-||-----|
mesdamne deul omnipotent	--|-----⌫--||---------|
nosme tte enlesoensaluement	--|--⌫--|-|-|---|--------|
eensagrantioie	|-|-|----|---|
plaistmeiquedeshuimes	-----|--|--|--|--|--|
dunoiselou	|-|----|-|
multaboisd ie	---||-----⌫-|
c e stlaperdr izque nosueo m	|-⌫-|-|-----⌫-|--|--|---⌫|
que nos si	--|--|-|
uol entersmangom	---⌫-----|-----|
pasnette ne po rquant	--|----|--⌫--⌫-----|
ainzesteorde emesfes ant	---|--||---||------⌫--|
e siau nmultmaluaispoi nt	|-||-⌫|---|------|---⌫-|
c ar madl esodmadle seioin t	-⌫-|----⌫-|-|----|-|----⌫|
itan t estarda ntlorlu xure	----⌫|--|----⌫-|--|--⌫---|
q uilobli ent dreitenature	-⌫|-|----⌫--|-----|-----|
laperdriz es tmult tr aitresse	-|------|--⌫|---|--⌫-------|
caragui s edelarronesse	--||---⌫-⌫|-|---------|
c ou e le s a ltru ioes	-⌫--⌫|--⌫|-⌫----⌫|--|
meslipul cinneli	--|-|---⌫--|-|-|
porlela rrecinqu eleen fait	--|-|--⌫-----|-|--|-|---|
or entende zcoment ce ou ait	-|-------⌫|-----|--⌫|-⌫--|
altr uioes acou e z	----⌫-|--||---⌫-⌫|
elespulcine zaleuez	|--|-------⌫|-----|
tantos tcomil ueien teuon t	------⌫|--|-|-----⌫||---⌫|
e queap erceuzs es ont	|--|--⌫-----|-⌫|-⌫--|
q uantiloentcrierlo r mere	-⌫---|-|---|----|--⌫|---|
od sauoiz quin es t mi e	-|-|---|--||--⌫|--⌫|
de ce lepart al ersangoissent	-|--⌫-|---|--⌫-||---------|
carparna t urela	--|--|--⌫-⌫--|-|
conois sent	------⌫---|
le nt end ent parlecri	|-⌫--⌫---⌫--|--|-|--|
celelessentquilesnorri	---|------|--|--|----|
a lordrei temeres en ue nent	|--|----⌫-|---||-|--⌫---|
e totadesa	|--|---||
li setene nt	-|-|----⌫-|
lafalsem er e remeintsu le	-|----|-⌫--⌫|------|--⌫-|
par sontripotepa rsabule	--|--|-----||--⌫|-|---|
pertlameited esoneage	---|-|----|-⌫|--|---|
senesetentmie	-|-|-|---|--|
desapei ne	-|-|---⌫-|
queeleami se	--|--||--⌫-|
longuement en	---------|-|
altrui seruise	-----|------|
cardonc ue i t q uetotson tr auail	--|---|--⌫-⌫|-⌫-|--|--|--⌫----|
neli a pasualu un	-|-||--|---|-|
seignorsciaessa mple	-------|-||----⌫---|
quitotlequoermerenouele	--|--|-|----|-|-------|
altresi come laperdriz	------|---|-|------|
qui a ltrui enfanz a norriz	--|-⌫----|-----||-----|
epuisaldaerreinle spert	|---|-|-------|--⌫|---|
auen t iltr estot e n apert	----⌫|-|--⌫----|-⌫|----|
aldiablebenest raison	-|-----|--|--|-----|
genera cion	------⌫---|
no stresouereinp ere	--⌫---|-------|-⌫--|
emble e norristco me fe ller e	----||------|--⌫-|--⌫|---⌫|
en malu estezen lecche ries	-|----⌫----|-|------⌫---|
enluxurese nbeueries	-|------|-⌫|-------|
quid efairesesfiz	----⌫|----|--|--|
quantlonguementlesanorriz	----|---------|--||-----|
e il oentlauo izl orpere	|-|---|-|--⌫-|-⌫-|---|
enl eglise lordreit emere	-||-----|--|-----⌫|---|
doncse uentquetrailesa	---|--⌫---|--|---|--||
m espuisqu esaparo le	-⌫-|------⌫|-|----⌫-|
en ten dent	--⌫---⌫---|
aluiuenent alui se	|--|-----||--|-|
l esre ceitenor rist	-⌫-|--⌫---||---⌫---|
sozseseleslesgarantist	--|--|---|--|--------|
seig nors par	----⌫---|--|
nest pasdote	|--|--|---|
ian erten simalua iserote	-||--|-|-|-----⌫--|---|
nulpeccheor dolen tch aiti f	--|-------|-----⌫|--⌫----⌫|
se tantc omi l	-|---|-⌫-|-⌫|
estseine u if	--|---||-⌫-|
se uoelt retraireere pentir	-|----|-------||--⌫-----|
quilnepuist a	-|-|-|----||
seinte eglisele receura	-----|-----|-|------|
soz s e sel esl edef endra	--|-⌫-⌫|--⌫-|-⌫|---⌫----|
qu an ta li uendraagarant	--⌫--⌫||-|-----||-----|
eli an gle sontplusio iant	|-|--⌫--|---|---|--⌫---|
pec cheorquimerci c rie	---⌫----|--|----|-⌫--|
esere pentde	|-|--⌫---|-|
s afol i e	-⌫|---⌫-⌫|
sic omte stimoniel escriz	-|-⌫-|--⌫-------||-----|
quedenon antenoefesliz	--|-|---⌫---|---|----|
qui nontmesterdepeni tan ce	--||--|-----|-|----⌫---⌫-|
ceodi tla le ttresanz dotance	--|--⌫|-|--⌫---|---|------|
dela b eletteestgrant merueille	-|-|-⌫-----|--|----|--------|
car ele enfante parl oreille	--|--|------|--||------|
ep arm ilabochereceit	|-⌫---⌫|-|----|-----|
la sem encedontelconceit	-|---⌫---|---|-|------|
delmadlequantillia proche	--|----|----|-|-|-⌫-----|
pren tla se me nceparlaboche	----⌫|-|--⌫--⌫--|--|-|----|
q uideden z son uentre	-⌫-|-----⌫|--|-----|
eparmilor eille sen	|----||--⌫----||-|
cestepe tite	----|--⌫---|
portesesc haelse	----|--|-⌫----||
so uentesfeizdeleu enleu	--⌫-----|---|-|--|-|--|
nete ntmi e une	-|--⌫-|--⌫|--|
plac ee nfeu	----⌫|-⌫|--|
les serpenze le ss or riz	--|------||--⌫|-⌫--⌫--|
dela les chac e	-|-|--|----⌫|
ouel lesset	-|-|--|--|
sontcil folsqui uon taf ferm ant	---|--|---|--|---⌫|--⌫----⌫--|
queele re ceiteespant	--|--|--⌫---||-----|
la s eme n ceparmi	-|-⌫---⌫-⌫-|----|
seurementceo n a m i e	--------|--|||-⌫-⌫|
aceste sont ap aragez	|----|---|--⌫-----|
plusorsqui so nt acoragez	------|--|--⌫-|-------|
debenourirdedeuseruir	-|--|----|-|--|-----|
de laparoledeuoir	-|-|-----|--|--|
coriossontmult i ente ndent	-----|---|---||----⌫----|
enlor corage adeu	-|--|-----||--|
serende nt	-|-----⌫-|
ecomence ntaben ourer	|-------⌫-||--|----|
a deuseruir ea	|--|-----|||
mesenp etitdorerecreient	--|-|-⌫---||--|--------|
qu ilont oimescreie nt	-|-|--|-|--------⌫-|
sinesont mieobe dienz	-|-|---|--|---⌫----|
afa ires escom andemenz	|--⌫--|-⌫-|---⌫-------|
comilau eien t e inz	--|-|--⌫----⌫|-⌫--|
alse rpent	-|--⌫----|
quianon asp i s	--||--|---⌫-⌫|
resontacomp arertels	-----||----⌫---|---|
siuosdirrai quel	-|--|-----|---|
celeserpentdo ntieouos di	---|------|--⌫-|--|--|-|
nepor quant onqu es nelaui	-----⌫----|----⌫-|-|-|-|
mesceo e st ueri te prouee	--|--|-⌫-|----⌫-|-----|
quant el cre inte stre en c h antee	----|-|---⌫--|-⌫---|--⌫-⌫-⌫----|
en chanteorqu elecreint	--⌫-------|-|--|-----|
l un edesesoreillesp reint	|--⌫|-|--|-------|-⌫----|
a la terre	|-|----|
mult durement	---|-------|
eodsac uefine ment	|-|-|-⌫-|----⌫---|
e stopelaltreor eillesi	-⌫----||----|--⌫----|-|
que d elinepoetestre oi	--|-⌫|-|-|---|----|-|
lenchanteoren nuleguise	|---------|-|---|----|
de tel manereestsa	-|--|-----|--|-|
co inti se	--⌫----⌫-|
daltr etele maneresont	|----⌫----|-----|---|
lesric heshom e sdecest	--|---⌫--|---⌫-⌫|-|---|
to tson tencom brezechargez	--⌫|---⌫|-----⌫---||------|
deriches ces ed e pecchez	-|------⌫--||-⌫|------|
quantiloient	----|-|----|
dedeu parler	-|--|-----|
loreil lenipoentt o rner	|-----⌫-|||----|-⌫-⌫---|
par ri chesces	--|--⌫------|
sontassordez	---|-------|
ep arcoueit ise	|-⌫-|------⌫--|
quilno ientne neu eient	-|-||-⌫---|-|-|-⌫----|
toziorsten entmalua iserote	--|---|---⌫--|-----⌫--|---|
l euangilemeism eafiche	|-------|-----⌫|-----|
plus gre fchose	---|---⌫|----|
esta h omeri ch e	--||-⌫--|--⌫--⌫|
gloiredelcelentrer	-----|--|--|-----|
que de faireuncame ilpasser	--|-|----|-|----⌫-|-----|
parlechaas duneagui llette	--|-|----||--|----⌫-----|
estr eit ee petit ette	----⌫---⌫||-----⌫---|
malditeseitcele ri ch esce	------|---|---|--⌫--⌫---|
quil almemeineentel destr e sce	--||---|----|-|--|-----⌫-⌫--|
enlapeinequitoz iors	-|-|----|--|--|---|
enlafur naise e en l ard u re	-|-|---⌫----||-||---⌫-⌫-|
de lapuorquitozi orsart	-|-|---|--|--|-⌫--|--|
richescesso nt dem ale part	--------|--⌫-|-|-⌫--|---|
car agra nttr aua il sont	--||---⌫-|--⌫---⌫-|---|
conq u ise s	----⌫-⌫---⌫|
eagr antpoorsontporsises	||--⌫--|---|---|-------|
e ag r ant	||-⌫-⌫--|
do lo rsontguerpie s	--⌫--⌫|---|-------⌫|
e perduesedepa rties	|------||----⌫----|
por ceo f is t benia disuns age	--|--|-⌫--⌫|--|--⌫--|-|-⌫--|
quimulta ueittotsoneag e	--|---|-⌫---|--|--|---⌫|
asesr ichesce s entendu	|--|-⌫-------⌫|------|
tant quelamemoi re	---|--|-|-----⌫-|
out p erdu	--|-⌫---|
de deuseru irehonorer	-|--|----⌫-||------|
uniorseprist a porpe nse r	-|--|-|----||-----⌫---⌫|
esgarrezf uque	-------|-⌫|--|
seilasesuignesirreit	-|-||--|-----|-----|
ouas es falceorsas	-||-⌫-|-------|-|
durementesteit esgarr ez	-------|-----|------⌫-|
desesbestes qui se m ore ie n t	-|--|-----|--|-|-⌫---⌫--⌫-⌫|
desesnesqui parmer	-|--|--|--|--|--|
de sesmo l ins	-|--|--⌫-⌫--|
ert en por pens	--|-|---⌫---|
quil eussentewe toztens	-|-|------|--|--|---|
d o nclui ueneientmess ag er	-⌫-⌫-|--|-------|----⌫--⌫-|
quelaporreit	--|-|------|
ta ntgaaigner	--⌫-|-------|
altres me ssagersre ueneient	-----|--⌫------|--⌫-------|
quialtres nou elesdiseient	--|-----|---⌫---|-------|
deceoqu i tantperdu	-|--|--⌫|---|----|
quenulsle nombrenen saueit	--|---|-|-----||-|-----|
laou ilerten tel	-|-|-|--|-|--|
regardeamontelese lzdre sce	------|----||--|-⌫-|---⌫--|
uers d euqui tot lemontfor ma	---|-⌫-|--|--|-|---|---⌫-|
edesarichesce	|-|-|-------|
quil u iaueitfet oblier	--|-⌫-⌫|----|--|-----|
ceoqueildeustplusamer	--|--|-|----|---|---|
etantiau ei tmis sonqu oer	|---||--⌫--⌫|--|--|--⌫--|
enpoeitanulfoer	-|----||--|---|
desuoluperne departir	---------|-|-------|
nehonore ement	-|------⌫----|
don cse porpensamultestreit	---⌫|-|-------|---|------|
quetoten sembleguer pireit	--|--|--⌫-----|----⌫-----|
s es pecu n es eson	-⌫-|----⌫-⌫-||--|
uenditotsi acheta or	----|--|-|-----|-|
quanquilout enor aius t a	-----|-|--|-|-|----⌫-⌫|
enune masse	-|--|----|
comunemoele de mol in	--|--|----|-|---⌫-|
quant ilou t totuenduenfin	----|-|--⌫|--|----|----|
queren n ioutremesa ue ndr e	--|--|||--|----||--⌫---⌫|
dont lempeust	---|--|----|
undenerprendre	-|----|------|
toz ses dras	--|--|---|
uendi adeuise	----||-----|
forssesbraiese	---|--|-----||
que plusauendre	--|---||-----|
son or de uantseiroulla	--|-|--⌫---|--|-----|
quant ilouttrestotassemblé	----|-|--|------|--------|
e il loutiss iator né	|-||--|---⌫|----⌫--|
qu odunechaenele tint	-|-|--|-----|-|---|
onc nefi na desiq u iluint	--|-|--⌫-|-----⌫|-|---|
sorune roche	--|--|----|
lezl a mer	--|-⌫|--|
lorscom encaflozamonter	---|---⌫---|---||-----|
qua nt ilf u totrasezep l eins	---⌫-|-|-⌫|--|----||-⌫-⌫---|
c il empeinsto dpezeo dmeins	-⌫-|-------|-⌫|--||-⌫|----|
sonoresgreignorsparfondesces	--|-|-|--------|-----------|
puis si aditalez	---|-||--|---|
ri chesces	--⌫------|
amile c inq ua nte	|--||-⌫---⌫--⌫--|
n eserreizmesodme imanabl es	-⌫|------|--|-|--⌫|------⌫-|
quidastesneier	--------|----|
mesie o uosne iera premer	--|--⌫|--|--⌫---|-----|
maldit seittot leuostreacost	-----|---|--|-|-----|----|
quoerrepost	----|-----|
boneuei etenir	---|---⌫|----|
nala halteio ie uenir	||-|----|--⌫-|----|
seignorspordeul	-------|--|--||
o m nipotent	-⌫-⌫-------|
ne s embl ez miel aserpent	-|-⌫----⌫-|--|-⌫|------|
oreillesclo t	-------|---⌫|
odsacueencontre la terre	-|-|--|-------|-|----|
quelenoie l enchanteor	-|--||--||---------|
q uantlaparo leal	-⌫---|-|----⌫-|-|
orreizne u os esto pe zmi e	-----|-|-⌫-|----⌫--⌫|--⌫|
nelaueu eneloie	-|-|---⌫|-||--|
aspiscreint mult lenchanteme nt	----|-----|---||----------⌫-|
desonlignagei a grantment	-|--|------|||--------|
dipsasenest la felonesse	-----|-|--|-|--------|
quimult estmale	--|---|--|---|
tr aitress e	--⌫-------⌫|
comaun home mors	--||-|---|---|
dan goissede seimoertle cors	|--⌫-----|-|--|----|-|---|
u nealtreenia prialis	-⌫-|----|-|||------|
del alignee aspis	-|-⌫|-----|----|
quiendormantla gent	--|-|------|-|---|
sicom lebest iairedit	-|--|-|----⌫----|--|
la reine c leopa tras	-|----|-⌫-----⌫---|
quitantcremeit de mo rtle pa s	--|---|------|-|--⌫-|-|--⌫|
enmistod sei	-|---|-|--|
unepoignant	--|-------|
simorutsicomen	-|----|-|--|-|
altreeniaquimult estf e r e	----|-|||--|---|--|-⌫-⌫-⌫|
p eri l lose manere	-⌫---⌫-⌫---|-----|
co medr eit	--⌫-|--⌫--|
san c estsa color	---⌫|--|-|----|
si p ointdesifereuigor	-|-⌫---|-|-|---|----|
home ouf emmeetan tligreue	---|-|-⌫---||---⌫|-|----|
queche s cun eu einelicre ue	--|---⌫-⌫---⌫|-⌫---|-|---⌫-|
sis e igneta nt comse ignerpoet	-|-⌫-⌫---|--⌫-|--|--⌫----|---|
ap res les a nc	--⌫--|-|-⌫-⌫-|
morirlestoe t	----||-----⌫|
unc or ia une plusmale	---⌫-|||--|---|---|
quimult auenimensama le	--|---||----|-|-|--⌫-|
ceo qui e le poin tiane garist	--|--|-⌫-|----⌫|-|-|-----|
cors meintenantporris t	---|---------|------⌫|
enpuldree ence ndre	-|-----||-|--⌫---|
l al me li couent tan tost	|--⌫-|-|-----|---⌫---|
delostricenelarrai	-||------|-|-----|
quedesa nat urene uosdie	--|-|-|---⌫--|-|--|--|
ces tune oi sele m erueillose	|--⌫|--|--⌫---|-⌫---------|
natureest obliose	-----|--|------|
ape l entebr eu	---⌫-⌫--|---⌫-|
eca melonanonengre u	|--⌫----||--|-|---⌫|
it elspeza	--⌫--|--||
comecame il	---|----⌫-|
desanature m esmerueil	-|-|-----||--------|
car plumesaeelesgr anz	--|-----|||---|--⌫--|
n est nule feiz uol anz	|--|---|---|---⌫--|
enlasa is o nq ue	-|-|--⌫--⌫-⌫|-⌫-|
enzel sablon sesoes	--|-|-----|--|--|
elalesguerpisteoblie	|-|--|-------||----|
e sachez quelene pontmie	|-----|-|--|-|---|--|
fo rsentor	--⌫-|----|
ioine n tensde st e	---|-⌫|---||-⌫--⌫|
q uan t el son terme a	-⌫---⌫|-|--|----||
e eleueitelcelleuer	|--|---|-|--|----|
une e steilequiraiecle r	--|-⌫-----|--|---|---⌫|
quelesteile uigille an on	---|------|------||-⌫-|
don quesponten c ele saison	---⌫---|---|-|-⌫--|-----|
eelsablon sesoes enfue	|-|-----|--|--|----|
queplusn escouene	--|---||-|---|-|
asesoesner etornemes	|--|--|-|-⌫-----|--|
dr eitalesteilemuse	--⌫--|||------|---|
eses oesob liee gu erpist	|--|--|--⌫--||--⌫-----|
mesdeu squi	--|---⌫|--|
t otl emo ndefis t	-⌫-|-⌫|--⌫--|---⌫|
liaidepartel	-|---|--|--|
queel sab lon een la	--|-|---⌫--||-|-|
parlair qui est	--||--|--|--|
dolze serein	---||-----|
tensalseir	---|-|---|
de bon emanere	-|---⌫|-----|
d edenz l a	-⌫----|-⌫|
moistesa blonere	-----|--⌫------|
germentlioef ep ulcins font	------|-|--||-⌫-----|---|
c es tundesmi raclesdel mont	|--⌫|-|--|--⌫-----|--|---|
