ocum es ri ches	|--|-|--⌫---|
grace enou squ	----|-|--⌫|-|
ila amplirnepuee nt	-|-⌫-----|-|----⌫-|
porlono n p oor dela natu re laine	--|-|--⌫|-⌫--|-|-|----⌫-|--|-|
getterit miesli	-------|---|-|
l esrainsdes arbre s nel e s uils u este m enz	-⌫-|----|--|-----⌫|-|-⌫-⌫|---|-⌫----⌫-⌫--|
abasserunt lessaintes besteslorale setli	---------|--|------|-----|--|---⌫|-|-|
uin tequatre uel lart	---⌫||-----|---⌫---|
ett oteslesuirtuz de	-|-⌫---|--|-----|-|
cielos terunt lorcoronesdaua n tl o	---|--⌫-----|--|------|----⌫-⌫|-⌫|
de lagn elces ttot	-||---⌫-||--⌫|--|
ceureffarunt a	--|--------||
luidegl oreet d ebeat ei t	--|-|--⌫--|-|-⌫|----⌫--⌫|
quilauerun t etdetot	-|-|------⌫|-|-|--|
afaitretornerunt	|---|----------|
a luiloulos	|--|--|--|
mais porceuque nosauonsramentutla	---|--|--|--|--|----|-------|-|
beste etlesuestem en z	----|-|--|------⌫--⌫|
etlesrainsdearbressi	-|--|----|-|-----|-|
meplaistae swarder plusdiliantrement	-|-----||-⌫------|---|------------|
tro is manieresde seru is es	---⌫-|-------|-|----⌫--⌫-|
quie nces te	--|-⌫|---⌫-|
processionf urent	---------|-⌫----|
represe n teita lsaluourli	-------⌫-⌫---|-⌫|------|-|
primiersf utde labesteso r	-------|-⌫-|-|-|----|--⌫|
lis e conzdeceosqui e spandirent lo ruestimen z li	-|-⌫-⌫---|-|---|--|-⌫---------|--⌫|--------⌫|-|
tierz deceo sq uilesrainstrenc hieu ent des ar b restut	----|-|---⌫|-⌫-|--|----|-----⌫----⌫--|--|--⌫-⌫--|--|
altre s erui re ntnostre	----|-⌫----⌫--⌫-|-----|
ceud ontil auoienth abundance	--|-⌫--|-|------|-⌫--------|
etassicumse nstraual	-|---|--|--⌫-|-----|
maislis o ulebes teabandonat	---|-|-⌫-⌫--|---⌫-|--------|
lei mismes	--|-----|
ens ons erui s ecoiseraime iu	-|-⌫-|-⌫----⌫-⌫|-------|-|-|
porceuqueuosneuosesliu iez	--|--|--|--|-|--|-----⌫--|
ou parlerai iuporceu	-|-------|-|--|--|
k e uose nceuqueiudirai	-⌫|--|-⌫|--|--|-|----|
prenn iez solaz nenestesuos	-----⌫--|----|--|----|--|
do nsli b est esorcui nostre	--⌫-|-|-⌫---⌫|--|--|-----|
siressie t qui selonc lo com an dementde l	----|---⌫|--|-----|-|---⌫--⌫-----|-||
ap ostleglori fiez	--⌫----|-----⌫---|
etport ez deuenu oscor s	-|----⌫-|--|-|-⌫-|---⌫|
ligent seculer	-|---|------|
ne n e spand ent	--⌫|-⌫-----⌫--|
mieselseruise nostresignorlorco rsmaisceles	---|-|------|-----|-----|--|--⌫-|---|----|
su nt en torlocors qua ntilalmoinesf unt	--⌫-|--⌫--|-|---|---⌫-|-|-------|-⌫--|
de lor terr ienes	-|--|----⌫----|
sustances li	--------|-|
prelaitassitrenchentlesrai ns desarb res quant	------|---|--------|--|---⌫-|--|---⌫--|----|
il prochen tdela	-|-------⌫|-|-|
f oy t et de lobedience	-⌫--⌫|-|-||--------|
abrahe de lachasteit	-----|-|-|-------|
i o sephde la	-⌫-⌫---|-|-|
mansuet umem oysietdesuirtuzdes altres sa inz	-------⌫--|-⌫---|-|--|-----|--|-----|--⌫--|
cisttraie nt des uasse lsquipl ain suntetp or	---|-----⌫-|--|-----⌫-|--|--⌫--|---|-|-⌫-|
co mandetom adonerempardonsce uqu il	--⌫-----|-||----|-|------|--⌫|-|-|
empa rdonsun treceut	-|--⌫----|--⌫|-----|
cistt oteuoies suntenlaprocessiondels alueoret	---|-⌫-------|---|-|-|---------|--|-⌫-----|-|
luientrent	--|------|
e nla s ainteciteitmaisc uns chascuns	-⌫|-|-⌫----|-----|---||--|-------|
foemen te ntenduz	------⌫|-⌫------|
ason seru isecar	|--|----⌫--|--|
troishommes	----|-----|
uitliprop he tesen	--|-|----⌫--⌫--|-|
espiritqui salueitseroien tnoequ i lesr ainstre nchet	------|--|------|-------⌫|--|--⌫|--|-⌫---|---⌫----|
p or faire la rchedanihelquien	-⌫-|----||-⌫---|------|--|-|
lauiluiand e eteltraualdastinence	-|--|-----⌫|-|-|-----||--------|
portetsicu mbestel o salue or etlo	-----|-|--⌫|----|-⌫|-----⌫-|-|-|
tierziob quia	----|--|--||
droit dep ar t la	----|---⌫--⌫|-|
sost a nce de cestmunde	----⌫-⌫--|-|---|----|
et quil escostez des	-|--|-⌫-|-----|--|
poure sresch afetde s	-----⌫|-----⌫---|--⌫|
uerre sdesesbarb izmaisacu iest	-----⌫|-|--|----⌫-|---||--⌫|--|
plusp rochiensd etoz ceos quien celeprocession	---|-⌫-------|-⌫|--|---|--|-|---|---------|
queldeceztrois ordene sest li s alu etez	---|-|--|----|------⌫|--|-|-⌫---⌫---|
prochiene certesceupozuos aper ceoure mol t ligierement	--------|-----|--|--|--|----⌫-----|---⌫|----------|
i lnoscouient hui chier f reir e	-⌫|--|------|--|----|-⌫----⌫|
parlerplus briemen tp or	-----|---|-------⌫|-⌫-|
k i petizest	-⌫|----|--|
li proce ssionsquenoshuidoiens	-|-----⌫-----|--|--|--|-----|
faire nosaminis t re t molta	----|--|------⌫-⌫--⌫|---||
dire mai sele	---|---⌫|--|
mismesnosdetriet	-----|--|------|
pou nsmiesdire plusorschoses	---⌫-|---|---|------|-----|
no s doiens	--⌫|-----|
huicelebr ersollempna lprocessionet apres	--|------⌫-|---------⌫|---------|-|----|
un petit d oien s	-|----|-⌫----⌫|
la pass ion	-|----⌫--|
nostresign or por	-----|----⌫-|--|
deuporcaifutfaite cestemerui llouse	--|--|--|--|----|----|-----⌫-----|
assembleieoucorent en pensenostrepeirequant	---------|-||----|-|----|-----|----|----|
e m sem blelapro ce s sionmisent	-⌫-⌫---⌫--|-|---⌫--⌫-⌫---|-----|
la passion la processionreprese ntet	-|------|-|---------|-------⌫---|
omhui per droitcarele huifut faite	-|--|--|----|--|--|--|--|----|
maisl i passion s	---|-⌫|-------⌫|
futelea torneieensemblequefutfa ite	--|--|-⌫------|-------|--|--|--⌫--|
primesaprescertes molt	-----|----|-----|---|
couenaulementfu tmiseli	------------|--⌫|---|-|
passionsauoc l a pro cessio n por	-------|---|-⌫|---⌫------⌫|--|
ceukenossachi ensqu e nos	--|-|--|-----⌫--|--⌫|--|
nule fi a nce nedoiensauoir	---|--⌫-⌫--|-|-----|----|
en nuleioyede cestmunde car	-|---|---|-|---|----|--|
la fin de la ioi e po rprent li plours	-|--|-|-|---⌫|--⌫-----|-|-----|
po rceuc hierfreirene	--⌫|--|-⌫---|-----|-|
soiensmi es sot k enost re	-----|--⌫-|--|-⌫|----⌫-|
prosperiteznen os ocietmais el	----------|-|-⌫-|----|---|-|
io r desbien sne matto ns mies e nobli	--⌫|--|----⌫|-|-----⌫-|---|-⌫|---|
lesmal s nelesbiensel ior	--|---⌫|-|--|----|-|--|
desmalsensiestmelleieces tepresente uieet n e	--|---|---|--|------|---⌫-|-------|--|-|-⌫|
miessoule ment	---|-----⌫---|
seculer mai s nesassiaceos	------|---⌫|--|---||---|
quiespi ritelme nt	--|----⌫-------⌫-|
uiuentalaseculergent mismesquiaimment	-----||-|------|---|-----|--|------|
ueons nosala	----|--||-|
fieie auenir chosequelorplai steta la	----|-----|----|--|--|----⌫-|-||-|
chosequelordeplaistetcil	----|--|--|-------|-|--|
au siquiespir i telment ui uentne	--⌫-|--|-----⌫-⌫------|--⌫---|-|
sun t miesadesentr i stecenenade snesunt	---⌫|---|---|-|--⌫-⌫----|--|---⌫|-|---|
enioye a nz	-|---|-⌫-|
a ousli ues pr esetlimatins	|--|-|---⌫--⌫-|-|-|-----|
unsiors etceuausi	--|---|-|--|---|
teluisitesalmatinetenoytesloprueues	--|------|-|----|-|------|-|------|
en s iestortantcum ci st se ulesperma intmais	--⌫-⌫|--|-|---|--|--⌫-|--⌫---|-----⌫--|---|
c um ildecour tdoueroiemi ezdire	-⌫-|-|------⌫|-------|--⌫-|---|
ma is apres c e stuiseul edoient	--⌫-|----|-⌫-⌫---|----⌫|-----|
ue ni r duia ltre	--⌫--⌫|--|-⌫---|
se ul equimolt se runtdiuiseitet	--⌫--⌫|--|---|--⌫---|-------|-|
diuersen s iquen lunne nauerits i	-----|--⌫-⌫--|-||-|--⌫|-----|-⌫|
et cruse me nt	-|-----⌫--⌫-|
dedenzeten l altresi ioi enon	-|---|-|-||----|-|---⌫|--|
etuoix de loscard e us	-|---|-|--|--|-⌫-⌫-|
furberitlesoilz dess ainz detoteslor	-------|--|---|--|-⌫---|-|----|--|
e ti amai sn e s eritenous neploursne	-⌫|-⌫----⌫|-⌫|-⌫---|-|--|-|-----|-|
criznedolors	---|-|-----|
ortant cumceste	-|---|--|----|
uieduret n enunt	--|----|-⌫-|--|
mie scilq ui	---⌫|--|-⌫-|
deua i mm enttoteloruolen t e it en	--|-⌫-⌫--⌫--|---|--|-----⌫-⌫-⌫-|-|
c est mu nde sicum	-⌫--|--⌫--|-|--|
nen untquiaimment lomundeca rcilmi sme s	--|--|--|------|-|----|--⌫|--|--⌫---⌫|
maintesaduersite izporceuse doient	------|---------⌫-|--|--|-|-----|
retraitier lesbienseliordes malsq uiln e	---------|--|----|-|--|--|---|-⌫|-|-⌫|
deui g nentfleue et	----⌫-⌫---|----|-|
inpacien tsicumc ildecui	--------⌫|-|--|-⌫-|-|--|
omleistenla salme donste	-|----|-|-|----|---|-|
l o er it quant bien liau eras fai t et eliordes	-⌫-⌫--⌫-|----|---|-|--⌫---|---⌫|-|-|--|--|
biensnemattentmie au s ienoblilesmals	----|-|------|--|--⌫-⌫|-|---|--|---|
se slieuent	|-⌫-------|
et dient enlor habundance	-|----|-|--|---------|
qui len p er menantne se	-|-⌫|-|-⌫--⌫-----|-|-|
moueruntcar en si	-------|--|--⌫-|
cum liprosperitezdeschosessec ulers	--|-|----------|--|-----|---⌫----|
lo sotcue rseculerensi	-|--|---⌫|------|---|
puet lihabun dancedelespiritel	---|-|-----⌫----|-||--------|
prosp erite itocirelespiritel cuer	-----⌫-----⌫-|----||--------|---|
s ilsages nenest	|-|----|--|--|
et uoisousliespiritel s	-|------|-|---------⌫|
ho m iugettot afait	--⌫|----|--||---|
mais do nt	---|--⌫-|
au ient ceu queli	--⌫---|--|--|-|
prosperitezocitlosot etnem ie lo sage	----------|---|-|--|-|-|-⌫-|-|---|
escrit e sten unalt releuli cu ersdel	-----|-⌫-|-|-|---⌫-|--|-|--⌫--|--|
s ageh o mme est	-⌫--|-⌫-⌫--|--|
lai outristece	--|-|-------|
estetlicuersdela	--|-|-|----|-|-|
sot egent laiou	---⌫|---|--|-|
ioieest et porceudistadroit	---|--|-|--|--|---||----|
cistmisme s sages	---|-----⌫|----|
quemiez ualt aler	--|---|---|---|
ala maison	|-|-----|
deplou rqua la	-|----⌫|-||-|
conuiueiaso it c euk eliauersitez sollet	------|-|--⌫-|-⌫-|-⌫|-|--------|-----|
aflauilli erlocuertoteuoies esli e uetmolt	---------⌫-|-|---|--------|----⌫-⌫--|---|
plusdegentli	---|-|---|-|
prosperitez sicum escritest deuerstoncos teitc h arunt	----------|-|--|-----|--|-----|--|---⌫---|-⌫-⌫----|
milces t lo	--||--⌫|-|
senestre cos teitq uisignefi etla uersitei t	-------|---⌫---|-⌫-|-------⌫-||-⌫--------⌫|
etdeixmilec	-|---|---||
estm olt plus d euersta destre	--|-⌫--|---|-⌫----|-|-----|
prosperitei tsignefie tet	-----------⌫|--------⌫|-|
dunepa rt etdaltre at	|--|--⌫-|-||----|-|
p er ilsi pre ieuet li	-⌫--⌫-|-|---⌫----|-|
sages hometsidisoitrichec e set	----|--|-|-|-----|------⌫-⌫|-|
poureteznemedonermiepor	-------|-|-|----|--|--|
ceuq uepe rauenture	--|-⌫-|--⌫|-------|
nesoiee s leuez enorgoilperle s richeces ou	-|---|-⌫-⌫----|-|-----|--|--⌫|-------|-|
ab atuz en	--⌫---|-|
inpacienceper	---------|--|
la p oureteit	-|-⌫-------|
etporceu uolt	-|--|--|---|
nostresire s	-----|----⌫|
mos trerhumiliteitenlaproces sioneten s apas sionpacience	---⌫---|---------|-|-|------⌫---|-|-|-⌫|---⌫---|-------|
unebarbizfutmen ezensa	--|-----|--|---⌫-|-|-|
e tausi futmuzcumliagnes est	-⌫|---|--|--|--|-|----|--|
dau antceluique l	---⌫--|----|--||
etsine n aouritmie s	-|-|-||-----|---⌫|
sa boche quine ma nicieuet	-|----|--|-|--⌫-------|
mies quant	---|----|
om loferiuet anz	-|-|------|--|
oreuet anceosetsi di soit p eres pardon e	-----|-----|-|-|--⌫---|-⌫---|------⌫|
lor c arilneseu entquil	--|-⌫-|-|-|---⌫--|-|-|
fac entetenlaproce ssionque	---⌫--|-|-|-|-----⌫----|--|
f istil li peule s aparil leuent por iss ir	-⌫--|-|-|----||------⌫-----|--|---⌫-|
enc ontre lui	---⌫----|--|
neceunestoit miesrecel eita	-|--||-----|---|-----⌫--||
lui quisauoit	--|--|-----|
bienceukestoitdeden z lommeet il	---|--||-----|-----⌫||---|-|-|
c omen tsaparilla t	-⌫----⌫||--------⌫|
il nes apar illat nen en charaznenens	-|-||----⌫----|--|-|-----|--|--|
ch e ualsnen	--⌫-⌫---|--|
ens frains	--|-----|
sellescou erte sdor an zsa s sist sor	-----|---⌫----⌫||-|--⌫||-⌫-⌫---|--|
pet itasn un e t	---⌫-|---⌫-|-⌫|
siotlesuestemenzdes	-|-|--|--------|--|
a post lesque i une	-⌫----⌫--|--|-⌫|-|
c roimiequeles fussentles	-⌫--|--|-|---|------|--|
plusp reci oses	---|-⌫----⌫---|
maisceuquefut	---|--|--|--|
p rocessionuoltauoir qui sauoit b i en que	-⌫--------|---|----|--|-----|-⌫-⌫-|--|
sapassionsdeuoit apermemmes uenir apres	-|-------|-----|---------|----|----|
ceu fistilt ost	--|---|-|-⌫--|
p or ceukelipassi on sf ustplus	-⌫-|--|-|-|-----⌫--⌫|-⌫--|---|
ame rede ceuque	---⌫-|-|--|--|
li processions	-|----------|
aueroit dauanteste it car	------|-----|----⌫-|--|
cil mismes	--|-----|
puele squ i	-----⌫|--⌫|
feste l otda u ant rece utloucrucifiataprese n	----||-|--⌫-⌫--|----⌫-|--|--------|----|-⌫|
mi s mes leueten ce ltensmi s mesmaiscun	--⌫-⌫--|--|-|-|--⌫|---|--⌫-⌫--|---||-|
pocdeiorsot	--|-|---|-|
entredo us	----|--⌫-|
ocum suntd essemblanzcez	|--|---|-⌫---------|--|
do usparolles	--⌫-|-------|
ostecrucif ielou	---|------⌫-|--|
e t benoizsoit cil qui	-⌫|-----|---|--|--|
uientelnom	----|-|--|
nostresignorli roisd isr ahel	-----|-----|-|---||---⌫---|
ocumestd es s e mblanz	|--|--|-⌫--⌫-⌫-⌫-----|
choserois d israel etnos	----|---||-----|-|--|
maisquece sairecertesmolt	---|--|--⌫----|-----|---|
sunt dessemb lant liraimuardiantetl icroi zlesffours	---|-------⌫---|-|---|-------|-|-⌫|----⌫|--|-----|
es pines celuideues tom	--⌫----|----|-----⌫|-|
apre sdeses	----⌫|-|--|
ue stimenzet	--⌫------|-|
gettetomsors susdauantcui li	-----|-|---|--|-----|--|-|
a lt ree spand oient	-⌫--⌫-|-⌫-----⌫----|
dauan tlor	-----⌫|--|
uestemenzwa iatiamaritez	--------|--⌫||-|-------|
d enozpechiezpor	-⌫|--|------|--|
destrure futn eces sairesigranzamari tez	-------|--|-⌫----⌫----|-|----|-----⌫--|
enceleprocessionqu e dons fut	-|---|---------|--⌫|---|--|
faite ots i cum mi	----|-|-⌫|--|-|
s e mbl etquatre	-⌫-⌫---⌫-|-----|
ord enes et tozcesquatres	---⌫---|-|--|--|------|
ordenesporo nsnosperauenture huiatrouer	------|----⌫-|--|--|-------|--|------|
enceste nostr eproces sionli una l euentdauant	-|----|-----⌫|------⌫---|-|-|-⌫-⌫----|-----|
ap arill euentlauoie cesunt cilquiuos gouernen tet	--⌫-----⌫----|-|---|-|---|--|--|--|--------⌫|-|
adrescentuozpie zen lauoiede	--------|--|---⌫|-|-|---|-|
p aixlialtre a leuent	-⌫--|-|----|-⌫-----|
apre set ce suntcil	----⌫|-|-|---|--|
quiconossentlorp r opre no n sac h anc e	--|--------|--|-⌫-⌫---|--⌫|---⌫-⌫---⌫|
quideu ote m entenseuentets aerdentadesal	--|---⌫---⌫-⌫--|-------|-||------|---|||
essampledec eos	-------|-|-⌫--|
quidauantous uun ten	--|-----|--|---⌫|-|
lauoiededeuli discipleestoient	-|---|-|--|-|-------|-------|
ah ersasoncosteitsic umsei	--⌫--||--|------|-|-⌫-|--|
priueitetce	------|-|-|
suntcil qui	---|--|--|
esleito nt la me llorpartiequienscl o stresuiuent	-----|-⌫-|-|--⌫---|-----|--|--|--⌫-⌫----|-----|
s oulem enta	-⌫-----⌫--||
deuadesaherdant a luiet eswardant	--|---|-------||--|-|--------|
s onplaisirlibestene de faillit	-⌫-|------|-|----|-|--⌫------|
m iesa usien	-⌫--|-⌫--|-|
c eleproces sion	-⌫--|------⌫---|
so rcaiilsot	--⌫|--|-|--|
qu is ig n ef iet ceos	--⌫|-⌫--⌫-⌫--⌫--|---|
qu isu ntdedurcuere t	--⌫|--⌫-|-|--|---|-⌫|
ass icume nunemaniere	---⌫|--|-⌫|--|------|
be stial lainen	--⌫----|--|--|
ot miesmoltgrant habun dance	-|---|---|----|-----⌫----|
de tels be st esne mestiersne	-|---|--⌫--⌫-|-|-------|-|
futmi es ca rtels	--|--⌫-|--⌫|---|
bestessunt anceosa	-----|---|-----||
cha rge qua ho norne	---⌫--|-||--⌫--|-|
porousne fust mieliprocessions mol tplus	--|--|-|---|--|-|----------|---⌫|---|
glo riosetel s	---⌫----|---⌫|
manie re sdebestesne seue nt	-----⌫--⌫|-|-----|-|----⌫-|
miech a ntermai shaske rosement	--|--⌫-⌫---|---⌫|-----⌫-------|
br ai re etc esuntcil quiadesu ntmesti er	--⌫--⌫-|-|-⌫|---|--|--|---|-⌫-|-----⌫-|
d euergeet	-⌫|----|-|
despero n s et toteuoie sceosmismes	|------⌫-⌫|-|--------⌫|---|-----|
ne dewer pe rit miesnostr e	-|-----⌫--⌫--|---|-----⌫|
sirestantcum il uorrunt porter	----|---|--|-|------|-----|
sa dis cip line a tel	-|---⌫---⌫---||--|
gent distli	---|---|-|
salmistes s eruiza no stresignoren	--------|-⌫----||--⌫---|-----|-|
crimor e t si	-----|-⌫|-|
prennozdiscipline	------|---------|
que nostresiresne	--|-----|----|-|
secorrosta ncu ne fieiee t siperiezdela	-|------|-⌫---⌫-|----|-⌫|-|-----|-|-|
droit euoiequantcesteb estene uueltsofri rdiscipline	-----⌫|---|----|----|-⌫---|-|----|-----⌫|---------|
atplusmaisk enostres i res	-|---|---|-⌫|-----|-⌫-⌫--|
lad egizetassicum p erun	-|-⌫-----|---|--|-⌫-|-|
ap ermemm esissetde	--⌫------⌫-|----|-|
lauoiecor ra nzasespines et	-|---|---⌫--⌫-|-|------|-|
aschardo ns	-|------⌫-|
per cai liparoll ed euestforchachieiecest	--|--|-|------⌫|-⌫-|--|-----------||--|
richecesdeces t munde	-------|-|---⌫|----|
etal dele i tdel a char	-|-|----⌫-⌫|-|-⌫|---|
siciatdeceosqui t el s oient	-|-|-|-|---|--|-⌫-|-⌫----|
acuilio rdi nessoit	|--|-|-⌫---⌫--|---|
griesetaf axtote s leschosescu i il	----|-||-⌫-|----⌫|--|-----|--⌫|-|
cou ientpugneresouent	---⌫---|------|-----|
et des tregnerenoslorpreu ns pordeuqu	-|---⌫-------|--|--|----⌫-|--|--|-|
ilm acentlores tude	-|-⌫----|--|--⌫---|
etlor cusenceonaceuqu	-|--|--------||--|-|
bestessepoie ntmueren hommes ensi	-----|-|----⌫-|---|-|-----|---|
c umlespuistconterentrela quele	|-|--|----|-----|----|-|----|
partiequesoi tdesaltres	-----|--|---⌫|--|-----|
ce stouentrece osquidauantuuntouent re	|-⌫-|-|----|--⌫-|--|-----|---|-|---⌫-|
ceosqui en	---|--|-|
costeuontou	----|---|-|
entreceosqui apresuunt	----|---|--|----|---|
ets il c e unefunt	-||-|-⌫-⌫|-|---|
p re iqu il	-⌫--⌫|-|-|
amoenspermagnentenceuqu il	|----|---------|-|--|-|-|
sunt etq uilpaciamentsostig nentcel eschose s	---|-|-⌫|-|--------|------⌫---|---⌫-|-----⌫|
quesanti u les	--|-----⌫-⌫--|
lorsun tancor ne soie n tel esmiessisueis	--|---⌫|----|-|----⌫-⌫|--⌫-|---|-|----|
eniesqu atant	------|----|
quil placetadeureswarderlor hum ilite itet	-|-|-----||--|--------|--|---⌫-----⌫-|-|
moner auanten	----|----|-|
mellorchose mais uoloz quen osaikes reconfortiens no s t re	-----|----|---|----|--|-⌫-|----|------------|--⌫-⌫-⌫-|
bestebiensauonsuoi rementqu ille	----|---|-----|---⌫-----|-|---|
ne seitmi echanter	-|---|--⌫|------|
n equille nene stmiesde	-⌫|-|---|--|-⌫-|---|-|
ceosquipu eent dire tels	---|--|--⌫---|---|---|
iustification sestoient amichanta uleselleu	-------------⌫|-------||-|------⌫---|-|--|
demaperegrinacionu nec hose	-|-|------------|-⌫-|-⌫---|
iattoteuoies ka nuldes	|-|--------|||--|--|
altres nenestno s tresiress ipres	-----|--|--|--⌫-⌫--|----|-⌫|---|
carnescilmismes	--|--|--|-----|
quide zaiet dela i s aherdent a	--|-|--|-|-|--⌫||-------||
lui mi smes	--|--⌫---|
ne s un tsi	-|-⌫--⌫|-|
deluicumlibe steestsorcai	-|--|--|-|--⌫--|--|--|--|
ilsietetceumismes en	-|---|-|--|-----|-|
d is t liprophetespres	-⌫--⌫|-|--------|---|
estdist il nostr e sires	--|---|-|-----⌫|----|
quisuntdec on tr itcuercar	--|---|-|-⌫--⌫--⌫-|---|--|
c eluifil nur istplus	-⌫---|--|---⌫--|---|
cuse nc enosementl i mereetembra cetplussouentcui	----⌫--⌫--------|-⌫|---|-|-----⌫--|---|-----|--|
m a ladenunsne	-⌫-⌫---|---|-|
so itdonquesqui at ades de ng	--⌫-|------|--|-||---⌫--⌫-|
des peit tel	---⌫---|--|
genttant cumilu orru ntes tre	---|---|--|-|-⌫----⌫-|--⌫--|
libestedec rist	-|----|-|-⌫---|
carcilquiescandali zeritunde	--|--|--|---------⌫----|-|-|
cespitiz griement	--|----|-------|
co rrecerit nostr e	--⌫-------|-----⌫|
signorqu iassi cum	-----|--⌫|---|--|
mere demis ericord eles nurist	---|-|---⌫-------⌫|--|-----|
enson es courzdeciatantquilsoient	-|--|--⌫----|-|-|------|-|-----|
en for c ie ́tetporceu	--⌫---⌫-⌫--⌫-|-|--|--|
n ossem ont	-⌫-|---⌫--|
sai nzbenozquenostresp acia nmentsoffriensles	---⌫-|----|--|--|---|-⌫----⌫----|--------|--|
enferm et e izdal t rui moursdonque squ atremani eresde	------⌫--⌫-⌫-||--⌫-⌫--|----|------⌫|--⌫---|----⌫---|-|
gentatenlapro cessionnostre	---|-|-|-|---⌫------|-----|
signorlibo ensenneiti	-----|-|--⌫-|------||
etliboensimpleetc e	-|-|---|-----|-|-⌫|
sunt cilq ui	---|--|-⌫-|
dauantuunte tqui	-----|---|-⌫|--|
seuent apre setpor ceu aiiu	-----|----⌫|-|--|--|-|-|
car lisenneit	--|-|------|
qui boennesunt suntfellon et	--|---|-|---|---|-----|-|
lisimp lequi boen	-|----⌫-|--|---|
suntsot etenlaprocessionnost r e	---|--|-|-|-|---------|----⌫-⌫|
signornepue tauoirleu	-----|-|---⌫|----|--|
ne c ilquifele st necil	-|-⌫-|--|--|-⌫-|-|--|
quisoz estcil qui	--|--|--|--|--|
a h e rden tdune	-⌫-⌫-⌫----⌫||--|
p artet d alt resu nt	-⌫--|-||---⌫-|--⌫-|
l icontem p lati f	-⌫|------⌫-⌫----⌫|
et cilcuiom charge tetqui portent	-|--|--|-|------⌫|-|--|------|
ce suntcil	-|---|--|
quisunt dedurcuer et qui ont	--|---|-|--|---|-|--|--|
p ocdedeuociontut cis t	-⌫-|-|-------|--|---⌫|
suntenla proces sio n nostr esignor	---|-|-|------⌫---⌫|-----⌫|-----|
etnulsdoustoteuoies ne	-|---||--|--------|-|
uoitsa faceon cilqui dauantuun tsunten tendut	---|-|-----|--|--|-----|---⌫|---|--⌫-----|
d aparilli er	|--------⌫-|
la uoieet si sunt	-|---|-|-|---|
c usenc enosen tor	-⌫-----⌫---|--⌫--|
l es pechiez	-⌫-|------|
temptacion sda ltrui e tcilquise uent	----------⌫||-⌫----|-⌫|--|--|--⌫---|
ilnepuee nten	-|-|----⌫-|-|
nule maniereueor safac eonlodosuoi ens ol ement	---|------|---|-|---⌫--|-|--|---⌫-|-⌫--⌫----|
sicum nostr esi resdistamoysenetli beste	-|--|-----⌫|--⌫--|---||-----|-|-|----|
s or cui il	-⌫-|--|-|
cille ne puetennulemaniereleuerle soylz por	----|-|---|-|---|------|----|--⌫|---|--|
an zestadesencl in teuers te rremais	--⌫|--|---|----⌫--⌫-|---|--⌫--|---|
cilqu i alui	--|--⌫||--|
saherdentdu ne part	|-------||-⌫-|---|
altr ec il lopueentu eor	----⌫|-⌫-|-|-----|-⌫--|
ancu ne fieie maisc euesteno ytesetne	----⌫-|----|---|-⌫-|--|---⌫---|-|-|
mies co ntinuee mentne	---|--⌫-------⌫---|-|
planie re ment tant cumilan cors untenlauoie	------⌫--⌫---|---|--|-|--⌫--|-⌫--|-|-|---|
ettote uoies	-|----⌫----|
enue rsles altrespuet	----⌫-|--|-----|---|
omdire qu e cistlo uoie ntface	-|---|--⌫|---|-|----⌫-|---|
a facesel onc k ascritestlo	|---|---⌫--||-----|--|-|
mo yselasaltres	--⌫---|-|-----|
apar oitdeus p er	----⌫--|---|-⌫-|
ui sionsetper songes	--⌫----|-|--|-----|
mais a moys en pa rle uet il	---||----⌫-|--⌫---⌫--|-|
face mais t antcu ma plaine uisionaf ier tnepot	---|---|-⌫--|--⌫||-----|-----|--⌫---⌫|-|--|
u nquesnulsnesmoyses mi smesueorsa	-⌫----|---|--|-----|--⌫---|---|-|
ensaust fairetantcum	-|----|----|---|--|
il ancoruiuoi t ences t	-|----|-----⌫|-|---⌫|
ca r sicum ilmismesdi st nu ls	--⌫|-|--|-|-----|--⌫-|--⌫-|
qui uiuetn e meuari t	--|----|-⌫|-|----⌫|
iuneseraimies dist	-|-|----|---|---|
encesteuieetencest e	-|----|--|-|-|----⌫|
proc essi onilnos	----⌫----⌫-|-|--|
donst toteuoies persagrantp itietq ue	----|--------|--|-|----|-⌫----|-⌫-|
e n si poiensperseuererensa	-⌫-⌫-|-----|---------|-|-|
process ion endementre squenos	-------⌫--|----------⌫|--|--|
uiu o ns qu eno sen celeigr antprocessionouli	---⌫-⌫-|--⌫|--⌫|-|----|--⌫--|---------|-|-|
pe re s lo	--⌫--⌫|-|
doitreceoureens emble toz	---|-------|---⌫----|--|
les s ainz et	--|-⌫---|-|
ouildoit adeuet	-|-|---||--|-|
p ere liure rlo r egnepoie ns	-⌫--|-----⌫|-|-⌫---|----⌫-|
e ns emblelu i entrer	-⌫--⌫----|--⌫|-----|
enla sa inte	-|-|--⌫---|
citeit dei erus a lem	-----|-|-⌫----⌫-⌫--|
quedeusfes isttote schoses em poesete n	--|---|---⌫--|----⌫|-----|-|---|-|-⌫|
numbreetemmesure toteuo iesp lusspecialmentordinet il celes	-----|-|-|-----|------⌫--|-⌫--|----------|------|-|----|
choses etc elesoyuresduntilfutueuz	-----|-|-⌫---|-----|---|-|--|---|
conuersatentre leshommes	--------|----|--|-----|
eten sior dinattotceuqu	-|--⌫-|--⌫----|--|--|-|
