seimme peti t queut	-----|----⌫|----|
que deuantloroisor	--|-----|-|--|--|
liabatis anz	-|----|-⌫--|
delch ief sonchapiau debonet	--|--⌫--|--|------|-|----|
li rois torneuer sloualet	-|---|----|---⌫|-|----|
lochief queilauoit besié	-|----|--|-|----|-----|
siatot son pen selessié	-||--|--|---⌫-|------|
etdi tbiax	-|--⌫|---|
frereb ienueig niez	----|-⌫--|----⌫---|
ieuospric am alnet eig niez	-|--|--|||-⌫-|-|-⌫---⌫---|
cequauostre	-|-||-----|
sal u m etoi	---⌫|-⌫|--|
direrespondreneuos	|--|--------|-|--|
que lipireanem isque i	--|-|---|----⌫-|--||
quiplusmehet et	--|---|-|--|-|
plusmesmai e	---||-----⌫|
m ac imaterre comtredit e	||-⌫|-|----|---------⌫|
ettantestfox quetote q uite	-|---|--|--|--|---|-⌫---|
l aura ou oil le onon	|---||-⌫---⌫-||--|
cheualiersanon	---------||--|
delafo rest deq uinquero i	-|-|--⌫---|-|-⌫--------⌫|
etla reine deuantmoi	-|-|----|-----|--|
estoitci uenue seoir	-----|-|----|----|
p or con forter	-⌫-|---⌫-----|
et porueoir	-|--|----|
ces t cheualiers	---⌫|---------|
qui sontblecié	--|---|------|
ne meustgaires corrocié	-||---|-----|--------|
ch eualiersdeqanqu ilfi st	--⌫-------|-|----|-|--⌫-|
mes deuant m oi	--|-----|-⌫-|
macopeprist	-|---|----|
et sifolement	-|-|-------|
quesor l areineuersa	--|--|-⌫|----|----|
totle ui ndom	--|-|--⌫|--|
ele estoitp leine	--|-----|-⌫----|
ci ot oeurelaideetuileine	-|-|----|----|-|------|
quel a reineenest entree	--|-⌫|----|-|--|-----|
dedoelet dir eforsenee	-|---|-||--⌫|-------|
dedenzsa ch anbre	-----|-|--⌫----|
ne ne cuitpas se	-|-|---|--|-|
queele en puist eschaperu iue	--|--|-|----|-------|-⌫--|
liualez nep riseuneci ue	-|----|-|-⌫---|--|--⌫-|
qan qu e li roisli	---⌫--⌫|-|---|-|
ditet con te	--|-|---⌫-|
larein ene li	-|----⌫|-|-|
c ha ut il	-⌫--⌫-|-|
fa itesmoi cheualier fai t il	--⌫---|--|--------|---⌫|-|
s irer ois	-⌫--|-⌫--|
car ralermenuoil	--|----||-|---|
riantfure n tlioil	----|----⌫-⌫|-|--|
enlatesteauualet	-|-|----|-|----|
m esqui leuo it ne l tien tasage	-⌫-|--|-|--⌫-|-||----⌫||---|
mes tr estuitcilqui l e ueoient	--|--⌫-----|--|--|-⌫|------|
porgentlotenoient	--|---|-|-------|
ami sfet liroisd escendez	---⌫|--|-|---|-⌫-------|
etuostrechaceor rendez	-|-----|------|-----|
a c elualet selgar dera	|-⌫-|----|-||---⌫---|
etuost reuolente sera	-|----⌫-|------|---|
tresto te fa ite a deuleueu	------⌫-|--⌫--||--|-|--|
uostre preu	-----|---|
etliualez a res pondu	-|-|----||---⌫----|
ianesto i entpas descend u	-||----⌫-⌫--|--|-------⌫|
c ilqueietro uai	-⌫-|--|-|---⌫--|
etuos uo lez queie	-|--|--⌫--|--|-|
desc en de	----⌫--⌫-|
nedescendrai	-|---------|
m ais f aitestost simen ir ai	-⌫--|-⌫----|---|-||-|--⌫-|
h afaitli roismoutuolen tiers	-⌫|---|-|---|---|-----⌫----|
leuo s ferai biax	-|--⌫|----|---|
amische ualiers	---|---⌫------|
auostre preueta manor	|-----|---|-|||---|
foiqu eiedoi	--|--⌫|-|--|
ualezbiaxsirech eualiers	----|---|---|--⌫-------|
secheuali ersuermau znesui	-|-------⌫--|------⌫|-|--|
don nezm oilesarmescelui	---⌫--|-⌫-|--|----|----|
que i en contraideu ant	--||--⌫------|---⌫--|
quiuos tre cope d orenporte	--|---⌫--|---||-|------|
liseneschaxquifubleciez	-|--------|--|-|------|
dece quilotscorrocie z	-|-|-|-|-||--------⌫|
etdita mis	-|--|-⌫--|
uosauezdroit	--|---|----|
a lezlit o lirorendroit	-⌫--|-|-⌫-⌫--|--------|
lesarme sq ue elessont uoz	--|----⌫|-⌫-|---|---|--|
nefeistes mie	-|------|--|
qant u ospor ce uenistes	---|-⌫-|--|-|-------|
k exfaitlirois	-⌫-|---|-|---|
por deu m erc i	--|--|-⌫---⌫|
t ropditesuolentiers anui	-⌫--|----|---------|---|
seneuoscha utonqu esa	-|-|--|---⌫-|----⌫-||
apreu domeestcetroplet u ices	|----⌫---|--|-|---|--|-⌫---|
po rce se liualez es tni ces	--⌫|-|-|-|----|--⌫|--⌫--|
siestil espoir gent ixhom	-|--|-|-----|----⌫-|--|
li uientda pri son	-|----||-⌫---⌫--|
a itestéa mauuais me stre	-⌫-|----||------|--⌫---|
encor poet preu zetsages estre	----|---|----⌫|-|----|----|
uilenieestd	------|--||
autruiga ber	-----|--⌫--|
e t de promestresanzdone r	-⌫|-|--------|---|----⌫|
pruezdom nesedoitentremetre	-------|-|-|---|---------|
de rien nulea	-|---|---||
autrui prometre	-----|-------|
qu edon er ne lipuisseetuoi lle	--⌫|---⌫-|-|-|-----|-|---⌫--|
quele maugr ecelui na coille	--|-|-----⌫|----||-⌫-----|
qui sanzprometree stses amis	--|---|-------|-⌫-|--|---|
e tdesqu i l	-⌫|----|-⌫|
li apromis	-||-----|
sibee alapro messe	-|--||-|---⌫----|
etparces ipoez sauoir	-|--|-|-⌫|---|-----|
quemiauz ue ndroit	--|----|--⌫-----|
l ai sserest er	-⌫--⌫---|---⌫-|
quepreud ome ferebae r	--|-----⌫--|---|---⌫|
etquileuoir	-|--|-|---|
lu imeismesg abe	--⌫|------|-⌫--|
quif ait pro me s se etnelasout	--|-⌫--|---⌫--⌫-⌫-|-|-|-|---|
le cue rde son a miset out	-|---⌫|-|--|-⌫-|-|-⌫--|
einsi liroisak es parloit	----|-|---||-⌫-|------|
etliua lezq uisena loit	-|-|--⌫--|-⌫-||-|-⌫---|
aunepucele	|--|-----|
bele etgentesi	---|-|----|-|
eteleluietsi li	-|--|--|-|-|-|
itantlidist	----|-|---|
u alezsetuui zparaage	-⌫---|-|-|--⌫|--|---|
iecuit etcr oie n	-|---|-|--⌫-|-⌫|
monco rage	--|--⌫---|
qentrestot lomondenau ra	|-|------|-|----||--⌫-|
nil niertnen	|-||---||-|
nul mei ll orcheualier detoi	--|---⌫--⌫-|--------|-|--|
i ss ilepenset	-⌫--⌫|-|---|-|
etlap ucelle na uoitri s	-|-|-⌫-----||-⌫---|--⌫|
passe ́auoi t anzplus y y	-----⌫|----⌫|--|---|-⌫|
etceditelesi en haut	-|-|--|--|-|-|---|
quet uit loirentet ke ssaut	--|-⌫--||-----|-|--⌫|---|
c uilapa roleanuia mout	-⌫-|-|--⌫---|----|---|
silidon acoupsi estolt	-|-|---⌫|---|-|-----|
des apaumeen	-|-⌫|----|-|
queparterr elafi stestendre	--|--|----⌫|-|--⌫-|-------|
qant lapuc ele ferueot	---|-|---⌫--|----|-|
ensonretor trou azzsot	-|--|----|----⌫|-|--|
lez unechemineeestant	--|--|-------|-----|
si l e b ota elfeuardan t	-|-⌫|-⌫--|-|--|-----⌫|
de lpi e parcorroz etpar	--⌫|--⌫|--|-----|-|--|
porceq uelifoxsolo itdire	--|-|-⌫-|-|--|----⌫-|---|
ceste pucelene rira	----|-----|-|---|
ius cacele	---⌫||---|
orequeluerra	--|-|-|----|
celuiquide	----|--|-|
c h eua lerie	-⌫-⌫---⌫----|
aura tote la	---|---|-|
seign orie	-----⌫---|
eins inccil crie	----⌫--|--|---|
et c elepl ore	-|-⌫--|--⌫--|
etliual e z plusnidemore	-|-|---⌫-⌫|---|||-----|
ainzsenretornesanz cons oil	---||-|------|---|----⌫--|
a presloc heu alieruermoil	-⌫---|-|-⌫---⌫----|------|
yuonez qui lesdroi z sentiers	-----|--|--|----⌫|-------|
sauoittozetmout	-----|--|-|---|
uo lentiers	--⌫-------|
aportoit n oue les a	-------|-⌫---⌫--||
t ozseus sanzsen	-⌫-|---|---||-|
pa runuergie rdesozlasale	--⌫|-|------⌫|----|-|---|
et p ar uneposterne	-|-⌫-|--|-------|
tantqui lui n t au	-----|-⌫|--⌫-⌫|-|
chemintotdroit	-----|--|----|
che ualie rs at endoit	---⌫-----⌫-|--⌫-----|
che ualerieetauenture	---⌫------|-|-------|
e t liuale zgra nta leure	-⌫|-|----⌫|---⌫-|-⌫----|
uintuer sluiporlesarmesp randre	---|---⌫|--|--|--|----|-⌫-----|
et licheual ersporatendre	-|-|------⌫--|--|------|
or iusmi se	-|--|--⌫-|
perron derochebi se	-----|-|----|--⌫-|
qant li ua ll ezapro chiélo t	---|-|--⌫--⌫-|----⌫----||-⌫|
tant queliunslautreoir	----⌫--|-|--||----|--|
s ilicriametez lesius	-⌫|-|---|----|--|--|
les armesnelesportezplus	--|----|-|--|-----|---|
artusleuosmande	----|-|--|----|
etli cheu ali er s li	-|-|----⌫---⌫--⌫|-|
uallet ossecanulsuenir	-----|---|-|---|----|
porlodroit loroi	--|-|----|-|--|
main tenir	----⌫----|
senus iui ent n e lcelerpas	-|--||--⌫--|-⌫||----|--|
coment deableest ceor gas	-----|-----|--|-|-|--|
danzcheual ier sq ueuos m efe tes	---|------⌫---⌫|-⌫-|--|-⌫|--⌫--|
auezmes armes tre tes	---|--|----|---⌫--|
os tezles tostieluos	--⌫--|--|---|-||--|
ualetfaitiliete demant	----|---|-|-|-|-----|
senulsuient	-|---|----|
ca depar lo roi	-|-|--|-|--|
qui conbatr eseuoille	--|-------⌫|-|-----|
danzcheual i ers car oste ztost	---|------⌫-⌫--|--|----⌫|---|
m esar mes	-⌫-|--⌫--|
queienesuosost	--|-||-|--|--|
q uep lusnele s uossouferr oie	-⌫-|-⌫--|-|--⌫|--|-------⌫--|
bi en s achiezque ie	--⌫-|-⌫-----|--|-|
uos fer r oie	--|---⌫-⌫--|
seplusparler	-|---|-----|
men fesiez	|-|-----|
lorsfulicheualiers iriez	---|-|-|---------|----|
salancea adeusmei nsleuee	-|----|||---|---⌫-|----|
silan a d on é tel co lee	-||-||-⌫--⌫-|--|--⌫--|
par les es paules	--|--|--⌫-----|
entr au ers	-|--⌫--⌫--|
delaone stoit p a slif er s	-|-|||-⌫----|-⌫-⌫|-|-⌫--⌫|
qui llo fistt ot	-|-⌫|-|---|-⌫-|
bronchier aual	--------|---|
et liualezsest	-|-|----||--|
corrocie z	--------⌫|
qantils enti qu	---|-|-⌫---|-|
il fubleciez	-|-|------|
delacoleequilotp ris e	-|-|----|-|-|-|-⌫---⌫|
quillauise	-|-||----|
silaisse aler lo iaue lot	-|-----|---|-|----⌫--|
si qu iln ent entneuoit	-|-|-||---⌫--|-|---|
lof ie rt parmil oil elceruel	-|-⌫--⌫-|----||--|-|-----|
q ued au trepartdohaterel	-⌫-||--⌫--|---|-|------|
losa ncetla cerueleespant	-|--⌫-|-|-|------|-----|
d eladolor	-⌫|-|----|
lic u er s limant	-|-⌫-⌫--⌫|-|---|
s i uerseetchiet	-⌫|----|-|----|
toze stenduz	--|-⌫------|
etliualezest descenduz	-|-|----|--|--------|
si metlance aunepa rt	-|--|----||--|--⌫-|
etlescudelcol lidepart	-||---|--|--|-|-----|
maisilnesetuenir achief	---|-|-|--|----||----|
delhia ume	--|---⌫--|
q ueila elchief	-⌫-|-||-|----|
qu il neset commantil le praigne	-|-|-|--|------|-|-|------|
et sa talant quil lidescaig ne	-|||-----|-|-|-|-------⌫-|
l espee meis il	|----|---|-|
nelsetfair e	-||--|----⌫|
nedel fuerrene lapott raire	-|--|-----|-|-|--|-⌫----|
ainzprent lef uerre esa chez	---|----|-|-⌫----||--⌫---|
tireetyu onet commencea	---|-|--⌫---|-------||
q antle ualetuo itentrepris	-⌫--|-|----|--⌫-|--------|
es tfaitilamis	--⌫|---|-|---|
qu e faitesuosi enesa iquoi	--⌫|-----|--|-⌫|-|--⌫|---|
i e cuidoie	-⌫|------|
deuo s treroi	-|--⌫-⌫--|--|
qu ilm austcez armes donnees	-|-||---|--|----|------|
mai s ainzaurai parcharbo nees	---⌫|---|----|--|------⌫---|
tr es tot esbra onnéle cors	--⌫--⌫--|-----⌫----|-|---|
quenul e s	--|---⌫-⌫|
desarme s enpor t	--|----⌫|-----⌫|
qu e lesseti ennentsiau cors	-|-⌫--|-|--⌫-----|-|-|---|
quece dedenz	--|-|-----|
etcedefors	-|-|-----|
esttrestotunsicom mois emble	--|------|-|-|--|--|-⌫----|
issise ti en nenttotensemble	---|-|--⌫--⌫---|--|-------|
orneuos es maiezderi e n	-|-|--|--⌫----|-|--⌫-⌫|
quelesde partiraimout bien	--|--|--⌫-------|---|---|
s euosuole z fait	-⌫|--|----⌫|---|
faitezdo m	-----|--⌫|
to stfa it li	--⌫-|--⌫-|-|
sesmedonezsanznularest	|-|-|----|---|--|----|
tantost yuonezl en	------|-----||-|
lod eschauce	-|-⌫-------|
nel ilaissahaubercne	-|-⌫|-----|------|-|
elchief naltrearmeure	-|----||----|------|
maisli ualez sauesteure	---|-|----|-|-------|
laiss ier ne lapreis t	-----⌫--|-|-|-----⌫|
porrienqueiuonezlideist	--|---|--|-----|-|----|
multaeisiee	---|------|
so ieganb esiee	--⌫-|----⌫----|
q uedes oz sonh aubercuestoit	-⌫-|---⌫-|--|-⌫-----|------|
licheualiersqa nt ui s estoit	-|---------|--⌫-|--⌫|-----|
no s terneli pooi tdes	|-⌫-⌫--|-|-|----⌫|--|
lesreue lins c auoit	--|----⌫---||----|
a inzdit deableest	-⌫--|--|-----|--|
quechange roie mes boendras	--|------⌫---|--|---|---|
quemameremefist l a utrier	--|-|---|-|---||-⌫-----|
porl esdrasacest cheuali er	--|-⌫-|---||---|-------⌫-|
ma gr osse chem is e	-|--⌫---|----⌫--⌫|
d echanure	-⌫|------|
porcestuiqui estmoleetta nure	--|-----|--|--|---|-|--⌫---|
uo ldriezuos	--⌫-----|--|
changa sse	------⌫--|
macote oeue ne	-|---||--|-|
porcestuiquinen ten roitgote	--|-----|--||-|---⌫---|---|
honiesoit sagor getote	----|---|-|---⌫-|---|
qui changer a	--|-------⌫|
sesboen s drasporautrui m alues	--|----⌫|---|--|-----|-⌫----|
mo utgri ef	--⌫-|---⌫-|
choseest defol aprendre	----|--|-|--|-------|
rienfo rs lesarmes ne	---|--⌫-|--|----|-|
uoltprendre	---|------|
por proierequ enulslif ace	--|------|--⌫|---|-|-⌫--|
y uonetleschaucelilace	-⌫----|--|-----|-|---|
les re uelin sli chauce	--|--⌫-----⌫|-|-----|
les e s peronsdeso r	--|-⌫-⌫-----|----⌫|
la c h auce	-|-⌫-⌫---|
puisli a lo	---|-||-|
ha uberc u e stu	--⌫----|-⌫-⌫--|
t elc onques	-⌫-||-----|
n u lsm iaudresne	-⌫-⌫-|-⌫------|-|
et sorlacoifelias iet	-|--|-|----|-|--⌫--|
l o hiaumeq uimout bien lisiet	-⌫|-----|-⌫-|---|---|-|---|
etdelespeeliensaigne	-|-||----|-|-------|
quelasach eet pen d eetce igne	--|-|----⌫|-|---⌫-⌫|-|--⌫---|
puislimet lo	---|-|--|-|
pie enlestrier	--|-||------|
se l fait montersor l o destrier	-||---|-----|--|-⌫|-------|
ain zmaisestrer aunauo it	---⌫|---|-----|-||---⌫-|
ne desper onsrienne	-||-----⌫--|---|-|
sorsdelcilanto	|--|--|-----||
yuonezl es cul iaporte	-----||--⌫-|-⌫|-----|
et lalancepuissilibaille	-|-|----|---|-|-|-----|
ainzcoisque iu onezsamaille	----------|--⌫---||-|----|
monchaceorsilenmene z	--|------|-||------⌫|
il est boe nse t	-|--|---⌫-|-⌫|
porc equeien	--|-⌫|--|-||
etportez lacopeloroi	-|-----|-|---|-|--|
saluez depa rmoi	-----|-|--⌫|--|
ett antdiroizalapucele	-|-⌫--|-----||-|-----|
quek esf erisozla	--|-⌫-|-⌫--|--|-|
quesiiepuis ainzq ueie muire	--|-|-|---|-----⌫-|-|----|
licu itiemetresibien cuire	-|--⌫-|-|----|-|---|----|
quepor uengie se	--|--|-----|-|
etcil r espontque	-|--|-⌫-----|--|
auroi sacoupe etso n mesa ge	-|--|-|----|-|--⌫|----⌫-|
fornirailaloi	------|-||--|
atantdepartentsisenuo nt	----|--------|-||-|--⌫-|
enla s aleolibaro nsont	-|-|-⌫--||-|----⌫|---|
entre yuonez pa rmi la port e	----|-----|--⌫--|-|----⌫|
quiauro isa coupe raporte	--|-|--⌫|-|----|------|
sili ditsire	-|-|--|---|
orfaitesio ie	-|-----|--⌫-|
queuostreco pe	--|-----|--⌫-|
uosr en uo ie	--|-⌫--⌫--⌫-|
uostrech e ualierquicifu	-----|--⌫-⌫-----|--|-|-|
dequel cheuali er	-|---|-------⌫-|
faitliroisqui ensagr antire	---|-|---|--|-|-|--⌫--|--|
estoitenc ore nnondeusire	-----|---⌫-|-⌫|--|--|---|
faitliualezdecelui	---|-|----|-|----|
q uiorendroitpartide ci	-⌫-|--------|----|-|-|
diztudoncdel ualetg alois	--|-|---|--|----|-⌫----|
quimedemandefa it l irois	--|-|------|--⌫-|-⌫|---|
lesarmesdesi n opletaintes	--|----|-|--⌫-⌫---|------|
au cheualierqui	-|--------|--|
hontes maintes	-----|------|
m afaitessel onc sonpooir	||-----|---⌫--|--|----|
sirede luidigepor	---|-|--|-|-|--|
com antrotil	---⌫--|--|-|
aimeletantoprise	---|-|---||----|
qu il le ait	-|-|-|--|
desongrerendue	-|--|--|-----|
aincois l i a si	------|-⌫||-|
c hier uendue	-⌫---|-----|
liua lezqueil	-|--⌫--|--|-|
et commant fuc e biax	-|------|-|-⌫|---|
saimesqueieu i	--|-----|-|-⌫|
quelicheuali ers lefer i	--|-|-------⌫--|-|---⌫|
desala nce	-|-|--⌫--|
etfist grant	-|---|----|
et liuale zr eferilui	-|-|----⌫|-⌫----|--|
dun iauelotparmil oieliere	|-|------|----||-------|
siqueill ifist parde srie re	-|--|-|-⌫|---|--|--⌫----⌫-|
le san cet l a	-|---⌫|-|-⌫|
cerueleespandre	------|-------|
et luipar terr em ortes tandr e	-|--|--|----⌫|-⌫--|--⌫-----⌫|
lor sdit lirois ausenes cha l	---⌫|--|-|---|-|-----⌫---⌫|
hakescommauezhuifait	-|--|--||---|--|---|
paruo strelanguela	--|--⌫---|-----|-|
quiaurad ite	--|---|-⌫--|
meinteoi sose	-----|--⌫---|
m auezuo slouuaslet tolu	|---|--⌫|--|-----|---|
quimou tma hui cest	--|---⌫|||--|---|
sire faityonez au roi	---|---|----|-|--|
parmonchi ef ilparmoi	--|--|---⌫-|-|--|--|
a lapucelela re ine	|-|-----|-|--⌫--|
fe ripar aatine	--⌫-|--|-----|
p ormaldeluietpor d espit	-⌫-|--|-|--|-|--|-⌫----|
uenger aseiluit	------⌫|-|-|--|
seilenpuetuenirenleu	-|-|-|---|----|-|--|
qu isistios telou	--⌫|---|---⌫-|--|
otl aparoleetsautenpi ez	-|-⌫|-----|-|---|-|--⌫-|
deuantson r oi	-----|--|-⌫-|
satel i oie	||--|-⌫--|
qu il tripeet saut	-|-|----|-|---|
etditdanz ro is se d ex	-|--|---|--⌫-|-|-⌫-|
o rea pr o chentuos	-⌫-|-⌫--⌫-⌫----|--|
auent ures	-----⌫---|
defel on esse s etdedures	-|---⌫--⌫----⌫|-|-|----|
en ueirez auenir souent	-|-----|-----|-----|
et s i uosmetbienenconuent	-|-⌫|--|--|---|-|------|
quekexpuete stre	--|--|---|-⌫---|
tozcertains	--|-------|
que maruitses piezet	--|--|--|--|---|-|
etsa l anguef ole et uilaine	-|-|-⌫----|-⌫--|-|------|
c ainzq uepastune	|-----⌫-|---|--|
car entaine	---⌫------|
auralicheu aliersuengié	---|-|----⌫-----|------|
loucop qu ilmedona	--|--|-|-|-|---|
et labuf feiert mo utbi enre ndue	-|-|---⌫-|---|--⌫-|--⌫-|--⌫---|
co npa ree etchie ruendu e	--⌫---⌫--|-|----⌫|-----⌫|
q ue ildona alapu cele	-⌫-|-|---||-|--⌫---|
queentrelo u coudeetlassele	--|----|--⌫|----|-||-----|
destreli brisera	-----|-|------|
cu n dem i anlouport era	|-⌫|---⌫|-|--|----⌫--|
aucol penduet bienl	-|--|----|-|---||
puet fail lirneca lamort	---|----⌫--|-|||-|---|
ces teparoletantgreua	---⌫-|-----|---|----|
keuquepo rpoiq u ilnecreua	--|--|--⌫|--|-⌫|-|-|----|
de mauta lante tdecorroz	-|-----⌫---|-⌫|-|-----|
lo sa uoiant toz	|-⌫-|-----|--|
telc on reerque	--|-⌫--⌫---|--|
mort leust	---||---|
auroidespleust	-|--|--------|
laissaque il nelenua i	-----|--|-|-||----⌫|
et lirois distahiahi	-|-|---|---|--|--|
kes moutm au ezhuicorroucié	--|---||--⌫-|--|---------|
quiassenéet adrecié	--|------|-|-------|
lo uuasllet asarm es	--⌫|------|-|---⌫-|
tantcu npoi aid iers	----|-⌫|--|---⌫--||
l escuet de lalance	|---|-|-|-|----|
b uens ch eualiersfustsanzdoutanc e	-⌫---|--⌫-------|---|---|-------⌫|
maisilnes enepoune bien	---|-|-|-⌫|-|--|-|---|
denuleautre rien	-|---|----|---|
qu eneistrair e ne	--⌫|---|-----⌫|-|
lespeese bes oigauoi t	|----|-|---⌫--|----⌫|
o rs iet a rmez so r	-⌫|-⌫--|-⌫---|--⌫|
senc ont erraa ucun uass al	|---⌫---⌫---|-⌫---|----⌫-|
quiporson c heualgaaignier	--|--|--|-⌫----|--------|
tostmortou malhei gniéla ura	---|---|-|------⌫----||-⌫--|
qe d efendrene sesaura	-|-⌫------|-|-|----|
tant es tnices e t bestiax	---|--⌫|----|-⌫|------|
sauratostfai tsesenui ax	|---|---|---⌫|--|----⌫-|
ensili roispla intet regrate	---|-|---|---⌫--|-|------|
louuasllet et f aitchieremate	--|------|-|-⌫--|-----|---|
mesilnip ue t	--|-|||-⌫--⌫|
rien conqueste r	---|---------⌫|
sen lai sse l ouparller	|-|---⌫--|-⌫-|------|
et li uasllez	-|-|------|
u ai tcheuau chantparlaforest	-⌫--⌫|------⌫----|--|-|-----|
tantqueaplaineterreuint	------||-----|----|---|
soruneriuiereq uitint	--|--|------|-⌫-|---|
plusd u nearbales tee	---||-⌫-|-------⌫--|
sirestoit toteleueentree	-|------|---||--|-----|
etretreiteensongra ntconduit	-|-------|-|--|---⌫-|------|
grantr iuiere quibruit	----|-⌫-----|--|----|
senu atote lapra erie	|-|-⌫|---|-|---⌫---|
mesen leuenentrail mie	--|-||--||----|-|--|
carilla uit	--|-|-|--|
parfon deetnoi re	------⌫-|-|---⌫-|
plusbruiant	---|------|
enuatots elonclariu e	-|-|--|-⌫----|-|---⌫|
uers u negrant rochena iue	---|-⌫-|----|----|--⌫--|
qui d autre partde	--||----|---|-|
siq ue l eue aupieli	-|-⌫-||--|-|--|-|
sor celeroch een zz	--|---|----⌫|-|-|
quiuersmeraloit desc endant	--|---|--|----|----⌫-----|
auoitzz chastelrich ee tfort	----|-|------|----⌫|-⌫|---|
euealoita u regort	--|----|-⌫|-----|
torn eliu asllezas enestre	----⌫|-|-⌫-----||-⌫------|
etuitlesto rzdelchast elnes tre	-|--|--|--⌫-|--|-----⌫-|---⌫--|
auis lifuqueles naissoient	---|-|-|-|---|---------|
f orzde l a	-⌫--|-|-⌫|
roche i s soient	----|-⌫-⌫-----|
em i lochastel	--⌫|-|------|
otunetoret fort e tgrant	-|--|--|-|---|-⌫|----|
seconbatoit	-|--------|
e tlam ers aupie	-⌫|-|-⌫--|-|--|
asquatre pa rtiesdelmur	-|-----|--⌫----|--|--|
dontl i qarrele st oient dur	---|-⌫|-----|-⌫--⌫----|--|
auoit yybassestor nele s	----|-|-----|---⌫----⌫|
qui moutestoien tforzet	--|---|-------⌫|---|-|
deuant louchaste le t	-----|--|------⌫--⌫|
ot sor le uedr eciéunpont	-|--||-⌫-|--⌫----|-|---|
etd ech auz	-|-⌫|--⌫--|
liponz est oitetf orze t hauz	-|---|---⌫--|-|-⌫--|-⌫|---|
ab ataille st restotentor	|-⌫-------⌫|-⌫-----|----|
pontot une	---|-|--|
et d eu antu npontto rnei z	-|-⌫--⌫--|-⌫|---|--⌫----⌫|
quiestoit fa itetest a bl iz	--|-----|--⌫-|-|---⌫-⌫--⌫-|
quesa nature	--|-|-----|
l ouiorertpo nz	-⌫-|--|--|--⌫-|
et lanuit porte	-|-|---|----|
liuallez uers	-|-----|---|
l oupontchemine	-⌫-|---|------|
ues tuz dunerobed ermine	---⌫--||--|---||-----|
saloit un s preud omes batant	|----|--⌫|-----⌫-|--⌫-----|
par suslou pont etsi	--|--|--|---|-|-|
celuiquiuersloupon t uenoit	----|--|---|--|---⌫|-----|
li predome n samaintenoit	-|-----|-⌫|-|---|-----|
parco ntenance un	--|--⌫-------|-|
etapres l ui	-|----|-⌫-|
furent uasllet	-----|------|
duit ot desafubléu enu	--|-⌫-|---------|-⌫--|
cilq ui ui entabienretenu	--|-⌫-|--⌫--||---|-----|
ceques am ereli	-|--|-⌫|-⌫--|-|
lous aluaetdist	--|-⌫---|-|---|
sireensim enseignamamere	---|---||-------|-|---|
dextebeneiebiax frer e	--|-|-----|---|----⌫|
faitlipre udomquinic el	---|-|---⌫---|--|---⌫||
auparller leconut asot	-|------|-|----||--|
etditbia xamisdontuiens tu	-|--|---⌫|---|---|----|-|
cortlouroiartu	---|--|--|---|
qu ife ischeualiersm a	-||--⌫-|---------|||
liroisqui bone	-|---|--|---|
a uenture ait	-⌫------|--|
cheualier sedexbienmedoint	--------|-|--|---|-|----|
necuidoieqen	-|------||-|
detelchos e li s ouuenist	-|--|----⌫|-|-⌫-------|
del cuidoie qu illiten ist	|-|------|-|-|-|---⌫--|
auroiq ued e c heualier faire	-|--|-⌫-|-⌫|-⌫-------|----|
orm edif rerede buenaire	-|-⌫|-|-⌫---|--⌫-------|
ces armesquileste	--|----|--|--|-|
lirois ar tuslesmedona	-|---|--⌫--|--|-|---|
dona commentetil liconte	---|------|-|-|-|----|
aueze lconte	---|-⌫|----|
quiautre foiz leconter oi t	--|----|---|-|------⌫--⌫|
enuize to iseuse	----|-⌫|-⌫-----|
quenuscont esdece n	--|--|----⌫-|-|-||
etli preudom	-|-|------|
liredemande	-|--------|
qui lsetfai r e d esoncheual	-|-⌫|--|---⌫-⌫|-⌫|--|-----|
ielcorbien	-||--|---|
totautre si	--|-----⌫-|
comiecor oie	--|-|---⌫--|
lo u cha ceor queieauoi e	--⌫|---⌫---|--|-|----⌫|
maisonmamerepris	-----|-|---|---|
et deuos armes biax amis	-|-|--|----|---|---|
mereditesquen s au ezfair e	-|------|-|-|-⌫--⌫-|----⌫|
saibi enuestiretretraire	--|--⌫-|-----|-|-------|
uasllezmen	------||-|
q uideuantmoie ndesarma	-⌫-|-----|--|-⌫|------|
ce lu i queiea uoiemort	--⌫--⌫|--|-|-⌫---|---|
et silegierementles	-|-|----------|--|
que elesnemegrieuent	--|---|-|-|-------|
deu cepris ieb ien	--|-|---|-|-⌫--|
fetlipreu dometmout mesiet	--|-|----⌫--|-|---|-|---|
o r me dite s se neu osgriet	-⌫|-|----⌫|-|-|-⌫-|----|
qex besoin zuosamena ca	--|------⌫|--|----|-|
mere menseign a	---||-------⌫|
que uerslespreud o mesalaisse	--|---|--|-----⌫-⌫--|------|
e tque aaux mec onseillaisse	-⌫|--||--|-|-⌫-----------|
e tli pre udo mrespontb ia x	-⌫|-|---⌫---⌫|------|-⌫--⌫|
bene oite soit	----⌫---|---|
uostremere	-----|---|
enseignam out	-------|-⌫--|
mais uo lezu ospl us dir erien	---|--⌫--|-⌫-|--⌫-|---⌫|---|
oil etcoi tant et	--|-|--|---|-|
que uos me herb ergiezhui	--|--|-|----⌫-----|--|
moutuolenti ersfetlipreudom	---|-------⌫--|--|-|------|
mesqueu osme do igniez un don	-----|-⌫-|-|--⌫-----|-|--|
bie nueniruosuen ro iz	---⌫|----|--|---⌫--⌫-|
