oeztrestuitunnouauc onte	--|-------|-|----|-⌫---|
lienuoioit lors	-|-------|---|
sontencure	---|-|---|
tui t l i mo inne	---⌫|-⌫|--⌫---|
de prendr e	-|------⌫|
s ece uendroitque moltlo r	-⌫|-|-------|--|---|--⌫|
uintuerslamien uit	---|---|-|----⌫--|
teluoiz e t tex es croizoirent	--|---|-⌫|--|--⌫----|-----|
que porpeuqu il	--|--|--|-|-|
nesenfoir ent	-||------⌫--|
lacellefortres plendissoit	-|----|---|---⌫----------|
quantiluirent quil	----|-|-----|-|-|
si ali unslaut reape lé	-||-|--||---⌫-|---⌫--|
siuirentil ec en	-|-----|--⌫-|-|
quecilou tuestue	--|--|--⌫|-----|
mesdequ oiele estoittissue	--|-|--⌫-|--|-----|-----|
nesorentmo lti alumerent	-|-----|--⌫-||--------|
blancheetmole iertmolt latas t erent	------|-|---|---|---|-|---⌫-⌫----|
endr oitet enuerslonttornee	----⌫--|-|-----||--|-----|
lendemain e n lamatinee	|-------|-⌫|-|------|
m enerleuoloient	-⌫---|-|-------|
por espr ouerquar	--|----⌫---|---|
biensauoient	---|-------|
que par lu i s eroi t	--|--|--⌫|-⌫----⌫|
mesnepoeite stre	--|-|----|-⌫---|
aialer ainzlor c riout	||---|---|--|-⌫----|
quedeueéestéli	--|-----|----|-|
tanto st ce stdeusesuanoiz	-----⌫-||-⌫-||--|-------|
puisue uzneoiz	---|--⌫-|-|--|
si sont ape rce u	||---|---⌫---⌫|
queciertdeables	--||---|------|
auoient quiuoern	------|--|---||
martin q uisourlui poeira	-----|-⌫-|---|--|----||
tens ref utenespaigne	---|---⌫-|-|-------|
unsh om qui dege ntg r antc ompaign e	--|-⌫-|--|-|--⌫-|-⌫-⌫--|-⌫-------⌫|
fistc reire en soiporlorfolies	---|-⌫----|-|--|--|--|-----|
primes lordistqu iliert helyes	-----|--|---|-|-|---|-----|
etpuis dist derraeinement	-|---|---|------------|
queilesto it dexqui nement	--|-|----⌫-|--|--|-|---|
e noriantunshomhantout	-⌫|-----|--|--|------|
lagent seuantout	-|---|-|------|
que saintiohaniertuoirement	--|----|----|---|--------|
liiorzdouiugement	-|---|--|-------|
sera parten s	---|--|---⌫|
quantfau x prophete	----|---⌫|-------|
sontuenu prec hi erlors	---|---|----⌫--⌫-|---|
aunmati nqu il	|-|----⌫|-|-|
deab l essibeausatorna	----⌫-⌫-|-|---||-----|
quer obea roiet coronneout	--|-⌫--||--|-|------|--|
de pier re stoter esonnout	-|----⌫--⌫|---|-⌫-------|
que ilo ut	--|-|-⌫-|
mo ltf utbia use nmi l aueue	--⌫-|-⌫-|---⌫-|-⌫--|-⌫|---|
ab oen arceues q ue se boute	|-⌫--|-------⌫-⌫-|-|----|
pui s lidisti esu idieu	---⌫|-|---|-⌫|--⌫|---|
q uineui eng	-⌫-|-|--⌫--|
p asp ouresne nuz	-⌫-|-⌫----|-|--|
mes atoi suiprimesu e nuz	--||--|--|-----|-⌫-⌫--|
aorecomtudo iz fei r e	---|--|-|--⌫-|---⌫-⌫|
mar tinloresne se poutteir e	---⌫--|----|-|-|---|----⌫|
quaudeableneg ietson coube	-|-|-----|-|-⌫--|--|----|
silidist quedexo	-|-|---|--|--||
telro u be	--|--⌫-⌫-|
neuiton quesia nou	-|--|--⌫---|-||-|
croi z aportera	----⌫|-------|
etlarobeque ilporta	-|-|---|--|-|----|
q uante n lacr oizsoffert mo rt	-⌫---|-⌫|-|--⌫--|------|--⌫-|
lors s enfu it cil etaemplie	---||-|--⌫-|--|-||-----|
lame sondegr ant pulentie	-|--⌫--|-|--⌫--|-------|
un iorfu ensad iocese	-|--|-|-|-|-⌫-----|
al ezsi u i nt	--⌫-|-|-⌫-⌫-|
aunei g lise	|--|-⌫-⌫---|
m esnusprouoire ne c ai l lot	-⌫-|--|-------|-|-⌫--⌫-⌫--|
li prestressonlitde pailleot	-|-------|--|--|-|-----|-|
fe t f eire	--⌫|-⌫---|
ases genz richemen t	|--|---|--------⌫|
etlifeusrefutense ment	-|-|---|----|----⌫---|
g ranz parle enz sanz	-⌫---|--|--⌫--|---|
maul soche ir	---|-----⌫-|
s alal arc euesquecocheir	|--||---⌫------|------|
m esmaintenantque il secoche	-⌫-|---------|--|-|-|----|
asenti molet e lacoche	|----|-----⌫|-|----|
q uilnauoitpasdeuant aprise	-⌫|-||----|--|-----|-----|
alapailleprise	|-|-----|----|
sil a gitapuis se coucha	-|-⌫|---|---|-|-----|
le soir esprise	-|---|------|
fo us q ue	--⌫-|-⌫-|
deablesibota	------||---|
mart inssesueillesesc outa	----⌫--||-------||---⌫---|
quecestoit siasussai lli	--||-----|-||--|---⌫--|
pui s co urutal	---⌫|--⌫---|||
uismesfailli	--|--|-----|
asse z lu is	----⌫||-⌫-|
est oitlors laulé	---⌫--|---|||---|
lifeusquiformentlasprea	-|---|--|------||-----|
martins maintenant de prea	------|---------|--⌫---|
etsestuers lefeuabeissiez	-||--|---|-|--|--------|
qui es ten elepascei ssiez	--|--⌫|--⌫-----|---⌫----|
c ilqui enfoirl	-⌫-|--|-----||
secessaquant ildepreout	-|----|----|-|-------|
unio raumostier en alout	-|--⌫|-|------|-|----|
un pourenuqui grant malout	-|----|-|--|----|--|--|
e tdou froitet dela gelee	-⌫|--|----|-|-|-|----|
e ncontraqui	-⌫------|--|
tantostlipree	------|-|---|
lidonnastueste ure	-|------|-----⌫--|
cartrop l engo issout l a	--|---||----⌫-----|-⌫|
l a rcediacreenape la	|-⌫--------|-|---⌫-|
qu ilali doin t	--⌫|-|-|----⌫|
mes pasne la	--|--|-|||
cedi tmesia	-|--⌫|--|-|
l af er aquerr e	-⌫|-⌫--⌫|-----⌫|
mar t inapressoi	---⌫-⌫-|----|--|
sonuisserre	--|--|----|
dela ou toziorzsoulseet	-|-|-|--|---|---|---|
iusqu eloreprestre	-----⌫||--|------|
d alerchanterian ise ist	|---|------|-|||--⌫--|
enyglisenenefeist	-|-----|-|-|----|
demoref ors ta ntcom	-----|-⌫--|--⌫-|--|
larcediacresdemorout	|----------|-------|
pour edonner	----⌫|-----|
ois tlan pa sde	---⌫|--|--⌫|-|
ta nt cri aci letta nt plora	--⌫-|---⌫|--⌫|-|--⌫-|----|
quantm artin s l otsanz	----|-⌫-----⌫||-|---|
d em ore a	-⌫--⌫--||
ostésa coteto ute sole	----|-|---|--⌫--|---|
ca rhabitde	--⌫|----|-|
moineout ue stu	----|--|--⌫--|
lorsde mandeau	---|--⌫----|-|
poureou ies tu	----|-|--|-|
si libailleet di tqu alauoie	-|-|-----|-|--⌫|-||-|---|
semetetostquenus	-|---|---|--|--|
larcediacreachiefdepose	|---------||----|-|---|
ou mar tinserepose	-|---⌫--|-|-----|
sidistquelagent se	-|---|--|-|---|-|
cildist quoc oitout	--|---|-||-⌫-----|
qu eau poure	--⌫|-|----|
fustei nzrendu e	---|--⌫-|-----⌫|
cilquie ntendue	--|--|-⌫------|
la parol e dobl ei re	-|-----⌫|----⌫--⌫-|
di stquils enertalezar eire	--⌫-|-|-||-|--|---|--⌫---|
et il ditque	-|-|--|--|
lan lalibaut	--|-|-|---|
lorsachatacildunribaut	---|-----|--||-|-----|
enunetar uerneunepeille	-|--|---⌫----|--|-----|
yyde nier sonquessapareille	-|--⌫----⌫|-----|-|-------|
noutme sarc euesquesuestue	|--|--⌫|---⌫-------|-----|
larcediacres lalirue	|----------|-|-|--|
toz irezetma rtins	--|---|-|--⌫----|
quiau es tirt elrobe aprent	--||-⌫--⌫--|-⌫-|---|-----|
mesmou tla cute	--|---⌫|-|---|
qu e ne pere	--⌫|-|---|
puisalalaoulagent	---|--|-|-|-|---|
si r euestit	-|-⌫------|
isnele ment	------⌫---|
mesqua ntfu tuersle sacrement	--|---⌫-|--⌫|---|-|--------|
etsonautelbeneissoit	-|--|----|---------|
siui rentqueres plendiss o it	-|--⌫---|--|---⌫--------⌫-⌫-|
unsmoncea uxdefeusus	--|------⌫-|-|--|--|
onccilqui furent	--|--|--|-----|
for squ unsdesp rouo ires	---⌫--|--|--|-⌫----⌫---|
et yymoinesorob esnoire s	-|-|-----||---⌫-|-----⌫|
etuneuirge	-|--|----|
porce miracl epropr e ment	--|-|------⌫|-----⌫-⌫---|
la g entdelonc et	-|-⌫--|-|---|-|
pe ras apostres	--⌫|-|-------|
arboiressa	-------|-|
ma in ra u eue	--⌫-|-|-⌫--|
quant ilchant o t	----|-|-----⌫-⌫|
queleertuestue	-|--|--|-----|
d e richesp ierres s eniss oit	-⌫|-----|-⌫-----||-|---⌫--|
quires plendiss oit	--|---⌫--------⌫--|
commeporpre	----|-----|
etn oisemenoien t	-|-⌫---|-------⌫|
le spierresqui	--⌫|------|--|
sentrehurtoient	|-------------|
en la chapeles aint	-|-|------|-⌫---|
ouilchant otplusason e ise	-|-|-----⌫-|---||--|-⌫--|
carnioutguere	--|||--|----|
cilmiracle auenu	--|------|----|
euante s a martinmanda	------⌫||-----|----|
quetex e stquisauiandea	--|--|-⌫-|--|-|-----||
p erduep arsa maladie	-⌫----|-⌫-|-|------|
porce li requi erte tli prie	--|-|-|-----⌫--|-⌫|-|---|
qua lu i auge deliurement	-||--⌫|---|----------|
cilialahastiue ment	--||--|-------⌫---|
mes einzquilai tlauoieal ee	--|-----|-|--⌫|-|---|--⌫-|
futacelu is ante	--||----⌫|-⌫---|
po r ce soulquili	--⌫|-|---|-|-||
euantesqui	------|--|
d esonu enir	-⌫|--|-⌫---|
futliezencontreluihors	--|---|-------|--|---|
alé mesunserp ent mor s	---|--|-|----⌫--|---⌫|
zzquiestoitde	-|--|-----|-|
sa mesniee	-|------|
lorsliamarti nsdebailliee	---|-||-----⌫-|---------|
laplaie sidoi z resemblou t	-|----|-|---⌫|---------⌫|
tri acleq u e las asemb l o ut	---⌫---|-⌫-⌫|-||-----⌫-⌫-⌫-|
tozli uenins	--|-|-----|
la ouiltouche	-|-|-|-----|
riensneporroitdi re	----|-|------|--⌫-|
lemiracle ne biendescrire	-|------|-|---|-------|
lihoms qui soffroitlemartire	-|---|--|-------|-|------|
douuenimdo niert	--|----|--⌫|---|
ento uc hiez	----⌫--⌫---|
se st les eirtrestozsainscouchiez	|-⌫-|-|-⌫--|------|----|-------|
un efoiz martinenco nt rerent	--⌫|---|-----|----⌫--⌫-----|
charretier sdeluis esfreerent	----------⌫|-|--||---------|
li cheu alporsauesteur e	-|----⌫-|--|-|-------⌫|
quarelestoit noi reeto bscure	---|-|-----|---⌫-|-|-⌫-----|
et si mantiauxlipendeilloit	-|-|-------|-|----------|
z z descharr etiers lorbilloit	-⌫|--|-----⌫-----|--|------|
por eusarriere droit torner	--|--|------|----|-----|
quant il uirentque seiorner	----|-|-----|--|-------|
lorescouientporsauenue	--|--------|--|-|----|
iontplusresneten ue	|--|---|----|---⌫-|
queuersterrenou tir issont	--|---|----||-|---⌫-----|
bastonsnobati ssont	------|||----⌫----|
m esa nulnenamot sonné	-⌫-||--|--||--|-----|
lautrearreso nné	|----|------⌫---|
tochenttost et s is	------|---|-|-⌫||
ouer geslorch euaus assaillent	|---⌫--|--|--⌫----|---------|
mes onc neseporentmouoi r	--|--|-|-|-----|-----⌫|
lor suirentque par estouo ir	---⌫|-----|--|--|------⌫-|
m erc iquerrelor couenoit	-⌫---⌫|-----|--|-------|
cu nshomquiparilec uen oi t	|-⌫-|--|--|--|---|---⌫--⌫|
lor distque martin	--|---|--|-----|
lors corent leche minbatu	---|-----|-|---⌫--|---|
uers mart intrestuiteslessie ́	---|----⌫-|-------|--------⌫|
deuantsespiezse	-----|--|---|-|
sontlessié	---|------|
merc idemanderent	----⌫|----------|
e tlemir acleliconterent	-⌫|-|---⌫---|-|--------|
comlicheua lpuisne se porent	--|-|-----⌫|---|-|-|-----|
mouoirtant batreneles sor ent	-----|---|----|-|--|---⌫--|
quant martinsl otsi lorot roie	----|------||-|-|--|--⌫---|
ce quilq uierentsi	-|-|-|-⌫------|-|
uoltloruoie	---|--|---|
maint ior amainz con terso loit	----|--||----|---⌫--|--⌫---|
qu amgoiss e usementse doloit	-|-------⌫-⌫------|-|-----|
arc euesquiequ ilont prise	---⌫-------|-|-|--|----|
quarihe sucristporson ser uise	---|---⌫-|----|--|--|---⌫---|
fistoncpuistel henor	---|--|---|--|----|
com mefutdeuant lamenor	---⌫-|--|-----|-|----|
unioraloit por s on afai re	-|--|----|--|-⌫-|----⌫-|
acha rtressinetarda gaire	|---⌫----|-|-|----|----|
q uiluit sarrazinsquiueno ient	-⌫|-|--|--------|--|----⌫---|
lesgenz contr eluise	--|---|-----⌫|--|-|
restoi ent	------⌫--|
asemblépor sareno mmee	-------|--|-|----⌫---|
fame amenee	---|-----|
quiplo roitetse detortoit	--|---⌫---|-|-|--------|
bras zzsienf ilz portoit	---|-|---|-⌫--|------|
quimort ere et p lusne n	--|---|--|-|-⌫--||-⌫|
amart inqu ilsauoit	|----⌫-|-|-|-----|
que d exlamout sil irendist	--|-⌫-||----|-|-⌫|------|
sonfilzet plus niatendist	--|---|-|---|||-------|
ma rtin ssentquouurerle quouient	--⌫----⌫|---|-|-----|-|-------|
quar a conuertir l icouient	---||--------|-⌫|------|
les genz quipor	--|---|--|--|
lu isasembloient	--⌫||----------|
lecorspristetles genz s e stoien t	-|---|----|-|--|---||-⌫------⌫|
aune partetci loura	|--|---|-|--⌫|---|
m esgu e reilec	-⌫-|--⌫-⌫-|---|
quelimor z f utres usc i t ez	--|-|---⌫|-⌫-|---⌫---⌫-⌫-⌫-|
s i sest ue rsl amer e	-⌫||--|--⌫-|-⌫|---⌫|
ettan tostlesg enzqui lafurent	-|---⌫---|--|-⌫--|--|-|-----|
to tesc res tient erecur en t	--⌫--|-⌫---⌫-----⌫|-----⌫--⌫|
amar tinnese iquoitoloi t	|---⌫--|-|--⌫|---|-----⌫|
ual entinienssiuoloit	---⌫--------|-|-----|
r equerrequil ifust rendu	-⌫------|-||-⌫|---|----|
meslemperiere outdeffend u	--||--------|--|-------⌫|
quil nie n trast et pars a	-|-|||-⌫-⌫----|-|--|-⌫|
outcefe itqui futarrienne	--|-|--⌫-|--|--|-------|
qu antilu itqu il	--⌫--|-|-⌫-|-|-|
ni entreroi t	||--------⌫|
siseporpensaquilseroi t	-|-|-------|-|-|-----⌫|
en oro isonen heire encendre	-|---⌫---|-|----|-|-----|
mesgue resni futquantdes cendre	--|---⌫--|||--|----|---⌫-----|
l i fistdexzzan gre	-⌫|---|--|-|--⌫--|
quidistque liserontrendues	--|---|--|-|-----|------|
lesch osesq uil outdeuantquises	--|--⌫---|-⌫|-|--|-----|-----|
quele m peri ereauoitprises	--||-⌫-⌫----⌫--|----|-----|
et se r on tlesportesou ertes	-|--⌫-⌫--⌫|--|-----|--⌫----|
quantilot qu ilauroitsespertes	----|-|-|-|-|-----|--|-----|
quelen au oi tp risesde proie	--|--|--⌫--⌫|-⌫----|-|----|
uerslaporte uint droite	---|-|----|---|-----|
tintnefern e fust	---|-|--|-⌫|---|
quemaintenantdedenzne fust	--|---------|-----|-|---|
q uantl em perere l a	-⌫---||--⌫-----|||
desonsie g en esest meu	-|--|---⌫-⌫|-⌫||--|--|
q uar martin gueresne	-⌫--|-----|-----|-|
me sfe u ssach iere esprisea	--⌫|--⌫-⌫|-|--⌫---|------||
au dedesouzpor lui greuer	-|-|-----|--|--|-----|
sili fistmalgre so i leuer	-|-|---|-----|--⌫|----|
lor ssanz proierelirendo it	---⌫|---|------|-|-----⌫-|
le sienetdou soen	-|---|-|--|---|
li tendoit	-|------|
richesdo ns	-----|--⌫-|
qu armoltle douta	--⌫-|---|-|----|
mes martins	--|------|
refu sé touta	----⌫--|---||
sispal oisestoitapele z	--|---⌫--|-----|-----⌫|
ceque l abesecheapelez	-|--|-⌫|------||----|
maximes martin moltamout	------|-----|---|----|
tre stoziorz	---⌫---|---|
mes unefame	--|--|---|
qu il eramaoutremaniere	--⌫|-⌫|---|----|------|
sionttantmeuepriere	-|--|---|---|-----|
martin que o eusmen ge roit	-----|--||--|---⌫--⌫---|
etquelempererizferoit	-|--||--------|-----|
les eruise enlieu demesniee	-|-⌫-----|-|---|-|------|
tableappareil liee	----|--------⌫---|
etlemengiertout apresté	-|-|------|---|-------|
tantc omi lmenga o ut	---|-⌫-|-⌫|----|-⌫-|
a genoiz ne	|-----|-|
nesemouoit	-|-|-----|
e tquantuit quill escou enoit	-⌫|----|--|-|-|-⌫-|---⌫----|
lata bleostersil	-|--⌫--|----|-||
onque smesf ame ne f utnee	-----⌫|--|-⌫--|-|-⌫-|--|
q uit a nt ait	-⌫-|-⌫-⌫-|--|
martina prochie	-----|-⌫------|
m esneli fut	-⌫-|-|-|--|
oncreprochi é	--|--------⌫-|
quarpor ce li	---|--|-|-|
furent don né	-----|---⌫--|
tuitli p rison emprisonné	---|-|-⌫----|----------|
le seruise al	-|------|||
empe reriz	----⌫----|
lifutpu is	-|--|--⌫-|
richemen t meriz	--------⌫|----|
a clo ezde	|---⌫-|-|
costeferraires	----|--------|
futale zpord es es affaires	--|---⌫|--|-⌫|-⌫-|-------|
en berrisi iuten l ig li se	-|----|-|--|-||--⌫--⌫-|
laouil iut ontpa illemise	-|-|-|--|--|--⌫---|---|
les nonnainsqui	--|-------|--|
ilecest oi ent	---|---⌫--⌫--|
lendemain laterre	|-------|-|----|
ouila uo itla nuitgeu	-|-|-⌫--⌫-|-|---|--|
sin ianule quineu	-||||---|--||-|
mesp or ce que	--|-⌫-|-|--|
lisathanssaille	-|------|-----|
du n hommequo utp ris enson ay m	|-⌫|----|-|-⌫-|-⌫--|-|--|--⌫|
enaport a unenonnai n	-|-----⌫|--|------⌫|
siensaillitantost sanzfaille	-|-|-----|------|---|-----|
compen duout aucollapaille	--|---⌫-|--|-|--|-|-----|
detreue sou siertseiornez	-|-----⌫|-||---|-------|
s enfutmartinszz io rtorn ez	|-|--|------|-|--⌫|----⌫-|
siazzuache e ncontree	-||-|----|-⌫-------|
qui uersluiuinttote a briuee	--|---|--|---|---|-⌫-----|
mesqu antelfubienapro ch iee	--|--⌫--|-|-|---|----⌫--⌫--|
desa ma in l ata ntost seignee	-|-|--⌫-|||--⌫----|------|
et ausibien	-|---|---|
parcel a tache	--|-||-⌫----|
comsel fu stl ieeale sta che	--||-|--⌫-|-⌫--|||-⌫---⌫--|
mol toutle iorhomes maumis	---⌫|--|-|--|----|-----|
lesesto it enhautmis	-||----⌫-|-|---|--|
li deable sdesussesch ine	-|------⌫|----||----⌫--|
quide malfeirene se	--|-|--|----|-|-|
aincoisla tozio rs t out	------|||--|--⌫-|-⌫--|
mes martins la di lecch acié	--|------||||-⌫--|--⌫----|
lorssestla uachea	---||--|-|----||
ge noizm ise	--⌫---|-⌫--|
sili ren t	-|-|---⌫|
gracesdouseruise	-----|--|------|
quilli outfet	-|-|-|--|--|
puisla seigniee	---|||-------|
martinssi s en	------|-||-|
est repe riee	--|----⌫---|
ladoneluintpremiere ment	-|--|-|---|--------⌫---|
debonneirement	-------------|
uni or a loutd elasemain e	-|-⌫-|-⌫---|-⌫|-|------⌫|
pa rsadyoceseentoraine	--⌫|-|------|-|------|
siencontre	-|-------|
ch iensqu i cor o ie nt	--⌫---|--⌫|---⌫-⌫--⌫-|
zzlieureetparpoinouteno ient	-|-----|-|--|--||-|----⌫---|
carlas estoitetpris	--|--|-----|-|---|
lileurierseil peussent	-|------|-|-|-------|
mesmartin s a	--|------⌫||
de la petite	-|-|-----|
beste mu e	----|--⌫|
sicommandeaschiensqui	-|-------|-|-----|-||
q uaulieu re	-⌫|-|----⌫-|
plus ennui ne	---|----|-|
lors sarestentetcilescha pe	---||-------|-|--|-----⌫-|
qu iparpoin ilessasach ape	--⌫|--|--|||----|-|--⌫--|
puisau ne oei lleencontree	---||-⌫-|---⌫--|--------|
aquilat oisonfuto stee	|--|-|-⌫----|--|-⌫---|
sidistqu ebien aacompli e	-|---|--⌫|---||-------⌫|
leua ngilequare lnam ie	|---⌫----|---|-⌫|||-⌫-|
zzcotesainzen ado nnee	-|----|---|-||--⌫---|
lune aupourepor lag elee	|--|-|----|--|-|-⌫---|
empressicomilesgardoit	-----|-|--|-|--------|
uitzzporch ierqui porsgardoit	--|-|-----⌫--|--|---|------|
quio utunespiausaffublees	--|-⌫-|---|----|--------|
sidis tquantlesout esgardees	-|---⌫|----|--|--|--------|
queada nsierten telui lte z	--|---⌫-|---|-|--|--⌫---⌫|
quantdepara dis	----|-|----⌫--|
en zzpre orentbues	-|-|--|----|---|
da ut repartorentporchgeu	|-⌫--⌫-|---|----|----|--|
latiercepart	-|-----|---|
estoitcharg iee	-----|-----⌫--|
derbe etdeflorsquardemarchiee	|---|-|-|----|---|---------|
n outp asesté	|--|-⌫-|----|
ned efoliee	-|-⌫------|
si dist marti n	-|---|-----⌫|
quec elep riee	--|-⌫--|-⌫---|
ouli porcorentfoilié	-|-|---|----|------|
sontcilqu ise	---|--|--⌫|-|
sonttooillé	---|-------|
enlorde boede	-|----|--|-|
c eleou li buespri stren t	-⌫--|-|-|---|---⌫-----⌫|
la oule sflors mien	-|-|--⌫|----|--||
sen e fiou tceusquiu iuoie nt	---⌫-⌫----⌫|---|--|-⌫-----⌫-|
enm ariagequi emplie	-|-⌫-----|--|-----|
est d erbe	--||---|
mes nes tpasflorie	--||--⌫|--|-----|
la tiercequila dignite	-|-----|--|-|------|
auoit desflors uirginite	----|--|----|--------|
senefiout quarelsormonte	--------|---|-|-------|
trestoteslesu ertuz	--------|--|-⌫----|
s a nzco nte	-⌫-⌫-|--⌫--|
un cheu aliersoutd eguerpie	-|----⌫-----|--|-⌫-------|
etenu nea baie	-|-|-⌫-|-⌫---|
d onn ezenla contree	-⌫---⌫-|-|-|------|
etsafame refutuelee	-|-|---|----|----|
puis afaitunemesonfe re	---||---|--|----|--⌫-|
pormeneruiesolitaire	--|----|--|--------|
ta ntquede ablesquiass aut	--⌫----|--⌫----|--|---⌫--|
les boenslido nna	--|----|-|--⌫--|
tel a ssaut	--|-⌫----|
queiluoltque o	--|-|---|--||
s af ameotrestoutso nabit	-⌫|-⌫--||-------|--⌫|---|
aamartinde mande e	||-----|--⌫-----⌫|
mescilli a res onmonstree	--|--|-||---⌫-|-------|
p o rquo ineladoitpasauoir	-⌫-⌫|---⌫|-|-|---|--|----|
car lihons ne feitpassa uoir	--|-|---|-|---|--|--⌫---|
quifamemainep or comba tre	--|---|----|-⌫-|-----⌫--|
f ei bleest sila	-⌫--⌫--|--|-|-|
puetlenabatre	---|--|-----|
delegieret honn izser oit	-|-----|-|----⌫-|---⌫--|
c ilqui osoi lameneroit	-⌫-|--||--||--------|
prodompar so iseul	-----|--|--⌫|---|
tr estoz iorz e t liboens hom	--⌫----|---|-⌫|-|----|--|
soncors paraspr eafflicti on	--|---|--|----⌫|--------⌫-|
pormauuaise temptacion	--|-------|---------|
delautre part	-||----|---|
molt grant essoignes	---|----|--------|
i e stquilestde u enu z m oinnes	|-⌫-|-|-|--|--⌫-⌫---⌫|-⌫-----|
etel nonnainsi	-|-|------|-|
n epue t estre	-⌫|---⌫|----|
q uilsachemesr iensde s on estre	-⌫|-|----|--|-⌫---|-|-⌫-|----|
est ta ntos taperceuz	--|--⌫----⌫|-------|
quillidistuoir si	-|-|-|---|---|-|
s es t teuz	|--⌫|---|
et menapuis moltsainte	-|---|---|---|-----|
toz se ul s sanznul ecompaig nie	--|--⌫--⌫|---|---⌫|-------⌫--|
enceltens iertune pucele	-|--|---|---|--|-----|
enune petitetecelle	-|--|-------|----|
uiedemenoit	--|-------|
meshomeuoer n e uo lo it	--|---|---|-⌫|--⌫--⌫-|
zziorporlui	-|--|--|--|
m artin smeseledestor na	-⌫-----⌫|--|--|------⌫-|
quar noutcuredommeuoer	---||--|---||---|---|
senmast eleplu ss on	|-----|--|---⌫|-⌫-|
qued autreseilp eus t	--||----|-|-|-⌫---⌫|
quar eleo utoid equel estre	---|--|-⌫-|-|-⌫|---|----|
quilesto it et	-|-|----⌫-|-|
dequel euie	-|----⌫|--|
par une famepuislipr ie	--|--|---|---|-|--⌫-|
qu il neli poist molt	-|-|-|-|----|---|
et marti ntantostse rus a	-|-----⌫|------|-|---⌫|
sanzplusdireet boengre l enseit	---|---|---|-|---|--||-|---|
zz messages apre slenseit	-|-------|----⌫||-----|
quili ap ort o utzzpresent	--|-|--⌫---⌫-⌫-|-|------|
quantde uantluifuempresent	----|--⌫---|--|-|-|------|
uirgeli presen te	----|-|------⌫-|
quioutauoirne rente	--|--|----|-|----|
neuoutnep rend r ene auoir	-|---|-|-⌫----⌫-⌫|-|----|
pristcelquiualoitpou dauoi r	----|--|--|-----|--||----⌫|
prist por sain tuaire	----|--|----⌫-----|
quarceleestoit detelafaire	---|---|-----|-|--|-----|
qu ereliques	--⌫|-------|
ualoitsido ns	-----|-|--⌫-|
ett ie u xr epe ustestre idons	-|-⌫--⌫-⌫|-⌫---⌫--|----|----|
quantelsemuc a qui	----|-|-|---⌫|--|
quepar mes creanceou feist	--|--|---⌫------|-|----|
martineschanguetoient	-----|--------------|
si decipleetsi esquou toi en t	-|------|-|-|------⌫---⌫--⌫|
leenzoluiparloient	----||--|--------|
lihui s sus luifermé	-|---⌫|--|--|-----|
lao uiertenson s egreie r	-|-⌫|---|-|--|-⌫------⌫|
q u ant i leissihors por proier	-⌫-⌫--|-⌫|----|---|--|-----|
lipri erent que i llordie	-|---⌫----|--|-⌫|--|--|
queceestne	--|-|--|-|
que senefie	--|------|
desuoiznede quieles	--|---|-|-|--|---|
lorslordist quiln	---|--|---|-|-||
e n parlis sunt	-⌫|------⌫---|
anul tant com il fuste nuie	|--|---|--|-|---|-⌫|--|
quarma damesainte	---|-|---|-----|
e tsa inte agnesetsai ntetec l e	-⌫|--⌫---|----|-|---⌫--|---⌫-⌫|
le uisitoiente nce st siec le	-|---------|-⌫|--⌫-|----⌫-|
molt soue nt e tl e	---|----⌫-|-⌫|-⌫|
soul acoie nt	----⌫-----⌫-|
saintpe reetsa i nt pol li	----|--⌫-|-|--⌫-⌫-|--|-|
con toient	---⌫-----|
quenule ui e nestita u x	--|---|--⌫||--|---⌫-⌫|
come stlauieespe ritaux	--|-⌫-|-|--|----⌫-----|
lieuesque a nimesfeit	-|------||----|---|
zz concile	-|------|
martinmenerplusli pleust	-----|----|---|-|-----|
lesnouelesseust	--|------|----|
dequanqu i lfir entau co n c ile	-|-----|-⌫|---⌫--|-|--⌫-⌫-⌫--|
si lesliuint	-|--|-|---|
unsangres dire	--|-----|---|
trestoute s enterigne ment	---------⌫|---------⌫---|
prem ier parlement	----⌫--|--------|
a martinssafille amena	|------|-|----|----|
unsh omet l idit quelen	--|-⌫-|-|-⌫|--|-|--||
on que s parléi or	--⌫---⌫|-----|-⌫-|
por celiprie	--|-|-|---|
lang uelid eslia st	----⌫-|-|-⌫-----⌫-|
etill i distq uil	-|-|-⌫|---|-⌫|-|
leseueq ue squ ile c	--|----⌫--⌫|-|---⌫|
qu imo ltmie uz li aiueroien t	--⌫|--⌫-|---⌫-|-|---------⌫|
lunsoutnonuale ntiniens	|--|--|--|----⌫-------|
etliautres u ictoriens	-|-|-----|-⌫--------|
t an t l e nprienttu it	-⌫--⌫||-⌫|-----|--⌫-|
ne se poutmesil fist	-|-|---|--|-|---|
l e poeplee t	-⌫|-----|-⌫|
oei l e adema ndee	---⌫-⌫||----⌫---|
maintenant ala	---------||-|
a gen ouz etpuissia mise	|---⌫--|-|---||||---|
deluileenlaboucheeta	-||---|-|-|-----|-||
lalangueose s do izb eleme nt	-|-----||--⌫|--⌫-|-⌫-----⌫-|
li demandaqu oment	-|------|--⌫----|
sonperean on et quelli	--|---||-⌫-|-|-|-|-|
tan tostlalanguelideslie	---⌫---|-|-----|-|-----|
sinommasanzarrestement	-|----|---|----------|
