carleslireisnostre emperemagnes	-----|-|---|-----|-----|-----|
cosen trollantquelamortli est pres	-|---⌫|------|--|-|---|-|--|---|
par les oreillesf or s sei st laceruel	--|--|-------|-⌫--⌫|-|-⌫-|-|-----|
prietdeuquesapelt	----|--|-|-|----|
epoi sdelui alangle gabr ie l	|---⌫|-|--|||----|----⌫--⌫|
pr istlolifa nquereproce nenait	--⌫--||-----⌫|--|------||-|--|
edurendals	|-------||
laltre main	|----|---|
dun a rc baleste nepo et trai reunquarrel	|-|-⌫--⌫------|-|--⌫-|----⌫-|-|------|
deue rses paigneenuai ten unguaret	----⌫-|--⌫-----|-|---⌫|-|-|-----|
muntet s urun ter tredesuzunar bre bele	-----|-⌫-|-|---⌫--|----|-|--⌫--|---|
quatrepe rrunsi	-----|--⌫----||
addemarbre faite	-|-|-----|----|
surlerbeu ert e si	--||---|-⌫---⌫|-|
las estpa smétkarla mortli e st	-||--|--⌫----|--|-|---|-|-⌫-|
halt suntlipui emulthaltlesarbres	---|---|-|--||---|---|--|-----|
qu a trepe r r unsiadluis ant dema rbre	--⌫-⌫--|--⌫-⌫-⌫--||-|----⌫--|-|--⌫---|
sur lerbeuerteli que nsr ollan t se	--||---|----|-|---⌫-|-⌫-----⌫|-|
unssarr azinstuteueielesguardet	--|----⌫----|---|---||--------|
sise feins tmortsigistentrelesaltres	-|-|-----⌫|---|-|---|----|--|-----|
delsanclu at sun	--|---|--⌫-|--|
cor sesun ui sage	---⌫||--|--⌫---|
m etseien piezedecurresa st e t	-⌫-|--|-|---||-|----||-⌫--⌫-⌫|
grant uasselage	----|--------|
p arsunorgoillcumencetm ortel rage	-⌫-|--|------|-------|-⌫----|---|
rollantsais i te sun corsesesarmes	------|----⌫-⌫||--|---||--|----|
edistun mot	|---|-|--|
uencu testli nies	-----⌫|--|-|---|
icesteespeepo rte r ai enarabe	-----|----|--⌫---⌫-⌫-|-|----|
quenssapercutalques	----||------|-----|
co sentro ll antque	-|---|--⌫--⌫--|--|
s espeelitol t	|----|-|---⌫|
uur itlesoilz si	---⌫-|--|---|-|
m enescien tretunies mie	-⌫-|------⌫--|-||--|--|
tient l olifanque unkesperdrene	----||-----|--|----|-----|-|
s ilfiert en	-⌫||----|-|
l elmekigem métfuta	|---|-|---⌫---|--||
frui ssetlacer	----⌫---||---|
elatesteeles os	|-|----||--|-|
am sdous lesoilz delchef liadmis	--⌫----|--|---|--|---|-|-|--|
iusasespiezsil adtrestur n é tmort	--||--|---|-||-|-------⌫-⌫--⌫|---|
apresliditculuert	----|-|--|------|
p aiencumfusunkessi	-⌫---|--|--|----|-|
queme s aisis nea dre itneatort	--|-|-⌫----|-||---⌫-|-||---|
ne lorra t humene	-||----⌫|---|-|
t en tienget por f ol	|-|------|--|-⌫-|
fenduz ene s t	-----|-|-⌫-⌫|
mis o lifansel gro s	--|-⌫-----|-|---⌫|
caiuzenestlic ristalsel iors	----|-|--|-|-⌫------||-⌫|--|
cosentrollant	-|---|------|
laueueadpe rd ue	-|---|-|--⌫--⌫-|
metse i surpiez quanq uil	--|--⌫|--|---|-----⌫|-|
esu ertuet	---⌫-----|
ensun uisage	-|--|-----|
sa culuradp erdue	-|----|-|-⌫----|
dedeu antluiad un eperreb y se	-----⌫--|--|-|--⌫|----|-⌫-⌫-|
if iertpard oele parrancune	|-⌫---|--|-⌫--||--|------|
cruistliacers	-----|-|----|
nefre int nesgruignet	-|---⌫--||---------|
e d ist liquens saintemar i eaiue	|-⌫--|-|----|-----|---⌫-⌫|---|
ed urendalbone si mare fustes	|-⌫------|---|-|---|-----|
quantiomeiperd deuosn	----|-|--|---|-|--||
tantes bata illes enc amp enaiuencu es	-----|----⌫----|-|-⌫--|-|-|-----⌫-|
e tantestereslarg eses cumbatues	|-----|----|----⌫-|--⌫--------|
quecarlestient k i labarb eadcanue	--|-----|----|-⌫|-|----⌫|-|----|
neuo sa ithume	-|--⌫|-⌫-|---|
ki puraltre fui et	-|--|----|---⌫-|
adl ung tensten ue	-|-⌫--|---|---⌫-|
i amaisnert tel enfrance lasolu e	-⌫----||--|--|-|-----||-----⌫|
rollant feritelperrundesardonie	------|----|-|-----|-|-------|
acers nebriset	----|-|-----|
nenesgr unie	-||----⌫---|
couitqu enenp ou tmie	-|--|--⌫||-|-⌫--⌫|--|
meismelacumencet	-----|-|-------|
edurendalcume sbele ecle re	|-------|--|-⌫|---||---⌫-|
cuntresole ill siluises ereflambes	-----|----⌫--|-|-----||--------|
c arlesesteitesualsdemoriane	-⌫----|-----|-|---|-|------|
q uantdeusdelcellimandatp arsun an gle	-⌫---|---|--|--|-|-----|-⌫-|--|--⌫--|
qui l t edun ast aun cuntecataignie	-|-⌫|-⌫|---⌫--||-|----|--------|
d unclameceinstli	-⌫--|-|-|-----|-|
gen tilz reisli magnes	---⌫---|---|-|-----|
iol enconquisn amonebretaigne	-||-|------|-⌫---||--------|
s il en co nquis	-⌫||-|--⌫----|
enc onquisnormendielaf ranche	-|-⌫-----|--------|-|-⌫-----|
silen conquisprouence	-||-|------|-------|
eequitaigne	|---------|
elumbardiee trestute romaine	|--------||-------|------|
con qui sbaiu eretu teflandres	---⌫---⌫|----⌫-||--⌫-|-------|
eburguignee trestutepuillanie	|--------||-------|--------|
costentinnobleduntil out	-------------|---|-|--|
eensais o nie fa it il co qu ildemandet	|-|----⌫-⌫--|--⌫-|-|-|-|-|-------|
iolenconquis e	-||-|------||
escoceeu alesislonde	-----||-⌫---|------|
eengletereque	|--------|--|
cunquislenai	------||-|-|
terestantes	----|-----|
q ue carlestient ki adla	-⌫-|-----|----|-|-|-|
barbeblanche	----|------|
purc esteespeeaidulore pesance	--|-⌫---|----|-|----||------|
mielzuo eill	----|--⌫---|
murirquentrepaiensremaigne	----|-|----|-----|-------|
deusperrenenh unir france	---|----||-|-⌫---|-----|
rolla ntferitenunep errebis e	-----⌫-|----|-|--|-⌫---|---⌫|
plus enaba tque ioneuos saidire	---|-|---⌫|--|-|-|--|--|---|
lespeecr uist nef ruissetnebr i se	|----|--⌫---|-|-⌫------|-|--⌫-⌫-|
cunt recielamuntestresortie	----⌫-|---|----|--|-------|
quantuei tli quensque	----|---⌫|-|----|--|
nelafreindratmie	-|-|--------|--|
mult dulcement lapleinst	---|--------|-|------|
asei m eisme	|--|-⌫----|
edurendal cumesbeleeseintisme	|-------|--|-|---||--------|
en lori étpuntasezia d	-||---⌫--|---|---||-⌫|
lad entsei ntper ree d el	-|-⌫--|---⌫-|---⌫-||-⌫-|
sancseintba si l ie	---|----|--⌫--⌫-⌫-|
e descheuelsmun seig nor sei nt	|--|------|--|----⌫--|---⌫-|
delu es tement iad seintemarie	--|-⌫--⌫-----||-|-----|----|
dreizquepaie ns tebaillis ent	----|--|----⌫-|-|-------⌫--|
dechrestiensde uezestreseruie	-|---------|--⌫--|----|-----|
neuosaithum eki facet c u ardie	-|--|--|---⌫|-|----|-⌫-⌫----|
multla rg esteres deuus aur ai cunquises	---|--⌫--⌫-|----|-|--|---⌫-|--------|
que carles	--|-----|
labarbea dflurie	-|----|-⌫|-----|
eli e mpereresen	|-|-⌫-------|-|
estbe rerich es	--|--⌫||----⌫-|
cosentrollant qu elamort letresprent	-|---|------|--⌫|-|---|-|--------|
deuerslatestesur	-----|-|----|--|
de suz unpiniestale ́tc urant	--⌫--|-|--||--|---⌫-|-⌫----|
e r beuert esiest culchétadenz	-⌫-⌫-|----⌫|||--|-------|----|
des uzlui metse spee e	---⌫-|--|--||-⌫---||
l olifanens u	|-----|---⌫|
turnat sat esteue rs	-----|-|-⌫---|--⌫-|
la paienegent	-|-----|---|
pur co lat fai t queiluoeltueirement	--|-||-|---⌫|--|-|----|--------|
qu ecarles	--⌫|-----|
dietetrestute sa	---||-------|-|
li gentil zquens qui lf u t mortcunquerant	-|------⌫|----|-|-⌫|-⌫-⌫|---|---------|
cle imet saculpe eme nute	---⌫---|-|----||--⌫--||
pur ses pecchez	--|--|------|
deu recleimet enpur offrid loguant	--|--------|-|---⌫-----|-|----|
co sentr ollant de suntens n	-|---|-⌫-----|-|--|---||
deuerses pa igneest	-----|--⌫--⌫---|--|
enunpuia gut	-|-|--|-⌫--|
alunemainsiadsun piz	||--|---|-|-|--|--|
deusmeiecul peu erslestuesuert uz	---|---|---⌫-|-⌫--|--|---|----⌫-|
de mespecchezdesgranze	-|--|------|--|----||
d esm enuz	-⌫-|-⌫---|
des l u re quenez fui	--||-⌫-|--|--|--|
tresqua cestiur	-----||---|--|
quecisuicons out	--|-|--|----⌫--|
sun destreguant e na duersdeutendut	--|-----|----|-⌫|-⌫|---|--|-----|
a ngle s delcielid escendental u i	-⌫----⌫|--|---||-⌫--------||-⌫-⌫|
liquensrolla ntse	-|----|-----⌫-|-|
iutdesuzunpin	--|----|-|--|
e nuersesp aigne	-⌫----|---⌫----|
enadturnétsunui s	-|-|------|--|--⌫|
de plus urschoses ar ememb rerli pr ist	-|----⌫--|-----||-⌫-----⌫--|-|--⌫--|
de tan test erescumli berscunquist	-|---⌫--|-⌫---|--|-|---|-------|
ded ulce france	-|-⌫---|-----|
deshu mesde su nlign	--|--⌫--|-|--⌫|---|
decarlema gne sun	-|-------⌫--|--|
seignor ki lnurrit	------|-||-----|
e npl urte ne susp irt	-⌫|--⌫--||-|----⌫--|
maislui meisme neuolt mettreen	---|--|-----|-|---|-----|-|
clei met sac ulpesi	----⌫--|-|-⌫---|-|
pr ie tde ume rcit	--⌫--⌫|--⌫|--⌫---|
ueire pateneki unkes	----|-----|-|----|
se intla zaron d emortres urrexis	--⌫--|--⌫----|-⌫|---|---⌫------|
e danieldesleonsguaresis	|-----|--|----|-------|
g uarisdemeil	-⌫----|-|--||
an me detuz	--⌫-|-|--|
purles pecch ezq ue	--|--|-----⌫-|-⌫-|
sundestreguant a	--|-----|----||
deuenpuroff rit	--|-|------⌫--|
seint gabrieldesa	----|------|-|-|
desur su n brazteneitle chefenc lin	----|--⌫|---|-----|-|---|---⌫--|
i unt es sesmainsestale ́tas afin	-⌫---⌫-|--|----|--|---⌫-||-⌫|--|
d eu str amistsunangl echerubin	-⌫--⌫|--⌫----|--|----⌫|-------|
e seint michel	|----|-----|
e nsemblod	-⌫-----|-|
gabrieli uint	------||---|
cunteport e nt en p areis	----|----⌫-⌫-|-|-⌫----|
morze st rollantdeusen ad	---|-⌫-|------|---|-|-|
lanme e s c els	|---|-⌫|-⌫--|
liempe re reen	-|----⌫--⌫-|-|
renceual paruient	-------|-------|
ilne niadne ueie nesenter	-|--⌫||-|-|---|-|-----|
neuo idetere nealne	-|--⌫--|---|-|---|
ple inpied	---⌫-|---|
qu eiln iait ofranceiso paien	--⌫|-|||--||-------||----|
carlesescrietu est es	-----|------||---⌫-|
uo sbels nie s	--⌫|---|---⌫|
uestlarceues que eli q ue ns oliuer	|--||-------⌫--||-|-⌫--⌫-|-----|
uestgerinsesiscumpai nz	|--|-----||--|------⌫-|
uestoteseli quens	|--|---||-|----|
be rengers	--⌫------|
iuee iuorie que ioauei e	--||-----|--|-|----⌫|
que est deuenuzl i guascuinzen geler	--|--|------|-⌫|--------|--⌫----|
sansun li duxe	-----|-|--||
a ns eislibers	-⌫--⌫--|-|---|
ues tge rardde russilunli	|--⌫|--⌫---|-|-------|-|
per quei o	--|--|-⌫|
aueielaisét	----|------|
d e coquicheltquan tnul	-⌫|-|--|----|----⌫|--|
respundiet	---------|
d eu sdistlireis tant	-⌫--⌫|---|-|---|---|
me poi s esmaer	-|---⌫|-----|
qu eio ne fui	--⌫|-|-|--|
alest urcumencer	||---⌫-|-------|
t ire ts a	-⌫---⌫|-⌫|
ba rb ecum homk i estirét	--⌫--⌫|--|--|-⌫|--|----|
p lurentdes	-⌫-----|--|
oilzsibaroncheualer	---|-|----|-------|
e n cunt r e tere se	-⌫-⌫----⌫-⌫|---|-|
pasmentyy mille rs	------|-|-----⌫-|
n aimes lidux	-⌫----|-|--|
enadmultgrant	-|-|---|----|
ilneniadcheua l er nebarun	-||-||-|-----⌫-⌫-|-|----|
quedepitetmult	--|-|----|---|
durementnepl urt	-------|-|--⌫--|
pluren t lur filzlurfrereslurneuolz	------⌫|--|---|--|-----|--|-----|
amiselurliges seignurs	---||--|----|-------|
encuntrete res e pasmentliplusur	-------|--⌫-|-⌫|------|-|-----|
na imesli duxdico ad fait q ue	--⌫---|-|--||--|-|---|-⌫-|
tuzpremerei nsladdi t	--|--------⌫-||-|--⌫|
ueezau a ntde dousliwes	---|--⌫-⌫-|-|---|----|
ueerpuezlesgranzchemins pu ld run s	---|---|--|----|------|--⌫--⌫---⌫|
qu equas eziaddelagent p aien ur	--⌫|-|--⌫-||-|-|-|---|-⌫----⌫-|
carcheual chez uengez cestedulor	--|------⌫---|-----|----|----|
edeu sd ist carlesia	|---⌫|-⌫--|-----|-|
s un t il ia	-⌫--⌫|-|-|
cunselezme i	-------|--⌫|
edre ite honur	|---⌫-||----|
de france dulce m	-|-----|----||
untto ludlaflu r	--|--⌫--|-|---⌫|
lire i scu mandet	-|--⌫-⌫|--⌫-----|
g ebuine otun	-⌫----||---|
t ed b altdere insele cunte	-⌫--⌫-⌫--|-|--⌫--||-|----|
guardezle champe lesu als elesmunz	------|-|----||--|-⌫--||--|---|
lessez ges i rl esmorz	-----|---⌫-⌫|-⌫-|---|
tut is sicun ilsunt	--|--⌫-|--|-|---|
qu eniadei st	--⌫|||----⌫-|
neb este nelion	-|-⌫---|-|---|
neniade istesquierne	-|||---⌫--|------|-|
io uusd ef endquen	-|--|-⌫--⌫--|--||
iadeistnulshom	|-----|---|--|
iosque deu s u oeilequeenc es tcampreuengum	-----|---⌫|-⌫----|--|-|-⌫--⌫|---|-------|
e c ilrespu ndent dulcement	|-⌫-|-----⌫----|--------|
dre izempererechersiresi ferum	---⌫-|-------|---|---|-|----|
milch eualer ire tienentdeslur	--|--⌫-----||--⌫------|--|--|
liempe reres faitsesgraislessun er	-|----⌫----|---|--|-------|---⌫-|
puiss ich eualc hetod	---|-⌫|--⌫-----⌫--|-|
sagrant ostliber	-|----|--|-|--|
e spaigneuntlur les	-⌫------|--|--|--|
do s tur nez	--⌫|---⌫--|
te nentle n ch alz	--⌫---||-⌫-⌫--⌫--|
tuitensu ntcumunel	---|-|--⌫-|------|
qu an t ue i tlirei sleuespresdecliner	--⌫--⌫|--⌫-⌫|-|---⌫|-|------|-------|
su rlerbe ue rt ed escentli	--⌫||---|--⌫--⌫|-⌫-----|-|
reis enun pred	---|-|-|---|
culc hetsei	----⌫--|--|
ateresi prietdamnede u	|---|-|----|-------⌫|
que l isolei lz face t	--|-⌫|-----⌫-|----⌫|
purlui arester	--|--|------|
la nuittargere le iur d emurer	-|---|-----||-|--|-⌫-----|
aisliunangle kiod luisoel t	--|-|-|----|-|-|--|----⌫|
i snelement siliad comandét	-⌫--------|-|-|-|--------|
charlecheualchecarte inef audratclartet	-----|--------|--|--⌫|-|-⌫-----|------|
laflu rdefrance asperdutcoset deus	-|---⌫|-|-----|-|-----|-|--|---|
uenger tepoezdela gentc ri minel	-----|-|---|-|-|---|-⌫--⌫----|
a icelmotest	|---|--|--|
lemperere muntét	|-------|------|
purkarlemagnefistd eus uertu zmult gran z	--|---------|---|-⌫--|-----⌫|---|----⌫|
carli sole ilzestremesen	--|-|----⌫--|--|----|-|
paiensenfuie ntben	----||-|----⌫-|--|
les c halc entfranc	--|-⌫----⌫--|----|
enualtenebru slale suuntateignant	-|--|-------⌫|-|--⌫|---|--------|
uerssarra guce le se n c halcentfranc	---|-----⌫---|--⌫|-⌫-⌫-⌫------|----|
acolpsplenerslesenuuntociant	|----|------|--|-|---|-----|
tole nt lur	----⌫-|--|
ueies e leschem i ns plusgranz	----||--|----⌫-⌫-|---|----|
lewedesebreell ures tdedeu ant	|--|-|----|-|-⌫-|--⌫|-----⌫--|
mu ltes tparfundeecur ant	--⌫-|--⌫|-------||---⌫--|
iadbargene drodmundne	|-|----|-|-------|-|
paiens recleimentun lur	-----|---------|-|--|
d euteruagant	-⌫-|--------|
puissaillente nzm aisilniu nt	---|-------|-⌫-|-⌫--|-|||-⌫-|
liadu beze nsunt li pluspesa nt	-|---⌫--|-⌫|---|-|---|----⌫-|
enue rslesfu nzs en t ur nerentalquanz	----⌫-|--|--⌫-||-|-⌫--⌫-----|------|
lia lt reen uuntcun treualflotant	-|-⌫--⌫-|-|---|---⌫-----|------|
limiez guariz en untboud it ant	-|---|-----|-|--|---|--⌫--|
tuzsu nt neiezparmerueillusah a n	--|--⌫-|----|--|---------|--⌫-⌫|
franc e isescrientmarefus tesrollant	-----⌫-⌫-|-------|---|---⌫--|------|
quant carlesueit	----|-----|---|
a lquanz oc is e liplusurneiét	-⌫-----|--⌫-||-|-----|-----|
mul tgrante schecenuntsicheualer	---⌫|----|-⌫----|-|--|-|-------|
l i gentilzreis desc endut estapiet	-⌫|------|---|----⌫----|--||---|
culche tse i atere s i	------⌫|--⌫||---|-⌫|
naddeugraciét	|-|--|-------|
quan tilse drecetli so leilz estculc hét	----⌫|-|-|-----|-|--⌫----|--|----⌫---|
empererete nse stdel he rber ger	-------|--⌫-|-⌫-|--|--⌫----⌫--|
enrencesual sesttart delrepairer	-|---------⌫|--|---|--|-------|
nos cheu als sunt	--|----⌫--|---|
e laseen nui ez	|--||--⌫---⌫-|
tolez lur lesseles le frein squilunt	----|--|--|----|-|-----⌫|-|-|--|
epar cez prezlesleisez	|--|--|---|--|-----|
respundent f rancsire uos dites bien	---------|-⌫---|---|--|----|---|
liempe rere adprisesa	-|----⌫---|-|----|-|
h er berge	-⌫--⌫----|
franceisdescendenten latered ese rte	-------|---------|-|-|---|-⌫---⌫--|
alurcheua ls unttoleite sles seles	|--|-----⌫-|--|-------⌫|--|----|
les freinsaoremetentiusles	--|-----||-||-----|--|--|
liuren t lur	------⌫|--|
prezasezi a dfre scheher be	---|---||-⌫|---⌫---|---⌫-|
da lt r ecunreid ne lur poeent	|-⌫--⌫-⌫|------|-|--|-----|
pl usfa ir e	--⌫-|--⌫--⌫|
kim ultestl as i lse do rtcunt retere	-|-⌫--|--|-⌫-|-⌫|-|--⌫-|----⌫-|---|
icele noitnuntunkes	----|---||--|----|
escalguaite	----------|
liempe reresest culcétenunpr et	-|----⌫---||--|------|-|-|--⌫-|
espietmet asunche fliber	-----|--||--|---⌫|-|--|
icelenoitn eseuolti l desarmer	----|---|-⌫|-|---|-⌫|-------|
sia d uestutsunblancosbercsasfrét	-|-⌫|-----|--|----|-----|-------|
l aciét sunelme	-⌫-----|--|---|
ceinteioi useunc hes ne futsa per	-----|---⌫--|---⌫--|-|--|-|--|
k icascuniur mue tyy clartez	-⌫|-----|--|---⌫|-|------|
asez sauum de	---|----|-|
la lanceparler	-|----|-----|
du ntnostr esire fut enlacruiznasfrét	--⌫-|-----⌫|---|--|-|-|----|-------|
carlesena dlamure mercitdeu	-----|-|-⌫|-|---|-----|--|
enlorét punt lad faiteman u u rer	-||----|---||-|----|---⌫-⌫-⌫--|
pu r cestehon ur	--⌫|----|---⌫-|
epur ceste bontet	|--|----|-----|
linu msioiusel	-|--⌫-|-----||
espee futdunét	----|--|-----|
baruns f ra n ceisnelde iuen tublier	-----|-⌫--⌫-⌫---|-||--⌫----⌫|-----|
enseig neen unt	------⌫-|-|--|
d emunioiecr i e r	-⌫|------|--⌫-⌫-⌫|
pur conespo e t	--|-||-|--⌫-⌫|
nulegen tcuntr ester	---|---⌫|-----⌫----|
clereestla	----|--|-|
noit e laluneluisa n t e	---||-|---|-----⌫-⌫-⌫|
carl essegistmaisdoelad	----⌫-|-|---|---|---|-|
lipeisetmultformen t	-|-----|---|------⌫|
de syy pers edelafrance ise	--⌫|-|---||-|-|------⌫--|
enrencesuals adla isét morzsanglenz	-|---------|-|--⌫----|---|-------|
nepoet muer nenplurt	-|---|---||-|----|
en esdement	||-|-----|
ep riet d eu	|-⌫---|-⌫-|
quas anmes seit	-|-|----|---|
l ase stli reis kar	-⌫-|-⌫-|-|---|--|
l apeineest mu lt	-⌫|----|--|--⌫-|
endormizestnepoutmais	-------|--|-|---|---|
partuzlesprez	--|--|--|---|
o rsedormentlifranc	-⌫|-|------|-|----|
n iadcheual ki pu issete st eren	||-|-----|-|--⌫----|-⌫--⌫-|-|
kiherbeuoeltilla pr en t e ngisant	-|----|----|-|-|--⌫--⌫|-⌫|-----|
ap ris kibien conuistahan	--⌫--|-|---|------|---|
ka rle s sedortcumhume	--⌫---⌫|-|---|--|---|
traueillé t	----------⌫|
seintgabr ielli ad deusen ueiét	----|----⌫--|-|-|---|--⌫-----|
le mpereur	|-⌫------|
licumandetaguarde r	-|-------||------⌫|
li anglesesttute noi t	-|-----|--|---|---⌫|
pa rauisiu n li	--⌫|------⌫|-|
adanunciét	-|--------|
d unebatailleki	|--|-------|-|
encuntrelui ert	-------|--|--|
senefiance lendemustrat mul t gref	---------||-|--------|---⌫|---|
carles gu ardatamun tenuers	-----|--⌫----|----⌫|-----|
ueitlestun eireselesuenz e l e s giels	---|--|---⌫----||--|---||-⌫-⌫|----|
e leso rezles mer ueillustempez	|--|-⌫--|--|---⌫------|-----|
efousefl amb esi estapareille z	|---||--⌫---⌫-||--|---------⌫|
isnelement surtutes a	---------|--|---|-⌫|
ardentcez han stesdefraisne edepumer	-----|--|---⌫---|-|------||-|----|
ec ezesc uz iesquasbucles dormier	|-⌫-|---⌫-|----|-|-----||-|---|
fruisezcezhanstes	------|--|------|
de c ez t renchanzespi ez	-|-⌫-|-⌫-------|----⌫-|
crui ssent osbe r cse	----⌫----|----⌫-⌫-||
c ezh el me s d	-⌫-|-⌫--⌫--⌫||
engrant d ulo ri	-|----|-⌫---⌫||
uei t ses ch e u alers	---⌫|--|--⌫-⌫-⌫----|
urs eleupar zlesuoelent	--||------⌫|--|------|
puismange r	---|-----⌫|
ser penze gui uresdragun e auerser	---⌫---||---⌫---|-----||------|
grifunsia dplus de tr ent emillers	------||-⌫|---|-|--⌫---⌫|------|
cel afranceisnesagiet	--||-------|-||----|
e franceiscri ent c arlemagne aidez	|-------|---⌫--|-⌫--------|----|
li rei sena dedulur epitet	-|---⌫|-|-⌫||----||----|
aler iuoltmai siladdesturb er	---||---|---⌫|-|-|-------⌫-|
deuersungualtunsgran z le ons liui nt	-----|-|----|--|----⌫|--⌫--|-|--⌫-|
multparertp esmese	---|--|--|-⌫----||
org uil lusefiers	---⌫---⌫--||----|
sunc orsme ismesiasalte r equert	--|-⌫--|--⌫----||----||-⌫-----|
epren entsei a	|----⌫--|--||
braz ambesdouspor l oite r	---|--------|--|-⌫----⌫|
q uelsabatnequelschiet	-⌫---|---|-|----|----|
liempererenestmie esueillét	-|-------||--|--|---------|
apresicelliuie n	----|---|-|---⌫|
un altreauis iun	-|----|----⌫--|
quil erten f ran ce adais	-|-|--|-|-⌫---⌫-|-|--|
aun perrun	|-|-----|
endous chaeinessiteneit unbrohun	-|---|-------|-|-----|-|-----|
deu er s arden eueeituenir yyu rs	---⌫--⌫|-----⌫|----|----|-|-⌫-|
cascu npa rolet altresicumeh um	-----⌫|--⌫----|------|---|-⌫-|
dise ientli	----⌫---|-|
si rerende zle nu s	--⌫-|-----⌫|-|--⌫|
ilnenestdrei zque il s eit	-|--|--|----⌫|--|-|-⌫--|
nostr eparentdeuumestreasucurs	-----⌫|-----|----|----||-----|
desunpaleis	-|--|-----|
uerslesal tres acurt	---|--|--⌫---|----|
a l tresas aillit le greig nur	-⌫-⌫---|--⌫-----|-|-----⌫--|
su rlerbeuerteultre	--⌫||---|----|----|
sescu mpaignu ns	--|--⌫-------⌫-|
lauitlir ei ssi merueillu rest ur	-|--|-|-⌫--⌫|-|---------⌫|---⌫-|
maisc one setliquels u e i nt ne	---|-⌫|-|--|-|----|-⌫-⌫-⌫-|-|
deuco ad mus trét albarun	--|-|-|---⌫----|-|----|
carlessedorttresqualdemain al	-----|-|---|-----|-|-----|-|
lirei sma rsilie senfuitensarra guce	-|---⌫|--⌫-----||-|---|-|-----⌫---|
suzunoliuee st descendu ten l	--|-|----|-⌫-|--------⌫|-||
sespee rent esun elmeesa	|----|---||--|---||-|
surlauerteher bemult laidement	--|-|----|---⌫-|---|--------|
la destr e main adpe rdue	-|-----⌫|---|-|--⌫---|
t restu te	-⌫-----⌫-|
d elsancquenistsepasme te	-⌫-|---|-|-|--|-|-----⌫||
angoi s et	-----⌫-⌫-|
dedeuantl uisa	-------|-⌫-|-|
m uil l er bramimunde	-⌫---⌫-⌫-|---------|
pluretecr ietmult	-----||--⌫--|---|
for men t sedoluset	---⌫---⌫|-|------|
e nsembl o d li plus de y y	-⌫-----|-⌫|-|---|-|-⌫|
simaldient c arlun	-|-------|-⌫----|
ef r ancedulce	|-⌫-⌫---|----|
adapolin en	-|-----|-|
curentenunecr ute	-----|-|--|--⌫--|
tencen talui laidemen tledesper s unent	------⌫||--|--------⌫|-|------⌫-⌫----|
quei nusfaistelhun te	---|--|---|--|---⌫-|
cestnostrereipor qu eile ss ascunfund re	---|-----|--|--|--⌫-|--⌫--⌫-|-------⌫-|
te sert maiuaisluerl endunes	-|---|------|---||-|----|
puiss i li	---|-⌫|-|
tol entses cep tre	---⌫--|-|-⌫---⌫--|
e sa curune	|-|-----|
pendentsurunecul umbe	------|--|--|---⌫---|
entrelurpieza ter eletrestur nent	----|--|---||---⌫|-|-------⌫---|
a granzbastu ns l ebatent e defru isent	|----|-----⌫-|-⌫|-----||-----⌫----|
eteru agan tolent	|----⌫---|-----|
s une sca rbunc le	-⌫-|-⌫---⌫-----⌫-|
em ahumetenzenun fosse t b ut ent	|-⌫-----|--|-|-|-----⌫|-⌫--⌫--|
epo rcechen le mordentede f ulent	|--⌫-||---|-|------||--⌫-⌫----|
d epaismeisunsenes tuenuzmarsilies	-⌫|----------|-|--⌫|----|--------|
fai tseiporterensacambreuoltice	---⌫|--|-----|-|-|-----|------|
pl usurs culursiad pe i nz e escrites	--⌫----|-----||-|--⌫-⌫-||-------|
e bramimund ele pluretlareine	|---------⌫|-|-----|-|----|
traitse scheuelssise cleimet caitiue	----|--⌫|------|-|-|------|------|
al al tremot	||--⌫--|--|
mult hal tements esc riet	---|---⌫-----||---⌫---|
esarrag ucecum ies oi	|------⌫--|--|--|-|
desg u arnie	----⌫-⌫----|
delgentilrei	--|-----|--|
kitaue it enbaillie	-||---⌫-|-|------|
linostr ed eu i	-|-----⌫|-⌫-||
un tf aitfelon ie	--⌫|-⌫--|-----⌫-|
ki enbatailleoimatinlefaillirent	-|-|-------|-|----|-|---------|
iferatcuardie	|----|------|
silnec umbat	|-|-|-⌫----|
genthardie	---|-----|
ki sisunt fiersnunt cur e	-|-|---|----||--|---⌫|
delur uie s	-|--|---⌫|
li e mperereodla ba r beflu rie	-|-⌫------|-|-|--⌫-⌫-|---⌫--|
uasselagea demultgran test ultie	--------|-⌫||---|----⌫|---⌫----|
sil a dbataille	|-|-⌫|-------|
ilnesenfuir atmie	-|-||-|----⌫-|--|
multest gr antd oelque n	---|--|--⌫--|-⌫--|--||
liemperere	-|-------|
par sagrant poestet	--|-|----|------|
yy anzt uz plensaden	-|--|-⌫-|----|-|-|
espaigneestét	-------|-----|
chas te l s ealqu antesci tez	----⌫--⌫-⌫||----⌫----|--⌫--|
ma rsilies en purcacet	--⌫-----||-|-------|
alpreme ranfistses brefs se ieler	-|-----⌫|-|---|--|----|--⌫----|
e nb abilonie	-⌫|-⌫-------|
baligantadman dét	-------|-|---⌫---|
co est lamirail lleuieldantiquit et	-|--||-------⌫|-|---||--------⌫-|
tutsuruesquiete uirgiliee omer	--|----------||-------||---|
ens arragucealt s ucurreli ber	-|-⌫-------|--|-⌫-----|-|--|
s il ne l faitilg ue rpirat	|-|-||---|-|-⌫--⌫-----|
