quiparoleauroipesche or	--|-----|-|--|------⌫-|
parplainsetparmon setp a r uaus	--|-----|-|--|---⌫|-|-⌫-⌫|---|
tantq ueceuint	---|-⌫-|-|---|
uneue spree	--|--⌫----|
quil choi siste nmi unepree	-|-|----⌫---|-⌫--|--|---|
de uspuc e les	--⌫-|---⌫-⌫--|
quimolt erentplaisa nsetbele s	--|---|----|------⌫-|-|----⌫|
maismoltfurenten grans	---|---|-----|-|----|
destr eces	-----⌫---|
quec h asc unef u par	--|-⌫-⌫---⌫--|-⌫|--|
les trech es	--|-----⌫-|
penduesalarbre ramé	------|||----|----|
d eu scheu alier s	-⌫--⌫|----⌫-----⌫|
quisontarme ́	--|---|----⌫|
u itpercheuaus quise combaten t	-⌫-|---------|--|-|--------⌫|
si durementq uil	-|-------|-⌫|-|
sen trabatent	|--⌫--------|
aterremenuetsouent	|----|---|-|-----|
etsefieren tplustost q u e uent	-|-|------⌫|---|---|-⌫-⌫|---|
de sbransmolu sparm i lechief	--⌫|----|----⌫|----⌫|-|----|
moltso ffrent an doigrant me schief	---|--⌫-----|--⌫--|----|--⌫-----|
carne re posentpasneeure	--|-|--⌫-----|--|-|---|
ains cortli u nsa l	---|---|-|-⌫-|||
autre s eure	----|-⌫---|
etdesigrantair	-|-|-|----|--|
que ilfont parp iecheschair	--|-|---|--|-⌫-----|----|
etle selmes	-|--⌫|----|
etleses cus	-|--|--⌫--|
enpue testre uencus	-|---⌫|----|-----|
ains se combatent en tel	---|-|--------|-|--|
li uns al a u treque de	-|--|||-⌫-⌫--|--|-|
nemort nepai ne n e	-|---|-|---⌫-|-⌫|
et saestélo iau scompaing	-|||----|--⌫---⌫|-------|
l aut rem ol tamé	|---⌫-|-⌫--⌫|---|
etor sesontsi entamé	-|-|-|---|-|------|
queen mainsliuslisanzlorsalt	--|-|----|---|-|---|--|---|
quantperc heuausuoitlor	----|----⌫-----|---|--|
err anm ent br oche c ele part	---⌫---⌫--|--⌫---|-⌫--|---|
que lesdepart	--|--|-----|
maistantson tci llaset at a int	---|---|---⌫|--⌫|--|-|--⌫-⌫--|
quepor poiqueneso nt	--|--|--|--|-|--⌫-|
aterresont	|----|---|
andoiuersé	----|-----|
t outs ouin ett outenuersé	-⌫--|-⌫---|-|-⌫--|-------|
niacelui pasmeznefust	|||----|-----|-|---|
ausichoi gisent	---|---|-----|
condoifust	--|--|---|
chascunssambl e	-------|-----⌫|
estreissu sde	----|----⌫|-|
per c heuausquiauoit enuie	---⌫-⌫-----|--|----|----|
loiretdes auoir	|--|-|-|-⌫----|
de lor a uenture leuoir	-|--|-⌫------|-|---|
a la rbreuint plusnatendi	||-⌫---|---|---||-----|
lesd e uspu cele sdesp endi	--|-⌫-⌫-|--⌫----⌫|----⌫---|
celespl eurentetfont grant doel	----|--⌫-----|-|---|----|---|
qui uolsissentmor ir lorwel	--|---------|---⌫-|--|--|
etperc heuausl eses garda	-|----⌫-----|-⌫-|--⌫----|
moltbe lementlordemanda	---|--⌫-----|--|------|
lorau entu re etlormes chief	--|--⌫----⌫-|-|--|---⌫----|
lunerespont dechiefenchief	|--|------|-|----|-|----|
uouse ndirai sirele uoir	---|-⌫|----|---|-|---|
puisqueuou sleuolez	------|---⌫|-|----|
sire sorle montdole ro us	---|--|-|---|----⌫--⌫-|
quemerlinsparenchantement	--|------|--|-----------|
f istiadi sa ncienement	-⌫--|----⌫|-⌫---------|
e tsilasist	-⌫|-||----|
de sor cel	--⌫--|--|
cildi eus quiestorale mon t	--|--⌫--|--|-----|-|---⌫|
confonde celui quilimi st	-------|----|--|||--⌫-|
degrantmaliss e	-|----|------⌫|
s entre mist	|-----⌫---|
quinz e crois trestoute ntor a	-----⌫|----|-------|-⌫---||
unane mii estora	-|---⌫-||-----|
quil a enmuréladedens	-|-||------|-|-----|
quantn us demandequistlai ens	----|-⌫-|------|--|-|---⌫--|
n ertsagesn e se nez	|--|----|-⌫|--⌫--|
qu etantos tnesoitforsenez	--⌫|------⌫|-|---|-------|
silnestdelmon tli plushard is	|-||--|--|---⌫|-|---|----⌫-|
etpar drois faiset	-|--|----|---|-|
cildo icheuali erialere n t	--|--⌫|-------⌫-||-----⌫-⌫|
celpiler apel ere nt	--|----|----⌫---⌫-|
et demanderentqui s tl aiens	-|----------|--|-⌫|-⌫----|
mai ntena ntissiren tdelsens	---⌫-----⌫-|-------⌫|--|---|
ettot lormemoireperdirent	-|--|--|------|--------|
etacestarbrenous	-||---|----|---|
p endirent	-⌫-------|
p arlest rechessi con	-⌫-|--|-⌫-----|-|--|
qu antu ousorainsnousdespen dis t e s	--⌫--|-⌫--|-----|---|------⌫---⌫-⌫-⌫|
sesamiemespar	|-|------|--|
e tse sontmortp arderuerie	-⌫|-|---|---|-⌫-|-------|
etsi e stoie ntb onami	-|-|-⌫-----⌫-|-⌫-|--|
napasencor mois etdemi	||--|----|---|-|---|
ochisseso nt e t depechié	----|-|--⌫-|-⌫|--------|
p aranemietparp echi e	-⌫-|----|-|--|-⌫----⌫|
distpercheuaus madolce	---|---------|-|----|
orme dit es	-|-|---⌫-|
neuo u sp oist mie	-|--⌫-⌫|-⌫---|--|
etsineuousanuit	-|-|-|---|----|
caranco i sque uoiezl a	--|----⌫-⌫|--|----|-⌫|
serachascuns bienenson sens	---|-------|---|-|--|---|
pu isparnu la ssens	--⌫-|--|--⌫|-⌫----|
parsi que chascunsnes oitmors	--|-|--|-------|-|-⌫--|---|
ce st s irelipreussai gremo r s	|-⌫-|-⌫--|-|----|---⌫-----⌫-⌫|
et liau tresest	-|-|--⌫---|--|
a g reuains	-⌫-⌫------|
arm es faintis	---⌫-|------|
molt seso loien t entramer	---|-|--⌫-----⌫|-------|
quantperc h euaus lesot nomer	----|----⌫-⌫----|--|-|----|
erranme nt me tpieforsd estrier	-------⌫-|--⌫|--|---||------|
descen dus e sts anz dest ri ier	------⌫--|-⌫-|-⌫--|----⌫--⌫--|
sonbri e fprentque pl usn	--|---⌫-⌫|----|--|--⌫-||
sorle chief a greu a in l estent	--|-|----|-⌫----⌫-⌫-||-----|
en so n se ns	-|--⌫|--⌫-|
asaigremor maintenant uin t	|--------|---------|---⌫|
aestendu lebri ef	|------|-|---⌫-|
tote rranment desor	--|-⌫-------|----|
desaderuerie	-|-|-------|
molt durement fu	---|-------|-|
qu an t sesentn auré	--⌫--⌫|-|---|-⌫----|
etblechie ́	-|-------⌫|
lo rsaamontle chiefdrechié	--⌫-||----|-|----|-------|
delautre partuitagre uain	-||----|---|--|----⌫---|
quidespl a iesot	--|--|--⌫-⌫--|-|
le cueruain	-|---|---|
porlesanc qu ilauoitperdu	--|-|---|-|-|----|----|
a ndui furenttot espe rdu	-⌫---|-----|--|----⌫--|
nese uentpor	-|--⌫---|--|
coinecoment	--|-|-----|
furentnau résidurement	-----|---⌫--|-|-------|
derien nelor	-|---|-|--|
est souenu	--|-----|
qui onqueslorfustauenu	--|-----|--|---|----|
p uisqued u pil er departir ent	-⌫-----|-⌫|---⌫-|--------⌫--|
laoulorsensando i perdirent	-|-|--|---|----⌫|--------|
etdeuindren tfol etderué	-|---------⌫|--|-|-----|
ambe d oisont e np ie zl eué	----⌫-⌫-|---|-⌫|-⌫--⌫|-⌫---|
quantleuésontenlorestant	----|----|---|-|--|-----|
ainc nese merueillerenttant	---|-|-|------------|---|
queilf irentdepercheual	--|-|-⌫----|-|--------|
qu id e sce ndu sfu delch eual	--⌫|-⌫-⌫---⌫---⌫|-|--|--⌫---|
s i q uidoientquileustfait	-⌫|-⌫-------|-|-|---|---|
uers als loutra ge	---|--||-----⌫-|
dontilestoi en tsinauré	---|-|-----⌫--⌫|-|-----|
ch ascunst int le	--⌫-----|-⌫--|-|
branten beuré	----|--⌫-----|
de sanc et	-|---|-|
desozetdeseu re	----|-|-----⌫-|
percheualfuissentcoruseure	--------|-------|---|----|
maintenantasespeesnues	---------|-|-----|---|
quantl e spucelessontuenu es	----|-⌫-⌫|------|---|----⌫-|
cr ianta i ointe smai nsmerchi	--⌫---||-⌫-----⌫|---⌫-|-----|
par cest uassa l	--|---|-----⌫|
queueezchi	--|---|--|
este su ousgaridel e rage	----⌫|-⌫--|---|-|-⌫|---|
tropariezmaluaiscorage	---|----|------|-----|
se malli fais iez	-|--|-|----⌫--|
nec o ntraire	-|-⌫-⌫------|
dist perc heuau so rpuisret r aire	---|----⌫-----⌫|-⌫|---|---⌫-⌫---|
que i lres amblentlegai gnon	--|-⌫|---⌫------|-|---⌫---|
qui c ortsu sason	--|-⌫--|--⌫||--|
qu antill aresco usdufe rain	--⌫--|-|||-----⌫-|-|--⌫---|
toutaus ipaieau	---|---⌫|---|-|
lima luaishomal	-|--⌫----|--|-|
qui li afait honor et	--|-||---|----|-|
quantsaigrem orsuitles	----|-------⌫--|--|--|
c rierm e rchiqu i	-⌫---|-⌫-⌫---|--⌫|
tantsont bele s	---|---|----⌫|
et p ercheualquilorr ecorde	-|-⌫-------|--|--|-⌫-----|
leprouerbetresbiens acor de	-|-------|---|---||----⌫-|
quaucune bontelor	-|-----|----|--|
lespuceleslor ontretrait	--|------|--|--|------|
l a uerite de chief	-⌫|-----|-|----|
et loranui	-|--|---|
etlor meschief	-|--|-------|
sicondeuantuous	-|--|-----|---|
qu antlibaron l ontesc out e ́	--⌫--|-|----||--|---⌫---⌫-⌫|
cha scuns a iec tés ussespee	---⌫----||---⌫--|-⌫-||----|
a i enoillons	|-⌫--------|
e nmila pree	-⌫--|-|---|
sesontdeuant	-|---|-----|
percheualmis	--------|--|
merchicrie nt	-----|----⌫-|
con bon samis	--|---⌫|---|
et percheua u s a mo ntle sdreche	-|--------⌫-⌫|-⌫--⌫-|--⌫|-----|
qui dolans	--|-----|
lor tri streche	--|---⌫------|
pitieena ans deus	----|-||---⌫---|
lespuceles sont molt aaise	--|------|---|---||---|
qua ntuoientgarisloramis	---⌫-|-----|----|--|---|
de lad olorouanemi s	-|-|-⌫---|-|-----⌫|
lesauoitmise t enbatu	--|----|--|-⌫|-----|
estoientcombatu	-------|------|
et saigremors et agreuains	-|---------|-|--------|
demandentquil	--------|-|-|
neporentains	-|-----|---|
sir epordieuqui est esuous	---⌫|--|---|--|---⌫-|---|
comeau ez nondites	---|--⌫-|--|----|
dist percheuausne lquie r	---|---------|-||----⌫|
ue rsuousonme sueltape le r	--⌫-|---|-|-|----|---⌫--⌫|
percheua lle gal ois	--------⌫|-|---⌫--|
oruo us enai	-|--⌫-|-|-|
contéle uoir	-----|-|---|
et les pu celesm ont	-|--|--⌫----||--|
c o nt e ́	-⌫-⌫--⌫-⌫|
deuostrenon	-|-----|--|
lau erit e	-|-⌫----⌫|
bien me cognoi ssie z	---|-|------⌫----⌫|
e tieuou s	-⌫|-|---⌫|
maisil nou scouiententre nous	---|-|---⌫|------|----|---|
que rrehuimaishostel t a ns	---⌫--|------|-----|-⌫-⌫-|
appare illi ésomese t	------⌫----⌫-|----|-⌫|
d e faireuo s t reuolente	-⌫|----|--⌫-⌫-⌫-|------|
l ors s onttotensamblemonté	-⌫--|-⌫--|--|-------|-----|
etlespucelesensement	-|--|------|-------|
sion t erré tan t longuement	-|--⌫|----|---⌫|---------|
ensa mblecunman oirtrouerent	----⌫---||-|---⌫--|--------|
dunua uasorl ostelr ouerent	|-|--⌫----||----|-⌫------|
parchari tee tli preudom	--|-----⌫-|-⌫|-|------|
l or ot ro ia etlor	-⌫-|--⌫--⌫-|-|--|
det outce quiestoitlaiens	-|-⌫--|-|--|-----|-----|
ilsonttottroi entré de de ns	-|---|--|---|-----|--⌫--⌫-|
pui ssontat erre	---⌫|---||-⌫---|
desc end u	----⌫---⌫|
etl ipr eudomaentendu	-|-⌫|--⌫----||------|
nau oitque ensa ignier	|--⌫--|--|----⌫-----|
etquimol tfai soit	-|--|---⌫|---⌫---|
asdeu s damois e lesde scendre	-|---⌫|------⌫-⌫--|--⌫------|
lip reudomfis tlorcheuausprendre	-|-⌫-----|---⌫|--|------|------|
asserians q uisont	-|------|-⌫-|---|
lafem eauuau asoracort	-|---⌫|-|---⌫---|----|
aspuceles silesacole	-|------|-|--|----|
dolcem entaelesp ar ole	------⌫--||---|-⌫--⌫--|
silesprentansdeus	-|--|----|------|
parlesmains	--|--|----|
et saigremorseta gr auai ns	-|---------|-|-⌫--⌫----⌫-|
por chequil	--|--|-|-|
estoientblechié	-------|-------|
sontlorsdesarmé etcouchié	---|---|-------|-|-------|
etlespuceles	-|--|------|
de sa rme rent	--⌫--⌫---⌫---|
percheualet puislacesmer ent	--------|-|---||-------⌫--|
dun ereubedo nt	|--⌫|----|--⌫-|
li preu dom	-|----⌫--|
liprese nta e tlifist	-|-----⌫--|-⌫|-|---|
quantacesmezfupe rch e ua us	----|------|-|--⌫---⌫-⌫--⌫-|
dusq uenr aisceua us	----⌫|-|-⌫-------⌫-|
net ro uaston	-|-⌫--⌫---|-|
plusbel de	---|--|-|
mais mol t litornea	---|---⌫|-|----||
grantanu i	----|---⌫|
d esd eu sbaronsqui nauréfur ent	-⌫-|-⌫--⌫|-----|--|-----|---⌫--|
seri antqui seruirdurent	----⌫--|--|-----|-----|
metentles table slesle fu	-----|--|-----⌫|--|-|-|
etlisoupersaprestezfu	-|-|------|-------|-|
si lau erentpuis sont	-|---⌫----|---|---|
ci nc mesou desis	--⌫-|--|-|-|--|
fu re n tserui etbelet gent	--⌫--⌫-⌫|----|-|--|-|---|
en grans escuele s dargent	-|----|-------⌫||-----|
deuiandessont bi enpe u	-|------|---|--⌫-|--⌫|
etsontdem aint	-||--|-|-⌫---|
c lar e etsyro p	-⌫---⌫|-|----⌫|
et pieument	-|-------|
a pres soupermoltbelement	-⌫---|-----|---|-------|
li siresdece lemais o n	-|----|-|--⌫-|----⌫-⌫|
a mispercheuala raison	|--|--------||-----|
d emandeet enquist	-⌫-----|-|------|
etpe rcheuausson non lidist	-|--⌫-------|--|--|-|---|
lideman dele	-|-----⌫-|-|
sirefait i l or sachiezbien	---|---|-⌫|-|------|---|
i a in o ngaudins	|-⌫|-⌫-⌫|------|
aubla ncesc u	-|---⌫-|---⌫|
maintio r a que	----|--⌫||--|
mais sachiezquen tout e mau ie	---|------|-|-|----⌫|-|-⌫-|
sedieusme doi nst san c te e t ui e	-|----|-|---⌫--|---⌫-⌫-|-⌫|--⌫|
n oimaishostece puisiurer	|-|---|----|-|---|----|
q u eietan tuolsissehonorer	-⌫-⌫|-|---⌫|-------|------|
uostremerc hidist perc heuaus	-----|----⌫-|---|----⌫-----|
a tantd e finelorcon saus	|---|-⌫-⌫---|--|---⌫---|
siontfaitlestablesos ter	-|--|---|--|-----|--⌫--|
etap reslorlisap rester	-|--⌫--|--|--|--⌫-----|
etsi firen t asdeus naurez	-|-|-----⌫|-|---|-----|
men gierpui sa breu ez	---⌫---|---⌫|-⌫----⌫-|
lesontunpoi d e b oiurechier	--|--|-|--|-⌫|-⌫----|----|
perc heuau sest ale zcouchier	----⌫-----⌫|--|---⌫|-------|
quimaintenantes te ndormis	--|---------|--⌫|-⌫------|
etcelesdeu ant	-|----|---⌫--|
se couc hent	-|----⌫---|
cargarderlesuelent	--|-----|--|-----|
quardelorplaies moltsedoelent	---|-|--|-----|---|-|------|
s idormiren tetrep oseren t	-⌫|--------⌫|-|---⌫------⌫|
e n dormant cele nu itpa ssere nt	-⌫|------|---|--⌫-|--⌫-----⌫-|
quantpe rche u au schoisile ior	----|--⌫----⌫-⌫--⌫|-----|-|--|
notcure defaireseior	|-|---|-|----|----|
ses arme serrant dem a nda	--|----⌫|-----|---⌫-⌫--|
celu iqui il lescomand a	----⌫|--|-|--|------⌫|
on li aporteil estarmez	-|-|-----|-|--|----|
asarme sa c esme z	-|----⌫|-⌫-⌫----⌫|
appareilliezfu ses ch euaus	-----------|-|--|--⌫----|
t ant os t me sir e perche uaus	-⌫---⌫--⌫|-|---⌫|------⌫---|
sene s t u enusa agraua in	|-|-⌫-⌫|-⌫---||------⌫-|
quifr ere ertmonseign or gauain	--|--⌫--|--|--|-----⌫-|-----|
et asaigremo rens ement	-||--------⌫|---⌫----|
cong ie aprismoltdol cement	----⌫-||---|---|---⌫-----|
asdeusbaronset as	-|---|-----|-|-|
qui molterent	--|---|----|
gent e setbeles	----⌫-⌫|-|----|
etaloste qui fupr e ud om	-|||---|--|-|--⌫-⌫--⌫-|
enguere d on	-|-----⌫-⌫-|
quedesdeuscheualierspensast	--|--|---|---------|------|
quasonpooir	-||--|----|
lesrespassast	--|---------|
r espont quillorferoit	-⌫-----|-|-|--|-----|
toutquanques faire lor	---|-------|----|--|
d o n or debien etde respas	|-⌫-⌫-|-|---|-|-|-----|
et percheua usenesle pas	-|--------⌫-|------⌫--|
estmontez a di eules	--|-----||--⌫-|--|
etl ihoste sliredemande	-|-⌫|-----⌫|-|--------|
s eil ueltque	-⌫|-|---|--|
il le c onuoit	-|-|-⌫-----|
percheuausd is tq ueilnauoit	---------|-⌫--⌫|-⌫-|-||----|
acelef oi s de conuoic ure	|---|-⌫--⌫|-|-----|-⌫--|
atantenuagrantal eure	|---|-|-|----|--⌫---|
cheu al chantung astes en tie r	----⌫--⌫----|-|-⌫---|-⌫--⌫---⌫|
er r é at ot leiorentier	--⌫-⌫-||-⌫-|-|--|-----|
semain eentiere	------⌫|------|
mai nte aue nture estolt ee tfiere	---⌫--|---⌫----|------⌫|-⌫|----|
semaineencontree	------|--------|
e ttrespassé	-⌫|---------|
maintecontree	-----|------|
etmain t trespasla itet felon	-|----⌫|------|--⌫-|-|----|
enla fore stde	-|-|----⌫-|-|
enest entrez tant	-|--|-----|---|
che ualch a	---⌫-----⌫|
e srertantsauancha	-⌫---|---||------|
queil fupres	--|-|-|---|
l auoiso i duncor quison e	-⌫|---|-⌫||-|--|--|---⌫|
et c hiens	-|-⌫----|
quifontmoltgrant abai	--|---|---|----|---|
per cheuauspointle c he ualbai	---⌫------|----|-|-⌫--⌫--|--|
cele par oulec oroi	---|--|-|-|-⌫-|-|
moltdurementsenesioi	---|-------||-|----|
delcorqueiloi a uoit	--|--|--|-|-|-⌫---|
ta ntaerre ́	--⌫-||----⌫|
quecelui uo it	--|----|--⌫-|
quilecor par	--|-|--|--|
troisfoisson a	----|---|---⌫|
a misfaitil	-⌫--|---|-|
sirefa it cilalroiartu	---|--⌫-|--|-|--|---|
quichi u ientaprescheualchant	--|--|-⌫---|----|----------|
etsibaronil uon t cerchant	-|-|----|-|---⌫|-------|
l e b lanc c herfau noircheualier	-⌫|-⌫---|-⌫---|-|---|--------|
iamaintemoill ier	||-----|-----⌫--|
aueclaro inema	---|-|--⌫--|-|
maisie u ousdi	---|-|-⌫--|-|
sor lam oie	--|-|-⌫--|
qu ilnepu et	-|-|-|--⌫-|
estr epar a tains	----⌫|--|-⌫----|
d ontliroisestmornesettains	-⌫--|-|---|--|-----|-|----|
r oinel otpr ami s	-⌫---||-|--⌫---⌫|
si sestde ch achierentremis	-||--|-|--⌫-----|-------|
coiquilpa rloi t i	--|-|-|--⌫----⌫||
odluiful i rois	-|--|-|-⌫|---|
etsifu lirois	-|-|-|-|---|
e t cil de dinas c lamadas	-⌫|--|-|----|-⌫------|
si fu li roisdeduueline	-|-|-|---|-|-------|
auecma d ame laroine	---|-|-⌫--|-|----|
uit u enirmain tedamoisele	--|-⌫---|----⌫-|--------|
percheuaus etmain te	---------|-|----⌫-|
plotbien et ab elist	---|---|-|--⌫----|
etle compaigniequ ilu it	-|-|---------|-|-|-⌫-|
etquan tl iroisuitpercheu al	-|----⌫|-⌫|---|--|-------⌫-|
qui sistarmezsor le cheual	--|---|----|--|-|-----|
n e l con oistpascarle s	-⌫||---⌫---|--|--|--⌫|
au o itetdespechi ezetr ous	--⌫-⌫-|-|--------⌫-|-|-⌫--|
siquilne lepotenterchie r	-|-|-|-|-|--|---------⌫|
cenefaitpasamer ueillier	-|-|---|--||---⌫-------|
quantp ercheuaus u itla roine	----|-⌫--------|-⌫-|-|----|
uerslui de cheualchiernefine	---|--|-|----------|-|---|
puis adi t come	---||--⌫|---|
etconch eualiers de grant	-|--|--⌫-------|-|----|
afoibie n pu i stuen ir	|--|---⌫|--⌫-⌫-|---⌫-|
aut res estlaiame	---⌫--|--|-|---|
donour de senset debia ut e	|----|-|---|-|-|---⌫--⌫|
de cortoi s ieetdeb on t e	-|------⌫-⌫-|-|-|-⌫--⌫-⌫|
laroinelidistbiaussire	-|----|-|---|----|---|
quanques uoscue rs aime	-------|--|---⌫-|---|
e t desir re	-⌫|-----⌫-|
u ousenuoitdieusparson	-⌫--|-----|----|--|--|
couoitmoltet desir	-----|---|-|----|
queiesac he leuostrenon	--|-|---⌫-|-|-----|--|
ne qu iuous es tes nequin on	-|--⌫|---|--⌫--|-|--|-⌫-|
mais asarmes	---|-|----|
damep ercheuausligalois	---|-⌫--------|-|-----|
suiparmondroi tnon	--|--|--|----⌫|--|
iamesnonsne uo u s	-|--|---|-|--⌫-⌫|
etquantlaroine l	-|----|-|----||
anzdeussesbra suerslui	------|--|---⌫|---|--|
si l iamolt tostal	-|-⌫||---|---|-|
dit bi a usdo lsamis	--|--⌫-⌫-|--⌫-|---|
uous s oiezli	---|-⌫---|-|
tresbientr o uez	---|---|--⌫-⌫--|
comeuas saus bien	---|---⌫---|---|
dehaute proeceetdebele	-|----|-----|-|-|---|
otdamene pucele	-|---|-|-----|
q ui n ele	-⌫-|-⌫|-|
s aluthautement	-⌫---|--------|
artuserran ment	----|-----⌫---|
s e nestuenus aper cheual	|-⌫|--|----||---⌫-----|
ettrestout li	-|-------|-|
a utreacheual	-⌫---||-----|
liroi sre conutla	-|---⌫|--⌫----|||
moltfu liez	---|-|---|
souentl acola	-----||----|
libaro n en fontioie	-|----⌫|-|---|---|
quidel uiueoir sont engra nt	--|-|-⌫-|----|---|-----⌫-|
carliroislifaiso itretraire	--|-|---|-|-----⌫-|-------|
lanuile malet lecontraire	|---|-|--|-|-|--------|
quilauoit enla	-|-|----|-|-|
del graal q uilauoit	--|----|-⌫|-|----|
c hiesleroi pescheordeus fois	-⌫---|-|--|-------|---|---|
mai s bien	---⌫|---|
li fumise ndefois	-|-|--|-⌫|-----|
liraconter scui on	-|--------⌫|--|-|
etbienl i fudit en a pert	-|---|-⌫|-|--|-|-⌫---|
ertpasdignesdel sa uoir	--|--|-----|--|--⌫---|
dessec rezd u graalle uoir	--|---⌫--|-⌫|----|-|---|
n ede lalance porcoisaine	-⌫|-|-|----|--|--|----|
n epue t sauoir	-⌫|---⌫|-----|
pornulepaine	--|---|----|
neporq uantmolten	------⌫---|---|-|
m ais uneespeerasauda	-⌫--|--|----|------|
qui br isieee stendeus moitiez	--|--⌫----|-⌫-|-|---|------|
fupas sirafa itiez	-|--|-|----⌫----|
osqu e n eu sten l	----⌫||--⌫-|-||
de uantce quele	--⌫---|-|-|--|
ertrasaldee	--|-------|
nesaura n us riendu	-|----|-⌫-|---|-|
k ieusquilot dita	-⌫---|--||-|--||
per che ual	---⌫---⌫--|
ma luaisement forgier sauez	--⌫---------|------|----|
siretelqueste empris	---|--|-----|-----|
ouuous iequit lairezl epel	-|---|-|---|-----|-⌫|--|
uous en a uez rougechape l	---|-|-⌫--|----|-----⌫|
eusouentencesteste	-|-----|-|---|---|
peu conquesté	--|---------|
uousquere zlabeeetle	---|-----⌫|-|--|-|-|
uou sresam blezceluiqui muse	---⌫|-----⌫---|----|--|---|
trestotle ior	------|-|--|
al acarole	|-⌫|-----|
por cheq ue lagens enpar ole	--|--|-⌫-|-|---|-|---⌫--|
tout ausiaue zuou salé	---|---|---⌫|---⌫|---|
po rchequeonena	--⌫|--|--|-|-||
querezche qu enn e	-----|--|-|-|-⌫|
puetsauoir	---|-----|
uousnefaitesmiesauoir	---|-|-----|--|-----|
cuidiez uousmius	------|---|---|
ualo ir que	----⌫-|--|
anchoisserezuiez	------|----|---|
queuousensachiez cene	--|---|-|------|-|-|
s emoi c re e zuo usser ez coi	-⌫|--|-⌫--⌫-⌫|--⌫-|---⌫-|--|
auec madame	---|-|---|
uif deabled enfer	--|-----||----|
uousont faituoerneemprendr e	---|--|---|---|-|--------⌫|
c on ne pu et ueoir ne aprendre	|-|-|--⌫-|----|-|-------|
qua ntlir ois	---⌫-|-|-⌫--|
otkeuens idire	-|--|---⌫|---|
en s on cueren ot do el etire	-|-⌫-|---|-|-|--⌫-|-|--|
por chequ il otsiramprosné	--|--|-|-|-|-|---------|
le cheual i erq u a	-|------⌫-⌫-|-⌫||
pl us amé	--⌫-|---|
chi ausqui er e ntelmont	---⌫--|--|--⌫-⌫-|-|---|
toutm ainten ant akere s po nt	---|-⌫------⌫--||-|--⌫-⌫--⌫-|
me s ire kecedistli	-|-⌫--|-|-|---|-|
uofol e l angu e etuosdesrois	-|---⌫|-⌫----⌫|-|--|------|
uousaparmai ntes	---||--|---⌫---|
fois greué	---|-----|
uous eussiez lecue r c reué	---|------|-|---⌫|-⌫----|
seuousne fuissiezdesfarsis	-|---|-|-------|--------|
siredis tperche uau s rassis	---|---⌫|------⌫---⌫|-----|
liestsesbr asquifu	-|--|--|--⌫-|--|-|
separm es dire estmes prisiez	-|--|-⌫--⌫---|--|---⌫------|
il doitestre formentloés	-|---|----|------|----|
mai smalu ai sementfulouez	---⌫|----⌫--⌫-----|-|----|
q uant il otla	-⌫---|-|-|-|
canolef raite	-----|-⌫----|
quantk eusoi	----|-⌫--|-|
celeretraite	---|-------|
honteus si s emb r oncha	------|-||---⌫-⌫----|
li roispercheual	-|---|--------|
co mecelui	--⌫-|----|
quilot moltchier	-|-|-|---|----|
et si laisseesterlec hachier	-|-|-----|----|-|-⌫------|
acar lio nsontretorné	|---⌫---⌫|---|-------|
auoi entat orné	----⌫--|--⌫----|
lemengierqu itozestoi tpres	-|------|--⌫|--|-----⌫|---|
charsetoisiausetpo iss ons	----|-|------|-|--⌫---⌫--|
iottant que nensailec onte	|-|---|--||-|--|-|-⌫---|
maint r oietmaint ducetmaintc ont e	----|-⌫-|-|----|--|-|----|-⌫---⌫|
iotetmaintrichebaron	|-|-|----|----|----|
et maintedamede renon	-|-----|---|-|----|
d u chier boffu	-⌫|----|----|
quiestoitforre ed	--|-----|-----⌫||
trametm ad ame laroine	-----|-⌫|-⌫--|-|----|
apercheualqueil leueste	|--------|--|-|-|----|
et ilsi fistpar	-|-|-|---|--|
moltgrant feste	---|----|----|
caril estoit iadesarmez	--|-|-----|-|-------|
et tantostquil	-|------|-|-|
fu acesm ez	-|-----⌫-|
li roisle saisiparlesdois	-|---|-|----|--|--|---|
lauéontsasieenta u	----|--||------|-⌫|
et la roine etsespuceles	-|-|----|-|--|------|
lesda mesetlesdamoiseles	--|--⌫--|-|--|---------|
etlic heu alierensement	-|-|-⌫---⌫----|-------|
sa sistrenttout	|-⌫-------|---|
me lleement	--⌫-------|
ch ascu nsafubleun man tel cort	--⌫----⌫-|-----|-|---⌫--|---|
ensicomeonsotfaireacort	---|---|-|--|----||---|
ma ismesire gauai ns	--⌫-|-|---|-----⌫-|
deuantle doissinisemut	-----|-|---|-|-|-|--|
auecfulancelos	---|-|-------|
yua inse terec li fiusla c	---⌫--|-⌫|---|-|---|--⌫|
dusque aui ntdes	-----||--⌫-|--|
c onseus tiluecne aillors	|-|----⌫|----|-|------|
nesase oi ent point	-||---⌫--⌫--|----|
pe rcheu aus esgard eenc el	--⌫-----⌫--|------⌫|-|-⌫-|
e tuo itune chaiereas sise	-⌫|--⌫-|--|------|--⌫---|
dundois destra ngeguise	|-|---||-----⌫--|----|
quimoltlisambloite strechiere	--|---|-|-------|-⌫---|-----|
d orfusiauoit mainte	|-|-|-|----|-----|
en lorassisee tseel ee	-||-|-----|-⌫|----⌫-|
richement est o itnee lee	--------|---⌫-⌫-|---⌫--|
lachaierequiestoitwide	-|------|--|-----|---|
